context: Accelerating pulse response:	Suppressing impulses
context: No, it was Control's support!\Clearly the Booster played the biggest part!\I know, sir!\Yui!\I believe it was the Forward,\who was constantly on the frontline, keeping the enemy in check.\I'm telling ya, it was the Booster!\Oh, please! Control was way more important! response:	I beg to differ.
context: Clearly the Booster played the biggest part!\I know, sir!\Yui!\I believe it was the Forward,\who was constantly on the frontline, keeping the enemy in check.\I'm telling ya, it was the Booster!\Oh, please! Control was way more important!\I beg to differ. response:	How about you, Anne?
context: I know, sir!\Yui!\I believe it was the Forward,\who was constantly on the frontline, keeping the enemy in check.\I'm telling ya, it was the Booster!\Oh, please! Control was way more important!\I beg to differ.\How about you, Anne? response:	Anne!
context: Yui!\I believe it was the Forward,\who was constantly on the frontline, keeping the enemy in check.\I'm telling ya, it was the Booster!\Oh, please! Control was way more important!\I beg to differ.\How about you, Anne?\Anne! response:	Control did the most, didn't she?!
context: I believe it was the Forward,\who was constantly on the frontline, keeping the enemy in check.\I'm telling ya, it was the Booster!\Oh, please! Control was way more important!\I beg to differ.\How about you, Anne?\Anne!\Control did the most, didn't she?! response:	Booster did!
context: who was constantly on the frontline, keeping the enemy in check.\I'm telling ya, it was the Booster!\Oh, please! Control was way more important!\I beg to differ.\How about you, Anne?\Anne!\Control did the most, didn't she?!\Booster did! response:	Forward did, didn't he?
context: I'm telling ya, it was the Booster!\Oh, please! Control was way more important!\I beg to differ.\How about you, Anne?\Anne!\Control did the most, didn't she?!\Booster did!\Forward did, didn't he? response:	Uh... Maybe they won through teamwork.
context: Oh, please! Control was way more important!\I beg to differ.\How about you, Anne?\Anne!\Control did the most, didn't she?!\Booster did!\Forward did, didn't he?\Uh... Maybe they won through teamwork. response:	Exactly!
context: I beg to differ.\How about you, Anne?\Anne!\Control did the most, didn't she?!\Booster did!\Forward did, didn't he?\Uh... Maybe they won through teamwork.\Exactly! response:	What?!
context: How about you, Anne?\Anne!\Control did the most, didn't she?!\Booster did!\Forward did, didn't he?\Uh... Maybe they won through teamwork.\Exactly!\What?! response:	No matter how advanced the unit, it is powerless on its own.
context: Anne!\Control did the most, didn't she?!\Booster did!\Forward did, didn't he?\Uh... Maybe they won through teamwork.\Exactly!\What?!\No matter how advanced the unit, it is powerless on its own. response:	Everyone trusted their teammates in this battle,
context: Control did the most, didn't she?!\Booster did!\Forward did, didn't he?\Uh... Maybe they won through teamwork.\Exactly!\What?!\No matter how advanced the unit, it is powerless on its own.\Everyone trusted their teammates in this battle, response:	which allowed each of them to fight to the fullest.
context: Booster did!\Forward did, didn't he?\Uh... Maybe they won through teamwork.\Exactly!\What?!\No matter how advanced the unit, it is powerless on its own.\Everyone trusted their teammates in this battle,\which allowed each of them to fight to the fullest. response:	That is why, as you've already pointed out, they appeared to work independently.
context: Forward did, didn't he?\Uh... Maybe they won through teamwork.\Exactly!\What?!\No matter how advanced the unit, it is powerless on its own.\Everyone trusted their teammates in this battle,\which allowed each of them to fight to the fullest.\That is why, as you've already pointed out, they appeared to work independently. response:	However, if any of them weren't present, it would not have succeeded.
context: Uh... Maybe they won through teamwork.\Exactly!\What?!\No matter how advanced the unit, it is powerless on its own.\Everyone trusted their teammates in this battle,\which allowed each of them to fight to the fullest.\That is why, as you've already pointed out, they appeared to work independently.\However, if any of them weren't present, it would not have succeeded. response:	As such, teamwork and hearts bound by camaraderie paved the way to victory!
context: Exactly!\What?!\No matter how advanced the unit, it is powerless on its own.\Everyone trusted their teammates in this battle,\which allowed each of them to fight to the fullest.\That is why, as you've already pointed out, they appeared to work independently.\However, if any of them weren't present, it would not have succeeded.\As such, teamwork and hearts bound by camaraderie paved the way to victory! response:	Let's get them good!
context: What?!\No matter how advanced the unit, it is powerless on its own.\Everyone trusted their teammates in this battle,\which allowed each of them to fight to the fullest.\That is why, as you've already pointed out, they appeared to work independently.\However, if any of them weren't present, it would not have succeeded.\As such, teamwork and hearts bound by camaraderie paved the way to victory!\Let's get them good! response:	Yeah!
context: No matter how advanced the unit, it is powerless on its own.\Everyone trusted their teammates in this battle,\which allowed each of them to fight to the fullest.\That is why, as you've already pointed out, they appeared to work independently.\However, if any of them weren't present, it would not have succeeded.\As such, teamwork and hearts bound by camaraderie paved the way to victory!\Let's get them good!\Yeah! response:	Ready or not, here I come!
context: Everyone trusted their teammates in this battle,\which allowed each of them to fight to the fullest.\That is why, as you've already pointed out, they appeared to work independently.\However, if any of them weren't present, it would not have succeeded.\As such, teamwork and hearts bound by camaraderie paved the way to victory!\Let's get them good!\Yeah!\Ready or not, here I come! response:	Hey!
context: which allowed each of them to fight to the fullest.\That is why, as you've already pointed out, they appeared to work independently.\However, if any of them weren't present, it would not have succeeded.\As such, teamwork and hearts bound by camaraderie paved the way to victory!\Let's get them good!\Yeah!\Ready or not, here I come!\Hey! response:	Not so fast!
context: That is why, as you've already pointed out, they appeared to work independently.\However, if any of them weren't present, it would not have succeeded.\As such, teamwork and hearts bound by camaraderie paved the way to victory!\Let's get them good!\Yeah!\Ready or not, here I come!\Hey!\Not so fast! response:	Fire! Fire away!
context: However, if any of them weren't present, it would not have succeeded.\As such, teamwork and hearts bound by camaraderie paved the way to victory!\Let's get them good!\Yeah!\Ready or not, here I come!\Hey!\Not so fast!\Fire! Fire away! response:	Damn it!
context: As such, teamwork and hearts bound by camaraderie paved the way to victory!\Let's get them good!\Yeah!\Ready or not, here I come!\Hey!\Not so fast!\Fire! Fire away!\Damn it! response:	Dang, you guys have gotten pretty darn impressive!
context: Let's get them good!\Yeah!\Ready or not, here I come!\Hey!\Not so fast!\Fire! Fire away!\Damn it!\Dang, you guys have gotten pretty darn impressive! response:	Thank you very much, sir!
context: Yeah!\Ready or not, here I come!\Hey!\Not so fast!\Fire! Fire away!\Damn it!\Dang, you guys have gotten pretty darn impressive!\Thank you very much, sir! response:	Not that long ago, we were an even match.
context: Ready or not, here I come!\Hey!\Not so fast!\Fire! Fire away!\Damn it!\Dang, you guys have gotten pretty darn impressive!\Thank you very much, sir!\Not that long ago, we were an even match. response:	Actually, we'd beat you six to four!
context: Hey!\Not so fast!\Fire! Fire away!\Damn it!\Dang, you guys have gotten pretty darn impressive!\Thank you very much, sir!\Not that long ago, we were an even match.\Actually, we'd beat you six to four! response:	Now it takes all we've got just to land a single hit!
