context: Miyazawa-san? response:	She's really scary when you make her mad.
context: It feels like that was so long ago.\Was it the day before yesterday?\I saw her dancing wildly in the hall saying that she beat Arima...\I got the feeling that that was who she really was.\She can do ten times the work of one, to be sure.\I remember well that nobody could...\What? Oh, she was the epitome of a model student at first.\But you can't judge people by appearances. response:	She's tougher than she looks.
context: Was it the day before yesterday?\I saw her dancing wildly in the hall saying that she beat Arima...\I got the feeling that that was who she really was.\She can do ten times the work of one, to be sure.\I remember well that nobody could...\What? Oh, she was the epitome of a model student at first.\But you can't judge people by appearances.\She's tougher than she looks. response:	Shall I say, she's a student who is like dried squid;
context: I saw her dancing wildly in the hall saying that she beat Arima...\I got the feeling that that was who she really was.\She can do ten times the work of one, to be sure.\I remember well that nobody could...\What? Oh, she was the epitome of a model student at first.\But you can't judge people by appearances.\She's tougher than she looks.\Shall I say, she's a student who is like dried squid; response:	She becomes more interesting the more you chew.
context: I got the feeling that that was who she really was.\She can do ten times the work of one, to be sure.\I remember well that nobody could...\What? Oh, she was the epitome of a model student at first.\But you can't judge people by appearances.\She's tougher than she looks.\Shall I say, she's a student who is like dried squid;\She becomes more interesting the more you chew. response:	Our sister is an airhead.
context: She can do ten times the work of one, to be sure.\I remember well that nobody could...\What? Oh, she was the epitome of a model student at first.\But you can't judge people by appearances.\She's tougher than she looks.\Shall I say, she's a student who is like dried squid;\She becomes more interesting the more you chew.\Our sister is an airhead. response:	Yep, an airhead.
context: I remember well that nobody could...\What? Oh, she was the epitome of a model student at first.\But you can't judge people by appearances.\She's tougher than she looks.\Shall I say, she's a student who is like dried squid;\She becomes more interesting the more you chew.\Our sister is an airhead.\Yep, an airhead. response:	It's awful!
context: What? Oh, she was the epitome of a model student at first.\But you can't judge people by appearances.\She's tougher than she looks.\Shall I say, she's a student who is like dried squid;\She becomes more interesting the more you chew.\Our sister is an airhead.\Yep, an airhead.\It's awful! response:	Arima, listen!
context: But you can't judge people by appearances.\She's tougher than she looks.\Shall I say, she's a student who is like dried squid;\She becomes more interesting the more you chew.\Our sister is an airhead.\Yep, an airhead.\It's awful!\Arima, listen! response:	Hm? What's up?
context: She's tougher than she looks.\Shall I say, she's a student who is like dried squid;\She becomes more interesting the more you chew.\Our sister is an airhead.\Yep, an airhead.\It's awful!\Arima, listen!\Hm? What's up? response:	Today, I was walking down the hall, and this guy, as he passed me...
context: Shall I say, she's a student who is like dried squid;\She becomes more interesting the more you chew.\Our sister is an airhead.\Yep, an airhead.\It's awful!\Arima, listen!\Hm? What's up?\Today, I was walking down the hall, and this guy, as he passed me... response:	What kind of butch word is that?!
context: She becomes more interesting the more you chew.\Our sister is an airhead.\Yep, an airhead.\It's awful!\Arima, listen!\Hm? What's up?\Today, I was walking down the hall, and this guy, as he passed me...\What kind of butch word is that?! response:	How dare he use it to describe a girl!
context: Our sister is an airhead.\Yep, an airhead.\It's awful!\Arima, listen!\Hm? What's up?\Today, I was walking down the hall, and this guy, as he passed me...\What kind of butch word is that?!\How dare he use it to describe a girl! response:	C-could it have just been your imagination?
context: Yep, an airhead.\It's awful!\Arima, listen!\Hm? What's up?\Today, I was walking down the hall, and this guy, as he passed me...\What kind of butch word is that?!\How dare he use it to describe a girl!\C-could it have just been your imagination? response:	No, he definitely said so! I heard him.
context: It's awful!\Arima, listen!\Hm? What's up?\Today, I was walking down the hall, and this guy, as he passed me...\What kind of butch word is that?!\How dare he use it to describe a girl!\C-could it have just been your imagination?\No, he definitely said so! I heard him. response:	I, who used to be called beautiful, with the grace of a prize-winning carp!
context: Arima, listen!\Hm? What's up?\Today, I was walking down the hall, and this guy, as he passed me...\What kind of butch word is that?!\How dare he use it to describe a girl!\C-could it have just been your imagination?\No, he definitely said so! I heard him.\I, who used to be called beautiful, with the grace of a prize-winning carp! response:	What in the world are you? WHOA! GROSS! Snot everywhere!
context: Hm? What's up?\Today, I was walking down the hall, and this guy, as he passed me...\What kind of butch word is that?!\How dare he use it to describe a girl!\C-could it have just been your imagination?\No, he definitely said so! I heard him.\I, who used to be called beautiful, with the grace of a prize-winning carp!\What in the world are you? WHOA! GROSS! Snot everywhere! response:	Oh the good old days when I could leave all annoying things to the guys and just take the juicy bits.
context: Today, I was walking down the hall, and this guy, as he passed me...\What kind of butch word is that?!\How dare he use it to describe a girl!\C-could it have just been your imagination?\No, he definitely said so! I heard him.\I, who used to be called beautiful, with the grace of a prize-winning carp!\What in the world are you? WHOA! GROSS! Snot everywhere!\Oh the good old days when I could leave all annoying things to the guys and just take the juicy bits. response:	The feel for ecstasy I've been used to for so long, no that I was born with...
context: What kind of butch word is that?!\How dare he use it to describe a girl!\C-could it have just been your imagination?\No, he definitely said so! I heard him.\I, who used to be called beautiful, with the grace of a prize-winning carp!\What in the world are you? WHOA! GROSS! Snot everywhere!\Oh the good old days when I could leave all annoying things to the guys and just take the juicy bits.\The feel for ecstasy I've been used to for so long, no that I was born with... response:	You're still complaining?
context: How dare he use it to describe a girl!\C-could it have just been your imagination?\No, he definitely said so! I heard him.\I, who used to be called beautiful, with the grace of a prize-winning carp!\What in the world are you? WHOA! GROSS! Snot everywhere!\Oh the good old days when I could leave all annoying things to the guys and just take the juicy bits.\The feel for ecstasy I've been used to for so long, no that I was born with...\You're still complaining? response:	You stopped being pretentious, remember?
context: C-could it have just been your imagination?\No, he definitely said so! I heard him.\I, who used to be called beautiful, with the grace of a prize-winning carp!\What in the world are you? WHOA! GROSS! Snot everywhere!\Oh the good old days when I could leave all annoying things to the guys and just take the juicy bits.\The feel for ecstasy I've been used to for so long, no that I was born with...\You're still complaining?\You stopped being pretentious, remember? response:	You just think it's none of your concern.
context: No, he definitely said so! I heard him.\I, who used to be called beautiful, with the grace of a prize-winning carp!\What in the world are you? WHOA! GROSS! Snot everywhere!\Oh the good old days when I could leave all annoying things to the guys and just take the juicy bits.\The feel for ecstasy I've been used to for so long, no that I was born with...\You're still complaining?\You stopped being pretentious, remember?\You just think it's none of your concern. response:	My ostentatious life, at the height of its splendor is finally about to become a thing of the past!
context: I, who used to be called beautiful, with the grace of a prize-winning carp!\What in the world are you? WHOA! GROSS! Snot everywhere!\Oh the good old days when I could leave all annoying things to the guys and just take the juicy bits.\The feel for ecstasy I've been used to for so long, no that I was born with...\You're still complaining?\You stopped being pretentious, remember?\You just think it's none of your concern.\My ostentatious life, at the height of its splendor is finally about to become a thing of the past! response:	There's no way I can let it go so easily!
context: What in the world are you? WHOA! GROSS! Snot everywhere!\Oh the good old days when I could leave all annoying things to the guys and just take the juicy bits.\The feel for ecstasy I've been used to for so long, no that I was born with...\You're still complaining?\You stopped being pretentious, remember?\You just think it's none of your concern.\My ostentatious life, at the height of its splendor is finally about to become a thing of the past!\There's no way I can let it go so easily! response:	You're so naive, Arima-kun.
context: Oh the good old days when I could leave all annoying things to the guys and just take the juicy bits.\The feel for ecstasy I've been used to for so long, no that I was born with...\You're still complaining?\You stopped being pretentious, remember?\You just think it's none of your concern.\My ostentatious life, at the height of its splendor is finally about to become a thing of the past!\There's no way I can let it go so easily!\You're so naive, Arima-kun. response:	Just accept that this is how she'll always be.
context: The feel for ecstasy I've been used to for so long, no that I was born with...\You're still complaining?\You stopped being pretentious, remember?\You just think it's none of your concern.\My ostentatious life, at the height of its splendor is finally about to become a thing of the past!\There's no way I can let it go so easily!\You're so naive, Arima-kun.\Just accept that this is how she'll always be. response:	When it's coming from you it pisses me off for some reason!
context: You're still complaining?\You stopped being pretentious, remember?\You just think it's none of your concern.\My ostentatious life, at the height of its splendor is finally about to become a thing of the past!\There's no way I can let it go so easily!\You're so naive, Arima-kun.\Just accept that this is how she'll always be.\When it's coming from you it pisses me off for some reason! response:	That's empty, you know.
context: You stopped being pretentious, remember?\You just think it's none of your concern.\My ostentatious life, at the height of its splendor is finally about to become a thing of the past!\There's no way I can let it go so easily!\You're so naive, Arima-kun.\Just accept that this is how she'll always be.\When it's coming from you it pisses me off for some reason!\That's empty, you know. response:	It just means that, after all,
context: You just think it's none of your concern.\My ostentatious life, at the height of its splendor is finally about to become a thing of the past!\There's no way I can let it go so easily!\You're so naive, Arima-kun.\Just accept that this is how she'll always be.\When it's coming from you it pisses me off for some reason!\That's empty, you know.\It just means that, after all, response:	your love falls far short of our friendship.
context: My ostentatious life, at the height of its splendor is finally about to become a thing of the past!\There's no way I can let it go so easily!\You're so naive, Arima-kun.\Just accept that this is how she'll always be.\When it's coming from you it pisses me off for some reason!\That's empty, you know.\It just means that, after all,\your love falls far short of our friendship. response:	You're the one who's naive, Asapin.
context: There's no way I can let it go so easily!\You're so naive, Arima-kun.\Just accept that this is how she'll always be.\When it's coming from you it pisses me off for some reason!\That's empty, you know.\It just means that, after all,\your love falls far short of our friendship.\You're the one who's naive, Asapin. response:	Now don't get jealous...
context: You're so naive, Arima-kun.\Just accept that this is how she'll always be.\When it's coming from you it pisses me off for some reason!\That's empty, you know.\It just means that, after all,\your love falls far short of our friendship.\You're the one who's naive, Asapin.\Now don't get jealous... response:	What did he switch?
context: Just accept that this is how she'll always be.\When it's coming from you it pisses me off for some reason!\That's empty, you know.\It just means that, after all,\your love falls far short of our friendship.\You're the one who's naive, Asapin.\Now don't get jealous...\What did he switch? response:	There isn't a single millimeter for you to come between us anymore!!
context: When it's coming from you it pisses me off for some reason!\That's empty, you know.\It just means that, after all,\your love falls far short of our friendship.\You're the one who's naive, Asapin.\Now don't get jealous...\What did he switch?\There isn't a single millimeter for you to come between us anymore!! response:	M-Miyazawa?!
context: That's empty, you know.\It just means that, after all,\your love falls far short of our friendship.\You're the one who's naive, Asapin.\Now don't get jealous...\What did he switch?\There isn't a single millimeter for you to come between us anymore!!\M-Miyazawa?! response:	Wh-what's that? What do you mean?
context: It just means that, after all,\your love falls far short of our friendship.\You're the one who's naive, Asapin.\Now don't get jealous...\What did he switch?\There isn't a single millimeter for you to come between us anymore!!\M-Miyazawa?!\Wh-what's that? What do you mean? response:	Wh-what do I mean? Well...
context: your love falls far short of our friendship.\You're the one who's naive, Asapin.\Now don't get jealous...\What did he switch?\There isn't a single millimeter for you to come between us anymore!!\M-Miyazawa?!\Wh-what's that? What do you mean?\Wh-what do I mean? Well... response:	What's that reaction...?
context: You're the one who's naive, Asapin.\Now don't get jealous...\What did he switch?\There isn't a single millimeter for you to come between us anymore!!\M-Miyazawa?!\Wh-what's that? What do you mean?\Wh-what do I mean? Well...\What's that reaction...? response:	N-no way!
context: Now don't get jealous...\What did he switch?\There isn't a single millimeter for you to come between us anymore!!\M-Miyazawa?!\Wh-what's that? What do you mean?\Wh-what do I mean? Well...\What's that reaction...?\N-no way! response:	What's that mean? You mean you guys actually?!
context: What did he switch?\There isn't a single millimeter for you to come between us anymore!!\M-Miyazawa?!\Wh-what's that? What do you mean?\Wh-what do I mean? Well...\What's that reaction...?\N-no way!\What's that mean? You mean you guys actually?! response:	J-just shut up.
context: There isn't a single millimeter for you to come between us anymore!!\M-Miyazawa?!\Wh-what's that? What do you mean?\Wh-what do I mean? Well...\What's that reaction...?\N-no way!\What's that mean? You mean you guys actually?!\J-just shut up. response:	You shouldn't ask about such things.
context: M-Miyazawa?!\Wh-what's that? What do you mean?\Wh-what do I mean? Well...\What's that reaction...?\N-no way!\What's that mean? You mean you guys actually?!\J-just shut up.\You shouldn't ask about such things. response:	How could you?! Both of you didn't even tell me!
context: Wh-what's that? What do you mean?\Wh-what do I mean? Well...\What's that reaction...?\N-no way!\What's that mean? You mean you guys actually?!\J-just shut up.\You shouldn't ask about such things.\How could you?! Both of you didn't even tell me! response:	What are you talking about?!
context: Wh-what do I mean? Well...\What's that reaction...?\N-no way!\What's that mean? You mean you guys actually?!\J-just shut up.\You shouldn't ask about such things.\How could you?! Both of you didn't even tell me!\What are you talking about?! response:	Wait, Hideaki!
context: What's that reaction...?\N-no way!\What's that mean? You mean you guys actually?!\J-just shut up.\You shouldn't ask about such things.\How could you?! Both of you didn't even tell me!\What are you talking about?!\Wait, Hideaki! response:	Did you see that?
context: N-no way!\What's that mean? You mean you guys actually?!\J-just shut up.\You shouldn't ask about such things.\How could you?! Both of you didn't even tell me!\What are you talking about?!\Wait, Hideaki!\Did you see that? response:	Arima-kun made Asaba-kun cry!
context: What's that mean? You mean you guys actually?!\J-just shut up.\You shouldn't ask about such things.\How could you?! Both of you didn't even tell me!\What are you talking about?!\Wait, Hideaki!\Did you see that?\Arima-kun made Asaba-kun cry! response:	Th-that's not it!
context: J-just shut up.\You shouldn't ask about such things.\How could you?! Both of you didn't even tell me!\What are you talking about?!\Wait, Hideaki!\Did you see that?\Arima-kun made Asaba-kun cry!\Th-that's not it! response:	He's misunderstanding things!
context: You shouldn't ask about such things.\How could you?! Both of you didn't even tell me!\What are you talking about?!\Wait, Hideaki!\Did you see that?\Arima-kun made Asaba-kun cry!\Th-that's not it!\He's misunderstanding things! response:	Just leave him be.
context: How could you?! Both of you didn't even tell me!\What are you talking about?!\Wait, Hideaki!\Did you see that?\Arima-kun made Asaba-kun cry!\Th-that's not it!\He's misunderstanding things!\Just leave him be. response:	I told him to leave him be,
context: What are you talking about?!\Wait, Hideaki!\Did you see that?\Arima-kun made Asaba-kun cry!\Th-that's not it!\He's misunderstanding things!\Just leave him be.\I told him to leave him be, response:	but he ran after him anyway.
context: Wait, Hideaki!\Did you see that?\Arima-kun made Asaba-kun cry!\Th-that's not it!\He's misunderstanding things!\Just leave him be.\I told him to leave him be,\but he ran after him anyway. response:	Don't say I didn't warn him.
context: Did you see that?\Arima-kun made Asaba-kun cry!\Th-that's not it!\He's misunderstanding things!\Just leave him be.\I told him to leave him be,\but he ran after him anyway.\Don't say I didn't warn him. response:	Arima's become rather comfortable in his comedy routine with Asapin lately.
context: Arima-kun made Asaba-kun cry!\Th-that's not it!\He's misunderstanding things!\Just leave him be.\I told him to leave him be,\but he ran after him anyway.\Don't say I didn't warn him.\Arima's become rather comfortable in his comedy routine with Asapin lately. response:	That's just not a good thing.
context: Th-that's not it!\He's misunderstanding things!\Just leave him be.\I told him to leave him be,\but he ran after him anyway.\Don't say I didn't warn him.\Arima's become rather comfortable in his comedy routine with Asapin lately.\That's just not a good thing. response:	Could it be that we're the ones who are playing into his hands?
context: He's misunderstanding things!\Just leave him be.\I told him to leave him be,\but he ran after him anyway.\Don't say I didn't warn him.\Arima's become rather comfortable in his comedy routine with Asapin lately.\That's just not a good thing.\Could it be that we're the ones who are playing into his hands? response:	Really?
context: Just leave him be.\I told him to leave him be,\but he ran after him anyway.\Don't say I didn't warn him.\Arima's become rather comfortable in his comedy routine with Asapin lately.\That's just not a good thing.\Could it be that we're the ones who are playing into his hands?\Really? response:	Can we? Can we really still be friends like before?
context: I told him to leave him be,\but he ran after him anyway.\Don't say I didn't warn him.\Arima's become rather comfortable in his comedy routine with Asapin lately.\That's just not a good thing.\Could it be that we're the ones who are playing into his hands?\Really?\Can we? Can we really still be friends like before? response:	I'm telling you, it's nothing!
context: but he ran after him anyway.\Don't say I didn't warn him.\Arima's become rather comfortable in his comedy routine with Asapin lately.\That's just not a good thing.\Could it be that we're the ones who are playing into his hands?\Really?\Can we? Can we really still be friends like before?\I'm telling you, it's nothing! response:	Yeah, don't worry, we'll be like before.
context: Don't say I didn't warn him.\Arima's become rather comfortable in his comedy routine with Asapin lately.\That's just not a good thing.\Could it be that we're the ones who are playing into his hands?\Really?\Can we? Can we really still be friends like before?\I'm telling you, it's nothing!\Yeah, don't worry, we'll be like before. response:	Really?
context: Arima's become rather comfortable in his comedy routine with Asapin lately.\That's just not a good thing.\Could it be that we're the ones who are playing into his hands?\Really?\Can we? Can we really still be friends like before?\I'm telling you, it's nothing!\Yeah, don't worry, we'll be like before.\Really? response:	Um, I'm making a poetry collection,
context: That's just not a good thing.\Could it be that we're the ones who are playing into his hands?\Really?\Can we? Can we really still be friends like before?\I'm telling you, it's nothing!\Yeah, don't worry, we'll be like before.\Really?\Um, I'm making a poetry collection, response:	and I want you to pick the ones you think are good. I'll print those.
context: Could it be that we're the ones who are playing into his hands?\Really?\Can we? Can we really still be friends like before?\I'm telling you, it's nothing!\Yeah, don't worry, we'll be like before.\Really?\Um, I'm making a poetry collection,\and I want you to pick the ones you think are good. I'll print those. response:	Well, I still have committee work to do now...
context: Really?\Can we? Can we really still be friends like before?\I'm telling you, it's nothing!\Yeah, don't worry, we'll be like before.\Really?\Um, I'm making a poetry collection,\and I want you to pick the ones you think are good. I'll print those.\Well, I still have committee work to do now... response:	What the hell am I doing?
context: Can we? Can we really still be friends like before?\I'm telling you, it's nothing!\Yeah, don't worry, we'll be like before.\Really?\Um, I'm making a poetry collection,\and I want you to pick the ones you think are good. I'll print those.\Well, I still have committee work to do now...\What the hell am I doing? response:	I thought I knew what I was getting into,
context: I'm telling you, it's nothing!\Yeah, don't worry, we'll be like before.\Really?\Um, I'm making a poetry collection,\and I want you to pick the ones you think are good. I'll print those.\Well, I still have committee work to do now...\What the hell am I doing?\I thought I knew what I was getting into, response:	but changing yourself into what you want is pretty hard.
context: Yeah, don't worry, we'll be like before.\Really?\Um, I'm making a poetry collection,\and I want you to pick the ones you think are good. I'll print those.\Well, I still have committee work to do now...\What the hell am I doing?\I thought I knew what I was getting into,\but changing yourself into what you want is pretty hard. response:	If Arima and I hadn't become boyfriend and girlfriend, I wonder what would have happened to me?
context: Really?\Um, I'm making a poetry collection,\and I want you to pick the ones you think are good. I'll print those.\Well, I still have committee work to do now...\What the hell am I doing?\I thought I knew what I was getting into,\but changing yourself into what you want is pretty hard.\If Arima and I hadn't become boyfriend and girlfriend, I wonder what would have happened to me? response:	If Arima hadn't appeared before me? Text:A Simulation
context: Um, I'm making a poetry collection,\and I want you to pick the ones you think are good. I'll print those.\Well, I still have committee work to do now...\What the hell am I doing?\I thought I knew what I was getting into,\but changing yourself into what you want is pretty hard.\If Arima and I hadn't become boyfriend and girlfriend, I wonder what would have happened to me?\If Arima hadn't appeared before me? Text:A Simulation response:	Well, knowing me, there's no mistake... Text:A Simulation
context: and I want you to pick the ones you think are good. I'll print those.\Well, I still have committee work to do now...\What the hell am I doing?\I thought I knew what I was getting into,\but changing yourself into what you want is pretty hard.\If Arima and I hadn't become boyfriend and girlfriend, I wonder what would have happened to me?\If Arima hadn't appeared before me? Text:A Simulation\Well, knowing me, there's no mistake... Text:A Simulation response:	You just don't understand.
context: Well, I still have committee work to do now...\What the hell am I doing?\I thought I knew what I was getting into,\but changing yourself into what you want is pretty hard.\If Arima and I hadn't become boyfriend and girlfriend, I wonder what would have happened to me?\If Arima hadn't appeared before me? Text:A Simulation\Well, knowing me, there's no mistake... Text:A Simulation\You just don't understand. response:	The most important thing about guys is their income!
context: What the hell am I doing?\I thought I knew what I was getting into,\but changing yourself into what you want is pretty hard.\If Arima and I hadn't become boyfriend and girlfriend, I wonder what would have happened to me?\If Arima hadn't appeared before me? Text:A Simulation\Well, knowing me, there's no mistake... Text:A Simulation\You just don't understand.\The most important thing about guys is their income! response:	Their looks come second!
context: I thought I knew what I was getting into,\but changing yourself into what you want is pretty hard.\If Arima and I hadn't become boyfriend and girlfriend, I wonder what would have happened to me?\If Arima hadn't appeared before me? Text:A Simulation\Well, knowing me, there's no mistake... Text:A Simulation\You just don't understand.\The most important thing about guys is their income!\Their looks come second! response:	Tsuki Kano:You're tough, Sis. Miyazawa:The world is about money, really!
context: but changing yourself into what you want is pretty hard.\If Arima and I hadn't become boyfriend and girlfriend, I wonder what would have happened to me?\If Arima hadn't appeared before me? Text:A Simulation\Well, knowing me, there's no mistake... Text:A Simulation\You just don't understand.\The most important thing about guys is their income!\Their looks come second!\Tsuki Kano:You're tough, Sis. Miyazawa:The world is about money, really! response:	Tsuki Kano:She doesn't need a husband. Money money!
context: If Arima and I hadn't become boyfriend and girlfriend, I wonder what would have happened to me?\If Arima hadn't appeared before me? Text:A Simulation\Well, knowing me, there's no mistake... Text:A Simulation\You just don't understand.\The most important thing about guys is their income!\Their looks come second!\Tsuki Kano:You're tough, Sis. Miyazawa:The world is about money, really!\Tsuki Kano:She doesn't need a husband. Money money! response:	I might have gotten myself into trouble.
context: If Arima hadn't appeared before me? Text:A Simulation\Well, knowing me, there's no mistake... Text:A Simulation\You just don't understand.\The most important thing about guys is their income!\Their looks come second!\Tsuki Kano:You're tough, Sis. Miyazawa:The world is about money, really!\Tsuki Kano:She doesn't need a husband. Money money!\I might have gotten myself into trouble. response:	Miyazawa! Miyazawa!
context: Well, knowing me, there's no mistake... Text:A Simulation\You just don't understand.\The most important thing about guys is their income!\Their looks come second!\Tsuki Kano:You're tough, Sis. Miyazawa:The world is about money, really!\Tsuki Kano:She doesn't need a husband. Money money!\I might have gotten myself into trouble.\Miyazawa! Miyazawa! response:	That's odd, where did she go?
context: You just don't understand.\The most important thing about guys is their income!\Their looks come second!\Tsuki Kano:You're tough, Sis. Miyazawa:The world is about money, really!\Tsuki Kano:She doesn't need a husband. Money money!\I might have gotten myself into trouble.\Miyazawa! Miyazawa!\That's odd, where did she go? response:	Oh, Arima!
context: The most important thing about guys is their income!\Their looks come second!\Tsuki Kano:You're tough, Sis. Miyazawa:The world is about money, really!\Tsuki Kano:She doesn't need a husband. Money money!\I might have gotten myself into trouble.\Miyazawa! Miyazawa!\That's odd, where did she go?\Oh, Arima! response:	Do you know where Miyazawa is?
context: Their looks come second!\Tsuki Kano:You're tough, Sis. Miyazawa:The world is about money, really!\Tsuki Kano:She doesn't need a husband. Money money!\I might have gotten myself into trouble.\Miyazawa! Miyazawa!\That's odd, where did she go?\Oh, Arima!\Do you know where Miyazawa is? response:	Maybe she went home?
context: Tsuki Kano:You're tough, Sis. Miyazawa:The world is about money, really!\Tsuki Kano:She doesn't need a husband. Money money!\I might have gotten myself into trouble.\Miyazawa! Miyazawa!\That's odd, where did she go?\Oh, Arima!\Do you know where Miyazawa is?\Maybe she went home? response:	If it's Asaba-kun I saw him walk by crying just now.
context: Tsuki Kano:She doesn't need a husband. Money money!\I might have gotten myself into trouble.\Miyazawa! Miyazawa!\That's odd, where did she go?\Oh, Arima!\Do you know where Miyazawa is?\Maybe she went home?\If it's Asaba-kun I saw him walk by crying just now. response:	We couldn't bring ourselves to approach him.
context: I might have gotten myself into trouble.\Miyazawa! Miyazawa!\That's odd, where did she go?\Oh, Arima!\Do you know where Miyazawa is?\Maybe she went home?\If it's Asaba-kun I saw him walk by crying just now.\We couldn't bring ourselves to approach him. response:	O-oh, you can just let him be.
context: Miyazawa! Miyazawa!\That's odd, where did she go?\Oh, Arima!\Do you know where Miyazawa is?\Maybe she went home?\If it's Asaba-kun I saw him walk by crying just now.\We couldn't bring ourselves to approach him.\O-oh, you can just let him be. response:	She promised to meet me to talk about the Culture Fair today...
context: That's odd, where did she go?\Oh, Arima!\Do you know where Miyazawa is?\Maybe she went home?\If it's Asaba-kun I saw him walk by crying just now.\We couldn't bring ourselves to approach him.\O-oh, you can just let him be.\She promised to meet me to talk about the Culture Fair today... response:	Tsubasa, you know anything?
context: Oh, Arima!\Do you know where Miyazawa is?\Maybe she went home?\If it's Asaba-kun I saw him walk by crying just now.\We couldn't bring ourselves to approach him.\O-oh, you can just let him be.\She promised to meet me to talk about the Culture Fair today...\Tsubasa, you know anything? response:	She's useless.
context: Do you know where Miyazawa is?\Maybe she went home?\If it's Asaba-kun I saw him walk by crying just now.\We couldn't bring ourselves to approach him.\O-oh, you can just let him be.\She promised to meet me to talk about the Culture Fair today...\Tsubasa, you know anything?\She's useless. response:	Oh I know, Yukinon was drinking juice at the vending machine corner with Tonami.
context: Maybe she went home?\If it's Asaba-kun I saw him walk by crying just now.\We couldn't bring ourselves to approach him.\O-oh, you can just let him be.\She promised to meet me to talk about the Culture Fair today...\Tsubasa, you know anything?\She's useless.\Oh I know, Yukinon was drinking juice at the vending machine corner with Tonami. response:	Oh yeah... Yeah,
context: If it's Asaba-kun I saw him walk by crying just now.\We couldn't bring ourselves to approach him.\O-oh, you can just let him be.\She promised to meet me to talk about the Culture Fair today...\Tsubasa, you know anything?\She's useless.\Oh I know, Yukinon was drinking juice at the vending machine corner with Tonami.\Oh yeah... Yeah, response:	Why don't you ask Tonami-kun?
context: We couldn't bring ourselves to approach him.\O-oh, you can just let him be.\She promised to meet me to talk about the Culture Fair today...\Tsubasa, you know anything?\She's useless.\Oh I know, Yukinon was drinking juice at the vending machine corner with Tonami.\Oh yeah... Yeah,\Why don't you ask Tonami-kun? response:	Thanks
context: O-oh, you can just let him be.\She promised to meet me to talk about the Culture Fair today...\Tsubasa, you know anything?\She's useless.\Oh I know, Yukinon was drinking juice at the vending machine corner with Tonami.\Oh yeah... Yeah,\Why don't you ask Tonami-kun?\Thanks response:	What am I doing?
