context: Hey Natsu, don't you think our guild has a whole lot of special events? response:	Yeah... There's the that big parade, the Fantasia...
context: Fairy Tail's traditional All-Wizards Mandatory Participation 24 Hours Road Race!\And I, Jason, from the Weekly Sorcerer, will be doing the play-by-play!\I'll be giving you the cool scoop on this hot event!\24-Hour Endurance Road Race!\Here he is!\The unbeatable titleholder for this road race, Jet!\Rumors say he's compensating for being mostly useless on quests!\Hey! response:	Just rumors, man!
context: And I, Jason, from the Weekly Sorcerer, will be doing the play-by-play!\I'll be giving you the cool scoop on this hot event!\24-Hour Endurance Road Race!\Here he is!\The unbeatable titleholder for this road race, Jet!\Rumors say he's compensating for being mostly useless on quests!\Hey!\Just rumors, man! response:	Damn that Jet... He thinks this year's gonna be a walk in the park again.
context: I'll be giving you the cool scoop on this hot event!\24-Hour Endurance Road Race!\Here he is!\The unbeatable titleholder for this road race, Jet!\Rumors say he's compensating for being mostly useless on quests!\Hey!\Just rumors, man!\Damn that Jet... He thinks this year's gonna be a walk in the park again. response:	Oh yeah? I wouldn't be so sure of that.
context: 24-Hour Endurance Road Race!\Here he is!\The unbeatable titleholder for this road race, Jet!\Rumors say he's compensating for being mostly useless on quests!\Hey!\Just rumors, man!\Damn that Jet... He thinks this year's gonna be a walk in the park again.\Oh yeah? I wouldn't be so sure of that. response:	Victory is mine!
context: Here he is!\The unbeatable titleholder for this road race, Jet!\Rumors say he's compensating for being mostly useless on quests!\Hey!\Just rumors, man!\Damn that Jet... He thinks this year's gonna be a walk in the park again.\Oh yeah? I wouldn't be so sure of that.\Victory is mine! response:	Nobody who says victory is mine ever actually wins.
context: The unbeatable titleholder for this road race, Jet!\Rumors say he's compensating for being mostly useless on quests!\Hey!\Just rumors, man!\Damn that Jet... He thinks this year's gonna be a walk in the park again.\Oh yeah? I wouldn't be so sure of that.\Victory is mine!\Nobody who says victory is mine ever actually wins. response:	I gots me a super-secret weapon.
context: Rumors say he's compensating for being mostly useless on quests!\Hey!\Just rumors, man!\Damn that Jet... He thinks this year's gonna be a walk in the park again.\Oh yeah? I wouldn't be so sure of that.\Victory is mine!\Nobody who says victory is mine ever actually wins.\I gots me a super-secret weapon. response:	A secret weapon? You're such a little kid.
context: Hey!\Just rumors, man!\Damn that Jet... He thinks this year's gonna be a walk in the park again.\Oh yeah? I wouldn't be so sure of that.\Victory is mine!\Nobody who says victory is mine ever actually wins.\I gots me a super-secret weapon.\A secret weapon? You're such a little kid. response:	All right, let's do this!
context: Just rumors, man!\Damn that Jet... He thinks this year's gonna be a walk in the park again.\Oh yeah? I wouldn't be so sure of that.\Victory is mine!\Nobody who says victory is mine ever actually wins.\I gots me a super-secret weapon.\A secret weapon? You're such a little kid.\All right, let's do this! response:	You're drinking? Right before we start the run?
context: Damn that Jet... He thinks this year's gonna be a walk in the park again.\Oh yeah? I wouldn't be so sure of that.\Victory is mine!\Nobody who says victory is mine ever actually wins.\I gots me a super-secret weapon.\A secret weapon? You're such a little kid.\All right, let's do this!\You're drinking? Right before we start the run? response:	I can't run without fuel, right?
context: Oh yeah? I wouldn't be so sure of that.\Victory is mine!\Nobody who says victory is mine ever actually wins.\I gots me a super-secret weapon.\A secret weapon? You're such a little kid.\All right, let's do this!\You're drinking? Right before we start the run?\I can't run without fuel, right? response:	I figured you'd say something like that, Cana.
context: Victory is mine!\Nobody who says victory is mine ever actually wins.\I gots me a super-secret weapon.\A secret weapon? You're such a little kid.\All right, let's do this!\You're drinking? Right before we start the run?\I can't run without fuel, right?\I figured you'd say something like that, Cana. response:	Everyone's really revved up, though.
context: Nobody who says victory is mine ever actually wins.\I gots me a super-secret weapon.\A secret weapon? You're such a little kid.\All right, let's do this!\You're drinking? Right before we start the run?\I can't run without fuel, right?\I figured you'd say something like that, Cana.\Everyone's really revved up, though. response:	No one wants to face the punishment, after all.
context: I gots me a super-secret weapon.\A secret weapon? You're such a little kid.\All right, let's do this!\You're drinking? Right before we start the run?\I can't run without fuel, right?\I figured you'd say something like that, Cana.\Everyone's really revved up, though.\No one wants to face the punishment, after all. response:	Last year was horrible...
context: A secret weapon? You're such a little kid.\All right, let's do this!\You're drinking? Right before we start the run?\I can't run without fuel, right?\I figured you'd say something like that, Cana.\Everyone's really revved up, though.\No one wants to face the punishment, after all.\Last year was horrible... response:	What punishment?
context: All right, let's do this!\You're drinking? Right before we start the run?\I can't run without fuel, right?\I figured you'd say something like that, Cana.\Everyone's really revved up, though.\No one wants to face the punishment, after all.\Last year was horrible...\What punishment? response:	Quiet, everyone!
context: You're drinking? Right before we start the run?\I can't run without fuel, right?\I figured you'd say something like that, Cana.\Everyone's really revved up, though.\No one wants to face the punishment, after all.\Last year was horrible...\What punishment?\Quiet, everyone! response:	All members of Fairy Tail!
context: I can't run without fuel, right?\I figured you'd say something like that, Cana.\Everyone's really revved up, though.\No one wants to face the punishment, after all.\Last year was horrible...\What punishment?\Quiet, everyone!\All members of Fairy Tail! response:	A wizard is one with both strength of mind and body!
context: I figured you'd say something like that, Cana.\Everyone's really revved up, though.\No one wants to face the punishment, after all.\Last year was horrible...\What punishment?\Quiet, everyone!\All members of Fairy Tail!\A wizard is one with both strength of mind and body! response:	I wish for you to utilize those powers to the utmost in today's competition!
context: Everyone's really revved up, though.\No one wants to face the punishment, after all.\Last year was horrible...\What punishment?\Quiet, everyone!\All members of Fairy Tail!\A wizard is one with both strength of mind and body!\I wish for you to utilize those powers to the utmost in today's competition! response:	Do we really need smarts for this?
context: No one wants to face the punishment, after all.\Last year was horrible...\What punishment?\Quiet, everyone!\All members of Fairy Tail!\A wizard is one with both strength of mind and body!\I wish for you to utilize those powers to the utmost in today's competition!\Do we really need smarts for this? response:	Seems pretty much just physical endurance to me.
context: Last year was horrible...\What punishment?\Quiet, everyone!\All members of Fairy Tail!\A wizard is one with both strength of mind and body!\I wish for you to utilize those powers to the utmost in today's competition!\Do we really need smarts for this?\Seems pretty much just physical endurance to me. response:	The rules are simple!
context: What punishment?\Quiet, everyone!\All members of Fairy Tail!\A wizard is one with both strength of mind and body!\I wish for you to utilize those powers to the utmost in today's competition!\Do we really need smarts for this?\Seems pretty much just physical endurance to me.\The rules are simple! response:	You will run as fast as you can from the start line,
context: Quiet, everyone!\All members of Fairy Tail!\A wizard is one with both strength of mind and body!\I wish for you to utilize those powers to the utmost in today's competition!\Do we really need smarts for this?\Seems pretty much just physical endurance to me.\The rules are simple!\You will run as fast as you can from the start line, response:	then here along the appointed course, heading for Mt. Ivor!
context: All members of Fairy Tail!\A wizard is one with both strength of mind and body!\I wish for you to utilize those powers to the utmost in today's competition!\Do we really need smarts for this?\Seems pretty much just physical endurance to me.\The rules are simple!\You will run as fast as you can from the start line,\then here along the appointed course, heading for Mt. Ivor! response:	This year, I have left Wyvern scales at the top of Mt. Ivor!
context: A wizard is one with both strength of mind and body!\I wish for you to utilize those powers to the utmost in today's competition!\Do we really need smarts for this?\Seems pretty much just physical endurance to me.\The rules are simple!\You will run as fast as you can from the start line,\then here along the appointed course, heading for Mt. Ivor!\This year, I have left Wyvern scales at the top of Mt. Ivor! response:	You will take one of those scales, and return here within 24 hours!
context: I wish for you to utilize those powers to the utmost in today's competition!\Do we really need smarts for this?\Seems pretty much just physical endurance to me.\The rules are simple!\You will run as fast as you can from the start line,\then here along the appointed course, heading for Mt. Ivor!\This year, I have left Wyvern scales at the top of Mt. Ivor!\You will take one of those scales, and return here within 24 hours! response:	I won't accept any dropouts.
context: Do we really need smarts for this?\Seems pretty much just physical endurance to me.\The rules are simple!\You will run as fast as you can from the start line,\then here along the appointed course, heading for Mt. Ivor!\This year, I have left Wyvern scales at the top of Mt. Ivor!\You will take one of those scales, and return here within 24 hours!\I won't accept any dropouts. response:	If you are a Fairy Tail Wizard, then you will run the distance,
context: Seems pretty much just physical endurance to me.\The rules are simple!\You will run as fast as you can from the start line,\then here along the appointed course, heading for Mt. Ivor!\This year, I have left Wyvern scales at the top of Mt. Ivor!\You will take one of those scales, and return here within 24 hours!\I won't accept any dropouts.\If you are a Fairy Tail Wizard, then you will run the distance, response:	all the way to your next job tomorrow!
context: The rules are simple!\You will run as fast as you can from the start line,\then here along the appointed course, heading for Mt. Ivor!\This year, I have left Wyvern scales at the top of Mt. Ivor!\You will take one of those scales, and return here within 24 hours!\I won't accept any dropouts.\If you are a Fairy Tail Wizard, then you will run the distance,\all the way to your next job tomorrow! response:	Furthermore, I am imposing a new regulation this year at the urging of many...
context: You will run as fast as you can from the start line,\then here along the appointed course, heading for Mt. Ivor!\This year, I have left Wyvern scales at the top of Mt. Ivor!\You will take one of those scales, and return here within 24 hours!\I won't accept any dropouts.\If you are a Fairy Tail Wizard, then you will run the distance,\all the way to your next job tomorrow!\Furthermore, I am imposing a new regulation this year at the urging of many... response:	Flying magic is forbidden!
context: then here along the appointed course, heading for Mt. Ivor!\This year, I have left Wyvern scales at the top of Mt. Ivor!\You will take one of those scales, and return here within 24 hours!\I won't accept any dropouts.\If you are a Fairy Tail Wizard, then you will run the distance,\all the way to your next job tomorrow!\Furthermore, I am imposing a new regulation this year at the urging of many...\Flying magic is forbidden! response:	Other than that, any type of magic is allowed!
context: This year, I have left Wyvern scales at the top of Mt. Ivor!\You will take one of those scales, and return here within 24 hours!\I won't accept any dropouts.\If you are a Fairy Tail Wizard, then you will run the distance,\all the way to your next job tomorrow!\Furthermore, I am imposing a new regulation this year at the urging of many...\Flying magic is forbidden!\Other than that, any type of magic is allowed! response:	He's one crafty old fox...
context: You will take one of those scales, and return here within 24 hours!\I won't accept any dropouts.\If you are a Fairy Tail Wizard, then you will run the distance,\all the way to your next job tomorrow!\Furthermore, I am imposing a new regulation this year at the urging of many...\Flying magic is forbidden!\Other than that, any type of magic is allowed!\He's one crafty old fox... response:	Every year he just goes overboard...
context: I won't accept any dropouts.\If you are a Fairy Tail Wizard, then you will run the distance,\all the way to your next job tomorrow!\Furthermore, I am imposing a new regulation this year at the urging of many...\Flying magic is forbidden!\Other than that, any type of magic is allowed!\He's one crafty old fox...\Every year he just goes overboard... response:	And of course, the person who comes in last
context: If you are a Fairy Tail Wizard, then you will run the distance,\all the way to your next job tomorrow!\Furthermore, I am imposing a new regulation this year at the urging of many...\Flying magic is forbidden!\Other than that, any type of magic is allowed!\He's one crafty old fox...\Every year he just goes overboard...\And of course, the person who comes in last response:	will face a punishment of which there is nothing scarier on the planet!
context: all the way to your next job tomorrow!\Furthermore, I am imposing a new regulation this year at the urging of many...\Flying magic is forbidden!\Other than that, any type of magic is allowed!\He's one crafty old fox...\Every year he just goes overboard...\And of course, the person who comes in last\will face a punishment of which there is nothing scarier on the planet! response:	Isn't this all because the master looks forward to giving out the punishment?
context: Furthermore, I am imposing a new regulation this year at the urging of many...\Flying magic is forbidden!\Other than that, any type of magic is allowed!\He's one crafty old fox...\Every year he just goes overboard...\And of course, the person who comes in last\will face a punishment of which there is nothing scarier on the planet!\Isn't this all because the master looks forward to giving out the punishment? response:	Last year was just awful...
context: Flying magic is forbidden!\Other than that, any type of magic is allowed!\He's one crafty old fox...\Every year he just goes overboard...\And of course, the person who comes in last\will face a punishment of which there is nothing scarier on the planet!\Isn't this all because the master looks forward to giving out the punishment?\Last year was just awful... response:	It's only one person, though.
context: Other than that, any type of magic is allowed!\He's one crafty old fox...\Every year he just goes overboard...\And of course, the person who comes in last\will face a punishment of which there is nothing scarier on the planet!\Isn't this all because the master looks forward to giving out the punishment?\Last year was just awful...\It's only one person, though. response:	As long as you don't come in last, what's the problem?
context: He's one crafty old fox...\Every year he just goes overboard...\And of course, the person who comes in last\will face a punishment of which there is nothing scarier on the planet!\Isn't this all because the master looks forward to giving out the punishment?\Last year was just awful...\It's only one person, though.\As long as you don't come in last, what's the problem? response:	That is a quite logical way of thinking.
context: Every year he just goes overboard...\And of course, the person who comes in last\will face a punishment of which there is nothing scarier on the planet!\Isn't this all because the master looks forward to giving out the punishment?\Last year was just awful...\It's only one person, though.\As long as you don't come in last, what's the problem?\That is a quite logical way of thinking. response:	But it is far too negative!
context: And of course, the person who comes in last\will face a punishment of which there is nothing scarier on the planet!\Isn't this all because the master looks forward to giving out the punishment?\Last year was just awful...\It's only one person, though.\As long as you don't come in last, what's the problem?\That is a quite logical way of thinking.\But it is far too negative! response:	Oh, yeah?
context: will face a punishment of which there is nothing scarier on the planet!\Isn't this all because the master looks forward to giving out the punishment?\Last year was just awful...\It's only one person, though.\As long as you don't come in last, what's the problem?\That is a quite logical way of thinking.\But it is far too negative!\Oh, yeah? response:	I compete only to win.
context: Isn't this all because the master looks forward to giving out the punishment?\Last year was just awful...\It's only one person, though.\As long as you don't come in last, what's the problem?\That is a quite logical way of thinking.\But it is far too negative!\Oh, yeah?\I compete only to win. response:	This is a special outfit that reduces my muscle fatigue,
context: Last year was just awful...\It's only one person, though.\As long as you don't come in last, what's the problem?\That is a quite logical way of thinking.\But it is far too negative!\Oh, yeah?\I compete only to win.\This is a special outfit that reduces my muscle fatigue, response:	allowing me to run continuously for a long time.
context: It's only one person, though.\As long as you don't come in last, what's the problem?\That is a quite logical way of thinking.\But it is far too negative!\Oh, yeah?\I compete only to win.\This is a special outfit that reduces my muscle fatigue,\allowing me to run continuously for a long time. response:	She's really going for the win...
context: As long as you don't come in last, what's the problem?\That is a quite logical way of thinking.\But it is far too negative!\Oh, yeah?\I compete only to win.\This is a special outfit that reduces my muscle fatigue,\allowing me to run continuously for a long time.\She's really going for the win... response:	Happy. Today only, we're rivals.
context: That is a quite logical way of thinking.\But it is far too negative!\Oh, yeah?\I compete only to win.\This is a special outfit that reduces my muscle fatigue,\allowing me to run continuously for a long time.\She's really going for the win...\Happy. Today only, we're rivals. response:	I ain't gonna go easy on you.
context: But it is far too negative!\Oh, yeah?\I compete only to win.\This is a special outfit that reduces my muscle fatigue,\allowing me to run continuously for a long time.\She's really going for the win...\Happy. Today only, we're rivals.\I ain't gonna go easy on you. response:	I know!
context: Oh, yeah?\I compete only to win.\This is a special outfit that reduces my muscle fatigue,\allowing me to run continuously for a long time.\She's really going for the win...\Happy. Today only, we're rivals.\I ain't gonna go easy on you.\I know! response:	But...
context: I compete only to win.\This is a special outfit that reduces my muscle fatigue,\allowing me to run continuously for a long time.\She's really going for the win...\Happy. Today only, we're rivals.\I ain't gonna go easy on you.\I know!\But... response:	This new rule sucks big time.
context: This is a special outfit that reduces my muscle fatigue,\allowing me to run continuously for a long time.\She's really going for the win...\Happy. Today only, we're rivals.\I ain't gonna go easy on you.\I know!\But...\This new rule sucks big time. response:	D-Dark!
context: allowing me to run continuously for a long time.\She's really going for the win...\Happy. Today only, we're rivals.\I ain't gonna go easy on you.\I know!\But...\This new rule sucks big time.\D-Dark! response:	Now... It's finally time for the start!
context: She's really going for the win...\Happy. Today only, we're rivals.\I ain't gonna go easy on you.\I know!\But...\This new rule sucks big time.\D-Dark!\Now... It's finally time for the start! response:	Everyone, to the start line!
context: Happy. Today only, we're rivals.\I ain't gonna go easy on you.\I know!\But...\This new rule sucks big time.\D-Dark!\Now... It's finally time for the start!\Everyone, to the start line! response:	Levy, watch my start!
context: I ain't gonna go easy on you.\I know!\But...\This new rule sucks big time.\D-Dark!\Now... It's finally time for the start!\Everyone, to the start line!\Levy, watch my start! response:	I don't have time for that!
context: I know!\But...\This new rule sucks big time.\D-Dark!\Now... It's finally time for the start!\Everyone, to the start line!\Levy, watch my start!\I don't have time for that! response:	He just wants to show you how cool he is.
context: But...\This new rule sucks big time.\D-Dark!\Now... It's finally time for the start!\Everyone, to the start line!\Levy, watch my start!\I don't have time for that!\He just wants to show you how cool he is. response:	You probably don't realize, Lu-chan, but I couldn't watch him at the start if I wanted to.
context: This new rule sucks big time.\D-Dark!\Now... It's finally time for the start!\Everyone, to the start line!\Levy, watch my start!\I don't have time for that!\He just wants to show you how cool he is.\You probably don't realize, Lu-chan, but I couldn't watch him at the start if I wanted to. response:	Ready!
context: D-Dark!\Now... It's finally time for the start!\Everyone, to the start line!\Levy, watch my start!\I don't have time for that!\He just wants to show you how cool he is.\You probably don't realize, Lu-chan, but I couldn't watch him at the start if I wanted to.\Ready! response:	Bam!
context: Now... It's finally time for the start!\Everyone, to the start line!\Levy, watch my start!\I don't have time for that!\He just wants to show you how cool he is.\You probably don't realize, Lu-chan, but I couldn't watch him at the start if I wanted to.\Ready!\Bam! response:	Here I go!
context: Everyone, to the start line!\Levy, watch my start!\I don't have time for that!\He just wants to show you how cool he is.\You probably don't realize, Lu-chan, but I couldn't watch him at the start if I wanted to.\Ready!\Bam!\Here I go! response:	High Speed!
context: Levy, watch my start!\I don't have time for that!\He just wants to show you how cool he is.\You probably don't realize, Lu-chan, but I couldn't watch him at the start if I wanted to.\Ready!\Bam!\Here I go!\High Speed! response:	Pulling away right at the start is Jet again this year!
context: I don't have time for that!\He just wants to show you how cool he is.\You probably don't realize, Lu-chan, but I couldn't watch him at the start if I wanted to.\Ready!\Bam!\Here I go!\High Speed!\Pulling away right at the start is Jet again this year! response:	Couldn't see him, right?
context: He just wants to show you how cool he is.\You probably don't realize, Lu-chan, but I couldn't watch him at the start if I wanted to.\Ready!\Bam!\Here I go!\High Speed!\Pulling away right at the start is Jet again this year!\Couldn't see him, right? response:	No kidding...
context: You probably don't realize, Lu-chan, but I couldn't watch him at the start if I wanted to.\Ready!\Bam!\Here I go!\High Speed!\Pulling away right at the start is Jet again this year!\Couldn't see him, right?\No kidding... response:	Seriously?!
context: Ready!\Bam!\Here I go!\High Speed!\Pulling away right at the start is Jet again this year!\Couldn't see him, right?\No kidding...\Seriously?! response:	Check out my secret weapon!
context: Bam!\Here I go!\High Speed!\Pulling away right at the start is Jet again this year!\Couldn't see him, right?\No kidding...\Seriously?!\Check out my secret weapon! response:	It's Fists of the Fire Dragon boosters!
context: Here I go!\High Speed!\Pulling away right at the start is Jet again this year!\Couldn't see him, right?\No kidding...\Seriously?!\Check out my secret weapon!\It's Fists of the Fire Dragon boosters! response:	Jet, Natsu! That's totally not right!
context: High Speed!\Pulling away right at the start is Jet again this year!\Couldn't see him, right?\No kidding...\Seriously?!\Check out my secret weapon!\It's Fists of the Fire Dragon boosters!\Jet, Natsu! That's totally not right! response:	Lucy-san, Levy-san, if you'll pardon us!
context: Pulling away right at the start is Jet again this year!\Couldn't see him, right?\No kidding...\Seriously?!\Check out my secret weapon!\It's Fists of the Fire Dragon boosters!\Jet, Natsu! That's totally not right!\Lucy-san, Levy-san, if you'll pardon us! response:	Today, everyone is our enemy.
context: Couldn't see him, right?\No kidding...\Seriously?!\Check out my secret weapon!\It's Fists of the Fire Dragon boosters!\Jet, Natsu! That's totally not right!\Lucy-san, Levy-san, if you'll pardon us!\Today, everyone is our enemy. response:	You really don't have to be so polite.
context: No kidding...\Seriously?!\Check out my secret weapon!\It's Fists of the Fire Dragon boosters!\Jet, Natsu! That's totally not right!\Lucy-san, Levy-san, if you'll pardon us!\Today, everyone is our enemy.\You really don't have to be so polite. response:	Crap!
context: Seriously?!\Check out my secret weapon!\It's Fists of the Fire Dragon boosters!\Jet, Natsu! That's totally not right!\Lucy-san, Levy-san, if you'll pardon us!\Today, everyone is our enemy.\You really don't have to be so polite.\Crap! response:	We're the last ones!
context: Check out my secret weapon!\It's Fists of the Fire Dragon boosters!\Jet, Natsu! That's totally not right!\Lucy-san, Levy-san, if you'll pardon us!\Today, everyone is our enemy.\You really don't have to be so polite.\Crap!\We're the last ones! response:	Now then, who'll be getting the punishment?
context: It's Fists of the Fire Dragon boosters!\Jet, Natsu! That's totally not right!\Lucy-san, Levy-san, if you'll pardon us!\Today, everyone is our enemy.\You really don't have to be so polite.\Crap!\We're the last ones!\Now then, who'll be getting the punishment? response:	I can't wait!
context: Jet, Natsu! That's totally not right!\Lucy-san, Levy-san, if you'll pardon us!\Today, everyone is our enemy.\You really don't have to be so polite.\Crap!\We're the last ones!\Now then, who'll be getting the punishment?\I can't wait! response:	Sorry, Happy!
context: Lucy-san, Levy-san, if you'll pardon us!\Today, everyone is our enemy.\You really don't have to be so polite.\Crap!\We're the last ones!\Now then, who'll be getting the punishment?\I can't wait!\Sorry, Happy! response:	See ya!
context: Today, everyone is our enemy.\You really don't have to be so polite.\Crap!\We're the last ones!\Now then, who'll be getting the punishment?\I can't wait!\Sorry, Happy!\See ya! response:	Jet's already running off by himself!
context: You really don't have to be so polite.\Crap!\We're the last ones!\Now then, who'll be getting the punishment?\I can't wait!\Sorry, Happy!\See ya!\Jet's already running off by himself! response:	And behind him, Natsu!
context: Crap!\We're the last ones!\Now then, who'll be getting the punishment?\I can't wait!\Sorry, Happy!\See ya!\Jet's already running off by himself!\And behind him, Natsu! response:	The idea of using his Fists of the Fire Dragon as boosters is totally cool!
context: We're the last ones!\Now then, who'll be getting the punishment?\I can't wait!\Sorry, Happy!\See ya!\Jet's already running off by himself!\And behind him, Natsu!\The idea of using his Fists of the Fire Dragon as boosters is totally cool! response:	Then there's Erza and Gajeel leading a huge pack!
context: Now then, who'll be getting the punishment?\I can't wait!\Sorry, Happy!\See ya!\Jet's already running off by himself!\And behind him, Natsu!\The idea of using his Fists of the Fire Dragon as boosters is totally cool!\Then there's Erza and Gajeel leading a huge pack! response:	Who will it be that makes a break for it?
context: I can't wait!\Sorry, Happy!\See ya!\Jet's already running off by himself!\And behind him, Natsu!\The idea of using his Fists of the Fire Dragon as boosters is totally cool!\Then there's Erza and Gajeel leading a huge pack!\Who will it be that makes a break for it? response:	Let's hear from our expert commentator, Mirajane!
context: Sorry, Happy!\See ya!\Jet's already running off by himself!\And behind him, Natsu!\The idea of using his Fists of the Fire Dragon as boosters is totally cool!\Then there's Erza and Gajeel leading a huge pack!\Who will it be that makes a break for it?\Let's hear from our expert commentator, Mirajane! response:	Jet's so fast...
context: See ya!\Jet's already running off by himself!\And behind him, Natsu!\The idea of using his Fists of the Fire Dragon as boosters is totally cool!\Then there's Erza and Gajeel leading a huge pack!\Who will it be that makes a break for it?\Let's hear from our expert commentator, Mirajane!\Jet's so fast... response:	Pict Magic!
context: Jet's already running off by himself!\And behind him, Natsu!\The idea of using his Fists of the Fire Dragon as boosters is totally cool!\Then there's Erza and Gajeel leading a huge pack!\Who will it be that makes a break for it?\Let's hear from our expert commentator, Mirajane!\Jet's so fast...\Pict Magic! response:	What a cinch!
context: And behind him, Natsu!\The idea of using his Fists of the Fire Dragon as boosters is totally cool!\Then there's Erza and Gajeel leading a huge pack!\Who will it be that makes a break for it?\Let's hear from our expert commentator, Mirajane!\Jet's so fast...\Pict Magic!\What a cinch! response:	Everyone, fall!
context: The idea of using his Fists of the Fire Dragon as boosters is totally cool!\Then there's Erza and Gajeel leading a huge pack!\Who will it be that makes a break for it?\Let's hear from our expert commentator, Mirajane!\Jet's so fast...\Pict Magic!\What a cinch!\Everyone, fall! response:	That's what you get for layin' back and paintin'!
context: Then there's Erza and Gajeel leading a huge pack!\Who will it be that makes a break for it?\Let's hear from our expert commentator, Mirajane!\Jet's so fast...\Pict Magic!\What a cinch!\Everyone, fall!\That's what you get for layin' back and paintin'! response:	Ice Make Floor!
context: Who will it be that makes a break for it?\Let's hear from our expert commentator, Mirajane!\Jet's so fast...\Pict Magic!\What a cinch!\Everyone, fall!\That's what you get for layin' back and paintin'!\Ice Make Floor! response:	All's fair!
context: Let's hear from our expert commentator, Mirajane!\Jet's so fast...\Pict Magic!\What a cinch!\Everyone, fall!\That's what you get for layin' back and paintin'!\Ice Make Floor!\All's fair! response:	Gray, you bastard!
context: Jet's so fast...\Pict Magic!\What a cinch!\Everyone, fall!\That's what you get for layin' back and paintin'!\Ice Make Floor!\All's fair!\Gray, you bastard! response:	Beast Arm...
