context: This is a story about my father, my mother, and me. response:	About our family of three.
context: It's all pervy!\That's when my father, for my sake,\swore to hide his profession for his whole life.\That takes me back! Testi-Coool, right?\I used to copy it and get in so much trouble\I used to copy it and get in so much trouble\Hey.\I told you to never leave one of my books out at the office, didn't I? response:	I-It's my own copy.
context: That's when my father, for my sake,\swore to hide his profession for his whole life.\That takes me back! Testi-Coool, right?\I used to copy it and get in so much trouble\I used to copy it and get in so much trouble\Hey.\I told you to never leave one of my books out at the office, didn't I?\I-It's my own copy. response:	Why do I take the weekly manuscript,
context: swore to hide his profession for his whole life.\That takes me back! Testi-Coool, right?\I used to copy it and get in so much trouble\I used to copy it and get in so much trouble\Hey.\I told you to never leave one of my books out at the office, didn't I?\I-It's my own copy.\Why do I take the weekly manuscript, response:	and put it in storage far away, huh?!
context: That takes me back! Testi-Coool, right?\I used to copy it and get in so much trouble\I used to copy it and get in so much trouble\Hey.\I told you to never leave one of my books out at the office, didn't I?\I-It's my own copy.\Why do I take the weekly manuscript,\and put it in storage far away, huh?! response:	Why do I keep this place from looking like a manga author's office?!
context: I used to copy it and get in so much trouble\I used to copy it and get in so much trouble\Hey.\I told you to never leave one of my books out at the office, didn't I?\I-It's my own copy.\Why do I take the weekly manuscript,\and put it in storage far away, huh?!\Why do I keep this place from looking like a manga author's office?! response:	If by some chance Hime came,
context: I used to copy it and get in so much trouble\Hey.\I told you to never leave one of my books out at the office, didn't I?\I-It's my own copy.\Why do I take the weekly manuscript,\and put it in storage far away, huh?!\Why do I keep this place from looking like a manga author's office?!\If by some chance Hime came, response:	if Hime learned her father writes a manga full of dirty jokes,
context: Hey.\I told you to never leave one of my books out at the office, didn't I?\I-It's my own copy.\Why do I take the weekly manuscript,\and put it in storage far away, huh?!\Why do I keep this place from looking like a manga author's office?!\If by some chance Hime came,\if Hime learned her father writes a manga full of dirty jokes, response:	what would you do then, huh?!
context: I told you to never leave one of my books out at the office, didn't I?\I-It's my own copy.\Why do I take the weekly manuscript,\and put it in storage far away, huh?!\Why do I keep this place from looking like a manga author's office?!\If by some chance Hime came,\if Hime learned her father writes a manga full of dirty jokes,\what would you do then, huh?! response:	She'd close her heart, and no matter what I say,
context: I-It's my own copy.\Why do I take the weekly manuscript,\and put it in storage far away, huh?!\Why do I keep this place from looking like a manga author's office?!\If by some chance Hime came,\if Hime learned her father writes a manga full of dirty jokes,\what would you do then, huh?!\She'd close her heart, and no matter what I say, response:	If you have something to say, put it in a manga.
context: Why do I take the weekly manuscript,\and put it in storage far away, huh?!\Why do I keep this place from looking like a manga author's office?!\If by some chance Hime came,\if Hime learned her father writes a manga full of dirty jokes,\what would you do then, huh?!\She'd close her heart, and no matter what I say,\If you have something to say, put it in a manga. response:	If she said that, Daddy couldn't go on living!
context: and put it in storage far away, huh?!\Why do I keep this place from looking like a manga author's office?!\If by some chance Hime came,\if Hime learned her father writes a manga full of dirty jokes,\what would you do then, huh?!\She'd close her heart, and no matter what I say,\If you have something to say, put it in a manga.\If she said that, Daddy couldn't go on living! response:	Even if you say that,
context: Why do I keep this place from looking like a manga author's office?!\If by some chance Hime came,\if Hime learned her father writes a manga full of dirty jokes,\what would you do then, huh?!\She'd close her heart, and no matter what I say,\If you have something to say, put it in a manga.\If she said that, Daddy couldn't go on living!\Even if you say that, response:	how long do you think we can hide this, anyway?
context: If by some chance Hime came,\if Hime learned her father writes a manga full of dirty jokes,\what would you do then, huh?!\She'd close her heart, and no matter what I say,\If you have something to say, put it in a manga.\If she said that, Daddy couldn't go on living!\Even if you say that,\how long do you think we can hide this, anyway? response:	You're new here, so you might not know,
context: if Hime learned her father writes a manga full of dirty jokes,\what would you do then, huh?!\She'd close her heart, and no matter what I say,\If you have something to say, put it in a manga.\If she said that, Daddy couldn't go on living!\Even if you say that,\how long do you think we can hide this, anyway?\You're new here, so you might not know, response:	but he leaves home in a suit to avoid discovery,
context: what would you do then, huh?!\She'd close her heart, and no matter what I say,\If you have something to say, put it in a manga.\If she said that, Daddy couldn't go on living!\Even if you say that,\how long do you think we can hide this, anyway?\You're new here, so you might not know,\but he leaves home in a suit to avoid discovery, response:	but he leaves home in a suit to avoid discovery,
context: She'd close her heart, and no matter what I say,\If you have something to say, put it in a manga.\If she said that, Daddy couldn't go on living!\Even if you say that,\how long do you think we can hide this, anyway?\You're new here, so you might not know,\but he leaves home in a suit to avoid discovery,\but he leaves home in a suit to avoid discovery, response:	then changes while he's on his way here.
context: If you have something to say, put it in a manga.\If she said that, Daddy couldn't go on living!\Even if you say that,\how long do you think we can hide this, anyway?\You're new here, so you might not know,\but he leaves home in a suit to avoid discovery,\but he leaves home in a suit to avoid discovery,\then changes while he's on his way here. response:	then changes while he's on his way here.
context: If she said that, Daddy couldn't go on living!\Even if you say that,\how long do you think we can hide this, anyway?\You're new here, so you might not know,\but he leaves home in a suit to avoid discovery,\but he leaves home in a suit to avoid discovery,\then changes while he's on his way here.\then changes while he's on his way here. response:	Why don't you just draw in your suit?
context: Even if you say that,\how long do you think we can hide this, anyway?\You're new here, so you might not know,\but he leaves home in a suit to avoid discovery,\but he leaves home in a suit to avoid discovery,\then changes while he's on his way here.\then changes while he's on his way here.\Why don't you just draw in your suit? response:	Why don't you just draw in your suit?
context: how long do you think we can hide this, anyway?\You're new here, so you might not know,\but he leaves home in a suit to avoid discovery,\but he leaves home in a suit to avoid discovery,\then changes while he's on his way here.\then changes while he's on his way here.\Why don't you just draw in your suit?\Why don't you just draw in your suit? response:	He can't draw unless he's in those loose clothes.
context: You're new here, so you might not know,\but he leaves home in a suit to avoid discovery,\but he leaves home in a suit to avoid discovery,\then changes while he's on his way here.\then changes while he's on his way here.\Why don't you just draw in your suit?\Why don't you just draw in your suit?\He can't draw unless he's in those loose clothes. response:	Even that's a huge improvement, you know.
context: but he leaves home in a suit to avoid discovery,\but he leaves home in a suit to avoid discovery,\then changes while he's on his way here.\then changes while he's on his way here.\Why don't you just draw in your suit?\Why don't you just draw in your suit?\He can't draw unless he's in those loose clothes.\Even that's a huge improvement, you know. response:	It used to be he could only draw naked!
context: but he leaves home in a suit to avoid discovery,\then changes while he's on his way here.\then changes while he's on his way here.\Why don't you just draw in your suit?\Why don't you just draw in your suit?\He can't draw unless he's in those loose clothes.\Even that's a huge improvement, you know.\It used to be he could only draw naked! response:	You're kidding.
context: then changes while he's on his way here.\then changes while he's on his way here.\Why don't you just draw in your suit?\Why don't you just draw in your suit?\He can't draw unless he's in those loose clothes.\Even that's a huge improvement, you know.\It used to be he could only draw naked!\You're kidding. response:	Eccentric artists are a common thing.
context: then changes while he's on his way here.\Why don't you just draw in your suit?\Why don't you just draw in your suit?\He can't draw unless he's in those loose clothes.\Even that's a huge improvement, you know.\It used to be he could only draw naked!\You're kidding.\Eccentric artists are a common thing. response:	Well, in Goto's case,
context: Why don't you just draw in your suit?\Why don't you just draw in your suit?\He can't draw unless he's in those loose clothes.\Even that's a huge improvement, you know.\It used to be he could only draw naked!\You're kidding.\Eccentric artists are a common thing.\Well, in Goto's case, response:	his thing was what was common.
context: Why don't you just draw in your suit?\He can't draw unless he's in those loose clothes.\Even that's a huge improvement, you know.\It used to be he could only draw naked!\You're kidding.\Eccentric artists are a common thing.\Well, in Goto's case,\his thing was what was common. response:	But he did put in some blood, sweat, and tears to get to where he is now.
context: He can't draw unless he's in those loose clothes.\Even that's a huge improvement, you know.\It used to be he could only draw naked!\You're kidding.\Eccentric artists are a common thing.\Well, in Goto's case,\his thing was what was common.\But he did put in some blood, sweat, and tears to get to where he is now. response:	After Hime was born, get it?
context: Even that's a huge improvement, you know.\It used to be he could only draw naked!\You're kidding.\Eccentric artists are a common thing.\Well, in Goto's case,\his thing was what was common.\But he did put in some blood, sweat, and tears to get to where he is now.\After Hime was born, get it? response:	Hime, what does your daddy do for work?
context: It used to be he could only draw naked!\You're kidding.\Eccentric artists are a common thing.\Well, in Goto's case,\his thing was what was common.\But he did put in some blood, sweat, and tears to get to where he is now.\After Hime was born, get it?\Hime, what does your daddy do for work? response:	I dunno!
context: You're kidding.\Eccentric artists are a common thing.\Well, in Goto's case,\his thing was what was common.\But he did put in some blood, sweat, and tears to get to where he is now.\After Hime was born, get it?\Hime, what does your daddy do for work?\I dunno! response:	But he does work.
context: Eccentric artists are a common thing.\Well, in Goto's case,\his thing was what was common.\But he did put in some blood, sweat, and tears to get to where he is now.\After Hime was born, get it?\Hime, what does your daddy do for work?\I dunno!\But he does work. response:	That's no good.
context: Well, in Goto's case,\his thing was what was common.\But he did put in some blood, sweat, and tears to get to where he is now.\After Hime was born, get it?\Hime, what does your daddy do for work?\I dunno!\But he does work.\That's no good. response:	Ms. Ichiko said not to ask people what their mommies and daddies do!
context: his thing was what was common.\But he did put in some blood, sweat, and tears to get to where he is now.\After Hime was born, get it?\Hime, what does your daddy do for work?\I dunno!\But he does work.\That's no good.\Ms. Ichiko said not to ask people what their mommies and daddies do! response:	Why not?
context: But he did put in some blood, sweat, and tears to get to where he is now.\After Hime was born, get it?\Hime, what does your daddy do for work?\I dunno!\But he does work.\That's no good.\Ms. Ichiko said not to ask people what their mommies and daddies do!\Why not? response:	Because personal info can lead to work discrimination.
context: After Hime was born, get it?\Hime, what does your daddy do for work?\I dunno!\But he does work.\That's no good.\Ms. Ichiko said not to ask people what their mommies and daddies do!\Why not?\Because personal info can lead to work discrimination. response:	Right, Ms. Ichiko?
context: Hime, what does your daddy do for work?\I dunno!\But he does work.\That's no good.\Ms. Ichiko said not to ask people what their mommies and daddies do!\Why not?\Because personal info can lead to work discrimination.\Right, Ms. Ichiko? response:	That's right. Don't ask if they don't want to say.
context: I dunno!\But he does work.\That's no good.\Ms. Ichiko said not to ask people what their mommies and daddies do!\Why not?\Because personal info can lead to work discrimination.\Right, Ms. Ichiko?\That's right. Don't ask if they don't want to say. response:	Ms. Ichiko!
context: But he does work.\That's no good.\Ms. Ichiko said not to ask people what their mommies and daddies do!\Why not?\Because personal info can lead to work discrimination.\Right, Ms. Ichiko?\That's right. Don't ask if they don't want to say.\Ms. Ichiko! response:	Ugh, fine.
context: That's no good.\Ms. Ichiko said not to ask people what their mommies and daddies do!\Why not?\Because personal info can lead to work discrimination.\Right, Ms. Ichiko?\That's right. Don't ask if they don't want to say.\Ms. Ichiko!\Ugh, fine. response:	That's a good girl, Hina.
context: Ms. Ichiko said not to ask people what their mommies and daddies do!\Why not?\Because personal info can lead to work discrimination.\Right, Ms. Ichiko?\That's right. Don't ask if they don't want to say.\Ms. Ichiko!\Ugh, fine.\That's a good girl, Hina. response:	I think drawing manga is a respectable job, though.
context: Why not?\Because personal info can lead to work discrimination.\Right, Ms. Ichiko?\That's right. Don't ask if they don't want to say.\Ms. Ichiko!\Ugh, fine.\That's a good girl, Hina.\I think drawing manga is a respectable job, though. response:	Why are you hiding it from Hime?
context: Because personal info can lead to work discrimination.\Right, Ms. Ichiko?\That's right. Don't ask if they don't want to say.\Ms. Ichiko!\Ugh, fine.\That's a good girl, Hina.\I think drawing manga is a respectable job, though.\Why are you hiding it from Hime? response:	I don't draw One Piece or Anpanman.
context: Right, Ms. Ichiko?\That's right. Don't ask if they don't want to say.\Ms. Ichiko!\Ugh, fine.\That's a good girl, Hina.\I think drawing manga is a respectable job, though.\Why are you hiding it from Hime?\I don't draw One Piece or Anpanman. response:	I know that!
context: That's right. Don't ask if they don't want to say.\Ms. Ichiko!\Ugh, fine.\That's a good girl, Hina.\I think drawing manga is a respectable job, though.\Why are you hiding it from Hime?\I don't draw One Piece or Anpanman.\I know that! response:	I read Testi-Coool!
context: Ms. Ichiko!\Ugh, fine.\That's a good girl, Hina.\I think drawing manga is a respectable job, though.\Why are you hiding it from Hime?\I don't draw One Piece or Anpanman.\I know that!\I read Testi-Coool! response:	I'm a fan of your work!
context: Ugh, fine.\That's a good girl, Hina.\I think drawing manga is a respectable job, though.\Why are you hiding it from Hime?\I don't draw One Piece or Anpanman.\I know that!\I read Testi-Coool!\I'm a fan of your work! response:	Please never say those words again.
context: That's a good girl, Hina.\I think drawing manga is a respectable job, though.\Why are you hiding it from Hime?\I don't draw One Piece or Anpanman.\I know that!\I read Testi-Coool!\I'm a fan of your work!\Please never say those words again. response:	Mr. Goto?
context: I think drawing manga is a respectable job, though.\Why are you hiding it from Hime?\I don't draw One Piece or Anpanman.\I know that!\I read Testi-Coool!\I'm a fan of your work!\Please never say those words again.\Mr. Goto? response:	If you ever said it in front of Hime,
context: Why are you hiding it from Hime?\I don't draw One Piece or Anpanman.\I know that!\I read Testi-Coool!\I'm a fan of your work!\Please never say those words again.\Mr. Goto?\If you ever said it in front of Hime, response:	there's no telling what'd happen to me!
context: I don't draw One Piece or Anpanman.\I know that!\I read Testi-Coool!\I'm a fan of your work!\Please never say those words again.\Mr. Goto?\If you ever said it in front of Hime,\there's no telling what'd happen to me! response:	But Goto, you're already plenty famous!
context: I know that!\I read Testi-Coool!\I'm a fan of your work!\Please never say those words again.\Mr. Goto?\If you ever said it in front of Hime,\there's no telling what'd happen to me!\But Goto, you're already plenty famous! response:	You can be more confident!
context: I read Testi-Coool!\I'm a fan of your work!\Please never say those words again.\Mr. Goto?\If you ever said it in front of Hime,\there's no telling what'd happen to me!\But Goto, you're already plenty famous!\You can be more confident! response:	You have no idea how society treats manga authors.
context: I'm a fan of your work!\Please never say those words again.\Mr. Goto?\If you ever said it in front of Hime,\there's no telling what'd happen to me!\But Goto, you're already plenty famous!\You can be more confident!\You have no idea how society treats manga authors. response:	At all!
context: Please never say those words again.\Mr. Goto?\If you ever said it in front of Hime,\there's no telling what'd happen to me!\But Goto, you're already plenty famous!\You can be more confident!\You have no idea how society treats manga authors.\At all! response:	Ah, Mr. Goto!
context: Mr. Goto?\If you ever said it in front of Hime,\there's no telling what'd happen to me!\But Goto, you're already plenty famous!\You can be more confident!\You have no idea how society treats manga authors.\At all!\Ah, Mr. Goto! response:	I heard from another customer. You're a manga author?
context: If you ever said it in front of Hime,\there's no telling what'd happen to me!\But Goto, you're already plenty famous!\You can be more confident!\You have no idea how society treats manga authors.\At all!\Ah, Mr. Goto!\I heard from another customer. You're a manga author? response:	See! You're famous!
context: there's no telling what'd happen to me!\But Goto, you're already plenty famous!\You can be more confident!\You have no idea how society treats manga authors.\At all!\Ah, Mr. Goto!\I heard from another customer. You're a manga author?\See! You're famous! response:	Some neighborhood kids asked me to get your autograph for them.
context: But Goto, you're already plenty famous!\You can be more confident!\You have no idea how society treats manga authors.\At all!\Ah, Mr. Goto!\I heard from another customer. You're a manga author?\See! You're famous!\Some neighborhood kids asked me to get your autograph for them. response:	Could you draw PolyCure for them?!
context: You can be more confident!\You have no idea how society treats manga authors.\At all!\Ah, Mr. Goto!\I heard from another customer. You're a manga author?\See! You're famous!\Some neighborhood kids asked me to get your autograph for them.\Could you draw PolyCure for them?! response:	See?
context: You have no idea how society treats manga authors.\At all!\Ah, Mr. Goto!\I heard from another customer. You're a manga author?\See! You're famous!\Some neighborhood kids asked me to get your autograph for them.\Could you draw PolyCure for them?!\See? response:	You drew it?!
context: At all!\Ah, Mr. Goto!\I heard from another customer. You're a manga author?\See! You're famous!\Some neighborhood kids asked me to get your autograph for them.\Could you draw PolyCure for them?!\See?\You drew it?! response:	And well, too
context: Ah, Mr. Goto!\I heard from another customer. You're a manga author?\See! You're famous!\Some neighborhood kids asked me to get your autograph for them.\Could you draw PolyCure for them?!\See?\You drew it?!\And well, too response:	A new editor?
context: I heard from another customer. You're a manga author?\See! You're famous!\Some neighborhood kids asked me to get your autograph for them.\Could you draw PolyCure for them?!\See?\You drew it?!\And well, too\A new editor? response:	I'm your new editor, Tomaruin.
context: See! You're famous!\Some neighborhood kids asked me to get your autograph for them.\Could you draw PolyCure for them?!\See?\You drew it?!\And well, too\A new editor?\I'm your new editor, Tomaruin. response:	The giveaway T-shirts are done, so I'll deliver them.
context: Some neighborhood kids asked me to get your autograph for them.\Could you draw PolyCure for them?!\See?\You drew it?!\And well, too\A new editor?\I'm your new editor, Tomaruin.\The giveaway T-shirts are done, so I'll deliver them. response:	Another new editor, huh?
context: Could you draw PolyCure for them?!\See?\You drew it?!\And well, too\A new editor?\I'm your new editor, Tomaruin.\The giveaway T-shirts are done, so I'll deliver them.\Another new editor, huh? response:	I hope the last one trained him well.
context: See?\You drew it?!\And well, too\A new editor?\I'm your new editor, Tomaruin.\The giveaway T-shirts are done, so I'll deliver them.\Another new editor, huh?\I hope the last one trained him well. response:	You've got a lot of annoying stipulations, after all.
context: You drew it?!\And well, too\A new editor?\I'm your new editor, Tomaruin.\The giveaway T-shirts are done, so I'll deliver them.\Another new editor, huh?\I hope the last one trained him well.\You've got a lot of annoying stipulations, after all. response:	He's not coming?
context: And well, too\A new editor?\I'm your new editor, Tomaruin.\The giveaway T-shirts are done, so I'll deliver them.\Another new editor, huh?\I hope the last one trained him well.\You've got a lot of annoying stipulations, after all.\He's not coming? response:	Maybe he's lost?
context: A new editor?\I'm your new editor, Tomaruin.\The giveaway T-shirts are done, so I'll deliver them.\Another new editor, huh?\I hope the last one trained him well.\You've got a lot of annoying stipulations, after all.\He's not coming?\Maybe he's lost? response:	Maybe he went to your house by mistake?
context: I'm your new editor, Tomaruin.\The giveaway T-shirts are done, so I'll deliver them.\Another new editor, huh?\I hope the last one trained him well.\You've got a lot of annoying stipulations, after all.\He's not coming?\Maybe he's lost?\Maybe he went to your house by mistake? response:	Goto!
context: The giveaway T-shirts are done, so I'll deliver them.\Another new editor, huh?\I hope the last one trained him well.\You've got a lot of annoying stipulations, after all.\He's not coming?\Maybe he's lost?\Maybe he went to your house by mistake?\Goto! response:	Dammit, what were you thinking?!
context: Another new editor, huh?\I hope the last one trained him well.\You've got a lot of annoying stipulations, after all.\He's not coming?\Maybe he's lost?\Maybe he went to your house by mistake?\Goto!\Dammit, what were you thinking?! response:	If the editor went to my house
context: I hope the last one trained him well.\You've got a lot of annoying stipulations, after all.\He's not coming?\Maybe he's lost?\Maybe he went to your house by mistake?\Goto!\Dammit, what were you thinking?!\If the editor went to my house response:	Hime would find out I'm a manga author!
context: You've got a lot of annoying stipulations, after all.\He's not coming?\Maybe he's lost?\Maybe he went to your house by mistake?\Goto!\Dammit, what were you thinking?!\If the editor went to my house\Hime would find out I'm a manga author! response:	Hime!
context: He's not coming?\Maybe he's lost?\Maybe he went to your house by mistake?\Goto!\Dammit, what were you thinking?!\If the editor went to my house\Hime would find out I'm a manga author!\Hime! response:	But really, there's no way an editor would accidentally go to my house
context: Maybe he's lost?\Maybe he went to your house by mistake?\Goto!\Dammit, what were you thinking?!\If the editor went to my house\Hime would find out I'm a manga author!\Hime!\But really, there's no way an editor would accidentally go to my house response:	Ah, Dad!
context: Maybe he went to your house by mistake?\Goto!\Dammit, what were you thinking?!\If the editor went to my house\Hime would find out I'm a manga author!\Hime!\But really, there's no way an editor would accidentally go to my house\Ah, Dad! response:	Hi there!
context: Goto!\Dammit, what were you thinking?!\If the editor went to my house\Hime would find out I'm a manga author!\Hime!\But really, there's no way an editor would accidentally go to my house\Ah, Dad!\Hi there! response:	He is here!
context: Dammit, what were you thinking?!\If the editor went to my house\Hime would find out I'm a manga author!\Hime!\But really, there's no way an editor would accidentally go to my house\Ah, Dad!\Hi there!\He is here! response:	I brought the giveaway T-shirts.
context: If the editor went to my house\Hime would find out I'm a manga author!\Hime!\But really, there's no way an editor would accidentally go to my house\Ah, Dad!\Hi there!\He is here!\I brought the giveaway T-shirts. response:	I brought the giveaway T-shirts.
context: Hime would find out I'm a manga author!\Hime!\But really, there's no way an editor would accidentally go to my house\Ah, Dad!\Hi there!\He is here!\I brought the giveaway T-shirts.\I brought the giveaway T-shirts. response:	He's wearing one!
context: Hime!\But really, there's no way an editor would accidentally go to my house\Ah, Dad!\Hi there!\He is here!\I brought the giveaway T-shirts.\I brought the giveaway T-shirts.\He's wearing one! response:	I'm your new editor, Tomaruin Satsuki.
context: But really, there's no way an editor would accidentally go to my house\Ah, Dad!\Hi there!\He is here!\I brought the giveaway T-shirts.\I brought the giveaway T-shirts.\He's wearing one!\I'm your new editor, Tomaruin Satsuki. response:	Nice to meet you, I'm Goto.
context: Ah, Dad!\Hi there!\He is here!\I brought the giveaway T-shirts.\I brought the giveaway T-shirts.\He's wearing one!\I'm your new editor, Tomaruin Satsuki.\Nice to meet you, I'm Goto. response:	A little close, aren't you?
context: Hi there!\He is here!\I brought the giveaway T-shirts.\I brought the giveaway T-shirts.\He's wearing one!\I'm your new editor, Tomaruin Satsuki.\Nice to meet you, I'm Goto.\A little close, aren't you? response:	I'll go pour you some tea, Dad.
context: He is here!\I brought the giveaway T-shirts.\I brought the giveaway T-shirts.\He's wearing one!\I'm your new editor, Tomaruin Satsuki.\Nice to meet you, I'm Goto.\A little close, aren't you?\I'll go pour you some tea, Dad. response:	Please, take your time.
context: I brought the giveaway T-shirts.\I brought the giveaway T-shirts.\He's wearing one!\I'm your new editor, Tomaruin Satsuki.\Nice to meet you, I'm Goto.\A little close, aren't you?\I'll go pour you some tea, Dad.\Please, take your time. response:	Asshole, why'd you wear it here?!
context: I brought the giveaway T-shirts.\He's wearing one!\I'm your new editor, Tomaruin Satsuki.\Nice to meet you, I'm Goto.\A little close, aren't you?\I'll go pour you some tea, Dad.\Please, take your time.\Asshole, why'd you wear it here?! response:	You damn dick cheese!
