context: Is it true, Lizardia? response:	Yes, High Priestess.
context: I wanted to show her the house she was born in.\I want to see it!\Okay, I'll be back in a bit.\They're really getting along, huh?\Ange?\I don't like it.\Any of it.\So? response:	Yes?
context: I want to see it!\Okay, I'll be back in a bit.\They're really getting along, huh?\Ange?\I don't like it.\Any of it.\So?\Yes? response:	I've had enough of this farce.
context: Okay, I'll be back in a bit.\They're really getting along, huh?\Ange?\I don't like it.\Any of it.\So?\Yes?\I've had enough of this farce. response:	What's your goal?
context: They're really getting along, huh?\Ange?\I don't like it.\Any of it.\So?\Yes?\I've had enough of this farce.\What's your goal? response:	What do you plan to do with us?
context: Ange?\I don't like it.\Any of it.\So?\Yes?\I've had enough of this farce.\What's your goal?\What do you plan to do with us? response:	They say you can't fight on an empty stomach.
context: I don't like it.\Any of it.\So?\Yes?\I've had enough of this farce.\What's your goal?\What do you plan to do with us?\They say you can't fight on an empty stomach. response:	Have you had enough to eat?
context: Any of it.\So?\Yes?\I've had enough of this farce.\What's your goal?\What do you plan to do with us?\They say you can't fight on an empty stomach.\Have you had enough to eat? response:	Huh? Yes.
context: So?\Yes?\I've had enough of this farce.\What's your goal?\What do you plan to do with us?\They say you can't fight on an empty stomach.\Have you had enough to eat?\Huh? Yes. response:	Then let us go.
context: Yes?\I've had enough of this farce.\What's your goal?\What do you plan to do with us?\They say you can't fight on an empty stomach.\Have you had enough to eat?\Huh? Yes.\Then let us go. response:	What is this?
context: I've had enough of this farce.\What's your goal?\What do you plan to do with us?\They say you can't fight on an empty stomach.\Have you had enough to eat?\Huh? Yes.\Then let us go.\What is this? response:	An ancient arena.
context: What's your goal?\What do you plan to do with us?\They say you can't fight on an empty stomach.\Have you had enough to eat?\Huh? Yes.\Then let us go.\What is this?\An ancient arena. response:	It is said that many a warrior gathered here to compare their might.
context: What do you plan to do with us?\They say you can't fight on an empty stomach.\Have you had enough to eat?\Huh? Yes.\Then let us go.\What is this?\An ancient arena.\It is said that many a warrior gathered here to compare their might. response:	Wait, is this facility five hundred years old?
context: They say you can't fight on an empty stomach.\Have you had enough to eat?\Huh? Yes.\Then let us go.\What is this?\An ancient arena.\It is said that many a warrior gathered here to compare their might.\Wait, is this facility five hundred years old? response:	It's perfectly preserved...
context: Have you had enough to eat?\Huh? Yes.\Then let us go.\What is this?\An ancient arena.\It is said that many a warrior gathered here to compare their might.\Wait, is this facility five hundred years old?\It's perfectly preserved... response:	The princess restored it herself.
context: Huh? Yes.\Then let us go.\What is this?\An ancient arena.\It is said that many a warrior gathered here to compare their might.\Wait, is this facility five hundred years old?\It's perfectly preserved...\The princess restored it herself. response:	Huh?
context: Then let us go.\What is this?\An ancient arena.\It is said that many a warrior gathered here to compare their might.\Wait, is this facility five hundred years old?\It's perfectly preserved...\The princess restored it herself.\Huh? response:	Salamandinay-sama uses her great intellect to study the old world.
context: What is this?\An ancient arena.\It is said that many a warrior gathered here to compare their might.\Wait, is this facility five hundred years old?\It's perfectly preserved...\The princess restored it herself.\Huh?\Salamandinay-sama uses her great intellect to study the old world. response:	She has restored many artifacts for modern use.
context: An ancient arena.\It is said that many a warrior gathered here to compare their might.\Wait, is this facility five hundred years old?\It's perfectly preserved...\The princess restored it herself.\Huh?\Salamandinay-sama uses her great intellect to study the old world.\She has restored many artifacts for modern use. response:	Even our Ryushinki was
context: It is said that many a warrior gathered here to compare their might.\Wait, is this facility five hundred years old?\It's perfectly preserved...\The princess restored it herself.\Huh?\Salamandinay-sama uses her great intellect to study the old world.\She has restored many artifacts for modern use.\Even our Ryushinki was response:	That's confidential, remember?
context: Wait, is this facility five hundred years old?\It's perfectly preserved...\The princess restored it herself.\Huh?\Salamandinay-sama uses her great intellect to study the old world.\She has restored many artifacts for modern use.\Even our Ryushinki was\That's confidential, remember? response:	Sorry.
context: It's perfectly preserved...\The princess restored it herself.\Huh?\Salamandinay-sama uses her great intellect to study the old world.\She has restored many artifacts for modern use.\Even our Ryushinki was\That's confidential, remember?\Sorry. response:	So, what are we doing here?
context: The princess restored it herself.\Huh?\Salamandinay-sama uses her great intellect to study the old world.\She has restored many artifacts for modern use.\Even our Ryushinki was\That's confidential, remember?\Sorry.\So, what are we doing here? response:	Will you fight?
context: Huh?\Salamandinay-sama uses her great intellect to study the old world.\She has restored many artifacts for modern use.\Even our Ryushinki was\That's confidential, remember?\Sorry.\So, what are we doing here?\Will you fight? response:	Alongside us.
context: Salamandinay-sama uses her great intellect to study the old world.\She has restored many artifacts for modern use.\Even our Ryushinki was\That's confidential, remember?\Sorry.\So, what are we doing here?\Will you fight?\Alongside us. response:	Huh?
context: She has restored many artifacts for modern use.\Even our Ryushinki was\That's confidential, remember?\Sorry.\So, what are we doing here?\Will you fight?\Alongside us.\Huh? response:	Our goal is to recapture Aura and take back
context: Even our Ryushinki was\That's confidential, remember?\Sorry.\So, what are we doing here?\Will you fight?\Alongside us.\Huh?\Our goal is to recapture Aura and take back response:	the balance and stability that we had lost.
context: That's confidential, remember?\Sorry.\So, what are we doing here?\Will you fight?\Alongside us.\Huh?\Our goal is to recapture Aura and take back\the balance and stability that we had lost. response:	The prime evil that stole Aura, killed our people,
context: Sorry.\So, what are we doing here?\Will you fight?\Alongside us.\Huh?\Our goal is to recapture Aura and take back\the balance and stability that we had lost.\The prime evil that stole Aura, killed our people, response:	and made you fight is Embryo.
context: So, what are we doing here?\Will you fight?\Alongside us.\Huh?\Our goal is to recapture Aura and take back\the balance and stability that we had lost.\The prime evil that stole Aura, killed our people,\and made you fight is Embryo. response:	Defeat him, and our fighting will end.
context: Will you fight?\Alongside us.\Huh?\Our goal is to recapture Aura and take back\the balance and stability that we had lost.\The prime evil that stole Aura, killed our people,\and made you fight is Embryo.\Defeat him, and our fighting will end. response:	We get Aura, and you get freedom.
context: Alongside us.\Huh?\Our goal is to recapture Aura and take back\the balance and stability that we had lost.\The prime evil that stole Aura, killed our people,\and made you fight is Embryo.\Defeat him, and our fighting will end.\We get Aura, and you get freedom. response:	Our goals may differ, but our enemy is the same.
context: Huh?\Our goal is to recapture Aura and take back\the balance and stability that we had lost.\The prime evil that stole Aura, killed our people,\and made you fight is Embryo.\Defeat him, and our fighting will end.\We get Aura, and you get freedom.\Our goals may differ, but our enemy is the same. response:	We can cooperate.
context: Our goal is to recapture Aura and take back\the balance and stability that we had lost.\The prime evil that stole Aura, killed our people,\and made you fight is Embryo.\Defeat him, and our fighting will end.\We get Aura, and you get freedom.\Our goals may differ, but our enemy is the same.\We can cooperate. response:	Oh, that's what this is!
context: the balance and stability that we had lost.\The prime evil that stole Aura, killed our people,\and made you fight is Embryo.\Defeat him, and our fighting will end.\We get Aura, and you get freedom.\Our goals may differ, but our enemy is the same.\We can cooperate.\Oh, that's what this is! response:	You just want to use me, too.
context: The prime evil that stole Aura, killed our people,\and made you fight is Embryo.\Defeat him, and our fighting will end.\We get Aura, and you get freedom.\Our goals may differ, but our enemy is the same.\We can cooperate.\Oh, that's what this is!\You just want to use me, too. response:	As a soldier.
context: and made you fight is Embryo.\Defeat him, and our fighting will end.\We get Aura, and you get freedom.\Our goals may differ, but our enemy is the same.\We can cooperate.\Oh, that's what this is!\You just want to use me, too.\As a soldier. response:	All that talk about wanting us to learn, wanting to get to know us...
context: Defeat him, and our fighting will end.\We get Aura, and you get freedom.\Our goals may differ, but our enemy is the same.\We can cooperate.\Oh, that's what this is!\You just want to use me, too.\As a soldier.\All that talk about wanting us to learn, wanting to get to know us... response:	All of those niceties were calculated.
context: We get Aura, and you get freedom.\Our goals may differ, but our enemy is the same.\We can cooperate.\Oh, that's what this is!\You just want to use me, too.\As a soldier.\All that talk about wanting us to learn, wanting to get to know us...\All of those niceties were calculated. response:	That is correct.
context: Our goals may differ, but our enemy is the same.\We can cooperate.\Oh, that's what this is!\You just want to use me, too.\As a soldier.\All that talk about wanting us to learn, wanting to get to know us...\All of those niceties were calculated.\That is correct. response:	You are a valuable asset.
context: We can cooperate.\Oh, that's what this is!\You just want to use me, too.\As a soldier.\All that talk about wanting us to learn, wanting to get to know us...\All of those niceties were calculated.\That is correct.\You are a valuable asset. response:	To hell with that.
context: Oh, that's what this is!\You just want to use me, too.\As a soldier.\All that talk about wanting us to learn, wanting to get to know us...\All of those niceties were calculated.\That is correct.\You are a valuable asset.\To hell with that. response:	I'm done
context: You just want to use me, too.\As a soldier.\All that talk about wanting us to learn, wanting to get to know us...\All of those niceties were calculated.\That is correct.\You are a valuable asset.\To hell with that.\I'm done response:	Done being used by someone, right?
context: As a soldier.\All that talk about wanting us to learn, wanting to get to know us...\All of those niceties were calculated.\That is correct.\You are a valuable asset.\To hell with that.\I'm done\Done being used by someone, right? response:	I thought you would say so, which is why I brought you here.
context: All that talk about wanting us to learn, wanting to get to know us...\All of those niceties were calculated.\That is correct.\You are a valuable asset.\To hell with that.\I'm done\Done being used by someone, right?\I thought you would say so, which is why I brought you here. response:	Let us have a competition, Ange.
context: All of those niceties were calculated.\That is correct.\You are a valuable asset.\To hell with that.\I'm done\Done being used by someone, right?\I thought you would say so, which is why I brought you here.\Let us have a competition, Ange. response:	A competition?
context: That is correct.\You are a valuable asset.\To hell with that.\I'm done\Done being used by someone, right?\I thought you would say so, which is why I brought you here.\Let us have a competition, Ange.\A competition? response:	Yes, for your future.
context: You are a valuable asset.\To hell with that.\I'm done\Done being used by someone, right?\I thought you would say so, which is why I brought you here.\Let us have a competition, Ange.\A competition?\Yes, for your future. response:	If I win, you will become my property.
context: To hell with that.\I'm done\Done being used by someone, right?\I thought you would say so, which is why I brought you here.\Let us have a competition, Ange.\A competition?\Yes, for your future.\If I win, you will become my property. response:	Why do you get to decide?
context: I'm done\Done being used by someone, right?\I thought you would say so, which is why I brought you here.\Let us have a competition, Ange.\A competition?\Yes, for your future.\If I win, you will become my property.\Why do you get to decide? response:	But if you win, I will release the two of you.
context: Done being used by someone, right?\I thought you would say so, which is why I brought you here.\Let us have a competition, Ange.\A competition?\Yes, for your future.\If I win, you will become my property.\Why do you get to decide?\But if you win, I will release the two of you. response:	Go where you wish, do what you will.
context: I thought you would say so, which is why I brought you here.\Let us have a competition, Ange.\A competition?\Yes, for your future.\If I win, you will become my property.\Why do you get to decide?\But if you win, I will release the two of you.\Go where you wish, do what you will. response:	It will be up to you.
context: Let us have a competition, Ange.\A competition?\Yes, for your future.\If I win, you will become my property.\Why do you get to decide?\But if you win, I will release the two of you.\Go where you wish, do what you will.\It will be up to you. response:	Ange...
context: A competition?\Yes, for your future.\If I win, you will become my property.\Why do you get to decide?\But if you win, I will release the two of you.\Go where you wish, do what you will.\It will be up to you.\Ange... response:	Slavery or freedom. Seize it with your own hands.
context: Yes, for your future.\If I win, you will become my property.\Why do you get to decide?\But if you win, I will release the two of you.\Go where you wish, do what you will.\It will be up to you.\Ange...\Slavery or freedom. Seize it with your own hands. response:	Is that right?
context: If I win, you will become my property.\Why do you get to decide?\But if you win, I will release the two of you.\Go where you wish, do what you will.\It will be up to you.\Ange...\Slavery or freedom. Seize it with your own hands.\Is that right? response:	Fine. Let's do it.
context: Why do you get to decide?\But if you win, I will release the two of you.\Go where you wish, do what you will.\It will be up to you.\Ange...\Slavery or freedom. Seize it with your own hands.\Is that right?\Fine. Let's do it. response:	Great.
context: But if you win, I will release the two of you.\Go where you wish, do what you will.\It will be up to you.\Ange...\Slavery or freedom. Seize it with your own hands.\Is that right?\Fine. Let's do it.\Great. response:	All I have to do is hit that ball back into the box?
context: Go where you wish, do what you will.\It will be up to you.\Ange...\Slavery or freedom. Seize it with your own hands.\Is that right?\Fine. Let's do it.\Great.\All I have to do is hit that ball back into the box? response:	That is correct.
context: It will be up to you.\Ange...\Slavery or freedom. Seize it with your own hands.\Is that right?\Fine. Let's do it.\Great.\All I have to do is hit that ball back into the box?\That is correct. response:	Let us begin.
context: Ange...\Slavery or freedom. Seize it with your own hands.\Is that right?\Fine. Let's do it.\Great.\All I have to do is hit that ball back into the box?\That is correct.\Let us begin. response:	Service, Salamandinay-sama.
context: Slavery or freedom. Seize it with your own hands.\Is that right?\Fine. Let's do it.\Great.\All I have to do is hit that ball back into the box?\That is correct.\Let us begin.\Service, Salamandinay-sama. response:	Me, property?
context: Is that right?\Fine. Let's do it.\Great.\All I have to do is hit that ball back into the box?\That is correct.\Let us begin.\Service, Salamandinay-sama.\Me, property? response:	Who does she think I am?
context: Fine. Let's do it.\Great.\All I have to do is hit that ball back into the box?\That is correct.\Let us begin.\Service, Salamandinay-sama.\Me, property?\Who does she think I am? response:	That lizard bitch!
context: Great.\All I have to do is hit that ball back into the box?\That is correct.\Let us begin.\Service, Salamandinay-sama.\Me, property?\Who does she think I am?\That lizard bitch! response:	I'll show her!
context: All I have to do is hit that ball back into the box?\That is correct.\Let us begin.\Service, Salamandinay-sama.\Me, property?\Who does she think I am?\That lizard bitch!\I'll show her! response:	Fifteen-love, Salamandinay-sama.
context: That is correct.\Let us begin.\Service, Salamandinay-sama.\Me, property?\Who does she think I am?\That lizard bitch!\I'll show her!\Fifteen-love, Salamandinay-sama. response:	Oh, dear. Was that too fast?
context: Let us begin.\Service, Salamandinay-sama.\Me, property?\Who does she think I am?\That lizard bitch!\I'll show her!\Fifteen-love, Salamandinay-sama.\Oh, dear. Was that too fast? response:	I'll go easy on you, then.
context: Service, Salamandinay-sama.\Me, property?\Who does she think I am?\That lizard bitch!\I'll show her!\Fifteen-love, Salamandinay-sama.\Oh, dear. Was that too fast?\I'll go easy on you, then. response:	No thanks!
context: Me, property?\Who does she think I am?\That lizard bitch!\I'll show her!\Fifteen-love, Salamandinay-sama.\Oh, dear. Was that too fast?\I'll go easy on you, then.\No thanks! response:	Fifteen-all.
context: Who does she think I am?\That lizard bitch!\I'll show her!\Fifteen-love, Salamandinay-sama.\Oh, dear. Was that too fast?\I'll go easy on you, then.\No thanks!\Fifteen-all. response:	Salamandinay-sama, right hand, green.
context: That lizard bitch!\I'll show her!\Fifteen-love, Salamandinay-sama.\Oh, dear. Was that too fast?\I'll go easy on you, then.\No thanks!\Fifteen-all.\Salamandinay-sama, right hand, green. response:	Ange, left hand, red.
context: I'll show her!\Fifteen-love, Salamandinay-sama.\Oh, dear. Was that too fast?\I'll go easy on you, then.\No thanks!\Fifteen-all.\Salamandinay-sama, right hand, green.\Ange, left hand, red. response:	This is more than I expected, Ange.
context: Fifteen-love, Salamandinay-sama.\Oh, dear. Was that too fast?\I'll go easy on you, then.\No thanks!\Fifteen-all.\Salamandinay-sama, right hand, green.\Ange, left hand, red.\This is more than I expected, Ange. response:	What?
context: Oh, dear. Was that too fast?\I'll go easy on you, then.\No thanks!\Fifteen-all.\Salamandinay-sama, right hand, green.\Ange, left hand, red.\This is more than I expected, Ange.\What? response:	I was looking forward to this, somewhat...
context: I'll go easy on you, then.\No thanks!\Fifteen-all.\Salamandinay-sama, right hand, green.\Ange, left hand, red.\This is more than I expected, Ange.\What?\I was looking forward to this, somewhat... response:	Until now, there has been no one who could fight on my level.
