context: Rokuro, Saizo, Isanami. response:	The three of you will accompany me to the capitol.
context: Why are you acting all high and mighty, monkey?\But Isanami will be worried if I do not accompany her.\I've got Saizo. I'll be fine.\I'm going, too.\I'd be so bored without Saizo, I'd rot.\I wanna fight Saizo.\You're so annoying.\What'd you say? response:	He's just like a girl in love.
context: But Isanami will be worried if I do not accompany her.\I've got Saizo. I'll be fine.\I'm going, too.\I'd be so bored without Saizo, I'd rot.\I wanna fight Saizo.\You're so annoying.\What'd you say?\He's just like a girl in love. response:	The power to destroy all living things...
context: I've got Saizo. I'll be fine.\I'm going, too.\I'd be so bored without Saizo, I'd rot.\I wanna fight Saizo.\You're so annoying.\What'd you say?\He's just like a girl in love.\The power to destroy all living things... response:	Sword and Fan
context: I'm going, too.\I'd be so bored without Saizo, I'd rot.\I wanna fight Saizo.\You're so annoying.\What'd you say?\He's just like a girl in love.\The power to destroy all living things...\Sword and Fan response:	The weather's beautiful.
context: I'd be so bored without Saizo, I'd rot.\I wanna fight Saizo.\You're so annoying.\What'd you say?\He's just like a girl in love.\The power to destroy all living things...\Sword and Fan\The weather's beautiful. response:	Sit still. You're jostling the horse.
context: I wanna fight Saizo.\You're so annoying.\What'd you say?\He's just like a girl in love.\The power to destroy all living things...\Sword and Fan\The weather's beautiful.\Sit still. You're jostling the horse. response:	Hey, don't you think we look like a princess and a lord?
context: You're so annoying.\What'd you say?\He's just like a girl in love.\The power to destroy all living things...\Sword and Fan\The weather's beautiful.\Sit still. You're jostling the horse.\Hey, don't you think we look like a princess and a lord? response:	Not at all.
context: What'd you say?\He's just like a girl in love.\The power to destroy all living things...\Sword and Fan\The weather's beautiful.\Sit still. You're jostling the horse.\Hey, don't you think we look like a princess and a lord?\Not at all. response:	What's your problem? You're no fun.
context: He's just like a girl in love.\The power to destroy all living things...\Sword and Fan\The weather's beautiful.\Sit still. You're jostling the horse.\Hey, don't you think we look like a princess and a lord?\Not at all.\What's your problem? You're no fun. response:	I wonder how everyone else is doing.
context: The power to destroy all living things...\Sword and Fan\The weather's beautiful.\Sit still. You're jostling the horse.\Hey, don't you think we look like a princess and a lord?\Not at all.\What's your problem? You're no fun.\I wonder how everyone else is doing. response:	Some of them didn't seem too happy about staying.
context: Sword and Fan\The weather's beautiful.\Sit still. You're jostling the horse.\Hey, don't you think we look like a princess and a lord?\Not at all.\What's your problem? You're no fun.\I wonder how everyone else is doing.\Some of them didn't seem too happy about staying. response:	I'm sure Ana must be crying from loneliness.
context: The weather's beautiful.\Sit still. You're jostling the horse.\Hey, don't you think we look like a princess and a lord?\Not at all.\What's your problem? You're no fun.\I wonder how everyone else is doing.\Some of them didn't seem too happy about staying.\I'm sure Ana must be crying from loneliness. response:	Kamanosuke and Seikai were complaining until the moment we left.
context: Sit still. You're jostling the horse.\Hey, don't you think we look like a princess and a lord?\Not at all.\What's your problem? You're no fun.\I wonder how everyone else is doing.\Some of them didn't seem too happy about staying.\I'm sure Ana must be crying from loneliness.\Kamanosuke and Seikai were complaining until the moment we left. response:	Hey, who's gonna be at the tea ceremony we're attending in the capitol?
context: Hey, don't you think we look like a princess and a lord?\Not at all.\What's your problem? You're no fun.\I wonder how everyone else is doing.\Some of them didn't seem too happy about staying.\I'm sure Ana must be crying from loneliness.\Kamanosuke and Seikai were complaining until the moment we left.\Hey, who's gonna be at the tea ceremony we're attending in the capitol? response:	Primarily Maeda, Mori, Uesugi, and the rest of the Five Elders.
context: Not at all.\What's your problem? You're no fun.\I wonder how everyone else is doing.\Some of them didn't seem too happy about staying.\I'm sure Ana must be crying from loneliness.\Kamanosuke and Seikai were complaining until the moment we left.\Hey, who's gonna be at the tea ceremony we're attending in the capitol?\Primarily Maeda, Mori, Uesugi, and the rest of the Five Elders. response:	We might even get to see Ishida Mitsunari and Naoe Kanetsugu.
context: What's your problem? You're no fun.\I wonder how everyone else is doing.\Some of them didn't seem too happy about staying.\I'm sure Ana must be crying from loneliness.\Kamanosuke and Seikai were complaining until the moment we left.\Hey, who's gonna be at the tea ceremony we're attending in the capitol?\Primarily Maeda, Mori, Uesugi, and the rest of the Five Elders.\We might even get to see Ishida Mitsunari and Naoe Kanetsugu. response:	Oh, and that dragon...
context: I wonder how everyone else is doing.\Some of them didn't seem too happy about staying.\I'm sure Ana must be crying from loneliness.\Kamanosuke and Seikai were complaining until the moment we left.\Hey, who's gonna be at the tea ceremony we're attending in the capitol?\Primarily Maeda, Mori, Uesugi, and the rest of the Five Elders.\We might even get to see Ishida Mitsunari and Naoe Kanetsugu.\Oh, and that dragon... response:	I'm sure the one-eyed lord of Oshu will be there.
context: Some of them didn't seem too happy about staying.\I'm sure Ana must be crying from loneliness.\Kamanosuke and Seikai were complaining until the moment we left.\Hey, who's gonna be at the tea ceremony we're attending in the capitol?\Primarily Maeda, Mori, Uesugi, and the rest of the Five Elders.\We might even get to see Ishida Mitsunari and Naoe Kanetsugu.\Oh, and that dragon...\I'm sure the one-eyed lord of Oshu will be there. response:	My lord, are you going dressed like that?
context: I'm sure Ana must be crying from loneliness.\Kamanosuke and Seikai were complaining until the moment we left.\Hey, who's gonna be at the tea ceremony we're attending in the capitol?\Primarily Maeda, Mori, Uesugi, and the rest of the Five Elders.\We might even get to see Ishida Mitsunari and Naoe Kanetsugu.\Oh, and that dragon...\I'm sure the one-eyed lord of Oshu will be there.\My lord, are you going dressed like that? response:	Of course I am. Appearances are important.
context: Kamanosuke and Seikai were complaining until the moment we left.\Hey, who's gonna be at the tea ceremony we're attending in the capitol?\Primarily Maeda, Mori, Uesugi, and the rest of the Five Elders.\We might even get to see Ishida Mitsunari and Naoe Kanetsugu.\Oh, and that dragon...\I'm sure the one-eyed lord of Oshu will be there.\My lord, are you going dressed like that?\Of course I am. Appearances are important. response:	But you'd have to be stupid to go dressed so flamboyantly.
context: Hey, who's gonna be at the tea ceremony we're attending in the capitol?\Primarily Maeda, Mori, Uesugi, and the rest of the Five Elders.\We might even get to see Ishida Mitsunari and Naoe Kanetsugu.\Oh, and that dragon...\I'm sure the one-eyed lord of Oshu will be there.\My lord, are you going dressed like that?\Of course I am. Appearances are important.\But you'd have to be stupid to go dressed so flamboyantly. response:	Please have more respect for yourself.
context: Primarily Maeda, Mori, Uesugi, and the rest of the Five Elders.\We might even get to see Ishida Mitsunari and Naoe Kanetsugu.\Oh, and that dragon...\I'm sure the one-eyed lord of Oshu will be there.\My lord, are you going dressed like that?\Of course I am. Appearances are important.\But you'd have to be stupid to go dressed so flamboyantly.\Please have more respect for yourself. response:	You don't know what you're talking about.
context: We might even get to see Ishida Mitsunari and Naoe Kanetsugu.\Oh, and that dragon...\I'm sure the one-eyed lord of Oshu will be there.\My lord, are you going dressed like that?\Of course I am. Appearances are important.\But you'd have to be stupid to go dressed so flamboyantly.\Please have more respect for yourself.\You don't know what you're talking about. response:	When I said appearances, I didn't mean my clothes.
context: Oh, and that dragon...\I'm sure the one-eyed lord of Oshu will be there.\My lord, are you going dressed like that?\Of course I am. Appearances are important.\But you'd have to be stupid to go dressed so flamboyantly.\Please have more respect for yourself.\You don't know what you're talking about.\When I said appearances, I didn't mean my clothes. response:	I meant my attitude!
context: I'm sure the one-eyed lord of Oshu will be there.\My lord, are you going dressed like that?\Of course I am. Appearances are important.\But you'd have to be stupid to go dressed so flamboyantly.\Please have more respect for yourself.\You don't know what you're talking about.\When I said appearances, I didn't mean my clothes.\I meant my attitude! response:	I've got to make a good first impression.
context: My lord, are you going dressed like that?\Of course I am. Appearances are important.\But you'd have to be stupid to go dressed so flamboyantly.\Please have more respect for yourself.\You don't know what you're talking about.\When I said appearances, I didn't mean my clothes.\I meant my attitude!\I've got to make a good first impression. response:	With Sanada Yukimura?
context: Of course I am. Appearances are important.\But you'd have to be stupid to go dressed so flamboyantly.\Please have more respect for yourself.\You don't know what you're talking about.\When I said appearances, I didn't mean my clothes.\I meant my attitude!\I've got to make a good first impression.\With Sanada Yukimura? response:	Sanada, the man hiding the Kushimitama.
context: But you'd have to be stupid to go dressed so flamboyantly.\Please have more respect for yourself.\You don't know what you're talking about.\When I said appearances, I didn't mean my clothes.\I meant my attitude!\I've got to make a good first impression.\With Sanada Yukimura?\Sanada, the man hiding the Kushimitama. response:	My lord, do you plan to do anything in the capitol?
context: Please have more respect for yourself.\You don't know what you're talking about.\When I said appearances, I didn't mean my clothes.\I meant my attitude!\I've got to make a good first impression.\With Sanada Yukimura?\Sanada, the man hiding the Kushimitama.\My lord, do you plan to do anything in the capitol? response:	If you and Ieyasu both attempt to claim the Kushimitama,
context: You don't know what you're talking about.\When I said appearances, I didn't mean my clothes.\I meant my attitude!\I've got to make a good first impression.\With Sanada Yukimura?\Sanada, the man hiding the Kushimitama.\My lord, do you plan to do anything in the capitol?\If you and Ieyasu both attempt to claim the Kushimitama, response:	won't it attract too much attention?
context: When I said appearances, I didn't mean my clothes.\I meant my attitude!\I've got to make a good first impression.\With Sanada Yukimura?\Sanada, the man hiding the Kushimitama.\My lord, do you plan to do anything in the capitol?\If you and Ieyasu both attempt to claim the Kushimitama,\won't it attract too much attention? response:	Don't worry.
context: I meant my attitude!\I've got to make a good first impression.\With Sanada Yukimura?\Sanada, the man hiding the Kushimitama.\My lord, do you plan to do anything in the capitol?\If you and Ieyasu both attempt to claim the Kushimitama,\won't it attract too much attention?\Don't worry. response:	I told the old man that everything he's heard was a lie.
context: I've got to make a good first impression.\With Sanada Yukimura?\Sanada, the man hiding the Kushimitama.\My lord, do you plan to do anything in the capitol?\If you and Ieyasu both attempt to claim the Kushimitama,\won't it attract too much attention?\Don't worry.\I told the old man that everything he's heard was a lie. response:	You told him it was a lie?
context: With Sanada Yukimura?\Sanada, the man hiding the Kushimitama.\My lord, do you plan to do anything in the capitol?\If you and Ieyasu both attempt to claim the Kushimitama,\won't it attract too much attention?\Don't worry.\I told the old man that everything he's heard was a lie.\You told him it was a lie? response:	Well, he's useless.
context: Sanada, the man hiding the Kushimitama.\My lord, do you plan to do anything in the capitol?\If you and Ieyasu both attempt to claim the Kushimitama,\won't it attract too much attention?\Don't worry.\I told the old man that everything he's heard was a lie.\You told him it was a lie?\Well, he's useless. response:	I promised I'd make it up to him by putting on a show for him at the capitol.
context: My lord, do you plan to do anything in the capitol?\If you and Ieyasu both attempt to claim the Kushimitama,\won't it attract too much attention?\Don't worry.\I told the old man that everything he's heard was a lie.\You told him it was a lie?\Well, he's useless.\I promised I'd make it up to him by putting on a show for him at the capitol. response:	My lord, what are you planning?
context: If you and Ieyasu both attempt to claim the Kushimitama,\won't it attract too much attention?\Don't worry.\I told the old man that everything he's heard was a lie.\You told him it was a lie?\Well, he's useless.\I promised I'd make it up to him by putting on a show for him at the capitol.\My lord, what are you planning? response:	I look forward to meeting you, Sanada Yukimura.
context: won't it attract too much attention?\Don't worry.\I told the old man that everything he's heard was a lie.\You told him it was a lie?\Well, he's useless.\I promised I'd make it up to him by putting on a show for him at the capitol.\My lord, what are you planning?\I look forward to meeting you, Sanada Yukimura. response:	Food
context: Don't worry.\I told the old man that everything he's heard was a lie.\You told him it was a lie?\Well, he's useless.\I promised I'd make it up to him by putting on a show for him at the capitol.\My lord, what are you planning?\I look forward to meeting you, Sanada Yukimura.\Food response:	That was great.
context: I told the old man that everything he's heard was a lie.\You told him it was a lie?\Well, he's useless.\I promised I'd make it up to him by putting on a show for him at the capitol.\My lord, what are you planning?\I look forward to meeting you, Sanada Yukimura.\Food\That was great. response:	You always eat so much.
context: You told him it was a lie?\Well, he's useless.\I promised I'd make it up to him by putting on a show for him at the capitol.\My lord, what are you planning?\I look forward to meeting you, Sanada Yukimura.\Food\That was great.\You always eat so much. response:	Are you guys heading up the road?
context: Well, he's useless.\I promised I'd make it up to him by putting on a show for him at the capitol.\My lord, what are you planning?\I look forward to meeting you, Sanada Yukimura.\Food\That was great.\You always eat so much.\Are you guys heading up the road? response:	Ah, youngster.
context: I promised I'd make it up to him by putting on a show for him at the capitol.\My lord, what are you planning?\I look forward to meeting you, Sanada Yukimura.\Food\That was great.\You always eat so much.\Are you guys heading up the road?\Ah, youngster. response:	We intend to. Is there something wrong?
context: My lord, what are you planning?\I look forward to meeting you, Sanada Yukimura.\Food\That was great.\You always eat so much.\Are you guys heading up the road?\Ah, youngster.\We intend to. Is there something wrong? response:	You can't get through.
context: I look forward to meeting you, Sanada Yukimura.\Food\That was great.\You always eat so much.\Are you guys heading up the road?\Ah, youngster.\We intend to. Is there something wrong?\You can't get through. response:	The road ahead's been washed out by the rain.
context: Food\That was great.\You always eat so much.\Are you guys heading up the road?\Ah, youngster.\We intend to. Is there something wrong?\You can't get through.\The road ahead's been washed out by the rain. response:	Are you from around here?
context: That was great.\You always eat so much.\Are you guys heading up the road?\Ah, youngster.\We intend to. Is there something wrong?\You can't get through.\The road ahead's been washed out by the rain.\Are you from around here? response:	Yeah. It's a bit further,
context: You always eat so much.\Are you guys heading up the road?\Ah, youngster.\We intend to. Is there something wrong?\You can't get through.\The road ahead's been washed out by the rain.\Are you from around here?\Yeah. It's a bit further, response:	but you should take the mountain pass over there.
context: Are you guys heading up the road?\Ah, youngster.\We intend to. Is there something wrong?\You can't get through.\The road ahead's been washed out by the rain.\Are you from around here?\Yeah. It's a bit further,\but you should take the mountain pass over there. response:	Thank you for your trouble.
context: Ah, youngster.\We intend to. Is there something wrong?\You can't get through.\The road ahead's been washed out by the rain.\Are you from around here?\Yeah. It's a bit further,\but you should take the mountain pass over there.\Thank you for your trouble. response:	Let's see...
context: We intend to. Is there something wrong?\You can't get through.\The road ahead's been washed out by the rain.\Are you from around here?\Yeah. It's a bit further,\but you should take the mountain pass over there.\Thank you for your trouble.\Let's see... response:	What shall we do, my lord?
context: You can't get through.\The road ahead's been washed out by the rain.\Are you from around here?\Yeah. It's a bit further,\but you should take the mountain pass over there.\Thank you for your trouble.\Let's see...\What shall we do, my lord? response:	We have no choice.
context: The road ahead's been washed out by the rain.\Are you from around here?\Yeah. It's a bit further,\but you should take the mountain pass over there.\Thank you for your trouble.\Let's see...\What shall we do, my lord?\We have no choice. response:	There it is.
context: Are you from around here?\Yeah. It's a bit further,\but you should take the mountain pass over there.\Thank you for your trouble.\Let's see...\What shall we do, my lord?\We have no choice.\There it is. response:	Here.
context: Yeah. It's a bit further,\but you should take the mountain pass over there.\Thank you for your trouble.\Let's see...\What shall we do, my lord?\We have no choice.\There it is.\Here. response:	Are you sure?
context: but you should take the mountain pass over there.\Thank you for your trouble.\Let's see...\What shall we do, my lord?\We have no choice.\There it is.\Here.\Are you sure? response:	Yeah, it's to thank you for your directions.
context: Thank you for your trouble.\Let's see...\What shall we do, my lord?\We have no choice.\There it is.\Here.\Are you sure?\Yeah, it's to thank you for your directions. response:	Isanami, let's go.
context: Let's see...\What shall we do, my lord?\We have no choice.\There it is.\Here.\Are you sure?\Yeah, it's to thank you for your directions.\Isanami, let's go. response:	Okay.
context: What shall we do, my lord?\We have no choice.\There it is.\Here.\Are you sure?\Yeah, it's to thank you for your directions.\Isanami, let's go.\Okay. response:	The smell of gunpowder?
context: We have no choice.\There it is.\Here.\Are you sure?\Yeah, it's to thank you for your directions.\Isanami, let's go.\Okay.\The smell of gunpowder? response:	Take care.
context: There it is.\Here.\Are you sure?\Yeah, it's to thank you for your directions.\Isanami, let's go.\Okay.\The smell of gunpowder?\Take care. response:	See you later, youngster.
context: Here.\Are you sure?\Yeah, it's to thank you for your directions.\Isanami, let's go.\Okay.\The smell of gunpowder?\Take care.\See you later, youngster. response:	She fell asleep.
context: Are you sure?\Yeah, it's to thank you for your directions.\Isanami, let's go.\Okay.\The smell of gunpowder?\Take care.\See you later, youngster.\She fell asleep. response:	She's so innocent.
context: Yeah, it's to thank you for your directions.\Isanami, let's go.\Okay.\The smell of gunpowder?\Take care.\See you later, youngster.\She fell asleep.\She's so innocent. response:	What's innocent about her?
context: Isanami, let's go.\Okay.\The smell of gunpowder?\Take care.\See you later, youngster.\She fell asleep.\She's so innocent.\What's innocent about her? response:	She just follows her natural urges.
context: Okay.\The smell of gunpowder?\Take care.\See you later, youngster.\She fell asleep.\She's so innocent.\What's innocent about her?\She just follows her natural urges. response:	She's way too relaxed.
context: The smell of gunpowder?\Take care.\See you later, youngster.\She fell asleep.\She's so innocent.\What's innocent about her?\She just follows her natural urges.\She's way too relaxed. response:	Don't be so harsh.
context: Take care.\See you later, youngster.\She fell asleep.\She's so innocent.\What's innocent about her?\She just follows her natural urges.\She's way too relaxed.\Don't be so harsh. response:	No one's trying to attack us now.
context: See you later, youngster.\She fell asleep.\She's so innocent.\What's innocent about her?\She just follows her natural urges.\She's way too relaxed.\Don't be so harsh.\No one's trying to attack us now. response:	We're traveling with an obvious target.
context: She fell asleep.\She's so innocent.\What's innocent about her?\She just follows her natural urges.\She's way too relaxed.\Don't be so harsh.\No one's trying to attack us now.\We're traveling with an obvious target. response:	I did not expect you to bring her.
context: She's so innocent.\What's innocent about her?\She just follows her natural urges.\She's way too relaxed.\Don't be so harsh.\No one's trying to attack us now.\We're traveling with an obvious target.\I did not expect you to bring her. response:	I thought it'd be more fun to have her along.
context: What's innocent about her?\She just follows her natural urges.\She's way too relaxed.\Don't be so harsh.\No one's trying to attack us now.\We're traveling with an obvious target.\I did not expect you to bring her.\I thought it'd be more fun to have her along. response:	Lord.
context: She just follows her natural urges.\She's way too relaxed.\Don't be so harsh.\No one's trying to attack us now.\We're traveling with an obvious target.\I did not expect you to bring her.\I thought it'd be more fun to have her along.\Lord. response:	Besides, we're all you're bringing to the capitol.
context: She's way too relaxed.\Don't be so harsh.\No one's trying to attack us now.\We're traveling with an obvious target.\I did not expect you to bring her.\I thought it'd be more fun to have her along.\Lord.\Besides, we're all you're bringing to the capitol. response:	How cheap are you?
context: Don't be so harsh.\No one's trying to attack us now.\We're traveling with an obvious target.\I did not expect you to bring her.\I thought it'd be more fun to have her along.\Lord.\Besides, we're all you're bringing to the capitol.\How cheap are you? response:	Instead of bringing an entourage for the sake of appearances,
context: No one's trying to attack us now.\We're traveling with an obvious target.\I did not expect you to bring her.\I thought it'd be more fun to have her along.\Lord.\Besides, we're all you're bringing to the capitol.\How cheap are you?\Instead of bringing an entourage for the sake of appearances, response:	I prefer traveling with you three.
context: We're traveling with an obvious target.\I did not expect you to bring her.\I thought it'd be more fun to have her along.\Lord.\Besides, we're all you're bringing to the capitol.\How cheap are you?\Instead of bringing an entourage for the sake of appearances,\I prefer traveling with you three. response:	The wind feels wonderful.
context: I did not expect you to bring her.\I thought it'd be more fun to have her along.\Lord.\Besides, we're all you're bringing to the capitol.\How cheap are you?\Instead of bringing an entourage for the sake of appearances,\I prefer traveling with you three.\The wind feels wonderful. response:	You're a strange one.
context: I thought it'd be more fun to have her along.\Lord.\Besides, we're all you're bringing to the capitol.\How cheap are you?\Instead of bringing an entourage for the sake of appearances,\I prefer traveling with you three.\The wind feels wonderful.\You're a strange one. response:	You're more of a playboy than a lord.
context: Lord.\Besides, we're all you're bringing to the capitol.\How cheap are you?\Instead of bringing an entourage for the sake of appearances,\I prefer traveling with you three.\The wind feels wonderful.\You're a strange one.\You're more of a playboy than a lord. response:	Lord, please do not cause any trouble with the women in the capitol.
context: Besides, we're all you're bringing to the capitol.\How cheap are you?\Instead of bringing an entourage for the sake of appearances,\I prefer traveling with you three.\The wind feels wonderful.\You're a strange one.\You're more of a playboy than a lord.\Lord, please do not cause any trouble with the women in the capitol. response:	What?
context: How cheap are you?\Instead of bringing an entourage for the sake of appearances,\I prefer traveling with you three.\The wind feels wonderful.\You're a strange one.\You're more of a playboy than a lord.\Lord, please do not cause any trouble with the women in the capitol.\What? response:	That place is nothing without their entertainment.
context: Instead of bringing an entourage for the sake of appearances,\I prefer traveling with you three.\The wind feels wonderful.\You're a strange one.\You're more of a playboy than a lord.\Lord, please do not cause any trouble with the women in the capitol.\What?\That place is nothing without their entertainment. response:	Is that your only source of enjoyment?
context: I prefer traveling with you three.\The wind feels wonderful.\You're a strange one.\You're more of a playboy than a lord.\Lord, please do not cause any trouble with the women in the capitol.\What?\That place is nothing without their entertainment.\Is that your only source of enjoyment? response:	Of course.
context: The wind feels wonderful.\You're a strange one.\You're more of a playboy than a lord.\Lord, please do not cause any trouble with the women in the capitol.\What?\That place is nothing without their entertainment.\Is that your only source of enjoyment?\Of course. response:	Old man...
context: You're a strange one.\You're more of a playboy than a lord.\Lord, please do not cause any trouble with the women in the capitol.\What?\That place is nothing without their entertainment.\Is that your only source of enjoyment?\Of course.\Old man... response:	What was that?
context: You're more of a playboy than a lord.\Lord, please do not cause any trouble with the women in the capitol.\What?\That place is nothing without their entertainment.\Is that your only source of enjoyment?\Of course.\Old man...\What was that? response:	Rokuro!
context: Lord, please do not cause any trouble with the women in the capitol.\What?\That place is nothing without their entertainment.\Is that your only source of enjoyment?\Of course.\Old man...\What was that?\Rokuro! response:	Whoa, whoa.
context: What?\That place is nothing without their entertainment.\Is that your only source of enjoyment?\Of course.\Old man...\What was that?\Rokuro!\Whoa, whoa. response:	Old man!
context: That place is nothing without their entertainment.\Is that your only source of enjoyment?\Of course.\Old man...\What was that?\Rokuro!\Whoa, whoa.\Old man! response:	Take care of Isanami!
context: Is that your only source of enjoyment?\Of course.\Old man...\What was that?\Rokuro!\Whoa, whoa.\Old man!\Take care of Isanami! response:	Sure!
context: Of course.\Old man...\What was that?\Rokuro!\Whoa, whoa.\Old man!\Take care of Isanami!\Sure! response:	What is this?
context: Old man...\What was that?\Rokuro!\Whoa, whoa.\Old man!\Take care of Isanami!\Sure!\What is this? response:	It's a trap.
context: What was that?\Rokuro!\Whoa, whoa.\Old man!\Take care of Isanami!\Sure!\What is this?\It's a trap. response:	Isanami!
context: Rokuro!\Whoa, whoa.\Old man!\Take care of Isanami!\Sure!\What is this?\It's a trap.\Isanami! response:	Onii-chan?
context: Whoa, whoa.\Old man!\Take care of Isanami!\Sure!\What is this?\It's a trap.\Isanami!\Onii-chan? response:	Your big brother's arrived. All is well.
context: Old man!\Take care of Isanami!\Sure!\What is this?\It's a trap.\Isanami!\Onii-chan?\Your big brother's arrived. All is well. response:	Impressive.
context: Take care of Isanami!\Sure!\What is this?\It's a trap.\Isanami!\Onii-chan?\Your big brother's arrived. All is well.\Impressive. response:	What are you doing here?
context: Sure!\What is this?\It's a trap.\Isanami!\Onii-chan?\Your big brother's arrived. All is well.\Impressive.\What are you doing here? response:	Isanami!
context: What is this?\It's a trap.\Isanami!\Onii-chan?\Your big brother's arrived. All is well.\Impressive.\What are you doing here?\Isanami! response:	Stop! Stop!
context: It's a trap.\Isanami!\Onii-chan?\Your big brother's arrived. All is well.\Impressive.\What are you doing here?\Isanami!\Stop! Stop! response:	Isanami!
context: Isanami!\Onii-chan?\Your big brother's arrived. All is well.\Impressive.\What are you doing here?\Isanami!\Stop! Stop!\Isanami! response:	That was close.
context: Onii-chan?\Your big brother's arrived. All is well.\Impressive.\What are you doing here?\Isanami!\Stop! Stop!\Isanami!\That was close. response:	I'll pull you up.
context: Your big brother's arrived. All is well.\Impressive.\What are you doing here?\Isanami!\Stop! Stop!\Isanami!\That was close.\I'll pull you up. response:	Stop!
context: Impressive.\What are you doing here?\Isanami!\Stop! Stop!\Isanami!\That was close.\I'll pull you up.\Stop! response:	Isanami!
context: What are you doing here?\Isanami!\Stop! Stop!\Isanami!\That was close.\I'll pull you up.\Stop!\Isanami! response:	Saizo!
context: Isanami!\Stop! Stop!\Isanami!\That was close.\I'll pull you up.\Stop!\Isanami!\Saizo! response:	Bombs!
context: Stop! Stop!\Isanami!\That was close.\I'll pull you up.\Stop!\Isanami!\Saizo!\Bombs! response:	You owe me one, Saizo.
context: Isanami!\That was close.\I'll pull you up.\Stop!\Isanami!\Saizo!\Bombs!\You owe me one, Saizo. response:	Kamanosuke.
context: That was close.\I'll pull you up.\Stop!\Isanami!\Saizo!\Bombs!\You owe me one, Saizo.\Kamanosuke. response:	What the hell are you doing here?
context: I'll pull you up.\Stop!\Isanami!\Saizo!\Bombs!\You owe me one, Saizo.\Kamanosuke.\What the hell are you doing here? response:	Can't I be here?
context: Stop!\Isanami!\Saizo!\Bombs!\You owe me one, Saizo.\Kamanosuke.\What the hell are you doing here?\Can't I be here? response:	Isanami, are you all right?
