context: Note that though we may be apart, if I am to hear response:	Can I copy your homework?
context: If you stop talking to the outsider,\we'll stop ignoring you.\I don't mind.\You should stop ignoring Wataya-kun instead.\Why do you keep taking his side?!\Why are you so mean?!\There's nothing to like about this puny and poor bumpkin!\I-It's okay, Ayase-san. response:	It's okay.
context: we'll stop ignoring you.\I don't mind.\You should stop ignoring Wataya-kun instead.\Why do you keep taking his side?!\Why are you so mean?!\There's nothing to like about this puny and poor bumpkin!\I-It's okay, Ayase-san.\It's okay. response:	There is!
context: I don't mind.\You should stop ignoring Wataya-kun instead.\Why do you keep taking his side?!\Why are you so mean?!\There's nothing to like about this puny and poor bumpkin!\I-It's okay, Ayase-san.\It's okay.\There is! response:	There is!
context: You should stop ignoring Wataya-kun instead.\Why do you keep taking his side?!\Why are you so mean?!\There's nothing to like about this puny and poor bumpkin!\I-It's okay, Ayase-san.\It's okay.\There is!\There is! response:	Wataya-kun can beat everyone here at karuta!
context: Why do you keep taking his side?!\Why are you so mean?!\There's nothing to like about this puny and poor bumpkin!\I-It's okay, Ayase-san.\It's okay.\There is!\There is!\Wataya-kun can beat everyone here at karuta! response:	Right?
context: Why are you so mean?!\There's nothing to like about this puny and poor bumpkin!\I-It's okay, Ayase-san.\It's okay.\There is!\There is!\Wataya-kun can beat everyone here at karuta!\Right? response:	I-
context: There's nothing to like about this puny and poor bumpkin!\I-It's okay, Ayase-san.\It's okay.\There is!\There is!\Wataya-kun can beat everyone here at karuta!\Right?\I- response:	I won't let anyone take a single card from me.
context: I-It's okay, Ayase-san.\It's okay.\There is!\There is!\Wataya-kun can beat everyone here at karuta!\Right?\I-\I won't let anyone take a single card from me. response:	I'll make you eat those words!
context: It's okay.\There is!\There is!\Wataya-kun can beat everyone here at karuta!\Right?\I-\I won't let anyone take a single card from me.\I'll make you eat those words! response:	Let's have a showdown at the upcoming karuta tournament!
context: There is!\There is!\Wataya-kun can beat everyone here at karuta!\Right?\I-\I won't let anyone take a single card from me.\I'll make you eat those words!\Let's have a showdown at the upcoming karuta tournament! response:	If anyone takes a card from you,
context: There is!\Wataya-kun can beat everyone here at karuta!\Right?\I-\I won't let anyone take a single card from me.\I'll make you eat those words!\Let's have a showdown at the upcoming karuta tournament!\If anyone takes a card from you, response:	we're ignoring you until you graduate!
context: Wataya-kun can beat everyone here at karuta!\Right?\I-\I won't let anyone take a single card from me.\I'll make you eat those words!\Let's have a showdown at the upcoming karuta tournament!\If anyone takes a card from you,\we're ignoring you until you graduate! response:	Yeah!
context: Right?\I-\I won't let anyone take a single card from me.\I'll make you eat those words!\Let's have a showdown at the upcoming karuta tournament!\If anyone takes a card from you,\we're ignoring you until you graduate!\Yeah! response:	It was a reckless bet,
context: I-\I won't let anyone take a single card from me.\I'll make you eat those words!\Let's have a showdown at the upcoming karuta tournament!\If anyone takes a card from you,\we're ignoring you until you graduate!\Yeah!\It was a reckless bet, response:	but it felt so right.
context: I won't let anyone take a single card from me.\I'll make you eat those words!\Let's have a showdown at the upcoming karuta tournament!\If anyone takes a card from you,\we're ignoring you until you graduate!\Yeah!\It was a reckless bet,\but it felt so right. response:	Because I didn't have anything where I could claim
context: I'll make you eat those words!\Let's have a showdown at the upcoming karuta tournament!\If anyone takes a card from you,\we're ignoring you until you graduate!\Yeah!\It was a reckless bet,\but it felt so right.\Because I didn't have anything where I could claim response:	that no one else could ever beat me!
context: Let's have a showdown at the upcoming karuta tournament!\If anyone takes a card from you,\we're ignoring you until you graduate!\Yeah!\It was a reckless bet,\but it felt so right.\Because I didn't have anything where I could claim\that no one else could ever beat me! response:	Chihaya Furu
context: If anyone takes a card from you,\we're ignoring you until you graduate!\Yeah!\It was a reckless bet,\but it felt so right.\Because I didn't have anything where I could claim\that no one else could ever beat me!\Chihaya Furu response:	Verse 2
context: we're ignoring you until you graduate!\Yeah!\It was a reckless bet,\but it felt so right.\Because I didn't have anything where I could claim\that no one else could ever beat me!\Chihaya Furu\Verse 2 response:	The Red That Is
context: Yeah!\It was a reckless bet,\but it felt so right.\Because I didn't have anything where I could claim\that no one else could ever beat me!\Chihaya Furu\Verse 2\The Red That Is response:	East Osato Elementary School Karuta Tournament
context: It was a reckless bet,\but it felt so right.\Because I didn't have anything where I could claim\that no one else could ever beat me!\Chihaya Furu\Verse 2\The Red That Is\East Osato Elementary School Karuta Tournament response:	Naniwa Bay, now the flower blooms, but for winter.
context: but it felt so right.\Because I didn't have anything where I could claim\that no one else could ever beat me!\Chihaya Furu\Verse 2\The Red That Is\East Osato Elementary School Karuta Tournament\Naniwa Bay, now the flower blooms, but for winter. response:	Here comes spring, now the flower blooms.
context: Because I didn't have anything where I could claim\that no one else could ever beat me!\Chihaya Furu\Verse 2\The Red That Is\East Osato Elementary School Karuta Tournament\Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms. response:	Hey, why isn't anyone moving?
context: that no one else could ever beat me!\Chihaya Furu\Verse 2\The Red That Is\East Osato Elementary School Karuta Tournament\Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\Hey, why isn't anyone moving? response:	This is just the opening poem.
context: Chihaya Furu\Verse 2\The Red That Is\East Osato Elementary School Karuta Tournament\Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\Hey, why isn't anyone moving?\This is just the opening poem. response:	Opening poem?
context: Verse 2\The Red That Is\East Osato Elementary School Karuta Tournament\Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\Hey, why isn't anyone moving?\This is just the opening poem.\Opening poem? response:	The contest begins with the reading
context: The Red That Is\East Osato Elementary School Karuta Tournament\Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\Hey, why isn't anyone moving?\This is just the opening poem.\Opening poem?\The contest begins with the reading response:	of a poem that isn't one of the Hundred.
context: East Osato Elementary School Karuta Tournament\Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\Hey, why isn't anyone moving?\This is just the opening poem.\Opening poem?\The contest begins with the reading\of a poem that isn't one of the Hundred. response:	Then the match starts. That's what the handout said.
context: Naniwa Bay, now the flower blooms, but for winter.\Here comes spring, now the flower blooms.\Hey, why isn't anyone moving?\This is just the opening poem.\Opening poem?\The contest begins with the reading\of a poem that isn't one of the Hundred.\Then the match starts. That's what the handout said. response:	Oh...
context: Here comes spring, now the flower blooms.\Hey, why isn't anyone moving?\This is just the opening poem.\Opening poem?\The contest begins with the reading\of a poem that isn't one of the Hundred.\Then the match starts. That's what the handout said.\Oh... response:	Kakinomoto no Hitomaro
context: Hey, why isn't anyone moving?\This is just the opening poem.\Opening poem?\The contest begins with the reading\of a poem that isn't one of the Hundred.\Then the match starts. That's what the handout said.\Oh...\Kakinomoto no Hitomaro response:	The tail feathers of the copper pheasant are long,
context: This is just the opening poem.\Opening poem?\The contest begins with the reading\of a poem that isn't one of the Hundred.\Then the match starts. That's what the handout said.\Oh...\Kakinomoto no Hitomaro\The tail feathers of the copper pheasant are long, response:	Uh...
context: Opening poem?\The contest begins with the reading\of a poem that isn't one of the Hundred.\Then the match starts. That's what the handout said.\Oh...\Kakinomoto no Hitomaro\The tail feathers of the copper pheasant are long,\Uh... response:	There it is!
context: The contest begins with the reading\of a poem that isn't one of the Hundred.\Then the match starts. That's what the handout said.\Oh...\Kakinomoto no Hitomaro\The tail feathers of the copper pheasant are long,\Uh...\There it is! response:	Yeah!
context: of a poem that isn't one of the Hundred.\Then the match starts. That's what the handout said.\Oh...\Kakinomoto no Hitomaro\The tail feathers of the copper pheasant are long,\Uh...\There it is!\Yeah! response:	You got this, Taichi!
context: Then the match starts. That's what the handout said.\Oh...\Kakinomoto no Hitomaro\The tail feathers of the copper pheasant are long,\Uh...\There it is!\Yeah!\You got this, Taichi! response:	Nice one, Taichi!
context: Oh...\Kakinomoto no Hitomaro\The tail feathers of the copper pheasant are long,\Uh...\There it is!\Yeah!\You got this, Taichi!\Nice one, Taichi! response:	Too easy.
context: Kakinomoto no Hitomaro\The tail feathers of the copper pheasant are long,\Uh...\There it is!\Yeah!\You got this, Taichi!\Nice one, Taichi!\Too easy. response:	You can win this!
context: The tail feathers of the copper pheasant are long,\Uh...\There it is!\Yeah!\You got this, Taichi!\Nice one, Taichi!\Too easy.\You can win this! response:	Keep it up!
context: Uh...\There it is!\Yeah!\You got this, Taichi!\Nice one, Taichi!\Too easy.\You can win this!\Keep it up! response:	long as the nights I spend alone.
context: There it is!\Yeah!\You got this, Taichi!\Nice one, Taichi!\Too easy.\You can win this!\Keep it up!\long as the nights I spend alone. response:	Next will be the first round matches for the second group.
context: Yeah!\You got this, Taichi!\Nice one, Taichi!\Too easy.\You can win this!\Keep it up!\long as the nights I spend alone.\Next will be the first round matches for the second group. response:	Mashima Taichi Tanno Shouta Umehara Asuka
context: You got this, Taichi!\Nice one, Taichi!\Too easy.\You can win this!\Keep it up!\long as the nights I spend alone.\Next will be the first round matches for the second group.\Mashima Taichi Tanno Shouta Umehara Asuka response:	Will the contestants please step onto the tatami?
context: Nice one, Taichi!\Too easy.\You can win this!\Keep it up!\long as the nights I spend alone.\Next will be the first round matches for the second group.\Mashima Taichi Tanno Shouta Umehara Asuka\Will the contestants please step onto the tatami? response:	You were awesome, Taichi!
context: Too easy.\You can win this!\Keep it up!\long as the nights I spend alone.\Next will be the first round matches for the second group.\Mashima Taichi Tanno Shouta Umehara Asuka\Will the contestants please step onto the tatami?\You were awesome, Taichi! response:	Piece of cake.
context: You can win this!\Keep it up!\long as the nights I spend alone.\Next will be the first round matches for the second group.\Mashima Taichi Tanno Shouta Umehara Asuka\Will the contestants please step onto the tatami?\You were awesome, Taichi!\Piece of cake. response:	Your next match should be just as easy!
context: Keep it up!\long as the nights I spend alone.\Next will be the first round matches for the second group.\Mashima Taichi Tanno Shouta Umehara Asuka\Will the contestants please step onto the tatami?\You were awesome, Taichi!\Piece of cake.\Your next match should be just as easy! response:	I know, right?
context: long as the nights I spend alone.\Next will be the first round matches for the second group.\Mashima Taichi Tanno Shouta Umehara Asuka\Will the contestants please step onto the tatami?\You were awesome, Taichi!\Piece of cake.\Your next match should be just as easy!\I know, right? response:	Wouldn't it be lame if he lost in the first round?
context: Next will be the first round matches for the second group.\Mashima Taichi Tanno Shouta Umehara Asuka\Will the contestants please step onto the tatami?\You were awesome, Taichi!\Piece of cake.\Your next match should be just as easy!\I know, right?\Wouldn't it be lame if he lost in the first round? response:	You'll understand once you've seen him play.
context: Mashima Taichi Tanno Shouta Umehara Asuka\Will the contestants please step onto the tatami?\You were awesome, Taichi!\Piece of cake.\Your next match should be just as easy!\I know, right?\Wouldn't it be lame if he lost in the first round?\You'll understand once you've seen him play. response:	Like a boatsman...
context: Will the contestants please step onto the tatami?\You were awesome, Taichi!\Piece of cake.\Your next match should be just as easy!\I know, right?\Wouldn't it be lame if he lost in the first round?\You'll understand once you've seen him play.\Like a boatsman... response:	Wow.
context: You were awesome, Taichi!\Piece of cake.\Your next match should be just as easy!\I know, right?\Wouldn't it be lame if he lost in the first round?\You'll understand once you've seen him play.\Like a boatsman...\Wow. response:	What was that?
context: Piece of cake.\Your next match should be just as easy!\I know, right?\Wouldn't it be lame if he lost in the first round?\You'll understand once you've seen him play.\Like a boatsman...\Wow.\What was that? response:	Hey, did you see Wataya's match?!
context: Your next match should be just as easy!\I know, right?\Wouldn't it be lame if he lost in the first round?\You'll understand once you've seen him play.\Like a boatsman...\Wow.\What was that?\Hey, did you see Wataya's match?! response:	Yeah, that was crazy.
context: I know, right?\Wouldn't it be lame if he lost in the first round?\You'll understand once you've seen him play.\Like a boatsman...\Wow.\What was that?\Hey, did you see Wataya's match?!\Yeah, that was crazy. response:	Does Taichi have a chance?
context: Wouldn't it be lame if he lost in the first round?\You'll understand once you've seen him play.\Like a boatsman...\Wow.\What was that?\Hey, did you see Wataya's match?!\Yeah, that was crazy.\Does Taichi have a chance? response:	He'll be fine. He can do anything.
context: You'll understand once you've seen him play.\Like a boatsman...\Wow.\What was that?\Hey, did you see Wataya's match?!\Yeah, that was crazy.\Does Taichi have a chance?\He'll be fine. He can do anything. response:	Besides, his mom will be on his case if he loses.
context: Like a boatsman...\Wow.\What was that?\Hey, did you see Wataya's match?!\Yeah, that was crazy.\Does Taichi have a chance?\He'll be fine. He can do anything.\Besides, his mom will be on his case if he loses. response:	Mashima Taichi Wataya Arata
context: Wow.\What was that?\Hey, did you see Wataya's match?!\Yeah, that was crazy.\Does Taichi have a chance?\He'll be fine. He can do anything.\Besides, his mom will be on his case if he loses.\Mashima Taichi Wataya Arata response:	Yeah, he'll have to do whatever it takes to win
context: What was that?\Hey, did you see Wataya's match?!\Yeah, that was crazy.\Does Taichi have a chance?\He'll be fine. He can do anything.\Besides, his mom will be on his case if he loses.\Mashima Taichi Wataya Arata\Yeah, he'll have to do whatever it takes to win response:	if he doesn't want to get in trouble.
context: Hey, did you see Wataya's match?!\Yeah, that was crazy.\Does Taichi have a chance?\He'll be fine. He can do anything.\Besides, his mom will be on his case if he loses.\Mashima Taichi Wataya Arata\Yeah, he'll have to do whatever it takes to win\if he doesn't want to get in trouble. response:	You don't think he'll lose without taking a single card, do you?
context: Yeah, that was crazy.\Does Taichi have a chance?\He'll be fine. He can do anything.\Besides, his mom will be on his case if he loses.\Mashima Taichi Wataya Arata\Yeah, he'll have to do whatever it takes to win\if he doesn't want to get in trouble.\You don't think he'll lose without taking a single card, do you? response:	You're amazing, Wataya-kun!
context: Does Taichi have a chance?\He'll be fine. He can do anything.\Besides, his mom will be on his case if he loses.\Mashima Taichi Wataya Arata\Yeah, he'll have to do whatever it takes to win\if he doesn't want to get in trouble.\You don't think he'll lose without taking a single card, do you?\You're amazing, Wataya-kun! response:	At this rate, you'll have a perfect victory!
context: He'll be fine. He can do anything.\Besides, his mom will be on his case if he loses.\Mashima Taichi Wataya Arata\Yeah, he'll have to do whatever it takes to win\if he doesn't want to get in trouble.\You don't think he'll lose without taking a single card, do you?\You're amazing, Wataya-kun!\At this rate, you'll have a perfect victory! response:	But you were able to take a card from me.
context: Besides, his mom will be on his case if he loses.\Mashima Taichi Wataya Arata\Yeah, he'll have to do whatever it takes to win\if he doesn't want to get in trouble.\You don't think he'll lose without taking a single card, do you?\You're amazing, Wataya-kun!\At this rate, you'll have a perfect victory!\But you were able to take a card from me. response:	That was a fluke.
context: Mashima Taichi Wataya Arata\Yeah, he'll have to do whatever it takes to win\if he doesn't want to get in trouble.\You don't think he'll lose without taking a single card, do you?\You're amazing, Wataya-kun!\At this rate, you'll have a perfect victory!\But you were able to take a card from me.\That was a fluke. response:	You're wrong.
context: Yeah, he'll have to do whatever it takes to win\if he doesn't want to get in trouble.\You don't think he'll lose without taking a single card, do you?\You're amazing, Wataya-kun!\At this rate, you'll have a perfect victory!\But you were able to take a card from me.\That was a fluke.\You're wrong. response:	Huh?
context: if he doesn't want to get in trouble.\You don't think he'll lose without taking a single card, do you?\You're amazing, Wataya-kun!\At this rate, you'll have a perfect victory!\But you were able to take a card from me.\That was a fluke.\You're wrong.\Huh? response:	You have the instinct of a karuta player.
context: You don't think he'll lose without taking a single card, do you?\You're amazing, Wataya-kun!\At this rate, you'll have a perfect victory!\But you were able to take a card from me.\That was a fluke.\You're wrong.\Huh?\You have the instinct of a karuta player. response:	The instinct of a karuta player?
context: You're amazing, Wataya-kun!\At this rate, you'll have a perfect victory!\But you were able to take a card from me.\That was a fluke.\You're wrong.\Huh?\You have the instinct of a karuta player.\The instinct of a karuta player? response:	Hey!
context: At this rate, you'll have a perfect victory!\But you were able to take a card from me.\That was a fluke.\You're wrong.\Huh?\You have the instinct of a karuta player.\The instinct of a karuta player?\Hey! response:	It's on me!
context: But you were able to take a card from me.\That was a fluke.\You're wrong.\Huh?\You have the instinct of a karuta player.\The instinct of a karuta player?\Hey!\It's on me! response:	You should be grateful!
context: That was a fluke.\You're wrong.\Huh?\You have the instinct of a karuta player.\The instinct of a karuta player?\Hey!\It's on me!\You should be grateful! response:	Taichi?
context: You're wrong.\Huh?\You have the instinct of a karuta player.\The instinct of a karuta player?\Hey!\It's on me!\You should be grateful!\Taichi? response:	What's wrong? It's not poisoned or anything.
context: Huh?\You have the instinct of a karuta player.\The instinct of a karuta player?\Hey!\It's on me!\You should be grateful!\Taichi?\What's wrong? It's not poisoned or anything. response:	Oh, that's not it...
context: You have the instinct of a karuta player.\The instinct of a karuta player?\Hey!\It's on me!\You should be grateful!\Taichi?\What's wrong? It's not poisoned or anything.\Oh, that's not it... response:	Thank you.
context: The instinct of a karuta player?\Hey!\It's on me!\You should be grateful!\Taichi?\What's wrong? It's not poisoned or anything.\Oh, that's not it...\Thank you. response:	Hey, Taichi!
context: Hey!\It's on me!\You should be grateful!\Taichi?\What's wrong? It's not poisoned or anything.\Oh, that's not it...\Thank you.\Hey, Taichi! response:	What do you think you're doing?!
context: It's on me!\You should be grateful!\Taichi?\What's wrong? It's not poisoned or anything.\Oh, that's not it...\Thank you.\Hey, Taichi!\What do you think you're doing?! response:	That was his own fault!
context: You should be grateful!\Taichi?\What's wrong? It's not poisoned or anything.\Oh, that's not it...\Thank you.\Hey, Taichi!\What do you think you're doing?!\That was his own fault! response:	Man, what's Taichi even thinking?
context: Taichi?\What's wrong? It's not poisoned or anything.\Oh, that's not it...\Thank you.\Hey, Taichi!\What do you think you're doing?!\That was his own fault!\Man, what's Taichi even thinking? response:	Sorry, I don't have a handkerchief on me.
context: What's wrong? It's not poisoned or anything.\Oh, that's not it...\Thank you.\Hey, Taichi!\What do you think you're doing?!\That was his own fault!\Man, what's Taichi even thinking?\Sorry, I don't have a handkerchief on me. response:	You can wipe your face on here.
context: Oh, that's not it...\Thank you.\Hey, Taichi!\What do you think you're doing?!\That was his own fault!\Man, what's Taichi even thinking?\Sorry, I don't have a handkerchief on me.\You can wipe your face on here. response:	No, it's okay.
context: Thank you.\Hey, Taichi!\What do you think you're doing?!\That was his own fault!\Man, what's Taichi even thinking?\Sorry, I don't have a handkerchief on me.\You can wipe your face on here.\No, it's okay. response:	It's no big deal.
context: Hey, Taichi!\What do you think you're doing?!\That was his own fault!\Man, what's Taichi even thinking?\Sorry, I don't have a handkerchief on me.\You can wipe your face on here.\No, it's okay.\It's no big deal. response:	Uh, then...
context: What do you think you're doing?!\That was his own fault!\Man, what's Taichi even thinking?\Sorry, I don't have a handkerchief on me.\You can wipe your face on here.\No, it's okay.\It's no big deal.\Uh, then... response:	How about here?
context: That was his own fault!\Man, what's Taichi even thinking?\Sorry, I don't have a handkerchief on me.\You can wipe your face on here.\No, it's okay.\It's no big deal.\Uh, then...\How about here? response:	It's really okay.
context: Man, what's Taichi even thinking?\Sorry, I don't have a handkerchief on me.\You can wipe your face on here.\No, it's okay.\It's no big deal.\Uh, then...\How about here?\It's really okay. response:	What?
context: Sorry, I don't have a handkerchief on me.\You can wipe your face on here.\No, it's okay.\It's no big deal.\Uh, then...\How about here?\It's really okay.\What? response:	What about here?
context: You can wipe your face on here.\No, it's okay.\It's no big deal.\Uh, then...\How about here?\It's really okay.\What?\What about here? response:	I said it's okay.
context: No, it's okay.\It's no big deal.\Uh, then...\How about here?\It's really okay.\What?\What about here?\I said it's okay. response:	Over here then?
context: It's no big deal.\Uh, then...\How about here?\It's really okay.\What?\What about here?\I said it's okay.\Over here then? response:	I don't want to get your clothes wet.
context: Uh, then...\How about here?\It's really okay.\What?\What about here?\I said it's okay.\Over here then?\I don't want to get your clothes wet. response:	You don't have to worry about that!
context: How about here?\It's really okay.\What?\What about here?\I said it's okay.\Over here then?\I don't want to get your clothes wet.\You don't have to worry about that! response:	If I run really fast, they'll dry in a flash!
context: It's really okay.\What?\What about here?\I said it's okay.\Over here then?\I don't want to get your clothes wet.\You don't have to worry about that!\If I run really fast, they'll dry in a flash! response:	Huh? That's strange.
context: What?\What about here?\I said it's okay.\Over here then?\I don't want to get your clothes wet.\You don't have to worry about that!\If I run really fast, they'll dry in a flash!\Huh? That's strange. response:	What's wrong?
context: What about here?\I said it's okay.\Over here then?\I don't want to get your clothes wet.\You don't have to worry about that!\If I run really fast, they'll dry in a flash!\Huh? That's strange.\What's wrong? response:	My glasses...
context: I said it's okay.\Over here then?\I don't want to get your clothes wet.\You don't have to worry about that!\If I run really fast, they'll dry in a flash!\Huh? That's strange.\What's wrong?\My glasses... response:	Huh?
context: Over here then?\I don't want to get your clothes wet.\You don't have to worry about that!\If I run really fast, they'll dry in a flash!\Huh? That's strange.\What's wrong?\My glasses...\Huh? response:	Taichi!
context: I don't want to get your clothes wet.\You don't have to worry about that!\If I run really fast, they'll dry in a flash!\Huh? That's strange.\What's wrong?\My glasses...\Huh?\Taichi! response:	Have you seen Wataya-kun's glasses?
context: You don't have to worry about that!\If I run really fast, they'll dry in a flash!\Huh? That's strange.\What's wrong?\My glasses...\Huh?\Taichi!\Have you seen Wataya-kun's glasses? response:	Nope. Isn't that right?
context: If I run really fast, they'll dry in a flash!\Huh? That's strange.\What's wrong?\My glasses...\Huh?\Taichi!\Have you seen Wataya-kun's glasses?\Nope. Isn't that right? response:	Hmm? Yeah.
context: Huh? That's strange.\What's wrong?\My glasses...\Huh?\Taichi!\Have you seen Wataya-kun's glasses?\Nope. Isn't that right?\Hmm? Yeah. response:	Right.
context: What's wrong?\My glasses...\Huh?\Taichi!\Have you seen Wataya-kun's glasses?\Nope. Isn't that right?\Hmm? Yeah.\Right. response:	Really...
context: My glasses...\Huh?\Taichi!\Have you seen Wataya-kun's glasses?\Nope. Isn't that right?\Hmm? Yeah.\Right.\Really... response:	Eyesight without glasses 0.03
context: Huh?\Taichi!\Have you seen Wataya-kun's glasses?\Nope. Isn't that right?\Hmm? Yeah.\Right.\Really...\Eyesight without glasses 0.03 response:	Ayase-san, I'm pretty sure that Mashima
context: Taichi!\Have you seen Wataya-kun's glasses?\Nope. Isn't that right?\Hmm? Yeah.\Right.\Really...\Eyesight without glasses 0.03\Ayase-san, I'm pretty sure that Mashima response:	was the one who hid my glasses.
context: Have you seen Wataya-kun's glasses?\Nope. Isn't that right?\Hmm? Yeah.\Right.\Really...\Eyesight without glasses 0.03\Ayase-san, I'm pretty sure that Mashima\was the one who hid my glasses. response:	Huh?
context: Nope. Isn't that right?\Hmm? Yeah.\Right.\Really...\Eyesight without glasses 0.03\Ayase-san, I'm pretty sure that Mashima\was the one who hid my glasses.\Huh? response:	Taichi might be selfish, but he's not mean!
