context: Why? response:	How?
context: It doesn't, huh?\You're quite cold.\You're the cold one!\Damn it...\Damn it!\Damn it!\You just said you couldn't do anything, but maybe you just didn't do anything.\What's your point? response:	What's the point in telling me that now?
context: You're quite cold.\You're the cold one!\Damn it...\Damn it!\Damn it!\You just said you couldn't do anything, but maybe you just didn't do anything.\What's your point?\What's the point in telling me that now? response:	Now?
context: You're the cold one!\Damn it...\Damn it!\Damn it!\You just said you couldn't do anything, but maybe you just didn't do anything.\What's your point?\What's the point in telling me that now?\Now? response:	Wait... I just have to go back in time!
context: Damn it...\Damn it!\Damn it!\You just said you couldn't do anything, but maybe you just didn't do anything.\What's your point?\What's the point in telling me that now?\Now?\Wait... I just have to go back in time! response:	True, with your current spirit power level,
context: Damn it!\Damn it!\You just said you couldn't do anything, but maybe you just didn't do anything.\What's your point?\What's the point in telling me that now?\Now?\Wait... I just have to go back in time!\True, with your current spirit power level, response:	you could land anywhere you want to in the space-time valley.
context: Damn it!\You just said you couldn't do anything, but maybe you just didn't do anything.\What's your point?\What's the point in telling me that now?\Now?\Wait... I just have to go back in time!\True, with your current spirit power level,\you could land anywhere you want to in the space-time valley. response:	But there's something you need.
context: You just said you couldn't do anything, but maybe you just didn't do anything.\What's your point?\What's the point in telling me that now?\Now?\Wait... I just have to go back in time!\True, with your current spirit power level,\you could land anywhere you want to in the space-time valley.\But there's something you need. response:	Something I need?
context: What's your point?\What's the point in telling me that now?\Now?\Wait... I just have to go back in time!\True, with your current spirit power level,\you could land anywhere you want to in the space-time valley.\But there's something you need.\Something I need? response:	A strong desire to save someone.
context: What's the point in telling me that now?\Now?\Wait... I just have to go back in time!\True, with your current spirit power level,\you could land anywhere you want to in the space-time valley.\But there's something you need.\Something I need?\A strong desire to save someone. response:	Without that, you'll bounce off the curved surface of space-time.
context: Now?\Wait... I just have to go back in time!\True, with your current spirit power level,\you could land anywhere you want to in the space-time valley.\But there's something you need.\Something I need?\A strong desire to save someone.\Without that, you'll bounce off the curved surface of space-time. response:	I do
context: Wait... I just have to go back in time!\True, with your current spirit power level,\you could land anywhere you want to in the space-time valley.\But there's something you need.\Something I need?\A strong desire to save someone.\Without that, you'll bounce off the curved surface of space-time.\I do response:	Once you bounce off, that's it.
context: True, with your current spirit power level,\you could land anywhere you want to in the space-time valley.\But there's something you need.\Something I need?\A strong desire to save someone.\Without that, you'll bounce off the curved surface of space-time.\I do\Once you bounce off, that's it. response:	You'll never be able to come back to this world again.
context: you could land anywhere you want to in the space-time valley.\But there's something you need.\Something I need?\A strong desire to save someone.\Without that, you'll bounce off the curved surface of space-time.\I do\Once you bounce off, that's it.\You'll never be able to come back to this world again. response:	Are you prepared for that?
context: But there's something you need.\Something I need?\A strong desire to save someone.\Without that, you'll bounce off the curved surface of space-time.\I do\Once you bounce off, that's it.\You'll never be able to come back to this world again.\Are you prepared for that? response:	Of course I am!
context: Something I need?\A strong desire to save someone.\Without that, you'll bounce off the curved surface of space-time.\I do\Once you bounce off, that's it.\You'll never be able to come back to this world again.\Are you prepared for that?\Of course I am! response:	Okay. Make a strong wish, then.
context: A strong desire to save someone.\Without that, you'll bounce off the curved surface of space-time.\I do\Once you bounce off, that's it.\You'll never be able to come back to this world again.\Are you prepared for that?\Of course I am!\Okay. Make a strong wish, then. response:	Towards your own soul.
context: Without that, you'll bounce off the curved surface of space-time.\I do\Once you bounce off, that's it.\You'll never be able to come back to this world again.\Are you prepared for that?\Of course I am!\Okay. Make a strong wish, then.\Towards your own soul. response:	Ito, I'll protect you.
context: I do\Once you bounce off, that's it.\You'll never be able to come back to this world again.\Are you prepared for that?\Of course I am!\Okay. Make a strong wish, then.\Towards your own soul.\Ito, I'll protect you. response:	I'll save you!
context: Once you bounce off, that's it.\You'll never be able to come back to this world again.\Are you prepared for that?\Of course I am!\Okay. Make a strong wish, then.\Towards your own soul.\Ito, I'll protect you.\I'll save you! response:	I promise.
context: You'll never be able to come back to this world again.\Are you prepared for that?\Of course I am!\Okay. Make a strong wish, then.\Towards your own soul.\Ito, I'll protect you.\I'll save you!\I promise. response:	Ito...
context: Are you prepared for that?\Of course I am!\Okay. Make a strong wish, then.\Towards your own soul.\Ito, I'll protect you.\I'll save you!\I promise.\Ito... response:	Ito!
context: Of course I am!\Okay. Make a strong wish, then.\Towards your own soul.\Ito, I'll protect you.\I'll save you!\I promise.\Ito...\Ito! response:	05
context: Okay. Make a strong wish, then.\Towards your own soul.\Ito, I'll protect you.\I'll save you!\I promise.\Ito...\Ito!\05 response:	Ito Dies
context: Towards your own soul.\Ito, I'll protect you.\I'll save you!\I promise.\Ito...\Ito!\05\Ito Dies response:	Punch Line
context: Ito, I'll protect you.\I'll save you!\I promise.\Ito...\Ito!\05\Ito Dies\Punch Line response:	Am I back?
context: I'll save you!\I promise.\Ito...\Ito!\05\Ito Dies\Punch Line\Am I back? response:	From: To: Hikiotani Ito December 29 7:24 P.M. There's been a second victim. Raishi Moena. If you don't want to lose any more classmates, come to Ishinogari Shrine at ten tonight.
context: I promise.\Ito...\Ito!\05\Ito Dies\Punch Line\Am I back?\From: To: Hikiotani Ito December 29 7:24 P.M. There's been a second victim. Raishi Moena. If you don't want to lose any more classmates, come to Ishinogari Shrine at ten tonight. response:	It's all my fault.
context: Ito...\Ito!\05\Ito Dies\Punch Line\Am I back?\From: To: Hikiotani Ito December 29 7:24 P.M. There's been a second victim. Raishi Moena. If you don't want to lose any more classmates, come to Ishinogari Shrine at ten tonight.\It's all my fault. response:	It's my fault that Meiko and Moena...
context: Ito!\05\Ito Dies\Punch Line\Am I back?\From: To: Hikiotani Ito December 29 7:24 P.M. There's been a second victim. Raishi Moena. If you don't want to lose any more classmates, come to Ishinogari Shrine at ten tonight.\It's all my fault.\It's my fault that Meiko and Moena... response:	You know them?
context: 05\Ito Dies\Punch Line\Am I back?\From: To: Hikiotani Ito December 29 7:24 P.M. There's been a second victim. Raishi Moena. If you don't want to lose any more classmates, come to Ishinogari Shrine at ten tonight.\It's all my fault.\It's my fault that Meiko and Moena...\You know them? response:	In any case, now you know what happened.
context: Ito Dies\Punch Line\Am I back?\From: To: Hikiotani Ito December 29 7:24 P.M. There's been a second victim. Raishi Moena. If you don't want to lose any more classmates, come to Ishinogari Shrine at ten tonight.\It's all my fault.\It's my fault that Meiko and Moena...\You know them?\In any case, now you know what happened. response:	Ito went to the shrine according to the email's demands, and...
context: Punch Line\Am I back?\From: To: Hikiotani Ito December 29 7:24 P.M. There's been a second victim. Raishi Moena. If you don't want to lose any more classmates, come to Ishinogari Shrine at ten tonight.\It's all my fault.\It's my fault that Meiko and Moena...\You know them?\In any case, now you know what happened.\Ito went to the shrine according to the email's demands, and... response:	The person who sent the email killed her.
context: Am I back?\From: To: Hikiotani Ito December 29 7:24 P.M. There's been a second victim. Raishi Moena. If you don't want to lose any more classmates, come to Ishinogari Shrine at ten tonight.\It's all my fault.\It's my fault that Meiko and Moena...\You know them?\In any case, now you know what happened.\Ito went to the shrine according to the email's demands, and...\The person who sent the email killed her. response:	But why?
context: From: To: Hikiotani Ito December 29 7:24 P.M. There's been a second victim. Raishi Moena. If you don't want to lose any more classmates, come to Ishinogari Shrine at ten tonight.\It's all my fault.\It's my fault that Meiko and Moena...\You know them?\In any case, now you know what happened.\Ito went to the shrine according to the email's demands, and...\The person who sent the email killed her.\But why? response:	Whatever the reason, you can't let Ito go to the shrine.
context: It's all my fault.\It's my fault that Meiko and Moena...\You know them?\In any case, now you know what happened.\Ito went to the shrine according to the email's demands, and...\The person who sent the email killed her.\But why?\Whatever the reason, you can't let Ito go to the shrine. response:	That's all you need to worry about right now.
context: It's my fault that Meiko and Moena...\You know them?\In any case, now you know what happened.\Ito went to the shrine according to the email's demands, and...\The person who sent the email killed her.\But why?\Whatever the reason, you can't let Ito go to the shrine.\That's all you need to worry about right now. response:	Thirty minutes left until it's time...
context: You know them?\In any case, now you know what happened.\Ito went to the shrine according to the email's demands, and...\The person who sent the email killed her.\But why?\Whatever the reason, you can't let Ito go to the shrine.\That's all you need to worry about right now.\Thirty minutes left until it's time... response:	Mikatan, do you have a minute?
context: In any case, now you know what happened.\Ito went to the shrine according to the email's demands, and...\The person who sent the email killed her.\But why?\Whatever the reason, you can't let Ito go to the shrine.\That's all you need to worry about right now.\Thirty minutes left until it's time...\Mikatan, do you have a minute? response:	There's something I want to ask you.
context: Ito went to the shrine according to the email's demands, and...\The person who sent the email killed her.\But why?\Whatever the reason, you can't let Ito go to the shrine.\That's all you need to worry about right now.\Thirty minutes left until it's time...\Mikatan, do you have a minute?\There's something I want to ask you. response:	Of course! Rabura!
context: The person who sent the email killed her.\But why?\Whatever the reason, you can't let Ito go to the shrine.\That's all you need to worry about right now.\Thirty minutes left until it's time...\Mikatan, do you have a minute?\There's something I want to ask you.\Of course! Rabura! response:	I'm going home now.
context: But why?\Whatever the reason, you can't let Ito go to the shrine.\That's all you need to worry about right now.\Thirty minutes left until it's time...\Mikatan, do you have a minute?\There's something I want to ask you.\Of course! Rabura!\I'm going home now. response:	You can stay longer.
context: Whatever the reason, you can't let Ito go to the shrine.\That's all you need to worry about right now.\Thirty minutes left until it's time...\Mikatan, do you have a minute?\There's something I want to ask you.\Of course! Rabura!\I'm going home now.\You can stay longer. response:	The air's getting stale here.
context: That's all you need to worry about right now.\Thirty minutes left until it's time...\Mikatan, do you have a minute?\There's something I want to ask you.\Of course! Rabura!\I'm going home now.\You can stay longer.\The air's getting stale here. response:	Bleah!
context: Thirty minutes left until it's time...\Mikatan, do you have a minute?\There's something I want to ask you.\Of course! Rabura!\I'm going home now.\You can stay longer.\The air's getting stale here.\Bleah! response:	All right.
context: Mikatan, do you have a minute?\There's something I want to ask you.\Of course! Rabura!\I'm going home now.\You can stay longer.\The air's getting stale here.\Bleah!\All right. response:	Why don't you two make up already?
context: There's something I want to ask you.\Of course! Rabura!\I'm going home now.\You can stay longer.\The air's getting stale here.\Bleah!\All right.\Why don't you two make up already? response:	So, what did you want to ask?
context: Of course! Rabura!\I'm going home now.\You can stay longer.\The air's getting stale here.\Bleah!\All right.\Why don't you two make up already?\So, what did you want to ask? response:	Oh, yeah, um... Have you seen the protective charm that was in my room?
context: I'm going home now.\You can stay longer.\The air's getting stale here.\Bleah!\All right.\Why don't you two make up already?\So, what did you want to ask?\Oh, yeah, um... Have you seen the protective charm that was in my room? response:	There!
context: You can stay longer.\The air's getting stale here.\Bleah!\All right.\Why don't you two make up already?\So, what did you want to ask?\Oh, yeah, um... Have you seen the protective charm that was in my room?\There! response:	What was that?!
context: The air's getting stale here.\Bleah!\All right.\Why don't you two make up already?\So, what did you want to ask?\Oh, yeah, um... Have you seen the protective charm that was in my room?\There!\What was that?! response:	It couldn't be... a poltergeist?!
context: Bleah!\All right.\Why don't you two make up already?\So, what did you want to ask?\Oh, yeah, um... Have you seen the protective charm that was in my room?\There!\What was that?!\It couldn't be... a poltergeist?! response:	What the heck?!
context: All right.\Why don't you two make up already?\So, what did you want to ask?\Oh, yeah, um... Have you seen the protective charm that was in my room?\There!\What was that?!\It couldn't be... a poltergeist?!\What the heck?! response:	Now!
context: Why don't you two make up already?\So, what did you want to ask?\Oh, yeah, um... Have you seen the protective charm that was in my room?\There!\What was that?!\It couldn't be... a poltergeist?!\What the heck?!\Now! response:	Again?!
context: So, what did you want to ask?\Oh, yeah, um... Have you seen the protective charm that was in my room?\There!\What was that?!\It couldn't be... a poltergeist?!\What the heck?!\Now!\Again?! response:	Narugino, listen to me!
context: Oh, yeah, um... Have you seen the protective charm that was in my room?\There!\What was that?!\It couldn't be... a poltergeist?!\What the heck?!\Now!\Again?!\Narugino, listen to me! response:	Ito's life is in danger!
context: There!\What was that?!\It couldn't be... a poltergeist?!\What the heck?!\Now!\Again?!\Narugino, listen to me!\Ito's life is in danger! response:	That Burabura chick seriously pisses me off.
context: What was that?!\It couldn't be... a poltergeist?!\What the heck?!\Now!\Again?!\Narugino, listen to me!\Ito's life is in danger!\That Burabura chick seriously pisses me off. response:	Meika.
context: It couldn't be... a poltergeist?!\What the heck?!\Now!\Again?!\Narugino, listen to me!\Ito's life is in danger!\That Burabura chick seriously pisses me off.\Meika. response:	Ito?
context: What the heck?!\Now!\Again?!\Narugino, listen to me!\Ito's life is in danger!\That Burabura chick seriously pisses me off.\Meika.\Ito? response:	Can you keep him for a while?
context: Now!\Again?!\Narugino, listen to me!\Ito's life is in danger!\That Burabura chick seriously pisses me off.\Meika.\Ito?\Can you keep him for a while? response:	Huh?
context: Again?!\Narugino, listen to me!\Ito's life is in danger!\That Burabura chick seriously pisses me off.\Meika.\Ito?\Can you keep him for a while?\Huh? response:	Raishi Moena (17) Chouka Rina (17) Namado Suisei (17) Shujo Manoto (17) Koto Monami (17)
context: Narugino, listen to me!\Ito's life is in danger!\That Burabura chick seriously pisses me off.\Meika.\Ito?\Can you keep him for a while?\Huh?\Raishi Moena (17) Chouka Rina (17) Namado Suisei (17) Shujo Manoto (17) Koto Monami (17) response:	You're saying all the people whose names are in this video were killed?
context: Ito's life is in danger!\That Burabura chick seriously pisses me off.\Meika.\Ito?\Can you keep him for a while?\Huh?\Raishi Moena (17) Chouka Rina (17) Namado Suisei (17) Shujo Manoto (17) Koto Monami (17)\You're saying all the people whose names are in this video were killed? response:	Yes.
context: That Burabura chick seriously pisses me off.\Meika.\Ito?\Can you keep him for a while?\Huh?\Raishi Moena (17) Chouka Rina (17) Namado Suisei (17) Shujo Manoto (17) Koto Monami (17)\You're saying all the people whose names are in this video were killed?\Yes. response:	All right.
context: Meika.\Ito?\Can you keep him for a while?\Huh?\Raishi Moena (17) Chouka Rina (17) Namado Suisei (17) Shujo Manoto (17) Koto Monami (17)\You're saying all the people whose names are in this video were killed?\Yes.\All right. response:	Let's hurry to Ito-chan's place!
context: Ito?\Can you keep him for a while?\Huh?\Raishi Moena (17) Chouka Rina (17) Namado Suisei (17) Shujo Manoto (17) Koto Monami (17)\You're saying all the people whose names are in this video were killed?\Yes.\All right.\Let's hurry to Ito-chan's place! response:	My boobs... My boobs...
context: Can you keep him for a while?\Huh?\Raishi Moena (17) Chouka Rina (17) Namado Suisei (17) Shujo Manoto (17) Koto Monami (17)\You're saying all the people whose names are in this video were killed?\Yes.\All right.\Let's hurry to Ito-chan's place!\My boobs... My boobs... response:	Where are you going?
context: Huh?\Raishi Moena (17) Chouka Rina (17) Namado Suisei (17) Shujo Manoto (17) Koto Monami (17)\You're saying all the people whose names are in this video were killed?\Yes.\All right.\Let's hurry to Ito-chan's place!\My boobs... My boobs...\Where are you going? response:	Does it matter?
context: Raishi Moena (17) Chouka Rina (17) Namado Suisei (17) Shujo Manoto (17) Koto Monami (17)\You're saying all the people whose names are in this video were killed?\Yes.\All right.\Let's hurry to Ito-chan's place!\My boobs... My boobs...\Where are you going?\Does it matter? response:	Move.
context: You're saying all the people whose names are in this video were killed?\Yes.\All right.\Let's hurry to Ito-chan's place!\My boobs... My boobs...\Where are you going?\Does it matter?\Move. response:	I won't.
context: Yes.\All right.\Let's hurry to Ito-chan's place!\My boobs... My boobs...\Where are you going?\Does it matter?\Move.\I won't. response:	I saw the video.
context: All right.\Let's hurry to Ito-chan's place!\My boobs... My boobs...\Where are you going?\Does it matter?\Move.\I won't.\I saw the video. response:	I know about the emails, too.
context: Let's hurry to Ito-chan's place!\My boobs... My boobs...\Where are you going?\Does it matter?\Move.\I won't.\I saw the video.\I know about the emails, too. response:	Wait!
context: My boobs... My boobs...\Where are you going?\Does it matter?\Move.\I won't.\I saw the video.\I know about the emails, too.\Wait! response:	Stay away!
context: Where are you going?\Does it matter?\Move.\I won't.\I saw the video.\I know about the emails, too.\Wait!\Stay away! response:	Calm down, Ito-chan!
context: Does it matter?\Move.\I won't.\I saw the video.\I know about the emails, too.\Wait!\Stay away!\Calm down, Ito-chan! response:	I have to go, no matter what,
context: Move.\I won't.\I saw the video.\I know about the emails, too.\Wait!\Stay away!\Calm down, Ito-chan!\I have to go, no matter what, response:	because it's all my fault.
context: I won't.\I saw the video.\I know about the emails, too.\Wait!\Stay away!\Calm down, Ito-chan!\I have to go, no matter what,\because it's all my fault. response:	It's my fault those two people were...
context: I saw the video.\I know about the emails, too.\Wait!\Stay away!\Calm down, Ito-chan!\I have to go, no matter what,\because it's all my fault.\It's my fault those two people were... response:	Ito-chan!
context: I know about the emails, too.\Wait!\Stay away!\Calm down, Ito-chan!\I have to go, no matter what,\because it's all my fault.\It's my fault those two people were...\Ito-chan! response:	Let go.
context: Wait!\Stay away!\Calm down, Ito-chan!\I have to go, no matter what,\because it's all my fault.\It's my fault those two people were...\Ito-chan!\Let go. response:	Let go of me!
context: Stay away!\Calm down, Ito-chan!\I have to go, no matter what,\because it's all my fault.\It's my fault those two people were...\Ito-chan!\Let go.\Let go of me! response:	No.
context: Calm down, Ito-chan!\I have to go, no matter what,\because it's all my fault.\It's my fault those two people were...\Ito-chan!\Let go.\Let go of me!\No. response:	I never will!
context: I have to go, no matter what,\because it's all my fault.\It's my fault those two people were...\Ito-chan!\Let go.\Let go of me!\No.\I never will! response:	If you go to the shrine, you'll...
context: because it's all my fault.\It's my fault those two people were...\Ito-chan!\Let go.\Let go of me!\No.\I never will!\If you go to the shrine, you'll... response:	Leave me alone!
context: It's my fault those two people were...\Ito-chan!\Let go.\Let go of me!\No.\I never will!\If you go to the shrine, you'll...\Leave me alone! response:	It's not your problem!
context: Ito-chan!\Let go.\Let go of me!\No.\I never will!\If you go to the shrine, you'll...\Leave me alone!\It's not your problem! response:	Yes, it is!
context: Let go.\Let go of me!\No.\I never will!\If you go to the shrine, you'll...\Leave me alone!\It's not your problem!\Yes, it is! response:	Because, Ito-chan, you're... You're...
context: Let go of me!\No.\I never will!\If you go to the shrine, you'll...\Leave me alone!\It's not your problem!\Yes, it is!\Because, Ito-chan, you're... You're... response:	my precious friend!
context: No.\I never will!\If you go to the shrine, you'll...\Leave me alone!\It's not your problem!\Yes, it is!\Because, Ito-chan, you're... You're...\my precious friend! response:	Mikatan...
context: I never will!\If you go to the shrine, you'll...\Leave me alone!\It's not your problem!\Yes, it is!\Because, Ito-chan, you're... You're...\my precious friend!\Mikatan... response:	Umbeijini nyopurasara...
context: If you go to the shrine, you'll...\Leave me alone!\It's not your problem!\Yes, it is!\Because, Ito-chan, you're... You're...\my precious friend!\Mikatan...\Umbeijini nyopurasara... response:	I'm going to put a spell on you.
context: Leave me alone!\It's not your problem!\Yes, it is!\Because, Ito-chan, you're... You're...\my precious friend!\Mikatan...\Umbeijini nyopurasara...\I'm going to put a spell on you. response:	What's that song?
context: It's not your problem!\Yes, it is!\Because, Ito-chan, you're... You're...\my precious friend!\Mikatan...\Umbeijini nyopurasara...\I'm going to put a spell on you.\What's that song? response:	It's a magic song to cheer you up.
context: Yes, it is!\Because, Ito-chan, you're... You're...\my precious friend!\Mikatan...\Umbeijini nyopurasara...\I'm going to put a spell on you.\What's that song?\It's a magic song to cheer you up. response:	Ishigata-san taught it to me.
context: Because, Ito-chan, you're... You're...\my precious friend!\Mikatan...\Umbeijini nyopurasara...\I'm going to put a spell on you.\What's that song?\It's a magic song to cheer you up.\Ishigata-san taught it to me. response:	Ishigata-san?
context: my precious friend!\Mikatan...\Umbeijini nyopurasara...\I'm going to put a spell on you.\What's that song?\It's a magic song to cheer you up.\Ishigata-san taught it to me.\Ishigata-san? response:	Yeah.
context: Mikatan...\Umbeijini nyopurasara...\I'm going to put a spell on you.\What's that song?\It's a magic song to cheer you up.\Ishigata-san taught it to me.\Ishigata-san?\Yeah. response:	See...
context: Umbeijini nyopurasara...\I'm going to put a spell on you.\What's that song?\It's a magic song to cheer you up.\Ishigata-san taught it to me.\Ishigata-san?\Yeah.\See... response:	He was a researcher at this place called Yuba Labs.
context: I'm going to put a spell on you.\What's that song?\It's a magic song to cheer you up.\Ishigata-san taught it to me.\Ishigata-san?\Yeah.\See...\He was a researcher at this place called Yuba Labs. response:	I wasI mean, we were born and raised at that lab.
context: What's that song?\It's a magic song to cheer you up.\Ishigata-san taught it to me.\Ishigata-san?\Yeah.\See...\He was a researcher at this place called Yuba Labs.\I wasI mean, we were born and raised at that lab. response:	Yuba Labs?
context: It's a magic song to cheer you up.\Ishigata-san taught it to me.\Ishigata-san?\Yeah.\See...\He was a researcher at this place called Yuba Labs.\I wasI mean, we were born and raised at that lab.\Yuba Labs? response:	They used to do research on genetics and stuff.
context: Ishigata-san taught it to me.\Ishigata-san?\Yeah.\See...\He was a researcher at this place called Yuba Labs.\I wasI mean, we were born and raised at that lab.\Yuba Labs?\They used to do research on genetics and stuff. response:	There were two other kids at the lab.
context: Ishigata-san?\Yeah.\See...\He was a researcher at this place called Yuba Labs.\I wasI mean, we were born and raised at that lab.\Yuba Labs?\They used to do research on genetics and stuff.\There were two other kids at the lab. response:	A boy and a girl.
context: Yeah.\See...\He was a researcher at this place called Yuba Labs.\I wasI mean, we were born and raised at that lab.\Yuba Labs?\They used to do research on genetics and stuff.\There were two other kids at the lab.\A boy and a girl. response:	We were together from birth.
context: See...\He was a researcher at this place called Yuba Labs.\I wasI mean, we were born and raised at that lab.\Yuba Labs?\They used to do research on genetics and stuff.\There were two other kids at the lab.\A boy and a girl.\We were together from birth. response:	They both helped me out so much.
context: He was a researcher at this place called Yuba Labs.\I wasI mean, we were born and raised at that lab.\Yuba Labs?\They used to do research on genetics and stuff.\There were two other kids at the lab.\A boy and a girl.\We were together from birth.\They both helped me out so much. response:	No, let me go!
context: I wasI mean, we were born and raised at that lab.\Yuba Labs?\They used to do research on genetics and stuff.\There were two other kids at the lab.\A boy and a girl.\We were together from birth.\They both helped me out so much.\No, let me go! response:	Shut up!
context: Yuba Labs?\They used to do research on genetics and stuff.\There were two other kids at the lab.\A boy and a girl.\We were together from birth.\They both helped me out so much.\No, let me go!\Shut up! response:	Settle down!
context: They used to do research on genetics and stuff.\There were two other kids at the lab.\A boy and a girl.\We were together from birth.\They both helped me out so much.\No, let me go!\Shut up!\Settle down! response:	Come!
context: There were two other kids at the lab.\A boy and a girl.\We were together from birth.\They both helped me out so much.\No, let me go!\Shut up!\Settle down!\Come! response:	No! Let me go!
context: A boy and a girl.\We were together from birth.\They both helped me out so much.\No, let me go!\Shut up!\Settle down!\Come!\No! Let me go! response:	Chiyoko!
context: We were together from birth.\They both helped me out so much.\No, let me go!\Shut up!\Settle down!\Come!\No! Let me go!\Chiyoko! response:	Pine! Guri-chan!
context: They both helped me out so much.\No, let me go!\Shut up!\Settle down!\Come!\No! Let me go!\Chiyoko!\Pine! Guri-chan! response:	Let go of Chiyoko!
context: No, let me go!\Shut up!\Settle down!\Come!\No! Let me go!\Chiyoko!\Pine! Guri-chan!\Let go of Chiyoko! response:	Sorry, I can't do that.
context: Shut up!\Settle down!\Come!\No! Let me go!\Chiyoko!\Pine! Guri-chan!\Let go of Chiyoko!\Sorry, I can't do that. response:	You kids have the ability to Yubafy, yet you never use it.
context: Settle down!\Come!\No! Let me go!\Chiyoko!\Pine! Guri-chan!\Let go of Chiyoko!\Sorry, I can't do that.\You kids have the ability to Yubafy, yet you never use it. response:	Why?
context: Come!\No! Let me go!\Chiyoko!\Pine! Guri-chan!\Let go of Chiyoko!\Sorry, I can't do that.\You kids have the ability to Yubafy, yet you never use it.\Why? response:	The only way I can find out is to take a look.
context: No! Let me go!\Chiyoko!\Pine! Guri-chan!\Let go of Chiyoko!\Sorry, I can't do that.\You kids have the ability to Yubafy, yet you never use it.\Why?\The only way I can find out is to take a look. response:	I have to cut open your heads and look inside your brains.
context: Chiyoko!\Pine! Guri-chan!\Let go of Chiyoko!\Sorry, I can't do that.\You kids have the ability to Yubafy, yet you never use it.\Why?\The only way I can find out is to take a look.\I have to cut open your heads and look inside your brains. response:	Like hell you will!
context: Pine! Guri-chan!\Let go of Chiyoko!\Sorry, I can't do that.\You kids have the ability to Yubafy, yet you never use it.\Why?\The only way I can find out is to take a look.\I have to cut open your heads and look inside your brains.\Like hell you will! response:	Pine!
context: Let go of Chiyoko!\Sorry, I can't do that.\You kids have the ability to Yubafy, yet you never use it.\Why?\The only way I can find out is to take a look.\I have to cut open your heads and look inside your brains.\Like hell you will!\Pine! response:	Pine!
context: Sorry, I can't do that.\You kids have the ability to Yubafy, yet you never use it.\Why?\The only way I can find out is to take a look.\I have to cut open your heads and look inside your brains.\Like hell you will!\Pine!\Pine! response:	Are you okay?!
context: You kids have the ability to Yubafy, yet you never use it.\Why?\The only way I can find out is to take a look.\I have to cut open your heads and look inside your brains.\Like hell you will!\Pine!\Pine!\Are you okay?! response:	Damn! I damaged my precious test subject!
context: Why?\The only way I can find out is to take a look.\I have to cut open your heads and look inside your brains.\Like hell you will!\Pine!\Pine!\Are you okay?!\Damn! I damaged my precious test subject! response:	Oh, well.
