context: Juiz, it looks like I did it again. response:	-You killed? -Yes.
context: Could you deal with the aftermath?\I'll leave the method to you, but as elegantly as possible, please.\I know.\Noblesse oblige. I pray that you shall continue to be a savior.\Episode 5: This Is No Time to Be Thinking About That...\So before I lost my memory,\I was already involved in this thorny game...\If I think of it as having sold my life to that Mr. Outside dude response:	for ten billion yen, that's a major deal...
context: I'll leave the method to you, but as elegantly as possible, please.\I know.\Noblesse oblige. I pray that you shall continue to be a savior.\Episode 5: This Is No Time to Be Thinking About That...\So before I lost my memory,\I was already involved in this thorny game...\If I think of it as having sold my life to that Mr. Outside dude\for ten billion yen, that's a major deal... response:	Damn it to hell! This pisses me off!
context: I know.\Noblesse oblige. I pray that you shall continue to be a savior.\Episode 5: This Is No Time to Be Thinking About That...\So before I lost my memory,\I was already involved in this thorny game...\If I think of it as having sold my life to that Mr. Outside dude\for ten billion yen, that's a major deal...\Damn it to hell! This pisses me off! response:	Who is this Mr. Outside, anyway?!
context: Noblesse oblige. I pray that you shall continue to be a savior.\Episode 5: This Is No Time to Be Thinking About That...\So before I lost my memory,\I was already involved in this thorny game...\If I think of it as having sold my life to that Mr. Outside dude\for ten billion yen, that's a major deal...\Damn it to hell! This pisses me off!\Who is this Mr. Outside, anyway?! response:	I won't be happy until I punch out that stupid jerk!
context: Episode 5: This Is No Time to Be Thinking About That...\So before I lost my memory,\I was already involved in this thorny game...\If I think of it as having sold my life to that Mr. Outside dude\for ten billion yen, that's a major deal...\Damn it to hell! This pisses me off!\Who is this Mr. Outside, anyway?!\I won't be happy until I punch out that stupid jerk! response:	That was close.
context: So before I lost my memory,\I was already involved in this thorny game...\If I think of it as having sold my life to that Mr. Outside dude\for ten billion yen, that's a major deal...\Damn it to hell! This pisses me off!\Who is this Mr. Outside, anyway?!\I won't be happy until I punch out that stupid jerk!\That was close. response:	Don't I get killed by the Supporter if I throw this out?
context: I was already involved in this thorny game...\If I think of it as having sold my life to that Mr. Outside dude\for ten billion yen, that's a major deal...\Damn it to hell! This pisses me off!\Who is this Mr. Outside, anyway?!\I won't be happy until I punch out that stupid jerk!\That was close.\Don't I get killed by the Supporter if I throw this out? response:	Akira Takizawa.
context: If I think of it as having sold my life to that Mr. Outside dude\for ten billion yen, that's a major deal...\Damn it to hell! This pisses me off!\Who is this Mr. Outside, anyway?!\I won't be happy until I punch out that stupid jerk!\That was close.\Don't I get killed by the Supporter if I throw this out?\Akira Takizawa. response:	You bastard!
context: for ten billion yen, that's a major deal...\Damn it to hell! This pisses me off!\Who is this Mr. Outside, anyway?!\I won't be happy until I punch out that stupid jerk!\That was close.\Don't I get killed by the Supporter if I throw this out?\Akira Takizawa.\You bastard! response:	Why you low down, dirty...
context: Damn it to hell! This pisses me off!\Who is this Mr. Outside, anyway?!\I won't be happy until I punch out that stupid jerk!\That was close.\Don't I get killed by the Supporter if I throw this out?\Akira Takizawa.\You bastard!\Why you low down, dirty... response:	Who are you? The Supporter?
context: Who is this Mr. Outside, anyway?!\I won't be happy until I punch out that stupid jerk!\That was close.\Don't I get killed by the Supporter if I throw this out?\Akira Takizawa.\You bastard!\Why you low down, dirty...\Who are you? The Supporter? response:	It's your fault!
context: I won't be happy until I punch out that stupid jerk!\That was close.\Don't I get killed by the Supporter if I throw this out?\Akira Takizawa.\You bastard!\Why you low down, dirty...\Who are you? The Supporter?\It's your fault! response:	Where's this coming from?!
context: That was close.\Don't I get killed by the Supporter if I throw this out?\Akira Takizawa.\You bastard!\Why you low down, dirty...\Who are you? The Supporter?\It's your fault!\Where's this coming from?! response:	Don't play dumb with me!
context: Don't I get killed by the Supporter if I throw this out?\Akira Takizawa.\You bastard!\Why you low down, dirty...\Who are you? The Supporter?\It's your fault!\Where's this coming from?!\Don't play dumb with me! response:	What do you think we've been through these past two months?!
context: Akira Takizawa.\You bastard!\Why you low down, dirty...\Who are you? The Supporter?\It's your fault!\Where's this coming from?!\Don't play dumb with me!\What do you think we've been through these past two months?! response:	You said you were going to take us to a consumer's paradise,
context: You bastard!\Why you low down, dirty...\Who are you? The Supporter?\It's your fault!\Where's this coming from?!\Don't play dumb with me!\What do you think we've been through these past two months?!\You said you were going to take us to a consumer's paradise, response:	and then you abandoned us in the middle of the damn desert!
context: Why you low down, dirty...\Who are you? The Supporter?\It's your fault!\Where's this coming from?!\Don't play dumb with me!\What do you think we've been through these past two months?!\You said you were going to take us to a consumer's paradise,\and then you abandoned us in the middle of the damn desert! response:	Then some Indian site foreman railed at us for being useless weaklings,
context: Who are you? The Supporter?\It's your fault!\Where's this coming from?!\Don't play dumb with me!\What do you think we've been through these past two months?!\You said you were going to take us to a consumer's paradise,\and then you abandoned us in the middle of the damn desert!\Then some Indian site foreman railed at us for being useless weaklings, response:	and we survived endless hungry, pathetic days
context: It's your fault!\Where's this coming from?!\Don't play dumb with me!\What do you think we've been through these past two months?!\You said you were going to take us to a consumer's paradise,\and then you abandoned us in the middle of the damn desert!\Then some Indian site foreman railed at us for being useless weaklings,\and we survived endless hungry, pathetic days response:	with no money and no idea what was going on!
context: Where's this coming from?!\Don't play dumb with me!\What do you think we've been through these past two months?!\You said you were going to take us to a consumer's paradise,\and then you abandoned us in the middle of the damn desert!\Then some Indian site foreman railed at us for being useless weaklings,\and we survived endless hungry, pathetic days\with no money and no idea what was going on! response:	Who are you?
context: Don't play dumb with me!\What do you think we've been through these past two months?!\You said you were going to take us to a consumer's paradise,\and then you abandoned us in the middle of the damn desert!\Then some Indian site foreman railed at us for being useless weaklings,\and we survived endless hungry, pathetic days\with no money and no idea what was going on!\Who are you? response:	Wait, did your memories...
context: What do you think we've been through these past two months?!\You said you were going to take us to a consumer's paradise,\and then you abandoned us in the middle of the damn desert!\Then some Indian site foreman railed at us for being useless weaklings,\and we survived endless hungry, pathetic days\with no money and no idea what was going on!\Who are you?\Wait, did your memories... response:	Oh, whatever.
context: You said you were going to take us to a consumer's paradise,\and then you abandoned us in the middle of the damn desert!\Then some Indian site foreman railed at us for being useless weaklings,\and we survived endless hungry, pathetic days\with no money and no idea what was going on!\Who are you?\Wait, did your memories...\Oh, whatever. response:	Meat buns.
context: and then you abandoned us in the middle of the damn desert!\Then some Indian site foreman railed at us for being useless weaklings,\and we survived endless hungry, pathetic days\with no money and no idea what was going on!\Who are you?\Wait, did your memories...\Oh, whatever.\Meat buns. response:	I'm getting married next month, to a girl from over there.
context: Then some Indian site foreman railed at us for being useless weaklings,\and we survived endless hungry, pathetic days\with no money and no idea what was going on!\Who are you?\Wait, did your memories...\Oh, whatever.\Meat buns.\I'm getting married next month, to a girl from over there. response:	I don't know why you sent us to Dubai,
context: and we survived endless hungry, pathetic days\with no money and no idea what was going on!\Who are you?\Wait, did your memories...\Oh, whatever.\Meat buns.\I'm getting married next month, to a girl from over there.\I don't know why you sent us to Dubai, response:	but at the very least, it helped me reenter society.
context: with no money and no idea what was going on!\Who are you?\Wait, did your memories...\Oh, whatever.\Meat buns.\I'm getting married next month, to a girl from over there.\I don't know why you sent us to Dubai,\but at the very least, it helped me reenter society. response:	Later.
context: Who are you?\Wait, did your memories...\Oh, whatever.\Meat buns.\I'm getting married next month, to a girl from over there.\I don't know why you sent us to Dubai,\but at the very least, it helped me reenter society.\Later. response:	What the hell?
context: Wait, did your memories...\Oh, whatever.\Meat buns.\I'm getting married next month, to a girl from over there.\I don't know why you sent us to Dubai,\but at the very least, it helped me reenter society.\Later.\What the hell? response:	Sangetsu Bakery
context: Oh, whatever.\Meat buns.\I'm getting married next month, to a girl from over there.\I don't know why you sent us to Dubai,\but at the very least, it helped me reenter society.\Later.\What the hell?\Sangetsu Bakery response:	Sorry to make you do this when you're about to give an interview.
context: Meat buns.\I'm getting married next month, to a girl from over there.\I don't know why you sent us to Dubai,\but at the very least, it helped me reenter society.\Later.\What the hell?\Sangetsu Bakery\Sorry to make you do this when you're about to give an interview. response:	I've just got no eye for things like that.
context: I'm getting married next month, to a girl from over there.\I don't know why you sent us to Dubai,\but at the very least, it helped me reenter society.\Later.\What the hell?\Sangetsu Bakery\Sorry to make you do this when you're about to give an interview.\I've just got no eye for things like that. response:	It's fine, I do it all the time.
context: I don't know why you sent us to Dubai,\but at the very least, it helped me reenter society.\Later.\What the hell?\Sangetsu Bakery\Sorry to make you do this when you're about to give an interview.\I've just got no eye for things like that.\It's fine, I do it all the time. response:	I modeled these after your self-portrait.
context: but at the very least, it helped me reenter society.\Later.\What the hell?\Sangetsu Bakery\Sorry to make you do this when you're about to give an interview.\I've just got no eye for things like that.\It's fine, I do it all the time.\I modeled these after your self-portrait. response:	I think they'll probably be rough on you at the interview,
context: Later.\What the hell?\Sangetsu Bakery\Sorry to make you do this when you're about to give an interview.\I've just got no eye for things like that.\It's fine, I do it all the time.\I modeled these after your self-portrait.\I think they'll probably be rough on you at the interview, response:	but that's when you have to give it your all.
context: What the hell?\Sangetsu Bakery\Sorry to make you do this when you're about to give an interview.\I've just got no eye for things like that.\It's fine, I do it all the time.\I modeled these after your self-portrait.\I think they'll probably be rough on you at the interview,\but that's when you have to give it your all. response:	Right.
context: Sangetsu Bakery\Sorry to make you do this when you're about to give an interview.\I've just got no eye for things like that.\It's fine, I do it all the time.\I modeled these after your self-portrait.\I think they'll probably be rough on you at the interview,\but that's when you have to give it your all.\Right. response:	But if you just can't take it, you don't have to strain yourself.
context: Sorry to make you do this when you're about to give an interview.\I've just got no eye for things like that.\It's fine, I do it all the time.\I modeled these after your self-portrait.\I think they'll probably be rough on you at the interview,\but that's when you have to give it your all.\Right.\But if you just can't take it, you don't have to strain yourself. response:	What do you mean?
context: I've just got no eye for things like that.\It's fine, I do it all the time.\I modeled these after your self-portrait.\I think they'll probably be rough on you at the interview,\but that's when you have to give it your all.\Right.\But if you just can't take it, you don't have to strain yourself.\What do you mean? response:	We'll take care of you until you find something you really want to do.
context: It's fine, I do it all the time.\I modeled these after your self-portrait.\I think they'll probably be rough on you at the interview,\but that's when you have to give it your all.\Right.\But if you just can't take it, you don't have to strain yourself.\What do you mean?\We'll take care of you until you find something you really want to do. response:	I can't cause you any more trouble.
context: I modeled these after your self-portrait.\I think they'll probably be rough on you at the interview,\but that's when you have to give it your all.\Right.\But if you just can't take it, you don't have to strain yourself.\What do you mean?\We'll take care of you until you find something you really want to do.\I can't cause you any more trouble. response:	It's no trouble. You're family,
context: I think they'll probably be rough on you at the interview,\but that's when you have to give it your all.\Right.\But if you just can't take it, you don't have to strain yourself.\What do you mean?\We'll take care of you until you find something you really want to do.\I can't cause you any more trouble.\It's no trouble. You're family, response:	What a thing to say.
context: but that's when you have to give it your all.\Right.\But if you just can't take it, you don't have to strain yourself.\What do you mean?\We'll take care of you until you find something you really want to do.\I can't cause you any more trouble.\It's no trouble. You're family,\What a thing to say. response:	I'm telling you, that kindness hurts.
context: Right.\But if you just can't take it, you don't have to strain yourself.\What do you mean?\We'll take care of you until you find something you really want to do.\I can't cause you any more trouble.\It's no trouble. You're family,\What a thing to say.\I'm telling you, that kindness hurts. response:	Saki.
context: But if you just can't take it, you don't have to strain yourself.\What do you mean?\We'll take care of you until you find something you really want to do.\I can't cause you any more trouble.\It's no trouble. You're family,\What a thing to say.\I'm telling you, that kindness hurts.\Saki. response:	Morning.
context: What do you mean?\We'll take care of you until you find something you really want to do.\I can't cause you any more trouble.\It's no trouble. You're family,\What a thing to say.\I'm telling you, that kindness hurts.\Saki.\Morning. response:	Sorry, I didn't notice you there.
context: We'll take care of you until you find something you really want to do.\I can't cause you any more trouble.\It's no trouble. You're family,\What a thing to say.\I'm telling you, that kindness hurts.\Saki.\Morning.\Sorry, I didn't notice you there. response:	You hardly look like yourself.
context: I can't cause you any more trouble.\It's no trouble. You're family,\What a thing to say.\I'm telling you, that kindness hurts.\Saki.\Morning.\Sorry, I didn't notice you there.\You hardly look like yourself. response:	Yeah, I guess we never saw each otherwhile we were job hunting.
context: It's no trouble. You're family,\What a thing to say.\I'm telling you, that kindness hurts.\Saki.\Morning.\Sorry, I didn't notice you there.\You hardly look like yourself.\Yeah, I guess we never saw each otherwhile we were job hunting. response:	You're right.
context: What a thing to say.\I'm telling you, that kindness hurts.\Saki.\Morning.\Sorry, I didn't notice you there.\You hardly look like yourself.\Yeah, I guess we never saw each otherwhile we were job hunting.\You're right. response:	It feels like I haven't seen you in ages.
context: I'm telling you, that kindness hurts.\Saki.\Morning.\Sorry, I didn't notice you there.\You hardly look like yourself.\Yeah, I guess we never saw each otherwhile we were job hunting.\You're right.\It feels like I haven't seen you in ages. response:	Even though we just went on a graduation trip together...
context: Saki.\Morning.\Sorry, I didn't notice you there.\You hardly look like yourself.\Yeah, I guess we never saw each otherwhile we were job hunting.\You're right.\It feels like I haven't seen you in ages.\Even though we just went on a graduation trip together... response:	Did you hear about Hirasawa?
context: Morning.\Sorry, I didn't notice you there.\You hardly look like yourself.\Yeah, I guess we never saw each otherwhile we were job hunting.\You're right.\It feels like I haven't seen you in ages.\Even though we just went on a graduation trip together...\Did you hear about Hirasawa? response:	He's deferring his graduation for a year.
context: Sorry, I didn't notice you there.\You hardly look like yourself.\Yeah, I guess we never saw each otherwhile we were job hunting.\You're right.\It feels like I haven't seen you in ages.\Even though we just went on a graduation trip together...\Did you hear about Hirasawa?\He's deferring his graduation for a year. response:	Apparently he decided on it while we were in New York.
context: You hardly look like yourself.\Yeah, I guess we never saw each otherwhile we were job hunting.\You're right.\It feels like I haven't seen you in ages.\Even though we just went on a graduation trip together...\Did you hear about Hirasawa?\He's deferring his graduation for a year.\Apparently he decided on it while we were in New York. response:	Oh. I've had my suspicions since he said he wouldn't go on the trip, but...
context: Yeah, I guess we never saw each otherwhile we were job hunting.\You're right.\It feels like I haven't seen you in ages.\Even though we just went on a graduation trip together...\Did you hear about Hirasawa?\He's deferring his graduation for a year.\Apparently he decided on it while we were in New York.\Oh. I've had my suspicions since he said he wouldn't go on the trip, but... response:	Yeah.
context: You're right.\It feels like I haven't seen you in ages.\Even though we just went on a graduation trip together...\Did you hear about Hirasawa?\He's deferring his graduation for a year.\Apparently he decided on it while we were in New York.\Oh. I've had my suspicions since he said he wouldn't go on the trip, but...\Yeah. response:	We started our club with the idea of eventually turning it into a business,
context: It feels like I haven't seen you in ages.\Even though we just went on a graduation trip together...\Did you hear about Hirasawa?\He's deferring his graduation for a year.\Apparently he decided on it while we were in New York.\Oh. I've had my suspicions since he said he wouldn't go on the trip, but...\Yeah.\We started our club with the idea of eventually turning it into a business, response:	so I understand how he feels...
context: Even though we just went on a graduation trip together...\Did you hear about Hirasawa?\He's deferring his graduation for a year.\Apparently he decided on it while we were in New York.\Oh. I've had my suspicions since he said he wouldn't go on the trip, but...\Yeah.\We started our club with the idea of eventually turning it into a business,\so I understand how he feels... response:	But it's the kind of choice you can't make if your family's not rich.
context: Did you hear about Hirasawa?\He's deferring his graduation for a year.\Apparently he decided on it while we were in New York.\Oh. I've had my suspicions since he said he wouldn't go on the trip, but...\Yeah.\We started our club with the idea of eventually turning it into a business,\so I understand how he feels...\But it's the kind of choice you can't make if your family's not rich. response:	He's always down on himself,
context: He's deferring his graduation for a year.\Apparently he decided on it while we were in New York.\Oh. I've had my suspicions since he said he wouldn't go on the trip, but...\Yeah.\We started our club with the idea of eventually turning it into a business,\so I understand how he feels...\But it's the kind of choice you can't make if your family's not rich.\He's always down on himself, response:	saying things like, Our generation are NEETs at heart, you know?
context: Apparently he decided on it while we were in New York.\Oh. I've had my suspicions since he said he wouldn't go on the trip, but...\Yeah.\We started our club with the idea of eventually turning it into a business,\so I understand how he feels...\But it's the kind of choice you can't make if your family's not rich.\He's always down on himself,\saying things like, Our generation are NEETs at heart, you know? response:	But I think he could make a good stab at life in the workforce.
context: Oh. I've had my suspicions since he said he wouldn't go on the trip, but...\Yeah.\We started our club with the idea of eventually turning it into a business,\so I understand how he feels...\But it's the kind of choice you can't make if your family's not rich.\He's always down on himself,\saying things like, Our generation are NEETs at heart, you know?\But I think he could make a good stab at life in the workforce. response:	You know, Hirasawa actually has six tentative job offers.
context: Yeah.\We started our club with the idea of eventually turning it into a business,\so I understand how he feels...\But it's the kind of choice you can't make if your family's not rich.\He's always down on himself,\saying things like, Our generation are NEETs at heart, you know?\But I think he could make a good stab at life in the workforce.\You know, Hirasawa actually has six tentative job offers. response:	He just hasn't said anything.
context: We started our club with the idea of eventually turning it into a business,\so I understand how he feels...\But it's the kind of choice you can't make if your family's not rich.\He's always down on himself,\saying things like, Our generation are NEETs at heart, you know?\But I think he could make a good stab at life in the workforce.\You know, Hirasawa actually has six tentative job offers.\He just hasn't said anything. response:	But even a guy like that can end up 30 or 40 years old,
context: so I understand how he feels...\But it's the kind of choice you can't make if your family's not rich.\He's always down on himself,\saying things like, Our generation are NEETs at heart, you know?\But I think he could make a good stab at life in the workforce.\You know, Hirasawa actually has six tentative job offers.\He just hasn't said anything.\But even a guy like that can end up 30 or 40 years old, response:	griping about the society he couldn't commit to.
context: But it's the kind of choice you can't make if your family's not rich.\He's always down on himself,\saying things like, Our generation are NEETs at heart, you know?\But I think he could make a good stab at life in the workforce.\You know, Hirasawa actually has six tentative job offers.\He just hasn't said anything.\But even a guy like that can end up 30 or 40 years old,\griping about the society he couldn't commit to. response:	I don't want Hirasawa to turn out like that.
context: He's always down on himself,\saying things like, Our generation are NEETs at heart, you know?\But I think he could make a good stab at life in the workforce.\You know, Hirasawa actually has six tentative job offers.\He just hasn't said anything.\But even a guy like that can end up 30 or 40 years old,\griping about the society he couldn't commit to.\I don't want Hirasawa to turn out like that. response:	Don't you agree?
context: saying things like, Our generation are NEETs at heart, you know?\But I think he could make a good stab at life in the workforce.\You know, Hirasawa actually has six tentative job offers.\He just hasn't said anything.\But even a guy like that can end up 30 or 40 years old,\griping about the society he couldn't commit to.\I don't want Hirasawa to turn out like that.\Don't you agree? response:	I think you're right, Osugi.
context: But I think he could make a good stab at life in the workforce.\You know, Hirasawa actually has six tentative job offers.\He just hasn't said anything.\But even a guy like that can end up 30 or 40 years old,\griping about the society he couldn't commit to.\I don't want Hirasawa to turn out like that.\Don't you agree?\I think you're right, Osugi. response:	Saki, do you have some time after your interview today?
context: You know, Hirasawa actually has six tentative job offers.\He just hasn't said anything.\But even a guy like that can end up 30 or 40 years old,\griping about the society he couldn't commit to.\I don't want Hirasawa to turn out like that.\Don't you agree?\I think you're right, Osugi.\Saki, do you have some time after your interview today? response:	Why?
context: He just hasn't said anything.\But even a guy like that can end up 30 or 40 years old,\griping about the society he couldn't commit to.\I don't want Hirasawa to turn out like that.\Don't you agree?\I think you're right, Osugi.\Saki, do you have some time after your interview today?\Why? response:	Uh, well, want to eat together?
context: But even a guy like that can end up 30 or 40 years old,\griping about the society he couldn't commit to.\I don't want Hirasawa to turn out like that.\Don't you agree?\I think you're right, Osugi.\Saki, do you have some time after your interview today?\Why?\Uh, well, want to eat together? response:	A combined celebration of graduating and finding jobs.
context: griping about the society he couldn't commit to.\I don't want Hirasawa to turn out like that.\Don't you agree?\I think you're right, Osugi.\Saki, do you have some time after your interview today?\Why?\Uh, well, want to eat together?\A combined celebration of graduating and finding jobs. response:	We're dressed up, after all, so let's splurge a little.
context: I don't want Hirasawa to turn out like that.\Don't you agree?\I think you're right, Osugi.\Saki, do you have some time after your interview today?\Why?\Uh, well, want to eat together?\A combined celebration of graduating and finding jobs.\We're dressed up, after all, so let's splurge a little. response:	I think I'll wrap up before 2:00, so I'll come pick you up.
context: Don't you agree?\I think you're right, Osugi.\Saki, do you have some time after your interview today?\Why?\Uh, well, want to eat together?\A combined celebration of graduating and finding jobs.\We're dressed up, after all, so let's splurge a little.\I think I'll wrap up before 2:00, so I'll come pick you up. response:	Mm-hmm.
context: I think you're right, Osugi.\Saki, do you have some time after your interview today?\Why?\Uh, well, want to eat together?\A combined celebration of graduating and finding jobs.\We're dressed up, after all, so let's splurge a little.\I think I'll wrap up before 2:00, so I'll come pick you up.\Mm-hmm. response:	Yes!
context: Saki, do you have some time after your interview today?\Why?\Uh, well, want to eat together?\A combined celebration of graduating and finding jobs.\We're dressed up, after all, so let's splurge a little.\I think I'll wrap up before 2:00, so I'll come pick you up.\Mm-hmm.\Yes! response:	Congratulations. So you've officially remembered the rules.
context: Why?\Uh, well, want to eat together?\A combined celebration of graduating and finding jobs.\We're dressed up, after all, so let's splurge a little.\I think I'll wrap up before 2:00, so I'll come pick you up.\Mm-hmm.\Yes!\Congratulations. So you've officially remembered the rules. response:	I haven't actually remembered them...
context: Uh, well, want to eat together?\A combined celebration of graduating and finding jobs.\We're dressed up, after all, so let's splurge a little.\I think I'll wrap up before 2:00, so I'll come pick you up.\Mm-hmm.\Yes!\Congratulations. So you've officially remembered the rules.\I haven't actually remembered them... response:	And this save Japan thing is just too vague!
context: A combined celebration of graduating and finding jobs.\We're dressed up, after all, so let's splurge a little.\I think I'll wrap up before 2:00, so I'll come pick you up.\Mm-hmm.\Yes!\Congratulations. So you've officially remembered the rules.\I haven't actually remembered them...\And this save Japan thing is just too vague! response:	So, I've been wondering exactly how possible that really is.
context: We're dressed up, after all, so let's splurge a little.\I think I'll wrap up before 2:00, so I'll come pick you up.\Mm-hmm.\Yes!\Congratulations. So you've officially remembered the rules.\I haven't actually remembered them...\And this save Japan thing is just too vague!\So, I've been wondering exactly how possible that really is. response:	What do you mean?
context: I think I'll wrap up before 2:00, so I'll come pick you up.\Mm-hmm.\Yes!\Congratulations. So you've officially remembered the rules.\I haven't actually remembered them...\And this save Japan thing is just too vague!\So, I've been wondering exactly how possible that really is.\What do you mean? response:	Well...Like, there can't be that many people you'd give a phone to
context: Mm-hmm.\Yes!\Congratulations. So you've officially remembered the rules.\I haven't actually remembered them...\And this save Japan thing is just too vague!\So, I've been wondering exactly how possible that really is.\What do you mean?\Well...Like, there can't be that many people you'd give a phone to response:	that was capable of anything up to ten billion, right?
context: Yes!\Congratulations. So you've officially remembered the rules.\I haven't actually remembered them...\And this save Japan thing is just too vague!\So, I've been wondering exactly how possible that really is.\What do you mean?\Well...Like, there can't be that many people you'd give a phone to\that was capable of anything up to ten billion, right? response:	Out of all Japan, it'd be the Prime Minister or something.
context: Congratulations. So you've officially remembered the rules.\I haven't actually remembered them...\And this save Japan thing is just too vague!\So, I've been wondering exactly how possible that really is.\What do you mean?\Well...Like, there can't be that many people you'd give a phone to\that was capable of anything up to ten billion, right?\Out of all Japan, it'd be the Prime Minister or something. response:	Personally, I get the feeling only the real elites could pull it off.
context: I haven't actually remembered them...\And this save Japan thing is just too vague!\So, I've been wondering exactly how possible that really is.\What do you mean?\Well...Like, there can't be that many people you'd give a phone to\that was capable of anything up to ten billion, right?\Out of all Japan, it'd be the Prime Minister or something.\Personally, I get the feeling only the real elites could pull it off. response:	So I've been wondering if we could make the Prime Minister cry uncle.
context: And this save Japan thing is just too vague!\So, I've been wondering exactly how possible that really is.\What do you mean?\Well...Like, there can't be that many people you'd give a phone to\that was capable of anything up to ten billion, right?\Out of all Japan, it'd be the Prime Minister or something.\Personally, I get the feeling only the real elites could pull it off.\So I've been wondering if we could make the Prime Minister cry uncle. response:	Lucky you, you've got an easy life.
context: So, I've been wondering exactly how possible that really is.\What do you mean?\Well...Like, there can't be that many people you'd give a phone to\that was capable of anything up to ten billion, right?\Out of all Japan, it'd be the Prime Minister or something.\Personally, I get the feeling only the real elites could pull it off.\So I've been wondering if we could make the Prime Minister cry uncle.\Lucky you, you've got an easy life. response:	-Accepted. -Huh?
context: What do you mean?\Well...Like, there can't be that many people you'd give a phone to\that was capable of anything up to ten billion, right?\Out of all Japan, it'd be the Prime Minister or something.\Personally, I get the feeling only the real elites could pull it off.\So I've been wondering if we could make the Prime Minister cry uncle.\Lucky you, you've got an easy life.\-Accepted. -Huh? response:	Noblesse oblige. Please wait in front of the TV.
context: Well...Like, there can't be that many people you'd give a phone to\that was capable of anything up to ten billion, right?\Out of all Japan, it'd be the Prime Minister or something.\Personally, I get the feeling only the real elites could pull it off.\So I've been wondering if we could make the Prime Minister cry uncle.\Lucky you, you've got an easy life.\-Accepted. -Huh?\Noblesse oblige. Please wait in front of the TV. response:	I pray you shall be a savior.
context: that was capable of anything up to ten billion, right?\Out of all Japan, it'd be the Prime Minister or something.\Personally, I get the feeling only the real elites could pull it off.\So I've been wondering if we could make the Prime Minister cry uncle.\Lucky you, you've got an easy life.\-Accepted. -Huh?\Noblesse oblige. Please wait in front of the TV.\I pray you shall be a savior. response:	The TV?
context: Out of all Japan, it'd be the Prime Minister or something.\Personally, I get the feeling only the real elites could pull it off.\So I've been wondering if we could make the Prime Minister cry uncle.\Lucky you, you've got an easy life.\-Accepted. -Huh?\Noblesse oblige. Please wait in front of the TV.\I pray you shall be a savior.\The TV? response:	These documents suggest that the missiles used on Careless Monday
context: Personally, I get the feeling only the real elites could pull it off.\So I've been wondering if we could make the Prime Minister cry uncle.\Lucky you, you've got an easy life.\-Accepted. -Huh?\Noblesse oblige. Please wait in front of the TV.\I pray you shall be a savior.\The TV?\These documents suggest that the missiles used on Careless Monday response:	Lower House Committee on Audit and Oversight of Administration
context: So I've been wondering if we could make the Prime Minister cry uncle.\Lucky you, you've got an easy life.\-Accepted. -Huh?\Noblesse oblige. Please wait in front of the TV.\I pray you shall be a savior.\The TV?\These documents suggest that the missiles used on Careless Monday\Lower House Committee on Audit and Oversight of Administration response:	Broadcast from Lower House Committee Room 1
