context: That's correct, Doma-san. response:	This formula will show up on the test, so please remember it.
context: Perhaps you're just weak.\I'm really not confident about this...\You're just weak.\I'm not confident about this.\Onii-chan, help me study!\I-I thought she was a youkai...\Youkai Umaru Nezumi: A youkai that falls on you in the night and clings. If you give it snacks, it'll go away.\Umaru response:	Gimme snacks! Gimme snacks! Gimme snacks! Gimme snacks!
context: I'm really not confident about this...\You're just weak.\I'm not confident about this.\Onii-chan, help me study!\I-I thought she was a youkai...\Youkai Umaru Nezumi: A youkai that falls on you in the night and clings. If you give it snacks, it'll go away.\Umaru\Gimme snacks! Gimme snacks! Gimme snacks! Gimme snacks! response:	I knew this would happen.
context: You're just weak.\I'm not confident about this.\Onii-chan, help me study!\I-I thought she was a youkai...\Youkai Umaru Nezumi: A youkai that falls on you in the night and clings. If you give it snacks, it'll go away.\Umaru\Gimme snacks! Gimme snacks! Gimme snacks! Gimme snacks!\I knew this would happen. response:	Oh, it's fine.
context: I'm not confident about this.\Onii-chan, help me study!\I-I thought she was a youkai...\Youkai Umaru Nezumi: A youkai that falls on you in the night and clings. If you give it snacks, it'll go away.\Umaru\Gimme snacks! Gimme snacks! Gimme snacks! Gimme snacks!\I knew this would happen.\Oh, it's fine. response:	A Few Days Later
context: Onii-chan, help me study!\I-I thought she was a youkai...\Youkai Umaru Nezumi: A youkai that falls on you in the night and clings. If you give it snacks, it'll go away.\Umaru\Gimme snacks! Gimme snacks! Gimme snacks! Gimme snacks!\I knew this would happen.\Oh, it's fine.\A Few Days Later response:	Midterm Results 1. Doma Umaru 2. Tachibana Sylphynford
context: I-I thought she was a youkai...\Youkai Umaru Nezumi: A youkai that falls on you in the night and clings. If you give it snacks, it'll go away.\Umaru\Gimme snacks! Gimme snacks! Gimme snacks! Gimme snacks!\I knew this would happen.\Oh, it's fine.\A Few Days Later\Midterm Results 1. Doma Umaru 2. Tachibana Sylphynford response:	Wow, that's amazing! Umaru-chan, you're number one again.
context: Youkai Umaru Nezumi: A youkai that falls on you in the night and clings. If you give it snacks, it'll go away.\Umaru\Gimme snacks! Gimme snacks! Gimme snacks! Gimme snacks!\I knew this would happen.\Oh, it's fine.\A Few Days Later\Midterm Results 1. Doma Umaru 2. Tachibana Sylphynford\Wow, that's amazing! Umaru-chan, you're number one again. response:	Oh, it's just a coincidence.
context: Umaru\Gimme snacks! Gimme snacks! Gimme snacks! Gimme snacks!\I knew this would happen.\Oh, it's fine.\A Few Days Later\Midterm Results 1. Doma Umaru 2. Tachibana Sylphynford\Wow, that's amazing! Umaru-chan, you're number one again.\Oh, it's just a coincidence. response:	And the tests were so hard! That's amazing!
context: Gimme snacks! Gimme snacks! Gimme snacks! Gimme snacks!\I knew this would happen.\Oh, it's fine.\A Few Days Later\Midterm Results 1. Doma Umaru 2. Tachibana Sylphynford\Wow, that's amazing! Umaru-chan, you're number one again.\Oh, it's just a coincidence.\And the tests were so hard! That's amazing! response:	Are you going to a good cram school?
context: I knew this would happen.\Oh, it's fine.\A Few Days Later\Midterm Results 1. Doma Umaru 2. Tachibana Sylphynford\Wow, that's amazing! Umaru-chan, you're number one again.\Oh, it's just a coincidence.\And the tests were so hard! That's amazing!\Are you going to a good cram school? response:	More like a home tutor.
context: Oh, it's fine.\A Few Days Later\Midterm Results 1. Doma Umaru 2. Tachibana Sylphynford\Wow, that's amazing! Umaru-chan, you're number one again.\Oh, it's just a coincidence.\And the tests were so hard! That's amazing!\Are you going to a good cram school?\More like a home tutor. response:	Umaru Nezumi
context: A Few Days Later\Midterm Results 1. Doma Umaru 2. Tachibana Sylphynford\Wow, that's amazing! Umaru-chan, you're number one again.\Oh, it's just a coincidence.\And the tests were so hard! That's amazing!\Are you going to a good cram school?\More like a home tutor.\Umaru Nezumi response:	Umaru-chan's so cute...
context: Midterm Results 1. Doma Umaru 2. Tachibana Sylphynford\Wow, that's amazing! Umaru-chan, you're number one again.\Oh, it's just a coincidence.\And the tests were so hard! That's amazing!\Are you going to a good cram school?\More like a home tutor.\Umaru Nezumi\Umaru-chan's so cute... response:	And she's got a great figure, she's smart...
context: Wow, that's amazing! Umaru-chan, you're number one again.\Oh, it's just a coincidence.\And the tests were so hard! That's amazing!\Are you going to a good cram school?\More like a home tutor.\Umaru Nezumi\Umaru-chan's so cute...\And she's got a great figure, she's smart... response:	Midterm Results 1. Doma Umaru
context: Oh, it's just a coincidence.\And the tests were so hard! That's amazing!\Are you going to a good cram school?\More like a home tutor.\Umaru Nezumi\Umaru-chan's so cute...\And she's got a great figure, she's smart...\Midterm Results 1. Doma Umaru response:	And she's good at sports.
context: And the tests were so hard! That's amazing!\Are you going to a good cram school?\More like a home tutor.\Umaru Nezumi\Umaru-chan's so cute...\And she's got a great figure, she's smart...\Midterm Results 1. Doma Umaru\And she's good at sports. response:	She's pretty much perfect.
context: Are you going to a good cram school?\More like a home tutor.\Umaru Nezumi\Umaru-chan's so cute...\And she's got a great figure, she's smart...\Midterm Results 1. Doma Umaru\And she's good at sports.\She's pretty much perfect. response:	Not only that, her family's amazing, too.
context: More like a home tutor.\Umaru Nezumi\Umaru-chan's so cute...\And she's got a great figure, she's smart...\Midterm Results 1. Doma Umaru\And she's good at sports.\She's pretty much perfect.\Not only that, her family's amazing, too. response:	Huh?
context: Umaru Nezumi\Umaru-chan's so cute...\And she's got a great figure, she's smart...\Midterm Results 1. Doma Umaru\And she's good at sports.\She's pretty much perfect.\Not only that, her family's amazing, too.\Huh? response:	Apparently, Umaru-chan's dad is the president of Doma Corporation.
context: Umaru-chan's so cute...\And she's got a great figure, she's smart...\Midterm Results 1. Doma Umaru\And she's good at sports.\She's pretty much perfect.\Not only that, her family's amazing, too.\Huh?\Apparently, Umaru-chan's dad is the president of Doma Corporation. response:	What? That huge company?
context: And she's got a great figure, she's smart...\Midterm Results 1. Doma Umaru\And she's good at sports.\She's pretty much perfect.\Not only that, her family's amazing, too.\Huh?\Apparently, Umaru-chan's dad is the president of Doma Corporation.\What? That huge company? response:	Seriously?!
context: Midterm Results 1. Doma Umaru\And she's good at sports.\She's pretty much perfect.\Not only that, her family's amazing, too.\Huh?\Apparently, Umaru-chan's dad is the president of Doma Corporation.\What? That huge company?\Seriously?! response:	I see...
context: And she's good at sports.\She's pretty much perfect.\Not only that, her family's amazing, too.\Huh?\Apparently, Umaru-chan's dad is the president of Doma Corporation.\What? That huge company?\Seriously?!\I see... response:	So that's why she's so graceful.
context: She's pretty much perfect.\Not only that, her family's amazing, too.\Huh?\Apparently, Umaru-chan's dad is the president of Doma Corporation.\What? That huge company?\Seriously?!\I see...\So that's why she's so graceful. response:	If she's that perfect,
context: Not only that, her family's amazing, too.\Huh?\Apparently, Umaru-chan's dad is the president of Doma Corporation.\What? That huge company?\Seriously?!\I see...\So that's why she's so graceful.\If she's that perfect, response:	there can't be anyone who'd hate her.
context: Huh?\Apparently, Umaru-chan's dad is the president of Doma Corporation.\What? That huge company?\Seriously?!\I see...\So that's why she's so graceful.\If she's that perfect,\there can't be anyone who'd hate her. response:	She's divine, even.
context: Apparently, Umaru-chan's dad is the president of Doma Corporation.\What? That huge company?\Seriously?!\I see...\So that's why she's so graceful.\If she's that perfect,\there can't be anyone who'd hate her.\She's divine, even. response:	Oh, but there's one person who seems to hate her.
context: What? That huge company?\Seriously?!\I see...\So that's why she's so graceful.\If she's that perfect,\there can't be anyone who'd hate her.\She's divine, even.\Oh, but there's one person who seems to hate her. response:	Huh? Who?
context: Seriously?!\I see...\So that's why she's so graceful.\If she's that perfect,\there can't be anyone who'd hate her.\She's divine, even.\Oh, but there's one person who seems to hate her.\Huh? Who? response:	Sylphyn?
context: I see...\So that's why she's so graceful.\If she's that perfect,\there can't be anyone who'd hate her.\She's divine, even.\Oh, but there's one person who seems to hate her.\Huh? Who?\Sylphyn? response:	Sylphyn just likes attention.
context: So that's why she's so graceful.\If she's that perfect,\there can't be anyone who'd hate her.\She's divine, even.\Oh, but there's one person who seems to hate her.\Huh? Who?\Sylphyn?\Sylphyn just likes attention. response:	No, I mean... You know, the other girl in our class.
context: If she's that perfect,\there can't be anyone who'd hate her.\She's divine, even.\Oh, but there's one person who seems to hate her.\Huh? Who?\Sylphyn?\Sylphyn just likes attention.\No, I mean... You know, the other girl in our class. response:	Oh, yeah. I guess she does stare at Umaru-chan all the time.
context: there can't be anyone who'd hate her.\She's divine, even.\Oh, but there's one person who seems to hate her.\Huh? Who?\Sylphyn?\Sylphyn just likes attention.\No, I mean... You know, the other girl in our class.\Oh, yeah. I guess she does stare at Umaru-chan all the time. response:	What's wrong?
context: She's divine, even.\Oh, but there's one person who seems to hate her.\Huh? Who?\Sylphyn?\Sylphyn just likes attention.\No, I mean... You know, the other girl in our class.\Oh, yeah. I guess she does stare at Umaru-chan all the time.\What's wrong? response:	Menacing
context: Oh, but there's one person who seems to hate her.\Huh? Who?\Sylphyn?\Sylphyn just likes attention.\No, I mean... You know, the other girl in our class.\Oh, yeah. I guess she does stare at Umaru-chan all the time.\What's wrong?\Menacing response:	It's Motoba-san.
context: Huh? Who?\Sylphyn?\Sylphyn just likes attention.\No, I mean... You know, the other girl in our class.\Oh, yeah. I guess she does stare at Umaru-chan all the time.\What's wrong?\Menacing\It's Motoba-san. response:	Menacing
context: Sylphyn?\Sylphyn just likes attention.\No, I mean... You know, the other girl in our class.\Oh, yeah. I guess she does stare at Umaru-chan all the time.\What's wrong?\Menacing\It's Motoba-san.\Menacing response:	She's glaring daggers...
context: Sylphyn just likes attention.\No, I mean... You know, the other girl in our class.\Oh, yeah. I guess she does stare at Umaru-chan all the time.\What's wrong?\Menacing\It's Motoba-san.\Menacing\She's glaring daggers... response:	Isn't she scary?
context: No, I mean... You know, the other girl in our class.\Oh, yeah. I guess she does stare at Umaru-chan all the time.\What's wrong?\Menacing\It's Motoba-san.\Menacing\She's glaring daggers...\Isn't she scary? response:	Huh?
context: Oh, yeah. I guess she does stare at Umaru-chan all the time.\What's wrong?\Menacing\It's Motoba-san.\Menacing\She's glaring daggers...\Isn't she scary?\Huh? response:	Motoba-san has such sharp eyes, and she hardly ever talks.
context: What's wrong?\Menacing\It's Motoba-san.\Menacing\She's glaring daggers...\Isn't she scary?\Huh?\Motoba-san has such sharp eyes, and she hardly ever talks. response:	You never know what she's thinking.
context: Menacing\It's Motoba-san.\Menacing\She's glaring daggers...\Isn't she scary?\Huh?\Motoba-san has such sharp eyes, and she hardly ever talks.\You never know what she's thinking. response:	I heard she got in a serious fight with an older guy, too.
context: It's Motoba-san.\Menacing\She's glaring daggers...\Isn't she scary?\Huh?\Motoba-san has such sharp eyes, and she hardly ever talks.\You never know what she's thinking.\I heard she got in a serious fight with an older guy, too. response:	Really?
context: Menacing\She's glaring daggers...\Isn't she scary?\Huh?\Motoba-san has such sharp eyes, and she hardly ever talks.\You never know what she's thinking.\I heard she got in a serious fight with an older guy, too.\Really? response:	I wonder if Motoba-san wants to say something to me.
context: She's glaring daggers...\Isn't she scary?\Huh?\Motoba-san has such sharp eyes, and she hardly ever talks.\You never know what she's thinking.\I heard she got in a serious fight with an older guy, too.\Really?\I wonder if Motoba-san wants to say something to me. response:	What? Motoba-san? You mean Motoba Kirie-chan?
context: Isn't she scary?\Huh?\Motoba-san has such sharp eyes, and she hardly ever talks.\You never know what she's thinking.\I heard she got in a serious fight with an older guy, too.\Really?\I wonder if Motoba-san wants to say something to me.\What? Motoba-san? You mean Motoba Kirie-chan? response:	Yeah.
context: Huh?\Motoba-san has such sharp eyes, and she hardly ever talks.\You never know what she's thinking.\I heard she got in a serious fight with an older guy, too.\Really?\I wonder if Motoba-san wants to say something to me.\What? Motoba-san? You mean Motoba Kirie-chan?\Yeah. response:	Actually, she seemed to want to say something
context: Motoba-san has such sharp eyes, and she hardly ever talks.\You never know what she's thinking.\I heard she got in a serious fight with an older guy, too.\Really?\I wonder if Motoba-san wants to say something to me.\What? Motoba-san? You mean Motoba Kirie-chan?\Yeah.\Actually, she seemed to want to say something response:	Menacing
context: You never know what she's thinking.\I heard she got in a serious fight with an older guy, too.\Really?\I wonder if Motoba-san wants to say something to me.\What? Motoba-san? You mean Motoba Kirie-chan?\Yeah.\Actually, she seemed to want to say something\Menacing response:	right before the test, too.
context: I heard she got in a serious fight with an older guy, too.\Really?\I wonder if Motoba-san wants to say something to me.\What? Motoba-san? You mean Motoba Kirie-chan?\Yeah.\Actually, she seemed to want to say something\Menacing\right before the test, too. response:	K-Kirie-chan's been staring at you for a while, Umaru-chan.
context: Really?\I wonder if Motoba-san wants to say something to me.\What? Motoba-san? You mean Motoba Kirie-chan?\Yeah.\Actually, she seemed to want to say something\Menacing\right before the test, too.\K-Kirie-chan's been staring at you for a while, Umaru-chan. response:	R-Really?
context: I wonder if Motoba-san wants to say something to me.\What? Motoba-san? You mean Motoba Kirie-chan?\Yeah.\Actually, she seemed to want to say something\Menacing\right before the test, too.\K-Kirie-chan's been staring at you for a while, Umaru-chan.\R-Really? response:	Yeah. Lately, in particular, she's been doing it every day.
context: What? Motoba-san? You mean Motoba Kirie-chan?\Yeah.\Actually, she seemed to want to say something\Menacing\right before the test, too.\K-Kirie-chan's been staring at you for a while, Umaru-chan.\R-Really?\Yeah. Lately, in particular, she's been doing it every day. response:	You didn't notice?
context: Yeah.\Actually, she seemed to want to say something\Menacing\right before the test, too.\K-Kirie-chan's been staring at you for a while, Umaru-chan.\R-Really?\Yeah. Lately, in particular, she's been doing it every day.\You didn't notice? response:	No, not at all...
context: Actually, she seemed to want to say something\Menacing\right before the test, too.\K-Kirie-chan's been staring at you for a while, Umaru-chan.\R-Really?\Yeah. Lately, in particular, she's been doing it every day.\You didn't notice?\No, not at all... response:	Oh, are you friends with Motoba-san, Ebina-chan?
context: Menacing\right before the test, too.\K-Kirie-chan's been staring at you for a while, Umaru-chan.\R-Really?\Yeah. Lately, in particular, she's been doing it every day.\You didn't notice?\No, not at all...\Oh, are you friends with Motoba-san, Ebina-chan? response:	No.
context: right before the test, too.\K-Kirie-chan's been staring at you for a while, Umaru-chan.\R-Really?\Yeah. Lately, in particular, she's been doing it every day.\You didn't notice?\No, not at all...\Oh, are you friends with Motoba-san, Ebina-chan?\No. response:	But there was one time I invited her to eat lunch with us.
context: K-Kirie-chan's been staring at you for a while, Umaru-chan.\R-Really?\Yeah. Lately, in particular, she's been doing it every day.\You didn't notice?\No, not at all...\Oh, are you friends with Motoba-san, Ebina-chan?\No.\But there was one time I invited her to eat lunch with us. response:	Kirie-chan.
context: R-Really?\Yeah. Lately, in particular, she's been doing it every day.\You didn't notice?\No, not at all...\Oh, are you friends with Motoba-san, Ebina-chan?\No.\But there was one time I invited her to eat lunch with us.\Kirie-chan. response:	W-Want to eat lunch together?
context: Yeah. Lately, in particular, she's been doing it every day.\You didn't notice?\No, not at all...\Oh, are you friends with Motoba-san, Ebina-chan?\No.\But there was one time I invited her to eat lunch with us.\Kirie-chan.\W-Want to eat lunch together? response:	With Umaru-san, too?
context: You didn't notice?\No, not at all...\Oh, are you friends with Motoba-san, Ebina-chan?\No.\But there was one time I invited her to eat lunch with us.\Kirie-chan.\W-Want to eat lunch together?\With Umaru-san, too? response:	Y-Yeah. She'll be there, too.
context: No, not at all...\Oh, are you friends with Motoba-san, Ebina-chan?\No.\But there was one time I invited her to eat lunch with us.\Kirie-chan.\W-Want to eat lunch together?\With Umaru-san, too?\Y-Yeah. She'll be there, too. response:	I see...
context: Oh, are you friends with Motoba-san, Ebina-chan?\No.\But there was one time I invited her to eat lunch with us.\Kirie-chan.\W-Want to eat lunch together?\With Umaru-san, too?\Y-Yeah. She'll be there, too.\I see... response:	So after you told her I'd be there...
