context: Good morning! response:	Morning!
context: Such bad timing! That's just like you.\I told you, didn't I Emma?\That I used to be a governess.\Yes.\Well this is the Young Master I cared for, William Jones.\Y-Young Master...?\Have you stopped wetting the bed?\Of... Of course I have. A long time ago. response:	Looking back, I realize that the Jones family...
context: I told you, didn't I Emma?\That I used to be a governess.\Yes.\Well this is the Young Master I cared for, William Jones.\Y-Young Master...?\Have you stopped wetting the bed?\Of... Of course I have. A long time ago.\Looking back, I realize that the Jones family... response:	Is your father well?
context: That I used to be a governess.\Yes.\Well this is the Young Master I cared for, William Jones.\Y-Young Master...?\Have you stopped wetting the bed?\Of... Of course I have. A long time ago.\Looking back, I realize that the Jones family...\Is your father well? response:	Yes.
context: Yes.\Well this is the Young Master I cared for, William Jones.\Y-Young Master...?\Have you stopped wetting the bed?\Of... Of course I have. A long time ago.\Looking back, I realize that the Jones family...\Is your father well?\Yes. response:	Very well...
context: Well this is the Young Master I cared for, William Jones.\Y-Young Master...?\Have you stopped wetting the bed?\Of... Of course I have. A long time ago.\Looking back, I realize that the Jones family...\Is your father well?\Yes.\Very well... response:	Ah, thank you...
context: Y-Young Master...?\Have you stopped wetting the bed?\Of... Of course I have. A long time ago.\Looking back, I realize that the Jones family...\Is your father well?\Yes.\Very well...\Ah, thank you... response:	I told you to come and see me, but you never did...
context: Have you stopped wetting the bed?\Of... Of course I have. A long time ago.\Looking back, I realize that the Jones family...\Is your father well?\Yes.\Very well...\Ah, thank you...\I told you to come and see me, but you never did... response:	Now, after all this time, you finally come.
context: Of... Of course I have. A long time ago.\Looking back, I realize that the Jones family...\Is your father well?\Yes.\Very well...\Ah, thank you...\I told you to come and see me, but you never did...\Now, after all this time, you finally come. response:	You never cease to amaze me...
context: Looking back, I realize that the Jones family...\Is your father well?\Yes.\Very well...\Ah, thank you...\I told you to come and see me, but you never did...\Now, after all this time, you finally come.\You never cease to amaze me... response:	Have you never seen a maid before?
context: Is your father well?\Yes.\Very well...\Ah, thank you...\I told you to come and see me, but you never did...\Now, after all this time, you finally come.\You never cease to amaze me...\Have you never seen a maid before? response:	What...?
context: Yes.\Very well...\Ah, thank you...\I told you to come and see me, but you never did...\Now, after all this time, you finally come.\You never cease to amaze me...\Have you never seen a maid before?\What...? response:	Of course...
context: Very well...\Ah, thank you...\I told you to come and see me, but you never did...\Now, after all this time, you finally come.\You never cease to amaze me...\Have you never seen a maid before?\What...?\Of course... response:	I'll get it.
context: Ah, thank you...\I told you to come and see me, but you never did...\Now, after all this time, you finally come.\You never cease to amaze me...\Have you never seen a maid before?\What...?\Of course...\I'll get it. response:	It's probably Mr. Graham.
context: I told you to come and see me, but you never did...\Now, after all this time, you finally come.\You never cease to amaze me...\Have you never seen a maid before?\What...?\Of course...\I'll get it.\It's probably Mr. Graham. response:	You seem tense, sir.
context: Now, after all this time, you finally come.\You never cease to amaze me...\Have you never seen a maid before?\What...?\Of course...\I'll get it.\It's probably Mr. Graham.\You seem tense, sir. response:	What?
context: You never cease to amaze me...\Have you never seen a maid before?\What...?\Of course...\I'll get it.\It's probably Mr. Graham.\You seem tense, sir.\What? response:	The truth is... that woman always makes me feel uneasy...
context: Have you never seen a maid before?\What...?\Of course...\I'll get it.\It's probably Mr. Graham.\You seem tense, sir.\What?\The truth is... that woman always makes me feel uneasy... response:	I could tell.
context: What...?\Of course...\I'll get it.\It's probably Mr. Graham.\You seem tense, sir.\What?\The truth is... that woman always makes me feel uneasy...\I could tell. response:	She used to be even more frightening, you know...
context: Of course...\I'll get it.\It's probably Mr. Graham.\You seem tense, sir.\What?\The truth is... that woman always makes me feel uneasy...\I could tell.\She used to be even more frightening, you know... response:	If I forgot my homework,
context: I'll get it.\It's probably Mr. Graham.\You seem tense, sir.\What?\The truth is... that woman always makes me feel uneasy...\I could tell.\She used to be even more frightening, you know...\If I forgot my homework, response:	she'd make me sit facing the wall for an hour...
context: It's probably Mr. Graham.\You seem tense, sir.\What?\The truth is... that woman always makes me feel uneasy...\I could tell.\She used to be even more frightening, you know...\If I forgot my homework,\she'd make me sit facing the wall for an hour... response:	Hm?
context: You seem tense, sir.\What?\The truth is... that woman always makes me feel uneasy...\I could tell.\She used to be even more frightening, you know...\If I forgot my homework,\she'd make me sit facing the wall for an hour...\Hm? response:	This is... me!
context: What?\The truth is... that woman always makes me feel uneasy...\I could tell.\She used to be even more frightening, you know...\If I forgot my homework,\she'd make me sit facing the wall for an hour...\Hm?\This is... me! response:	This brings back memories!
context: The truth is... that woman always makes me feel uneasy...\I could tell.\She used to be even more frightening, you know...\If I forgot my homework,\she'd make me sit facing the wall for an hour...\Hm?\This is... me!\This brings back memories! response:	This is me, you know!
context: I could tell.\She used to be even more frightening, you know...\If I forgot my homework,\she'd make me sit facing the wall for an hour...\Hm?\This is... me!\This brings back memories!\This is me, you know! response:	Yes, I can tell.
context: She used to be even more frightening, you know...\If I forgot my homework,\she'd make me sit facing the wall for an hour...\Hm?\This is... me!\This brings back memories!\This is me, you know!\Yes, I can tell. response:	Huh? You knew?
context: If I forgot my homework,\she'd make me sit facing the wall for an hour...\Hm?\This is... me!\This brings back memories!\This is me, you know!\Yes, I can tell.\Huh? You knew? response:	The mistress talks about you sometimes...
context: she'd make me sit facing the wall for an hour...\Hm?\This is... me!\This brings back memories!\This is me, you know!\Yes, I can tell.\Huh? You knew?\The mistress talks about you sometimes... response:	I recognized you the moment we met.
context: Hm?\This is... me!\This brings back memories!\This is me, you know!\Yes, I can tell.\Huh? You knew?\The mistress talks about you sometimes...\I recognized you the moment we met. response:	Well, that's a bit embarrassing.
context: This is... me!\This brings back memories!\This is me, you know!\Yes, I can tell.\Huh? You knew?\The mistress talks about you sometimes...\I recognized you the moment we met.\Well, that's a bit embarrassing. response:	If I remember correctly, this was taken on my 13th birthday...
context: This brings back memories!\This is me, you know!\Yes, I can tell.\Huh? You knew?\The mistress talks about you sometimes...\I recognized you the moment we met.\Well, that's a bit embarrassing.\If I remember correctly, this was taken on my 13th birthday... response:	I'm surprised she displays it here...
context: This is me, you know!\Yes, I can tell.\Huh? You knew?\The mistress talks about you sometimes...\I recognized you the moment we met.\Well, that's a bit embarrassing.\If I remember correctly, this was taken on my 13th birthday...\I'm surprised she displays it here... response:	The Mistress doesn't have any children of her own.
context: Yes, I can tell.\Huh? You knew?\The mistress talks about you sometimes...\I recognized you the moment we met.\Well, that's a bit embarrassing.\If I remember correctly, this was taken on my 13th birthday...\I'm surprised she displays it here...\The Mistress doesn't have any children of her own. response:	Don't you think she must consider you as a son?
context: Huh? You knew?\The mistress talks about you sometimes...\I recognized you the moment we met.\Well, that's a bit embarrassing.\If I remember correctly, this was taken on my 13th birthday...\I'm surprised she displays it here...\The Mistress doesn't have any children of her own.\Don't you think she must consider you as a son? response:	You think so? She was always so angry with me...
context: The mistress talks about you sometimes...\I recognized you the moment we met.\Well, that's a bit embarrassing.\If I remember correctly, this was taken on my 13th birthday...\I'm surprised she displays it here...\The Mistress doesn't have any children of her own.\Don't you think she must consider you as a son?\You think so? She was always so angry with me... response:	That's just how she is.
context: I recognized you the moment we met.\Well, that's a bit embarrassing.\If I remember correctly, this was taken on my 13th birthday...\I'm surprised she displays it here...\The Mistress doesn't have any children of her own.\Don't you think she must consider you as a son?\You think so? She was always so angry with me...\That's just how she is. response:	I hope you learn to like her.
context: Well, that's a bit embarrassing.\If I remember correctly, this was taken on my 13th birthday...\I'm surprised she displays it here...\The Mistress doesn't have any children of her own.\Don't you think she must consider you as a son?\You think so? She was always so angry with me...\That's just how she is.\I hope you learn to like her. response:	Yes.
context: If I remember correctly, this was taken on my 13th birthday...\I'm surprised she displays it here...\The Mistress doesn't have any children of her own.\Don't you think she must consider you as a son?\You think so? She was always so angry with me...\That's just how she is.\I hope you learn to like her.\Yes. response:	Emma?
context: I'm surprised she displays it here...\The Mistress doesn't have any children of her own.\Don't you think she must consider you as a son?\You think so? She was always so angry with me...\That's just how she is.\I hope you learn to like her.\Yes.\Emma? response:	Yes?
context: The Mistress doesn't have any children of her own.\Don't you think she must consider you as a son?\You think so? She was always so angry with me...\That's just how she is.\I hope you learn to like her.\Yes.\Emma?\Yes? response:	There seems to have been a mistake.
context: Don't you think she must consider you as a son?\You think so? She was always so angry with me...\That's just how she is.\I hope you learn to like her.\Yes.\Emma?\Yes?\There seems to have been a mistake. response:	Mr. Graham is apparently waiting at the station. I will go and fetch him.
context: You think so? She was always so angry with me...\That's just how she is.\I hope you learn to like her.\Yes.\Emma?\Yes?\There seems to have been a mistake.\Mr. Graham is apparently waiting at the station. I will go and fetch him. response:	Yes, ma'am.
context: That's just how she is.\I hope you learn to like her.\Yes.\Emma?\Yes?\There seems to have been a mistake.\Mr. Graham is apparently waiting at the station. I will go and fetch him.\Yes, ma'am. response:	I'm afraid that I cannot spare you any more time today.
context: I hope you learn to like her.\Yes.\Emma?\Yes?\There seems to have been a mistake.\Mr. Graham is apparently waiting at the station. I will go and fetch him.\Yes, ma'am.\I'm afraid that I cannot spare you any more time today. response:	What...?
context: Yes.\Emma?\Yes?\There seems to have been a mistake.\Mr. Graham is apparently waiting at the station. I will go and fetch him.\Yes, ma'am.\I'm afraid that I cannot spare you any more time today.\What...? response:	Even retired people have busy schedules.
context: Emma?\Yes?\There seems to have been a mistake.\Mr. Graham is apparently waiting at the station. I will go and fetch him.\Yes, ma'am.\I'm afraid that I cannot spare you any more time today.\What...?\Even retired people have busy schedules. response:	Next time, inform me by letter when you will arrive.
context: Yes?\There seems to have been a mistake.\Mr. Graham is apparently waiting at the station. I will go and fetch him.\Yes, ma'am.\I'm afraid that I cannot spare you any more time today.\What...?\Even retired people have busy schedules.\Next time, inform me by letter when you will arrive. response:	After all, you must remember your manners.
context: There seems to have been a mistake.\Mr. Graham is apparently waiting at the station. I will go and fetch him.\Yes, ma'am.\I'm afraid that I cannot spare you any more time today.\What...?\Even retired people have busy schedules.\Next time, inform me by letter when you will arrive.\After all, you must remember your manners. response:	Young man!
context: Mr. Graham is apparently waiting at the station. I will go and fetch him.\Yes, ma'am.\I'm afraid that I cannot spare you any more time today.\What...?\Even retired people have busy schedules.\Next time, inform me by letter when you will arrive.\After all, you must remember your manners.\Young man! response:	Yes...
context: Yes, ma'am.\I'm afraid that I cannot spare you any more time today.\What...?\Even retired people have busy schedules.\Next time, inform me by letter when you will arrive.\After all, you must remember your manners.\Young man!\Yes... response:	Please visit me again soon.
context: I'm afraid that I cannot spare you any more time today.\What...?\Even retired people have busy schedules.\Next time, inform me by letter when you will arrive.\After all, you must remember your manners.\Young man!\Yes...\Please visit me again soon. response:	I will.
context: What...?\Even retired people have busy schedules.\Next time, inform me by letter when you will arrive.\After all, you must remember your manners.\Young man!\Yes...\Please visit me again soon.\I will. response:	You must tell me everything.
context: Even retired people have busy schedules.\Next time, inform me by letter when you will arrive.\After all, you must remember your manners.\Young man!\Yes...\Please visit me again soon.\I will.\You must tell me everything. response:	Oh...!
context: Next time, inform me by letter when you will arrive.\After all, you must remember your manners.\Young man!\Yes...\Please visit me again soon.\I will.\You must tell me everything.\Oh...! response:	It appears he forgot these.
context: After all, you must remember your manners.\Young man!\Yes...\Please visit me again soon.\I will.\You must tell me everything.\Oh...!\It appears he forgot these. response:	He's as careless as ever.
context: Young man!\Yes...\Please visit me again soon.\I will.\You must tell me everything.\Oh...!\It appears he forgot these.\He's as careless as ever. response:	If I hurry...
context: Yes...\Please visit me again soon.\I will.\You must tell me everything.\Oh...!\It appears he forgot these.\He's as careless as ever.\If I hurry... response:	It's fine. He can collect them next time.
context: Please visit me again soon.\I will.\You must tell me everything.\Oh...!\It appears he forgot these.\He's as careless as ever.\If I hurry...\It's fine. He can collect them next time. response:	I see.
context: I will.\You must tell me everything.\Oh...!\It appears he forgot these.\He's as careless as ever.\If I hurry...\It's fine. He can collect them next time.\I see. response:	Would you go deliver them?
context: You must tell me everything.\Oh...!\It appears he forgot these.\He's as careless as ever.\If I hurry...\It's fine. He can collect them next time.\I see.\Would you go deliver them? response:	Yes.
context: Oh...!\It appears he forgot these.\He's as careless as ever.\If I hurry...\It's fine. He can collect them next time.\I see.\Would you go deliver them?\Yes. response:	This is for your mistress...
context: It appears he forgot these.\He's as careless as ever.\If I hurry...\It's fine. He can collect them next time.\I see.\Would you go deliver them?\Yes.\This is for your mistress... response:	It's from me. I'll await your reply when next we meet.
context: He's as careless as ever.\If I hurry...\It's fine. He can collect them next time.\I see.\Would you go deliver them?\Yes.\This is for your mistress...\It's from me. I'll await your reply when next we meet. response:	The post?
context: If I hurry...\It's fine. He can collect them next time.\I see.\Would you go deliver them?\Yes.\This is for your mistress...\It's from me. I'll await your reply when next we meet.\The post? response:	Could you make some tea?
context: It's fine. He can collect them next time.\I see.\Would you go deliver them?\Yes.\This is for your mistress...\It's from me. I'll await your reply when next we meet.\The post?\Could you make some tea? response:	Yes, ma'am.
context: I see.\Would you go deliver them?\Yes.\This is for your mistress...\It's from me. I'll await your reply when next we meet.\The post?\Could you make some tea?\Yes, ma'am. response:	Yes!
context: Would you go deliver them?\Yes.\This is for your mistress...\It's from me. I'll await your reply when next we meet.\The post?\Could you make some tea?\Yes, ma'am.\Yes! response:	Young Master, your father is calling for you.
context: Yes.\This is for your mistress...\It's from me. I'll await your reply when next we meet.\The post?\Could you make some tea?\Yes, ma'am.\Yes!\Young Master, your father is calling for you. response:	Can we stop this Young Master business?
context: This is for your mistress...\It's from me. I'll await your reply when next we meet.\The post?\Could you make some tea?\Yes, ma'am.\Yes!\Young Master, your father is calling for you.\Can we stop this Young Master business? response:	What are you saying?
context: It's from me. I'll await your reply when next we meet.\The post?\Could you make some tea?\Yes, ma'am.\Yes!\Young Master, your father is calling for you.\Can we stop this Young Master business?\What are you saying? response:	You are the Young Master, after all.
context: The post?\Could you make some tea?\Yes, ma'am.\Yes!\Young Master, your father is calling for you.\Can we stop this Young Master business?\What are you saying?\You are the Young Master, after all. response:	My father talks for hours. Can you tell him no?
context: Could you make some tea?\Yes, ma'am.\Yes!\Young Master, your father is calling for you.\Can we stop this Young Master business?\What are you saying?\You are the Young Master, after all.\My father talks for hours. Can you tell him no? response:	Certainly not, Young Master.
context: Yes, ma'am.\Yes!\Young Master, your father is calling for you.\Can we stop this Young Master business?\What are you saying?\You are the Young Master, after all.\My father talks for hours. Can you tell him no?\Certainly not, Young Master. response:	What is that?
context: Yes!\Young Master, your father is calling for you.\Can we stop this Young Master business?\What are you saying?\You are the Young Master, after all.\My father talks for hours. Can you tell him no?\Certainly not, Young Master.\What is that? response:	Don't you know? It's an airplane.
context: Young Master, your father is calling for you.\Can we stop this Young Master business?\What are you saying?\You are the Young Master, after all.\My father talks for hours. Can you tell him no?\Certainly not, Young Master.\What is that?\Don't you know? It's an airplane. response:	You're surprisingly light on your feet.
context: Can we stop this Young Master business?\What are you saying?\You are the Young Master, after all.\My father talks for hours. Can you tell him no?\Certainly not, Young Master.\What is that?\Don't you know? It's an airplane.\You're surprisingly light on your feet. response:	Young Master!
context: What are you saying?\You are the Young Master, after all.\My father talks for hours. Can you tell him no?\Certainly not, Young Master.\What is that?\Don't you know? It's an airplane.\You're surprisingly light on your feet.\Young Master! response:	Can't sleep?
context: You are the Young Master, after all.\My father talks for hours. Can you tell him no?\Certainly not, Young Master.\What is that?\Don't you know? It's an airplane.\You're surprisingly light on your feet.\Young Master!\Can't sleep? response:	I just have to write this...
context: My father talks for hours. Can you tell him no?\Certainly not, Young Master.\What is that?\Don't you know? It's an airplane.\You're surprisingly light on your feet.\Young Master!\Can't sleep?\I just have to write this... response:	You seem to turn everyone down...
context: Certainly not, Young Master.\What is that?\Don't you know? It's an airplane.\You're surprisingly light on your feet.\Young Master!\Can't sleep?\I just have to write this...\You seem to turn everyone down... response:	I didn't think you'd put your skills of reading and writing to use in this way.
context: What is that?\Don't you know? It's an airplane.\You're surprisingly light on your feet.\Young Master!\Can't sleep?\I just have to write this...\You seem to turn everyone down...\I didn't think you'd put your skills of reading and writing to use in this way. response:	Ah well...
context: Don't you know? It's an airplane.\You're surprisingly light on your feet.\Young Master!\Can't sleep?\I just have to write this...\You seem to turn everyone down...\I didn't think you'd put your skills of reading and writing to use in this way.\Ah well... response:	Do as you wish. As long as you can work tomorrow.
context: You're surprisingly light on your feet.\Young Master!\Can't sleep?\I just have to write this...\You seem to turn everyone down...\I didn't think you'd put your skills of reading and writing to use in this way.\Ah well...\Do as you wish. As long as you can work tomorrow. response:	Yes, ma'am...
context: Young Master!\Can't sleep?\I just have to write this...\You seem to turn everyone down...\I didn't think you'd put your skills of reading and writing to use in this way.\Ah well...\Do as you wish. As long as you can work tomorrow.\Yes, ma'am... response:	That Kelly woman. She's a slave driver.
context: Can't sleep?\I just have to write this...\You seem to turn everyone down...\I didn't think you'd put your skills of reading and writing to use in this way.\Ah well...\Do as you wish. As long as you can work tomorrow.\Yes, ma'am...\That Kelly woman. She's a slave driver. response:	She never thinks about what other responsibilities we might have.
context: I just have to write this...\You seem to turn everyone down...\I didn't think you'd put your skills of reading and writing to use in this way.\Ah well...\Do as you wish. As long as you can work tomorrow.\Yes, ma'am...\That Kelly woman. She's a slave driver.\She never thinks about what other responsibilities we might have. response:	Responsibilities, Al?
context: You seem to turn everyone down...\I didn't think you'd put your skills of reading and writing to use in this way.\Ah well...\Do as you wish. As long as you can work tomorrow.\Yes, ma'am...\That Kelly woman. She's a slave driver.\She never thinks about what other responsibilities we might have.\Responsibilities, Al? response:	You're always either playing cards or drinking.
context: I didn't think you'd put your skills of reading and writing to use in this way.\Ah well...\Do as you wish. As long as you can work tomorrow.\Yes, ma'am...\That Kelly woman. She's a slave driver.\She never thinks about what other responsibilities we might have.\Responsibilities, Al?\You're always either playing cards or drinking. response:	He surely is.
context: Ah well...\Do as you wish. As long as you can work tomorrow.\Yes, ma'am...\That Kelly woman. She's a slave driver.\She never thinks about what other responsibilities we might have.\Responsibilities, Al?\You're always either playing cards or drinking.\He surely is. response:	But then again, we're just the same as you, Al!
context: Do as you wish. As long as you can work tomorrow.\Yes, ma'am...\That Kelly woman. She's a slave driver.\She never thinks about what other responsibilities we might have.\Responsibilities, Al?\You're always either playing cards or drinking.\He surely is.\But then again, we're just the same as you, Al! response:	Let's go down to the Ruth and Bear again today!
context: Yes, ma'am...\That Kelly woman. She's a slave driver.\She never thinks about what other responsibilities we might have.\Responsibilities, Al?\You're always either playing cards or drinking.\He surely is.\But then again, we're just the same as you, Al!\Let's go down to the Ruth and Bear again today! response:	A toast, to the God of beer!
context: That Kelly woman. She's a slave driver.\She never thinks about what other responsibilities we might have.\Responsibilities, Al?\You're always either playing cards or drinking.\He surely is.\But then again, we're just the same as you, Al!\Let's go down to the Ruth and Bear again today!\A toast, to the God of beer! response:	'Come!
context: She never thinks about what other responsibilities we might have.\Responsibilities, Al?\You're always either playing cards or drinking.\He surely is.\But then again, we're just the same as you, Al!\Let's go down to the Ruth and Bear again today!\A toast, to the God of beer!\'Come! response:	Potatoes, please.
context: Responsibilities, Al?\You're always either playing cards or drinking.\He surely is.\But then again, we're just the same as you, Al!\Let's go down to the Ruth and Bear again today!\A toast, to the God of beer!\'Come!\Potatoes, please. response:	Of course.
context: You're always either playing cards or drinking.\He surely is.\But then again, we're just the same as you, Al!\Let's go down to the Ruth and Bear again today!\A toast, to the God of beer!\'Come!\Potatoes, please.\Of course. response:	It's Miss Emma!
context: He surely is.\But then again, we're just the same as you, Al!\Let's go down to the Ruth and Bear again today!\A toast, to the God of beer!\'Come!\Potatoes, please.\Of course.\It's Miss Emma! response:	It's Miss!
context: But then again, we're just the same as you, Al!\Let's go down to the Ruth and Bear again today!\A toast, to the God of beer!\'Come!\Potatoes, please.\Of course.\It's Miss Emma!\It's Miss! response:	Hello there.
context: Let's go down to the Ruth and Bear again today!\A toast, to the God of beer!\'Come!\Potatoes, please.\Of course.\It's Miss Emma!\It's Miss!\Hello there. response:	Good day to you!
context: A toast, to the God of beer!\'Come!\Potatoes, please.\Of course.\It's Miss Emma!\It's Miss!\Hello there.\Good day to you! response:	Mr. Jones, what can I do for you today?
context: 'Come!\Potatoes, please.\Of course.\It's Miss Emma!\It's Miss!\Hello there.\Good day to you!\Mr. Jones, what can I do for you today? response:	Nothing.
context: Potatoes, please.\Of course.\It's Miss Emma!\It's Miss!\Hello there.\Good day to you!\Mr. Jones, what can I do for you today?\Nothing. response:	Ah!
context: Of course.\It's Miss Emma!\It's Miss!\Hello there.\Good day to you!\Mr. Jones, what can I do for you today?\Nothing.\Ah! response:	We've kept something for a special customer such as yourself.
context: It's Miss Emma!\It's Miss!\Hello there.\Good day to you!\Mr. Jones, what can I do for you today?\Nothing.\Ah!\We've kept something for a special customer such as yourself. response:	What do you think of this doll?
context: It's Miss!\Hello there.\Good day to you!\Mr. Jones, what can I do for you today?\Nothing.\Ah!\We've kept something for a special customer such as yourself.\What do you think of this doll? response:	It's chinoiserie. They're currently all the rage.
context: Hello there.\Good day to you!\Mr. Jones, what can I do for you today?\Nothing.\Ah!\We've kept something for a special customer such as yourself.\What do you think of this doll?\It's chinoiserie. They're currently all the rage. response:	Is that so...
context: Good day to you!\Mr. Jones, what can I do for you today?\Nothing.\Ah!\We've kept something for a special customer such as yourself.\What do you think of this doll?\It's chinoiserie. They're currently all the rage.\Is that so... response:	Oh!
context: Mr. Jones, what can I do for you today?\Nothing.\Ah!\We've kept something for a special customer such as yourself.\What do you think of this doll?\It's chinoiserie. They're currently all the rage.\Is that so...\Oh! response:	Well, how do you feel about this invention?
context: Nothing.\Ah!\We've kept something for a special customer such as yourself.\What do you think of this doll?\It's chinoiserie. They're currently all the rage.\Is that so...\Oh!\Well, how do you feel about this invention? response:	This is called a tea-making clock.
context: Ah!\We've kept something for a special customer such as yourself.\What do you think of this doll?\It's chinoiserie. They're currently all the rage.\Is that so...\Oh!\Well, how do you feel about this invention?\This is called a tea-making clock. response:	It's a combination alarm clock and teapot, quite a rare item...
context: We've kept something for a special customer such as yourself.\What do you think of this doll?\It's chinoiserie. They're currently all the rage.\Is that so...\Oh!\Well, how do you feel about this invention?\This is called a tea-making clock.\It's a combination alarm clock and teapot, quite a rare item... response:	Ah!
context: What do you think of this doll?\It's chinoiserie. They're currently all the rage.\Is that so...\Oh!\Well, how do you feel about this invention?\This is called a tea-making clock.\It's a combination alarm clock and teapot, quite a rare item...\Ah! response:	Mr. Jones?
context: It's chinoiserie. They're currently all the rage.\Is that so...\Oh!\Well, how do you feel about this invention?\This is called a tea-making clock.\It's a combination alarm clock and teapot, quite a rare item...\Ah!\Mr. Jones? response:	Please deliver that to my house!
context: Is that so...\Oh!\Well, how do you feel about this invention?\This is called a tea-making clock.\It's a combination alarm clock and teapot, quite a rare item...\Ah!\Mr. Jones?\Please deliver that to my house! response:	Miss Emma!
context: Oh!\Well, how do you feel about this invention?\This is called a tea-making clock.\It's a combination alarm clock and teapot, quite a rare item...\Ah!\Mr. Jones?\Please deliver that to my house!\Miss Emma! response:	Thank you for yesterday.
context: Well, how do you feel about this invention?\This is called a tea-making clock.\It's a combination alarm clock and teapot, quite a rare item...\Ah!\Mr. Jones?\Please deliver that to my house!\Miss Emma!\Thank you for yesterday. response:	Mr. Jones...
context: This is called a tea-making clock.\It's a combination alarm clock and teapot, quite a rare item...\Ah!\Mr. Jones?\Please deliver that to my house!\Miss Emma!\Thank you for yesterday.\Mr. Jones... response:	Hello...
context: It's a combination alarm clock and teapot, quite a rare item...\Ah!\Mr. Jones?\Please deliver that to my house!\Miss Emma!\Thank you for yesterday.\Mr. Jones...\Hello... response:	I'm sorry. I didn't notice it was you.
context: Ah!\Mr. Jones?\Please deliver that to my house!\Miss Emma!\Thank you for yesterday.\Mr. Jones...\Hello...\I'm sorry. I didn't notice it was you. response:	Yesterday, your gloves...
context: Mr. Jones?\Please deliver that to my house!\Miss Emma!\Thank you for yesterday.\Mr. Jones...\Hello...\I'm sorry. I didn't notice it was you.\Yesterday, your gloves... response:	Yes. In fact, I was just thinking of visiting the house.
context: Please deliver that to my house!\Miss Emma!\Thank you for yesterday.\Mr. Jones...\Hello...\I'm sorry. I didn't notice it was you.\Yesterday, your gloves...\Yes. In fact, I was just thinking of visiting the house. response:	Mr. Jones...?
