context: Thanks to you, I've awakened. response:	This time for sure, see.
context: Go!\So it's an illusion!\I see.\Letting the illusion go past is a wise way to endure them.\All right, then I'll take this opportunity to target your partner.\Sorry...\Damn!\Of course it hurts. response:	That's where I got a direct hit on you with my Gossamer Attack earlier.
context: So it's an illusion!\I see.\Letting the illusion go past is a wise way to endure them.\All right, then I'll take this opportunity to target your partner.\Sorry...\Damn!\Of course it hurts.\That's where I got a direct hit on you with my Gossamer Attack earlier. response:	You know how you should be aware of your opponent's breathing
context: I see.\Letting the illusion go past is a wise way to endure them.\All right, then I'll take this opportunity to target your partner.\Sorry...\Damn!\Of course it hurts.\That's where I got a direct hit on you with my Gossamer Attack earlier.\You know how you should be aware of your opponent's breathing response:	and smallest gestures during a battle?
context: Letting the illusion go past is a wise way to endure them.\All right, then I'll take this opportunity to target your partner.\Sorry...\Damn!\Of course it hurts.\That's where I got a direct hit on you with my Gossamer Attack earlier.\You know how you should be aware of your opponent's breathing\and smallest gestures during a battle? response:	You expand your senses to your surroundings, not only your opponent.
context: All right, then I'll take this opportunity to target your partner.\Sorry...\Damn!\Of course it hurts.\That's where I got a direct hit on you with my Gossamer Attack earlier.\You know how you should be aware of your opponent's breathing\and smallest gestures during a battle?\You expand your senses to your surroundings, not only your opponent. response:	Well, under the Amagiri Shinmei Style, we call this state VijNna.
context: Sorry...\Damn!\Of course it hurts.\That's where I got a direct hit on you with my Gossamer Attack earlier.\You know how you should be aware of your opponent's breathing\and smallest gestures during a battle?\You expand your senses to your surroundings, not only your opponent.\Well, under the Amagiri Shinmei Style, we call this state VijNna. response:	VijNna...
context: Damn!\Of course it hurts.\That's where I got a direct hit on you with my Gossamer Attack earlier.\You know how you should be aware of your opponent's breathing\and smallest gestures during a battle?\You expand your senses to your surroundings, not only your opponent.\Well, under the Amagiri Shinmei Style, we call this state VijNna.\VijNna... response:	Since humans tend to hit a wall when their outlook grows narrow,
context: Of course it hurts.\That's where I got a direct hit on you with my Gossamer Attack earlier.\You know how you should be aware of your opponent's breathing\and smallest gestures during a battle?\You expand your senses to your surroundings, not only your opponent.\Well, under the Amagiri Shinmei Style, we call this state VijNna.\VijNna...\Since humans tend to hit a wall when their outlook grows narrow, response:	it's important to look at all kinds of things from all kinds of angles.
context: That's where I got a direct hit on you with my Gossamer Attack earlier.\You know how you should be aware of your opponent's breathing\and smallest gestures during a battle?\You expand your senses to your surroundings, not only your opponent.\Well, under the Amagiri Shinmei Style, we call this state VijNna.\VijNna...\Since humans tend to hit a wall when their outlook grows narrow,\it's important to look at all kinds of things from all kinds of angles. response:	Why didn't you go after my badge?
context: You know how you should be aware of your opponent's breathing\and smallest gestures during a battle?\You expand your senses to your surroundings, not only your opponent.\Well, under the Amagiri Shinmei Style, we call this state VijNna.\VijNna...\Since humans tend to hit a wall when their outlook grows narrow,\it's important to look at all kinds of things from all kinds of angles.\Why didn't you go after my badge? response:	My aim was a little off, that's all.
context: and smallest gestures during a battle?\You expand your senses to your surroundings, not only your opponent.\Well, under the Amagiri Shinmei Style, we call this state VijNna.\VijNna...\Since humans tend to hit a wall when their outlook grows narrow,\it's important to look at all kinds of things from all kinds of angles.\Why didn't you go after my badge?\My aim was a little off, that's all. response:	I see!
context: You expand your senses to your surroundings, not only your opponent.\Well, under the Amagiri Shinmei Style, we call this state VijNna.\VijNna...\Since humans tend to hit a wall when their outlook grows narrow,\it's important to look at all kinds of things from all kinds of angles.\Why didn't you go after my badge?\My aim was a little off, that's all.\I see! response:	Then I'm going to make you regret it!
context: Well, under the Amagiri Shinmei Style, we call this state VijNna.\VijNna...\Since humans tend to hit a wall when their outlook grows narrow,\it's important to look at all kinds of things from all kinds of angles.\Why didn't you go after my badge?\My aim was a little off, that's all.\I see!\Then I'm going to make you regret it! response:	Come out...
context: VijNna...\Since humans tend to hit a wall when their outlook grows narrow,\it's important to look at all kinds of things from all kinds of angles.\Why didn't you go after my badge?\My aim was a little off, that's all.\I see!\Then I'm going to make you regret it!\Come out... response:	Semiserrata!
context: Since humans tend to hit a wall when their outlook grows narrow,\it's important to look at all kinds of things from all kinds of angles.\Why didn't you go after my badge?\My aim was a little off, that's all.\I see!\Then I'm going to make you regret it!\Come out...\Semiserrata! response:	You're blowing yourself up?!
context: it's important to look at all kinds of things from all kinds of angles.\Why didn't you go after my badge?\My aim was a little off, that's all.\I see!\Then I'm going to make you regret it!\Come out...\Semiserrata!\You're blowing yourself up?! response:	I really wanted to keep this under wraps a little longer, but...
context: Why didn't you go after my badge?\My aim was a little off, that's all.\I see!\Then I'm going to make you regret it!\Come out...\Semiserrata!\You're blowing yourself up?!\I really wanted to keep this under wraps a little longer, but... response:	So you can resist your own powers.
context: My aim was a little off, that's all.\I see!\Then I'm going to make you regret it!\Come out...\Semiserrata!\You're blowing yourself up?!\I really wanted to keep this under wraps a little longer, but...\So you can resist your own powers. response:	Really, now, I'm astonished!
context: I see!\Then I'm going to make you regret it!\Come out...\Semiserrata!\You're blowing yourself up?!\I really wanted to keep this under wraps a little longer, but...\So you can resist your own powers.\Really, now, I'm astonished! response:	The rumors don't do you justice, Gluhen Rose.
context: Then I'm going to make you regret it!\Come out...\Semiserrata!\You're blowing yourself up?!\I really wanted to keep this under wraps a little longer, but...\So you can resist your own powers.\Really, now, I'm astonished!\The rumors don't do you justice, Gluhen Rose. response:	You were too careless just now, Shenhua.
context: Come out...\Semiserrata!\You're blowing yourself up?!\I really wanted to keep this under wraps a little longer, but...\So you can resist your own powers.\Really, now, I'm astonished!\The rumors don't do you justice, Gluhen Rose.\You were too careless just now, Shenhua. response:	I'm sorry, Shenyun.
context: Semiserrata!\You're blowing yourself up?!\I really wanted to keep this under wraps a little longer, but...\So you can resist your own powers.\Really, now, I'm astonished!\The rumors don't do you justice, Gluhen Rose.\You were too careless just now, Shenhua.\I'm sorry, Shenyun. response:	What do you say we wrap this up now?
context: You're blowing yourself up?!\I really wanted to keep this under wraps a little longer, but...\So you can resist your own powers.\Really, now, I'm astonished!\The rumors don't do you justice, Gluhen Rose.\You were too careless just now, Shenhua.\I'm sorry, Shenyun.\What do you say we wrap this up now? response:	I do need to thank you for making me break out in a cold sweat.
context: I really wanted to keep this under wraps a little longer, but...\So you can resist your own powers.\Really, now, I'm astonished!\The rumors don't do you justice, Gluhen Rose.\You were too careless just now, Shenhua.\I'm sorry, Shenyun.\What do you say we wrap this up now?\I do need to thank you for making me break out in a cold sweat. response:	What's wrong, Gluhen Rose?!
context: So you can resist your own powers.\Really, now, I'm astonished!\The rumors don't do you justice, Gluhen Rose.\You were too careless just now, Shenhua.\I'm sorry, Shenyun.\What do you say we wrap this up now?\I do need to thank you for making me break out in a cold sweat.\What's wrong, Gluhen Rose?! response:	Aren't you going to fight back?!
context: Really, now, I'm astonished!\The rumors don't do you justice, Gluhen Rose.\You were too careless just now, Shenhua.\I'm sorry, Shenyun.\What do you say we wrap this up now?\I do need to thank you for making me break out in a cold sweat.\What's wrong, Gluhen Rose?!\Aren't you going to fight back?! response:	What a one-sided attack!
context: The rumors don't do you justice, Gluhen Rose.\You were too careless just now, Shenhua.\I'm sorry, Shenyun.\What do you say we wrap this up now?\I do need to thank you for making me break out in a cold sweat.\What's wrong, Gluhen Rose?!\Aren't you going to fight back?!\What a one-sided attack! response:	B-But...
context: You were too careless just now, Shenhua.\I'm sorry, Shenyun.\What do you say we wrap this up now?\I do need to thank you for making me break out in a cold sweat.\What's wrong, Gluhen Rose?!\Aren't you going to fight back?!\What a one-sided attack!\B-But... response:	since she's unable to move, shouldn't she just target her badge?
context: I'm sorry, Shenyun.\What do you say we wrap this up now?\I do need to thank you for making me break out in a cold sweat.\What's wrong, Gluhen Rose?!\Aren't you going to fight back?!\What a one-sided attack!\B-But...\since she's unable to move, shouldn't she just target her badge? response:	This is way too...
context: What do you say we wrap this up now?\I do need to thank you for making me break out in a cold sweat.\What's wrong, Gluhen Rose?!\Aren't you going to fight back?!\What a one-sided attack!\B-But...\since she's unable to move, shouldn't she just target her badge?\This is way too... response:	Looks like she's trying to win by rendering her unconscious.
context: I do need to thank you for making me break out in a cold sweat.\What's wrong, Gluhen Rose?!\Aren't you going to fight back?!\What a one-sided attack!\B-But...\since she's unable to move, shouldn't she just target her badge?\This is way too...\Looks like she's trying to win by rendering her unconscious. response:	But I can see that Shenyun is holding back somewhat in her attack.
context: What's wrong, Gluhen Rose?!\Aren't you going to fight back?!\What a one-sided attack!\B-But...\since she's unable to move, shouldn't she just target her badge?\This is way too...\Looks like she's trying to win by rendering her unconscious.\But I can see that Shenyun is holding back somewhat in her attack. response:	Apparently, she doesn't intend to let her black out so easily.
context: Aren't you going to fight back?!\What a one-sided attack!\B-But...\since she's unable to move, shouldn't she just target her badge?\This is way too...\Looks like she's trying to win by rendering her unconscious.\But I can see that Shenyun is holding back somewhat in her attack.\Apparently, she doesn't intend to let her black out so easily. response:	You love to feel pain, don't you?!
context: What a one-sided attack!\B-But...\since she's unable to move, shouldn't she just target her badge?\This is way too...\Looks like she's trying to win by rendering her unconscious.\But I can see that Shenyun is holding back somewhat in her attack.\Apparently, she doesn't intend to let her black out so easily.\You love to feel pain, don't you?! response:	Ayato!
context: B-But...\since she's unable to move, shouldn't she just target her badge?\This is way too...\Looks like she's trying to win by rendering her unconscious.\But I can see that Shenyun is holding back somewhat in her attack.\Apparently, she doesn't intend to let her black out so easily.\You love to feel pain, don't you?!\Ayato! response:	When you're in trouble, you should lean on someone else.
context: since she's unable to move, shouldn't she just target her badge?\This is way too...\Looks like she's trying to win by rendering her unconscious.\But I can see that Shenyun is holding back somewhat in her attack.\Apparently, she doesn't intend to let her black out so easily.\You love to feel pain, don't you?!\Ayato!\When you're in trouble, you should lean on someone else. response:	Aside from me, I'm sure there are other people who'd help you out.
context: This is way too...\Looks like she's trying to win by rendering her unconscious.\But I can see that Shenyun is holding back somewhat in her attack.\Apparently, she doesn't intend to let her black out so easily.\You love to feel pain, don't you?!\Ayato!\When you're in trouble, you should lean on someone else.\Aside from me, I'm sure there are other people who'd help you out. response:	Well, then,
context: Looks like she's trying to win by rendering her unconscious.\But I can see that Shenyun is holding back somewhat in her attack.\Apparently, she doesn't intend to let her black out so easily.\You love to feel pain, don't you?!\Ayato!\When you're in trouble, you should lean on someone else.\Aside from me, I'm sure there are other people who'd help you out.\Well, then, response:	who's going to protect you?
context: But I can see that Shenyun is holding back somewhat in her attack.\Apparently, she doesn't intend to let her black out so easily.\You love to feel pain, don't you?!\Ayato!\When you're in trouble, you should lean on someone else.\Aside from me, I'm sure there are other people who'd help you out.\Well, then,\who's going to protect you? response:	Look at you now!
context: Apparently, she doesn't intend to let her black out so easily.\You love to feel pain, don't you?!\Ayato!\When you're in trouble, you should lean on someone else.\Aside from me, I'm sure there are other people who'd help you out.\Well, then,\who's going to protect you?\Look at you now! response:	Why don't we end this now,
context: You love to feel pain, don't you?!\Ayato!\When you're in trouble, you should lean on someone else.\Aside from me, I'm sure there are other people who'd help you out.\Well, then,\who's going to protect you?\Look at you now!\Why don't we end this now, response:	Gluhen Rose?!
context: Ayato!\When you're in trouble, you should lean on someone else.\Aside from me, I'm sure there are other people who'd help you out.\Well, then,\who's going to protect you?\Look at you now!\Why don't we end this now,\Gluhen Rose?! response:	What's going on?
context: When you're in trouble, you should lean on someone else.\Aside from me, I'm sure there are other people who'd help you out.\Well, then,\who's going to protect you?\Look at you now!\Why don't we end this now,\Gluhen Rose?!\What's going on? response:	Sorry to keep you waiting, Julis.
context: Aside from me, I'm sure there are other people who'd help you out.\Well, then,\who's going to protect you?\Look at you now!\Why don't we end this now,\Gluhen Rose?!\What's going on?\Sorry to keep you waiting, Julis. response:	You're late, Ayato!
context: Well, then,\who's going to protect you?\Look at you now!\Why don't we end this now,\Gluhen Rose?!\What's going on?\Sorry to keep you waiting, Julis.\You're late, Ayato! response:	Were you able to break the seal completely?
context: who's going to protect you?\Look at you now!\Why don't we end this now,\Gluhen Rose?!\What's going on?\Sorry to keep you waiting, Julis.\You're late, Ayato!\Were you able to break the seal completely? response:	No. I just managed to get to the second level, I think.
context: Look at you now!\Why don't we end this now,\Gluhen Rose?!\What's going on?\Sorry to keep you waiting, Julis.\You're late, Ayato!\Were you able to break the seal completely?\No. I just managed to get to the second level, I think. response:	And it's not like it gave me a power-up or anything.
context: Why don't we end this now,\Gluhen Rose?!\What's going on?\Sorry to keep you waiting, Julis.\You're late, Ayato!\Were you able to break the seal completely?\No. I just managed to get to the second level, I think.\And it's not like it gave me a power-up or anything. response:	But this amount of Prana...
context: Gluhen Rose?!\What's going on?\Sorry to keep you waiting, Julis.\You're late, Ayato!\Were you able to break the seal completely?\No. I just managed to get to the second level, I think.\And it's not like it gave me a power-up or anything.\But this amount of Prana... response:	It's just that I can store all my leaked Prana internally now.
context: What's going on?\Sorry to keep you waiting, Julis.\You're late, Ayato!\Were you able to break the seal completely?\No. I just managed to get to the second level, I think.\And it's not like it gave me a power-up or anything.\But this amount of Prana...\It's just that I can store all my leaked Prana internally now. response:	But I think it's extended my limit by that much.
context: Sorry to keep you waiting, Julis.\You're late, Ayato!\Were you able to break the seal completely?\No. I just managed to get to the second level, I think.\And it's not like it gave me a power-up or anything.\But this amount of Prana...\It's just that I can store all my leaked Prana internally now.\But I think it's extended my limit by that much. response:	How long do you think you'll last?
context: You're late, Ayato!\Were you able to break the seal completely?\No. I just managed to get to the second level, I think.\And it's not like it gave me a power-up or anything.\But this amount of Prana...\It's just that I can store all my leaked Prana internally now.\But I think it's extended my limit by that much.\How long do you think you'll last? response:	Let's see...
context: Were you able to break the seal completely?\No. I just managed to get to the second level, I think.\And it's not like it gave me a power-up or anything.\But this amount of Prana...\It's just that I can store all my leaked Prana internally now.\But I think it's extended my limit by that much.\How long do you think you'll last?\Let's see... response:	Probably over an hour.
context: No. I just managed to get to the second level, I think.\And it's not like it gave me a power-up or anything.\But this amount of Prana...\It's just that I can store all my leaked Prana internally now.\But I think it's extended my limit by that much.\How long do you think you'll last?\Let's see...\Probably over an hour. response:	I see. In that case, can I leave the rest to you?
context: And it's not like it gave me a power-up or anything.\But this amount of Prana...\It's just that I can store all my leaked Prana internally now.\But I think it's extended my limit by that much.\How long do you think you'll last?\Let's see...\Probably over an hour.\I see. In that case, can I leave the rest to you? response:	To be honest, I've reached my own limit.
context: But this amount of Prana...\It's just that I can store all my leaked Prana internally now.\But I think it's extended my limit by that much.\How long do you think you'll last?\Let's see...\Probably over an hour.\I see. In that case, can I leave the rest to you?\To be honest, I've reached my own limit. response:	Sure.
context: It's just that I can store all my leaked Prana internally now.\But I think it's extended my limit by that much.\How long do you think you'll last?\Let's see...\Probably over an hour.\I see. In that case, can I leave the rest to you?\To be honest, I've reached my own limit.\Sure. response:	You two are one surprise after another, aren't you?
context: But I think it's extended my limit by that much.\How long do you think you'll last?\Let's see...\Probably over an hour.\I see. In that case, can I leave the rest to you?\To be honest, I've reached my own limit.\Sure.\You two are one surprise after another, aren't you? response:	Now, then...
context: How long do you think you'll last?\Let's see...\Probably over an hour.\I see. In that case, can I leave the rest to you?\To be honest, I've reached my own limit.\Sure.\You two are one surprise after another, aren't you?\Now, then... response:	All right.
context: Let's see...\Probably over an hour.\I see. In that case, can I leave the rest to you?\To be honest, I've reached my own limit.\Sure.\You two are one surprise after another, aren't you?\Now, then...\All right. response:	Impossible... you can see them, then?
context: Probably over an hour.\I see. In that case, can I leave the rest to you?\To be honest, I've reached my own limit.\Sure.\You two are one surprise after another, aren't you?\Now, then...\All right.\Impossible... you can see them, then? response:	In that case...
context: I see. In that case, can I leave the rest to you?\To be honest, I've reached my own limit.\Sure.\You two are one surprise after another, aren't you?\Now, then...\All right.\Impossible... you can see them, then?\In that case... response:	What do say to this?!
context: To be honest, I've reached my own limit.\Sure.\You two are one surprise after another, aren't you?\Now, then...\All right.\Impossible... you can see them, then?\In that case...\What do say to this?! response:	What the...
context: Sure.\You two are one surprise after another, aren't you?\Now, then...\All right.\Impossible... you can see them, then?\In that case...\What do say to this?!\What the... response:	Amagiri Shinmei Style Hidden Technique...
context: You two are one surprise after another, aren't you?\Now, then...\All right.\Impossible... you can see them, then?\In that case...\What do say to this?!\What the...\Amagiri Shinmei Style Hidden Technique... response:	Banish Evil Spirits...
context: Now, then...\All right.\Impossible... you can see them, then?\In that case...\What do say to this?!\What the...\Amagiri Shinmei Style Hidden Technique...\Banish Evil Spirits... response:	No way...
context: All right.\Impossible... you can see them, then?\In that case...\What do say to this?!\What the...\Amagiri Shinmei Style Hidden Technique...\Banish Evil Spirits...\No way... response:	Now that it's come to this...
context: Impossible... you can see them, then?\In that case...\What do say to this?!\What the...\Amagiri Shinmei Style Hidden Technique...\Banish Evil Spirits...\No way...\Now that it's come to this... response:	That's an explosive sphere woven from all the talismans I had!
context: In that case...\What do say to this?!\What the...\Amagiri Shinmei Style Hidden Technique...\Banish Evil Spirits...\No way...\Now that it's come to this...\That's an explosive sphere woven from all the talismans I had! response:	Hope you enjoy it!
context: What do say to this?!\What the...\Amagiri Shinmei Style Hidden Technique...\Banish Evil Spirits...\No way...\Now that it's come to this...\That's an explosive sphere woven from all the talismans I had!\Hope you enjoy it! response:	Needless to say, this is an illusion.
context: What the...\Amagiri Shinmei Style Hidden Technique...\Banish Evil Spirits...\No way...\Now that it's come to this...\That's an explosive sphere woven from all the talismans I had!\Hope you enjoy it!\Needless to say, this is an illusion. response:	Only one is genuine.
context: Amagiri Shinmei Style Hidden Technique...\Banish Evil Spirits...\No way...\Now that it's come to this...\That's an explosive sphere woven from all the talismans I had!\Hope you enjoy it!\Needless to say, this is an illusion.\Only one is genuine. response:	Well, I'm sure you can see right through them now...
context: Banish Evil Spirits...\No way...\Now that it's come to this...\That's an explosive sphere woven from all the talismans I had!\Hope you enjoy it!\Needless to say, this is an illusion.\Only one is genuine.\Well, I'm sure you can see right through them now... response:	But what about this one?
context: No way...\Now that it's come to this...\That's an explosive sphere woven from all the talismans I had!\Hope you enjoy it!\Needless to say, this is an illusion.\Only one is genuine.\Well, I'm sure you can see right through them now...\But what about this one? response:	Ayato! Don't worry about me! Just focus on getting her!
context: Now that it's come to this...\That's an explosive sphere woven from all the talismans I had!\Hope you enjoy it!\Needless to say, this is an illusion.\Only one is genuine.\Well, I'm sure you can see right through them now...\But what about this one?\Ayato! Don't worry about me! Just focus on getting her! response:	Would you mind keeping quiet for a minute, Gluhen Rose?!
context: That's an explosive sphere woven from all the talismans I had!\Hope you enjoy it!\Needless to say, this is an illusion.\Only one is genuine.\Well, I'm sure you can see right through them now...\But what about this one?\Ayato! Don't worry about me! Just focus on getting her!\Would you mind keeping quiet for a minute, Gluhen Rose?! response:	Ayato!
context: Hope you enjoy it!\Needless to say, this is an illusion.\Only one is genuine.\Well, I'm sure you can see right through them now...\But what about this one?\Ayato! Don't worry about me! Just focus on getting her!\Would you mind keeping quiet for a minute, Gluhen Rose?!\Ayato! response:	True to form to the bitter end, huh, Shenyun Li?
context: Needless to say, this is an illusion.\Only one is genuine.\Well, I'm sure you can see right through them now...\But what about this one?\Ayato! Don't worry about me! Just focus on getting her!\Would you mind keeping quiet for a minute, Gluhen Rose?!\Ayato!\True to form to the bitter end, huh, Shenyun Li? response:	That's right!
context: Only one is genuine.\Well, I'm sure you can see right through them now...\But what about this one?\Ayato! Don't worry about me! Just focus on getting her!\Would you mind keeping quiet for a minute, Gluhen Rose?!\Ayato!\True to form to the bitter end, huh, Shenyun Li?\That's right! response:	That's what I like to see, Murakumo!
context: Well, I'm sure you can see right through them now...\But what about this one?\Ayato! Don't worry about me! Just focus on getting her!\Would you mind keeping quiet for a minute, Gluhen Rose?!\Ayato!\True to form to the bitter end, huh, Shenyun Li?\That's right!\That's what I like to see, Murakumo! response:	Both of you can just get blasted to hell!
context: But what about this one?\Ayato! Don't worry about me! Just focus on getting her!\Would you mind keeping quiet for a minute, Gluhen Rose?!\Ayato!\True to form to the bitter end, huh, Shenyun Li?\That's right!\That's what I like to see, Murakumo!\Both of you can just get blasted to hell! response:	There's no need to dodge.
context: Ayato! Don't worry about me! Just focus on getting her!\Would you mind keeping quiet for a minute, Gluhen Rose?!\Ayato!\True to form to the bitter end, huh, Shenyun Li?\That's right!\That's what I like to see, Murakumo!\Both of you can just get blasted to hell!\There's no need to dodge. response:	What the...
context: Would you mind keeping quiet for a minute, Gluhen Rose?!\Ayato!\True to form to the bitter end, huh, Shenyun Li?\That's right!\That's what I like to see, Murakumo!\Both of you can just get blasted to hell!\There's no need to dodge.\What the... response:	I-Impossible...
context: Ayato!\True to form to the bitter end, huh, Shenyun Li?\That's right!\That's what I like to see, Murakumo!\Both of you can just get blasted to hell!\There's no need to dodge.\What the...\I-Impossible... response:	I have to say, you did piss me off a little.
context: True to form to the bitter end, huh, Shenyun Li?\That's right!\That's what I like to see, Murakumo!\Both of you can just get blasted to hell!\There's no need to dodge.\What the...\I-Impossible...\I have to say, you did piss me off a little. response:	So at least let me do that.
context: That's right!\That's what I like to see, Murakumo!\Both of you can just get blasted to hell!\There's no need to dodge.\What the...\I-Impossible...\I have to say, you did piss me off a little.\So at least let me do that. response:	Shenyun Li has lost consciousness!
context: That's what I like to see, Murakumo!\Both of you can just get blasted to hell!\There's no need to dodge.\What the...\I-Impossible...\I have to say, you did piss me off a little.\So at least let me do that.\Shenyun Li has lost consciousness! response:	Therefore, Ayato Amagiri and Julis-Alexia von Riessfeld are your winners!
