context: Your newbie hasn't quit yet? response:	Nope, he's hanging in there.
context: But my request to investigate the scene keeps getting rejected.\And if you get us involved, that problem will go away?\Yeah, that's about right.\June 13th Nocturnal Community Relations Section\You want us to investigate the north and south elevators at City Hall?\We got official permission.\Finally, huh?\What's going on? response:	It's an urban legend that's been going around!
context: And if you get us involved, that problem will go away?\Yeah, that's about right.\June 13th Nocturnal Community Relations Section\You want us to investigate the north and south elevators at City Hall?\We got official permission.\Finally, huh?\What's going on?\It's an urban legend that's been going around! response:	The Parallel World Elevator.
context: Yeah, that's about right.\June 13th Nocturnal Community Relations Section\You want us to investigate the north and south elevators at City Hall?\We got official permission.\Finally, huh?\What's going on?\It's an urban legend that's been going around!\The Parallel World Elevator. response:	You've at least heard of it, right?
context: June 13th Nocturnal Community Relations Section\You want us to investigate the north and south elevators at City Hall?\We got official permission.\Finally, huh?\What's going on?\It's an urban legend that's been going around!\The Parallel World Elevator.\You've at least heard of it, right? response:	Um... No.
context: You want us to investigate the north and south elevators at City Hall?\We got official permission.\Finally, huh?\What's going on?\It's an urban legend that's been going around!\The Parallel World Elevator.\You've at least heard of it, right?\Um... No. response:	Listen, when you're in this line of work,
context: We got official permission.\Finally, huh?\What's going on?\It's an urban legend that's been going around!\The Parallel World Elevator.\You've at least heard of it, right?\Um... No.\Listen, when you're in this line of work, response:	you've gotta keep an ear to the ground!
context: Finally, huh?\What's going on?\It's an urban legend that's been going around!\The Parallel World Elevator.\You've at least heard of it, right?\Um... No.\Listen, when you're in this line of work,\you've gotta keep an ear to the ground! response:	Search for it online. You'll find it right away.
context: What's going on?\It's an urban legend that's been going around!\The Parallel World Elevator.\You've at least heard of it, right?\Um... No.\Listen, when you're in this line of work,\you've gotta keep an ear to the ground!\Search for it online. You'll find it right away. response:	Sorry...
context: It's an urban legend that's been going around!\The Parallel World Elevator.\You've at least heard of it, right?\Um... No.\Listen, when you're in this line of work,\you've gotta keep an ear to the ground!\Search for it online. You'll find it right away.\Sorry... response:	Someone posted to our occult message board
context: The Parallel World Elevator.\You've at least heard of it, right?\Um... No.\Listen, when you're in this line of work,\you've gotta keep an ear to the ground!\Search for it online. You'll find it right away.\Sorry...\Someone posted to our occult message board response:	saying that somebody went up to the City Hall observation deck,
context: You've at least heard of it, right?\Um... No.\Listen, when you're in this line of work,\you've gotta keep an ear to the ground!\Search for it online. You'll find it right away.\Sorry...\Someone posted to our occult message board\saying that somebody went up to the City Hall observation deck, response:	and ended up in another world.
context: Um... No.\Listen, when you're in this line of work,\you've gotta keep an ear to the ground!\Search for it online. You'll find it right away.\Sorry...\Someone posted to our occult message board\saying that somebody went up to the City Hall observation deck,\and ended up in another world. response:	Our?
context: Listen, when you're in this line of work,\you've gotta keep an ear to the ground!\Search for it online. You'll find it right away.\Sorry...\Someone posted to our occult message board\saying that somebody went up to the City Hall observation deck,\and ended up in another world.\Our? response:	Yeah. I made it.
context: you've gotta keep an ear to the ground!\Search for it online. You'll find it right away.\Sorry...\Someone posted to our occult message board\saying that somebody went up to the City Hall observation deck,\and ended up in another world.\Our?\Yeah. I made it. response:	I went up the observation deck in City Hall and ended up in another world Anonymous, Lost in a Parallel Dimension Oh shit. No idea where I am. Anonymous, Lost in a Parallel Dimension I went up to the observation deck and everybody disappeared. It's just me. Anonymous, Lost in a Parallel Dimension >0002 Which observation deck? Anonymous, Lost in a Parallel Dimension >0003 City Hall. Tokyo. Anonymous, Lost in a Parallel Dimension
context: Search for it online. You'll find it right away.\Sorry...\Someone posted to our occult message board\saying that somebody went up to the City Hall observation deck,\and ended up in another world.\Our?\Yeah. I made it.\I went up the observation deck in City Hall and ended up in another world Anonymous, Lost in a Parallel Dimension Oh shit. No idea where I am. Anonymous, Lost in a Parallel Dimension I went up to the observation deck and everybody disappeared. It's just me. Anonymous, Lost in a Parallel Dimension >0002 Which observation deck? Anonymous, Lost in a Parallel Dimension >0003 City Hall. Tokyo. Anonymous, Lost in a Parallel Dimension response:	The poster kept a running account of what was going on,
context: Sorry...\Someone posted to our occult message board\saying that somebody went up to the City Hall observation deck,\and ended up in another world.\Our?\Yeah. I made it.\I went up the observation deck in City Hall and ended up in another world Anonymous, Lost in a Parallel Dimension Oh shit. No idea where I am. Anonymous, Lost in a Parallel Dimension I went up to the observation deck and everybody disappeared. It's just me. Anonymous, Lost in a Parallel Dimension >0002 Which observation deck? Anonymous, Lost in a Parallel Dimension >0003 City Hall. Tokyo. Anonymous, Lost in a Parallel Dimension\The poster kept a running account of what was going on, response:	before they simply stopped posting.
context: Someone posted to our occult message board\saying that somebody went up to the City Hall observation deck,\and ended up in another world.\Our?\Yeah. I made it.\I went up the observation deck in City Hall and ended up in another world Anonymous, Lost in a Parallel Dimension Oh shit. No idea where I am. Anonymous, Lost in a Parallel Dimension I went up to the observation deck and everybody disappeared. It's just me. Anonymous, Lost in a Parallel Dimension >0002 Which observation deck? Anonymous, Lost in a Parallel Dimension >0003 City Hall. Tokyo. Anonymous, Lost in a Parallel Dimension\The poster kept a running account of what was going on,\before they simply stopped posting. response:	The rumors say he probably went missing.
context: saying that somebody went up to the City Hall observation deck,\and ended up in another world.\Our?\Yeah. I made it.\I went up the observation deck in City Hall and ended up in another world Anonymous, Lost in a Parallel Dimension Oh shit. No idea where I am. Anonymous, Lost in a Parallel Dimension I went up to the observation deck and everybody disappeared. It's just me. Anonymous, Lost in a Parallel Dimension >0002 Which observation deck? Anonymous, Lost in a Parallel Dimension >0003 City Hall. Tokyo. Anonymous, Lost in a Parallel Dimension\The poster kept a running account of what was going on,\before they simply stopped posting.\The rumors say he probably went missing. response:	Ever since then, small numbers of other people have appeared,
context: and ended up in another world.\Our?\Yeah. I made it.\I went up the observation deck in City Hall and ended up in another world Anonymous, Lost in a Parallel Dimension Oh shit. No idea where I am. Anonymous, Lost in a Parallel Dimension I went up to the observation deck and everybody disappeared. It's just me. Anonymous, Lost in a Parallel Dimension >0002 Which observation deck? Anonymous, Lost in a Parallel Dimension >0003 City Hall. Tokyo. Anonymous, Lost in a Parallel Dimension\The poster kept a running account of what was going on,\before they simply stopped posting.\The rumors say he probably went missing.\Ever since then, small numbers of other people have appeared, response:	saying the same thing happened to them.
context: Our?\Yeah. I made it.\I went up the observation deck in City Hall and ended up in another world Anonymous, Lost in a Parallel Dimension Oh shit. No idea where I am. Anonymous, Lost in a Parallel Dimension I went up to the observation deck and everybody disappeared. It's just me. Anonymous, Lost in a Parallel Dimension >0002 Which observation deck? Anonymous, Lost in a Parallel Dimension >0003 City Hall. Tokyo. Anonymous, Lost in a Parallel Dimension\The poster kept a running account of what was going on,\before they simply stopped posting.\The rumors say he probably went missing.\Ever since then, small numbers of other people have appeared,\saying the same thing happened to them. response:	Some were clearly trolling, but for the others, it's not so clear...
context: Yeah. I made it.\I went up the observation deck in City Hall and ended up in another world Anonymous, Lost in a Parallel Dimension Oh shit. No idea where I am. Anonymous, Lost in a Parallel Dimension I went up to the observation deck and everybody disappeared. It's just me. Anonymous, Lost in a Parallel Dimension >0002 Which observation deck? Anonymous, Lost in a Parallel Dimension >0003 City Hall. Tokyo. Anonymous, Lost in a Parallel Dimension\The poster kept a running account of what was going on,\before they simply stopped posting.\The rumors say he probably went missing.\Ever since then, small numbers of other people have appeared,\saying the same thing happened to them.\Some were clearly trolling, but for the others, it's not so clear... response:	The number of rumors is increasing.
context: I went up the observation deck in City Hall and ended up in another world Anonymous, Lost in a Parallel Dimension Oh shit. No idea where I am. Anonymous, Lost in a Parallel Dimension I went up to the observation deck and everybody disappeared. It's just me. Anonymous, Lost in a Parallel Dimension >0002 Which observation deck? Anonymous, Lost in a Parallel Dimension >0003 City Hall. Tokyo. Anonymous, Lost in a Parallel Dimension\The poster kept a running account of what was going on,\before they simply stopped posting.\The rumors say he probably went missing.\Ever since then, small numbers of other people have appeared,\saying the same thing happened to them.\Some were clearly trolling, but for the others, it's not so clear...\The number of rumors is increasing. response:	The police are looking for the missing people.
context: The poster kept a running account of what was going on,\before they simply stopped posting.\The rumors say he probably went missing.\Ever since then, small numbers of other people have appeared,\saying the same thing happened to them.\Some were clearly trolling, but for the others, it's not so clear...\The number of rumors is increasing.\The police are looking for the missing people. response:	But why are we sticking our noses in it, then?
context: before they simply stopped posting.\The rumors say he probably went missing.\Ever since then, small numbers of other people have appeared,\saying the same thing happened to them.\Some were clearly trolling, but for the others, it's not so clear...\The number of rumors is increasing.\The police are looking for the missing people.\But why are we sticking our noses in it, then? response:	Well, there's been something else happening...
context: The rumors say he probably went missing.\Ever since then, small numbers of other people have appeared,\saying the same thing happened to them.\Some were clearly trolling, but for the others, it's not so clear...\The number of rumors is increasing.\The police are looking for the missing people.\But why are we sticking our noses in it, then?\Well, there's been something else happening... response:	She disappeared!
context: Ever since then, small numbers of other people have appeared,\saying the same thing happened to them.\Some were clearly trolling, but for the others, it's not so clear...\The number of rumors is increasing.\The police are looking for the missing people.\But why are we sticking our noses in it, then?\Well, there's been something else happening...\She disappeared! response:	At first I thought she was a victim of the Parallel World Elevator, too...
context: saying the same thing happened to them.\Some were clearly trolling, but for the others, it's not so clear...\The number of rumors is increasing.\The police are looking for the missing people.\But why are we sticking our noses in it, then?\Well, there's been something else happening...\She disappeared!\At first I thought she was a victim of the Parallel World Elevator, too... response:	She's back?
context: Some were clearly trolling, but for the others, it's not so clear...\The number of rumors is increasing.\The police are looking for the missing people.\But why are we sticking our noses in it, then?\Well, there's been something else happening...\She disappeared!\At first I thought she was a victim of the Parallel World Elevator, too...\She's back? response:	With no visible injuries.
context: The number of rumors is increasing.\The police are looking for the missing people.\But why are we sticking our noses in it, then?\Well, there's been something else happening...\She disappeared!\At first I thought she was a victim of the Parallel World Elevator, too...\She's back?\With no visible injuries. response:	She simply lost her memories of her time in the observatory.
context: The police are looking for the missing people.\But why are we sticking our noses in it, then?\Well, there's been something else happening...\She disappeared!\At first I thought she was a victim of the Parallel World Elevator, too...\She's back?\With no visible injuries.\She simply lost her memories of her time in the observatory. response:	And there's several other similar reports.
context: But why are we sticking our noses in it, then?\Well, there's been something else happening...\She disappeared!\At first I thought she was a victim of the Parallel World Elevator, too...\She's back?\With no visible injuries.\She simply lost her memories of her time in the observatory.\And there's several other similar reports. response:	Missing persons and missing memories, huh?
context: Well, there's been something else happening...\She disappeared!\At first I thought she was a victim of the Parallel World Elevator, too...\She's back?\With no visible injuries.\She simply lost her memories of her time in the observatory.\And there's several other similar reports.\Missing persons and missing memories, huh? response:	Which means there're two Anothers at City Hall?
context: She disappeared!\At first I thought she was a victim of the Parallel World Elevator, too...\She's back?\With no visible injuries.\She simply lost her memories of her time in the observatory.\And there's several other similar reports.\Missing persons and missing memories, huh?\Which means there're two Anothers at City Hall? response:	Maybe.
context: At first I thought she was a victim of the Parallel World Elevator, too...\She's back?\With no visible injuries.\She simply lost her memories of her time in the observatory.\And there's several other similar reports.\Missing persons and missing memories, huh?\Which means there're two Anothers at City Hall?\Maybe. response:	I don't want to think about it, but...
context: She's back?\With no visible injuries.\She simply lost her memories of her time in the observatory.\And there's several other similar reports.\Missing persons and missing memories, huh?\Which means there're two Anothers at City Hall?\Maybe.\I don't want to think about it, but... response:	Sakaki-kun's just gone to meet with the girl and hear her story.
context: With no visible injuries.\She simply lost her memories of her time in the observatory.\And there's several other similar reports.\Missing persons and missing memories, huh?\Which means there're two Anothers at City Hall?\Maybe.\I don't want to think about it, but...\Sakaki-kun's just gone to meet with the girl and hear her story. response:	June 13th
context: She simply lost her memories of her time in the observatory.\And there's several other similar reports.\Missing persons and missing memories, huh?\Which means there're two Anothers at City Hall?\Maybe.\I don't want to think about it, but...\Sakaki-kun's just gone to meet with the girl and hear her story.\June 13th response:	It seems they're acquainted.
context: And there's several other similar reports.\Missing persons and missing memories, huh?\Which means there're two Anothers at City Hall?\Maybe.\I don't want to think about it, but...\Sakaki-kun's just gone to meet with the girl and hear her story.\June 13th\It seems they're acquainted. response:	So, I remember getting to the south observation deck,
context: Missing persons and missing memories, huh?\Which means there're two Anothers at City Hall?\Maybe.\I don't want to think about it, but...\Sakaki-kun's just gone to meet with the girl and hear her story.\June 13th\It seems they're acquainted.\So, I remember getting to the south observation deck, response:	but the next thing I knew, I was at the north deck for some reason!
context: Which means there're two Anothers at City Hall?\Maybe.\I don't want to think about it, but...\Sakaki-kun's just gone to meet with the girl and hear her story.\June 13th\It seems they're acquainted.\So, I remember getting to the south observation deck,\but the next thing I knew, I was at the north deck for some reason! response:	I was so shocked!
context: Maybe.\I don't want to think about it, but...\Sakaki-kun's just gone to meet with the girl and hear her story.\June 13th\It seems they're acquainted.\So, I remember getting to the south observation deck,\but the next thing I knew, I was at the north deck for some reason!\I was so shocked! response:	Anything else unusual?
context: I don't want to think about it, but...\Sakaki-kun's just gone to meet with the girl and hear her story.\June 13th\It seems they're acquainted.\So, I remember getting to the south observation deck,\but the next thing I knew, I was at the north deck for some reason!\I was so shocked!\Anything else unusual? response:	You're kidding!
context: Sakaki-kun's just gone to meet with the girl and hear her story.\June 13th\It seems they're acquainted.\So, I remember getting to the south observation deck,\but the next thing I knew, I was at the north deck for some reason!\I was so shocked!\Anything else unusual?\You're kidding! response:	Kyo-chan, you're not scared of the occult at all, huh?
context: June 13th\It seems they're acquainted.\So, I remember getting to the south observation deck,\but the next thing I knew, I was at the north deck for some reason!\I was so shocked!\Anything else unusual?\You're kidding!\Kyo-chan, you're not scared of the occult at all, huh? response:	Has anyone you know experienced anything similar?
context: It seems they're acquainted.\So, I remember getting to the south observation deck,\but the next thing I knew, I was at the north deck for some reason!\I was so shocked!\Anything else unusual?\You're kidding!\Kyo-chan, you're not scared of the occult at all, huh?\Has anyone you know experienced anything similar? response:	A friend of mine once told me that she'd gotten into the north elevator
context: So, I remember getting to the south observation deck,\but the next thing I knew, I was at the north deck for some reason!\I was so shocked!\Anything else unusual?\You're kidding!\Kyo-chan, you're not scared of the occult at all, huh?\Has anyone you know experienced anything similar?\A friend of mine once told me that she'd gotten into the north elevator response:	and ended up in some weird place where she saw a woman.
context: but the next thing I knew, I was at the north deck for some reason!\I was so shocked!\Anything else unusual?\You're kidding!\Kyo-chan, you're not scared of the occult at all, huh?\Has anyone you know experienced anything similar?\A friend of mine once told me that she'd gotten into the north elevator\and ended up in some weird place where she saw a woman. response:	Like in that urban legend.
context: I was so shocked!\Anything else unusual?\You're kidding!\Kyo-chan, you're not scared of the occult at all, huh?\Has anyone you know experienced anything similar?\A friend of mine once told me that she'd gotten into the north elevator\and ended up in some weird place where she saw a woman.\Like in that urban legend. response:	And your friend remembered this?
context: Anything else unusual?\You're kidding!\Kyo-chan, you're not scared of the occult at all, huh?\Has anyone you know experienced anything similar?\A friend of mine once told me that she'd gotten into the north elevator\and ended up in some weird place where she saw a woman.\Like in that urban legend.\And your friend remembered this? response:	Besides the fact that you lost your memories, nothing else happened, right, Aoi?
context: You're kidding!\Kyo-chan, you're not scared of the occult at all, huh?\Has anyone you know experienced anything similar?\A friend of mine once told me that she'd gotten into the north elevator\and ended up in some weird place where she saw a woman.\Like in that urban legend.\And your friend remembered this?\Besides the fact that you lost your memories, nothing else happened, right, Aoi? response:	I can't think of anything.
context: Kyo-chan, you're not scared of the occult at all, huh?\Has anyone you know experienced anything similar?\A friend of mine once told me that she'd gotten into the north elevator\and ended up in some weird place where she saw a woman.\Like in that urban legend.\And your friend remembered this?\Besides the fact that you lost your memories, nothing else happened, right, Aoi?\I can't think of anything. response:	Listen, Aoi.
context: Has anyone you know experienced anything similar?\A friend of mine once told me that she'd gotten into the north elevator\and ended up in some weird place where she saw a woman.\Like in that urban legend.\And your friend remembered this?\Besides the fact that you lost your memories, nothing else happened, right, Aoi?\I can't think of anything.\Listen, Aoi. response:	What is it? You look so serious...
context: A friend of mine once told me that she'd gotten into the north elevator\and ended up in some weird place where she saw a woman.\Like in that urban legend.\And your friend remembered this?\Besides the fact that you lost your memories, nothing else happened, right, Aoi?\I can't think of anything.\Listen, Aoi.\What is it? You look so serious... response:	Did you make up with him?
context: and ended up in some weird place where she saw a woman.\Like in that urban legend.\And your friend remembered this?\Besides the fact that you lost your memories, nothing else happened, right, Aoi?\I can't think of anything.\Listen, Aoi.\What is it? You look so serious...\Did you make up with him? response:	Your boyfriend.
context: Like in that urban legend.\And your friend remembered this?\Besides the fact that you lost your memories, nothing else happened, right, Aoi?\I can't think of anything.\Listen, Aoi.\What is it? You look so serious...\Did you make up with him?\Your boyfriend. response:	No, I didn't.
context: And your friend remembered this?\Besides the fact that you lost your memories, nothing else happened, right, Aoi?\I can't think of anything.\Listen, Aoi.\What is it? You look so serious...\Did you make up with him?\Your boyfriend.\No, I didn't. response:	Oh, that's right.
context: Besides the fact that you lost your memories, nothing else happened, right, Aoi?\I can't think of anything.\Listen, Aoi.\What is it? You look so serious...\Did you make up with him?\Your boyfriend.\No, I didn't.\Oh, that's right. response:	There's a new girl at work who I think is a good match for you.
context: I can't think of anything.\Listen, Aoi.\What is it? You look so serious...\Did you make up with him?\Your boyfriend.\No, I didn't.\Oh, that's right.\There's a new girl at work who I think is a good match for you. response:	How about I throw a mixer?
context: Listen, Aoi.\What is it? You look so serious...\Did you make up with him?\Your boyfriend.\No, I didn't.\Oh, that's right.\There's a new girl at work who I think is a good match for you.\How about I throw a mixer? response:	June 13th
context: What is it? You look so serious...\Did you make up with him?\Your boyfriend.\No, I didn't.\Oh, that's right.\There's a new girl at work who I think is a good match for you.\How about I throw a mixer?\June 13th response:	So, learn anything from Aoi-chan?
context: Did you make up with him?\Your boyfriend.\No, I didn't.\Oh, that's right.\There's a new girl at work who I think is a good match for you.\How about I throw a mixer?\June 13th\So, learn anything from Aoi-chan? response:	Aoi-chan?
context: Your boyfriend.\No, I didn't.\Oh, that's right.\There's a new girl at work who I think is a good match for you.\How about I throw a mixer?\June 13th\So, learn anything from Aoi-chan?\Aoi-chan? response:	A customer from when I was a host.
context: No, I didn't.\Oh, that's right.\There's a new girl at work who I think is a good match for you.\How about I throw a mixer?\June 13th\So, learn anything from Aoi-chan?\Aoi-chan?\A customer from when I was a host. response:	I see.
context: Oh, that's right.\There's a new girl at work who I think is a good match for you.\How about I throw a mixer?\June 13th\So, learn anything from Aoi-chan?\Aoi-chan?\A customer from when I was a host.\I see. response:	I didn't get much in the way of clues.
context: There's a new girl at work who I think is a good match for you.\How about I throw a mixer?\June 13th\So, learn anything from Aoi-chan?\Aoi-chan?\A customer from when I was a host.\I see.\I didn't get much in the way of clues. response:	There's one thing that bothered me, though.
context: How about I throw a mixer?\June 13th\So, learn anything from Aoi-chan?\Aoi-chan?\A customer from when I was a host.\I see.\I didn't get much in the way of clues.\There's one thing that bothered me, though. response:	Let's break up...
context: June 13th\So, learn anything from Aoi-chan?\Aoi-chan?\A customer from when I was a host.\I see.\I didn't get much in the way of clues.\There's one thing that bothered me, though.\Let's break up... response:	She had a boyfriend she was thinking of marrying.
context: So, learn anything from Aoi-chan?\Aoi-chan?\A customer from when I was a host.\I see.\I didn't get much in the way of clues.\There's one thing that bothered me, though.\Let's break up...\She had a boyfriend she was thinking of marrying. response:	But just the other day, he broke up with her.
context: Aoi-chan?\A customer from when I was a host.\I see.\I didn't get much in the way of clues.\There's one thing that bothered me, though.\Let's break up...\She had a boyfriend she was thinking of marrying.\But just the other day, he broke up with her. response:	However, when I met her, she didn't seem at all bothered by it.
context: A customer from when I was a host.\I see.\I didn't get much in the way of clues.\There's one thing that bothered me, though.\Let's break up...\She had a boyfriend she was thinking of marrying.\But just the other day, he broke up with her.\However, when I met her, she didn't seem at all bothered by it. response:	You don't think she just got over it?
context: I see.\I didn't get much in the way of clues.\There's one thing that bothered me, though.\Let's break up...\She had a boyfriend she was thinking of marrying.\But just the other day, he broke up with her.\However, when I met her, she didn't seem at all bothered by it.\You don't think she just got over it? response:	No...
context: I didn't get much in the way of clues.\There's one thing that bothered me, though.\Let's break up...\She had a boyfriend she was thinking of marrying.\But just the other day, he broke up with her.\However, when I met her, she didn't seem at all bothered by it.\You don't think she just got over it?\No... response:	It was more like she'd forgotten it.
context: There's one thing that bothered me, though.\Let's break up...\She had a boyfriend she was thinking of marrying.\But just the other day, he broke up with her.\However, when I met her, she didn't seem at all bothered by it.\You don't think she just got over it?\No...\It was more like she'd forgotten it. response:	So she lost her memories of being engaged?
context: Let's break up...\She had a boyfriend she was thinking of marrying.\But just the other day, he broke up with her.\However, when I met her, she didn't seem at all bothered by it.\You don't think she just got over it?\No...\It was more like she'd forgotten it.\So she lost her memories of being engaged? response:	She remembered her boyfriend, and the breakup.
context: She had a boyfriend she was thinking of marrying.\But just the other day, he broke up with her.\However, when I met her, she didn't seem at all bothered by it.\You don't think she just got over it?\No...\It was more like she'd forgotten it.\So she lost her memories of being engaged?\She remembered her boyfriend, and the breakup. response:	But it was like she'd lost the memories of being depressed or the sadness she'd felt.
context: But just the other day, he broke up with her.\However, when I met her, she didn't seem at all bothered by it.\You don't think she just got over it?\No...\It was more like she'd forgotten it.\So she lost her memories of being engaged?\She remembered her boyfriend, and the breakup.\But it was like she'd lost the memories of being depressed or the sadness she'd felt. response:	That's how it felt to me.
context: However, when I met her, she didn't seem at all bothered by it.\You don't think she just got over it?\No...\It was more like she'd forgotten it.\So she lost her memories of being engaged?\She remembered her boyfriend, and the breakup.\But it was like she'd lost the memories of being depressed or the sadness she'd felt.\That's how it felt to me. response:	Either way, first, we need to examine the scene.
context: You don't think she just got over it?\No...\It was more like she'd forgotten it.\So she lost her memories of being engaged?\She remembered her boyfriend, and the breakup.\But it was like she'd lost the memories of being depressed or the sadness she'd felt.\That's how it felt to me.\Either way, first, we need to examine the scene. response:	June 13th Tokyo City Hall Building 1, First Floor
context: No...\It was more like she'd forgotten it.\So she lost her memories of being engaged?\She remembered her boyfriend, and the breakup.\But it was like she'd lost the memories of being depressed or the sadness she'd felt.\That's how it felt to me.\Either way, first, we need to examine the scene.\June 13th Tokyo City Hall Building 1, First Floor response:	Well, Theo?
context: It was more like she'd forgotten it.\So she lost her memories of being engaged?\She remembered her boyfriend, and the breakup.\But it was like she'd lost the memories of being depressed or the sadness she'd felt.\That's how it felt to me.\Either way, first, we need to examine the scene.\June 13th Tokyo City Hall Building 1, First Floor\Well, Theo? response:	No sign of any crests or spells...
context: So she lost her memories of being engaged?\She remembered her boyfriend, and the breakup.\But it was like she'd lost the memories of being depressed or the sadness she'd felt.\That's how it felt to me.\Either way, first, we need to examine the scene.\June 13th Tokyo City Hall Building 1, First Floor\Well, Theo?\No sign of any crests or spells... response:	So it's not likely artificial, then.
context: She remembered her boyfriend, and the breakup.\But it was like she'd lost the memories of being depressed or the sadness she'd felt.\That's how it felt to me.\Either way, first, we need to examine the scene.\June 13th Tokyo City Hall Building 1, First Floor\Well, Theo?\No sign of any crests or spells...\So it's not likely artificial, then. response:	Artificial?
context: But it was like she'd lost the memories of being depressed or the sadness she'd felt.\That's how it felt to me.\Either way, first, we need to examine the scene.\June 13th Tokyo City Hall Building 1, First Floor\Well, Theo?\No sign of any crests or spells...\So it's not likely artificial, then.\Artificial? response:	Like incorporating magic into the elevator itself into make into some kind of device.
context: That's how it felt to me.\Either way, first, we need to examine the scene.\June 13th Tokyo City Hall Building 1, First Floor\Well, Theo?\No sign of any crests or spells...\So it's not likely artificial, then.\Artificial?\Like incorporating magic into the elevator itself into make into some kind of device. response:	What does that mean?
context: Either way, first, we need to examine the scene.\June 13th Tokyo City Hall Building 1, First Floor\Well, Theo?\No sign of any crests or spells...\So it's not likely artificial, then.\Artificial?\Like incorporating magic into the elevator itself into make into some kind of device.\What does that mean? response:	For example, if a believer in a god, or what we call an Another,
context: June 13th Tokyo City Hall Building 1, First Floor\Well, Theo?\No sign of any crests or spells...\So it's not likely artificial, then.\Artificial?\Like incorporating magic into the elevator itself into make into some kind of device.\What does that mean?\For example, if a believer in a god, or what we call an Another, response:	created a magical gate to offer their deity sacrifices.
context: Well, Theo?\No sign of any crests or spells...\So it's not likely artificial, then.\Artificial?\Like incorporating magic into the elevator itself into make into some kind of device.\What does that mean?\For example, if a believer in a god, or what we call an Another,\created a magical gate to offer their deity sacrifices. response:	The victims would have no idea what happened
