context: Shiratorizawa response:	I haven't doubted once that we would win.
context: Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Episode 09: The Volleyball Idiots\Go! One more!\Ugh, it hurts.\This seriously sucks.\Don't come in feeling like a decoy.\Stop, then jump up. response:	Oh, by the way...
context: Karasuno High School vs Shiratorizawa Academy\Episode 09: The Volleyball Idiots\Go! One more!\Ugh, it hurts.\This seriously sucks.\Don't come in feeling like a decoy.\Stop, then jump up.\Oh, by the way... response:	Generally, when you're one-on-one with a spiker,
context: Episode 09: The Volleyball Idiots\Go! One more!\Ugh, it hurts.\This seriously sucks.\Don't come in feeling like a decoy.\Stop, then jump up.\Oh, by the way...\Generally, when you're one-on-one with a spiker, response:	rather than lining up with their bodies to block,
context: Go! One more!\Ugh, it hurts.\This seriously sucks.\Don't come in feeling like a decoy.\Stop, then jump up.\Oh, by the way...\Generally, when you're one-on-one with a spiker,\rather than lining up with their bodies to block, response:	if you line up with their dominant hand...
context: Ugh, it hurts.\This seriously sucks.\Don't come in feeling like a decoy.\Stop, then jump up.\Oh, by the way...\Generally, when you're one-on-one with a spiker,\rather than lining up with their bodies to block,\if you line up with their dominant hand... response:	Being too comfortable can be scary.
context: This seriously sucks.\Don't come in feeling like a decoy.\Stop, then jump up.\Oh, by the way...\Generally, when you're one-on-one with a spiker,\rather than lining up with their bodies to block,\if you line up with their dominant hand...\Being too comfortable can be scary. response:	To think that the weirdo quick that we thought was unstoppable
context: Don't come in feeling like a decoy.\Stop, then jump up.\Oh, by the way...\Generally, when you're one-on-one with a spiker,\rather than lining up with their bodies to block,\if you line up with their dominant hand...\Being too comfortable can be scary.\To think that the weirdo quick that we thought was unstoppable response:	would be stopped...
context: Stop, then jump up.\Oh, by the way...\Generally, when you're one-on-one with a spiker,\rather than lining up with their bodies to block,\if you line up with their dominant hand...\Being too comfortable can be scary.\To think that the weirdo quick that we thought was unstoppable\would be stopped... response:	Yeah!
context: Oh, by the way...\Generally, when you're one-on-one with a spiker,\rather than lining up with their bodies to block,\if you line up with their dominant hand...\Being too comfortable can be scary.\To think that the weirdo quick that we thought was unstoppable\would be stopped...\Yeah! response:	Damn it! One more time!
context: Generally, when you're one-on-one with a spiker,\rather than lining up with their bodies to block,\if you line up with their dominant hand...\Being too comfortable can be scary.\To think that the weirdo quick that we thought was unstoppable\would be stopped...\Yeah!\Damn it! One more time! response:	Did you just change which course you were going to close?
context: rather than lining up with their bodies to block,\if you line up with their dominant hand...\Being too comfortable can be scary.\To think that the weirdo quick that we thought was unstoppable\would be stopped...\Yeah!\Damn it! One more time!\Did you just change which course you were going to close? response:	So you noticed? Not bad.
context: if you line up with their dominant hand...\Being too comfortable can be scary.\To think that the weirdo quick that we thought was unstoppable\would be stopped...\Yeah!\Damn it! One more time!\Did you just change which course you were going to close?\So you noticed? Not bad. response:	Tsukki! Jump some blocks for me! Okay?!
context: Being too comfortable can be scary.\To think that the weirdo quick that we thought was unstoppable\would be stopped...\Yeah!\Damn it! One more time!\Did you just change which course you were going to close?\So you noticed? Not bad.\Tsukki! Jump some blocks for me! Okay?! response:	He's not just being calm. He's concentrating.
context: To think that the weirdo quick that we thought was unstoppable\would be stopped...\Yeah!\Damn it! One more time!\Did you just change which course you were going to close?\So you noticed? Not bad.\Tsukki! Jump some blocks for me! Okay?!\He's not just being calm. He's concentrating. response:	Not on how the match is going...
context: would be stopped...\Yeah!\Damn it! One more time!\Did you just change which course you were going to close?\So you noticed? Not bad.\Tsukki! Jump some blocks for me! Okay?!\He's not just being calm. He's concentrating.\Not on how the match is going... response:	he's probably thinking about what he's going to do when he gets back.
context: Yeah!\Damn it! One more time!\Did you just change which course you were going to close?\So you noticed? Not bad.\Tsukki! Jump some blocks for me! Okay?!\He's not just being calm. He's concentrating.\Not on how the match is going...\he's probably thinking about what he's going to do when he gets back. response:	Tsukki!
context: Damn it! One more time!\Did you just change which course you were going to close?\So you noticed? Not bad.\Tsukki! Jump some blocks for me! Okay?!\He's not just being calm. He's concentrating.\Not on how the match is going...\he's probably thinking about what he's going to do when he gets back.\Tsukki! response:	The glasses guy from Karasuno's back!
context: Did you just change which course you were going to close?\So you noticed? Not bad.\Tsukki! Jump some blocks for me! Okay?!\He's not just being calm. He's concentrating.\Not on how the match is going...\he's probably thinking about what he's going to do when he gets back.\Tsukki!\The glasses guy from Karasuno's back! response:	It's too late! It's all going to be over with one more point.
context: So you noticed? Not bad.\Tsukki! Jump some blocks for me! Okay?!\He's not just being calm. He's concentrating.\Not on how the match is going...\he's probably thinking about what he's going to do when he gets back.\Tsukki!\The glasses guy from Karasuno's back!\It's too late! It's all going to be over with one more point. response:	It's not gonna end!
context: Tsukki! Jump some blocks for me! Okay?!\He's not just being calm. He's concentrating.\Not on how the match is going...\he's probably thinking about what he's going to do when he gets back.\Tsukki!\The glasses guy from Karasuno's back!\It's too late! It's all going to be over with one more point.\It's not gonna end! response:	Tsukishima
context: He's not just being calm. He's concentrating.\Not on how the match is going...\he's probably thinking about what he's going to do when he gets back.\Tsukki!\The glasses guy from Karasuno's back!\It's too late! It's all going to be over with one more point.\It's not gonna end!\Tsukishima response:	The bleeding has stopped.
context: Not on how the match is going...\he's probably thinking about what he's going to do when he gets back.\Tsukki!\The glasses guy from Karasuno's back!\It's too late! It's all going to be over with one more point.\It's not gonna end!\Tsukishima\The bleeding has stopped. response:	They immobilized the part that was dislocated rock hard.
context: he's probably thinking about what he's going to do when he gets back.\Tsukki!\The glasses guy from Karasuno's back!\It's too late! It's all going to be over with one more point.\It's not gonna end!\Tsukishima\The bleeding has stopped.\They immobilized the part that was dislocated rock hard. response:	Because it was my pinky, it'll affect my play extremely little.
context: Tsukki!\The glasses guy from Karasuno's back!\It's too late! It's all going to be over with one more point.\It's not gonna end!\Tsukishima\The bleeding has stopped.\They immobilized the part that was dislocated rock hard.\Because it was my pinky, it'll affect my play extremely little. response:	That basically sums it up.
context: The glasses guy from Karasuno's back!\It's too late! It's all going to be over with one more point.\It's not gonna end!\Tsukishima\The bleeding has stopped.\They immobilized the part that was dislocated rock hard.\Because it was my pinky, it'll affect my play extremely little.\That basically sums it up. response:	To think a day would come
context: It's too late! It's all going to be over with one more point.\It's not gonna end!\Tsukishima\The bleeding has stopped.\They immobilized the part that was dislocated rock hard.\Because it was my pinky, it'll affect my play extremely little.\That basically sums it up.\To think a day would come response:	when he'd strongly express how much he wants to be in the game.
context: It's not gonna end!\Tsukishima\The bleeding has stopped.\They immobilized the part that was dislocated rock hard.\Because it was my pinky, it'll affect my play extremely little.\That basically sums it up.\To think a day would come\when he'd strongly express how much he wants to be in the game. response:	Is Kei okay?!
context: Tsukishima\The bleeding has stopped.\They immobilized the part that was dislocated rock hard.\Because it was my pinky, it'll affect my play extremely little.\That basically sums it up.\To think a day would come\when he'd strongly express how much he wants to be in the game.\Is Kei okay?! response:	Um... He hurt his pinky, so they taped it to his ring finger and immobilized it,
context: The bleeding has stopped.\They immobilized the part that was dislocated rock hard.\Because it was my pinky, it'll affect my play extremely little.\That basically sums it up.\To think a day would come\when he'd strongly express how much he wants to be in the game.\Is Kei okay?!\Um... He hurt his pinky, so they taped it to his ring finger and immobilized it, response:	and apparently he can continue playing.
context: They immobilized the part that was dislocated rock hard.\Because it was my pinky, it'll affect my play extremely little.\That basically sums it up.\To think a day would come\when he'd strongly express how much he wants to be in the game.\Is Kei okay?!\Um... He hurt his pinky, so they taped it to his ring finger and immobilized it,\and apparently he can continue playing. response:	But I'm pretty sure...
context: Because it was my pinky, it'll affect my play extremely little.\That basically sums it up.\To think a day would come\when he'd strongly express how much he wants to be in the game.\Is Kei okay?!\Um... He hurt his pinky, so they taped it to his ring finger and immobilized it,\and apparently he can continue playing.\But I'm pretty sure... response:	The pain hasn't stopped at all.
context: That basically sums it up.\To think a day would come\when he'd strongly express how much he wants to be in the game.\Is Kei okay?!\Um... He hurt his pinky, so they taped it to his ring finger and immobilized it,\and apparently he can continue playing.\But I'm pretty sure...\The pain hasn't stopped at all. response:	I bought you some time...
context: To think a day would come\when he'd strongly express how much he wants to be in the game.\Is Kei okay?!\Um... He hurt his pinky, so they taped it to his ring finger and immobilized it,\and apparently he can continue playing.\But I'm pretty sure...\The pain hasn't stopped at all.\I bought you some time... response:	Though, to be honest,
context: when he'd strongly express how much he wants to be in the game.\Is Kei okay?!\Um... He hurt his pinky, so they taped it to his ring finger and immobilized it,\and apparently he can continue playing.\But I'm pretty sure...\The pain hasn't stopped at all.\I bought you some time...\Though, to be honest, response:	Yamaguchi actually bought more time than me.
context: Is Kei okay?!\Um... He hurt his pinky, so they taped it to his ring finger and immobilized it,\and apparently he can continue playing.\But I'm pretty sure...\The pain hasn't stopped at all.\I bought you some time...\Though, to be honest,\Yamaguchi actually bought more time than me. response:	Well, thanks for your honesty.
context: Um... He hurt his pinky, so they taped it to his ring finger and immobilized it,\and apparently he can continue playing.\But I'm pretty sure...\The pain hasn't stopped at all.\I bought you some time...\Though, to be honest,\Yamaguchi actually bought more time than me.\Well, thanks for your honesty. response:	Be Courageous Warriors
context: and apparently he can continue playing.\But I'm pretty sure...\The pain hasn't stopped at all.\I bought you some time...\Though, to be honest,\Yamaguchi actually bought more time than me.\Well, thanks for your honesty.\Be Courageous Warriors response:	One more point! One more point! One more point!
context: But I'm pretty sure...\The pain hasn't stopped at all.\I bought you some time...\Though, to be honest,\Yamaguchi actually bought more time than me.\Well, thanks for your honesty.\Be Courageous Warriors\One more point! One more point! One more point! response:	It's probably going to be a jump float serve.
context: The pain hasn't stopped at all.\I bought you some time...\Though, to be honest,\Yamaguchi actually bought more time than me.\Well, thanks for your honesty.\Be Courageous Warriors\One more point! One more point! One more point!\It's probably going to be a jump float serve. response:	We need to move up our defenses.
context: I bought you some time...\Though, to be honest,\Yamaguchi actually bought more time than me.\Well, thanks for your honesty.\Be Courageous Warriors\One more point! One more point! One more point!\It's probably going to be a jump float serve.\We need to move up our defenses. response:	If we can stop them here, it'll be Asahi's turn to serve next.
context: Though, to be honest,\Yamaguchi actually bought more time than me.\Well, thanks for your honesty.\Be Courageous Warriors\One more point! One more point! One more point!\It's probably going to be a jump float serve.\We need to move up our defenses.\If we can stop them here, it'll be Asahi's turn to serve next. response:	Yunohama, nice serve!
context: Yamaguchi actually bought more time than me.\Well, thanks for your honesty.\Be Courageous Warriors\One more point! One more point! One more point!\It's probably going to be a jump float serve.\We need to move up our defenses.\If we can stop them here, it'll be Asahi's turn to serve next.\Yunohama, nice serve! response:	Daichi-san!
context: Well, thanks for your honesty.\Be Courageous Warriors\One more point! One more point! One more point!\It's probably going to be a jump float serve.\We need to move up our defenses.\If we can stop them here, it'll be Asahi's turn to serve next.\Yunohama, nice serve!\Daichi-san! response:	All right!
context: Be Courageous Warriors\One more point! One more point! One more point!\It's probably going to be a jump float serve.\We need to move up our defenses.\If we can stop them here, it'll be Asahi's turn to serve next.\Yunohama, nice serve!\Daichi-san!\All right! response:	If they didn't have that guy, Karasuno's defense would be more full of holes.
context: One more point! One more point! One more point!\It's probably going to be a jump float serve.\We need to move up our defenses.\If we can stop them here, it'll be Asahi's turn to serve next.\Yunohama, nice serve!\Daichi-san!\All right!\If they didn't have that guy, Karasuno's defense would be more full of holes. response:	Nice receive!
context: It's probably going to be a jump float serve.\We need to move up our defenses.\If we can stop them here, it'll be Asahi's turn to serve next.\Yunohama, nice serve!\Daichi-san!\All right!\If they didn't have that guy, Karasuno's defense would be more full of holes.\Nice receive! response:	All right!
context: We need to move up our defenses.\If we can stop them here, it'll be Asahi's turn to serve next.\Yunohama, nice serve!\Daichi-san!\All right!\If they didn't have that guy, Karasuno's defense would be more full of holes.\Nice receive!\All right! response:	He read me.
context: If we can stop them here, it'll be Asahi's turn to serve next.\Yunohama, nice serve!\Daichi-san!\All right!\If they didn't have that guy, Karasuno's defense would be more full of holes.\Nice receive!\All right!\He read me. response:	Looks like that's probably not going to work anymore...
context: Yunohama, nice serve!\Daichi-san!\All right!\If they didn't have that guy, Karasuno's defense would be more full of holes.\Nice receive!\All right!\He read me.\Looks like that's probably not going to work anymore... response:	Shiratorizawa Karasuno
context: Daichi-san!\All right!\If they didn't have that guy, Karasuno's defense would be more full of holes.\Nice receive!\All right!\He read me.\Looks like that's probably not going to work anymore...\Shiratorizawa Karasuno response:	A dump right there?!
context: All right!\If they didn't have that guy, Karasuno's defense would be more full of holes.\Nice receive!\All right!\He read me.\Looks like that's probably not going to work anymore...\Shiratorizawa Karasuno\A dump right there?! response:	Good! Good! Though you guys are taking years off my life, damn it.
context: If they didn't have that guy, Karasuno's defense would be more full of holes.\Nice receive!\All right!\He read me.\Looks like that's probably not going to work anymore...\Shiratorizawa Karasuno\A dump right there?!\Good! Good! Though you guys are taking years off my life, damn it. response:	We're counting on you, Tsukishima.
context: Nice receive!\All right!\He read me.\Looks like that's probably not going to work anymore...\Shiratorizawa Karasuno\A dump right there?!\Good! Good! Though you guys are taking years off my life, damn it.\We're counting on you, Tsukishima. response:	Well done.
context: All right!\He read me.\Looks like that's probably not going to work anymore...\Shiratorizawa Karasuno\A dump right there?!\Good! Good! Though you guys are taking years off my life, damn it.\We're counting on you, Tsukishima.\Well done. response:	Being able to play like you normally do in this situation is impressive.
context: He read me.\Looks like that's probably not going to work anymore...\Shiratorizawa Karasuno\A dump right there?!\Good! Good! Though you guys are taking years off my life, damn it.\We're counting on you, Tsukishima.\Well done.\Being able to play like you normally do in this situation is impressive. response:	Right!
context: Looks like that's probably not going to work anymore...\Shiratorizawa Karasuno\A dump right there?!\Good! Good! Though you guys are taking years off my life, damn it.\We're counting on you, Tsukishima.\Well done.\Being able to play like you normally do in this situation is impressive.\Right! response:	Tsukishima!
context: Shiratorizawa Karasuno\A dump right there?!\Good! Good! Though you guys are taking years off my life, damn it.\We're counting on you, Tsukishima.\Well done.\Being able to play like you normally do in this situation is impressive.\Right!\Tsukishima! response:	Look at you, showing up like some hero, you jerk!
context: A dump right there?!\Good! Good! Though you guys are taking years off my life, damn it.\We're counting on you, Tsukishima.\Well done.\Being able to play like you normally do in this situation is impressive.\Right!\Tsukishima!\Look at you, showing up like some hero, you jerk! response:	Um... about when we do a 3-person block...
context: Good! Good! Though you guys are taking years off my life, damn it.\We're counting on you, Tsukishima.\Well done.\Being able to play like you normally do in this situation is impressive.\Right!\Tsukishima!\Look at you, showing up like some hero, you jerk!\Um... about when we do a 3-person block... response:	Not phased one bit, are you?
context: We're counting on you, Tsukishima.\Well done.\Being able to play like you normally do in this situation is impressive.\Right!\Tsukishima!\Look at you, showing up like some hero, you jerk!\Um... about when we do a 3-person block...\Not phased one bit, are you? response:	Tsukishima!
context: Well done.\Being able to play like you normally do in this situation is impressive.\Right!\Tsukishima!\Look at you, showing up like some hero, you jerk!\Um... about when we do a 3-person block...\Not phased one bit, are you?\Tsukishima! response:	We're counting on you!
context: Being able to play like you normally do in this situation is impressive.\Right!\Tsukishima!\Look at you, showing up like some hero, you jerk!\Um... about when we do a 3-person block...\Not phased one bit, are you?\Tsukishima!\We're counting on you! response:	All right.
context: Right!\Tsukishima!\Look at you, showing up like some hero, you jerk!\Um... about when we do a 3-person block...\Not phased one bit, are you?\Tsukishima!\We're counting on you!\All right. response:	Now both Tobio and Kei are back.
context: Tsukishima!\Look at you, showing up like some hero, you jerk!\Um... about when we do a 3-person block...\Not phased one bit, are you?\Tsukishima!\We're counting on you!\All right.\Now both Tobio and Kei are back. response:	Now for the counterattack!
context: Look at you, showing up like some hero, you jerk!\Um... about when we do a 3-person block...\Not phased one bit, are you?\Tsukishima!\We're counting on you!\All right.\Now both Tobio and Kei are back.\Now for the counterattack! response:	We're gonna get through this!
context: Um... about when we do a 3-person block...\Not phased one bit, are you?\Tsukishima!\We're counting on you!\All right.\Now both Tobio and Kei are back.\Now for the counterattack!\We're gonna get through this! response:	Yeah!
context: Not phased one bit, are you?\Tsukishima!\We're counting on you!\All right.\Now both Tobio and Kei are back.\Now for the counterattack!\We're gonna get through this!\Yeah! response:	I doubt you would, but you don't need to hold back.
context: Tsukishima!\We're counting on you!\All right.\Now both Tobio and Kei are back.\Now for the counterattack!\We're gonna get through this!\Yeah!\I doubt you would, but you don't need to hold back. response:	If you don't think I'm going to, then don't say it. And I won't.
context: We're counting on you!\All right.\Now both Tobio and Kei are back.\Now for the counterattack!\We're gonna get through this!\Yeah!\I doubt you would, but you don't need to hold back.\If you don't think I'm going to, then don't say it. And I won't. response:	Shirabu.
context: All right.\Now both Tobio and Kei are back.\Now for the counterattack!\We're gonna get through this!\Yeah!\I doubt you would, but you don't need to hold back.\If you don't think I'm going to, then don't say it. And I won't.\Shirabu. response:	You remember our promise, don't you?
context: Now both Tobio and Kei are back.\Now for the counterattack!\We're gonna get through this!\Yeah!\I doubt you would, but you don't need to hold back.\If you don't think I'm going to, then don't say it. And I won't.\Shirabu.\You remember our promise, don't you? response:	Will you be able to use me mercilessly in any situation?
context: Now for the counterattack!\We're gonna get through this!\Yeah!\I doubt you would, but you don't need to hold back.\If you don't think I'm going to, then don't say it. And I won't.\Shirabu.\You remember our promise, don't you?\Will you be able to use me mercilessly in any situation? response:	Yes!
context: We're gonna get through this!\Yeah!\I doubt you would, but you don't need to hold back.\If you don't think I'm going to, then don't say it. And I won't.\Shirabu.\You remember our promise, don't you?\Will you be able to use me mercilessly in any situation?\Yes! response:	Serving toward the end while being at a disadvantage...
context: Yeah!\I doubt you would, but you don't need to hold back.\If you don't think I'm going to, then don't say it. And I won't.\Shirabu.\You remember our promise, don't you?\Will you be able to use me mercilessly in any situation?\Yes!\Serving toward the end while being at a disadvantage... response:	I really hate this!
context: I doubt you would, but you don't need to hold back.\If you don't think I'm going to, then don't say it. And I won't.\Shirabu.\You remember our promise, don't you?\Will you be able to use me mercilessly in any situation?\Yes!\Serving toward the end while being at a disadvantage...\I really hate this! response:	Come on, please! Make this...
context: If you don't think I'm going to, then don't say it. And I won't.\Shirabu.\You remember our promise, don't you?\Will you be able to use me mercilessly in any situation?\Yes!\Serving toward the end while being at a disadvantage...\I really hate this!\Come on, please! Make this... response:	Don't be on your guard! Give it all you've got!
context: Shirabu.\You remember our promise, don't you?\Will you be able to use me mercilessly in any situation?\Yes!\Serving toward the end while being at a disadvantage...\I really hate this!\Come on, please! Make this...\Don't be on your guard! Give it all you've got! response:	Give it everything you've got, Asahi!
context: You remember our promise, don't you?\Will you be able to use me mercilessly in any situation?\Yes!\Serving toward the end while being at a disadvantage...\I really hate this!\Come on, please! Make this...\Don't be on your guard! Give it all you've got!\Give it everything you've got, Asahi! response:	To think that the fact that no one's looking this way would be so reassuring...
context: Will you be able to use me mercilessly in any situation?\Yes!\Serving toward the end while being at a disadvantage...\I really hate this!\Come on, please! Make this...\Don't be on your guard! Give it all you've got!\Give it everything you've got, Asahi!\To think that the fact that no one's looking this way would be so reassuring... response:	All right! Bring it!
context: Yes!\Serving toward the end while being at a disadvantage...\I really hate this!\Come on, please! Make this...\Don't be on your guard! Give it all you've got!\Give it everything you've got, Asahi!\To think that the fact that no one's looking this way would be so reassuring...\All right! Bring it! response:	Yes!
context: Serving toward the end while being at a disadvantage...\I really hate this!\Come on, please! Make this...\Don't be on your guard! Give it all you've got!\Give it everything you've got, Asahi!\To think that the fact that no one's looking this way would be so reassuring...\All right! Bring it!\Yes! response:	Yes! Yes!
context: I really hate this!\Come on, please! Make this...\Don't be on your guard! Give it all you've got!\Give it everything you've got, Asahi!\To think that the fact that no one's looking this way would be so reassuring...\All right! Bring it!\Yes!\Yes! Yes! response:	Give it to me!
context: Come on, please! Make this...\Don't be on your guard! Give it all you've got!\Give it everything you've got, Asahi!\To think that the fact that no one's looking this way would be so reassuring...\All right! Bring it!\Yes!\Yes! Yes!\Give it to me! response:	Again?!
context: Don't be on your guard! Give it all you've got!\Give it everything you've got, Asahi!\To think that the fact that no one's looking this way would be so reassuring...\All right! Bring it!\Yes!\Yes! Yes!\Give it to me!\Again?! response:	Go! Wakatoshi-kun!
context: Give it everything you've got, Asahi!\To think that the fact that no one's looking this way would be so reassuring...\All right! Bring it!\Yes!\Yes! Yes!\Give it to me!\Again?!\Go! Wakatoshi-kun! response:	His right hand!
context: To think that the fact that no one's looking this way would be so reassuring...\All right! Bring it!\Yes!\Yes! Yes!\Give it to me!\Again?!\Go! Wakatoshi-kun!\His right hand! response:	This is so stupid...
context: All right! Bring it!\Yes!\Yes! Yes!\Give it to me!\Again?!\Go! Wakatoshi-kun!\His right hand!\This is so stupid... response:	I'm not Hinata.
context: Yes!\Yes! Yes!\Give it to me!\Again?!\Go! Wakatoshi-kun!\His right hand!\This is so stupid...\I'm not Hinata. response:	To think that I actually want to fight until the end...
context: Yes! Yes!\Give it to me!\Again?!\Go! Wakatoshi-kun!\His right hand!\This is so stupid...\I'm not Hinata.\To think that I actually want to fight until the end... response:	One touch!
context: Give it to me!\Again?!\Go! Wakatoshi-kun!\His right hand!\This is so stupid...\I'm not Hinata.\To think that I actually want to fight until the end...\One touch! response:	They managed to stop it again.
context: Again?!\Go! Wakatoshi-kun!\His right hand!\This is so stupid...\I'm not Hinata.\To think that I actually want to fight until the end...\One touch!\They managed to stop it again. response:	What happened to Four-Eyes?
context: Go! Wakatoshi-kun!\His right hand!\This is so stupid...\I'm not Hinata.\To think that I actually want to fight until the end...\One touch!\They managed to stop it again.\What happened to Four-Eyes? response:	At the first practice match,
context: His right hand!\This is so stupid...\I'm not Hinata.\To think that I actually want to fight until the end...\One touch!\They managed to stop it again.\What happened to Four-Eyes?\At the first practice match, response:	I thought he was just a tall guy that was slightly intelligent.
context: This is so stupid...\I'm not Hinata.\To think that I actually want to fight until the end...\One touch!\They managed to stop it again.\What happened to Four-Eyes?\At the first practice match,\I thought he was just a tall guy that was slightly intelligent. response:	Nice, Nishinoya!
context: I'm not Hinata.\To think that I actually want to fight until the end...\One touch!\They managed to stop it again.\What happened to Four-Eyes?\At the first practice match,\I thought he was just a tall guy that was slightly intelligent.\Nice, Nishinoya! response:	Chance ball!
context: To think that I actually want to fight until the end...\One touch!\They managed to stop it again.\What happened to Four-Eyes?\At the first practice match,\I thought he was just a tall guy that was slightly intelligent.\Nice, Nishinoya!\Chance ball! response:	Ushijima-san!
context: One touch!\They managed to stop it again.\What happened to Four-Eyes?\At the first practice match,\I thought he was just a tall guy that was slightly intelligent.\Nice, Nishinoya!\Chance ball!\Ushijima-san! response:	Time difference from the right.
context: They managed to stop it again.\What happened to Four-Eyes?\At the first practice match,\I thought he was just a tall guy that was slightly intelligent.\Nice, Nishinoya!\Chance ball!\Ushijima-san!\Time difference from the right. response:	We're going to open it up!
context: What happened to Four-Eyes?\At the first practice match,\I thought he was just a tall guy that was slightly intelligent.\Nice, Nishinoya!\Chance ball!\Ushijima-san!\Time difference from the right.\We're going to open it up! response:	Nishinoya-san's field of view.
context: At the first practice match,\I thought he was just a tall guy that was slightly intelligent.\Nice, Nishinoya!\Chance ball!\Ushijima-san!\Time difference from the right.\We're going to open it up!\Nishinoya-san's field of view. response:	Nice receive!
context: I thought he was just a tall guy that was slightly intelligent.\Nice, Nishinoya!\Chance ball!\Ushijima-san!\Time difference from the right.\We're going to open it up!\Nishinoya-san's field of view.\Nice receive! response:	I'm surprised he's able to make these decisions so quickly
context: Nice, Nishinoya!\Chance ball!\Ushijima-san!\Time difference from the right.\We're going to open it up!\Nishinoya-san's field of view.\Nice receive!\I'm surprised he's able to make these decisions so quickly response:	and still be able to instruct others.
context: Chance ball!\Ushijima-san!\Time difference from the right.\We're going to open it up!\Nishinoya-san's field of view.\Nice receive!\I'm surprised he's able to make these decisions so quickly\and still be able to instruct others. response:	Asahi-san!
context: Ushijima-san!\Time difference from the right.\We're going to open it up!\Nishinoya-san's field of view.\Nice receive!\I'm surprised he's able to make these decisions so quickly\and still be able to instruct others.\Asahi-san! response:	Tsutomu!
context: Time difference from the right.\We're going to open it up!\Nishinoya-san's field of view.\Nice receive!\I'm surprised he's able to make these decisions so quickly\and still be able to instruct others.\Asahi-san!\Tsutomu! response:	Nice! Get the last!
context: We're going to open it up!\Nishinoya-san's field of view.\Nice receive!\I'm surprised he's able to make these decisions so quickly\and still be able to instruct others.\Asahi-san!\Tsutomu!\Nice! Get the last! response:	One more time...
context: Nishinoya-san's field of view.\Nice receive!\I'm surprised he's able to make these decisions so quickly\and still be able to instruct others.\Asahi-san!\Tsutomu!\Nice! Get the last!\One more time... response:	He's planning to hit it...
context: Nice receive!\I'm surprised he's able to make these decisions so quickly\and still be able to instruct others.\Asahi-san!\Tsutomu!\Nice! Get the last!\One more time...\He's planning to hit it... response:	Ushiwaka three times in a row!
context: I'm surprised he's able to make these decisions so quickly\and still be able to instruct others.\Asahi-san!\Tsutomu!\Nice! Get the last!\One more time...\He's planning to hit it...\Ushiwaka three times in a row! response:	The top of the net...
context: and still be able to instruct others.\Asahi-san!\Tsutomu!\Nice! Get the last!\One more time...\He's planning to hit it...\Ushiwaka three times in a row!\The top of the net... response:	Yes!
context: Asahi-san!\Tsutomu!\Nice! Get the last!\One more time...\He's planning to hit it...\Ushiwaka three times in a row!\The top of the net...\Yes! response:	This is our chance!
context: Tsutomu!\Nice! Get the last!\One more time...\He's planning to hit it...\Ushiwaka three times in a row!\The top of the net...\Yes!\This is our chance! response:	My legs are so friggin' heavy...
