context: <I'm better at flying than running!!> response:	<Sketch of Petya>
context: Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	Shion Pavlichenko.
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Shion Pavlichenko. response:	Hand over the meteor core.
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Shion Pavlichenko.\Hand over the meteor core. response:	A contractor?
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Shion Pavlichenko.\Hand over the meteor core.\A contractor? response:	Hurry! Run!
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Shion Pavlichenko.\Hand over the meteor core.\A contractor?\Hurry! Run! response:	There are no enemies at the back of the house.
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Shion Pavlichenko.\Hand over the meteor core.\A contractor?\Hurry! Run!\There are no enemies at the back of the house. response:	Good evening.
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Shion Pavlichenko.\Hand over the meteor core.\A contractor?\Hurry! Run!\There are no enemies at the back of the house.\Good evening. response:	Erm...
context: No matter how broken today looks\Shion Pavlichenko.\Hand over the meteor core.\A contractor?\Hurry! Run!\There are no enemies at the back of the house.\Good evening.\Erm... response:	Zdravstvuj.
context: Shion Pavlichenko.\Hand over the meteor core.\A contractor?\Hurry! Run!\There are no enemies at the back of the house.\Good evening.\Erm...\Zdravstvuj. response:	Ni hao.
context: Hand over the meteor core.\A contractor?\Hurry! Run!\There are no enemies at the back of the house.\Good evening.\Erm...\Zdravstvuj.\Ni hao. response:	Guten Abend.
context: A contractor?\Hurry! Run!\There are no enemies at the back of the house.\Good evening.\Erm...\Zdravstvuj.\Ni hao.\Guten Abend. response:	Do you understand me?
context: Hurry! Run!\There are no enemies at the back of the house.\Good evening.\Erm...\Zdravstvuj.\Ni hao.\Guten Abend.\Do you understand me? response:	Did you understand any one of those, cutie?
context: There are no enemies at the back of the house.\Good evening.\Erm...\Zdravstvuj.\Ni hao.\Guten Abend.\Do you understand me?\Did you understand any one of those, cutie? response:	Who the hell are you people?
context: Good evening.\Erm...\Zdravstvuj.\Ni hao.\Guten Abend.\Do you understand me?\Did you understand any one of those, cutie?\Who the hell are you people? response:	Ah, so you speak Japanese.
context: Erm...\Zdravstvuj.\Ni hao.\Guten Abend.\Do you understand me?\Did you understand any one of those, cutie?\Who the hell are you people?\Ah, so you speak Japanese. response:	That's great.
context: Zdravstvuj.\Ni hao.\Guten Abend.\Do you understand me?\Did you understand any one of those, cutie?\Who the hell are you people?\Ah, so you speak Japanese.\That's great. response:	I don't like being rough, you see.
context: Ni hao.\Guten Abend.\Do you understand me?\Did you understand any one of those, cutie?\Who the hell are you people?\Ah, so you speak Japanese.\That's great.\I don't like being rough, you see. response:	I'll be grateful if you be a good girl and come with me.
context: Guten Abend.\Do you understand me?\Did you understand any one of those, cutie?\Who the hell are you people?\Ah, so you speak Japanese.\That's great.\I don't like being rough, you see.\I'll be grateful if you be a good girl and come with me. response:	Petya!
context: Do you understand me?\Did you understand any one of those, cutie?\Who the hell are you people?\Ah, so you speak Japanese.\That's great.\I don't like being rough, you see.\I'll be grateful if you be a good girl and come with me.\Petya! response:	Hey!
context: Did you understand any one of those, cutie?\Who the hell are you people?\Ah, so you speak Japanese.\That's great.\I don't like being rough, you see.\I'll be grateful if you be a good girl and come with me.\Petya!\Hey! response:	Come, Petya!
context: Who the hell are you people?\Ah, so you speak Japanese.\That's great.\I don't like being rough, you see.\I'll be grateful if you be a good girl and come with me.\Petya!\Hey!\Come, Petya! response:	Such a naughty girl.
context: Ah, so you speak Japanese.\That's great.\I don't like being rough, you see.\I'll be grateful if you be a good girl and come with me.\Petya!\Hey!\Come, Petya!\Such a naughty girl. response:	Papa...
context: That's great.\I don't like being rough, you see.\I'll be grateful if you be a good girl and come with me.\Petya!\Hey!\Come, Petya!\Such a naughty girl.\Papa... response:	Shion...
context: I don't like being rough, you see.\I'll be grateful if you be a good girl and come with me.\Petya!\Hey!\Come, Petya!\Such a naughty girl.\Papa...\Shion... response:	Shion!
context: I'll be grateful if you be a good girl and come with me.\Petya!\Hey!\Come, Petya!\Such a naughty girl.\Papa...\Shion...\Shion! response:	How?!
context: Petya!\Hey!\Come, Petya!\Such a naughty girl.\Papa...\Shion...\Shion!\How?! response:	Shizume-san! Hazuki-san! Hurry!
context: Hey!\Come, Petya!\Such a naughty girl.\Papa...\Shion...\Shion!\How?!\Shizume-san! Hazuki-san! Hurry! response:	Man, she was such a cutie!
context: Come, Petya!\Such a naughty girl.\Papa...\Shion...\Shion!\How?!\Shizume-san! Hazuki-san! Hurry!\Man, she was such a cutie! response:	Playing hide and see
context: Such a naughty girl.\Papa...\Shion...\Shion!\How?!\Shizume-san! Hazuki-san! Hurry!\Man, she was such a cutie!\Playing hide and see response:	Youko!
context: Papa...\Shion...\Shion!\How?!\Shizume-san! Hazuki-san! Hurry!\Man, she was such a cutie!\Playing hide and see\Youko! response:	Y-Yeah!
context: Shion...\Shion!\How?!\Shizume-san! Hazuki-san! Hurry!\Man, she was such a cutie!\Playing hide and see\Youko!\Y-Yeah! response:	I-It's troublesome, isn't it?
context: Shion!\How?!\Shizume-san! Hazuki-san! Hurry!\Man, she was such a cutie!\Playing hide and see\Youko!\Y-Yeah!\I-It's troublesome, isn't it? response:	Having to kiss a guy to remunerate for using your pow
context: How?!\Shizume-san! Hazuki-san! Hurry!\Man, she was such a cutie!\Playing hide and see\Youko!\Y-Yeah!\I-It's troublesome, isn't it?\Having to kiss a guy to remunerate for using your pow response:	Just removing the bad taste.
context: Shizume-san! Hazuki-san! Hurry!\Man, she was such a cutie!\Playing hide and see\Youko!\Y-Yeah!\I-It's troublesome, isn't it?\Having to kiss a guy to remunerate for using your pow\Just removing the bad taste. response:	Even the contractor you were bragging about is in a body bag now.
context: Man, she was such a cutie!\Playing hide and see\Youko!\Y-Yeah!\I-It's troublesome, isn't it?\Having to kiss a guy to remunerate for using your pow\Just removing the bad taste.\Even the contractor you were bragging about is in a body bag now. response:	What do you say, Debry?
context: Playing hide and see\Youko!\Y-Yeah!\I-It's troublesome, isn't it?\Having to kiss a guy to remunerate for using your pow\Just removing the bad taste.\Even the contractor you were bragging about is in a body bag now.\What do you say, Debry? response:	Looks like your subordinate wasn't even as useful as a bulletproof vest.
context: Youko!\Y-Yeah!\I-It's troublesome, isn't it?\Having to kiss a guy to remunerate for using your pow\Just removing the bad taste.\Even the contractor you were bragging about is in a body bag now.\What do you say, Debry?\Looks like your subordinate wasn't even as useful as a bulletproof vest. response:	Colonel Kozroff.
context: Y-Yeah!\I-It's troublesome, isn't it?\Having to kiss a guy to remunerate for using your pow\Just removing the bad taste.\Even the contractor you were bragging about is in a body bag now.\What do you say, Debry?\Looks like your subordinate wasn't even as useful as a bulletproof vest.\Colonel Kozroff. response:	Do you know how much it costs to train and supervise a contractor?
context: I-It's troublesome, isn't it?\Having to kiss a guy to remunerate for using your pow\Just removing the bad taste.\Even the contractor you were bragging about is in a body bag now.\What do you say, Debry?\Looks like your subordinate wasn't even as useful as a bulletproof vest.\Colonel Kozroff.\Do you know how much it costs to train and supervise a contractor? response:	What a useless investment.
context: Having to kiss a guy to remunerate for using your pow\Just removing the bad taste.\Even the contractor you were bragging about is in a body bag now.\What do you say, Debry?\Looks like your subordinate wasn't even as useful as a bulletproof vest.\Colonel Kozroff.\Do you know how much it costs to train and supervise a contractor?\What a useless investment. response:	They're nothing more than monsters.
context: Just removing the bad taste.\Even the contractor you were bragging about is in a body bag now.\What do you say, Debry?\Looks like your subordinate wasn't even as useful as a bulletproof vest.\Colonel Kozroff.\Do you know how much it costs to train and supervise a contractor?\What a useless investment.\They're nothing more than monsters. response:	They're useless either as soldiers or as weapons.
context: Even the contractor you were bragging about is in a body bag now.\What do you say, Debry?\Looks like your subordinate wasn't even as useful as a bulletproof vest.\Colonel Kozroff.\Do you know how much it costs to train and supervise a contractor?\What a useless investment.\They're nothing more than monsters.\They're useless either as soldiers or as weapons. response:	I've ordered ME to erase the memories of the witnesses.
context: What do you say, Debry?\Looks like your subordinate wasn't even as useful as a bulletproof vest.\Colonel Kozroff.\Do you know how much it costs to train and supervise a contractor?\What a useless investment.\They're nothing more than monsters.\They're useless either as soldiers or as weapons.\I've ordered ME to erase the memories of the witnesses. response:	What about the professor's missing kid?
context: Looks like your subordinate wasn't even as useful as a bulletproof vest.\Colonel Kozroff.\Do you know how much it costs to train and supervise a contractor?\What a useless investment.\They're nothing more than monsters.\They're useless either as soldiers or as weapons.\I've ordered ME to erase the memories of the witnesses.\What about the professor's missing kid? response:	We're looking for him.
context: Colonel Kozroff.\Do you know how much it costs to train and supervise a contractor?\What a useless investment.\They're nothing more than monsters.\They're useless either as soldiers or as weapons.\I've ordered ME to erase the memories of the witnesses.\What about the professor's missing kid?\We're looking for him. response:	Broaden the area of the surveillance spirits.
context: Do you know how much it costs to train and supervise a contractor?\What a useless investment.\They're nothing more than monsters.\They're useless either as soldiers or as weapons.\I've ordered ME to erase the memories of the witnesses.\What about the professor's missing kid?\We're looking for him.\Broaden the area of the surveillance spirits. response:	Put all the bodies into the ME squeezer...
context: What a useless investment.\They're nothing more than monsters.\They're useless either as soldiers or as weapons.\I've ordered ME to erase the memories of the witnesses.\What about the professor's missing kid?\We're looking for him.\Broaden the area of the surveillance spirits.\Put all the bodies into the ME squeezer... response:	While they're still fresh.
context: They're nothing more than monsters.\They're useless either as soldiers or as weapons.\I've ordered ME to erase the memories of the witnesses.\What about the professor's missing kid?\We're looking for him.\Broaden the area of the surveillance spirits.\Put all the bodies into the ME squeezer...\While they're still fresh. response:	Of course the creator, as well.
context: They're useless either as soldiers or as weapons.\I've ordered ME to erase the memories of the witnesses.\What about the professor's missing kid?\We're looking for him.\Broaden the area of the surveillance spirits.\Put all the bodies into the ME squeezer...\While they're still fresh.\Of course the creator, as well. response:	His brain is a precious asset of the state.
context: I've ordered ME to erase the memories of the witnesses.\What about the professor's missing kid?\We're looking for him.\Broaden the area of the surveillance spirits.\Put all the bodies into the ME squeezer...\While they're still fresh.\Of course the creator, as well.\His brain is a precious asset of the state. response:	Coming!
context: What about the professor's missing kid?\We're looking for him.\Broaden the area of the surveillance spirits.\Put all the bodies into the ME squeezer...\While they're still fresh.\Of course the creator, as well.\His brain is a precious asset of the state.\Coming! response:	Yes?
context: We're looking for him.\Broaden the area of the surveillance spirits.\Put all the bodies into the ME squeezer...\While they're still fresh.\Of course the creator, as well.\His brain is a precious asset of the state.\Coming!\Yes? response:	Thank heavens, you're home!
context: Broaden the area of the surveillance spirits.\Put all the bodies into the ME squeezer...\While they're still fresh.\Of course the creator, as well.\His brain is a precious asset of the state.\Coming!\Yes?\Thank heavens, you're home! response:	Please, Sasha! Let me hide for a whi
context: Put all the bodies into the ME squeezer...\While they're still fresh.\Of course the creator, as well.\His brain is a precious asset of the state.\Coming!\Yes?\Thank heavens, you're home!\Please, Sasha! Let me hide for a whi response:	Who are you?
context: While they're still fresh.\Of course the creator, as well.\His brain is a precious asset of the state.\Coming!\Yes?\Thank heavens, you're home!\Please, Sasha! Let me hide for a whi\Who are you? response:	ME?!
context: Of course the creator, as well.\His brain is a precious asset of the state.\Coming!\Yes?\Thank heavens, you're home!\Please, Sasha! Let me hide for a whi\Who are you?\ME?! response:	Tanya!
context: His brain is a precious asset of the state.\Coming!\Yes?\Thank heavens, you're home!\Please, Sasha! Let me hide for a whi\Who are you?\ME?!\Tanya! response:	Where am I?
context: Coming!\Yes?\Thank heavens, you're home!\Please, Sasha! Let me hide for a whi\Who are you?\ME?!\Tanya!\Where am I? response:	Nika Lobanov is in that room.
context: Yes?\Thank heavens, you're home!\Please, Sasha! Let me hide for a whi\Who are you?\ME?!\Tanya!\Where am I?\Nika Lobanov is in that room. response:	What did he do?
context: Thank heavens, you're home!\Please, Sasha! Let me hide for a whi\Who are you?\ME?!\Tanya!\Where am I?\Nika Lobanov is in that room.\What did he do? response:	Theft and robbery.
context: Please, Sasha! Let me hide for a whi\Who are you?\ME?!\Tanya!\Where am I?\Nika Lobanov is in that room.\What did he do?\Theft and robbery. response:	We'll take him into custody. Please don't worry.
context: Who are you?\ME?!\Tanya!\Where am I?\Nika Lobanov is in that room.\What did he do?\Theft and robbery.\We'll take him into custody. Please don't worry. response:	Suou?
context: ME?!\Tanya!\Where am I?\Nika Lobanov is in that room.\What did he do?\Theft and robbery.\We'll take him into custody. Please don't worry.\Suou? response:	Nika!
context: Tanya!\Where am I?\Nika Lobanov is in that room.\What did he do?\Theft and robbery.\We'll take him into custody. Please don't worry.\Suou?\Nika! response:	Do you know who I am?
context: Where am I?\Nika Lobanov is in that room.\What did he do?\Theft and robbery.\We'll take him into custody. Please don't worry.\Suou?\Nika!\Do you know who I am? response:	Who you are?
context: Nika Lobanov is in that room.\What did he do?\Theft and robbery.\We'll take him into custody. Please don't worry.\Suou?\Nika!\Do you know who I am?\Who you are? response:	Of course.
context: What did he do?\Theft and robbery.\We'll take him into custody. Please don't worry.\Suou?\Nika!\Do you know who I am?\Who you are?\Of course. response:	H-Hey! Suou...
context: Theft and robbery.\We'll take him into custody. Please don't worry.\Suou?\Nika!\Do you know who I am?\Who you are?\Of course.\H-Hey! Suou... response:	Suou?
context: We'll take him into custody. Please don't worry.\Suou?\Nika!\Do you know who I am?\Who you are?\Of course.\H-Hey! Suou...\Suou? response:	Episode 2 The Fallen Star...
context: Suou?\Nika!\Do you know who I am?\Who you are?\Of course.\H-Hey! Suou...\Suou?\Episode 2 The Fallen Star... response:	Thus, what enables the wise sovereign and the good general to strike and conquer,
