context: Beyond the seas of Kamogawa response:	Beyond the seas of Kamogawa
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	We ran with bare feet, and now we see different skies
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: Back then we tried to fly with propellers that couldn't do it\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We ran with bare feet, and now we see different skies
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies response:	We always live
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We always live response:	We always live
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We always live\We always live response:	We always live
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We always live\We always live\We always live response:	We always live
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We always live\We always live\We always live\We always live response:	We always live
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We ran with bare feet, and now we see different skies\We ran with bare feet, and now we see different skies\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We ran with bare feet, and now we see different skies\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	We always live
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\We always live response:	full of conviction
context: We always live\We always live\We always live\We always live\We always live\We always live\We always live\full of conviction response:	full of conviction
context: We always live\We always live\We always live\We always live\We always live\We always live\full of conviction\full of conviction response:	full of conviction
context: We always live\We always live\We always live\We always live\We always live\full of conviction\full of conviction\full of conviction response:	full of conviction
context: We always live\We always live\We always live\We always live\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: We always live\We always live\We always live\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: We always live\We always live\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: We always live\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	full of conviction
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction response:	that we are misunderstood
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\that we are misunderstood response:	The designated emergency evacuation location for this area
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\that we are misunderstood\The designated emergency evacuation location for this area response:	is Kamogawa Girls' High School!
context: full of conviction\full of conviction\full of conviction\full of conviction\full of conviction\that we are misunderstood\The designated emergency evacuation location for this area\is Kamogawa Girls' High School! response:	Keep moving and make your way over there quickly!
context: full of conviction\full of conviction\full of conviction\full of conviction\that we are misunderstood\The designated emergency evacuation location for this area\is Kamogawa Girls' High School!\Keep moving and make your way over there quickly! response:	There's broken glass inside the building.
context: full of conviction\full of conviction\full of conviction\that we are misunderstood\The designated emergency evacuation location for this area\is Kamogawa Girls' High School!\Keep moving and make your way over there quickly!\There's broken glass inside the building. response:	Stay away from windows!
