context: What's with that face, Shihoko? response:	This isn't like you.
context: What are they going to do about that?\What do you mean? They're going to build a wall, that's all.\Tokyo is crowded as it is. They're just making life more difficult.\Whatever we did, we blew it.\They ditched this place before we were ready to raid it.\What do you think about the rumor saying they were affiliated with the terrorists in South America?\Who knows? That's the reason we came here in the first place.\What is that? response:	Is something wrong?
context: What do you mean? They're going to build a wall, that's all.\Tokyo is crowded as it is. They're just making life more difficult.\Whatever we did, we blew it.\They ditched this place before we were ready to raid it.\What do you think about the rumor saying they were affiliated with the terrorists in South America?\Who knows? That's the reason we came here in the first place.\What is that?\Is something wrong? response:	A hag, huh?
context: Tokyo is crowded as it is. They're just making life more difficult.\Whatever we did, we blew it.\They ditched this place before we were ready to raid it.\What do you think about the rumor saying they were affiliated with the terrorists in South America?\Who knows? That's the reason we came here in the first place.\What is that?\Is something wrong?\A hag, huh? response:	Do you think she's related to this case?
context: Whatever we did, we blew it.\They ditched this place before we were ready to raid it.\What do you think about the rumor saying they were affiliated with the terrorists in South America?\Who knows? That's the reason we came here in the first place.\What is that?\Is something wrong?\A hag, huh?\Do you think she's related to this case? response:	I'm not sure.
context: They ditched this place before we were ready to raid it.\What do you think about the rumor saying they were affiliated with the terrorists in South America?\Who knows? That's the reason we came here in the first place.\What is that?\Is something wrong?\A hag, huh?\Do you think she's related to this case?\I'm not sure. response:	In any case, I'll take it with me and report it to my superior.
context: What do you think about the rumor saying they were affiliated with the terrorists in South America?\Who knows? That's the reason we came here in the first place.\What is that?\Is something wrong?\A hag, huh?\Do you think she's related to this case?\I'm not sure.\In any case, I'll take it with me and report it to my superior. response:	Don't bring useless stuff, huh?
context: Who knows? That's the reason we came here in the first place.\What is that?\Is something wrong?\A hag, huh?\Do you think she's related to this case?\I'm not sure.\In any case, I'll take it with me and report it to my superior.\Don't bring useless stuff, huh? response:	As I thought.
context: What is that?\Is something wrong?\A hag, huh?\Do you think she's related to this case?\I'm not sure.\In any case, I'll take it with me and report it to my superior.\Don't bring useless stuff, huh?\As I thought. response:	They didn't even make an effort to investigate it.
context: Is something wrong?\A hag, huh?\Do you think she's related to this case?\I'm not sure.\In any case, I'll take it with me and report it to my superior.\Don't bring useless stuff, huh?\As I thought.\They didn't even make an effort to investigate it. response:	It's cold.
context: A hag, huh?\Do you think she's related to this case?\I'm not sure.\In any case, I'll take it with me and report it to my superior.\Don't bring useless stuff, huh?\As I thought.\They didn't even make an effort to investigate it.\It's cold. response:	Want to go out for a drink?
context: Do you think she's related to this case?\I'm not sure.\In any case, I'll take it with me and report it to my superior.\Don't bring useless stuff, huh?\As I thought.\They didn't even make an effort to investigate it.\It's cold.\Want to go out for a drink? response:	Well, I told my wife I'd be home early.
context: I'm not sure.\In any case, I'll take it with me and report it to my superior.\Don't bring useless stuff, huh?\As I thought.\They didn't even make an effort to investigate it.\It's cold.\Want to go out for a drink?\Well, I told my wife I'd be home early. response:	What's with that? You're so stubborn.
context: In any case, I'll take it with me and report it to my superior.\Don't bring useless stuff, huh?\As I thought.\They didn't even make an effort to investigate it.\It's cold.\Want to go out for a drink?\Well, I told my wife I'd be home early.\What's with that? You're so stubborn. response:	That's it!
context: Don't bring useless stuff, huh?\As I thought.\They didn't even make an effort to investigate it.\It's cold.\Want to go out for a drink?\Well, I told my wife I'd be home early.\What's with that? You're so stubborn.\That's it! response:	Kuno-san, why don't you come over?
context: As I thought.\They didn't even make an effort to investigate it.\It's cold.\Want to go out for a drink?\Well, I told my wife I'd be home early.\What's with that? You're so stubborn.\That's it!\Kuno-san, why don't you come over? response:	Ah, thanks.
context: They didn't even make an effort to investigate it.\It's cold.\Want to go out for a drink?\Well, I told my wife I'd be home early.\What's with that? You're so stubborn.\That's it!\Kuno-san, why don't you come over?\Ah, thanks. response:	Please make yourself at home.
context: It's cold.\Want to go out for a drink?\Well, I told my wife I'd be home early.\What's with that? You're so stubborn.\That's it!\Kuno-san, why don't you come over?\Ah, thanks.\Please make yourself at home. response:	Oh, don't go out of your way for my sake.
context: Want to go out for a drink?\Well, I told my wife I'd be home early.\What's with that? You're so stubborn.\That's it!\Kuno-san, why don't you come over?\Ah, thanks.\Please make yourself at home.\Oh, don't go out of your way for my sake. response:	There's nothing fancy about this.
context: Well, I told my wife I'd be home early.\What's with that? You're so stubborn.\That's it!\Kuno-san, why don't you come over?\Ah, thanks.\Please make yourself at home.\Oh, don't go out of your way for my sake.\There's nothing fancy about this. response:	Geez, don't be ridiculous.
context: What's with that? You're so stubborn.\That's it!\Kuno-san, why don't you come over?\Ah, thanks.\Please make yourself at home.\Oh, don't go out of your way for my sake.\There's nothing fancy about this.\Geez, don't be ridiculous. response:	You just wanted to show off your pretty wife, didn't you?
context: That's it!\Kuno-san, why don't you come over?\Ah, thanks.\Please make yourself at home.\Oh, don't go out of your way for my sake.\There's nothing fancy about this.\Geez, don't be ridiculous.\You just wanted to show off your pretty wife, didn't you? response:	You may be right.
context: Kuno-san, why don't you come over?\Ah, thanks.\Please make yourself at home.\Oh, don't go out of your way for my sake.\There's nothing fancy about this.\Geez, don't be ridiculous.\You just wanted to show off your pretty wife, didn't you?\You may be right. response:	You could at least make an attempt to deny it.
context: Ah, thanks.\Please make yourself at home.\Oh, don't go out of your way for my sake.\There's nothing fancy about this.\Geez, don't be ridiculous.\You just wanted to show off your pretty wife, didn't you?\You may be right.\You could at least make an attempt to deny it. response:	How about you, Kuno-san? It's pretty nice.
context: Please make yourself at home.\Oh, don't go out of your way for my sake.\There's nothing fancy about this.\Geez, don't be ridiculous.\You just wanted to show off your pretty wife, didn't you?\You may be right.\You could at least make an attempt to deny it.\How about you, Kuno-san? It's pretty nice. response:	Are you trying to pick a fight?
context: Oh, don't go out of your way for my sake.\There's nothing fancy about this.\Geez, don't be ridiculous.\You just wanted to show off your pretty wife, didn't you?\You may be right.\You could at least make an attempt to deny it.\How about you, Kuno-san? It's pretty nice.\Are you trying to pick a fight? response:	Do you think any woman would be interested in someone with my looks?
context: There's nothing fancy about this.\Geez, don't be ridiculous.\You just wanted to show off your pretty wife, didn't you?\You may be right.\You could at least make an attempt to deny it.\How about you, Kuno-san? It's pretty nice.\Are you trying to pick a fight?\Do you think any woman would be interested in someone with my looks? response:	That's not true. You're a charming man.
context: Geez, don't be ridiculous.\You just wanted to show off your pretty wife, didn't you?\You may be right.\You could at least make an attempt to deny it.\How about you, Kuno-san? It's pretty nice.\Are you trying to pick a fight?\Do you think any woman would be interested in someone with my looks?\That's not true. You're a charming man. response:	You're a wonderful wife who's too good for a man like him.
context: You just wanted to show off your pretty wife, didn't you?\You may be right.\You could at least make an attempt to deny it.\How about you, Kuno-san? It's pretty nice.\Are you trying to pick a fight?\Do you think any woman would be interested in someone with my looks?\That's not true. You're a charming man.\You're a wonderful wife who's too good for a man like him. response:	You can handle your share of alcohol, can't you?
context: You may be right.\You could at least make an attempt to deny it.\How about you, Kuno-san? It's pretty nice.\Are you trying to pick a fight?\Do you think any woman would be interested in someone with my looks?\That's not true. You're a charming man.\You're a wonderful wife who's too good for a man like him.\You can handle your share of alcohol, can't you? response:	It's probably because of my physical build.
context: You could at least make an attempt to deny it.\How about you, Kuno-san? It's pretty nice.\Are you trying to pick a fight?\Do you think any woman would be interested in someone with my looks?\That's not true. You're a charming man.\You're a wonderful wife who's too good for a man like him.\You can handle your share of alcohol, can't you?\It's probably because of my physical build. response:	There are times when I wish I could get as drunk as a fish.
context: How about you, Kuno-san? It's pretty nice.\Are you trying to pick a fight?\Do you think any woman would be interested in someone with my looks?\That's not true. You're a charming man.\You're a wonderful wife who's too good for a man like him.\You can handle your share of alcohol, can't you?\It's probably because of my physical build.\There are times when I wish I could get as drunk as a fish. response:	Police work requires a person who won't carelessly get drunk and disclose important details, right?
context: Are you trying to pick a fight?\Do you think any woman would be interested in someone with my looks?\That's not true. You're a charming man.\You're a wonderful wife who's too good for a man like him.\You can handle your share of alcohol, can't you?\It's probably because of my physical build.\There are times when I wish I could get as drunk as a fish.\Police work requires a person who won't carelessly get drunk and disclose important details, right? response:	I'd feel safer with someone who could handle his booze.
context: Do you think any woman would be interested in someone with my looks?\That's not true. You're a charming man.\You're a wonderful wife who's too good for a man like him.\You can handle your share of alcohol, can't you?\It's probably because of my physical build.\There are times when I wish I could get as drunk as a fish.\Police work requires a person who won't carelessly get drunk and disclose important details, right?\I'd feel safer with someone who could handle his booze. response:	Is that how it is?
context: That's not true. You're a charming man.\You're a wonderful wife who's too good for a man like him.\You can handle your share of alcohol, can't you?\It's probably because of my physical build.\There are times when I wish I could get as drunk as a fish.\Police work requires a person who won't carelessly get drunk and disclose important details, right?\I'd feel safer with someone who could handle his booze.\Is that how it is? response:	You don't get it, Isozaki.
context: You're a wonderful wife who's too good for a man like him.\You can handle your share of alcohol, can't you?\It's probably because of my physical build.\There are times when I wish I could get as drunk as a fish.\Police work requires a person who won't carelessly get drunk and disclose important details, right?\I'd feel safer with someone who could handle his booze.\Is that how it is?\You don't get it, Isozaki. response:	Unlike you,
context: You can handle your share of alcohol, can't you?\It's probably because of my physical build.\There are times when I wish I could get as drunk as a fish.\Police work requires a person who won't carelessly get drunk and disclose important details, right?\I'd feel safer with someone who could handle his booze.\Is that how it is?\You don't get it, Isozaki.\Unlike you, response:	your wife knows what she's talking about.
context: It's probably because of my physical build.\There are times when I wish I could get as drunk as a fish.\Police work requires a person who won't carelessly get drunk and disclose important details, right?\I'd feel safer with someone who could handle his booze.\Is that how it is?\You don't get it, Isozaki.\Unlike you,\your wife knows what she's talking about. response:	My...
context: There are times when I wish I could get as drunk as a fish.\Police work requires a person who won't carelessly get drunk and disclose important details, right?\I'd feel safer with someone who could handle his booze.\Is that how it is?\You don't get it, Isozaki.\Unlike you,\your wife knows what she's talking about.\My... response:	Do you want another bottle?
context: Police work requires a person who won't carelessly get drunk and disclose important details, right?\I'd feel safer with someone who could handle his booze.\Is that how it is?\You don't get it, Isozaki.\Unlike you,\your wife knows what she's talking about.\My...\Do you want another bottle? response:	No, I'm drunk.
context: I'd feel safer with someone who could handle his booze.\Is that how it is?\You don't get it, Isozaki.\Unlike you,\your wife knows what she's talking about.\My...\Do you want another bottle?\No, I'm drunk. response:	There you go again.
context: Is that how it is?\You don't get it, Isozaki.\Unlike you,\your wife knows what she's talking about.\My...\Do you want another bottle?\No, I'm drunk.\There you go again. response:	I'd like to see you actually get drunk for once, Kuno-san.
context: You don't get it, Isozaki.\Unlike you,\your wife knows what she's talking about.\My...\Do you want another bottle?\No, I'm drunk.\There you go again.\I'd like to see you actually get drunk for once, Kuno-san. response:	My body won't let me get drunk.
context: Unlike you,\your wife knows what she's talking about.\My...\Do you want another bottle?\No, I'm drunk.\There you go again.\I'd like to see you actually get drunk for once, Kuno-san.\My body won't let me get drunk. response:	Isn't that good? You're making an honest living, aren't you?
context: your wife knows what she's talking about.\My...\Do you want another bottle?\No, I'm drunk.\There you go again.\I'd like to see you actually get drunk for once, Kuno-san.\My body won't let me get drunk.\Isn't that good? You're making an honest living, aren't you? response:	You're being sarcastic.
context: My...\Do you want another bottle?\No, I'm drunk.\There you go again.\I'd like to see you actually get drunk for once, Kuno-san.\My body won't let me get drunk.\Isn't that good? You're making an honest living, aren't you?\You're being sarcastic. response:	Was he also like that?
context: Do you want another bottle?\No, I'm drunk.\There you go again.\I'd like to see you actually get drunk for once, Kuno-san.\My body won't let me get drunk.\Isn't that good? You're making an honest living, aren't you?\You're being sarcastic.\Was he also like that? response:	My husband... Did Isozaki handle alcohol well?
context: No, I'm drunk.\There you go again.\I'd like to see you actually get drunk for once, Kuno-san.\My body won't let me get drunk.\Isn't that good? You're making an honest living, aren't you?\You're being sarcastic.\Was he also like that?\My husband... Did Isozaki handle alcohol well? response:	Yeah... I guess so.
context: There you go again.\I'd like to see you actually get drunk for once, Kuno-san.\My body won't let me get drunk.\Isn't that good? You're making an honest living, aren't you?\You're being sarcastic.\Was he also like that?\My husband... Did Isozaki handle alcohol well?\Yeah... I guess so. response:	Oh, do you live here?
context: I'd like to see you actually get drunk for once, Kuno-san.\My body won't let me get drunk.\Isn't that good? You're making an honest living, aren't you?\You're being sarcastic.\Was he also like that?\My husband... Did Isozaki handle alcohol well?\Yeah... I guess so.\Oh, do you live here? response:	Yes.
context: My body won't let me get drunk.\Isn't that good? You're making an honest living, aren't you?\You're being sarcastic.\Was he also like that?\My husband... Did Isozaki handle alcohol well?\Yeah... I guess so.\Oh, do you live here?\Yes. response:	Talk about great timing. This must be a sign of Her divine guidance.
context: Isn't that good? You're making an honest living, aren't you?\You're being sarcastic.\Was he also like that?\My husband... Did Isozaki handle alcohol well?\Yeah... I guess so.\Oh, do you live here?\Yes.\Talk about great timing. This must be a sign of Her divine guidance. response:	Of course! We've come to tell you about something wonderful.
context: You're being sarcastic.\Was he also like that?\My husband... Did Isozaki handle alcohol well?\Yeah... I guess so.\Oh, do you live here?\Yes.\Talk about great timing. This must be a sign of Her divine guidance.\Of course! We've come to tell you about something wonderful. response:	Do you believe in anything?
context: Was he also like that?\My husband... Did Isozaki handle alcohol well?\Yeah... I guess so.\Oh, do you live here?\Yes.\Talk about great timing. This must be a sign of Her divine guidance.\Of course! We've come to tell you about something wonderful.\Do you believe in anything? response:	Um... I don't understand much Japanese.
context: My husband... Did Isozaki handle alcohol well?\Yeah... I guess so.\Oh, do you live here?\Yes.\Talk about great timing. This must be a sign of Her divine guidance.\Of course! We've come to tell you about something wonderful.\Do you believe in anything?\Um... I don't understand much Japanese. response:	Nonsense! If you understand that much, it's more than enough.
context: Yeah... I guess so.\Oh, do you live here?\Yes.\Talk about great timing. This must be a sign of Her divine guidance.\Of course! We've come to tell you about something wonderful.\Do you believe in anything?\Um... I don't understand much Japanese.\Nonsense! If you understand that much, it's more than enough. response:	Where are you from?
context: Oh, do you live here?\Yes.\Talk about great timing. This must be a sign of Her divine guidance.\Of course! We've come to tell you about something wonderful.\Do you believe in anything?\Um... I don't understand much Japanese.\Nonsense! If you understand that much, it's more than enough.\Where are you from? response:	Um... I need to bring my things inside.
context: Yes.\Talk about great timing. This must be a sign of Her divine guidance.\Of course! We've come to tell you about something wonderful.\Do you believe in anything?\Um... I don't understand much Japanese.\Nonsense! If you understand that much, it's more than enough.\Where are you from?\Um... I need to bring my things inside. response:	Let us hold it for you, then.
context: Talk about great timing. This must be a sign of Her divine guidance.\Of course! We've come to tell you about something wonderful.\Do you believe in anything?\Um... I don't understand much Japanese.\Nonsense! If you understand that much, it's more than enough.\Where are you from?\Um... I need to bring my things inside.\Let us hold it for you, then. response:	B-But...
context: Of course! We've come to tell you about something wonderful.\Do you believe in anything?\Um... I don't understand much Japanese.\Nonsense! If you understand that much, it's more than enough.\Where are you from?\Um... I need to bring my things inside.\Let us hold it for you, then.\B-But... response:	Think nothing of it.
context: Do you believe in anything?\Um... I don't understand much Japanese.\Nonsense! If you understand that much, it's more than enough.\Where are you from?\Um... I need to bring my things inside.\Let us hold it for you, then.\B-But...\Think nothing of it. response:	What an admirable young man!
context: Um... I don't understand much Japanese.\Nonsense! If you understand that much, it's more than enough.\Where are you from?\Um... I need to bring my things inside.\Let us hold it for you, then.\B-But...\Think nothing of it.\What an admirable young man! response:	You actually cook instead of eating pre-packaged food.
context: Nonsense! If you understand that much, it's more than enough.\Where are you from?\Um... I need to bring my things inside.\Let us hold it for you, then.\B-But...\Think nothing of it.\What an admirable young man!\You actually cook instead of eating pre-packaged food. response:	Um... Like I said, I need to put this inside the refrigerator.
context: Where are you from?\Um... I need to bring my things inside.\Let us hold it for you, then.\B-But...\Think nothing of it.\What an admirable young man!\You actually cook instead of eating pre-packaged food.\Um... Like I said, I need to put this inside the refrigerator. response:	Shall we cook it for you?
context: Um... I need to bring my things inside.\Let us hold it for you, then.\B-But...\Think nothing of it.\What an admirable young man!\You actually cook instead of eating pre-packaged food.\Um... Like I said, I need to put this inside the refrigerator.\Shall we cook it for you? response:	What were you going to make? A kimchi pot dish?
context: Let us hold it for you, then.\B-But...\Think nothing of it.\What an admirable young man!\You actually cook instead of eating pre-packaged food.\Um... Like I said, I need to put this inside the refrigerator.\Shall we cook it for you?\What were you going to make? A kimchi pot dish? response:	As a Korean, he probably will.
context: B-But...\Think nothing of it.\What an admirable young man!\You actually cook instead of eating pre-packaged food.\Um... Like I said, I need to put this inside the refrigerator.\Shall we cook it for you?\What were you going to make? A kimchi pot dish?\As a Korean, he probably will. response:	I never said I was Korean...
context: Think nothing of it.\What an admirable young man!\You actually cook instead of eating pre-packaged food.\Um... Like I said, I need to put this inside the refrigerator.\Shall we cook it for you?\What were you going to make? A kimchi pot dish?\As a Korean, he probably will.\I never said I was Korean... response:	Oh, my! Are you from China?
context: What an admirable young man!\You actually cook instead of eating pre-packaged food.\Um... Like I said, I need to put this inside the refrigerator.\Shall we cook it for you?\What were you going to make? A kimchi pot dish?\As a Korean, he probably will.\I never said I was Korean...\Oh, my! Are you from China? response:	Ni hao!
context: You actually cook instead of eating pre-packaged food.\Um... Like I said, I need to put this inside the refrigerator.\Shall we cook it for you?\What were you going to make? A kimchi pot dish?\As a Korean, he probably will.\I never said I was Korean...\Oh, my! Are you from China?\Ni hao! response:	Good! Kawakami-san, hand him a pamphlet.
context: Um... Like I said, I need to put this inside the refrigerator.\Shall we cook it for you?\What were you going to make? A kimchi pot dish?\As a Korean, he probably will.\I never said I was Korean...\Oh, my! Are you from China?\Ni hao!\Good! Kawakami-san, hand him a pamphlet. response:	That's right! There happens to be a Chinese edition.
context: Shall we cook it for you?\What were you going to make? A kimchi pot dish?\As a Korean, he probably will.\I never said I was Korean...\Oh, my! Are you from China?\Ni hao!\Good! Kawakami-san, hand him a pamphlet.\That's right! There happens to be a Chinese edition. response:	See?
context: What were you going to make? A kimchi pot dish?\As a Korean, he probably will.\I never said I was Korean...\Oh, my! Are you from China?\Ni hao!\Good! Kawakami-san, hand him a pamphlet.\That's right! There happens to be a Chinese edition.\See? response:	Isn't she beautiful? She's the guru.
context: As a Korean, he probably will.\I never said I was Korean...\Oh, my! Are you from China?\Ni hao!\Good! Kawakami-san, hand him a pamphlet.\That's right! There happens to be a Chinese edition.\See?\Isn't she beautiful? She's the guru. response:	You're a lucky one. This was certainly the guidance of Gate-sama.
context: I never said I was Korean...\Oh, my! Are you from China?\Ni hao!\Good! Kawakami-san, hand him a pamphlet.\That's right! There happens to be a Chinese edition.\See?\Isn't she beautiful? She's the guru.\You're a lucky one. This was certainly the guidance of Gate-sama. response:	Gate?
context: Oh, my! Are you from China?\Ni hao!\Good! Kawakami-san, hand him a pamphlet.\That's right! There happens to be a Chinese edition.\See?\Isn't she beautiful? She's the guru.\You're a lucky one. This was certainly the guidance of Gate-sama.\Gate? response:	Are you interested in Gate-sama?
context: Ni hao!\Good! Kawakami-san, hand him a pamphlet.\That's right! There happens to be a Chinese edition.\See?\Isn't she beautiful? She's the guru.\You're a lucky one. This was certainly the guidance of Gate-sama.\Gate?\Are you interested in Gate-sama? response:	Really? You must listen to what we have to say.
context: Good! Kawakami-san, hand him a pamphlet.\That's right! There happens to be a Chinese edition.\See?\Isn't she beautiful? She's the guru.\You're a lucky one. This was certainly the guidance of Gate-sama.\Gate?\Are you interested in Gate-sama?\Really? You must listen to what we have to say. response:	We worship Gate-sama, who is an embodiment of our faith.
context: That's right! There happens to be a Chinese edition.\See?\Isn't she beautiful? She's the guru.\You're a lucky one. This was certainly the guidance of Gate-sama.\Gate?\Are you interested in Gate-sama?\Really? You must listen to what we have to say.\We worship Gate-sama, who is an embodiment of our faith. response:	Have you heard about the Fellowship of the Gate Fundamentalists, also known as...
context: See?\Isn't she beautiful? She's the guru.\You're a lucky one. This was certainly the guidance of Gate-sama.\Gate?\Are you interested in Gate-sama?\Really? You must listen to what we have to say.\We worship Gate-sama, who is an embodiment of our faith.\Have you heard about the Fellowship of the Gate Fundamentalists, also known as... response:	In this world where the moon has vanished and the stars have changed,
context: Isn't she beautiful? She's the guru.\You're a lucky one. This was certainly the guidance of Gate-sama.\Gate?\Are you interested in Gate-sama?\Really? You must listen to what we have to say.\We worship Gate-sama, who is an embodiment of our faith.\Have you heard about the Fellowship of the Gate Fundamentalists, also known as...\In this world where the moon has vanished and the stars have changed, response:	we must not be frightened or intimidated. Let us pray instead.
context: You're a lucky one. This was certainly the guidance of Gate-sama.\Gate?\Are you interested in Gate-sama?\Really? You must listen to what we have to say.\We worship Gate-sama, who is an embodiment of our faith.\Have you heard about the Fellowship of the Gate Fundamentalists, also known as...\In this world where the moon has vanished and the stars have changed,\we must not be frightened or intimidated. Let us pray instead. response:	The Brotherhood of the Gate?
context: Gate?\Are you interested in Gate-sama?\Really? You must listen to what we have to say.\We worship Gate-sama, who is an embodiment of our faith.\Have you heard about the Fellowship of the Gate Fundamentalists, also known as...\In this world where the moon has vanished and the stars have changed,\we must not be frightened or intimidated. Let us pray instead.\The Brotherhood of the Gate? response:	It's one of those new cults.
context: Are you interested in Gate-sama?\Really? You must listen to what we have to say.\We worship Gate-sama, who is an embodiment of our faith.\Have you heard about the Fellowship of the Gate Fundamentalists, also known as...\In this world where the moon has vanished and the stars have changed,\we must not be frightened or intimidated. Let us pray instead.\The Brotherhood of the Gate?\It's one of those new cults. response:	It's a recent fad.
context: Really? You must listen to what we have to say.\We worship Gate-sama, who is an embodiment of our faith.\Have you heard about the Fellowship of the Gate Fundamentalists, also known as...\In this world where the moon has vanished and the stars have changed,\we must not be frightened or intimidated. Let us pray instead.\The Brotherhood of the Gate?\It's one of those new cults.\It's a recent fad. response:	Have you ever heard about them?
context: We worship Gate-sama, who is an embodiment of our faith.\Have you heard about the Fellowship of the Gate Fundamentalists, also known as...\In this world where the moon has vanished and the stars have changed,\we must not be frightened or intimidated. Let us pray instead.\The Brotherhood of the Gate?\It's one of those new cults.\It's a recent fad.\Have you ever heard about them? response:	Yeah.
context: Have you heard about the Fellowship of the Gate Fundamentalists, also known as...\In this world where the moon has vanished and the stars have changed,\we must not be frightened or intimidated. Let us pray instead.\The Brotherhood of the Gate?\It's one of those new cults.\It's a recent fad.\Have you ever heard about them?\Yeah. response:	You're to infiltrate the cult and kill the star of Arma, their guru.
context: In this world where the moon has vanished and the stars have changed,\we must not be frightened or intimidated. Let us pray instead.\The Brotherhood of the Gate?\It's one of those new cults.\It's a recent fad.\Have you ever heard about them?\Yeah.\You're to infiltrate the cult and kill the star of Arma, their guru. response:	Those are your orders.
context: we must not be frightened or intimidated. Let us pray instead.\The Brotherhood of the Gate?\It's one of those new cults.\It's a recent fad.\Have you ever heard about them?\Yeah.\You're to infiltrate the cult and kill the star of Arma, their guru.\Those are your orders. response:	Fortunately, there'll be an initiation for non-members next week.
context: The Brotherhood of the Gate?\It's one of those new cults.\It's a recent fad.\Have you ever heard about them?\Yeah.\You're to infiltrate the cult and kill the star of Arma, their guru.\Those are your orders.\Fortunately, there'll be an initiation for non-members next week. response:	The woman in the picture is the undercover source.
context: It's one of those new cults.\It's a recent fad.\Have you ever heard about them?\Yeah.\You're to infiltrate the cult and kill the star of Arma, their guru.\Those are your orders.\Fortunately, there'll be an initiation for non-members next week.\The woman in the picture is the undercover source. response:	You're to work with her.
context: It's a recent fad.\Have you ever heard about them?\Yeah.\You're to infiltrate the cult and kill the star of Arma, their guru.\Those are your orders.\Fortunately, there'll be an initiation for non-members next week.\The woman in the picture is the undercover source.\You're to work with her. response:	Shihoko, you were a part of the syndicate after all.
context: Have you ever heard about them?\Yeah.\You're to infiltrate the cult and kill the star of Arma, their guru.\Those are your orders.\Fortunately, there'll be an initiation for non-members next week.\The woman in the picture is the undercover source.\You're to work with her.\Shihoko, you were a part of the syndicate after all. response:	Hey! Let go! Hey!
context: Yeah.\You're to infiltrate the cult and kill the star of Arma, their guru.\Those are your orders.\Fortunately, there'll be an initiation for non-members next week.\The woman in the picture is the undercover source.\You're to work with her.\Shihoko, you were a part of the syndicate after all.\Hey! Let go! Hey! response:	What's with you?
context: You're to infiltrate the cult and kill the star of Arma, their guru.\Those are your orders.\Fortunately, there'll be an initiation for non-members next week.\The woman in the picture is the undercover source.\You're to work with her.\Shihoko, you were a part of the syndicate after all.\Hey! Let go! Hey!\What's with you? response:	Don't make a scene. If you're going to pick somebody's pocket, choose your targets wisely.
context: Those are your orders.\Fortunately, there'll be an initiation for non-members next week.\The woman in the picture is the undercover source.\You're to work with her.\Shihoko, you were a part of the syndicate after all.\Hey! Let go! Hey!\What's with you?\Don't make a scene. If you're going to pick somebody's pocket, choose your targets wisely. response:	I'm not some pigeon, you know.
context: Fortunately, there'll be an initiation for non-members next week.\The woman in the picture is the undercover source.\You're to work with her.\Shihoko, you were a part of the syndicate after all.\Hey! Let go! Hey!\What's with you?\Don't make a scene. If you're going to pick somebody's pocket, choose your targets wisely.\I'm not some pigeon, you know. response:	Ow!
context: The woman in the picture is the undercover source.\You're to work with her.\Shihoko, you were a part of the syndicate after all.\Hey! Let go! Hey!\What's with you?\Don't make a scene. If you're going to pick somebody's pocket, choose your targets wisely.\I'm not some pigeon, you know.\Ow! response:	Hey!
context: You're to work with her.\Shihoko, you were a part of the syndicate after all.\Hey! Let go! Hey!\What's with you?\Don't make a scene. If you're going to pick somebody's pocket, choose your targets wisely.\I'm not some pigeon, you know.\Ow!\Hey! response:	Anything else?
context: Shihoko, you were a part of the syndicate after all.\Hey! Let go! Hey!\What's with you?\Don't make a scene. If you're going to pick somebody's pocket, choose your targets wisely.\I'm not some pigeon, you know.\Ow!\Hey!\Anything else? response:	Is there anything else you need?
context: Hey! Let go! Hey!\What's with you?\Don't make a scene. If you're going to pick somebody's pocket, choose your targets wisely.\I'm not some pigeon, you know.\Ow!\Hey!\Anything else?\Is there anything else you need? response:	I told you I'm fine.
