context: What is this? response:	How are we going to clean this up?
context: Rejoice!\For I have bought you a gift as well, sow.\I'm fairly certain that last time, I told you I'd freeze you\if you ever came near me.\More ice fetish play, I see?\I like it.\She's dangerous...\Roromiya! response:	Karuta!
context: For I have bought you a gift as well, sow.\I'm fairly certain that last time, I told you I'd freeze you\if you ever came near me.\More ice fetish play, I see?\I like it.\She's dangerous...\Roromiya!\Karuta! response:	What do you think you're doing?
context: I'm fairly certain that last time, I told you I'd freeze you\if you ever came near me.\More ice fetish play, I see?\I like it.\She's dangerous...\Roromiya!\Karuta!\What do you think you're doing? response:	This!
context: if you ever came near me.\More ice fetish play, I see?\I like it.\She's dangerous...\Roromiya!\Karuta!\What do you think you're doing?\This! response:	It's a party! Enjoy it, my human toilets!
context: More ice fetish play, I see?\I like it.\She's dangerous...\Roromiya!\Karuta!\What do you think you're doing?\This!\It's a party! Enjoy it, my human toilets! response:	Knock it off!
context: I like it.\She's dangerous...\Roromiya!\Karuta!\What do you think you're doing?\This!\It's a party! Enjoy it, my human toilets!\Knock it off! response:	It will be a dazzling orgy!
context: She's dangerous...\Roromiya!\Karuta!\What do you think you're doing?\This!\It's a party! Enjoy it, my human toilets!\Knock it off!\It will be a dazzling orgy! response:	Kage, you're wonderful!
context: Roromiya!\Karuta!\What do you think you're doing?\This!\It's a party! Enjoy it, my human toilets!\Knock it off!\It will be a dazzling orgy!\Kage, you're wonderful! response:	Debau-che-ry!
context: Karuta!\What do you think you're doing?\This!\It's a party! Enjoy it, my human toilets!\Knock it off!\It will be a dazzling orgy!\Kage, you're wonderful!\Debau-che-ry! response:	Ry!
context: What do you think you're doing?\This!\It's a party! Enjoy it, my human toilets!\Knock it off!\It will be a dazzling orgy!\Kage, you're wonderful!\Debau-che-ry!\Ry! response:	I told you to stay away from me!
context: This!\It's a party! Enjoy it, my human toilets!\Knock it off!\It will be a dazzling orgy!\Kage, you're wonderful!\Debau-che-ry!\Ry!\I told you to stay away from me! response:	Five Hours Later
context: It's a party! Enjoy it, my human toilets!\Knock it off!\It will be a dazzling orgy!\Kage, you're wonderful!\Debau-che-ry!\Ry!\I told you to stay away from me!\Five Hours Later response:	Are you okay?
context: Knock it off!\It will be a dazzling orgy!\Kage, you're wonderful!\Debau-che-ry!\Ry!\I told you to stay away from me!\Five Hours Later\Are you okay? response:	Miss Ririchiyo, here is some water.
context: It will be a dazzling orgy!\Kage, you're wonderful!\Debau-che-ry!\Ry!\I told you to stay away from me!\Five Hours Later\Are you okay?\Miss Ririchiyo, here is some water. response:	Is it already that late?
context: Kage, you're wonderful!\Debau-che-ry!\Ry!\I told you to stay away from me!\Five Hours Later\Are you okay?\Miss Ririchiyo, here is some water.\Is it already that late? response:	Then I shall take my leave, you pigs!
context: Debau-che-ry!\Ry!\I told you to stay away from me!\Five Hours Later\Are you okay?\Miss Ririchiyo, here is some water.\Is it already that late?\Then I shall take my leave, you pigs! response:	It's already over?
context: Ry!\I told you to stay away from me!\Five Hours Later\Are you okay?\Miss Ririchiyo, here is some water.\Is it already that late?\Then I shall take my leave, you pigs!\It's already over? response:	Staying up late ruins your looks and your health.
context: I told you to stay away from me!\Five Hours Later\Are you okay?\Miss Ririchiyo, here is some water.\Is it already that late?\Then I shall take my leave, you pigs!\It's already over?\Staying up late ruins your looks and your health. response:	It's positively sadistic!
context: Five Hours Later\Are you okay?\Miss Ririchiyo, here is some water.\Is it already that late?\Then I shall take my leave, you pigs!\It's already over?\Staying up late ruins your looks and your health.\It's positively sadistic! response:	Here he goes again.
context: Are you okay?\Miss Ririchiyo, here is some water.\Is it already that late?\Then I shall take my leave, you pigs!\It's already over?\Staying up late ruins your looks and your health.\It's positively sadistic!\Here he goes again. response:	Fiancee of mine!
context: Miss Ririchiyo, here is some water.\Is it already that late?\Then I shall take my leave, you pigs!\It's already over?\Staying up late ruins your looks and your health.\It's positively sadistic!\Here he goes again.\Fiancee of mine! response:	I shall soon depart again.
context: Is it already that late?\Then I shall take my leave, you pigs!\It's already over?\Staying up late ruins your looks and your health.\It's positively sadistic!\Here he goes again.\Fiancee of mine!\I shall soon depart again. response:	How about it?
context: Then I shall take my leave, you pigs!\It's already over?\Staying up late ruins your looks and your health.\It's positively sadistic!\Here he goes again.\Fiancee of mine!\I shall soon depart again.\How about it? response:	Would you like to come with me?
context: It's already over?\Staying up late ruins your looks and your health.\It's positively sadistic!\Here he goes again.\Fiancee of mine!\I shall soon depart again.\How about it?\Would you like to come with me? response:	Did you really expect me to agree?
context: Staying up late ruins your looks and your health.\It's positively sadistic!\Here he goes again.\Fiancee of mine!\I shall soon depart again.\How about it?\Would you like to come with me?\Did you really expect me to agree? response:	You needn't rush your answer.
context: It's positively sadistic!\Here he goes again.\Fiancee of mine!\I shall soon depart again.\How about it?\Would you like to come with me?\Did you really expect me to agree?\You needn't rush your answer. response:	I also have an important matter to discuss with you.
context: Here he goes again.\Fiancee of mine!\I shall soon depart again.\How about it?\Would you like to come with me?\Did you really expect me to agree?\You needn't rush your answer.\I also have an important matter to discuss with you. response:	An important matter?
context: Fiancee of mine!\I shall soon depart again.\How about it?\Would you like to come with me?\Did you really expect me to agree?\You needn't rush your answer.\I also have an important matter to discuss with you.\An important matter? response:	Tomorrow is Saturday.
context: I shall soon depart again.\How about it?\Would you like to come with me?\Did you really expect me to agree?\You needn't rush your answer.\I also have an important matter to discuss with you.\An important matter?\Tomorrow is Saturday. response:	Let us have a long chat tomorrow,
context: How about it?\Would you like to come with me?\Did you really expect me to agree?\You needn't rush your answer.\I also have an important matter to discuss with you.\An important matter?\Tomorrow is Saturday.\Let us have a long chat tomorrow, response:	my fiancee.
context: Would you like to come with me?\Did you really expect me to agree?\You needn't rush your answer.\I also have an important matter to discuss with you.\An important matter?\Tomorrow is Saturday.\Let us have a long chat tomorrow,\my fiancee. response:	Karuta! Karuta!
context: Did you really expect me to agree?\You needn't rush your answer.\I also have an important matter to discuss with you.\An important matter?\Tomorrow is Saturday.\Let us have a long chat tomorrow,\my fiancee.\Karuta! Karuta! response:	Karuta!
context: You needn't rush your answer.\I also have an important matter to discuss with you.\An important matter?\Tomorrow is Saturday.\Let us have a long chat tomorrow,\my fiancee.\Karuta! Karuta!\Karuta! response:	Shee you later, Wahanuki.
context: I also have an important matter to discuss with you.\An important matter?\Tomorrow is Saturday.\Let us have a long chat tomorrow,\my fiancee.\Karuta! Karuta!\Karuta!\Shee you later, Wahanuki. response:	Thanks to that man, it's gotten quite late.
context: An important matter?\Tomorrow is Saturday.\Let us have a long chat tomorrow,\my fiancee.\Karuta! Karuta!\Karuta!\Shee you later, Wahanuki.\Thanks to that man, it's gotten quite late. response:	Let's reschedule our appointment for tomorrow, after I get home.
context: Tomorrow is Saturday.\Let us have a long chat tomorrow,\my fiancee.\Karuta! Karuta!\Karuta!\Shee you later, Wahanuki.\Thanks to that man, it's gotten quite late.\Let's reschedule our appointment for tomorrow, after I get home. response:	Certainly.
context: Let us have a long chat tomorrow,\my fiancee.\Karuta! Karuta!\Karuta!\Shee you later, Wahanuki.\Thanks to that man, it's gotten quite late.\Let's reschedule our appointment for tomorrow, after I get home.\Certainly. response:	Please take care.
context: my fiancee.\Karuta! Karuta!\Karuta!\Shee you later, Wahanuki.\Thanks to that man, it's gotten quite late.\Let's reschedule our appointment for tomorrow, after I get home.\Certainly.\Please take care. response:	Ha, yeah, thanks.
context: Karuta! Karuta!\Karuta!\Shee you later, Wahanuki.\Thanks to that man, it's gotten quite late.\Let's reschedule our appointment for tomorrow, after I get home.\Certainly.\Please take care.\Ha, yeah, thanks. response:	I guess I'll ask you to take me home afterward, as well.
context: Karuta!\Shee you later, Wahanuki.\Thanks to that man, it's gotten quite late.\Let's reschedule our appointment for tomorrow, after I get home.\Certainly.\Please take care.\Ha, yeah, thanks.\I guess I'll ask you to take me home afterward, as well. response:	I didn't see her in the lounge.
context: Shee you later, Wahanuki.\Thanks to that man, it's gotten quite late.\Let's reschedule our appointment for tomorrow, after I get home.\Certainly.\Please take care.\Ha, yeah, thanks.\I guess I'll ask you to take me home afterward, as well.\I didn't see her in the lounge. response:	I wonder if Roromiya just stayed with him.
context: Thanks to that man, it's gotten quite late.\Let's reschedule our appointment for tomorrow, after I get home.\Certainly.\Please take care.\Ha, yeah, thanks.\I guess I'll ask you to take me home afterward, as well.\I didn't see her in the lounge.\I wonder if Roromiya just stayed with him. response:	I went to her room this morning, but she wasn't there.
context: Let's reschedule our appointment for tomorrow, after I get home.\Certainly.\Please take care.\Ha, yeah, thanks.\I guess I'll ask you to take me home afterward, as well.\I didn't see her in the lounge.\I wonder if Roromiya just stayed with him.\I went to her room this morning, but she wasn't there. response:	I thought that maybe she'd just left early for school.
context: Certainly.\Please take care.\Ha, yeah, thanks.\I guess I'll ask you to take me home afterward, as well.\I didn't see her in the lounge.\I wonder if Roromiya just stayed with him.\I went to her room this morning, but she wasn't there.\I thought that maybe she'd just left early for school. response:	He told me he had something important
context: Please take care.\Ha, yeah, thanks.\I guess I'll ask you to take me home afterward, as well.\I didn't see her in the lounge.\I wonder if Roromiya just stayed with him.\I went to her room this morning, but she wasn't there.\I thought that maybe she'd just left early for school.\He told me he had something important response:	to discuss with me last time he came, also.
context: Ha, yeah, thanks.\I guess I'll ask you to take me home afterward, as well.\I didn't see her in the lounge.\I wonder if Roromiya just stayed with him.\I went to her room this morning, but she wasn't there.\I thought that maybe she'd just left early for school.\He told me he had something important\to discuss with me last time he came, also. response:	What could it be?
context: I guess I'll ask you to take me home afterward, as well.\I didn't see her in the lounge.\I wonder if Roromiya just stayed with him.\I went to her room this morning, but she wasn't there.\I thought that maybe she'd just left early for school.\He told me he had something important\to discuss with me last time he came, also.\What could it be? response:	And as the Assyrian Empire flourished...
context: I didn't see her in the lounge.\I wonder if Roromiya just stayed with him.\I went to her room this morning, but she wasn't there.\I thought that maybe she'd just left early for school.\He told me he had something important\to discuss with me last time he came, also.\What could it be?\And as the Assyrian Empire flourished... response:	Am I not Soushi's old master and your fiance?
context: I wonder if Roromiya just stayed with him.\I went to her room this morning, but she wasn't there.\I thought that maybe she'd just left early for school.\He told me he had something important\to discuss with me last time he came, also.\What could it be?\And as the Assyrian Empire flourished...\Am I not Soushi's old master and your fiance? response:	That's right. Miketsukami already knows
context: I went to her room this morning, but she wasn't there.\I thought that maybe she'd just left early for school.\He told me he had something important\to discuss with me last time he came, also.\What could it be?\And as the Assyrian Empire flourished...\Am I not Soushi's old master and your fiance?\That's right. Miketsukami already knows response:	that he's my fiance.
context: I thought that maybe she'd just left early for school.\He told me he had something important\to discuss with me last time he came, also.\What could it be?\And as the Assyrian Empire flourished...\Am I not Soushi's old master and your fiance?\That's right. Miketsukami already knows\that he's my fiance. response:	And yet,
context: He told me he had something important\to discuss with me last time he came, also.\What could it be?\And as the Assyrian Empire flourished...\Am I not Soushi's old master and your fiance?\That's right. Miketsukami already knows\that he's my fiance.\And yet, response:	he's never brought it up.
context: to discuss with me last time he came, also.\What could it be?\And as the Assyrian Empire flourished...\Am I not Soushi's old master and your fiance?\That's right. Miketsukami already knows\that he's my fiance.\And yet,\he's never brought it up. response:	Does that mean he isn't interested in me that way?
context: What could it be?\And as the Assyrian Empire flourished...\Am I not Soushi's old master and your fiance?\That's right. Miketsukami already knows\that he's my fiance.\And yet,\he's never brought it up.\Does that mean he isn't interested in me that way? response:	I can't believe
context: And as the Assyrian Empire flourished...\Am I not Soushi's old master and your fiance?\That's right. Miketsukami already knows\that he's my fiance.\And yet,\he's never brought it up.\Does that mean he isn't interested in me that way?\I can't believe response:	you got engaged to that guy...
context: Am I not Soushi's old master and your fiance?\That's right. Miketsukami already knows\that he's my fiance.\And yet,\he's never brought it up.\Does that mean he isn't interested in me that way?\I can't believe\you got engaged to that guy... response:	It's something our parents decided.
context: That's right. Miketsukami already knows\that he's my fiance.\And yet,\he's never brought it up.\Does that mean he isn't interested in me that way?\I can't believe\you got engaged to that guy...\It's something our parents decided. response:	But weren't you writing to each other?
context: that he's my fiance.\And yet,\he's never brought it up.\Does that mean he isn't interested in me that way?\I can't believe\you got engaged to that guy...\It's something our parents decided.\But weren't you writing to each other? response:	Not really...
context: And yet,\he's never brought it up.\Does that mean he isn't interested in me that way?\I can't believe\you got engaged to that guy...\It's something our parents decided.\But weren't you writing to each other?\Not really... response:	It wasn't like there was anything I wanted to say to him.
context: he's never brought it up.\Does that mean he isn't interested in me that way?\I can't believe\you got engaged to that guy...\It's something our parents decided.\But weren't you writing to each other?\Not really...\It wasn't like there was anything I wanted to say to him. response:	I wrote to him
context: Does that mean he isn't interested in me that way?\I can't believe\you got engaged to that guy...\It's something our parents decided.\But weren't you writing to each other?\Not really...\It wasn't like there was anything I wanted to say to him.\I wrote to him response:	every day...
context: I can't believe\you got engaged to that guy...\It's something our parents decided.\But weren't you writing to each other?\Not really...\It wasn't like there was anything I wanted to say to him.\I wrote to him\every day... response:	I would run home from school, as if I were escaping.
context: you got engaged to that guy...\It's something our parents decided.\But weren't you writing to each other?\Not really...\It wasn't like there was anything I wanted to say to him.\I wrote to him\every day...\I would run home from school, as if I were escaping. response:	But then, I couldn't stand to be at home, either.
context: It's something our parents decided.\But weren't you writing to each other?\Not really...\It wasn't like there was anything I wanted to say to him.\I wrote to him\every day...\I would run home from school, as if I were escaping.\But then, I couldn't stand to be at home, either. response:	So I stood in front of the mailbox...
context: But weren't you writing to each other?\Not really...\It wasn't like there was anything I wanted to say to him.\I wrote to him\every day...\I would run home from school, as if I were escaping.\But then, I couldn't stand to be at home, either.\So I stood in front of the mailbox... response:	As if I were praying.
context: Not really...\It wasn't like there was anything I wanted to say to him.\I wrote to him\every day...\I would run home from school, as if I were escaping.\But then, I couldn't stand to be at home, either.\So I stood in front of the mailbox...\As if I were praying. response:	That little letter contained words
context: It wasn't like there was anything I wanted to say to him.\I wrote to him\every day...\I would run home from school, as if I were escaping.\But then, I couldn't stand to be at home, either.\So I stood in front of the mailbox...\As if I were praying.\That little letter contained words response:	and sentences meant just for me.
context: I wrote to him\every day...\I would run home from school, as if I were escaping.\But then, I couldn't stand to be at home, either.\So I stood in front of the mailbox...\As if I were praying.\That little letter contained words\and sentences meant just for me. response:	That alone made me happy.
context: every day...\I would run home from school, as if I were escaping.\But then, I couldn't stand to be at home, either.\So I stood in front of the mailbox...\As if I were praying.\That little letter contained words\and sentences meant just for me.\That alone made me happy. response:	But...
context: I would run home from school, as if I were escaping.\But then, I couldn't stand to be at home, either.\So I stood in front of the mailbox...\As if I were praying.\That little letter contained words\and sentences meant just for me.\That alone made me happy.\But... response:	Bye!
context: But then, I couldn't stand to be at home, either.\So I stood in front of the mailbox...\As if I were praying.\That little letter contained words\and sentences meant just for me.\That alone made me happy.\But...\Bye! response:	Let's grab something to eat.
context: So I stood in front of the mailbox...\As if I were praying.\That little letter contained words\and sentences meant just for me.\That alone made me happy.\But...\Bye!\Let's grab something to eat. response:	But I'd forgotten about the letters.
context: As if I were praying.\That little letter contained words\and sentences meant just for me.\That alone made me happy.\But...\Bye!\Let's grab something to eat.\But I'd forgotten about the letters. response:	After all, that man...
context: That little letter contained words\and sentences meant just for me.\That alone made me happy.\But...\Bye!\Let's grab something to eat.\But I'd forgotten about the letters.\After all, that man... response:	My fiancee, we met most recently but last night!
context: and sentences meant just for me.\That alone made me happy.\But...\Bye!\Let's grab something to eat.\But I'd forgotten about the letters.\After all, that man...\My fiancee, we met most recently but last night! response:	I have come to fetch you in person!
context: That alone made me happy.\But...\Bye!\Let's grab something to eat.\But I'd forgotten about the letters.\After all, that man...\My fiancee, we met most recently but last night!\I have come to fetch you in person! response:	Wh-Why you?
context: But...\Bye!\Let's grab something to eat.\But I'd forgotten about the letters.\After all, that man...\My fiancee, we met most recently but last night!\I have come to fetch you in person!\Wh-Why you? response:	I shall treat you to Chinese food, my fiancee!
context: Bye!\Let's grab something to eat.\But I'd forgotten about the letters.\After all, that man...\My fiancee, we met most recently but last night!\I have come to fetch you in person!\Wh-Why you?\I shall treat you to Chinese food, my fiancee! response:	That's not the...
context: Let's grab something to eat.\But I'd forgotten about the letters.\After all, that man...\My fiancee, we met most recently but last night!\I have come to fetch you in person!\Wh-Why you?\I shall treat you to Chinese food, my fiancee!\That's not the... response:	Roromiya?
context: But I'd forgotten about the letters.\After all, that man...\My fiancee, we met most recently but last night!\I have come to fetch you in person!\Wh-Why you?\I shall treat you to Chinese food, my fiancee!\That's not the...\Roromiya? response:	Karuta!
context: After all, that man...\My fiancee, we met most recently but last night!\I have come to fetch you in person!\Wh-Why you?\I shall treat you to Chinese food, my fiancee!\That's not the...\Roromiya?\Karuta! response:	Are you all right?
context: My fiancee, we met most recently but last night!\I have come to fetch you in person!\Wh-Why you?\I shall treat you to Chinese food, my fiancee!\That's not the...\Roromiya?\Karuta!\Are you all right? response:	Peking duck!
context: I have come to fetch you in person!\Wh-Why you?\I shall treat you to Chinese food, my fiancee!\That's not the...\Roromiya?\Karuta!\Are you all right?\Peking duck! response:	That's the first thing out of your mouth?!
context: Wh-Why you?\I shall treat you to Chinese food, my fiancee!\That's not the...\Roromiya?\Karuta!\Are you all right?\Peking duck!\That's the first thing out of your mouth?! response:	Let me out!
context: I shall treat you to Chinese food, my fiancee!\That's not the...\Roromiya?\Karuta!\Are you all right?\Peking duck!\That's the first thing out of your mouth?!\Let me out! response:	This is kidnapping!
context: That's not the...\Roromiya?\Karuta!\Are you all right?\Peking duck!\That's the first thing out of your mouth?!\Let me out!\This is kidnapping! response:	Let's go!
context: Roromiya?\Karuta!\Are you all right?\Peking duck!\That's the first thing out of your mouth?!\Let me out!\This is kidnapping!\Let's go! response:	Peking duck!
context: Karuta!\Are you all right?\Peking duck!\That's the first thing out of your mouth?!\Let me out!\This is kidnapping!\Let's go!\Peking duck! response:	This isn't funny anymore!
context: Are you all right?\Peking duck!\That's the first thing out of your mouth?!\Let me out!\This is kidnapping!\Let's go!\Peking duck!\This isn't funny anymore! response:	I was waiting for Miketsukami
context: Peking duck!\That's the first thing out of your mouth?!\Let me out!\This is kidnapping!\Let's go!\Peking duck!\This isn't funny anymore!\I was waiting for Miketsukami response:	He isn't coming.
context: That's the first thing out of your mouth?!\Let me out!\This is kidnapping!\Let's go!\Peking duck!\This isn't funny anymore!\I was waiting for Miketsukami\He isn't coming. response:	I told him not to bother since I'm taking my fiancee for dinner.
context: Let me out!\This is kidnapping!\Let's go!\Peking duck!\This isn't funny anymore!\I was waiting for Miketsukami\He isn't coming.\I told him not to bother since I'm taking my fiancee for dinner. response:	Our coffee appointment...
context: This is kidnapping!\Let's go!\Peking duck!\This isn't funny anymore!\I was waiting for Miketsukami\He isn't coming.\I told him not to bother since I'm taking my fiancee for dinner.\Our coffee appointment... response:	How dare you?!
context: Let's go!\Peking duck!\This isn't funny anymore!\I was waiting for Miketsukami\He isn't coming.\I told him not to bother since I'm taking my fiancee for dinner.\Our coffee appointment...\How dare you?! response:	Fiancee? Please!
context: Peking duck!\This isn't funny anymore!\I was waiting for Miketsukami\He isn't coming.\I told him not to bother since I'm taking my fiancee for dinner.\Our coffee appointment...\How dare you?!\Fiancee? Please! response:	I have no intention of upholding that agreement!
context: This isn't funny anymore!\I was waiting for Miketsukami\He isn't coming.\I told him not to bother since I'm taking my fiancee for dinner.\Our coffee appointment...\How dare you?!\Fiancee? Please!\I have no intention of upholding that agreement! response:	Why are you so angry?
context: I was waiting for Miketsukami\He isn't coming.\I told him not to bother since I'm taking my fiancee for dinner.\Our coffee appointment...\How dare you?!\Fiancee? Please!\I have no intention of upholding that agreement!\Why are you so angry? response:	He and I are not so different.
context: He isn't coming.\I told him not to bother since I'm taking my fiancee for dinner.\Our coffee appointment...\How dare you?!\Fiancee? Please!\I have no intention of upholding that agreement!\Why are you so angry?\He and I are not so different. response:	Yeah, right!
context: I told him not to bother since I'm taking my fiancee for dinner.\Our coffee appointment...\How dare you?!\Fiancee? Please!\I have no intention of upholding that agreement!\Why are you so angry?\He and I are not so different.\Yeah, right! response:	Don't play dumb!
context: Our coffee appointment...\How dare you?!\Fiancee? Please!\I have no intention of upholding that agreement!\Why are you so angry?\He and I are not so different.\Yeah, right!\Don't play dumb! response:	I told you before.
context: How dare you?!\Fiancee? Please!\I have no intention of upholding that agreement!\Why are you so angry?\He and I are not so different.\Yeah, right!\Don't play dumb!\I told you before. response:	He's a sadist, just like I am.
context: Fiancee? Please!\I have no intention of upholding that agreement!\Why are you so angry?\He and I are not so different.\Yeah, right!\Don't play dumb!\I told you before.\He's a sadist, just like I am. response:	Stop fitting people into your little world.
context: I have no intention of upholding that agreement!\Why are you so angry?\He and I are not so different.\Yeah, right!\Don't play dumb!\I told you before.\He's a sadist, just like I am.\Stop fitting people into your little world. response:	I'm sure I've told you that before!
context: Why are you so angry?\He and I are not so different.\Yeah, right!\Don't play dumb!\I told you before.\He's a sadist, just like I am.\Stop fitting people into your little world.\I'm sure I've told you that before! response:	It isn't merely my world.
context: He and I are not so different.\Yeah, right!\Don't play dumb!\I told you before.\He's a sadist, just like I am.\Stop fitting people into your little world.\I'm sure I've told you that before!\It isn't merely my world. response:	Everything can be divided by masochism or sadism.
context: Yeah, right!\Don't play dumb!\I told you before.\He's a sadist, just like I am.\Stop fitting people into your little world.\I'm sure I've told you that before!\It isn't merely my world.\Everything can be divided by masochism or sadism. response:	As I'm sure I've said.
context: Don't play dumb!\I told you before.\He's a sadist, just like I am.\Stop fitting people into your little world.\I'm sure I've told you that before!\It isn't merely my world.\Everything can be divided by masochism or sadism.\As I'm sure I've said. response:	By the way...
