context: Operation: Infiltrate a Planetoid Base response:	They're fast! I can't process their data quick enough!
context: Yo!\You weren't looking too hot out there, huh?\Freakin' out after that string of losses?\Your training session is over.\Team Rabbits, everyone is to submit your\own personal analysis on why you lost.\Assemble in the Meeting Room in 30 minutes with Team Doberman.\Over. response:	See ya later.
context: You weren't looking too hot out there, huh?\Freakin' out after that string of losses?\Your training session is over.\Team Rabbits, everyone is to submit your\own personal analysis on why you lost.\Assemble in the Meeting Room in 30 minutes with Team Doberman.\Over.\See ya later. response:	Sirs, thank you for the lesson!
context: Freakin' out after that string of losses?\Your training session is over.\Team Rabbits, everyone is to submit your\own personal analysis on why you lost.\Assemble in the Meeting Room in 30 minutes with Team Doberman.\Over.\See ya later.\Sirs, thank you for the lesson! response:	That's Team Doberman for ya!
context: Your training session is over.\Team Rabbits, everyone is to submit your\own personal analysis on why you lost.\Assemble in the Meeting Room in 30 minutes with Team Doberman.\Over.\See ya later.\Sirs, thank you for the lesson!\That's Team Doberman for ya! response:	They're scary!
context: Team Rabbits, everyone is to submit your\own personal analysis on why you lost.\Assemble in the Meeting Room in 30 minutes with Team Doberman.\Over.\See ya later.\Sirs, thank you for the lesson!\That's Team Doberman for ya!\They're scary! response:	Weren't they also students here?
context: own personal analysis on why you lost.\Assemble in the Meeting Room in 30 minutes with Team Doberman.\Over.\See ya later.\Sirs, thank you for the lesson!\That's Team Doberman for ya!\They're scary!\Weren't they also students here? response:	Supposedly they were highly accomplished.
context: Assemble in the Meeting Room in 30 minutes with Team Doberman.\Over.\See ya later.\Sirs, thank you for the lesson!\That's Team Doberman for ya!\They're scary!\Weren't they also students here?\Supposedly they were highly accomplished. response:	A joint meeting...
context: Over.\See ya later.\Sirs, thank you for the lesson!\That's Team Doberman for ya!\They're scary!\Weren't they also students here?\Supposedly they were highly accomplished.\A joint meeting... response:	Does that mean we're working with them on our next mission?
context: See ya later.\Sirs, thank you for the lesson!\That's Team Doberman for ya!\They're scary!\Weren't they also students here?\Supposedly they were highly accomplished.\A joint meeting...\Does that mean we're working with them on our next mission? response:	That'd be super awesome! All three dudes are stud muffins!
context: Sirs, thank you for the lesson!\That's Team Doberman for ya!\They're scary!\Weren't they also students here?\Supposedly they were highly accomplished.\A joint meeting...\Does that mean we're working with them on our next mission?\That'd be super awesome! All three dudes are stud muffins! response:	I'm amazed you can act so carefree
context: That's Team Doberman for ya!\They're scary!\Weren't they also students here?\Supposedly they were highly accomplished.\A joint meeting...\Does that mean we're working with them on our next mission?\That'd be super awesome! All three dudes are stud muffins!\I'm amazed you can act so carefree response:	after nearly getting killed in that last mission.
context: They're scary!\Weren't they also students here?\Supposedly they were highly accomplished.\A joint meeting...\Does that mean we're working with them on our next mission?\That'd be super awesome! All three dudes are stud muffins!\I'm amazed you can act so carefree\after nearly getting killed in that last mission. response:	Fear and romance are two different things!
context: Weren't they also students here?\Supposedly they were highly accomplished.\A joint meeting...\Does that mean we're working with them on our next mission?\That'd be super awesome! All three dudes are stud muffins!\I'm amazed you can act so carefree\after nearly getting killed in that last mission.\Fear and romance are two different things! response:	Man!
context: Supposedly they were highly accomplished.\A joint meeting...\Does that mean we're working with them on our next mission?\That'd be super awesome! All three dudes are stud muffins!\I'm amazed you can act so carefree\after nearly getting killed in that last mission.\Fear and romance are two different things!\Man! response:	I guess the Fail Five are still the Fail Five, huh?
context: A joint meeting...\Does that mean we're working with them on our next mission?\That'd be super awesome! All three dudes are stud muffins!\I'm amazed you can act so carefree\after nearly getting killed in that last mission.\Fear and romance are two different things!\Man!\I guess the Fail Five are still the Fail Five, huh? response:	How come they get to pilot cutting-edge fighters?
context: Does that mean we're working with them on our next mission?\That'd be super awesome! All three dudes are stud muffins!\I'm amazed you can act so carefree\after nearly getting killed in that last mission.\Fear and romance are two different things!\Man!\I guess the Fail Five are still the Fail Five, huh?\How come they get to pilot cutting-edge fighters? response:	My entrance may come surprisingly soon...
context: That'd be super awesome! All three dudes are stud muffins!\I'm amazed you can act so carefree\after nearly getting killed in that last mission.\Fear and romance are two different things!\Man!\I guess the Fail Five are still the Fail Five, huh?\How come they get to pilot cutting-edge fighters?\My entrance may come surprisingly soon... response:	I thought my Likeability Stats would go up after becoming a wee bit famous.
context: I'm amazed you can act so carefree\after nearly getting killed in that last mission.\Fear and romance are two different things!\Man!\I guess the Fail Five are still the Fail Five, huh?\How come they get to pilot cutting-edge fighters?\My entrance may come surprisingly soon...\I thought my Likeability Stats would go up after becoming a wee bit famous. response:	You can't blame them for feeling that way.
context: after nearly getting killed in that last mission.\Fear and romance are two different things!\Man!\I guess the Fail Five are still the Fail Five, huh?\How come they get to pilot cutting-edge fighters?\My entrance may come surprisingly soon...\I thought my Likeability Stats would go up after becoming a wee bit famous.\You can't blame them for feeling that way. response:	When you get down to it, our team only won that very first battle.
context: Fear and romance are two different things!\Man!\I guess the Fail Five are still the Fail Five, huh?\How come they get to pilot cutting-edge fighters?\My entrance may come surprisingly soon...\I thought my Likeability Stats would go up after becoming a wee bit famous.\You can't blame them for feeling that way.\When you get down to it, our team only won that very first battle. response:	They're blasting us on the internet again...
context: Man!\I guess the Fail Five are still the Fail Five, huh?\How come they get to pilot cutting-edge fighters?\My entrance may come surprisingly soon...\I thought my Likeability Stats would go up after becoming a wee bit famous.\You can't blame them for feeling that way.\When you get down to it, our team only won that very first battle.\They're blasting us on the internet again... response:	Don't bring that up. You'll give me another ulcer.
context: I guess the Fail Five are still the Fail Five, huh?\How come they get to pilot cutting-edge fighters?\My entrance may come surprisingly soon...\I thought my Likeability Stats would go up after becoming a wee bit famous.\You can't blame them for feeling that way.\When you get down to it, our team only won that very first battle.\They're blasting us on the internet again...\Don't bring that up. You'll give me another ulcer. response:	Your AHSMB units have been fully repaired.
context: How come they get to pilot cutting-edge fighters?\My entrance may come surprisingly soon...\I thought my Likeability Stats would go up after becoming a wee bit famous.\You can't blame them for feeling that way.\When you get down to it, our team only won that very first battle.\They're blasting us on the internet again...\Don't bring that up. You'll give me another ulcer.\Your AHSMB units have been fully repaired. response:	You will be transferring to Star Rose tomorrow.
context: My entrance may come surprisingly soon...\I thought my Likeability Stats would go up after becoming a wee bit famous.\You can't blame them for feeling that way.\When you get down to it, our team only won that very first battle.\They're blasting us on the internet again...\Don't bring that up. You'll give me another ulcer.\Your AHSMB units have been fully repaired.\You will be transferring to Star Rose tomorrow. response:	Upon arrival, we will commence a co-op mission.
context: I thought my Likeability Stats would go up after becoming a wee bit famous.\You can't blame them for feeling that way.\When you get down to it, our team only won that very first battle.\They're blasting us on the internet again...\Don't bring that up. You'll give me another ulcer.\Your AHSMB units have been fully repaired.\You will be transferring to Star Rose tomorrow.\Upon arrival, we will commence a co-op mission. response:	What's the matter?
context: You can't blame them for feeling that way.\When you get down to it, our team only won that very first battle.\They're blasting us on the internet again...\Don't bring that up. You'll give me another ulcer.\Your AHSMB units have been fully repaired.\You will be transferring to Star Rose tomorrow.\Upon arrival, we will commence a co-op mission.\What's the matter? response:	Ma'am, what if we fail again...?
context: When you get down to it, our team only won that very first battle.\They're blasting us on the internet again...\Don't bring that up. You'll give me another ulcer.\Your AHSMB units have been fully repaired.\You will be transferring to Star Rose tomorrow.\Upon arrival, we will commence a co-op mission.\What's the matter?\Ma'am, what if we fail again...? response:	Thinking like that will only hinder your performance!
context: They're blasting us on the internet again...\Don't bring that up. You'll give me another ulcer.\Your AHSMB units have been fully repaired.\You will be transferring to Star Rose tomorrow.\Upon arrival, we will commence a co-op mission.\What's the matter?\Ma'am, what if we fail again...?\Thinking like that will only hinder your performance! response:	You'll be fine!
context: Don't bring that up. You'll give me another ulcer.\Your AHSMB units have been fully repaired.\You will be transferring to Star Rose tomorrow.\Upon arrival, we will commence a co-op mission.\What's the matter?\Ma'am, what if we fail again...?\Thinking like that will only hinder your performance!\You'll be fine! response:	This time you've got Team Doberman with you.
context: Your AHSMB units have been fully repaired.\You will be transferring to Star Rose tomorrow.\Upon arrival, we will commence a co-op mission.\What's the matter?\Ma'am, what if we fail again...?\Thinking like that will only hinder your performance!\You'll be fine!\This time you've got Team Doberman with you. response:	Lt. Commander, I have a question!
context: You will be transferring to Star Rose tomorrow.\Upon arrival, we will commence a co-op mission.\What's the matter?\Ma'am, what if we fail again...?\Thinking like that will only hinder your performance!\You'll be fine!\This time you've got Team Doberman with you.\Lt. Commander, I have a question! response:	I've been meaning to ask this for some time.
context: Upon arrival, we will commence a co-op mission.\What's the matter?\Ma'am, what if we fail again...?\Thinking like that will only hinder your performance!\You'll be fine!\This time you've got Team Doberman with you.\Lt. Commander, I have a question!\I've been meaning to ask this for some time. response:	Go ahead, Lieutenant.
context: What's the matter?\Ma'am, what if we fail again...?\Thinking like that will only hinder your performance!\You'll be fine!\This time you've got Team Doberman with you.\Lt. Commander, I have a question!\I've been meaning to ask this for some time.\Go ahead, Lieutenant. response:	Please tell me your personal address and when you're off duty.
context: Ma'am, what if we fail again...?\Thinking like that will only hinder your performance!\You'll be fine!\This time you've got Team Doberman with you.\Lt. Commander, I have a question!\I've been meaning to ask this for some time.\Go ahead, Lieutenant.\Please tell me your personal address and when you're off duty. response:	Randy, we're in the middle of a meeting!
context: Thinking like that will only hinder your performance!\You'll be fine!\This time you've got Team Doberman with you.\Lt. Commander, I have a question!\I've been meaning to ask this for some time.\Go ahead, Lieutenant.\Please tell me your personal address and when you're off duty.\Randy, we're in the middle of a meeting! response:	You shouldn't ask such shameless questions.
context: You'll be fine!\This time you've got Team Doberman with you.\Lt. Commander, I have a question!\I've been meaning to ask this for some time.\Go ahead, Lieutenant.\Please tell me your personal address and when you're off duty.\Randy, we're in the middle of a meeting!\You shouldn't ask such shameless questions. response:	Don't be such a stiff!
context: This time you've got Team Doberman with you.\Lt. Commander, I have a question!\I've been meaning to ask this for some time.\Go ahead, Lieutenant.\Please tell me your personal address and when you're off duty.\Randy, we're in the middle of a meeting!\You shouldn't ask such shameless questions.\Don't be such a stiff! response:	If ya don't ask stuff like this when you can,
context: Lt. Commander, I have a question!\I've been meaning to ask this for some time.\Go ahead, Lieutenant.\Please tell me your personal address and when you're off duty.\Randy, we're in the middle of a meeting!\You shouldn't ask such shameless questions.\Don't be such a stiff!\If ya don't ask stuff like this when you can, response:	you could forever miss the boat!
context: I've been meaning to ask this for some time.\Go ahead, Lieutenant.\Please tell me your personal address and when you're off duty.\Randy, we're in the middle of a meeting!\You shouldn't ask such shameless questions.\Don't be such a stiff!\If ya don't ask stuff like this when you can,\you could forever miss the boat! response:	With you as our clown of a leader,
context: Go ahead, Lieutenant.\Please tell me your personal address and when you're off duty.\Randy, we're in the middle of a meeting!\You shouldn't ask such shameless questions.\Don't be such a stiff!\If ya don't ask stuff like this when you can,\you could forever miss the boat!\With you as our clown of a leader, response:	people keep calling us the Bummer Three,
context: Please tell me your personal address and when you're off duty.\Randy, we're in the middle of a meeting!\You shouldn't ask such shameless questions.\Don't be such a stiff!\If ya don't ask stuff like this when you can,\you could forever miss the boat!\With you as our clown of a leader,\people keep calling us the Bummer Three, response:	the Comedic Three and Trio Dobermans.
context: Randy, we're in the middle of a meeting!\You shouldn't ask such shameless questions.\Don't be such a stiff!\If ya don't ask stuff like this when you can,\you could forever miss the boat!\With you as our clown of a leader,\people keep calling us the Bummer Three,\the Comedic Three and Trio Dobermans. response:	The Bummer Three?
context: You shouldn't ask such shameless questions.\Don't be such a stiff!\If ya don't ask stuff like this when you can,\you could forever miss the boat!\With you as our clown of a leader,\people keep calling us the Bummer Three,\the Comedic Three and Trio Dobermans.\The Bummer Three? response:	Just what I'd expect from our seniors!
context: Don't be such a stiff!\If ya don't ask stuff like this when you can,\you could forever miss the boat!\With you as our clown of a leader,\people keep calling us the Bummer Three,\the Comedic Three and Trio Dobermans.\The Bummer Three?\Just what I'd expect from our seniors! response:	What's wrong with being the Bummer Three?!
context: If ya don't ask stuff like this when you can,\you could forever miss the boat!\With you as our clown of a leader,\people keep calling us the Bummer Three,\the Comedic Three and Trio Dobermans.\The Bummer Three?\Just what I'd expect from our seniors!\What's wrong with being the Bummer Three?! response:	And why do you always act like you're better than me?!
context: you could forever miss the boat!\With you as our clown of a leader,\people keep calling us the Bummer Three,\the Comedic Three and Trio Dobermans.\The Bummer Three?\Just what I'd expect from our seniors!\What's wrong with being the Bummer Three?!\And why do you always act like you're better than me?! response:	Just because we're classmates doesn't mean you can walk all over me!
context: With you as our clown of a leader,\people keep calling us the Bummer Three,\the Comedic Three and Trio Dobermans.\The Bummer Three?\Just what I'd expect from our seniors!\What's wrong with being the Bummer Three?!\And why do you always act like you're better than me?!\Just because we're classmates doesn't mean you can walk all over me! response:	It's the sub-leader's job to guide the leader down the right path.
context: people keep calling us the Bummer Three,\the Comedic Three and Trio Dobermans.\The Bummer Three?\Just what I'd expect from our seniors!\What's wrong with being the Bummer Three?!\And why do you always act like you're better than me?!\Just because we're classmates doesn't mean you can walk all over me!\It's the sub-leader's job to guide the leader down the right path. response:	What are you, the disciplinary committee?!
context: the Comedic Three and Trio Dobermans.\The Bummer Three?\Just what I'd expect from our seniors!\What's wrong with being the Bummer Three?!\And why do you always act like you're better than me?!\Just because we're classmates doesn't mean you can walk all over me!\It's the sub-leader's job to guide the leader down the right path.\What are you, the disciplinary committee?! response:	Pardon?
context: The Bummer Three?\Just what I'd expect from our seniors!\What's wrong with being the Bummer Three?!\And why do you always act like you're better than me?!\Just because we're classmates doesn't mean you can walk all over me!\It's the sub-leader's job to guide the leader down the right path.\What are you, the disciplinary committee?!\Pardon? response:	Why must you always act so cool?!
context: Just what I'd expect from our seniors!\What's wrong with being the Bummer Three?!\And why do you always act like you're better than me?!\Just because we're classmates doesn't mean you can walk all over me!\It's the sub-leader's job to guide the leader down the right path.\What are you, the disciplinary committee?!\Pardon?\Why must you always act so cool?! response:	What are you going on about in the middle of a meeting?
context: What's wrong with being the Bummer Three?!\And why do you always act like you're better than me?!\Just because we're classmates doesn't mean you can walk all over me!\It's the sub-leader's job to guide the leader down the right path.\What are you, the disciplinary committee?!\Pardon?\Why must you always act so cool?!\What are you going on about in the middle of a meeting? response:	Do you think you're on the Cool Committee?!
context: And why do you always act like you're better than me?!\Just because we're classmates doesn't mean you can walk all over me!\It's the sub-leader's job to guide the leader down the right path.\What are you, the disciplinary committee?!\Pardon?\Why must you always act so cool?!\What are you going on about in the middle of a meeting?\Do you think you're on the Cool Committee?! response:	Sorry, but I don't have time to play.
context: Just because we're classmates doesn't mean you can walk all over me!\It's the sub-leader's job to guide the leader down the right path.\What are you, the disciplinary committee?!\Pardon?\Why must you always act so cool?!\What are you going on about in the middle of a meeting?\Do you think you're on the Cool Committee?!\Sorry, but I don't have time to play. response:	You should try to act a bit more like a leader!
context: It's the sub-leader's job to guide the leader down the right path.\What are you, the disciplinary committee?!\Pardon?\Why must you always act so cool?!\What are you going on about in the middle of a meeting?\Do you think you're on the Cool Committee?!\Sorry, but I don't have time to play.\You should try to act a bit more like a leader! response:	Wh-what?!
context: What are you, the disciplinary committee?!\Pardon?\Why must you always act so cool?!\What are you going on about in the middle of a meeting?\Do you think you're on the Cool Committee?!\Sorry, but I don't have time to play.\You should try to act a bit more like a leader!\Wh-what?! response:	If there are no further questions, this meeting is adjourned.
context: Pardon?\Why must you always act so cool?!\What are you going on about in the middle of a meeting?\Do you think you're on the Cool Committee?!\Sorry, but I don't have time to play.\You should try to act a bit more like a leader!\Wh-what?!\If there are no further questions, this meeting is adjourned. response:	I'm sorry. My team always acts like this.
context: Why must you always act so cool?!\What are you going on about in the middle of a meeting?\Do you think you're on the Cool Committee?!\Sorry, but I don't have time to play.\You should try to act a bit more like a leader!\Wh-what?!\If there are no further questions, this meeting is adjourned.\I'm sorry. My team always acts like this. response:	I-I see...
context: What are you going on about in the middle of a meeting?\Do you think you're on the Cool Committee?!\Sorry, but I don't have time to play.\You should try to act a bit more like a leader!\Wh-what?!\If there are no further questions, this meeting is adjourned.\I'm sorry. My team always acts like this.\I-I see... response:	Quit acting like you're excluded from our antics!
context: Do you think you're on the Cool Committee?!\Sorry, but I don't have time to play.\You should try to act a bit more like a leader!\Wh-what?!\If there are no further questions, this meeting is adjourned.\I'm sorry. My team always acts like this.\I-I see...\Quit acting like you're excluded from our antics! response:	Ow, that hurts! Randy!
context: Sorry, but I don't have time to play.\You should try to act a bit more like a leader!\Wh-what?!\If there are no further questions, this meeting is adjourned.\I'm sorry. My team always acts like this.\I-I see...\Quit acting like you're excluded from our antics!\Ow, that hurts! Randy! response:	I give up! Uncle, uncle!
context: You should try to act a bit more like a leader!\Wh-what?!\If there are no further questions, this meeting is adjourned.\I'm sorry. My team always acts like this.\I-I see...\Quit acting like you're excluded from our antics!\Ow, that hurts! Randy!\I give up! Uncle, uncle! response:	Thank God they aren't as scary as I thought.
context: Wh-what?!\If there are no further questions, this meeting is adjourned.\I'm sorry. My team always acts like this.\I-I see...\Quit acting like you're excluded from our antics!\Ow, that hurts! Randy!\I give up! Uncle, uncle!\Thank God they aren't as scary as I thought. response:	What was that? I couldn't hear you?
context: If there are no further questions, this meeting is adjourned.\I'm sorry. My team always acts like this.\I-I see...\Quit acting like you're excluded from our antics!\Ow, that hurts! Randy!\I give up! Uncle, uncle!\Thank God they aren't as scary as I thought.\What was that? I couldn't hear you? response:	In fact, they're funny.
context: I'm sorry. My team always acts like this.\I-I see...\Quit acting like you're excluded from our antics!\Ow, that hurts! Randy!\I give up! Uncle, uncle!\Thank God they aren't as scary as I thought.\What was that? I couldn't hear you?\In fact, they're funny. response:	You want me to stop?
context: I-I see...\Quit acting like you're excluded from our antics!\Ow, that hurts! Randy!\I give up! Uncle, uncle!\Thank God they aren't as scary as I thought.\What was that? I couldn't hear you?\In fact, they're funny.\You want me to stop? response:	But they're still cool!
context: Quit acting like you're excluded from our antics!\Ow, that hurts! Randy!\I give up! Uncle, uncle!\Thank God they aren't as scary as I thought.\What was that? I couldn't hear you?\In fact, they're funny.\You want me to stop?\But they're still cool! response:	And they saved our hides!
context: Ow, that hurts! Randy!\I give up! Uncle, uncle!\Thank God they aren't as scary as I thought.\What was that? I couldn't hear you?\In fact, they're funny.\You want me to stop?\But they're still cool!\And they saved our hides! response:	They're totally the hero type!
context: I give up! Uncle, uncle!\Thank God they aren't as scary as I thought.\What was that? I couldn't hear you?\In fact, they're funny.\You want me to stop?\But they're still cool!\And they saved our hides!\They're totally the hero type! response:	I'll really let you have it next time!
context: Thank God they aren't as scary as I thought.\What was that? I couldn't hear you?\In fact, they're funny.\You want me to stop?\But they're still cool!\And they saved our hides!\They're totally the hero type!\I'll really let you have it next time! response:	I swear, you never change!
context: What was that? I couldn't hear you?\In fact, they're funny.\You want me to stop?\But they're still cool!\And they saved our hides!\They're totally the hero type!\I'll really let you have it next time!\I swear, you never change! response:	Neither do you!
