context: After all the trouble we went through response:	to restore the Seven Monsters back into humans,
context: That leaves three more.\I Won't Run From Love Anymore! Ami and Mamoru's Showdown\Hello, this is Mizuno.\Oh, is this Miss Ami? It's me, Urawa.\Oh, Ryo. It's been so long.\Ami, do you have a TV nearby?\Yes, I do, but...\Please turn it on immediately! response:	Popular Illustrator Missing!!
context: I Won't Run From Love Anymore! Ami and Mamoru's Showdown\Hello, this is Mizuno.\Oh, is this Miss Ami? It's me, Urawa.\Oh, Ryo. It's been so long.\Ami, do you have a TV nearby?\Yes, I do, but...\Please turn it on immediately!\Popular Illustrator Missing!! response:	With Miss Yumeno,
context: Hello, this is Mizuno.\Oh, is this Miss Ami? It's me, Urawa.\Oh, Ryo. It's been so long.\Ami, do you have a TV nearby?\Yes, I do, but...\Please turn it on immediately!\Popular Illustrator Missing!!\With Miss Yumeno, response:	five out of the former Seven Monsters are missing!
context: Oh, is this Miss Ami? It's me, Urawa.\Oh, Ryo. It's been so long.\Ami, do you have a TV nearby?\Yes, I do, but...\Please turn it on immediately!\Popular Illustrator Missing!!\With Miss Yumeno,\five out of the former Seven Monsters are missing! response:	Wait, Ryo...
context: Oh, Ryo. It's been so long.\Ami, do you have a TV nearby?\Yes, I do, but...\Please turn it on immediately!\Popular Illustrator Missing!!\With Miss Yumeno,\five out of the former Seven Monsters are missing!\Wait, Ryo... response:	And the next target is...
context: Ami, do you have a TV nearby?\Yes, I do, but...\Please turn it on immediately!\Popular Illustrator Missing!!\With Miss Yumeno,\five out of the former Seven Monsters are missing!\Wait, Ryo...\And the next target is... response:	Please believe me.
context: Yes, I do, but...\Please turn it on immediately!\Popular Illustrator Missing!!\With Miss Yumeno,\five out of the former Seven Monsters are missing!\Wait, Ryo...\And the next target is...\Please believe me. response:	This is something I found out
context: Please turn it on immediately!\Popular Illustrator Missing!!\With Miss Yumeno,\five out of the former Seven Monsters are missing!\Wait, Ryo...\And the next target is...\Please believe me.\This is something I found out response:	thanks to a residual ability to foresee the future.
context: Popular Illustrator Missing!!\With Miss Yumeno,\five out of the former Seven Monsters are missing!\Wait, Ryo...\And the next target is...\Please believe me.\This is something I found out\thanks to a residual ability to foresee the future. response:	Ryo, where are you now? I'll be there right away!
context: With Miss Yumeno,\five out of the former Seven Monsters are missing!\Wait, Ryo...\And the next target is...\Please believe me.\This is something I found out\thanks to a residual ability to foresee the future.\Ryo, where are you now? I'll be there right away! response:	No, you can't.
context: five out of the former Seven Monsters are missing!\Wait, Ryo...\And the next target is...\Please believe me.\This is something I found out\thanks to a residual ability to foresee the future.\Ryo, where are you now? I'll be there right away!\No, you can't. response:	If you meet me, you'll be involved in this trouble, too.
context: Wait, Ryo...\And the next target is...\Please believe me.\This is something I found out\thanks to a residual ability to foresee the future.\Ryo, where are you now? I'll be there right away!\No, you can't.\If you meet me, you'll be involved in this trouble, too. response:	More importantly, please protect Miss Rei's grandfather.
context: And the next target is...\Please believe me.\This is something I found out\thanks to a residual ability to foresee the future.\Ryo, where are you now? I'll be there right away!\No, you can't.\If you meet me, you'll be involved in this trouble, too.\More importantly, please protect Miss Rei's grandfather. response:	If you don't, something terrible will happen.
context: Please believe me.\This is something I found out\thanks to a residual ability to foresee the future.\Ryo, where are you now? I'll be there right away!\No, you can't.\If you meet me, you'll be involved in this trouble, too.\More importantly, please protect Miss Rei's grandfather.\If you don't, something terrible will happen. response:	Please, stop the Dark Kingdom from achieving their ambitions!
context: This is something I found out\thanks to a residual ability to foresee the future.\Ryo, where are you now? I'll be there right away!\No, you can't.\If you meet me, you'll be involved in this trouble, too.\More importantly, please protect Miss Rei's grandfather.\If you don't, something terrible will happen.\Please, stop the Dark Kingdom from achieving their ambitions! response:	Bye.
context: thanks to a residual ability to foresee the future.\Ryo, where are you now? I'll be there right away!\No, you can't.\If you meet me, you'll be involved in this trouble, too.\More importantly, please protect Miss Rei's grandfather.\If you don't, something terrible will happen.\Please, stop the Dark Kingdom from achieving their ambitions!\Bye. response:	Ryo?! Ryo! Bye.
context: Ryo, where are you now? I'll be there right away!\No, you can't.\If you meet me, you'll be involved in this trouble, too.\More importantly, please protect Miss Rei's grandfather.\If you don't, something terrible will happen.\Please, stop the Dark Kingdom from achieving their ambitions!\Bye.\Ryo?! Ryo! Bye. response:	Ryo?! Ryo!
context: No, you can't.\If you meet me, you'll be involved in this trouble, too.\More importantly, please protect Miss Rei's grandfather.\If you don't, something terrible will happen.\Please, stop the Dark Kingdom from achieving their ambitions!\Bye.\Ryo?! Ryo! Bye.\Ryo?! Ryo! response:	This is how it should be.
context: If you meet me, you'll be involved in this trouble, too.\More importantly, please protect Miss Rei's grandfather.\If you don't, something terrible will happen.\Please, stop the Dark Kingdom from achieving their ambitions!\Bye.\Ryo?! Ryo! Bye.\Ryo?! Ryo!\This is how it should be. response:	To be honest, I was going to ask for her help,
context: More importantly, please protect Miss Rei's grandfather.\If you don't, something terrible will happen.\Please, stop the Dark Kingdom from achieving their ambitions!\Bye.\Ryo?! Ryo! Bye.\Ryo?! Ryo!\This is how it should be.\To be honest, I was going to ask for her help, response:	but I can't trouble Miss Ami and her friends
context: If you don't, something terrible will happen.\Please, stop the Dark Kingdom from achieving their ambitions!\Bye.\Ryo?! Ryo! Bye.\Ryo?! Ryo!\This is how it should be.\To be honest, I was going to ask for her help,\but I can't trouble Miss Ami and her friends response:	any more than I already have.
context: Please, stop the Dark Kingdom from achieving their ambitions!\Bye.\Ryo?! Ryo! Bye.\Ryo?! Ryo!\This is how it should be.\To be honest, I was going to ask for her help,\but I can't trouble Miss Ami and her friends\any more than I already have. response:	Oh? Wasn't that...
context: Bye.\Ryo?! Ryo! Bye.\Ryo?! Ryo!\This is how it should be.\To be honest, I was going to ask for her help,\but I can't trouble Miss Ami and her friends\any more than I already have.\Oh? Wasn't that... response:	Yes, this is Makoto.
context: Ryo?! Ryo! Bye.\Ryo?! Ryo!\This is how it should be.\To be honest, I was going to ask for her help,\but I can't trouble Miss Ami and her friends\any more than I already have.\Oh? Wasn't that...\Yes, this is Makoto. response:	Mako, there's been an incident! Come to Hikawa Shrine, quick!
context: Ryo?! Ryo!\This is how it should be.\To be honest, I was going to ask for her help,\but I can't trouble Miss Ami and her friends\any more than I already have.\Oh? Wasn't that...\Yes, this is Makoto.\Mako, there's been an incident! Come to Hikawa Shrine, quick! response:	Oh, okay.
context: This is how it should be.\To be honest, I was going to ask for her help,\but I can't trouble Miss Ami and her friends\any more than I already have.\Oh? Wasn't that...\Yes, this is Makoto.\Mako, there's been an incident! Come to Hikawa Shrine, quick!\Oh, okay. response:	Queen Beryl, please tell me,
context: To be honest, I was going to ask for her help,\but I can't trouble Miss Ami and her friends\any more than I already have.\Oh? Wasn't that...\Yes, this is Makoto.\Mako, there's been an incident! Come to Hikawa Shrine, quick!\Oh, okay.\Queen Beryl, please tell me, response:	why are we gathering the former Seven Monsters now?
context: but I can't trouble Miss Ami and her friends\any more than I already have.\Oh? Wasn't that...\Yes, this is Makoto.\Mako, there's been an incident! Come to Hikawa Shrine, quick!\Oh, okay.\Queen Beryl, please tell me,\why are we gathering the former Seven Monsters now? response:	It is true, they were purified by the Crescent Moon Wand
context: any more than I already have.\Oh? Wasn't that...\Yes, this is Makoto.\Mako, there's been an incident! Come to Hikawa Shrine, quick!\Oh, okay.\Queen Beryl, please tell me,\why are we gathering the former Seven Monsters now?\It is true, they were purified by the Crescent Moon Wand response:	and turned back into their human forms.
context: Oh? Wasn't that...\Yes, this is Makoto.\Mako, there's been an incident! Come to Hikawa Shrine, quick!\Oh, okay.\Queen Beryl, please tell me,\why are we gathering the former Seven Monsters now?\It is true, they were purified by the Crescent Moon Wand\and turned back into their human forms. response:	However, by using the power
context: Yes, this is Makoto.\Mako, there's been an incident! Come to Hikawa Shrine, quick!\Oh, okay.\Queen Beryl, please tell me,\why are we gathering the former Seven Monsters now?\It is true, they were purified by the Crescent Moon Wand\and turned back into their human forms.\However, by using the power response:	of our dark energy and the Black Crystal,
context: Mako, there's been an incident! Come to Hikawa Shrine, quick!\Oh, okay.\Queen Beryl, please tell me,\why are we gathering the former Seven Monsters now?\It is true, they were purified by the Crescent Moon Wand\and turned back into their human forms.\However, by using the power\of our dark energy and the Black Crystal, response:	we can turn them back into monsters again.
context: Oh, okay.\Queen Beryl, please tell me,\why are we gathering the former Seven Monsters now?\It is true, they were purified by the Crescent Moon Wand\and turned back into their human forms.\However, by using the power\of our dark energy and the Black Crystal,\we can turn them back into monsters again. response:	But they were already defeated by the sailor warriors once.
context: Queen Beryl, please tell me,\why are we gathering the former Seven Monsters now?\It is true, they were purified by the Crescent Moon Wand\and turned back into their human forms.\However, by using the power\of our dark energy and the Black Crystal,\we can turn them back into monsters again.\But they were already defeated by the sailor warriors once. response:	Are they not useless to us?
context: why are we gathering the former Seven Monsters now?\It is true, they were purified by the Crescent Moon Wand\and turned back into their human forms.\However, by using the power\of our dark energy and the Black Crystal,\we can turn them back into monsters again.\But they were already defeated by the sailor warriors once.\Are they not useless to us? response:	You know nothing.
context: It is true, they were purified by the Crescent Moon Wand\and turned back into their human forms.\However, by using the power\of our dark energy and the Black Crystal,\we can turn them back into monsters again.\But they were already defeated by the sailor warriors once.\Are they not useless to us?\You know nothing. response:	Once the Seven Monsters are united together,
context: and turned back into their human forms.\However, by using the power\of our dark energy and the Black Crystal,\we can turn them back into monsters again.\But they were already defeated by the sailor warriors once.\Are they not useless to us?\You know nothing.\Once the Seven Monsters are united together, response:	they will merge into one being
context: However, by using the power\of our dark energy and the Black Crystal,\we can turn them back into monsters again.\But they were already defeated by the sailor warriors once.\Are they not useless to us?\You know nothing.\Once the Seven Monsters are united together,\they will merge into one being response:	and the biggest, most powerful monster will be born!
context: of our dark energy and the Black Crystal,\we can turn them back into monsters again.\But they were already defeated by the sailor warriors once.\Are they not useless to us?\You know nothing.\Once the Seven Monsters are united together,\they will merge into one being\and the biggest, most powerful monster will be born! response:	And when that happens,
context: we can turn them back into monsters again.\But they were already defeated by the sailor warriors once.\Are they not useless to us?\You know nothing.\Once the Seven Monsters are united together,\they will merge into one being\and the biggest, most powerful monster will be born!\And when that happens, response:	we will be able to put an end to the sailor warriors!
context: But they were already defeated by the sailor warriors once.\Are they not useless to us?\You know nothing.\Once the Seven Monsters are united together,\they will merge into one being\and the biggest, most powerful monster will be born!\And when that happens,\we will be able to put an end to the sailor warriors! response:	Then, all the more reason!
context: Are they not useless to us?\You know nothing.\Once the Seven Monsters are united together,\they will merge into one being\and the biggest, most powerful monster will be born!\And when that happens,\we will be able to put an end to the sailor warriors!\Then, all the more reason! response:	Why did you assign this task, not to me, but to Endymion?
context: You know nothing.\Once the Seven Monsters are united together,\they will merge into one being\and the biggest, most powerful monster will be born!\And when that happens,\we will be able to put an end to the sailor warriors!\Then, all the more reason!\Why did you assign this task, not to me, but to Endymion? response:	Do you have a problem with my decision, Kunzite?
context: Once the Seven Monsters are united together,\they will merge into one being\and the biggest, most powerful monster will be born!\And when that happens,\we will be able to put an end to the sailor warriors!\Then, all the more reason!\Why did you assign this task, not to me, but to Endymion?\Do you have a problem with my decision, Kunzite? response:	No, that is not what I meant.
context: they will merge into one being\and the biggest, most powerful monster will be born!\And when that happens,\we will be able to put an end to the sailor warriors!\Then, all the more reason!\Why did you assign this task, not to me, but to Endymion?\Do you have a problem with my decision, Kunzite?\No, that is not what I meant. response:	Then, let us sit back and watch Endymion's handiwork.
context: and the biggest, most powerful monster will be born!\And when that happens,\we will be able to put an end to the sailor warriors!\Then, all the more reason!\Why did you assign this task, not to me, but to Endymion?\Do you have a problem with my decision, Kunzite?\No, that is not what I meant.\Then, let us sit back and watch Endymion's handiwork. response:	Yes, my lady.
context: And when that happens,\we will be able to put an end to the sailor warriors!\Then, all the more reason!\Why did you assign this task, not to me, but to Endymion?\Do you have a problem with my decision, Kunzite?\No, that is not what I meant.\Then, let us sit back and watch Endymion's handiwork.\Yes, my lady. response:	Hikawa Shrine
context: we will be able to put an end to the sailor warriors!\Then, all the more reason!\Why did you assign this task, not to me, but to Endymion?\Do you have a problem with my decision, Kunzite?\No, that is not what I meant.\Then, let us sit back and watch Endymion's handiwork.\Yes, my lady.\Hikawa Shrine response:	I see.
context: Then, all the more reason!\Why did you assign this task, not to me, but to Endymion?\Do you have a problem with my decision, Kunzite?\No, that is not what I meant.\Then, let us sit back and watch Endymion's handiwork.\Yes, my lady.\Hikawa Shrine\I see. response:	I don't really know,
context: Why did you assign this task, not to me, but to Endymion?\Do you have a problem with my decision, Kunzite?\No, that is not what I meant.\Then, let us sit back and watch Endymion's handiwork.\Yes, my lady.\Hikawa Shrine\I see.\I don't really know, response:	but are Urawa's predictions that accurate?
context: Do you have a problem with my decision, Kunzite?\No, that is not what I meant.\Then, let us sit back and watch Endymion's handiwork.\Yes, my lady.\Hikawa Shrine\I see.\I don't really know,\but are Urawa's predictions that accurate? response:	Yes, with a very high probability.
context: No, that is not what I meant.\Then, let us sit back and watch Endymion's handiwork.\Yes, my lady.\Hikawa Shrine\I see.\I don't really know,\but are Urawa's predictions that accurate?\Yes, with a very high probability. response:	The Dark Kingdom must be gathering the Seven Monsters
context: Then, let us sit back and watch Endymion's handiwork.\Yes, my lady.\Hikawa Shrine\I see.\I don't really know,\but are Urawa's predictions that accurate?\Yes, with a very high probability.\The Dark Kingdom must be gathering the Seven Monsters response:	and plotting to do something terrible.
context: Yes, my lady.\Hikawa Shrine\I see.\I don't really know,\but are Urawa's predictions that accurate?\Yes, with a very high probability.\The Dark Kingdom must be gathering the Seven Monsters\and plotting to do something terrible. response:	All right! Ami, let's go!
context: Hikawa Shrine\I see.\I don't really know,\but are Urawa's predictions that accurate?\Yes, with a very high probability.\The Dark Kingdom must be gathering the Seven Monsters\and plotting to do something terrible.\All right! Ami, let's go! response:	What? Go where?
context: I see.\I don't really know,\but are Urawa's predictions that accurate?\Yes, with a very high probability.\The Dark Kingdom must be gathering the Seven Monsters\and plotting to do something terrible.\All right! Ami, let's go!\What? Go where? response:	Where else?! We have to protect Urawa, right?
context: I don't really know,\but are Urawa's predictions that accurate?\Yes, with a very high probability.\The Dark Kingdom must be gathering the Seven Monsters\and plotting to do something terrible.\All right! Ami, let's go!\What? Go where?\Where else?! We have to protect Urawa, right? response:	But we don't even know where he is.
context: but are Urawa's predictions that accurate?\Yes, with a very high probability.\The Dark Kingdom must be gathering the Seven Monsters\and plotting to do something terrible.\All right! Ami, let's go!\What? Go where?\Where else?! We have to protect Urawa, right?\But we don't even know where he is. response:	We know he's somewhere in town.
context: Yes, with a very high probability.\The Dark Kingdom must be gathering the Seven Monsters\and plotting to do something terrible.\All right! Ami, let's go!\What? Go where?\Where else?! We have to protect Urawa, right?\But we don't even know where he is.\We know he's somewhere in town. response:	If we look around, we'll run into him.
context: The Dark Kingdom must be gathering the Seven Monsters\and plotting to do something terrible.\All right! Ami, let's go!\What? Go where?\Where else?! We have to protect Urawa, right?\But we don't even know where he is.\We know he's somewhere in town.\If we look around, we'll run into him. response:	We'll leave guarding Grandpa up to you guys.
context: and plotting to do something terrible.\All right! Ami, let's go!\What? Go where?\Where else?! We have to protect Urawa, right?\But we don't even know where he is.\We know he's somewhere in town.\If we look around, we'll run into him.\We'll leave guarding Grandpa up to you guys. response:	What's wrong, Usagi?
context: All right! Ami, let's go!\What? Go where?\Where else?! We have to protect Urawa, right?\But we don't even know where he is.\We know he's somewhere in town.\If we look around, we'll run into him.\We'll leave guarding Grandpa up to you guys.\What's wrong, Usagi? response:	I feel so sorry for the heroine in this comic book!
context: What? Go where?\Where else?! We have to protect Urawa, right?\But we don't even know where he is.\We know he's somewhere in town.\If we look around, we'll run into him.\We'll leave guarding Grandpa up to you guys.\What's wrong, Usagi?\I feel so sorry for the heroine in this comic book! response:	Hey, don't read my comics without my permission!
context: Where else?! We have to protect Urawa, right?\But we don't even know where he is.\We know he's somewhere in town.\If we look around, we'll run into him.\We'll leave guarding Grandpa up to you guys.\What's wrong, Usagi?\I feel so sorry for the heroine in this comic book!\Hey, don't read my comics without my permission! response:	Oh, come on, just a little bit!
context: But we don't even know where he is.\We know he's somewhere in town.\If we look around, we'll run into him.\We'll leave guarding Grandpa up to you guys.\What's wrong, Usagi?\I feel so sorry for the heroine in this comic book!\Hey, don't read my comics without my permission!\Oh, come on, just a little bit! response:	No, you can't! You'll make them dirty with your tears!
context: We know he's somewhere in town.\If we look around, we'll run into him.\We'll leave guarding Grandpa up to you guys.\What's wrong, Usagi?\I feel so sorry for the heroine in this comic book!\Hey, don't read my comics without my permission!\Oh, come on, just a little bit!\No, you can't! You'll make them dirty with your tears! response:	These girls... No, you can't! You'll make them dirty with your tears!
context: If we look around, we'll run into him.\We'll leave guarding Grandpa up to you guys.\What's wrong, Usagi?\I feel so sorry for the heroine in this comic book!\Hey, don't read my comics without my permission!\Oh, come on, just a little bit!\No, you can't! You'll make them dirty with your tears!\These girls... No, you can't! You'll make them dirty with your tears! response:	These girls... I can see you slobbered on my book!
context: We'll leave guarding Grandpa up to you guys.\What's wrong, Usagi?\I feel so sorry for the heroine in this comic book!\Hey, don't read my comics without my permission!\Oh, come on, just a little bit!\No, you can't! You'll make them dirty with your tears!\These girls... No, you can't! You'll make them dirty with your tears!\These girls... I can see you slobbered on my book! response:	The future of the sailor warriors... I can see you slobbered on my book!
context: What's wrong, Usagi?\I feel so sorry for the heroine in this comic book!\Hey, don't read my comics without my permission!\Oh, come on, just a little bit!\No, you can't! You'll make them dirty with your tears!\These girls... No, you can't! You'll make them dirty with your tears!\These girls... I can see you slobbered on my book!\The future of the sailor warriors... I can see you slobbered on my book! response:	He should be around here.
context: I feel so sorry for the heroine in this comic book!\Hey, don't read my comics without my permission!\Oh, come on, just a little bit!\No, you can't! You'll make them dirty with your tears!\These girls... No, you can't! You'll make them dirty with your tears!\These girls... I can see you slobbered on my book!\The future of the sailor warriors... I can see you slobbered on my book!\He should be around here. response:	Ryo Urawa?
context: Hey, don't read my comics without my permission!\Oh, come on, just a little bit!\No, you can't! You'll make them dirty with your tears!\These girls... No, you can't! You'll make them dirty with your tears!\These girls... I can see you slobbered on my book!\The future of the sailor warriors... I can see you slobbered on my book!\He should be around here.\Ryo Urawa? response:	You're Endymion of the Dark Kingdom.
context: Oh, come on, just a little bit!\No, you can't! You'll make them dirty with your tears!\These girls... No, you can't! You'll make them dirty with your tears!\These girls... I can see you slobbered on my book!\The future of the sailor warriors... I can see you slobbered on my book!\He should be around here.\Ryo Urawa?\You're Endymion of the Dark Kingdom. response:	That's right. Since you can see the future,
context: No, you can't! You'll make them dirty with your tears!\These girls... No, you can't! You'll make them dirty with your tears!\These girls... I can see you slobbered on my book!\The future of the sailor warriors... I can see you slobbered on my book!\He should be around here.\Ryo Urawa?\You're Endymion of the Dark Kingdom.\That's right. Since you can see the future, response:	I see making such a guess is a piece of cake.
context: These girls... No, you can't! You'll make them dirty with your tears!\These girls... I can see you slobbered on my book!\The future of the sailor warriors... I can see you slobbered on my book!\He should be around here.\Ryo Urawa?\You're Endymion of the Dark Kingdom.\That's right. Since you can see the future,\I see making such a guess is a piece of cake. response:	So, have you seen what is in store for you as well?
context: These girls... I can see you slobbered on my book!\The future of the sailor warriors... I can see you slobbered on my book!\He should be around here.\Ryo Urawa?\You're Endymion of the Dark Kingdom.\That's right. Since you can see the future,\I see making such a guess is a piece of cake.\So, have you seen what is in store for you as well? response:	Yes. You're going to trap me inside the Black Crystal, right?
context: The future of the sailor warriors... I can see you slobbered on my book!\He should be around here.\Ryo Urawa?\You're Endymion of the Dark Kingdom.\That's right. Since you can see the future,\I see making such a guess is a piece of cake.\So, have you seen what is in store for you as well?\Yes. You're going to trap me inside the Black Crystal, right? response:	Very good. Now, why don't you quietly come with me?
context: He should be around here.\Ryo Urawa?\You're Endymion of the Dark Kingdom.\That's right. Since you can see the future,\I see making such a guess is a piece of cake.\So, have you seen what is in store for you as well?\Yes. You're going to trap me inside the Black Crystal, right?\Very good. Now, why don't you quietly come with me? response:	I'm sorry, but someone told me something once
context: Ryo Urawa?\You're Endymion of the Dark Kingdom.\That's right. Since you can see the future,\I see making such a guess is a piece of cake.\So, have you seen what is in store for you as well?\Yes. You're going to trap me inside the Black Crystal, right?\Very good. Now, why don't you quietly come with me?\I'm sorry, but someone told me something once response:	and ever since then, I've decided to make my own destiny.
