context: Here we come! response:	It's the start of Inuyasha!
context: Kikyo... who was resurrected into a body made of bones and earth\and continues to exist through souls of the dead.\The bond she shared with Inuyasha remains strong...\I understand that, but...\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha! response:	Help...
context: and continues to exist through souls of the dead.\The bond she shared with Inuyasha remains strong...\I understand that, but...\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\Help... response:	Someone... Help me!
context: The bond she shared with Inuyasha remains strong...\I understand that, but...\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\Help...\Someone... Help me! response:	Ayoung child? So late at night?
context: I understand that, but...\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\Help...\Someone... Help me!\Ayoung child? So late at night? response:	You there!
context: Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\Help...\Someone... Help me!\Ayoung child? So late at night?\You there! response:	Damn!
context: travel back in time!\To a Feudal Fairytale!\Inuyasha!\Help...\Someone... Help me!\Ayoung child? So late at night?\You there!\Damn! response:	Sit!
context: To a Feudal Fairytale!\Inuyasha!\Help...\Someone... Help me!\Ayoung child? So late at night?\You there!\Damn!\Sit! response:	What're you doing, Kagome?!
context: Inuyasha!\Help...\Someone... Help me!\Ayoung child? So late at night?\You there!\Damn!\Sit!\What're you doing, Kagome?! response:	Sit!
context: Help...\Someone... Help me!\Ayoung child? So late at night?\You there!\Damn!\Sit!\What're you doing, Kagome?!\Sit! response:	Sit! Sit! Sit! Sit!
context: Someone... Help me!\Ayoung child? So late at night?\You there!\Damn!\Sit!\What're you doing, Kagome?!\Sit!\Sit! Sit! Sit! Sit! response:	Stupid Inuyasha!
context: Ayoung child? So late at night?\You there!\Damn!\Sit!\What're you doing, Kagome?!\Sit!\Sit! Sit! Sit! Sit!\Stupid Inuyasha! response:	Err... Kagome? Where're you going?
context: You there!\Damn!\Sit!\What're you doing, Kagome?!\Sit!\Sit! Sit! Sit! Sit!\Stupid Inuyasha!\Err... Kagome? Where're you going? response:	Awalk! For a walk!
context: Damn!\Sit!\What're you doing, Kagome?!\Sit!\Sit! Sit! Sit! Sit!\Stupid Inuyasha!\Err... Kagome? Where're you going?\Awalk! For a walk! response:	Kagome's so scary!
context: Sit!\What're you doing, Kagome?!\Sit!\Sit! Sit! Sit! Sit!\Stupid Inuyasha!\Err... Kagome? Where're you going?\Awalk! For a walk!\Kagome's so scary! response:	I have to be strong!
context: What're you doing, Kagome?!\Sit!\Sit! Sit! Sit! Sit!\Stupid Inuyasha!\Err... Kagome? Where're you going?\Awalk! For a walk!\Kagome's so scary!\I have to be strong! response:	That Inuyasha!
context: Sit!\Sit! Sit! Sit! Sit!\Stupid Inuyasha!\Err... Kagome? Where're you going?\Awalk! For a walk!\Kagome's so scary!\I have to be strong!\That Inuyasha! response:	I made it sweet just so he could eat it, too!
context: Sit! Sit! Sit! Sit!\Stupid Inuyasha!\Err... Kagome? Where're you going?\Awalk! For a walk!\Kagome's so scary!\I have to be strong!\That Inuyasha!\I made it sweet just so he could eat it, too! response:	I'm so mad!
context: Stupid Inuyasha!\Err... Kagome? Where're you going?\Awalk! For a walk!\Kagome's so scary!\I have to be strong!\That Inuyasha!\I made it sweet just so he could eat it, too!\I'm so mad! response:	I'll never cook for him again!
context: Err... Kagome? Where're you going?\Awalk! For a walk!\Kagome's so scary!\I have to be strong!\That Inuyasha!\I made it sweet just so he could eat it, too!\I'm so mad!\I'll never cook for him again! response:	Maybe I was a bit harsh?
context: Awalk! For a walk!\Kagome's so scary!\I have to be strong!\That Inuyasha!\I made it sweet just so he could eat it, too!\I'm so mad!\I'll never cook for him again!\Maybe I was a bit harsh? response:	This feeling! It's a Sacred Jewel shard!
context: Kagome's so scary!\I have to be strong!\That Inuyasha!\I made it sweet just so he could eat it, too!\I'm so mad!\I'll never cook for him again!\Maybe I was a bit harsh?\This feeling! It's a Sacred Jewel shard! response:	I'm sure of it!
context: I have to be strong!\That Inuyasha!\I made it sweet just so he could eat it, too!\I'm so mad!\I'll never cook for him again!\Maybe I was a bit harsh?\This feeling! It's a Sacred Jewel shard!\I'm sure of it! response:	It's very faint. But I feel the Sacred Jewel shard!
context: That Inuyasha!\I made it sweet just so he could eat it, too!\I'm so mad!\I'll never cook for him again!\Maybe I was a bit harsh?\This feeling! It's a Sacred Jewel shard!\I'm sure of it!\It's very faint. But I feel the Sacred Jewel shard! response:	What's with her anyway?
context: I made it sweet just so he could eat it, too!\I'm so mad!\I'll never cook for him again!\Maybe I was a bit harsh?\This feeling! It's a Sacred Jewel shard!\I'm sure of it!\It's very faint. But I feel the Sacred Jewel shard!\What's with her anyway? response:	What are you saying?
context: I'm so mad!\I'll never cook for him again!\Maybe I was a bit harsh?\This feeling! It's a Sacred Jewel shard!\I'm sure of it!\It's very faint. But I feel the Sacred Jewel shard!\What's with her anyway?\What are you saying? response:	I'll be very blunt. You are to blame, Inuyasha!
context: I'll never cook for him again!\Maybe I was a bit harsh?\This feeling! It's a Sacred Jewel shard!\I'm sure of it!\It's very faint. But I feel the Sacred Jewel shard!\What's with her anyway?\What are you saying?\I'll be very blunt. You are to blame, Inuyasha! response:	Why?
context: Maybe I was a bit harsh?\This feeling! It's a Sacred Jewel shard!\I'm sure of it!\It's very faint. But I feel the Sacred Jewel shard!\What's with her anyway?\What are you saying?\I'll be very blunt. You are to blame, Inuyasha!\Why? response:	All I did was speak the truth.
context: This feeling! It's a Sacred Jewel shard!\I'm sure of it!\It's very faint. But I feel the Sacred Jewel shard!\What's with her anyway?\What are you saying?\I'll be very blunt. You are to blame, Inuyasha!\Why?\All I did was speak the truth. response:	That's where you messed up!
context: I'm sure of it!\It's very faint. But I feel the Sacred Jewel shard!\What's with her anyway?\What are you saying?\I'll be very blunt. You are to blame, Inuyasha!\Why?\All I did was speak the truth.\That's where you messed up! response:	Kagome did herbest to cook.
context: It's very faint. But I feel the Sacred Jewel shard!\What's with her anyway?\What are you saying?\I'll be very blunt. You are to blame, Inuyasha!\Why?\All I did was speak the truth.\That's where you messed up!\Kagome did herbest to cook. response:	How could you say such a cruel thing!
context: What's with her anyway?\What are you saying?\I'll be very blunt. You are to blame, Inuyasha!\Why?\All I did was speak the truth.\That's where you messed up!\Kagome did herbest to cook.\How could you say such a cruel thing! response:	Well then... Were you able to eat that stuff?!
context: What are you saying?\I'll be very blunt. You are to blame, Inuyasha!\Why?\All I did was speak the truth.\That's where you messed up!\Kagome did herbest to cook.\How could you say such a cruel thing!\Well then... Were you able to eat that stuff?! response:	It's quite good.
context: I'll be very blunt. You are to blame, Inuyasha!\Why?\All I did was speak the truth.\That's where you messed up!\Kagome did herbest to cook.\How could you say such a cruel thing!\Well then... Were you able to eat that stuff?!\It's quite good. response:	- Avery distinct flavor. - Uh-huh.
context: Why?\All I did was speak the truth.\That's where you messed up!\Kagome did herbest to cook.\How could you say such a cruel thing!\Well then... Were you able to eat that stuff?!\It's quite good.\- Avery distinct flavor. - Uh-huh. response:	You guys are strange!
context: All I did was speak the truth.\That's where you messed up!\Kagome did herbest to cook.\How could you say such a cruel thing!\Well then... Were you able to eat that stuff?!\It's quite good.\- Avery distinct flavor. - Uh-huh.\You guys are strange! response:	How could you eat stuff that makes yourtongue burn?!
context: That's where you messed up!\Kagome did herbest to cook.\How could you say such a cruel thing!\Well then... Were you able to eat that stuff?!\It's quite good.\- Avery distinct flavor. - Uh-huh.\You guys are strange!\How could you eat stuff that makes yourtongue burn?! response:	It's from in here.
context: Kagome did herbest to cook.\How could you say such a cruel thing!\Well then... Were you able to eat that stuff?!\It's quite good.\- Avery distinct flavor. - Uh-huh.\You guys are strange!\How could you eat stuff that makes yourtongue burn?!\It's from in here. response:	The shard seems pure enough.
context: How could you say such a cruel thing!\Well then... Were you able to eat that stuff?!\It's quite good.\- Avery distinct flavor. - Uh-huh.\You guys are strange!\How could you eat stuff that makes yourtongue burn?!\It's from in here.\The shard seems pure enough. response:	Help...
context: Well then... Were you able to eat that stuff?!\It's quite good.\- Avery distinct flavor. - Uh-huh.\You guys are strange!\How could you eat stuff that makes yourtongue burn?!\It's from in here.\The shard seems pure enough.\Help... response:	Someone... help...
context: It's quite good.\- Avery distinct flavor. - Uh-huh.\You guys are strange!\How could you eat stuff that makes yourtongue burn?!\It's from in here.\The shard seems pure enough.\Help...\Someone... help... response:	I have no choice but to go in and see formyself.
context: - Avery distinct flavor. - Uh-huh.\You guys are strange!\How could you eat stuff that makes yourtongue burn?!\It's from in here.\The shard seems pure enough.\Help...\Someone... help...\I have no choice but to go in and see formyself. response:	Kikyo...
context: You guys are strange!\How could you eat stuff that makes yourtongue burn?!\It's from in here.\The shard seems pure enough.\Help...\Someone... help...\I have no choice but to go in and see formyself.\Kikyo... response:	The shard of the Sacred Jewel... she has one.
context: How could you eat stuff that makes yourtongue burn?!\It's from in here.\The shard seems pure enough.\Help...\Someone... help...\I have no choice but to go in and see formyself.\Kikyo...\The shard of the Sacred Jewel... she has one. response:	It seems you have the power of a priestess, too.
context: It's from in here.\The shard seems pure enough.\Help...\Someone... help...\I have no choice but to go in and see formyself.\Kikyo...\The shard of the Sacred Jewel... she has one.\It seems you have the power of a priestess, too. response:	Uh... What're you doing in a place like this?
context: The shard seems pure enough.\Help...\Someone... help...\I have no choice but to go in and see formyself.\Kikyo...\The shard of the Sacred Jewel... she has one.\It seems you have the power of a priestess, too.\Uh... What're you doing in a place like this? response:	Is something wrong with you?
context: Help...\Someone... help...\I have no choice but to go in and see formyself.\Kikyo...\The shard of the Sacred Jewel... she has one.\It seems you have the power of a priestess, too.\Uh... What're you doing in a place like this?\Is something wrong with you? response:	Could it be your soul spheres?
context: Someone... help...\I have no choice but to go in and see formyself.\Kikyo...\The shard of the Sacred Jewel... she has one.\It seems you have the power of a priestess, too.\Uh... What're you doing in a place like this?\Is something wrong with you?\Could it be your soul spheres? response:	Where are the Soul Collectors?
context: I have no choice but to go in and see formyself.\Kikyo...\The shard of the Sacred Jewel... she has one.\It seems you have the power of a priestess, too.\Uh... What're you doing in a place like this?\Is something wrong with you?\Could it be your soul spheres?\Where are the Soul Collectors? response:	Why're you collapsed in here like this?
context: Kikyo...\The shard of the Sacred Jewel... she has one.\It seems you have the power of a priestess, too.\Uh... What're you doing in a place like this?\Is something wrong with you?\Could it be your soul spheres?\Where are the Soul Collectors?\Why're you collapsed in here like this? response:	You sure talk a lot like always.
context: The shard of the Sacred Jewel... she has one.\It seems you have the power of a priestess, too.\Uh... What're you doing in a place like this?\Is something wrong with you?\Could it be your soul spheres?\Where are the Soul Collectors?\Why're you collapsed in here like this?\You sure talk a lot like always. response:	In any case, let's get out of here.
context: It seems you have the power of a priestess, too.\Uh... What're you doing in a place like this?\Is something wrong with you?\Could it be your soul spheres?\Where are the Soul Collectors?\Why're you collapsed in here like this?\You sure talk a lot like always.\In any case, let's get out of here. response:	It's useless...
context: Uh... What're you doing in a place like this?\Is something wrong with you?\Could it be your soul spheres?\Where are the Soul Collectors?\Why're you collapsed in here like this?\You sure talk a lot like always.\In any case, let's get out of here.\It's useless... response:	We're in the belly of the Priestess Eater.
context: Is something wrong with you?\Could it be your soul spheres?\Where are the Soul Collectors?\Why're you collapsed in here like this?\You sure talk a lot like always.\In any case, let's get out of here.\It's useless...\We're in the belly of the Priestess Eater. response:	Priestess Eater?
context: Could it be your soul spheres?\Where are the Soul Collectors?\Why're you collapsed in here like this?\You sure talk a lot like always.\In any case, let's get out of here.\It's useless...\We're in the belly of the Priestess Eater.\Priestess Eater? response:	It's the name of the demon
context: Where are the Soul Collectors?\Why're you collapsed in here like this?\You sure talk a lot like always.\In any case, let's get out of here.\It's useless...\We're in the belly of the Priestess Eater.\Priestess Eater?\It's the name of the demon response:	who devours priestesses and absorbs their powers.
context: Why're you collapsed in here like this?\You sure talk a lot like always.\In any case, let's get out of here.\It's useless...\We're in the belly of the Priestess Eater.\Priestess Eater?\It's the name of the demon\who devours priestesses and absorbs their powers. response:	It puts up a barrier on the outside
context: You sure talk a lot like always.\In any case, let's get out of here.\It's useless...\We're in the belly of the Priestess Eater.\Priestess Eater?\It's the name of the demon\who devours priestesses and absorbs their powers.\It puts up a barrier on the outside response:	and allows no one but a priestess inside.
context: In any case, let's get out of here.\It's useless...\We're in the belly of the Priestess Eater.\Priestess Eater?\It's the name of the demon\who devours priestesses and absorbs their powers.\It puts up a barrier on the outside\and allows no one but a priestess inside. response:	So we're inside the belly of this demon?
context: It's useless...\We're in the belly of the Priestess Eater.\Priestess Eater?\It's the name of the demon\who devours priestesses and absorbs their powers.\It puts up a barrier on the outside\and allows no one but a priestess inside.\So we're inside the belly of this demon? response:	A priestess' powers have no effect in here.
context: We're in the belly of the Priestess Eater.\Priestess Eater?\It's the name of the demon\who devours priestesses and absorbs their powers.\It puts up a barrier on the outside\and allows no one but a priestess inside.\So we're inside the belly of this demon?\A priestess' powers have no effect in here. response:	It's impossible to escape.
context: Priestess Eater?\It's the name of the demon\who devours priestesses and absorbs their powers.\It puts up a barrier on the outside\and allows no one but a priestess inside.\So we're inside the belly of this demon?\A priestess' powers have no effect in here.\It's impossible to escape. response:	That's!
context: It's the name of the demon\who devours priestesses and absorbs their powers.\It puts up a barrier on the outside\and allows no one but a priestess inside.\So we're inside the belly of this demon?\A priestess' powers have no effect in here.\It's impossible to escape.\That's! response:	But it looks like an ordinary cave.
context: who devours priestesses and absorbs their powers.\It puts up a barrier on the outside\and allows no one but a priestess inside.\So we're inside the belly of this demon?\A priestess' powers have no effect in here.\It's impossible to escape.\That's!\But it looks like an ordinary cave. response:	It's useless to attempt anything.
context: It puts up a barrier on the outside\and allows no one but a priestess inside.\So we're inside the belly of this demon?\A priestess' powers have no effect in here.\It's impossible to escape.\That's!\But it looks like an ordinary cave.\It's useless to attempt anything. response:	Are you kidding?!
context: and allows no one but a priestess inside.\So we're inside the belly of this demon?\A priestess' powers have no effect in here.\It's impossible to escape.\That's!\But it looks like an ordinary cave.\It's useless to attempt anything.\Are you kidding?! response:	I'm not willing to die in a place like this!
context: So we're inside the belly of this demon?\A priestess' powers have no effect in here.\It's impossible to escape.\That's!\But it looks like an ordinary cave.\It's useless to attempt anything.\Are you kidding?!\I'm not willing to die in a place like this! response:	Let's go!
context: A priestess' powers have no effect in here.\It's impossible to escape.\That's!\But it looks like an ordinary cave.\It's useless to attempt anything.\Are you kidding?!\I'm not willing to die in a place like this!\Let's go! response:	So which way should we go?
context: It's impossible to escape.\That's!\But it looks like an ordinary cave.\It's useless to attempt anything.\Are you kidding?!\I'm not willing to die in a place like this!\Let's go!\So which way should we go? response:	He's in a bad mood.
context: That's!\But it looks like an ordinary cave.\It's useless to attempt anything.\Are you kidding?!\I'm not willing to die in a place like this!\Let's go!\So which way should we go?\He's in a bad mood. response:	You should justgo and say you're sorry.
context: But it looks like an ordinary cave.\It's useless to attempt anything.\Are you kidding?!\I'm not willing to die in a place like this!\Let's go!\So which way should we go?\He's in a bad mood.\You should justgo and say you're sorry. response:	Shaddup!
context: It's useless to attempt anything.\Are you kidding?!\I'm not willing to die in a place like this!\Let's go!\So which way should we go?\He's in a bad mood.\You should justgo and say you're sorry.\Shaddup! response:	I REFUSE to apologize!
context: Are you kidding?!\I'm not willing to die in a place like this!\Let's go!\So which way should we go?\He's in a bad mood.\You should justgo and say you're sorry.\Shaddup!\I REFUSE to apologize! response:	This girl... just what does she intend to do?
context: I'm not willing to die in a place like this!\Let's go!\So which way should we go?\He's in a bad mood.\You should justgo and say you're sorry.\Shaddup!\I REFUSE to apologize!\This girl... just what does she intend to do? response:	Oh boy... why'd this have to happen?!
context: Let's go!\So which way should we go?\He's in a bad mood.\You should justgo and say you're sorry.\Shaddup!\I REFUSE to apologize!\This girl... just what does she intend to do?\Oh boy... why'd this have to happen?! response:	On top of that, why'd I have to get stuck with Kikyo?!
context: So which way should we go?\He's in a bad mood.\You should justgo and say you're sorry.\Shaddup!\I REFUSE to apologize!\This girl... just what does she intend to do?\Oh boy... why'd this have to happen?!\On top of that, why'd I have to get stuck with Kikyo?! response:	Umm... Doing fine, you know.
context: He's in a bad mood.\You should justgo and say you're sorry.\Shaddup!\I REFUSE to apologize!\This girl... just what does she intend to do?\Oh boy... why'd this have to happen?!\On top of that, why'd I have to get stuck with Kikyo?!\Umm... Doing fine, you know. response:	Oh, not me. I meant Inuyasha.
context: You should justgo and say you're sorry.\Shaddup!\I REFUSE to apologize!\This girl... just what does she intend to do?\Oh boy... why'd this have to happen?!\On top of that, why'd I have to get stuck with Kikyo?!\Umm... Doing fine, you know.\Oh, not me. I meant Inuyasha. response:	He's always saying things to make people mad,
context: Shaddup!\I REFUSE to apologize!\This girl... just what does she intend to do?\Oh boy... why'd this have to happen?!\On top of that, why'd I have to get stuck with Kikyo?!\Umm... Doing fine, you know.\Oh, not me. I meant Inuyasha.\He's always saying things to make people mad, response:	but he's doing okay.
context: I REFUSE to apologize!\This girl... just what does she intend to do?\Oh boy... why'd this have to happen?!\On top of that, why'd I have to get stuck with Kikyo?!\Umm... Doing fine, you know.\Oh, not me. I meant Inuyasha.\He's always saying things to make people mad,\but he's doing okay. response:	ljust had a fight with him earlier.
context: This girl... just what does she intend to do?\Oh boy... why'd this have to happen?!\On top of that, why'd I have to get stuck with Kikyo?!\Umm... Doing fine, you know.\Oh, not me. I meant Inuyasha.\He's always saying things to make people mad,\but he's doing okay.\ljust had a fight with him earlier. response:	I guess when he was with you, such things neverhappened, huh?
context: Oh boy... why'd this have to happen?!\On top of that, why'd I have to get stuck with Kikyo?!\Umm... Doing fine, you know.\Oh, not me. I meant Inuyasha.\He's always saying things to make people mad,\but he's doing okay.\ljust had a fight with him earlier.\I guess when he was with you, such things neverhappened, huh? response:	Stupid me! What am I saying?
context: On top of that, why'd I have to get stuck with Kikyo?!\Umm... Doing fine, you know.\Oh, not me. I meant Inuyasha.\He's always saying things to make people mad,\but he's doing okay.\ljust had a fight with him earlier.\I guess when he was with you, such things neverhappened, huh?\Stupid me! What am I saying? response:	Why must I say things like that to Kikyo?
context: Umm... Doing fine, you know.\Oh, not me. I meant Inuyasha.\He's always saying things to make people mad,\but he's doing okay.\ljust had a fight with him earlier.\I guess when he was with you, such things neverhappened, huh?\Stupid me! What am I saying?\Why must I say things like that to Kikyo? response:	Well because... Kikyo and Inuyasha were...
context: Oh, not me. I meant Inuyasha.\He's always saying things to make people mad,\but he's doing okay.\ljust had a fight with him earlier.\I guess when he was with you, such things neverhappened, huh?\Stupid me! What am I saying?\Why must I say things like that to Kikyo?\Well because... Kikyo and Inuyasha were... response:	Huh?! Hey!
context: He's always saying things to make people mad,\but he's doing okay.\ljust had a fight with him earlier.\I guess when he was with you, such things neverhappened, huh?\Stupid me! What am I saying?\Why must I say things like that to Kikyo?\Well because... Kikyo and Inuyasha were...\Huh?! Hey! response:	Inuyasha...
context: but he's doing okay.\ljust had a fight with him earlier.\I guess when he was with you, such things neverhappened, huh?\Stupid me! What am I saying?\Why must I say things like that to Kikyo?\Well because... Kikyo and Inuyasha were...\Huh?! Hey!\Inuyasha... response:	I will destroy Naraku!
context: ljust had a fight with him earlier.\I guess when he was with you, such things neverhappened, huh?\Stupid me! What am I saying?\Why must I say things like that to Kikyo?\Well because... Kikyo and Inuyasha were...\Huh?! Hey!\Inuyasha...\I will destroy Naraku! response:	So you don't have to fight anymore.
context: I guess when he was with you, such things neverhappened, huh?\Stupid me! What am I saying?\Why must I say things like that to Kikyo?\Well because... Kikyo and Inuyasha were...\Huh?! Hey!\Inuyasha...\I will destroy Naraku!\So you don't have to fight anymore. response:	I will protect you!
context: Stupid me! What am I saying?\Why must I say things like that to Kikyo?\Well because... Kikyo and Inuyasha were...\Huh?! Hey!\Inuyasha...\I will destroy Naraku!\So you don't have to fight anymore.\I will protect you! response:	Inuyasha!
context: Why must I say things like that to Kikyo?\Well because... Kikyo and Inuyasha were...\Huh?! Hey!\Inuyasha...\I will destroy Naraku!\So you don't have to fight anymore.\I will protect you!\Inuyasha! response:	Kikyo...
context: Well because... Kikyo and Inuyasha were...\Huh?! Hey!\Inuyasha...\I will destroy Naraku!\So you don't have to fight anymore.\I will protect you!\Inuyasha!\Kikyo... response:	Oh dear... I'm having such bad luck today.
context: Huh?! Hey!\Inuyasha...\I will destroy Naraku!\So you don't have to fight anymore.\I will protect you!\Inuyasha!\Kikyo...\Oh dear... I'm having such bad luck today. response:	Are you all right?
context: Inuyasha...\I will destroy Naraku!\So you don't have to fight anymore.\I will protect you!\Inuyasha!\Kikyo...\Oh dear... I'm having such bad luck today.\Are you all right? response:	Why did this happen?
context: I will destroy Naraku!\So you don't have to fight anymore.\I will protect you!\Inuyasha!\Kikyo...\Oh dear... I'm having such bad luck today.\Are you all right?\Why did this happen? response:	You are quite amazing.
context: So you don't have to fight anymore.\I will protect you!\Inuyasha!\Kikyo...\Oh dear... I'm having such bad luck today.\Are you all right?\Why did this happen?\You are quite amazing. response:	Normally, a priestess wouldn't be able to move.
context: I will protect you!\Inuyasha!\Kikyo...\Oh dear... I'm having such bad luck today.\Are you all right?\Why did this happen?\You are quite amazing.\Normally, a priestess wouldn't be able to move. response:	Meaning I'm not normal?
context: Inuyasha!\Kikyo...\Oh dear... I'm having such bad luck today.\Are you all right?\Why did this happen?\You are quite amazing.\Normally, a priestess wouldn't be able to move.\Meaning I'm not normal? response:	Leave me!
context: Kikyo...\Oh dear... I'm having such bad luck today.\Are you all right?\Why did this happen?\You are quite amazing.\Normally, a priestess wouldn't be able to move.\Meaning I'm not normal?\Leave me! response:	Huh?
context: Oh dear... I'm having such bad luck today.\Are you all right?\Why did this happen?\You are quite amazing.\Normally, a priestess wouldn't be able to move.\Meaning I'm not normal?\Leave me!\Huh? response:	I am a dead person anyway.
context: Are you all right?\Why did this happen?\You are quite amazing.\Normally, a priestess wouldn't be able to move.\Meaning I'm not normal?\Leave me!\Huh?\I am a dead person anyway. response:	Ratherthan being burdened by someone like me,
context: Why did this happen?\You are quite amazing.\Normally, a priestess wouldn't be able to move.\Meaning I'm not normal?\Leave me!\Huh?\I am a dead person anyway.\Ratherthan being burdened by someone like me, response:	you have a better chance of living by going on alone.
context: You are quite amazing.\Normally, a priestess wouldn't be able to move.\Meaning I'm not normal?\Leave me!\Huh?\I am a dead person anyway.\Ratherthan being burdened by someone like me,\you have a better chance of living by going on alone. response:	In orderto escape from here,
context: Normally, a priestess wouldn't be able to move.\Meaning I'm not normal?\Leave me!\Huh?\I am a dead person anyway.\Ratherthan being burdened by someone like me,\you have a better chance of living by going on alone.\In orderto escape from here, response:	you must destroy the heart which you'll find deeper in the cave.
context: Meaning I'm not normal?\Leave me!\Huh?\I am a dead person anyway.\Ratherthan being burdened by someone like me,\you have a better chance of living by going on alone.\In orderto escape from here,\you must destroy the heart which you'll find deeper in the cave. response:	I can't do that...
context: Leave me!\Huh?\I am a dead person anyway.\Ratherthan being burdened by someone like me,\you have a better chance of living by going on alone.\In orderto escape from here,\you must destroy the heart which you'll find deeper in the cave.\I can't do that... response:	I don't know about our chances.
context: Huh?\I am a dead person anyway.\Ratherthan being burdened by someone like me,\you have a better chance of living by going on alone.\In orderto escape from here,\you must destroy the heart which you'll find deeper in the cave.\I can't do that...\I don't know about our chances. response:	But don't orderme around!
context: I am a dead person anyway.\Ratherthan being burdened by someone like me,\you have a better chance of living by going on alone.\In orderto escape from here,\you must destroy the heart which you'll find deeper in the cave.\I can't do that...\I don't know about our chances.\But don't orderme around! response:	I will notgive up!
context: Ratherthan being burdened by someone like me,\you have a better chance of living by going on alone.\In orderto escape from here,\you must destroy the heart which you'll find deeper in the cave.\I can't do that...\I don't know about our chances.\But don't orderme around!\I will notgive up! response:	So you cannotgive up so easily!
context: you have a better chance of living by going on alone.\In orderto escape from here,\you must destroy the heart which you'll find deeper in the cave.\I can't do that...\I don't know about our chances.\But don't orderme around!\I will notgive up!\So you cannotgive up so easily! response:	You?
context: In orderto escape from here,\you must destroy the heart which you'll find deeper in the cave.\I can't do that...\I don't know about our chances.\But don't orderme around!\I will notgive up!\So you cannotgive up so easily!\You? response:	I can hear something!
context: you must destroy the heart which you'll find deeper in the cave.\I can't do that...\I don't know about our chances.\But don't orderme around!\I will notgive up!\So you cannotgive up so easily!\You?\I can hear something! response:	But Kagome is very late.
context: I can't do that...\I don't know about our chances.\But don't orderme around!\I will notgive up!\So you cannotgive up so easily!\You?\I can hear something!\But Kagome is very late. response:	Maybe something happened?
context: I don't know about our chances.\But don't orderme around!\I will notgive up!\So you cannotgive up so easily!\You?\I can hear something!\But Kagome is very late.\Maybe something happened? response:	I think you should go and get her, Inuyasha!
context: But don't orderme around!\I will notgive up!\So you cannotgive up so easily!\You?\I can hear something!\But Kagome is very late.\Maybe something happened?\I think you should go and get her, Inuyasha! response:	Shaddup! Who'd go afterthat!
context: I will notgive up!\So you cannotgive up so easily!\You?\I can hear something!\But Kagome is very late.\Maybe something happened?\I think you should go and get her, Inuyasha!\Shaddup! Who'd go afterthat! response:	Acting so proud.
context: So you cannotgive up so easily!\You?\I can hear something!\But Kagome is very late.\Maybe something happened?\I think you should go and get her, Inuyasha!\Shaddup! Who'd go afterthat!\Acting so proud. response:	She's right, Inuyasha.
