context: The Hero Association has been weakened substantially, response:	and we still have our main forces in reserve.
context: You can die as my tactical transformations inflict all manner of pain upon you,\or you can tell me everything you know and die painlessly.\How dare you disrupt my concert?\You can atone with your deaths.\Found you.\Class S Rank 5 Child Emperor\You were the one controlling that robot, weren't you?\I've finished analyzing the poison. But... response:	If only I had my backpack...
context: or you can tell me everything you know and die painlessly.\How dare you disrupt my concert?\You can atone with your deaths.\Found you.\Class S Rank 5 Child Emperor\You were the one controlling that robot, weren't you?\I've finished analyzing the poison. But...\If only I had my backpack... response:	Class S Rank 10 Pig God
context: How dare you disrupt my concert?\You can atone with your deaths.\Found you.\Class S Rank 5 Child Emperor\You were the one controlling that robot, weren't you?\I've finished analyzing the poison. But...\If only I had my backpack...\Class S Rank 10 Pig God response:	Mr. Pig God!
context: You can atone with your deaths.\Found you.\Class S Rank 5 Child Emperor\You were the one controlling that robot, weren't you?\I've finished analyzing the poison. But...\If only I had my backpack...\Class S Rank 10 Pig God\Mr. Pig God! response:	I heard explosions, so I came to help.
context: Found you.\Class S Rank 5 Child Emperor\You were the one controlling that robot, weren't you?\I've finished analyzing the poison. But...\If only I had my backpack...\Class S Rank 10 Pig God\Mr. Pig God!\I heard explosions, so I came to help. response:	You're in my way!
context: Class S Rank 5 Child Emperor\You were the one controlling that robot, weren't you?\I've finished analyzing the poison. But...\If only I had my backpack...\Class S Rank 10 Pig God\Mr. Pig God!\I heard explosions, so I came to help.\You're in my way! response:	Die!
context: You were the one controlling that robot, weren't you?\I've finished analyzing the poison. But...\If only I had my backpack...\Class S Rank 10 Pig God\Mr. Pig God!\I heard explosions, so I came to help.\You're in my way!\Die! response:	Oh, no! Her poison!
context: I've finished analyzing the poison. But...\If only I had my backpack...\Class S Rank 10 Pig God\Mr. Pig God!\I heard explosions, so I came to help.\You're in my way!\Die!\Oh, no! Her poison! response:	Don't worry! I'll save you!
context: If only I had my backpack...\Class S Rank 10 Pig God\Mr. Pig God!\I heard explosions, so I came to help.\You're in my way!\Die!\Oh, no! Her poison!\Don't worry! I'll save you! response:	Hork Hork Hork Hork Hork
context: Class S Rank 10 Pig God\Mr. Pig God!\I heard explosions, so I came to help.\You're in my way!\Die!\Oh, no! Her poison!\Don't worry! I'll save you!\Hork Hork Hork Hork Hork response:	Mr. Pig God! The poison!
context: Mr. Pig God!\I heard explosions, so I came to help.\You're in my way!\Die!\Oh, no! Her poison!\Don't worry! I'll save you!\Hork Hork Hork Hork Hork\Mr. Pig God! The poison! response:	Don't worry. I'm fine.
context: I heard explosions, so I came to help.\You're in my way!\Die!\Oh, no! Her poison!\Don't worry! I'll save you!\Hork Hork Hork Hork Hork\Mr. Pig God! The poison!\Don't worry. I'm fine. response:	Burp.
context: You're in my way!\Die!\Oh, no! Her poison!\Don't worry! I'll save you!\Hork Hork Hork Hork Hork\Mr. Pig God! The poison!\Don't worry. I'm fine.\Burp. response:	We've received antidote data from the Child Emperor!
context: Die!\Oh, no! Her poison!\Don't worry! I'll save you!\Hork Hork Hork Hork Hork\Mr. Pig God! The poison!\Don't worry. I'm fine.\Burp.\We've received antidote data from the Child Emperor! response:	Good. Now we can treat those affected by the poison.
context: Oh, no! Her poison!\Don't worry! I'll save you!\Hork Hork Hork Hork Hork\Mr. Pig God! The poison!\Don't worry. I'm fine.\Burp.\We've received antidote data from the Child Emperor!\Good. Now we can treat those affected by the poison. response:	The Class S heroes never cease to amaze me.
context: Don't worry! I'll save you!\Hork Hork Hork Hork Hork\Mr. Pig God! The poison!\Don't worry. I'm fine.\Burp.\We've received antidote data from the Child Emperor!\Good. Now we can treat those affected by the poison.\The Class S heroes never cease to amaze me. response:	And now for round two of the semi-finals!
context: Hork Hork Hork Hork Hork\Mr. Pig God! The poison!\Don't worry. I'm fine.\Burp.\We've received antidote data from the Child Emperor!\Good. Now we can treat those affected by the poison.\The Class S heroes never cease to amaze me.\And now for round two of the semi-finals! response:	Semi-finals Round 2
context: Mr. Pig God! The poison!\Don't worry. I'm fine.\Burp.\We've received antidote data from the Child Emperor!\Good. Now we can treat those affected by the poison.\The Class S heroes never cease to amaze me.\And now for round two of the semi-finals!\Semi-finals Round 2 response:	Try not to blink during this match!
context: Don't worry. I'm fine.\Burp.\We've received antidote data from the Child Emperor!\Good. Now we can treat those affected by the poison.\The Class S heroes never cease to amaze me.\And now for round two of the semi-finals!\Semi-finals Round 2\Try not to blink during this match! response:	We have Choze, who's been enjoying the physical destruction of his opponents
context: Burp.\We've received antidote data from the Child Emperor!\Good. Now we can treat those affected by the poison.\The Class S heroes never cease to amaze me.\And now for round two of the semi-finals!\Semi-finals Round 2\Try not to blink during this match!\We have Choze, who's been enjoying the physical destruction of his opponents response:	more than he really should,
context: We've received antidote data from the Child Emperor!\Good. Now we can treat those affected by the poison.\The Class S heroes never cease to amaze me.\And now for round two of the semi-finals!\Semi-finals Round 2\Try not to blink during this match!\We have Choze, who's been enjoying the physical destruction of his opponents\more than he really should, response:	and Charanko, who's settled every battle with one punch so far!
context: Good. Now we can treat those affected by the poison.\The Class S heroes never cease to amaze me.\And now for round two of the semi-finals!\Semi-finals Round 2\Try not to blink during this match!\We have Choze, who's been enjoying the physical destruction of his opponents\more than he really should,\and Charanko, who's settled every battle with one punch so far! response:	Taking out your opponent with one punch is simple.
context: The Class S heroes never cease to amaze me.\And now for round two of the semi-finals!\Semi-finals Round 2\Try not to blink during this match!\We have Choze, who's been enjoying the physical destruction of his opponents\more than he really should,\and Charanko, who's settled every battle with one punch so far!\Taking out your opponent with one punch is simple. response:	But I prefer taking my time and executing them,
context: And now for round two of the semi-finals!\Semi-finals Round 2\Try not to blink during this match!\We have Choze, who's been enjoying the physical destruction of his opponents\more than he really should,\and Charanko, who's settled every battle with one punch so far!\Taking out your opponent with one punch is simple.\But I prefer taking my time and executing them, response:	to make them realize I'm on a different level.
context: Semi-finals Round 2\Try not to blink during this match!\We have Choze, who's been enjoying the physical destruction of his opponents\more than he really should,\and Charanko, who's settled every battle with one punch so far!\Taking out your opponent with one punch is simple.\But I prefer taking my time and executing them,\to make them realize I'm on a different level. response:	My family has spent generations breeding superior genes. We are a chosen breed.
context: Try not to blink during this match!\We have Choze, who's been enjoying the physical destruction of his opponents\more than he really should,\and Charanko, who's settled every battle with one punch so far!\Taking out your opponent with one punch is simple.\But I prefer taking my time and executing them,\to make them realize I'm on a different level.\My family has spent generations breeding superior genes. We are a chosen breed. response:	And I am their finest creation to date.
context: We have Choze, who's been enjoying the physical destruction of his opponents\more than he really should,\and Charanko, who's settled every battle with one punch so far!\Taking out your opponent with one punch is simple.\But I prefer taking my time and executing them,\to make them realize I'm on a different level.\My family has spent generations breeding superior genes. We are a chosen breed.\And I am their finest creation to date. response:	I am a completely different species from you commoners.
context: more than he really should,\and Charanko, who's settled every battle with one punch so far!\Taking out your opponent with one punch is simple.\But I prefer taking my time and executing them,\to make them realize I'm on a different level.\My family has spent generations breeding superior genes. We are a chosen breed.\And I am their finest creation to date.\I am a completely different species from you commoners. response:	I will show you how powerful I am in this fight,
context: and Charanko, who's settled every battle with one punch so far!\Taking out your opponent with one punch is simple.\But I prefer taking my time and executing them,\to make them realize I'm on a different level.\My family has spent generations breeding superior genes. We are a chosen breed.\And I am their finest creation to date.\I am a completely different species from you commoners.\I will show you how powerful I am in this fight, response:	and then I shall take over the world!
context: Taking out your opponent with one punch is simple.\But I prefer taking my time and executing them,\to make them realize I'm on a different level.\My family has spent generations breeding superior genes. We are a chosen breed.\And I am their finest creation to date.\I am a completely different species from you commoners.\I will show you how powerful I am in this fight,\and then I shall take over the world! response:	Jeez, you're dramatic.
context: But I prefer taking my time and executing them,\to make them realize I'm on a different level.\My family has spent generations breeding superior genes. We are a chosen breed.\And I am their finest creation to date.\I am a completely different species from you commoners.\I will show you how powerful I am in this fight,\and then I shall take over the world!\Jeez, you're dramatic. response:	So you're basically like a new kind of corn.
context: to make them realize I'm on a different level.\My family has spent generations breeding superior genes. We are a chosen breed.\And I am their finest creation to date.\I am a completely different species from you commoners.\I will show you how powerful I am in this fight,\and then I shall take over the world!\Jeez, you're dramatic.\So you're basically like a new kind of corn. response:	You're gonna die.
context: My family has spent generations breeding superior genes. We are a chosen breed.\And I am their finest creation to date.\I am a completely different species from you commoners.\I will show you how powerful I am in this fight,\and then I shall take over the world!\Jeez, you're dramatic.\So you're basically like a new kind of corn.\You're gonna die. response:	I can't wait to see you cry and scream your lungs out!
context: And I am their finest creation to date.\I am a completely different species from you commoners.\I will show you how powerful I am in this fight,\and then I shall take over the world!\Jeez, you're dramatic.\So you're basically like a new kind of corn.\You're gonna die.\I can't wait to see you cry and scream your lungs out! response:	Begin!
context: I am a completely different species from you commoners.\I will show you how powerful I am in this fight,\and then I shall take over the world!\Jeez, you're dramatic.\So you're basically like a new kind of corn.\You're gonna die.\I can't wait to see you cry and scream your lungs out!\Begin! response:	H-He took him out with one punch yet again!
context: I will show you how powerful I am in this fight,\and then I shall take over the world!\Jeez, you're dramatic.\So you're basically like a new kind of corn.\You're gonna die.\I can't wait to see you cry and scream your lungs out!\Begin!\H-He took him out with one punch yet again! response:	Charanko is heading to the finals without a single scratch!
context: and then I shall take over the world!\Jeez, you're dramatic.\So you're basically like a new kind of corn.\You're gonna die.\I can't wait to see you cry and scream your lungs out!\Begin!\H-He took him out with one punch yet again!\Charanko is heading to the finals without a single scratch! response:	Guess the tournament's over already.
context: Jeez, you're dramatic.\So you're basically like a new kind of corn.\You're gonna die.\I can't wait to see you cry and scream your lungs out!\Begin!\H-He took him out with one punch yet again!\Charanko is heading to the finals without a single scratch!\Guess the tournament's over already. response:	Charanko is just full of surprises!
context: So you're basically like a new kind of corn.\You're gonna die.\I can't wait to see you cry and scream your lungs out!\Begin!\H-He took him out with one punch yet again!\Charanko is heading to the finals without a single scratch!\Guess the tournament's over already.\Charanko is just full of surprises! response:	We've lost contact with the Class A heroes in City I!
context: You're gonna die.\I can't wait to see you cry and scream your lungs out!\Begin!\H-He took him out with one punch yet again!\Charanko is heading to the finals without a single scratch!\Guess the tournament's over already.\Charanko is just full of surprises!\We've lost contact with the Class A heroes in City I! response:	Got it. Send a Class S
context: I can't wait to see you cry and scream your lungs out!\Begin!\H-He took him out with one punch yet again!\Charanko is heading to the finals without a single scratch!\Guess the tournament's over already.\Charanko is just full of surprises!\We've lost contact with the Class A heroes in City I!\Got it. Send a Class S response:	Hang on!
context: Begin!\H-He took him out with one punch yet again!\Charanko is heading to the finals without a single scratch!\Guess the tournament's over already.\Charanko is just full of surprises!\We've lost contact with the Class A heroes in City I!\Got it. Send a Class S\Hang on! response:	I hid among the rubble
context: H-He took him out with one punch yet again!\Charanko is heading to the finals without a single scratch!\Guess the tournament's over already.\Charanko is just full of surprises!\We've lost contact with the Class A heroes in City I!\Got it. Send a Class S\Hang on!\I hid among the rubble response:	until more of us showed up.
context: Charanko is heading to the finals without a single scratch!\Guess the tournament's over already.\Charanko is just full of surprises!\We've lost contact with the Class A heroes in City I!\Got it. Send a Class S\Hang on!\I hid among the rubble\until more of us showed up. response:	Now that we have this many Class A heroes here,
context: Guess the tournament's over already.\Charanko is just full of surprises!\We've lost contact with the Class A heroes in City I!\Got it. Send a Class S\Hang on!\I hid among the rubble\until more of us showed up.\Now that we have this many Class A heroes here, response:	you can leave this to us!
context: Charanko is just full of surprises!\We've lost contact with the Class A heroes in City I!\Got it. Send a Class S\Hang on!\I hid among the rubble\until more of us showed up.\Now that we have this many Class A heroes here,\you can leave this to us! response:	Don't even bother.
context: We've lost contact with the Class A heroes in City I!\Got it. Send a Class S\Hang on!\I hid among the rubble\until more of us showed up.\Now that we have this many Class A heroes here,\you can leave this to us!\Don't even bother. response:	Mediocre fighters like yourselves would just cause further damage.
context: Got it. Send a Class S\Hang on!\I hid among the rubble\until more of us showed up.\Now that we have this many Class A heroes here,\you can leave this to us!\Don't even bother.\Mediocre fighters like yourselves would just cause further damage. response:	Class S Rank 13 Flashy Flash
context: Hang on!\I hid among the rubble\until more of us showed up.\Now that we have this many Class A heroes here,\you can leave this to us!\Don't even bother.\Mediocre fighters like yourselves would just cause further damage.\Class S Rank 13 Flashy Flash response:	Mediocre?
context: I hid among the rubble\until more of us showed up.\Now that we have this many Class A heroes here,\you can leave this to us!\Don't even bother.\Mediocre fighters like yourselves would just cause further damage.\Class S Rank 13 Flashy Flash\Mediocre? response:	Just keep quiet and watch!
context: until more of us showed up.\Now that we have this many Class A heroes here,\you can leave this to us!\Don't even bother.\Mediocre fighters like yourselves would just cause further damage.\Class S Rank 13 Flashy Flash\Mediocre?\Just keep quiet and watch! response:	This is a Class S hero?
context: Now that we have this many Class A heroes here,\you can leave this to us!\Don't even bother.\Mediocre fighters like yourselves would just cause further damage.\Class S Rank 13 Flashy Flash\Mediocre?\Just keep quiet and watch!\This is a Class S hero? response:	Didn't you just cause even more damage?
context: you can leave this to us!\Don't even bother.\Mediocre fighters like yourselves would just cause further damage.\Class S Rank 13 Flashy Flash\Mediocre?\Just keep quiet and watch!\This is a Class S hero?\Didn't you just cause even more damage? response:	Did it work?
context: Don't even bother.\Mediocre fighters like yourselves would just cause further damage.\Class S Rank 13 Flashy Flash\Mediocre?\Just keep quiet and watch!\This is a Class S hero?\Didn't you just cause even more damage?\Did it work? response:	I just hit it in its open wounds!
context: Mediocre fighters like yourselves would just cause further damage.\Class S Rank 13 Flashy Flash\Mediocre?\Just keep quiet and watch!\This is a Class S hero?\Didn't you just cause even more damage?\Did it work?\I just hit it in its open wounds! response:	Take this! My special technique...
context: Class S Rank 13 Flashy Flash\Mediocre?\Just keep quiet and watch!\This is a Class S hero?\Didn't you just cause even more damage?\Did it work?\I just hit it in its open wounds!\Take this! My special technique... response:	That's...
context: Mediocre?\Just keep quiet and watch!\This is a Class S hero?\Didn't you just cause even more damage?\Did it work?\I just hit it in its open wounds!\Take this! My special technique...\That's... response:	Terrible Tornado!
context: Just keep quiet and watch!\This is a Class S hero?\Didn't you just cause even more damage?\Did it work?\I just hit it in its open wounds!\Take this! My special technique...\That's...\Terrible Tornado! response:	Hey!
context: This is a Class S hero?\Didn't you just cause even more damage?\Did it work?\I just hit it in its open wounds!\Take this! My special technique...\That's...\Terrible Tornado!\Hey! response:	We're short on heroes, so why the heck are all of you here fooling around?
context: Didn't you just cause even more damage?\Did it work?\I just hit it in its open wounds!\Take this! My special technique...\That's...\Terrible Tornado!\Hey!\We're short on heroes, so why the heck are all of you here fooling around? response:	We were fighting that octo
context: Did it work?\I just hit it in its open wounds!\Take this! My special technique...\That's...\Terrible Tornado!\Hey!\We're short on heroes, so why the heck are all of you here fooling around?\We were fighting that octo response:	Especially you! Flashy Flash, was it?
context: I just hit it in its open wounds!\Take this! My special technique...\That's...\Terrible Tornado!\Hey!\We're short on heroes, so why the heck are all of you here fooling around?\We were fighting that octo\Especially you! Flashy Flash, was it? response:	You need to do better than that if you're actually a Class S!
