context: Motoba response:	Episode 9 Umaru and Valentine's
context: Why would you make sweets when you don't have any friends?\Did something happen? Well?\Sh-Shut up!\R-Really... Nothing happened.\Okay. Do your best.\<For Example, When You're On Your Break>\Creating a Conversation with Homemade Cookies...\I made some cookies! Why don't we eat them together? response:	What? You made me cookies, Kirie-chan?
context: Did something happen? Well?\Sh-Shut up!\R-Really... Nothing happened.\Okay. Do your best.\<For Example, When You're On Your Break>\Creating a Conversation with Homemade Cookies...\I made some cookies! Why don't we eat them together?\What? You made me cookies, Kirie-chan? response:	Thank you.
context: Sh-Shut up!\R-Really... Nothing happened.\Okay. Do your best.\<For Example, When You're On Your Break>\Creating a Conversation with Homemade Cookies...\I made some cookies! Why don't we eat them together?\What? You made me cookies, Kirie-chan?\Thank you. response:	You're so talented, Kirie-chan!
context: R-Really... Nothing happened.\Okay. Do your best.\<For Example, When You're On Your Break>\Creating a Conversation with Homemade Cookies...\I made some cookies! Why don't we eat them together?\What? You made me cookies, Kirie-chan?\Thank you.\You're so talented, Kirie-chan! response:	I'd love to eat your cookies again.
context: Okay. Do your best.\<For Example, When You're On Your Break>\Creating a Conversation with Homemade Cookies...\I made some cookies! Why don't we eat them together?\What? You made me cookies, Kirie-chan?\Thank you.\You're so talented, Kirie-chan!\I'd love to eat your cookies again. response:	Let's make them together next time.
context: <For Example, When You're On Your Break>\Creating a Conversation with Homemade Cookies...\I made some cookies! Why don't we eat them together?\What? You made me cookies, Kirie-chan?\Thank you.\You're so talented, Kirie-chan!\I'd love to eat your cookies again.\Let's make them together next time. response:	They're bitter.
context: Creating a Conversation with Homemade Cookies...\I made some cookies! Why don't we eat them together?\What? You made me cookies, Kirie-chan?\Thank you.\You're so talented, Kirie-chan!\I'd love to eat your cookies again.\Let's make them together next time.\They're bitter. response:	I can't let Umaru-san eat these.
context: I made some cookies! Why don't we eat them together?\What? You made me cookies, Kirie-chan?\Thank you.\You're so talented, Kirie-chan!\I'd love to eat your cookies again.\Let's make them together next time.\They're bitter.\I can't let Umaru-san eat these. response:	I'll keep them just in case, and make new ones.
context: What? You made me cookies, Kirie-chan?\Thank you.\You're so talented, Kirie-chan!\I'd love to eat your cookies again.\Let's make them together next time.\They're bitter.\I can't let Umaru-san eat these.\I'll keep them just in case, and make new ones. response:	I'll make Master's cookies first.
context: Thank you.\You're so talented, Kirie-chan!\I'd love to eat your cookies again.\Let's make them together next time.\They're bitter.\I can't let Umaru-san eat these.\I'll keep them just in case, and make new ones.\I'll make Master's cookies first. response:	It worked this time!
context: You're so talented, Kirie-chan!\I'd love to eat your cookies again.\Let's make them together next time.\They're bitter.\I can't let Umaru-san eat these.\I'll keep them just in case, and make new ones.\I'll make Master's cookies first.\It worked this time! response:	Time to wrap them.
context: I'd love to eat your cookies again.\Let's make them together next time.\They're bitter.\I can't let Umaru-san eat these.\I'll keep them just in case, and make new ones.\I'll make Master's cookies first.\It worked this time!\Time to wrap them. response:	Oh, the bags are in my room.
context: Let's make them together next time.\They're bitter.\I can't let Umaru-san eat these.\I'll keep them just in case, and make new ones.\I'll make Master's cookies first.\It worked this time!\Time to wrap them.\Oh, the bags are in my room. response:	I hope Master will be happy.
context: They're bitter.\I can't let Umaru-san eat these.\I'll keep them just in case, and make new ones.\I'll make Master's cookies first.\It worked this time!\Time to wrap them.\Oh, the bags are in my room.\I hope Master will be happy. response:	These are delightful!
context: I can't let Umaru-san eat these.\I'll keep them just in case, and make new ones.\I'll make Master's cookies first.\It worked this time!\Time to wrap them.\Oh, the bags are in my room.\I hope Master will be happy.\These are delightful! response:	Sheesh, you should really be more up-front with these things.
context: I'll keep them just in case, and make new ones.\I'll make Master's cookies first.\It worked this time!\Time to wrap them.\Oh, the bags are in my room.\I hope Master will be happy.\These are delightful!\Sheesh, you should really be more up-front with these things. response:	Don't just leave them here without saying anything.
context: I'll make Master's cookies first.\It worked this time!\Time to wrap them.\Oh, the bags are in my room.\I hope Master will be happy.\These are delightful!\Sheesh, you should really be more up-front with these things.\Don't just leave them here without saying anything. response:	You made these for me, right?
context: It worked this time!\Time to wrap them.\Oh, the bags are in my room.\I hope Master will be happy.\These are delightful!\Sheesh, you should really be more up-front with these things.\Don't just leave them here without saying anything.\You made these for me, right? response:	Don't be shy. Just give them to me.
context: Time to wrap them.\Oh, the bags are in my room.\I hope Master will be happy.\These are delightful!\Sheesh, you should really be more up-front with these things.\Don't just leave them here without saying anything.\You made these for me, right?\Don't be shy. Just give them to me. response:	You should've added a little more sugar, though.
context: Oh, the bags are in my room.\I hope Master will be happy.\These are delightful!\Sheesh, you should really be more up-front with these things.\Don't just leave them here without saying anything.\You made these for me, right?\Don't be shy. Just give them to me.\You should've added a little more sugar, though. response:	Motoba
context: I hope Master will be happy.\These are delightful!\Sheesh, you should really be more up-front with these things.\Don't just leave them here without saying anything.\You made these for me, right?\Don't be shy. Just give them to me.\You should've added a little more sugar, though.\Motoba response:	Huh? What? What's wrong, Kirie?
context: These are delightful!\Sheesh, you should really be more up-front with these things.\Don't just leave them here without saying anything.\You made these for me, right?\Don't be shy. Just give them to me.\You should've added a little more sugar, though.\Motoba\Huh? What? What's wrong, Kirie? response:	The Next Day
context: Sheesh, you should really be more up-front with these things.\Don't just leave them here without saying anything.\You made these for me, right?\Don't be shy. Just give them to me.\You should've added a little more sugar, though.\Motoba\Huh? What? What's wrong, Kirie?\The Next Day response:	U-Umaru-san!
context: Don't just leave them here without saying anything.\You made these for me, right?\Don't be shy. Just give them to me.\You should've added a little more sugar, though.\Motoba\Huh? What? What's wrong, Kirie?\The Next Day\U-Umaru-san! response:	Um... These...
context: You made these for me, right?\Don't be shy. Just give them to me.\You should've added a little more sugar, though.\Motoba\Huh? What? What's wrong, Kirie?\The Next Day\U-Umaru-san!\Um... These... response:	K-Kirie-chan! Are you all right?
context: Don't be shy. Just give them to me.\You should've added a little more sugar, though.\Motoba\Huh? What? What's wrong, Kirie?\The Next Day\U-Umaru-san!\Um... These...\K-Kirie-chan! Are you all right? response:	I-I'm sorry.
context: You should've added a little more sugar, though.\Motoba\Huh? What? What's wrong, Kirie?\The Next Day\U-Umaru-san!\Um... These...\K-Kirie-chan! Are you all right?\I-I'm sorry. response:	Kirie-chan.
context: Motoba\Huh? What? What's wrong, Kirie?\The Next Day\U-Umaru-san!\Um... These...\K-Kirie-chan! Are you all right?\I-I'm sorry.\Kirie-chan. response:	You made me cookies?
context: Huh? What? What's wrong, Kirie?\The Next Day\U-Umaru-san!\Um... These...\K-Kirie-chan! Are you all right?\I-I'm sorry.\Kirie-chan.\You made me cookies? response:	Thank you.
context: The Next Day\U-Umaru-san!\Um... These...\K-Kirie-chan! Are you all right?\I-I'm sorry.\Kirie-chan.\You made me cookies?\Thank you. response:	They're delicious!
context: U-Umaru-san!\Um... These...\K-Kirie-chan! Are you all right?\I-I'm sorry.\Kirie-chan.\You made me cookies?\Thank you.\They're delicious! response:	These are delightful!
context: Um... These...\K-Kirie-chan! Are you all right?\I-I'm sorry.\Kirie-chan.\You made me cookies?\Thank you.\They're delicious!\These are delightful! response:	I'm home.
context: K-Kirie-chan! Are you all right?\I-I'm sorry.\Kirie-chan.\You made me cookies?\Thank you.\They're delicious!\These are delightful!\I'm home. response:	Kirie-chan said those are for you, Onii-chan.
context: I-I'm sorry.\Kirie-chan.\You made me cookies?\Thank you.\They're delicious!\These are delightful!\I'm home.\Kirie-chan said those are for you, Onii-chan. response:	Chocolates?
context: Kirie-chan.\You made me cookies?\Thank you.\They're delicious!\These are delightful!\I'm home.\Kirie-chan said those are for you, Onii-chan.\Chocolates? response:	Oh, no!
context: You made me cookies?\Thank you.\They're delicious!\These are delightful!\I'm home.\Kirie-chan said those are for you, Onii-chan.\Chocolates?\Oh, no! response:	Valentines
context: Thank you.\They're delicious!\These are delightful!\I'm home.\Kirie-chan said those are for you, Onii-chan.\Chocolates?\Oh, no!\Valentines response:	Homemade Corner
context: They're delicious!\These are delightful!\I'm home.\Kirie-chan said those are for you, Onii-chan.\Chocolates?\Oh, no!\Valentines\Homemade Corner response:	Ebina
context: These are delightful!\I'm home.\Kirie-chan said those are for you, Onii-chan.\Chocolates?\Oh, no!\Valentines\Homemade Corner\Ebina response:	Umaruun
context: I'm home.\Kirie-chan said those are for you, Onii-chan.\Chocolates?\Oh, no!\Valentines\Homemade Corner\Ebina\Umaruun response:	It's rare for you to invite me over, Ebina-chan.
context: Kirie-chan said those are for you, Onii-chan.\Chocolates?\Oh, no!\Valentines\Homemade Corner\Ebina\Umaruun\It's rare for you to invite me over, Ebina-chan. response:	I saw some chocolates at the store,
context: Chocolates?\Oh, no!\Valentines\Homemade Corner\Ebina\Umaruun\It's rare for you to invite me over, Ebina-chan.\I saw some chocolates at the store, response:	so I thought it might be nice to make some homemade ones.
context: Oh, no!\Valentines\Homemade Corner\Ebina\Umaruun\It's rare for you to invite me over, Ebina-chan.\I saw some chocolates at the store,\so I thought it might be nice to make some homemade ones. response:	I see.
context: Valentines\Homemade Corner\Ebina\Umaruun\It's rare for you to invite me over, Ebina-chan.\I saw some chocolates at the store,\so I thought it might be nice to make some homemade ones.\I see. response:	I was just in the mood for chocolates.
context: Homemade Corner\Ebina\Umaruun\It's rare for you to invite me over, Ebina-chan.\I saw some chocolates at the store,\so I thought it might be nice to make some homemade ones.\I see.\I was just in the mood for chocolates. response:	Heartfelt Homemade Chocolate Recipes
context: Ebina\Umaruun\It's rare for you to invite me over, Ebina-chan.\I saw some chocolates at the store,\so I thought it might be nice to make some homemade ones.\I see.\I was just in the mood for chocolates.\Heartfelt Homemade Chocolate Recipes response:	From Friendship Chocolates to Chocolates For Your Crush
context: Umaruun\It's rare for you to invite me over, Ebina-chan.\I saw some chocolates at the store,\so I thought it might be nice to make some homemade ones.\I see.\I was just in the mood for chocolates.\Heartfelt Homemade Chocolate Recipes\From Friendship Chocolates to Chocolates For Your Crush response:	Wahoo!
context: It's rare for you to invite me over, Ebina-chan.\I saw some chocolates at the store,\so I thought it might be nice to make some homemade ones.\I see.\I was just in the mood for chocolates.\Heartfelt Homemade Chocolate Recipes\From Friendship Chocolates to Chocolates For Your Crush\Wahoo! response:	It should be pretty easy. We'll just whip some up and...
context: I saw some chocolates at the store,\so I thought it might be nice to make some homemade ones.\I see.\I was just in the mood for chocolates.\Heartfelt Homemade Chocolate Recipes\From Friendship Chocolates to Chocolates For Your Crush\Wahoo!\It should be pretty easy. We'll just whip some up and... response:	I'll be right back, Ebina-chan.
context: so I thought it might be nice to make some homemade ones.\I see.\I was just in the mood for chocolates.\Heartfelt Homemade Chocolate Recipes\From Friendship Chocolates to Chocolates For Your Crush\Wahoo!\It should be pretty easy. We'll just whip some up and...\I'll be right back, Ebina-chan. response:	Huh?
context: I see.\I was just in the mood for chocolates.\Heartfelt Homemade Chocolate Recipes\From Friendship Chocolates to Chocolates For Your Crush\Wahoo!\It should be pretty easy. We'll just whip some up and...\I'll be right back, Ebina-chan.\Huh? response:	Onii-chan was home, so I brought him over.
context: I was just in the mood for chocolates.\Heartfelt Homemade Chocolate Recipes\From Friendship Chocolates to Chocolates For Your Crush\Wahoo!\It should be pretty easy. We'll just whip some up and...\I'll be right back, Ebina-chan.\Huh?\Onii-chan was home, so I brought him over. response:	Wh-What's going on?
context: Heartfelt Homemade Chocolate Recipes\From Friendship Chocolates to Chocolates For Your Crush\Wahoo!\It should be pretty easy. We'll just whip some up and...\I'll be right back, Ebina-chan.\Huh?\Onii-chan was home, so I brought him over.\Wh-What's going on? response:	You know, I was in the middle of doing laundry...
context: From Friendship Chocolates to Chocolates For Your Crush\Wahoo!\It should be pretty easy. We'll just whip some up and...\I'll be right back, Ebina-chan.\Huh?\Onii-chan was home, so I brought him over.\Wh-What's going on?\You know, I was in the middle of doing laundry... response:	Chocolates look hard to make, so help us out.
context: Wahoo!\It should be pretty easy. We'll just whip some up and...\I'll be right back, Ebina-chan.\Huh?\Onii-chan was home, so I brought him over.\Wh-What's going on?\You know, I was in the middle of doing laundry...\Chocolates look hard to make, so help us out. response:	You'd prefer it if I weren't here, right, Ebina-chan?
context: It should be pretty easy. We'll just whip some up and...\I'll be right back, Ebina-chan.\Huh?\Onii-chan was home, so I brought him over.\Wh-What's going on?\You know, I was in the middle of doing laundry...\Chocolates look hard to make, so help us out.\You'd prefer it if I weren't here, right, Ebina-chan? response:	N-Not at all. Please stay!
context: I'll be right back, Ebina-chan.\Huh?\Onii-chan was home, so I brought him over.\Wh-What's going on?\You know, I was in the middle of doing laundry...\Chocolates look hard to make, so help us out.\You'd prefer it if I weren't here, right, Ebina-chan?\N-Not at all. Please stay! response:	R-Really?
context: Huh?\Onii-chan was home, so I brought him over.\Wh-What's going on?\You know, I was in the middle of doing laundry...\Chocolates look hard to make, so help us out.\You'd prefer it if I weren't here, right, Ebina-chan?\N-Not at all. Please stay!\R-Really? response:	Chocolates, huh?
context: Onii-chan was home, so I brought him over.\Wh-What's going on?\You know, I was in the middle of doing laundry...\Chocolates look hard to make, so help us out.\You'd prefer it if I weren't here, right, Ebina-chan?\N-Not at all. Please stay!\R-Really?\Chocolates, huh? response:	I know how to make them,
context: Wh-What's going on?\You know, I was in the middle of doing laundry...\Chocolates look hard to make, so help us out.\You'd prefer it if I weren't here, right, Ebina-chan?\N-Not at all. Please stay!\R-Really?\Chocolates, huh?\I know how to make them, response:	but it's probably better if just the girls do it...
context: You know, I was in the middle of doing laundry...\Chocolates look hard to make, so help us out.\You'd prefer it if I weren't here, right, Ebina-chan?\N-Not at all. Please stay!\R-Really?\Chocolates, huh?\I know how to make them,\but it's probably better if just the girls do it... response:	H-Huh?
context: Chocolates look hard to make, so help us out.\You'd prefer it if I weren't here, right, Ebina-chan?\N-Not at all. Please stay!\R-Really?\Chocolates, huh?\I know how to make them,\but it's probably better if just the girls do it...\H-Huh? response:	Sh-She has two refrigerators!
context: You'd prefer it if I weren't here, right, Ebina-chan?\N-Not at all. Please stay!\R-Really?\Chocolates, huh?\I know how to make them,\but it's probably better if just the girls do it...\H-Huh?\Sh-She has two refrigerators! response:	Her kitchen's super fancy, too.
context: N-Not at all. Please stay!\R-Really?\Chocolates, huh?\I know how to make them,\but it's probably better if just the girls do it...\H-Huh?\Sh-She has two refrigerators!\Her kitchen's super fancy, too. response:	Th-This is amazing!
context: R-Really?\Chocolates, huh?\I know how to make them,\but it's probably better if just the girls do it...\H-Huh?\Sh-She has two refrigerators!\Her kitchen's super fancy, too.\Th-This is amazing! response:	I know! I'll try putting kakinotane in the chocolates.
context: Chocolates, huh?\I know how to make them,\but it's probably better if just the girls do it...\H-Huh?\Sh-She has two refrigerators!\Her kitchen's super fancy, too.\Th-This is amazing!\I know! I'll try putting kakinotane in the chocolates. response:	There's No Way That'd Taste Bad
context: I know how to make them,\but it's probably better if just the girls do it...\H-Huh?\Sh-She has two refrigerators!\Her kitchen's super fancy, too.\Th-This is amazing!\I know! I'll try putting kakinotane in the chocolates.\There's No Way That'd Taste Bad response:	Choco Flakes
context: but it's probably better if just the girls do it...\H-Huh?\Sh-She has two refrigerators!\Her kitchen's super fancy, too.\Th-This is amazing!\I know! I'll try putting kakinotane in the chocolates.\There's No Way That'd Taste Bad\Choco Flakes response:	Kakinotane
context: H-Huh?\Sh-She has two refrigerators!\Her kitchen's super fancy, too.\Th-This is amazing!\I know! I'll try putting kakinotane in the chocolates.\There's No Way That'd Taste Bad\Choco Flakes\Kakinotane response:	If you don't put too much energy
context: Sh-She has two refrigerators!\Her kitchen's super fancy, too.\Th-This is amazing!\I know! I'll try putting kakinotane in the chocolates.\There's No Way That'd Taste Bad\Choco Flakes\Kakinotane\If you don't put too much energy response:	into decorations and flavors, you can make homemade chocolates in no time.
context: Her kitchen's super fancy, too.\Th-This is amazing!\I know! I'll try putting kakinotane in the chocolates.\There's No Way That'd Taste Bad\Choco Flakes\Kakinotane\If you don't put too much energy\into decorations and flavors, you can make homemade chocolates in no time. response:	You chop it up, melt it, form the shapes,
context: Th-This is amazing!\I know! I'll try putting kakinotane in the chocolates.\There's No Way That'd Taste Bad\Choco Flakes\Kakinotane\If you don't put too much energy\into decorations and flavors, you can make homemade chocolates in no time.\You chop it up, melt it, form the shapes, response:	and you're done.
context: I know! I'll try putting kakinotane in the chocolates.\There's No Way That'd Taste Bad\Choco Flakes\Kakinotane\If you don't put too much energy\into decorations and flavors, you can make homemade chocolates in no time.\You chop it up, melt it, form the shapes,\and you're done. response:	That's it?
context: There's No Way That'd Taste Bad\Choco Flakes\Kakinotane\If you don't put too much energy\into decorations and flavors, you can make homemade chocolates in no time.\You chop it up, melt it, form the shapes,\and you're done.\That's it? response:	Well, since they're homemade,
context: Choco Flakes\Kakinotane\If you don't put too much energy\into decorations and flavors, you can make homemade chocolates in no time.\You chop it up, melt it, form the shapes,\and you're done.\That's it?\Well, since they're homemade, response:	you could try out different things when you're melting the chocolate.
context: Kakinotane\If you don't put too much energy\into decorations and flavors, you can make homemade chocolates in no time.\You chop it up, melt it, form the shapes,\and you're done.\That's it?\Well, since they're homemade,\you could try out different things when you're melting the chocolate. response:	If you make truffles, you can use whipping cream.
context: If you don't put too much energy\into decorations and flavors, you can make homemade chocolates in no time.\You chop it up, melt it, form the shapes,\and you're done.\That's it?\Well, since they're homemade,\you could try out different things when you're melting the chocolate.\If you make truffles, you can use whipping cream. response:	Drool...
context: into decorations and flavors, you can make homemade chocolates in no time.\You chop it up, melt it, form the shapes,\and you're done.\That's it?\Well, since they're homemade,\you could try out different things when you're melting the chocolate.\If you make truffles, you can use whipping cream.\Drool... response:	If you make raw chocolate, you can use starch syrup.
context: You chop it up, melt it, form the shapes,\and you're done.\That's it?\Well, since they're homemade,\you could try out different things when you're melting the chocolate.\If you make truffles, you can use whipping cream.\Drool...\If you make raw chocolate, you can use starch syrup. response:	That sounds delicious.
context: and you're done.\That's it?\Well, since they're homemade,\you could try out different things when you're melting the chocolate.\If you make truffles, you can use whipping cream.\Drool...\If you make raw chocolate, you can use starch syrup.\That sounds delicious. response:	And...
context: That's it?\Well, since they're homemade,\you could try out different things when you're melting the chocolate.\If you make truffles, you can use whipping cream.\Drool...\If you make raw chocolate, you can use starch syrup.\That sounds delicious.\And... response:	When you make Valentine's chocolates,
context: Well, since they're homemade,\you could try out different things when you're melting the chocolate.\If you make truffles, you can use whipping cream.\Drool...\If you make raw chocolate, you can use starch syrup.\That sounds delicious.\And...\When you make Valentine's chocolates, response:	you melt regular chocolate to make homemade ones so you can give them as gifts,
context: you could try out different things when you're melting the chocolate.\If you make truffles, you can use whipping cream.\Drool...\If you make raw chocolate, you can use starch syrup.\That sounds delicious.\And...\When you make Valentine's chocolates,\you melt regular chocolate to make homemade ones so you can give them as gifts, response:	but you're not just mixing things in to change what type of chocolate it is.
context: If you make truffles, you can use whipping cream.\Drool...\If you make raw chocolate, you can use starch syrup.\That sounds delicious.\And...\When you make Valentine's chocolates,\you melt regular chocolate to make homemade ones so you can give them as gifts,\but you're not just mixing things in to change what type of chocolate it is. response:	You're also mixing your feelings for the recipient into them.
context: Drool...\If you make raw chocolate, you can use starch syrup.\That sounds delicious.\And...\When you make Valentine's chocolates,\you melt regular chocolate to make homemade ones so you can give them as gifts,\but you're not just mixing things in to change what type of chocolate it is.\You're also mixing your feelings for the recipient into them. response:	I thought it might be nice to make some homemade ones.
context: If you make raw chocolate, you can use starch syrup.\That sounds delicious.\And...\When you make Valentine's chocolates,\you melt regular chocolate to make homemade ones so you can give them as gifts,\but you're not just mixing things in to change what type of chocolate it is.\You're also mixing your feelings for the recipient into them.\I thought it might be nice to make some homemade ones. response:	I wonder if Ebina-chan wants to give them to someone.
context: That sounds delicious.\And...\When you make Valentine's chocolates,\you melt regular chocolate to make homemade ones so you can give them as gifts,\but you're not just mixing things in to change what type of chocolate it is.\You're also mixing your feelings for the recipient into them.\I thought it might be nice to make some homemade ones.\I wonder if Ebina-chan wants to give them to someone. response:	Eating chocolate
context: And...\When you make Valentine's chocolates,\you melt regular chocolate to make homemade ones so you can give them as gifts,\but you're not just mixing things in to change what type of chocolate it is.\You're also mixing your feelings for the recipient into them.\I thought it might be nice to make some homemade ones.\I wonder if Ebina-chan wants to give them to someone.\Eating chocolate response:	originally began when people crushed cacao beans and ate them.
context: When you make Valentine's chocolates,\you melt regular chocolate to make homemade ones so you can give them as gifts,\but you're not just mixing things in to change what type of chocolate it is.\You're also mixing your feelings for the recipient into them.\I thought it might be nice to make some homemade ones.\I wonder if Ebina-chan wants to give them to someone.\Eating chocolate\originally began when people crushed cacao beans and ate them. response:	Chocolate as we know it today came to Japan by way of Spain.
context: you melt regular chocolate to make homemade ones so you can give them as gifts,\but you're not just mixing things in to change what type of chocolate it is.\You're also mixing your feelings for the recipient into them.\I thought it might be nice to make some homemade ones.\I wonder if Ebina-chan wants to give them to someone.\Eating chocolate\originally began when people crushed cacao beans and ate them.\Chocolate as we know it today came to Japan by way of Spain. response:	He's giving a speech now...
context: but you're not just mixing things in to change what type of chocolate it is.\You're also mixing your feelings for the recipient into them.\I thought it might be nice to make some homemade ones.\I wonder if Ebina-chan wants to give them to someone.\Eating chocolate\originally began when people crushed cacao beans and ate them.\Chocolate as we know it today came to Japan by way of Spain.\He's giving a speech now... response:	Mix in your feelings for the recipient...
context: You're also mixing your feelings for the recipient into them.\I thought it might be nice to make some homemade ones.\I wonder if Ebina-chan wants to give them to someone.\Eating chocolate\originally began when people crushed cacao beans and ate them.\Chocolate as we know it today came to Japan by way of Spain.\He's giving a speech now...\Mix in your feelings for the recipient... response:	Kakinotane
context: I thought it might be nice to make some homemade ones.\I wonder if Ebina-chan wants to give them to someone.\Eating chocolate\originally began when people crushed cacao beans and ate them.\Chocolate as we know it today came to Japan by way of Spain.\He's giving a speech now...\Mix in your feelings for the recipient...\Kakinotane response:	It's done!
context: I wonder if Ebina-chan wants to give them to someone.\Eating chocolate\originally began when people crushed cacao beans and ate them.\Chocolate as we know it today came to Japan by way of Spain.\He's giving a speech now...\Mix in your feelings for the recipient...\Kakinotane\It's done! response:	Dear = Love
context: Eating chocolate\originally began when people crushed cacao beans and ate them.\Chocolate as we know it today came to Japan by way of Spain.\He's giving a speech now...\Mix in your feelings for the recipient...\Kakinotane\It's done!\Dear = Love response:	I wrote dear!
context: originally began when people crushed cacao beans and ate them.\Chocolate as we know it today came to Japan by way of Spain.\He's giving a speech now...\Mix in your feelings for the recipient...\Kakinotane\It's done!\Dear = Love\I wrote dear! response:	Wh-Wh-Wh-What am I going to do?
context: Chocolate as we know it today came to Japan by way of Spain.\He's giving a speech now...\Mix in your feelings for the recipient...\Kakinotane\It's done!\Dear = Love\I wrote dear!\Wh-Wh-Wh-What am I going to do? response:	Now I have to write his name...
context: He's giving a speech now...\Mix in your feelings for the recipient...\Kakinotane\It's done!\Dear = Love\I wrote dear!\Wh-Wh-Wh-What am I going to do?\Now I have to write his name... response:	What did you put in there?
context: Mix in your feelings for the recipient...\Kakinotane\It's done!\Dear = Love\I wrote dear!\Wh-Wh-Wh-What am I going to do?\Now I have to write his name...\What did you put in there? response:	Kakinotane.
context: Kakinotane\It's done!\Dear = Love\I wrote dear!\Wh-Wh-Wh-What am I going to do?\Now I have to write his name...\What did you put in there?\Kakinotane. response:	What? You sure that's going to be okay?
context: It's done!\Dear = Love\I wrote dear!\Wh-Wh-Wh-What am I going to do?\Now I have to write his name...\What did you put in there?\Kakinotane.\What? You sure that's going to be okay? response:	It tastes amazing when you eat them together.
context: Dear = Love\I wrote dear!\Wh-Wh-Wh-What am I going to do?\Now I have to write his name...\What did you put in there?\Kakinotane.\What? You sure that's going to be okay?\It tastes amazing when you eat them together. response:	These two together are a combination that can't go wrong.
context: I wrote dear!\Wh-Wh-Wh-What am I going to do?\Now I have to write his name...\What did you put in there?\Kakinotane.\What? You sure that's going to be okay?\It tastes amazing when you eat them together.\These two together are a combination that can't go wrong. response:	R-Really?
context: Wh-Wh-Wh-What am I going to do?\Now I have to write his name...\What did you put in there?\Kakinotane.\What? You sure that's going to be okay?\It tastes amazing when you eat them together.\These two together are a combination that can't go wrong.\R-Really? response:	Don't blame me if it's gross.
