context: Ladies and gentlemen, we are now preparing for landing. response:	Please fasten your seatbelts tightly.
context: Come to think of it, today is Monday.\Episode 2: Melancholy Monday\Inbox\Osugi Osugi Osugi Osugi Osugi Osugi\They're all from osugi...\I didn't make it in time for that job interview after all...\One Boy and Girl Were Saved\They're saying a plane crashed because of the missile. response:	The Eleventh Missile!!
context: Episode 2: Melancholy Monday\Inbox\Osugi Osugi Osugi Osugi Osugi Osugi\They're all from osugi...\I didn't make it in time for that job interview after all...\One Boy and Girl Were Saved\They're saying a plane crashed because of the missile.\The Eleventh Missile!! response:	One Boy and Girl Were Saved
context: Inbox\Osugi Osugi Osugi Osugi Osugi Osugi\They're all from osugi...\I didn't make it in time for that job interview after all...\One Boy and Girl Were Saved\They're saying a plane crashed because of the missile.\The Eleventh Missile!!\One Boy and Girl Were Saved response:	It looks like a six-year-old boy and girl miraculously survived...
context: Osugi Osugi Osugi Osugi Osugi Osugi\They're all from osugi...\I didn't make it in time for that job interview after all...\One Boy and Girl Were Saved\They're saying a plane crashed because of the missile.\The Eleventh Missile!!\One Boy and Girl Were Saved\It looks like a six-year-old boy and girl miraculously survived... response:	The Eleventh Missile!!
context: They're all from osugi...\I didn't make it in time for that job interview after all...\One Boy and Girl Were Saved\They're saying a plane crashed because of the missile.\The Eleventh Missile!!\One Boy and Girl Were Saved\It looks like a six-year-old boy and girl miraculously survived...\The Eleventh Missile!! response:	Survivors of the Plane Crash!
context: I didn't make it in time for that job interview after all...\One Boy and Girl Were Saved\They're saying a plane crashed because of the missile.\The Eleventh Missile!!\One Boy and Girl Were Saved\It looks like a six-year-old boy and girl miraculously survived...\The Eleventh Missile!!\Survivors of the Plane Crash! response:	No way, the missile killed people?!
context: One Boy and Girl Were Saved\They're saying a plane crashed because of the missile.\The Eleventh Missile!!\One Boy and Girl Were Saved\It looks like a six-year-old boy and girl miraculously survived...\The Eleventh Missile!!\Survivors of the Plane Crash!\No way, the missile killed people?! response:	Yeah.
context: They're saying a plane crashed because of the missile.\The Eleventh Missile!!\One Boy and Girl Were Saved\It looks like a six-year-old boy and girl miraculously survived...\The Eleventh Missile!!\Survivors of the Plane Crash!\No way, the missile killed people?!\Yeah. response:	But there were no casualties at all last time.
context: The Eleventh Missile!!\One Boy and Girl Were Saved\It looks like a six-year-old boy and girl miraculously survived...\The Eleventh Missile!!\Survivors of the Plane Crash!\No way, the missile killed people?!\Yeah.\But there were no casualties at all last time. response:	oh, so that's why everything is so...
context: One Boy and Girl Were Saved\It looks like a six-year-old boy and girl miraculously survived...\The Eleventh Missile!!\Survivors of the Plane Crash!\No way, the missile killed people?!\Yeah.\But there were no casualties at all last time.\oh, so that's why everything is so... response:	What do you mean, there were no casualties before?
context: It looks like a six-year-old boy and girl miraculously survived...\The Eleventh Missile!!\Survivors of the Plane Crash!\No way, the missile killed people?!\Yeah.\But there were no casualties at all last time.\oh, so that's why everything is so...\What do you mean, there were no casualties before? response:	Yeah, nobody died on Careless Monday, right?
context: The Eleventh Missile!!\Survivors of the Plane Crash!\No way, the missile killed people?!\Yeah.\But there were no casualties at all last time.\oh, so that's why everything is so...\What do you mean, there were no casualties before?\Yeah, nobody died on Careless Monday, right? response:	-Why not?! -Why not?
context: Survivors of the Plane Crash!\No way, the missile killed people?!\Yeah.\But there were no casualties at all last time.\oh, so that's why everything is so...\What do you mean, there were no casualties before?\Yeah, nobody died on Careless Monday, right?\-Why not?! -Why not? response:	Caller: Osugi
context: No way, the missile killed people?!\Yeah.\But there were no casualties at all last time.\oh, so that's why everything is so...\What do you mean, there were no casualties before?\Yeah, nobody died on Careless Monday, right?\-Why not?! -Why not?\Caller: Osugi response:	Hello.
context: Yeah.\But there were no casualties at all last time.\oh, so that's why everything is so...\What do you mean, there were no casualties before?\Yeah, nobody died on Careless Monday, right?\-Why not?! -Why not?\Caller: Osugi\Hello. response:	Oh, Saki? Thank goodness! Are you at the airport already?
context: But there were no casualties at all last time.\oh, so that's why everything is so...\What do you mean, there were no casualties before?\Yeah, nobody died on Careless Monday, right?\-Why not?! -Why not?\Caller: Osugi\Hello.\Oh, Saki? Thank goodness! Are you at the airport already? response:	Sounds like she arrived on schedule.
context: oh, so that's why everything is so...\What do you mean, there were no casualties before?\Yeah, nobody died on Careless Monday, right?\-Why not?! -Why not?\Caller: Osugi\Hello.\Oh, Saki? Thank goodness! Are you at the airport already?\Sounds like she arrived on schedule. response:	Yeah.
context: What do you mean, there were no casualties before?\Yeah, nobody died on Careless Monday, right?\-Why not?! -Why not?\Caller: Osugi\Hello.\Oh, Saki? Thank goodness! Are you at the airport already?\Sounds like she arrived on schedule.\Yeah. response:	We're all fine. There wasn't any damage at your sister's place, either.
context: Yeah, nobody died on Careless Monday, right?\-Why not?! -Why not?\Caller: Osugi\Hello.\Oh, Saki? Thank goodness! Are you at the airport already?\Sounds like she arrived on schedule.\Yeah.\We're all fine. There wasn't any damage at your sister's place, either. response:	Yeah.
context: -Why not?! -Why not?\Caller: Osugi\Hello.\Oh, Saki? Thank goodness! Are you at the airport already?\Sounds like she arrived on schedule.\Yeah.\We're all fine. There wasn't any damage at your sister's place, either.\Yeah. response:	You've got an interview with that company that's hiring you, right?
context: Caller: Osugi\Hello.\Oh, Saki? Thank goodness! Are you at the airport already?\Sounds like she arrived on schedule.\Yeah.\We're all fine. There wasn't any damage at your sister's place, either.\Yeah.\You've got an interview with that company that's hiring you, right? response:	We're in a car on our way to pick you up. Yeah. That's right.
context: Hello.\Oh, Saki? Thank goodness! Are you at the airport already?\Sounds like she arrived on schedule.\Yeah.\We're all fine. There wasn't any damage at your sister's place, either.\Yeah.\You've got an interview with that company that's hiring you, right?\We're in a car on our way to pick you up. Yeah. That's right. response:	Osugi, you're saying that easily, but we'll never make it on time.
context: Oh, Saki? Thank goodness! Are you at the airport already?\Sounds like she arrived on schedule.\Yeah.\We're all fine. There wasn't any damage at your sister's place, either.\Yeah.\You've got an interview with that company that's hiring you, right?\We're in a car on our way to pick you up. Yeah. That's right.\Osugi, you're saying that easily, but we'll never make it on time. response:	Shh!
context: Sounds like she arrived on schedule.\Yeah.\We're all fine. There wasn't any damage at your sister's place, either.\Yeah.\You've got an interview with that company that's hiring you, right?\We're in a car on our way to pick you up. Yeah. That's right.\Osugi, you're saying that easily, but we'll never make it on time.\Shh! response:	No, it's fine, so just wait there. We'll be sure to make it on time-
context: Yeah.\We're all fine. There wasn't any damage at your sister's place, either.\Yeah.\You've got an interview with that company that's hiring you, right?\We're in a car on our way to pick you up. Yeah. That's right.\Osugi, you're saying that easily, but we'll never make it on time.\Shh!\No, it's fine, so just wait there. We'll be sure to make it on time- response:	S-Saki?!
context: We're all fine. There wasn't any damage at your sister's place, either.\Yeah.\You've got an interview with that company that's hiring you, right?\We're in a car on our way to pick you up. Yeah. That's right.\Osugi, you're saying that easily, but we'll never make it on time.\Shh!\No, it's fine, so just wait there. We'll be sure to make it on time-\S-Saki?! response:	We got cut off. I wonder if it's because of that missile?
context: Yeah.\You've got an interview with that company that's hiring you, right?\We're in a car on our way to pick you up. Yeah. That's right.\Osugi, you're saying that easily, but we'll never make it on time.\Shh!\No, it's fine, so just wait there. We'll be sure to make it on time-\S-Saki?!\We got cut off. I wonder if it's because of that missile? response:	I don't think so.
context: You've got an interview with that company that's hiring you, right?\We're in a car on our way to pick you up. Yeah. That's right.\Osugi, you're saying that easily, but we'll never make it on time.\Shh!\No, it's fine, so just wait there. We'll be sure to make it on time-\S-Saki?!\We got cut off. I wonder if it's because of that missile?\I don't think so. response:	What's with all of you?
context: We're in a car on our way to pick you up. Yeah. That's right.\Osugi, you're saying that easily, but we'll never make it on time.\Shh!\No, it's fine, so just wait there. We'll be sure to make it on time-\S-Saki?!\We got cut off. I wonder if it's because of that missile?\I don't think so.\What's with all of you? response:	You guys sure are close.
context: Osugi, you're saying that easily, but we'll never make it on time.\Shh!\No, it's fine, so just wait there. We'll be sure to make it on time-\S-Saki?!\We got cut off. I wonder if it's because of that missile?\I don't think so.\What's with all of you?\You guys sure are close. response:	You just got back from that trip to America together two days ago!
context: Shh!\No, it's fine, so just wait there. We'll be sure to make it on time-\S-Saki?!\We got cut off. I wonder if it's because of that missile?\I don't think so.\What's with all of you?\You guys sure are close.\You just got back from that trip to America together two days ago! response:	More importantly, there's no place for Saki to sit now!
context: No, it's fine, so just wait there. We'll be sure to make it on time-\S-Saki?!\We got cut off. I wonder if it's because of that missile?\I don't think so.\What's with all of you?\You guys sure are close.\You just got back from that trip to America together two days ago!\More importantly, there's no place for Saki to sit now! response:	Your boyfriend?
context: S-Saki?!\We got cut off. I wonder if it's because of that missile?\I don't think so.\What's with all of you?\You guys sure are close.\You just got back from that trip to America together two days ago!\More importantly, there's no place for Saki to sit now!\Your boyfriend? response:	No.
context: We got cut off. I wonder if it's because of that missile?\I don't think so.\What's with all of you?\You guys sure are close.\You just got back from that trip to America together two days ago!\More importantly, there's no place for Saki to sit now!\Your boyfriend?\No. response:	Now you've got a call, Takizawa.
context: I don't think so.\What's with all of you?\You guys sure are close.\You just got back from that trip to America together two days ago!\More importantly, there's no place for Saki to sit now!\Your boyfriend?\No.\Now you've got a call, Takizawa. response:	-Hello? -This is Juiz.
context: What's with all of you?\You guys sure are close.\You just got back from that trip to America together two days ago!\More importantly, there's no place for Saki to sit now!\Your boyfriend?\No.\Now you've got a call, Takizawa.\-Hello? -This is Juiz. response:	You, huh?
context: You guys sure are close.\You just got back from that trip to America together two days ago!\More importantly, there's no place for Saki to sit now!\Your boyfriend?\No.\Now you've got a call, Takizawa.\-Hello? -This is Juiz.\You, huh? response:	Number 9, you've entered the Selecao system's effective range.
context: You just got back from that trip to America together two days ago!\More importantly, there's no place for Saki to sit now!\Your boyfriend?\No.\Now you've got a call, Takizawa.\-Hello? -This is Juiz.\You, huh?\Number 9, you've entered the Selecao system's effective range. response:	Please immediately carry out your obligation as one of the haves.
context: More importantly, there's no place for Saki to sit now!\Your boyfriend?\No.\Now you've got a call, Takizawa.\-Hello? -This is Juiz.\You, huh?\Number 9, you've entered the Selecao system's effective range.\Please immediately carry out your obligation as one of the haves. response:	My obligation as one of the haves?
context: Your boyfriend?\No.\Now you've got a call, Takizawa.\-Hello? -This is Juiz.\You, huh?\Number 9, you've entered the Selecao system's effective range.\Please immediately carry out your obligation as one of the haves.\My obligation as one of the haves? response:	Hang on a second, Juiz!
context: No.\Now you've got a call, Takizawa.\-Hello? -This is Juiz.\You, huh?\Number 9, you've entered the Selecao system's effective range.\Please immediately carry out your obligation as one of the haves.\My obligation as one of the haves?\Hang on a second, Juiz! response:	Juiz?
context: Now you've got a call, Takizawa.\-Hello? -This is Juiz.\You, huh?\Number 9, you've entered the Selecao system's effective range.\Please immediately carry out your obligation as one of the haves.\My obligation as one of the haves?\Hang on a second, Juiz!\Juiz? response:	Oh, hello! My name is Morimi.
context: -Hello? -This is Juiz.\You, huh?\Number 9, you've entered the Selecao system's effective range.\Please immediately carry out your obligation as one of the haves.\My obligation as one of the haves?\Hang on a second, Juiz!\Juiz?\Oh, hello! My name is Morimi. response:	-Could you put me through to Yamada in Human Resources? -I have no idea what you're talking about.
context: You, huh?\Number 9, you've entered the Selecao system's effective range.\Please immediately carry out your obligation as one of the haves.\My obligation as one of the haves?\Hang on a second, Juiz!\Juiz?\Oh, hello! My name is Morimi.\-Could you put me through to Yamada in Human Resources? -I have no idea what you're talking about. response:	If you know why I erased my memories, please tell me.
context: Number 9, you've entered the Selecao system's effective range.\Please immediately carry out your obligation as one of the haves.\My obligation as one of the haves?\Hang on a second, Juiz!\Juiz?\Oh, hello! My name is Morimi.\-Could you put me through to Yamada in Human Resources? -I have no idea what you're talking about.\If you know why I erased my memories, please tell me. response:	I don't know; I merely procured the means for you to do so.
context: Please immediately carry out your obligation as one of the haves.\My obligation as one of the haves?\Hang on a second, Juiz!\Juiz?\Oh, hello! My name is Morimi.\-Could you put me through to Yamada in Human Resources? -I have no idea what you're talking about.\If you know why I erased my memories, please tell me.\I don't know; I merely procured the means for you to do so. response:	If you have any further requests, please don't hesitate to let me know.
context: My obligation as one of the haves?\Hang on a second, Juiz!\Juiz?\Oh, hello! My name is Morimi.\-Could you put me through to Yamada in Human Resources? -I have no idea what you're talking about.\If you know why I erased my memories, please tell me.\I don't know; I merely procured the means for you to do so.\If you have any further requests, please don't hesitate to let me know. response:	The remaining money available to you totals 8,262,307,719 yen.
context: Hang on a second, Juiz!\Juiz?\Oh, hello! My name is Morimi.\-Could you put me through to Yamada in Human Resources? -I have no idea what you're talking about.\If you know why I erased my memories, please tell me.\I don't know; I merely procured the means for you to do so.\If you have any further requests, please don't hesitate to let me know.\The remaining money available to you totals 8,262,307,719 yen. response:	You have a duty to use all of it.
context: Juiz?\Oh, hello! My name is Morimi.\-Could you put me through to Yamada in Human Resources? -I have no idea what you're talking about.\If you know why I erased my memories, please tell me.\I don't know; I merely procured the means for you to do so.\If you have any further requests, please don't hesitate to let me know.\The remaining money available to you totals 8,262,307,719 yen.\You have a duty to use all of it. response:	Duty? Not a right?
context: Oh, hello! My name is Morimi.\-Could you put me through to Yamada in Human Resources? -I have no idea what you're talking about.\If you know why I erased my memories, please tell me.\I don't know; I merely procured the means for you to do so.\If you have any further requests, please don't hesitate to let me know.\The remaining money available to you totals 8,262,307,719 yen.\You have a duty to use all of it.\Duty? Not a right? response:	Correct. I am your concierge.
context: -Could you put me through to Yamada in Human Resources? -I have no idea what you're talking about.\If you know why I erased my memories, please tell me.\I don't know; I merely procured the means for you to do so.\If you have any further requests, please don't hesitate to let me know.\The remaining money available to you totals 8,262,307,719 yen.\You have a duty to use all of it.\Duty? Not a right?\Correct. I am your concierge. response:	I will continue to help you to the best of my ability.
context: If you know why I erased my memories, please tell me.\I don't know; I merely procured the means for you to do so.\If you have any further requests, please don't hesitate to let me know.\The remaining money available to you totals 8,262,307,719 yen.\You have a duty to use all of it.\Duty? Not a right?\Correct. I am your concierge.\I will continue to help you to the best of my ability. response:	I don't really get it,
context: I don't know; I merely procured the means for you to do so.\If you have any further requests, please don't hesitate to let me know.\The remaining money available to you totals 8,262,307,719 yen.\You have a duty to use all of it.\Duty? Not a right?\Correct. I am your concierge.\I will continue to help you to the best of my ability.\I don't really get it, response:	but does that basically mean you'll do anything I say?
context: If you have any further requests, please don't hesitate to let me know.\The remaining money available to you totals 8,262,307,719 yen.\You have a duty to use all of it.\Duty? Not a right?\Correct. I am your concierge.\I will continue to help you to the best of my ability.\I don't really get it,\but does that basically mean you'll do anything I say? response:	In plain terms, yes.
context: The remaining money available to you totals 8,262,307,719 yen.\You have a duty to use all of it.\Duty? Not a right?\Correct. I am your concierge.\I will continue to help you to the best of my ability.\I don't really get it,\but does that basically mean you'll do anything I say?\In plain terms, yes. response:	okay, then- I'm in the airport right now, and I'd like to leave fast.
context: You have a duty to use all of it.\Duty? Not a right?\Correct. I am your concierge.\I will continue to help you to the best of my ability.\I don't really get it,\but does that basically mean you'll do anything I say?\In plain terms, yes.\okay, then- I'm in the airport right now, and I'd like to leave fast. response:	Well? Can you do it?
context: Duty? Not a right?\Correct. I am your concierge.\I will continue to help you to the best of my ability.\I don't really get it,\but does that basically mean you'll do anything I say?\In plain terms, yes.\okay, then- I'm in the airport right now, and I'd like to leave fast.\Well? Can you do it? response:	Accepted. Noblesse oblige. I pray you shall continue to be a savior.
context: Correct. I am your concierge.\I will continue to help you to the best of my ability.\I don't really get it,\but does that basically mean you'll do anything I say?\In plain terms, yes.\okay, then- I'm in the airport right now, and I'd like to leave fast.\Well? Can you do it?\Accepted. Noblesse oblige. I pray you shall continue to be a savior. response:	Number 9? Is that me?
context: I will continue to help you to the best of my ability.\I don't really get it,\but does that basically mean you'll do anything I say?\In plain terms, yes.\okay, then- I'm in the airport right now, and I'd like to leave fast.\Well? Can you do it?\Accepted. Noblesse oblige. I pray you shall continue to be a savior.\Number 9? Is that me? response:	Excuse me, please clear a path.
context: I don't really get it,\but does that basically mean you'll do anything I say?\In plain terms, yes.\okay, then- I'm in the airport right now, and I'd like to leave fast.\Well? Can you do it?\Accepted. Noblesse oblige. I pray you shall continue to be a savior.\Number 9? Is that me?\Excuse me, please clear a path. response:	Wh-What?
context: but does that basically mean you'll do anything I say?\In plain terms, yes.\okay, then- I'm in the airport right now, and I'd like to leave fast.\Well? Can you do it?\Accepted. Noblesse oblige. I pray you shall continue to be a savior.\Number 9? Is that me?\Excuse me, please clear a path.\Wh-What? response:	Please go question a 24-year-old unemployed man
context: In plain terms, yes.\okay, then- I'm in the airport right now, and I'd like to leave fast.\Well? Can you do it?\Accepted. Noblesse oblige. I pray you shall continue to be a savior.\Number 9? Is that me?\Excuse me, please clear a path.\Wh-What?\Please go question a 24-year-old unemployed man response:	suspected of being involved in the mass disappearance of the NEETs.
context: okay, then- I'm in the airport right now, and I'd like to leave fast.\Well? Can you do it?\Accepted. Noblesse oblige. I pray you shall continue to be a savior.\Number 9? Is that me?\Excuse me, please clear a path.\Wh-What?\Please go question a 24-year-old unemployed man\suspected of being involved in the mass disappearance of the NEETs. response:	If a bunch of shut-ins actually left home, isn't that a good thing?
context: Well? Can you do it?\Accepted. Noblesse oblige. I pray you shall continue to be a savior.\Number 9? Is that me?\Excuse me, please clear a path.\Wh-What?\Please go question a 24-year-old unemployed man\suspected of being involved in the mass disappearance of the NEETs.\If a bunch of shut-ins actually left home, isn't that a good thing? response:	Now what?
context: Accepted. Noblesse oblige. I pray you shall continue to be a savior.\Number 9? Is that me?\Excuse me, please clear a path.\Wh-What?\Please go question a 24-year-old unemployed man\suspected of being involved in the mass disappearance of the NEETs.\If a bunch of shut-ins actually left home, isn't that a good thing?\Now what? response:	Selecao Activity History
context: Number 9? Is that me?\Excuse me, please clear a path.\Wh-What?\Please go question a 24-year-old unemployed man\suspected of being involved in the mass disappearance of the NEETs.\If a bunch of shut-ins actually left home, isn't that a good thing?\Now what?\Selecao Activity History response:	Number 9?
context: Excuse me, please clear a path.\Wh-What?\Please go question a 24-year-old unemployed man\suspected of being involved in the mass disappearance of the NEETs.\If a bunch of shut-ins actually left home, isn't that a good thing?\Now what?\Selecao Activity History\Number 9? response:	What's this? It's an obvious bribe!
context: Wh-What?\Please go question a 24-year-old unemployed man\suspected of being involved in the mass disappearance of the NEETs.\If a bunch of shut-ins actually left home, isn't that a good thing?\Now what?\Selecao Activity History\Number 9?\What's this? It's an obvious bribe! response:	And plum chewing gum? He's totally thoughtless...
context: Please go question a 24-year-old unemployed man\suspected of being involved in the mass disappearance of the NEETs.\If a bunch of shut-ins actually left home, isn't that a good thing?\Now what?\Selecao Activity History\Number 9?\What's this? It's an obvious bribe!\And plum chewing gum? He's totally thoughtless... response:	Wait a second.
context: suspected of being involved in the mass disappearance of the NEETs.\If a bunch of shut-ins actually left home, isn't that a good thing?\Now what?\Selecao Activity History\Number 9?\What's this? It's an obvious bribe!\And plum chewing gum? He's totally thoughtless...\Wait a second. response:	Thank you.
context: If a bunch of shut-ins actually left home, isn't that a good thing?\Now what?\Selecao Activity History\Number 9?\What's this? It's an obvious bribe!\And plum chewing gum? He's totally thoughtless...\Wait a second.\Thank you. response:	Wow, so you can also use it this way.
context: Now what?\Selecao Activity History\Number 9?\What's this? It's an obvious bribe!\And plum chewing gum? He's totally thoughtless...\Wait a second.\Thank you.\Wow, so you can also use it this way. response:	Selecao Activity History
context: Selecao Activity History\Number 9?\What's this? It's an obvious bribe!\And plum chewing gum? He's totally thoughtless...\Wait a second.\Thank you.\Wow, so you can also use it this way.\Selecao Activity History response:	He's gotta be a star!
context: Number 9?\What's this? It's an obvious bribe!\And plum chewing gum? He's totally thoughtless...\Wait a second.\Thank you.\Wow, so you can also use it this way.\Selecao Activity History\He's gotta be a star! response:	Thanks!
context: What's this? It's an obvious bribe!\And plum chewing gum? He's totally thoughtless...\Wait a second.\Thank you.\Wow, so you can also use it this way.\Selecao Activity History\He's gotta be a star!\Thanks! response:	Um, this is super-embarrassing...
context: And plum chewing gum? He's totally thoughtless...\Wait a second.\Thank you.\Wow, so you can also use it this way.\Selecao Activity History\He's gotta be a star!\Thanks!\Um, this is super-embarrassing... response:	I wonder if they've got you mixed up with someone else?
context: Wait a second.\Thank you.\Wow, so you can also use it this way.\Selecao Activity History\He's gotta be a star!\Thanks!\Um, this is super-embarrassing...\I wonder if they've got you mixed up with someone else? response:	or wait, are you actually a celebrity?!
context: Thank you.\Wow, so you can also use it this way.\Selecao Activity History\He's gotta be a star!\Thanks!\Um, this is super-embarrassing...\I wonder if they've got you mixed up with someone else?\or wait, are you actually a celebrity?! response:	Who knows?
context: Wow, so you can also use it this way.\Selecao Activity History\He's gotta be a star!\Thanks!\Um, this is super-embarrassing...\I wonder if they've got you mixed up with someone else?\or wait, are you actually a celebrity?!\Who knows? response:	Hey, Takizawa.
context: Selecao Activity History\He's gotta be a star!\Thanks!\Um, this is super-embarrassing...\I wonder if they've got you mixed up with someone else?\or wait, are you actually a celebrity?!\Who knows?\Hey, Takizawa. response:	Do you have any plans right now or anything?
context: He's gotta be a star!\Thanks!\Um, this is super-embarrassing...\I wonder if they've got you mixed up with someone else?\or wait, are you actually a celebrity?!\Who knows?\Hey, Takizawa.\Do you have any plans right now or anything? response:	No.
context: Thanks!\Um, this is super-embarrassing...\I wonder if they've got you mixed up with someone else?\or wait, are you actually a celebrity?!\Who knows?\Hey, Takizawa.\Do you have any plans right now or anything?\No. response:	The truth is, my plans for today are all thrown off, so I'm free now.
context: Um, this is super-embarrassing...\I wonder if they've got you mixed up with someone else?\or wait, are you actually a celebrity?!\Who knows?\Hey, Takizawa.\Do you have any plans right now or anything?\No.\The truth is, my plans for today are all thrown off, so I'm free now. response:	Would you like to go grab a cup of tea with me or something?
context: I wonder if they've got you mixed up with someone else?\or wait, are you actually a celebrity?!\Who knows?\Hey, Takizawa.\Do you have any plans right now or anything?\No.\The truth is, my plans for today are all thrown off, so I'm free now.\Would you like to go grab a cup of tea with me or something? response:	Um, sorry for saying something so weird,
context: or wait, are you actually a celebrity?!\Who knows?\Hey, Takizawa.\Do you have any plans right now or anything?\No.\The truth is, my plans for today are all thrown off, so I'm free now.\Would you like to go grab a cup of tea with me or something?\Um, sorry for saying something so weird, response:	but actually I have no clue who I am.
context: Who knows?\Hey, Takizawa.\Do you have any plans right now or anything?\No.\The truth is, my plans for today are all thrown off, so I'm free now.\Would you like to go grab a cup of tea with me or something?\Um, sorry for saying something so weird,\but actually I have no clue who I am. response:	I have no memory of anything before the White House.
context: Hey, Takizawa.\Do you have any plans right now or anything?\No.\The truth is, my plans for today are all thrown off, so I'm free now.\Would you like to go grab a cup of tea with me or something?\Um, sorry for saying something so weird,\but actually I have no clue who I am.\I have no memory of anything before the White House. response:	I can't remember my name, or what I've been doing, or anything.
context: Do you have any plans right now or anything?\No.\The truth is, my plans for today are all thrown off, so I'm free now.\Would you like to go grab a cup of tea with me or something?\Um, sorry for saying something so weird,\but actually I have no clue who I am.\I have no memory of anything before the White House.\I can't remember my name, or what I've been doing, or anything. response:	So, the first thing I have to do is figure out who I am,
context: No.\The truth is, my plans for today are all thrown off, so I'm free now.\Would you like to go grab a cup of tea with me or something?\Um, sorry for saying something so weird,\but actually I have no clue who I am.\I have no memory of anything before the White House.\I can't remember my name, or what I've been doing, or anything.\So, the first thing I have to do is figure out who I am, response:	so I think I'll start by going to the address on my passport.
context: The truth is, my plans for today are all thrown off, so I'm free now.\Would you like to go grab a cup of tea with me or something?\Um, sorry for saying something so weird,\but actually I have no clue who I am.\I have no memory of anything before the White House.\I can't remember my name, or what I've been doing, or anything.\So, the first thing I have to do is figure out who I am,\so I think I'll start by going to the address on my passport. response:	So let's say goodbye here. See you!
context: Would you like to go grab a cup of tea with me or something?\Um, sorry for saying something so weird,\but actually I have no clue who I am.\I have no memory of anything before the White House.\I can't remember my name, or what I've been doing, or anything.\So, the first thing I have to do is figure out who I am,\so I think I'll start by going to the address on my passport.\So let's say goodbye here. See you! response:	No way!
