context: Unforgivable! He is the number one enemy of all junior high girls! response:	Impure fraternization! It's just unforgivable!
context: It's a nice and quiet place.\Yup! Perfect for a date!\So, do you like it?\I'm a bit surprised you know of a place like this.\Really? I always come here to read\when I don't have cram school.\Mr. Kunitachi.\Oh, Ami. response:	So, you take care of this big park all by yourself?
context: Yup! Perfect for a date!\So, do you like it?\I'm a bit surprised you know of a place like this.\Really? I always come here to read\when I don't have cram school.\Mr. Kunitachi.\Oh, Ami.\So, you take care of this big park all by yourself? response:	Well, that will be coming to an end soon.
context: So, do you like it?\I'm a bit surprised you know of a place like this.\Really? I always come here to read\when I don't have cram school.\Mr. Kunitachi.\Oh, Ami.\So, you take care of this big park all by yourself?\Well, that will be coming to an end soon. response:	What?
context: I'm a bit surprised you know of a place like this.\Really? I always come here to read\when I don't have cram school.\Mr. Kunitachi.\Oh, Ami.\So, you take care of this big park all by yourself?\Well, that will be coming to an end soon.\What? response:	The land owner sold this park,
context: Really? I always come here to read\when I don't have cram school.\Mr. Kunitachi.\Oh, Ami.\So, you take care of this big park all by yourself?\Well, that will be coming to an end soon.\What?\The land owner sold this park, response:	and it's apparently being turned into a business district.
context: when I don't have cram school.\Mr. Kunitachi.\Oh, Ami.\So, you take care of this big park all by yourself?\Well, that will be coming to an end soon.\What?\The land owner sold this park,\and it's apparently being turned into a business district. response:	I had no idea.
context: Mr. Kunitachi.\Oh, Ami.\So, you take care of this big park all by yourself?\Well, that will be coming to an end soon.\What?\The land owner sold this park,\and it's apparently being turned into a business district.\I had no idea. response:	When this park is gone, the birds and animals will have nowhere to go.
context: Oh, Ami.\So, you take care of this big park all by yourself?\Well, that will be coming to an end soon.\What?\The land owner sold this park,\and it's apparently being turned into a business district.\I had no idea.\When this park is gone, the birds and animals will have nowhere to go. response:	It's troubling.
context: So, you take care of this big park all by yourself?\Well, that will be coming to an end soon.\What?\The land owner sold this park,\and it's apparently being turned into a business district.\I had no idea.\When this park is gone, the birds and animals will have nowhere to go.\It's troubling. response:	And it's such a nice park, too.
context: Well, that will be coming to an end soon.\What?\The land owner sold this park,\and it's apparently being turned into a business district.\I had no idea.\When this park is gone, the birds and animals will have nowhere to go.\It's troubling.\And it's such a nice park, too. response:	Well, there is nothing I can do about it.
context: What?\The land owner sold this park,\and it's apparently being turned into a business district.\I had no idea.\When this park is gone, the birds and animals will have nowhere to go.\It's troubling.\And it's such a nice park, too.\Well, there is nothing I can do about it. response:	All right! I'm going to bring a boyfriend here before it's gone.
context: The land owner sold this park,\and it's apparently being turned into a business district.\I had no idea.\When this park is gone, the birds and animals will have nowhere to go.\It's troubling.\And it's such a nice park, too.\Well, there is nothing I can do about it.\All right! I'm going to bring a boyfriend here before it's gone. response:	Jubancho Shopping District
context: and it's apparently being turned into a business district.\I had no idea.\When this park is gone, the birds and animals will have nowhere to go.\It's troubling.\And it's such a nice park, too.\Well, there is nothing I can do about it.\All right! I'm going to bring a boyfriend here before it's gone.\Jubancho Shopping District response:	Where has everyone gone today?!
context: I had no idea.\When this park is gone, the birds and animals will have nowhere to go.\It's troubling.\And it's such a nice park, too.\Well, there is nothing I can do about it.\All right! I'm going to bring a boyfriend here before it's gone.\Jubancho Shopping District\Where has everyone gone today?! response:	Are you okay?
context: When this park is gone, the birds and animals will have nowhere to go.\It's troubling.\And it's such a nice park, too.\Well, there is nothing I can do about it.\All right! I'm going to bring a boyfriend here before it's gone.\Jubancho Shopping District\Where has everyone gone today?!\Are you okay? response:	You don't look hurt.
context: It's troubling.\And it's such a nice park, too.\Well, there is nothing I can do about it.\All right! I'm going to bring a boyfriend here before it's gone.\Jubancho Shopping District\Where has everyone gone today?!\Are you okay?\You don't look hurt. response:	What are you doing to my Luna?!
context: And it's such a nice park, too.\Well, there is nothing I can do about it.\All right! I'm going to bring a boyfriend here before it's gone.\Jubancho Shopping District\Where has everyone gone today?!\Are you okay?\You don't look hurt.\What are you doing to my Luna?! response:	If she's your cat, keep a better eye on her!
context: Well, there is nothing I can do about it.\All right! I'm going to bring a boyfriend here before it's gone.\Jubancho Shopping District\Where has everyone gone today?!\Are you okay?\You don't look hurt.\What are you doing to my Luna?!\If she's your cat, keep a better eye on her! response:	She almost got run over!
context: All right! I'm going to bring a boyfriend here before it's gone.\Jubancho Shopping District\Where has everyone gone today?!\Are you okay?\You don't look hurt.\What are you doing to my Luna?!\If she's your cat, keep a better eye on her!\She almost got run over! response:	None of your business!
context: Jubancho Shopping District\Where has everyone gone today?!\Are you okay?\You don't look hurt.\What are you doing to my Luna?!\If she's your cat, keep a better eye on her!\She almost got run over!\None of your business! response:	Luna isn't like your everyday ordinary cat!
context: Where has everyone gone today?!\Are you okay?\You don't look hurt.\What are you doing to my Luna?!\If she's your cat, keep a better eye on her!\She almost got run over!\None of your business!\Luna isn't like your everyday ordinary cat! response:	Stop it, Usagi.
context: Are you okay?\You don't look hurt.\What are you doing to my Luna?!\If she's your cat, keep a better eye on her!\She almost got run over!\None of your business!\Luna isn't like your everyday ordinary cat!\Stop it, Usagi. response:	That's right. He saved Luna, so you should thank him.
context: You don't look hurt.\What are you doing to my Luna?!\If she's your cat, keep a better eye on her!\She almost got run over!\None of your business!\Luna isn't like your everyday ordinary cat!\Stop it, Usagi.\That's right. He saved Luna, so you should thank him. response:	Yeah, yeah. That's right. He saved Luna, so you should thank him.
context: What are you doing to my Luna?!\If she's your cat, keep a better eye on her!\She almost got run over!\None of your business!\Luna isn't like your everyday ordinary cat!\Stop it, Usagi.\That's right. He saved Luna, so you should thank him.\Yeah, yeah. That's right. He saved Luna, so you should thank him. response:	Yeah, yeah.
context: If she's your cat, keep a better eye on her!\She almost got run over!\None of your business!\Luna isn't like your everyday ordinary cat!\Stop it, Usagi.\That's right. He saved Luna, so you should thank him.\Yeah, yeah. That's right. He saved Luna, so you should thank him.\Yeah, yeah. response:	Yeah, yeah. Why are you both taking his side?!
context: She almost got run over!\None of your business!\Luna isn't like your everyday ordinary cat!\Stop it, Usagi.\That's right. He saved Luna, so you should thank him.\Yeah, yeah. That's right. He saved Luna, so you should thank him.\Yeah, yeah.\Yeah, yeah. Why are you both taking his side?! response:	Why are you both taking his side?!
context: None of your business!\Luna isn't like your everyday ordinary cat!\Stop it, Usagi.\That's right. He saved Luna, so you should thank him.\Yeah, yeah. That's right. He saved Luna, so you should thank him.\Yeah, yeah.\Yeah, yeah. Why are you both taking his side?!\Why are you both taking his side?! response:	Hey.
context: Luna isn't like your everyday ordinary cat!\Stop it, Usagi.\That's right. He saved Luna, so you should thank him.\Yeah, yeah. That's right. He saved Luna, so you should thank him.\Yeah, yeah.\Yeah, yeah. Why are you both taking his side?!\Why are you both taking his side?!\Hey. response:	It's you, Chiba.
context: Stop it, Usagi.\That's right. He saved Luna, so you should thank him.\Yeah, yeah. That's right. He saved Luna, so you should thank him.\Yeah, yeah.\Yeah, yeah. Why are you both taking his side?!\Why are you both taking his side?!\Hey.\It's you, Chiba. response:	Yo, Motoki. It's you, Chiba.
context: That's right. He saved Luna, so you should thank him.\Yeah, yeah. That's right. He saved Luna, so you should thank him.\Yeah, yeah.\Yeah, yeah. Why are you both taking his side?!\Why are you both taking his side?!\Hey.\It's you, Chiba.\Yo, Motoki. It's you, Chiba. response:	Yo, Motoki.
context: Yeah, yeah. That's right. He saved Luna, so you should thank him.\Yeah, yeah.\Yeah, yeah. Why are you both taking his side?!\Why are you both taking his side?!\Hey.\It's you, Chiba.\Yo, Motoki. It's you, Chiba.\Yo, Motoki. response:	Motoki...
context: Yeah, yeah.\Yeah, yeah. Why are you both taking his side?!\Why are you both taking his side?!\Hey.\It's you, Chiba.\Yo, Motoki. It's you, Chiba.\Yo, Motoki.\Motoki... response:	You know him?
context: Yeah, yeah. Why are you both taking his side?!\Why are you both taking his side?!\Hey.\It's you, Chiba.\Yo, Motoki. It's you, Chiba.\Yo, Motoki.\Motoki...\You know him? response:	Yeah, we both go to the same college.
context: Why are you both taking his side?!\Hey.\It's you, Chiba.\Yo, Motoki. It's you, Chiba.\Yo, Motoki.\Motoki...\You know him?\Yeah, we both go to the same college. response:	You're...
context: Hey.\It's you, Chiba.\Yo, Motoki. It's you, Chiba.\Yo, Motoki.\Motoki...\You know him?\Yeah, we both go to the same college.\You're... response:	The stars know everything.
context: It's you, Chiba.\Yo, Motoki. It's you, Chiba.\Yo, Motoki.\Motoki...\You know him?\Yeah, we both go to the same college.\You're...\The stars know everything. response:	O stars, grant me your mysterious powers.
context: Yo, Motoki. It's you, Chiba.\Yo, Motoki.\Motoki...\You know him?\Yeah, we both go to the same college.\You're...\The stars know everything.\O stars, grant me your mysterious powers. response:	The beta star of Cygnus, Albireo,
context: Yo, Motoki.\Motoki...\You know him?\Yeah, we both go to the same college.\You're...\The stars know everything.\O stars, grant me your mysterious powers.\The beta star of Cygnus, Albireo, response:	is noticeably brighter again after 120 years.
context: Motoki...\You know him?\Yeah, we both go to the same college.\You're...\The stars know everything.\O stars, grant me your mysterious powers.\The beta star of Cygnus, Albireo,\is noticeably brighter again after 120 years. response:	So, this is the man who will be influenced by Albireo
context: You know him?\Yeah, we both go to the same college.\You're...\The stars know everything.\O stars, grant me your mysterious powers.\The beta star of Cygnus, Albireo,\is noticeably brighter again after 120 years.\So, this is the man who will be influenced by Albireo response:	and reach his peak energy level.
context: Yeah, we both go to the same college.\You're...\The stars know everything.\O stars, grant me your mysterious powers.\The beta star of Cygnus, Albireo,\is noticeably brighter again after 120 years.\So, this is the man who will be influenced by Albireo\and reach his peak energy level. response:	I shall take the greatest energy of his life from him.
context: You're...\The stars know everything.\O stars, grant me your mysterious powers.\The beta star of Cygnus, Albireo,\is noticeably brighter again after 120 years.\So, this is the man who will be influenced by Albireo\and reach his peak energy level.\I shall take the greatest energy of his life from him. response:	Shoot! Okay, another 100 yen!
context: The stars know everything.\O stars, grant me your mysterious powers.\The beta star of Cygnus, Albireo,\is noticeably brighter again after 120 years.\So, this is the man who will be influenced by Albireo\and reach his peak energy level.\I shall take the greatest energy of his life from him.\Shoot! Okay, another 100 yen! response:	Are you sure it's okay to waste so much money?
context: O stars, grant me your mysterious powers.\The beta star of Cygnus, Albireo,\is noticeably brighter again after 120 years.\So, this is the man who will be influenced by Albireo\and reach his peak energy level.\I shall take the greatest energy of his life from him.\Shoot! Okay, another 100 yen!\Are you sure it's okay to waste so much money? response:	Oh, don't worry about it. Are you sure it's okay to waste so much money?
context: The beta star of Cygnus, Albireo,\is noticeably brighter again after 120 years.\So, this is the man who will be influenced by Albireo\and reach his peak energy level.\I shall take the greatest energy of his life from him.\Shoot! Okay, another 100 yen!\Are you sure it's okay to waste so much money?\Oh, don't worry about it. Are you sure it's okay to waste so much money? response:	Oh, don't worry about it.
context: is noticeably brighter again after 120 years.\So, this is the man who will be influenced by Albireo\and reach his peak energy level.\I shall take the greatest energy of his life from him.\Shoot! Okay, another 100 yen!\Are you sure it's okay to waste so much money?\Oh, don't worry about it. Are you sure it's okay to waste so much money?\Oh, don't worry about it. response:	Wow. So, Mamoru lives by himself?
context: So, this is the man who will be influenced by Albireo\and reach his peak energy level.\I shall take the greatest energy of his life from him.\Shoot! Okay, another 100 yen!\Are you sure it's okay to waste so much money?\Oh, don't worry about it. Are you sure it's okay to waste so much money?\Oh, don't worry about it.\Wow. So, Mamoru lives by himself? response:	Yeah, in an expensive high-rise apartment.
context: and reach his peak energy level.\I shall take the greatest energy of his life from him.\Shoot! Okay, another 100 yen!\Are you sure it's okay to waste so much money?\Oh, don't worry about it. Are you sure it's okay to waste so much money?\Oh, don't worry about it.\Wow. So, Mamoru lives by himself?\Yeah, in an expensive high-rise apartment. response:	After all, he is the son of a rich family.
context: I shall take the greatest energy of his life from him.\Shoot! Okay, another 100 yen!\Are you sure it's okay to waste so much money?\Oh, don't worry about it. Are you sure it's okay to waste so much money?\Oh, don't worry about it.\Wow. So, Mamoru lives by himself?\Yeah, in an expensive high-rise apartment.\After all, he is the son of a rich family. response:	If he goes to the same college as you,
context: Shoot! Okay, another 100 yen!\Are you sure it's okay to waste so much money?\Oh, don't worry about it. Are you sure it's okay to waste so much money?\Oh, don't worry about it.\Wow. So, Mamoru lives by himself?\Yeah, in an expensive high-rise apartment.\After all, he is the son of a rich family.\If he goes to the same college as you, response:	he goes to that really competitive school, right?
context: Are you sure it's okay to waste so much money?\Oh, don't worry about it. Are you sure it's okay to waste so much money?\Oh, don't worry about it.\Wow. So, Mamoru lives by himself?\Yeah, in an expensive high-rise apartment.\After all, he is the son of a rich family.\If he goes to the same college as you,\he goes to that really competitive school, right? response:	Yeah, I suppose.
context: Oh, don't worry about it. Are you sure it's okay to waste so much money?\Oh, don't worry about it.\Wow. So, Mamoru lives by himself?\Yeah, in an expensive high-rise apartment.\After all, he is the son of a rich family.\If he goes to the same college as you,\he goes to that really competitive school, right?\Yeah, I suppose. response:	But, Rei, why are you asking so much about him?
context: Oh, don't worry about it.\Wow. So, Mamoru lives by himself?\Yeah, in an expensive high-rise apartment.\After all, he is the son of a rich family.\If he goes to the same college as you,\he goes to that really competitive school, right?\Yeah, I suppose.\But, Rei, why are you asking so much about him? response:	Oh, no reason!
context: Wow. So, Mamoru lives by himself?\Yeah, in an expensive high-rise apartment.\After all, he is the son of a rich family.\If he goes to the same college as you,\he goes to that really competitive school, right?\Yeah, I suppose.\But, Rei, why are you asking so much about him?\Oh, no reason! response:	Mamoru Chiba. He and I would be a perfect match for each other.
context: Yeah, in an expensive high-rise apartment.\After all, he is the son of a rich family.\If he goes to the same college as you,\he goes to that really competitive school, right?\Yeah, I suppose.\But, Rei, why are you asking so much about him?\Oh, no reason!\Mamoru Chiba. He and I would be a perfect match for each other. response:	I've decided!
context: After all, he is the son of a rich family.\If he goes to the same college as you,\he goes to that really competitive school, right?\Yeah, I suppose.\But, Rei, why are you asking so much about him?\Oh, no reason!\Mamoru Chiba. He and I would be a perfect match for each other.\I've decided! response:	I will go on a date with Mamoru in that park!
context: If he goes to the same college as you,\he goes to that really competitive school, right?\Yeah, I suppose.\But, Rei, why are you asking so much about him?\Oh, no reason!\Mamoru Chiba. He and I would be a perfect match for each other.\I've decided!\I will go on a date with Mamoru in that park! response:	Okay, this'll be the last time!
context: he goes to that really competitive school, right?\Yeah, I suppose.\But, Rei, why are you asking so much about him?\Oh, no reason!\Mamoru Chiba. He and I would be a perfect match for each other.\I've decided!\I will go on a date with Mamoru in that park!\Okay, this'll be the last time! response:	Are you okay, Rei?
context: Yeah, I suppose.\But, Rei, why are you asking so much about him?\Oh, no reason!\Mamoru Chiba. He and I would be a perfect match for each other.\I've decided!\I will go on a date with Mamoru in that park!\Okay, this'll be the last time!\Are you okay, Rei? response:	I'm done for! Are you okay, Rei?
context: But, Rei, why are you asking so much about him?\Oh, no reason!\Mamoru Chiba. He and I would be a perfect match for each other.\I've decided!\I will go on a date with Mamoru in that park!\Okay, this'll be the last time!\Are you okay, Rei?\I'm done for! Are you okay, Rei? response:	I'm done for!
context: Oh, no reason!\Mamoru Chiba. He and I would be a perfect match for each other.\I've decided!\I will go on a date with Mamoru in that park!\Okay, this'll be the last time!\Are you okay, Rei?\I'm done for! Are you okay, Rei?\I'm done for! response:	I wish there was some way to protect this nature.
context: Mamoru Chiba. He and I would be a perfect match for each other.\I've decided!\I will go on a date with Mamoru in that park!\Okay, this'll be the last time!\Are you okay, Rei?\I'm done for! Are you okay, Rei?\I'm done for!\I wish there was some way to protect this nature. response:	You will protect it.
context: I've decided!\I will go on a date with Mamoru in that park!\Okay, this'll be the last time!\Are you okay, Rei?\I'm done for! Are you okay, Rei?\I'm done for!\I wish there was some way to protect this nature.\You will protect it. response:	What?
context: I will go on a date with Mamoru in that park!\Okay, this'll be the last time!\Are you okay, Rei?\I'm done for! Are you okay, Rei?\I'm done for!\I wish there was some way to protect this nature.\You will protect it.\What? response:	Who are you?
context: Okay, this'll be the last time!\Are you okay, Rei?\I'm done for! Are you okay, Rei?\I'm done for!\I wish there was some way to protect this nature.\You will protect it.\What?\Who are you? response:	People have forgotten the boon that nature bestows upon them.
context: Are you okay, Rei?\I'm done for! Are you okay, Rei?\I'm done for!\I wish there was some way to protect this nature.\You will protect it.\What?\Who are you?\People have forgotten the boon that nature bestows upon them. response:	It is time for you to teach those conceited humans the wrath of nature.
context: I'm done for! Are you okay, Rei?\I'm done for!\I wish there was some way to protect this nature.\You will protect it.\What?\Who are you?\People have forgotten the boon that nature bestows upon them.\It is time for you to teach those conceited humans the wrath of nature. response:	Me?
context: I'm done for!\I wish there was some way to protect this nature.\You will protect it.\What?\Who are you?\People have forgotten the boon that nature bestows upon them.\It is time for you to teach those conceited humans the wrath of nature.\Me? response:	That's right.
context: I wish there was some way to protect this nature.\You will protect it.\What?\Who are you?\People have forgotten the boon that nature bestows upon them.\It is time for you to teach those conceited humans the wrath of nature.\Me?\That's right. response:	You.
context: You will protect it.\What?\Who are you?\People have forgotten the boon that nature bestows upon them.\It is time for you to teach those conceited humans the wrath of nature.\Me?\That's right.\You. response:	My loyal monster,
context: What?\Who are you?\People have forgotten the boon that nature bestows upon them.\It is time for you to teach those conceited humans the wrath of nature.\Me?\That's right.\You.\My loyal monster, response:	possess this hat and take this man's energy!
context: Who are you?\People have forgotten the boon that nature bestows upon them.\It is time for you to teach those conceited humans the wrath of nature.\Me?\That's right.\You.\My loyal monster,\possess this hat and take this man's energy! response:	You will teach the humans the wrath of nature. You.
context: People have forgotten the boon that nature bestows upon them.\It is time for you to teach those conceited humans the wrath of nature.\Me?\That's right.\You.\My loyal monster,\possess this hat and take this man's energy!\You will teach the humans the wrath of nature. You. response:	What are these?! Help!
context: It is time for you to teach those conceited humans the wrath of nature.\Me?\That's right.\You.\My loyal monster,\possess this hat and take this man's energy!\You will teach the humans the wrath of nature. You.\What are these?! Help! response:	By using the power of the monster,
context: Me?\That's right.\You.\My loyal monster,\possess this hat and take this man's energy!\You will teach the humans the wrath of nature. You.\What are these?! Help!\By using the power of the monster, response:	you can control the animals and insects at will.
context: That's right.\You.\My loyal monster,\possess this hat and take this man's energy!\You will teach the humans the wrath of nature. You.\What are these?! Help!\By using the power of the monster,\you can control the animals and insects at will. response:	The more you use that power, the more your energy will increase.
context: You.\My loyal monster,\possess this hat and take this man's energy!\You will teach the humans the wrath of nature. You.\What are these?! Help!\By using the power of the monster,\you can control the animals and insects at will.\The more you use that power, the more your energy will increase. response:	According to what Motoki told me,
context: My loyal monster,\possess this hat and take this man's energy!\You will teach the humans the wrath of nature. You.\What are these?! Help!\By using the power of the monster,\you can control the animals and insects at will.\The more you use that power, the more your energy will increase.\According to what Motoki told me, response:	he's supposed to come this way after school.
context: possess this hat and take this man's energy!\You will teach the humans the wrath of nature. You.\What are these?! Help!\By using the power of the monster,\you can control the animals and insects at will.\The more you use that power, the more your energy will increase.\According to what Motoki told me,\he's supposed to come this way after school. response:	I'm sorry.
