context: I thought you'd be back before us. response:	What are you doing?
context: Everyone's desperate to secure a good position.\If it's a race for the best time,\we should run one at a time and then compare results.\They can't do that.\Kakeru, you don't get it, do you?\Huh?\These complaints.\There was no one running near you. response:	You were running alone.
context: If it's a race for the best time,\we should run one at a time and then compare results.\They can't do that.\Kakeru, you don't get it, do you?\Huh?\These complaints.\There was no one running near you.\You were running alone. response:	That's not true.
context: we should run one at a time and then compare results.\They can't do that.\Kakeru, you don't get it, do you?\Huh?\These complaints.\There was no one running near you.\You were running alone.\That's not true. response:	I felt bad to be wearing the same uniform as you.
context: They can't do that.\Kakeru, you don't get it, do you?\Huh?\These complaints.\There was no one running near you.\You were running alone.\That's not true.\I felt bad to be wearing the same uniform as you. response:	It was fantastic.
context: Kakeru, you don't get it, do you?\Huh?\These complaints.\There was no one running near you.\You were running alone.\That's not true.\I felt bad to be wearing the same uniform as you.\It was fantastic. response:	You finished third in your first race.
context: Huh?\These complaints.\There was no one running near you.\You were running alone.\That's not true.\I felt bad to be wearing the same uniform as you.\It was fantastic.\You finished third in your first race. response:	I heard lots of people asking, who was that? after the race.
context: These complaints.\There was no one running near you.\You were running alone.\That's not true.\I felt bad to be wearing the same uniform as you.\It was fantastic.\You finished third in your first race.\I heard lots of people asking, who was that? after the race. response:	Yeah. Everyone was talking about you, especially the girls.
context: There was no one running near you.\You were running alone.\That's not true.\I felt bad to be wearing the same uniform as you.\It was fantastic.\You finished third in your first race.\I heard lots of people asking, who was that? after the race.\Yeah. Everyone was talking about you, especially the girls. response:	Lucky. I wish I had the girls' attention.
context: You were running alone.\That's not true.\I felt bad to be wearing the same uniform as you.\It was fantastic.\You finished third in your first race.\I heard lots of people asking, who was that? after the race.\Yeah. Everyone was talking about you, especially the girls.\Lucky. I wish I had the girls' attention. response:	Kakeru.
context: That's not true.\I felt bad to be wearing the same uniform as you.\It was fantastic.\You finished third in your first race.\I heard lots of people asking, who was that? after the race.\Yeah. Everyone was talking about you, especially the girls.\Lucky. I wish I had the girls' attention.\Kakeru. response:	Good work.
context: I felt bad to be wearing the same uniform as you.\It was fantastic.\You finished third in your first race.\I heard lots of people asking, who was that? after the race.\Yeah. Everyone was talking about you, especially the girls.\Lucky. I wish I had the girls' attention.\Kakeru.\Good work. response:	Yeah!
context: It was fantastic.\You finished third in your first race.\I heard lots of people asking, who was that? after the race.\Yeah. Everyone was talking about you, especially the girls.\Lucky. I wish I had the girls' attention.\Kakeru.\Good work.\Yeah! response:	Run with the Wind
context: You finished third in your first race.\I heard lots of people asking, who was that? after the race.\Yeah. Everyone was talking about you, especially the girls.\Lucky. I wish I had the girls' attention.\Kakeru.\Good work.\Yeah!\Run with the Wind response:	How did we do?
context: I heard lots of people asking, who was that? after the race.\Yeah. Everyone was talking about you, especially the girls.\Lucky. I wish I had the girls' attention.\Kakeru.\Good work.\Yeah!\Run with the Wind\How did we do? response:	How were today's results?
context: Yeah. Everyone was talking about you, especially the girls.\Lucky. I wish I had the girls' attention.\Kakeru.\Good work.\Yeah!\Run with the Wind\How did we do?\How were today's results? response:	What did you guys think?
context: Lucky. I wish I had the girls' attention.\Kakeru.\Good work.\Yeah!\Run with the Wind\How did we do?\How were today's results?\What did you guys think? response:	He doesn't want to comment.
context: Kakeru.\Good work.\Yeah!\Run with the Wind\How did we do?\How were today's results?\What did you guys think?\He doesn't want to comment. response:	It didn't go as well as I'd hoped.
context: Good work.\Yeah!\Run with the Wind\How did we do?\How were today's results?\What did you guys think?\He doesn't want to comment.\It didn't go as well as I'd hoped. response:	It was fun at first.
context: Yeah!\Run with the Wind\How did we do?\How were today's results?\What did you guys think?\He doesn't want to comment.\It didn't go as well as I'd hoped.\It was fun at first. response:	But I couldn't get the right pace.
context: Run with the Wind\How did we do?\How were today's results?\What did you guys think?\He doesn't want to comment.\It didn't go as well as I'd hoped.\It was fun at first.\But I couldn't get the right pace. response:	It really hurts when there are winners and losers.
context: How did we do?\How were today's results?\What did you guys think?\He doesn't want to comment.\It didn't go as well as I'd hoped.\It was fun at first.\But I couldn't get the right pace.\It really hurts when there are winners and losers. response:	Isn't our goal to achieve official records,
context: How were today's results?\What did you guys think?\He doesn't want to comment.\It didn't go as well as I'd hoped.\It was fun at first.\But I couldn't get the right pace.\It really hurts when there are winners and losers.\Isn't our goal to achieve official records, response:	so we can run in the Hakone Ekiden qualifier?
context: What did you guys think?\He doesn't want to comment.\It didn't go as well as I'd hoped.\It was fun at first.\But I couldn't get the right pace.\It really hurts when there are winners and losers.\Isn't our goal to achieve official records,\so we can run in the Hakone Ekiden qualifier? response:	Since none of us did, it was a crushing defeat.
context: He doesn't want to comment.\It didn't go as well as I'd hoped.\It was fun at first.\But I couldn't get the right pace.\It really hurts when there are winners and losers.\Isn't our goal to achieve official records,\so we can run in the Hakone Ekiden qualifier?\Since none of us did, it was a crushing defeat. response:	Huh? Didn't Kakeru and Haiji make it?
context: It didn't go as well as I'd hoped.\It was fun at first.\But I couldn't get the right pace.\It really hurts when there are winners and losers.\Isn't our goal to achieve official records,\so we can run in the Hakone Ekiden qualifier?\Since none of us did, it was a crushing defeat.\Huh? Didn't Kakeru and Haiji make it? response:	You don't need to count them.
context: It was fun at first.\But I couldn't get the right pace.\It really hurts when there are winners and losers.\Isn't our goal to achieve official records,\so we can run in the Hakone Ekiden qualifier?\Since none of us did, it was a crushing defeat.\Huh? Didn't Kakeru and Haiji make it?\You don't need to count them. response:	We should. They're on the team.
context: But I couldn't get the right pace.\It really hurts when there are winners and losers.\Isn't our goal to achieve official records,\so we can run in the Hakone Ekiden qualifier?\Since none of us did, it was a crushing defeat.\Huh? Didn't Kakeru and Haiji make it?\You don't need to count them.\We should. They're on the team. response:	I didn't even beat my personal record from practice.
context: It really hurts when there are winners and losers.\Isn't our goal to achieve official records,\so we can run in the Hakone Ekiden qualifier?\Since none of us did, it was a crushing defeat.\Huh? Didn't Kakeru and Haiji make it?\You don't need to count them.\We should. They're on the team.\I didn't even beat my personal record from practice. response:	Races and practice are different.
context: Isn't our goal to achieve official records,\so we can run in the Hakone Ekiden qualifier?\Since none of us did, it was a crushing defeat.\Huh? Didn't Kakeru and Haiji make it?\You don't need to count them.\We should. They're on the team.\I didn't even beat my personal record from practice.\Races and practice are different. response:	If anything, experiencing the difference was a major achievement.
context: so we can run in the Hakone Ekiden qualifier?\Since none of us did, it was a crushing defeat.\Huh? Didn't Kakeru and Haiji make it?\You don't need to count them.\We should. They're on the team.\I didn't even beat my personal record from practice.\Races and practice are different.\If anything, experiencing the difference was a major achievement. response:	We'll overcome that in our upcoming practices, and...
context: Since none of us did, it was a crushing defeat.\Huh? Didn't Kakeru and Haiji make it?\You don't need to count them.\We should. They're on the team.\I didn't even beat my personal record from practice.\Races and practice are different.\If anything, experiencing the difference was a major achievement.\We'll overcome that in our upcoming practices, and... response:	Running like this...
context: Huh? Didn't Kakeru and Haiji make it?\You don't need to count them.\We should. They're on the team.\I didn't even beat my personal record from practice.\Races and practice are different.\If anything, experiencing the difference was a major achievement.\We'll overcome that in our upcoming practices, and...\Running like this... response:	We will make it in time running like this?
context: You don't need to count them.\We should. They're on the team.\I didn't even beat my personal record from practice.\Races and practice are different.\If anything, experiencing the difference was a major achievement.\We'll overcome that in our upcoming practices, and...\Running like this...\We will make it in time running like this? response:	Of course.
context: We should. They're on the team.\I didn't even beat my personal record from practice.\Races and practice are different.\If anything, experiencing the difference was a major achievement.\We'll overcome that in our upcoming practices, and...\Running like this...\We will make it in time running like this?\Of course. response:	In two weeks, we'll attend the Kikui Uni track meet.
context: I didn't even beat my personal record from practice.\Races and practice are different.\If anything, experiencing the difference was a major achievement.\We'll overcome that in our upcoming practices, and...\Running like this...\We will make it in time running like this?\Of course.\In two weeks, we'll attend the Kikui Uni track meet. response:	We'll practice even harder to prepare for it.
context: Races and practice are different.\If anything, experiencing the difference was a major achievement.\We'll overcome that in our upcoming practices, and...\Running like this...\We will make it in time running like this?\Of course.\In two weeks, we'll attend the Kikui Uni track meet.\We'll practice even harder to prepare for it. response:	Even harder?!
context: If anything, experiencing the difference was a major achievement.\We'll overcome that in our upcoming practices, and...\Running like this...\We will make it in time running like this?\Of course.\In two weeks, we'll attend the Kikui Uni track meet.\We'll practice even harder to prepare for it.\Even harder?! response:	We'll start on a new training schedule tomorrow,
context: We'll overcome that in our upcoming practices, and...\Running like this...\We will make it in time running like this?\Of course.\In two weeks, we'll attend the Kikui Uni track meet.\We'll practice even harder to prepare for it.\Even harder?!\We'll start on a new training schedule tomorrow, response:	increasing both distance and speed.
context: Running like this...\We will make it in time running like this?\Of course.\In two weeks, we'll attend the Kikui Uni track meet.\We'll practice even harder to prepare for it.\Even harder?!\We'll start on a new training schedule tomorrow,\increasing both distance and speed. response:	Can't we have tomorrow off?
context: We will make it in time running like this?\Of course.\In two weeks, we'll attend the Kikui Uni track meet.\We'll practice even harder to prepare for it.\Even harder?!\We'll start on a new training schedule tomorrow,\increasing both distance and speed.\Can't we have tomorrow off? response:	I agree. You need to cool down after a race.
context: Of course.\In two weeks, we'll attend the Kikui Uni track meet.\We'll practice even harder to prepare for it.\Even harder?!\We'll start on a new training schedule tomorrow,\increasing both distance and speed.\Can't we have tomorrow off?\I agree. You need to cool down after a race. response:	There's no need to rest an entire day.
context: In two weeks, we'll attend the Kikui Uni track meet.\We'll practice even harder to prepare for it.\Even harder?!\We'll start on a new training schedule tomorrow,\increasing both distance and speed.\Can't we have tomorrow off?\I agree. You need to cool down after a race.\There's no need to rest an entire day. response:	Long distance running is all about practicing every day.
context: We'll practice even harder to prepare for it.\Even harder?!\We'll start on a new training schedule tomorrow,\increasing both distance and speed.\Can't we have tomorrow off?\I agree. You need to cool down after a race.\There's no need to rest an entire day.\Long distance running is all about practicing every day. response:	I don't mind starting right now.
context: Even harder?!\We'll start on a new training schedule tomorrow,\increasing both distance and speed.\Can't we have tomorrow off?\I agree. You need to cool down after a race.\There's no need to rest an entire day.\Long distance running is all about practicing every day.\I don't mind starting right now. response:	Right now?
context: We'll start on a new training schedule tomorrow,\increasing both distance and speed.\Can't we have tomorrow off?\I agree. You need to cool down after a race.\There's no need to rest an entire day.\Long distance running is all about practicing every day.\I don't mind starting right now.\Right now? response:	I've been drinking.
context: increasing both distance and speed.\Can't we have tomorrow off?\I agree. You need to cool down after a race.\There's no need to rest an entire day.\Long distance running is all about practicing every day.\I don't mind starting right now.\Right now?\I've been drinking. response:	I'm saying we should be taking today's results just that seriously.
context: Can't we have tomorrow off?\I agree. You need to cool down after a race.\There's no need to rest an entire day.\Long distance running is all about practicing every day.\I don't mind starting right now.\Right now?\I've been drinking.\I'm saying we should be taking today's results just that seriously. response:	We're running at Hakone, aren't we?
context: I agree. You need to cool down after a race.\There's no need to rest an entire day.\Long distance running is all about practicing every day.\I don't mind starting right now.\Right now?\I've been drinking.\I'm saying we should be taking today's results just that seriously.\We're running at Hakone, aren't we? response:	Hey, what's gotten into you?
context: There's no need to rest an entire day.\Long distance running is all about practicing every day.\I don't mind starting right now.\Right now?\I've been drinking.\I'm saying we should be taking today's results just that seriously.\We're running at Hakone, aren't we?\Hey, what's gotten into you? response:	Don't worry. We all intend to.
context: Long distance running is all about practicing every day.\I don't mind starting right now.\Right now?\I've been drinking.\I'm saying we should be taking today's results just that seriously.\We're running at Hakone, aren't we?\Hey, what's gotten into you?\Don't worry. We all intend to. response:	Then what are we doing now?
context: I don't mind starting right now.\Right now?\I've been drinking.\I'm saying we should be taking today's results just that seriously.\We're running at Hakone, aren't we?\Hey, what's gotten into you?\Don't worry. We all intend to.\Then what are we doing now? response:	A review session?
context: Right now?\I've been drinking.\I'm saying we should be taking today's results just that seriously.\We're running at Hakone, aren't we?\Hey, what's gotten into you?\Don't worry. We all intend to.\Then what are we doing now?\A review session? response:	This is just a party, isn't it?
context: I've been drinking.\I'm saying we should be taking today's results just that seriously.\We're running at Hakone, aren't we?\Hey, what's gotten into you?\Don't worry. We all intend to.\Then what are we doing now?\A review session?\This is just a party, isn't it? response:	I thought it was a review session.
context: I'm saying we should be taking today's results just that seriously.\We're running at Hakone, aren't we?\Hey, what's gotten into you?\Don't worry. We all intend to.\Then what are we doing now?\A review session?\This is just a party, isn't it?\I thought it was a review session. response:	Me, too.
context: We're running at Hakone, aren't we?\Hey, what's gotten into you?\Don't worry. We all intend to.\Then what are we doing now?\A review session?\This is just a party, isn't it?\I thought it was a review session.\Me, too. response:	You had too much to drink.
context: Hey, what's gotten into you?\Don't worry. We all intend to.\Then what are we doing now?\A review session?\This is just a party, isn't it?\I thought it was a review session.\Me, too.\You had too much to drink. response:	I think this kind of thing is necessary, too.
context: Don't worry. We all intend to.\Then what are we doing now?\A review session?\This is just a party, isn't it?\I thought it was a review session.\Me, too.\You had too much to drink.\I think this kind of thing is necessary, too. response:	Yeah. After all, we're a team.
context: Then what are we doing now?\A review session?\This is just a party, isn't it?\I thought it was a review session.\Me, too.\You had too much to drink.\I think this kind of thing is necessary, too.\Yeah. After all, we're a team. response:	We'll practice hard starting tomorrow.
context: A review session?\This is just a party, isn't it?\I thought it was a review session.\Me, too.\You had too much to drink.\I think this kind of thing is necessary, too.\Yeah. After all, we're a team.\We'll practice hard starting tomorrow. response:	I'm telling you, we should take tomorrow off.
context: This is just a party, isn't it?\I thought it was a review session.\Me, too.\You had too much to drink.\I think this kind of thing is necessary, too.\Yeah. After all, we're a team.\We'll practice hard starting tomorrow.\I'm telling you, we should take tomorrow off. response:	I think it's supposed to rain.
context: I thought it was a review session.\Me, too.\You had too much to drink.\I think this kind of thing is necessary, too.\Yeah. After all, we're a team.\We'll practice hard starting tomorrow.\I'm telling you, we should take tomorrow off.\I think it's supposed to rain. response:	Your jeans do absorb a lot of water.
context: Me, too.\You had too much to drink.\I think this kind of thing is necessary, too.\Yeah. After all, we're a team.\We'll practice hard starting tomorrow.\I'm telling you, we should take tomorrow off.\I think it's supposed to rain.\Your jeans do absorb a lot of water. response:	Don't be ridiculous!
context: You had too much to drink.\I think this kind of thing is necessary, too.\Yeah. After all, we're a team.\We'll practice hard starting tomorrow.\I'm telling you, we should take tomorrow off.\I think it's supposed to rain.\Your jeans do absorb a lot of water.\Don't be ridiculous! response:	Dangerous Character
context: I think this kind of thing is necessary, too.\Yeah. After all, we're a team.\We'll practice hard starting tomorrow.\I'm telling you, we should take tomorrow off.\I think it's supposed to rain.\Your jeans do absorb a lot of water.\Don't be ridiculous!\Dangerous Character response:	It's not that I don't understand how you feel.
context: Yeah. After all, we're a team.\We'll practice hard starting tomorrow.\I'm telling you, we should take tomorrow off.\I think it's supposed to rain.\Your jeans do absorb a lot of water.\Don't be ridiculous!\Dangerous Character\It's not that I don't understand how you feel. response:	But I understand how they feel, too.
context: We'll practice hard starting tomorrow.\I'm telling you, we should take tomorrow off.\I think it's supposed to rain.\Your jeans do absorb a lot of water.\Don't be ridiculous!\Dangerous Character\It's not that I don't understand how you feel.\But I understand how they feel, too. response:	It takes courage to face something head on.
context: I'm telling you, we should take tomorrow off.\I think it's supposed to rain.\Your jeans do absorb a lot of water.\Don't be ridiculous!\Dangerous Character\It's not that I don't understand how you feel.\But I understand how they feel, too.\It takes courage to face something head on. response:	That's something you should have by the time you start.
context: I think it's supposed to rain.\Your jeans do absorb a lot of water.\Don't be ridiculous!\Dangerous Character\It's not that I don't understand how you feel.\But I understand how they feel, too.\It takes courage to face something head on.\That's something you should have by the time you start. response:	Sure, you do.
context: Your jeans do absorb a lot of water.\Don't be ridiculous!\Dangerous Character\It's not that I don't understand how you feel.\But I understand how they feel, too.\It takes courage to face something head on.\That's something you should have by the time you start.\Sure, you do. response:	It's amazing that you were able to compete with Fujioka.
context: Don't be ridiculous!\Dangerous Character\It's not that I don't understand how you feel.\But I understand how they feel, too.\It takes courage to face something head on.\That's something you should have by the time you start.\Sure, you do.\It's amazing that you were able to compete with Fujioka. response:	You must've been incredible.
context: Dangerous Character\It's not that I don't understand how you feel.\But I understand how they feel, too.\It takes courage to face something head on.\That's something you should have by the time you start.\Sure, you do.\It's amazing that you were able to compete with Fujioka.\You must've been incredible. response:	Not at all.
context: It's not that I don't understand how you feel.\But I understand how they feel, too.\It takes courage to face something head on.\That's something you should have by the time you start.\Sure, you do.\It's amazing that you were able to compete with Fujioka.\You must've been incredible.\Not at all. response:	There was nothing I could do during that final lap.
context: But I understand how they feel, too.\It takes courage to face something head on.\That's something you should have by the time you start.\Sure, you do.\It's amazing that you were able to compete with Fujioka.\You must've been incredible.\Not at all.\There was nothing I could do during that final lap. response:	There was nothing we could do from our first lap.
context: It takes courage to face something head on.\That's something you should have by the time you start.\Sure, you do.\It's amazing that you were able to compete with Fujioka.\You must've been incredible.\Not at all.\There was nothing I could do during that final lap.\There was nothing we could do from our first lap. response:	That's why we should be taking this more seriously.
context: That's something you should have by the time you start.\Sure, you do.\It's amazing that you were able to compete with Fujioka.\You must've been incredible.\Not at all.\There was nothing I could do during that final lap.\There was nothing we could do from our first lap.\That's why we should be taking this more seriously. response:	Hey, Kakeru. What should I do?
context: Sure, you do.\It's amazing that you were able to compete with Fujioka.\You must've been incredible.\Not at all.\There was nothing I could do during that final lap.\There was nothing we could do from our first lap.\That's why we should be taking this more seriously.\Hey, Kakeru. What should I do? response:	Huh?
context: It's amazing that you were able to compete with Fujioka.\You must've been incredible.\Not at all.\There was nothing I could do during that final lap.\There was nothing we could do from our first lap.\That's why we should be taking this more seriously.\Hey, Kakeru. What should I do?\Huh? response:	I'm too heavy.
context: You must've been incredible.\Not at all.\There was nothing I could do during that final lap.\There was nothing we could do from our first lap.\That's why we should be taking this more seriously.\Hey, Kakeru. What should I do?\Huh?\I'm too heavy. response:	Should I shed some flesh or shed some bone?
context: Not at all.\There was nothing I could do during that final lap.\There was nothing we could do from our first lap.\That's why we should be taking this more seriously.\Hey, Kakeru. What should I do?\Huh?\I'm too heavy.\Should I shed some flesh or shed some bone? response:	Issues of build are
context: There was nothing I could do during that final lap.\There was nothing we could do from our first lap.\That's why we should be taking this more seriously.\Hey, Kakeru. What should I do?\Huh?\I'm too heavy.\Should I shed some flesh or shed some bone?\Issues of build are response:	They exist.
context: There was nothing we could do from our first lap.\That's why we should be taking this more seriously.\Hey, Kakeru. What should I do?\Huh?\I'm too heavy.\Should I shed some flesh or shed some bone?\Issues of build are\They exist. response:	You know that, don't you?
context: That's why we should be taking this more seriously.\Hey, Kakeru. What should I do?\Huh?\I'm too heavy.\Should I shed some flesh or shed some bone?\Issues of build are\They exist.\You know that, don't you? response:	Running today reaffirmed something for me.
context: Hey, Kakeru. What should I do?\Huh?\I'm too heavy.\Should I shed some flesh or shed some bone?\Issues of build are\They exist.\You know that, don't you?\Running today reaffirmed something for me. response:	My body's not suited to long distance.
context: Huh?\I'm too heavy.\Should I shed some flesh or shed some bone?\Issues of build are\They exist.\You know that, don't you?\Running today reaffirmed something for me.\My body's not suited to long distance. response:	I ran every day,
context: I'm too heavy.\Should I shed some flesh or shed some bone?\Issues of build are\They exist.\You know that, don't you?\Running today reaffirmed something for me.\My body's not suited to long distance.\I ran every day, response:	but it was a close race between me and King, who took some time off.
context: Should I shed some flesh or shed some bone?\Issues of build are\They exist.\You know that, don't you?\Running today reaffirmed something for me.\My body's not suited to long distance.\I ran every day,\but it was a close race between me and King, who took some time off. response:	Is that why you quit running?
context: Issues of build are\They exist.\You know that, don't you?\Running today reaffirmed something for me.\My body's not suited to long distance.\I ran every day,\but it was a close race between me and King, who took some time off.\Is that why you quit running? response:	In high school, yeah. My coach told me to quit.
context: They exist.\You know that, don't you?\Running today reaffirmed something for me.\My body's not suited to long distance.\I ran every day,\but it was a close race between me and King, who took some time off.\Is that why you quit running?\In high school, yeah. My coach told me to quit. response:	Oh, I don't resent him for it.
context: You know that, don't you?\Running today reaffirmed something for me.\My body's not suited to long distance.\I ran every day,\but it was a close race between me and King, who took some time off.\Is that why you quit running?\In high school, yeah. My coach told me to quit.\Oh, I don't resent him for it. response:	If anything, I felt relieved then.
context: Running today reaffirmed something for me.\My body's not suited to long distance.\I ran every day,\but it was a close race between me and King, who took some time off.\Is that why you quit running?\In high school, yeah. My coach told me to quit.\Oh, I don't resent him for it.\If anything, I felt relieved then. response:	But that means you were frustrated, right?
context: My body's not suited to long distance.\I ran every day,\but it was a close race between me and King, who took some time off.\Is that why you quit running?\In high school, yeah. My coach told me to quit.\Oh, I don't resent him for it.\If anything, I felt relieved then.\But that means you were frustrated, right? response:	That's why you told me.
context: I ran every day,\but it was a close race between me and King, who took some time off.\Is that why you quit running?\In high school, yeah. My coach told me to quit.\Oh, I don't resent him for it.\If anything, I felt relieved then.\But that means you were frustrated, right?\That's why you told me. response:	It means you can't give it up.
context: but it was a close race between me and King, who took some time off.\Is that why you quit running?\In high school, yeah. My coach told me to quit.\Oh, I don't resent him for it.\If anything, I felt relieved then.\But that means you were frustrated, right?\That's why you told me.\It means you can't give it up. response:	Maybe you're right.
context: Is that why you quit running?\In high school, yeah. My coach told me to quit.\Oh, I don't resent him for it.\If anything, I felt relieved then.\But that means you were frustrated, right?\That's why you told me.\It means you can't give it up.\Maybe you're right. response:	I was frustrated, but it's also the reason I was happy, too.
context: In high school, yeah. My coach told me to quit.\Oh, I don't resent him for it.\If anything, I felt relieved then.\But that means you were frustrated, right?\That's why you told me.\It means you can't give it up.\Maybe you're right.\I was frustrated, but it's also the reason I was happy, too. response:	That feeling when you start...
context: Oh, I don't resent him for it.\If anything, I felt relieved then.\But that means you were frustrated, right?\That's why you told me.\It means you can't give it up.\Maybe you're right.\I was frustrated, but it's also the reason I was happy, too.\That feeling when you start... response:	I never thought I'd get to taste that again.
context: If anything, I felt relieved then.\But that means you were frustrated, right?\That's why you told me.\It means you can't give it up.\Maybe you're right.\I was frustrated, but it's also the reason I was happy, too.\That feeling when you start...\I never thought I'd get to taste that again. response:	Then you should keep running.
context: But that means you were frustrated, right?\That's why you told me.\It means you can't give it up.\Maybe you're right.\I was frustrated, but it's also the reason I was happy, too.\That feeling when you start...\I never thought I'd get to taste that again.\Then you should keep running. response:	Let's both give everything we have.
context: That's why you told me.\It means you can't give it up.\Maybe you're right.\I was frustrated, but it's also the reason I was happy, too.\That feeling when you start...\I never thought I'd get to taste that again.\Then you should keep running.\Let's both give everything we have. response:	Where's Kakeru?
context: It means you can't give it up.\Maybe you're right.\I was frustrated, but it's also the reason I was happy, too.\That feeling when you start...\I never thought I'd get to taste that again.\Then you should keep running.\Let's both give everything we have.\Where's Kakeru? response:	He went ahead without us.
context: Maybe you're right.\I was frustrated, but it's also the reason I was happy, too.\That feeling when you start...\I never thought I'd get to taste that again.\Then you should keep running.\Let's both give everything we have.\Where's Kakeru?\He went ahead without us. response:	Seriously? So we're back to how we started?
context: I was frustrated, but it's also the reason I was happy, too.\That feeling when you start...\I never thought I'd get to taste that again.\Then you should keep running.\Let's both give everything we have.\Where's Kakeru?\He went ahead without us.\Seriously? So we're back to how we started? response:	He wants to run at his own pace starting today.
context: That feeling when you start...\I never thought I'd get to taste that again.\Then you should keep running.\Let's both give everything we have.\Where's Kakeru?\He went ahead without us.\Seriously? So we're back to how we started?\He wants to run at his own pace starting today. response:	Nico-chan Senpai said he wanted to try running at his own pace
context: I never thought I'd get to taste that again.\Then you should keep running.\Let's both give everything we have.\Where's Kakeru?\He went ahead without us.\Seriously? So we're back to how we started?\He wants to run at his own pace starting today.\Nico-chan Senpai said he wanted to try running at his own pace response:	during morning practice, too.
context: Then you should keep running.\Let's both give everything we have.\Where's Kakeru?\He went ahead without us.\Seriously? So we're back to how we started?\He wants to run at his own pace starting today.\Nico-chan Senpai said he wanted to try running at his own pace\during morning practice, too. response:	What? You sure he didn't just skip?
context: Let's both give everything we have.\Where's Kakeru?\He went ahead without us.\Seriously? So we're back to how we started?\He wants to run at his own pace starting today.\Nico-chan Senpai said he wanted to try running at his own pace\during morning practice, too.\What? You sure he didn't just skip? response:	Kurahara!
context: Where's Kakeru?\He went ahead without us.\Seriously? So we're back to how we started?\He wants to run at his own pace starting today.\Nico-chan Senpai said he wanted to try running at his own pace\during morning practice, too.\What? You sure he didn't just skip?\Kurahara! response:	Shut up!
context: He went ahead without us.\Seriously? So we're back to how we started?\He wants to run at his own pace starting today.\Nico-chan Senpai said he wanted to try running at his own pace\during morning practice, too.\What? You sure he didn't just skip?\Kurahara!\Shut up! response:	It sounds like this thing is groaning! It's creepy!
