context: The Grand Magic Games response:	are about to begin at last.
context: Oh, it wasn't for nothing.\At least not for Jellal and Erza...\And now, the Grand Magic Games' opening game! Let's begin Hidden!\The first person to step up is Quatro Cerberus's Yeager!\From Mermaid Heel, Beth Vanderwood!\From Raven Tail, Nalpudding!\Eve has been called out! From Blue Pegasus, Eve Tilm!\All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon! response:	Rufus is here!
context: At least not for Jellal and Erza...\And now, the Grand Magic Games' opening game! Let's begin Hidden!\The first person to step up is Quatro Cerberus's Yeager!\From Mermaid Heel, Beth Vanderwood!\From Raven Tail, Nalpudding!\Eve has been called out! From Blue Pegasus, Eve Tilm!\All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!\Rufus is here! response:	From Lamia Scale, Lyon Vastia!
context: And now, the Grand Magic Games' opening game! Let's begin Hidden!\The first person to step up is Quatro Cerberus's Yeager!\From Mermaid Heel, Beth Vanderwood!\From Raven Tail, Nalpudding!\Eve has been called out! From Blue Pegasus, Eve Tilm!\All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!\Rufus is here!\From Lamia Scale, Lyon Vastia! response:	From Fairy Tail A Team, Gray Fullbuster!
context: The first person to step up is Quatro Cerberus's Yeager!\From Mermaid Heel, Beth Vanderwood!\From Raven Tail, Nalpudding!\Eve has been called out! From Blue Pegasus, Eve Tilm!\All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!\Rufus is here!\From Lamia Scale, Lyon Vastia!\From Fairy Tail A Team, Gray Fullbuster! response:	From Fairy Tail B Team, Juvia Lockser!
context: From Mermaid Heel, Beth Vanderwood!\From Raven Tail, Nalpudding!\Eve has been called out! From Blue Pegasus, Eve Tilm!\All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!\Rufus is here!\From Lamia Scale, Lyon Vastia!\From Fairy Tail A Team, Gray Fullbuster!\From Fairy Tail B Team, Juvia Lockser! response:	All of the participating players from the eight teams are set!
context: From Raven Tail, Nalpudding!\Eve has been called out! From Blue Pegasus, Eve Tilm!\All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!\Rufus is here!\From Lamia Scale, Lyon Vastia!\From Fairy Tail A Team, Gray Fullbuster!\From Fairy Tail B Team, Juvia Lockser!\All of the participating players from the eight teams are set! response:	And now for the rules of the opening game, Hidden!
context: Eve has been called out! From Blue Pegasus, Eve Tilm!\All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!\Rufus is here!\From Lamia Scale, Lyon Vastia!\From Fairy Tail A Team, Gray Fullbuster!\From Fairy Tail B Team, Juvia Lockser!\All of the participating players from the eight teams are set!\And now for the rules of the opening game, Hidden! response:	On a Night of Falling Stars!
context: All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!\Rufus is here!\From Lamia Scale, Lyon Vastia!\From Fairy Tail A Team, Gray Fullbuster!\From Fairy Tail B Team, Juvia Lockser!\All of the participating players from the eight teams are set!\And now for the rules of the opening game, Hidden!\On a Night of Falling Stars! response:	The Grand Magic Games have begun at last!
context: Rufus is here!\From Lamia Scale, Lyon Vastia!\From Fairy Tail A Team, Gray Fullbuster!\From Fairy Tail B Team, Juvia Lockser!\All of the participating players from the eight teams are set!\And now for the rules of the opening game, Hidden!\On a Night of Falling Stars!\The Grand Magic Games have begun at last! response:	Let's review the rules together, okay?
context: From Lamia Scale, Lyon Vastia!\From Fairy Tail A Team, Gray Fullbuster!\From Fairy Tail B Team, Juvia Lockser!\All of the participating players from the eight teams are set!\And now for the rules of the opening game, Hidden!\On a Night of Falling Stars!\The Grand Magic Games have begun at last!\Let's review the rules together, okay? response:	There can be up to five participants from each guild.
context: From Fairy Tail A Team, Gray Fullbuster!\From Fairy Tail B Team, Juvia Lockser!\All of the participating players from the eight teams are set!\And now for the rules of the opening game, Hidden!\On a Night of Falling Stars!\The Grand Magic Games have begun at last!\Let's review the rules together, okay?\There can be up to five participants from each guild. response:	But according to Poluchka-san,
context: From Fairy Tail B Team, Juvia Lockser!\All of the participating players from the eight teams are set!\And now for the rules of the opening game, Hidden!\On a Night of Falling Stars!\The Grand Magic Games have begun at last!\Let's review the rules together, okay?\There can be up to five participants from each guild.\But according to Poluchka-san, response:	The Grand Magic Games is a festival that lasts seven days.
context: All of the participating players from the eight teams are set!\And now for the rules of the opening game, Hidden!\On a Night of Falling Stars!\The Grand Magic Games have begun at last!\Let's review the rules together, okay?\There can be up to five participants from each guild.\But according to Poluchka-san,\The Grand Magic Games is a festival that lasts seven days. response:	If you recover, you should be able to take part.
context: And now for the rules of the opening game, Hidden!\On a Night of Falling Stars!\The Grand Magic Games have begun at last!\Let's review the rules together, okay?\There can be up to five participants from each guild.\But according to Poluchka-san,\The Grand Magic Games is a festival that lasts seven days.\If you recover, you should be able to take part. response:	On my honor as the advising apothecary of Fairy Tail,
context: On a Night of Falling Stars!\The Grand Magic Games have begun at last!\Let's review the rules together, okay?\There can be up to five participants from each guild.\But according to Poluchka-san,\The Grand Magic Games is a festival that lasts seven days.\If you recover, you should be able to take part.\On my honor as the advising apothecary of Fairy Tail, response:	I swear I'll cure you!
context: The Grand Magic Games have begun at last!\Let's review the rules together, okay?\There can be up to five participants from each guild.\But according to Poluchka-san,\The Grand Magic Games is a festival that lasts seven days.\If you recover, you should be able to take part.\On my honor as the advising apothecary of Fairy Tail,\I swear I'll cure you! response:	It looks like you can have reserve members.
context: Let's review the rules together, okay?\There can be up to five participants from each guild.\But according to Poluchka-san,\The Grand Magic Games is a festival that lasts seven days.\If you recover, you should be able to take part.\On my honor as the advising apothecary of Fairy Tail,\I swear I'll cure you!\It looks like you can have reserve members. response:	I sure hope Wendy, who was ambushed by Raven Tail,
context: There can be up to five participants from each guild.\But according to Poluchka-san,\The Grand Magic Games is a festival that lasts seven days.\If you recover, you should be able to take part.\On my honor as the advising apothecary of Fairy Tail,\I swear I'll cure you!\It looks like you can have reserve members.\I sure hope Wendy, who was ambushed by Raven Tail, response:	can take part in the tournament.
context: But according to Poluchka-san,\The Grand Magic Games is a festival that lasts seven days.\If you recover, you should be able to take part.\On my honor as the advising apothecary of Fairy Tail,\I swear I'll cure you!\It looks like you can have reserve members.\I sure hope Wendy, who was ambushed by Raven Tail,\can take part in the tournament. response:	There are eight teams that made it past the elimination round and can enter the real games.
context: The Grand Magic Games is a festival that lasts seven days.\If you recover, you should be able to take part.\On my honor as the advising apothecary of Fairy Tail,\I swear I'll cure you!\It looks like you can have reserve members.\I sure hope Wendy, who was ambushed by Raven Tail,\can take part in the tournament.\There are eight teams that made it past the elimination round and can enter the real games. response:	There are two of our Fairy Tail teams.
context: If you recover, you should be able to take part.\On my honor as the advising apothecary of Fairy Tail,\I swear I'll cure you!\It looks like you can have reserve members.\I sure hope Wendy, who was ambushed by Raven Tail,\can take part in the tournament.\There are eight teams that made it past the elimination round and can enter the real games.\There are two of our Fairy Tail teams. response:	I'm so proud!
context: On my honor as the advising apothecary of Fairy Tail,\I swear I'll cure you!\It looks like you can have reserve members.\I sure hope Wendy, who was ambushed by Raven Tail,\can take part in the tournament.\There are eight teams that made it past the elimination round and can enter the real games.\There are two of our Fairy Tail teams.\I'm so proud! response:	I don't care about the rest, so I'll cut this short.
context: I swear I'll cure you!\It looks like you can have reserve members.\I sure hope Wendy, who was ambushed by Raven Tail,\can take part in the tournament.\There are eight teams that made it past the elimination round and can enter the real games.\There are two of our Fairy Tail teams.\I'm so proud!\I don't care about the rest, so I'll cut this short. response:	Are you sure it's okay to do that?!
context: It looks like you can have reserve members.\I sure hope Wendy, who was ambushed by Raven Tail,\can take part in the tournament.\There are eight teams that made it past the elimination round and can enter the real games.\There are two of our Fairy Tail teams.\I'm so proud!\I don't care about the rest, so I'll cut this short.\Are you sure it's okay to do that?! response:	Day 1: Hidden and Battle Day 2:??? and Battle Day 3:??? and Battle Day 4:??? and Tag Battle Day 5: Grand Magic Games
context: I sure hope Wendy, who was ambushed by Raven Tail,\can take part in the tournament.\There are eight teams that made it past the elimination round and can enter the real games.\There are two of our Fairy Tail teams.\I'm so proud!\I don't care about the rest, so I'll cut this short.\Are you sure it's okay to do that?!\Day 1: Hidden and Battle Day 2:??? and Battle Day 3:??? and Battle Day 4:??? and Tag Battle Day 5: Grand Magic Games response:	The tournament takes place over the span of five days.
context: can take part in the tournament.\There are eight teams that made it past the elimination round and can enter the real games.\There are two of our Fairy Tail teams.\I'm so proud!\I don't care about the rest, so I'll cut this short.\Are you sure it's okay to do that?!\Day 1: Hidden and Battle Day 2:??? and Battle Day 3:??? and Battle Day 4:??? and Tag Battle Day 5: Grand Magic Games\The tournament takes place over the span of five days. response:	This is the program.
context: There are eight teams that made it past the elimination round and can enter the real games.\There are two of our Fairy Tail teams.\I'm so proud!\I don't care about the rest, so I'll cut this short.\Are you sure it's okay to do that?!\Day 1: Hidden and Battle Day 2:??? and Battle Day 3:??? and Battle Day 4:??? and Tag Battle Day 5: Grand Magic Games\The tournament takes place over the span of five days.\This is the program. response:	Each day has a competition part and a battle part.
context: There are two of our Fairy Tail teams.\I'm so proud!\I don't care about the rest, so I'll cut this short.\Are you sure it's okay to do that?!\Day 1: Hidden and Battle Day 2:??? and Battle Day 3:??? and Battle Day 4:??? and Tag Battle Day 5: Grand Magic Games\The tournament takes place over the span of five days.\This is the program.\Each day has a competition part and a battle part. response:	In the competition part, the teams can decide which member participates.
context: I'm so proud!\I don't care about the rest, so I'll cut this short.\Are you sure it's okay to do that?!\Day 1: Hidden and Battle Day 2:??? and Battle Day 3:??? and Battle Day 4:??? and Tag Battle Day 5: Grand Magic Games\The tournament takes place over the span of five days.\This is the program.\Each day has a competition part and a battle part.\In the competition part, the teams can decide which member participates. response:	Competition Part Points 1st place: 10 points 2nd place: 8 points 3rd place: 6 points 4th place: 4 points 5th place: 3 points 6th place: 2 points 7th place: 1 point 8th place: 0 points
context: I don't care about the rest, so I'll cut this short.\Are you sure it's okay to do that?!\Day 1: Hidden and Battle Day 2:??? and Battle Day 3:??? and Battle Day 4:??? and Tag Battle Day 5: Grand Magic Games\The tournament takes place over the span of five days.\This is the program.\Each day has a competition part and a battle part.\In the competition part, the teams can decide which member participates.\Competition Part Points 1st place: 10 points 2nd place: 8 points 3rd place: 6 points 4th place: 4 points 5th place: 3 points 6th place: 2 points 7th place: 1 point 8th place: 0 points response:	It's a tournament in which each team is ranked.
context: Are you sure it's okay to do that?!\Day 1: Hidden and Battle Day 2:??? and Battle Day 3:??? and Battle Day 4:??? and Tag Battle Day 5: Grand Magic Games\The tournament takes place over the span of five days.\This is the program.\Each day has a competition part and a battle part.\In the competition part, the teams can decide which member participates.\Competition Part Points 1st place: 10 points 2nd place: 8 points 3rd place: 6 points 4th place: 4 points 5th place: 3 points 6th place: 2 points 7th place: 1 point 8th place: 0 points\It's a tournament in which each team is ranked. response:	For the battle part, the sponsors apparently decide the match-ups.
context: Day 1: Hidden and Battle Day 2:??? and Battle Day 3:??? and Battle Day 4:??? and Tag Battle Day 5: Grand Magic Games\The tournament takes place over the span of five days.\This is the program.\Each day has a competition part and a battle part.\In the competition part, the teams can decide which member participates.\Competition Part Points 1st place: 10 points 2nd place: 8 points 3rd place: 6 points 4th place: 4 points 5th place: 3 points 6th place: 2 points 7th place: 1 point 8th place: 0 points\It's a tournament in which each team is ranked.\For the battle part, the sponsors apparently decide the match-ups. response:	Battle Part Win: 10 points Tie: 5 points Loss: 0 points
context: The tournament takes place over the span of five days.\This is the program.\Each day has a competition part and a battle part.\In the competition part, the teams can decide which member participates.\Competition Part Points 1st place: 10 points 2nd place: 8 points 3rd place: 6 points 4th place: 4 points 5th place: 3 points 6th place: 2 points 7th place: 1 point 8th place: 0 points\It's a tournament in which each team is ranked.\For the battle part, the sponsors apparently decide the match-ups.\Battle Part Win: 10 points Tie: 5 points Loss: 0 points response:	The points aren't doled out by rank,
context: This is the program.\Each day has a competition part and a battle part.\In the competition part, the teams can decide which member participates.\Competition Part Points 1st place: 10 points 2nd place: 8 points 3rd place: 6 points 4th place: 4 points 5th place: 3 points 6th place: 2 points 7th place: 1 point 8th place: 0 points\It's a tournament in which each team is ranked.\For the battle part, the sponsors apparently decide the match-ups.\Battle Part Win: 10 points Tie: 5 points Loss: 0 points\The points aren't doled out by rank, response:	but are awarded with wins.
context: Each day has a competition part and a battle part.\In the competition part, the teams can decide which member participates.\Competition Part Points 1st place: 10 points 2nd place: 8 points 3rd place: 6 points 4th place: 4 points 5th place: 3 points 6th place: 2 points 7th place: 1 point 8th place: 0 points\It's a tournament in which each team is ranked.\For the battle part, the sponsors apparently decide the match-ups.\Battle Part Win: 10 points Tie: 5 points Loss: 0 points\The points aren't doled out by rank,\but are awarded with wins. response:	This system will play out repeatedly over five days
context: In the competition part, the teams can decide which member participates.\Competition Part Points 1st place: 10 points 2nd place: 8 points 3rd place: 6 points 4th place: 4 points 5th place: 3 points 6th place: 2 points 7th place: 1 point 8th place: 0 points\It's a tournament in which each team is ranked.\For the battle part, the sponsors apparently decide the match-ups.\Battle Part Win: 10 points Tie: 5 points Loss: 0 points\The points aren't doled out by rank,\but are awarded with wins.\This system will play out repeatedly over five days response:	and at the end, the team with the most points will be the winner.
context: Competition Part Points 1st place: 10 points 2nd place: 8 points 3rd place: 6 points 4th place: 4 points 5th place: 3 points 6th place: 2 points 7th place: 1 point 8th place: 0 points\It's a tournament in which each team is ranked.\For the battle part, the sponsors apparently decide the match-ups.\Battle Part Win: 10 points Tie: 5 points Loss: 0 points\The points aren't doled out by rank,\but are awarded with wins.\This system will play out repeatedly over five days\and at the end, the team with the most points will be the winner. response:	Do your best, Fairy Tail!
context: It's a tournament in which each team is ranked.\For the battle part, the sponsors apparently decide the match-ups.\Battle Part Win: 10 points Tie: 5 points Loss: 0 points\The points aren't doled out by rank,\but are awarded with wins.\This system will play out repeatedly over five days\and at the end, the team with the most points will be the winner.\Do your best, Fairy Tail! response:	Participants for Hidden, come forward.
context: For the battle part, the sponsors apparently decide the match-ups.\Battle Part Win: 10 points Tie: 5 points Loss: 0 points\The points aren't doled out by rank,\but are awarded with wins.\This system will play out repeatedly over five days\and at the end, the team with the most points will be the winner.\Do your best, Fairy Tail!\Participants for Hidden, come forward. response:	See ya later.
context: Battle Part Win: 10 points Tie: 5 points Loss: 0 points\The points aren't doled out by rank,\but are awarded with wins.\This system will play out repeatedly over five days\and at the end, the team with the most points will be the winner.\Do your best, Fairy Tail!\Participants for Hidden, come forward.\See ya later. response:	Good luck!
context: The points aren't doled out by rank,\but are awarded with wins.\This system will play out repeatedly over five days\and at the end, the team with the most points will be the winner.\Do your best, Fairy Tail!\Participants for Hidden, come forward.\See ya later.\Good luck! response:	You better not lose!
context: but are awarded with wins.\This system will play out repeatedly over five days\and at the end, the team with the most points will be the winner.\Do your best, Fairy Tail!\Participants for Hidden, come forward.\See ya later.\Good luck!\You better not lose! response:	Especially to Gajeel's team!
context: This system will play out repeatedly over five days\and at the end, the team with the most points will be the winner.\Do your best, Fairy Tail!\Participants for Hidden, come forward.\See ya later.\Good luck!\You better not lose!\Especially to Gajeel's team! response:	And Sabertooth and Raven Tail and...
context: and at the end, the team with the most points will be the winner.\Do your best, Fairy Tail!\Participants for Hidden, come forward.\See ya later.\Good luck!\You better not lose!\Especially to Gajeel's team!\And Sabertooth and Raven Tail and... response:	If you're a Man, win, Gray!
context: Do your best, Fairy Tail!\Participants for Hidden, come forward.\See ya later.\Good luck!\You better not lose!\Especially to Gajeel's team!\And Sabertooth and Raven Tail and...\If you're a Man, win, Gray! response:	We're about ready to begin!
context: Participants for Hidden, come forward.\See ya later.\Good luck!\You better not lose!\Especially to Gajeel's team!\And Sabertooth and Raven Tail and...\If you're a Man, win, Gray!\We're about ready to begin! response:	But exactly what kind of competition is Hidden?
context: See ya later.\Good luck!\You better not lose!\Especially to Gajeel's team!\And Sabertooth and Raven Tail and...\If you're a Man, win, Gray!\We're about ready to begin!\But exactly what kind of competition is Hidden? response:	Commentator Yajima-san, is there a player we should pay attention to especially?
context: Good luck!\You better not lose!\Especially to Gajeel's team!\And Sabertooth and Raven Tail and...\If you're a Man, win, Gray!\We're about ready to begin!\But exactly what kind of competition is Hidden?\Commentator Yajima-san, is there a player we should pay attention to especially? response:	Sabertooth's Rufus-kun is probably the crowd's favorite,
context: You better not lose!\Especially to Gajeel's team!\And Sabertooth and Raven Tail and...\If you're a Man, win, Gray!\We're about ready to begin!\But exactly what kind of competition is Hidden?\Commentator Yajima-san, is there a player we should pay attention to especially?\Sabertooth's Rufus-kun is probably the crowd's favorite, response:	but I'm going to be watching Gray-kun.
context: Especially to Gajeel's team!\And Sabertooth and Raven Tail and...\If you're a Man, win, Gray!\We're about ready to begin!\But exactly what kind of competition is Hidden?\Commentator Yajima-san, is there a player we should pay attention to especially?\Sabertooth's Rufus-kun is probably the crowd's favorite,\but I'm going to be watching Gray-kun. response:	How about our guest for today, Blue Pegasus's Jenny-san?!
context: And Sabertooth and Raven Tail and...\If you're a Man, win, Gray!\We're about ready to begin!\But exactly what kind of competition is Hidden?\Commentator Yajima-san, is there a player we should pay attention to especially?\Sabertooth's Rufus-kun is probably the crowd's favorite,\but I'm going to be watching Gray-kun.\How about our guest for today, Blue Pegasus's Jenny-san?! response:	Of course, our Eve-kun.
context: If you're a Man, win, Gray!\We're about ready to begin!\But exactly what kind of competition is Hidden?\Commentator Yajima-san, is there a player we should pay attention to especially?\Sabertooth's Rufus-kun is probably the crowd's favorite,\but I'm going to be watching Gray-kun.\How about our guest for today, Blue Pegasus's Jenny-san?!\Of course, our Eve-kun. response:	He's strong!
context: We're about ready to begin!\But exactly what kind of competition is Hidden?\Commentator Yajima-san, is there a player we should pay attention to especially?\Sabertooth's Rufus-kun is probably the crowd's favorite,\but I'm going to be watching Gray-kun.\How about our guest for today, Blue Pegasus's Jenny-san?!\Of course, our Eve-kun.\He's strong! response:	Gray-sama...
context: But exactly what kind of competition is Hidden?\Commentator Yajima-san, is there a player we should pay attention to especially?\Sabertooth's Rufus-kun is probably the crowd's favorite,\but I'm going to be watching Gray-kun.\How about our guest for today, Blue Pegasus's Jenny-san?!\Of course, our Eve-kun.\He's strong!\Gray-sama... response:	Sorry to say this, but Juvia has no intentions of losing.
context: Commentator Yajima-san, is there a player we should pay attention to especially?\Sabertooth's Rufus-kun is probably the crowd's favorite,\but I'm going to be watching Gray-kun.\How about our guest for today, Blue Pegasus's Jenny-san?!\Of course, our Eve-kun.\He's strong!\Gray-sama...\Sorry to say this, but Juvia has no intentions of losing. response:	Course not!
context: Sabertooth's Rufus-kun is probably the crowd's favorite,\but I'm going to be watching Gray-kun.\How about our guest for today, Blue Pegasus's Jenny-san?!\Of course, our Eve-kun.\He's strong!\Gray-sama...\Sorry to say this, but Juvia has no intentions of losing.\Course not! response:	Hit me with everything you got!
context: but I'm going to be watching Gray-kun.\How about our guest for today, Blue Pegasus's Jenny-san?!\Of course, our Eve-kun.\He's strong!\Gray-sama...\Sorry to say this, but Juvia has no intentions of losing.\Course not!\Hit me with everything you got! response:	Sorry, but I'll give you everything I've got as well.
context: How about our guest for today, Blue Pegasus's Jenny-san?!\Of course, our Eve-kun.\He's strong!\Gray-sama...\Sorry to say this, but Juvia has no intentions of losing.\Course not!\Hit me with everything you got!\Sorry, but I'll give you everything I've got as well. response:	For Juvia's sake!
context: Of course, our Eve-kun.\He's strong!\Gray-sama...\Sorry to say this, but Juvia has no intentions of losing.\Course not!\Hit me with everything you got!\Sorry, but I'll give you everything I've got as well.\For Juvia's sake! response:	Don't pay him any attention. His stupidity may be catching.
context: He's strong!\Gray-sama...\Sorry to say this, but Juvia has no intentions of losing.\Course not!\Hit me with everything you got!\Sorry, but I'll give you everything I've got as well.\For Juvia's sake!\Don't pay him any attention. His stupidity may be catching. response:	Actually, I've been wondering since the elimination round,
context: Gray-sama...\Sorry to say this, but Juvia has no intentions of losing.\Course not!\Hit me with everything you got!\Sorry, but I'll give you everything I've got as well.\For Juvia's sake!\Don't pay him any attention. His stupidity may be catching.\Actually, I've been wondering since the elimination round, response:	but what are you?
context: Sorry to say this, but Juvia has no intentions of losing.\Course not!\Hit me with everything you got!\Sorry, but I'll give you everything I've got as well.\For Juvia's sake!\Don't pay him any attention. His stupidity may be catching.\Actually, I've been wondering since the elimination round,\but what are you? response:	As you can see, I'm a pumpkin!
context: Course not!\Hit me with everything you got!\Sorry, but I'll give you everything I've got as well.\For Juvia's sake!\Don't pay him any attention. His stupidity may be catching.\Actually, I've been wondering since the elimination round,\but what are you?\As you can see, I'm a pumpkin! response:	Huh? Should I not have asked that?
context: Hit me with everything you got!\Sorry, but I'll give you everything I've got as well.\For Juvia's sake!\Don't pay him any attention. His stupidity may be catching.\Actually, I've been wondering since the elimination round,\but what are you?\As you can see, I'm a pumpkin!\Huh? Should I not have asked that? response:	Juvia thinks you look like a pumpkin, too.
context: Sorry, but I'll give you everything I've got as well.\For Juvia's sake!\Don't pay him any attention. His stupidity may be catching.\Actually, I've been wondering since the elimination round,\but what are you?\As you can see, I'm a pumpkin!\Huh? Should I not have asked that?\Juvia thinks you look like a pumpkin, too. response:	Well, yeah, you look like a pumpkin,
context: For Juvia's sake!\Don't pay him any attention. His stupidity may be catching.\Actually, I've been wondering since the elimination round,\but what are you?\As you can see, I'm a pumpkin!\Huh? Should I not have asked that?\Juvia thinks you look like a pumpkin, too.\Well, yeah, you look like a pumpkin, response:	but what's inside...?
context: Don't pay him any attention. His stupidity may be catching.\Actually, I've been wondering since the elimination round,\but what are you?\As you can see, I'm a pumpkin!\Huh? Should I not have asked that?\Juvia thinks you look like a pumpkin, too.\Well, yeah, you look like a pumpkin,\but what's inside...? response:	This happens every year.
context: Actually, I've been wondering since the elimination round,\but what are you?\As you can see, I'm a pumpkin!\Huh? Should I not have asked that?\Juvia thinks you look like a pumpkin, too.\Well, yeah, you look like a pumpkin,\but what's inside...?\This happens every year. response:	I didn't really pay much attention, though...
context: but what are you?\As you can see, I'm a pumpkin!\Huh? Should I not have asked that?\Juvia thinks you look like a pumpkin, too.\Well, yeah, you look like a pumpkin,\but what's inside...?\This happens every year.\I didn't really pay much attention, though... response:	I think he's a staff member.
context: As you can see, I'm a pumpkin!\Huh? Should I not have asked that?\Juvia thinks you look like a pumpkin, too.\Well, yeah, you look like a pumpkin,\but what's inside...?\This happens every year.\I didn't really pay much attention, though...\I think he's a staff member. response:	Good job creating a character.
context: Huh? Should I not have asked that?\Juvia thinks you look like a pumpkin, too.\Well, yeah, you look like a pumpkin,\but what's inside...?\This happens every year.\I didn't really pay much attention, though...\I think he's a staff member.\Good job creating a character. response:	Non, non! I do this for fun, so no need for praise-kabo!
context: Juvia thinks you look like a pumpkin, too.\Well, yeah, you look like a pumpkin,\but what's inside...?\This happens every year.\I didn't really pay much attention, though...\I think he's a staff member.\Good job creating a character.\Non, non! I do this for fun, so no need for praise-kabo! response:	Don't go overboard on the character thing!
context: Well, yeah, you look like a pumpkin,\but what's inside...?\This happens every year.\I didn't really pay much attention, though...\I think he's a staff member.\Good job creating a character.\Non, non! I do this for fun, so no need for praise-kabo!\Don't go overboard on the character thing! response:	Hold on a second here.
context: but what's inside...?\This happens every year.\I didn't really pay much attention, though...\I think he's a staff member.\Good job creating a character.\Non, non! I do this for fun, so no need for praise-kabo!\Don't go overboard on the character thing!\Hold on a second here. response:	This competition that's gonna start any second, Hidden...
context: This happens every year.\I didn't really pay much attention, though...\I think he's a staff member.\Good job creating a character.\Non, non! I do this for fun, so no need for praise-kabo!\Don't go overboard on the character thing!\Hold on a second here.\This competition that's gonna start any second, Hidden... response:	I don't know what it entails...
context: I didn't really pay much attention, though...\I think he's a staff member.\Good job creating a character.\Non, non! I do this for fun, so no need for praise-kabo!\Don't go overboard on the character thing!\Hold on a second here.\This competition that's gonna start any second, Hidden...\I don't know what it entails... response:	It can't be helped.
context: I think he's a staff member.\Good job creating a character.\Non, non! I do this for fun, so no need for praise-kabo!\Don't go overboard on the character thing!\Hold on a second here.\This competition that's gonna start any second, Hidden...\I don't know what it entails...\It can't be helped. response:	It's amazing that two teams from the same guild made it this far...
context: Good job creating a character.\Non, non! I do this for fun, so no need for praise-kabo!\Don't go overboard on the character thing!\Hold on a second here.\This competition that's gonna start any second, Hidden...\I don't know what it entails...\It can't be helped.\It's amazing that two teams from the same guild made it this far... response:	It's fine with me.
context: Non, non! I do this for fun, so no need for praise-kabo!\Don't go overboard on the character thing!\Hold on a second here.\This competition that's gonna start any second, Hidden...\I don't know what it entails...\It can't be helped.\It's amazing that two teams from the same guild made it this far...\It's fine with me. response:	My memory is singing.
context: Don't go overboard on the character thing!\Hold on a second here.\This competition that's gonna start any second, Hidden...\I don't know what it entails...\It can't be helped.\It's amazing that two teams from the same guild made it this far...\It's fine with me.\My memory is singing. response:	It's not necessarily the case that two of them confers an advantage.
context: Hold on a second here.\This competition that's gonna start any second, Hidden...\I don't know what it entails...\It can't be helped.\It's amazing that two teams from the same guild made it this far...\It's fine with me.\My memory is singing.\It's not necessarily the case that two of them confers an advantage. response:	I don't especially care either!
context: This competition that's gonna start any second, Hidden...\I don't know what it entails...\It can't be helped.\It's amazing that two teams from the same guild made it this far...\It's fine with me.\My memory is singing.\It's not necessarily the case that two of them confers an advantage.\I don't especially care either! response:	I'm fine with it.
