context: You're restless, Kanaloa... response:	Do you also feel a stirring in your heart?
context: That's not what this is!\Targeted Lucy!\There's no point in hiding her.\We know Lucy Heartfilia belongs to this guild.\Maybe we'd better introduce ourselves, baby!\What is this about?\Why are they after you, Nee-san?\Don't ask me! response:	You suddenly show up out of nowhere and make this ridiculous demand?!
context: Targeted Lucy!\There's no point in hiding her.\We know Lucy Heartfilia belongs to this guild.\Maybe we'd better introduce ourselves, baby!\What is this about?\Why are they after you, Nee-san?\Don't ask me!\You suddenly show up out of nowhere and make this ridiculous demand?! response:	I'm the Master here.
context: There's no point in hiding her.\We know Lucy Heartfilia belongs to this guild.\Maybe we'd better introduce ourselves, baby!\What is this about?\Why are they after you, Nee-san?\Don't ask me!\You suddenly show up out of nowhere and make this ridiculous demand?!\I'm the Master here. response:	You tell me to give you one of my people without so much as a reason,
context: We know Lucy Heartfilia belongs to this guild.\Maybe we'd better introduce ourselves, baby!\What is this about?\Why are they after you, Nee-san?\Don't ask me!\You suddenly show up out of nowhere and make this ridiculous demand?!\I'm the Master here.\You tell me to give you one of my people without so much as a reason, response:	you can't seriously expect me to say, Oh, of course.
context: Maybe we'd better introduce ourselves, baby!\What is this about?\Why are they after you, Nee-san?\Don't ask me!\You suddenly show up out of nowhere and make this ridiculous demand?!\I'm the Master here.\You tell me to give you one of my people without so much as a reason,\you can't seriously expect me to say, Oh, of course. response:	I don't know who you people are, but get the hell outta here now!
context: What is this about?\Why are they after you, Nee-san?\Don't ask me!\You suddenly show up out of nowhere and make this ridiculous demand?!\I'm the Master here.\You tell me to give you one of my people without so much as a reason,\you can't seriously expect me to say, Oh, of course.\I don't know who you people are, but get the hell outta here now! response:	Oh my goodness, how scary...
context: Why are they after you, Nee-san?\Don't ask me!\You suddenly show up out of nowhere and make this ridiculous demand?!\I'm the Master here.\You tell me to give you one of my people without so much as a reason,\you can't seriously expect me to say, Oh, of course.\I don't know who you people are, but get the hell outta here now!\Oh my goodness, how scary... response:	Recently, several churches have been attacked.
context: Don't ask me!\You suddenly show up out of nowhere and make this ridiculous demand?!\I'm the Master here.\You tell me to give you one of my people without so much as a reason,\you can't seriously expect me to say, Oh, of course.\I don't know who you people are, but get the hell outta here now!\Oh my goodness, how scary...\Recently, several churches have been attacked. response:	Are you the ones...?
context: You suddenly show up out of nowhere and make this ridiculous demand?!\I'm the Master here.\You tell me to give you one of my people without so much as a reason,\you can't seriously expect me to say, Oh, of course.\I don't know who you people are, but get the hell outta here now!\Oh my goodness, how scary...\Recently, several churches have been attacked.\Are you the ones...? response:	I see...
context: I'm the Master here.\You tell me to give you one of my people without so much as a reason,\you can't seriously expect me to say, Oh, of course.\I don't know who you people are, but get the hell outta here now!\Oh my goodness, how scary...\Recently, several churches have been attacked.\Are you the ones...?\I see... response:	Even without positive proof, the timing is too convenient.
context: You tell me to give you one of my people without so much as a reason,\you can't seriously expect me to say, Oh, of course.\I don't know who you people are, but get the hell outta here now!\Oh my goodness, how scary...\Recently, several churches have been attacked.\Are you the ones...?\I see...\Even without positive proof, the timing is too convenient. response:	Spicy!
context: you can't seriously expect me to say, Oh, of course.\I don't know who you people are, but get the hell outta here now!\Oh my goodness, how scary...\Recently, several churches have been attacked.\Are you the ones...?\I see...\Even without positive proof, the timing is too convenient.\Spicy! response:	I mean, that's a spicy accusation...
context: I don't know who you people are, but get the hell outta here now!\Oh my goodness, how scary...\Recently, several churches have been attacked.\Are you the ones...?\I see...\Even without positive proof, the timing is too convenient.\Spicy!\I mean, that's a spicy accusation... response:	That's outrageous...
context: Oh my goodness, how scary...\Recently, several churches have been attacked.\Are you the ones...?\I see...\Even without positive proof, the timing is too convenient.\Spicy!\I mean, that's a spicy accusation...\That's outrageous... response:	We're not obliged to stand here and listen to your drivel.
context: Recently, several churches have been attacked.\Are you the ones...?\I see...\Even without positive proof, the timing is too convenient.\Spicy!\I mean, that's a spicy accusation...\That's outrageous...\We're not obliged to stand here and listen to your drivel. response:	Just give us Lucy Heartfilia immediately!
context: Are you the ones...?\I see...\Even without positive proof, the timing is too convenient.\Spicy!\I mean, that's a spicy accusation...\That's outrageous...\We're not obliged to stand here and listen to your drivel.\Just give us Lucy Heartfilia immediately! response:	But if you refuse to cooperate...
context: I see...\Even without positive proof, the timing is too convenient.\Spicy!\I mean, that's a spicy accusation...\That's outrageous...\We're not obliged to stand here and listen to your drivel.\Just give us Lucy Heartfilia immediately!\But if you refuse to cooperate... response:	Come on, my hound dogs!
context: Even without positive proof, the timing is too convenient.\Spicy!\I mean, that's a spicy accusation...\That's outrageous...\We're not obliged to stand here and listen to your drivel.\Just give us Lucy Heartfilia immediately!\But if you refuse to cooperate...\Come on, my hound dogs! response:	Yes, the springtime of our lives!
context: Spicy!\I mean, that's a spicy accusation...\That's outrageous...\We're not obliged to stand here and listen to your drivel.\Just give us Lucy Heartfilia immediately!\But if you refuse to cooperate...\Come on, my hound dogs!\Yes, the springtime of our lives! response:	What's this?
context: I mean, that's a spicy accusation...\That's outrageous...\We're not obliged to stand here and listen to your drivel.\Just give us Lucy Heartfilia immediately!\But if you refuse to cooperate...\Come on, my hound dogs!\Yes, the springtime of our lives!\What's this? response:	Is this a song?
context: That's outrageous...\We're not obliged to stand here and listen to your drivel.\Just give us Lucy Heartfilia immediately!\But if you refuse to cooperate...\Come on, my hound dogs!\Yes, the springtime of our lives!\What's this?\Is this a song? response:	Puppy dogs!
context: We're not obliged to stand here and listen to your drivel.\Just give us Lucy Heartfilia immediately!\But if you refuse to cooperate...\Come on, my hound dogs!\Yes, the springtime of our lives!\What's this?\Is this a song?\Puppy dogs! response:	Please take care of these two-bit wizards!
context: Just give us Lucy Heartfilia immediately!\But if you refuse to cooperate...\Come on, my hound dogs!\Yes, the springtime of our lives!\What's this?\Is this a song?\Puppy dogs!\Please take care of these two-bit wizards! response:	That's just gross, in more ways than one!
context: But if you refuse to cooperate...\Come on, my hound dogs!\Yes, the springtime of our lives!\What's this?\Is this a song?\Puppy dogs!\Please take care of these two-bit wizards!\That's just gross, in more ways than one! response:	It looks tasty...
context: Come on, my hound dogs!\Yes, the springtime of our lives!\What's this?\Is this a song?\Puppy dogs!\Please take care of these two-bit wizards!\That's just gross, in more ways than one!\It looks tasty... response:	How so?!
context: Yes, the springtime of our lives!\What's this?\Is this a song?\Puppy dogs!\Please take care of these two-bit wizards!\That's just gross, in more ways than one!\It looks tasty...\How so?! response:	What the hell is this?!
context: What's this?\Is this a song?\Puppy dogs!\Please take care of these two-bit wizards!\That's just gross, in more ways than one!\It looks tasty...\How so?!\What the hell is this?! response:	Is it phlegm?!
context: Is this a song?\Puppy dogs!\Please take care of these two-bit wizards!\That's just gross, in more ways than one!\It looks tasty...\How so?!\What the hell is this?!\Is it phlegm?! response:	Man!
context: Puppy dogs!\Please take care of these two-bit wizards!\That's just gross, in more ways than one!\It looks tasty...\How so?!\What the hell is this?!\Is it phlegm?!\Man! response:	What the hell?! I don't know what to grab on to!
context: Please take care of these two-bit wizards!\That's just gross, in more ways than one!\It looks tasty...\How so?!\What the hell is this?!\Is it phlegm?!\Man!\What the hell?! I don't know what to grab on to! response:	Elfman!
context: That's just gross, in more ways than one!\It looks tasty...\How so?!\What the hell is this?!\Is it phlegm?!\Man!\What the hell?! I don't know what to grab on to!\Elfman! response:	Elf-niichan!
context: It looks tasty...\How so?!\What the hell is this?!\Is it phlegm?!\Man!\What the hell?! I don't know what to grab on to!\Elfman!\Elf-niichan! response:	No! Stay back! This stuff is gonna do something!
context: How so?!\What the hell is this?!\Is it phlegm?!\Man!\What the hell?! I don't know what to grab on to!\Elfman!\Elf-niichan!\No! Stay back! This stuff is gonna do something! response:	Yummy!
context: What the hell is this?!\Is it phlegm?!\Man!\What the hell?! I don't know what to grab on to!\Elfman!\Elf-niichan!\No! Stay back! This stuff is gonna do something!\Yummy! response:	The taste of wizards is spicy!
context: Is it phlegm?!\Man!\What the hell?! I don't know what to grab on to!\Elfman!\Elf-niichan!\No! Stay back! This stuff is gonna do something!\Yummy!\The taste of wizards is spicy! response:	I can't move...
context: Man!\What the hell?! I don't know what to grab on to!\Elfman!\Elf-niichan!\No! Stay back! This stuff is gonna do something!\Yummy!\The taste of wizards is spicy!\I can't move... response:	This brings back memories... A long time ago, the three of us
context: What the hell?! I don't know what to grab on to!\Elfman!\Elf-niichan!\No! Stay back! This stuff is gonna do something!\Yummy!\The taste of wizards is spicy!\I can't move...\This brings back memories... A long time ago, the three of us response:	used to sleep in the same bed together like this...
context: Elfman!\Elf-niichan!\No! Stay back! This stuff is gonna do something!\Yummy!\The taste of wizards is spicy!\I can't move...\This brings back memories... A long time ago, the three of us\used to sleep in the same bed together like this... response:	This is no time for nostalgia!
context: Elf-niichan!\No! Stay back! This stuff is gonna do something!\Yummy!\The taste of wizards is spicy!\I can't move...\This brings back memories... A long time ago, the three of us\used to sleep in the same bed together like this...\This is no time for nostalgia! response:	What is that stuff?!
context: No! Stay back! This stuff is gonna do something!\Yummy!\The taste of wizards is spicy!\I can't move...\This brings back memories... A long time ago, the three of us\used to sleep in the same bed together like this...\This is no time for nostalgia!\What is that stuff?! response:	That mucus stuff has a will of its own?!
context: Yummy!\The taste of wizards is spicy!\I can't move...\This brings back memories... A long time ago, the three of us\used to sleep in the same bed together like this...\This is no time for nostalgia!\What is that stuff?!\That mucus stuff has a will of its own?! response:	Like this...
context: The taste of wizards is spicy!\I can't move...\This brings back memories... A long time ago, the three of us\used to sleep in the same bed together like this...\This is no time for nostalgia!\What is that stuff?!\That mucus stuff has a will of its own?!\Like this... response:	Nobody touch it!
context: I can't move...\This brings back memories... A long time ago, the three of us\used to sleep in the same bed together like this...\This is no time for nostalgia!\What is that stuff?!\That mucus stuff has a will of its own?!\Like this...\Nobody touch it! response:	You said you were the guild's master, right?
context: This brings back memories... A long time ago, the three of us\used to sleep in the same bed together like this...\This is no time for nostalgia!\What is that stuff?!\That mucus stuff has a will of its own?!\Like this...\Nobody touch it!\You said you were the guild's master, right? response:	Give her to us before people start getting hurt!
context: used to sleep in the same bed together like this...\This is no time for nostalgia!\What is that stuff?!\That mucus stuff has a will of its own?!\Like this...\Nobody touch it!\You said you were the guild's master, right?\Give her to us before people start getting hurt! response:	I have no interest in hitting kids!
context: This is no time for nostalgia!\What is that stuff?!\That mucus stuff has a will of its own?!\Like this...\Nobody touch it!\You said you were the guild's master, right?\Give her to us before people start getting hurt!\I have no interest in hitting kids! response:	I'm an adult!
context: What is that stuff?!\That mucus stuff has a will of its own?!\Like this...\Nobody touch it!\You said you were the guild's master, right?\Give her to us before people start getting hurt!\I have no interest in hitting kids!\I'm an adult! response:	Don't be naive, Macao!
context: That mucus stuff has a will of its own?!\Like this...\Nobody touch it!\You said you were the guild's master, right?\Give her to us before people start getting hurt!\I have no interest in hitting kids!\I'm an adult!\Don't be naive, Macao! response:	They're the enemy!
context: Like this...\Nobody touch it!\You said you were the guild's master, right?\Give her to us before people start getting hurt!\I have no interest in hitting kids!\I'm an adult!\Don't be naive, Macao!\They're the enemy! response:	I told you to call me Master!
context: Nobody touch it!\You said you were the guild's master, right?\Give her to us before people start getting hurt!\I have no interest in hitting kids!\I'm an adult!\Don't be naive, Macao!\They're the enemy!\I told you to call me Master! response:	No way an attack like that is gonna hit me!
context: You said you were the guild's master, right?\Give her to us before people start getting hurt!\I have no interest in hitting kids!\I'm an adult!\Don't be naive, Macao!\They're the enemy!\I told you to call me Master!\No way an attack like that is gonna hit me! response:	What the hell is she?!
context: Give her to us before people start getting hurt!\I have no interest in hitting kids!\I'm an adult!\Don't be naive, Macao!\They're the enemy!\I told you to call me Master!\No way an attack like that is gonna hit me!\What the hell is she?! response:	Pain in the ass...
context: I have no interest in hitting kids!\I'm an adult!\Don't be naive, Macao!\They're the enemy!\I told you to call me Master!\No way an attack like that is gonna hit me!\What the hell is she?!\Pain in the ass... response:	You wench!
context: I'm an adult!\Don't be naive, Macao!\They're the enemy!\I told you to call me Master!\No way an attack like that is gonna hit me!\What the hell is she?!\Pain in the ass...\You wench! response:	Huh?!
context: Don't be naive, Macao!\They're the enemy!\I told you to call me Master!\No way an attack like that is gonna hit me!\What the hell is she?!\Pain in the ass...\You wench!\Huh?! response:	Cut it out!
context: They're the enemy!\I told you to call me Master!\No way an attack like that is gonna hit me!\What the hell is she?!\Pain in the ass...\You wench!\Huh?!\Cut it out! response:	The building's fallin' apart as it is!
context: I told you to call me Master!\No way an attack like that is gonna hit me!\What the hell is she?!\Pain in the ass...\You wench!\Huh?!\Cut it out!\The building's fallin' apart as it is! response:	Master! Everyone!
context: No way an attack like that is gonna hit me!\What the hell is she?!\Pain in the ass...\You wench!\Huh?!\Cut it out!\The building's fallin' apart as it is!\Master! Everyone! response:	Crap! It's all we can do just to hold it off!
context: What the hell is she?!\Pain in the ass...\You wench!\Huh?!\Cut it out!\The building's fallin' apart as it is!\Master! Everyone!\Crap! It's all we can do just to hold it off! response:	What is this?! It keeps getting bigger and bigger!
context: Pain in the ass...\You wench!\Huh?!\Cut it out!\The building's fallin' apart as it is!\Master! Everyone!\Crap! It's all we can do just to hold it off!\What is this?! It keeps getting bigger and bigger! response:	Natsu! Do something!
context: You wench!\Huh?!\Cut it out!\The building's fallin' apart as it is!\Master! Everyone!\Crap! It's all we can do just to hold it off!\What is this?! It keeps getting bigger and bigger!\Natsu! Do something! response:	Um... You're totally white!
context: Huh?!\Cut it out!\The building's fallin' apart as it is!\Master! Everyone!\Crap! It's all we can do just to hold it off!\What is this?! It keeps getting bigger and bigger!\Natsu! Do something!\Um... You're totally white! response:	Natsu-san!
context: Cut it out!\The building's fallin' apart as it is!\Master! Everyone!\Crap! It's all we can do just to hold it off!\What is this?! It keeps getting bigger and bigger!\Natsu! Do something!\Um... You're totally white!\Natsu-san! response:	Don't tell me the damage from his duel with Laxus finally kicked in?!
context: The building's fallin' apart as it is!\Master! Everyone!\Crap! It's all we can do just to hold it off!\What is this?! It keeps getting bigger and bigger!\Natsu! Do something!\Um... You're totally white!\Natsu-san!\Don't tell me the damage from his duel with Laxus finally kicked in?! response:	That took a long time...
context: Master! Everyone!\Crap! It's all we can do just to hold it off!\What is this?! It keeps getting bigger and bigger!\Natsu! Do something!\Um... You're totally white!\Natsu-san!\Don't tell me the damage from his duel with Laxus finally kicked in?!\That took a long time... response:	These guys are frickin' hilarious!
context: Crap! It's all we can do just to hold it off!\What is this?! It keeps getting bigger and bigger!\Natsu! Do something!\Um... You're totally white!\Natsu-san!\Don't tell me the damage from his duel with Laxus finally kicked in?!\That took a long time...\These guys are frickin' hilarious! response:	What spicy screams!
context: What is this?! It keeps getting bigger and bigger!\Natsu! Do something!\Um... You're totally white!\Natsu-san!\Don't tell me the damage from his duel with Laxus finally kicked in?!\That took a long time...\These guys are frickin' hilarious!\What spicy screams! response:	I guess it just goes to show that guild wizards are no big deal.
context: Natsu! Do something!\Um... You're totally white!\Natsu-san!\Don't tell me the damage from his duel with Laxus finally kicked in?!\That took a long time...\These guys are frickin' hilarious!\What spicy screams!\I guess it just goes to show that guild wizards are no big deal. response:	Coco...
context: Um... You're totally white!\Natsu-san!\Don't tell me the damage from his duel with Laxus finally kicked in?!\That took a long time...\These guys are frickin' hilarious!\What spicy screams!\I guess it just goes to show that guild wizards are no big deal.\Coco... response:	No, it's not her... Nothing saddened Coco more than hurting people.
context: Natsu-san!\Don't tell me the damage from his duel with Laxus finally kicked in?!\That took a long time...\These guys are frickin' hilarious!\What spicy screams!\I guess it just goes to show that guild wizards are no big deal.\Coco...\No, it's not her... Nothing saddened Coco more than hurting people. response:	She hated violence...
context: Don't tell me the damage from his duel with Laxus finally kicked in?!\That took a long time...\These guys are frickin' hilarious!\What spicy screams!\I guess it just goes to show that guild wizards are no big deal.\Coco...\No, it's not her... Nothing saddened Coco more than hurting people.\She hated violence... response:	This girl is...
context: That took a long time...\These guys are frickin' hilarious!\What spicy screams!\I guess it just goes to show that guild wizards are no big deal.\Coco...\No, it's not her... Nothing saddened Coco more than hurting people.\She hated violence...\This girl is... response:	Come back to me, Howls!
context: These guys are frickin' hilarious!\What spicy screams!\I guess it just goes to show that guild wizards are no big deal.\Coco...\No, it's not her... Nothing saddened Coco more than hurting people.\She hated violence...\This girl is...\Come back to me, Howls! response:	That's all, folks! You give up already?
