context: This feels okay? response:	Thanks, Sakura-chan.
context: Too bad your father can't make it.\He said he couldn't leave the excavation site no matter what.\This is really too bad.\So, you're taking pictures. Yeah.\Father asked me to take them.\Sakura's is the first class to perform.\It's the Sleeping Beauty.\Come to think of it, you did one last year too response:	Cinderella.
context: He said he couldn't leave the excavation site no matter what.\This is really too bad.\So, you're taking pictures. Yeah.\Father asked me to take them.\Sakura's is the first class to perform.\It's the Sleeping Beauty.\Come to think of it, you did one last year too\Cinderella. response:	I didn't need to remember that.
context: This is really too bad.\So, you're taking pictures. Yeah.\Father asked me to take them.\Sakura's is the first class to perform.\It's the Sleeping Beauty.\Come to think of it, you did one last year too\Cinderella.\I didn't need to remember that. response:	Why not? You looked so nice in that.
context: So, you're taking pictures. Yeah.\Father asked me to take them.\Sakura's is the first class to perform.\It's the Sleeping Beauty.\Come to think of it, you did one last year too\Cinderella.\I didn't need to remember that.\Why not? You looked so nice in that. response:	The president of the photography club told me'
context: Father asked me to take them.\Sakura's is the first class to perform.\It's the Sleeping Beauty.\Come to think of it, you did one last year too\Cinderella.\I didn't need to remember that.\Why not? You looked so nice in that.\The president of the photography club told me' response:	'that your pictures at the Literary Fest sold the best.
context: Sakura's is the first class to perform.\It's the Sleeping Beauty.\Come to think of it, you did one last year too\Cinderella.\I didn't need to remember that.\Why not? You looked so nice in that.\The president of the photography club told me'\'that your pictures at the Literary Fest sold the best. response:	That guy from the photography club said that?
context: It's the Sleeping Beauty.\Come to think of it, you did one last year too\Cinderella.\I didn't need to remember that.\Why not? You looked so nice in that.\The president of the photography club told me'\'that your pictures at the Literary Fest sold the best.\That guy from the photography club said that? response:	I wonder what role Sakura plays.
context: Come to think of it, you did one last year too\Cinderella.\I didn't need to remember that.\Why not? You looked so nice in that.\The president of the photography club told me'\'that your pictures at the Literary Fest sold the best.\That guy from the photography club said that?\I wonder what role Sakura plays. response:	I'm really looking forward to it!
context: Cinderella.\I didn't need to remember that.\Why not? You looked so nice in that.\The president of the photography club told me'\'that your pictures at the Literary Fest sold the best.\That guy from the photography club said that?\I wonder what role Sakura plays.\I'm really looking forward to it! response:	Who would want to invite an evil witch like you'
context: I didn't need to remember that.\Why not? You looked so nice in that.\The president of the photography club told me'\'that your pictures at the Literary Fest sold the best.\That guy from the photography club said that?\I wonder what role Sakura plays.\I'm really looking forward to it!\Who would want to invite an evil witch like you' response:	Sakura-chan, you look so cool!
context: Why not? You looked so nice in that.\The president of the photography club told me'\'that your pictures at the Literary Fest sold the best.\That guy from the photography club said that?\I wonder what role Sakura plays.\I'm really looking forward to it!\Who would want to invite an evil witch like you'\Sakura-chan, you look so cool! response:	You look wonderful! Really!
context: The president of the photography club told me'\'that your pictures at the Literary Fest sold the best.\That guy from the photography club said that?\I wonder what role Sakura plays.\I'm really looking forward to it!\Who would want to invite an evil witch like you'\Sakura-chan, you look so cool!\You look wonderful! Really! response:	Tomoyo-chan made an awesome costume, that's all.
context: 'that your pictures at the Literary Fest sold the best.\That guy from the photography club said that?\I wonder what role Sakura plays.\I'm really looking forward to it!\Who would want to invite an evil witch like you'\Sakura-chan, you look so cool!\You look wonderful! Really!\Tomoyo-chan made an awesome costume, that's all. response:	Really, you look very nice in it.
context: That guy from the photography club said that?\I wonder what role Sakura plays.\I'm really looking forward to it!\Who would want to invite an evil witch like you'\Sakura-chan, you look so cool!\You look wonderful! Really!\Tomoyo-chan made an awesome costume, that's all.\Really, you look very nice in it. response:	Mizuki-sensei!
context: I wonder what role Sakura plays.\I'm really looking forward to it!\Who would want to invite an evil witch like you'\Sakura-chan, you look so cool!\You look wonderful! Really!\Tomoyo-chan made an awesome costume, that's all.\Really, you look very nice in it.\Mizuki-sensei! response:	Really. And you can move freely wearing it.
context: I'm really looking forward to it!\Who would want to invite an evil witch like you'\Sakura-chan, you look so cool!\You look wonderful! Really!\Tomoyo-chan made an awesome costume, that's all.\Really, you look very nice in it.\Mizuki-sensei!\Really. And you can move freely wearing it. response:	You'll be okay even if anything happens.
context: Who would want to invite an evil witch like you'\Sakura-chan, you look so cool!\You look wonderful! Really!\Tomoyo-chan made an awesome costume, that's all.\Really, you look very nice in it.\Mizuki-sensei!\Really. And you can move freely wearing it.\You'll be okay even if anything happens. response:	Eh!
context: Sakura-chan, you look so cool!\You look wonderful! Really!\Tomoyo-chan made an awesome costume, that's all.\Really, you look very nice in it.\Mizuki-sensei!\Really. And you can move freely wearing it.\You'll be okay even if anything happens.\Eh! response:	Absolutely no way!!
context: You look wonderful! Really!\Tomoyo-chan made an awesome costume, that's all.\Really, you look very nice in it.\Mizuki-sensei!\Really. And you can move freely wearing it.\You'll be okay even if anything happens.\Eh!\Absolutely no way!! response:	Li-kun is so cute!!
context: Tomoyo-chan made an awesome costume, that's all.\Really, you look very nice in it.\Mizuki-sensei!\Really. And you can move freely wearing it.\You'll be okay even if anything happens.\Eh!\Absolutely no way!!\Li-kun is so cute!! response:	You look so nice in it! Not at all!
context: Really, you look very nice in it.\Mizuki-sensei!\Really. And you can move freely wearing it.\You'll be okay even if anything happens.\Eh!\Absolutely no way!!\Li-kun is so cute!!\You look so nice in it! Not at all! response:	Why do I have to wear this frilly stuff!
context: Mizuki-sensei!\Really. And you can move freely wearing it.\You'll be okay even if anything happens.\Eh!\Absolutely no way!!\Li-kun is so cute!!\You look so nice in it! Not at all!\Why do I have to wear this frilly stuff! response:	Because you are the Princess?
context: Really. And you can move freely wearing it.\You'll be okay even if anything happens.\Eh!\Absolutely no way!!\Li-kun is so cute!!\You look so nice in it! Not at all!\Why do I have to wear this frilly stuff!\Because you are the Princess? response:	On top of that, what's this wavy hair?!
context: You'll be okay even if anything happens.\Eh!\Absolutely no way!!\Li-kun is so cute!!\You look so nice in it! Not at all!\Why do I have to wear this frilly stuff!\Because you are the Princess?\On top of that, what's this wavy hair?! response:	I absolutely hate this!
context: Eh!\Absolutely no way!!\Li-kun is so cute!!\You look so nice in it! Not at all!\Why do I have to wear this frilly stuff!\Because you are the Princess?\On top of that, what's this wavy hair?!\I absolutely hate this! response:	Just now I was looking at the audience,
context: Absolutely no way!!\Li-kun is so cute!!\You look so nice in it! Not at all!\Why do I have to wear this frilly stuff!\Because you are the Princess?\On top of that, what's this wavy hair?!\I absolutely hate this!\Just now I was looking at the audience, response:	and I saw Mr. Tsukishiro.
context: Li-kun is so cute!!\You look so nice in it! Not at all!\Why do I have to wear this frilly stuff!\Because you are the Princess?\On top of that, what's this wavy hair?!\I absolutely hate this!\Just now I was looking at the audience,\and I saw Mr. Tsukishiro. response:	Yukito-san'
context: You look so nice in it! Not at all!\Why do I have to wear this frilly stuff!\Because you are the Princess?\On top of that, what's this wavy hair?!\I absolutely hate this!\Just now I was looking at the audience,\and I saw Mr. Tsukishiro.\Yukito-san' response:	I am sure Mr. Tsukishiro has come here in order to watch the Sleeping Beauty!
context: Why do I have to wear this frilly stuff!\Because you are the Princess?\On top of that, what's this wavy hair?!\I absolutely hate this!\Just now I was looking at the audience,\and I saw Mr. Tsukishiro.\Yukito-san'\I am sure Mr. Tsukishiro has come here in order to watch the Sleeping Beauty! response:	I bet the play has to be cancelled.
context: Because you are the Princess?\On top of that, what's this wavy hair?!\I absolutely hate this!\Just now I was looking at the audience,\and I saw Mr. Tsukishiro.\Yukito-san'\I am sure Mr. Tsukishiro has come here in order to watch the Sleeping Beauty!\I bet the play has to be cancelled. response:	If the play is cancelled,
context: On top of that, what's this wavy hair?!\I absolutely hate this!\Just now I was looking at the audience,\and I saw Mr. Tsukishiro.\Yukito-san'\I am sure Mr. Tsukishiro has come here in order to watch the Sleeping Beauty!\I bet the play has to be cancelled.\If the play is cancelled, response:	I am sure Mr. Tsukishiro will be saddened by this.
context: I absolutely hate this!\Just now I was looking at the audience,\and I saw Mr. Tsukishiro.\Yukito-san'\I am sure Mr. Tsukishiro has come here in order to watch the Sleeping Beauty!\I bet the play has to be cancelled.\If the play is cancelled,\I am sure Mr. Tsukishiro will be saddened by this. response:	We practiced so much,
context: Just now I was looking at the audience,\and I saw Mr. Tsukishiro.\Yukito-san'\I am sure Mr. Tsukishiro has come here in order to watch the Sleeping Beauty!\I bet the play has to be cancelled.\If the play is cancelled,\I am sure Mr. Tsukishiro will be saddened by this.\We practiced so much, response:	let's do it, Li-kun!
context: and I saw Mr. Tsukishiro.\Yukito-san'\I am sure Mr. Tsukishiro has come here in order to watch the Sleeping Beauty!\I bet the play has to be cancelled.\If the play is cancelled,\I am sure Mr. Tsukishiro will be saddened by this.\We practiced so much,\let's do it, Li-kun! response:	I'll do it.
context: Yukito-san'\I am sure Mr. Tsukishiro has come here in order to watch the Sleeping Beauty!\I bet the play has to be cancelled.\If the play is cancelled,\I am sure Mr. Tsukishiro will be saddened by this.\We practiced so much,\let's do it, Li-kun!\I'll do it. response:	Yo! Tomoyo! I've come to watch!
context: I am sure Mr. Tsukishiro has come here in order to watch the Sleeping Beauty!\I bet the play has to be cancelled.\If the play is cancelled,\I am sure Mr. Tsukishiro will be saddened by this.\We practiced so much,\let's do it, Li-kun!\I'll do it.\Yo! Tomoyo! I've come to watch! response:	Now, let's begin.
context: I bet the play has to be cancelled.\If the play is cancelled,\I am sure Mr. Tsukishiro will be saddened by this.\We practiced so much,\let's do it, Li-kun!\I'll do it.\Yo! Tomoyo! I've come to watch!\Now, let's begin. response:	Thank you for your patience.
context: If the play is cancelled,\I am sure Mr. Tsukishiro will be saddened by this.\We practiced so much,\let's do it, Li-kun!\I'll do it.\Yo! Tomoyo! I've come to watch!\Now, let's begin.\Thank you for your patience. response:	Class 5-2 will now present to you, the Sleeping Beauty.
context: I am sure Mr. Tsukishiro will be saddened by this.\We practiced so much,\let's do it, Li-kun!\I'll do it.\Yo! Tomoyo! I've come to watch!\Now, let's begin.\Thank you for your patience.\Class 5-2 will now present to you, the Sleeping Beauty. response:	It's starting!
context: We practiced so much,\let's do it, Li-kun!\I'll do it.\Yo! Tomoyo! I've come to watch!\Now, let's begin.\Thank you for your patience.\Class 5-2 will now present to you, the Sleeping Beauty.\It's starting! response:	One upon a time,
context: let's do it, Li-kun!\I'll do it.\Yo! Tomoyo! I've come to watch!\Now, let's begin.\Thank you for your patience.\Class 5-2 will now present to you, the Sleeping Beauty.\It's starting!\One upon a time, response:	there lived
context: I'll do it.\Yo! Tomoyo! I've come to watch!\Now, let's begin.\Thank you for your patience.\Class 5-2 will now present to you, the Sleeping Beauty.\It's starting!\One upon a time,\there lived response:	a King and a Queen.
context: Yo! Tomoyo! I've come to watch!\Now, let's begin.\Thank you for your patience.\Class 5-2 will now present to you, the Sleeping Beauty.\It's starting!\One upon a time,\there lived\a King and a Queen. response:	Their kingdom is prosperous and very peaceful.
context: Now, let's begin.\Thank you for your patience.\Class 5-2 will now present to you, the Sleeping Beauty.\It's starting!\One upon a time,\there lived\a King and a Queen.\Their kingdom is prosperous and very peaceful. response:	However, for the longest time, the King and the Queen did not have a child.
context: Thank you for your patience.\Class 5-2 will now present to you, the Sleeping Beauty.\It's starting!\One upon a time,\there lived\a King and a Queen.\Their kingdom is prosperous and very peaceful.\However, for the longest time, the King and the Queen did not have a child. response:	This is Tomoyo-chan's voice, isn't it?
context: Class 5-2 will now present to you, the Sleeping Beauty.\It's starting!\One upon a time,\there lived\a King and a Queen.\Their kingdom is prosperous and very peaceful.\However, for the longest time, the King and the Queen did not have a child.\This is Tomoyo-chan's voice, isn't it? response:	One day, at last,
context: It's starting!\One upon a time,\there lived\a King and a Queen.\Their kingdom is prosperous and very peaceful.\However, for the longest time, the King and the Queen did not have a child.\This is Tomoyo-chan's voice, isn't it?\One day, at last, response:	a Princess was born after their many prayers.
context: One upon a time,\there lived\a King and a Queen.\Their kingdom is prosperous and very peaceful.\However, for the longest time, the King and the Queen did not have a child.\This is Tomoyo-chan's voice, isn't it?\One day, at last,\a Princess was born after their many prayers. response:	Today is the celebration of the Princess' birthday.
context: there lived\a King and a Queen.\Their kingdom is prosperous and very peaceful.\However, for the longest time, the King and the Queen did not have a child.\This is Tomoyo-chan's voice, isn't it?\One day, at last,\a Princess was born after their many prayers.\Today is the celebration of the Princess' birthday. response:	Ladies and gentlemen, you may present your blessings to the Princess.
context: a King and a Queen.\Their kingdom is prosperous and very peaceful.\However, for the longest time, the King and the Queen did not have a child.\This is Tomoyo-chan's voice, isn't it?\One day, at last,\a Princess was born after their many prayers.\Today is the celebration of the Princess' birthday.\Ladies and gentlemen, you may present your blessings to the Princess. response:	Isn't that a guy playing the Queen?
context: Their kingdom is prosperous and very peaceful.\However, for the longest time, the King and the Queen did not have a child.\This is Tomoyo-chan's voice, isn't it?\One day, at last,\a Princess was born after their many prayers.\Today is the celebration of the Princess' birthday.\Ladies and gentlemen, you may present your blessings to the Princess.\Isn't that a guy playing the Queen? response:	For the lovely Princess,
context: However, for the longest time, the King and the Queen did not have a child.\This is Tomoyo-chan's voice, isn't it?\One day, at last,\a Princess was born after their many prayers.\Today is the celebration of the Princess' birthday.\Ladies and gentlemen, you may present your blessings to the Princess.\Isn't that a guy playing the Queen?\For the lovely Princess, response:	We fairies have come'
context: This is Tomoyo-chan's voice, isn't it?\One day, at last,\a Princess was born after their many prayers.\Today is the celebration of the Princess' birthday.\Ladies and gentlemen, you may present your blessings to the Princess.\Isn't that a guy playing the Queen?\For the lovely Princess,\We fairies have come' response:	'to present our gifts.
context: One day, at last,\a Princess was born after their many prayers.\Today is the celebration of the Princess' birthday.\Ladies and gentlemen, you may present your blessings to the Princess.\Isn't that a guy playing the Queen?\For the lovely Princess,\We fairies have come'\'to present our gifts. response:	Her beauty shall shine like the brightest sun!
context: a Princess was born after their many prayers.\Today is the celebration of the Princess' birthday.\Ladies and gentlemen, you may present your blessings to the Princess.\Isn't that a guy playing the Queen?\For the lovely Princess,\We fairies have come'\'to present our gifts.\Her beauty shall shine like the brightest sun! response:	She shall have the sweetest voice
context: Today is the celebration of the Princess' birthday.\Ladies and gentlemen, you may present your blessings to the Princess.\Isn't that a guy playing the Queen?\For the lovely Princess,\We fairies have come'\'to present our gifts.\Her beauty shall shine like the brightest sun!\She shall have the sweetest voice response:	that would lose to no one!
context: Ladies and gentlemen, you may present your blessings to the Princess.\Isn't that a guy playing the Queen?\For the lovely Princess,\We fairies have come'\'to present our gifts.\Her beauty shall shine like the brightest sun!\She shall have the sweetest voice\that would lose to no one! response:	I'
context: Isn't that a guy playing the Queen?\For the lovely Princess,\We fairies have come'\'to present our gifts.\Her beauty shall shine like the brightest sun!\She shall have the sweetest voice\that would lose to no one!\I' response:	What a grand party it is today!
context: For the lovely Princess,\We fairies have come'\'to present our gifts.\Her beauty shall shine like the brightest sun!\She shall have the sweetest voice\that would lose to no one!\I'\What a grand party it is today! response:	But I was not sent an invitation.
context: We fairies have come'\'to present our gifts.\Her beauty shall shine like the brightest sun!\She shall have the sweetest voice\that would lose to no one!\I'\What a grand party it is today!\But I was not sent an invitation. response:	Who would want to invite an evil witch like you!
context: 'to present our gifts.\Her beauty shall shine like the brightest sun!\She shall have the sweetest voice\that would lose to no one!\I'\What a grand party it is today!\But I was not sent an invitation.\Who would want to invite an evil witch like you! response:	An evil witch? I wonder who that is!
context: Her beauty shall shine like the brightest sun!\She shall have the sweetest voice\that would lose to no one!\I'\What a grand party it is today!\But I was not sent an invitation.\Who would want to invite an evil witch like you!\An evil witch? I wonder who that is! response:	I am really sorry.
context: She shall have the sweetest voice\that would lose to no one!\I'\What a grand party it is today!\But I was not sent an invitation.\Who would want to invite an evil witch like you!\An evil witch? I wonder who that is!\I am really sorry. response:	I was told that
context: that would lose to no one!\I'\What a grand party it is today!\But I was not sent an invitation.\Who would want to invite an evil witch like you!\An evil witch? I wonder who that is!\I am really sorry.\I was told that response:	you do not like merry occasions.
context: I'\What a grand party it is today!\But I was not sent an invitation.\Who would want to invite an evil witch like you!\An evil witch? I wonder who that is!\I am really sorry.\I was told that\you do not like merry occasions. response:	Right, right.
context: What a grand party it is today!\But I was not sent an invitation.\Who would want to invite an evil witch like you!\An evil witch? I wonder who that is!\I am really sorry.\I was told that\you do not like merry occasions.\Right, right. response:	I do not like merry occasions.
context: But I was not sent an invitation.\Who would want to invite an evil witch like you!\An evil witch? I wonder who that is!\I am really sorry.\I was told that\you do not like merry occasions.\Right, right.\I do not like merry occasions. response:	But I hate even more if I was being neglected!
context: Who would want to invite an evil witch like you!\An evil witch? I wonder who that is!\I am really sorry.\I was told that\you do not like merry occasions.\Right, right.\I do not like merry occasions.\But I hate even more if I was being neglected! response:	So now, why don't I also give my blessings to the Princess?
context: An evil witch? I wonder who that is!\I am really sorry.\I was told that\you do not like merry occasions.\Right, right.\I do not like merry occasions.\But I hate even more if I was being neglected!\So now, why don't I also give my blessings to the Princess? response:	With her beauty, her elegance, and her gentleness,
context: I am really sorry.\I was told that\you do not like merry occasions.\Right, right.\I do not like merry occasions.\But I hate even more if I was being neglected!\So now, why don't I also give my blessings to the Princess?\With her beauty, her elegance, and her gentleness, response:	the Princess shall be loved
context: I was told that\you do not like merry occasions.\Right, right.\I do not like merry occasions.\But I hate even more if I was being neglected!\So now, why don't I also give my blessings to the Princess?\With her beauty, her elegance, and her gentleness,\the Princess shall be loved response:	by her people every day.
context: you do not like merry occasions.\Right, right.\I do not like merry occasions.\But I hate even more if I was being neglected!\So now, why don't I also give my blessings to the Princess?\With her beauty, her elegance, and her gentleness,\the Princess shall be loved\by her people every day. response:	And then, on her sixteenth birthday,
context: Right, right.\I do not like merry occasions.\But I hate even more if I was being neglected!\So now, why don't I also give my blessings to the Princess?\With her beauty, her elegance, and her gentleness,\the Princess shall be loved\by her people every day.\And then, on her sixteenth birthday, response:	she shall prick her finger with a spindle,
context: I do not like merry occasions.\But I hate even more if I was being neglected!\So now, why don't I also give my blessings to the Princess?\With her beauty, her elegance, and her gentleness,\the Princess shall be loved\by her people every day.\And then, on her sixteenth birthday,\she shall prick her finger with a spindle, response:	And die!!
context: But I hate even more if I was being neglected!\So now, why don't I also give my blessings to the Princess?\With her beauty, her elegance, and her gentleness,\the Princess shall be loved\by her people every day.\And then, on her sixteenth birthday,\she shall prick her finger with a spindle,\And die!! response:	Mei Lin-chan is awesome!
context: So now, why don't I also give my blessings to the Princess?\With her beauty, her elegance, and her gentleness,\the Princess shall be loved\by her people every day.\And then, on her sixteenth birthday,\she shall prick her finger with a spindle,\And die!!\Mei Lin-chan is awesome! response:	During practice,
context: With her beauty, her elegance, and her gentleness,\the Princess shall be loved\by her people every day.\And then, on her sixteenth birthday,\she shall prick her finger with a spindle,\And die!!\Mei Lin-chan is awesome!\During practice, response:	she kept saying she didn't want to play the bad guy.
context: the Princess shall be loved\by her people every day.\And then, on her sixteenth birthday,\she shall prick her finger with a spindle,\And die!!\Mei Lin-chan is awesome!\During practice,\she kept saying she didn't want to play the bad guy. response:	She's the type that can just do the real thing right.
context: by her people every day.\And then, on her sixteenth birthday,\she shall prick her finger with a spindle,\And die!!\Mei Lin-chan is awesome!\During practice,\she kept saying she didn't want to play the bad guy.\She's the type that can just do the real thing right. response:	Oh no!
context: And then, on her sixteenth birthday,\she shall prick her finger with a spindle,\And die!!\Mei Lin-chan is awesome!\During practice,\she kept saying she didn't want to play the bad guy.\She's the type that can just do the real thing right.\Oh no! response:	What a terrible curse from that witch!
context: she shall prick her finger with a spindle,\And die!!\Mei Lin-chan is awesome!\During practice,\she kept saying she didn't want to play the bad guy.\She's the type that can just do the real thing right.\Oh no!\What a terrible curse from that witch! response:	Th' This is too cruel!
context: And die!!\Mei Lin-chan is awesome!\During practice,\she kept saying she didn't want to play the bad guy.\She's the type that can just do the real thing right.\Oh no!\What a terrible curse from that witch!\Th' This is too cruel! response:	Is there no way to break the curse of the witch?
context: Mei Lin-chan is awesome!\During practice,\she kept saying she didn't want to play the bad guy.\She's the type that can just do the real thing right.\Oh no!\What a terrible curse from that witch!\Th' This is too cruel!\Is there no way to break the curse of the witch? response:	I still have not presented my gift to the Princess.
context: During practice,\she kept saying she didn't want to play the bad guy.\She's the type that can just do the real thing right.\Oh no!\What a terrible curse from that witch!\Th' This is too cruel!\Is there no way to break the curse of the witch?\I still have not presented my gift to the Princess. response:	The Princess shall prick her finger
context: she kept saying she didn't want to play the bad guy.\She's the type that can just do the real thing right.\Oh no!\What a terrible curse from that witch!\Th' This is too cruel!\Is there no way to break the curse of the witch?\I still have not presented my gift to the Princess.\The Princess shall prick her finger response:	with a spindle on her sixteenth birthday.
context: She's the type that can just do the real thing right.\Oh no!\What a terrible curse from that witch!\Th' This is too cruel!\Is there no way to break the curse of the witch?\I still have not presented my gift to the Princess.\The Princess shall prick her finger\with a spindle on her sixteenth birthday. response:	However, she shall not die from it. She shall only be asleep.
context: Oh no!\What a terrible curse from that witch!\Th' This is too cruel!\Is there no way to break the curse of the witch?\I still have not presented my gift to the Princess.\The Princess shall prick her finger\with a spindle on her sixteenth birthday.\However, she shall not die from it. She shall only be asleep. response:	A true love for the Princess shall
context: What a terrible curse from that witch!\Th' This is too cruel!\Is there no way to break the curse of the witch?\I still have not presented my gift to the Princess.\The Princess shall prick her finger\with a spindle on her sixteenth birthday.\However, she shall not die from it. She shall only be asleep.\A true love for the Princess shall response:	break the spell of the witch,
context: Th' This is too cruel!\Is there no way to break the curse of the witch?\I still have not presented my gift to the Princess.\The Princess shall prick her finger\with a spindle on her sixteenth birthday.\However, she shall not die from it. She shall only be asleep.\A true love for the Princess shall\break the spell of the witch, response:	And from the kiss of this person, may the Princess be awoken!
context: Is there no way to break the curse of the witch?\I still have not presented my gift to the Princess.\The Princess shall prick her finger\with a spindle on her sixteenth birthday.\However, she shall not die from it. She shall only be asleep.\A true love for the Princess shall\break the spell of the witch,\And from the kiss of this person, may the Princess be awoken! response:	Everyone's doing' great!
context: I still have not presented my gift to the Princess.\The Princess shall prick her finger\with a spindle on her sixteenth birthday.\However, she shall not die from it. She shall only be asleep.\A true love for the Princess shall\break the spell of the witch,\And from the kiss of this person, may the Princess be awoken!\Everyone's doing' great! response:	Tomoyo, you too!
context: The Princess shall prick her finger\with a spindle on her sixteenth birthday.\However, she shall not die from it. She shall only be asleep.\A true love for the Princess shall\break the spell of the witch,\And from the kiss of this person, may the Princess be awoken!\Everyone's doing' great!\Tomoyo, you too! response:	Thank you very much!
context: with a spindle on her sixteenth birthday.\However, she shall not die from it. She shall only be asleep.\A true love for the Princess shall\break the spell of the witch,\And from the kiss of this person, may the Princess be awoken!\Everyone's doing' great!\Tomoyo, you too!\Thank you very much! response:	That bratty girl playing the evil witch was just perfect!
context: However, she shall not die from it. She shall only be asleep.\A true love for the Princess shall\break the spell of the witch,\And from the kiss of this person, may the Princess be awoken!\Everyone's doing' great!\Tomoyo, you too!\Thank you very much!\That bratty girl playing the evil witch was just perfect! response:	So,
