context: I found it first! response:	No, I found it first, brat!
context: So how did this Card do it?\Clow Reed, the guy who made the Cards,\did a lot of things.\Pretty careless, aren't you?\What did you say?\You might be okay'\'but what about me in this stuffed animal's body?\Who's a stuffed animal? response:	I'm stuck in this lame body, that sucks.
context: Clow Reed, the guy who made the Cards,\did a lot of things.\Pretty careless, aren't you?\What did you say?\You might be okay'\'but what about me in this stuffed animal's body?\Who's a stuffed animal?\I'm stuck in this lame body, that sucks. response:	What?
context: did a lot of things.\Pretty careless, aren't you?\What did you say?\You might be okay'\'but what about me in this stuffed animal's body?\Who's a stuffed animal?\I'm stuck in this lame body, that sucks.\What? response:	What's so funny?
context: Pretty careless, aren't you?\What did you say?\You might be okay'\'but what about me in this stuffed animal's body?\Who's a stuffed animal?\I'm stuck in this lame body, that sucks.\What?\What's so funny? response:	Sorry!
context: What did you say?\You might be okay'\'but what about me in this stuffed animal's body?\Who's a stuffed animal?\I'm stuck in this lame body, that sucks.\What?\What's so funny?\Sorry! response:	But still, nothing happened to me.
context: You might be okay'\'but what about me in this stuffed animal's body?\Who's a stuffed animal?\I'm stuck in this lame body, that sucks.\What?\What's so funny?\Sorry!\But still, nothing happened to me. response:	Why was it just you two?
context: 'but what about me in this stuffed animal's body?\Who's a stuffed animal?\I'm stuck in this lame body, that sucks.\What?\What's so funny?\Sorry!\But still, nothing happened to me.\Why was it just you two? response:	We were holding onto that card together.
context: Who's a stuffed animal?\I'm stuck in this lame body, that sucks.\What?\What's so funny?\Sorry!\But still, nothing happened to me.\Why was it just you two?\We were holding onto that card together. response:	That's when Change's power started working.
context: I'm stuck in this lame body, that sucks.\What?\What's so funny?\Sorry!\But still, nothing happened to me.\Why was it just you two?\We were holding onto that card together.\That's when Change's power started working. response:	You didn't know it was going to happen?
context: What?\What's so funny?\Sorry!\But still, nothing happened to me.\Why was it just you two?\We were holding onto that card together.\That's when Change's power started working.\You didn't know it was going to happen? response:	I'm the Beast of the Seal, right? Of course I knew.
context: What's so funny?\Sorry!\But still, nothing happened to me.\Why was it just you two?\We were holding onto that card together.\That's when Change's power started working.\You didn't know it was going to happen?\I'm the Beast of the Seal, right? Of course I knew. response:	Then, how'?
context: Sorry!\But still, nothing happened to me.\Why was it just you two?\We were holding onto that card together.\That's when Change's power started working.\You didn't know it was going to happen?\I'm the Beast of the Seal, right? Of course I knew.\Then, how'? response:	I just forgot.
context: But still, nothing happened to me.\Why was it just you two?\We were holding onto that card together.\That's when Change's power started working.\You didn't know it was going to happen?\I'm the Beast of the Seal, right? Of course I knew.\Then, how'?\I just forgot. response:	What?
context: Why was it just you two?\We were holding onto that card together.\That's when Change's power started working.\You didn't know it was going to happen?\I'm the Beast of the Seal, right? Of course I knew.\Then, how'?\I just forgot.\What? response:	Life is full of challenges!
context: We were holding onto that card together.\That's when Change's power started working.\You didn't know it was going to happen?\I'm the Beast of the Seal, right? Of course I knew.\Then, how'?\I just forgot.\What?\Life is full of challenges! response:	Don't mess around! You have to figure out a way to change us back!
context: That's when Change's power started working.\You didn't know it was going to happen?\I'm the Beast of the Seal, right? Of course I knew.\Then, how'?\I just forgot.\What?\Life is full of challenges!\Don't mess around! You have to figure out a way to change us back! response:	Don't worry! Just be patient until tomorrow.
context: You didn't know it was going to happen?\I'm the Beast of the Seal, right? Of course I knew.\Then, how'?\I just forgot.\What?\Life is full of challenges!\Don't mess around! You have to figure out a way to change us back!\Don't worry! Just be patient until tomorrow. response:	Really?
context: I'm the Beast of the Seal, right? Of course I knew.\Then, how'?\I just forgot.\What?\Life is full of challenges!\Don't mess around! You have to figure out a way to change us back!\Don't worry! Just be patient until tomorrow.\Really? response:	After one day, Change's magic power will return.
context: Then, how'?\I just forgot.\What?\Life is full of challenges!\Don't mess around! You have to figure out a way to change us back!\Don't worry! Just be patient until tomorrow.\Really?\After one day, Change's magic power will return. response:	Then Sakura can use the Change card.
context: I just forgot.\What?\Life is full of challenges!\Don't mess around! You have to figure out a way to change us back!\Don't worry! Just be patient until tomorrow.\Really?\After one day, Change's magic power will return.\Then Sakura can use the Change card. response:	However,
context: What?\Life is full of challenges!\Don't mess around! You have to figure out a way to change us back!\Don't worry! Just be patient until tomorrow.\Really?\After one day, Change's magic power will return.\Then Sakura can use the Change card.\However, response:	me and the brat will have to do something then.
context: Life is full of challenges!\Don't mess around! You have to figure out a way to change us back!\Don't worry! Just be patient until tomorrow.\Really?\After one day, Change's magic power will return.\Then Sakura can use the Change card.\However,\me and the brat will have to do something then. response:	Do something'?
context: Don't mess around! You have to figure out a way to change us back!\Don't worry! Just be patient until tomorrow.\Really?\After one day, Change's magic power will return.\Then Sakura can use the Change card.\However,\me and the brat will have to do something then.\Do something'? response:	But still, can you do it?
context: Don't worry! Just be patient until tomorrow.\Really?\After one day, Change's magic power will return.\Then Sakura can use the Change card.\However,\me and the brat will have to do something then.\Do something'?\But still, can you do it? response:	I'll do it. Tell me!
context: Really?\After one day, Change's magic power will return.\Then Sakura can use the Change card.\However,\me and the brat will have to do something then.\Do something'?\But still, can you do it?\I'll do it. Tell me! response:	Tell me, Kero!
context: After one day, Change's magic power will return.\Then Sakura can use the Change card.\However,\me and the brat will have to do something then.\Do something'?\But still, can you do it?\I'll do it. Tell me!\Tell me, Kero! response:	Tomorrow evening, you and me'
context: Then Sakura can use the Change card.\However,\me and the brat will have to do something then.\Do something'?\But still, can you do it?\I'll do it. Tell me!\Tell me, Kero!\Tomorrow evening, you and me' response:	Yeah?
context: However,\me and the brat will have to do something then.\Do something'?\But still, can you do it?\I'll do it. Tell me!\Tell me, Kero!\Tomorrow evening, you and me'\Yeah? response:	'tightly and in unison'
context: me and the brat will have to do something then.\Do something'?\But still, can you do it?\I'll do it. Tell me!\Tell me, Kero!\Tomorrow evening, you and me'\Yeah?\'tightly and in unison' response:	'hug each other.
context: Do something'?\But still, can you do it?\I'll do it. Tell me!\Tell me, Kero!\Tomorrow evening, you and me'\Yeah?\'tightly and in unison'\'hug each other. response:	Is that all?!
context: But still, can you do it?\I'll do it. Tell me!\Tell me, Kero!\Tomorrow evening, you and me'\Yeah?\'tightly and in unison'\'hug each other.\Is that all?! response:	That's not all! Can you do that, brat?
context: I'll do it. Tell me!\Tell me, Kero!\Tomorrow evening, you and me'\Yeah?\'tightly and in unison'\'hug each other.\Is that all?!\That's not all! Can you do that, brat? response:	Don't look, I also feel nasty
context: Tell me, Kero!\Tomorrow evening, you and me'\Yeah?\'tightly and in unison'\'hug each other.\Is that all?!\That's not all! Can you do that, brat?\Don't look, I also feel nasty response:	'Cause if you don't'
context: Tomorrow evening, you and me'\Yeah?\'tightly and in unison'\'hug each other.\Is that all?!\That's not all! Can you do that, brat?\Don't look, I also feel nasty\'Cause if you don't' response:	'we'll be stuck like this for life.
context: Yeah?\'tightly and in unison'\'hug each other.\Is that all?!\That's not all! Can you do that, brat?\Don't look, I also feel nasty\'Cause if you don't'\'we'll be stuck like this for life. response:	No choice, then.
context: 'tightly and in unison'\'hug each other.\Is that all?!\That's not all! Can you do that, brat?\Don't look, I also feel nasty\'Cause if you don't'\'we'll be stuck like this for life.\No choice, then. response:	Anyway, we know how to switch you back'
context: 'hug each other.\Is that all?!\That's not all! Can you do that, brat?\Don't look, I also feel nasty\'Cause if you don't'\'we'll be stuck like this for life.\No choice, then.\Anyway, we know how to switch you back' response:	But what do we do now?
context: Is that all?!\That's not all! Can you do that, brat?\Don't look, I also feel nasty\'Cause if you don't'\'we'll be stuck like this for life.\No choice, then.\Anyway, we know how to switch you back'\But what do we do now? response:	About what?
context: That's not all! Can you do that, brat?\Don't look, I also feel nasty\'Cause if you don't'\'we'll be stuck like this for life.\No choice, then.\Anyway, we know how to switch you back'\But what do we do now?\About what? response:	You'll be like this until tomorrow evening, right?
context: Don't look, I also feel nasty\'Cause if you don't'\'we'll be stuck like this for life.\No choice, then.\Anyway, we know how to switch you back'\But what do we do now?\About what?\You'll be like this until tomorrow evening, right? response:	Who is it?
context: 'Cause if you don't'\'we'll be stuck like this for life.\No choice, then.\Anyway, we know how to switch you back'\But what do we do now?\About what?\You'll be like this until tomorrow evening, right?\Who is it? response:	Yes.
context: 'we'll be stuck like this for life.\No choice, then.\Anyway, we know how to switch you back'\But what do we do now?\About what?\You'll be like this until tomorrow evening, right?\Who is it?\Yes. response:	What's wrong? You're acting kind of shy.
context: No choice, then.\Anyway, we know how to switch you back'\But what do we do now?\About what?\You'll be like this until tomorrow evening, right?\Who is it?\Yes.\What's wrong? You're acting kind of shy. response:	Why don't you come in?
context: Anyway, we know how to switch you back'\But what do we do now?\About what?\You'll be like this until tomorrow evening, right?\Who is it?\Yes.\What's wrong? You're acting kind of shy.\Why don't you come in? response:	I was waiting for you! Come here, come here!
context: But what do we do now?\About what?\You'll be like this until tomorrow evening, right?\Who is it?\Yes.\What's wrong? You're acting kind of shy.\Why don't you come in?\I was waiting for you! Come here, come here! response:	Will he give it away?
context: About what?\You'll be like this until tomorrow evening, right?\Who is it?\Yes.\What's wrong? You're acting kind of shy.\Why don't you come in?\I was waiting for you! Come here, come here!\Will he give it away? response:	If you're worried,
context: You'll be like this until tomorrow evening, right?\Who is it?\Yes.\What's wrong? You're acting kind of shy.\Why don't you come in?\I was waiting for you! Come here, come here!\Will he give it away?\If you're worried, response:	why don't you tell Mei Lin the truth?
context: Who is it?\Yes.\What's wrong? You're acting kind of shy.\Why don't you come in?\I was waiting for you! Come here, come here!\Will he give it away?\If you're worried,\why don't you tell Mei Lin the truth? response:	If she knew, she'd never let me hear the end of it.
context: Yes.\What's wrong? You're acting kind of shy.\Why don't you come in?\I was waiting for you! Come here, come here!\Will he give it away?\If you're worried,\why don't you tell Mei Lin the truth?\If she knew, she'd never let me hear the end of it. response:	Then it can't be helped.
context: What's wrong? You're acting kind of shy.\Why don't you come in?\I was waiting for you! Come here, come here!\Will he give it away?\If you're worried,\why don't you tell Mei Lin the truth?\If she knew, she'd never let me hear the end of it.\Then it can't be helped. response:	It'll stay like this until tomorrow evening.
context: Why don't you come in?\I was waiting for you! Come here, come here!\Will he give it away?\If you're worried,\why don't you tell Mei Lin the truth?\If she knew, she'd never let me hear the end of it.\Then it can't be helped.\It'll stay like this until tomorrow evening. response:	But still'
context: I was waiting for you! Come here, come here!\Will he give it away?\If you're worried,\why don't you tell Mei Lin the truth?\If she knew, she'd never let me hear the end of it.\Then it can't be helped.\It'll stay like this until tomorrow evening.\But still' response:	It'll be okay. If you stay patient'
context: Will he give it away?\If you're worried,\why don't you tell Mei Lin the truth?\If she knew, she'd never let me hear the end of it.\Then it can't be helped.\It'll stay like this until tomorrow evening.\But still'\It'll be okay. If you stay patient' response:	Will he be able to remain patient?
context: If you're worried,\why don't you tell Mei Lin the truth?\If she knew, she'd never let me hear the end of it.\Then it can't be helped.\It'll stay like this until tomorrow evening.\But still'\It'll be okay. If you stay patient'\Will he be able to remain patient? response:	Probably'
context: why don't you tell Mei Lin the truth?\If she knew, she'd never let me hear the end of it.\Then it can't be helped.\It'll stay like this until tomorrow evening.\But still'\It'll be okay. If you stay patient'\Will he be able to remain patient?\Probably' response:	I'm making leftovers, so why don't you make soup?
context: If she knew, she'd never let me hear the end of it.\Then it can't be helped.\It'll stay like this until tomorrow evening.\But still'\It'll be okay. If you stay patient'\Will he be able to remain patient?\Probably'\I'm making leftovers, so why don't you make soup? response:	Soup?
context: Then it can't be helped.\It'll stay like this until tomorrow evening.\But still'\It'll be okay. If you stay patient'\Will he be able to remain patient?\Probably'\I'm making leftovers, so why don't you make soup?\Soup? response:	Wei is out today,
context: It'll stay like this until tomorrow evening.\But still'\It'll be okay. If you stay patient'\Will he be able to remain patient?\Probably'\I'm making leftovers, so why don't you make soup?\Soup?\Wei is out today, response:	so we have to make it on our own.
context: But still'\It'll be okay. If you stay patient'\Will he be able to remain patient?\Probably'\I'm making leftovers, so why don't you make soup?\Soup?\Wei is out today,\so we have to make it on our own. response:	'We?'
context: It'll be okay. If you stay patient'\Will he be able to remain patient?\Probably'\I'm making leftovers, so why don't you make soup?\Soup?\Wei is out today,\so we have to make it on our own.\'We?' response:	Well, I have to go buy some stuff, so you get started, okay?
context: Will he be able to remain patient?\Probably'\I'm making leftovers, so why don't you make soup?\Soup?\Wei is out today,\so we have to make it on our own.\'We?'\Well, I have to go buy some stuff, so you get started, okay? response:	Hey! What the heck is going on?
context: Probably'\I'm making leftovers, so why don't you make soup?\Soup?\Wei is out today,\so we have to make it on our own.\'We?'\Well, I have to go buy some stuff, so you get started, okay?\Hey! What the heck is going on? response:	A man's gotta do what a man's gotta do'
context: I'm making leftovers, so why don't you make soup?\Soup?\Wei is out today,\so we have to make it on our own.\'We?'\Well, I have to go buy some stuff, so you get started, okay?\Hey! What the heck is going on?\A man's gotta do what a man's gotta do' response:	That's dangerous, Li.
context: Soup?\Wei is out today,\so we have to make it on our own.\'We?'\Well, I have to go buy some stuff, so you get started, okay?\Hey! What the heck is going on?\A man's gotta do what a man's gotta do'\That's dangerous, Li. response:	You never said anything about leaving this room.
context: Wei is out today,\so we have to make it on our own.\'We?'\Well, I have to go buy some stuff, so you get started, okay?\Hey! What the heck is going on?\A man's gotta do what a man's gotta do'\That's dangerous, Li.\You never said anything about leaving this room. response:	But if you leave this room
context: so we have to make it on our own.\'We?'\Well, I have to go buy some stuff, so you get started, okay?\Hey! What the heck is going on?\A man's gotta do what a man's gotta do'\That's dangerous, Li.\You never said anything about leaving this room.\But if you leave this room response:	Someone will see you.
context: 'We?'\Well, I have to go buy some stuff, so you get started, okay?\Hey! What the heck is going on?\A man's gotta do what a man's gotta do'\That's dangerous, Li.\You never said anything about leaving this room.\But if you leave this room\Someone will see you. response:	I can't do it! I need some air.
context: Well, I have to go buy some stuff, so you get started, okay?\Hey! What the heck is going on?\A man's gotta do what a man's gotta do'\That's dangerous, Li.\You never said anything about leaving this room.\But if you leave this room\Someone will see you.\I can't do it! I need some air. response:	You'll catch a cold.
context: Hey! What the heck is going on?\A man's gotta do what a man's gotta do'\That's dangerous, Li.\You never said anything about leaving this room.\But if you leave this room\Someone will see you.\I can't do it! I need some air.\You'll catch a cold. response:	Li!
context: A man's gotta do what a man's gotta do'\That's dangerous, Li.\You never said anything about leaving this room.\But if you leave this room\Someone will see you.\I can't do it! I need some air.\You'll catch a cold.\Li! response:	I'm home.
context: That's dangerous, Li.\You never said anything about leaving this room.\But if you leave this room\Someone will see you.\I can't do it! I need some air.\You'll catch a cold.\Li!\I'm home. response:	B' Brother'
context: You never said anything about leaving this room.\But if you leave this room\Someone will see you.\I can't do it! I need some air.\You'll catch a cold.\Li!\I'm home.\B' Brother' response:	Sakura, good afternoon. Did you drop your stuffed animal?
context: But if you leave this room\Someone will see you.\I can't do it! I need some air.\You'll catch a cold.\Li!\I'm home.\B' Brother'\Sakura, good afternoon. Did you drop your stuffed animal? response:	Yukito!
context: Someone will see you.\I can't do it! I need some air.\You'll catch a cold.\Li!\I'm home.\B' Brother'\Sakura, good afternoon. Did you drop your stuffed animal?\Yukito! response:	It's okay, it doesn't look damaged. Here.
context: I can't do it! I need some air.\You'll catch a cold.\Li!\I'm home.\B' Brother'\Sakura, good afternoon. Did you drop your stuffed animal?\Yukito!\It's okay, it doesn't look damaged. Here. response:	Thank you very much.
context: You'll catch a cold.\Li!\I'm home.\B' Brother'\Sakura, good afternoon. Did you drop your stuffed animal?\Yukito!\It's okay, it doesn't look damaged. Here.\Thank you very much. response:	Dad'll be late today.
context: Li!\I'm home.\B' Brother'\Sakura, good afternoon. Did you drop your stuffed animal?\Yukito!\It's okay, it doesn't look damaged. Here.\Thank you very much.\Dad'll be late today. response:	The three of us will eat together.
context: I'm home.\B' Brother'\Sakura, good afternoon. Did you drop your stuffed animal?\Yukito!\It's okay, it doesn't look damaged. Here.\Thank you very much.\Dad'll be late today.\The three of us will eat together. response:	Really?
context: B' Brother'\Sakura, good afternoon. Did you drop your stuffed animal?\Yukito!\It's okay, it doesn't look damaged. Here.\Thank you very much.\Dad'll be late today.\The three of us will eat together.\Really? response:	Have you prepared the food?
context: Sakura, good afternoon. Did you drop your stuffed animal?\Yukito!\It's okay, it doesn't look damaged. Here.\Thank you very much.\Dad'll be late today.\The three of us will eat together.\Really?\Have you prepared the food? response:	I forgot! I'll do it now!
context: Yukito!\It's okay, it doesn't look damaged. Here.\Thank you very much.\Dad'll be late today.\The three of us will eat together.\Really?\Have you prepared the food?\I forgot! I'll do it now! response:	Sakura.
context: It's okay, it doesn't look damaged. Here.\Thank you very much.\Dad'll be late today.\The three of us will eat together.\Really?\Have you prepared the food?\I forgot! I'll do it now!\Sakura. response:	That stuffed animal's face is kind of red, isn't it?
context: Thank you very much.\Dad'll be late today.\The three of us will eat together.\Really?\Have you prepared the food?\I forgot! I'll do it now!\Sakura.\That stuffed animal's face is kind of red, isn't it? response:	Maybe something got stuck on it!
context: Dad'll be late today.\The three of us will eat together.\Really?\Have you prepared the food?\I forgot! I'll do it now!\Sakura.\That stuffed animal's face is kind of red, isn't it?\Maybe something got stuck on it! response:	I'll take it back to my room!
context: The three of us will eat together.\Really?\Have you prepared the food?\I forgot! I'll do it now!\Sakura.\That stuffed animal's face is kind of red, isn't it?\Maybe something got stuck on it!\I'll take it back to my room! response:	Man, that hurt.
context: Really?\Have you prepared the food?\I forgot! I'll do it now!\Sakura.\That stuffed animal's face is kind of red, isn't it?\Maybe something got stuck on it!\I'll take it back to my room!\Man, that hurt. response:	Sorry about that. Well, gotta hurry up and cook.
context: Have you prepared the food?\I forgot! I'll do it now!\Sakura.\That stuffed animal's face is kind of red, isn't it?\Maybe something got stuck on it!\I'll take it back to my room!\Man, that hurt.\Sorry about that. Well, gotta hurry up and cook. response:	Remember, Li?
context: I forgot! I'll do it now!\Sakura.\That stuffed animal's face is kind of red, isn't it?\Maybe something got stuck on it!\I'll take it back to my room!\Man, that hurt.\Sorry about that. Well, gotta hurry up and cook.\Remember, Li? response:	You mustn't leave this room.
context: Sakura.\That stuffed animal's face is kind of red, isn't it?\Maybe something got stuck on it!\I'll take it back to my room!\Man, that hurt.\Sorry about that. Well, gotta hurry up and cook.\Remember, Li?\You mustn't leave this room. response:	Oh, Sakura. Let me help with something.
context: That stuffed animal's face is kind of red, isn't it?\Maybe something got stuck on it!\I'll take it back to my room!\Man, that hurt.\Sorry about that. Well, gotta hurry up and cook.\Remember, Li?\You mustn't leave this room.\Oh, Sakura. Let me help with something. response:	No, you just sit right there.
context: Maybe something got stuck on it!\I'll take it back to my room!\Man, that hurt.\Sorry about that. Well, gotta hurry up and cook.\Remember, Li?\You mustn't leave this room.\Oh, Sakura. Let me help with something.\No, you just sit right there. response:	That's all right. Why don't I bring this to you?
context: I'll take it back to my room!\Man, that hurt.\Sorry about that. Well, gotta hurry up and cook.\Remember, Li?\You mustn't leave this room.\Oh, Sakura. Let me help with something.\No, you just sit right there.\That's all right. Why don't I bring this to you? response:	Looks good! Well, let's eat!
context: Man, that hurt.\Sorry about that. Well, gotta hurry up and cook.\Remember, Li?\You mustn't leave this room.\Oh, Sakura. Let me help with something.\No, you just sit right there.\That's all right. Why don't I bring this to you?\Looks good! Well, let's eat! response:	What's up?
context: Sorry about that. Well, gotta hurry up and cook.\Remember, Li?\You mustn't leave this room.\Oh, Sakura. Let me help with something.\No, you just sit right there.\That's all right. Why don't I bring this to you?\Looks good! Well, let's eat!\What's up? response:	Something wrong?
