context: 'I Will Be the One Who Wins... Risking Survival, A Final Attack' response:	What's wrong!? Are you so afraid you'll wear yourself out you can't put out your full power!?
context: And you know, something is beginning to happen to this planet! Something beyond hope!\Besides which, Freeza's Ki seems to again be getting greater! What can it mean?\W- whatever happens, you just watch me live through this!\Somebody, hurry and come save me! Please!\Incredible! His Ki is billowing up and filling him out!\So this is finally the realization of his 100 percent power, is it?\What are you doing, Goku!?\Goku, can you hear me!? Hey! response:	Now! Now is your chance! Now, while Freeza concentrates his power, is your chance to attack!
context: Besides which, Freeza's Ki seems to again be getting greater! What can it mean?\W- whatever happens, you just watch me live through this!\Somebody, hurry and come save me! Please!\Incredible! His Ki is billowing up and filling him out!\So this is finally the realization of his 100 percent power, is it?\What are you doing, Goku!?\Goku, can you hear me!? Hey!\Now! Now is your chance! Now, while Freeza concentrates his power, is your chance to attack! response:	Hey, Goku! Do you not hear my voice!?
context: W- whatever happens, you just watch me live through this!\Somebody, hurry and come save me! Please!\Incredible! His Ki is billowing up and filling him out!\So this is finally the realization of his 100 percent power, is it?\What are you doing, Goku!?\Goku, can you hear me!? Hey!\Now! Now is your chance! Now, while Freeza concentrates his power, is your chance to attack!\Hey, Goku! Do you not hear my voice!? response:	That can't be possible! Goku, now is your only-
context: Somebody, hurry and come save me! Please!\Incredible! His Ki is billowing up and filling him out!\So this is finally the realization of his 100 percent power, is it?\What are you doing, Goku!?\Goku, can you hear me!? Hey!\Now! Now is your chance! Now, while Freeza concentrates his power, is your chance to attack!\Hey, Goku! Do you not hear my voice!?\That can't be possible! Goku, now is your only- response:	I do hear you, Kaio-sama.
context: Incredible! His Ki is billowing up and filling him out!\So this is finally the realization of his 100 percent power, is it?\What are you doing, Goku!?\Goku, can you hear me!? Hey!\Now! Now is your chance! Now, while Freeza concentrates his power, is your chance to attack!\Hey, Goku! Do you not hear my voice!?\That can't be possible! Goku, now is your only-\I do hear you, Kaio-sama. response:	There's no doubt, I probably ain't going to get a second chance at this.
context: So this is finally the realization of his 100 percent power, is it?\What are you doing, Goku!?\Goku, can you hear me!? Hey!\Now! Now is your chance! Now, while Freeza concentrates his power, is your chance to attack!\Hey, Goku! Do you not hear my voice!?\That can't be possible! Goku, now is your only-\I do hear you, Kaio-sama.\There's no doubt, I probably ain't going to get a second chance at this. response:	That chance to see with my own eyes the strongest scumbag in the universe at his full power, that is.
context: What are you doing, Goku!?\Goku, can you hear me!? Hey!\Now! Now is your chance! Now, while Freeza concentrates his power, is your chance to attack!\Hey, Goku! Do you not hear my voice!?\That can't be possible! Goku, now is your only-\I do hear you, Kaio-sama.\There's no doubt, I probably ain't going to get a second chance at this.\That chance to see with my own eyes the strongest scumbag in the universe at his full power, that is. response:	W- what did you say!?
context: Goku, can you hear me!? Hey!\Now! Now is your chance! Now, while Freeza concentrates his power, is your chance to attack!\Hey, Goku! Do you not hear my voice!?\That can't be possible! Goku, now is your only-\I do hear you, Kaio-sama.\There's no doubt, I probably ain't going to get a second chance at this.\That chance to see with my own eyes the strongest scumbag in the universe at his full power, that is.\W- what did you say!? response:	Goku, are you even aware of what you are saying?
context: Now! Now is your chance! Now, while Freeza concentrates his power, is your chance to attack!\Hey, Goku! Do you not hear my voice!?\That can't be possible! Goku, now is your only-\I do hear you, Kaio-sama.\There's no doubt, I probably ain't going to get a second chance at this.\That chance to see with my own eyes the strongest scumbag in the universe at his full power, that is.\W- what did you say!?\Goku, are you even aware of what you are saying? response:	Hey! What the hell is the matter with you!?
context: Hey, Goku! Do you not hear my voice!?\That can't be possible! Goku, now is your only-\I do hear you, Kaio-sama.\There's no doubt, I probably ain't going to get a second chance at this.\That chance to see with my own eyes the strongest scumbag in the universe at his full power, that is.\W- what did you say!?\Goku, are you even aware of what you are saying?\Hey! What the hell is the matter with you!? response:	And...win!
context: That can't be possible! Goku, now is your only-\I do hear you, Kaio-sama.\There's no doubt, I probably ain't going to get a second chance at this.\That chance to see with my own eyes the strongest scumbag in the universe at his full power, that is.\W- what did you say!?\Goku, are you even aware of what you are saying?\Hey! What the hell is the matter with you!?\And...win! response:	Such foolishness! This isn't a game, Goku!
context: I do hear you, Kaio-sama.\There's no doubt, I probably ain't going to get a second chance at this.\That chance to see with my own eyes the strongest scumbag in the universe at his full power, that is.\W- what did you say!?\Goku, are you even aware of what you are saying?\Hey! What the hell is the matter with you!?\And...win!\Such foolishness! This isn't a game, Goku! response:	I am going to avenge Kuririn! He has died twice! He cannot return to life, even with the Dragonballs!
context: There's no doubt, I probably ain't going to get a second chance at this.\That chance to see with my own eyes the strongest scumbag in the universe at his full power, that is.\W- what did you say!?\Goku, are you even aware of what you are saying?\Hey! What the hell is the matter with you!?\And...win!\Such foolishness! This isn't a game, Goku!\I am going to avenge Kuririn! He has died twice! He cannot return to life, even with the Dragonballs! response:	Kuririn was a good guy!
context: That chance to see with my own eyes the strongest scumbag in the universe at his full power, that is.\W- what did you say!?\Goku, are you even aware of what you are saying?\Hey! What the hell is the matter with you!?\And...win!\Such foolishness! This isn't a game, Goku!\I am going to avenge Kuririn! He has died twice! He cannot return to life, even with the Dragonballs!\Kuririn was a good guy! response:	A really good guy.
context: W- what did you say!?\Goku, are you even aware of what you are saying?\Hey! What the hell is the matter with you!?\And...win!\Such foolishness! This isn't a game, Goku!\I am going to avenge Kuririn! He has died twice! He cannot return to life, even with the Dragonballs!\Kuririn was a good guy!\A really good guy. response:	My very best friend!
context: Goku, are you even aware of what you are saying?\Hey! What the hell is the matter with you!?\And...win!\Such foolishness! This isn't a game, Goku!\I am going to avenge Kuririn! He has died twice! He cannot return to life, even with the Dragonballs!\Kuririn was a good guy!\A really good guy.\My very best friend! response:	And he blew him to bits...
context: Hey! What the hell is the matter with you!?\And...win!\Such foolishness! This isn't a game, Goku!\I am going to avenge Kuririn! He has died twice! He cannot return to life, even with the Dragonballs!\Kuririn was a good guy!\A really good guy.\My very best friend!\And he blew him to bits... response:	But there's no reason to wait for him to reach full power!
context: And...win!\Such foolishness! This isn't a game, Goku!\I am going to avenge Kuririn! He has died twice! He cannot return to life, even with the Dragonballs!\Kuririn was a good guy!\A really good guy.\My very best friend!\And he blew him to bits...\But there's no reason to wait for him to reach full power! response:	Besides, what about Gohan and the others?
context: Such foolishness! This isn't a game, Goku!\I am going to avenge Kuririn! He has died twice! He cannot return to life, even with the Dragonballs!\Kuririn was a good guy!\A really good guy.\My very best friend!\And he blew him to bits...\But there's no reason to wait for him to reach full power!\Besides, what about Gohan and the others? response:	It's all right. Gohan and the others will be saved.
context: I am going to avenge Kuririn! He has died twice! He cannot return to life, even with the Dragonballs!\Kuririn was a good guy!\A really good guy.\My very best friend!\And he blew him to bits...\But there's no reason to wait for him to reach full power!\Besides, what about Gohan and the others?\It's all right. Gohan and the others will be saved. response:	Where are you? Where are you, Bulma-san!?
context: Kuririn was a good guy!\A really good guy.\My very best friend!\And he blew him to bits...\But there's no reason to wait for him to reach full power!\Besides, what about Gohan and the others?\It's all right. Gohan and the others will be saved.\Where are you? Where are you, Bulma-san!? response:	N- no way! I don't want to die in a place like this!
context: A really good guy.\My very best friend!\And he blew him to bits...\But there's no reason to wait for him to reach full power!\Besides, what about Gohan and the others?\It's all right. Gohan and the others will be saved.\Where are you? Where are you, Bulma-san!?\N- no way! I don't want to die in a place like this! response:	Gohan-kun!
context: My very best friend!\And he blew him to bits...\But there's no reason to wait for him to reach full power!\Besides, what about Gohan and the others?\It's all right. Gohan and the others will be saved.\Where are you? Where are you, Bulma-san!?\N- no way! I don't want to die in a place like this!\Gohan-kun! response:	What have you all been up to!? I was nearly worried out of my mind!
context: And he blew him to bits...\But there's no reason to wait for him to reach full power!\Besides, what about Gohan and the others?\It's all right. Gohan and the others will be saved.\Where are you? Where are you, Bulma-san!?\N- no way! I don't want to die in a place like this!\Gohan-kun!\What have you all been up to!? I was nearly worried out of my mind! response:	What exactly is up with this planet!? Leaving me behind by myself in such a dangerous place!
context: But there's no reason to wait for him to reach full power!\Besides, what about Gohan and the others?\It's all right. Gohan and the others will be saved.\Where are you? Where are you, Bulma-san!?\N- no way! I don't want to die in a place like this!\Gohan-kun!\What have you all been up to!? I was nearly worried out of my mind!\What exactly is up with this planet!? Leaving me behind by myself in such a dangerous place! response:	What is going on with Kuririn and Son-kun!?
context: Besides, what about Gohan and the others?\It's all right. Gohan and the others will be saved.\Where are you? Where are you, Bulma-san!?\N- no way! I don't want to die in a place like this!\Gohan-kun!\What have you all been up to!? I was nearly worried out of my mind!\What exactly is up with this planet!? Leaving me behind by myself in such a dangerous place!\What is going on with Kuririn and Son-kun!? response:	I'll explain what's happening later. Right now, we have to hurry!
context: It's all right. Gohan and the others will be saved.\Where are you? Where are you, Bulma-san!?\N- no way! I don't want to die in a place like this!\Gohan-kun!\What have you all been up to!? I was nearly worried out of my mind!\What exactly is up with this planet!? Leaving me behind by myself in such a dangerous place!\What is going on with Kuririn and Son-kun!?\I'll explain what's happening later. Right now, we have to hurry! response:	Hurry? To where? I know, the spaceship Son-kun came in, right!? We can go home now, right!?
context: Where are you? Where are you, Bulma-san!?\N- no way! I don't want to die in a place like this!\Gohan-kun!\What have you all been up to!? I was nearly worried out of my mind!\What exactly is up with this planet!? Leaving me behind by myself in such a dangerous place!\What is going on with Kuririn and Son-kun!?\I'll explain what's happening later. Right now, we have to hurry!\Hurry? To where? I know, the spaceship Son-kun came in, right!? We can go home now, right!? response:	-Yeah. -Hooray!
context: N- no way! I don't want to die in a place like this!\Gohan-kun!\What have you all been up to!? I was nearly worried out of my mind!\What exactly is up with this planet!? Leaving me behind by myself in such a dangerous place!\What is going on with Kuririn and Son-kun!?\I'll explain what's happening later. Right now, we have to hurry!\Hurry? To where? I know, the spaceship Son-kun came in, right!? We can go home now, right!?\-Yeah. -Hooray! response:	Where's Gohan-chan!? What's happenin' to Gohan-chan!?
context: Gohan-kun!\What have you all been up to!? I was nearly worried out of my mind!\What exactly is up with this planet!? Leaving me behind by myself in such a dangerous place!\What is going on with Kuririn and Son-kun!?\I'll explain what's happening later. Right now, we have to hurry!\Hurry? To where? I know, the spaceship Son-kun came in, right!? We can go home now, right!?\-Yeah. -Hooray!\Where's Gohan-chan!? What's happenin' to Gohan-chan!? response:	There's only two reasons this high-performance monitor would stop sending images.
context: What have you all been up to!? I was nearly worried out of my mind!\What exactly is up with this planet!? Leaving me behind by myself in such a dangerous place!\What is going on with Kuririn and Son-kun!?\I'll explain what's happening later. Right now, we have to hurry!\Hurry? To where? I know, the spaceship Son-kun came in, right!? We can go home now, right!?\-Yeah. -Hooray!\Where's Gohan-chan!? What's happenin' to Gohan-chan!?\There's only two reasons this high-performance monitor would stop sending images. response:	The first case is the spaceship has been vaporized.
context: What exactly is up with this planet!? Leaving me behind by myself in such a dangerous place!\What is going on with Kuririn and Son-kun!?\I'll explain what's happening later. Right now, we have to hurry!\Hurry? To where? I know, the spaceship Son-kun came in, right!? We can go home now, right!?\-Yeah. -Hooray!\Where's Gohan-chan!? What's happenin' to Gohan-chan!?\There's only two reasons this high-performance monitor would stop sending images.\The first case is the spaceship has been vaporized. response:	The second case...
context: What is going on with Kuririn and Son-kun!?\I'll explain what's happening later. Right now, we have to hurry!\Hurry? To where? I know, the spaceship Son-kun came in, right!? We can go home now, right!?\-Yeah. -Hooray!\Where's Gohan-chan!? What's happenin' to Gohan-chan!?\There's only two reasons this high-performance monitor would stop sending images.\The first case is the spaceship has been vaporized.\The second case... response:	is that something irregular is affecting Planet Namek's axis, causing fluctuations in its magnetic field,
context: I'll explain what's happening later. Right now, we have to hurry!\Hurry? To where? I know, the spaceship Son-kun came in, right!? We can go home now, right!?\-Yeah. -Hooray!\Where's Gohan-chan!? What's happenin' to Gohan-chan!?\There's only two reasons this high-performance monitor would stop sending images.\The first case is the spaceship has been vaporized.\The second case...\is that something irregular is affecting Planet Namek's axis, causing fluctuations in its magnetic field, response:	thus causing electromagnetic waves to become unstable.
context: Hurry? To where? I know, the spaceship Son-kun came in, right!? We can go home now, right!?\-Yeah. -Hooray!\Where's Gohan-chan!? What's happenin' to Gohan-chan!?\There's only two reasons this high-performance monitor would stop sending images.\The first case is the spaceship has been vaporized.\The second case...\is that something irregular is affecting Planet Namek's axis, causing fluctuations in its magnetic field,\thus causing electromagnetic waves to become unstable. response:	What kind of conditions are those?
context: -Yeah. -Hooray!\Where's Gohan-chan!? What's happenin' to Gohan-chan!?\There's only two reasons this high-performance monitor would stop sending images.\The first case is the spaceship has been vaporized.\The second case...\is that something irregular is affecting Planet Namek's axis, causing fluctuations in its magnetic field,\thus causing electromagnetic waves to become unstable.\What kind of conditions are those? response:	Uh, you might call it a portent of the destruction of Planet Namek. In any case, Goku and Gohan-kun...and even Bulma...
context: Where's Gohan-chan!? What's happenin' to Gohan-chan!?\There's only two reasons this high-performance monitor would stop sending images.\The first case is the spaceship has been vaporized.\The second case...\is that something irregular is affecting Planet Namek's axis, causing fluctuations in its magnetic field,\thus causing electromagnetic waves to become unstable.\What kind of conditions are those?\Uh, you might call it a portent of the destruction of Planet Namek. In any case, Goku and Gohan-kun...and even Bulma... response:	Freeza, the reason I'm waiting for you to reach your full power like this,
context: There's only two reasons this high-performance monitor would stop sending images.\The first case is the spaceship has been vaporized.\The second case...\is that something irregular is affecting Planet Namek's axis, causing fluctuations in its magnetic field,\thus causing electromagnetic waves to become unstable.\What kind of conditions are those?\Uh, you might call it a portent of the destruction of Planet Namek. In any case, Goku and Gohan-kun...and even Bulma...\Freeza, the reason I'm waiting for you to reach your full power like this, response:	is because I want to demolish you when you're at your best!
context: The first case is the spaceship has been vaporized.\The second case...\is that something irregular is affecting Planet Namek's axis, causing fluctuations in its magnetic field,\thus causing electromagnetic waves to become unstable.\What kind of conditions are those?\Uh, you might call it a portent of the destruction of Planet Namek. In any case, Goku and Gohan-kun...and even Bulma...\Freeza, the reason I'm waiting for you to reach your full power like this,\is because I want to demolish you when you're at your best! response:	That's so I won't have any regrets as a warrior.
context: The second case...\is that something irregular is affecting Planet Namek's axis, causing fluctuations in its magnetic field,\thus causing electromagnetic waves to become unstable.\What kind of conditions are those?\Uh, you might call it a portent of the destruction of Planet Namek. In any case, Goku and Gohan-kun...and even Bulma...\Freeza, the reason I'm waiting for you to reach your full power like this,\is because I want to demolish you when you're at your best!\That's so I won't have any regrets as a warrior. response:	As for you, you must have come to want to try out your full power, right?
context: is that something irregular is affecting Planet Namek's axis, causing fluctuations in its magnetic field,\thus causing electromagnetic waves to become unstable.\What kind of conditions are those?\Uh, you might call it a portent of the destruction of Planet Namek. In any case, Goku and Gohan-kun...and even Bulma...\Freeza, the reason I'm waiting for you to reach your full power like this,\is because I want to demolish you when you're at your best!\That's so I won't have any regrets as a warrior.\As for you, you must have come to want to try out your full power, right? response:	Otherwise, you would have blasted the planet again and finished it off.
context: thus causing electromagnetic waves to become unstable.\What kind of conditions are those?\Uh, you might call it a portent of the destruction of Planet Namek. In any case, Goku and Gohan-kun...and even Bulma...\Freeza, the reason I'm waiting for you to reach your full power like this,\is because I want to demolish you when you're at your best!\That's so I won't have any regrets as a warrior.\As for you, you must have come to want to try out your full power, right?\Otherwise, you would have blasted the planet again and finished it off. response:	K- Kaio-sama?
context: What kind of conditions are those?\Uh, you might call it a portent of the destruction of Planet Namek. In any case, Goku and Gohan-kun...and even Bulma...\Freeza, the reason I'm waiting for you to reach your full power like this,\is because I want to demolish you when you're at your best!\That's so I won't have any regrets as a warrior.\As for you, you must have come to want to try out your full power, right?\Otherwise, you would have blasted the planet again and finished it off.\K- Kaio-sama? response:	That guy is no longer Son Goku. He is now a warrior of fury, a Super Saiyan.
context: Uh, you might call it a portent of the destruction of Planet Namek. In any case, Goku and Gohan-kun...and even Bulma...\Freeza, the reason I'm waiting for you to reach your full power like this,\is because I want to demolish you when you're at your best!\That's so I won't have any regrets as a warrior.\As for you, you must have come to want to try out your full power, right?\Otherwise, you would have blasted the planet again and finished it off.\K- Kaio-sama?\That guy is no longer Son Goku. He is now a warrior of fury, a Super Saiyan. response:	Sorry to keep you waiting. This is the full power you wanted.
context: Freeza, the reason I'm waiting for you to reach your full power like this,\is because I want to demolish you when you're at your best!\That's so I won't have any regrets as a warrior.\As for you, you must have come to want to try out your full power, right?\Otherwise, you would have blasted the planet again and finished it off.\K- Kaio-sama?\That guy is no longer Son Goku. He is now a warrior of fury, a Super Saiyan.\Sorry to keep you waiting. This is the full power you wanted. response:	There ain't time. Let's settle this quickly!
context: is because I want to demolish you when you're at your best!\That's so I won't have any regrets as a warrior.\As for you, you must have come to want to try out your full power, right?\Otherwise, you would have blasted the planet again and finished it off.\K- Kaio-sama?\That guy is no longer Son Goku. He is now a warrior of fury, a Super Saiyan.\Sorry to keep you waiting. This is the full power you wanted.\There ain't time. Let's settle this quickly! response:	Contemptible fool!
context: That's so I won't have any regrets as a warrior.\As for you, you must have come to want to try out your full power, right?\Otherwise, you would have blasted the planet again and finished it off.\K- Kaio-sama?\That guy is no longer Son Goku. He is now a warrior of fury, a Super Saiyan.\Sorry to keep you waiting. This is the full power you wanted.\There ain't time. Let's settle this quickly!\Contemptible fool! response:	W- what!?
context: As for you, you must have come to want to try out your full power, right?\Otherwise, you would have blasted the planet again and finished it off.\K- Kaio-sama?\That guy is no longer Son Goku. He is now a warrior of fury, a Super Saiyan.\Sorry to keep you waiting. This is the full power you wanted.\There ain't time. Let's settle this quickly!\Contemptible fool!\W- what!? response:	I- Impossible! That I should lose sight of them-what speed!
context: Otherwise, you would have blasted the planet again and finished it off.\K- Kaio-sama?\That guy is no longer Son Goku. He is now a warrior of fury, a Super Saiyan.\Sorry to keep you waiting. This is the full power you wanted.\There ain't time. Let's settle this quickly!\Contemptible fool!\W- what!?\I- Impossible! That I should lose sight of them-what speed! response:	Too slow!
context: K- Kaio-sama?\That guy is no longer Son Goku. He is now a warrior of fury, a Super Saiyan.\Sorry to keep you waiting. This is the full power you wanted.\There ain't time. Let's settle this quickly!\Contemptible fool!\W- what!?\I- Impossible! That I should lose sight of them-what speed!\Too slow! response:	He vanished!
context: That guy is no longer Son Goku. He is now a warrior of fury, a Super Saiyan.\Sorry to keep you waiting. This is the full power you wanted.\There ain't time. Let's settle this quickly!\Contemptible fool!\W- what!?\I- Impossible! That I should lose sight of them-what speed!\Too slow!\He vanished! response:	Behind you!
context: Sorry to keep you waiting. This is the full power you wanted.\There ain't time. Let's settle this quickly!\Contemptible fool!\W- what!?\I- Impossible! That I should lose sight of them-what speed!\Too slow!\He vanished!\Behind you! response:	How about that? That was just me warming up for my final attack!
context: There ain't time. Let's settle this quickly!\Contemptible fool!\W- what!?\I- Impossible! That I should lose sight of them-what speed!\Too slow!\He vanished!\Behind you!\How about that? That was just me warming up for my final attack! response:	I'd hope so...
context: Contemptible fool!\W- what!?\I- Impossible! That I should lose sight of them-what speed!\Too slow!\He vanished!\Behind you!\How about that? That was just me warming up for my final attack!\I'd hope so... response:	At such a level, I was just about to become disappointed.
context: W- what!?\I- Impossible! That I should lose sight of them-what speed!\Too slow!\He vanished!\Behind you!\How about that? That was just me warming up for my final attack!\I'd hope so...\At such a level, I was just about to become disappointed. response:	The time limit is up shortly.
context: I- Impossible! That I should lose sight of them-what speed!\Too slow!\He vanished!\Behind you!\How about that? That was just me warming up for my final attack!\I'd hope so...\At such a level, I was just about to become disappointed.\The time limit is up shortly. response:	Can Goku settle his fight with Freeza at his full power?
