context: Are you... Mari?! response:	I had sworn to myself that I would never speak that way in front of you.
context: Look!\bringing me back little things you'd found on the mountain, as souvenirs, and showed me such a good time.\Wow! That's amazing!\She's right. I do remember doing that, years ago!\Your kindness made me so happy, Raku-sama.\And then one day, my father asked me...\Mari, have you taken a fancy to that young'n?\Just say so, an' I'll make him marry you. response:	Really?
context: bringing me back little things you'd found on the mountain, as souvenirs, and showed me such a good time.\Wow! That's amazing!\She's right. I do remember doing that, years ago!\Your kindness made me so happy, Raku-sama.\And then one day, my father asked me...\Mari, have you taken a fancy to that young'n?\Just say so, an' I'll make him marry you.\Really? response:	Say, Rakkun.
context: Wow! That's amazing!\She's right. I do remember doing that, years ago!\Your kindness made me so happy, Raku-sama.\And then one day, my father asked me...\Mari, have you taken a fancy to that young'n?\Just say so, an' I'll make him marry you.\Really?\Say, Rakkun. response:	Tell me, Rakkun, what kinda girls do ya like?
context: She's right. I do remember doing that, years ago!\Your kindness made me so happy, Raku-sama.\And then one day, my father asked me...\Mari, have you taken a fancy to that young'n?\Just say so, an' I'll make him marry you.\Really?\Say, Rakkun.\Tell me, Rakkun, what kinda girls do ya like? response:	Huh? Girls?
context: Your kindness made me so happy, Raku-sama.\And then one day, my father asked me...\Mari, have you taken a fancy to that young'n?\Just say so, an' I'll make him marry you.\Really?\Say, Rakkun.\Tell me, Rakkun, what kinda girls do ya like?\Huh? Girls? response:	Um, I dunno.
context: And then one day, my father asked me...\Mari, have you taken a fancy to that young'n?\Just say so, an' I'll make him marry you.\Really?\Say, Rakkun.\Tell me, Rakkun, what kinda girls do ya like?\Huh? Girls?\Um, I dunno. response:	Well, girly girls, I guess?
context: Mari, have you taken a fancy to that young'n?\Just say so, an' I'll make him marry you.\Really?\Say, Rakkun.\Tell me, Rakkun, what kinda girls do ya like?\Huh? Girls?\Um, I dunno.\Well, girly girls, I guess? response:	Like, ones with long hair and stuff.
context: Just say so, an' I'll make him marry you.\Really?\Say, Rakkun.\Tell me, Rakkun, what kinda girls do ya like?\Huh? Girls?\Um, I dunno.\Well, girly girls, I guess?\Like, ones with long hair and stuff. response:	Starting that day, I went right to work!
context: Really?\Say, Rakkun.\Tell me, Rakkun, what kinda girls do ya like?\Huh? Girls?\Um, I dunno.\Well, girly girls, I guess?\Like, ones with long hair and stuff.\Starting that day, I went right to work! response:	All the lessons and practice that I used to hate, I threw myself into them!
context: Say, Rakkun.\Tell me, Rakkun, what kinda girls do ya like?\Huh? Girls?\Um, I dunno.\Well, girly girls, I guess?\Like, ones with long hair and stuff.\Starting that day, I went right to work!\All the lessons and practice that I used to hate, I threw myself into them! response:	I mastered the proper manner of speech and acquired an education!
context: Tell me, Rakkun, what kinda girls do ya like?\Huh? Girls?\Um, I dunno.\Well, girly girls, I guess?\Like, ones with long hair and stuff.\Starting that day, I went right to work!\All the lessons and practice that I used to hate, I threw myself into them!\I mastered the proper manner of speech and acquired an education! response:	It was full speed ahead for me to become the ideal woman that you sought!
context: Huh? Girls?\Um, I dunno.\Well, girly girls, I guess?\Like, ones with long hair and stuff.\Starting that day, I went right to work!\All the lessons and practice that I used to hate, I threw myself into them!\I mastered the proper manner of speech and acquired an education!\It was full speed ahead for me to become the ideal woman that you sought! response:	That was all I did for so many years, just to meet you once more.
context: Um, I dunno.\Well, girly girls, I guess?\Like, ones with long hair and stuff.\Starting that day, I went right to work!\All the lessons and practice that I used to hate, I threw myself into them!\I mastered the proper manner of speech and acquired an education!\It was full speed ahead for me to become the ideal woman that you sought!\That was all I did for so many years, just to meet you once more. response:	Our promise was the one thing that kept me going.
context: Well, girly girls, I guess?\Like, ones with long hair and stuff.\Starting that day, I went right to work!\All the lessons and practice that I used to hate, I threw myself into them!\I mastered the proper manner of speech and acquired an education!\It was full speed ahead for me to become the ideal woman that you sought!\That was all I did for so many years, just to meet you once more.\Our promise was the one thing that kept me going. response:	Please forgive me for speaking as if you have an obligation to me.
context: Like, ones with long hair and stuff.\Starting that day, I went right to work!\All the lessons and practice that I used to hate, I threw myself into them!\I mastered the proper manner of speech and acquired an education!\It was full speed ahead for me to become the ideal woman that you sought!\That was all I did for so many years, just to meet you once more.\Our promise was the one thing that kept me going.\Please forgive me for speaking as if you have an obligation to me. response:	It's just that... I wanted so desperately to convey how I feel.
context: Starting that day, I went right to work!\All the lessons and practice that I used to hate, I threw myself into them!\I mastered the proper manner of speech and acquired an education!\It was full speed ahead for me to become the ideal woman that you sought!\That was all I did for so many years, just to meet you once more.\Our promise was the one thing that kept me going.\Please forgive me for speaking as if you have an obligation to me.\It's just that... I wanted so desperately to convey how I feel. response:	We had that photo taken when we were about to part ways,
context: All the lessons and practice that I used to hate, I threw myself into them!\I mastered the proper manner of speech and acquired an education!\It was full speed ahead for me to become the ideal woman that you sought!\That was all I did for so many years, just to meet you once more.\Our promise was the one thing that kept me going.\Please forgive me for speaking as if you have an obligation to me.\It's just that... I wanted so desperately to convey how I feel.\We had that photo taken when we were about to part ways, response:	so that we would never forget our cherished promise.
context: I mastered the proper manner of speech and acquired an education!\It was full speed ahead for me to become the ideal woman that you sought!\That was all I did for so many years, just to meet you once more.\Our promise was the one thing that kept me going.\Please forgive me for speaking as if you have an obligation to me.\It's just that... I wanted so desperately to convey how I feel.\We had that photo taken when we were about to part ways,\so that we would never forget our cherished promise. response:	She did it for me?
context: It was full speed ahead for me to become the ideal woman that you sought!\That was all I did for so many years, just to meet you once more.\Our promise was the one thing that kept me going.\Please forgive me for speaking as if you have an obligation to me.\It's just that... I wanted so desperately to convey how I feel.\We had that photo taken when we were about to part ways,\so that we would never forget our cherished promise.\She did it for me? response:	She loved me that much, then?
context: That was all I did for so many years, just to meet you once more.\Our promise was the one thing that kept me going.\Please forgive me for speaking as if you have an obligation to me.\It's just that... I wanted so desperately to convey how I feel.\We had that photo taken when we were about to part ways,\so that we would never forget our cherished promise.\She did it for me?\She loved me that much, then? response:	To me, it hardly meant anything at all.
context: Our promise was the one thing that kept me going.\Please forgive me for speaking as if you have an obligation to me.\It's just that... I wanted so desperately to convey how I feel.\We had that photo taken when we were about to part ways,\so that we would never forget our cherished promise.\She did it for me?\She loved me that much, then?\To me, it hardly meant anything at all. response:	Who knew it was so important to her?
context: Please forgive me for speaking as if you have an obligation to me.\It's just that... I wanted so desperately to convey how I feel.\We had that photo taken when we were about to part ways,\so that we would never forget our cherished promise.\She did it for me?\She loved me that much, then?\To me, it hardly meant anything at all.\Who knew it was so important to her? response:	I...
context: It's just that... I wanted so desperately to convey how I feel.\We had that photo taken when we were about to part ways,\so that we would never forget our cherished promise.\She did it for me?\She loved me that much, then?\To me, it hardly meant anything at all.\Who knew it was so important to her?\I... response:	Well, please don't feel so badly about it.
context: We had that photo taken when we were about to part ways,\so that we would never forget our cherished promise.\She did it for me?\She loved me that much, then?\To me, it hardly meant anything at all.\Who knew it was so important to her?\I...\Well, please don't feel so badly about it. response:	I'm fully aware that wanting you to remember me was my own self-indulgence.
context: so that we would never forget our cherished promise.\She did it for me?\She loved me that much, then?\To me, it hardly meant anything at all.\Who knew it was so important to her?\I...\Well, please don't feel so badly about it.\I'm fully aware that wanting you to remember me was my own self-indulgence. response:	Therefore, you don't have to force yourself to remember me anymore.
context: She did it for me?\She loved me that much, then?\To me, it hardly meant anything at all.\Who knew it was so important to her?\I...\Well, please don't feel so badly about it.\I'm fully aware that wanting you to remember me was my own self-indulgence.\Therefore, you don't have to force yourself to remember me anymore. response:	What? Oh... no way!
context: She loved me that much, then?\To me, it hardly meant anything at all.\Who knew it was so important to her?\I...\Well, please don't feel so badly about it.\I'm fully aware that wanting you to remember me was my own self-indulgence.\Therefore, you don't have to force yourself to remember me anymore.\What? Oh... no way! response:	Wait right there!
context: To me, it hardly meant anything at all.\Who knew it was so important to her?\I...\Well, please don't feel so badly about it.\I'm fully aware that wanting you to remember me was my own self-indulgence.\Therefore, you don't have to force yourself to remember me anymore.\What? Oh... no way!\Wait right there! response:	I'm gonna concentrate with every nerve in my body!
context: Who knew it was so important to her?\I...\Well, please don't feel so badly about it.\I'm fully aware that wanting you to remember me was my own self-indulgence.\Therefore, you don't have to force yourself to remember me anymore.\What? Oh... no way!\Wait right there!\I'm gonna concentrate with every nerve in my body! response:	I appreciate the gesture, but it's really all right.
context: I...\Well, please don't feel so badly about it.\I'm fully aware that wanting you to remember me was my own self-indulgence.\Therefore, you don't have to force yourself to remember me anymore.\What? Oh... no way!\Wait right there!\I'm gonna concentrate with every nerve in my body!\I appreciate the gesture, but it's really all right. response:	Instead...
context: Well, please don't feel so badly about it.\I'm fully aware that wanting you to remember me was my own self-indulgence.\Therefore, you don't have to force yourself to remember me anymore.\What? Oh... no way!\Wait right there!\I'm gonna concentrate with every nerve in my body!\I appreciate the gesture, but it's really all right.\Instead... response:	I want you to take me in as you see me now: everything about me.
context: I'm fully aware that wanting you to remember me was my own self-indulgence.\Therefore, you don't have to force yourself to remember me anymore.\What? Oh... no way!\Wait right there!\I'm gonna concentrate with every nerve in my body!\I appreciate the gesture, but it's really all right.\Instead...\I want you to take me in as you see me now: everything about me. response:	The Marika who became such a lovely girl for your sake.
context: Therefore, you don't have to force yourself to remember me anymore.\What? Oh... no way!\Wait right there!\I'm gonna concentrate with every nerve in my body!\I appreciate the gesture, but it's really all right.\Instead...\I want you to take me in as you see me now: everything about me.\The Marika who became such a lovely girl for your sake. response:	I want you to see that.
context: What? Oh... no way!\Wait right there!\I'm gonna concentrate with every nerve in my body!\I appreciate the gesture, but it's really all right.\Instead...\I want you to take me in as you see me now: everything about me.\The Marika who became such a lovely girl for your sake.\I want you to see that. response:	I'll flaunt myself to you, and I've made up my mind about it.
context: Wait right there!\I'm gonna concentrate with every nerve in my body!\I appreciate the gesture, but it's really all right.\Instead...\I want you to take me in as you see me now: everything about me.\The Marika who became such a lovely girl for your sake.\I want you to see that.\I'll flaunt myself to you, and I've made up my mind about it. response:	From here on in, I'm going to make sure you don't forget me!
context: I'm gonna concentrate with every nerve in my body!\I appreciate the gesture, but it's really all right.\Instead...\I want you to take me in as you see me now: everything about me.\The Marika who became such a lovely girl for your sake.\I want you to see that.\I'll flaunt myself to you, and I've made up my mind about it.\From here on in, I'm going to make sure you don't forget me! response:	So anyway, first things first...
context: I appreciate the gesture, but it's really all right.\Instead...\I want you to take me in as you see me now: everything about me.\The Marika who became such a lovely girl for your sake.\I want you to see that.\I'll flaunt myself to you, and I've made up my mind about it.\From here on in, I'm going to make sure you don't forget me!\So anyway, first things first... response:	Oh, Raku-sama, you have a grain of rice on your cheek!
context: Instead...\I want you to take me in as you see me now: everything about me.\The Marika who became such a lovely girl for your sake.\I want you to see that.\I'll flaunt myself to you, and I've made up my mind about it.\From here on in, I'm going to make sure you don't forget me!\So anyway, first things first...\Oh, Raku-sama, you have a grain of rice on your cheek! response:	Huh? Where?
context: I want you to take me in as you see me now: everything about me.\The Marika who became such a lovely girl for your sake.\I want you to see that.\I'll flaunt myself to you, and I've made up my mind about it.\From here on in, I'm going to make sure you don't forget me!\So anyway, first things first...\Oh, Raku-sama, you have a grain of rice on your cheek!\Huh? Where? response:	An unforgettable memory...
context: The Marika who became such a lovely girl for your sake.\I want you to see that.\I'll flaunt myself to you, and I've made up my mind about it.\From here on in, I'm going to make sure you don't forget me!\So anyway, first things first...\Oh, Raku-sama, you have a grain of rice on your cheek!\Huh? Where?\An unforgettable memory... response:	That's the first one.
context: I want you to see that.\I'll flaunt myself to you, and I've made up my mind about it.\From here on in, I'm going to make sure you don't forget me!\So anyway, first things first...\Oh, Raku-sama, you have a grain of rice on your cheek!\Huh? Where?\An unforgettable memory...\That's the first one. response:	Well, then, Raku-sama. I'll see you at school tomorrow.
context: I'll flaunt myself to you, and I've made up my mind about it.\From here on in, I'm going to make sure you don't forget me!\So anyway, first things first...\Oh, Raku-sama, you have a grain of rice on your cheek!\Huh? Where?\An unforgettable memory...\That's the first one.\Well, then, Raku-sama. I'll see you at school tomorrow. response:	Have a wonderful day!
context: From here on in, I'm going to make sure you don't forget me!\So anyway, first things first...\Oh, Raku-sama, you have a grain of rice on your cheek!\Huh? Where?\An unforgettable memory...\That's the first one.\Well, then, Raku-sama. I'll see you at school tomorrow.\Have a wonderful day! response:	Huh? Miss Marika, what about your medicine?
context: So anyway, first things first...\Oh, Raku-sama, you have a grain of rice on your cheek!\Huh? Where?\An unforgettable memory...\That's the first one.\Well, then, Raku-sama. I'll see you at school tomorrow.\Have a wonderful day!\Huh? Miss Marika, what about your medicine? response:	I don't need it! I feel much better now!
context: Oh, Raku-sama, you have a grain of rice on your cheek!\Huh? Where?\An unforgettable memory...\That's the first one.\Well, then, Raku-sama. I'll see you at school tomorrow.\Have a wonderful day!\Huh? Miss Marika, what about your medicine?\I don't need it! I feel much better now! response:	We've met before, ten years ago?
context: Huh? Where?\An unforgettable memory...\That's the first one.\Well, then, Raku-sama. I'll see you at school tomorrow.\Have a wonderful day!\Huh? Miss Marika, what about your medicine?\I don't need it! I feel much better now!\We've met before, ten years ago? response:	Yes, your father certainly said so.
context: An unforgettable memory...\That's the first one.\Well, then, Raku-sama. I'll see you at school tomorrow.\Have a wonderful day!\Huh? Miss Marika, what about your medicine?\I don't need it! I feel much better now!\We've met before, ten years ago?\Yes, your father certainly said so. response:	He said you two were pretty close, too.
context: That's the first one.\Well, then, Raku-sama. I'll see you at school tomorrow.\Have a wonderful day!\Huh? Miss Marika, what about your medicine?\I don't need it! I feel much better now!\We've met before, ten years ago?\Yes, your father certainly said so.\He said you two were pretty close, too. response:	Can't you remember anything?
context: Well, then, Raku-sama. I'll see you at school tomorrow.\Have a wonderful day!\Huh? Miss Marika, what about your medicine?\I don't need it! I feel much better now!\We've met before, ten years ago?\Yes, your father certainly said so.\He said you two were pretty close, too.\Can't you remember anything? response:	No...
context: Have a wonderful day!\Huh? Miss Marika, what about your medicine?\I don't need it! I feel much better now!\We've met before, ten years ago?\Yes, your father certainly said so.\He said you two were pretty close, too.\Can't you remember anything?\No... response:	Not at all...
context: Huh? Miss Marika, what about your medicine?\I don't need it! I feel much better now!\We've met before, ten years ago?\Yes, your father certainly said so.\He said you two were pretty close, too.\Can't you remember anything?\No...\Not at all... response:	By the way, why is your face so red? Do you have a cold?
context: I don't need it! I feel much better now!\We've met before, ten years ago?\Yes, your father certainly said so.\He said you two were pretty close, too.\Can't you remember anything?\No...\Not at all...\By the way, why is your face so red? Do you have a cold? response:	No, it's nothing...
context: We've met before, ten years ago?\Yes, your father certainly said so.\He said you two were pretty close, too.\Can't you remember anything?\No...\Not at all...\By the way, why is your face so red? Do you have a cold?\No, it's nothing... response:	But from the moment that I first saw you,
context: Yes, your father certainly said so.\He said you two were pretty close, too.\Can't you remember anything?\No...\Not at all...\By the way, why is your face so red? Do you have a cold?\No, it's nothing...\But from the moment that I first saw you, response:	I did get the feeling that we could be good friends, Chitoge-chan.
context: He said you two were pretty close, too.\Can't you remember anything?\No...\Not at all...\By the way, why is your face so red? Do you have a cold?\No, it's nothing...\But from the moment that I first saw you,\I did get the feeling that we could be good friends, Chitoge-chan. response:	No way! Me, too! Me, too!
context: Can't you remember anything?\No...\Not at all...\By the way, why is your face so red? Do you have a cold?\No, it's nothing...\But from the moment that I first saw you,\I did get the feeling that we could be good friends, Chitoge-chan.\No way! Me, too! Me, too! response:	Wait, why did you wait so long to tell us something so important?
context: No...\Not at all...\By the way, why is your face so red? Do you have a cold?\No, it's nothing...\But from the moment that I first saw you,\I did get the feeling that we could be good friends, Chitoge-chan.\No way! Me, too! Me, too!\Wait, why did you wait so long to tell us something so important? response:	Well, the thing is, I couldn't find the right time!
context: Not at all...\By the way, why is your face so red? Do you have a cold?\No, it's nothing...\But from the moment that I first saw you,\I did get the feeling that we could be good friends, Chitoge-chan.\No way! Me, too! Me, too!\Wait, why did you wait so long to tell us something so important?\Well, the thing is, I couldn't find the right time! response:	And?
context: By the way, why is your face so red? Do you have a cold?\No, it's nothing...\But from the moment that I first saw you,\I did get the feeling that we could be good friends, Chitoge-chan.\No way! Me, too! Me, too!\Wait, why did you wait so long to tell us something so important?\Well, the thing is, I couldn't find the right time!\And? response:	These are the keys in question?
context: No, it's nothing...\But from the moment that I first saw you,\I did get the feeling that we could be good friends, Chitoge-chan.\No way! Me, too! Me, too!\Wait, why did you wait so long to tell us something so important?\Well, the thing is, I couldn't find the right time!\And?\These are the keys in question? response:	I never dreamed that you'd have a key like this, too, Kosaki-chan.
context: But from the moment that I first saw you,\I did get the feeling that we could be good friends, Chitoge-chan.\No way! Me, too! Me, too!\Wait, why did you wait so long to tell us something so important?\Well, the thing is, I couldn't find the right time!\And?\These are the keys in question?\I never dreamed that you'd have a key like this, too, Kosaki-chan. response:	Same here. I wonder what this means.
context: I did get the feeling that we could be good friends, Chitoge-chan.\No way! Me, too! Me, too!\Wait, why did you wait so long to tell us something so important?\Well, the thing is, I couldn't find the right time!\And?\These are the keys in question?\I never dreamed that you'd have a key like this, too, Kosaki-chan.\Same here. I wonder what this means. response:	We all met Darling ten years ago, made some kind of promise, and now we all have keys.
context: No way! Me, too! Me, too!\Wait, why did you wait so long to tell us something so important?\Well, the thing is, I couldn't find the right time!\And?\These are the keys in question?\I never dreamed that you'd have a key like this, too, Kosaki-chan.\Same here. I wonder what this means.\We all met Darling ten years ago, made some kind of promise, and now we all have keys. response:	What's going on?
context: Wait, why did you wait so long to tell us something so important?\Well, the thing is, I couldn't find the right time!\And?\These are the keys in question?\I never dreamed that you'd have a key like this, too, Kosaki-chan.\Same here. I wonder what this means.\We all met Darling ten years ago, made some kind of promise, and now we all have keys.\What's going on? response:	How should I know?
context: Well, the thing is, I couldn't find the right time!\And?\These are the keys in question?\I never dreamed that you'd have a key like this, too, Kosaki-chan.\Same here. I wonder what this means.\We all met Darling ten years ago, made some kind of promise, and now we all have keys.\What's going on?\How should I know? response:	As far as I know, I only made the promise with one girl.
context: And?\These are the keys in question?\I never dreamed that you'd have a key like this, too, Kosaki-chan.\Same here. I wonder what this means.\We all met Darling ten years ago, made some kind of promise, and now we all have keys.\What's going on?\How should I know?\As far as I know, I only made the promise with one girl. response:	So what was that promise about in the first place?
context: These are the keys in question?\I never dreamed that you'd have a key like this, too, Kosaki-chan.\Same here. I wonder what this means.\We all met Darling ten years ago, made some kind of promise, and now we all have keys.\What's going on?\How should I know?\As far as I know, I only made the promise with one girl.\So what was that promise about in the first place? response:	I can't remember, no matter what.
context: I never dreamed that you'd have a key like this, too, Kosaki-chan.\Same here. I wonder what this means.\We all met Darling ten years ago, made some kind of promise, and now we all have keys.\What's going on?\How should I know?\As far as I know, I only made the promise with one girl.\So what was that promise about in the first place?\I can't remember, no matter what. response:	Me neither...
context: Same here. I wonder what this means.\We all met Darling ten years ago, made some kind of promise, and now we all have keys.\What's going on?\How should I know?\As far as I know, I only made the promise with one girl.\So what was that promise about in the first place?\I can't remember, no matter what.\Me neither... response:	None of you remember what the promise was about?
context: We all met Darling ten years ago, made some kind of promise, and now we all have keys.\What's going on?\How should I know?\As far as I know, I only made the promise with one girl.\So what was that promise about in the first place?\I can't remember, no matter what.\Me neither...\None of you remember what the promise was about? response:	You mean, you remember?
