context: Sakura-chan, response:	you don't really feel asleep recently.
context: So I can help you with all of your costume!\It is just too great!\Tomoyo-chan'\But when we are together\something dangerous might happen to you.\Compared with all I can get, this is actually small price to pay.\Besides' whenever I am with you, everything will be alright.\Re, really? response:	Sounds embarrasing'
context: It is just too great!\Tomoyo-chan'\But when we are together\something dangerous might happen to you.\Compared with all I can get, this is actually small price to pay.\Besides' whenever I am with you, everything will be alright.\Re, really?\Sounds embarrasing' response:	You look very cute too when you are embarrased.
context: Tomoyo-chan'\But when we are together\something dangerous might happen to you.\Compared with all I can get, this is actually small price to pay.\Besides' whenever I am with you, everything will be alright.\Re, really?\Sounds embarrasing'\You look very cute too when you are embarrased. response:	Oh, Tomoyo-chan, please'
context: But when we are together\something dangerous might happen to you.\Compared with all I can get, this is actually small price to pay.\Besides' whenever I am with you, everything will be alright.\Re, really?\Sounds embarrasing'\You look very cute too when you are embarrased.\Oh, Tomoyo-chan, please' response:	' Everybody come here.' OK!
context: something dangerous might happen to you.\Compared with all I can get, this is actually small price to pay.\Besides' whenever I am with you, everything will be alright.\Re, really?\Sounds embarrasing'\You look very cute too when you are embarrased.\Oh, Tomoyo-chan, please'\' Everybody come here.' OK! response:	Today there well be a b-ball contest.
context: Compared with all I can get, this is actually small price to pay.\Besides' whenever I am with you, everything will be alright.\Re, really?\Sounds embarrasing'\You look very cute too when you are embarrased.\Oh, Tomoyo-chan, please'\' Everybody come here.' OK!\Today there well be a b-ball contest. response:	Today well play basketball
context: Besides' whenever I am with you, everything will be alright.\Re, really?\Sounds embarrasing'\You look very cute too when you are embarrased.\Oh, Tomoyo-chan, please'\' Everybody come here.' OK!\Today there well be a b-ball contest.\Today well play basketball response:	and see.
context: Re, really?\Sounds embarrasing'\You look very cute too when you are embarrased.\Oh, Tomoyo-chan, please'\' Everybody come here.' OK!\Today there well be a b-ball contest.\Today well play basketball\and see. response:	That sounds like its gonna be fun.
context: Sounds embarrasing'\You look very cute too when you are embarrased.\Oh, Tomoyo-chan, please'\' Everybody come here.' OK!\Today there well be a b-ball contest.\Today well play basketball\and see.\That sounds like its gonna be fun. response:	Go!
context: You look very cute too when you are embarrased.\Oh, Tomoyo-chan, please'\' Everybody come here.' OK!\Today there well be a b-ball contest.\Today well play basketball\and see.\That sounds like its gonna be fun.\Go! response:	Go!
context: Oh, Tomoyo-chan, please'\' Everybody come here.' OK!\Today there well be a b-ball contest.\Today well play basketball\and see.\That sounds like its gonna be fun.\Go!\Go! response:	Sakura-chan!
context: ' Everybody come here.' OK!\Today there well be a b-ball contest.\Today well play basketball\and see.\That sounds like its gonna be fun.\Go!\Go!\Sakura-chan! response:	Sakura-chan go!
context: Today there well be a b-ball contest.\Today well play basketball\and see.\That sounds like its gonna be fun.\Go!\Go!\Sakura-chan!\Sakura-chan go! response:	I did it!
context: Today well play basketball\and see.\That sounds like its gonna be fun.\Go!\Go!\Sakura-chan!\Sakura-chan go!\I did it! response:	Sakura-chan is really great!
context: and see.\That sounds like its gonna be fun.\Go!\Go!\Sakura-chan!\Sakura-chan go!\I did it!\Sakura-chan is really great! response:	Next,
context: That sounds like its gonna be fun.\Go!\Go!\Sakura-chan!\Sakura-chan go!\I did it!\Sakura-chan is really great!\Next, response:	Hiiragizawa and Li go!
context: Go!\Go!\Sakura-chan!\Sakura-chan go!\I did it!\Sakura-chan is really great!\Next,\Hiiragizawa and Li go! response:	Eriol-kun, Shao Lan-kun, go!
context: Go!\Sakura-chan!\Sakura-chan go!\I did it!\Sakura-chan is really great!\Next,\Hiiragizawa and Li go!\Eriol-kun, Shao Lan-kun, go! response:	Let me have a chance.
context: Sakura-chan!\Sakura-chan go!\I did it!\Sakura-chan is really great!\Next,\Hiiragizawa and Li go!\Eriol-kun, Shao Lan-kun, go!\Let me have a chance. response:	Great!
context: Sakura-chan go!\I did it!\Sakura-chan is really great!\Next,\Hiiragizawa and Li go!\Eriol-kun, Shao Lan-kun, go!\Let me have a chance.\Great! response:	That's too bad, it just bounced out
context: I did it!\Sakura-chan is really great!\Next,\Hiiragizawa and Li go!\Eriol-kun, Shao Lan-kun, go!\Let me have a chance.\Great!\That's too bad, it just bounced out response:	He's too focused.
context: Sakura-chan is really great!\Next,\Hiiragizawa and Li go!\Eriol-kun, Shao Lan-kun, go!\Let me have a chance.\Great!\That's too bad, it just bounced out\He's too focused. response:	Go! Go!
context: Next,\Hiiragizawa and Li go!\Eriol-kun, Shao Lan-kun, go!\Let me have a chance.\Great!\That's too bad, it just bounced out\He's too focused.\Go! Go! response:	Calm down.
context: Hiiragizawa and Li go!\Eriol-kun, Shao Lan-kun, go!\Let me have a chance.\Great!\That's too bad, it just bounced out\He's too focused.\Go! Go!\Calm down. response:	Just think about the basketball going into the hoop.
context: Eriol-kun, Shao Lan-kun, go!\Let me have a chance.\Great!\That's too bad, it just bounced out\He's too focused.\Go! Go!\Calm down.\Just think about the basketball going into the hoop. response:	Very great!
context: Let me have a chance.\Great!\That's too bad, it just bounced out\He's too focused.\Go! Go!\Calm down.\Just think about the basketball going into the hoop.\Very great! response:	You just have to calm down and think about yourself!
context: Great!\That's too bad, it just bounced out\He's too focused.\Go! Go!\Calm down.\Just think about the basketball going into the hoop.\Very great!\You just have to calm down and think about yourself! response:	Then you can do it
context: That's too bad, it just bounced out\He's too focused.\Go! Go!\Calm down.\Just think about the basketball going into the hoop.\Very great!\You just have to calm down and think about yourself!\Then you can do it response:	Good!
context: He's too focused.\Go! Go!\Calm down.\Just think about the basketball going into the hoop.\Very great!\You just have to calm down and think about yourself!\Then you can do it\Good! response:	Class is over.
context: Go! Go!\Calm down.\Just think about the basketball going into the hoop.\Very great!\You just have to calm down and think about yourself!\Then you can do it\Good!\Class is over. response:	Yes!
context: Calm down.\Just think about the basketball going into the hoop.\Very great!\You just have to calm down and think about yourself!\Then you can do it\Good!\Class is over.\Yes! response:	Really want to sleep.
context: Just think about the basketball going into the hoop.\Very great!\You just have to calm down and think about yourself!\Then you can do it\Good!\Class is over.\Yes!\Really want to sleep. response:	Whenever I walk
context: Very great!\You just have to calm down and think about yourself!\Then you can do it\Good!\Class is over.\Yes!\Really want to sleep.\Whenever I walk response:	it makes me even more tired
context: You just have to calm down and think about yourself!\Then you can do it\Good!\Class is over.\Yes!\Really want to sleep.\Whenever I walk\it makes me even more tired response:	Clow!
context: Then you can do it\Good!\Class is over.\Yes!\Really want to sleep.\Whenever I walk\it makes me even more tired\Clow! response:	Why'
context: Good!\Class is over.\Yes!\Really want to sleep.\Whenever I walk\it makes me even more tired\Clow!\Why' response:	How can you be right there?
context: Class is over.\Yes!\Really want to sleep.\Whenever I walk\it makes me even more tired\Clow!\Why'\How can you be right there? response:	You should already not be in this world!
context: Yes!\Really want to sleep.\Whenever I walk\it makes me even more tired\Clow!\Why'\How can you be right there?\You should already not be in this world! response:	I did a lot of impossible things.
context: Really want to sleep.\Whenever I walk\it makes me even more tired\Clow!\Why'\How can you be right there?\You should already not be in this world!\I did a lot of impossible things. response:	But I couldn't tell anyone,
context: Whenever I walk\it makes me even more tired\Clow!\Why'\How can you be right there?\You should already not be in this world!\I did a lot of impossible things.\But I couldn't tell anyone, response:	including Kerberos and you.
context: it makes me even more tired\Clow!\Why'\How can you be right there?\You should already not be in this world!\I did a lot of impossible things.\But I couldn't tell anyone,\including Kerberos and you. response:	Your power is used up
context: Clow!\Why'\How can you be right there?\You should already not be in this world!\I did a lot of impossible things.\But I couldn't tell anyone,\including Kerberos and you.\Your power is used up response:	Although you can't get power
context: Why'\How can you be right there?\You should already not be in this world!\I did a lot of impossible things.\But I couldn't tell anyone,\including Kerberos and you.\Your power is used up\Although you can't get power response:	from your new master.
context: How can you be right there?\You should already not be in this world!\I did a lot of impossible things.\But I couldn't tell anyone,\including Kerberos and you.\Your power is used up\Although you can't get power\from your new master. response:	So our disguise is
context: You should already not be in this world!\I did a lot of impossible things.\But I couldn't tell anyone,\including Kerberos and you.\Your power is used up\Although you can't get power\from your new master.\So our disguise is response:	a big difference from your real self, Yue
context: I did a lot of impossible things.\But I couldn't tell anyone,\including Kerberos and you.\Your power is used up\Although you can't get power\from your new master.\So our disguise is\a big difference from your real self, Yue response:	But
context: But I couldn't tell anyone,\including Kerberos and you.\Your power is used up\Although you can't get power\from your new master.\So our disguise is\a big difference from your real self, Yue\But response:	everything that is happening is totally different then I expected.
context: including Kerberos and you.\Your power is used up\Although you can't get power\from your new master.\So our disguise is\a big difference from your real self, Yue\But\everything that is happening is totally different then I expected. response:	It is very interesting.
context: Your power is used up\Although you can't get power\from your new master.\So our disguise is\a big difference from your real self, Yue\But\everything that is happening is totally different then I expected.\It is very interesting. response:	I cannot tell you
context: Although you can't get power\from your new master.\So our disguise is\a big difference from your real self, Yue\But\everything that is happening is totally different then I expected.\It is very interesting.\I cannot tell you response:	that I really exist yet.
context: from your new master.\So our disguise is\a big difference from your real self, Yue\But\everything that is happening is totally different then I expected.\It is very interesting.\I cannot tell you\that I really exist yet. response:	Temporarily forget this.
context: So our disguise is\a big difference from your real self, Yue\But\everything that is happening is totally different then I expected.\It is very interesting.\I cannot tell you\that I really exist yet.\Temporarily forget this. response:	What? What? What?
context: a big difference from your real self, Yue\But\everything that is happening is totally different then I expected.\It is very interesting.\I cannot tell you\that I really exist yet.\Temporarily forget this.\What? What? What? response:	Are you ok?
context: But\everything that is happening is totally different then I expected.\It is very interesting.\I cannot tell you\that I really exist yet.\Temporarily forget this.\What? What? What?\Are you ok? response:	Did I fall asleep?
context: everything that is happening is totally different then I expected.\It is very interesting.\I cannot tell you\that I really exist yet.\Temporarily forget this.\What? What? What?\Are you ok?\Did I fall asleep? response:	' Yeah.' I went to sleep again?
context: It is very interesting.\I cannot tell you\that I really exist yet.\Temporarily forget this.\What? What? What?\Are you ok?\Did I fall asleep?\' Yeah.' I went to sleep again? response:	Sorry if I bothered you.
context: I cannot tell you\that I really exist yet.\Temporarily forget this.\What? What? What?\Are you ok?\Did I fall asleep?\' Yeah.' I went to sleep again?\Sorry if I bothered you. response:	Not at all.
context: that I really exist yet.\Temporarily forget this.\What? What? What?\Are you ok?\Did I fall asleep?\' Yeah.' I went to sleep again?\Sorry if I bothered you.\Not at all. response:	What? I wonder how I got on the other side of the fence.
context: Temporarily forget this.\What? What? What?\Are you ok?\Did I fall asleep?\' Yeah.' I went to sleep again?\Sorry if I bothered you.\Not at all.\What? I wonder how I got on the other side of the fence. response:	Sorry to trouble you.
context: What? What? What?\Are you ok?\Did I fall asleep?\' Yeah.' I went to sleep again?\Sorry if I bothered you.\Not at all.\What? I wonder how I got on the other side of the fence.\Sorry to trouble you. response:	It wasn't much.
context: Are you ok?\Did I fall asleep?\' Yeah.' I went to sleep again?\Sorry if I bothered you.\Not at all.\What? I wonder how I got on the other side of the fence.\Sorry to trouble you.\It wasn't much. response:	Yuki!
context: Did I fall asleep?\' Yeah.' I went to sleep again?\Sorry if I bothered you.\Not at all.\What? I wonder how I got on the other side of the fence.\Sorry to trouble you.\It wasn't much.\Yuki! response:	What do you want Touya?
context: ' Yeah.' I went to sleep again?\Sorry if I bothered you.\Not at all.\What? I wonder how I got on the other side of the fence.\Sorry to trouble you.\It wasn't much.\Yuki!\What do you want Touya? response:	Because I saw that you didn't come back'
context: Sorry if I bothered you.\Not at all.\What? I wonder how I got on the other side of the fence.\Sorry to trouble you.\It wasn't much.\Yuki!\What do you want Touya?\Because I saw that you didn't come back' response:	Really?
context: Not at all.\What? I wonder how I got on the other side of the fence.\Sorry to trouble you.\It wasn't much.\Yuki!\What do you want Touya?\Because I saw that you didn't come back'\Really? response:	Sorry.
context: What? I wonder how I got on the other side of the fence.\Sorry to trouble you.\It wasn't much.\Yuki!\What do you want Touya?\Because I saw that you didn't come back'\Really?\Sorry. response:	He is' what kind of person?
context: Sorry to trouble you.\It wasn't much.\Yuki!\What do you want Touya?\Because I saw that you didn't come back'\Really?\Sorry.\He is' what kind of person? response:	You were thinking of Sakura-chan right?
context: It wasn't much.\Yuki!\What do you want Touya?\Because I saw that you didn't come back'\Really?\Sorry.\He is' what kind of person?\You were thinking of Sakura-chan right? response:	No!'
context: Yuki!\What do you want Touya?\Because I saw that you didn't come back'\Really?\Sorry.\He is' what kind of person?\You were thinking of Sakura-chan right?\No!' response:	Really? You're not thinking of her?
context: What do you want Touya?\Because I saw that you didn't come back'\Really?\Sorry.\He is' what kind of person?\You were thinking of Sakura-chan right?\No!'\Really? You're not thinking of her? response:	You were thinking of Sakura-chan
context: Because I saw that you didn't come back'\Really?\Sorry.\He is' what kind of person?\You were thinking of Sakura-chan right?\No!'\Really? You're not thinking of her?\You were thinking of Sakura-chan response:	You like Sakura-chan.
context: Really?\Sorry.\He is' what kind of person?\You were thinking of Sakura-chan right?\No!'\Really? You're not thinking of her?\You were thinking of Sakura-chan\You like Sakura-chan. response:	You still haven't told Sakura-chan this yet
context: Sorry.\He is' what kind of person?\You were thinking of Sakura-chan right?\No!'\Really? You're not thinking of her?\You were thinking of Sakura-chan\You like Sakura-chan.\You still haven't told Sakura-chan this yet response:	I'
context: He is' what kind of person?\You were thinking of Sakura-chan right?\No!'\Really? You're not thinking of her?\You were thinking of Sakura-chan\You like Sakura-chan.\You still haven't told Sakura-chan this yet\I' response:	Sakura-chan has a very kind heart.
context: You were thinking of Sakura-chan right?\No!'\Really? You're not thinking of her?\You were thinking of Sakura-chan\You like Sakura-chan.\You still haven't told Sakura-chan this yet\I'\Sakura-chan has a very kind heart. response:	If you don't tell her
context: No!'\Really? You're not thinking of her?\You were thinking of Sakura-chan\You like Sakura-chan.\You still haven't told Sakura-chan this yet\I'\Sakura-chan has a very kind heart.\If you don't tell her response:	then she won't know.
context: Really? You're not thinking of her?\You were thinking of Sakura-chan\You like Sakura-chan.\You still haven't told Sakura-chan this yet\I'\Sakura-chan has a very kind heart.\If you don't tell her\then she won't know. response:	But she has someone else that she likes.
context: You were thinking of Sakura-chan\You like Sakura-chan.\You still haven't told Sakura-chan this yet\I'\Sakura-chan has a very kind heart.\If you don't tell her\then she won't know.\But she has someone else that she likes. response:	That's only because
context: You like Sakura-chan.\You still haven't told Sakura-chan this yet\I'\Sakura-chan has a very kind heart.\If you don't tell her\then she won't know.\But she has someone else that she likes.\That's only because response:	you haven't told her yet.
context: You still haven't told Sakura-chan this yet\I'\Sakura-chan has a very kind heart.\If you don't tell her\then she won't know.\But she has someone else that she likes.\That's only because\you haven't told her yet. response:	There are a lot of people that like Sakura-chan.
context: I'\Sakura-chan has a very kind heart.\If you don't tell her\then she won't know.\But she has someone else that she likes.\That's only because\you haven't told her yet.\There are a lot of people that like Sakura-chan. response:	Because Sakura-chan is cute and also a kind person.
context: Sakura-chan has a very kind heart.\If you don't tell her\then she won't know.\But she has someone else that she likes.\That's only because\you haven't told her yet.\There are a lot of people that like Sakura-chan.\Because Sakura-chan is cute and also a kind person. response:	I know that.
context: If you don't tell her\then she won't know.\But she has someone else that she likes.\That's only because\you haven't told her yet.\There are a lot of people that like Sakura-chan.\Because Sakura-chan is cute and also a kind person.\I know that. response:	You know that she likes somebody, who?
context: then she won't know.\But she has someone else that she likes.\That's only because\you haven't told her yet.\There are a lot of people that like Sakura-chan.\Because Sakura-chan is cute and also a kind person.\I know that.\You know that she likes somebody, who? response:	Hiiragizawa
context: But she has someone else that she likes.\That's only because\you haven't told her yet.\There are a lot of people that like Sakura-chan.\Because Sakura-chan is cute and also a kind person.\I know that.\You know that she likes somebody, who?\Hiiragizawa response:	I think Hiiragizawa isn't who she likes
context: That's only because\you haven't told her yet.\There are a lot of people that like Sakura-chan.\Because Sakura-chan is cute and also a kind person.\I know that.\You know that she likes somebody, who?\Hiiragizawa\I think Hiiragizawa isn't who she likes response:	Sakura-chan only consider Eriol
context: you haven't told her yet.\There are a lot of people that like Sakura-chan.\Because Sakura-chan is cute and also a kind person.\I know that.\You know that she likes somebody, who?\Hiiragizawa\I think Hiiragizawa isn't who she likes\Sakura-chan only consider Eriol response:	as a friend, so you can't say she likes him.
context: There are a lot of people that like Sakura-chan.\Because Sakura-chan is cute and also a kind person.\I know that.\You know that she likes somebody, who?\Hiiragizawa\I think Hiiragizawa isn't who she likes\Sakura-chan only consider Eriol\as a friend, so you can't say she likes him. response:	You can say he likes her,
context: Because Sakura-chan is cute and also a kind person.\I know that.\You know that she likes somebody, who?\Hiiragizawa\I think Hiiragizawa isn't who she likes\Sakura-chan only consider Eriol\as a friend, so you can't say she likes him.\You can say he likes her, response:	but he only looks at her with friendly eyes.
context: I know that.\You know that she likes somebody, who?\Hiiragizawa\I think Hiiragizawa isn't who she likes\Sakura-chan only consider Eriol\as a friend, so you can't say she likes him.\You can say he likes her,\but he only looks at her with friendly eyes. response:	You are a very good observer.
context: You know that she likes somebody, who?\Hiiragizawa\I think Hiiragizawa isn't who she likes\Sakura-chan only consider Eriol\as a friend, so you can't say she likes him.\You can say he likes her,\but he only looks at her with friendly eyes.\You are a very good observer. response:	Because she is Sakura-chan.
context: Hiiragizawa\I think Hiiragizawa isn't who she likes\Sakura-chan only consider Eriol\as a friend, so you can't say she likes him.\You can say he likes her,\but he only looks at her with friendly eyes.\You are a very good observer.\Because she is Sakura-chan. response:	I hope that
context: I think Hiiragizawa isn't who she likes\Sakura-chan only consider Eriol\as a friend, so you can't say she likes him.\You can say he likes her,\but he only looks at her with friendly eyes.\You are a very good observer.\Because she is Sakura-chan.\I hope that response:	you can express what you're thinking.
context: Sakura-chan only consider Eriol\as a friend, so you can't say she likes him.\You can say he likes her,\but he only looks at her with friendly eyes.\You are a very good observer.\Because she is Sakura-chan.\I hope that\you can express what you're thinking. response:	You don't want
context: as a friend, so you can't say she likes him.\You can say he likes her,\but he only looks at her with friendly eyes.\You are a very good observer.\Because she is Sakura-chan.\I hope that\you can express what you're thinking.\You don't want response:	to tell other people what you feel
context: You can say he likes her,\but he only looks at her with friendly eyes.\You are a very good observer.\Because she is Sakura-chan.\I hope that\you can express what you're thinking.\You don't want\to tell other people what you feel response:	No matter what you're thinking,
context: but he only looks at her with friendly eyes.\You are a very good observer.\Because she is Sakura-chan.\I hope that\you can express what you're thinking.\You don't want\to tell other people what you feel\No matter what you're thinking, response:	if you don't say it then you won't be able to transmit it.
context: You are a very good observer.\Because she is Sakura-chan.\I hope that\you can express what you're thinking.\You don't want\to tell other people what you feel\No matter what you're thinking,\if you don't say it then you won't be able to transmit it. response:	I'm done dressing,
context: Because she is Sakura-chan.\I hope that\you can express what you're thinking.\You don't want\to tell other people what you feel\No matter what you're thinking,\if you don't say it then you won't be able to transmit it.\I'm done dressing, response:	will this do?
context: I hope that\you can express what you're thinking.\You don't want\to tell other people what you feel\No matter what you're thinking,\if you don't say it then you won't be able to transmit it.\I'm done dressing,\will this do? response:	It's too great!
context: you can express what you're thinking.\You don't want\to tell other people what you feel\No matter what you're thinking,\if you don't say it then you won't be able to transmit it.\I'm done dressing,\will this do?\It's too great! response:	I am going to go get my viedo camera!
context: You don't want\to tell other people what you feel\No matter what you're thinking,\if you don't say it then you won't be able to transmit it.\I'm done dressing,\will this do?\It's too great!\I am going to go get my viedo camera! response:	Does this look alright?
context: to tell other people what you feel\No matter what you're thinking,\if you don't say it then you won't be able to transmit it.\I'm done dressing,\will this do?\It's too great!\I am going to go get my viedo camera!\Does this look alright? response:	' Yes.' Really? Thank you!
context: No matter what you're thinking,\if you don't say it then you won't be able to transmit it.\I'm done dressing,\will this do?\It's too great!\I am going to go get my viedo camera!\Does this look alright?\' Yes.' Really? Thank you! response:	No matter what you're thinking,
context: if you don't say it then you won't be able to transmit it.\I'm done dressing,\will this do?\It's too great!\I am going to go get my viedo camera!\Does this look alright?\' Yes.' Really? Thank you!\No matter what you're thinking, response:	if you don't say it then you won't be able to transmit it.
context: I'm done dressing,\will this do?\It's too great!\I am going to go get my viedo camera!\Does this look alright?\' Yes.' Really? Thank you!\No matter what you're thinking,\if you don't say it then you won't be able to transmit it. response:	I'd like to ask'
context: will this do?\It's too great!\I am going to go get my viedo camera!\Does this look alright?\' Yes.' Really? Thank you!\No matter what you're thinking,\if you don't say it then you won't be able to transmit it.\I'd like to ask' response:	That is Clow-san's aura.
context: It's too great!\I am going to go get my viedo camera!\Does this look alright?\' Yes.' Really? Thank you!\No matter what you're thinking,\if you don't say it then you won't be able to transmit it.\I'd like to ask'\That is Clow-san's aura. response:	I can feel it' it's inside the school
context: I am going to go get my viedo camera!\Does this look alright?\' Yes.' Really? Thank you!\No matter what you're thinking,\if you don't say it then you won't be able to transmit it.\I'd like to ask'\That is Clow-san's aura.\I can feel it' it's inside the school response:	That is Clow Reed's power'
context: Does this look alright?\' Yes.' Really? Thank you!\No matter what you're thinking,\if you don't say it then you won't be able to transmit it.\I'd like to ask'\That is Clow-san's aura.\I can feel it' it's inside the school\That is Clow Reed's power' response:	but,
context: ' Yes.' Really? Thank you!\No matter what you're thinking,\if you don't say it then you won't be able to transmit it.\I'd like to ask'\That is Clow-san's aura.\I can feel it' it's inside the school\That is Clow Reed's power'\but, response:	Why did Tomoyo bring that brat here?
context: No matter what you're thinking,\if you don't say it then you won't be able to transmit it.\I'd like to ask'\That is Clow-san's aura.\I can feel it' it's inside the school\That is Clow Reed's power'\but,\Why did Tomoyo bring that brat here? response:	Because he came with me from Tomoyo-chan's house.
context: if you don't say it then you won't be able to transmit it.\I'd like to ask'\That is Clow-san's aura.\I can feel it' it's inside the school\That is Clow Reed's power'\but,\Why did Tomoyo bring that brat here?\Because he came with me from Tomoyo-chan's house. response:	She was trying on clothes.
context: I'd like to ask'\That is Clow-san's aura.\I can feel it' it's inside the school\That is Clow Reed's power'\but,\Why did Tomoyo bring that brat here?\Because he came with me from Tomoyo-chan's house.\She was trying on clothes. response:	Did you eat food?
context: That is Clow-san's aura.\I can feel it' it's inside the school\That is Clow Reed's power'\but,\Why did Tomoyo bring that brat here?\Because he came with me from Tomoyo-chan's house.\She was trying on clothes.\Did you eat food? response:	How could you eat food without me?!?
context: I can feel it' it's inside the school\That is Clow Reed's power'\but,\Why did Tomoyo bring that brat here?\Because he came with me from Tomoyo-chan's house.\She was trying on clothes.\Did you eat food?\How could you eat food without me?!? response:	I also brought cake for Kero-chan.
context: That is Clow Reed's power'\but,\Why did Tomoyo bring that brat here?\Because he came with me from Tomoyo-chan's house.\She was trying on clothes.\Did you eat food?\How could you eat food without me?!?\I also brought cake for Kero-chan. response:	' Really?' Yup.
context: but,\Why did Tomoyo bring that brat here?\Because he came with me from Tomoyo-chan's house.\She was trying on clothes.\Did you eat food?\How could you eat food without me?!?\I also brought cake for Kero-chan.\' Really?' Yup. response:	That's great!
context: Why did Tomoyo bring that brat here?\Because he came with me from Tomoyo-chan's house.\She was trying on clothes.\Did you eat food?\How could you eat food without me?!?\I also brought cake for Kero-chan.\' Really?' Yup.\That's great! response:	Tastes great!
context: Because he came with me from Tomoyo-chan's house.\She was trying on clothes.\Did you eat food?\How could you eat food without me?!?\I also brought cake for Kero-chan.\' Really?' Yup.\That's great!\Tastes great! response:	Kero-chan you can really eat.
context: She was trying on clothes.\Did you eat food?\How could you eat food without me?!?\I also brought cake for Kero-chan.\' Really?' Yup.\That's great!\Tastes great!\Kero-chan you can really eat. response:	I am doing this for everybody.
context: Did you eat food?\How could you eat food without me?!?\I also brought cake for Kero-chan.\' Really?' Yup.\That's great!\Tastes great!\Kero-chan you can really eat.\I am doing this for everybody. response:	What doing for everybody? You're a pig!
context: How could you eat food without me?!?\I also brought cake for Kero-chan.\' Really?' Yup.\That's great!\Tastes great!\Kero-chan you can really eat.\I am doing this for everybody.\What doing for everybody? You're a pig! response:	You'
context: I also brought cake for Kero-chan.\' Really?' Yup.\That's great!\Tastes great!\Kero-chan you can really eat.\I am doing this for everybody.\What doing for everybody? You're a pig!\You' response:	Actually she always helps me.
context: ' Really?' Yup.\That's great!\Tastes great!\Kero-chan you can really eat.\I am doing this for everybody.\What doing for everybody? You're a pig!\You'\Actually she always helps me. response:	I can't do anything.
context: That's great!\Tastes great!\Kero-chan you can really eat.\I am doing this for everybody.\What doing for everybody? You're a pig!\You'\Actually she always helps me.\I can't do anything. response:	It won't be that way.
context: Tastes great!\Kero-chan you can really eat.\I am doing this for everybody.\What doing for everybody? You're a pig!\You'\Actually she always helps me.\I can't do anything.\It won't be that way. response:	Li-kun has fulfilled his duty.
context: Kero-chan you can really eat.\I am doing this for everybody.\What doing for everybody? You're a pig!\You'\Actually she always helps me.\I can't do anything.\It won't be that way.\Li-kun has fulfilled his duty. response:	You have to believe in yourself.
context: I am doing this for everybody.\What doing for everybody? You're a pig!\You'\Actually she always helps me.\I can't do anything.\It won't be that way.\Li-kun has fulfilled his duty.\You have to believe in yourself. response:	Tomoyo, come here.
context: What doing for everybody? You're a pig!\You'\Actually she always helps me.\I can't do anything.\It won't be that way.\Li-kun has fulfilled his duty.\You have to believe in yourself.\Tomoyo, come here. response:	Let's go?
