context: It's one problem after another response:	I'm too scared to even go home
context: I'll catch him!\Do you think you can escape me that easily?\Explain yourself\The suspect, we can't let him escape\Cut the crap!\I don't trust you anymore\You crazy women!\Today I'll put an end to our conflict response:	What conflict?
context: Do you think you can escape me that easily?\Explain yourself\The suspect, we can't let him escape\Cut the crap!\I don't trust you anymore\You crazy women!\Today I'll put an end to our conflict\What conflict? response:	What are you doing?
context: Explain yourself\The suspect, we can't let him escape\Cut the crap!\I don't trust you anymore\You crazy women!\Today I'll put an end to our conflict\What conflict?\What are you doing? response:	Stop it! I'm trying to trackdown a dangerous suspect
context: The suspect, we can't let him escape\Cut the crap!\I don't trust you anymore\You crazy women!\Today I'll put an end to our conflict\What conflict?\What are you doing?\Stop it! I'm trying to trackdown a dangerous suspect response:	Stop lying!
context: Cut the crap!\I don't trust you anymore\You crazy women!\Today I'll put an end to our conflict\What conflict?\What are you doing?\Stop it! I'm trying to trackdown a dangerous suspect\Stop lying! response:	(Help!)
context: I don't trust you anymore\You crazy women!\Today I'll put an end to our conflict\What conflict?\What are you doing?\Stop it! I'm trying to trackdown a dangerous suspect\Stop lying!\(Help!) response:	(Someone has died on the street)
context: You crazy women!\Today I'll put an end to our conflict\What conflict?\What are you doing?\Stop it! I'm trying to trackdown a dangerous suspect\Stop lying!\(Help!)\(Someone has died on the street) response:	(She was fine a moment ago)
context: Today I'll put an end to our conflict\What conflict?\What are you doing?\Stop it! I'm trying to trackdown a dangerous suspect\Stop lying!\(Help!)\(Someone has died on the street)\(She was fine a moment ago) response:	(She suddenly collapsed)
context: What conflict?\What are you doing?\Stop it! I'm trying to trackdown a dangerous suspect\Stop lying!\(Help!)\(Someone has died on the street)\(She was fine a moment ago)\(She suddenly collapsed) response:	Excuse us, move aside
context: What are you doing?\Stop it! I'm trying to trackdown a dangerous suspect\Stop lying!\(Help!)\(Someone has died on the street)\(She was fine a moment ago)\(She suddenly collapsed)\Excuse us, move aside response:	Another case of zombiefication
context: Stop it! I'm trying to trackdown a dangerous suspect\Stop lying!\(Help!)\(Someone has died on the street)\(She was fine a moment ago)\(She suddenly collapsed)\Excuse us, move aside\Another case of zombiefication response:	Did she notice something?
context: Stop lying!\(Help!)\(Someone has died on the street)\(She was fine a moment ago)\(She suddenly collapsed)\Excuse us, move aside\Another case of zombiefication\Did she notice something? response:	Hey, what's up?
context: (Help!)\(Someone has died on the street)\(She was fine a moment ago)\(She suddenly collapsed)\Excuse us, move aside\Another case of zombiefication\Did she notice something?\Hey, what's up? response:	Where are you going?
context: (Someone has died on the street)\(She was fine a moment ago)\(She suddenly collapsed)\Excuse us, move aside\Another case of zombiefication\Did she notice something?\Hey, what's up?\Where are you going? response:	She normally dosn't act like this
context: (She was fine a moment ago)\(She suddenly collapsed)\Excuse us, move aside\Another case of zombiefication\Did she notice something?\Hey, what's up?\Where are you going?\She normally dosn't act like this response:	Hello, It's Yeyan
context: (She suddenly collapsed)\Excuse us, move aside\Another case of zombiefication\Did she notice something?\Hey, what's up?\Where are you going?\She normally dosn't act like this\Hello, It's Yeyan response:	Yan bro, I've found the guy you're looking for
context: Excuse us, move aside\Another case of zombiefication\Did she notice something?\Hey, what's up?\Where are you going?\She normally dosn't act like this\Hello, It's Yeyan\Yan bro, I've found the guy you're looking for response:	He match's the drawings perfectly
context: Another case of zombiefication\Did she notice something?\Hey, what's up?\Where are you going?\She normally dosn't act like this\Hello, It's Yeyan\Yan bro, I've found the guy you're looking for\He match's the drawings perfectly response:	He's heading north on People's Street
context: Did she notice something?\Hey, what's up?\Where are you going?\She normally dosn't act like this\Hello, It's Yeyan\Yan bro, I've found the guy you're looking for\He match's the drawings perfectly\He's heading north on People's Street response:	It looks like he's following two girls
context: Hey, what's up?\Where are you going?\She normally dosn't act like this\Hello, It's Yeyan\Yan bro, I've found the guy you're looking for\He match's the drawings perfectly\He's heading north on People's Street\It looks like he's following two girls response:	I'll be there shortly
context: Where are you going?\She normally dosn't act like this\Hello, It's Yeyan\Yan bro, I've found the guy you're looking for\He match's the drawings perfectly\He's heading north on People's Street\It looks like he's following two girls\I'll be there shortly response:	Yeyan?
context: She normally dosn't act like this\Hello, It's Yeyan\Yan bro, I've found the guy you're looking for\He match's the drawings perfectly\He's heading north on People's Street\It looks like he's following two girls\I'll be there shortly\Yeyan? response:	What's he doing here?
context: Hello, It's Yeyan\Yan bro, I've found the guy you're looking for\He match's the drawings perfectly\He's heading north on People's Street\It looks like he's following two girls\I'll be there shortly\Yeyan?\What's he doing here? response:	Dahm it
context: Yan bro, I've found the guy you're looking for\He match's the drawings perfectly\He's heading north on People's Street\It looks like he's following two girls\I'll be there shortly\Yeyan?\What's he doing here?\Dahm it response:	So he really is the culprit
context: He match's the drawings perfectly\He's heading north on People's Street\It looks like he's following two girls\I'll be there shortly\Yeyan?\What's he doing here?\Dahm it\So he really is the culprit response:	He's definitely behind the zombiefications
context: He's heading north on People's Street\It looks like he's following two girls\I'll be there shortly\Yeyan?\What's he doing here?\Dahm it\So he really is the culprit\He's definitely behind the zombiefications response:	(so annoying)
context: It looks like he's following two girls\I'll be there shortly\Yeyan?\What's he doing here?\Dahm it\So he really is the culprit\He's definitely behind the zombiefications\(so annoying) response:	(coming from you)
context: I'll be there shortly\Yeyan?\What's he doing here?\Dahm it\So he really is the culprit\He's definitely behind the zombiefications\(so annoying)\(coming from you) response:	(did you forget your meds?)
context: Yeyan?\What's he doing here?\Dahm it\So he really is the culprit\He's definitely behind the zombiefications\(so annoying)\(coming from you)\(did you forget your meds?) response:	()
context: What's he doing here?\Dahm it\So he really is the culprit\He's definitely behind the zombiefications\(so annoying)\(coming from you)\(did you forget your meds?)\() response:	(this is for real)
context: Dahm it\So he really is the culprit\He's definitely behind the zombiefications\(so annoying)\(coming from you)\(did you forget your meds?)\()\(this is for real) response:	(prove it)
context: So he really is the culprit\He's definitely behind the zombiefications\(so annoying)\(coming from you)\(did you forget your meds?)\()\(this is for real)\(prove it) response:	(geez, you never believe me)
context: He's definitely behind the zombiefications\(so annoying)\(coming from you)\(did you forget your meds?)\()\(this is for real)\(prove it)\(geez, you never believe me) response:	Good thing I reacted fast
context: (so annoying)\(coming from you)\(did you forget your meds?)\()\(this is for real)\(prove it)\(geez, you never believe me)\Good thing I reacted fast response:	Die you monster!
context: (coming from you)\(did you forget your meds?)\()\(this is for real)\(prove it)\(geez, you never believe me)\Good thing I reacted fast\Die you monster! response:	YEYAN!
context: (did you forget your meds?)\()\(this is for real)\(prove it)\(geez, you never believe me)\Good thing I reacted fast\Die you monster!\YEYAN! response:	President!
context: ()\(this is for real)\(prove it)\(geez, you never believe me)\Good thing I reacted fast\Die you monster!\YEYAN!\President! response:	Mr. Secretary?
context: (this is for real)\(prove it)\(geez, you never believe me)\Good thing I reacted fast\Die you monster!\YEYAN!\President!\Mr. Secretary? response:	Move aside!
context: (prove it)\(geez, you never believe me)\Good thing I reacted fast\Die you monster!\YEYAN!\President!\Mr. Secretary?\Move aside! response:	President, I'm coming to save you!
context: (geez, you never believe me)\Good thing I reacted fast\Die you monster!\YEYAN!\President!\Mr. Secretary?\Move aside!\President, I'm coming to save you! response:	Asshole, what are you doing?
context: Good thing I reacted fast\Die you monster!\YEYAN!\President!\Mr. Secretary?\Move aside!\President, I'm coming to save you!\Asshole, what are you doing? response:	What have you done to the president!
context: Die you monster!\YEYAN!\President!\Mr. Secretary?\Move aside!\President, I'm coming to save you!\Asshole, what are you doing?\What have you done to the president! response:	President?
context: YEYAN!\President!\Mr. Secretary?\Move aside!\President, I'm coming to save you!\Asshole, what are you doing?\What have you done to the president!\President? response:	To ambush the president, how vile
context: President!\Mr. Secretary?\Move aside!\President, I'm coming to save you!\Asshole, what are you doing?\What have you done to the president!\President?\To ambush the president, how vile response:	He is Xiahou Middleschool's Student Council President, Ximen Guanren
context: Mr. Secretary?\Move aside!\President, I'm coming to save you!\Asshole, what are you doing?\What have you done to the president!\President?\To ambush the president, how vile\He is Xiahou Middleschool's Student Council President, Ximen Guanren response:	The president is away for a mission, he is an active member of the night command
context: Move aside!\President, I'm coming to save you!\Asshole, what are you doing?\What have you done to the president!\President?\To ambush the president, how vile\He is Xiahou Middleschool's Student Council President, Ximen Guanren\The president is away for a mission, he is an active member of the night command response:	You must listen to his every order
context: President, I'm coming to save you!\Asshole, what are you doing?\What have you done to the president!\President?\To ambush the president, how vile\He is Xiahou Middleschool's Student Council President, Ximen Guanren\The president is away for a mission, he is an active member of the night command\You must listen to his every order response:	Also,
context: Asshole, what are you doing?\What have you done to the president!\President?\To ambush the president, how vile\He is Xiahou Middleschool's Student Council President, Ximen Guanren\The president is away for a mission, he is an active member of the night command\You must listen to his every order\Also, response:	He's quite a meticulous guy, make sure to treat him with respect
context: What have you done to the president!\President?\To ambush the president, how vile\He is Xiahou Middleschool's Student Council President, Ximen Guanren\The president is away for a mission, he is an active member of the night command\You must listen to his every order\Also,\He's quite a meticulous guy, make sure to treat him with respect response:	Or else, you'll suffer badly
context: President?\To ambush the president, how vile\He is Xiahou Middleschool's Student Council President, Ximen Guanren\The president is away for a mission, he is an active member of the night command\You must listen to his every order\Also,\He's quite a meticulous guy, make sure to treat him with respect\Or else, you'll suffer badly response:	President I am so sorry
context: To ambush the president, how vile\He is Xiahou Middleschool's Student Council President, Ximen Guanren\The president is away for a mission, he is an active member of the night command\You must listen to his every order\Also,\He's quite a meticulous guy, make sure to treat him with respect\Or else, you'll suffer badly\President I am so sorry response:	He's awakened!
context: He is Xiahou Middleschool's Student Council President, Ximen Guanren\The president is away for a mission, he is an active member of the night command\You must listen to his every order\Also,\He's quite a meticulous guy, make sure to treat him with respect\Or else, you'll suffer badly\President I am so sorry\He's awakened! response:	President, please feel assured to give me your inheritance
context: The president is away for a mission, he is an active member of the night command\You must listen to his every order\Also,\He's quite a meticulous guy, make sure to treat him with respect\Or else, you'll suffer badly\President I am so sorry\He's awakened!\President, please feel assured to give me your inheritance response:	Don't let them escape!
context: You must listen to his every order\Also,\He's quite a meticulous guy, make sure to treat him with respect\Or else, you'll suffer badly\President I am so sorry\He's awakened!\President, please feel assured to give me your inheritance\Don't let them escape! response:	Zombie!
context: Also,\He's quite a meticulous guy, make sure to treat him with respect\Or else, you'll suffer badly\President I am so sorry\He's awakened!\President, please feel assured to give me your inheritance\Don't let them escape!\Zombie! response:	So she is the culprit
context: He's quite a meticulous guy, make sure to treat him with respect\Or else, you'll suffer badly\President I am so sorry\He's awakened!\President, please feel assured to give me your inheritance\Don't let them escape!\Zombie!\So she is the culprit response:	Chaos Beast!
context: Or else, you'll suffer badly\President I am so sorry\He's awakened!\President, please feel assured to give me your inheritance\Don't let them escape!\Zombie!\So she is the culprit\Chaos Beast! response:	Wait! You shouldn't use that here, it'll damage the city
context: President I am so sorry\He's awakened!\President, please feel assured to give me your inheritance\Don't let them escape!\Zombie!\So she is the culprit\Chaos Beast!\Wait! You shouldn't use that here, it'll damage the city response:	It can't be helped, she's about to escape
context: He's awakened!\President, please feel assured to give me your inheritance\Don't let them escape!\Zombie!\So she is the culprit\Chaos Beast!\Wait! You shouldn't use that here, it'll damage the city\It can't be helped, she's about to escape response:	The costs are too high!
context: President, please feel assured to give me your inheritance\Don't let them escape!\Zombie!\So she is the culprit\Chaos Beast!\Wait! You shouldn't use that here, it'll damage the city\It can't be helped, she's about to escape\The costs are too high! response:	Watch it, take this!
context: Don't let them escape!\Zombie!\So she is the culprit\Chaos Beast!\Wait! You shouldn't use that here, it'll damage the city\It can't be helped, she's about to escape\The costs are too high!\Watch it, take this! response:	Vicious Lotus Blast!
context: Zombie!\So she is the culprit\Chaos Beast!\Wait! You shouldn't use that here, it'll damage the city\It can't be helped, she's about to escape\The costs are too high!\Watch it, take this!\Vicious Lotus Blast! response:	Whiplash Phoenix Sweep!
context: So she is the culprit\Chaos Beast!\Wait! You shouldn't use that here, it'll damage the city\It can't be helped, she's about to escape\The costs are too high!\Watch it, take this!\Vicious Lotus Blast!\Whiplash Phoenix Sweep! response:	Oh crap! Another building!
context: Chaos Beast!\Wait! You shouldn't use that here, it'll damage the city\It can't be helped, she's about to escape\The costs are too high!\Watch it, take this!\Vicious Lotus Blast!\Whiplash Phoenix Sweep!\Oh crap! Another building! response:	Why must you harm the buildings?
context: Wait! You shouldn't use that here, it'll damage the city\It can't be helped, she's about to escape\The costs are too high!\Watch it, take this!\Vicious Lotus Blast!\Whiplash Phoenix Sweep!\Oh crap! Another building!\Why must you harm the buildings? response:	Now! Catch her alive!
context: It can't be helped, she's about to escape\The costs are too high!\Watch it, take this!\Vicious Lotus Blast!\Whiplash Phoenix Sweep!\Oh crap! Another building!\Why must you harm the buildings?\Now! Catch her alive! response:	Yes sir!
context: The costs are too high!\Watch it, take this!\Vicious Lotus Blast!\Whiplash Phoenix Sweep!\Oh crap! Another building!\Why must you harm the buildings?\Now! Catch her alive!\Yes sir! response:	Not good, it's zombie gas
context: Watch it, take this!\Vicious Lotus Blast!\Whiplash Phoenix Sweep!\Oh crap! Another building!\Why must you harm the buildings?\Now! Catch her alive!\Yes sir!\Not good, it's zombie gas response:	Crap, there's too many spectators
context: Vicious Lotus Blast!\Whiplash Phoenix Sweep!\Oh crap! Another building!\Why must you harm the buildings?\Now! Catch her alive!\Yes sir!\Not good, it's zombie gas\Crap, there's too many spectators response:	(what's that)
context: Whiplash Phoenix Sweep!\Oh crap! Another building!\Why must you harm the buildings?\Now! Catch her alive!\Yes sir!\Not good, it's zombie gas\Crap, there's too many spectators\(what's that) response:	(I think it's forced eviction?)
context: Oh crap! Another building!\Why must you harm the buildings?\Now! Catch her alive!\Yes sir!\Not good, it's zombie gas\Crap, there's too many spectators\(what's that)\(I think it's forced eviction?) response:	(ooh, interesting)
context: Why must you harm the buildings?\Now! Catch her alive!\Yes sir!\Not good, it's zombie gas\Crap, there's too many spectators\(what's that)\(I think it's forced eviction?)\(ooh, interesting) response:	(hold on tenants!)
context: Now! Catch her alive!\Yes sir!\Not good, it's zombie gas\Crap, there's too many spectators\(what's that)\(I think it's forced eviction?)\(ooh, interesting)\(hold on tenants!) response:	Dahm it
context: Yes sir!\Not good, it's zombie gas\Crap, there's too many spectators\(what's that)\(I think it's forced eviction?)\(ooh, interesting)\(hold on tenants!)\Dahm it response:	Zombie gas
context: Not good, it's zombie gas\Crap, there's too many spectators\(what's that)\(I think it's forced eviction?)\(ooh, interesting)\(hold on tenants!)\Dahm it\Zombie gas response:	Leave it to me
context: Crap, there's too many spectators\(what's that)\(I think it's forced eviction?)\(ooh, interesting)\(hold on tenants!)\Dahm it\Zombie gas\Leave it to me response:	Hey! This isn't time to exercise!
context: (what's that)\(I think it's forced eviction?)\(ooh, interesting)\(hold on tenants!)\Dahm it\Zombie gas\Leave it to me\Hey! This isn't time to exercise! response:	Shoulder excercise
context: (I think it's forced eviction?)\(ooh, interesting)\(hold on tenants!)\Dahm it\Zombie gas\Leave it to me\Hey! This isn't time to exercise!\Shoulder excercise response:	Health is priority
context: (ooh, interesting)\(hold on tenants!)\Dahm it\Zombie gas\Leave it to me\Hey! This isn't time to exercise!\Shoulder excercise\Health is priority response:	So strong
context: (hold on tenants!)\Dahm it\Zombie gas\Leave it to me\Hey! This isn't time to exercise!\Shoulder excercise\Health is priority\So strong response:	This zombie gas sure is...
context: Dahm it\Zombie gas\Leave it to me\Hey! This isn't time to exercise!\Shoulder excercise\Health is priority\So strong\This zombie gas sure is... response:	Poisonous
context: Zombie gas\Leave it to me\Hey! This isn't time to exercise!\Shoulder excercise\Health is priority\So strong\This zombie gas sure is...\Poisonous response:	Fuck! You sure you can handle this?
context: Leave it to me\Hey! This isn't time to exercise!\Shoulder excercise\Health is priority\So strong\This zombie gas sure is...\Poisonous\Fuck! You sure you can handle this? response:	Out of his way!
context: Hey! This isn't time to exercise!\Shoulder excercise\Health is priority\So strong\This zombie gas sure is...\Poisonous\Fuck! You sure you can handle this?\Out of his way! response:	Sir, what are you doing?
context: Shoulder excercise\Health is priority\So strong\This zombie gas sure is...\Poisonous\Fuck! You sure you can handle this?\Out of his way!\Sir, what are you doing? response:	The president is strong and is usually very calm
context: Health is priority\So strong\This zombie gas sure is...\Poisonous\Fuck! You sure you can handle this?\Out of his way!\Sir, what are you doing?\The president is strong and is usually very calm response:	But now...
context: So strong\This zombie gas sure is...\Poisonous\Fuck! You sure you can handle this?\Out of his way!\Sir, what are you doing?\The president is strong and is usually very calm\But now... response:	Zombie babe, want to come play?
context: This zombie gas sure is...\Poisonous\Fuck! You sure you can handle this?\Out of his way!\Sir, what are you doing?\The president is strong and is usually very calm\But now...\Zombie babe, want to come play? response:	Babe
context: Poisonous\Fuck! You sure you can handle this?\Out of his way!\Sir, what are you doing?\The president is strong and is usually very calm\But now...\Zombie babe, want to come play?\Babe response:	Where are you going?
context: Fuck! You sure you can handle this?\Out of his way!\Sir, what are you doing?\The president is strong and is usually very calm\But now...\Zombie babe, want to come play?\Babe\Where are you going? response:	Don't leave yet!
context: Out of his way!\Sir, what are you doing?\The president is strong and is usually very calm\But now...\Zombie babe, want to come play?\Babe\Where are you going?\Don't leave yet! response:	You can't escape!
context: Sir, what are you doing?\The president is strong and is usually very calm\But now...\Zombie babe, want to come play?\Babe\Where are you going?\Don't leave yet!\You can't escape! response:	Babe, this is when the magic happens
context: The president is strong and is usually very calm\But now...\Zombie babe, want to come play?\Babe\Where are you going?\Don't leave yet!\You can't escape!\Babe, this is when the magic happens response:	Complete transformation
context: But now...\Zombie babe, want to come play?\Babe\Where are you going?\Don't leave yet!\You can't escape!\Babe, this is when the magic happens\Complete transformation response:	(what was that?)
context: Zombie babe, want to come play?\Babe\Where are you going?\Don't leave yet!\You can't escape!\Babe, this is when the magic happens\Complete transformation\(what was that?) response:	(so gruesome)
context: Babe\Where are you going?\Don't leave yet!\You can't escape!\Babe, this is when the magic happens\Complete transformation\(what was that?)\(so gruesome) response:	(blood!)
context: Where are you going?\Don't leave yet!\You can't escape!\Babe, this is when the magic happens\Complete transformation\(what was that?)\(so gruesome)\(blood!) response:	When, president gets serious, he loses all reason
context: Don't leave yet!\You can't escape!\Babe, this is when the magic happens\Complete transformation\(what was that?)\(so gruesome)\(blood!)\When, president gets serious, he loses all reason response:	He becomes a complete savage!
context: You can't escape!\Babe, this is when the magic happens\Complete transformation\(what was that?)\(so gruesome)\(blood!)\When, president gets serious, he loses all reason\He becomes a complete savage! response:	Fortunately I'm here
context: Babe, this is when the magic happens\Complete transformation\(what was that?)\(so gruesome)\(blood!)\When, president gets serious, he loses all reason\He becomes a complete savage!\Fortunately I'm here response:	Amnesia Inducing Punch!
context: Complete transformation\(what was that?)\(so gruesome)\(blood!)\When, president gets serious, he loses all reason\He becomes a complete savage!\Fortunately I'm here\Amnesia Inducing Punch! response:	This guy and the president sure are odd
context: (what was that?)\(so gruesome)\(blood!)\When, president gets serious, he loses all reason\He becomes a complete savage!\Fortunately I'm here\Amnesia Inducing Punch!\This guy and the president sure are odd response:	(why is my stomach growling)
context: (so gruesome)\(blood!)\When, president gets serious, he loses all reason\He becomes a complete savage!\Fortunately I'm here\Amnesia Inducing Punch!\This guy and the president sure are odd\(why is my stomach growling) response:	(you probably caught a chill)
context: (blood!)\When, president gets serious, he loses all reason\He becomes a complete savage!\Fortunately I'm here\Amnesia Inducing Punch!\This guy and the president sure are odd\(why is my stomach growling)\(you probably caught a chill) response:	Amnesia Inducing Punch can make someone forget a shocking moment
context: When, president gets serious, he loses all reason\He becomes a complete savage!\Fortunately I'm here\Amnesia Inducing Punch!\This guy and the president sure are odd\(why is my stomach growling)\(you probably caught a chill)\Amnesia Inducing Punch can make someone forget a shocking moment response:	The mind will fill the blank with a logical explaination
context: He becomes a complete savage!\Fortunately I'm here\Amnesia Inducing Punch!\This guy and the president sure are odd\(why is my stomach growling)\(you probably caught a chill)\Amnesia Inducing Punch can make someone forget a shocking moment\The mind will fill the blank with a logical explaination response:	They'll forget everything by tomorrow morning
context: Fortunately I'm here\Amnesia Inducing Punch!\This guy and the president sure are odd\(why is my stomach growling)\(you probably caught a chill)\Amnesia Inducing Punch can make someone forget a shocking moment\The mind will fill the blank with a logical explaination\They'll forget everything by tomorrow morning response:	You sure it's not caused by the concussion
context: Amnesia Inducing Punch!\This guy and the president sure are odd\(why is my stomach growling)\(you probably caught a chill)\Amnesia Inducing Punch can make someone forget a shocking moment\The mind will fill the blank with a logical explaination\They'll forget everything by tomorrow morning\You sure it's not caused by the concussion response:	You think your tough then come again
context: This guy and the president sure are odd\(why is my stomach growling)\(you probably caught a chill)\Amnesia Inducing Punch can make someone forget a shocking moment\The mind will fill the blank with a logical explaination\They'll forget everything by tomorrow morning\You sure it's not caused by the concussion\You think your tough then come again response:	I'm the fiercest censorate, Ximen Guanren
context: (why is my stomach growling)\(you probably caught a chill)\Amnesia Inducing Punch can make someone forget a shocking moment\The mind will fill the blank with a logical explaination\They'll forget everything by tomorrow morning\You sure it's not caused by the concussion\You think your tough then come again\I'm the fiercest censorate, Ximen Guanren response:	My name is S
context: (you probably caught a chill)\Amnesia Inducing Punch can make someone forget a shocking moment\The mind will fill the blank with a logical explaination\They'll forget everything by tomorrow morning\You sure it's not caused by the concussion\You think your tough then come again\I'm the fiercest censorate, Ximen Guanren\My name is S response:	@S
context: Amnesia Inducing Punch can make someone forget a shocking moment\The mind will fill the blank with a logical explaination\They'll forget everything by tomorrow morning\You sure it's not caused by the concussion\You think your tough then come again\I'm the fiercest censorate, Ximen Guanren\My name is S\@S response:	President
context: The mind will fill the blank with a logical explaination\They'll forget everything by tomorrow morning\You sure it's not caused by the concussion\You think your tough then come again\I'm the fiercest censorate, Ximen Guanren\My name is S\@S\President response:	It's over
context: They'll forget everything by tomorrow morning\You sure it's not caused by the concussion\You think your tough then come again\I'm the fiercest censorate, Ximen Guanren\My name is S\@S\President\It's over response:	So it was a zombie
context: You sure it's not caused by the concussion\You think your tough then come again\I'm the fiercest censorate, Ximen Guanren\My name is S\@S\President\It's over\So it was a zombie response:	What's this?
context: You think your tough then come again\I'm the fiercest censorate, Ximen Guanren\My name is S\@S\President\It's over\So it was a zombie\What's this? response:	A stray spirit's seal
context: I'm the fiercest censorate, Ximen Guanren\My name is S\@S\President\It's over\So it was a zombie\What's this?\A stray spirit's seal response:	This is...
context: My name is S\@S\President\It's over\So it was a zombie\What's this?\A stray spirit's seal\This is... response:	There's dark energy
context: @S\President\It's over\So it was a zombie\What's this?\A stray spirit's seal\This is...\There's dark energy response:	Ehya
context: President\It's over\So it was a zombie\What's this?\A stray spirit's seal\This is...\There's dark energy\Ehya response:	I forgot that censorates can see dark energy
context: It's over\So it was a zombie\What's this?\A stray spirit's seal\This is...\There's dark energy\Ehya\I forgot that censorates can see dark energy response:	I miscalculated
