context: It truly is a lovely world. response:	No matter how many times I see it, it takes my breath away.
context: The birthplace of all humanity.\I have always dreamed of seeing it with my own two eyes.\I-I see.\Tell me, Slaine. They say that the sky here is blue, as are the oceans.\I have always been curious about that.\On Earth, are the air and water both colored blue?\No, the air and water are transparent.\But in a thick enough layer, it causes the light to be refracted, response:	c-causing them to appear blue.
context: I have always dreamed of seeing it with my own two eyes.\I-I see.\Tell me, Slaine. They say that the sky here is blue, as are the oceans.\I have always been curious about that.\On Earth, are the air and water both colored blue?\No, the air and water are transparent.\But in a thick enough layer, it causes the light to be refracted,\c-causing them to appear blue. response:	I believe that is how it works.
context: I-I see.\Tell me, Slaine. They say that the sky here is blue, as are the oceans.\I have always been curious about that.\On Earth, are the air and water both colored blue?\No, the air and water are transparent.\But in a thick enough layer, it causes the light to be refracted,\c-causing them to appear blue.\I believe that is how it works. response:	Water and air in such large quantities that they bend light...
context: Tell me, Slaine. They say that the sky here is blue, as are the oceans.\I have always been curious about that.\On Earth, are the air and water both colored blue?\No, the air and water are transparent.\But in a thick enough layer, it causes the light to be refracted,\c-causing them to appear blue.\I believe that is how it works.\Water and air in such large quantities that they bend light... response:	Isn't that amazing? I can't even begin to imagine it!
context: I have always been curious about that.\On Earth, are the air and water both colored blue?\No, the air and water are transparent.\But in a thick enough layer, it causes the light to be refracted,\c-causing them to appear blue.\I believe that is how it works.\Water and air in such large quantities that they bend light...\Isn't that amazing? I can't even begin to imagine it! response:	Ah, here you are.
context: On Earth, are the air and water both colored blue?\No, the air and water are transparent.\But in a thick enough layer, it causes the light to be refracted,\c-causing them to appear blue.\I believe that is how it works.\Water and air in such large quantities that they bend light...\Isn't that amazing? I can't even begin to imagine it!\Ah, here you are. response:	Count Cruhteo!
context: No, the air and water are transparent.\But in a thick enough layer, it causes the light to be refracted,\c-causing them to appear blue.\I believe that is how it works.\Water and air in such large quantities that they bend light...\Isn't that amazing? I can't even begin to imagine it!\Ah, here you are.\Count Cruhteo! response:	The hour has grown quite late.
context: But in a thick enough layer, it causes the light to be refracted,\c-causing them to appear blue.\I believe that is how it works.\Water and air in such large quantities that they bend light...\Isn't that amazing? I can't even begin to imagine it!\Ah, here you are.\Count Cruhteo!\The hour has grown quite late. response:	Please return to your bedchamber,
context: c-causing them to appear blue.\I believe that is how it works.\Water and air in such large quantities that they bend light...\Isn't that amazing? I can't even begin to imagine it!\Ah, here you are.\Count Cruhteo!\The hour has grown quite late.\Please return to your bedchamber, response:	Princess Asseylum.
context: I believe that is how it works.\Water and air in such large quantities that they bend light...\Isn't that amazing? I can't even begin to imagine it!\Ah, here you are.\Count Cruhteo!\The hour has grown quite late.\Please return to your bedchamber,\Princess Asseylum. response:	Oh, is it that late already?
context: Water and air in such large quantities that they bend light...\Isn't that amazing? I can't even begin to imagine it!\Ah, here you are.\Count Cruhteo!\The hour has grown quite late.\Please return to your bedchamber,\Princess Asseylum.\Oh, is it that late already? response:	The view from this veranda makes it all too easy to lose track of time.
context: Isn't that amazing? I can't even begin to imagine it!\Ah, here you are.\Count Cruhteo!\The hour has grown quite late.\Please return to your bedchamber,\Princess Asseylum.\Oh, is it that late already?\The view from this veranda makes it all too easy to lose track of time. response:	Then I shall turn in, Slaine. Let us continue my lessons tomorrow.
context: Ah, here you are.\Count Cruhteo!\The hour has grown quite late.\Please return to your bedchamber,\Princess Asseylum.\Oh, is it that late already?\The view from this veranda makes it all too easy to lose track of time.\Then I shall turn in, Slaine. Let us continue my lessons tomorrow. response:	O-Of course. It would be my pleasure.
context: Count Cruhteo!\The hour has grown quite late.\Please return to your bedchamber,\Princess Asseylum.\Oh, is it that late already?\The view from this veranda makes it all too easy to lose track of time.\Then I shall turn in, Slaine. Let us continue my lessons tomorrow.\O-Of course. It would be my pleasure. response:	The goodwill visit of Asseylum Vers Allusia, Princess Royal of the Vers Empire,
context: The hour has grown quite late.\Please return to your bedchamber,\Princess Asseylum.\Oh, is it that late already?\The view from this veranda makes it all too easy to lose track of time.\Then I shall turn in, Slaine. Let us continue my lessons tomorrow.\O-Of course. It would be my pleasure.\The goodwill visit of Asseylum Vers Allusia, Princess Royal of the Vers Empire, response:	is a mere three days away.
context: Please return to your bedchamber,\Princess Asseylum.\Oh, is it that late already?\The view from this veranda makes it all too easy to lose track of time.\Then I shall turn in, Slaine. Let us continue my lessons tomorrow.\O-Of course. It would be my pleasure.\The goodwill visit of Asseylum Vers Allusia, Princess Royal of the Vers Empire,\is a mere three days away. response:	tensions are also rising.
context: Princess Asseylum.\Oh, is it that late already?\The view from this veranda makes it all too easy to lose track of time.\Then I shall turn in, Slaine. Let us continue my lessons tomorrow.\O-Of course. It would be my pleasure.\The goodwill visit of Asseylum Vers Allusia, Princess Royal of the Vers Empire,\is a mere three days away.\tensions are also rising. response:	Expert opinion is divided on the subject of this royal visit,
context: Oh, is it that late already?\The view from this veranda makes it all too easy to lose track of time.\Then I shall turn in, Slaine. Let us continue my lessons tomorrow.\O-Of course. It would be my pleasure.\The goodwill visit of Asseylum Vers Allusia, Princess Royal of the Vers Empire,\is a mere three days away.\tensions are also rising.\Expert opinion is divided on the subject of this royal visit, response:	whose aim is the easing of interplanetary tensions between Mars and Earth.
context: The view from this veranda makes it all too easy to lose track of time.\Then I shall turn in, Slaine. Let us continue my lessons tomorrow.\O-Of course. It would be my pleasure.\The goodwill visit of Asseylum Vers Allusia, Princess Royal of the Vers Empire,\is a mere three days away.\tensions are also rising.\Expert opinion is divided on the subject of this royal visit,\whose aim is the easing of interplanetary tensions between Mars and Earth. response:	'Morning, Nao...
context: Then I shall turn in, Slaine. Let us continue my lessons tomorrow.\O-Of course. It would be my pleasure.\The goodwill visit of Asseylum Vers Allusia, Princess Royal of the Vers Empire,\is a mere three days away.\tensions are also rising.\Expert opinion is divided on the subject of this royal visit,\whose aim is the easing of interplanetary tensions between Mars and Earth.\'Morning, Nao... response:	In addition to the optimistic view that relations between our two worlds can be improved,
context: O-Of course. It would be my pleasure.\The goodwill visit of Asseylum Vers Allusia, Princess Royal of the Vers Empire,\is a mere three days away.\tensions are also rising.\Expert opinion is divided on the subject of this royal visit,\whose aim is the easing of interplanetary tensions between Mars and Earth.\'Morning, Nao...\In addition to the optimistic view that relations between our two worlds can be improved, response:	Good morning, Yuki.
context: The goodwill visit of Asseylum Vers Allusia, Princess Royal of the Vers Empire,\is a mere three days away.\tensions are also rising.\Expert opinion is divided on the subject of this royal visit,\whose aim is the easing of interplanetary tensions between Mars and Earth.\'Morning, Nao...\In addition to the optimistic view that relations between our two worlds can be improved,\Good morning, Yuki. response:	Which would you have preferred, a rolled omelette or scrambled eggs?
context: is a mere three days away.\tensions are also rising.\Expert opinion is divided on the subject of this royal visit,\whose aim is the easing of interplanetary tensions between Mars and Earth.\'Morning, Nao...\In addition to the optimistic view that relations between our two worlds can be improved,\Good morning, Yuki.\Which would you have preferred, a rolled omelette or scrambled eggs? response:	another, more pessimistic view, is that this is merely political theater
context: tensions are also rising.\Expert opinion is divided on the subject of this royal visit,\whose aim is the easing of interplanetary tensions between Mars and Earth.\'Morning, Nao...\In addition to the optimistic view that relations between our two worlds can be improved,\Good morning, Yuki.\Which would you have preferred, a rolled omelette or scrambled eggs?\another, more pessimistic view, is that this is merely political theater response:	A rolled omelette, I guess.
context: Expert opinion is divided on the subject of this royal visit,\whose aim is the easing of interplanetary tensions between Mars and Earth.\'Morning, Nao...\In addition to the optimistic view that relations between our two worlds can be improved,\Good morning, Yuki.\Which would you have preferred, a rolled omelette or scrambled eggs?\another, more pessimistic view, is that this is merely political theater\A rolled omelette, I guess. response:	meant to loosen interplanetary trade regulations.
context: whose aim is the easing of interplanetary tensions between Mars and Earth.\'Morning, Nao...\In addition to the optimistic view that relations between our two worlds can be improved,\Good morning, Yuki.\Which would you have preferred, a rolled omelette or scrambled eggs?\another, more pessimistic view, is that this is merely political theater\A rolled omelette, I guess.\meant to loosen interplanetary trade regulations. response:	Sorry. I made scrambled eggs today.
context: 'Morning, Nao...\In addition to the optimistic view that relations between our two worlds can be improved,\Good morning, Yuki.\Which would you have preferred, a rolled omelette or scrambled eggs?\another, more pessimistic view, is that this is merely political theater\A rolled omelette, I guess.\meant to loosen interplanetary trade regulations.\Sorry. I made scrambled eggs today. response:	Aren't you eating breakfast, Nao?
context: In addition to the optimistic view that relations between our two worlds can be improved,\Good morning, Yuki.\Which would you have preferred, a rolled omelette or scrambled eggs?\another, more pessimistic view, is that this is merely political theater\A rolled omelette, I guess.\meant to loosen interplanetary trade regulations.\Sorry. I made scrambled eggs today.\Aren't you eating breakfast, Nao? response:	I've already eaten.
context: Good morning, Yuki.\Which would you have preferred, a rolled omelette or scrambled eggs?\another, more pessimistic view, is that this is merely political theater\A rolled omelette, I guess.\meant to loosen interplanetary trade regulations.\Sorry. I made scrambled eggs today.\Aren't you eating breakfast, Nao?\I've already eaten. response:	What about you, Yuki? Today's your shift as drill instructor, isn't it?
context: Which would you have preferred, a rolled omelette or scrambled eggs?\another, more pessimistic view, is that this is merely political theater\A rolled omelette, I guess.\meant to loosen interplanetary trade regulations.\Sorry. I made scrambled eggs today.\Aren't you eating breakfast, Nao?\I've already eaten.\What about you, Yuki? Today's your shift as drill instructor, isn't it? response:	Why didn't you wake me up?!
context: another, more pessimistic view, is that this is merely political theater\A rolled omelette, I guess.\meant to loosen interplanetary trade regulations.\Sorry. I made scrambled eggs today.\Aren't you eating breakfast, Nao?\I've already eaten.\What about you, Yuki? Today's your shift as drill instructor, isn't it?\Why didn't you wake me up?! response:	I woke you up a dozen times, Warrant Officer Kaizuka.
context: A rolled omelette, I guess.\meant to loosen interplanetary trade regulations.\Sorry. I made scrambled eggs today.\Aren't you eating breakfast, Nao?\I've already eaten.\What about you, Yuki? Today's your shift as drill instructor, isn't it?\Why didn't you wake me up?!\I woke you up a dozen times, Warrant Officer Kaizuka. response:	Hey, wait!
context: meant to loosen interplanetary trade regulations.\Sorry. I made scrambled eggs today.\Aren't you eating breakfast, Nao?\I've already eaten.\What about you, Yuki? Today's your shift as drill instructor, isn't it?\Why didn't you wake me up?!\I woke you up a dozen times, Warrant Officer Kaizuka.\Hey, wait! response:	Don't worry. If you run, you'll be able to catch the next bus. Barely.
context: Sorry. I made scrambled eggs today.\Aren't you eating breakfast, Nao?\I've already eaten.\What about you, Yuki? Today's your shift as drill instructor, isn't it?\Why didn't you wake me up?!\I woke you up a dozen times, Warrant Officer Kaizuka.\Hey, wait!\Don't worry. If you run, you'll be able to catch the next bus. Barely. response:	Speaking from experience. Just FYI.
context: Aren't you eating breakfast, Nao?\I've already eaten.\What about you, Yuki? Today's your shift as drill instructor, isn't it?\Why didn't you wake me up?!\I woke you up a dozen times, Warrant Officer Kaizuka.\Hey, wait!\Don't worry. If you run, you'll be able to catch the next bus. Barely.\Speaking from experience. Just FYI. response:	Oh, and put the dirty dishes in the sink.
context: I've already eaten.\What about you, Yuki? Today's your shift as drill instructor, isn't it?\Why didn't you wake me up?!\I woke you up a dozen times, Warrant Officer Kaizuka.\Hey, wait!\Don't worry. If you run, you'll be able to catch the next bus. Barely.\Speaking from experience. Just FYI.\Oh, and put the dirty dishes in the sink. response:	Heartless jerk...
context: What about you, Yuki? Today's your shift as drill instructor, isn't it?\Why didn't you wake me up?!\I woke you up a dozen times, Warrant Officer Kaizuka.\Hey, wait!\Don't worry. If you run, you'll be able to catch the next bus. Barely.\Speaking from experience. Just FYI.\Oh, and put the dirty dishes in the sink.\Heartless jerk... response:	And so, the discovery of an artifact belonging to an ancient Martian civilization,
context: Why didn't you wake me up?!\I woke you up a dozen times, Warrant Officer Kaizuka.\Hey, wait!\Don't worry. If you run, you'll be able to catch the next bus. Barely.\Speaking from experience. Just FYI.\Oh, and put the dirty dishes in the sink.\Heartless jerk...\And so, the discovery of an artifact belonging to an ancient Martian civilization, response:	the Hyper Gate, on the Moon by Apollo 17,
context: I woke you up a dozen times, Warrant Officer Kaizuka.\Hey, wait!\Don't worry. If you run, you'll be able to catch the next bus. Barely.\Speaking from experience. Just FYI.\Oh, and put the dirty dishes in the sink.\Heartless jerk...\And so, the discovery of an artifact belonging to an ancient Martian civilization,\the Hyper Gate, on the Moon by Apollo 17, response:	paved the way for the human colonization and development of Mars.
context: Hey, wait!\Don't worry. If you run, you'll be able to catch the next bus. Barely.\Speaking from experience. Just FYI.\Oh, and put the dirty dishes in the sink.\Heartless jerk...\And so, the discovery of an artifact belonging to an ancient Martian civilization,\the Hyper Gate, on the Moon by Apollo 17,\paved the way for the human colonization and development of Mars. response:	However, this resulted in the appearance of the Vers Empire,
context: Don't worry. If you run, you'll be able to catch the next bus. Barely.\Speaking from experience. Just FYI.\Oh, and put the dirty dishes in the sink.\Heartless jerk...\And so, the discovery of an artifact belonging to an ancient Martian civilization,\the Hyper Gate, on the Moon by Apollo 17,\paved the way for the human colonization and development of Mars.\However, this resulted in the appearance of the Vers Empire, response:	which claimed ownership of the Martian relics and Aldnoah, their ancient technology,
context: Speaking from experience. Just FYI.\Oh, and put the dirty dishes in the sink.\Heartless jerk...\And so, the discovery of an artifact belonging to an ancient Martian civilization,\the Hyper Gate, on the Moon by Apollo 17,\paved the way for the human colonization and development of Mars.\However, this resulted in the appearance of the Vers Empire,\which claimed ownership of the Martian relics and Aldnoah, their ancient technology, response:	and proved to be the source of a long-standing conflict.
context: Oh, and put the dirty dishes in the sink.\Heartless jerk...\And so, the discovery of an artifact belonging to an ancient Martian civilization,\the Hyper Gate, on the Moon by Apollo 17,\paved the way for the human colonization and development of Mars.\However, this resulted in the appearance of the Vers Empire,\which claimed ownership of the Martian relics and Aldnoah, their ancient technology,\and proved to be the source of a long-standing conflict. response:	Hey, Inaho!
context: Heartless jerk...\And so, the discovery of an artifact belonging to an ancient Martian civilization,\the Hyper Gate, on the Moon by Apollo 17,\paved the way for the human colonization and development of Mars.\However, this resulted in the appearance of the Vers Empire,\which claimed ownership of the Martian relics and Aldnoah, their ancient technology,\and proved to be the source of a long-standing conflict.\Hey, Inaho! response:	Good morning.
context: And so, the discovery of an artifact belonging to an ancient Martian civilization,\the Hyper Gate, on the Moon by Apollo 17,\paved the way for the human colonization and development of Mars.\However, this resulted in the appearance of the Vers Empire,\which claimed ownership of the Martian relics and Aldnoah, their ancient technology,\and proved to be the source of a long-standing conflict.\Hey, Inaho!\Good morning. response:	Huh? Yuki isn't with you?
context: the Hyper Gate, on the Moon by Apollo 17,\paved the way for the human colonization and development of Mars.\However, this resulted in the appearance of the Vers Empire,\which claimed ownership of the Martian relics and Aldnoah, their ancient technology,\and proved to be the source of a long-standing conflict.\Hey, Inaho!\Good morning.\Huh? Yuki isn't with you? response:	My sister overslept.
context: paved the way for the human colonization and development of Mars.\However, this resulted in the appearance of the Vers Empire,\which claimed ownership of the Martian relics and Aldnoah, their ancient technology,\and proved to be the source of a long-standing conflict.\Hey, Inaho!\Good morning.\Huh? Yuki isn't with you?\My sister overslept. response:	Well, if she shows some spirit, she should make it in time for drills.
context: However, this resulted in the appearance of the Vers Empire,\which claimed ownership of the Martian relics and Aldnoah, their ancient technology,\and proved to be the source of a long-standing conflict.\Hey, Inaho!\Good morning.\Huh? Yuki isn't with you?\My sister overslept.\Well, if she shows some spirit, she should make it in time for drills. response:	How could you shirk your duty to escort our Goddess of Tuesdays?
context: which claimed ownership of the Martian relics and Aldnoah, their ancient technology,\and proved to be the source of a long-standing conflict.\Hey, Inaho!\Good morning.\Huh? Yuki isn't with you?\My sister overslept.\Well, if she shows some spirit, she should make it in time for drills.\How could you shirk your duty to escort our Goddess of Tuesdays? response:	Maybe she's Penivia.
context: and proved to be the source of a long-standing conflict.\Hey, Inaho!\Good morning.\Huh? Yuki isn't with you?\My sister overslept.\Well, if she shows some spirit, she should make it in time for drills.\How could you shirk your duty to escort our Goddess of Tuesdays?\Maybe she's Penivia. response:	Who's that?
context: Hey, Inaho!\Good morning.\Huh? Yuki isn't with you?\My sister overslept.\Well, if she shows some spirit, she should make it in time for drills.\How could you shirk your duty to escort our Goddess of Tuesdays?\Maybe she's Penivia.\Who's that? response:	The goddess of laziness.
context: Good morning.\Huh? Yuki isn't with you?\My sister overslept.\Well, if she shows some spirit, she should make it in time for drills.\How could you shirk your duty to escort our Goddess of Tuesdays?\Maybe she's Penivia.\Who's that?\The goddess of laziness. response:	I'm down with that!
context: Huh? Yuki isn't with you?\My sister overslept.\Well, if she shows some spirit, she should make it in time for drills.\How could you shirk your duty to escort our Goddess of Tuesdays?\Maybe she's Penivia.\Who's that?\The goddess of laziness.\I'm down with that! response:	Folks who plan to go on to college don't need to worry about drills.
context: My sister overslept.\Well, if she shows some spirit, she should make it in time for drills.\How could you shirk your duty to escort our Goddess of Tuesdays?\Maybe she's Penivia.\Who's that?\The goddess of laziness.\I'm down with that!\Folks who plan to go on to college don't need to worry about drills. response:	Going on to college, huh? You flunked midterms, Okojo.
context: Well, if she shows some spirit, she should make it in time for drills.\How could you shirk your duty to escort our Goddess of Tuesdays?\Maybe she's Penivia.\Who's that?\The goddess of laziness.\I'm down with that!\Folks who plan to go on to college don't need to worry about drills.\Going on to college, huh? You flunked midterms, Okojo. response:	Look who's talking, Calm. You got a C-minus on our last maneuvers.
context: How could you shirk your duty to escort our Goddess of Tuesdays?\Maybe she's Penivia.\Who's that?\The goddess of laziness.\I'm down with that!\Folks who plan to go on to college don't need to worry about drills.\Going on to college, huh? You flunked midterms, Okojo.\Look who's talking, Calm. You got a C-minus on our last maneuvers. response:	I've been taking notes on every little thing, you hear?
context: Maybe she's Penivia.\Who's that?\The goddess of laziness.\I'm down with that!\Folks who plan to go on to college don't need to worry about drills.\Going on to college, huh? You flunked midterms, Okojo.\Look who's talking, Calm. You got a C-minus on our last maneuvers.\I've been taking notes on every little thing, you hear? response:	I'm gonna take back my crown as top student in our class.
context: Who's that?\The goddess of laziness.\I'm down with that!\Folks who plan to go on to college don't need to worry about drills.\Going on to college, huh? You flunked midterms, Okojo.\Look who's talking, Calm. You got a C-minus on our last maneuvers.\I've been taking notes on every little thing, you hear?\I'm gonna take back my crown as top student in our class. response:	You sure are psyched to take down Inaho, Inko.
context: The goddess of laziness.\I'm down with that!\Folks who plan to go on to college don't need to worry about drills.\Going on to college, huh? You flunked midterms, Okojo.\Look who's talking, Calm. You got a C-minus on our last maneuvers.\I've been taking notes on every little thing, you hear?\I'm gonna take back my crown as top student in our class.\You sure are psyched to take down Inaho, Inko. response:	Disaster recovery, huh?
context: I'm down with that!\Folks who plan to go on to college don't need to worry about drills.\Going on to college, huh? You flunked midterms, Okojo.\Look who's talking, Calm. You got a C-minus on our last maneuvers.\I've been taking notes on every little thing, you hear?\I'm gonna take back my crown as top student in our class.\You sure are psyched to take down Inaho, Inko.\Disaster recovery, huh? response:	I guess even in Shingawara, once you leave the city proper, things are still being rebuilt.
context: Folks who plan to go on to college don't need to worry about drills.\Going on to college, huh? You flunked midterms, Okojo.\Look who's talking, Calm. You got a C-minus on our last maneuvers.\I've been taking notes on every little thing, you hear?\I'm gonna take back my crown as top student in our class.\You sure are psyched to take down Inaho, Inko.\Disaster recovery, huh?\I guess even in Shingawara, once you leave the city proper, things are still being rebuilt. response:	It's been 15 years since Heavens Fall.
context: Going on to college, huh? You flunked midterms, Okojo.\Look who's talking, Calm. You got a C-minus on our last maneuvers.\I've been taking notes on every little thing, you hear?\I'm gonna take back my crown as top student in our class.\You sure are psyched to take down Inaho, Inko.\Disaster recovery, huh?\I guess even in Shingawara, once you leave the city proper, things are still being rebuilt.\It's been 15 years since Heavens Fall. response:	Those Martian jerk bastards really went crazy, huh?
context: Look who's talking, Calm. You got a C-minus on our last maneuvers.\I've been taking notes on every little thing, you hear?\I'm gonna take back my crown as top student in our class.\You sure are psyched to take down Inaho, Inko.\Disaster recovery, huh?\I guess even in Shingawara, once you leave the city proper, things are still being rebuilt.\It's been 15 years since Heavens Fall.\Those Martian jerk bastards really went crazy, huh? response:	Japan's in way better shape than where Nina and I come from.
context: I've been taking notes on every little thing, you hear?\I'm gonna take back my crown as top student in our class.\You sure are psyched to take down Inaho, Inko.\Disaster recovery, huh?\I guess even in Shingawara, once you leave the city proper, things are still being rebuilt.\It's been 15 years since Heavens Fall.\Those Martian jerk bastards really went crazy, huh?\Japan's in way better shape than where Nina and I come from. response:	But we've got a cooperative policy with Mars now, right?
context: I'm gonna take back my crown as top student in our class.\You sure are psyched to take down Inaho, Inko.\Disaster recovery, huh?\I guess even in Shingawara, once you leave the city proper, things are still being rebuilt.\It's been 15 years since Heavens Fall.\Those Martian jerk bastards really went crazy, huh?\Japan's in way better shape than where Nina and I come from.\But we've got a cooperative policy with Mars now, right? response:	There's even that goodwill ambassador who's coming.
context: You sure are psyched to take down Inaho, Inko.\Disaster recovery, huh?\I guess even in Shingawara, once you leave the city proper, things are still being rebuilt.\It's been 15 years since Heavens Fall.\Those Martian jerk bastards really went crazy, huh?\Japan's in way better shape than where Nina and I come from.\But we've got a cooperative policy with Mars now, right?\There's even that goodwill ambassador who's coming. response:	Oh, you mean that Vers princess. What's her name again?
context: Disaster recovery, huh?\I guess even in Shingawara, once you leave the city proper, things are still being rebuilt.\It's been 15 years since Heavens Fall.\Those Martian jerk bastards really went crazy, huh?\Japan's in way better shape than where Nina and I come from.\But we've got a cooperative policy with Mars now, right?\There's even that goodwill ambassador who's coming.\Oh, you mean that Vers princess. What's her name again? response:	Assay? Easy?
context: I guess even in Shingawara, once you leave the city proper, things are still being rebuilt.\It's been 15 years since Heavens Fall.\Those Martian jerk bastards really went crazy, huh?\Japan's in way better shape than where Nina and I come from.\But we've got a cooperative policy with Mars now, right?\There's even that goodwill ambassador who's coming.\Oh, you mean that Vers princess. What's her name again?\Assay? Easy? response:	- It's no wonder you flunked! - Bite me!
context: It's been 15 years since Heavens Fall.\Those Martian jerk bastards really went crazy, huh?\Japan's in way better shape than where Nina and I come from.\But we've got a cooperative policy with Mars now, right?\There's even that goodwill ambassador who's coming.\Oh, you mean that Vers princess. What's her name again?\Assay? Easy?\- It's no wonder you flunked! - Bite me! response:	In 1999, the Vers Empire finally declared war against the UE.
context: Those Martian jerk bastards really went crazy, huh?\Japan's in way better shape than where Nina and I come from.\But we've got a cooperative policy with Mars now, right?\There's even that goodwill ambassador who's coming.\Oh, you mean that Vers princess. What's her name again?\Assay? Easy?\- It's no wonder you flunked! - Bite me!\In 1999, the Vers Empire finally declared war against the UE. response:	As a result of the fierce back and forth fighting on the Moon's surface,
context: Japan's in way better shape than where Nina and I come from.\But we've got a cooperative policy with Mars now, right?\There's even that goodwill ambassador who's coming.\Oh, you mean that Vers princess. What's her name again?\Assay? Easy?\- It's no wonder you flunked! - Bite me!\In 1999, the Vers Empire finally declared war against the UE.\As a result of the fierce back and forth fighting on the Moon's surface, response:	the Hyper Gate went out of control and destroyed the Moon itself.
context: But we've got a cooperative policy with Mars now, right?\There's even that goodwill ambassador who's coming.\Oh, you mean that Vers princess. What's her name again?\Assay? Easy?\- It's no wonder you flunked! - Bite me!\In 1999, the Vers Empire finally declared war against the UE.\As a result of the fierce back and forth fighting on the Moon's surface,\the Hyper Gate went out of control and destroyed the Moon itself. response:	The astronomical body that had been Earth's satellite for 4.5 billion years
context: There's even that goodwill ambassador who's coming.\Oh, you mean that Vers princess. What's her name again?\Assay? Easy?\- It's no wonder you flunked! - Bite me!\In 1999, the Vers Empire finally declared war against the UE.\As a result of the fierce back and forth fighting on the Moon's surface,\the Hyper Gate went out of control and destroyed the Moon itself.\The astronomical body that had been Earth's satellite for 4.5 billion years response:	I'm sorry I'm late!
context: Oh, you mean that Vers princess. What's her name again?\Assay? Easy?\- It's no wonder you flunked! - Bite me!\In 1999, the Vers Empire finally declared war against the UE.\As a result of the fierce back and forth fighting on the Moon's surface,\the Hyper Gate went out of control and destroyed the Moon itself.\The astronomical body that had been Earth's satellite for 4.5 billion years\I'm sorry I'm late! response:	was pulverized into countless boulders and now continues on in its orbit as the Satellite Belt.
context: Assay? Easy?\- It's no wonder you flunked! - Bite me!\In 1999, the Vers Empire finally declared war against the UE.\As a result of the fierce back and forth fighting on the Moon's surface,\the Hyper Gate went out of control and destroyed the Moon itself.\The astronomical body that had been Earth's satellite for 4.5 billion years\I'm sorry I'm late!\was pulverized into countless boulders and now continues on in its orbit as the Satellite Belt. response:	Hey there, Warrant Officer Sleepyhead.
