context: Okay, Vegeta- chan, now it's our turn. response:	You two little pipsqueaks there, give Vegeta- chan a hand.
context: Why, that jerk!\Ginyu...\ReaCoom!!\Hey, what's going on here? Vegeta- chan's power level just rose to upwards of 30,000!\Get down!\More! More! More!\H- he got him.\Incredible... He ended it all in one instant. Vegeta has ridiculous strength, all right. response:	Hey, it couldn't be, right?
context: Ginyu...\ReaCoom!!\Hey, what's going on here? Vegeta- chan's power level just rose to upwards of 30,000!\Get down!\More! More! More!\H- he got him.\Incredible... He ended it all in one instant. Vegeta has ridiculous strength, all right.\Hey, it couldn't be, right? response:	A- a Ki! H- he's alive! That guy is alive!
context: ReaCoom!!\Hey, what's going on here? Vegeta- chan's power level just rose to upwards of 30,000!\Get down!\More! More! More!\H- he got him.\Incredible... He ended it all in one instant. Vegeta has ridiculous strength, all right.\Hey, it couldn't be, right?\A- a Ki! H- he's alive! That guy is alive! response:	H- he couldn't be... N- no way...
context: Hey, what's going on here? Vegeta- chan's power level just rose to upwards of 30,000!\Get down!\More! More! More!\H- he got him.\Incredible... He ended it all in one instant. Vegeta has ridiculous strength, all right.\Hey, it couldn't be, right?\A- a Ki! H- he's alive! That guy is alive!\H- he couldn't be... N- no way... response:	Hi!
context: Get down!\More! More! More!\H- he got him.\Incredible... He ended it all in one instant. Vegeta has ridiculous strength, all right.\Hey, it couldn't be, right?\A- a Ki! H- he's alive! That guy is alive!\H- he couldn't be... N- no way...\Hi! response:	H- he's taken hardly any damage at all!
context: More! More! More!\H- he got him.\Incredible... He ended it all in one instant. Vegeta has ridiculous strength, all right.\Hey, it couldn't be, right?\A- a Ki! H- he's alive! That guy is alive!\H- he couldn't be... N- no way...\Hi!\H- he's taken hardly any damage at all! response:	That's enough for the warm-up exercises.
context: H- he got him.\Incredible... He ended it all in one instant. Vegeta has ridiculous strength, all right.\Hey, it couldn't be, right?\A- a Ki! H- he's alive! That guy is alive!\H- he couldn't be... N- no way...\Hi!\H- he's taken hardly any damage at all!\That's enough for the warm-up exercises. response:	ReaCoom is trying to look cool, and we're getting all dusty over here!
context: Incredible... He ended it all in one instant. Vegeta has ridiculous strength, all right.\Hey, it couldn't be, right?\A- a Ki! H- he's alive! That guy is alive!\H- he couldn't be... N- no way...\Hi!\H- he's taken hardly any damage at all!\That's enough for the warm-up exercises.\ReaCoom is trying to look cool, and we're getting all dusty over here! response:	Our cleaning bill is going to be outrageous.
context: Hey, it couldn't be, right?\A- a Ki! H- he's alive! That guy is alive!\H- he couldn't be... N- no way...\Hi!\H- he's taken hardly any damage at all!\That's enough for the warm-up exercises.\ReaCoom is trying to look cool, and we're getting all dusty over here!\Our cleaning bill is going to be outrageous. response:	W- what kind of monster is he?
context: A- a Ki! H- he's alive! That guy is alive!\H- he couldn't be... N- no way...\Hi!\H- he's taken hardly any damage at all!\That's enough for the warm-up exercises.\ReaCoom is trying to look cool, and we're getting all dusty over here!\Our cleaning bill is going to be outrageous.\W- what kind of monster is he? response:	How is it that we have to get the Dragon Balls back from someone like this?
context: H- he couldn't be... N- no way...\Hi!\H- he's taken hardly any damage at all!\That's enough for the warm-up exercises.\ReaCoom is trying to look cool, and we're getting all dusty over here!\Our cleaning bill is going to be outrageous.\W- what kind of monster is he?\How is it that we have to get the Dragon Balls back from someone like this? response:	Whoops!
context: Hi!\H- he's taken hardly any damage at all!\That's enough for the warm-up exercises.\ReaCoom is trying to look cool, and we're getting all dusty over here!\Our cleaning bill is going to be outrageous.\W- what kind of monster is he?\How is it that we have to get the Dragon Balls back from someone like this?\Whoops! response:	That was close, that was close. I almost screwed up.
context: H- he's taken hardly any damage at all!\That's enough for the warm-up exercises.\ReaCoom is trying to look cool, and we're getting all dusty over here!\Our cleaning bill is going to be outrageous.\W- what kind of monster is he?\How is it that we have to get the Dragon Balls back from someone like this?\Whoops!\That was close, that was close. I almost screwed up. response:	I have to make sure to deliver these to Freeza- sama.
context: That's enough for the warm-up exercises.\ReaCoom is trying to look cool, and we're getting all dusty over here!\Our cleaning bill is going to be outrageous.\W- what kind of monster is he?\How is it that we have to get the Dragon Balls back from someone like this?\Whoops!\That was close, that was close. I almost screwed up.\I have to make sure to deliver these to Freeza- sama. response:	Planet Namek.
context: ReaCoom is trying to look cool, and we're getting all dusty over here!\Our cleaning bill is going to be outrageous.\W- what kind of monster is he?\How is it that we have to get the Dragon Balls back from someone like this?\Whoops!\That was close, that was close. I almost screwed up.\I have to make sure to deliver these to Freeza- sama.\Planet Namek. response:	Environment: moderate; culture level: low;
context: Our cleaning bill is going to be outrageous.\W- what kind of monster is he?\How is it that we have to get the Dragon Balls back from someone like this?\Whoops!\That was close, that was close. I almost screwed up.\I have to make sure to deliver these to Freeza- sama.\Planet Namek.\Environment: moderate; culture level: low; response:	practical resources: none;
context: W- what kind of monster is he?\How is it that we have to get the Dragon Balls back from someone like this?\Whoops!\That was close, that was close. I almost screwed up.\I have to make sure to deliver these to Freeza- sama.\Planet Namek.\Environment: moderate; culture level: low;\practical resources: none; response:	scouting industrial space, commercial space, and residential space.
context: How is it that we have to get the Dragon Balls back from someone like this?\Whoops!\That was close, that was close. I almost screwed up.\I have to make sure to deliver these to Freeza- sama.\Planet Namek.\Environment: moderate; culture level: low;\practical resources: none;\scouting industrial space, commercial space, and residential space. response:	Such a worthless planet, huh? Perhaps I will make it a planet for exiles.
context: Whoops!\That was close, that was close. I almost screwed up.\I have to make sure to deliver these to Freeza- sama.\Planet Namek.\Environment: moderate; culture level: low;\practical resources: none;\scouting industrial space, commercial space, and residential space.\Such a worthless planet, huh? Perhaps I will make it a planet for exiles. response:	There are any number of planets like this one in the universe.
context: That was close, that was close. I almost screwed up.\I have to make sure to deliver these to Freeza- sama.\Planet Namek.\Environment: moderate; culture level: low;\practical resources: none;\scouting industrial space, commercial space, and residential space.\Such a worthless planet, huh? Perhaps I will make it a planet for exiles.\There are any number of planets like this one in the universe. response:	I doubt there would be any value in going to the trouble of developing it.
context: I have to make sure to deliver these to Freeza- sama.\Planet Namek.\Environment: moderate; culture level: low;\practical resources: none;\scouting industrial space, commercial space, and residential space.\Such a worthless planet, huh? Perhaps I will make it a planet for exiles.\There are any number of planets like this one in the universe.\I doubt there would be any value in going to the trouble of developing it. response:	I will be acquiring the Dragon Balls shortly, so I will have no further business here.
context: Planet Namek.\Environment: moderate; culture level: low;\practical resources: none;\scouting industrial space, commercial space, and residential space.\Such a worthless planet, huh? Perhaps I will make it a planet for exiles.\There are any number of planets like this one in the universe.\I doubt there would be any value in going to the trouble of developing it.\I will be acquiring the Dragon Balls shortly, so I will have no further business here. response:	I know. As we are leaving, I will turn this planet into fireworks.
context: Environment: moderate; culture level: low;\practical resources: none;\scouting industrial space, commercial space, and residential space.\Such a worthless planet, huh? Perhaps I will make it a planet for exiles.\There are any number of planets like this one in the universe.\I doubt there would be any value in going to the trouble of developing it.\I will be acquiring the Dragon Balls shortly, so I will have no further business here.\I know. As we are leaving, I will turn this planet into fireworks. response:	F- fireworks?
context: practical resources: none;\scouting industrial space, commercial space, and residential space.\Such a worthless planet, huh? Perhaps I will make it a planet for exiles.\There are any number of planets like this one in the universe.\I doubt there would be any value in going to the trouble of developing it.\I will be acquiring the Dragon Balls shortly, so I will have no further business here.\I know. As we are leaving, I will turn this planet into fireworks.\F- fireworks? response:	Yes. To celebrate my eternal life.
context: scouting industrial space, commercial space, and residential space.\Such a worthless planet, huh? Perhaps I will make it a planet for exiles.\There are any number of planets like this one in the universe.\I doubt there would be any value in going to the trouble of developing it.\I will be acquiring the Dragon Balls shortly, so I will have no further business here.\I know. As we are leaving, I will turn this planet into fireworks.\F- fireworks?\Yes. To celebrate my eternal life. response:	A big, flashy boom.
context: Such a worthless planet, huh? Perhaps I will make it a planet for exiles.\There are any number of planets like this one in the universe.\I doubt there would be any value in going to the trouble of developing it.\I will be acquiring the Dragon Balls shortly, so I will have no further business here.\I know. As we are leaving, I will turn this planet into fireworks.\F- fireworks?\Yes. To celebrate my eternal life.\A big, flashy boom. response:	Are there any other planets we can sell for development at a high price?
context: There are any number of planets like this one in the universe.\I doubt there would be any value in going to the trouble of developing it.\I will be acquiring the Dragon Balls shortly, so I will have no further business here.\I know. As we are leaving, I will turn this planet into fireworks.\F- fireworks?\Yes. To celebrate my eternal life.\A big, flashy boom.\Are there any other planets we can sell for development at a high price? response:	Y- yes, sir, I will investigate at once.
context: I doubt there would be any value in going to the trouble of developing it.\I will be acquiring the Dragon Balls shortly, so I will have no further business here.\I know. As we are leaving, I will turn this planet into fireworks.\F- fireworks?\Yes. To celebrate my eternal life.\A big, flashy boom.\Are there any other planets we can sell for development at a high price?\Y- yes, sir, I will investigate at once. response:	Dragon Balls... how delightful...
context: I will be acquiring the Dragon Balls shortly, so I will have no further business here.\I know. As we are leaving, I will turn this planet into fireworks.\F- fireworks?\Yes. To celebrate my eternal life.\A big, flashy boom.\Are there any other planets we can sell for development at a high price?\Y- yes, sir, I will investigate at once.\Dragon Balls... how delightful... response:	Well, should we get started?
context: I know. As we are leaving, I will turn this planet into fireworks.\F- fireworks?\Yes. To celebrate my eternal life.\A big, flashy boom.\Are there any other planets we can sell for development at a high price?\Y- yes, sir, I will investigate at once.\Dragon Balls... how delightful...\Well, should we get started? response:	ReaCoom Kick!!
context: F- fireworks?\Yes. To celebrate my eternal life.\A big, flashy boom.\Are there any other planets we can sell for development at a high price?\Y- yes, sir, I will investigate at once.\Dragon Balls... how delightful...\Well, should we get started?\ReaCoom Kick!! response:	V- Vegeta- san!
context: Yes. To celebrate my eternal life.\A big, flashy boom.\Are there any other planets we can sell for development at a high price?\Y- yes, sir, I will investigate at once.\Dragon Balls... how delightful...\Well, should we get started?\ReaCoom Kick!!\V- Vegeta- san! response:	Good! That's pretty good, Vegeta- chan! You're better than I thought, huh?
context: A big, flashy boom.\Are there any other planets we can sell for development at a high price?\Y- yes, sir, I will investigate at once.\Dragon Balls... how delightful...\Well, should we get started?\ReaCoom Kick!!\V- Vegeta- san!\Good! That's pretty good, Vegeta- chan! You're better than I thought, huh? response:	ReaCoom Elbow!!
context: Are there any other planets we can sell for development at a high price?\Y- yes, sir, I will investigate at once.\Dragon Balls... how delightful...\Well, should we get started?\ReaCoom Kick!!\V- Vegeta- san!\Good! That's pretty good, Vegeta- chan! You're better than I thought, huh?\ReaCoom Elbow!! response:	He got him!
context: Y- yes, sir, I will investigate at once.\Dragon Balls... how delightful...\Well, should we get started?\ReaCoom Kick!!\V- Vegeta- san!\Good! That's pretty good, Vegeta- chan! You're better than I thought, huh?\ReaCoom Elbow!!\He got him! response:	Speed Up!!
context: Dragon Balls... how delightful...\Well, should we get started?\ReaCoom Kick!!\V- Vegeta- san!\Good! That's pretty good, Vegeta- chan! You're better than I thought, huh?\ReaCoom Elbow!!\He got him!\Speed Up!! response:	Yoo-hoo!
context: Well, should we get started?\ReaCoom Kick!!\V- Vegeta- san!\Good! That's pretty good, Vegeta- chan! You're better than I thought, huh?\ReaCoom Elbow!!\He got him!\Speed Up!!\Yoo-hoo! response:	Way to go, ReaCoom!
context: ReaCoom Kick!!\V- Vegeta- san!\Good! That's pretty good, Vegeta- chan! You're better than I thought, huh?\ReaCoom Elbow!!\He got him!\Speed Up!!\Yoo-hoo!\Way to go, ReaCoom! response:	Whoo! Whoo!
context: V- Vegeta- san!\Good! That's pretty good, Vegeta- chan! You're better than I thought, huh?\ReaCoom Elbow!!\He got him!\Speed Up!!\Yoo-hoo!\Way to go, ReaCoom!\Whoo! Whoo! response:	Thanks, guys!
context: Good! That's pretty good, Vegeta- chan! You're better than I thought, huh?\ReaCoom Elbow!!\He got him!\Speed Up!!\Yoo-hoo!\Way to go, ReaCoom!\Whoo! Whoo!\Thanks, guys! response:	V- Vegeta- san...
context: ReaCoom Elbow!!\He got him!\Speed Up!!\Yoo-hoo!\Way to go, ReaCoom!\Whoo! Whoo!\Thanks, guys!\V- Vegeta- san... response:	What's the matter, Vegeta- chan?
context: He got him!\Speed Up!!\Yoo-hoo!\Way to go, ReaCoom!\Whoo! Whoo!\Thanks, guys!\V- Vegeta- san...\What's the matter, Vegeta- chan? response:	You can't possibly be finished after that, right?
context: Speed Up!!\Yoo-hoo!\Way to go, ReaCoom!\Whoo! Whoo!\Thanks, guys!\V- Vegeta- san...\What's the matter, Vegeta- chan?\You can't possibly be finished after that, right? response:	You're still pretty spirited, huh? Good for you!
context: Yoo-hoo!\Way to go, ReaCoom!\Whoo! Whoo!\Thanks, guys!\V- Vegeta- san...\What's the matter, Vegeta- chan?\You can't possibly be finished after that, right?\You're still pretty spirited, huh? Good for you! response:	Hey, now, are you okay?
context: Way to go, ReaCoom!\Whoo! Whoo!\Thanks, guys!\V- Vegeta- san...\What's the matter, Vegeta- chan?\You can't possibly be finished after that, right?\You're still pretty spirited, huh? Good for you!\Hey, now, are you okay? response:	Don't tell me you've kicked the bucket already, have you?
context: Whoo! Whoo!\Thanks, guys!\V- Vegeta- san...\What's the matter, Vegeta- chan?\You can't possibly be finished after that, right?\You're still pretty spirited, huh? Good for you!\Hey, now, are you okay?\Don't tell me you've kicked the bucket already, have you? response:	D- did he get him?
context: Thanks, guys!\V- Vegeta- san...\What's the matter, Vegeta- chan?\You can't possibly be finished after that, right?\You're still pretty spirited, huh? Good for you!\Hey, now, are you okay?\Don't tell me you've kicked the bucket already, have you?\D- did he get him? response:	Okay...
context: V- Vegeta- san...\What's the matter, Vegeta- chan?\You can't possibly be finished after that, right?\You're still pretty spirited, huh? Good for you!\Hey, now, are you okay?\Don't tell me you've kicked the bucket already, have you?\D- did he get him?\Okay... response:	Nice, nice, that's more like it.
context: What's the matter, Vegeta- chan?\You can't possibly be finished after that, right?\You're still pretty spirited, huh? Good for you!\Hey, now, are you okay?\Don't tell me you've kicked the bucket already, have you?\D- did he get him?\Okay...\Nice, nice, that's more like it. response:	There's the reason why Freeza- sama adored you so much, long ago, huh?
context: You can't possibly be finished after that, right?\You're still pretty spirited, huh? Good for you!\Hey, now, are you okay?\Don't tell me you've kicked the bucket already, have you?\D- did he get him?\Okay...\Nice, nice, that's more like it.\There's the reason why Freeza- sama adored you so much, long ago, huh? response:	But why would you turn your back on him, Vegeta- chan?
context: You're still pretty spirited, huh? Good for you!\Hey, now, are you okay?\Don't tell me you've kicked the bucket already, have you?\D- did he get him?\Okay...\Nice, nice, that's more like it.\There's the reason why Freeza- sama adored you so much, long ago, huh?\But why would you turn your back on him, Vegeta- chan? response:	ReaCoom is the same as ever, huh?
context: Hey, now, are you okay?\Don't tell me you've kicked the bucket already, have you?\D- did he get him?\Okay...\Nice, nice, that's more like it.\There's the reason why Freeza- sama adored you so much, long ago, huh?\But why would you turn your back on him, Vegeta- chan?\ReaCoom is the same as ever, huh? response:	He's got a nasty personality.
context: Don't tell me you've kicked the bucket already, have you?\D- did he get him?\Okay...\Nice, nice, that's more like it.\There's the reason why Freeza- sama adored you so much, long ago, huh?\But why would you turn your back on him, Vegeta- chan?\ReaCoom is the same as ever, huh?\He's got a nasty personality. response:	What a freak!
context: D- did he get him?\Okay...\Nice, nice, that's more like it.\There's the reason why Freeza- sama adored you so much, long ago, huh?\But why would you turn your back on him, Vegeta- chan?\ReaCoom is the same as ever, huh?\He's got a nasty personality.\What a freak! response:	Don't you have any techniques with more panache than that?
context: Okay...\Nice, nice, that's more like it.\There's the reason why Freeza- sama adored you so much, long ago, huh?\But why would you turn your back on him, Vegeta- chan?\ReaCoom is the same as ever, huh?\He's got a nasty personality.\What a freak!\Don't you have any techniques with more panache than that? response:	If not, then it's about time I killed you. Is that okay?
context: Nice, nice, that's more like it.\There's the reason why Freeza- sama adored you so much, long ago, huh?\But why would you turn your back on him, Vegeta- chan?\ReaCoom is the same as ever, huh?\He's got a nasty personality.\What a freak!\Don't you have any techniques with more panache than that?\If not, then it's about time I killed you. Is that okay? response:	Y - you monster! Damn it... To think he'd be this strong...
context: There's the reason why Freeza- sama adored you so much, long ago, huh?\But why would you turn your back on him, Vegeta- chan?\ReaCoom is the same as ever, huh?\He's got a nasty personality.\What a freak!\Don't you have any techniques with more panache than that?\If not, then it's about time I killed you. Is that okay?\Y - you monster! Damn it... To think he'd be this strong... response:	lt's almost as though he's treating me like a toddler...
context: But why would you turn your back on him, Vegeta- chan?\ReaCoom is the same as ever, huh?\He's got a nasty personality.\What a freak!\Don't you have any techniques with more panache than that?\If not, then it's about time I killed you. Is that okay?\Y - you monster! Damn it... To think he'd be this strong...\lt's almost as though he's treating me like a toddler... response:	lf it keeps going like this, l'm going to get killed by him...
context: ReaCoom is the same as ever, huh?\He's got a nasty personality.\What a freak!\Don't you have any techniques with more panache than that?\If not, then it's about time I killed you. Is that okay?\Y - you monster! Damn it... To think he'd be this strong...\lt's almost as though he's treating me like a toddler...\lf it keeps going like this, l'm going to get killed by him... response:	G- Gohan...
context: He's got a nasty personality.\What a freak!\Don't you have any techniques with more panache than that?\If not, then it's about time I killed you. Is that okay?\Y - you monster! Damn it... To think he'd be this strong...\lt's almost as though he's treating me like a toddler...\lf it keeps going like this, l'm going to get killed by him...\G- Gohan... response:	Yes?
context: What a freak!\Don't you have any techniques with more panache than that?\If not, then it's about time I killed you. Is that okay?\Y - you monster! Damn it... To think he'd be this strong...\lt's almost as though he's treating me like a toddler...\lf it keeps going like this, l'm going to get killed by him...\G- Gohan...\Yes? response:	I- if Vegeta gets done in, then it will be our turn to get killed next.
context: Don't you have any techniques with more panache than that?\If not, then it's about time I killed you. Is that okay?\Y - you monster! Damn it... To think he'd be this strong...\lt's almost as though he's treating me like a toddler...\lf it keeps going like this, l'm going to get killed by him...\G- Gohan...\Yes?\I- if Vegeta gets done in, then it will be our turn to get killed next. response:	M- make no mistake, there's no way we can beat him.
context: If not, then it's about time I killed you. Is that okay?\Y - you monster! Damn it... To think he'd be this strong...\lt's almost as though he's treating me like a toddler...\lf it keeps going like this, l'm going to get killed by him...\G- Gohan...\Yes?\I- if Vegeta gets done in, then it will be our turn to get killed next.\M- make no mistake, there's no way we can beat him. response:	I'm sure that not even Goku could.
context: Y - you monster! Damn it... To think he'd be this strong...\lt's almost as though he's treating me like a toddler...\lf it keeps going like this, l'm going to get killed by him...\G- Gohan...\Yes?\I- if Vegeta gets done in, then it will be our turn to get killed next.\M- make no mistake, there's no way we can beat him.\I'm sure that not even Goku could. response:	At this point, it's all or nothing. Let's charge him!
context: lt's almost as though he's treating me like a toddler...\lf it keeps going like this, l'm going to get killed by him...\G- Gohan...\Yes?\I- if Vegeta gets done in, then it will be our turn to get killed next.\M- make no mistake, there's no way we can beat him.\I'm sure that not even Goku could.\At this point, it's all or nothing. Let's charge him! response:	Right!
context: lf it keeps going like this, l'm going to get killed by him...\G- Gohan...\Yes?\I- if Vegeta gets done in, then it will be our turn to get killed next.\M- make no mistake, there's no way we can beat him.\I'm sure that not even Goku could.\At this point, it's all or nothing. Let's charge him!\Right! response:	All righty...
context: G- Gohan...\Yes?\I- if Vegeta gets done in, then it will be our turn to get killed next.\M- make no mistake, there's no way we can beat him.\I'm sure that not even Goku could.\At this point, it's all or nothing. Let's charge him!\Right!\All righty... response:	Your life is mine!
context: Yes?\I- if Vegeta gets done in, then it will be our turn to get killed next.\M- make no mistake, there's no way we can beat him.\I'm sure that not even Goku could.\At this point, it's all or nothing. Let's charge him!\Right!\All righty...\Your life is mine! response:	There it is! ReaCoom's 18th final pose.
context: I- if Vegeta gets done in, then it will be our turn to get killed next.\M- make no mistake, there's no way we can beat him.\I'm sure that not even Goku could.\At this point, it's all or nothing. Let's charge him!\Right!\All righty...\Your life is mine!\There it is! ReaCoom's 18th final pose. response:	Poor Vegeta- chan. The life of a flower is so short, huh?
context: M- make no mistake, there's no way we can beat him.\I'm sure that not even Goku could.\At this point, it's all or nothing. Let's charge him!\Right!\All righty...\Your life is mine!\There it is! ReaCoom's 18th final pose.\Poor Vegeta- chan. The life of a flower is so short, huh? response:	Okay, I'll finish you with this.
context: I'm sure that not even Goku could.\At this point, it's all or nothing. Let's charge him!\Right!\All righty...\Your life is mine!\There it is! ReaCoom's 18th final pose.\Poor Vegeta- chan. The life of a flower is so short, huh?\Okay, I'll finish you with this. response:	All right... let's go, Gohan!
context: At this point, it's all or nothing. Let's charge him!\Right!\All righty...\Your life is mine!\There it is! ReaCoom's 18th final pose.\Poor Vegeta- chan. The life of a flower is so short, huh?\Okay, I'll finish you with this.\All right... let's go, Gohan! response:	Vegeta doesn't have the strength left to avoid ReaCoom's quick attacks.
context: Right!\All righty...\Your life is mine!\There it is! ReaCoom's 18th final pose.\Poor Vegeta- chan. The life of a flower is so short, huh?\Okay, I'll finish you with this.\All right... let's go, Gohan!\Vegeta doesn't have the strength left to avoid ReaCoom's quick attacks. response:	Right!
context: All righty...\Your life is mine!\There it is! ReaCoom's 18th final pose.\Poor Vegeta- chan. The life of a flower is so short, huh?\Okay, I'll finish you with this.\All right... let's go, Gohan!\Vegeta doesn't have the strength left to avoid ReaCoom's quick attacks.\Right! response:	ReaCoom...
context: Your life is mine!\There it is! ReaCoom's 18th final pose.\Poor Vegeta- chan. The life of a flower is so short, huh?\Okay, I'll finish you with this.\All right... let's go, Gohan!\Vegeta doesn't have the strength left to avoid ReaCoom's quick attacks.\Right!\ReaCoom... response:	Vegeta- san!
context: There it is! ReaCoom's 18th final pose.\Poor Vegeta- chan. The life of a flower is so short, huh?\Okay, I'll finish you with this.\All right... let's go, Gohan!\Vegeta doesn't have the strength left to avoid ReaCoom's quick attacks.\Right!\ReaCoom...\Vegeta- san! response:	Move! You're in my way! W- who asked you to do that!?
context: Poor Vegeta- chan. The life of a flower is so short, huh?\Okay, I'll finish you with this.\All right... let's go, Gohan!\Vegeta doesn't have the strength left to avoid ReaCoom's quick attacks.\Right!\ReaCoom...\Vegeta- san!\Move! You're in my way! W- who asked you to do that!? response:	Y- you idiot! If you had time to rescue me, why didn't you attack ReaCoom!?
context: Okay, I'll finish you with this.\All right... let's go, Gohan!\Vegeta doesn't have the strength left to avoid ReaCoom's quick attacks.\Right!\ReaCoom...\Vegeta- san!\Move! You're in my way! W- who asked you to do that!?\Y- you idiot! If you had time to rescue me, why didn't you attack ReaCoom!? response:	For crying out loud, your softness makes me want to vomit!
context: All right... let's go, Gohan!\Vegeta doesn't have the strength left to avoid ReaCoom's quick attacks.\Right!\ReaCoom...\Vegeta- san!\Move! You're in my way! W- who asked you to do that!?\Y- you idiot! If you had time to rescue me, why didn't you attack ReaCoom!?\For crying out loud, your softness makes me want to vomit! response:	The ground's surface has been blown away, and the planet's shape has changed...
context: Vegeta doesn't have the strength left to avoid ReaCoom's quick attacks.\Right!\ReaCoom...\Vegeta- san!\Move! You're in my way! W- who asked you to do that!?\Y- you idiot! If you had time to rescue me, why didn't you attack ReaCoom!?\For crying out loud, your softness makes me want to vomit!\The ground's surface has been blown away, and the planet's shape has changed... response:	What a terrifying beast!
context: Right!\ReaCoom...\Vegeta- san!\Move! You're in my way! W- who asked you to do that!?\Y- you idiot! If you had time to rescue me, why didn't you attack ReaCoom!?\For crying out loud, your softness makes me want to vomit!\The ground's surface has been blown away, and the planet's shape has changed...\What a terrifying beast! response:	That sneak attack just now was a pretty good one.
context: ReaCoom...\Vegeta- san!\Move! You're in my way! W- who asked you to do that!?\Y- you idiot! If you had time to rescue me, why didn't you attack ReaCoom!?\For crying out loud, your softness makes me want to vomit!\The ground's surface has been blown away, and the planet's shape has changed...\What a terrifying beast!\That sneak attack just now was a pretty good one. response:	Coming down from directly above shut my mouth.
context: Vegeta- san!\Move! You're in my way! W- who asked you to do that!?\Y- you idiot! If you had time to rescue me, why didn't you attack ReaCoom!?\For crying out loud, your softness makes me want to vomit!\The ground's surface has been blown away, and the planet's shape has changed...\What a terrifying beast!\That sneak attack just now was a pretty good one.\Coming down from directly above shut my mouth. response:	As a result, my teeth are messed up. I think I might be a little bit mad.
context: Move! You're in my way! W- who asked you to do that!?\Y- you idiot! If you had time to rescue me, why didn't you attack ReaCoom!?\For crying out loud, your softness makes me want to vomit!\The ground's surface has been blown away, and the planet's shape has changed...\What a terrifying beast!\That sneak attack just now was a pretty good one.\Coming down from directly above shut my mouth.\As a result, my teeth are messed up. I think I might be a little bit mad. response:	Hey, Butta, Jheese!
context: Y- you idiot! If you had time to rescue me, why didn't you attack ReaCoom!?\For crying out loud, your softness makes me want to vomit!\The ground's surface has been blown away, and the planet's shape has changed...\What a terrifying beast!\That sneak attack just now was a pretty good one.\Coming down from directly above shut my mouth.\As a result, my teeth are messed up. I think I might be a little bit mad.\Hey, Butta, Jheese! response:	Let me take out these two little squirts, too!
