context: You look great, Honoka-chan. response:	Thank you. And so do you, Subaru-san.
context: And the special rules heat things up even more.\There's a prize for each race.\The team with the winner will receive these prizes.\Besides, the obstacle course from the morning races comes with a special prize.\No way!!\Give it up, Hanazono Sakura! You've been chosen by the school survey as the No. 1 girl we want to be kissed by.\I don't want to do this.\Sakura! response:	I'm sorry. It's my fault. I thought I had banned this reward.
context: There's a prize for each race.\The team with the winner will receive these prizes.\Besides, the obstacle course from the morning races comes with a special prize.\No way!!\Give it up, Hanazono Sakura! You've been chosen by the school survey as the No. 1 girl we want to be kissed by.\I don't want to do this.\Sakura!\I'm sorry. It's my fault. I thought I had banned this reward. response:	But after it's been officially announced to everyone...
context: The team with the winner will receive these prizes.\Besides, the obstacle course from the morning races comes with a special prize.\No way!!\Give it up, Hanazono Sakura! You've been chosen by the school survey as the No. 1 girl we want to be kissed by.\I don't want to do this.\Sakura!\I'm sorry. It's my fault. I thought I had banned this reward.\But after it's been officially announced to everyone... response:	Hanazono Sakura's kiss!
context: Besides, the obstacle course from the morning races comes with a special prize.\No way!!\Give it up, Hanazono Sakura! You've been chosen by the school survey as the No. 1 girl we want to be kissed by.\I don't want to do this.\Sakura!\I'm sorry. It's my fault. I thought I had banned this reward.\But after it's been officially announced to everyone...\Hanazono Sakura's kiss! response:	I, Goda, will definitely make it mine.
context: No way!!\Give it up, Hanazono Sakura! You've been chosen by the school survey as the No. 1 girl we want to be kissed by.\I don't want to do this.\Sakura!\I'm sorry. It's my fault. I thought I had banned this reward.\But after it's been officially announced to everyone...\Hanazono Sakura's kiss!\I, Goda, will definitely make it mine. response:	Misaki...
context: Give it up, Hanazono Sakura! You've been chosen by the school survey as the No. 1 girl we want to be kissed by.\I don't want to do this.\Sakura!\I'm sorry. It's my fault. I thought I had banned this reward.\But after it's been officially announced to everyone...\Hanazono Sakura's kiss!\I, Goda, will definitely make it mine.\Misaki... response:	This is too unfair.
context: I don't want to do this.\Sakura!\I'm sorry. It's my fault. I thought I had banned this reward.\But after it's been officially announced to everyone...\Hanazono Sakura's kiss!\I, Goda, will definitely make it mine.\Misaki...\This is too unfair. response:	Don't worry.
context: Sakura!\I'm sorry. It's my fault. I thought I had banned this reward.\But after it's been officially announced to everyone...\Hanazono Sakura's kiss!\I, Goda, will definitely make it mine.\Misaki...\This is too unfair.\Don't worry. response:	I will protect you.
context: I'm sorry. It's my fault. I thought I had banned this reward.\But after it's been officially announced to everyone...\Hanazono Sakura's kiss!\I, Goda, will definitely make it mine.\Misaki...\This is too unfair.\Don't worry.\I will protect you. response:	Anyone who goes near Sakura,
context: But after it's been officially announced to everyone...\Hanazono Sakura's kiss!\I, Goda, will definitely make it mine.\Misaki...\This is too unfair.\Don't worry.\I will protect you.\Anyone who goes near Sakura, response:	I will murder them one by one.
context: Hanazono Sakura's kiss!\I, Goda, will definitely make it mine.\Misaki...\This is too unfair.\Don't worry.\I will protect you.\Anyone who goes near Sakura,\I will murder them one by one. response:	Retreat!
context: I, Goda, will definitely make it mine.\Misaki...\This is too unfair.\Don't worry.\I will protect you.\Anyone who goes near Sakura,\I will murder them one by one.\Retreat! response:	I'm not going to lose, either!
context: Misaki...\This is too unfair.\Don't worry.\I will protect you.\Anyone who goes near Sakura,\I will murder them one by one.\Retreat!\I'm not going to lose, either! response:	Looks like this year will be more exciting than usual.
context: This is too unfair.\Don't worry.\I will protect you.\Anyone who goes near Sakura,\I will murder them one by one.\Retreat!\I'm not going to lose, either!\Looks like this year will be more exciting than usual. response:	I was absent last year.
context: Don't worry.\I will protect you.\Anyone who goes near Sakura,\I will murder them one by one.\Retreat!\I'm not going to lose, either!\Looks like this year will be more exciting than usual.\I was absent last year. response:	This is my first sports festival, so I'm really looking forward to it.
context: I will protect you.\Anyone who goes near Sakura,\I will murder them one by one.\Retreat!\I'm not going to lose, either!\Looks like this year will be more exciting than usual.\I was absent last year.\This is my first sports festival, so I'm really looking forward to it. response:	Usui-san!
context: Anyone who goes near Sakura,\I will murder them one by one.\Retreat!\I'm not going to lose, either!\Looks like this year will be more exciting than usual.\I was absent last year.\This is my first sports festival, so I'm really looking forward to it.\Usui-san! response:	Why won't you run the 1000m for the class?
context: I will murder them one by one.\Retreat!\I'm not going to lose, either!\Looks like this year will be more exciting than usual.\I was absent last year.\This is my first sports festival, so I'm really looking forward to it.\Usui-san!\Why won't you run the 1000m for the class? response:	It's the Extra Serving Fried Pork Cutlet Curry just for you for 3 months, and it's limited to 30 per day!
context: Retreat!\I'm not going to lose, either!\Looks like this year will be more exciting than usual.\I was absent last year.\This is my first sports festival, so I'm really looking forward to it.\Usui-san!\Why won't you run the 1000m for the class?\It's the Extra Serving Fried Pork Cutlet Curry just for you for 3 months, and it's limited to 30 per day! response:	I'm not running.
context: I'm not going to lose, either!\Looks like this year will be more exciting than usual.\I was absent last year.\This is my first sports festival, so I'm really looking forward to it.\Usui-san!\Why won't you run the 1000m for the class?\It's the Extra Serving Fried Pork Cutlet Curry just for you for 3 months, and it's limited to 30 per day!\I'm not running. response:	Boo.
context: Looks like this year will be more exciting than usual.\I was absent last year.\This is my first sports festival, so I'm really looking forward to it.\Usui-san!\Why won't you run the 1000m for the class?\It's the Extra Serving Fried Pork Cutlet Curry just for you for 3 months, and it's limited to 30 per day!\I'm not running.\Boo. response:	Yeah, he only watched last year, too.
context: I was absent last year.\This is my first sports festival, so I'm really looking forward to it.\Usui-san!\Why won't you run the 1000m for the class?\It's the Extra Serving Fried Pork Cutlet Curry just for you for 3 months, and it's limited to 30 per day!\I'm not running.\Boo.\Yeah, he only watched last year, too. response:	Let's give up and try the best with just us.
context: This is my first sports festival, so I'm really looking forward to it.\Usui-san!\Why won't you run the 1000m for the class?\It's the Extra Serving Fried Pork Cutlet Curry just for you for 3 months, and it's limited to 30 per day!\I'm not running.\Boo.\Yeah, he only watched last year, too.\Let's give up and try the best with just us. response:	It has finally started, the Seika Sports Day!
context: Usui-san!\Why won't you run the 1000m for the class?\It's the Extra Serving Fried Pork Cutlet Curry just for you for 3 months, and it's limited to 30 per day!\I'm not running.\Boo.\Yeah, he only watched last year, too.\Let's give up and try the best with just us.\It has finally started, the Seika Sports Day! response:	Your announcer of the day will be Hagimoto, the broadcasting rep!
context: Why won't you run the 1000m for the class?\It's the Extra Serving Fried Pork Cutlet Curry just for you for 3 months, and it's limited to 30 per day!\I'm not running.\Boo.\Yeah, he only watched last year, too.\Let's give up and try the best with just us.\It has finally started, the Seika Sports Day!\Your announcer of the day will be Hagimoto, the broadcasting rep! response:	Which class will be the winner?
context: It's the Extra Serving Fried Pork Cutlet Curry just for you for 3 months, and it's limited to 30 per day!\I'm not running.\Boo.\Yeah, he only watched last year, too.\Let's give up and try the best with just us.\It has finally started, the Seika Sports Day!\Your announcer of the day will be Hagimoto, the broadcasting rep!\Which class will be the winner? response:	Or will it be the girls' team?
context: I'm not running.\Boo.\Yeah, he only watched last year, too.\Let's give up and try the best with just us.\It has finally started, the Seika Sports Day!\Your announcer of the day will be Hagimoto, the broadcasting rep!\Which class will be the winner?\Or will it be the girls' team? response:	The first race is the popular 100m dash!
context: Boo.\Yeah, he only watched last year, too.\Let's give up and try the best with just us.\It has finally started, the Seika Sports Day!\Your announcer of the day will be Hagimoto, the broadcasting rep!\Which class will be the winner?\Or will it be the girls' team?\The first race is the popular 100m dash! response:	Will she be the winner?
context: Yeah, he only watched last year, too.\Let's give up and try the best with just us.\It has finally started, the Seika Sports Day!\Your announcer of the day will be Hagimoto, the broadcasting rep!\Which class will be the winner?\Or will it be the girls' team?\The first race is the popular 100m dash!\Will she be the winner? response:	Girls' team's President Ayuzawa is on fire.
context: Let's give up and try the best with just us.\It has finally started, the Seika Sports Day!\Your announcer of the day will be Hagimoto, the broadcasting rep!\Which class will be the winner?\Or will it be the girls' team?\The first race is the popular 100m dash!\Will she be the winner?\Girls' team's President Ayuzawa is on fire. response:	Misaki, good luck!
context: It has finally started, the Seika Sports Day!\Your announcer of the day will be Hagimoto, the broadcasting rep!\Which class will be the winner?\Or will it be the girls' team?\The first race is the popular 100m dash!\Will she be the winner?\Girls' team's President Ayuzawa is on fire.\Misaki, good luck! response:	The runners are gathering up to the starting line.
context: Your announcer of the day will be Hagimoto, the broadcasting rep!\Which class will be the winner?\Or will it be the girls' team?\The first race is the popular 100m dash!\Will she be the winner?\Girls' team's President Ayuzawa is on fire.\Misaki, good luck!\The runners are gathering up to the starting line. response:	Who will be getting the right to play any music you like for a month during the lunch hour?
context: Which class will be the winner?\Or will it be the girls' team?\The first race is the popular 100m dash!\Will she be the winner?\Girls' team's President Ayuzawa is on fire.\Misaki, good luck!\The runners are gathering up to the starting line.\Who will be getting the right to play any music you like for a month during the lunch hour? response:	I'm going to come in first and blast death metal throughout the school.
context: Or will it be the girls' team?\The first race is the popular 100m dash!\Will she be the winner?\Girls' team's President Ayuzawa is on fire.\Misaki, good luck!\The runners are gathering up to the starting line.\Who will be getting the right to play any music you like for a month during the lunch hour?\I'm going to come in first and blast death metal throughout the school. response:	What happened to 2-6?
context: The first race is the popular 100m dash!\Will she be the winner?\Girls' team's President Ayuzawa is on fire.\Misaki, good luck!\The runners are gathering up to the starting line.\Who will be getting the right to play any music you like for a month during the lunch hour?\I'm going to come in first and blast death metal throughout the school.\What happened to 2-6? response:	He's frozen at the start line.
context: Will she be the winner?\Girls' team's President Ayuzawa is on fire.\Misaki, good luck!\The runners are gathering up to the starting line.\Who will be getting the right to play any music you like for a month during the lunch hour?\I'm going to come in first and blast death metal throughout the school.\What happened to 2-6?\He's frozen at the start line. response:	So President Ayuzawa really is the fastes-oh!
context: Girls' team's President Ayuzawa is on fire.\Misaki, good luck!\The runners are gathering up to the starting line.\Who will be getting the right to play any music you like for a month during the lunch hour?\I'm going to come in first and blast death metal throughout the school.\What happened to 2-6?\He's frozen at the start line.\So President Ayuzawa really is the fastes-oh! response:	A monster...
context: Misaki, good luck!\The runners are gathering up to the starting line.\Who will be getting the right to play any music you like for a month during the lunch hour?\I'm going to come in first and blast death metal throughout the school.\What happened to 2-6?\He's frozen at the start line.\So President Ayuzawa really is the fastes-oh!\A monster... response:	She's a monster...
context: The runners are gathering up to the starting line.\Who will be getting the right to play any music you like for a month during the lunch hour?\I'm going to come in first and blast death metal throughout the school.\What happened to 2-6?\He's frozen at the start line.\So President Ayuzawa really is the fastes-oh!\A monster...\She's a monster... response:	Goal!
context: Who will be getting the right to play any music you like for a month during the lunch hour?\I'm going to come in first and blast death metal throughout the school.\What happened to 2-6?\He's frozen at the start line.\So President Ayuzawa really is the fastes-oh!\A monster...\She's a monster...\Goal! response:	Misaki, you're so cool!
context: I'm going to come in first and blast death metal throughout the school.\What happened to 2-6?\He's frozen at the start line.\So President Ayuzawa really is the fastes-oh!\A monster...\She's a monster...\Goal!\Misaki, you're so cool! response:	You're amazing, Ayuzawa-san.
context: What happened to 2-6?\He's frozen at the start line.\So President Ayuzawa really is the fastes-oh!\A monster...\She's a monster...\Goal!\Misaki, you're so cool!\You're amazing, Ayuzawa-san. response:	The peace during the lunch hour is preserved.
context: He's frozen at the start line.\So President Ayuzawa really is the fastes-oh!\A monster...\She's a monster...\Goal!\Misaki, you're so cool!\You're amazing, Ayuzawa-san.\The peace during the lunch hour is preserved. response:	We thought something like this would happen...
context: So President Ayuzawa really is the fastes-oh!\A monster...\She's a monster...\Goal!\Misaki, you're so cool!\You're amazing, Ayuzawa-san.\The peace during the lunch hour is preserved.\We thought something like this would happen... response:	But who thought she would be so serious about it.
context: A monster...\She's a monster...\Goal!\Misaki, you're so cool!\You're amazing, Ayuzawa-san.\The peace during the lunch hour is preserved.\We thought something like this would happen...\But who thought she would be so serious about it. response:	No fret. There are still plenty of prizes left.
context: She's a monster...\Goal!\Misaki, you're so cool!\You're amazing, Ayuzawa-san.\The peace during the lunch hour is preserved.\We thought something like this would happen...\But who thought she would be so serious about it.\No fret. There are still plenty of prizes left. response:	200m dash, first place, girls' team!
context: Goal!\Misaki, you're so cool!\You're amazing, Ayuzawa-san.\The peace during the lunch hour is preserved.\We thought something like this would happen...\But who thought she would be so serious about it.\No fret. There are still plenty of prizes left.\200m dash, first place, girls' team! response:	What?!
context: Misaki, you're so cool!\You're amazing, Ayuzawa-san.\The peace during the lunch hour is preserved.\We thought something like this would happen...\But who thought she would be so serious about it.\No fret. There are still plenty of prizes left.\200m dash, first place, girls' team!\What?! response:	400m dash, first place, girl's team!
context: You're amazing, Ayuzawa-san.\The peace during the lunch hour is preserved.\We thought something like this would happen...\But who thought she would be so serious about it.\No fret. There are still plenty of prizes left.\200m dash, first place, girls' team!\What?!\400m dash, first place, girl's team! response:	Girls' team comes in first for the 1500m run, too!
context: The peace during the lunch hour is preserved.\We thought something like this would happen...\But who thought she would be so serious about it.\No fret. There are still plenty of prizes left.\200m dash, first place, girls' team!\What?!\400m dash, first place, girl's team!\Girls' team comes in first for the 1500m run, too! response:	We can't accept this!
context: We thought something like this would happen...\But who thought she would be so serious about it.\No fret. There are still plenty of prizes left.\200m dash, first place, girls' team!\What?!\400m dash, first place, girl's team!\Girls' team comes in first for the 1500m run, too!\We can't accept this! response:	Forbid them from letting one person do everything!
context: But who thought she would be so serious about it.\No fret. There are still plenty of prizes left.\200m dash, first place, girls' team!\What?!\400m dash, first place, girl's team!\Girls' team comes in first for the 1500m run, too!\We can't accept this!\Forbid them from letting one person do everything! response:	But there is no rule that says repetitive entry is not allowed.
context: No fret. There are still plenty of prizes left.\200m dash, first place, girls' team!\What?!\400m dash, first place, girl's team!\Girls' team comes in first for the 1500m run, too!\We can't accept this!\Forbid them from letting one person do everything!\But there is no rule that says repetitive entry is not allowed. response:	Even then, this is unfair!
context: 200m dash, first place, girls' team!\What?!\400m dash, first place, girl's team!\Girls' team comes in first for the 1500m run, too!\We can't accept this!\Forbid them from letting one person do everything!\But there is no rule that says repetitive entry is not allowed.\Even then, this is unfair! response:	Unfair?
context: What?!\400m dash, first place, girl's team!\Girls' team comes in first for the 1500m run, too!\We can't accept this!\Forbid them from letting one person do everything!\But there is no rule that says repetitive entry is not allowed.\Even then, this is unfair!\Unfair? response:	What a funny thing to say.
context: 400m dash, first place, girl's team!\Girls' team comes in first for the 1500m run, too!\We can't accept this!\Forbid them from letting one person do everything!\But there is no rule that says repetitive entry is not allowed.\Even then, this is unfair!\Unfair?\What a funny thing to say. response:	I'm fighting with everything I've got!
context: Girls' team comes in first for the 1500m run, too!\We can't accept this!\Forbid them from letting one person do everything!\But there is no rule that says repetitive entry is not allowed.\Even then, this is unfair!\Unfair?\What a funny thing to say.\I'm fighting with everything I've got! response:	Misaki, are you alright?
context: We can't accept this!\Forbid them from letting one person do everything!\But there is no rule that says repetitive entry is not allowed.\Even then, this is unfair!\Unfair?\What a funny thing to say.\I'm fighting with everything I've got!\Misaki, are you alright? response:	Here, have some oxygen.
context: Forbid them from letting one person do everything!\But there is no rule that says repetitive entry is not allowed.\Even then, this is unfair!\Unfair?\What a funny thing to say.\I'm fighting with everything I've got!\Misaki, are you alright?\Here, have some oxygen. response:	Participants in the Cavalry, please gather up.
context: But there is no rule that says repetitive entry is not allowed.\Even then, this is unfair!\Unfair?\What a funny thing to say.\I'm fighting with everything I've got!\Misaki, are you alright?\Here, have some oxygen.\Participants in the Cavalry, please gather up. response:	The Cavalry's next.
context: Even then, this is unfair!\Unfair?\What a funny thing to say.\I'm fighting with everything I've got!\Misaki, are you alright?\Here, have some oxygen.\Participants in the Cavalry, please gather up.\The Cavalry's next. response:	You'll get to rest, Misaki.
context: Unfair?\What a funny thing to say.\I'm fighting with everything I've got!\Misaki, are you alright?\Here, have some oxygen.\Participants in the Cavalry, please gather up.\The Cavalry's next.\You'll get to rest, Misaki. response:	Yeah, this isn't something anyone can do alone.
context: What a funny thing to say.\I'm fighting with everything I've got!\Misaki, are you alright?\Here, have some oxygen.\Participants in the Cavalry, please gather up.\The Cavalry's next.\You'll get to rest, Misaki.\Yeah, this isn't something anyone can do alone. response:	You don't have to compete in it, Misaki.
context: I'm fighting with everything I've got!\Misaki, are you alright?\Here, have some oxygen.\Participants in the Cavalry, please gather up.\The Cavalry's next.\You'll get to rest, Misaki.\Yeah, this isn't something anyone can do alone.\You don't have to compete in it, Misaki. response:	The girls' team has a handicap, and we get points even if we don't participate in it.
context: Misaki, are you alright?\Here, have some oxygen.\Participants in the Cavalry, please gather up.\The Cavalry's next.\You'll get to rest, Misaki.\Yeah, this isn't something anyone can do alone.\You don't have to compete in it, Misaki.\The girls' team has a handicap, and we get points even if we don't participate in it. response:	Even if we get the point, we can't get the first place prize.
context: Here, have some oxygen.\Participants in the Cavalry, please gather up.\The Cavalry's next.\You'll get to rest, Misaki.\Yeah, this isn't something anyone can do alone.\You don't have to compete in it, Misaki.\The girls' team has a handicap, and we get points even if we don't participate in it.\Even if we get the point, we can't get the first place prize. response:	I want to win as many prizes as possible and create an environment that's more relaxing for the girls.
context: Participants in the Cavalry, please gather up.\The Cavalry's next.\You'll get to rest, Misaki.\Yeah, this isn't something anyone can do alone.\You don't have to compete in it, Misaki.\The girls' team has a handicap, and we get points even if we don't participate in it.\Even if we get the point, we can't get the first place prize.\I want to win as many prizes as possible and create an environment that's more relaxing for the girls. response:	Misaki!
context: The Cavalry's next.\You'll get to rest, Misaki.\Yeah, this isn't something anyone can do alone.\You don't have to compete in it, Misaki.\The girls' team has a handicap, and we get points even if we don't participate in it.\Even if we get the point, we can't get the first place prize.\I want to win as many prizes as possible and create an environment that's more relaxing for the girls.\Misaki! response:	Miss Prez, please take a break.
context: You'll get to rest, Misaki.\Yeah, this isn't something anyone can do alone.\You don't have to compete in it, Misaki.\The girls' team has a handicap, and we get points even if we don't participate in it.\Even if we get the point, we can't get the first place prize.\I want to win as many prizes as possible and create an environment that's more relaxing for the girls.\Misaki!\Miss Prez, please take a break. response:	Okay.
context: Yeah, this isn't something anyone can do alone.\You don't have to compete in it, Misaki.\The girls' team has a handicap, and we get points even if we don't participate in it.\Even if we get the point, we can't get the first place prize.\I want to win as many prizes as possible and create an environment that's more relaxing for the girls.\Misaki!\Miss Prez, please take a break.\Okay. response:	Next is the 1000m run.
context: You don't have to compete in it, Misaki.\The girls' team has a handicap, and we get points even if we don't participate in it.\Even if we get the point, we can't get the first place prize.\I want to win as many prizes as possible and create an environment that's more relaxing for the girls.\Misaki!\Miss Prez, please take a break.\Okay.\Next is the 1000m run. response:	I sat out the Calvary, so I better win this one.
context: The girls' team has a handicap, and we get points even if we don't participate in it.\Even if we get the point, we can't get the first place prize.\I want to win as many prizes as possible and create an environment that's more relaxing for the girls.\Misaki!\Miss Prez, please take a break.\Okay.\Next is the 1000m run.\I sat out the Calvary, so I better win this one. response:	1000m run, first place, girls' team!
context: Even if we get the point, we can't get the first place prize.\I want to win as many prizes as possible and create an environment that's more relaxing for the girls.\Misaki!\Miss Prez, please take a break.\Okay.\Next is the 1000m run.\I sat out the Calvary, so I better win this one.\1000m run, first place, girls' team! response:	She took it away!
context: I want to win as many prizes as possible and create an environment that's more relaxing for the girls.\Misaki!\Miss Prez, please take a break.\Okay.\Next is the 1000m run.\I sat out the Calvary, so I better win this one.\1000m run, first place, girls' team!\She took it away! response:	Monster! Demon!
context: Misaki!\Miss Prez, please take a break.\Okay.\Next is the 1000m run.\I sat out the Calvary, so I better win this one.\1000m run, first place, girls' team!\She took it away!\Monster! Demon! response:	Goda, I think beating her to take first place is impossible.
context: Miss Prez, please take a break.\Okay.\Next is the 1000m run.\I sat out the Calvary, so I better win this one.\1000m run, first place, girls' team!\She took it away!\Monster! Demon!\Goda, I think beating her to take first place is impossible. response:	Don't worry. I'll use whatever means it takes to win.
context: Okay.\Next is the 1000m run.\I sat out the Calvary, so I better win this one.\1000m run, first place, girls' team!\She took it away!\Monster! Demon!\Goda, I think beating her to take first place is impossible.\Don't worry. I'll use whatever means it takes to win. response:	We're starting the last race of the morning shortly, the obstacle course.
context: Next is the 1000m run.\I sat out the Calvary, so I better win this one.\1000m run, first place, girls' team!\She took it away!\Monster! Demon!\Goda, I think beating her to take first place is impossible.\Don't worry. I'll use whatever means it takes to win.\We're starting the last race of the morning shortly, the obstacle course. response:	The number of participants is unlimited!
context: I sat out the Calvary, so I better win this one.\1000m run, first place, girls' team!\She took it away!\Monster! Demon!\Goda, I think beating her to take first place is impossible.\Don't worry. I'll use whatever means it takes to win.\We're starting the last race of the morning shortly, the obstacle course.\The number of participants is unlimited! response:	Who will be the first to go around the school once, avoiding all the traps?!
context: 1000m run, first place, girls' team!\She took it away!\Monster! Demon!\Goda, I think beating her to take first place is impossible.\Don't worry. I'll use whatever means it takes to win.\We're starting the last race of the morning shortly, the obstacle course.\The number of participants is unlimited!\Who will be the first to go around the school once, avoiding all the traps?! response:	And who will be the one to win the kiss?!
context: She took it away!\Monster! Demon!\Goda, I think beating her to take first place is impossible.\Don't worry. I'll use whatever means it takes to win.\We're starting the last race of the morning shortly, the obstacle course.\The number of participants is unlimited!\Who will be the first to go around the school once, avoiding all the traps?!\And who will be the one to win the kiss?! response:	I will protect Sakura!
context: Monster! Demon!\Goda, I think beating her to take first place is impossible.\Don't worry. I'll use whatever means it takes to win.\We're starting the last race of the morning shortly, the obstacle course.\The number of participants is unlimited!\Who will be the first to go around the school once, avoiding all the traps?!\And who will be the one to win the kiss?!\I will protect Sakura! response:	Holy crap.
