context: Naraku had dispelled the barrier around his castle. response:	In otherwords, he had abandoned his castle
context: I could sense the presence of his barrier.\But now, as though he had disappeared from this world,\there is absolutely no sign of Naraku.\There is something behind this.\I have had my soul collectors search forhis demonic aura.\But they cannot detect a barrier.\A demonic aura of such size... how did he hide it?\Say, let's rest somewhere. response:	Not again?!
context: But now, as though he had disappeared from this world,\there is absolutely no sign of Naraku.\There is something behind this.\I have had my soul collectors search forhis demonic aura.\But they cannot detect a barrier.\A demonic aura of such size... how did he hide it?\Say, let's rest somewhere.\Not again?! response:	We just stopped to rest awhile ago!
context: there is absolutely no sign of Naraku.\There is something behind this.\I have had my soul collectors search forhis demonic aura.\But they cannot detect a barrier.\A demonic aura of such size... how did he hide it?\Say, let's rest somewhere.\Not again?!\We just stopped to rest awhile ago! response:	But it's raining.
context: There is something behind this.\I have had my soul collectors search forhis demonic aura.\But they cannot detect a barrier.\A demonic aura of such size... how did he hide it?\Say, let's rest somewhere.\Not again?!\We just stopped to rest awhile ago!\But it's raining. response:	What're you, made of paper or somethin'?
context: I have had my soul collectors search forhis demonic aura.\But they cannot detect a barrier.\A demonic aura of such size... how did he hide it?\Say, let's rest somewhere.\Not again?!\We just stopped to rest awhile ago!\But it's raining.\What're you, made of paper or somethin'? response:	You can't call this rain!
context: But they cannot detect a barrier.\A demonic aura of such size... how did he hide it?\Say, let's rest somewhere.\Not again?!\We just stopped to rest awhile ago!\But it's raining.\What're you, made of paper or somethin'?\You can't call this rain! response:	It's not only that.
context: A demonic aura of such size... how did he hide it?\Say, let's rest somewhere.\Not again?!\We just stopped to rest awhile ago!\But it's raining.\What're you, made of paper or somethin'?\You can't call this rain!\It's not only that. response:	Besides! You're riding that weird contraption.
context: Say, let's rest somewhere.\Not again?!\We just stopped to rest awhile ago!\But it's raining.\What're you, made of paper or somethin'?\You can't call this rain!\It's not only that.\Besides! You're riding that weird contraption. response:	You've got it easy!
context: Not again?!\We just stopped to rest awhile ago!\But it's raining.\What're you, made of paper or somethin'?\You can't call this rain!\It's not only that.\Besides! You're riding that weird contraption.\You've got it easy! response:	But!
context: We just stopped to rest awhile ago!\But it's raining.\What're you, made of paper or somethin'?\You can't call this rain!\It's not only that.\Besides! You're riding that weird contraption.\You've got it easy!\But! response:	If you ride this for a long time, yourbutt starts to hurt!
context: But it's raining.\What're you, made of paper or somethin'?\You can't call this rain!\It's not only that.\Besides! You're riding that weird contraption.\You've got it easy!\But!\If you ride this for a long time, yourbutt starts to hurt! response:	Geez!
context: What're you, made of paper or somethin'?\You can't call this rain!\It's not only that.\Besides! You're riding that weird contraption.\You've got it easy!\But!\If you ride this for a long time, yourbutt starts to hurt!\Geez! response:	Why'd you make me say it, stupid?!
context: You can't call this rain!\It's not only that.\Besides! You're riding that weird contraption.\You've got it easy!\But!\If you ride this for a long time, yourbutt starts to hurt!\Geez!\Why'd you make me say it, stupid?! response:	Huh?
context: It's not only that.\Besides! You're riding that weird contraption.\You've got it easy!\But!\If you ride this for a long time, yourbutt starts to hurt!\Geez!\Why'd you make me say it, stupid?!\Huh? response:	Inuyasha!
context: Besides! You're riding that weird contraption.\You've got it easy!\But!\If you ride this for a long time, yourbutt starts to hurt!\Geez!\Why'd you make me say it, stupid?!\Huh?\Inuyasha! response:	What if Kagome's butt gets deformed!?
context: You've got it easy!\But!\If you ride this for a long time, yourbutt starts to hurt!\Geez!\Why'd you make me say it, stupid?!\Huh?\Inuyasha!\What if Kagome's butt gets deformed!? response:	S-Shippo...
context: But!\If you ride this for a long time, yourbutt starts to hurt!\Geez!\Why'd you make me say it, stupid?!\Huh?\Inuyasha!\What if Kagome's butt gets deformed!?\S-Shippo... response:	Oh well...
context: If you ride this for a long time, yourbutt starts to hurt!\Geez!\Why'd you make me say it, stupid?!\Huh?\Inuyasha!\What if Kagome's butt gets deformed!?\S-Shippo...\Oh well... response:	But understand this.
context: Geez!\Why'd you make me say it, stupid?!\Huh?\Inuyasha!\What if Kagome's butt gets deformed!?\S-Shippo...\Oh well...\But understand this. response:	We start up again as soon as Kagome's butt returns to normal.
context: Why'd you make me say it, stupid?!\Huh?\Inuyasha!\What if Kagome's butt gets deformed!?\S-Shippo...\Oh well...\But understand this.\We start up again as soon as Kagome's butt returns to normal. response:	Got it?
context: Huh?\Inuyasha!\What if Kagome's butt gets deformed!?\S-Shippo...\Oh well...\But understand this.\We start up again as soon as Kagome's butt returns to normal.\Got it? response:	Inuyasha!
context: Inuyasha!\What if Kagome's butt gets deformed!?\S-Shippo...\Oh well...\But understand this.\We start up again as soon as Kagome's butt returns to normal.\Got it?\Inuyasha! response:	Sit!
context: What if Kagome's butt gets deformed!?\S-Shippo...\Oh well...\But understand this.\We start up again as soon as Kagome's butt returns to normal.\Got it?\Inuyasha!\Sit! response:	It's turning into a downpour.
context: S-Shippo...\Oh well...\But understand this.\We start up again as soon as Kagome's butt returns to normal.\Got it?\Inuyasha!\Sit!\It's turning into a downpour. response:	Let's look for shelter.
context: Oh well...\But understand this.\We start up again as soon as Kagome's butt returns to normal.\Got it?\Inuyasha!\Sit!\It's turning into a downpour.\Let's look for shelter. response:	Hey! Don't leave me! Hey!
context: But understand this.\We start up again as soon as Kagome's butt returns to normal.\Got it?\Inuyasha!\Sit!\It's turning into a downpour.\Let's look for shelter.\Hey! Don't leave me! Hey! response:	An evil apparition?
context: We start up again as soon as Kagome's butt returns to normal.\Got it?\Inuyasha!\Sit!\It's turning into a downpour.\Let's look for shelter.\Hey! Don't leave me! Hey!\An evil apparition? response:	Yes.
context: Got it?\Inuyasha!\Sit!\It's turning into a downpour.\Let's look for shelter.\Hey! Don't leave me! Hey!\An evil apparition?\Yes. response:	Several villagers have already been killed.
context: Inuyasha!\Sit!\It's turning into a downpour.\Let's look for shelter.\Hey! Don't leave me! Hey!\An evil apparition?\Yes.\Several villagers have already been killed. response:	Priestess, please put a spell on the apparition.
context: Sit!\It's turning into a downpour.\Let's look for shelter.\Hey! Don't leave me! Hey!\An evil apparition?\Yes.\Several villagers have already been killed.\Priestess, please put a spell on the apparition. response:	- Please! - Please!
context: It's turning into a downpour.\Let's look for shelter.\Hey! Don't leave me! Hey!\An evil apparition?\Yes.\Several villagers have already been killed.\Priestess, please put a spell on the apparition.\- Please! - Please! response:	The apparition lives in the misty swamp at the top of the mountain.
context: Let's look for shelter.\Hey! Don't leave me! Hey!\An evil apparition?\Yes.\Several villagers have already been killed.\Priestess, please put a spell on the apparition.\- Please! - Please!\The apparition lives in the misty swamp at the top of the mountain. response:	Please, Priestess!
context: Hey! Don't leave me! Hey!\An evil apparition?\Yes.\Several villagers have already been killed.\Priestess, please put a spell on the apparition.\- Please! - Please!\The apparition lives in the misty swamp at the top of the mountain.\Please, Priestess! response:	I understand. The misty swamp, you say?
context: An evil apparition?\Yes.\Several villagers have already been killed.\Priestess, please put a spell on the apparition.\- Please! - Please!\The apparition lives in the misty swamp at the top of the mountain.\Please, Priestess!\I understand. The misty swamp, you say? response:	So this is the place...
context: Yes.\Several villagers have already been killed.\Priestess, please put a spell on the apparition.\- Please! - Please!\The apparition lives in the misty swamp at the top of the mountain.\Please, Priestess!\I understand. The misty swamp, you say?\So this is the place... response:	I see...
context: Several villagers have already been killed.\Priestess, please put a spell on the apparition.\- Please! - Please!\The apparition lives in the misty swamp at the top of the mountain.\Please, Priestess!\I understand. The misty swamp, you say?\So this is the place...\I see... response:	There's an uncommon air about this place.
context: Priestess, please put a spell on the apparition.\- Please! - Please!\The apparition lives in the misty swamp at the top of the mountain.\Please, Priestess!\I understand. The misty swamp, you say?\So this is the place...\I see...\There's an uncommon air about this place. response:	What?
context: - Please! - Please!\The apparition lives in the misty swamp at the top of the mountain.\Please, Priestess!\I understand. The misty swamp, you say?\So this is the place...\I see...\There's an uncommon air about this place.\What? response:	This isn't the place.
context: The apparition lives in the misty swamp at the top of the mountain.\Please, Priestess!\I understand. The misty swamp, you say?\So this is the place...\I see...\There's an uncommon air about this place.\What?\This isn't the place. response:	I have been traveling around looking forareas with a demonic aura...
context: Please, Priestess!\I understand. The misty swamp, you say?\So this is the place...\I see...\There's an uncommon air about this place.\What?\This isn't the place.\I have been traveling around looking forareas with a demonic aura... response:	but I have not come across...
context: I understand. The misty swamp, you say?\So this is the place...\I see...\There's an uncommon air about this place.\What?\This isn't the place.\I have been traveling around looking forareas with a demonic aura...\but I have not come across... response:	any sign of Naraku.
context: So this is the place...\I see...\There's an uncommon air about this place.\What?\This isn't the place.\I have been traveling around looking forareas with a demonic aura...\but I have not come across...\any sign of Naraku. response:	With Naraku's disappearance,
context: I see...\There's an uncommon air about this place.\What?\This isn't the place.\I have been traveling around looking forareas with a demonic aura...\but I have not come across...\any sign of Naraku.\With Naraku's disappearance, response:	the numberof demons and apparitions has grown.
context: There's an uncommon air about this place.\What?\This isn't the place.\I have been traveling around looking forareas with a demonic aura...\but I have not come across...\any sign of Naraku.\With Naraku's disappearance,\the numberof demons and apparitions has grown. response:	Simply searching forplaces with a demonic aura
context: What?\This isn't the place.\I have been traveling around looking forareas with a demonic aura...\but I have not come across...\any sign of Naraku.\With Naraku's disappearance,\the numberof demons and apparitions has grown.\Simply searching forplaces with a demonic aura response:	is not the answerto capturing Naraku.
context: This isn't the place.\I have been traveling around looking forareas with a demonic aura...\but I have not come across...\any sign of Naraku.\With Naraku's disappearance,\the numberof demons and apparitions has grown.\Simply searching forplaces with a demonic aura\is not the answerto capturing Naraku. response:	Hey!
context: I have been traveling around looking forareas with a demonic aura...\but I have not come across...\any sign of Naraku.\With Naraku's disappearance,\the numberof demons and apparitions has grown.\Simply searching forplaces with a demonic aura\is not the answerto capturing Naraku.\Hey! response:	A human?
context: but I have not come across...\any sign of Naraku.\With Naraku's disappearance,\the numberof demons and apparitions has grown.\Simply searching forplaces with a demonic aura\is not the answerto capturing Naraku.\Hey!\A human? response:	He has a serious illness.
context: any sign of Naraku.\With Naraku's disappearance,\the numberof demons and apparitions has grown.\Simply searching forplaces with a demonic aura\is not the answerto capturing Naraku.\Hey!\A human?\He has a serious illness. response:	He does not have long to live.
context: With Naraku's disappearance,\the numberof demons and apparitions has grown.\Simply searching forplaces with a demonic aura\is not the answerto capturing Naraku.\Hey!\A human?\He has a serious illness.\He does not have long to live. response:	The villagers gave you a fat reward forexterminating the demon, huh?
context: the numberof demons and apparitions has grown.\Simply searching forplaces with a demonic aura\is not the answerto capturing Naraku.\Hey!\A human?\He has a serious illness.\He does not have long to live.\The villagers gave you a fat reward forexterminating the demon, huh? response:	Reward?
context: Simply searching forplaces with a demonic aura\is not the answerto capturing Naraku.\Hey!\A human?\He has a serious illness.\He does not have long to live.\The villagers gave you a fat reward forexterminating the demon, huh?\Reward? response:	No such thing.
context: is not the answerto capturing Naraku.\Hey!\A human?\He has a serious illness.\He does not have long to live.\The villagers gave you a fat reward forexterminating the demon, huh?\Reward?\No such thing. response:	Any amount will do.
context: Hey!\A human?\He has a serious illness.\He does not have long to live.\The villagers gave you a fat reward forexterminating the demon, huh?\Reward?\No such thing.\Any amount will do. response:	Leave all yourmoney.
context: A human?\He has a serious illness.\He does not have long to live.\The villagers gave you a fat reward forexterminating the demon, huh?\Reward?\No such thing.\Any amount will do.\Leave all yourmoney. response:	I don't have money.
context: He has a serious illness.\He does not have long to live.\The villagers gave you a fat reward forexterminating the demon, huh?\Reward?\No such thing.\Any amount will do.\Leave all yourmoney.\I don't have money. response:	There's no temple or shrine hereabouts.
context: He does not have long to live.\The villagers gave you a fat reward forexterminating the demon, huh?\Reward?\No such thing.\Any amount will do.\Leave all yourmoney.\I don't have money.\There's no temple or shrine hereabouts. response:	You're traveling without a farthing?
context: The villagers gave you a fat reward forexterminating the demon, huh?\Reward?\No such thing.\Any amount will do.\Leave all yourmoney.\I don't have money.\There's no temple or shrine hereabouts.\You're traveling without a farthing? response:	If you think I lie, go ahead and search me.
context: Reward?\No such thing.\Any amount will do.\Leave all yourmoney.\I don't have money.\There's no temple or shrine hereabouts.\You're traveling without a farthing?\If you think I lie, go ahead and search me. response:	Don't tell me you eat mist to survive?
context: No such thing.\Any amount will do.\Leave all yourmoney.\I don't have money.\There's no temple or shrine hereabouts.\You're traveling without a farthing?\If you think I lie, go ahead and search me.\Don't tell me you eat mist to survive? response:	Hmph... you could say that.
context: Any amount will do.\Leave all yourmoney.\I don't have money.\There's no temple or shrine hereabouts.\You're traveling without a farthing?\If you think I lie, go ahead and search me.\Don't tell me you eat mist to survive?\Hmph... you could say that. response:	Never mind then. Disappearfrom here.
context: Leave all yourmoney.\I don't have money.\There's no temple or shrine hereabouts.\You're traveling without a farthing?\If you think I lie, go ahead and search me.\Don't tell me you eat mist to survive?\Hmph... you could say that.\Never mind then. Disappearfrom here. response:	What're you looking at?
context: I don't have money.\There's no temple or shrine hereabouts.\You're traveling without a farthing?\If you think I lie, go ahead and search me.\Don't tell me you eat mist to survive?\Hmph... you could say that.\Never mind then. Disappearfrom here.\What're you looking at? response:	Go!
context: There's no temple or shrine hereabouts.\You're traveling without a farthing?\If you think I lie, go ahead and search me.\Don't tell me you eat mist to survive?\Hmph... you could say that.\Never mind then. Disappearfrom here.\What're you looking at?\Go! response:	A Sacred Jewel shard?
context: You're traveling without a farthing?\If you think I lie, go ahead and search me.\Don't tell me you eat mist to survive?\Hmph... you could say that.\Never mind then. Disappearfrom here.\What're you looking at?\Go!\A Sacred Jewel shard? response:	That shard is what keeps you alive.
context: If you think I lie, go ahead and search me.\Don't tell me you eat mist to survive?\Hmph... you could say that.\Never mind then. Disappearfrom here.\What're you looking at?\Go!\A Sacred Jewel shard?\That shard is what keeps you alive. response:	Isn't that so?
context: Don't tell me you eat mist to survive?\Hmph... you could say that.\Never mind then. Disappearfrom here.\What're you looking at?\Go!\A Sacred Jewel shard?\That shard is what keeps you alive.\Isn't that so? response:	I'll be seventy next year.
context: Hmph... you could say that.\Never mind then. Disappearfrom here.\What're you looking at?\Go!\A Sacred Jewel shard?\That shard is what keeps you alive.\Isn't that so?\I'll be seventy next year. response:	If the average man lives 50 years, I've lived too long.
context: Never mind then. Disappearfrom here.\What're you looking at?\Go!\A Sacred Jewel shard?\That shard is what keeps you alive.\Isn't that so?\I'll be seventy next year.\If the average man lives 50 years, I've lived too long. response:	But I can't die yet.
context: What're you looking at?\Go!\A Sacred Jewel shard?\That shard is what keeps you alive.\Isn't that so?\I'll be seventy next year.\If the average man lives 50 years, I've lived too long.\But I can't die yet. response:	As long as I have this Sacred Jewel shard...
context: Go!\A Sacred Jewel shard?\That shard is what keeps you alive.\Isn't that so?\I'll be seventy next year.\If the average man lives 50 years, I've lived too long.\But I can't die yet.\As long as I have this Sacred Jewel shard... response:	What do you intend to do in that condition?
context: A Sacred Jewel shard?\That shard is what keeps you alive.\Isn't that so?\I'll be seventy next year.\If the average man lives 50 years, I've lived too long.\But I can't die yet.\As long as I have this Sacred Jewel shard...\What do you intend to do in that condition? response:	Find my death place...
context: That shard is what keeps you alive.\Isn't that so?\I'll be seventy next year.\If the average man lives 50 years, I've lived too long.\But I can't die yet.\As long as I have this Sacred Jewel shard...\What do you intend to do in that condition?\Find my death place... response:	Drink this. It'll ease the pain.
context: Isn't that so?\I'll be seventy next year.\If the average man lives 50 years, I've lived too long.\But I can't die yet.\As long as I have this Sacred Jewel shard...\What do you intend to do in that condition?\Find my death place...\Drink this. It'll ease the pain. response:	Why do you help a man like me?
context: I'll be seventy next year.\If the average man lives 50 years, I've lived too long.\But I can't die yet.\As long as I have this Sacred Jewel shard...\What do you intend to do in that condition?\Find my death place...\Drink this. It'll ease the pain.\Why do you help a man like me? response:	You didn't finish your story.
context: If the average man lives 50 years, I've lived too long.\But I can't die yet.\As long as I have this Sacred Jewel shard...\What do you intend to do in that condition?\Find my death place...\Drink this. It'll ease the pain.\Why do you help a man like me?\You didn't finish your story. response:	I went searching for a suitable place to die.
context: But I can't die yet.\As long as I have this Sacred Jewel shard...\What do you intend to do in that condition?\Find my death place...\Drink this. It'll ease the pain.\Why do you help a man like me?\You didn't finish your story.\I went searching for a suitable place to die. response:	Suitable place to die?
context: As long as I have this Sacred Jewel shard...\What do you intend to do in that condition?\Find my death place...\Drink this. It'll ease the pain.\Why do you help a man like me?\You didn't finish your story.\I went searching for a suitable place to die.\Suitable place to die? response:	Yes...
context: What do you intend to do in that condition?\Find my death place...\Drink this. It'll ease the pain.\Why do you help a man like me?\You didn't finish your story.\I went searching for a suitable place to die.\Suitable place to die?\Yes... response:	From the days of my youth,
context: Find my death place...\Drink this. It'll ease the pain.\Why do you help a man like me?\You didn't finish your story.\I went searching for a suitable place to die.\Suitable place to die?\Yes...\From the days of my youth, response:	I've committed all kinds of evil.
context: Drink this. It'll ease the pain.\Why do you help a man like me?\You didn't finish your story.\I went searching for a suitable place to die.\Suitable place to die?\Yes...\From the days of my youth,\I've committed all kinds of evil. response:	Kansuke, the Mad Killer Rasetsu was quite notorious.
context: Why do you help a man like me?\You didn't finish your story.\I went searching for a suitable place to die.\Suitable place to die?\Yes...\From the days of my youth,\I've committed all kinds of evil.\Kansuke, the Mad Killer Rasetsu was quite notorious. response:	I killed... stole... burned...
context: You didn't finish your story.\I went searching for a suitable place to die.\Suitable place to die?\Yes...\From the days of my youth,\I've committed all kinds of evil.\Kansuke, the Mad Killer Rasetsu was quite notorious.\I killed... stole... burned... response:	I did whatever I felt like doing.
context: I went searching for a suitable place to die.\Suitable place to die?\Yes...\From the days of my youth,\I've committed all kinds of evil.\Kansuke, the Mad Killer Rasetsu was quite notorious.\I killed... stole... burned...\I did whatever I felt like doing. response:	I figured I was gonna end up dead soon anyway.
context: Suitable place to die?\Yes...\From the days of my youth,\I've committed all kinds of evil.\Kansuke, the Mad Killer Rasetsu was quite notorious.\I killed... stole... burned...\I did whatever I felt like doing.\I figured I was gonna end up dead soon anyway. response:	So I lived as I pleased.
context: Yes...\From the days of my youth,\I've committed all kinds of evil.\Kansuke, the Mad Killer Rasetsu was quite notorious.\I killed... stole... burned...\I did whatever I felt like doing.\I figured I was gonna end up dead soon anyway.\So I lived as I pleased. response:	But I was a stubborn guy.
context: From the days of my youth,\I've committed all kinds of evil.\Kansuke, the Mad Killer Rasetsu was quite notorious.\I killed... stole... burned...\I did whatever I felt like doing.\I figured I was gonna end up dead soon anyway.\So I lived as I pleased.\But I was a stubborn guy. response:	I got to be old like this... and I'm still living.
context: I've committed all kinds of evil.\Kansuke, the Mad Killer Rasetsu was quite notorious.\I killed... stole... burned...\I did whatever I felt like doing.\I figured I was gonna end up dead soon anyway.\So I lived as I pleased.\But I was a stubborn guy.\I got to be old like this... and I'm still living. response:	What's the matter?
context: Kansuke, the Mad Killer Rasetsu was quite notorious.\I killed... stole... burned...\I did whatever I felt like doing.\I figured I was gonna end up dead soon anyway.\So I lived as I pleased.\But I was a stubborn guy.\I got to be old like this... and I'm still living.\What's the matter? response:	I hate growing old.
context: I killed... stole... burned...\I did whatever I felt like doing.\I figured I was gonna end up dead soon anyway.\So I lived as I pleased.\But I was a stubborn guy.\I got to be old like this... and I'm still living.\What's the matter?\I hate growing old. response:	I keep forgetting things these days.
context: I did whatever I felt like doing.\I figured I was gonna end up dead soon anyway.\So I lived as I pleased.\But I was a stubborn guy.\I got to be old like this... and I'm still living.\What's the matter?\I hate growing old.\I keep forgetting things these days. response:	But I suddenly recall silly things.
context: I figured I was gonna end up dead soon anyway.\So I lived as I pleased.\But I was a stubborn guy.\I got to be old like this... and I'm still living.\What's the matter?\I hate growing old.\I keep forgetting things these days.\But I suddenly recall silly things. response:	When I first saw you, I was thinking...
context: So I lived as I pleased.\But I was a stubborn guy.\I got to be old like this... and I'm still living.\What's the matter?\I hate growing old.\I keep forgetting things these days.\But I suddenly recall silly things.\When I first saw you, I was thinking... response:	that you look like her.
context: But I was a stubborn guy.\I got to be old like this... and I'm still living.\What's the matter?\I hate growing old.\I keep forgetting things these days.\But I suddenly recall silly things.\When I first saw you, I was thinking...\that you look like her. response:	Look like who?
context: I got to be old like this... and I'm still living.\What's the matter?\I hate growing old.\I keep forgetting things these days.\But I suddenly recall silly things.\When I first saw you, I was thinking...\that you look like her.\Look like who? response:	Long ago, I came upon a priestess who looked exactly like you.
context: What's the matter?\I hate growing old.\I keep forgetting things these days.\But I suddenly recall silly things.\When I first saw you, I was thinking...\that you look like her.\Look like who?\Long ago, I came upon a priestess who looked exactly like you. response:	Hername was...
context: I hate growing old.\I keep forgetting things these days.\But I suddenly recall silly things.\When I first saw you, I was thinking...\that you look like her.\Look like who?\Long ago, I came upon a priestess who looked exactly like you.\Hername was... response:	Kikyo, I think.
context: I keep forgetting things these days.\But I suddenly recall silly things.\When I first saw you, I was thinking...\that you look like her.\Look like who?\Long ago, I came upon a priestess who looked exactly like you.\Hername was...\Kikyo, I think. response:	Pure coincidence.
context: But I suddenly recall silly things.\When I first saw you, I was thinking...\that you look like her.\Look like who?\Long ago, I came upon a priestess who looked exactly like you.\Hername was...\Kikyo, I think.\Pure coincidence. response:	Naturally. I'm talking about fifty years ago.
context: When I first saw you, I was thinking...\that you look like her.\Look like who?\Long ago, I came upon a priestess who looked exactly like you.\Hername was...\Kikyo, I think.\Pure coincidence.\Naturally. I'm talking about fifty years ago. response:	If she were still alive, she'd be an old woman.
context: that you look like her.\Look like who?\Long ago, I came upon a priestess who looked exactly like you.\Hername was...\Kikyo, I think.\Pure coincidence.\Naturally. I'm talking about fifty years ago.\If she were still alive, she'd be an old woman. response:	If she lived...
context: Look like who?\Long ago, I came upon a priestess who looked exactly like you.\Hername was...\Kikyo, I think.\Pure coincidence.\Naturally. I'm talking about fifty years ago.\If she were still alive, she'd be an old woman.\If she lived... response:	Well... I heard through the grapevine that she died.
context: Long ago, I came upon a priestess who looked exactly like you.\Hername was...\Kikyo, I think.\Pure coincidence.\Naturally. I'm talking about fifty years ago.\If she were still alive, she'd be an old woman.\If she lived...\Well... I heard through the grapevine that she died. response:	And that the Sacred Jewel was interred with her.
context: Hername was...\Kikyo, I think.\Pure coincidence.\Naturally. I'm talking about fifty years ago.\If she were still alive, she'd be an old woman.\If she lived...\Well... I heard through the grapevine that she died.\And that the Sacred Jewel was interred with her. response:	I don't know how this thing came to exist in this world.
context: Kikyo, I think.\Pure coincidence.\Naturally. I'm talking about fifty years ago.\If she were still alive, she'd be an old woman.\If she lived...\Well... I heard through the grapevine that she died.\And that the Sacred Jewel was interred with her.\I don't know how this thing came to exist in this world. response:	But I got it at the very last moment.
context: Pure coincidence.\Naturally. I'm talking about fifty years ago.\If she were still alive, she'd be an old woman.\If she lived...\Well... I heard through the grapevine that she died.\And that the Sacred Jewel was interred with her.\I don't know how this thing came to exist in this world.\But I got it at the very last moment. response:	Were you seeking the Sacred Jewel fifty years ago?
context: Naturally. I'm talking about fifty years ago.\If she were still alive, she'd be an old woman.\If she lived...\Well... I heard through the grapevine that she died.\And that the Sacred Jewel was interred with her.\I don't know how this thing came to exist in this world.\But I got it at the very last moment.\Were you seeking the Sacred Jewel fifty years ago? response:	Yeah... Along with a fellow named Onigumo.
context: If she were still alive, she'd be an old woman.\If she lived...\Well... I heard through the grapevine that she died.\And that the Sacred Jewel was interred with her.\I don't know how this thing came to exist in this world.\But I got it at the very last moment.\Were you seeking the Sacred Jewel fifty years ago?\Yeah... Along with a fellow named Onigumo. response:	Onigumo?
context: If she lived...\Well... I heard through the grapevine that she died.\And that the Sacred Jewel was interred with her.\I don't know how this thing came to exist in this world.\But I got it at the very last moment.\Were you seeking the Sacred Jewel fifty years ago?\Yeah... Along with a fellow named Onigumo.\Onigumo? response:	He had a burn scarthat was shaped like a spider.
context: Well... I heard through the grapevine that she died.\And that the Sacred Jewel was interred with her.\I don't know how this thing came to exist in this world.\But I got it at the very last moment.\Were you seeking the Sacred Jewel fifty years ago?\Yeah... Along with a fellow named Onigumo.\Onigumo?\He had a burn scarthat was shaped like a spider. response:	Now he was a true villain... I couldn't compare with him.
context: And that the Sacred Jewel was interred with her.\I don't know how this thing came to exist in this world.\But I got it at the very last moment.\Were you seeking the Sacred Jewel fifty years ago?\Yeah... Along with a fellow named Onigumo.\Onigumo?\He had a burn scarthat was shaped like a spider.\Now he was a true villain... I couldn't compare with him. response:	It'll grant any wish?
context: I don't know how this thing came to exist in this world.\But I got it at the very last moment.\Were you seeking the Sacred Jewel fifty years ago?\Yeah... Along with a fellow named Onigumo.\Onigumo?\He had a burn scarthat was shaped like a spider.\Now he was a true villain... I couldn't compare with him.\It'll grant any wish? response:	Sure.
context: But I got it at the very last moment.\Were you seeking the Sacred Jewel fifty years ago?\Yeah... Along with a fellow named Onigumo.\Onigumo?\He had a burn scarthat was shaped like a spider.\Now he was a true villain... I couldn't compare with him.\It'll grant any wish?\Sure. response:	That's amazing! And it's called the Shikon Jewel?
context: Were you seeking the Sacred Jewel fifty years ago?\Yeah... Along with a fellow named Onigumo.\Onigumo?\He had a burn scarthat was shaped like a spider.\Now he was a true villain... I couldn't compare with him.\It'll grant any wish?\Sure.\That's amazing! And it's called the Shikon Jewel? response:	In the village overyonder...
context: Yeah... Along with a fellow named Onigumo.\Onigumo?\He had a burn scarthat was shaped like a spider.\Now he was a true villain... I couldn't compare with him.\It'll grant any wish?\Sure.\That's amazing! And it's called the Shikon Jewel?\In the village overyonder... response:	A priestess named Kikyo has possession of it.
context: Onigumo?\He had a burn scarthat was shaped like a spider.\Now he was a true villain... I couldn't compare with him.\It'll grant any wish?\Sure.\That's amazing! And it's called the Shikon Jewel?\In the village overyonder...\A priestess named Kikyo has possession of it. response:	Then we'll attack this village tomorrow.
