context: The Kingdom of Fiore... response:	A neutral country of 17 million people.
context: The wizards belong to various guilds and perform jobs on commission.\There are a large number of guilds within the country.\And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice? response:	Oh, yeah! It's hoarse from yelling.
context: There are a large number of guilds within the country.\And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling. response:	Oh, yeah! Until your heart can hear it...
context: And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it... response:	Oh, yeah! Oh, yeah!
context: A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah! response:	The moon and sun high-five.
context: Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five. response:	Are you sure you're not forgetting something?
context: Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something? response:	When you're not here to make me laugh,
context: I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh, response:	even what I'm looking for can't be found.
context: Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found. response:	Snowing, be honest with yourself and smile,
context: Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile, response:	because when two people lay close, time overlaps.
context: Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps. response:	Fairy, where are you going?
context: Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going? response:	I'll gather all the light, and shine down on your tomorrow!
context: The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow! response:	Don't say goodbye!
context: Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye! response:	Last time on Fairy Tail!
context: When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail! response:	I knew you'd come, you Fairy Tail flies!
context: even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail!\I knew you'd come, you Fairy Tail flies! response:	What are you after, you fiend?
context: Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail!\I knew you'd come, you Fairy Tail flies!\What are you after, you fiend? response:	What do you plan to do with the lullaby?
context: because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail!\I knew you'd come, you Fairy Tail flies!\What are you after, you fiend?\What do you plan to do with the lullaby? response:	Titania Erza?
context: Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail!\I knew you'd come, you Fairy Tail flies!\What are you after, you fiend?\What do you plan to do with the lullaby?\Titania Erza? response:	Circle Sword!
context: I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Last time on Fairy Tail!\I knew you'd come, you Fairy Tail flies!\What are you after, you fiend?\What do you plan to do with the lullaby?\Titania Erza?\Circle Sword! response:	What's going on?
context: Don't say goodbye!\Last time on Fairy Tail!\I knew you'd come, you Fairy Tail flies!\What are you after, you fiend?\What do you plan to do with the lullaby?\Titania Erza?\Circle Sword!\What's going on? response:	The station is surrounded by wind...
context: Last time on Fairy Tail!\I knew you'd come, you Fairy Tail flies!\What are you after, you fiend?\What do you plan to do with the lullaby?\Titania Erza?\Circle Sword!\What's going on?\The station is surrounded by wind... response:	You fools cannot escape from here.
context: I knew you'd come, you Fairy Tail flies!\What are you after, you fiend?\What do you plan to do with the lullaby?\Titania Erza?\Circle Sword!\What's going on?\The station is surrounded by wind...\You fools cannot escape from here. response:	Oshibana station.
context: What are you after, you fiend?\What do you plan to do with the lullaby?\Titania Erza?\Circle Sword!\What's going on?\The station is surrounded by wind...\You fools cannot escape from here.\Oshibana station. response:	I said we don't know already... It's impossible!
context: What do you plan to do with the lullaby?\Titania Erza?\Circle Sword!\What's going on?\The station is surrounded by wind...\You fools cannot escape from here.\Oshibana station.\I said we don't know already... It's impossible! response:	There's no way we could dispel the magic wind wall!
context: Titania Erza?\Circle Sword!\What's going on?\The station is surrounded by wind...\You fools cannot escape from here.\Oshibana station.\I said we don't know already... It's impossible!\There's no way we could dispel the magic wind wall! response:	Erza!
context: Circle Sword!\What's going on?\The station is surrounded by wind...\You fools cannot escape from here.\Oshibana station.\I said we don't know already... It's impossible!\There's no way we could dispel the magic wind wall!\Erza! response:	Gray? You're not with Natsu?
context: What's going on?\The station is surrounded by wind...\You fools cannot escape from here.\Oshibana station.\I said we don't know already... It's impossible!\There's no way we could dispel the magic wind wall!\Erza!\Gray? You're not with Natsu? response:	We split up.
context: The station is surrounded by wind...\You fools cannot escape from here.\Oshibana station.\I said we don't know already... It's impossible!\There's no way we could dispel the magic wind wall!\Erza!\Gray? You're not with Natsu?\We split up. response:	And never mind that now!
context: You fools cannot escape from here.\Oshibana station.\I said we don't know already... It's impossible!\There's no way we could dispel the magic wind wall!\Erza!\Gray? You're not with Natsu?\We split up.\And never mind that now! response:	Eisenwald's real objective is the town down the line from here!
context: Oshibana station.\I said we don't know already... It's impossible!\There's no way we could dispel the magic wind wall!\Erza!\Gray? You're not with Natsu?\We split up.\And never mind that now!\Eisenwald's real objective is the town down the line from here! response:	What?
context: I said we don't know already... It's impossible!\There's no way we could dispel the magic wind wall!\Erza!\Gray? You're not with Natsu?\We split up.\And never mind that now!\Eisenwald's real objective is the town down the line from here!\What? response:	It's the place where the old men are having their regular meeting!
context: There's no way we could dispel the magic wind wall!\Erza!\Gray? You're not with Natsu?\We split up.\And never mind that now!\Eisenwald's real objective is the town down the line from here!\What?\It's the place where the old men are having their regular meeting! response:	They plan on using the lullaby there!
context: Erza!\Gray? You're not with Natsu?\We split up.\And never mind that now!\Eisenwald's real objective is the town down the line from here!\What?\It's the place where the old men are having their regular meeting!\They plan on using the lullaby there! response:	So that's what you're planning?
context: Gray? You're not with Natsu?\We split up.\And never mind that now!\Eisenwald's real objective is the town down the line from here!\What?\It's the place where the old men are having their regular meeting!\They plan on using the lullaby there!\So that's what you're planning? response:	But this station is surrounded by a magic wind wall.
context: We split up.\And never mind that now!\Eisenwald's real objective is the town down the line from here!\What?\It's the place where the old men are having their regular meeting!\They plan on using the lullaby there!\So that's what you're planning?\But this station is surrounded by a magic wind wall. response:	Yeah, I saw it earlier.
context: And never mind that now!\Eisenwald's real objective is the town down the line from here!\What?\It's the place where the old men are having their regular meeting!\They plan on using the lullaby there!\So that's what you're planning?\But this station is surrounded by a magic wind wall.\Yeah, I saw it earlier. response:	You'll be mincemeat if you try and force yourself out.
context: Eisenwald's real objective is the town down the line from here!\What?\It's the place where the old men are having their regular meeting!\They plan on using the lullaby there!\So that's what you're planning?\But this station is surrounded by a magic wind wall.\Yeah, I saw it earlier.\You'll be mincemeat if you try and force yourself out. response:	I'm well aware of that...
context: What?\It's the place where the old men are having their regular meeting!\They plan on using the lullaby there!\So that's what you're planning?\But this station is surrounded by a magic wind wall.\Yeah, I saw it earlier.\You'll be mincemeat if you try and force yourself out.\I'm well aware of that... response:	Erza, your arm...
context: It's the place where the old men are having their regular meeting!\They plan on using the lullaby there!\So that's what you're planning?\But this station is surrounded by a magic wind wall.\Yeah, I saw it earlier.\You'll be mincemeat if you try and force yourself out.\I'm well aware of that...\Erza, your arm... response:	It's nothing.
context: They plan on using the lullaby there!\So that's what you're planning?\But this station is surrounded by a magic wind wall.\Yeah, I saw it earlier.\You'll be mincemeat if you try and force yourself out.\I'm well aware of that...\Erza, your arm...\It's nothing. response:	But while we're sitting here, Erigor gets ever closer to where the Guild Masters are.
context: So that's what you're planning?\But this station is surrounded by a magic wind wall.\Yeah, I saw it earlier.\You'll be mincemeat if you try and force yourself out.\I'm well aware of that...\Erza, your arm...\It's nothing.\But while we're sitting here, Erigor gets ever closer to where the Guild Masters are. response:	Oh, yes... There should be someone they call Kage in Eisenwald.
context: But this station is surrounded by a magic wind wall.\Yeah, I saw it earlier.\You'll be mincemeat if you try and force yourself out.\I'm well aware of that...\Erza, your arm...\It's nothing.\But while we're sitting here, Erigor gets ever closer to where the Guild Masters are.\Oh, yes... There should be someone they call Kage in Eisenwald. response:	He was the only one who was able to dispel Lullaby's seal.
context: Yeah, I saw it earlier.\You'll be mincemeat if you try and force yourself out.\I'm well aware of that...\Erza, your arm...\It's nothing.\But while we're sitting here, Erigor gets ever closer to where the Guild Masters are.\Oh, yes... There should be someone they call Kage in Eisenwald.\He was the only one who was able to dispel Lullaby's seal. response:	Dispel?
context: You'll be mincemeat if you try and force yourself out.\I'm well aware of that...\Erza, your arm...\It's nothing.\But while we're sitting here, Erigor gets ever closer to where the Guild Masters are.\Oh, yes... There should be someone they call Kage in Eisenwald.\He was the only one who was able to dispel Lullaby's seal.\Dispel? response:	He's a Dispeller?
context: I'm well aware of that...\Erza, your arm...\It's nothing.\But while we're sitting here, Erigor gets ever closer to where the Guild Masters are.\Oh, yes... There should be someone they call Kage in Eisenwald.\He was the only one who was able to dispel Lullaby's seal.\Dispel?\He's a Dispeller? response:	Then he could dispel the magic wind wall, too!
context: Erza, your arm...\It's nothing.\But while we're sitting here, Erigor gets ever closer to where the Guild Masters are.\Oh, yes... There should be someone they call Kage in Eisenwald.\He was the only one who was able to dispel Lullaby's seal.\Dispel?\He's a Dispeller?\Then he could dispel the magic wind wall, too! response:	Search for Kage and capture him!
context: It's nothing.\But while we're sitting here, Erigor gets ever closer to where the Guild Masters are.\Oh, yes... There should be someone they call Kage in Eisenwald.\He was the only one who was able to dispel Lullaby's seal.\Dispel?\He's a Dispeller?\Then he could dispel the magic wind wall, too!\Search for Kage and capture him! response:	Right!
context: But while we're sitting here, Erigor gets ever closer to where the Guild Masters are.\Oh, yes... There should be someone they call Kage in Eisenwald.\He was the only one who was able to dispel Lullaby's seal.\Dispel?\He's a Dispeller?\Then he could dispel the magic wind wall, too!\Search for Kage and capture him!\Right! response:	Karacka, how long are you going to hide yourself there?
context: Oh, yes... There should be someone they call Kage in Eisenwald.\He was the only one who was able to dispel Lullaby's seal.\Dispel?\He's a Dispeller?\Then he could dispel the magic wind wall, too!\Search for Kage and capture him!\Right!\Karacka, how long are you going to hide yourself there? response:	S-Sorry...
context: He was the only one who was able to dispel Lullaby's seal.\Dispel?\He's a Dispeller?\Then he could dispel the magic wind wall, too!\Search for Kage and capture him!\Right!\Karacka, how long are you going to hide yourself there?\S-Sorry... response:	They're after Kage.
context: Dispel?\He's a Dispeller?\Then he could dispel the magic wind wall, too!\Search for Kage and capture him!\Right!\Karacka, how long are you going to hide yourself there?\S-Sorry...\They're after Kage. response:	Get going.
context: He's a Dispeller?\Then he could dispel the magic wind wall, too!\Search for Kage and capture him!\Right!\Karacka, how long are you going to hide yourself there?\S-Sorry...\They're after Kage.\Get going. response:	Please, not me! I'm useless as backup in a fight.
context: Then he could dispel the magic wind wall, too!\Search for Kage and capture him!\Right!\Karacka, how long are you going to hide yourself there?\S-Sorry...\They're after Kage.\Get going.\Please, not me! I'm useless as backup in a fight. response:	No, I have a much simpler task for you.
context: Search for Kage and capture him!\Right!\Karacka, how long are you going to hide yourself there?\S-Sorry...\They're after Kage.\Get going.\Please, not me! I'm useless as backup in a fight.\No, I have a much simpler task for you. response:	Flame and Wind!
context: Right!\Karacka, how long are you going to hide yourself there?\S-Sorry...\They're after Kage.\Get going.\Please, not me! I'm useless as backup in a fight.\No, I have a much simpler task for you.\Flame and Wind! response:	I've completely lost sight of him.
context: Karacka, how long are you going to hide yourself there?\S-Sorry...\They're after Kage.\Get going.\Please, not me! I'm useless as backup in a fight.\No, I have a much simpler task for you.\Flame and Wind!\I've completely lost sight of him. response:	Aye!
context: S-Sorry...\They're after Kage.\Get going.\Please, not me! I'm useless as backup in a fight.\No, I have a much simpler task for you.\Flame and Wind!\I've completely lost sight of him.\Aye! response:	Hey, why don't we head back to where Erza is for now?
context: They're after Kage.\Get going.\Please, not me! I'm useless as backup in a fight.\No, I have a much simpler task for you.\Flame and Wind!\I've completely lost sight of him.\Aye!\Hey, why don't we head back to where Erza is for now? response:	What's with that reaction?
context: Get going.\Please, not me! I'm useless as backup in a fight.\No, I have a much simpler task for you.\Flame and Wind!\I've completely lost sight of him.\Aye!\Hey, why don't we head back to where Erza is for now?\What's with that reaction? response:	Erza told us to go after him.
context: Please, not me! I'm useless as backup in a fight.\No, I have a much simpler task for you.\Flame and Wind!\I've completely lost sight of him.\Aye!\Hey, why don't we head back to where Erza is for now?\What's with that reaction?\Erza told us to go after him. response:	I see...
context: No, I have a much simpler task for you.\Flame and Wind!\I've completely lost sight of him.\Aye!\Hey, why don't we head back to where Erza is for now?\What's with that reaction?\Erza told us to go after him.\I see... response:	You're so brave, Lucy... You'd ignore an order from Erza?
context: Flame and Wind!\I've completely lost sight of him.\Aye!\Hey, why don't we head back to where Erza is for now?\What's with that reaction?\Erza told us to go after him.\I see...\You're so brave, Lucy... You'd ignore an order from Erza? response:	When Erza orders something, well...
context: I've completely lost sight of him.\Aye!\Hey, why don't we head back to where Erza is for now?\What's with that reaction?\Erza told us to go after him.\I see...\You're so brave, Lucy... You'd ignore an order from Erza?\When Erza orders something, well... response:	After the things she'll do to you, Lucy, I'm not sure I could look at you...
context: Aye!\Hey, why don't we head back to where Erza is for now?\What's with that reaction?\Erza told us to go after him.\I see...\You're so brave, Lucy... You'd ignore an order from Erza?\When Erza orders something, well...\After the things she'll do to you, Lucy, I'm not sure I could look at you... response:	She's going to do things to me?!
context: Hey, why don't we head back to where Erza is for now?\What's with that reaction?\Erza told us to go after him.\I see...\You're so brave, Lucy... You'd ignore an order from Erza?\When Erza orders something, well...\After the things she'll do to you, Lucy, I'm not sure I could look at you...\She's going to do things to me?! response:	Fine, I get it!
context: What's with that reaction?\Erza told us to go after him.\I see...\You're so brave, Lucy... You'd ignore an order from Erza?\When Erza orders something, well...\After the things she'll do to you, Lucy, I'm not sure I could look at you...\She's going to do things to me?!\Fine, I get it! response:	I'll keep looking until I find him!
context: Erza told us to go after him.\I see...\You're so brave, Lucy... You'd ignore an order from Erza?\When Erza orders something, well...\After the things she'll do to you, Lucy, I'm not sure I could look at you...\She's going to do things to me?!\Fine, I get it!\I'll keep looking until I find him! response:	Your attitude sure changes easily, Lucy.
context: I see...\You're so brave, Lucy... You'd ignore an order from Erza?\When Erza orders something, well...\After the things she'll do to you, Lucy, I'm not sure I could look at you...\She's going to do things to me?!\Fine, I get it!\I'll keep looking until I find him!\Your attitude sure changes easily, Lucy. response:	Enough out of you!
context: You're so brave, Lucy... You'd ignore an order from Erza?\When Erza orders something, well...\After the things she'll do to you, Lucy, I'm not sure I could look at you...\She's going to do things to me?!\Fine, I get it!\I'll keep looking until I find him!\Your attitude sure changes easily, Lucy.\Enough out of you! response:	And why is this cat even following me anyway?
context: When Erza orders something, well...\After the things she'll do to you, Lucy, I'm not sure I could look at you...\She's going to do things to me?!\Fine, I get it!\I'll keep looking until I find him!\Your attitude sure changes easily, Lucy.\Enough out of you!\And why is this cat even following me anyway? response:	Erigor, where are you hiding?!
context: After the things she'll do to you, Lucy, I'm not sure I could look at you...\She's going to do things to me?!\Fine, I get it!\I'll keep looking until I find him!\Your attitude sure changes easily, Lucy.\Enough out of you!\And why is this cat even following me anyway?\Erigor, where are you hiding?! response:	Next!
context: She's going to do things to me?!\Fine, I get it!\I'll keep looking until I find him!\Your attitude sure changes easily, Lucy.\Enough out of you!\And why is this cat even following me anyway?\Erigor, where are you hiding?!\Next! response:	Has this guy never heard of a door?
context: Fine, I get it!\I'll keep looking until I find him!\Your attitude sure changes easily, Lucy.\Enough out of you!\And why is this cat even following me anyway?\Erigor, where are you hiding?!\Next!\Has this guy never heard of a door? response:	Damn it...
context: I'll keep looking until I find him!\Your attitude sure changes easily, Lucy.\Enough out of you!\And why is this cat even following me anyway?\Erigor, where are you hiding?!\Next!\Has this guy never heard of a door?\Damn it... response:	Well, I suppose there's no problem if I just leave him alone.
context: Your attitude sure changes easily, Lucy.\Enough out of you!\And why is this cat even following me anyway?\Erigor, where are you hiding?!\Next!\Has this guy never heard of a door?\Damn it...\Well, I suppose there's no problem if I just leave him alone. response:	But I wouldn't be satisfied with that, would I?
context: Enough out of you!\And why is this cat even following me anyway?\Erigor, where are you hiding?!\Next!\Has this guy never heard of a door?\Damn it...\Well, I suppose there's no problem if I just leave him alone.\But I wouldn't be satisfied with that, would I? response:	Thanks for earlier, you motion-sickness fly!
context: And why is this cat even following me anyway?\Erigor, where are you hiding?!\Next!\Has this guy never heard of a door?\Damn it...\Well, I suppose there's no problem if I just leave him alone.\But I wouldn't be satisfied with that, would I?\Thanks for earlier, you motion-sickness fly! response:	You again?
context: Erigor, where are you hiding?!\Next!\Has this guy never heard of a door?\Damn it...\Well, I suppose there's no problem if I just leave him alone.\But I wouldn't be satisfied with that, would I?\Thanks for earlier, you motion-sickness fly!\You again? response:	That looks good on you.
context: Next!\Has this guy never heard of a door?\Damn it...\Well, I suppose there's no problem if I just leave him alone.\But I wouldn't be satisfied with that, would I?\Thanks for earlier, you motion-sickness fly!\You again?\That looks good on you. response:	Shut up, baldy!
context: Has this guy never heard of a door?\Damn it...\Well, I suppose there's no problem if I just leave him alone.\But I wouldn't be satisfied with that, would I?\Thanks for earlier, you motion-sickness fly!\You again?\That looks good on you.\Shut up, baldy! response:	I'm not bald, and my name's not Hage! It's Kageyama!
context: Damn it...\Well, I suppose there's no problem if I just leave him alone.\But I wouldn't be satisfied with that, would I?\Thanks for earlier, you motion-sickness fly!\You again?\That looks good on you.\Shut up, baldy!\I'm not bald, and my name's not Hage! It's Kageyama! response:	That so?
context: Well, I suppose there's no problem if I just leave him alone.\But I wouldn't be satisfied with that, would I?\Thanks for earlier, you motion-sickness fly!\You again?\That looks good on you.\Shut up, baldy!\I'm not bald, and my name's not Hage! It's Kageyama!\That so? response:	Well, whatever.
context: But I wouldn't be satisfied with that, would I?\Thanks for earlier, you motion-sickness fly!\You again?\That looks good on you.\Shut up, baldy!\I'm not bald, and my name's not Hage! It's Kageyama!\That so?\Well, whatever. response:	I basically understand your magic now.
context: Thanks for earlier, you motion-sickness fly!\You again?\That looks good on you.\Shut up, baldy!\I'm not bald, and my name's not Hage! It's Kageyama!\That so?\Well, whatever.\I basically understand your magic now. response:	You ingest flames to increase your destructive power.
context: You again?\That looks good on you.\Shut up, baldy!\I'm not bald, and my name's not Hage! It's Kageyama!\That so?\Well, whatever.\I basically understand your magic now.\You ingest flames to increase your destructive power. response:	That's quite rare magic.
context: That looks good on you.\Shut up, baldy!\I'm not bald, and my name's not Hage! It's Kageyama!\That so?\Well, whatever.\I basically understand your magic now.\You ingest flames to increase your destructive power.\That's quite rare magic. response:	I really really want to slug you one right now, but it's not the time for that!
context: Shut up, baldy!\I'm not bald, and my name's not Hage! It's Kageyama!\That so?\Well, whatever.\I basically understand your magic now.\You ingest flames to increase your destructive power.\That's quite rare magic.\I really really want to slug you one right now, but it's not the time for that! response:	Where is Erigor?
context: I'm not bald, and my name's not Hage! It's Kageyama!\That so?\Well, whatever.\I basically understand your magic now.\You ingest flames to increase your destructive power.\That's quite rare magic.\I really really want to slug you one right now, but it's not the time for that!\Where is Erigor? response:	Good question. Maybe I'll tell you if you beat me.
context: That so?\Well, whatever.\I basically understand your magic now.\You ingest flames to increase your destructive power.\That's quite rare magic.\I really really want to slug you one right now, but it's not the time for that!\Where is Erigor?\Good question. Maybe I'll tell you if you beat me. response:	Knuckle Shadow!
context: Well, whatever.\I basically understand your magic now.\You ingest flames to increase your destructive power.\That's quite rare magic.\I really really want to slug you one right now, but it's not the time for that!\Where is Erigor?\Good question. Maybe I'll tell you if you beat me.\Knuckle Shadow! response:	Oh? You'll tell me after I hit you?
context: I basically understand your magic now.\You ingest flames to increase your destructive power.\That's quite rare magic.\I really really want to slug you one right now, but it's not the time for that!\Where is Erigor?\Good question. Maybe I'll tell you if you beat me.\Knuckle Shadow!\Oh? You'll tell me after I hit you? response:	Then that's two birds with one stone!
context: You ingest flames to increase your destructive power.\That's quite rare magic.\I really really want to slug you one right now, but it's not the time for that!\Where is Erigor?\Good question. Maybe I'll tell you if you beat me.\Knuckle Shadow!\Oh? You'll tell me after I hit you?\Then that's two birds with one stone! response:	I'm all fired up now.
context: That's quite rare magic.\I really really want to slug you one right now, but it's not the time for that!\Where is Erigor?\Good question. Maybe I'll tell you if you beat me.\Knuckle Shadow!\Oh? You'll tell me after I hit you?\Then that's two birds with one stone!\I'm all fired up now. response:	What's that vibration?
context: I really really want to slug you one right now, but it's not the time for that!\Where is Erigor?\Good question. Maybe I'll tell you if you beat me.\Knuckle Shadow!\Oh? You'll tell me after I hit you?\Then that's two birds with one stone!\I'm all fired up now.\What's that vibration? response:	He's a slippery one.
context: Where is Erigor?\Good question. Maybe I'll tell you if you beat me.\Knuckle Shadow!\Oh? You'll tell me after I hit you?\Then that's two birds with one stone!\I'm all fired up now.\What's that vibration?\He's a slippery one. response:	However...
context: Good question. Maybe I'll tell you if you beat me.\Knuckle Shadow!\Oh? You'll tell me after I hit you?\Then that's two birds with one stone!\I'm all fired up now.\What's that vibration?\He's a slippery one.\However... response:	You can't dodge my Orochi Shadow!
context: Knuckle Shadow!\Oh? You'll tell me after I hit you?\Then that's two birds with one stone!\I'm all fired up now.\What's that vibration?\He's a slippery one.\However...\You can't dodge my Orochi Shadow! response:	They'll follow you into the depths of hell!
context: Oh? You'll tell me after I hit you?\Then that's two birds with one stone!\I'm all fired up now.\What's that vibration?\He's a slippery one.\However...\You can't dodge my Orochi Shadow!\They'll follow you into the depths of hell! response:	I'll tear you apart!
context: Then that's two birds with one stone!\I'm all fired up now.\What's that vibration?\He's a slippery one.\However...\You can't dodge my Orochi Shadow!\They'll follow you into the depths of hell!\I'll tear you apart! response:	Wing Slash of the Fire Dragon!
context: I'm all fired up now.\What's that vibration?\He's a slippery one.\However...\You can't dodge my Orochi Shadow!\They'll follow you into the depths of hell!\I'll tear you apart!\Wing Slash of the Fire Dragon! response:	Y-You've got to be kidding me?
context: What's that vibration?\He's a slippery one.\However...\You can't dodge my Orochi Shadow!\They'll follow you into the depths of hell!\I'll tear you apart!\Wing Slash of the Fire Dragon!\Y-You've got to be kidding me? response:	He destroyed the Orochi Shadow with a single attack?
