context: Tsuritama Episode 2 response:	The day I moved to Enoshima,
context: Haru Yuki Keito\Thanks for the food!\The Frustrating Uni Knot\Haru, you shouldn't make so much noise when you eat.\Okay.\I didn't realize aliens also ate miso soup\We can. I like red miso.\I'll make that tomorrow. response:	There's whitebait in here.
context: Thanks for the food!\The Frustrating Uni Knot\Haru, you shouldn't make so much noise when you eat.\Okay.\I didn't realize aliens also ate miso soup\We can. I like red miso.\I'll make that tomorrow.\There's whitebait in here. response:	Whitebait's everywhere on Enoshima.
context: The Frustrating Uni Knot\Haru, you shouldn't make so much noise when you eat.\Okay.\I didn't realize aliens also ate miso soup\We can. I like red miso.\I'll make that tomorrow.\There's whitebait in here.\Whitebait's everywhere on Enoshima. response:	Why is he eating like he belongs here?
context: Haru, you shouldn't make so much noise when you eat.\Okay.\I didn't realize aliens also ate miso soup\We can. I like red miso.\I'll make that tomorrow.\There's whitebait in here.\Whitebait's everywhere on Enoshima.\Why is he eating like he belongs here? response:	I'm glad you're here, Haru.
context: Okay.\I didn't realize aliens also ate miso soup\We can. I like red miso.\I'll make that tomorrow.\There's whitebait in here.\Whitebait's everywhere on Enoshima.\Why is he eating like he belongs here?\I'm glad you're here, Haru. response:	Whitebait!
context: I didn't realize aliens also ate miso soup\We can. I like red miso.\I'll make that tomorrow.\There's whitebait in here.\Whitebait's everywhere on Enoshima.\Why is he eating like he belongs here?\I'm glad you're here, Haru.\Whitebait! response:	Grandma does some unbelievable things sometimes.
context: We can. I like red miso.\I'll make that tomorrow.\There's whitebait in here.\Whitebait's everywhere on Enoshima.\Why is he eating like he belongs here?\I'm glad you're here, Haru.\Whitebait!\Grandma does some unbelievable things sometimes. response:	Your cooking's delicious, Keito.
context: I'll make that tomorrow.\There's whitebait in here.\Whitebait's everywhere on Enoshima.\Why is he eating like he belongs here?\I'm glad you're here, Haru.\Whitebait!\Grandma does some unbelievable things sometimes.\Your cooking's delicious, Keito. response:	She won't listen to anything I say
context: There's whitebait in here.\Whitebait's everywhere on Enoshima.\Why is he eating like he belongs here?\I'm glad you're here, Haru.\Whitebait!\Grandma does some unbelievable things sometimes.\Your cooking's delicious, Keito.\She won't listen to anything I say response:	when she gets like this.
context: Whitebait's everywhere on Enoshima.\Why is he eating like he belongs here?\I'm glad you're here, Haru.\Whitebait!\Grandma does some unbelievable things sometimes.\Your cooking's delicious, Keito.\She won't listen to anything I say\when she gets like this. response:	Who is this guy?
context: Why is he eating like he belongs here?\I'm glad you're here, Haru.\Whitebait!\Grandma does some unbelievable things sometimes.\Your cooking's delicious, Keito.\She won't listen to anything I say\when she gets like this.\Who is this guy? response:	And his water gun...
context: I'm glad you're here, Haru.\Whitebait!\Grandma does some unbelievable things sometimes.\Your cooking's delicious, Keito.\She won't listen to anything I say\when she gets like this.\Who is this guy?\And his water gun... response:	What is that thing?
context: Whitebait!\Grandma does some unbelievable things sometimes.\Your cooking's delicious, Keito.\She won't listen to anything I say\when she gets like this.\Who is this guy?\And his water gun...\What is that thing? response:	Yuki, it's a scary cat!
context: Grandma does some unbelievable things sometimes.\Your cooking's delicious, Keito.\She won't listen to anything I say\when she gets like this.\Who is this guy?\And his water gun...\What is that thing?\Yuki, it's a scary cat! response:	You're way scarier than the cat.
context: Your cooking's delicious, Keito.\She won't listen to anything I say\when she gets like this.\Who is this guy?\And his water gun...\What is that thing?\Yuki, it's a scary cat!\You're way scarier than the cat. response:	Stop it.
context: She won't listen to anything I say\when she gets like this.\Who is this guy?\And his water gun...\What is that thing?\Yuki, it's a scary cat!\You're way scarier than the cat.\Stop it. response:	Stop it!
context: when she gets like this.\Who is this guy?\And his water gun...\What is that thing?\Yuki, it's a scary cat!\You're way scarier than the cat.\Stop it.\Stop it! response:	Is that the duo I've heard about?
context: Who is this guy?\And his water gun...\What is that thing?\Yuki, it's a scary cat!\You're way scarier than the cat.\Stop it.\Stop it!\Is that the duo I've heard about? response:	The alien and the demon-face?
context: And his water gun...\What is that thing?\Yuki, it's a scary cat!\You're way scarier than the cat.\Stop it.\Stop it!\Is that the duo I've heard about?\The alien and the demon-face? response:	They're real weird, aren't they?
context: What is that thing?\Yuki, it's a scary cat!\You're way scarier than the cat.\Stop it.\Stop it!\Is that the duo I've heard about?\The alien and the demon-face?\They're real weird, aren't they? response:	Yeah. Maybe they'll put on a show for us.
context: Yuki, it's a scary cat!\You're way scarier than the cat.\Stop it.\Stop it!\Is that the duo I've heard about?\The alien and the demon-face?\They're real weird, aren't they?\Yeah. Maybe they'll put on a show for us. response:	Please don't associate me with this weirdo.
context: You're way scarier than the cat.\Stop it.\Stop it!\Is that the duo I've heard about?\The alien and the demon-face?\They're real weird, aren't they?\Yeah. Maybe they'll put on a show for us.\Please don't associate me with this weirdo. response:	Yuki, no.
context: Stop it.\Stop it!\Is that the duo I've heard about?\The alien and the demon-face?\They're real weird, aren't they?\Yeah. Maybe they'll put on a show for us.\Please don't associate me with this weirdo.\Yuki, no. response:	It happened again. Why am I dancing?
context: Stop it!\Is that the duo I've heard about?\The alien and the demon-face?\They're real weird, aren't they?\Yeah. Maybe they'll put on a show for us.\Please don't associate me with this weirdo.\Yuki, no.\It happened again. Why am I dancing? response:	I just wanted to have a normal school life this time,
context: Is that the duo I've heard about?\The alien and the demon-face?\They're real weird, aren't they?\Yeah. Maybe they'll put on a show for us.\Please don't associate me with this weirdo.\Yuki, no.\It happened again. Why am I dancing?\I just wanted to have a normal school life this time, response:	but now everyone thinks I'm a weirdo!
context: The alien and the demon-face?\They're real weird, aren't they?\Yeah. Maybe they'll put on a show for us.\Please don't associate me with this weirdo.\Yuki, no.\It happened again. Why am I dancing?\I just wanted to have a normal school life this time,\but now everyone thinks I'm a weirdo! response:	Wait up, Yuki!
context: They're real weird, aren't they?\Yeah. Maybe they'll put on a show for us.\Please don't associate me with this weirdo.\Yuki, no.\It happened again. Why am I dancing?\I just wanted to have a normal school life this time,\but now everyone thinks I'm a weirdo!\Wait up, Yuki! response:	I can't take it any more!
context: Yeah. Maybe they'll put on a show for us.\Please don't associate me with this weirdo.\Yuki, no.\It happened again. Why am I dancing?\I just wanted to have a normal school life this time,\but now everyone thinks I'm a weirdo!\Wait up, Yuki!\I can't take it any more! response:	Huh? Where am I?
context: Please don't associate me with this weirdo.\Yuki, no.\It happened again. Why am I dancing?\I just wanted to have a normal school life this time,\but now everyone thinks I'm a weirdo!\Wait up, Yuki!\I can't take it any more!\Huh? Where am I? response:	Thank you for looking after my brother.
context: Yuki, no.\It happened again. Why am I dancing?\I just wanted to have a normal school life this time,\but now everyone thinks I'm a weirdo!\Wait up, Yuki!\I can't take it any more!\Huh? Where am I?\Thank you for looking after my brother. response:	His little sister?
context: It happened again. Why am I dancing?\I just wanted to have a normal school life this time,\but now everyone thinks I'm a weirdo!\Wait up, Yuki!\I can't take it any more!\Huh? Where am I?\Thank you for looking after my brother.\His little sister? response:	Yes.
context: I just wanted to have a normal school life this time,\but now everyone thinks I'm a weirdo!\Wait up, Yuki!\I can't take it any more!\Huh? Where am I?\Thank you for looking after my brother.\His little sister?\Yes. response:	I'm sure my brother has already told you,
context: but now everyone thinks I'm a weirdo!\Wait up, Yuki!\I can't take it any more!\Huh? Where am I?\Thank you for looking after my brother.\His little sister?\Yes.\I'm sure my brother has already told you, response:	but there's a fish we've got to catch...
context: Wait up, Yuki!\I can't take it any more!\Huh? Where am I?\Thank you for looking after my brother.\His little sister?\Yes.\I'm sure my brother has already told you,\but there's a fish we've got to catch... response:	and we want your help.
context: I can't take it any more!\Huh? Where am I?\Thank you for looking after my brother.\His little sister?\Yes.\I'm sure my brother has already told you,\but there's a fish we've got to catch...\and we want your help. response:	Her accent's ridiculous!
context: Huh? Where am I?\Thank you for looking after my brother.\His little sister?\Yes.\I'm sure my brother has already told you,\but there's a fish we've got to catch...\and we want your help.\Her accent's ridiculous! response:	But I can't fish.
context: Thank you for looking after my brother.\His little sister?\Yes.\I'm sure my brother has already told you,\but there's a fish we've got to catch...\and we want your help.\Her accent's ridiculous!\But I can't fish. response:	You can do it!
context: His little sister?\Yes.\I'm sure my brother has already told you,\but there's a fish we've got to catch...\and we want your help.\Her accent's ridiculous!\But I can't fish.\You can do it! response:	That was just dumb luck.
context: Yes.\I'm sure my brother has already told you,\but there's a fish we've got to catch...\and we want your help.\Her accent's ridiculous!\But I can't fish.\You can do it!\That was just dumb luck. response:	I don't care what it was.
context: I'm sure my brother has already told you,\but there's a fish we've got to catch...\and we want your help.\Her accent's ridiculous!\But I can't fish.\You can do it!\That was just dumb luck.\I don't care what it was. response:	If you don't catch it soon, we can't return to our planet.
context: but there's a fish we've got to catch...\and we want your help.\Her accent's ridiculous!\But I can't fish.\You can do it!\That was just dumb luck.\I don't care what it was.\If you don't catch it soon, we can't return to our planet. response:	Careful!
context: and we want your help.\Her accent's ridiculous!\But I can't fish.\You can do it!\That was just dumb luck.\I don't care what it was.\If you don't catch it soon, we can't return to our planet.\Careful! response:	If you won't help us, you'll be in big trouble.
context: Her accent's ridiculous!\But I can't fish.\You can do it!\That was just dumb luck.\I don't care what it was.\If you don't catch it soon, we can't return to our planet.\Careful!\If you won't help us, you'll be in big trouble. response:	Big trouble?
context: But I can't fish.\You can do it!\That was just dumb luck.\I don't care what it was.\If you don't catch it soon, we can't return to our planet.\Careful!\If you won't help us, you'll be in big trouble.\Big trouble? response:	The Earth will be destroyed.
context: You can do it!\That was just dumb luck.\I don't care what it was.\If you don't catch it soon, we can't return to our planet.\Careful!\If you won't help us, you'll be in big trouble.\Big trouble?\The Earth will be destroyed. response:	You're the only one who can save it.
context: That was just dumb luck.\I don't care what it was.\If you don't catch it soon, we can't return to our planet.\Careful!\If you won't help us, you'll be in big trouble.\Big trouble?\The Earth will be destroyed.\You're the only one who can save it. response:	You gotta be kidding me!
context: I don't care what it was.\If you don't catch it soon, we can't return to our planet.\Careful!\If you won't help us, you'll be in big trouble.\Big trouble?\The Earth will be destroyed.\You're the only one who can save it.\You gotta be kidding me! response:	Why do I have to save Earth?
context: If you don't catch it soon, we can't return to our planet.\Careful!\If you won't help us, you'll be in big trouble.\Big trouble?\The Earth will be destroyed.\You're the only one who can save it.\You gotta be kidding me!\Why do I have to save Earth? response:	Fine! I'll do it! I'll fish!
context: Careful!\If you won't help us, you'll be in big trouble.\Big trouble?\The Earth will be destroyed.\You're the only one who can save it.\You gotta be kidding me!\Why do I have to save Earth?\Fine! I'll do it! I'll fish! response:	That's the spirit.
context: If you won't help us, you'll be in big trouble.\Big trouble?\The Earth will be destroyed.\You're the only one who can save it.\You gotta be kidding me!\Why do I have to save Earth?\Fine! I'll do it! I'll fish!\That's the spirit. response:	Then go catch one for the day.
context: Big trouble?\The Earth will be destroyed.\You're the only one who can save it.\You gotta be kidding me!\Why do I have to save Earth?\Fine! I'll do it! I'll fish!\That's the spirit.\Then go catch one for the day. response:	Fine, one! I got it!
context: The Earth will be destroyed.\You're the only one who can save it.\You gotta be kidding me!\Why do I have to save Earth?\Fine! I'll do it! I'll fish!\That's the spirit.\Then go catch one for the day.\Fine, one! I got it! response:	It's a promise.
context: You're the only one who can save it.\You gotta be kidding me!\Why do I have to save Earth?\Fine! I'll do it! I'll fish!\That's the spirit.\Then go catch one for the day.\Fine, one! I got it!\It's a promise. response:	If you break it, the next time
context: You gotta be kidding me!\Why do I have to save Earth?\Fine! I'll do it! I'll fish!\That's the spirit.\Then go catch one for the day.\Fine, one! I got it!\It's a promise.\If you break it, the next time response:	we meet will be on top of the Sky Tree.
context: Why do I have to save Earth?\Fine! I'll do it! I'll fish!\That's the spirit.\Then go catch one for the day.\Fine, one! I got it!\It's a promise.\If you break it, the next time\we meet will be on top of the Sky Tree. response:	I wanna go to the Sky Tree!
context: Fine! I'll do it! I'll fish!\That's the spirit.\Then go catch one for the day.\Fine, one! I got it!\It's a promise.\If you break it, the next time\we meet will be on top of the Sky Tree.\I wanna go to the Sky Tree! response:	I've had enough.
context: That's the spirit.\Then go catch one for the day.\Fine, one! I got it!\It's a promise.\If you break it, the next time\we meet will be on top of the Sky Tree.\I wanna go to the Sky Tree!\I've had enough. response:	Misaki, we're here.
context: Then go catch one for the day.\Fine, one! I got it!\It's a promise.\If you break it, the next time\we meet will be on top of the Sky Tree.\I wanna go to the Sky Tree!\I've had enough.\Misaki, we're here. response:	Good for you.
context: Fine, one! I got it!\It's a promise.\If you break it, the next time\we meet will be on top of the Sky Tree.\I wanna go to the Sky Tree!\I've had enough.\Misaki, we're here.\Good for you. response:	I definitely thought you'd quit.
context: It's a promise.\If you break it, the next time\we meet will be on top of the Sky Tree.\I wanna go to the Sky Tree!\I've had enough.\Misaki, we're here.\Good for you.\I definitely thought you'd quit. response:	I couldn't quit even if I wanted to.
context: If you break it, the next time\we meet will be on top of the Sky Tree.\I wanna go to the Sky Tree!\I've had enough.\Misaki, we're here.\Good for you.\I definitely thought you'd quit.\I couldn't quit even if I wanted to. response:	We meet again.
context: we meet will be on top of the Sky Tree.\I wanna go to the Sky Tree!\I've had enough.\Misaki, we're here.\Good for you.\I definitely thought you'd quit.\I couldn't quit even if I wanted to.\We meet again. response:	Hey, teach us to fish, Prince.
context: I wanna go to the Sky Tree!\I've had enough.\Misaki, we're here.\Good for you.\I definitely thought you'd quit.\I couldn't quit even if I wanted to.\We meet again.\Hey, teach us to fish, Prince. response:	Say that again, and I'll kill you.
context: I've had enough.\Misaki, we're here.\Good for you.\I definitely thought you'd quit.\I couldn't quit even if I wanted to.\We meet again.\Hey, teach us to fish, Prince.\Say that again, and I'll kill you. response:	You really should listen to him.
context: Misaki, we're here.\Good for you.\I definitely thought you'd quit.\I couldn't quit even if I wanted to.\We meet again.\Hey, teach us to fish, Prince.\Say that again, and I'll kill you.\You really should listen to him. response:	Please, Prince.
context: Good for you.\I definitely thought you'd quit.\I couldn't quit even if I wanted to.\We meet again.\Hey, teach us to fish, Prince.\Say that again, and I'll kill you.\You really should listen to him.\Please, Prince. response:	Can't this guy follow a conversation?
context: I definitely thought you'd quit.\I couldn't quit even if I wanted to.\We meet again.\Hey, teach us to fish, Prince.\Say that again, and I'll kill you.\You really should listen to him.\Please, Prince.\Can't this guy follow a conversation? response:	And why isn't he talking?
context: I couldn't quit even if I wanted to.\We meet again.\Hey, teach us to fish, Prince.\Say that again, and I'll kill you.\You really should listen to him.\Please, Prince.\Can't this guy follow a conversation?\And why isn't he talking? response:	Between this and breaking out into the Enoshima dance,
context: We meet again.\Hey, teach us to fish, Prince.\Say that again, and I'll kill you.\You really should listen to him.\Please, Prince.\Can't this guy follow a conversation?\And why isn't he talking?\Between this and breaking out into the Enoshima dance, response:	he's a creeper.
context: Hey, teach us to fish, Prince.\Say that again, and I'll kill you.\You really should listen to him.\Please, Prince.\Can't this guy follow a conversation?\And why isn't he talking?\Between this and breaking out into the Enoshima dance,\he's a creeper. response:	Just teach them, Natsuki.
context: Say that again, and I'll kill you.\You really should listen to him.\Please, Prince.\Can't this guy follow a conversation?\And why isn't he talking?\Between this and breaking out into the Enoshima dance,\he's a creeper.\Just teach them, Natsuki. response:	Why don't you go for some sea bass?
context: You really should listen to him.\Please, Prince.\Can't this guy follow a conversation?\And why isn't he talking?\Between this and breaking out into the Enoshima dance,\he's a creeper.\Just teach them, Natsuki.\Why don't you go for some sea bass? response:	Sea bass?
context: Please, Prince.\Can't this guy follow a conversation?\And why isn't he talking?\Between this and breaking out into the Enoshima dance,\he's a creeper.\Just teach them, Natsuki.\Why don't you go for some sea bass?\Sea bass? response:	A saltwater bass.
context: Can't this guy follow a conversation?\And why isn't he talking?\Between this and breaking out into the Enoshima dance,\he's a creeper.\Just teach them, Natsuki.\Why don't you go for some sea bass?\Sea bass?\A saltwater bass. response:	In the Japanese lure fishing community,
context: And why isn't he talking?\Between this and breaking out into the Enoshima dance,\he's a creeper.\Just teach them, Natsuki.\Why don't you go for some sea bass?\Sea bass?\A saltwater bass.\In the Japanese lure fishing community, response:	suzuki is known as sea bass.
context: Between this and breaking out into the Enoshima dance,\he's a creeper.\Just teach them, Natsuki.\Why don't you go for some sea bass?\Sea bass?\A saltwater bass.\In the Japanese lure fishing community,\suzuki is known as sea bass. response:	Just call it suzuki!
context: he's a creeper.\Just teach them, Natsuki.\Why don't you go for some sea bass?\Sea bass?\A saltwater bass.\In the Japanese lure fishing community,\suzuki is known as sea bass.\Just call it suzuki! response:	I wanna catch sea bass.
context: Just teach them, Natsuki.\Why don't you go for some sea bass?\Sea bass?\A saltwater bass.\In the Japanese lure fishing community,\suzuki is known as sea bass.\Just call it suzuki!\I wanna catch sea bass. response:	Prince, teach us.
context: Why don't you go for some sea bass?\Sea bass?\A saltwater bass.\In the Japanese lure fishing community,\suzuki is known as sea bass.\Just call it suzuki!\I wanna catch sea bass.\Prince, teach us. response:	Sorry, but I'm busy.
context: Sea bass?\A saltwater bass.\In the Japanese lure fishing community,\suzuki is known as sea bass.\Just call it suzuki!\I wanna catch sea bass.\Prince, teach us.\Sorry, but I'm busy. response:	Onii-chan.
context: A saltwater bass.\In the Japanese lure fishing community,\suzuki is known as sea bass.\Just call it suzuki!\I wanna catch sea bass.\Prince, teach us.\Sorry, but I'm busy.\Onii-chan. response:	Sakura.
context: In the Japanese lure fishing community,\suzuki is known as sea bass.\Just call it suzuki!\I wanna catch sea bass.\Prince, teach us.\Sorry, but I'm busy.\Onii-chan.\Sakura. response:	You're his little sister?
context: suzuki is known as sea bass.\Just call it suzuki!\I wanna catch sea bass.\Prince, teach us.\Sorry, but I'm busy.\Onii-chan.\Sakura.\You're his little sister? response:	Yes. I don't usually see
context: Just call it suzuki!\I wanna catch sea bass.\Prince, teach us.\Sorry, but I'm busy.\Onii-chan.\Sakura.\You're his little sister?\Yes. I don't usually see response:	my brother hanging out with his friends.
context: I wanna catch sea bass.\Prince, teach us.\Sorry, but I'm busy.\Onii-chan.\Sakura.\You're his little sister?\Yes. I don't usually see\my brother hanging out with his friends. response:	No, they...
context: Prince, teach us.\Sorry, but I'm busy.\Onii-chan.\Sakura.\You're his little sister?\Yes. I don't usually see\my brother hanging out with his friends.\No, they... response:	Yes.
context: Sorry, but I'm busy.\Onii-chan.\Sakura.\You're his little sister?\Yes. I don't usually see\my brother hanging out with his friends.\No, they...\Yes. response:	We're Natsuki's friends.
context: Onii-chan.\Sakura.\You're his little sister?\Yes. I don't usually see\my brother hanging out with his friends.\No, they...\Yes.\We're Natsuki's friends. response:	No, they're not. They're just...
context: Sakura.\You're his little sister?\Yes. I don't usually see\my brother hanging out with his friends.\No, they...\Yes.\We're Natsuki's friends.\No, they're not. They're just... response:	He's a completely different guy in front of his sister.
context: You're his little sister?\Yes. I don't usually see\my brother hanging out with his friends.\No, they...\Yes.\We're Natsuki's friends.\No, they're not. They're just...\He's a completely different guy in front of his sister. response:	Sakura-chan, Natsuki's gonna teach us how to fish.
context: Yes. I don't usually see\my brother hanging out with his friends.\No, they...\Yes.\We're Natsuki's friends.\No, they're not. They're just...\He's a completely different guy in front of his sister.\Sakura-chan, Natsuki's gonna teach us how to fish. response:	You...
context: my brother hanging out with his friends.\No, they...\Yes.\We're Natsuki's friends.\No, they're not. They're just...\He's a completely different guy in front of his sister.\Sakura-chan, Natsuki's gonna teach us how to fish.\You... response:	Really?
context: No, they...\Yes.\We're Natsuki's friends.\No, they're not. They're just...\He's a completely different guy in front of his sister.\Sakura-chan, Natsuki's gonna teach us how to fish.\You...\Really? response:	My brother's really good at fishing.
context: Yes.\We're Natsuki's friends.\No, they're not. They're just...\He's a completely different guy in front of his sister.\Sakura-chan, Natsuki's gonna teach us how to fish.\You...\Really?\My brother's really good at fishing. response:	I'm sure you'll catch something.
context: We're Natsuki's friends.\No, they're not. They're just...\He's a completely different guy in front of his sister.\Sakura-chan, Natsuki's gonna teach us how to fish.\You...\Really?\My brother's really good at fishing.\I'm sure you'll catch something. response:	Right?
context: No, they're not. They're just...\He's a completely different guy in front of his sister.\Sakura-chan, Natsuki's gonna teach us how to fish.\You...\Really?\My brother's really good at fishing.\I'm sure you'll catch something.\Right? response:	Right, Onii-chan?
context: He's a completely different guy in front of his sister.\Sakura-chan, Natsuki's gonna teach us how to fish.\You...\Really?\My brother's really good at fishing.\I'm sure you'll catch something.\Right?\Right, Onii-chan? response:	Uh, yeah.
context: Sakura-chan, Natsuki's gonna teach us how to fish.\You...\Really?\My brother's really good at fishing.\I'm sure you'll catch something.\Right?\Right, Onii-chan?\Uh, yeah. response:	He smiled?
context: You...\Really?\My brother's really good at fishing.\I'm sure you'll catch something.\Right?\Right, Onii-chan?\Uh, yeah.\He smiled? response:	Prince, what's this?
context: Really?\My brother's really good at fishing.\I'm sure you'll catch something.\Right?\Right, Onii-chan?\Uh, yeah.\He smiled?\Prince, what's this? response:	It's a life vest.
context: My brother's really good at fishing.\I'm sure you'll catch something.\Right?\Right, Onii-chan?\Uh, yeah.\He smiled?\Prince, what's this?\It's a life vest. response:	Even if you fall in, you'll float if you're wearing that.
context: I'm sure you'll catch something.\Right?\Right, Onii-chan?\Uh, yeah.\He smiled?\Prince, what's this?\It's a life vest.\Even if you fall in, you'll float if you're wearing that. response:	You wear it when you go sea fishing.
context: Right?\Right, Onii-chan?\Uh, yeah.\He smiled?\Prince, what's this?\It's a life vest.\Even if you fall in, you'll float if you're wearing that.\You wear it when you go sea fishing. response:	Oh, right. Humans can't swim.
context: Right, Onii-chan?\Uh, yeah.\He smiled?\Prince, what's this?\It's a life vest.\Even if you fall in, you'll float if you're wearing that.\You wear it when you go sea fishing.\Oh, right. Humans can't swim. response:	What are you, then?
context: Uh, yeah.\He smiled?\Prince, what's this?\It's a life vest.\Even if you fall in, you'll float if you're wearing that.\You wear it when you go sea fishing.\Oh, right. Humans can't swim.\What are you, then? response:	Let's catch some fish!
context: He smiled?\Prince, what's this?\It's a life vest.\Even if you fall in, you'll float if you're wearing that.\You wear it when you go sea fishing.\Oh, right. Humans can't swim.\What are you, then?\Let's catch some fish! response:	It's not that easy.
context: Prince, what's this?\It's a life vest.\Even if you fall in, you'll float if you're wearing that.\You wear it when you go sea fishing.\Oh, right. Humans can't swim.\What are you, then?\Let's catch some fish!\It's not that easy. response:	It's a mess.
context: It's a life vest.\Even if you fall in, you'll float if you're wearing that.\You wear it when you go sea fishing.\Oh, right. Humans can't swim.\What are you, then?\Let's catch some fish!\It's not that easy.\It's a mess. response:	Fishing starts with assembling your tackle.
context: Even if you fall in, you'll float if you're wearing that.\You wear it when you go sea fishing.\Oh, right. Humans can't swim.\What are you, then?\Let's catch some fish!\It's not that easy.\It's a mess.\Fishing starts with assembling your tackle. response:	Tackle?
context: You wear it when you go sea fishing.\Oh, right. Humans can't swim.\What are you, then?\Let's catch some fish!\It's not that easy.\It's a mess.\Fishing starts with assembling your tackle.\Tackle? response:	Necessary equipment for fishing.
context: Oh, right. Humans can't swim.\What are you, then?\Let's catch some fish!\It's not that easy.\It's a mess.\Fishing starts with assembling your tackle.\Tackle?\Necessary equipment for fishing. response:	We're supposed to put together all of this?
context: What are you, then?\Let's catch some fish!\It's not that easy.\It's a mess.\Fishing starts with assembling your tackle.\Tackle?\Necessary equipment for fishing.\We're supposed to put together all of this? response:	Sounds like a lot of work.
context: Let's catch some fish!\It's not that easy.\It's a mess.\Fishing starts with assembling your tackle.\Tackle?\Necessary equipment for fishing.\We're supposed to put together all of this?\Sounds like a lot of work. response:	Fine. I just have to catch one, right?
context: It's not that easy.\It's a mess.\Fishing starts with assembling your tackle.\Tackle?\Necessary equipment for fishing.\We're supposed to put together all of this?\Sounds like a lot of work.\Fine. I just have to catch one, right? response:	Listen up, because I'll only say it once.
context: It's a mess.\Fishing starts with assembling your tackle.\Tackle?\Necessary equipment for fishing.\We're supposed to put together all of this?\Sounds like a lot of work.\Fine. I just have to catch one, right?\Listen up, because I'll only say it once. response:	First attach your reel to your rod, and open the bail arm.
context: Fishing starts with assembling your tackle.\Tackle?\Necessary equipment for fishing.\We're supposed to put together all of this?\Sounds like a lot of work.\Fine. I just have to catch one, right?\Listen up, because I'll only say it once.\First attach your reel to your rod, and open the bail arm. response:	Pull out your line, and thread it through the guides.
context: Tackle?\Necessary equipment for fishing.\We're supposed to put together all of this?\Sounds like a lot of work.\Fine. I just have to catch one, right?\Listen up, because I'll only say it once.\First attach your reel to your rod, and open the bail arm.\Pull out your line, and thread it through the guides. response:	Wait. Your explanation's too fast.
context: Necessary equipment for fishing.\We're supposed to put together all of this?\Sounds like a lot of work.\Fine. I just have to catch one, right?\Listen up, because I'll only say it once.\First attach your reel to your rod, and open the bail arm.\Pull out your line, and thread it through the guides.\Wait. Your explanation's too fast. response:	This is hard!
