context: Fast as Wind Quiet as a Forest Daring as Fire Immovable as a Mountain response:	I'm hungry.
context: Get accepted to your first choice!\She brought food...\The Yamaguchis' Son, Kenji-kun\I am very pleased with who I am.\I never wanted for anything as a child,\and I easily accepted and met\the expectations of my parents and others.\I sound elitist? response:	If I'm not considered elite,
context: She brought food...\The Yamaguchis' Son, Kenji-kun\I am very pleased with who I am.\I never wanted for anything as a child,\and I easily accepted and met\the expectations of my parents and others.\I sound elitist?\If I'm not considered elite, response:	who is?
context: The Yamaguchis' Son, Kenji-kun\I am very pleased with who I am.\I never wanted for anything as a child,\and I easily accepted and met\the expectations of my parents and others.\I sound elitist?\If I'm not considered elite,\who is? response:	So then...
context: I am very pleased with who I am.\I never wanted for anything as a child,\and I easily accepted and met\the expectations of my parents and others.\I sound elitist?\If I'm not considered elite,\who is?\So then... response:	Why am I in this stuffy prep class?
context: I never wanted for anything as a child,\and I easily accepted and met\the expectations of my parents and others.\I sound elitist?\If I'm not considered elite,\who is?\So then...\Why am I in this stuffy prep class? response:	Listen up!
context: and I easily accepted and met\the expectations of my parents and others.\I sound elitist?\If I'm not considered elite,\who is?\So then...\Why am I in this stuffy prep class?\Listen up! response:	College exams are a battlefield!
context: the expectations of my parents and others.\I sound elitist?\If I'm not considered elite,\who is?\So then...\Why am I in this stuffy prep class?\Listen up!\College exams are a battlefield! response:	Fast as wind! Quiet as a forest! Bold as fire! Immovable as a mountain!
context: I sound elitist?\If I'm not considered elite,\who is?\So then...\Why am I in this stuffy prep class?\Listen up!\College exams are a battlefield!\Fast as wind! Quiet as a forest! Bold as fire! Immovable as a mountain! response:	Damn, the more I see her, the harder she's studying.
context: If I'm not considered elite,\who is?\So then...\Why am I in this stuffy prep class?\Listen up!\College exams are a battlefield!\Fast as wind! Quiet as a forest! Bold as fire! Immovable as a mountain!\Damn, the more I see her, the harder she's studying. response:	How could I possibly be attracted to...
context: who is?\So then...\Why am I in this stuffy prep class?\Listen up!\College exams are a battlefield!\Fast as wind! Quiet as a forest! Bold as fire! Immovable as a mountain!\Damn, the more I see her, the harder she's studying.\How could I possibly be attracted to... response:	Sasaki Seminar
context: So then...\Why am I in this stuffy prep class?\Listen up!\College exams are a battlefield!\Fast as wind! Quiet as a forest! Bold as fire! Immovable as a mountain!\Damn, the more I see her, the harder she's studying.\How could I possibly be attracted to...\Sasaki Seminar response:	Pass Before Graduation
context: Why am I in this stuffy prep class?\Listen up!\College exams are a battlefield!\Fast as wind! Quiet as a forest! Bold as fire! Immovable as a mountain!\Damn, the more I see her, the harder she's studying.\How could I possibly be attracted to...\Sasaki Seminar\Pass Before Graduation response:	The pictures are ready.
context: Listen up!\College exams are a battlefield!\Fast as wind! Quiet as a forest! Bold as fire! Immovable as a mountain!\Damn, the more I see her, the harder she's studying.\How could I possibly be attracted to...\Sasaki Seminar\Pass Before Graduation\The pictures are ready. response:	That was fast.
context: College exams are a battlefield!\Fast as wind! Quiet as a forest! Bold as fire! Immovable as a mountain!\Damn, the more I see her, the harder she's studying.\How could I possibly be attracted to...\Sasaki Seminar\Pass Before Graduation\The pictures are ready.\That was fast. response:	Put a mark on the back if there's one you want.
context: Fast as wind! Quiet as a forest! Bold as fire! Immovable as a mountain!\Damn, the more I see her, the harder she's studying.\How could I possibly be attracted to...\Sasaki Seminar\Pass Before Graduation\The pictures are ready.\That was fast.\Put a mark on the back if there's one you want. response:	I can make copies.
context: Damn, the more I see her, the harder she's studying.\How could I possibly be attracted to...\Sasaki Seminar\Pass Before Graduation\The pictures are ready.\That was fast.\Put a mark on the back if there's one you want.\I can make copies. response:	That was lots of fun.
context: How could I possibly be attracted to...\Sasaki Seminar\Pass Before Graduation\The pictures are ready.\That was fast.\Put a mark on the back if there's one you want.\I can make copies.\That was lots of fun. response:	Next year!
context: Sasaki Seminar\Pass Before Graduation\The pictures are ready.\That was fast.\Put a mark on the back if there's one you want.\I can make copies.\That was lots of fun.\Next year! response:	Next year, we only invite people who are really close!
context: Pass Before Graduation\The pictures are ready.\That was fast.\Put a mark on the back if there's one you want.\I can make copies.\That was lots of fun.\Next year!\Next year, we only invite people who are really close! response:	People who are close?
context: The pictures are ready.\That was fast.\Put a mark on the back if there's one you want.\I can make copies.\That was lots of fun.\Next year!\Next year, we only invite people who are really close!\People who are close? response:	You should bring your family then, Natsume.
context: That was fast.\Put a mark on the back if there's one you want.\I can make copies.\That was lots of fun.\Next year!\Next year, we only invite people who are really close!\People who are close?\You should bring your family then, Natsume. response:	What? M-My family...
context: Put a mark on the back if there's one you want.\I can make copies.\That was lots of fun.\Next year!\Next year, we only invite people who are really close!\People who are close?\You should bring your family then, Natsume.\What? M-My family... response:	Why are you so surprised?
context: I can make copies.\That was lots of fun.\Next year!\Next year, we only invite people who are really close!\People who are close?\You should bring your family then, Natsume.\What? M-My family...\Why are you so surprised? response:	Seriously...
context: That was lots of fun.\Next year!\Next year, we only invite people who are really close!\People who are close?\You should bring your family then, Natsume.\What? M-My family...\Why are you so surprised?\Seriously... response:	Why does it have to be all or nothing?
context: Next year!\Next year, we only invite people who are really close!\People who are close?\You should bring your family then, Natsume.\What? M-My family...\Why are you so surprised?\Seriously...\Why does it have to be all or nothing? response:	Are you a robot?
context: Next year, we only invite people who are really close!\People who are close?\You should bring your family then, Natsume.\What? M-My family...\Why are you so surprised?\Seriously...\Why does it have to be all or nothing?\Are you a robot? response:	You must have done a lot of spying to take all these.
context: People who are close?\You should bring your family then, Natsume.\What? M-My family...\Why are you so surprised?\Seriously...\Why does it have to be all or nothing?\Are you a robot?\You must have done a lot of spying to take all these. response:	Hey, that's uncalled for.
context: You should bring your family then, Natsume.\What? M-My family...\Why are you so surprised?\Seriously...\Why does it have to be all or nothing?\Are you a robot?\You must have done a lot of spying to take all these.\Hey, that's uncalled for. response:	I've got even better ones.
context: What? M-My family...\Why are you so surprised?\Seriously...\Why does it have to be all or nothing?\Are you a robot?\You must have done a lot of spying to take all these.\Hey, that's uncalled for.\I've got even better ones. response:	How many pictures did you take, Sasayan?
context: Why are you so surprised?\Seriously...\Why does it have to be all or nothing?\Are you a robot?\You must have done a lot of spying to take all these.\Hey, that's uncalled for.\I've got even better ones.\How many pictures did you take, Sasayan? response:	Oshima-san happened to be there.
context: Seriously...\Why does it have to be all or nothing?\Are you a robot?\You must have done a lot of spying to take all these.\Hey, that's uncalled for.\I've got even better ones.\How many pictures did you take, Sasayan?\Oshima-san happened to be there. response:	My face looks really round.
context: Why does it have to be all or nothing?\Are you a robot?\You must have done a lot of spying to take all these.\Hey, that's uncalled for.\I've got even better ones.\How many pictures did you take, Sasayan?\Oshima-san happened to be there.\My face looks really round. response:	Hey! What was that for, Yoshida?
context: Are you a robot?\You must have done a lot of spying to take all these.\Hey, that's uncalled for.\I've got even better ones.\How many pictures did you take, Sasayan?\Oshima-san happened to be there.\My face looks really round.\Hey! What was that for, Yoshida? response:	I didn't want to see that.
context: You must have done a lot of spying to take all these.\Hey, that's uncalled for.\I've got even better ones.\How many pictures did you take, Sasayan?\Oshima-san happened to be there.\My face looks really round.\Hey! What was that for, Yoshida?\I didn't want to see that. response:	You shouldn't take it out on the picture.
context: Hey, that's uncalled for.\I've got even better ones.\How many pictures did you take, Sasayan?\Oshima-san happened to be there.\My face looks really round.\Hey! What was that for, Yoshida?\I didn't want to see that.\You shouldn't take it out on the picture. response:	Natsume-san, what are you doing?
context: I've got even better ones.\How many pictures did you take, Sasayan?\Oshima-san happened to be there.\My face looks really round.\Hey! What was that for, Yoshida?\I didn't want to see that.\You shouldn't take it out on the picture.\Natsume-san, what are you doing? response:	Wait, what was I clapping for?
context: How many pictures did you take, Sasayan?\Oshima-san happened to be there.\My face looks really round.\Hey! What was that for, Yoshida?\I didn't want to see that.\You shouldn't take it out on the picture.\Natsume-san, what are you doing?\Wait, what was I clapping for? response:	Shizuku, Shizuku.
context: Oshima-san happened to be there.\My face looks really round.\Hey! What was that for, Yoshida?\I didn't want to see that.\You shouldn't take it out on the picture.\Natsume-san, what are you doing?\Wait, what was I clapping for?\Shizuku, Shizuku. response:	Your underwear's showing in this one.
context: My face looks really round.\Hey! What was that for, Yoshida?\I didn't want to see that.\You shouldn't take it out on the picture.\Natsume-san, what are you doing?\Wait, what was I clapping for?\Shizuku, Shizuku.\Your underwear's showing in this one. response:	You're seeing things.
context: Hey! What was that for, Yoshida?\I didn't want to see that.\You shouldn't take it out on the picture.\Natsume-san, what are you doing?\Wait, what was I clapping for?\Shizuku, Shizuku.\Your underwear's showing in this one.\You're seeing things. response:	This one, too.
context: I didn't want to see that.\You shouldn't take it out on the picture.\Natsume-san, what are you doing?\Wait, what was I clapping for?\Shizuku, Shizuku.\Your underwear's showing in this one.\You're seeing things.\This one, too. response:	I want love!
context: You shouldn't take it out on the picture.\Natsume-san, what are you doing?\Wait, what was I clapping for?\Shizuku, Shizuku.\Your underwear's showing in this one.\You're seeing things.\This one, too.\I want love! response:	I want love! Passionate love!
context: Natsume-san, what are you doing?\Wait, what was I clapping for?\Shizuku, Shizuku.\Your underwear's showing in this one.\You're seeing things.\This one, too.\I want love!\I want love! Passionate love! response:	Up for another group date?
context: Wait, what was I clapping for?\Shizuku, Shizuku.\Your underwear's showing in this one.\You're seeing things.\This one, too.\I want love!\I want love! Passionate love!\Up for another group date? response:	Wait, you have class again today, Yamaken?
context: Shizuku, Shizuku.\Your underwear's showing in this one.\You're seeing things.\This one, too.\I want love!\I want love! Passionate love!\Up for another group date?\Wait, you have class again today, Yamaken? response:	Yeah.
context: Your underwear's showing in this one.\You're seeing things.\This one, too.\I want love!\I want love! Passionate love!\Up for another group date?\Wait, you have class again today, Yamaken?\Yeah. response:	Don't tell me that
context: You're seeing things.\This one, too.\I want love!\I want love! Passionate love!\Up for another group date?\Wait, you have class again today, Yamaken?\Yeah.\Don't tell me that response:	you're seriously interested in the study bug.
context: This one, too.\I want love!\I want love! Passionate love!\Up for another group date?\Wait, you have class again today, Yamaken?\Yeah.\Don't tell me that\you're seriously interested in the study bug. response:	I know it's almost Christmas, but that's just wrong.
context: I want love!\I want love! Passionate love!\Up for another group date?\Wait, you have class again today, Yamaken?\Yeah.\Don't tell me that\you're seriously interested in the study bug.\I know it's almost Christmas, but that's just wrong. response:	Idiot, I'm not like you fools.
context: I want love! Passionate love!\Up for another group date?\Wait, you have class again today, Yamaken?\Yeah.\Don't tell me that\you're seriously interested in the study bug.\I know it's almost Christmas, but that's just wrong.\Idiot, I'm not like you fools. response:	Hey, Joji.
context: Up for another group date?\Wait, you have class again today, Yamaken?\Yeah.\Don't tell me that\you're seriously interested in the study bug.\I know it's almost Christmas, but that's just wrong.\Idiot, I'm not like you fools.\Hey, Joji. response:	Christmas with Everyone at RFC
context: Wait, you have class again today, Yamaken?\Yeah.\Don't tell me that\you're seriously interested in the study bug.\I know it's almost Christmas, but that's just wrong.\Idiot, I'm not like you fools.\Hey, Joji.\Christmas with Everyone at RFC response:	See ya, Yamaken.
context: Yeah.\Don't tell me that\you're seriously interested in the study bug.\I know it's almost Christmas, but that's just wrong.\Idiot, I'm not like you fools.\Hey, Joji.\Christmas with Everyone at RFC\See ya, Yamaken. response:	Don't look for girls on the Internet!
context: Don't tell me that\you're seriously interested in the study bug.\I know it's almost Christmas, but that's just wrong.\Idiot, I'm not like you fools.\Hey, Joji.\Christmas with Everyone at RFC\See ya, Yamaken.\Don't look for girls on the Internet! response:	Oh, there you are! Yamaken, lookit!
context: you're seriously interested in the study bug.\I know it's almost Christmas, but that's just wrong.\Idiot, I'm not like you fools.\Hey, Joji.\Christmas with Everyone at RFC\See ya, Yamaken.\Don't look for girls on the Internet!\Oh, there you are! Yamaken, lookit! response:	Lookit?
context: I know it's almost Christmas, but that's just wrong.\Idiot, I'm not like you fools.\Hey, Joji.\Christmas with Everyone at RFC\See ya, Yamaken.\Don't look for girls on the Internet!\Oh, there you are! Yamaken, lookit!\Lookit? response:	From: Yumi-chan (No subject) Sorry... I'm not coming if Yamaguchi-kun isn't there... So don't talk to me.
context: Idiot, I'm not like you fools.\Hey, Joji.\Christmas with Everyone at RFC\See ya, Yamaken.\Don't look for girls on the Internet!\Oh, there you are! Yamaken, lookit!\Lookit?\From: Yumi-chan (No subject) Sorry... I'm not coming if Yamaguchi-kun isn't there... So don't talk to me. response:	That girl from Oto Girls' wants you to ask her out.
context: Hey, Joji.\Christmas with Everyone at RFC\See ya, Yamaken.\Don't look for girls on the Internet!\Oh, there you are! Yamaken, lookit!\Lookit?\From: Yumi-chan (No subject) Sorry... I'm not coming if Yamaguchi-kun isn't there... So don't talk to me.\That girl from Oto Girls' wants you to ask her out. response:	Oto Girls'?
context: Christmas with Everyone at RFC\See ya, Yamaken.\Don't look for girls on the Internet!\Oh, there you are! Yamaken, lookit!\Lookit?\From: Yumi-chan (No subject) Sorry... I'm not coming if Yamaguchi-kun isn't there... So don't talk to me.\That girl from Oto Girls' wants you to ask her out.\Oto Girls'? response:	Screw that.
context: See ya, Yamaken.\Don't look for girls on the Internet!\Oh, there you are! Yamaken, lookit!\Lookit?\From: Yumi-chan (No subject) Sorry... I'm not coming if Yamaguchi-kun isn't there... So don't talk to me.\That girl from Oto Girls' wants you to ask her out.\Oto Girls'?\Screw that. response:	Tell her to come ask me out if she's so interested.
context: Don't look for girls on the Internet!\Oh, there you are! Yamaken, lookit!\Lookit?\From: Yumi-chan (No subject) Sorry... I'm not coming if Yamaguchi-kun isn't there... So don't talk to me.\That girl from Oto Girls' wants you to ask her out.\Oto Girls'?\Screw that.\Tell her to come ask me out if she's so interested. response:	What?
context: Oh, there you are! Yamaken, lookit!\Lookit?\From: Yumi-chan (No subject) Sorry... I'm not coming if Yamaguchi-kun isn't there... So don't talk to me.\That girl from Oto Girls' wants you to ask her out.\Oto Girls'?\Screw that.\Tell her to come ask me out if she's so interested.\What? response:	Otowa Girls' Academy?
context: Lookit?\From: Yumi-chan (No subject) Sorry... I'm not coming if Yamaguchi-kun isn't there... So don't talk to me.\That girl from Oto Girls' wants you to ask her out.\Oto Girls'?\Screw that.\Tell her to come ask me out if she's so interested.\What?\Otowa Girls' Academy? response:	I think she was pretty cute.
context: From: Yumi-chan (No subject) Sorry... I'm not coming if Yamaguchi-kun isn't there... So don't talk to me.\That girl from Oto Girls' wants you to ask her out.\Oto Girls'?\Screw that.\Tell her to come ask me out if she's so interested.\What?\Otowa Girls' Academy?\I think she was pretty cute. response:	Oh, Yamaken, the door's not that way.
context: That girl from Oto Girls' wants you to ask her out.\Oto Girls'?\Screw that.\Tell her to come ask me out if she's so interested.\What?\Otowa Girls' Academy?\I think she was pretty cute.\Oh, Yamaken, the door's not that way. response:	It's this way.
context: Oto Girls'?\Screw that.\Tell her to come ask me out if she's so interested.\What?\Otowa Girls' Academy?\I think she was pretty cute.\Oh, Yamaken, the door's not that way.\It's this way. response:	Be careful.
context: Screw that.\Tell her to come ask me out if she's so interested.\What?\Otowa Girls' Academy?\I think she was pretty cute.\Oh, Yamaken, the door's not that way.\It's this way.\Be careful. response:	There you go.
context: Tell her to come ask me out if she's so interested.\What?\Otowa Girls' Academy?\I think she was pretty cute.\Oh, Yamaken, the door's not that way.\It's this way.\Be careful.\There you go. response:	I have no trouble getting women,
context: What?\Otowa Girls' Academy?\I think she was pretty cute.\Oh, Yamaken, the door's not that way.\It's this way.\Be careful.\There you go.\I have no trouble getting women, response:	and that will never change.
context: Otowa Girls' Academy?\I think she was pretty cute.\Oh, Yamaken, the door's not that way.\It's this way.\Be careful.\There you go.\I have no trouble getting women,\and that will never change. response:	Wha
context: I think she was pretty cute.\Oh, Yamaken, the door's not that way.\It's this way.\Be careful.\There you go.\I have no trouble getting women,\and that will never change.\Wha response:	Damn!
context: Oh, Yamaken, the door's not that way.\It's this way.\Be careful.\There you go.\I have no trouble getting women,\and that will never change.\Wha\Damn! response:	Yamaken-kun.
context: It's this way.\Be careful.\There you go.\I have no trouble getting women,\and that will never change.\Wha\Damn!\Yamaken-kun. response:	Hello.
context: Be careful.\There you go.\I have no trouble getting women,\and that will never change.\Wha\Damn!\Yamaken-kun.\Hello. response:	So plain.
context: There you go.\I have no trouble getting women,\and that will never change.\Wha\Damn!\Yamaken-kun.\Hello.\So plain. response:	No difference from that woman I saw earlier.
context: I have no trouble getting women,\and that will never change.\Wha\Damn!\Yamaken-kun.\Hello.\So plain.\No difference from that woman I saw earlier. response:	Don't tell me that you're seriously interested in the study bug.
context: and that will never change.\Wha\Damn!\Yamaken-kun.\Hello.\So plain.\No difference from that woman I saw earlier.\Don't tell me that you're seriously interested in the study bug. response:	Am I supposed to hit on her?
context: Wha\Damn!\Yamaken-kun.\Hello.\So plain.\No difference from that woman I saw earlier.\Don't tell me that you're seriously interested in the study bug.\Am I supposed to hit on her? response:	I won't let myself sink that low.
context: Damn!\Yamaken-kun.\Hello.\So plain.\No difference from that woman I saw earlier.\Don't tell me that you're seriously interested in the study bug.\Am I supposed to hit on her?\I won't let myself sink that low. response:	Hey.
context: Yamaken-kun.\Hello.\So plain.\No difference from that woman I saw earlier.\Don't tell me that you're seriously interested in the study bug.\Am I supposed to hit on her?\I won't let myself sink that low.\Hey. response:	Excuse me.
context: Hello.\So plain.\No difference from that woman I saw earlier.\Don't tell me that you're seriously interested in the study bug.\Am I supposed to hit on her?\I won't let myself sink that low.\Hey.\Excuse me. response:	Oh, thanks.
context: So plain.\No difference from that woman I saw earlier.\Don't tell me that you're seriously interested in the study bug.\Am I supposed to hit on her?\I won't let myself sink that low.\Hey.\Excuse me.\Oh, thanks. response:	Get away from her, Yamaken.
context: No difference from that woman I saw earlier.\Don't tell me that you're seriously interested in the study bug.\Am I supposed to hit on her?\I won't let myself sink that low.\Hey.\Excuse me.\Oh, thanks.\Get away from her, Yamaken. response:	Haru.
context: Don't tell me that you're seriously interested in the study bug.\Am I supposed to hit on her?\I won't let myself sink that low.\Hey.\Excuse me.\Oh, thanks.\Get away from her, Yamaken.\Haru. response:	That hurt, bastard!
context: Am I supposed to hit on her?\I won't let myself sink that low.\Hey.\Excuse me.\Oh, thanks.\Get away from her, Yamaken.\Haru.\That hurt, bastard! response:	I hate it most when people touch my head!
context: I won't let myself sink that low.\Hey.\Excuse me.\Oh, thanks.\Get away from her, Yamaken.\Haru.\That hurt, bastard!\I hate it most when people touch my head! response:	Don't touch Shizuku.
context: Hey.\Excuse me.\Oh, thanks.\Get away from her, Yamaken.\Haru.\That hurt, bastard!\I hate it most when people touch my head!\Don't touch Shizuku. response:	You had a dirty look on your face.
context: Excuse me.\Oh, thanks.\Get away from her, Yamaken.\Haru.\That hurt, bastard!\I hate it most when people touch my head!\Don't touch Shizuku.\You had a dirty look on your face. response:	The hell are you on?!
context: Oh, thanks.\Get away from her, Yamaken.\Haru.\That hurt, bastard!\I hate it most when people touch my head!\Don't touch Shizuku.\You had a dirty look on your face.\The hell are you on?! response:	Haru.
context: Get away from her, Yamaken.\Haru.\That hurt, bastard!\I hate it most when people touch my head!\Don't touch Shizuku.\You had a dirty look on your face.\The hell are you on?!\Haru. response:	I told you to stop following me.
context: Haru.\That hurt, bastard!\I hate it most when people touch my head!\Don't touch Shizuku.\You had a dirty look on your face.\The hell are you on?!\Haru.\I told you to stop following me. response:	I wasn't following you.
context: That hurt, bastard!\I hate it most when people touch my head!\Don't touch Shizuku.\You had a dirty look on your face.\The hell are you on?!\Haru.\I told you to stop following me.\I wasn't following you. response:	I was just passing by.
context: I hate it most when people touch my head!\Don't touch Shizuku.\You had a dirty look on your face.\The hell are you on?!\Haru.\I told you to stop following me.\I wasn't following you.\I was just passing by. response:	Yeah, this is stupid.
context: Don't touch Shizuku.\You had a dirty look on your face.\The hell are you on?!\Haru.\I told you to stop following me.\I wasn't following you.\I was just passing by.\Yeah, this is stupid. response:	The hell you were!
context: You had a dirty look on your face.\The hell are you on?!\Haru.\I told you to stop following me.\I wasn't following you.\I was just passing by.\Yeah, this is stupid.\The hell you were! response:	Didn't you promise to care about the things I care about?!
context: The hell are you on?!\Haru.\I told you to stop following me.\I wasn't following you.\I was just passing by.\Yeah, this is stupid.\The hell you were!\Didn't you promise to care about the things I care about?! response:	Why is he so upset about this?
context: Haru.\I told you to stop following me.\I wasn't following you.\I was just passing by.\Yeah, this is stupid.\The hell you were!\Didn't you promise to care about the things I care about?!\Why is he so upset about this? response:	That's different. Doesn't count.
context: I told you to stop following me.\I wasn't following you.\I was just passing by.\Yeah, this is stupid.\The hell you were!\Didn't you promise to care about the things I care about?!\Why is he so upset about this?\That's different. Doesn't count. response:	Does he have no pride?
context: I wasn't following you.\I was just passing by.\Yeah, this is stupid.\The hell you were!\Didn't you promise to care about the things I care about?!\Why is he so upset about this?\That's different. Doesn't count.\Does he have no pride? response:	Anyway, my response was made under
context: I was just passing by.\Yeah, this is stupid.\The hell you were!\Didn't you promise to care about the things I care about?!\Why is he so upset about this?\That's different. Doesn't count.\Does he have no pride?\Anyway, my response was made under response:	the assumption that I would be able to study.
context: Yeah, this is stupid.\The hell you were!\Didn't you promise to care about the things I care about?!\Why is he so upset about this?\That's different. Doesn't count.\Does he have no pride?\Anyway, my response was made under\the assumption that I would be able to study. response:	My grades are still more important!
context: The hell you were!\Didn't you promise to care about the things I care about?!\Why is he so upset about this?\That's different. Doesn't count.\Does he have no pride?\Anyway, my response was made under\the assumption that I would be able to study.\My grades are still more important! response:	I love Haru.
context: Didn't you promise to care about the things I care about?!\Why is he so upset about this?\That's different. Doesn't count.\Does he have no pride?\Anyway, my response was made under\the assumption that I would be able to study.\My grades are still more important!\I love Haru. response:	It wasn't easy for me to confess my feelings.
context: Why is he so upset about this?\That's different. Doesn't count.\Does he have no pride?\Anyway, my response was made under\the assumption that I would be able to study.\My grades are still more important!\I love Haru.\It wasn't easy for me to confess my feelings. response:	I didn't want any more mistakes.
context: That's different. Doesn't count.\Does he have no pride?\Anyway, my response was made under\the assumption that I would be able to study.\My grades are still more important!\I love Haru.\It wasn't easy for me to confess my feelings.\I didn't want any more mistakes. response:	I wanted him to understand...
context: Does he have no pride?\Anyway, my response was made under\the assumption that I would be able to study.\My grades are still more important!\I love Haru.\It wasn't easy for me to confess my feelings.\I didn't want any more mistakes.\I wanted him to understand... response:	But then...
context: Anyway, my response was made under\the assumption that I would be able to study.\My grades are still more important!\I love Haru.\It wasn't easy for me to confess my feelings.\I didn't want any more mistakes.\I wanted him to understand...\But then... response:	Th-That means you won't take the winter prep course?
context: the assumption that I would be able to study.\My grades are still more important!\I love Haru.\It wasn't easy for me to confess my feelings.\I didn't want any more mistakes.\I wanted him to understand...\But then...\Th-That means you won't take the winter prep course? response:	In other words...
context: My grades are still more important!\I love Haru.\It wasn't easy for me to confess my feelings.\I didn't want any more mistakes.\I wanted him to understand...\But then...\Th-That means you won't take the winter prep course?\In other words... response:	We won't get anywhere if I'm the only one
context: I love Haru.\It wasn't easy for me to confess my feelings.\I didn't want any more mistakes.\I wanted him to understand...\But then...\Th-That means you won't take the winter prep course?\In other words...\We won't get anywhere if I'm the only one response:	doing the right thing.
context: It wasn't easy for me to confess my feelings.\I didn't want any more mistakes.\I wanted him to understand...\But then...\Th-That means you won't take the winter prep course?\In other words...\We won't get anywhere if I'm the only one\doing the right thing. response:	Sasaki Seminar
context: I didn't want any more mistakes.\I wanted him to understand...\But then...\Th-That means you won't take the winter prep course?\In other words...\We won't get anywhere if I'm the only one\doing the right thing.\Sasaki Seminar response:	Man, there's a bump now.
context: I wanted him to understand...\But then...\Th-That means you won't take the winter prep course?\In other words...\We won't get anywhere if I'm the only one\doing the right thing.\Sasaki Seminar\Man, there's a bump now. response:	Damn, he's too strong for his own good.
context: But then...\Th-That means you won't take the winter prep course?\In other words...\We won't get anywhere if I'm the only one\doing the right thing.\Sasaki Seminar\Man, there's a bump now.\Damn, he's too strong for his own good. response:	Is that where Haru hit you?
context: Th-That means you won't take the winter prep course?\In other words...\We won't get anywhere if I'm the only one\doing the right thing.\Sasaki Seminar\Man, there's a bump now.\Damn, he's too strong for his own good.\Is that where Haru hit you? response:	Does it hurt?
context: In other words...\We won't get anywhere if I'm the only one\doing the right thing.\Sasaki Seminar\Man, there's a bump now.\Damn, he's too strong for his own good.\Is that where Haru hit you?\Does it hurt? response:	Not really.
context: We won't get anywhere if I'm the only one\doing the right thing.\Sasaki Seminar\Man, there's a bump now.\Damn, he's too strong for his own good.\Is that where Haru hit you?\Does it hurt?\Not really. response:	I'm sorry.
context: doing the right thing.\Sasaki Seminar\Man, there's a bump now.\Damn, he's too strong for his own good.\Is that where Haru hit you?\Does it hurt?\Not really.\I'm sorry. response:	I didn't mean for you to get involved.
context: Sasaki Seminar\Man, there's a bump now.\Damn, he's too strong for his own good.\Is that where Haru hit you?\Does it hurt?\Not really.\I'm sorry.\I didn't mean for you to get involved. response:	Huh?
context: Man, there's a bump now.\Damn, he's too strong for his own good.\Is that where Haru hit you?\Does it hurt?\Not really.\I'm sorry.\I didn't mean for you to get involved.\Huh? response:	Why are you apologizing?
context: Damn, he's too strong for his own good.\Is that where Haru hit you?\Does it hurt?\Not really.\I'm sorry.\I didn't mean for you to get involved.\Huh?\Why are you apologizing? response:	I decided to tell him how I feel,
context: Is that where Haru hit you?\Does it hurt?\Not really.\I'm sorry.\I didn't mean for you to get involved.\Huh?\Why are you apologizing?\I decided to tell him how I feel, response:	but for some reason, he was jealous of you
