context: The be-in... response:	Why not return it?
context: The Hanbridge and Cavendish families descended from a long and respected noble bloodline.\Only nobles and the affluent are invited to the Earl's manor!\Little Miss Dunce over here with her ice cream-smeared cheeks will have to put up with watching from the sidelines.\Little miss dunce over here should just enjoy the ice cream smeared on her cheeks and grind her teeth in anger!\Not really, couldn't care less.\Taking that on the chin without a fight would put the good name of witches to shame!\Taking that without a fight would put the good name of witches to shame!\I will go! response:	I'll go even if it kills me!
context: Only nobles and the affluent are invited to the Earl's manor!\Little Miss Dunce over here with her ice cream-smeared cheeks will have to put up with watching from the sidelines.\Little miss dunce over here should just enjoy the ice cream smeared on her cheeks and grind her teeth in anger!\Not really, couldn't care less.\Taking that on the chin without a fight would put the good name of witches to shame!\Taking that without a fight would put the good name of witches to shame!\I will go!\I'll go even if it kills me! response:	Yes, all of us! And that includes you two.
context: Little Miss Dunce over here with her ice cream-smeared cheeks will have to put up with watching from the sidelines.\Little miss dunce over here should just enjoy the ice cream smeared on her cheeks and grind her teeth in anger!\Not really, couldn't care less.\Taking that on the chin without a fight would put the good name of witches to shame!\Taking that without a fight would put the good name of witches to shame!\I will go!\I'll go even if it kills me!\Yes, all of us! And that includes you two. response:	Could you make an exception?
context: Little miss dunce over here should just enjoy the ice cream smeared on her cheeks and grind her teeth in anger!\Not really, couldn't care less.\Taking that on the chin without a fight would put the good name of witches to shame!\Taking that without a fight would put the good name of witches to shame!\I will go!\I'll go even if it kills me!\Yes, all of us! And that includes you two.\Could you make an exception? response:	Well then...
context: Not really, couldn't care less.\Taking that on the chin without a fight would put the good name of witches to shame!\Taking that without a fight would put the good name of witches to shame!\I will go!\I'll go even if it kills me!\Yes, all of us! And that includes you two.\Could you make an exception?\Well then... response:	Fine, how about this, then?
context: Taking that on the chin without a fight would put the good name of witches to shame!\Taking that without a fight would put the good name of witches to shame!\I will go!\I'll go even if it kills me!\Yes, all of us! And that includes you two.\Could you make an exception?\Well then...\Fine, how about this, then? response:	Fine, how about this?
context: Taking that without a fight would put the good name of witches to shame!\I will go!\I'll go even if it kills me!\Yes, all of us! And that includes you two.\Could you make an exception?\Well then...\Fine, how about this, then?\Fine, how about this? response:	This was our best seller a century ago.
context: I will go!\I'll go even if it kills me!\Yes, all of us! And that includes you two.\Could you make an exception?\Well then...\Fine, how about this, then?\Fine, how about this?\This was our best seller a century ago. response:	I'll throw in a Snow White set and knock the whole shebang down to half price if you buy now. How about it?
context: I'll go even if it kills me!\Yes, all of us! And that includes you two.\Could you make an exception?\Well then...\Fine, how about this, then?\Fine, how about this?\This was our best seller a century ago.\I'll throw in a Snow White set and knock the whole shebang down to half price if you buy now. How about it? response:	Buy now and I'll throw in a Snow White set, and I'll even knock the whole shebang down to half price!
context: Yes, all of us! And that includes you two.\Could you make an exception?\Well then...\Fine, how about this, then?\Fine, how about this?\This was our best seller a century ago.\I'll throw in a Snow White set and knock the whole shebang down to half price if you buy now. How about it?\Buy now and I'll throw in a Snow White set, and I'll even knock the whole shebang down to half price! response:	Bubbidi!
context: Could you make an exception?\Well then...\Fine, how about this, then?\Fine, how about this?\This was our best seller a century ago.\I'll throw in a Snow White set and knock the whole shebang down to half price if you buy now. How about it?\Buy now and I'll throw in a Snow White set, and I'll even knock the whole shebang down to half price!\Bubbidi! response:	B-Bubbidi?
context: Well then...\Fine, how about this, then?\Fine, how about this?\This was our best seller a century ago.\I'll throw in a Snow White set and knock the whole shebang down to half price if you buy now. How about it?\Buy now and I'll throw in a Snow White set, and I'll even knock the whole shebang down to half price!\Bubbidi!\B-Bubbidi? response:	I get it. No wonder he couldn't sell them out.
context: Fine, how about this, then?\Fine, how about this?\This was our best seller a century ago.\I'll throw in a Snow White set and knock the whole shebang down to half price if you buy now. How about it?\Buy now and I'll throw in a Snow White set, and I'll even knock the whole shebang down to half price!\Bubbidi!\B-Bubbidi?\I get it. No wonder he couldn't sell them out. response:	His and Her Excellencies, Rodester. We have been eagerly awaiting you.
context: Fine, how about this?\This was our best seller a century ago.\I'll throw in a Snow White set and knock the whole shebang down to half price if you buy now. How about it?\Buy now and I'll throw in a Snow White set, and I'll even knock the whole shebang down to half price!\Bubbidi!\B-Bubbidi?\I get it. No wonder he couldn't sell them out.\His and Her Excellencies, Rodester. We have been eagerly awaiting you. response:	There's no way we'll be able to get in there.
context: This was our best seller a century ago.\I'll throw in a Snow White set and knock the whole shebang down to half price if you buy now. How about it?\Buy now and I'll throw in a Snow White set, and I'll even knock the whole shebang down to half price!\Bubbidi!\B-Bubbidi?\I get it. No wonder he couldn't sell them out.\His and Her Excellencies, Rodester. We have been eagerly awaiting you.\There's no way we'll be able to get in there. response:	You're magnificent, Lord Andrew. Not just anybody can be the top student at Appleton Academy.
context: I'll throw in a Snow White set and knock the whole shebang down to half price if you buy now. How about it?\Buy now and I'll throw in a Snow White set, and I'll even knock the whole shebang down to half price!\Bubbidi!\B-Bubbidi?\I get it. No wonder he couldn't sell them out.\His and Her Excellencies, Rodester. We have been eagerly awaiting you.\There's no way we'll be able to get in there.\You're magnificent, Lord Andrew. Not just anybody can be the top student at Appleton Academy. response:	You have proved to be an admirable son. Earl Hanbridge's expectations for you were well met.
context: Buy now and I'll throw in a Snow White set, and I'll even knock the whole shebang down to half price!\Bubbidi!\B-Bubbidi?\I get it. No wonder he couldn't sell them out.\His and Her Excellencies, Rodester. We have been eagerly awaiting you.\There's no way we'll be able to get in there.\You're magnificent, Lord Andrew. Not just anybody can be the top student at Appleton Academy.\You have proved to be an admirable son. Earl Hanbridge's expectations for you were well met. response:	You are a respectable son. Earl Hanbridge's expectations for you were well earned.
context: Bubbidi!\B-Bubbidi?\I get it. No wonder he couldn't sell them out.\His and Her Excellencies, Rodester. We have been eagerly awaiting you.\There's no way we'll be able to get in there.\You're magnificent, Lord Andrew. Not just anybody can be the top student at Appleton Academy.\You have proved to be an admirable son. Earl Hanbridge's expectations for you were well met.\You are a respectable son. Earl Hanbridge's expectations for you were well earned. response:	One day you will surely follow his footsteps and become a great politician.
context: B-Bubbidi?\I get it. No wonder he couldn't sell them out.\His and Her Excellencies, Rodester. We have been eagerly awaiting you.\There's no way we'll be able to get in there.\You're magnificent, Lord Andrew. Not just anybody can be the top student at Appleton Academy.\You have proved to be an admirable son. Earl Hanbridge's expectations for you were well met.\You are a respectable son. Earl Hanbridge's expectations for you were well earned.\One day you will surely follow his footsteps and become a great politician. response:	Well don't you have quite the sour look on your face, Andrew.
context: I get it. No wonder he couldn't sell them out.\His and Her Excellencies, Rodester. We have been eagerly awaiting you.\There's no way we'll be able to get in there.\You're magnificent, Lord Andrew. Not just anybody can be the top student at Appleton Academy.\You have proved to be an admirable son. Earl Hanbridge's expectations for you were well met.\You are a respectable son. Earl Hanbridge's expectations for you were well earned.\One day you will surely follow his footsteps and become a great politician.\Well don't you have quite the sour look on your face, Andrew. response:	Regrettably, I must request your departure.
context: His and Her Excellencies, Rodester. We have been eagerly awaiting you.\There's no way we'll be able to get in there.\You're magnificent, Lord Andrew. Not just anybody can be the top student at Appleton Academy.\You have proved to be an admirable son. Earl Hanbridge's expectations for you were well met.\You are a respectable son. Earl Hanbridge's expectations for you were well earned.\One day you will surely follow his footsteps and become a great politician.\Well don't you have quite the sour look on your face, Andrew.\Regrettably, I must request your departure. response:	You're planning to throw me out?!
context: There's no way we'll be able to get in there.\You're magnificent, Lord Andrew. Not just anybody can be the top student at Appleton Academy.\You have proved to be an admirable son. Earl Hanbridge's expectations for you were well met.\You are a respectable son. Earl Hanbridge's expectations for you were well earned.\One day you will surely follow his footsteps and become a great politician.\Well don't you have quite the sour look on your face, Andrew.\Regrettably, I must request your departure.\You're planning to throw me out?! response:	Witches, obsolete and bogus as they are, have no place here.
context: You're magnificent, Lord Andrew. Not just anybody can be the top student at Appleton Academy.\You have proved to be an admirable son. Earl Hanbridge's expectations for you were well met.\You are a respectable son. Earl Hanbridge's expectations for you were well earned.\One day you will surely follow his footsteps and become a great politician.\Well don't you have quite the sour look on your face, Andrew.\Regrettably, I must request your departure.\You're planning to throw me out?!\Witches, obsolete and bogus as they are, have no place here. response:	Outdated and phony witches have no place here.
context: You have proved to be an admirable son. Earl Hanbridge's expectations for you were well met.\You are a respectable son. Earl Hanbridge's expectations for you were well earned.\One day you will surely follow his footsteps and become a great politician.\Well don't you have quite the sour look on your face, Andrew.\Regrettably, I must request your departure.\You're planning to throw me out?!\Witches, obsolete and bogus as they are, have no place here.\Outdated and phony witches have no place here. response:	Let it be, Andrew. What could be a more amusing surprise than a visit from these witches?
context: You are a respectable son. Earl Hanbridge's expectations for you were well earned.\One day you will surely follow his footsteps and become a great politician.\Well don't you have quite the sour look on your face, Andrew.\Regrettably, I must request your departure.\You're planning to throw me out?!\Witches, obsolete and bogus as they are, have no place here.\Outdated and phony witches have no place here.\Let it be, Andrew. What could be a more amusing surprise than a visit from these witches? response:	Come on, Andrew. What could be a more pleasant surprise than a visit from these witches?
context: One day you will surely follow his footsteps and become a great politician.\Well don't you have quite the sour look on your face, Andrew.\Regrettably, I must request your departure.\You're planning to throw me out?!\Witches, obsolete and bogus as they are, have no place here.\Outdated and phony witches have no place here.\Let it be, Andrew. What could be a more amusing surprise than a visit from these witches?\Come on, Andrew. What could be a more pleasant surprise than a visit from these witches? response:	Unfortunately, I hate surprises.
context: Well don't you have quite the sour look on your face, Andrew.\Regrettably, I must request your departure.\You're planning to throw me out?!\Witches, obsolete and bogus as they are, have no place here.\Outdated and phony witches have no place here.\Let it be, Andrew. What could be a more amusing surprise than a visit from these witches?\Come on, Andrew. What could be a more pleasant surprise than a visit from these witches?\Unfortunately, I hate surprises. response:	There must have been something wrong with me.
context: Regrettably, I must request your departure.\You're planning to throw me out?!\Witches, obsolete and bogus as they are, have no place here.\Outdated and phony witches have no place here.\Let it be, Andrew. What could be a more amusing surprise than a visit from these witches?\Come on, Andrew. What could be a more pleasant surprise than a visit from these witches?\Unfortunately, I hate surprises.\There must have been something wrong with me. response:	Why would I ever send you home?
context: You're planning to throw me out?!\Witches, obsolete and bogus as they are, have no place here.\Outdated and phony witches have no place here.\Let it be, Andrew. What could be a more amusing surprise than a visit from these witches?\Come on, Andrew. What could be a more pleasant surprise than a visit from these witches?\Unfortunately, I hate surprises.\There must have been something wrong with me.\Why would I ever send you home? response:	My thoughts must have been in disarray. Ever since the moment I first laid eyes on you...
context: Witches, obsolete and bogus as they are, have no place here.\Outdated and phony witches have no place here.\Let it be, Andrew. What could be a more amusing surprise than a visit from these witches?\Come on, Andrew. What could be a more pleasant surprise than a visit from these witches?\Unfortunately, I hate surprises.\There must have been something wrong with me.\Why would I ever send you home?\My thoughts must have been in disarray. Ever since the moment I first laid eyes on you... response:	You had nestled yourself a place in my heart.
context: Outdated and phony witches have no place here.\Let it be, Andrew. What could be a more amusing surprise than a visit from these witches?\Come on, Andrew. What could be a more pleasant surprise than a visit from these witches?\Unfortunately, I hate surprises.\There must have been something wrong with me.\Why would I ever send you home?\My thoughts must have been in disarray. Ever since the moment I first laid eyes on you...\You had nestled yourself a place in my heart. response:	Please let me be with you.
context: Let it be, Andrew. What could be a more amusing surprise than a visit from these witches?\Come on, Andrew. What could be a more pleasant surprise than a visit from these witches?\Unfortunately, I hate surprises.\There must have been something wrong with me.\Why would I ever send you home?\My thoughts must have been in disarray. Ever since the moment I first laid eyes on you...\You had nestled yourself a place in my heart.\Please let me be with you. response:	You're the one who said we should try it on someone.
context: Come on, Andrew. What could be a more pleasant surprise than a visit from these witches?\Unfortunately, I hate surprises.\There must have been something wrong with me.\Why would I ever send you home?\My thoughts must have been in disarray. Ever since the moment I first laid eyes on you...\You had nestled yourself a place in my heart.\Please let me be with you.\You're the one who said we should try it on someone. response:	I spy a cutie!
context: Unfortunately, I hate surprises.\There must have been something wrong with me.\Why would I ever send you home?\My thoughts must have been in disarray. Ever since the moment I first laid eyes on you...\You had nestled yourself a place in my heart.\Please let me be with you.\You're the one who said we should try it on someone.\I spy a cutie! response:	How should we refer to you?
context: There must have been something wrong with me.\Why would I ever send you home?\My thoughts must have been in disarray. Ever since the moment I first laid eyes on you...\You had nestled yourself a place in my heart.\Please let me be with you.\You're the one who said we should try it on someone.\I spy a cutie!\How should we refer to you? response:	There's nothing better than toying with you, Akko.
context: Why would I ever send you home?\My thoughts must have been in disarray. Ever since the moment I first laid eyes on you...\You had nestled yourself a place in my heart.\Please let me be with you.\You're the one who said we should try it on someone.\I spy a cutie!\How should we refer to you?\There's nothing better than toying with you, Akko. response:	Akko, toying with you is the best.
context: My thoughts must have been in disarray. Ever since the moment I first laid eyes on you...\You had nestled yourself a place in my heart.\Please let me be with you.\You're the one who said we should try it on someone.\I spy a cutie!\How should we refer to you?\There's nothing better than toying with you, Akko.\Akko, toying with you is the best. response:	I must find my outlet for this restlessness in my chest.
context: You had nestled yourself a place in my heart.\Please let me be with you.\You're the one who said we should try it on someone.\I spy a cutie!\How should we refer to you?\There's nothing better than toying with you, Akko.\Akko, toying with you is the best.\I must find my outlet for this restlessness in my chest. response:	Why not enjoy it? It's the first time you've ever been coveted.
context: Please let me be with you.\You're the one who said we should try it on someone.\I spy a cutie!\How should we refer to you?\There's nothing better than toying with you, Akko.\Akko, toying with you is the best.\I must find my outlet for this restlessness in my chest.\Why not enjoy it? It's the first time you've ever been coveted. response:	This is the first time someone's had their eye on you.
context: You're the one who said we should try it on someone.\I spy a cutie!\How should we refer to you?\There's nothing better than toying with you, Akko.\Akko, toying with you is the best.\I must find my outlet for this restlessness in my chest.\Why not enjoy it? It's the first time you've ever been coveted.\This is the first time someone's had their eye on you. response:	Oh yeah, this is the first time!
context: I spy a cutie!\How should we refer to you?\There's nothing better than toying with you, Akko.\Akko, toying with you is the best.\I must find my outlet for this restlessness in my chest.\Why not enjoy it? It's the first time you've ever been coveted.\This is the first time someone's had their eye on you.\Oh yeah, this is the first time! response:	Oh yeah, this has never happened before!
context: How should we refer to you?\There's nothing better than toying with you, Akko.\Akko, toying with you is the best.\I must find my outlet for this restlessness in my chest.\Why not enjoy it? It's the first time you've ever been coveted.\This is the first time someone's had their eye on you.\Oh yeah, this is the first time!\Oh yeah, this has never happened before! response:	And it probably won't happen again.
context: There's nothing better than toying with you, Akko.\Akko, toying with you is the best.\I must find my outlet for this restlessness in my chest.\Why not enjoy it? It's the first time you've ever been coveted.\This is the first time someone's had their eye on you.\Oh yeah, this is the first time!\Oh yeah, this has never happened before!\And it probably won't happen again. response:	And it probably never will again.
context: Akko, toying with you is the best.\I must find my outlet for this restlessness in my chest.\Why not enjoy it? It's the first time you've ever been coveted.\This is the first time someone's had their eye on you.\Oh yeah, this is the first time!\Oh yeah, this has never happened before!\And it probably won't happen again.\And it probably never will again. response:	True, it probably won't
context: I must find my outlet for this restlessness in my chest.\Why not enjoy it? It's the first time you've ever been coveted.\This is the first time someone's had their eye on you.\Oh yeah, this is the first time!\Oh yeah, this has never happened before!\And it probably won't happen again.\And it probably never will again.\True, it probably won't response:	True, I'll never again
context: Why not enjoy it? It's the first time you've ever been coveted.\This is the first time someone's had their eye on you.\Oh yeah, this is the first time!\Oh yeah, this has never happened before!\And it probably won't happen again.\And it probably never will again.\True, it probably won't\True, I'll never again response:	If you squish the lovelove bee with this, its spell will probably be broken.
context: This is the first time someone's had their eye on you.\Oh yeah, this is the first time!\Oh yeah, this has never happened before!\And it probably won't happen again.\And it probably never will again.\True, it probably won't\True, I'll never again\If you squish the lovelove bee with this, its spell will probably be broken. response:	It seems you opened our gates to a witch of Luna Nova.
context: Oh yeah, this is the first time!\Oh yeah, this has never happened before!\And it probably won't happen again.\And it probably never will again.\True, it probably won't\True, I'll never again\If you squish the lovelove bee with this, its spell will probably be broken.\It seems you opened our gates to a witch of Luna Nova. response:	Are you aware of my prejudice against witches?
context: Oh yeah, this has never happened before!\And it probably won't happen again.\And it probably never will again.\True, it probably won't\True, I'll never again\If you squish the lovelove bee with this, its spell will probably be broken.\It seems you opened our gates to a witch of Luna Nova.\Are you aware of my prejudice against witches? response:	We politicians must be the ones to consolidate power for our nation.
context: And it probably won't happen again.\And it probably never will again.\True, it probably won't\True, I'll never again\If you squish the lovelove bee with this, its spell will probably be broken.\It seems you opened our gates to a witch of Luna Nova.\Are you aware of my prejudice against witches?\We politicians must be the ones to consolidate power for our nation. response:	Witches are unnecessary.
context: And it probably never will again.\True, it probably won't\True, I'll never again\If you squish the lovelove bee with this, its spell will probably be broken.\It seems you opened our gates to a witch of Luna Nova.\Are you aware of my prejudice against witches?\We politicians must be the ones to consolidate power for our nation.\Witches are unnecessary. response:	That is what politics does. You have a bad habit of getting engrossed in trivialities.
context: True, it probably won't\True, I'll never again\If you squish the lovelove bee with this, its spell will probably be broken.\It seems you opened our gates to a witch of Luna Nova.\Are you aware of my prejudice against witches?\We politicians must be the ones to consolidate power for our nation.\Witches are unnecessary.\That is what politics does. You have a bad habit of getting engrossed in trivialities. response:	That's politics. You have a bad habit of getting engrossed in unnecessary things.
context: True, I'll never again\If you squish the lovelove bee with this, its spell will probably be broken.\It seems you opened our gates to a witch of Luna Nova.\Are you aware of my prejudice against witches?\We politicians must be the ones to consolidate power for our nation.\Witches are unnecessary.\That is what politics does. You have a bad habit of getting engrossed in trivialities.\That's politics. You have a bad habit of getting engrossed in unnecessary things. response:	I recall you wishing to play piano as a child.
context: If you squish the lovelove bee with this, its spell will probably be broken.\It seems you opened our gates to a witch of Luna Nova.\Are you aware of my prejudice against witches?\We politicians must be the ones to consolidate power for our nation.\Witches are unnecessary.\That is what politics does. You have a bad habit of getting engrossed in trivialities.\That's politics. You have a bad habit of getting engrossed in unnecessary things.\I recall you wishing to play piano as a child. response:	I haven't touched a piano in ten years, as you instructed.
context: It seems you opened our gates to a witch of Luna Nova.\Are you aware of my prejudice against witches?\We politicians must be the ones to consolidate power for our nation.\Witches are unnecessary.\That is what politics does. You have a bad habit of getting engrossed in trivialities.\That's politics. You have a bad habit of getting engrossed in unnecessary things.\I recall you wishing to play piano as a child.\I haven't touched a piano in ten years, as you instructed. response:	It's only natural. You are to become the man who leads this country.
context: Are you aware of my prejudice against witches?\We politicians must be the ones to consolidate power for our nation.\Witches are unnecessary.\That is what politics does. You have a bad habit of getting engrossed in trivialities.\That's politics. You have a bad habit of getting engrossed in unnecessary things.\I recall you wishing to play piano as a child.\I haven't touched a piano in ten years, as you instructed.\It's only natural. You are to become the man who leads this country. response:	You have no need for effeminate music.
context: We politicians must be the ones to consolidate power for our nation.\Witches are unnecessary.\That is what politics does. You have a bad habit of getting engrossed in trivialities.\That's politics. You have a bad habit of getting engrossed in unnecessary things.\I recall you wishing to play piano as a child.\I haven't touched a piano in ten years, as you instructed.\It's only natural. You are to become the man who leads this country.\You have no need for effeminate music. response:	Remove the witches. Am I clear?
context: Witches are unnecessary.\That is what politics does. You have a bad habit of getting engrossed in trivialities.\That's politics. You have a bad habit of getting engrossed in unnecessary things.\I recall you wishing to play piano as a child.\I haven't touched a piano in ten years, as you instructed.\It's only natural. You are to become the man who leads this country.\You have no need for effeminate music.\Remove the witches. Am I clear? response:	How about removing this witch?
context: That is what politics does. You have a bad habit of getting engrossed in trivialities.\That's politics. You have a bad habit of getting engrossed in unnecessary things.\I recall you wishing to play piano as a child.\I haven't touched a piano in ten years, as you instructed.\It's only natural. You are to become the man who leads this country.\You have no need for effeminate music.\Remove the witches. Am I clear?\How about removing this witch? response:	Just like you threw the piano out from your life.
context: That's politics. You have a bad habit of getting engrossed in unnecessary things.\I recall you wishing to play piano as a child.\I haven't touched a piano in ten years, as you instructed.\It's only natural. You are to become the man who leads this country.\You have no need for effeminate music.\Remove the witches. Am I clear?\How about removing this witch?\Just like you threw the piano out from your life. response:	I had no idea you were so spineless. You're no more than your father's puppet.
context: I recall you wishing to play piano as a child.\I haven't touched a piano in ten years, as you instructed.\It's only natural. You are to become the man who leads this country.\You have no need for effeminate music.\Remove the witches. Am I clear?\How about removing this witch?\Just like you threw the piano out from your life.\I had no idea you were so spineless. You're no more than your father's puppet. response:	I have a duty to succeed my father as a politician.
context: I haven't touched a piano in ten years, as you instructed.\It's only natural. You are to become the man who leads this country.\You have no need for effeminate music.\Remove the witches. Am I clear?\How about removing this witch?\Just like you threw the piano out from your life.\I had no idea you were so spineless. You're no more than your father's puppet.\I have a duty to succeed my father as a politician. response:	I may just be a little witch right now, but I have fun every day chasing my dream.
context: It's only natural. You are to become the man who leads this country.\You have no need for effeminate music.\Remove the witches. Am I clear?\How about removing this witch?\Just like you threw the piano out from your life.\I had no idea you were so spineless. You're no more than your father's puppet.\I have a duty to succeed my father as a politician.\I may just be a little witch right now, but I have fun every day chasing my dream. response:	Just imagining Chariot's smile is enough to make my whole world filled with rainbows!
context: You have no need for effeminate music.\Remove the witches. Am I clear?\How about removing this witch?\Just like you threw the piano out from your life.\I had no idea you were so spineless. You're no more than your father's puppet.\I have a duty to succeed my father as a politician.\I may just be a little witch right now, but I have fun every day chasing my dream.\Just imagining Chariot's smile is enough to make my whole world filled with rainbows! response:	Not like a certain someone here would understand...
context: Remove the witches. Am I clear?\How about removing this witch?\Just like you threw the piano out from your life.\I had no idea you were so spineless. You're no more than your father's puppet.\I have a duty to succeed my father as a politician.\I may just be a little witch right now, but I have fun every day chasing my dream.\Just imagining Chariot's smile is enough to make my whole world filled with rainbows!\Not like a certain someone here would understand... response:	Though a certain someone probably can't understand.
context: How about removing this witch?\Just like you threw the piano out from your life.\I had no idea you were so spineless. You're no more than your father's puppet.\I have a duty to succeed my father as a politician.\I may just be a little witch right now, but I have fun every day chasing my dream.\Just imagining Chariot's smile is enough to make my whole world filled with rainbows!\Not like a certain someone here would understand...\Though a certain someone probably can't understand. response:	That's not how you really feel. It's just because you were stung by that magic bee.
context: Just like you threw the piano out from your life.\I had no idea you were so spineless. You're no more than your father's puppet.\I have a duty to succeed my father as a politician.\I may just be a little witch right now, but I have fun every day chasing my dream.\Just imagining Chariot's smile is enough to make my whole world filled with rainbows!\Not like a certain someone here would understand...\Though a certain someone probably can't understand.\That's not how you really feel. It's just because you were stung by that magic bee. response:	Are you all right?!
context: I had no idea you were so spineless. You're no more than your father's puppet.\I have a duty to succeed my father as a politician.\I may just be a little witch right now, but I have fun every day chasing my dream.\Just imagining Chariot's smile is enough to make my whole world filled with rainbows!\Not like a certain someone here would understand...\Though a certain someone probably can't understand.\That's not how you really feel. It's just because you were stung by that magic bee.\Are you all right?! response:	It's only natural. I'm perfect.
context: I have a duty to succeed my father as a politician.\I may just be a little witch right now, but I have fun every day chasing my dream.\Just imagining Chariot's smile is enough to make my whole world filled with rainbows!\Not like a certain someone here would understand...\Though a certain someone probably can't understand.\That's not how you really feel. It's just because you were stung by that magic bee.\Are you all right?!\It's only natural. I'm perfect. response:	Let's get out of here. There aren't any worthwhile girls anyway.
context: I may just be a little witch right now, but I have fun every day chasing my dream.\Just imagining Chariot's smile is enough to make my whole world filled with rainbows!\Not like a certain someone here would understand...\Though a certain someone probably can't understand.\That's not how you really feel. It's just because you were stung by that magic bee.\Are you all right?!\It's only natural. I'm perfect.\Let's get out of here. There aren't any worthwhile girls anyway. response:	Come along, let's return home.
context: Just imagining Chariot's smile is enough to make my whole world filled with rainbows!\Not like a certain someone here would understand...\Though a certain someone probably can't understand.\That's not how you really feel. It's just because you were stung by that magic bee.\Are you all right?!\It's only natural. I'm perfect.\Let's get out of here. There aren't any worthwhile girls anyway.\Come along, let's return home. response:	But then I realized it when I saw her sad smile.
context: Not like a certain someone here would understand...\Though a certain someone probably can't understand.\That's not how you really feel. It's just because you were stung by that magic bee.\Are you all right?!\It's only natural. I'm perfect.\Let's get out of here. There aren't any worthwhile girls anyway.\Come along, let's return home.\But then I realized it when I saw her sad smile. response:	She's the sort of kindhearted girls you rarely find nowadays.
context: Though a certain someone probably can't understand.\That's not how you really feel. It's just because you were stung by that magic bee.\Are you all right?!\It's only natural. I'm perfect.\Let's get out of here. There aren't any worthwhile girls anyway.\Come along, let's return home.\But then I realized it when I saw her sad smile.\She's the sort of kindhearted girls you rarely find nowadays. response:	She's a kindhearted girl you rarely find nowadays.
