context: Um, may I help you? response:	Give me the medicine written on this note.
context: So he's just like that Makishima guy?\He can kill while keeping his Psycho-Pass normal.\This helmet is probably the key.\It must have had some means of deceiving the cymatic scan.\That Makishima guy who got the jump on Inspector Tsunemori\might have used a similar device.\But is a helmet like that all that's needed to fake one's Psycho-Pass?\I could understand if all it did was block the cymatic scan. response:	But of course, that alone wouldn't get them through security
context: He can kill while keeping his Psycho-Pass normal.\This helmet is probably the key.\It must have had some means of deceiving the cymatic scan.\That Makishima guy who got the jump on Inspector Tsunemori\might have used a similar device.\But is a helmet like that all that's needed to fake one's Psycho-Pass?\I could understand if all it did was block the cymatic scan.\But of course, that alone wouldn't get them through security response:	because if someone who can't be scanned passes through,
context: This helmet is probably the key.\It must have had some means of deceiving the cymatic scan.\That Makishima guy who got the jump on Inspector Tsunemori\might have used a similar device.\But is a helmet like that all that's needed to fake one's Psycho-Pass?\I could understand if all it did was block the cymatic scan.\But of course, that alone wouldn't get them through security\because if someone who can't be scanned passes through, response:	an alarm would go off right away.
context: It must have had some means of deceiving the cymatic scan.\That Makishima guy who got the jump on Inspector Tsunemori\might have used a similar device.\But is a helmet like that all that's needed to fake one's Psycho-Pass?\I could understand if all it did was block the cymatic scan.\But of course, that alone wouldn't get them through security\because if someone who can't be scanned passes through,\an alarm would go off right away. response:	The problem is that the scanner detected the intruder's Psycho-Pass,
context: That Makishima guy who got the jump on Inspector Tsunemori\might have used a similar device.\But is a helmet like that all that's needed to fake one's Psycho-Pass?\I could understand if all it did was block the cymatic scan.\But of course, that alone wouldn't get them through security\because if someone who can't be scanned passes through,\an alarm would go off right away.\The problem is that the scanner detected the intruder's Psycho-Pass, response:	and assessed his Hue as that of a good citizen who wouldn't hurt a fly.
context: might have used a similar device.\But is a helmet like that all that's needed to fake one's Psycho-Pass?\I could understand if all it did was block the cymatic scan.\But of course, that alone wouldn't get them through security\because if someone who can't be scanned passes through,\an alarm would go off right away.\The problem is that the scanner detected the intruder's Psycho-Pass,\and assessed his Hue as that of a good citizen who wouldn't hurt a fly. response:	Do you think he cracked the system?
context: But is a helmet like that all that's needed to fake one's Psycho-Pass?\I could understand if all it did was block the cymatic scan.\But of course, that alone wouldn't get them through security\because if someone who can't be scanned passes through,\an alarm would go off right away.\The problem is that the scanner detected the intruder's Psycho-Pass,\and assessed his Hue as that of a good citizen who wouldn't hurt a fly.\Do you think he cracked the system? response:	That's not possible.
context: I could understand if all it did was block the cymatic scan.\But of course, that alone wouldn't get them through security\because if someone who can't be scanned passes through,\an alarm would go off right away.\The problem is that the scanner detected the intruder's Psycho-Pass,\and assessed his Hue as that of a good citizen who wouldn't hurt a fly.\Do you think he cracked the system?\That's not possible. response:	The crime took place in a short span of time and appeared not to be premeditated.
context: But of course, that alone wouldn't get them through security\because if someone who can't be scanned passes through,\an alarm would go off right away.\The problem is that the scanner detected the intruder's Psycho-Pass,\and assessed his Hue as that of a good citizen who wouldn't hurt a fly.\Do you think he cracked the system?\That's not possible.\The crime took place in a short span of time and appeared not to be premeditated. response:	It'd be impossible for someone to alter the data without leaving any trace.
context: because if someone who can't be scanned passes through,\an alarm would go off right away.\The problem is that the scanner detected the intruder's Psycho-Pass,\and assessed his Hue as that of a good citizen who wouldn't hurt a fly.\Do you think he cracked the system?\That's not possible.\The crime took place in a short span of time and appeared not to be premeditated.\It'd be impossible for someone to alter the data without leaving any trace. response:	The current security system
context: an alarm would go off right away.\The problem is that the scanner detected the intruder's Psycho-Pass,\and assessed his Hue as that of a good citizen who wouldn't hurt a fly.\Do you think he cracked the system?\That's not possible.\The crime took place in a short span of time and appeared not to be premeditated.\It'd be impossible for someone to alter the data without leaving any trace.\The current security system response:	is based around the assumption that a cymatic scan is reliable.
context: The problem is that the scanner detected the intruder's Psycho-Pass,\and assessed his Hue as that of a good citizen who wouldn't hurt a fly.\Do you think he cracked the system?\That's not possible.\The crime took place in a short span of time and appeared not to be premeditated.\It'd be impossible for someone to alter the data without leaving any trace.\The current security system\is based around the assumption that a cymatic scan is reliable. response:	That's why, if someone's Psycho-Pass checks out,
context: and assessed his Hue as that of a good citizen who wouldn't hurt a fly.\Do you think he cracked the system?\That's not possible.\The crime took place in a short span of time and appeared not to be premeditated.\It'd be impossible for someone to alter the data without leaving any trace.\The current security system\is based around the assumption that a cymatic scan is reliable.\That's why, if someone's Psycho-Pass checks out, response:	it allows them through on the assumption that there's no way they could cause trouble.
context: Do you think he cracked the system?\That's not possible.\The crime took place in a short span of time and appeared not to be premeditated.\It'd be impossible for someone to alter the data without leaving any trace.\The current security system\is based around the assumption that a cymatic scan is reliable.\That's why, if someone's Psycho-Pass checks out,\it allows them through on the assumption that there's no way they could cause trouble. response:	Even when actual assaults and thefts are committed,
context: That's not possible.\The crime took place in a short span of time and appeared not to be premeditated.\It'd be impossible for someone to alter the data without leaving any trace.\The current security system\is based around the assumption that a cymatic scan is reliable.\That's why, if someone's Psycho-Pass checks out,\it allows them through on the assumption that there's no way they could cause trouble.\Even when actual assaults and thefts are committed, response:	the Drones' AI routines don't have the ability to identify them as crimes.
context: The crime took place in a short span of time and appeared not to be premeditated.\It'd be impossible for someone to alter the data without leaving any trace.\The current security system\is based around the assumption that a cymatic scan is reliable.\That's why, if someone's Psycho-Pass checks out,\it allows them through on the assumption that there's no way they could cause trouble.\Even when actual assaults and thefts are committed,\the Drones' AI routines don't have the ability to identify them as crimes. response:	Since everyone gets a Psycho-Pass scan, their judgement is solely based on that.
context: It'd be impossible for someone to alter the data without leaving any trace.\The current security system\is based around the assumption that a cymatic scan is reliable.\That's why, if someone's Psycho-Pass checks out,\it allows them through on the assumption that there's no way they could cause trouble.\Even when actual assaults and thefts are committed,\the Drones' AI routines don't have the ability to identify them as crimes.\Since everyone gets a Psycho-Pass scan, their judgement is solely based on that. response:	There are no longer any means left for dealing with crimes like this...
context: The current security system\is based around the assumption that a cymatic scan is reliable.\That's why, if someone's Psycho-Pass checks out,\it allows them through on the assumption that there's no way they could cause trouble.\Even when actual assaults and thefts are committed,\the Drones' AI routines don't have the ability to identify them as crimes.\Since everyone gets a Psycho-Pass scan, their judgement is solely based on that.\There are no longer any means left for dealing with crimes like this... response:	in this town.
context: is based around the assumption that a cymatic scan is reliable.\That's why, if someone's Psycho-Pass checks out,\it allows them through on the assumption that there's no way they could cause trouble.\Even when actual assaults and thefts are committed,\the Drones' AI routines don't have the ability to identify them as crimes.\Since everyone gets a Psycho-Pass scan, their judgement is solely based on that.\There are no longer any means left for dealing with crimes like this...\in this town. response:	Yeah, exactly.
context: That's why, if someone's Psycho-Pass checks out,\it allows them through on the assumption that there's no way they could cause trouble.\Even when actual assaults and thefts are committed,\the Drones' AI routines don't have the ability to identify them as crimes.\Since everyone gets a Psycho-Pass scan, their judgement is solely based on that.\There are no longer any means left for dealing with crimes like this...\in this town.\Yeah, exactly. response:	So I told him, That's not my job, right?
context: it allows them through on the assumption that there's no way they could cause trouble.\Even when actual assaults and thefts are committed,\the Drones' AI routines don't have the ability to identify them as crimes.\Since everyone gets a Psycho-Pass scan, their judgement is solely based on that.\There are no longer any means left for dealing with crimes like this...\in this town.\Yeah, exactly.\So I told him, That's not my job, right? response:	After that, he got this really stupid look on his face!
context: Even when actual assaults and thefts are committed,\the Drones' AI routines don't have the ability to identify them as crimes.\Since everyone gets a Psycho-Pass scan, their judgement is solely based on that.\There are no longer any means left for dealing with crimes like this...\in this town.\Yeah, exactly.\So I told him, That's not my job, right?\After that, he got this really stupid look on his face! response:	Wh-What do you want?
context: the Drones' AI routines don't have the ability to identify them as crimes.\Since everyone gets a Psycho-Pass scan, their judgement is solely based on that.\There are no longer any means left for dealing with crimes like this...\in this town.\Yeah, exactly.\So I told him, That's not my job, right?\After that, he got this really stupid look on his face!\Wh-What do you want? response:	I have detected that you are experiencing a great deal of stress.
context: Since everyone gets a Psycho-Pass scan, their judgement is solely based on that.\There are no longer any means left for dealing with crimes like this...\in this town.\Yeah, exactly.\So I told him, That's not my job, right?\After that, he got this really stupid look on his face!\Wh-What do you want?\I have detected that you are experiencing a great deal of stress. response:	I recommend you seek immediate mental care from a specialized medical facility.
context: There are no longer any means left for dealing with crimes like this...\in this town.\Yeah, exactly.\So I told him, That's not my job, right?\After that, he got this really stupid look on his face!\Wh-What do you want?\I have detected that you are experiencing a great deal of stress.\I recommend you seek immediate mental care from a specialized medical facility. response:	Are you distressed?
context: in this town.\Yeah, exactly.\So I told him, That's not my job, right?\After that, he got this really stupid look on his face!\Wh-What do you want?\I have detected that you are experiencing a great deal of stress.\I recommend you seek immediate mental care from a specialized medical facility.\Are you distressed? response:	The Ministry of Welfare's Urban Service helps everyone live a healthy life.
context: Yeah, exactly.\So I told him, That's not my job, right?\After that, he got this really stupid look on his face!\Wh-What do you want?\I have detected that you are experiencing a great deal of stress.\I recommend you seek immediate mental care from a specialized medical facility.\Are you distressed?\The Ministry of Welfare's Urban Service helps everyone live a healthy life. response:	If there's someone who's been injured or has suddenly become unwell,
context: So I told him, That's not my job, right?\After that, he got this really stupid look on his face!\Wh-What do you want?\I have detected that you are experiencing a great deal of stress.\I recommend you seek immediate mental care from a specialized medical facility.\Are you distressed?\The Ministry of Welfare's Urban Service helps everyone live a healthy life.\If there's someone who's been injured or has suddenly become unwell, response:	would you like to request an ambulance from the nearest emergency hospital?
context: After that, he got this really stupid look on his face!\Wh-What do you want?\I have detected that you are experiencing a great deal of stress.\I recommend you seek immediate mental care from a specialized medical facility.\Are you distressed?\The Ministry of Welfare's Urban Service helps everyone live a healthy life.\If there's someone who's been injured or has suddenly become unwell,\would you like to request an ambulance from the nearest emergency hospital? response:	If so, be aware you will be charged an uninsured service fee at a later date.
context: Wh-What do you want?\I have detected that you are experiencing a great deal of stress.\I recommend you seek immediate mental care from a specialized medical facility.\Are you distressed?\The Ministry of Welfare's Urban Service helps everyone live a healthy life.\If there's someone who's been injured or has suddenly become unwell,\would you like to request an ambulance from the nearest emergency hospital?\If so, be aware you will be charged an uninsured service fee at a later date. response:	This is good. Real brutal stuff.
context: I have detected that you are experiencing a great deal of stress.\I recommend you seek immediate mental care from a specialized medical facility.\Are you distressed?\The Ministry of Welfare's Urban Service helps everyone live a healthy life.\If there's someone who's been injured or has suddenly become unwell,\would you like to request an ambulance from the nearest emergency hospital?\If so, be aware you will be charged an uninsured service fee at a later date.\This is good. Real brutal stuff. response:	In the olden days, people physically locked their front doors as a matter of course
context: I recommend you seek immediate mental care from a specialized medical facility.\Are you distressed?\The Ministry of Welfare's Urban Service helps everyone live a healthy life.\If there's someone who's been injured or has suddenly become unwell,\would you like to request an ambulance from the nearest emergency hospital?\If so, be aware you will be charged an uninsured service fee at a later date.\This is good. Real brutal stuff.\In the olden days, people physically locked their front doors as a matter of course response:	because doubting others was the basis for maintaining order.
context: Are you distressed?\The Ministry of Welfare's Urban Service helps everyone live a healthy life.\If there's someone who's been injured or has suddenly become unwell,\would you like to request an ambulance from the nearest emergency hospital?\If so, be aware you will be charged an uninsured service fee at a later date.\This is good. Real brutal stuff.\In the olden days, people physically locked their front doors as a matter of course\because doubting others was the basis for maintaining order. response:	Is that from one of Masaoka's stories about the past?
context: The Ministry of Welfare's Urban Service helps everyone live a healthy life.\If there's someone who's been injured or has suddenly become unwell,\would you like to request an ambulance from the nearest emergency hospital?\If so, be aware you will be charged an uninsured service fee at a later date.\This is good. Real brutal stuff.\In the olden days, people physically locked their front doors as a matter of course\because doubting others was the basis for maintaining order.\Is that from one of Masaoka's stories about the past? response:	Yeah. I heard it from that old man.
context: If there's someone who's been injured or has suddenly become unwell,\would you like to request an ambulance from the nearest emergency hospital?\If so, be aware you will be charged an uninsured service fee at a later date.\This is good. Real brutal stuff.\In the olden days, people physically locked their front doors as a matter of course\because doubting others was the basis for maintaining order.\Is that from one of Masaoka's stories about the past?\Yeah. I heard it from that old man. response:	We no longer have to operate on the assumption that other people cannot be trusted.
context: would you like to request an ambulance from the nearest emergency hospital?\If so, be aware you will be charged an uninsured service fee at a later date.\This is good. Real brutal stuff.\In the olden days, people physically locked their front doors as a matter of course\because doubting others was the basis for maintaining order.\Is that from one of Masaoka's stories about the past?\Yeah. I heard it from that old man.\We no longer have to operate on the assumption that other people cannot be trusted. response:	You know that those strangers you see on the street are all safe, good citizens,
context: If so, be aware you will be charged an uninsured service fee at a later date.\This is good. Real brutal stuff.\In the olden days, people physically locked their front doors as a matter of course\because doubting others was the basis for maintaining order.\Is that from one of Masaoka's stories about the past?\Yeah. I heard it from that old man.\We no longer have to operate on the assumption that other people cannot be trusted.\You know that those strangers you see on the street are all safe, good citizens, response:	because they've all had their Psycho-Passes verified.
context: This is good. Real brutal stuff.\In the olden days, people physically locked their front doors as a matter of course\because doubting others was the basis for maintaining order.\Is that from one of Masaoka's stories about the past?\Yeah. I heard it from that old man.\We no longer have to operate on the assumption that other people cannot be trusted.\You know that those strangers you see on the street are all safe, good citizens,\because they've all had their Psycho-Passes verified. response:	This society maintains its order based on that assumption.
context: In the olden days, people physically locked their front doors as a matter of course\because doubting others was the basis for maintaining order.\Is that from one of Masaoka's stories about the past?\Yeah. I heard it from that old man.\We no longer have to operate on the assumption that other people cannot be trusted.\You know that those strangers you see on the street are all safe, good citizens,\because they've all had their Psycho-Passes verified.\This society maintains its order based on that assumption. response:	Just like that helmet-wearing man,
context: because doubting others was the basis for maintaining order.\Is that from one of Masaoka's stories about the past?\Yeah. I heard it from that old man.\We no longer have to operate on the assumption that other people cannot be trusted.\You know that those strangers you see on the street are all safe, good citizens,\because they've all had their Psycho-Passes verified.\This society maintains its order based on that assumption.\Just like that helmet-wearing man, response:	if people find out that there's a way to deceive the cymatic scan,
context: Is that from one of Masaoka's stories about the past?\Yeah. I heard it from that old man.\We no longer have to operate on the assumption that other people cannot be trusted.\You know that those strangers you see on the street are all safe, good citizens,\because they've all had their Psycho-Passes verified.\This society maintains its order based on that assumption.\Just like that helmet-wearing man,\if people find out that there's a way to deceive the cymatic scan, response:	there's no way to avoid a panic.
context: Yeah. I heard it from that old man.\We no longer have to operate on the assumption that other people cannot be trusted.\You know that those strangers you see on the street are all safe, good citizens,\because they've all had their Psycho-Passes verified.\This society maintains its order based on that assumption.\Just like that helmet-wearing man,\if people find out that there's a way to deceive the cymatic scan,\there's no way to avoid a panic. response:	Or if they announce the existence of people like Makishima Shougo...
context: We no longer have to operate on the assumption that other people cannot be trusted.\You know that those strangers you see on the street are all safe, good citizens,\because they've all had their Psycho-Passes verified.\This society maintains its order based on that assumption.\Just like that helmet-wearing man,\if people find out that there's a way to deceive the cymatic scan,\there's no way to avoid a panic.\Or if they announce the existence of people like Makishima Shougo... response:	What's the matter?
context: You know that those strangers you see on the street are all safe, good citizens,\because they've all had their Psycho-Passes verified.\This society maintains its order based on that assumption.\Just like that helmet-wearing man,\if people find out that there's a way to deceive the cymatic scan,\there's no way to avoid a panic.\Or if they announce the existence of people like Makishima Shougo...\What's the matter? response:	An Area Stress Level warning has been issued in Setagaya ward.
context: because they've all had their Psycho-Passes verified.\This society maintains its order based on that assumption.\Just like that helmet-wearing man,\if people find out that there's a way to deceive the cymatic scan,\there's no way to avoid a panic.\Or if they announce the existence of people like Makishima Shougo...\What's the matter?\An Area Stress Level warning has been issued in Setagaya ward. response:	But more importantly than that,
context: This society maintains its order based on that assumption.\Just like that helmet-wearing man,\if people find out that there's a way to deceive the cymatic scan,\there's no way to avoid a panic.\Or if they announce the existence of people like Makishima Shougo...\What's the matter?\An Area Stress Level warning has been issued in Setagaya ward.\But more importantly than that, response:	an almost unbelievable video has been uploaded onto the net.
context: Just like that helmet-wearing man,\if people find out that there's a way to deceive the cymatic scan,\there's no way to avoid a panic.\Or if they announce the existence of people like Makishima Shougo...\What's the matter?\An Area Stress Level warning has been issued in Setagaya ward.\But more importantly than that,\an almost unbelievable video has been uploaded onto the net. response:	Look.
context: if people find out that there's a way to deceive the cymatic scan,\there's no way to avoid a panic.\Or if they announce the existence of people like Makishima Shougo...\What's the matter?\An Area Stress Level warning has been issued in Setagaya ward.\But more importantly than that,\an almost unbelievable video has been uploaded onto the net.\Look. response:	What the hell is this?!
context: there's no way to avoid a panic.\Or if they announce the existence of people like Makishima Shougo...\What's the matter?\An Area Stress Level warning has been issued in Setagaya ward.\But more importantly than that,\an almost unbelievable video has been uploaded onto the net.\Look.\What the hell is this?! response:	It's begun.
context: Or if they announce the existence of people like Makishima Shougo...\What's the matter?\An Area Stress Level warning has been issued in Setagaya ward.\But more importantly than that,\an almost unbelievable video has been uploaded onto the net.\Look.\What the hell is this?!\It's begun. response:	What is that? What's happening?
context: What's the matter?\An Area Stress Level warning has been issued in Setagaya ward.\But more importantly than that,\an almost unbelievable video has been uploaded onto the net.\Look.\What the hell is this?!\It's begun.\What is that? What's happening? response:	Makishima's behind this crime.
context: An Area Stress Level warning has been issued in Setagaya ward.\But more importantly than that,\an almost unbelievable video has been uploaded onto the net.\Look.\What the hell is this?!\It's begun.\What is that? What's happening?\Makishima's behind this crime. response:	I'd put money on it.
context: But more importantly than that,\an almost unbelievable video has been uploaded onto the net.\Look.\What the hell is this?!\It's begun.\What is that? What's happening?\Makishima's behind this crime.\I'd put money on it. response:	Though...
context: an almost unbelievable video has been uploaded onto the net.\Look.\What the hell is this?!\It's begun.\What is that? What's happening?\Makishima's behind this crime.\I'd put money on it.\Though... response:	What does this world define as crime to begin with?
context: Look.\What the hell is this?!\It's begun.\What is that? What's happening?\Makishima's behind this crime.\I'd put money on it.\Though...\What does this world define as crime to begin with? response:	Ko... What's on your mind?
context: What the hell is this?!\It's begun.\What is that? What's happening?\Makishima's behind this crime.\I'd put money on it.\Though...\What does this world define as crime to begin with?\Ko... What's on your mind? response:	This is no ordinary crime.
context: It's begun.\What is that? What's happening?\Makishima's behind this crime.\I'd put money on it.\Though...\What does this world define as crime to begin with?\Ko... What's on your mind?\This is no ordinary crime. response:	It's more like...
context: What is that? What's happening?\Makishima's behind this crime.\I'd put money on it.\Though...\What does this world define as crime to begin with?\Ko... What's on your mind?\This is no ordinary crime.\It's more like... response:	something that shakes the very foundation of our society.
