context: 10 response:	H H!
context: Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night response:	Nichijou 27
context: I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Nichijou 27 response:	Super Jumbo
context: So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Nichijou 27\Super Jumbo response:	Super Jumbo
context: It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Nichijou 27\Super Jumbo\Super Jumbo response:	Country-wide Drawing
context: Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Nichijou 27\Super Jumbo\Super Jumbo\Country-wide Drawing response:	Lottery
context: Have a good night\We'll meet immediately in our dreams\So have a good night\Nichijou 27\Super Jumbo\Super Jumbo\Country-wide Drawing\Lottery response:	Present
context: We'll meet immediately in our dreams\So have a good night\Nichijou 27\Super Jumbo\Super Jumbo\Country-wide Drawing\Lottery\Present response:	Octopus
context: So have a good night\Nichijou 27\Super Jumbo\Super Jumbo\Country-wide Drawing\Lottery\Present\Octopus response:	Octopus
context: Nichijou 27\Super Jumbo\Super Jumbo\Country-wide Drawing\Lottery\Present\Octopus\Octopus response:	Octopus
context: Super Jumbo\Super Jumbo\Country-wide Drawing\Lottery\Present\Octopus\Octopus\Octopus response:	Octopus
context: Super Jumbo\Country-wide Drawing\Lottery\Present\Octopus\Octopus\Octopus\Octopus response:	Octopus
context: Country-wide Drawing\Lottery\Present\Octopus\Octopus\Octopus\Octopus\Octopus response:	Octopus
context: Lottery\Present\Octopus\Octopus\Octopus\Octopus\Octopus\Octopus response:	Octopus
context: Present\Octopus\Octopus\Octopus\Octopus\Octopus\Octopus\Octopus response:	Octopus
context: Octopus\Octopus\Octopus\Octopus\Octopus\Octopus\Octopus\Octopus response:	Octopus
context: Octopus\Octopus\Octopus\Octopus\Octopus\Octopus\Octopus\Octopus response:	Octopus
context: Octopus\Octopus\Octopus\Octopus\Octopus\Octopus\Octopus\Octopus response:	Wasabi
context: Octopus\Octopus\Octopus\Octopus\Octopus\Octopus\Octopus\Wasabi response:	Wasabi
context: Octopus\Octopus\Octopus\Octopus\Octopus\Octopus\Wasabi\Wasabi response:	Wasabi
context: Octopus\Octopus\Octopus\Octopus\Octopus\Wasabi\Wasabi\Wasabi response:	Wasabi
context: Octopus\Octopus\Octopus\Octopus\Wasabi\Wasabi\Wasabi\Wasabi response:	Wasabi
context: Octopus\Octopus\Octopus\Wasabi\Wasabi\Wasabi\Wasabi\Wasabi response:	Wasabi
context: Octopus\Octopus\Wasabi\Wasabi\Wasabi\Wasabi\Wasabi\Wasabi response:	Wasabi
context: Octopus\Wasabi\Wasabi\Wasabi\Wasabi\Wasabi\Wasabi\Wasabi response:	Teacher's Lounge
context: Wasabi\Wasabi\Wasabi\Wasabi\Wasabi\Wasabi\Wasabi\Teacher's Lounge response:	That Aioi Girl
context: Wasabi\Wasabi\Wasabi\Wasabi\Wasabi\Wasabi\Teacher's Lounge\That Aioi Girl response:	Nichijou 28
context: Wasabi\Wasabi\Wasabi\Wasabi\Wasabi\Teacher's Lounge\That Aioi Girl\Nichijou 28 response:	Mind
context: Wasabi\Wasabi\Wasabi\Wasabi\Teacher's Lounge\That Aioi Girl\Nichijou 28\Mind response:	Jumping onto a train at the last
context: Wasabi\Wasabi\Wasabi\Teacher's Lounge\That Aioi Girl\Nichijou 28\Mind\Jumping onto a train at the last response:	second is dangerous.
context: Wasabi\Wasabi\Teacher's Lounge\That Aioi Girl\Nichijou 28\Mind\Jumping onto a train at the last\second is dangerous. response:	What should we have?
context: Wasabi\Teacher's Lounge\That Aioi Girl\Nichijou 28\Mind\Jumping onto a train at the last\second is dangerous.\What should we have? response:	Nichijou 29
context: Teacher's Lounge\That Aioi Girl\Nichijou 28\Mind\Jumping onto a train at the last\second is dangerous.\What should we have?\Nichijou 29 response:	Word Of The Day
context: That Aioi Girl\Nichijou 28\Mind\Jumping onto a train at the last\second is dangerous.\What should we have?\Nichijou 29\Word Of The Day response:	Nichijou 30
context: Nichijou 28\Mind\Jumping onto a train at the last\second is dangerous.\What should we have?\Nichijou 29\Word Of The Day\Nichijou 30 response:	Birthday Present
context: Mind\Jumping onto a train at the last\second is dangerous.\What should we have?\Nichijou 29\Word Of The Day\Nichijou 30\Birthday Present response:	Narration: Wakamoto Norio
context: Jumping onto a train at the last\second is dangerous.\What should we have?\Nichijou 29\Word Of The Day\Nichijou 30\Birthday Present\Narration: Wakamoto Norio response:	I've brought him.
context: second is dangerous.\What should we have?\Nichijou 29\Word Of The Day\Nichijou 30\Birthday Present\Narration: Wakamoto Norio\I've brought him. response:	Enter.
context: What should we have?\Nichijou 29\Word Of The Day\Nichijou 30\Birthday Present\Narration: Wakamoto Norio\I've brought him.\Enter. response:	Well, well, if it isn't King Albert.
context: Nichijou 29\Word Of The Day\Nichijou 30\Birthday Present\Narration: Wakamoto Norio\I've brought him.\Enter.\Well, well, if it isn't King Albert. response:	Dolph!
context: Word Of The Day\Nichijou 30\Birthday Present\Narration: Wakamoto Norio\I've brought him.\Enter.\Well, well, if it isn't King Albert.\Dolph! response:	Just what on earth do you intend by doing this?!
context: Nichijou 30\Birthday Present\Narration: Wakamoto Norio\I've brought him.\Enter.\Well, well, if it isn't King Albert.\Dolph!\Just what on earth do you intend by doing this?! response:	I thought we could enjoy a tasty meal together.
context: Birthday Present\Narration: Wakamoto Norio\I've brought him.\Enter.\Well, well, if it isn't King Albert.\Dolph!\Just what on earth do you intend by doing this?!\I thought we could enjoy a tasty meal together. response:	How unfortunate.
context: Narration: Wakamoto Norio\I've brought him.\Enter.\Well, well, if it isn't King Albert.\Dolph!\Just what on earth do you intend by doing this?!\I thought we could enjoy a tasty meal together.\How unfortunate. response:	It appears nothing was prepared for you.
context: I've brought him.\Enter.\Well, well, if it isn't King Albert.\Dolph!\Just what on earth do you intend by doing this?!\I thought we could enjoy a tasty meal together.\How unfortunate.\It appears nothing was prepared for you. response:	Keep him restrained.
context: Enter.\Well, well, if it isn't King Albert.\Dolph!\Just what on earth do you intend by doing this?!\I thought we could enjoy a tasty meal together.\How unfortunate.\It appears nothing was prepared for you.\Keep him restrained. response:	So that's what you're after?!
context: Well, well, if it isn't King Albert.\Dolph!\Just what on earth do you intend by doing this?!\I thought we could enjoy a tasty meal together.\How unfortunate.\It appears nothing was prepared for you.\Keep him restrained.\So that's what you're after?! response:	Now, then, I suppose it is about time to end the game of hide-and-seek with the cute princess.
context: Dolph!\Just what on earth do you intend by doing this?!\I thought we could enjoy a tasty meal together.\How unfortunate.\It appears nothing was prepared for you.\Keep him restrained.\So that's what you're after?!\Now, then, I suppose it is about time to end the game of hide-and-seek with the cute princess. response:	King Albert.
context: Just what on earth do you intend by doing this?!\I thought we could enjoy a tasty meal together.\How unfortunate.\It appears nothing was prepared for you.\Keep him restrained.\So that's what you're after?!\Now, then, I suppose it is about time to end the game of hide-and-seek with the cute princess.\King Albert. response:	Or should I simply call you Albert?
context: I thought we could enjoy a tasty meal together.\How unfortunate.\It appears nothing was prepared for you.\Keep him restrained.\So that's what you're after?!\Now, then, I suppose it is about time to end the game of hide-and-seek with the cute princess.\King Albert.\Or should I simply call you Albert? response:	Have you found her?
context: How unfortunate.\It appears nothing was prepared for you.\Keep him restrained.\So that's what you're after?!\Now, then, I suppose it is about time to end the game of hide-and-seek with the cute princess.\King Albert.\Or should I simply call you Albert?\Have you found her? response:	No, no luck.
context: It appears nothing was prepared for you.\Keep him restrained.\So that's what you're after?!\Now, then, I suppose it is about time to end the game of hide-and-seek with the cute princess.\King Albert.\Or should I simply call you Albert?\Have you found her?\No, no luck. response:	I'll look over there.
context: Keep him restrained.\So that's what you're after?!\Now, then, I suppose it is about time to end the game of hide-and-seek with the cute princess.\King Albert.\Or should I simply call you Albert?\Have you found her?\No, no luck.\I'll look over there. response:	Listen up, men!
context: So that's what you're after?!\Now, then, I suppose it is about time to end the game of hide-and-seek with the cute princess.\King Albert.\Or should I simply call you Albert?\Have you found her?\No, no luck.\I'll look over there.\Listen up, men! response:	Our objective is the Wood Cube!
context: Now, then, I suppose it is about time to end the game of hide-and-seek with the cute princess.\King Albert.\Or should I simply call you Albert?\Have you found her?\No, no luck.\I'll look over there.\Listen up, men!\Our objective is the Wood Cube! response:	Do not kill the princess yet!
context: King Albert.\Or should I simply call you Albert?\Have you found her?\No, no luck.\I'll look over there.\Listen up, men!\Our objective is the Wood Cube!\Do not kill the princess yet! response:	Do you think you'll be able to get away with this, Dolph?!
context: Or should I simply call you Albert?\Have you found her?\No, no luck.\I'll look over there.\Listen up, men!\Our objective is the Wood Cube!\Do not kill the princess yet!\Do you think you'll be able to get away with this, Dolph?! response:	Get away with this?
context: Have you found her?\No, no luck.\I'll look over there.\Listen up, men!\Our objective is the Wood Cube!\Do not kill the princess yet!\Do you think you'll be able to get away with this, Dolph?!\Get away with this? response:	Who will pass their judgement on me?
context: No, no luck.\I'll look over there.\Listen up, men!\Our objective is the Wood Cube!\Do not kill the princess yet!\Do you think you'll be able to get away with this, Dolph?!\Get away with this?\Who will pass their judgement on me? response:	You have no allies left here, Albert.
context: I'll look over there.\Listen up, men!\Our objective is the Wood Cube!\Do not kill the princess yet!\Do you think you'll be able to get away with this, Dolph?!\Get away with this?\Who will pass their judgement on me?\You have no allies left here, Albert. response:	This trip around the world that you planned...
context: Listen up, men!\Our objective is the Wood Cube!\Do not kill the princess yet!\Do you think you'll be able to get away with this, Dolph?!\Get away with this?\Who will pass their judgement on me?\You have no allies left here, Albert.\This trip around the world that you planned... response:	It was the perfect opportunity for me.
context: Our objective is the Wood Cube!\Do not kill the princess yet!\Do you think you'll be able to get away with this, Dolph?!\Get away with this?\Who will pass their judgement on me?\You have no allies left here, Albert.\This trip around the world that you planned...\It was the perfect opportunity for me. response:	With the exception of you and the princess, everyone here is my subordinate.
context: Do not kill the princess yet!\Do you think you'll be able to get away with this, Dolph?!\Get away with this?\Who will pass their judgement on me?\You have no allies left here, Albert.\This trip around the world that you planned...\It was the perfect opportunity for me.\With the exception of you and the princess, everyone here is my subordinate. response:	But why?
context: Do you think you'll be able to get away with this, Dolph?!\Get away with this?\Who will pass their judgement on me?\You have no allies left here, Albert.\This trip around the world that you planned...\It was the perfect opportunity for me.\With the exception of you and the princess, everyone here is my subordinate.\But why? response:	Why did you betray me, Dolph?!
context: Get away with this?\Who will pass their judgement on me?\You have no allies left here, Albert.\This trip around the world that you planned...\It was the perfect opportunity for me.\With the exception of you and the princess, everyone here is my subordinate.\But why?\Why did you betray me, Dolph?! response:	That's a mean thing to say, Albert.
context: Who will pass their judgement on me?\You have no allies left here, Albert.\This trip around the world that you planned...\It was the perfect opportunity for me.\With the exception of you and the princess, everyone here is my subordinate.\But why?\Why did you betray me, Dolph?!\That's a mean thing to say, Albert. response:	I am thankful to you.
context: You have no allies left here, Albert.\This trip around the world that you planned...\It was the perfect opportunity for me.\With the exception of you and the princess, everyone here is my subordinate.\But why?\Why did you betray me, Dolph?!\That's a mean thing to say, Albert.\I am thankful to you. response:	You raised me, an orphan,
context: This trip around the world that you planned...\It was the perfect opportunity for me.\With the exception of you and the princess, everyone here is my subordinate.\But why?\Why did you betray me, Dolph?!\That's a mean thing to say, Albert.\I am thankful to you.\You raised me, an orphan, response:	and even made me the general of the kingdom!
context: It was the perfect opportunity for me.\With the exception of you and the princess, everyone here is my subordinate.\But why?\Why did you betray me, Dolph?!\That's a mean thing to say, Albert.\I am thankful to you.\You raised me, an orphan,\and even made me the general of the kingdom! response:	Then why?!
context: With the exception of you and the princess, everyone here is my subordinate.\But why?\Why did you betray me, Dolph?!\That's a mean thing to say, Albert.\I am thankful to you.\You raised me, an orphan,\and even made me the general of the kingdom!\Then why?! response:	Do you think I've been supporting you without any ambitions of my own?
context: But why?\Why did you betray me, Dolph?!\That's a mean thing to say, Albert.\I am thankful to you.\You raised me, an orphan,\and even made me the general of the kingdom!\Then why?!\Do you think I've been supporting you without any ambitions of my own? response:	This is justified by the will of God, Albert.
context: Why did you betray me, Dolph?!\That's a mean thing to say, Albert.\I am thankful to you.\You raised me, an orphan,\and even made me the general of the kingdom!\Then why?!\Do you think I've been supporting you without any ambitions of my own?\This is justified by the will of God, Albert. response:	Dolph-sama!
context: That's a mean thing to say, Albert.\I am thankful to you.\You raised me, an orphan,\and even made me the general of the kingdom!\Then why?!\Do you think I've been supporting you without any ambitions of my own?\This is justified by the will of God, Albert.\Dolph-sama! response:	We've found the princess!
context: I am thankful to you.\You raised me, an orphan,\and even made me the general of the kingdom!\Then why?!\Do you think I've been supporting you without any ambitions of my own?\This is justified by the will of God, Albert.\Dolph-sama!\We've found the princess! response:	Okay!
context: You raised me, an orphan,\and even made me the general of the kingdom!\Then why?!\Do you think I've been supporting you without any ambitions of my own?\This is justified by the will of God, Albert.\Dolph-sama!\We've found the princess!\Okay! response:	I'll be right there!
context: and even made me the general of the kingdom!\Then why?!\Do you think I've been supporting you without any ambitions of my own?\This is justified by the will of God, Albert.\Dolph-sama!\We've found the princess!\Okay!\I'll be right there! response:	So, it's about time for you to think about your last words, King Albert.
context: Then why?!\Do you think I've been supporting you without any ambitions of my own?\This is justified by the will of God, Albert.\Dolph-sama!\We've found the princess!\Okay!\I'll be right there!\So, it's about time for you to think about your last words, King Albert. response:	Traitor!
context: Do you think I've been supporting you without any ambitions of my own?\This is justified by the will of God, Albert.\Dolph-sama!\We've found the princess!\Okay!\I'll be right there!\So, it's about time for you to think about your last words, King Albert.\Traitor! response:	What's wrong with you?!
context: This is justified by the will of God, Albert.\Dolph-sama!\We've found the princess!\Okay!\I'll be right there!\So, it's about time for you to think about your last words, King Albert.\Traitor!\What's wrong with you?! response:	Don't you know your place?!
context: Dolph-sama!\We've found the princess!\Okay!\I'll be right there!\So, it's about time for you to think about your last words, King Albert.\Traitor!\What's wrong with you?!\Don't you know your place?! response:	Well, well, if it isn't Princess Starla.
context: We've found the princess!\Okay!\I'll be right there!\So, it's about time for you to think about your last words, King Albert.\Traitor!\What's wrong with you?!\Don't you know your place?!\Well, well, if it isn't Princess Starla. response:	Good evening.
context: Okay!\I'll be right there!\So, it's about time for you to think about your last words, King Albert.\Traitor!\What's wrong with you?!\Don't you know your place?!\Well, well, if it isn't Princess Starla.\Good evening. response:	Dolph, you bastard!
context: I'll be right there!\So, it's about time for you to think about your last words, King Albert.\Traitor!\What's wrong with you?!\Don't you know your place?!\Well, well, if it isn't Princess Starla.\Good evening.\Dolph, you bastard! response:	Do you have any idea what you're doing?!
context: So, it's about time for you to think about your last words, King Albert.\Traitor!\What's wrong with you?!\Don't you know your place?!\Well, well, if it isn't Princess Starla.\Good evening.\Dolph, you bastard!\Do you have any idea what you're doing?! response:	Your words are always less refined than your looks.
context: Traitor!\What's wrong with you?!\Don't you know your place?!\Well, well, if it isn't Princess Starla.\Good evening.\Dolph, you bastard!\Do you have any idea what you're doing?!\Your words are always less refined than your looks. response:	Of course I know what I am doing.
context: What's wrong with you?!\Don't you know your place?!\Well, well, if it isn't Princess Starla.\Good evening.\Dolph, you bastard!\Do you have any idea what you're doing?!\Your words are always less refined than your looks.\Of course I know what I am doing. response:	After acquiring this Wood Cube from King Albert and that Wood Cube from you, Princess...
context: Don't you know your place?!\Well, well, if it isn't Princess Starla.\Good evening.\Dolph, you bastard!\Do you have any idea what you're doing?!\Your words are always less refined than your looks.\Of course I know what I am doing.\After acquiring this Wood Cube from King Albert and that Wood Cube from you, Princess... response:	Yes... So that I may become the new king of Fay!
context: Well, well, if it isn't Princess Starla.\Good evening.\Dolph, you bastard!\Do you have any idea what you're doing?!\Your words are always less refined than your looks.\Of course I know what I am doing.\After acquiring this Wood Cube from King Albert and that Wood Cube from you, Princess...\Yes... So that I may become the new king of Fay! response:	You have no allies here.
context: Good evening.\Dolph, you bastard!\Do you have any idea what you're doing?!\Your words are always less refined than your looks.\Of course I know what I am doing.\After acquiring this Wood Cube from King Albert and that Wood Cube from you, Princess...\Yes... So that I may become the new king of Fay!\You have no allies here. response:	You can no longer escape.
context: Dolph, you bastard!\Do you have any idea what you're doing?!\Your words are always less refined than your looks.\Of course I know what I am doing.\After acquiring this Wood Cube from King Albert and that Wood Cube from you, Princess...\Yes... So that I may become the new king of Fay!\You have no allies here.\You can no longer escape. response:	Now, be a good girl and hand it over -
context: Do you have any idea what you're doing?!\Your words are always less refined than your looks.\Of course I know what I am doing.\After acquiring this Wood Cube from King Albert and that Wood Cube from you, Princess...\Yes... So that I may become the new king of Fay!\You have no allies here.\You can no longer escape.\Now, be a good girl and hand it over - response:	He... He's dead!
context: Your words are always less refined than your looks.\Of course I know what I am doing.\After acquiring this Wood Cube from King Albert and that Wood Cube from you, Princess...\Yes... So that I may become the new king of Fay!\You have no allies here.\You can no longer escape.\Now, be a good girl and hand it over -\He... He's dead! response:	Princess! Hurray! Princess! Hurray!
context: Of course I know what I am doing.\After acquiring this Wood Cube from King Albert and that Wood Cube from you, Princess...\Yes... So that I may become the new king of Fay!\You have no allies here.\You can no longer escape.\Now, be a good girl and hand it over -\He... He's dead!\Princess! Hurray! Princess! Hurray! response:	You scum!
context: After acquiring this Wood Cube from King Albert and that Wood Cube from you, Princess...\Yes... So that I may become the new king of Fay!\You have no allies here.\You can no longer escape.\Now, be a good girl and hand it over -\He... He's dead!\Princess! Hurray! Princess! Hurray!\You scum! response:	I'll have you pay me back with interest!
context: Yes... So that I may become the new king of Fay!\You have no allies here.\You can no longer escape.\Now, be a good girl and hand it over -\He... He's dead!\Princess! Hurray! Princess! Hurray!\You scum!\I'll have you pay me back with interest! response:	All right.
context: You have no allies here.\You can no longer escape.\Now, be a good girl and hand it over -\He... He's dead!\Princess! Hurray! Princess! Hurray!\You scum!\I'll have you pay me back with interest!\All right. response:	Lead me to my father.
context: You can no longer escape.\Now, be a good girl and hand it over -\He... He's dead!\Princess! Hurray! Princess! Hurray!\You scum!\I'll have you pay me back with interest!\All right.\Lead me to my father. response:	A Wood Cube?
context: Now, be a good girl and hand it over -\He... He's dead!\Princess! Hurray! Princess! Hurray!\You scum!\I'll have you pay me back with interest!\All right.\Lead me to my father.\A Wood Cube? response:	The Princess should be holding onto it tightly.
context: He... He's dead!\Princess! Hurray! Princess! Hurray!\You scum!\I'll have you pay me back with interest!\All right.\Lead me to my father.\A Wood Cube?\The Princess should be holding onto it tightly. response:	But what if...
context: Princess! Hurray! Princess! Hurray!\You scum!\I'll have you pay me back with interest!\All right.\Lead me to my father.\A Wood Cube?\The Princess should be holding onto it tightly.\But what if... response:	Ehh -
context: You scum!\I'll have you pay me back with interest!\All right.\Lead me to my father.\A Wood Cube?\The Princess should be holding onto it tightly.\But what if...\Ehh - response:	Super-eeeh!
context: I'll have you pay me back with interest!\All right.\Lead me to my father.\A Wood Cube?\The Princess should be holding onto it tightly.\But what if...\Ehh -\Super-eeeh! response:	This... Can't I become king with this?!
context: All right.\Lead me to my father.\A Wood Cube?\The Princess should be holding onto it tightly.\But what if...\Ehh -\Super-eeeh!\This... Can't I become king with this?! response:	No.
context: Lead me to my father.\A Wood Cube?\The Princess should be holding onto it tightly.\But what if...\Ehh -\Super-eeeh!\This... Can't I become king with this?!\No. response:	Wait.
context: A Wood Cube?\The Princess should be holding onto it tightly.\But what if...\Ehh -\Super-eeeh!\This... Can't I become king with this?!\No.\Wait. response:	Calm down.
context: The Princess should be holding onto it tightly.\But what if...\Ehh -\Super-eeeh!\This... Can't I become king with this?!\No.\Wait.\Calm down. response:	Take a minute to think about this.
context: But what if...\Ehh -\Super-eeeh!\This... Can't I become king with this?!\No.\Wait.\Calm down.\Take a minute to think about this. response:	After twelve years as a soldier,
context: Ehh -\Super-eeeh!\This... Can't I become king with this?!\No.\Wait.\Calm down.\Take a minute to think about this.\After twelve years as a soldier, response:	I've always thought I would just die a grunt.
context: Super-eeeh!\This... Can't I become king with this?!\No.\Wait.\Calm down.\Take a minute to think about this.\After twelve years as a soldier,\I've always thought I would just die a grunt. response:	I can't believe I would have this kind of chance...
context: This... Can't I become king with this?!\No.\Wait.\Calm down.\Take a minute to think about this.\After twelve years as a soldier,\I've always thought I would just die a grunt.\I can't believe I would have this kind of chance... response:	I should give up.
context: No.\Wait.\Calm down.\Take a minute to think about this.\After twelve years as a soldier,\I've always thought I would just die a grunt.\I can't believe I would have this kind of chance...\I should give up. response:	It's not like I have any plans after becoming king.
context: Wait.\Calm down.\Take a minute to think about this.\After twelve years as a soldier,\I've always thought I would just die a grunt.\I can't believe I would have this kind of chance...\I should give up.\It's not like I have any plans after becoming king. response:	Despite having gathered both,
context: Calm down.\Take a minute to think about this.\After twelve years as a soldier,\I've always thought I would just die a grunt.\I can't believe I would have this kind of chance...\I should give up.\It's not like I have any plans after becoming king.\Despite having gathered both, response:	I have no idea how to call the ancient weapon.
context: Take a minute to think about this.\After twelve years as a soldier,\I've always thought I would just die a grunt.\I can't believe I would have this kind of chance...\I should give up.\It's not like I have any plans after becoming king.\Despite having gathered both,\I have no idea how to call the ancient weapon. response:	Hot!
context: After twelve years as a soldier,\I've always thought I would just die a grunt.\I can't believe I would have this kind of chance...\I should give up.\It's not like I have any plans after becoming king.\Despite having gathered both,\I have no idea how to call the ancient weapon.\Hot! response:	Good morning.
context: I've always thought I would just die a grunt.\I can't believe I would have this kind of chance...\I should give up.\It's not like I have any plans after becoming king.\Despite having gathered both,\I have no idea how to call the ancient weapon.\Hot!\Good morning. response:	Mio-chan!
context: I can't believe I would have this kind of chance...\I should give up.\It's not like I have any plans after becoming king.\Despite having gathered both,\I have no idea how to call the ancient weapon.\Hot!\Good morning.\Mio-chan! response:	I won the third prize in the lottery for 100,000 yen!
context: I should give up.\It's not like I have any plans after becoming king.\Despite having gathered both,\I have no idea how to call the ancient weapon.\Hot!\Good morning.\Mio-chan!\I won the third prize in the lottery for 100,000 yen! response:	No way!
context: It's not like I have any plans after becoming king.\Despite having gathered both,\I have no idea how to call the ancient weapon.\Hot!\Good morning.\Mio-chan!\I won the third prize in the lottery for 100,000 yen!\No way! response:	Really?
context: Despite having gathered both,\I have no idea how to call the ancient weapon.\Hot!\Good morning.\Mio-chan!\I won the third prize in the lottery for 100,000 yen!\No way!\Really? response:	Get me something.
context: I have no idea how to call the ancient weapon.\Hot!\Good morning.\Mio-chan!\I won the third prize in the lottery for 100,000 yen!\No way!\Really?\Get me something. response:	Ah, what should I do?
context: Hot!\Good morning.\Mio-chan!\I won the third prize in the lottery for 100,000 yen!\No way!\Really?\Get me something.\Ah, what should I do? response:	What should I buy?
context: Good morning.\Mio-chan!\I won the third prize in the lottery for 100,000 yen!\No way!\Really?\Get me something.\Ah, what should I do?\What should I buy? response:	Maybe a house or something?
context: Mio-chan!\I won the third prize in the lottery for 100,000 yen!\No way!\Really?\Get me something.\Ah, what should I do?\What should I buy?\Maybe a house or something? response:	Just kidding.
context: I won the third prize in the lottery for 100,000 yen!\No way!\Really?\Get me something.\Ah, what should I do?\What should I buy?\Maybe a house or something?\Just kidding. response:	Yukko.
context: No way!\Really?\Get me something.\Ah, what should I do?\What should I buy?\Maybe a house or something?\Just kidding.\Yukko. response:	This is from last year.
context: Really?\Get me something.\Ah, what should I do?\What should I buy?\Maybe a house or something?\Just kidding.\Yukko.\This is from last year. response:	Well, well, it's not like lottery tickets win that often.
context: Get me something.\Ah, what should I do?\What should I buy?\Maybe a house or something?\Just kidding.\Yukko.\This is from last year.\Well, well, it's not like lottery tickets win that often. response:	It's okay, don't try to console me.
