context: Did you wait long, Takeo-kun? response:	No, I just got here!
context: Suna!\Sunakawa-kun\Happy...\What?\It's your birthday, right?\September 13th, right?\Yeah, September 13th.\9/13 (Sunday) response:	It's the right date, yep. It's my birthday...
context: Sunakawa-kun\Happy...\What?\It's your birthday, right?\September 13th, right?\Yeah, September 13th.\9/13 (Sunday)\It's the right date, yep. It's my birthday... response:	I totally forgot...
context: Happy...\What?\It's your birthday, right?\September 13th, right?\Yeah, September 13th.\9/13 (Sunday)\It's the right date, yep. It's my birthday...\I totally forgot... response:	Sunakawa-kun
context: What?\It's your birthday, right?\September 13th, right?\Yeah, September 13th.\9/13 (Sunday)\It's the right date, yep. It's my birthday...\I totally forgot...\Sunakawa-kun response:	I was just taken aback.
context: It's your birthday, right?\September 13th, right?\Yeah, September 13th.\9/13 (Sunday)\It's the right date, yep. It's my birthday...\I totally forgot...\Sunakawa-kun\I was just taken aback. response:	I'd no idea this was about that.
context: September 13th, right?\Yeah, September 13th.\9/13 (Sunday)\It's the right date, yep. It's my birthday...\I totally forgot...\Sunakawa-kun\I was just taken aback.\I'd no idea this was about that. response:	You're perceptive, so we did a pretty good job
context: Yeah, September 13th.\9/13 (Sunday)\It's the right date, yep. It's my birthday...\I totally forgot...\Sunakawa-kun\I was just taken aback.\I'd no idea this was about that.\You're perceptive, so we did a pretty good job response:	to keep it under wraps.
context: 9/13 (Sunday)\It's the right date, yep. It's my birthday...\I totally forgot...\Sunakawa-kun\I was just taken aback.\I'd no idea this was about that.\You're perceptive, so we did a pretty good job\to keep it under wraps. response:	Well... Yeah.
context: It's the right date, yep. It's my birthday...\I totally forgot...\Sunakawa-kun\I was just taken aback.\I'd no idea this was about that.\You're perceptive, so we did a pretty good job\to keep it under wraps.\Well... Yeah. response:	I didn't expect this at all,
context: I totally forgot...\Sunakawa-kun\I was just taken aback.\I'd no idea this was about that.\You're perceptive, so we did a pretty good job\to keep it under wraps.\Well... Yeah.\I didn't expect this at all, response:	so I'm not sure how to react.
context: Sunakawa-kun\I was just taken aback.\I'd no idea this was about that.\You're perceptive, so we did a pretty good job\to keep it under wraps.\Well... Yeah.\I didn't expect this at all,\so I'm not sure how to react. response:	Just be happy.
context: I was just taken aback.\I'd no idea this was about that.\You're perceptive, so we did a pretty good job\to keep it under wraps.\Well... Yeah.\I didn't expect this at all,\so I'm not sure how to react.\Just be happy. response:	You're right.
context: I'd no idea this was about that.\You're perceptive, so we did a pretty good job\to keep it under wraps.\Well... Yeah.\I didn't expect this at all,\so I'm not sure how to react.\Just be happy.\You're right. response:	I'll be happy.
context: You're perceptive, so we did a pretty good job\to keep it under wraps.\Well... Yeah.\I didn't expect this at all,\so I'm not sure how to react.\Just be happy.\You're right.\I'll be happy. response:	Thanks.
context: to keep it under wraps.\Well... Yeah.\I didn't expect this at all,\so I'm not sure how to react.\Just be happy.\You're right.\I'll be happy.\Thanks. response:	Success!
context: Well... Yeah.\I didn't expect this at all,\so I'm not sure how to react.\Just be happy.\You're right.\I'll be happy.\Thanks.\Success! response:	This is your present.
context: I didn't expect this at all,\so I'm not sure how to react.\Just be happy.\You're right.\I'll be happy.\Thanks.\Success!\This is your present. response:	What is it?
context: so I'm not sure how to react.\Just be happy.\You're right.\I'll be happy.\Thanks.\Success!\This is your present.\What is it? response:	A blanket.
context: Just be happy.\You're right.\I'll be happy.\Thanks.\Success!\This is your present.\What is it?\A blanket. response:	You get cold easily, don't you?
context: You're right.\I'll be happy.\Thanks.\Success!\This is your present.\What is it?\A blanket.\You get cold easily, don't you? response:	You're always burrowed under the covers until morning.
context: I'll be happy.\Thanks.\Success!\This is your present.\What is it?\A blanket.\You get cold easily, don't you?\You're always burrowed under the covers until morning. response:	You always throw them off.
context: Thanks.\Success!\This is your present.\What is it?\A blanket.\You get cold easily, don't you?\You're always burrowed under the covers until morning.\You always throw them off. response:	I get hot easily!
context: Success!\This is your present.\What is it?\A blanket.\You get cold easily, don't you?\You're always burrowed under the covers until morning.\You always throw them off.\I get hot easily! response:	Sometimes, I can't sleep because my feet are too hot,
context: This is your present.\What is it?\A blanket.\You get cold easily, don't you?\You're always burrowed under the covers until morning.\You always throw them off.\I get hot easily!\Sometimes, I can't sleep because my feet are too hot, response:	so I put them up on the windows to cool them down.
context: What is it?\A blanket.\You get cold easily, don't you?\You're always burrowed under the covers until morning.\You always throw them off.\I get hot easily!\Sometimes, I can't sleep because my feet are too hot,\so I put them up on the windows to cool them down. response:	Oh, I see...
context: A blanket.\You get cold easily, don't you?\You're always burrowed under the covers until morning.\You always throw them off.\I get hot easily!\Sometimes, I can't sleep because my feet are too hot,\so I put them up on the windows to cool them down.\Oh, I see... response:	You have a high body temperature!
context: You get cold easily, don't you?\You're always burrowed under the covers until morning.\You always throw them off.\I get hot easily!\Sometimes, I can't sleep because my feet are too hot,\so I put them up on the windows to cool them down.\Oh, I see...\You have a high body temperature! response:	Yeah.
context: You're always burrowed under the covers until morning.\You always throw them off.\I get hot easily!\Sometimes, I can't sleep because my feet are too hot,\so I put them up on the windows to cool them down.\Oh, I see...\You have a high body temperature!\Yeah. response:	Well, I'll use this.
context: You always throw them off.\I get hot easily!\Sometimes, I can't sleep because my feet are too hot,\so I put them up on the windows to cool them down.\Oh, I see...\You have a high body temperature!\Yeah.\Well, I'll use this. response:	Thanks.
context: I get hot easily!\Sometimes, I can't sleep because my feet are too hot,\so I put them up on the windows to cool them down.\Oh, I see...\You have a high body temperature!\Yeah.\Well, I'll use this.\Thanks. response:	You look good in it!
context: Sometimes, I can't sleep because my feet are too hot,\so I put them up on the windows to cool them down.\Oh, I see...\You have a high body temperature!\Yeah.\Well, I'll use this.\Thanks.\You look good in it! response:	Thanks.
context: so I put them up on the windows to cool them down.\Oh, I see...\You have a high body temperature!\Yeah.\Well, I'll use this.\Thanks.\You look good in it!\Thanks. response:	Bro Cafe Machos
context: Oh, I see...\You have a high body temperature!\Yeah.\Well, I'll use this.\Thanks.\You look good in it!\Thanks.\Bro Cafe Machos response:	Today is on me,
context: You have a high body temperature!\Yeah.\Well, I'll use this.\Thanks.\You look good in it!\Thanks.\Bro Cafe Machos\Today is on me, response:	so order anything you want.
context: Yeah.\Well, I'll use this.\Thanks.\You look good in it!\Thanks.\Bro Cafe Machos\Today is on me,\so order anything you want. response:	You look great in that uniform.
context: Well, I'll use this.\Thanks.\You look good in it!\Thanks.\Bro Cafe Machos\Today is on me,\so order anything you want.\You look great in that uniform. response:	Aw...
context: Thanks.\You look good in it!\Thanks.\Bro Cafe Machos\Today is on me,\so order anything you want.\You look great in that uniform.\Aw... response:	I love her!
context: You look good in it!\Thanks.\Bro Cafe Machos\Today is on me,\so order anything you want.\You look great in that uniform.\Aw...\I love her! response:	Here's the menu.
context: Thanks.\Bro Cafe Machos\Today is on me,\so order anything you want.\You look great in that uniform.\Aw...\I love her!\Here's the menu. response:	Wow, there's protein tea.
context: Bro Cafe Machos\Today is on me,\so order anything you want.\You look great in that uniform.\Aw...\I love her!\Here's the menu.\Wow, there's protein tea. response:	I wonder if it'd bulk me up if I drank it.
context: Today is on me,\so order anything you want.\You look great in that uniform.\Aw...\I love her!\Here's the menu.\Wow, there's protein tea.\I wonder if it'd bulk me up if I drank it. response:	If I bulked up,
context: so order anything you want.\You look great in that uniform.\Aw...\I love her!\Here's the menu.\Wow, there's protein tea.\I wonder if it'd bulk me up if I drank it.\If I bulked up, response:	I wonder if I'd be able to beat egg whites in a single minute.
context: You look great in that uniform.\Aw...\I love her!\Here's the menu.\Wow, there's protein tea.\I wonder if it'd bulk me up if I drank it.\If I bulked up,\I wonder if I'd be able to beat egg whites in a single minute. response:	You might be able to.
context: Aw...\I love her!\Here's the menu.\Wow, there's protein tea.\I wonder if it'd bulk me up if I drank it.\If I bulked up,\I wonder if I'd be able to beat egg whites in a single minute.\You might be able to. response:	If I bulked up, would you still like me?
context: I love her!\Here's the menu.\Wow, there's protein tea.\I wonder if it'd bulk me up if I drank it.\If I bulked up,\I wonder if I'd be able to beat egg whites in a single minute.\You might be able to.\If I bulked up, would you still like me? response:	I would, even if you bulked up.
context: Here's the menu.\Wow, there's protein tea.\I wonder if it'd bulk me up if I drank it.\If I bulked up,\I wonder if I'd be able to beat egg whites in a single minute.\You might be able to.\If I bulked up, would you still like me?\I would, even if you bulked up. response:	Orange juice for me.
context: Wow, there's protein tea.\I wonder if it'd bulk me up if I drank it.\If I bulked up,\I wonder if I'd be able to beat egg whites in a single minute.\You might be able to.\If I bulked up, would you still like me?\I would, even if you bulked up.\Orange juice for me. response:	Oh, milk tea. Iced, please.
context: I wonder if it'd bulk me up if I drank it.\If I bulked up,\I wonder if I'd be able to beat egg whites in a single minute.\You might be able to.\If I bulked up, would you still like me?\I would, even if you bulked up.\Orange juice for me.\Oh, milk tea. Iced, please. response:	Got it.
context: If I bulked up,\I wonder if I'd be able to beat egg whites in a single minute.\You might be able to.\If I bulked up, would you still like me?\I would, even if you bulked up.\Orange juice for me.\Oh, milk tea. Iced, please.\Got it. response:	We have an order!
context: I wonder if I'd be able to beat egg whites in a single minute.\You might be able to.\If I bulked up, would you still like me?\I would, even if you bulked up.\Orange juice for me.\Oh, milk tea. Iced, please.\Got it.\We have an order! response:	One orange juice and one iced milk tea.
context: You might be able to.\If I bulked up, would you still like me?\I would, even if you bulked up.\Orange juice for me.\Oh, milk tea. Iced, please.\Got it.\We have an order!\One orange juice and one iced milk tea. response:	Aw...
context: If I bulked up, would you still like me?\I would, even if you bulked up.\Orange juice for me.\Oh, milk tea. Iced, please.\Got it.\We have an order!\One orange juice and one iced milk tea.\Aw... response:	Takeo-kun's working.
context: I would, even if you bulked up.\Orange juice for me.\Oh, milk tea. Iced, please.\Got it.\We have an order!\One orange juice and one iced milk tea.\Aw...\Takeo-kun's working. response:	It's so cool!
context: Orange juice for me.\Oh, milk tea. Iced, please.\Got it.\We have an order!\One orange juice and one iced milk tea.\Aw...\Takeo-kun's working.\It's so cool! response:	What should I do?
context: Oh, milk tea. Iced, please.\Got it.\We have an order!\One orange juice and one iced milk tea.\Aw...\Takeo-kun's working.\It's so cool!\What should I do? response:	The tray looks like a plate with him.
context: Got it.\We have an order!\One orange juice and one iced milk tea.\Aw...\Takeo-kun's working.\It's so cool!\What should I do?\The tray looks like a plate with him. response:	Yeah, it's so cool!
context: We have an order!\One orange juice and one iced milk tea.\Aw...\Takeo-kun's working.\It's so cool!\What should I do?\The tray looks like a plate with him.\Yeah, it's so cool! response:	The manager asked that part-timer not to quit,
context: One orange juice and one iced milk tea.\Aw...\Takeo-kun's working.\It's so cool!\What should I do?\The tray looks like a plate with him.\Yeah, it's so cool!\The manager asked that part-timer not to quit, response:	so he only works when he has time.
context: Aw...\Takeo-kun's working.\It's so cool!\What should I do?\The tray looks like a plate with him.\Yeah, it's so cool!\The manager asked that part-timer not to quit,\so he only works when he has time. response:	I hear he has a lot of fans.
context: Takeo-kun's working.\It's so cool!\What should I do?\The tray looks like a plate with him.\Yeah, it's so cool!\The manager asked that part-timer not to quit,\so he only works when he has time.\I hear he has a lot of fans. response:	Are you Gouda Takeo-kun?
context: It's so cool!\What should I do?\The tray looks like a plate with him.\Yeah, it's so cool!\The manager asked that part-timer not to quit,\so he only works when he has time.\I hear he has a lot of fans.\Are you Gouda Takeo-kun? response:	And who might you be?
context: What should I do?\The tray looks like a plate with him.\Yeah, it's so cool!\The manager asked that part-timer not to quit,\so he only works when he has time.\I hear he has a lot of fans.\Are you Gouda Takeo-kun?\And who might you be? response:	Hmm, I understand.
context: The tray looks like a plate with him.\Yeah, it's so cool!\The manager asked that part-timer not to quit,\so he only works when he has time.\I hear he has a lot of fans.\Are you Gouda Takeo-kun?\And who might you be?\Hmm, I understand. response:	You are good-looking...
context: Yeah, it's so cool!\The manager asked that part-timer not to quit,\so he only works when he has time.\I hear he has a lot of fans.\Are you Gouda Takeo-kun?\And who might you be?\Hmm, I understand.\You are good-looking... response:	I guess I can understand.
context: The manager asked that part-timer not to quit,\so he only works when he has time.\I hear he has a lot of fans.\Are you Gouda Takeo-kun?\And who might you be?\Hmm, I understand.\You are good-looking...\I guess I can understand. response:	But... I win.
context: so he only works when he has time.\I hear he has a lot of fans.\Are you Gouda Takeo-kun?\And who might you be?\Hmm, I understand.\You are good-looking...\I guess I can understand.\But... I win. response:	I am Gouda Takeo!
context: I hear he has a lot of fans.\Are you Gouda Takeo-kun?\And who might you be?\Hmm, I understand.\You are good-looking...\I guess I can understand.\But... I win.\I am Gouda Takeo! response:	Huh?
context: Are you Gouda Takeo-kun?\And who might you be?\Hmm, I understand.\You are good-looking...\I guess I can understand.\But... I win.\I am Gouda Takeo!\Huh? response:	What?!
context: And who might you be?\Hmm, I understand.\You are good-looking...\I guess I can understand.\But... I win.\I am Gouda Takeo!\Huh?\What?! response:	That's my friend, Sunakawa.
context: Hmm, I understand.\You are good-looking...\I guess I can understand.\But... I win.\I am Gouda Takeo!\Huh?\What?!\That's my friend, Sunakawa. response:	Oh, Suna.
context: You are good-looking...\I guess I can understand.\But... I win.\I am Gouda Takeo!\Huh?\What?!\That's my friend, Sunakawa.\Oh, Suna. response:	Huh?! Sunakawa?
context: I guess I can understand.\But... I win.\I am Gouda Takeo!\Huh?\What?!\That's my friend, Sunakawa.\Oh, Suna.\Huh?! Sunakawa? response:	Eh? You're Gouda?
context: But... I win.\I am Gouda Takeo!\Huh?\What?!\That's my friend, Sunakawa.\Oh, Suna.\Huh?! Sunakawa?\Eh? You're Gouda? response:	Yeah.
context: I am Gouda Takeo!\Huh?\What?!\That's my friend, Sunakawa.\Oh, Suna.\Huh?! Sunakawa?\Eh? You're Gouda?\Yeah. response:	Takeo-kun?
context: Huh?\What?!\That's my friend, Sunakawa.\Oh, Suna.\Huh?! Sunakawa?\Eh? You're Gouda?\Yeah.\Takeo-kun? response:	The high-schooler?
context: What?!\That's my friend, Sunakawa.\Oh, Suna.\Huh?! Sunakawa?\Eh? You're Gouda?\Yeah.\Takeo-kun?\The high-schooler? response:	That's right.
context: That's my friend, Sunakawa.\Oh, Suna.\Huh?! Sunakawa?\Eh? You're Gouda?\Yeah.\Takeo-kun?\The high-schooler?\That's right. response:	Gouda Takeo-kun?!
context: Oh, Suna.\Huh?! Sunakawa?\Eh? You're Gouda?\Yeah.\Takeo-kun?\The high-schooler?\That's right.\Gouda Takeo-kun?! response:	That's right, I'm Gouda Takeo.
context: Huh?! Sunakawa?\Eh? You're Gouda?\Yeah.\Takeo-kun?\The high-schooler?\That's right.\Gouda Takeo-kun?!\That's right, I'm Gouda Takeo. response:	What do you want?
context: Eh? You're Gouda?\Yeah.\Takeo-kun?\The high-schooler?\That's right.\Gouda Takeo-kun?!\That's right, I'm Gouda Takeo.\What do you want? response:	Oh, um...
context: Yeah.\Takeo-kun?\The high-schooler?\That's right.\Gouda Takeo-kun?!\That's right, I'm Gouda Takeo.\What do you want?\Oh, um... response:	I don't mean any harm.
context: Takeo-kun?\The high-schooler?\That's right.\Gouda Takeo-kun?!\That's right, I'm Gouda Takeo.\What do you want?\Oh, um...\I don't mean any harm. response:	Here, this is my ID.
context: The high-schooler?\That's right.\Gouda Takeo-kun?!\That's right, I'm Gouda Takeo.\What do you want?\Oh, um...\I don't mean any harm.\Here, this is my ID. response:	Ousaki University Student ID Oda Hayato
context: That's right.\Gouda Takeo-kun?!\That's right, I'm Gouda Takeo.\What do you want?\Oh, um...\I don't mean any harm.\Here, this is my ID.\Ousaki University Student ID Oda Hayato response:	Ousaki University?
context: Gouda Takeo-kun?!\That's right, I'm Gouda Takeo.\What do you want?\Oh, um...\I don't mean any harm.\Here, this is my ID.\Ousaki University Student ID Oda Hayato\Ousaki University? response:	Oda Hayato?
context: That's right, I'm Gouda Takeo.\What do you want?\Oh, um...\I don't mean any harm.\Here, this is my ID.\Ousaki University Student ID Oda Hayato\Ousaki University?\Oda Hayato? response:	That's my sis's university.
context: What do you want?\Oh, um...\I don't mean any harm.\Here, this is my ID.\Ousaki University Student ID Oda Hayato\Ousaki University?\Oda Hayato?\That's my sis's university. response:	Huh? Sis?
context: Oh, um...\I don't mean any harm.\Here, this is my ID.\Ousaki University Student ID Oda Hayato\Ousaki University?\Oda Hayato?\That's my sis's university.\Huh? Sis? response:	Oh, hello!
context: I don't mean any harm.\Here, this is my ID.\Ousaki University Student ID Oda Hayato\Ousaki University?\Oda Hayato?\That's my sis's university.\Huh? Sis?\Oh, hello! response:	Hi!
context: Here, this is my ID.\Ousaki University Student ID Oda Hayato\Ousaki University?\Oda Hayato?\That's my sis's university.\Huh? Sis?\Oh, hello!\Hi! response:	Oh, hello...
context: Ousaki University Student ID Oda Hayato\Ousaki University?\Oda Hayato?\That's my sis's university.\Huh? Sis?\Oh, hello!\Hi!\Oh, hello... response:	Sorry, Takeo...
