context: The story so far. response:	There was an incident where all the girls in the class conspired to ostracize Yukino,
context: The story so far.\The first semester finally ends,\and Yukino is apart from Arima-kun for the time being.\In exchange, she has her debut as a friend with us,\and we go out on a partying binge.\Yukino ends up depressed\because she feels once again that her only merit is grades.\The story so far. response:	The joy of her debut with her friends was short lived,
context: The first semester finally ends,\and Yukino is apart from Arima-kun for the time being.\In exchange, she has her debut as a friend with us,\and we go out on a partying binge.\Yukino ends up depressed\because she feels once again that her only merit is grades.\The story so far.\The joy of her debut with her friends was short lived, response:	and Yukino gets entangled in Tsubasa's family's squabble over the issue of remarriage.
context: and Yukino is apart from Arima-kun for the time being.\In exchange, she has her debut as a friend with us,\and we go out on a partying binge.\Yukino ends up depressed\because she feels once again that her only merit is grades.\The story so far.\The joy of her debut with her friends was short lived,\and Yukino gets entangled in Tsubasa's family's squabble over the issue of remarriage. response:	Tsubasa wouldn't open her heart to anyone.
context: In exchange, she has her debut as a friend with us,\and we go out on a partying binge.\Yukino ends up depressed\because she feels once again that her only merit is grades.\The story so far.\The joy of her debut with her friends was short lived,\and Yukino gets entangled in Tsubasa's family's squabble over the issue of remarriage.\Tsubasa wouldn't open her heart to anyone. response:	Seeing the family unable to reach each other...
context: and we go out on a partying binge.\Yukino ends up depressed\because she feels once again that her only merit is grades.\The story so far.\The joy of her debut with her friends was short lived,\and Yukino gets entangled in Tsubasa's family's squabble over the issue of remarriage.\Tsubasa wouldn't open her heart to anyone.\Seeing the family unable to reach each other... response:	even though they were seeking the same kind of happiness,
context: Yukino ends up depressed\because she feels once again that her only merit is grades.\The story so far.\The joy of her debut with her friends was short lived,\and Yukino gets entangled in Tsubasa's family's squabble over the issue of remarriage.\Tsubasa wouldn't open her heart to anyone.\Seeing the family unable to reach each other...\even though they were seeking the same kind of happiness, response:	Yukino could do nothing but hope for Tsubasa's happiness.
context: because she feels once again that her only merit is grades.\The story so far.\The joy of her debut with her friends was short lived,\and Yukino gets entangled in Tsubasa's family's squabble over the issue of remarriage.\Tsubasa wouldn't open her heart to anyone.\Seeing the family unable to reach each other...\even though they were seeking the same kind of happiness,\Yukino could do nothing but hope for Tsubasa's happiness. response:	The story so far.
context: The story so far.\The joy of her debut with her friends was short lived,\and Yukino gets entangled in Tsubasa's family's squabble over the issue of remarriage.\Tsubasa wouldn't open her heart to anyone.\Seeing the family unable to reach each other...\even though they were seeking the same kind of happiness,\Yukino could do nothing but hope for Tsubasa's happiness.\The story so far. response:	After that, I give myself up to despair, go back home without a fuss,
context: The joy of her debut with her friends was short lived,\and Yukino gets entangled in Tsubasa's family's squabble over the issue of remarriage.\Tsubasa wouldn't open her heart to anyone.\Seeing the family unable to reach each other...\even though they were seeking the same kind of happiness,\Yukino could do nothing but hope for Tsubasa's happiness.\The story so far.\After that, I give myself up to despair, go back home without a fuss, response:	and meet the other woman's son, Kazuma.
context: and Yukino gets entangled in Tsubasa's family's squabble over the issue of remarriage.\Tsubasa wouldn't open her heart to anyone.\Seeing the family unable to reach each other...\even though they were seeking the same kind of happiness,\Yukino could do nothing but hope for Tsubasa's happiness.\The story so far.\After that, I give myself up to despair, go back home without a fuss,\and meet the other woman's son, Kazuma. response:	I'm appalled at his lack of worries.
context: Tsubasa wouldn't open her heart to anyone.\Seeing the family unable to reach each other...\even though they were seeking the same kind of happiness,\Yukino could do nothing but hope for Tsubasa's happiness.\The story so far.\After that, I give myself up to despair, go back home without a fuss,\and meet the other woman's son, Kazuma.\I'm appalled at his lack of worries. response:	However, our accidental second encounter begins to thaw my frozen heart.
context: Seeing the family unable to reach each other...\even though they were seeking the same kind of happiness,\Yukino could do nothing but hope for Tsubasa's happiness.\The story so far.\After that, I give myself up to despair, go back home without a fuss,\and meet the other woman's son, Kazuma.\I'm appalled at his lack of worries.\However, our accidental second encounter begins to thaw my frozen heart. response:	That's the happy story, and we all live happily ever after.
context: even though they were seeking the same kind of happiness,\Yukino could do nothing but hope for Tsubasa's happiness.\The story so far.\After that, I give myself up to despair, go back home without a fuss,\and meet the other woman's son, Kazuma.\I'm appalled at his lack of worries.\However, our accidental second encounter begins to thaw my frozen heart.\That's the happy story, and we all live happily ever after. response:	Really? That must have been tough.
context: Yukino could do nothing but hope for Tsubasa's happiness.\The story so far.\After that, I give myself up to despair, go back home without a fuss,\and meet the other woman's son, Kazuma.\I'm appalled at his lack of worries.\However, our accidental second encounter begins to thaw my frozen heart.\That's the happy story, and we all live happily ever after.\Really? That must have been tough. response:	Yeah. But I'm glad things worked out for Tsubasa-chan.
context: The story so far.\After that, I give myself up to despair, go back home without a fuss,\and meet the other woman's son, Kazuma.\I'm appalled at his lack of worries.\However, our accidental second encounter begins to thaw my frozen heart.\That's the happy story, and we all live happily ever after.\Really? That must have been tough.\Yeah. But I'm glad things worked out for Tsubasa-chan. response:	It looks like she's getting along with her new brother really well.
context: After that, I give myself up to despair, go back home without a fuss,\and meet the other woman's son, Kazuma.\I'm appalled at his lack of worries.\However, our accidental second encounter begins to thaw my frozen heart.\That's the happy story, and we all live happily ever after.\Really? That must have been tough.\Yeah. But I'm glad things worked out for Tsubasa-chan.\It looks like she's getting along with her new brother really well. response:	I see.
context: and meet the other woman's son, Kazuma.\I'm appalled at his lack of worries.\However, our accidental second encounter begins to thaw my frozen heart.\That's the happy story, and we all live happily ever after.\Really? That must have been tough.\Yeah. But I'm glad things worked out for Tsubasa-chan.\It looks like she's getting along with her new brother really well.\I see. response:	So she has a nice brother now...
context: I'm appalled at his lack of worries.\However, our accidental second encounter begins to thaw my frozen heart.\That's the happy story, and we all live happily ever after.\Really? That must have been tough.\Yeah. But I'm glad things worked out for Tsubasa-chan.\It looks like she's getting along with her new brother really well.\I see.\So she has a nice brother now... response:	It's really hot these days. Is training camp tough?
context: However, our accidental second encounter begins to thaw my frozen heart.\That's the happy story, and we all live happily ever after.\Really? That must have been tough.\Yeah. But I'm glad things worked out for Tsubasa-chan.\It looks like she's getting along with her new brother really well.\I see.\So she has a nice brother now...\It's really hot these days. Is training camp tough? response:	You're in Nagano now, right? How is it?
context: That's the happy story, and we all live happily ever after.\Really? That must have been tough.\Yeah. But I'm glad things worked out for Tsubasa-chan.\It looks like she's getting along with her new brother really well.\I see.\So she has a nice brother now...\It's really hot these days. Is training camp tough?\You're in Nagano now, right? How is it? response:	It's a nice place.
context: Really? That must have been tough.\Yeah. But I'm glad things worked out for Tsubasa-chan.\It looks like she's getting along with her new brother really well.\I see.\So she has a nice brother now...\It's really hot these days. Is training camp tough?\You're in Nagano now, right? How is it?\It's a nice place. response:	It's hot but the breeze feels good...
context: Yeah. But I'm glad things worked out for Tsubasa-chan.\It looks like she's getting along with her new brother really well.\I see.\So she has a nice brother now...\It's really hot these days. Is training camp tough?\You're in Nagano now, right? How is it?\It's a nice place.\It's hot but the breeze feels good... response:	and the mornings and evenings are almost cold.
context: It looks like she's getting along with her new brother really well.\I see.\So she has a nice brother now...\It's really hot these days. Is training camp tough?\You're in Nagano now, right? How is it?\It's a nice place.\It's hot but the breeze feels good...\and the mornings and evenings are almost cold. response:	You should come here some day.
context: I see.\So she has a nice brother now...\It's really hot these days. Is training camp tough?\You're in Nagano now, right? How is it?\It's a nice place.\It's hot but the breeze feels good...\and the mornings and evenings are almost cold.\You should come here some day. response:	The rivers and the trees are beautiful.
context: So she has a nice brother now...\It's really hot these days. Is training camp tough?\You're in Nagano now, right? How is it?\It's a nice place.\It's hot but the breeze feels good...\and the mornings and evenings are almost cold.\You should come here some day.\The rivers and the trees are beautiful. response:	Arima's calm, clear voice that I can't get used to hearing over the phone...
context: It's really hot these days. Is training camp tough?\You're in Nagano now, right? How is it?\It's a nice place.\It's hot but the breeze feels good...\and the mornings and evenings are almost cold.\You should come here some day.\The rivers and the trees are beautiful.\Arima's calm, clear voice that I can't get used to hearing over the phone... response:	is a... little... sexy.
context: You're in Nagano now, right? How is it?\It's a nice place.\It's hot but the breeze feels good...\and the mornings and evenings are almost cold.\You should come here some day.\The rivers and the trees are beautiful.\Arima's calm, clear voice that I can't get used to hearing over the phone...\is a... little... sexy. response:	Who the hell are you?
context: It's a nice place.\It's hot but the breeze feels good...\and the mornings and evenings are almost cold.\You should come here some day.\The rivers and the trees are beautiful.\Arima's calm, clear voice that I can't get used to hearing over the phone...\is a... little... sexy.\Who the hell are you? response:	And who the hell are you?
context: It's hot but the breeze feels good...\and the mornings and evenings are almost cold.\You should come here some day.\The rivers and the trees are beautiful.\Arima's calm, clear voice that I can't get used to hearing over the phone...\is a... little... sexy.\Who the hell are you?\And who the hell are you? response:	It's Asaba-kun!
context: and the mornings and evenings are almost cold.\You should come here some day.\The rivers and the trees are beautiful.\Arima's calm, clear voice that I can't get used to hearing over the phone...\is a... little... sexy.\Who the hell are you?\And who the hell are you?\It's Asaba-kun! response:	Tsukino! Kano!
context: You should come here some day.\The rivers and the trees are beautiful.\Arima's calm, clear voice that I can't get used to hearing over the phone...\is a... little... sexy.\Who the hell are you?\And who the hell are you?\It's Asaba-kun!\Tsukino! Kano! response:	And even Peropero?!
context: The rivers and the trees are beautiful.\Arima's calm, clear voice that I can't get used to hearing over the phone...\is a... little... sexy.\Who the hell are you?\And who the hell are you?\It's Asaba-kun!\Tsukino! Kano!\And even Peropero?! response:	Hi, you two. You've gotten even cuter since I saw you last. You're like little faeries.
context: Arima's calm, clear voice that I can't get used to hearing over the phone...\is a... little... sexy.\Who the hell are you?\And who the hell are you?\It's Asaba-kun!\Tsukino! Kano!\And even Peropero?!\Hi, you two. You've gotten even cuter since I saw you last. You're like little faeries. response:	What are you doing to my angelic daughters?!
context: is a... little... sexy.\Who the hell are you?\And who the hell are you?\It's Asaba-kun!\Tsukino! Kano!\And even Peropero?!\Hi, you two. You've gotten even cuter since I saw you last. You're like little faeries.\What are you doing to my angelic daughters?! response:	Who the hell are you?! Name yourself!
context: Who the hell are you?\And who the hell are you?\It's Asaba-kun!\Tsukino! Kano!\And even Peropero?!\Hi, you two. You've gotten even cuter since I saw you last. You're like little faeries.\What are you doing to my angelic daughters?!\Who the hell are you?! Name yourself! response:	Oh, you must be Miyazawa's father.
context: And who the hell are you?\It's Asaba-kun!\Tsukino! Kano!\And even Peropero?!\Hi, you two. You've gotten even cuter since I saw you last. You're like little faeries.\What are you doing to my angelic daughters?!\Who the hell are you?! Name yourself!\Oh, you must be Miyazawa's father. response:	ASSHOLE! Don't call me father!
context: It's Asaba-kun!\Tsukino! Kano!\And even Peropero?!\Hi, you two. You've gotten even cuter since I saw you last. You're like little faeries.\What are you doing to my angelic daughters?!\Who the hell are you?! Name yourself!\Oh, you must be Miyazawa's father.\ASSHOLE! Don't call me father! response:	Dear, why are you being so loud this early in the morning?
context: Tsukino! Kano!\And even Peropero?!\Hi, you two. You've gotten even cuter since I saw you last. You're like little faeries.\What are you doing to my angelic daughters?!\Who the hell are you?! Name yourself!\Oh, you must be Miyazawa's father.\ASSHOLE! Don't call me father!\Dear, why are you being so loud this early in the morning? response:	Oh, it's Asapin.'Sup?
context: And even Peropero?!\Hi, you two. You've gotten even cuter since I saw you last. You're like little faeries.\What are you doing to my angelic daughters?!\Who the hell are you?! Name yourself!\Oh, you must be Miyazawa's father.\ASSHOLE! Don't call me father!\Dear, why are you being so loud this early in the morning?\Oh, it's Asapin.'Sup? response:	The lady is beautiful as well...
context: Hi, you two. You've gotten even cuter since I saw you last. You're like little faeries.\What are you doing to my angelic daughters?!\Who the hell are you?! Name yourself!\Oh, you must be Miyazawa's father.\ASSHOLE! Don't call me father!\Dear, why are you being so loud this early in the morning?\Oh, it's Asapin.'Sup?\The lady is beautiful as well... response:	I wish I could've met you before you met your husband.
context: What are you doing to my angelic daughters?!\Who the hell are you?! Name yourself!\Oh, you must be Miyazawa's father.\ASSHOLE! Don't call me father!\Dear, why are you being so loud this early in the morning?\Oh, it's Asapin.'Sup?\The lady is beautiful as well...\I wish I could've met you before you met your husband. response:	HEY!
context: Who the hell are you?! Name yourself!\Oh, you must be Miyazawa's father.\ASSHOLE! Don't call me father!\Dear, why are you being so loud this early in the morning?\Oh, it's Asapin.'Sup?\The lady is beautiful as well...\I wish I could've met you before you met your husband.\HEY! response:	I don't want you as a father.
context: Oh, you must be Miyazawa's father.\ASSHOLE! Don't call me father!\Dear, why are you being so loud this early in the morning?\Oh, it's Asapin.'Sup?\The lady is beautiful as well...\I wish I could've met you before you met your husband.\HEY!\I don't want you as a father. response:	Yukino, who the hell is he? What?
context: ASSHOLE! Don't call me father!\Dear, why are you being so loud this early in the morning?\Oh, it's Asapin.'Sup?\The lady is beautiful as well...\I wish I could've met you before you met your husband.\HEY!\I don't want you as a father.\Yukino, who the hell is he? What? response:	He seems lewd.
context: Dear, why are you being so loud this early in the morning?\Oh, it's Asapin.'Sup?\The lady is beautiful as well...\I wish I could've met you before you met your husband.\HEY!\I don't want you as a father.\Yukino, who the hell is he? What?\He seems lewd. response:	Why'd you have to let him into our house?
context: Oh, it's Asapin.'Sup?\The lady is beautiful as well...\I wish I could've met you before you met your husband.\HEY!\I don't want you as a father.\Yukino, who the hell is he? What?\He seems lewd.\Why'd you have to let him into our house? response:	I couldn't help it.
context: The lady is beautiful as well...\I wish I could've met you before you met your husband.\HEY!\I don't want you as a father.\Yukino, who the hell is he? What?\He seems lewd.\Why'd you have to let him into our house?\I couldn't help it. response:	He came all the way to take us to the pool,
context: I wish I could've met you before you met your husband.\HEY!\I don't want you as a father.\Yukino, who the hell is he? What?\He seems lewd.\Why'd you have to let him into our house?\I couldn't help it.\He came all the way to take us to the pool, response:	but then you had to have a tantrum and not let us go.
context: HEY!\I don't want you as a father.\Yukino, who the hell is he? What?\He seems lewd.\Why'd you have to let him into our house?\I couldn't help it.\He came all the way to take us to the pool,\but then you had to have a tantrum and not let us go. response:	You fool! Of COURSE not!
context: I don't want you as a father.\Yukino, who the hell is he? What?\He seems lewd.\Why'd you have to let him into our house?\I couldn't help it.\He came all the way to take us to the pool,\but then you had to have a tantrum and not let us go.\You fool! Of COURSE not! response:	If you went to the pool with a guy like that...
context: Yukino, who the hell is he? What?\He seems lewd.\Why'd you have to let him into our house?\I couldn't help it.\He came all the way to take us to the pool,\but then you had to have a tantrum and not let us go.\You fool! Of COURSE not!\If you went to the pool with a guy like that... response:	I could just imagine
context: He seems lewd.\Why'd you have to let him into our house?\I couldn't help it.\He came all the way to take us to the pool,\but then you had to have a tantrum and not let us go.\You fool! Of COURSE not!\If you went to the pool with a guy like that...\I could just imagine response:	what would happen...
context: Why'd you have to let him into our house?\I couldn't help it.\He came all the way to take us to the pool,\but then you had to have a tantrum and not let us go.\You fool! Of COURSE not!\If you went to the pool with a guy like that...\I could just imagine\what would happen... response:	NOOO...
context: I couldn't help it.\He came all the way to take us to the pool,\but then you had to have a tantrum and not let us go.\You fool! Of COURSE not!\If you went to the pool with a guy like that...\I could just imagine\what would happen...\NOOO... response:	I don't think anything would happen.
context: He came all the way to take us to the pool,\but then you had to have a tantrum and not let us go.\You fool! Of COURSE not!\If you went to the pool with a guy like that...\I could just imagine\what would happen...\NOOO...\I don't think anything would happen. response:	What is he thinking?
context: but then you had to have a tantrum and not let us go.\You fool! Of COURSE not!\If you went to the pool with a guy like that...\I could just imagine\what would happen...\NOOO...\I don't think anything would happen.\What is he thinking? response:	Sorry about this... after you came all the way to invite us.
context: You fool! Of COURSE not!\If you went to the pool with a guy like that...\I could just imagine\what would happen...\NOOO...\I don't think anything would happen.\What is he thinking?\Sorry about this... after you came all the way to invite us. response:	I'm just sorry I can't show you my new swimsuit.
context: If you went to the pool with a guy like that...\I could just imagine\what would happen...\NOOO...\I don't think anything would happen.\What is he thinking?\Sorry about this... after you came all the way to invite us.\I'm just sorry I can't show you my new swimsuit. response:	Well, that doesn't matter at all.
context: I could just imagine\what would happen...\NOOO...\I don't think anything would happen.\What is he thinking?\Sorry about this... after you came all the way to invite us.\I'm just sorry I can't show you my new swimsuit.\Well, that doesn't matter at all. response:	Here, Asaba-kun. Have some iced tea.
context: what would happen...\NOOO...\I don't think anything would happen.\What is he thinking?\Sorry about this... after you came all the way to invite us.\I'm just sorry I can't show you my new swimsuit.\Well, that doesn't matter at all.\Here, Asaba-kun. Have some iced tea. response:	Sure.
context: NOOO...\I don't think anything would happen.\What is he thinking?\Sorry about this... after you came all the way to invite us.\I'm just sorry I can't show you my new swimsuit.\Well, that doesn't matter at all.\Here, Asaba-kun. Have some iced tea.\Sure. response:	This is a funny manga. Check it out.
context: I don't think anything would happen.\What is he thinking?\Sorry about this... after you came all the way to invite us.\I'm just sorry I can't show you my new swimsuit.\Well, that doesn't matter at all.\Here, Asaba-kun. Have some iced tea.\Sure.\This is a funny manga. Check it out. response:	Let's see?
context: What is he thinking?\Sorry about this... after you came all the way to invite us.\I'm just sorry I can't show you my new swimsuit.\Well, that doesn't matter at all.\Here, Asaba-kun. Have some iced tea.\Sure.\This is a funny manga. Check it out.\Let's see? response:	Asaba-kun! Asaba-kun!
context: Sorry about this... after you came all the way to invite us.\I'm just sorry I can't show you my new swimsuit.\Well, that doesn't matter at all.\Here, Asaba-kun. Have some iced tea.\Sure.\This is a funny manga. Check it out.\Let's see?\Asaba-kun! Asaba-kun! response:	Tsukino, Kano...
context: I'm just sorry I can't show you my new swimsuit.\Well, that doesn't matter at all.\Here, Asaba-kun. Have some iced tea.\Sure.\This is a funny manga. Check it out.\Let's see?\Asaba-kun! Asaba-kun!\Tsukino, Kano... response:	you guys have gotten rather attached to Asaba.
context: Well, that doesn't matter at all.\Here, Asaba-kun. Have some iced tea.\Sure.\This is a funny manga. Check it out.\Let's see?\Asaba-kun! Asaba-kun!\Tsukino, Kano...\you guys have gotten rather attached to Asaba. response:	I mean... Do you like him more than Arima?
context: Here, Asaba-kun. Have some iced tea.\Sure.\This is a funny manga. Check it out.\Let's see?\Asaba-kun! Asaba-kun!\Tsukino, Kano...\you guys have gotten rather attached to Asaba.\I mean... Do you like him more than Arima? response:	Well...Arima-kun is like a brother.
context: Sure.\This is a funny manga. Check it out.\Let's see?\Asaba-kun! Asaba-kun!\Tsukino, Kano...\you guys have gotten rather attached to Asaba.\I mean... Do you like him more than Arima?\Well...Arima-kun is like a brother. response:	And Asaba-kun...well...
context: This is a funny manga. Check it out.\Let's see?\Asaba-kun! Asaba-kun!\Tsukino, Kano...\you guys have gotten rather attached to Asaba.\I mean... Do you like him more than Arima?\Well...Arima-kun is like a brother.\And Asaba-kun...well... response:	He's kinda cute.
context: Let's see?\Asaba-kun! Asaba-kun!\Tsukino, Kano...\you guys have gotten rather attached to Asaba.\I mean... Do you like him more than Arima?\Well...Arima-kun is like a brother.\And Asaba-kun...well...\He's kinda cute. response:	Yeah. What do they mean? I don't get it.
context: Asaba-kun! Asaba-kun!\Tsukino, Kano...\you guys have gotten rather attached to Asaba.\I mean... Do you like him more than Arima?\Well...Arima-kun is like a brother.\And Asaba-kun...well...\He's kinda cute.\Yeah. What do they mean? I don't get it. response:	What happened to your face?
context: Tsukino, Kano...\you guys have gotten rather attached to Asaba.\I mean... Do you like him more than Arima?\Well...Arima-kun is like a brother.\And Asaba-kun...well...\He's kinda cute.\Yeah. What do they mean? I don't get it.\What happened to your face? response:	Oh, this? THIS is from Arima.
context: you guys have gotten rather attached to Asaba.\I mean... Do you like him more than Arima?\Well...Arima-kun is like a brother.\And Asaba-kun...well...\He's kinda cute.\Yeah. What do they mean? I don't get it.\What happened to your face?\Oh, this? THIS is from Arima. response:	Remember on the last day of school
context: I mean... Do you like him more than Arima?\Well...Arima-kun is like a brother.\And Asaba-kun...well...\He's kinda cute.\Yeah. What do they mean? I don't get it.\What happened to your face?\Oh, this? THIS is from Arima.\Remember on the last day of school response:	I teased him I was going to the pool with you? Yeah.
context: Well...Arima-kun is like a brother.\And Asaba-kun...well...\He's kinda cute.\Yeah. What do they mean? I don't get it.\What happened to your face?\Oh, this? THIS is from Arima.\Remember on the last day of school\I teased him I was going to the pool with you? Yeah. response:	Then right after you left, BAM! He decked me with his bag. It was really scary.
context: And Asaba-kun...well...\He's kinda cute.\Yeah. What do they mean? I don't get it.\What happened to your face?\Oh, this? THIS is from Arima.\Remember on the last day of school\I teased him I was going to the pool with you? Yeah.\Then right after you left, BAM! He decked me with his bag. It was really scary. response:	I got a big bruise.
context: He's kinda cute.\Yeah. What do they mean? I don't get it.\What happened to your face?\Oh, this? THIS is from Arima.\Remember on the last day of school\I teased him I was going to the pool with you? Yeah.\Then right after you left, BAM! He decked me with his bag. It was really scary.\I got a big bruise. response:	Oh! Male envy can be a scary thing.
context: Yeah. What do they mean? I don't get it.\What happened to your face?\Oh, this? THIS is from Arima.\Remember on the last day of school\I teased him I was going to the pool with you? Yeah.\Then right after you left, BAM! He decked me with his bag. It was really scary.\I got a big bruise.\Oh! Male envy can be a scary thing. response:	Well, I like being envied.
context: What happened to your face?\Oh, this? THIS is from Arima.\Remember on the last day of school\I teased him I was going to the pool with you? Yeah.\Then right after you left, BAM! He decked me with his bag. It was really scary.\I got a big bruise.\Oh! Male envy can be a scary thing.\Well, I like being envied. response:	You know how people naturally feel envy towards the most attractive people.
context: Oh, this? THIS is from Arima.\Remember on the last day of school\I teased him I was going to the pool with you? Yeah.\Then right after you left, BAM! He decked me with his bag. It was really scary.\I got a big bruise.\Oh! Male envy can be a scary thing.\Well, I like being envied.\You know how people naturally feel envy towards the most attractive people. response:	You say that, but it must be boring not being able to see your dearest Arima for a while.
context: Remember on the last day of school\I teased him I was going to the pool with you? Yeah.\Then right after you left, BAM! He decked me with his bag. It was really scary.\I got a big bruise.\Oh! Male envy can be a scary thing.\Well, I like being envied.\You know how people naturally feel envy towards the most attractive people.\You say that, but it must be boring not being able to see your dearest Arima for a while. response:	You came over because you got lonely, didn't you?
context: I teased him I was going to the pool with you? Yeah.\Then right after you left, BAM! He decked me with his bag. It was really scary.\I got a big bruise.\Oh! Male envy can be a scary thing.\Well, I like being envied.\You know how people naturally feel envy towards the most attractive people.\You say that, but it must be boring not being able to see your dearest Arima for a while.\You came over because you got lonely, didn't you? response:	I haven't had any appetite lately,
context: Then right after you left, BAM! He decked me with his bag. It was really scary.\I got a big bruise.\Oh! Male envy can be a scary thing.\Well, I like being envied.\You know how people naturally feel envy towards the most attractive people.\You say that, but it must be boring not being able to see your dearest Arima for a while.\You came over because you got lonely, didn't you?\I haven't had any appetite lately, response:	and I dream about Arima every night.
