context: I am not about to be stranded by something such as rain! response:	We are leaving, Sophia Ring!
context: Don't think about him. Don't think about him.\This is emotional turmoil.\The angel must be nearby.\It's okay. I still have my power. It hasn't disappeared.\I have to do something before it does.\It's you, Shichimiya.\I thought Rikka had come home.\She's been staying out late every night. response:	I know it's summer vacation, but still.
context: This is emotional turmoil.\The angel must be nearby.\It's okay. I still have my power. It hasn't disappeared.\I have to do something before it does.\It's you, Shichimiya.\I thought Rikka had come home.\She's been staying out late every night.\I know it's summer vacation, but still. response:	I see.
context: The angel must be nearby.\It's okay. I still have my power. It hasn't disappeared.\I have to do something before it does.\It's you, Shichimiya.\I thought Rikka had come home.\She's been staying out late every night.\I know it's summer vacation, but still.\I see. response:	Shichimiya, your sticker is coming off.
context: It's okay. I still have my power. It hasn't disappeared.\I have to do something before it does.\It's you, Shichimiya.\I thought Rikka had come home.\She's been staying out late every night.\I know it's summer vacation, but still.\I see.\Shichimiya, your sticker is coming off. response:	What?
context: I have to do something before it does.\It's you, Shichimiya.\I thought Rikka had come home.\She's been staying out late every night.\I know it's summer vacation, but still.\I see.\Shichimiya, your sticker is coming off.\What? response:	Darn you, angel! It will take more than these cheap illusions...
context: It's you, Shichimiya.\I thought Rikka had come home.\She's been staying out late every night.\I know it's summer vacation, but still.\I see.\Shichimiya, your sticker is coming off.\What?\Darn you, angel! It will take more than these cheap illusions... response:	What the...?
context: I thought Rikka had come home.\She's been staying out late every night.\I know it's summer vacation, but still.\I see.\Shichimiya, your sticker is coming off.\What?\Darn you, angel! It will take more than these cheap illusions...\What the...? response:	You haven't been getting enough sleep.
context: She's been staying out late every night.\I know it's summer vacation, but still.\I see.\Shichimiya, your sticker is coming off.\What?\Darn you, angel! It will take more than these cheap illusions...\What the...?\You haven't been getting enough sleep. response:	Where were you out so late yesterday?
context: I know it's summer vacation, but still.\I see.\Shichimiya, your sticker is coming off.\What?\Darn you, angel! It will take more than these cheap illusions...\What the...?\You haven't been getting enough sleep.\Where were you out so late yesterday? response:	EPISODE X GAUNTLET OF RAIN A MIDSUMMER NIGHT'S... RAIN AND WHIPS
context: I see.\Shichimiya, your sticker is coming off.\What?\Darn you, angel! It will take more than these cheap illusions...\What the...?\You haven't been getting enough sleep.\Where were you out so late yesterday?\EPISODE X GAUNTLET OF RAIN A MIDSUMMER NIGHT'S... RAIN AND WHIPS response:	As I have told you many times, to speak it means death.
context: Shichimiya, your sticker is coming off.\What?\Darn you, angel! It will take more than these cheap illusions...\What the...?\You haven't been getting enough sleep.\Where were you out so late yesterday?\EPISODE X GAUNTLET OF RAIN A MIDSUMMER NIGHT'S... RAIN AND WHIPS\As I have told you many times, to speak it means death. response:	Knock that off or you're grounded.
context: What?\Darn you, angel! It will take more than these cheap illusions...\What the...?\You haven't been getting enough sleep.\Where were you out so late yesterday?\EPISODE X GAUNTLET OF RAIN A MIDSUMMER NIGHT'S... RAIN AND WHIPS\As I have told you many times, to speak it means death.\Knock that off or you're grounded. response:	Due to the proximity of the Priestess...
context: Darn you, angel! It will take more than these cheap illusions...\What the...?\You haven't been getting enough sleep.\Where were you out so late yesterday?\EPISODE X GAUNTLET OF RAIN A MIDSUMMER NIGHT'S... RAIN AND WHIPS\As I have told you many times, to speak it means death.\Knock that off or you're grounded.\Due to the proximity of the Priestess... response:	You are even starting to look like her.
context: What the...?\You haven't been getting enough sleep.\Where were you out so late yesterday?\EPISODE X GAUNTLET OF RAIN A MIDSUMMER NIGHT'S... RAIN AND WHIPS\As I have told you many times, to speak it means death.\Knock that off or you're grounded.\Due to the proximity of the Priestess...\You are even starting to look like her. response:	Shut up!
context: You haven't been getting enough sleep.\Where were you out so late yesterday?\EPISODE X GAUNTLET OF RAIN A MIDSUMMER NIGHT'S... RAIN AND WHIPS\As I have told you many times, to speak it means death.\Knock that off or you're grounded.\Due to the proximity of the Priestess...\You are even starting to look like her.\Shut up! response:	Wicked Lord Shingan!
context: Where were you out so late yesterday?\EPISODE X GAUNTLET OF RAIN A MIDSUMMER NIGHT'S... RAIN AND WHIPS\As I have told you many times, to speak it means death.\Knock that off or you're grounded.\Due to the proximity of the Priestess...\You are even starting to look like her.\Shut up!\Wicked Lord Shingan! response:	Miss, no diving please!
context: EPISODE X GAUNTLET OF RAIN A MIDSUMMER NIGHT'S... RAIN AND WHIPS\As I have told you many times, to speak it means death.\Knock that off or you're grounded.\Due to the proximity of the Priestess...\You are even starting to look like her.\Shut up!\Wicked Lord Shingan!\Miss, no diving please! response:	Is that Togashi?
context: As I have told you many times, to speak it means death.\Knock that off or you're grounded.\Due to the proximity of the Priestess...\You are even starting to look like her.\Shut up!\Wicked Lord Shingan!\Miss, no diving please!\Is that Togashi? response:	Who are you?
context: Knock that off or you're grounded.\Due to the proximity of the Priestess...\You are even starting to look like her.\Shut up!\Wicked Lord Shingan!\Miss, no diving please!\Is that Togashi?\Who are you? response:	It's me, me!
context: Due to the proximity of the Priestess...\You are even starting to look like her.\Shut up!\Wicked Lord Shingan!\Miss, no diving please!\Is that Togashi?\Who are you?\It's me, me! response:	Oh, Takanashi.
context: You are even starting to look like her.\Shut up!\Wicked Lord Shingan!\Miss, no diving please!\Is that Togashi?\Who are you?\It's me, me!\Oh, Takanashi. response:	Who are you?!
context: Shut up!\Wicked Lord Shingan!\Miss, no diving please!\Is that Togashi?\Who are you?\It's me, me!\Oh, Takanashi.\Who are you?! response:	Can you defeat me within the water, Wicked Lord Shingan?
context: Wicked Lord Shingan!\Miss, no diving please!\Is that Togashi?\Who are you?\It's me, me!\Oh, Takanashi.\Who are you?!\Can you defeat me within the water, Wicked Lord Shingan? response:	Take that!
context: Miss, no diving please!\Is that Togashi?\Who are you?\It's me, me!\Oh, Takanashi.\Who are you?!\Can you defeat me within the water, Wicked Lord Shingan?\Take that! response:	P-please, not there!
context: Is that Togashi?\Who are you?\It's me, me!\Oh, Takanashi.\Who are you?!\Can you defeat me within the water, Wicked Lord Shingan?\Take that!\P-please, not there! response:	Stop making weird sounds!
context: Who are you?\It's me, me!\Oh, Takanashi.\Who are you?!\Can you defeat me within the water, Wicked Lord Shingan?\Take that!\P-please, not there!\Stop making weird sounds! response:	Cento, we're not allowed to jump into pools in Japan!
context: It's me, me!\Oh, Takanashi.\Who are you?!\Can you defeat me within the water, Wicked Lord Shingan?\Take that!\P-please, not there!\Stop making weird sounds!\Cento, we're not allowed to jump into pools in Japan! response:	Agreed!
context: Oh, Takanashi.\Who are you?!\Can you defeat me within the water, Wicked Lord Shingan?\Take that!\P-please, not there!\Stop making weird sounds!\Cento, we're not allowed to jump into pools in Japan!\Agreed! response:	And Toka is the same as always.
context: Who are you?!\Can you defeat me within the water, Wicked Lord Shingan?\Take that!\P-please, not there!\Stop making weird sounds!\Cento, we're not allowed to jump into pools in Japan!\Agreed!\And Toka is the same as always. response:	Yuta, look.
context: Can you defeat me within the water, Wicked Lord Shingan?\Take that!\P-please, not there!\Stop making weird sounds!\Cento, we're not allowed to jump into pools in Japan!\Agreed!\And Toka is the same as always.\Yuta, look. response:	Forget. You must forget.
context: Take that!\P-please, not there!\Stop making weird sounds!\Cento, we're not allowed to jump into pools in Japan!\Agreed!\And Toka is the same as always.\Yuta, look.\Forget. You must forget. response:	Make it all disappear, in the Devil's name!
context: P-please, not there!\Stop making weird sounds!\Cento, we're not allowed to jump into pools in Japan!\Agreed!\And Toka is the same as always.\Yuta, look.\Forget. You must forget.\Make it all disappear, in the Devil's name! response:	Shichimiya?
context: Stop making weird sounds!\Cento, we're not allowed to jump into pools in Japan!\Agreed!\And Toka is the same as always.\Yuta, look.\Forget. You must forget.\Make it all disappear, in the Devil's name!\Shichimiya? response:	In the profane name of the Angel Lucifer, rid me of my memory!
context: Cento, we're not allowed to jump into pools in Japan!\Agreed!\And Toka is the same as always.\Yuta, look.\Forget. You must forget.\Make it all disappear, in the Devil's name!\Shichimiya?\In the profane name of the Angel Lucifer, rid me of my memory! response:	Shichimiya.
context: Agreed!\And Toka is the same as always.\Yuta, look.\Forget. You must forget.\Make it all disappear, in the Devil's name!\Shichimiya?\In the profane name of the Angel Lucifer, rid me of my memory!\Shichimiya. response:	It's still not working! I can hear his voice!
context: And Toka is the same as always.\Yuta, look.\Forget. You must forget.\Make it all disappear, in the Devil's name!\Shichimiya?\In the profane name of the Angel Lucifer, rid me of my memory!\Shichimiya.\It's still not working! I can hear his voice! response:	One more time!
context: Yuta, look.\Forget. You must forget.\Make it all disappear, in the Devil's name!\Shichimiya?\In the profane name of the Angel Lucifer, rid me of my memory!\Shichimiya.\It's still not working! I can hear his voice!\One more time! response:	Shichimiya?
context: Forget. You must forget.\Make it all disappear, in the Devil's name!\Shichimiya?\In the profane name of the Angel Lucifer, rid me of my memory!\Shichimiya.\It's still not working! I can hear his voice!\One more time!\Shichimiya? response:	Hero!
context: Make it all disappear, in the Devil's name!\Shichimiya?\In the profane name of the Angel Lucifer, rid me of my memory!\Shichimiya.\It's still not working! I can hear his voice!\One more time!\Shichimiya?\Hero! response:	I didn't know you were here.
context: Shichimiya?\In the profane name of the Angel Lucifer, rid me of my memory!\Shichimiya.\It's still not working! I can hear his voice!\One more time!\Shichimiya?\Hero!\I didn't know you were here. response:	That is an excellent meditation spot.
context: In the profane name of the Angel Lucifer, rid me of my memory!\Shichimiya.\It's still not working! I can hear his voice!\One more time!\Shichimiya?\Hero!\I didn't know you were here.\That is an excellent meditation spot. response:	Huh? Oh.
context: Shichimiya.\It's still not working! I can hear his voice!\One more time!\Shichimiya?\Hero!\I didn't know you were here.\That is an excellent meditation spot.\Huh? Oh. response:	That's right! As a magical devil girl, I meditate daily!
context: It's still not working! I can hear his voice!\One more time!\Shichimiya?\Hero!\I didn't know you were here.\That is an excellent meditation spot.\Huh? Oh.\That's right! As a magical devil girl, I meditate daily! response:	Shichimiya, your shoulder!
context: One more time!\Shichimiya?\Hero!\I didn't know you were here.\That is an excellent meditation spot.\Huh? Oh.\That's right! As a magical devil girl, I meditate daily!\Shichimiya, your shoulder! response:	Get with it!
context: Shichimiya?\Hero!\I didn't know you were here.\That is an excellent meditation spot.\Huh? Oh.\That's right! As a magical devil girl, I meditate daily!\Shichimiya, your shoulder!\Get with it! response:	The attacks are getting more vicious every day!
context: Hero!\I didn't know you were here.\That is an excellent meditation spot.\Huh? Oh.\That's right! As a magical devil girl, I meditate daily!\Shichimiya, your shoulder!\Get with it!\The attacks are getting more vicious every day! response:	That was freaky.
context: I didn't know you were here.\That is an excellent meditation spot.\Huh? Oh.\That's right! As a magical devil girl, I meditate daily!\Shichimiya, your shoulder!\Get with it!\The attacks are getting more vicious every day!\That was freaky. response:	What got into you?!
context: That is an excellent meditation spot.\Huh? Oh.\That's right! As a magical devil girl, I meditate daily!\Shichimiya, your shoulder!\Get with it!\The attacks are getting more vicious every day!\That was freaky.\What got into you?! response:	I don't know, but I am a veritable feast of rage.
context: Huh? Oh.\That's right! As a magical devil girl, I meditate daily!\Shichimiya, your shoulder!\Get with it!\The attacks are getting more vicious every day!\That was freaky.\What got into you?!\I don't know, but I am a veritable feast of rage. response:	What are you blithering about?!
context: That's right! As a magical devil girl, I meditate daily!\Shichimiya, your shoulder!\Get with it!\The attacks are getting more vicious every day!\That was freaky.\What got into you?!\I don't know, but I am a veritable feast of rage.\What are you blithering about?! response:	Okay, Rikka and I will be at the library doing our homework.
context: Shichimiya, your shoulder!\Get with it!\The attacks are getting more vicious every day!\That was freaky.\What got into you?!\I don't know, but I am a veritable feast of rage.\What are you blithering about?!\Okay, Rikka and I will be at the library doing our homework. response:	Right.
context: Get with it!\The attacks are getting more vicious every day!\That was freaky.\What got into you?!\I don't know, but I am a veritable feast of rage.\What are you blithering about?!\Okay, Rikka and I will be at the library doing our homework.\Right. response:	Yuta, increased body temperature confirmed.
context: The attacks are getting more vicious every day!\That was freaky.\What got into you?!\I don't know, but I am a veritable feast of rage.\What are you blithering about?!\Okay, Rikka and I will be at the library doing our homework.\Right.\Yuta, increased body temperature confirmed. response:	I hereby request supplementary cooling components.
context: That was freaky.\What got into you?!\I don't know, but I am a veritable feast of rage.\What are you blithering about?!\Okay, Rikka and I will be at the library doing our homework.\Right.\Yuta, increased body temperature confirmed.\I hereby request supplementary cooling components. response:	Ice cream?
context: What got into you?!\I don't know, but I am a veritable feast of rage.\What are you blithering about?!\Okay, Rikka and I will be at the library doing our homework.\Right.\Yuta, increased body temperature confirmed.\I hereby request supplementary cooling components.\Ice cream? response:	If possible, soft.
context: I don't know, but I am a veritable feast of rage.\What are you blithering about?!\Okay, Rikka and I will be at the library doing our homework.\Right.\Yuta, increased body temperature confirmed.\I hereby request supplementary cooling components.\Ice cream?\If possible, soft. response:	Hey.
context: What are you blithering about?!\Okay, Rikka and I will be at the library doing our homework.\Right.\Yuta, increased body temperature confirmed.\I hereby request supplementary cooling components.\Ice cream?\If possible, soft.\Hey. response:	Yes?
context: Okay, Rikka and I will be at the library doing our homework.\Right.\Yuta, increased body temperature confirmed.\I hereby request supplementary cooling components.\Ice cream?\If possible, soft.\Hey.\Yes? response:	Where's Scarf gone?
context: Right.\Yuta, increased body temperature confirmed.\I hereby request supplementary cooling components.\Ice cream?\If possible, soft.\Hey.\Yes?\Where's Scarf gone? response:	You mean Shichimiya?
context: Yuta, increased body temperature confirmed.\I hereby request supplementary cooling components.\Ice cream?\If possible, soft.\Hey.\Yes?\Where's Scarf gone?\You mean Shichimiya? response:	I think she went home already.
context: I hereby request supplementary cooling components.\Ice cream?\If possible, soft.\Hey.\Yes?\Where's Scarf gone?\You mean Shichimiya?\I think she went home already. response:	What about her?
context: Ice cream?\If possible, soft.\Hey.\Yes?\Where's Scarf gone?\You mean Shichimiya?\I think she went home already.\What about her? response:	No, never mind then.
context: If possible, soft.\Hey.\Yes?\Where's Scarf gone?\You mean Shichimiya?\I think she went home already.\What about her?\No, never mind then. response:	So, only Rikka can see it.
context: Hey.\Yes?\Where's Scarf gone?\You mean Shichimiya?\I think she went home already.\What about her?\No, never mind then.\So, only Rikka can see it. response:	What is this?
context: Yes?\Where's Scarf gone?\You mean Shichimiya?\I think she went home already.\What about her?\No, never mind then.\So, only Rikka can see it.\What is this? response:	There's nobody here!
context: Where's Scarf gone?\You mean Shichimiya?\I think she went home already.\What about her?\No, never mind then.\So, only Rikka can see it.\What is this?\There's nobody here! response:	It doesn't happen till nightfall.
context: You mean Shichimiya?\I think she went home already.\What about her?\No, never mind then.\So, only Rikka can see it.\What is this?\There's nobody here!\It doesn't happen till nightfall. response:	Would you like to take turns napping? I brought pillows.
context: I think she went home already.\What about her?\No, never mind then.\So, only Rikka can see it.\What is this?\There's nobody here!\It doesn't happen till nightfall.\Would you like to take turns napping? I brought pillows. response:	I'm leaving.
context: What about her?\No, never mind then.\So, only Rikka can see it.\What is this?\There's nobody here!\It doesn't happen till nightfall.\Would you like to take turns napping? I brought pillows.\I'm leaving. response:	You can't. The neighborhood association director said...
context: No, never mind then.\So, only Rikka can see it.\What is this?\There's nobody here!\It doesn't happen till nightfall.\Would you like to take turns napping? I brought pillows.\I'm leaving.\You can't. The neighborhood association director said... response:	Then they should put us to work!
context: So, only Rikka can see it.\What is this?\There's nobody here!\It doesn't happen till nightfall.\Would you like to take turns napping? I brought pillows.\I'm leaving.\You can't. The neighborhood association director said...\Then they should put us to work! response:	I can't stand wasting time like this without any sense of accomplishment!
context: What is this?\There's nobody here!\It doesn't happen till nightfall.\Would you like to take turns napping? I brought pillows.\I'm leaving.\You can't. The neighborhood association director said...\Then they should put us to work!\I can't stand wasting time like this without any sense of accomplishment! response:	It sucks to be you, Morisummer.
context: There's nobody here!\It doesn't happen till nightfall.\Would you like to take turns napping? I brought pillows.\I'm leaving.\You can't. The neighborhood association director said...\Then they should put us to work!\I can't stand wasting time like this without any sense of accomplishment!\It sucks to be you, Morisummer. response:	Don't call me that!
context: It doesn't happen till nightfall.\Would you like to take turns napping? I brought pillows.\I'm leaving.\You can't. The neighborhood association director said...\Then they should put us to work!\I can't stand wasting time like this without any sense of accomplishment!\It sucks to be you, Morisummer.\Don't call me that! response:	It could definitely use more momentum.
context: Would you like to take turns napping? I brought pillows.\I'm leaving.\You can't. The neighborhood association director said...\Then they should put us to work!\I can't stand wasting time like this without any sense of accomplishment!\It sucks to be you, Morisummer.\Don't call me that!\It could definitely use more momentum. response:	Now see here.
context: I'm leaving.\You can't. The neighborhood association director said...\Then they should put us to work!\I can't stand wasting time like this without any sense of accomplishment!\It sucks to be you, Morisummer.\Don't call me that!\It could definitely use more momentum.\Now see here. response:	Schwing!
context: You can't. The neighborhood association director said...\Then they should put us to work!\I can't stand wasting time like this without any sense of accomplishment!\It sucks to be you, Morisummer.\Don't call me that!\It could definitely use more momentum.\Now see here.\Schwing! response:	Must you always insist upon interfering with my plans?!
context: Then they should put us to work!\I can't stand wasting time like this without any sense of accomplishment!\It sucks to be you, Morisummer.\Don't call me that!\It could definitely use more momentum.\Now see here.\Schwing!\Must you always insist upon interfering with my plans?! response:	I didn't ask you to follow me here!
context: I can't stand wasting time like this without any sense of accomplishment!\It sucks to be you, Morisummer.\Don't call me that!\It could definitely use more momentum.\Now see here.\Schwing!\Must you always insist upon interfering with my plans?!\I didn't ask you to follow me here! response:	I am compelled to send you beyond the reaches of the parallel world.
context: It sucks to be you, Morisummer.\Don't call me that!\It could definitely use more momentum.\Now see here.\Schwing!\Must you always insist upon interfering with my plans?!\I didn't ask you to follow me here!\I am compelled to send you beyond the reaches of the parallel world. response:	I was feeling bored anyway.
context: Don't call me that!\It could definitely use more momentum.\Now see here.\Schwing!\Must you always insist upon interfering with my plans?!\I didn't ask you to follow me here!\I am compelled to send you beyond the reaches of the parallel world.\I was feeling bored anyway. response:	It couldn't hurt to play along once in a while.
context: It could definitely use more momentum.\Now see here.\Schwing!\Must you always insist upon interfering with my plans?!\I didn't ask you to follow me here!\I am compelled to send you beyond the reaches of the parallel world.\I was feeling bored anyway.\It couldn't hurt to play along once in a while. response:	I am buying all of these water yo-yo's!
context: Now see here.\Schwing!\Must you always insist upon interfering with my plans?!\I didn't ask you to follow me here!\I am compelled to send you beyond the reaches of the parallel world.\I was feeling bored anyway.\It couldn't hurt to play along once in a while.\I am buying all of these water yo-yo's! response:	Thank you, come again!
context: Schwing!\Must you always insist upon interfering with my plans?!\I didn't ask you to follow me here!\I am compelled to send you beyond the reaches of the parallel world.\I was feeling bored anyway.\It couldn't hurt to play along once in a while.\I am buying all of these water yo-yo's!\Thank you, come again! response:	I take this to mean you will do battle with me?
context: Must you always insist upon interfering with my plans?!\I didn't ask you to follow me here!\I am compelled to send you beyond the reaches of the parallel world.\I was feeling bored anyway.\It couldn't hurt to play along once in a while.\I am buying all of these water yo-yo's!\Thank you, come again!\I take this to mean you will do battle with me? response:	Do battle nothing.
context: I didn't ask you to follow me here!\I am compelled to send you beyond the reaches of the parallel world.\I was feeling bored anyway.\It couldn't hurt to play along once in a while.\I am buying all of these water yo-yo's!\Thank you, come again!\I take this to mean you will do battle with me?\Do battle nothing. response:	I am going to crush you without mercy!
context: I am compelled to send you beyond the reaches of the parallel world.\I was feeling bored anyway.\It couldn't hurt to play along once in a while.\I am buying all of these water yo-yo's!\Thank you, come again!\I take this to mean you will do battle with me?\Do battle nothing.\I am going to crush you without mercy! response:	Nice try!
context: I was feeling bored anyway.\It couldn't hurt to play along once in a while.\I am buying all of these water yo-yo's!\Thank you, come again!\I take this to mean you will do battle with me?\Do battle nothing.\I am going to crush you without mercy!\Nice try! response:	Nice try!
context: It couldn't hurt to play along once in a while.\I am buying all of these water yo-yo's!\Thank you, come again!\I take this to mean you will do battle with me?\Do battle nothing.\I am going to crush you without mercy!\Nice try!\Nice try! response:	Ugh!
context: I am buying all of these water yo-yo's!\Thank you, come again!\I take this to mean you will do battle with me?\Do battle nothing.\I am going to crush you without mercy!\Nice try!\Nice try!\Ugh! response:	Ow!
context: Thank you, come again!\I take this to mean you will do battle with me?\Do battle nothing.\I am going to crush you without mercy!\Nice try!\Nice try!\Ugh!\Ow! response:	This is your fault!
context: I take this to mean you will do battle with me?\Do battle nothing.\I am going to crush you without mercy!\Nice try!\Nice try!\Ugh!\Ow!\This is your fault! response:	You're to blame for this!
context: Do battle nothing.\I am going to crush you without mercy!\Nice try!\Nice try!\Ugh!\Ow!\This is your fault!\You're to blame for this! response:	What did you want to talk about?
context: I am going to crush you without mercy!\Nice try!\Nice try!\Ugh!\Ow!\This is your fault!\You're to blame for this!\What did you want to talk about? response:	Yes, I have a favor to ask.
context: Nice try!\Nice try!\Ugh!\Ow!\This is your fault!\You're to blame for this!\What did you want to talk about?\Yes, I have a favor to ask. response:	I, Dekomori, am my master's servant!
context: Nice try!\Ugh!\Ow!\This is your fault!\You're to blame for this!\What did you want to talk about?\Yes, I have a favor to ask.\I, Dekomori, am my master's servant! response:	I will happily obey her sister!
context: Ugh!\Ow!\This is your fault!\You're to blame for this!\What did you want to talk about?\Yes, I have a favor to ask.\I, Dekomori, am my master's servant!\I will happily obey her sister! response:	Why are you sucking up to her?!
context: Ow!\This is your fault!\You're to blame for this!\What did you want to talk about?\Yes, I have a favor to ask.\I, Dekomori, am my master's servant!\I will happily obey her sister!\Why are you sucking up to her?! response:	I wanted to do something about it myself if I had the time...
context: This is your fault!\You're to blame for this!\What did you want to talk about?\Yes, I have a favor to ask.\I, Dekomori, am my master's servant!\I will happily obey her sister!\Why are you sucking up to her?!\I wanted to do something about it myself if I had the time... response:	What?
context: You're to blame for this!\What did you want to talk about?\Yes, I have a favor to ask.\I, Dekomori, am my master's servant!\I will happily obey her sister!\Why are you sucking up to her?!\I wanted to do something about it myself if I had the time...\What? response:	MUNICIPAL LIBRARY
context: What did you want to talk about?\Yes, I have a favor to ask.\I, Dekomori, am my master's servant!\I will happily obey her sister!\Why are you sucking up to her?!\I wanted to do something about it myself if I had the time...\What?\MUNICIPAL LIBRARY response:	You have no intention of doing your homework.
context: Yes, I have a favor to ask.\I, Dekomori, am my master's servant!\I will happily obey her sister!\Why are you sucking up to her?!\I wanted to do something about it myself if I had the time...\What?\MUNICIPAL LIBRARY\You have no intention of doing your homework. response:	But we did just get out of the pool.
context: I, Dekomori, am my master's servant!\I will happily obey her sister!\Why are you sucking up to her?!\I wanted to do something about it myself if I had the time...\What?\MUNICIPAL LIBRARY\You have no intention of doing your homework.\But we did just get out of the pool. response:	INCOMING TEXT - TOKA
context: I will happily obey her sister!\Why are you sucking up to her?!\I wanted to do something about it myself if I had the time...\What?\MUNICIPAL LIBRARY\You have no intention of doing your homework.\But we did just get out of the pool.\INCOMING TEXT - TOKA response:	Toka?
context: Why are you sucking up to her?!\I wanted to do something about it myself if I had the time...\What?\MUNICIPAL LIBRARY\You have no intention of doing your homework.\But we did just get out of the pool.\INCOMING TEXT - TOKA\Toka? response:	SUB: GOING BACK TO ITALY Find the answer for yourselves. Contact me if there's trouble. That is all.
context: I wanted to do something about it myself if I had the time...\What?\MUNICIPAL LIBRARY\You have no intention of doing your homework.\But we did just get out of the pool.\INCOMING TEXT - TOKA\Toka?\SUB: GOING BACK TO ITALY Find the answer for yourselves. Contact me if there's trouble. That is all. response:	Yes, that's right. I'm on my way back to Italy now.
context: What?\MUNICIPAL LIBRARY\You have no intention of doing your homework.\But we did just get out of the pool.\INCOMING TEXT - TOKA\Toka?\SUB: GOING BACK TO ITALY Find the answer for yourselves. Contact me if there's trouble. That is all.\Yes, that's right. I'm on my way back to Italy now. response:	Don't worry. I've checked in on Rikka.
context: MUNICIPAL LIBRARY\You have no intention of doing your homework.\But we did just get out of the pool.\INCOMING TEXT - TOKA\Toka?\SUB: GOING BACK TO ITALY Find the answer for yourselves. Contact me if there's trouble. That is all.\Yes, that's right. I'm on my way back to Italy now.\Don't worry. I've checked in on Rikka. response:	I see. Thanks.
context: You have no intention of doing your homework.\But we did just get out of the pool.\INCOMING TEXT - TOKA\Toka?\SUB: GOING BACK TO ITALY Find the answer for yourselves. Contact me if there's trouble. That is all.\Yes, that's right. I'm on my way back to Italy now.\Don't worry. I've checked in on Rikka.\I see. Thanks. response:	The next time you come back...
context: But we did just get out of the pool.\INCOMING TEXT - TOKA\Toka?\SUB: GOING BACK TO ITALY Find the answer for yourselves. Contact me if there's trouble. That is all.\Yes, that's right. I'm on my way back to Italy now.\Don't worry. I've checked in on Rikka.\I see. Thanks.\The next time you come back... response:	Yeah.
context: INCOMING TEXT - TOKA\Toka?\SUB: GOING BACK TO ITALY Find the answer for yourselves. Contact me if there's trouble. That is all.\Yes, that's right. I'm on my way back to Italy now.\Don't worry. I've checked in on Rikka.\I see. Thanks.\The next time you come back...\Yeah. response:	Disappear! My netherworld barrier is active...
context: Toka?\SUB: GOING BACK TO ITALY Find the answer for yourselves. Contact me if there's trouble. That is all.\Yes, that's right. I'm on my way back to Italy now.\Don't worry. I've checked in on Rikka.\I see. Thanks.\The next time you come back...\Yeah.\Disappear! My netherworld barrier is active... response:	I think this is an extremely formidable foe.
context: SUB: GOING BACK TO ITALY Find the answer for yourselves. Contact me if there's trouble. That is all.\Yes, that's right. I'm on my way back to Italy now.\Don't worry. I've checked in on Rikka.\I see. Thanks.\The next time you come back...\Yeah.\Disappear! My netherworld barrier is active...\I think this is an extremely formidable foe. response:	YOU'VE GOT MAIL WICKED LORD SHINGAN UNSEAL
context: Yes, that's right. I'm on my way back to Italy now.\Don't worry. I've checked in on Rikka.\I see. Thanks.\The next time you come back...\Yeah.\Disappear! My netherworld barrier is active...\I think this is an extremely formidable foe.\YOU'VE GOT MAIL WICKED LORD SHINGAN UNSEAL response:	I am completely restored! HP/MP are topped up!
