context: Oh, Hitoka-chan. Are you done changing? response:	I'll walk with you, so hold on a sec.
context: Don't worry about it.\What's wrong, Sensei?\Why the serious face?\Oh, well...\Apparently, the bus we were supposed to take for the away games in Tokyo\was booked by another club, so it doesn't look like we'll get it.\It looks like it's going to cost us a lot more than expected,\so I was trying to figure out what to do. response:	I'll try talking to a few more alumni.
context: What's wrong, Sensei?\Why the serious face?\Oh, well...\Apparently, the bus we were supposed to take for the away games in Tokyo\was booked by another club, so it doesn't look like we'll get it.\It looks like it's going to cost us a lot more than expected,\so I was trying to figure out what to do.\I'll try talking to a few more alumni. response:	I'm sure this problem'll come up again in the future.
context: Why the serious face?\Oh, well...\Apparently, the bus we were supposed to take for the away games in Tokyo\was booked by another club, so it doesn't look like we'll get it.\It looks like it's going to cost us a lot more than expected,\so I was trying to figure out what to do.\I'll try talking to a few more alumni.\I'm sure this problem'll come up again in the future. response:	I apologize. I'll try reaching out, as well.
context: Oh, well...\Apparently, the bus we were supposed to take for the away games in Tokyo\was booked by another club, so it doesn't look like we'll get it.\It looks like it's going to cost us a lot more than expected,\so I was trying to figure out what to do.\I'll try talking to a few more alumni.\I'm sure this problem'll come up again in the future.\I apologize. I'll try reaching out, as well. response:	Well, if all else fails, I do have some savings.
context: Apparently, the bus we were supposed to take for the away games in Tokyo\was booked by another club, so it doesn't look like we'll get it.\It looks like it's going to cost us a lot more than expected,\so I was trying to figure out what to do.\I'll try talking to a few more alumni.\I'm sure this problem'll come up again in the future.\I apologize. I'll try reaching out, as well.\Well, if all else fails, I do have some savings. response:	No, no, no. You need to save that for your future wedding, or something.
context: was booked by another club, so it doesn't look like we'll get it.\It looks like it's going to cost us a lot more than expected,\so I was trying to figure out what to do.\I'll try talking to a few more alumni.\I'm sure this problem'll come up again in the future.\I apologize. I'll try reaching out, as well.\Well, if all else fails, I do have some savings.\No, no, no. You need to save that for your future wedding, or something. response:	And don't do that with your hand!
context: It looks like it's going to cost us a lot more than expected,\so I was trying to figure out what to do.\I'll try talking to a few more alumni.\I'm sure this problem'll come up again in the future.\I apologize. I'll try reaching out, as well.\Well, if all else fails, I do have some savings.\No, no, no. You need to save that for your future wedding, or something.\And don't do that with your hand! response:	Yachi-san!
context: so I was trying to figure out what to do.\I'll try talking to a few more alumni.\I'm sure this problem'll come up again in the future.\I apologize. I'll try reaching out, as well.\Well, if all else fails, I do have some savings.\No, no, no. You need to save that for your future wedding, or something.\And don't do that with your hand!\Yachi-san! response:	Yachi-san, are you gonna be our manager?
context: I'll try talking to a few more alumni.\I'm sure this problem'll come up again in the future.\I apologize. I'll try reaching out, as well.\Well, if all else fails, I do have some savings.\No, no, no. You need to save that for your future wedding, or something.\And don't do that with your hand!\Yachi-san!\Yachi-san, are you gonna be our manager? response:	Uh, um...
context: I'm sure this problem'll come up again in the future.\I apologize. I'll try reaching out, as well.\Well, if all else fails, I do have some savings.\No, no, no. You need to save that for your future wedding, or something.\And don't do that with your hand!\Yachi-san!\Yachi-san, are you gonna be our manager?\Uh, um... response:	You will, right?
context: I apologize. I'll try reaching out, as well.\Well, if all else fails, I do have some savings.\No, no, no. You need to save that for your future wedding, or something.\And don't do that with your hand!\Yachi-san!\Yachi-san, are you gonna be our manager?\Uh, um...\You will, right? response:	Hey, first-year girl, hey!
context: Well, if all else fails, I do have some savings.\No, no, no. You need to save that for your future wedding, or something.\And don't do that with your hand!\Yachi-san!\Yachi-san, are you gonna be our manager?\Uh, um...\You will, right?\Hey, first-year girl, hey! response:	We hope that you will join the Karasuno High School volleyball team.
context: No, no, no. You need to save that for your future wedding, or something.\And don't do that with your hand!\Yachi-san!\Yachi-san, are you gonna be our manager?\Uh, um...\You will, right?\Hey, first-year girl, hey!\We hope that you will join the Karasuno High School volleyball team. response:	Huh?
context: And don't do that with your hand!\Yachi-san!\Yachi-san, are you gonna be our manager?\Uh, um...\You will, right?\Hey, first-year girl, hey!\We hope that you will join the Karasuno High School volleyball team.\Huh? response:	When you're around, Kiyoko-san talks a lot.
context: Yachi-san!\Yachi-san, are you gonna be our manager?\Uh, um...\You will, right?\Hey, first-year girl, hey!\We hope that you will join the Karasuno High School volleyball team.\Huh?\When you're around, Kiyoko-san talks a lot. response:	What kind of invitation is that, you idiots?!
context: Yachi-san, are you gonna be our manager?\Uh, um...\You will, right?\Hey, first-year girl, hey!\We hope that you will join the Karasuno High School volleyball team.\Huh?\When you're around, Kiyoko-san talks a lot.\What kind of invitation is that, you idiots?! response:	Sorry these guys are so stupid.
context: Uh, um...\You will, right?\Hey, first-year girl, hey!\We hope that you will join the Karasuno High School volleyball team.\Huh?\When you're around, Kiyoko-san talks a lot.\What kind of invitation is that, you idiots?!\Sorry these guys are so stupid. response:	No, not at all!
context: You will, right?\Hey, first-year girl, hey!\We hope that you will join the Karasuno High School volleyball team.\Huh?\When you're around, Kiyoko-san talks a lot.\What kind of invitation is that, you idiots?!\Sorry these guys are so stupid.\No, not at all! response:	Um... I'm flattered.
context: Hey, first-year girl, hey!\We hope that you will join the Karasuno High School volleyball team.\Huh?\When you're around, Kiyoko-san talks a lot.\What kind of invitation is that, you idiots?!\Sorry these guys are so stupid.\No, not at all!\Um... I'm flattered. response:	I've never tried to do something on my own,
context: We hope that you will join the Karasuno High School volleyball team.\Huh?\When you're around, Kiyoko-san talks a lot.\What kind of invitation is that, you idiots?!\Sorry these guys are so stupid.\No, not at all!\Um... I'm flattered.\I've never tried to do something on my own, response:	or had someone need me for anything...
context: Huh?\When you're around, Kiyoko-san talks a lot.\What kind of invitation is that, you idiots?!\Sorry these guys are so stupid.\No, not at all!\Um... I'm flattered.\I've never tried to do something on my own,\or had someone need me for anything... response:	Even in drama club, I've only been an extra.
context: When you're around, Kiyoko-san talks a lot.\What kind of invitation is that, you idiots?!\Sorry these guys are so stupid.\No, not at all!\Um... I'm flattered.\I've never tried to do something on my own,\or had someone need me for anything...\Even in drama club, I've only been an extra. response:	Like Townsperson B or a tree.
context: What kind of invitation is that, you idiots?!\Sorry these guys are so stupid.\No, not at all!\Um... I'm flattered.\I've never tried to do something on my own,\or had someone need me for anything...\Even in drama club, I've only been an extra.\Like Townsperson B or a tree. response:	A tree?
context: Sorry these guys are so stupid.\No, not at all!\Um... I'm flattered.\I've never tried to do something on my own,\or had someone need me for anything...\Even in drama club, I've only been an extra.\Like Townsperson B or a tree.\A tree? response:	So when Shimizu-senpai worked so hard to recruit a Townsperson B,
context: No, not at all!\Um... I'm flattered.\I've never tried to do something on my own,\or had someone need me for anything...\Even in drama club, I've only been an extra.\Like Townsperson B or a tree.\A tree?\So when Shimizu-senpai worked so hard to recruit a Townsperson B, response:	like me, who has no experience or knowledge of volleyball,
context: Um... I'm flattered.\I've never tried to do something on my own,\or had someone need me for anything...\Even in drama club, I've only been an extra.\Like Townsperson B or a tree.\A tree?\So when Shimizu-senpai worked so hard to recruit a Townsperson B,\like me, who has no experience or knowledge of volleyball, response:	I was really happy.
context: I've never tried to do something on my own,\or had someone need me for anything...\Even in drama club, I've only been an extra.\Like Townsperson B or a tree.\A tree?\So when Shimizu-senpai worked so hard to recruit a Townsperson B,\like me, who has no experience or knowledge of volleyball,\I was really happy. response:	But I'm sure I'm not much
context: or had someone need me for anything...\Even in drama club, I've only been an extra.\Like Townsperson B or a tree.\A tree?\So when Shimizu-senpai worked so hard to recruit a Townsperson B,\like me, who has no experience or knowledge of volleyball,\I was really happy.\But I'm sure I'm not much response:	I totally get how you feel.
context: Even in drama club, I've only been an extra.\Like Townsperson B or a tree.\A tree?\So when Shimizu-senpai worked so hard to recruit a Townsperson B,\like me, who has no experience or knowledge of volleyball,\I was really happy.\But I'm sure I'm not much\I totally get how you feel. response:	Even if Kiyoko-san said,
context: Like Townsperson B or a tree.\A tree?\So when Shimizu-senpai worked so hard to recruit a Townsperson B,\like me, who has no experience or knowledge of volleyball,\I was really happy.\But I'm sure I'm not much\I totally get how you feel.\Even if Kiyoko-san said, response:	I'm going to steal money from you, so follow me.
context: A tree?\So when Shimizu-senpai worked so hard to recruit a Townsperson B,\like me, who has no experience or knowledge of volleyball,\I was really happy.\But I'm sure I'm not much\I totally get how you feel.\Even if Kiyoko-san said,\I'm going to steal money from you, so follow me. response:	I'd still follow her.
context: So when Shimizu-senpai worked so hard to recruit a Townsperson B,\like me, who has no experience or knowledge of volleyball,\I was really happy.\But I'm sure I'm not much\I totally get how you feel.\Even if Kiyoko-san said,\I'm going to steal money from you, so follow me.\I'd still follow her. response:	You're so manly, Ryu!
context: like me, who has no experience or knowledge of volleyball,\I was really happy.\But I'm sure I'm not much\I totally get how you feel.\Even if Kiyoko-san said,\I'm going to steal money from you, so follow me.\I'd still follow her.\You're so manly, Ryu! response:	Uh, I think that's a bit different.
context: I was really happy.\But I'm sure I'm not much\I totally get how you feel.\Even if Kiyoko-san said,\I'm going to steal money from you, so follow me.\I'd still follow her.\You're so manly, Ryu!\Uh, I think that's a bit different. response:	That sounds sorta awesome!
context: But I'm sure I'm not much\I totally get how you feel.\Even if Kiyoko-san said,\I'm going to steal money from you, so follow me.\I'd still follow her.\You're so manly, Ryu!\Uh, I think that's a bit different.\That sounds sorta awesome! response:	Looks like Tanaka's saying something again.
context: I totally get how you feel.\Even if Kiyoko-san said,\I'm going to steal money from you, so follow me.\I'd still follow her.\You're so manly, Ryu!\Uh, I think that's a bit different.\That sounds sorta awesome!\Looks like Tanaka's saying something again. response:	Oh, that reminds me...
context: Even if Kiyoko-san said,\I'm going to steal money from you, so follow me.\I'd still follow her.\You're so manly, Ryu!\Uh, I think that's a bit different.\That sounds sorta awesome!\Looks like Tanaka's saying something again.\Oh, that reminds me... response:	From: Kozume Kenma Subject: None We made it through the first round. This week is round two of prelims.
context: I'm going to steal money from you, so follow me.\I'd still follow her.\You're so manly, Ryu!\Uh, I think that's a bit different.\That sounds sorta awesome!\Looks like Tanaka's saying something again.\Oh, that reminds me...\From: Kozume Kenma Subject: None We made it through the first round. This week is round two of prelims. response:	Damn! Nekoma's so awesome!
context: I'd still follow her.\You're so manly, Ryu!\Uh, I think that's a bit different.\That sounds sorta awesome!\Looks like Tanaka's saying something again.\Oh, that reminds me...\From: Kozume Kenma Subject: None We made it through the first round. This week is round two of prelims.\Damn! Nekoma's so awesome! response:	I'm getting fired up!
context: You're so manly, Ryu!\Uh, I think that's a bit different.\That sounds sorta awesome!\Looks like Tanaka's saying something again.\Oh, that reminds me...\From: Kozume Kenma Subject: None We made it through the first round. This week is round two of prelims.\Damn! Nekoma's so awesome!\I'm getting fired up! response:	Haikyu!!
context: Uh, I think that's a bit different.\That sounds sorta awesome!\Looks like Tanaka's saying something again.\Oh, that reminds me...\From: Kozume Kenma Subject: None We made it through the first round. This week is round two of prelims.\Damn! Nekoma's so awesome!\I'm getting fired up!\Haikyu!! response:	Episode 3 Townsperson B
context: That sounds sorta awesome!\Looks like Tanaka's saying something again.\Oh, that reminds me...\From: Kozume Kenma Subject: None We made it through the first round. This week is round two of prelims.\Damn! Nekoma's so awesome!\I'm getting fired up!\Haikyu!!\Episode 3 Townsperson B response:	Hitoka.
context: Looks like Tanaka's saying something again.\Oh, that reminds me...\From: Kozume Kenma Subject: None We made it through the first round. This week is round two of prelims.\Damn! Nekoma's so awesome!\I'm getting fired up!\Haikyu!!\Episode 3 Townsperson B\Hitoka. response:	I've got to go to one more meeting, so I'm going to be home late.
context: Oh, that reminds me...\From: Kozume Kenma Subject: None We made it through the first round. This week is round two of prelims.\Damn! Nekoma's so awesome!\I'm getting fired up!\Haikyu!!\Episode 3 Townsperson B\Hitoka.\I've got to go to one more meeting, so I'm going to be home late. response:	Okay. See you later, Mom.
context: From: Kozume Kenma Subject: None We made it through the first round. This week is round two of prelims.\Damn! Nekoma's so awesome!\I'm getting fired up!\Haikyu!!\Episode 3 Townsperson B\Hitoka.\I've got to go to one more meeting, so I'm going to be home late.\Okay. See you later, Mom. response:	Make sure you clean up over here.
context: Damn! Nekoma's so awesome!\I'm getting fired up!\Haikyu!!\Episode 3 Townsperson B\Hitoka.\I've got to go to one more meeting, so I'm going to be home late.\Okay. See you later, Mom.\Make sure you clean up over here. response:	Okay.
context: I'm getting fired up!\Haikyu!!\Episode 3 Townsperson B\Hitoka.\I've got to go to one more meeting, so I'm going to be home late.\Okay. See you later, Mom.\Make sure you clean up over here.\Okay. response:	Hm? What's this?
context: Haikyu!!\Episode 3 Townsperson B\Hitoka.\I've got to go to one more meeting, so I'm going to be home late.\Okay. See you later, Mom.\Make sure you clean up over here.\Okay.\Hm? What's this? response:	Karasuno High School Boys' Volleyball Club Members and Manager Seeking Members!! Please Contact Shimizu Kiyoko in Class 3-2
context: Episode 3 Townsperson B\Hitoka.\I've got to go to one more meeting, so I'm going to be home late.\Okay. See you later, Mom.\Make sure you clean up over here.\Okay.\Hm? What's this?\Karasuno High School Boys' Volleyball Club Members and Manager Seeking Members!! Please Contact Shimizu Kiyoko in Class 3-2 response:	Oh, well...
context: Hitoka.\I've got to go to one more meeting, so I'm going to be home late.\Okay. See you later, Mom.\Make sure you clean up over here.\Okay.\Hm? What's this?\Karasuno High School Boys' Volleyball Club Members and Manager Seeking Members!! Please Contact Shimizu Kiyoko in Class 3-2\Oh, well... response:	I was invited to be a manager for the boys' volleyball team.
context: I've got to go to one more meeting, so I'm going to be home late.\Okay. See you later, Mom.\Make sure you clean up over here.\Okay.\Hm? What's this?\Karasuno High School Boys' Volleyball Club Members and Manager Seeking Members!! Please Contact Shimizu Kiyoko in Class 3-2\Oh, well...\I was invited to be a manager for the boys' volleyball team. response:	Volleyball?
context: Okay. See you later, Mom.\Make sure you clean up over here.\Okay.\Hm? What's this?\Karasuno High School Boys' Volleyball Club Members and Manager Seeking Members!! Please Contact Shimizu Kiyoko in Class 3-2\Oh, well...\I was invited to be a manager for the boys' volleyball team.\Volleyball? response:	Yeah...
context: Make sure you clean up over here.\Okay.\Hm? What's this?\Karasuno High School Boys' Volleyball Club Members and Manager Seeking Members!! Please Contact Shimizu Kiyoko in Class 3-2\Oh, well...\I was invited to be a manager for the boys' volleyball team.\Volleyball?\Yeah... response:	Oh, I'll be right there. Just a moment.
context: Okay.\Hm? What's this?\Karasuno High School Boys' Volleyball Club Members and Manager Seeking Members!! Please Contact Shimizu Kiyoko in Class 3-2\Oh, well...\I was invited to be a manager for the boys' volleyball team.\Volleyball?\Yeah...\Oh, I'll be right there. Just a moment. response:	Yes, ma'am.
context: Hm? What's this?\Karasuno High School Boys' Volleyball Club Members and Manager Seeking Members!! Please Contact Shimizu Kiyoko in Class 3-2\Oh, well...\I was invited to be a manager for the boys' volleyball team.\Volleyball?\Yeah...\Oh, I'll be right there. Just a moment.\Yes, ma'am. response:	Didn't Karasuno's volleyball team make it to nationals before?
context: Karasuno High School Boys' Volleyball Club Members and Manager Seeking Members!! Please Contact Shimizu Kiyoko in Class 3-2\Oh, well...\I was invited to be a manager for the boys' volleyball team.\Volleyball?\Yeah...\Oh, I'll be right there. Just a moment.\Yes, ma'am.\Didn't Karasuno's volleyball team make it to nationals before? response:	It's a strong school, right?
context: Oh, well...\I was invited to be a manager for the boys' volleyball team.\Volleyball?\Yeah...\Oh, I'll be right there. Just a moment.\Yes, ma'am.\Didn't Karasuno's volleyball team make it to nationals before?\It's a strong school, right? response:	Yes.
context: I was invited to be a manager for the boys' volleyball team.\Volleyball?\Yeah...\Oh, I'll be right there. Just a moment.\Yes, ma'am.\Didn't Karasuno's volleyball team make it to nationals before?\It's a strong school, right?\Yes. response:	Apparently they're getting strong again.
context: Volleyball?\Yeah...\Oh, I'll be right there. Just a moment.\Yes, ma'am.\Didn't Karasuno's volleyball team make it to nationals before?\It's a strong school, right?\Yes.\Apparently they're getting strong again. response:	The taxi's here.
context: Yeah...\Oh, I'll be right there. Just a moment.\Yes, ma'am.\Didn't Karasuno's volleyball team make it to nationals before?\It's a strong school, right?\Yes.\Apparently they're getting strong again.\The taxi's here. response:	Do you even know anything about volleyball?
context: Oh, I'll be right there. Just a moment.\Yes, ma'am.\Didn't Karasuno's volleyball team make it to nationals before?\It's a strong school, right?\Yes.\Apparently they're getting strong again.\The taxi's here.\Do you even know anything about volleyball? response:	Well, I plan on learning more about it.
context: Yes, ma'am.\Didn't Karasuno's volleyball team make it to nationals before?\It's a strong school, right?\Yes.\Apparently they're getting strong again.\The taxi's here.\Do you even know anything about volleyball?\Well, I plan on learning more about it. response:	That's fine and all,
context: Didn't Karasuno's volleyball team make it to nationals before?\It's a strong school, right?\Yes.\Apparently they're getting strong again.\The taxi's here.\Do you even know anything about volleyball?\Well, I plan on learning more about it.\That's fine and all, response:	but joining passionate people when you aren't going to give it your all
context: It's a strong school, right?\Yes.\Apparently they're getting strong again.\The taxi's here.\Do you even know anything about volleyball?\Well, I plan on learning more about it.\That's fine and all,\but joining passionate people when you aren't going to give it your all response:	is the rudest thing you could do.
context: Yes.\Apparently they're getting strong again.\The taxi's here.\Do you even know anything about volleyball?\Well, I plan on learning more about it.\That's fine and all,\but joining passionate people when you aren't going to give it your all\is the rudest thing you could do. response:	I'm counting on you to make breakfast tomorrow.
context: Apparently they're getting strong again.\The taxi's here.\Do you even know anything about volleyball?\Well, I plan on learning more about it.\That's fine and all,\but joining passionate people when you aren't going to give it your all\is the rudest thing you could do.\I'm counting on you to make breakfast tomorrow. response:	Oh, right...
context: The taxi's here.\Do you even know anything about volleyball?\Well, I plan on learning more about it.\That's fine and all,\but joining passionate people when you aren't going to give it your all\is the rudest thing you could do.\I'm counting on you to make breakfast tomorrow.\Oh, right... response:	Senpai, why did you have to say it like that?
context: Do you even know anything about volleyball?\Well, I plan on learning more about it.\That's fine and all,\but joining passionate people when you aren't going to give it your all\is the rudest thing you could do.\I'm counting on you to make breakfast tomorrow.\Oh, right...\Senpai, why did you have to say it like that? response:	You're so cold.
context: Well, I plan on learning more about it.\That's fine and all,\but joining passionate people when you aren't going to give it your all\is the rudest thing you could do.\I'm counting on you to make breakfast tomorrow.\Oh, right...\Senpai, why did you have to say it like that?\You're so cold. response:	I-I didn't mean it like that!
context: That's fine and all,\but joining passionate people when you aren't going to give it your all\is the rudest thing you could do.\I'm counting on you to make breakfast tomorrow.\Oh, right...\Senpai, why did you have to say it like that?\You're so cold.\I-I didn't mean it like that! response:	You're probably the reason why Hitoka-chan's a bit negative, Senpai.
context: but joining passionate people when you aren't going to give it your all\is the rudest thing you could do.\I'm counting on you to make breakfast tomorrow.\Oh, right...\Senpai, why did you have to say it like that?\You're so cold.\I-I didn't mean it like that!\You're probably the reason why Hitoka-chan's a bit negative, Senpai. response:	I just want her to be stronger!
context: is the rudest thing you could do.\I'm counting on you to make breakfast tomorrow.\Oh, right...\Senpai, why did you have to say it like that?\You're so cold.\I-I didn't mean it like that!\You're probably the reason why Hitoka-chan's a bit negative, Senpai.\I just want her to be stronger! response:	But if she's going to give up just because of what I said,
context: I'm counting on you to make breakfast tomorrow.\Oh, right...\Senpai, why did you have to say it like that?\You're so cold.\I-I didn't mean it like that!\You're probably the reason why Hitoka-chan's a bit negative, Senpai.\I just want her to be stronger!\But if she's going to give up just because of what I said, response:	she'll lose hope over even smaller things in the future, too.
context: Oh, right...\Senpai, why did you have to say it like that?\You're so cold.\I-I didn't mean it like that!\You're probably the reason why Hitoka-chan's a bit negative, Senpai.\I just want her to be stronger!\But if she's going to give up just because of what I said,\she'll lose hope over even smaller things in the future, too. response:	Girls' Changing Room
context: Senpai, why did you have to say it like that?\You're so cold.\I-I didn't mean it like that!\You're probably the reason why Hitoka-chan's a bit negative, Senpai.\I just want her to be stronger!\But if she's going to give up just because of what I said,\she'll lose hope over even smaller things in the future, too.\Girls' Changing Room response:	Club Application
context: You're so cold.\I-I didn't mean it like that!\You're probably the reason why Hitoka-chan's a bit negative, Senpai.\I just want her to be stronger!\But if she's going to give up just because of what I said,\she'll lose hope over even smaller things in the future, too.\Girls' Changing Room\Club Application response:	Is something troubling you?
context: I-I didn't mean it like that!\You're probably the reason why Hitoka-chan's a bit negative, Senpai.\I just want her to be stronger!\But if she's going to give up just because of what I said,\she'll lose hope over even smaller things in the future, too.\Girls' Changing Room\Club Application\Is something troubling you? response:	By the way, I did play sports,
context: You're probably the reason why Hitoka-chan's a bit negative, Senpai.\I just want her to be stronger!\But if she's going to give up just because of what I said,\she'll lose hope over even smaller things in the future, too.\Girls' Changing Room\Club Application\Is something troubling you?\By the way, I did play sports, response:	but I had no prior experience with volleyball or being a manager.
context: I just want her to be stronger!\But if she's going to give up just because of what I said,\she'll lose hope over even smaller things in the future, too.\Girls' Changing Room\Club Application\Is something troubling you?\By the way, I did play sports,\but I had no prior experience with volleyball or being a manager. response:	I don't think everyone has to like something before giving it a try.
context: But if she's going to give up just because of what I said,\she'll lose hope over even smaller things in the future, too.\Girls' Changing Room\Club Application\Is something troubling you?\By the way, I did play sports,\but I had no prior experience with volleyball or being a manager.\I don't think everyone has to like something before giving it a try. response:	I don't think you need an unwavering will
context: she'll lose hope over even smaller things in the future, too.\Girls' Changing Room\Club Application\Is something troubling you?\By the way, I did play sports,\but I had no prior experience with volleyball or being a manager.\I don't think everyone has to like something before giving it a try.\I don't think you need an unwavering will response:	or lofty motive just to get started.
context: Girls' Changing Room\Club Application\Is something troubling you?\By the way, I did play sports,\but I had no prior experience with volleyball or being a manager.\I don't think everyone has to like something before giving it a try.\I don't think you need an unwavering will\or lofty motive just to get started. response:	Sometimes things that you start on a whim
context: Club Application\Is something troubling you?\By the way, I did play sports,\but I had no prior experience with volleyball or being a manager.\I don't think everyone has to like something before giving it a try.\I don't think you need an unwavering will\or lofty motive just to get started.\Sometimes things that you start on a whim response:	end up becoming very important to you, too.
context: Is something troubling you?\By the way, I did play sports,\but I had no prior experience with volleyball or being a manager.\I don't think everyone has to like something before giving it a try.\I don't think you need an unwavering will\or lofty motive just to get started.\Sometimes things that you start on a whim\end up becoming very important to you, too. response:	To get started, I think you just need a little bit of curiosity.
context: By the way, I did play sports,\but I had no prior experience with volleyball or being a manager.\I don't think everyone has to like something before giving it a try.\I don't think you need an unwavering will\or lofty motive just to get started.\Sometimes things that you start on a whim\end up becoming very important to you, too.\To get started, I think you just need a little bit of curiosity. response:	Hinata and Tsukishima.
context: but I had no prior experience with volleyball or being a manager.\I don't think everyone has to like something before giving it a try.\I don't think you need an unwavering will\or lofty motive just to get started.\Sometimes things that you start on a whim\end up becoming very important to you, too.\To get started, I think you just need a little bit of curiosity.\Hinata and Tsukishima. response:	Yes!
context: I don't think everyone has to like something before giving it a try.\I don't think you need an unwavering will\or lofty motive just to get started.\Sometimes things that you start on a whim\end up becoming very important to you, too.\To get started, I think you just need a little bit of curiosity.\Hinata and Tsukishima.\Yes! response:	Yes.
context: I don't think you need an unwavering will\or lofty motive just to get started.\Sometimes things that you start on a whim\end up becoming very important to you, too.\To get started, I think you just need a little bit of curiosity.\Hinata and Tsukishima.\Yes!\Yes. response:	Since you two are middle blockers,
context: or lofty motive just to get started.\Sometimes things that you start on a whim\end up becoming very important to you, too.\To get started, I think you just need a little bit of curiosity.\Hinata and Tsukishima.\Yes!\Yes.\Since you two are middle blockers, response:	The floor's wet. Could I get the mop?
context: Sometimes things that you start on a whim\end up becoming very important to you, too.\To get started, I think you just need a little bit of curiosity.\Hinata and Tsukishima.\Yes!\Yes.\Since you two are middle blockers,\The floor's wet. Could I get the mop? response:	you have to be able to use blocks as your weapon.
context: end up becoming very important to you, too.\To get started, I think you just need a little bit of curiosity.\Hinata and Tsukishima.\Yes!\Yes.\Since you two are middle blockers,\The floor's wet. Could I get the mop?\you have to be able to use blocks as your weapon. response:	Yup. Where is it?
context: To get started, I think you just need a little bit of curiosity.\Hinata and Tsukishima.\Yes!\Yes.\Since you two are middle blockers,\The floor's wet. Could I get the mop?\you have to be able to use blocks as your weapon.\Yup. Where is it? response:	I need you to be so good at blocking, you could stop Ushiwaka.
context: Hinata and Tsukishima.\Yes!\Yes.\Since you two are middle blockers,\The floor's wet. Could I get the mop?\you have to be able to use blocks as your weapon.\Yup. Where is it?\I need you to be so good at blocking, you could stop Ushiwaka. response:	Right around here. Thanks.
context: Yes!\Yes.\Since you two are middle blockers,\The floor's wet. Could I get the mop?\you have to be able to use blocks as your weapon.\Yup. Where is it?\I need you to be so good at blocking, you could stop Ushiwaka.\Right around here. Thanks. response:	Keep that in mind for today's practice match, too.
context: Yes.\Since you two are middle blockers,\The floor's wet. Could I get the mop?\you have to be able to use blocks as your weapon.\Yup. Where is it?\I need you to be so good at blocking, you could stop Ushiwaka.\Right around here. Thanks.\Keep that in mind for today's practice match, too. response:	Gotcha!
context: Since you two are middle blockers,\The floor's wet. Could I get the mop?\you have to be able to use blocks as your weapon.\Yup. Where is it?\I need you to be so good at blocking, you could stop Ushiwaka.\Right around here. Thanks.\Keep that in mind for today's practice match, too.\Gotcha! response:	Right...
context: The floor's wet. Could I get the mop?\you have to be able to use blocks as your weapon.\Yup. Where is it?\I need you to be so good at blocking, you could stop Ushiwaka.\Right around here. Thanks.\Keep that in mind for today's practice match, too.\Gotcha!\Right... response:	There's no way we could block Ushiwaka...
context: you have to be able to use blocks as your weapon.\Yup. Where is it?\I need you to be so good at blocking, you could stop Ushiwaka.\Right around here. Thanks.\Keep that in mind for today's practice match, too.\Gotcha!\Right...\There's no way we could block Ushiwaka... response:	All right, get back to practice.
