context: Episode 10 Umaru and Now and Once Upon a Time response:	I keep telling her she needs to sleep in her bed,
context: Of course, my virus is totally lazy.\What do you guys wanna do?\So tired.\Let's not bother this time.\Yeah.\They died in a day! Viva health!\The morning after you get over a cold feels so good!\I'll do some radio calisthenics that I vaguely remember! response:	Oh, Onii-chan, good mor
context: What do you guys wanna do?\So tired.\Let's not bother this time.\Yeah.\They died in a day! Viva health!\The morning after you get over a cold feels so good!\I'll do some radio calisthenics that I vaguely remember!\Oh, Onii-chan, good mor response:	My head hurts.
context: So tired.\Let's not bother this time.\Yeah.\They died in a day! Viva health!\The morning after you get over a cold feels so good!\I'll do some radio calisthenics that I vaguely remember!\Oh, Onii-chan, good mor\My head hurts. response:	Wh-What the...
context: Let's not bother this time.\Yeah.\They died in a day! Viva health!\The morning after you get over a cold feels so good!\I'll do some radio calisthenics that I vaguely remember!\Oh, Onii-chan, good mor\My head hurts.\Wh-What the... response:	It's a cold! You totally caught a cold, Onii-chan!
context: Yeah.\They died in a day! Viva health!\The morning after you get over a cold feels so good!\I'll do some radio calisthenics that I vaguely remember!\Oh, Onii-chan, good mor\My head hurts.\Wh-What the...\It's a cold! You totally caught a cold, Onii-chan! response:	Ow...
context: They died in a day! Viva health!\The morning after you get over a cold feels so good!\I'll do some radio calisthenics that I vaguely remember!\Oh, Onii-chan, good mor\My head hurts.\Wh-What the...\It's a cold! You totally caught a cold, Onii-chan!\Ow... response:	Stop yelling! The sound is rattling my brain.
context: The morning after you get over a cold feels so good!\I'll do some radio calisthenics that I vaguely remember!\Oh, Onii-chan, good mor\My head hurts.\Wh-What the...\It's a cold! You totally caught a cold, Onii-chan!\Ow...\Stop yelling! The sound is rattling my brain. response:	Yep. Fever.
context: I'll do some radio calisthenics that I vaguely remember!\Oh, Onii-chan, good mor\My head hurts.\Wh-What the...\It's a cold! You totally caught a cold, Onii-chan!\Ow...\Stop yelling! The sound is rattling my brain.\Yep. Fever. response:	Umaruun
context: Oh, Onii-chan, good mor\My head hurts.\Wh-What the...\It's a cold! You totally caught a cold, Onii-chan!\Ow...\Stop yelling! The sound is rattling my brain.\Yep. Fever.\Umaruun response:	Oh, hello. Thank you for everything you do.
context: My head hurts.\Wh-What the...\It's a cold! You totally caught a cold, Onii-chan!\Ow...\Stop yelling! The sound is rattling my brain.\Yep. Fever.\Umaruun\Oh, hello. Thank you for everything you do. response:	This is Doma Taihei's sister.
context: Wh-What the...\It's a cold! You totally caught a cold, Onii-chan!\Ow...\Stop yelling! The sound is rattling my brain.\Yep. Fever.\Umaruun\Oh, hello. Thank you for everything you do.\This is Doma Taihei's sister. response:	Yes. You see, my brother has a fever.
context: It's a cold! You totally caught a cold, Onii-chan!\Ow...\Stop yelling! The sound is rattling my brain.\Yep. Fever.\Umaruun\Oh, hello. Thank you for everything you do.\This is Doma Taihei's sister.\Yes. You see, my brother has a fever. response:	Yes, I'm terribly sorry...
context: Ow...\Stop yelling! The sound is rattling my brain.\Yep. Fever.\Umaruun\Oh, hello. Thank you for everything you do.\This is Doma Taihei's sister.\Yes. You see, my brother has a fever.\Yes, I'm terribly sorry... response:	Are you calling my office?!
context: Stop yelling! The sound is rattling my brain.\Yep. Fever.\Umaruun\Oh, hello. Thank you for everything you do.\This is Doma Taihei's sister.\Yes. You see, my brother has a fever.\Yes, I'm terribly sorry...\Are you calling my office?! response:	Well, you have a cold, so you need to rest.
context: Yep. Fever.\Umaruun\Oh, hello. Thank you for everything you do.\This is Doma Taihei's sister.\Yes. You see, my brother has a fever.\Yes, I'm terribly sorry...\Are you calling my office?!\Well, you have a cold, so you need to rest. response:	You're going to start weird rumors again.
context: Umaruun\Oh, hello. Thank you for everything you do.\This is Doma Taihei's sister.\Yes. You see, my brother has a fever.\Yes, I'm terribly sorry...\Are you calling my office?!\Well, you have a cold, so you need to rest.\You're going to start weird rumors again. response:	I'll talk to them myself. Give me the phone!
context: Oh, hello. Thank you for everything you do.\This is Doma Taihei's sister.\Yes. You see, my brother has a fever.\Yes, I'm terribly sorry...\Are you calling my office?!\Well, you have a cold, so you need to rest.\You're going to start weird rumors again.\I'll talk to them myself. Give me the phone! response:	Again?
context: This is Doma Taihei's sister.\Yes. You see, my brother has a fever.\Yes, I'm terribly sorry...\Are you calling my office?!\Well, you have a cold, so you need to rest.\You're going to start weird rumors again.\I'll talk to them myself. Give me the phone!\Again? response:	Lucky for you, I have today off, since it's my school's anniversary.
context: Yes. You see, my brother has a fever.\Yes, I'm terribly sorry...\Are you calling my office?!\Well, you have a cold, so you need to rest.\You're going to start weird rumors again.\I'll talk to them myself. Give me the phone!\Again?\Lucky for you, I have today off, since it's my school's anniversary. response:	Don't worry. I'll take good care of you.
context: Yes, I'm terribly sorry...\Are you calling my office?!\Well, you have a cold, so you need to rest.\You're going to start weird rumors again.\I'll talk to them myself. Give me the phone!\Again?\Lucky for you, I have today off, since it's my school's anniversary.\Don't worry. I'll take good care of you. response:	Well, I'm gonna go shopping.
context: Are you calling my office?!\Well, you have a cold, so you need to rest.\You're going to start weird rumors again.\I'll talk to them myself. Give me the phone!\Again?\Lucky for you, I have today off, since it's my school's anniversary.\Don't worry. I'll take good care of you.\Well, I'm gonna go shopping. response:	H-Hey...
context: Well, you have a cold, so you need to rest.\You're going to start weird rumors again.\I'll talk to them myself. Give me the phone!\Again?\Lucky for you, I have today off, since it's my school's anniversary.\Don't worry. I'll take good care of you.\Well, I'm gonna go shopping.\H-Hey... response:	Make sure you stay in bed, Onii-chan.
context: You're going to start weird rumors again.\I'll talk to them myself. Give me the phone!\Again?\Lucky for you, I have today off, since it's my school's anniversary.\Don't worry. I'll take good care of you.\Well, I'm gonna go shopping.\H-Hey...\Make sure you stay in bed, Onii-chan. response:	What is she plotting?
context: I'll talk to them myself. Give me the phone!\Again?\Lucky for you, I have today off, since it's my school's anniversary.\Don't worry. I'll take good care of you.\Well, I'm gonna go shopping.\H-Hey...\Make sure you stay in bed, Onii-chan.\What is she plotting? response:	Don't worry, Onii-chan. I'll take very good care of you.
context: Again?\Lucky for you, I have today off, since it's my school's anniversary.\Don't worry. I'll take good care of you.\Well, I'm gonna go shopping.\H-Hey...\Make sure you stay in bed, Onii-chan.\What is she plotting?\Don't worry, Onii-chan. I'll take very good care of you. response:	And I'll do that using...
context: Lucky for you, I have today off, since it's my school's anniversary.\Don't worry. I'll take good care of you.\Well, I'm gonna go shopping.\H-Hey...\Make sure you stay in bed, Onii-chan.\What is she plotting?\Don't worry, Onii-chan. I'll take very good care of you.\And I'll do that using... response:	the Sparta method, of course!
context: Don't worry. I'll take good care of you.\Well, I'm gonna go shopping.\H-Hey...\Make sure you stay in bed, Onii-chan.\What is she plotting?\Don't worry, Onii-chan. I'll take very good care of you.\And I'll do that using...\the Sparta method, of course! response:	You will pay deeply for leaving me home with a cold alone.
context: Well, I'm gonna go shopping.\H-Hey...\Make sure you stay in bed, Onii-chan.\What is she plotting?\Don't worry, Onii-chan. I'll take very good care of you.\And I'll do that using...\the Sparta method, of course!\You will pay deeply for leaving me home with a cold alone. response:	I hear it's good to sweat when you have a cold,
context: H-Hey...\Make sure you stay in bed, Onii-chan.\What is she plotting?\Don't worry, Onii-chan. I'll take very good care of you.\And I'll do that using...\the Sparta method, of course!\You will pay deeply for leaving me home with a cold alone.\I hear it's good to sweat when you have a cold, response:	so first, I'll give Onii-chan a spicy soup filled with plenty of Tabasco.
context: Make sure you stay in bed, Onii-chan.\What is she plotting?\Don't worry, Onii-chan. I'll take very good care of you.\And I'll do that using...\the Sparta method, of course!\You will pay deeply for leaving me home with a cold alone.\I hear it's good to sweat when you have a cold,\so first, I'll give Onii-chan a spicy soup filled with plenty of Tabasco. response:	Green onions!
context: What is she plotting?\Don't worry, Onii-chan. I'll take very good care of you.\And I'll do that using...\the Sparta method, of course!\You will pay deeply for leaving me home with a cold alone.\I hear it's good to sweat when you have a cold,\so first, I'll give Onii-chan a spicy soup filled with plenty of Tabasco.\Green onions! response:	I've heard that green onions work well when stabbed up the butt.
context: Don't worry, Onii-chan. I'll take very good care of you.\And I'll do that using...\the Sparta method, of course!\You will pay deeply for leaving me home with a cold alone.\I hear it's good to sweat when you have a cold,\so first, I'll give Onii-chan a spicy soup filled with plenty of Tabasco.\Green onions!\I've heard that green onions work well when stabbed up the butt. response:	I'll do that for Onii-chan, too.
context: And I'll do that using...\the Sparta method, of course!\You will pay deeply for leaving me home with a cold alone.\I hear it's good to sweat when you have a cold,\so first, I'll give Onii-chan a spicy soup filled with plenty of Tabasco.\Green onions!\I've heard that green onions work well when stabbed up the butt.\I'll do that for Onii-chan, too. response:	Just you wait, Onii-chan!
context: the Sparta method, of course!\You will pay deeply for leaving me home with a cold alone.\I hear it's good to sweat when you have a cold,\so first, I'll give Onii-chan a spicy soup filled with plenty of Tabasco.\Green onions!\I've heard that green onions work well when stabbed up the butt.\I'll do that for Onii-chan, too.\Just you wait, Onii-chan! response:	O-O...
context: You will pay deeply for leaving me home with a cold alone.\I hear it's good to sweat when you have a cold,\so first, I'll give Onii-chan a spicy soup filled with plenty of Tabasco.\Green onions!\I've heard that green onions work well when stabbed up the butt.\I'll do that for Onii-chan, too.\Just you wait, Onii-chan!\O-O... response:	Onii-chan!
context: I hear it's good to sweat when you have a cold,\so first, I'll give Onii-chan a spicy soup filled with plenty of Tabasco.\Green onions!\I've heard that green onions work well when stabbed up the butt.\I'll do that for Onii-chan, too.\Just you wait, Onii-chan!\O-O...\Onii-chan! response:	O-Oh, no! What is this?!
context: so first, I'll give Onii-chan a spicy soup filled with plenty of Tabasco.\Green onions!\I've heard that green onions work well when stabbed up the butt.\I'll do that for Onii-chan, too.\Just you wait, Onii-chan!\O-O...\Onii-chan!\O-Oh, no! What is this?! response:	This totally isn't funny!
context: Green onions!\I've heard that green onions work well when stabbed up the butt.\I'll do that for Onii-chan, too.\Just you wait, Onii-chan!\O-O...\Onii-chan!\O-Oh, no! What is this?!\This totally isn't funny! response:	It's the Umaru Virus. Because I gave it to him...
context: I've heard that green onions work well when stabbed up the butt.\I'll do that for Onii-chan, too.\Just you wait, Onii-chan!\O-O...\Onii-chan!\O-Oh, no! What is this?!\This totally isn't funny!\It's the Umaru Virus. Because I gave it to him... response:	Onii-chan is... Onii-chan is...
context: I'll do that for Onii-chan, too.\Just you wait, Onii-chan!\O-O...\Onii-chan!\O-Oh, no! What is this?!\This totally isn't funny!\It's the Umaru Virus. Because I gave it to him...\Onii-chan is... Onii-chan is... response:	Get a fever, get a fever, get a fever, fever, fever.
context: Just you wait, Onii-chan!\O-O...\Onii-chan!\O-Oh, no! What is this?!\This totally isn't funny!\It's the Umaru Virus. Because I gave it to him...\Onii-chan is... Onii-chan is...\Get a fever, get a fever, get a fever, fever, fever. response:	Suffer and writhe, Onii-chan, one, two!
context: O-O...\Onii-chan!\O-Oh, no! What is this?!\This totally isn't funny!\It's the Umaru Virus. Because I gave it to him...\Onii-chan is... Onii-chan is...\Get a fever, get a fever, get a fever, fever, fever.\Suffer and writhe, Onii-chan, one, two! response:	I must defeat them.
context: Onii-chan!\O-Oh, no! What is this?!\This totally isn't funny!\It's the Umaru Virus. Because I gave it to him...\Onii-chan is... Onii-chan is...\Get a fever, get a fever, get a fever, fever, fever.\Suffer and writhe, Onii-chan, one, two!\I must defeat them. response:	Get a fever, get a fever, get a fever, fever, fever.
context: O-Oh, no! What is this?!\This totally isn't funny!\It's the Umaru Virus. Because I gave it to him...\Onii-chan is... Onii-chan is...\Get a fever, get a fever, get a fever, fever, fever.\Suffer and writhe, Onii-chan, one, two!\I must defeat them.\Get a fever, get a fever, get a fever, fever, fever. response:	Shiver and get dizzy, Onii-chan.
context: This totally isn't funny!\It's the Umaru Virus. Because I gave it to him...\Onii-chan is... Onii-chan is...\Get a fever, get a fever, get a fever, fever, fever.\Suffer and writhe, Onii-chan, one, two!\I must defeat them.\Get a fever, get a fever, get a fever, fever, fever.\Shiver and get dizzy, Onii-chan. response:	Hi-yah!
context: It's the Umaru Virus. Because I gave it to him...\Onii-chan is... Onii-chan is...\Get a fever, get a fever, get a fever, fever, fever.\Suffer and writhe, Onii-chan, one, two!\I must defeat them.\Get a fever, get a fever, get a fever, fever, fever.\Shiver and get dizzy, Onii-chan.\Hi-yah! response:	I'm going to protect Onii-chan!
context: Onii-chan is... Onii-chan is...\Get a fever, get a fever, get a fever, fever, fever.\Suffer and writhe, Onii-chan, one, two!\I must defeat them.\Get a fever, get a fever, get a fever, fever, fever.\Shiver and get dizzy, Onii-chan.\Hi-yah!\I'm going to protect Onii-chan! response:	Stop, damn it!
context: Get a fever, get a fever, get a fever, fever, fever.\Suffer and writhe, Onii-chan, one, two!\I must defeat them.\Get a fever, get a fever, get a fever, fever, fever.\Shiver and get dizzy, Onii-chan.\Hi-yah!\I'm going to protect Onii-chan!\Stop, damn it! response:	L-Let's all defeat her together!
context: Suffer and writhe, Onii-chan, one, two!\I must defeat them.\Get a fever, get a fever, get a fever, fever, fever.\Shiver and get dizzy, Onii-chan.\Hi-yah!\I'm going to protect Onii-chan!\Stop, damn it!\L-Let's all defeat her together! response:	Onii-chan!
context: I must defeat them.\Get a fever, get a fever, get a fever, fever, fever.\Shiver and get dizzy, Onii-chan.\Hi-yah!\I'm going to protect Onii-chan!\Stop, damn it!\L-Let's all defeat her together!\Onii-chan! response:	Onii-chan!
context: Get a fever, get a fever, get a fever, fever, fever.\Shiver and get dizzy, Onii-chan.\Hi-yah!\I'm going to protect Onii-chan!\Stop, damn it!\L-Let's all defeat her together!\Onii-chan!\Onii-chan! response:	Onii-chan!
context: Shiver and get dizzy, Onii-chan.\Hi-yah!\I'm going to protect Onii-chan!\Stop, damn it!\L-Let's all defeat her together!\Onii-chan!\Onii-chan!\Onii-chan! response:	A green onion?
context: Hi-yah!\I'm going to protect Onii-chan!\Stop, damn it!\L-Let's all defeat her together!\Onii-chan!\Onii-chan!\Onii-chan!\A green onion? response:	Why?! You're not taking the day off?
context: I'm going to protect Onii-chan!\Stop, damn it!\L-Let's all defeat her together!\Onii-chan!\Onii-chan!\Onii-chan!\A green onion?\Why?! You're not taking the day off? response:	Umaru.
context: Stop, damn it!\L-Let's all defeat her together!\Onii-chan!\Onii-chan!\Onii-chan!\A green onion?\Why?! You're not taking the day off?\Umaru. response:	Thanks for taking care of me.
context: L-Let's all defeat her together!\Onii-chan!\Onii-chan!\Onii-chan!\A green onion?\Why?! You're not taking the day off?\Umaru.\Thanks for taking care of me. response:	You reek of green onions, Onii-chan.
context: Onii-chan!\Onii-chan!\Onii-chan!\A green onion?\Why?! You're not taking the day off?\Umaru.\Thanks for taking care of me.\You reek of green onions, Onii-chan. response:	But it seems like this took care of the cold.
context: Onii-chan!\Onii-chan!\A green onion?\Why?! You're not taking the day off?\Umaru.\Thanks for taking care of me.\You reek of green onions, Onii-chan.\But it seems like this took care of the cold. response:	Green Pepper Stir-fry
context: Onii-chan!\A green onion?\Why?! You're not taking the day off?\Umaru.\Thanks for taking care of me.\You reek of green onions, Onii-chan.\But it seems like this took care of the cold.\Green Pepper Stir-fry response:	Potato Salad
context: A green onion?\Why?! You're not taking the day off?\Umaru.\Thanks for taking care of me.\You reek of green onions, Onii-chan.\But it seems like this took care of the cold.\Green Pepper Stir-fry\Potato Salad response:	Stewed Seaweed
context: Why?! You're not taking the day off?\Umaru.\Thanks for taking care of me.\You reek of green onions, Onii-chan.\But it seems like this took care of the cold.\Green Pepper Stir-fry\Potato Salad\Stewed Seaweed response:	Mackerel Roasted with Salt
context: Umaru.\Thanks for taking care of me.\You reek of green onions, Onii-chan.\But it seems like this took care of the cold.\Green Pepper Stir-fry\Potato Salad\Stewed Seaweed\Mackerel Roasted with Salt response:	Let's eat.
context: Thanks for taking care of me.\You reek of green onions, Onii-chan.\But it seems like this took care of the cold.\Green Pepper Stir-fry\Potato Salad\Stewed Seaweed\Mackerel Roasted with Salt\Let's eat. response:	Wait, what's with this dinner?
context: You reek of green onions, Onii-chan.\But it seems like this took care of the cold.\Green Pepper Stir-fry\Potato Salad\Stewed Seaweed\Mackerel Roasted with Salt\Let's eat.\Wait, what's with this dinner? response:	That's pretty rude, after I made this for you.
context: But it seems like this took care of the cold.\Green Pepper Stir-fry\Potato Salad\Stewed Seaweed\Mackerel Roasted with Salt\Let's eat.\Wait, what's with this dinner?\That's pretty rude, after I made this for you. response:	But I wanted Hamburg steak.
context: Green Pepper Stir-fry\Potato Salad\Stewed Seaweed\Mackerel Roasted with Salt\Let's eat.\Wait, what's with this dinner?\That's pretty rude, after I made this for you.\But I wanted Hamburg steak. response:	You shouldn't expect to get what you want to eat every time.
context: Potato Salad\Stewed Seaweed\Mackerel Roasted with Salt\Let's eat.\Wait, what's with this dinner?\That's pretty rude, after I made this for you.\But I wanted Hamburg steak.\You shouldn't expect to get what you want to eat every time. response:	Come on. Let's eat.
context: Stewed Seaweed\Mackerel Roasted with Salt\Let's eat.\Wait, what's with this dinner?\That's pretty rude, after I made this for you.\But I wanted Hamburg steak.\You shouldn't expect to get what you want to eat every time.\Come on. Let's eat. response:	Hey, Umaru.
context: Mackerel Roasted with Salt\Let's eat.\Wait, what's with this dinner?\That's pretty rude, after I made this for you.\But I wanted Hamburg steak.\You shouldn't expect to get what you want to eat every time.\Come on. Let's eat.\Hey, Umaru. response:	Why haven't you touched your green peppers?
context: Let's eat.\Wait, what's with this dinner?\That's pretty rude, after I made this for you.\But I wanted Hamburg steak.\You shouldn't expect to get what you want to eat every time.\Come on. Let's eat.\Hey, Umaru.\Why haven't you touched your green peppers? response:	Because they're bitter!
context: Wait, what's with this dinner?\That's pretty rude, after I made this for you.\But I wanted Hamburg steak.\You shouldn't expect to get what you want to eat every time.\Come on. Let's eat.\Hey, Umaru.\Why haven't you touched your green peppers?\Because they're bitter! response:	You don't eat vegetables,
context: That's pretty rude, after I made this for you.\But I wanted Hamburg steak.\You shouldn't expect to get what you want to eat every time.\Come on. Let's eat.\Hey, Umaru.\Why haven't you touched your green peppers?\Because they're bitter!\You don't eat vegetables, response:	so I chop them up finely, change the seasoning...
context: But I wanted Hamburg steak.\You shouldn't expect to get what you want to eat every time.\Come on. Let's eat.\Hey, Umaru.\Why haven't you touched your green peppers?\Because they're bitter!\You don't eat vegetables,\so I chop them up finely, change the seasoning... response:	I put a lot of work into making it for you.
context: You shouldn't expect to get what you want to eat every time.\Come on. Let's eat.\Hey, Umaru.\Why haven't you touched your green peppers?\Because they're bitter!\You don't eat vegetables,\so I chop them up finely, change the seasoning...\I put a lot of work into making it for you. response:	Well, that seems like a lot of trouble, so you don't have to make it anymore.
context: Come on. Let's eat.\Hey, Umaru.\Why haven't you touched your green peppers?\Because they're bitter!\You don't eat vegetables,\so I chop them up finely, change the seasoning...\I put a lot of work into making it for you.\Well, that seems like a lot of trouble, so you don't have to make it anymore. response:	You idiot!
context: Hey, Umaru.\Why haven't you touched your green peppers?\Because they're bitter!\You don't eat vegetables,\so I chop them up finely, change the seasoning...\I put a lot of work into making it for you.\Well, that seems like a lot of trouble, so you don't have to make it anymore.\You idiot! response:	At least eat your green peppers.
context: Why haven't you touched your green peppers?\Because they're bitter!\You don't eat vegetables,\so I chop them up finely, change the seasoning...\I put a lot of work into making it for you.\Well, that seems like a lot of trouble, so you don't have to make it anymore.\You idiot!\At least eat your green peppers. response:	I don't care if you make those dramatic reactions, as long as you eat them.
context: Because they're bitter!\You don't eat vegetables,\so I chop them up finely, change the seasoning...\I put a lot of work into making it for you.\Well, that seems like a lot of trouble, so you don't have to make it anymore.\You idiot!\At least eat your green peppers.\I don't care if you make those dramatic reactions, as long as you eat them. response:	Umaru, wake up.
context: You don't eat vegetables,\so I chop them up finely, change the seasoning...\I put a lot of work into making it for you.\Well, that seems like a lot of trouble, so you don't have to make it anymore.\You idiot!\At least eat your green peppers.\I don't care if you make those dramatic reactions, as long as you eat them.\Umaru, wake up. response:	Good morning, Onii-chan.
context: so I chop them up finely, change the seasoning...\I put a lot of work into making it for you.\Well, that seems like a lot of trouble, so you don't have to make it anymore.\You idiot!\At least eat your green peppers.\I don't care if you make those dramatic reactions, as long as you eat them.\Umaru, wake up.\Good morning, Onii-chan. response:	Here's your lunch.
context: I put a lot of work into making it for you.\Well, that seems like a lot of trouble, so you don't have to make it anymore.\You idiot!\At least eat your green peppers.\I don't care if you make those dramatic reactions, as long as you eat them.\Umaru, wake up.\Good morning, Onii-chan.\Here's your lunch. response:	Onii-chan, you didn't put green peppers in my lunch, did you?
context: Well, that seems like a lot of trouble, so you don't have to make it anymore.\You idiot!\At least eat your green peppers.\I don't care if you make those dramatic reactions, as long as you eat them.\Umaru, wake up.\Good morning, Onii-chan.\Here's your lunch.\Onii-chan, you didn't put green peppers in my lunch, did you? response:	Nope...
