context: It's Ryu's brother that I like. response:	I'm going to spend some money on him this year.
context: I wonder if Chizu went to see Ryu's brother after what happened.\I wonder if she congratulated him.\In that mood?\Without a speck of disappointment?\Congratulations, good going!\Thanks.\In jeans.\I know. I know, Sawako. response:	She should just snap for once.
context: I wonder if she congratulated him.\In that mood?\Without a speck of disappointment?\Congratulations, good going!\Thanks.\In jeans.\I know. I know, Sawako.\She should just snap for once. response:	I feel sorry for her.
context: In that mood?\Without a speck of disappointment?\Congratulations, good going!\Thanks.\In jeans.\I know. I know, Sawako.\She should just snap for once.\I feel sorry for her. response:	And I sort of said something to make it worse.
context: Without a speck of disappointment?\Congratulations, good going!\Thanks.\In jeans.\I know. I know, Sawako.\She should just snap for once.\I feel sorry for her.\And I sort of said something to make it worse. response:	Are you sure?
context: Congratulations, good going!\Thanks.\In jeans.\I know. I know, Sawako.\She should just snap for once.\I feel sorry for her.\And I sort of said something to make it worse.\Are you sure? response:	There's more fish in the sea.
context: Thanks.\In jeans.\I know. I know, Sawako.\She should just snap for once.\I feel sorry for her.\And I sort of said something to make it worse.\Are you sure?\There's more fish in the sea. response:	Yeah, I did. I totally did!
context: In jeans.\I know. I know, Sawako.\She should just snap for once.\I feel sorry for her.\And I sort of said something to make it worse.\Are you sure?\There's more fish in the sea.\Yeah, I did. I totally did! response:	Chizu froze up for a second.
context: I know. I know, Sawako.\She should just snap for once.\I feel sorry for her.\And I sort of said something to make it worse.\Are you sure?\There's more fish in the sea.\Yeah, I did. I totally did!\Chizu froze up for a second. response:	Ayane-chan, what did you...
context: She should just snap for once.\I feel sorry for her.\And I sort of said something to make it worse.\Are you sure?\There's more fish in the sea.\Yeah, I did. I totally did!\Chizu froze up for a second.\Ayane-chan, what did you... response:	I can't tell you!
context: I feel sorry for her.\And I sort of said something to make it worse.\Are you sure?\There's more fish in the sea.\Yeah, I did. I totally did!\Chizu froze up for a second.\Ayane-chan, what did you...\I can't tell you! response:	I want to disappear.
context: And I sort of said something to make it worse.\Are you sure?\There's more fish in the sea.\Yeah, I did. I totally did!\Chizu froze up for a second.\Ayane-chan, what did you...\I can't tell you!\I want to disappear. response:	No, don't disappear!
context: Are you sure?\There's more fish in the sea.\Yeah, I did. I totally did!\Chizu froze up for a second.\Ayane-chan, what did you...\I can't tell you!\I want to disappear.\No, don't disappear! response:	It's not like it bothers me when I'm hurting her deliberately, though.
context: There's more fish in the sea.\Yeah, I did. I totally did!\Chizu froze up for a second.\Ayane-chan, what did you...\I can't tell you!\I want to disappear.\No, don't disappear!\It's not like it bothers me when I'm hurting her deliberately, though. response:	What are you doing?
context: Yeah, I did. I totally did!\Chizu froze up for a second.\Ayane-chan, what did you...\I can't tell you!\I want to disappear.\No, don't disappear!\It's not like it bothers me when I'm hurting her deliberately, though.\What are you doing? response:	I wonder; what were we doing?
context: Chizu froze up for a second.\Ayane-chan, what did you...\I can't tell you!\I want to disappear.\No, don't disappear!\It's not like it bothers me when I'm hurting her deliberately, though.\What are you doing?\I wonder; what were we doing? response:	We were savoring our powerlessness.
context: Ayane-chan, what did you...\I can't tell you!\I want to disappear.\No, don't disappear!\It's not like it bothers me when I'm hurting her deliberately, though.\What are you doing?\I wonder; what were we doing?\We were savoring our powerlessness. response:	Powerless.
context: I can't tell you!\I want to disappear.\No, don't disappear!\It's not like it bothers me when I'm hurting her deliberately, though.\What are you doing?\I wonder; what were we doing?\We were savoring our powerlessness.\Powerless. response:	Is it something about Yoshida?
context: I want to disappear.\No, don't disappear!\It's not like it bothers me when I'm hurting her deliberately, though.\What are you doing?\I wonder; what were we doing?\We were savoring our powerlessness.\Powerless.\Is it something about Yoshida? response:	Ah.
context: No, don't disappear!\It's not like it bothers me when I'm hurting her deliberately, though.\What are you doing?\I wonder; what were we doing?\We were savoring our powerlessness.\Powerless.\Is it something about Yoshida?\Ah. response:	I never knew that was bothering you.
context: It's not like it bothers me when I'm hurting her deliberately, though.\What are you doing?\I wonder; what were we doing?\We were savoring our powerlessness.\Powerless.\Is it something about Yoshida?\Ah.\I never knew that was bothering you. response:	Did you know who she liked too?
context: What are you doing?\I wonder; what were we doing?\We were savoring our powerlessness.\Powerless.\Is it something about Yoshida?\Ah.\I never knew that was bothering you.\Did you know who she liked too? response:	We used to hang out at Ryu's a lot when Tohru was back.
context: I wonder; what were we doing?\We were savoring our powerlessness.\Powerless.\Is it something about Yoshida?\Ah.\I never knew that was bothering you.\Did you know who she liked too?\We used to hang out at Ryu's a lot when Tohru was back. response:	Chizu's easy to read.
context: We were savoring our powerlessness.\Powerless.\Is it something about Yoshida?\Ah.\I never knew that was bothering you.\Did you know who she liked too?\We used to hang out at Ryu's a lot when Tohru was back.\Chizu's easy to read. response:	Ayane-chan was just like me.
context: Powerless.\Is it something about Yoshida?\Ah.\I never knew that was bothering you.\Did you know who she liked too?\We used to hang out at Ryu's a lot when Tohru was back.\Chizu's easy to read.\Ayane-chan was just like me. response:	She was worried about Chizu-chan, but she couldn't do anything.
context: Is it something about Yoshida?\Ah.\I never knew that was bothering you.\Did you know who she liked too?\We used to hang out at Ryu's a lot when Tohru was back.\Chizu's easy to read.\Ayane-chan was just like me.\She was worried about Chizu-chan, but she couldn't do anything. response:	Honestly, I can't even tell whether she's playing tough or if she's so shocked that she's in denial.
context: Ah.\I never knew that was bothering you.\Did you know who she liked too?\We used to hang out at Ryu's a lot when Tohru was back.\Chizu's easy to read.\Ayane-chan was just like me.\She was worried about Chizu-chan, but she couldn't do anything.\Honestly, I can't even tell whether she's playing tough or if she's so shocked that she's in denial. response:	And she's supposed to be easy to read.
context: I never knew that was bothering you.\Did you know who she liked too?\We used to hang out at Ryu's a lot when Tohru was back.\Chizu's easy to read.\Ayane-chan was just like me.\She was worried about Chizu-chan, but she couldn't do anything.\Honestly, I can't even tell whether she's playing tough or if she's so shocked that she's in denial.\And she's supposed to be easy to read. response:	Chizu-chan looked happy, as always.
context: Did you know who she liked too?\We used to hang out at Ryu's a lot when Tohru was back.\Chizu's easy to read.\Ayane-chan was just like me.\She was worried about Chizu-chan, but she couldn't do anything.\Honestly, I can't even tell whether she's playing tough or if she's so shocked that she's in denial.\And she's supposed to be easy to read.\Chizu-chan looked happy, as always. response:	I don't know what she's feeling.
context: We used to hang out at Ryu's a lot when Tohru was back.\Chizu's easy to read.\Ayane-chan was just like me.\She was worried about Chizu-chan, but she couldn't do anything.\Honestly, I can't even tell whether she's playing tough or if she's so shocked that she's in denial.\And she's supposed to be easy to read.\Chizu-chan looked happy, as always.\I don't know what she's feeling. response:	But I know she's not okay.
context: Chizu's easy to read.\Ayane-chan was just like me.\She was worried about Chizu-chan, but she couldn't do anything.\Honestly, I can't even tell whether she's playing tough or if she's so shocked that she's in denial.\And she's supposed to be easy to read.\Chizu-chan looked happy, as always.\I don't know what she's feeling.\But I know she's not okay. response:	I know, but...
context: Ayane-chan was just like me.\She was worried about Chizu-chan, but she couldn't do anything.\Honestly, I can't even tell whether she's playing tough or if she's so shocked that she's in denial.\And she's supposed to be easy to read.\Chizu-chan looked happy, as always.\I don't know what she's feeling.\But I know she's not okay.\I know, but... response:	Miniskirt...
context: She was worried about Chizu-chan, but she couldn't do anything.\Honestly, I can't even tell whether she's playing tough or if she's so shocked that she's in denial.\And she's supposed to be easy to read.\Chizu-chan looked happy, as always.\I don't know what she's feeling.\But I know she's not okay.\I know, but...\Miniskirt... response:	No! No! We're so bad!
context: Honestly, I can't even tell whether she's playing tough or if she's so shocked that she's in denial.\And she's supposed to be easy to read.\Chizu-chan looked happy, as always.\I don't know what she's feeling.\But I know she's not okay.\I know, but...\Miniskirt...\No! No! We're so bad! response:	You okay?
context: And she's supposed to be easy to read.\Chizu-chan looked happy, as always.\I don't know what she's feeling.\But I know she's not okay.\I know, but...\Miniskirt...\No! No! We're so bad!\You okay? response:	Yoshida'll be fine.
context: Chizu-chan looked happy, as always.\I don't know what she's feeling.\But I know she's not okay.\I know, but...\Miniskirt...\No! No! We're so bad!\You okay?\Yoshida'll be fine. response:	What?! She's your friend.
context: I don't know what she's feeling.\But I know she's not okay.\I know, but...\Miniskirt...\No! No! We're so bad!\You okay?\Yoshida'll be fine.\What?! She's your friend. response:	This is why I hate guys.
context: But I know she's not okay.\I know, but...\Miniskirt...\No! No! We're so bad!\You okay?\Yoshida'll be fine.\What?! She's your friend.\This is why I hate guys. response:	Ayane-chan!
context: I know, but...\Miniskirt...\No! No! We're so bad!\You okay?\Yoshida'll be fine.\What?! She's your friend.\This is why I hate guys.\Ayane-chan! response:	No, because she has you two.
context: Miniskirt...\No! No! We're so bad!\You okay?\Yoshida'll be fine.\What?! She's your friend.\This is why I hate guys.\Ayane-chan!\No, because she has you two. response:	Were you listening to me?!
context: No! No! We're so bad!\You okay?\Yoshida'll be fine.\What?! She's your friend.\This is why I hate guys.\Ayane-chan!\No, because she has you two.\Were you listening to me?! response:	There's nothing we can say to her.
context: You okay?\Yoshida'll be fine.\What?! She's your friend.\This is why I hate guys.\Ayane-chan!\No, because she has you two.\Were you listening to me?!\There's nothing we can say to her. response:	Yeah, but I don't think that's a problem.
context: Yoshida'll be fine.\What?! She's your friend.\This is why I hate guys.\Ayane-chan!\No, because she has you two.\Were you listening to me?!\There's nothing we can say to her.\Yeah, but I don't think that's a problem. response:	I'd be glad to have friends who worry for me.
context: What?! She's your friend.\This is why I hate guys.\Ayane-chan!\No, because she has you two.\Were you listening to me?!\There's nothing we can say to her.\Yeah, but I don't think that's a problem.\I'd be glad to have friends who worry for me. response:	Do you need to force yourself to say something to her?
context: This is why I hate guys.\Ayane-chan!\No, because she has you two.\Were you listening to me?!\There's nothing we can say to her.\Yeah, but I don't think that's a problem.\I'd be glad to have friends who worry for me.\Do you need to force yourself to say something to her? response:	I'm sure you're doing the right thing.
context: Ayane-chan!\No, because she has you two.\Were you listening to me?!\There's nothing we can say to her.\Yeah, but I don't think that's a problem.\I'd be glad to have friends who worry for me.\Do you need to force yourself to say something to her?\I'm sure you're doing the right thing. response:	She might not be able to say anything right now either.
context: No, because she has you two.\Were you listening to me?!\There's nothing we can say to her.\Yeah, but I don't think that's a problem.\I'd be glad to have friends who worry for me.\Do you need to force yourself to say something to her?\I'm sure you're doing the right thing.\She might not be able to say anything right now either. response:	What about you? What would you do?
context: Were you listening to me?!\There's nothing we can say to her.\Yeah, but I don't think that's a problem.\I'd be glad to have friends who worry for me.\Do you need to force yourself to say something to her?\I'm sure you're doing the right thing.\She might not be able to say anything right now either.\What about you? What would you do? response:	Me?
context: There's nothing we can say to her.\Yeah, but I don't think that's a problem.\I'd be glad to have friends who worry for me.\Do you need to force yourself to say something to her?\I'm sure you're doing the right thing.\She might not be able to say anything right now either.\What about you? What would you do?\Me? response:	Didn't Joe just get rejected?
context: Yeah, but I don't think that's a problem.\I'd be glad to have friends who worry for me.\Do you need to force yourself to say something to her?\I'm sure you're doing the right thing.\She might not be able to say anything right now either.\What about you? What would you do?\Me?\Didn't Joe just get rejected? response:	I'm totally useless.
context: I'd be glad to have friends who worry for me.\Do you need to force yourself to say something to her?\I'm sure you're doing the right thing.\She might not be able to say anything right now either.\What about you? What would you do?\Me?\Didn't Joe just get rejected?\I'm totally useless. response:	We should head to class.
context: Do you need to force yourself to say something to her?\I'm sure you're doing the right thing.\She might not be able to say anything right now either.\What about you? What would you do?\Me?\Didn't Joe just get rejected?\I'm totally useless.\We should head to class. response:	I was wondering how Kazehaya-kun would help her.
context: I'm sure you're doing the right thing.\She might not be able to say anything right now either.\What about you? What would you do?\Me?\Didn't Joe just get rejected?\I'm totally useless.\We should head to class.\I was wondering how Kazehaya-kun would help her. response:	I see.
context: She might not be able to say anything right now either.\What about you? What would you do?\Me?\Didn't Joe just get rejected?\I'm totally useless.\We should head to class.\I was wondering how Kazehaya-kun would help her.\I see. response:	I can't really say anything to her,
context: What about you? What would you do?\Me?\Didn't Joe just get rejected?\I'm totally useless.\We should head to class.\I was wondering how Kazehaya-kun would help her.\I see.\I can't really say anything to her, response:	Kazehaya!
context: Me?\Didn't Joe just get rejected?\I'm totally useless.\We should head to class.\I was wondering how Kazehaya-kun would help her.\I see.\I can't really say anything to her,\Kazehaya! response:	but even so I hope there's something I can do.
context: Didn't Joe just get rejected?\I'm totally useless.\We should head to class.\I was wondering how Kazehaya-kun would help her.\I see.\I can't really say anything to her,\Kazehaya!\but even so I hope there's something I can do. response:	Thanks, Kazehaya-kun.
context: I'm totally useless.\We should head to class.\I was wondering how Kazehaya-kun would help her.\I see.\I can't really say anything to her,\Kazehaya!\but even so I hope there's something I can do.\Thanks, Kazehaya-kun. response:	I just got comforted by a loser.
context: We should head to class.\I was wondering how Kazehaya-kun would help her.\I see.\I can't really say anything to her,\Kazehaya!\but even so I hope there's something I can do.\Thanks, Kazehaya-kun.\I just got comforted by a loser. response:	Loser?
context: I was wondering how Kazehaya-kun would help her.\I see.\I can't really say anything to her,\Kazehaya!\but even so I hope there's something I can do.\Thanks, Kazehaya-kun.\I just got comforted by a loser.\Loser? response:	Now I can't really tease him as much.
context: I see.\I can't really say anything to her,\Kazehaya!\but even so I hope there's something I can do.\Thanks, Kazehaya-kun.\I just got comforted by a loser.\Loser?\Now I can't really tease him as much. response:	She'll be fine.
context: I can't really say anything to her,\Kazehaya!\but even so I hope there's something I can do.\Thanks, Kazehaya-kun.\I just got comforted by a loser.\Loser?\Now I can't really tease him as much.\She'll be fine. response:	She has Kuronuma, Yano and Ryu.
context: Kazehaya!\but even so I hope there's something I can do.\Thanks, Kazehaya-kun.\I just got comforted by a loser.\Loser?\Now I can't really tease him as much.\She'll be fine.\She has Kuronuma, Yano and Ryu. response:	Oh, Sawako and Yano-chin aren't here yet.
context: but even so I hope there's something I can do.\Thanks, Kazehaya-kun.\I just got comforted by a loser.\Loser?\Now I can't really tease him as much.\She'll be fine.\She has Kuronuma, Yano and Ryu.\Oh, Sawako and Yano-chin aren't here yet. response:	I'm glad it's finally come to this.
context: Thanks, Kazehaya-kun.\I just got comforted by a loser.\Loser?\Now I can't really tease him as much.\She'll be fine.\She has Kuronuma, Yano and Ryu.\Oh, Sawako and Yano-chin aren't here yet.\I'm glad it's finally come to this. response:	Yano-chin, Sawako, you're late.
context: I just got comforted by a loser.\Loser?\Now I can't really tease him as much.\She'll be fine.\She has Kuronuma, Yano and Ryu.\Oh, Sawako and Yano-chin aren't here yet.\I'm glad it's finally come to this.\Yano-chin, Sawako, you're late. response:	Morning.
context: Loser?\Now I can't really tease him as much.\She'll be fine.\She has Kuronuma, Yano and Ryu.\Oh, Sawako and Yano-chin aren't here yet.\I'm glad it's finally come to this.\Yano-chin, Sawako, you're late.\Morning. response:	Morning, Chizu.
context: Now I can't really tease him as much.\She'll be fine.\She has Kuronuma, Yano and Ryu.\Oh, Sawako and Yano-chin aren't here yet.\I'm glad it's finally come to this.\Yano-chin, Sawako, you're late.\Morning.\Morning, Chizu. response:	We didn't meet up the other day.
context: She'll be fine.\She has Kuronuma, Yano and Ryu.\Oh, Sawako and Yano-chin aren't here yet.\I'm glad it's finally come to this.\Yano-chin, Sawako, you're late.\Morning.\Morning, Chizu.\We didn't meet up the other day. response:	Sorry, I even kicked you guys out.
context: She has Kuronuma, Yano and Ryu.\Oh, Sawako and Yano-chin aren't here yet.\I'm glad it's finally come to this.\Yano-chin, Sawako, you're late.\Morning.\Morning, Chizu.\We didn't meet up the other day.\Sorry, I even kicked you guys out. response:	It's fine, we see each other every day anyway.
context: Oh, Sawako and Yano-chin aren't here yet.\I'm glad it's finally come to this.\Yano-chin, Sawako, you're late.\Morning.\Morning, Chizu.\We didn't meet up the other day.\Sorry, I even kicked you guys out.\It's fine, we see each other every day anyway. response:	Let's get to our seats.
context: I'm glad it's finally come to this.\Yano-chin, Sawako, you're late.\Morning.\Morning, Chizu.\We didn't meet up the other day.\Sorry, I even kicked you guys out.\It's fine, we see each other every day anyway.\Let's get to our seats. response:	Pin will be here any minute.
context: Yano-chin, Sawako, you're late.\Morning.\Morning, Chizu.\We didn't meet up the other day.\Sorry, I even kicked you guys out.\It's fine, we see each other every day anyway.\Let's get to our seats.\Pin will be here any minute. response:	I was about to cry.
context: Morning.\Morning, Chizu.\We didn't meet up the other day.\Sorry, I even kicked you guys out.\It's fine, we see each other every day anyway.\Let's get to our seats.\Pin will be here any minute.\I was about to cry. response:	I shouldn't cry; Chizu-chan's not crying.
context: Morning, Chizu.\We didn't meet up the other day.\Sorry, I even kicked you guys out.\It's fine, we see each other every day anyway.\Let's get to our seats.\Pin will be here any minute.\I was about to cry.\I shouldn't cry; Chizu-chan's not crying. response:	Morning, Kazehaya.
context: We didn't meet up the other day.\Sorry, I even kicked you guys out.\It's fine, we see each other every day anyway.\Let's get to our seats.\Pin will be here any minute.\I was about to cry.\I shouldn't cry; Chizu-chan's not crying.\Morning, Kazehaya. response:	Morning, Yoshida.
context: Sorry, I even kicked you guys out.\It's fine, we see each other every day anyway.\Let's get to our seats.\Pin will be here any minute.\I was about to cry.\I shouldn't cry; Chizu-chan's not crying.\Morning, Kazehaya.\Morning, Yoshida. response:	Let's hear her out if she talks to us.
context: It's fine, we see each other every day anyway.\Let's get to our seats.\Pin will be here any minute.\I was about to cry.\I shouldn't cry; Chizu-chan's not crying.\Morning, Kazehaya.\Morning, Yoshida.\Let's hear her out if she talks to us. response:	And let her vent as much as she wants.
context: Let's get to our seats.\Pin will be here any minute.\I was about to cry.\I shouldn't cry; Chizu-chan's not crying.\Morning, Kazehaya.\Morning, Yoshida.\Let's hear her out if she talks to us.\And let her vent as much as she wants. response:	Ayane-chan.
context: Pin will be here any minute.\I was about to cry.\I shouldn't cry; Chizu-chan's not crying.\Morning, Kazehaya.\Morning, Yoshida.\Let's hear her out if she talks to us.\And let her vent as much as she wants.\Ayane-chan. response:	And I'm going to act normal around Chizu-chan until then.
context: I was about to cry.\I shouldn't cry; Chizu-chan's not crying.\Morning, Kazehaya.\Morning, Yoshida.\Let's hear her out if she talks to us.\And let her vent as much as she wants.\Ayane-chan.\And I'm going to act normal around Chizu-chan until then. response:	Maybe that's the best I can do for her.
context: I shouldn't cry; Chizu-chan's not crying.\Morning, Kazehaya.\Morning, Yoshida.\Let's hear her out if she talks to us.\And let her vent as much as she wants.\Ayane-chan.\And I'm going to act normal around Chizu-chan until then.\Maybe that's the best I can do for her. response:	Lunch!
context: Morning, Kazehaya.\Morning, Yoshida.\Let's hear her out if she talks to us.\And let her vent as much as she wants.\Ayane-chan.\And I'm going to act normal around Chizu-chan until then.\Maybe that's the best I can do for her.\Lunch! response:	Go, lunch!
context: Morning, Yoshida.\Let's hear her out if she talks to us.\And let her vent as much as she wants.\Ayane-chan.\And I'm going to act normal around Chizu-chan until then.\Maybe that's the best I can do for her.\Lunch!\Go, lunch! response:	Kazehaya, what are you having?
context: Let's hear her out if she talks to us.\And let her vent as much as she wants.\Ayane-chan.\And I'm going to act normal around Chizu-chan until then.\Maybe that's the best I can do for her.\Lunch!\Go, lunch!\Kazehaya, what are you having? response:	Cafeteria food.
context: And let her vent as much as she wants.\Ayane-chan.\And I'm going to act normal around Chizu-chan until then.\Maybe that's the best I can do for her.\Lunch!\Go, lunch!\Kazehaya, what are you having?\Cafeteria food. response:	You?
context: Ayane-chan.\And I'm going to act normal around Chizu-chan until then.\Maybe that's the best I can do for her.\Lunch!\Go, lunch!\Kazehaya, what are you having?\Cafeteria food.\You? response:	Rice balls.
context: And I'm going to act normal around Chizu-chan until then.\Maybe that's the best I can do for her.\Lunch!\Go, lunch!\Kazehaya, what are you having?\Cafeteria food.\You?\Rice balls. response:	Yeah?
