context: Togashi's place? response:	Yup! After all, they've shacked up!
context: Dolphin Ring Striker\That won't work. She's the one who suggested it.\BADDY\Yes. The Wicked Lord's chaotic trance dark hot pot is served.\You're calling it dark hot pot.\Rikka, my big brother and I will take care of all the cooking from now on.\Understood.\Please assign me a different mission. response:	We only started assigning chores because of her messes.
context: That won't work. She's the one who suggested it.\BADDY\Yes. The Wicked Lord's chaotic trance dark hot pot is served.\You're calling it dark hot pot.\Rikka, my big brother and I will take care of all the cooking from now on.\Understood.\Please assign me a different mission.\We only started assigning chores because of her messes. response:	Is she here?
context: BADDY\Yes. The Wicked Lord's chaotic trance dark hot pot is served.\You're calling it dark hot pot.\Rikka, my big brother and I will take care of all the cooking from now on.\Understood.\Please assign me a different mission.\We only started assigning chores because of her messes.\Is she here? response:	She just got in.
context: Yes. The Wicked Lord's chaotic trance dark hot pot is served.\You're calling it dark hot pot.\Rikka, my big brother and I will take care of all the cooking from now on.\Understood.\Please assign me a different mission.\We only started assigning chores because of her messes.\Is she here?\She just got in. response:	You were supposed to die then!
context: You're calling it dark hot pot.\Rikka, my big brother and I will take care of all the cooking from now on.\Understood.\Please assign me a different mission.\We only started assigning chores because of her messes.\Is she here?\She just got in.\You were supposed to die then! response:	Use the vacuum.
context: Rikka, my big brother and I will take care of all the cooking from now on.\Understood.\Please assign me a different mission.\We only started assigning chores because of her messes.\Is she here?\She just got in.\You were supposed to die then!\Use the vacuum. response:	What are you doing in here anyway?
context: Understood.\Please assign me a different mission.\We only started assigning chores because of her messes.\Is she here?\She just got in.\You were supposed to die then!\Use the vacuum.\What are you doing in here anyway? response:	Ooh! Did you buy those?
context: Please assign me a different mission.\We only started assigning chores because of her messes.\Is she here?\She just got in.\You were supposed to die then!\Use the vacuum.\What are you doing in here anyway?\Ooh! Did you buy those? response:	I-I did not buy anything.
context: We only started assigning chores because of her messes.\Is she here?\She just got in.\You were supposed to die then!\Use the vacuum.\What are you doing in here anyway?\Ooh! Did you buy those?\I-I did not buy anything. response:	It was preordained that these should fall into my hands.
context: Is she here?\She just got in.\You were supposed to die then!\Use the vacuum.\What are you doing in here anyway?\Ooh! Did you buy those?\I-I did not buy anything.\It was preordained that these should fall into my hands. response:	Those are so cool! Let me see!
context: She just got in.\You were supposed to die then!\Use the vacuum.\What are you doing in here anyway?\Ooh! Did you buy those?\I-I did not buy anything.\It was preordained that these should fall into my hands.\Those are so cool! Let me see! response:	Sure.
context: You were supposed to die then!\Use the vacuum.\What are you doing in here anyway?\Ooh! Did you buy those?\I-I did not buy anything.\It was preordained that these should fall into my hands.\Those are so cool! Let me see!\Sure. response:	Here.
context: Use the vacuum.\What are you doing in here anyway?\Ooh! Did you buy those?\I-I did not buy anything.\It was preordained that these should fall into my hands.\Those are so cool! Let me see!\Sure.\Here. response:	Thanks!
context: What are you doing in here anyway?\Ooh! Did you buy those?\I-I did not buy anything.\It was preordained that these should fall into my hands.\Those are so cool! Let me see!\Sure.\Here.\Thanks! response:	You could use these to play ghost busters too!
context: Ooh! Did you buy those?\I-I did not buy anything.\It was preordained that these should fall into my hands.\Those are so cool! Let me see!\Sure.\Here.\Thanks!\You could use these to play ghost busters too! response:	Ooh, you look so cool!
context: I-I did not buy anything.\It was preordained that these should fall into my hands.\Those are so cool! Let me see!\Sure.\Here.\Thanks!\You could use these to play ghost busters too!\Ooh, you look so cool! response:	Yuta!
context: It was preordained that these should fall into my hands.\Those are so cool! Let me see!\Sure.\Here.\Thanks!\You could use these to play ghost busters too!\Ooh, you look so cool!\Yuta! response:	Do your own vacuuming.
context: Those are so cool! Let me see!\Sure.\Here.\Thanks!\You could use these to play ghost busters too!\Ooh, you look so cool!\Yuta!\Do your own vacuuming. response:	But these must have been expensive. I'm surprised you had the money.
context: Sure.\Here.\Thanks!\You could use these to play ghost busters too!\Ooh, you look so cool!\Yuta!\Do your own vacuuming.\But these must have been expensive. I'm surprised you had the money. response:	EVERY WHICH WAY BANK RIKKA TAKANASHI
context: Here.\Thanks!\You could use these to play ghost busters too!\Ooh, you look so cool!\Yuta!\Do your own vacuuming.\But these must have been expensive. I'm surprised you had the money.\EVERY WHICH WAY BANK RIKKA TAKANASHI response:	Toka mentioned that she'd deposited your monthly allowance.
context: Thanks!\You could use these to play ghost busters too!\Ooh, you look so cool!\Yuta!\Do your own vacuuming.\But these must have been expensive. I'm surprised you had the money.\EVERY WHICH WAY BANK RIKKA TAKANASHI\Toka mentioned that she'd deposited your monthly allowance. response:	Rikka. No, Wicked Lord Shingan.
context: You could use these to play ghost busters too!\Ooh, you look so cool!\Yuta!\Do your own vacuuming.\But these must have been expensive. I'm surprised you had the money.\EVERY WHICH WAY BANK RIKKA TAKANASHI\Toka mentioned that she'd deposited your monthly allowance.\Rikka. No, Wicked Lord Shingan. response:	Will you please show me your gold documentation?
context: Ooh, you look so cool!\Yuta!\Do your own vacuuming.\But these must have been expensive. I'm surprised you had the money.\EVERY WHICH WAY BANK RIKKA TAKANASHI\Toka mentioned that she'd deposited your monthly allowance.\Rikka. No, Wicked Lord Shingan.\Will you please show me your gold documentation? response:	This is my Wicked Lord Shingan's most secret secret.
context: Yuta!\Do your own vacuuming.\But these must have been expensive. I'm surprised you had the money.\EVERY WHICH WAY BANK RIKKA TAKANASHI\Toka mentioned that she'd deposited your monthly allowance.\Rikka. No, Wicked Lord Shingan.\Will you please show me your gold documentation?\This is my Wicked Lord Shingan's most secret secret. response:	I cannot disclose that secret, even to you!
context: Do your own vacuuming.\But these must have been expensive. I'm surprised you had the money.\EVERY WHICH WAY BANK RIKKA TAKANASHI\Toka mentioned that she'd deposited your monthly allowance.\Rikka. No, Wicked Lord Shingan.\Will you please show me your gold documentation?\This is my Wicked Lord Shingan's most secret secret.\I cannot disclose that secret, even to you! response:	Show it to me, Wicked Lord Shingan.
context: But these must have been expensive. I'm surprised you had the money.\EVERY WHICH WAY BANK RIKKA TAKANASHI\Toka mentioned that she'd deposited your monthly allowance.\Rikka. No, Wicked Lord Shingan.\Will you please show me your gold documentation?\This is my Wicked Lord Shingan's most secret secret.\I cannot disclose that secret, even to you!\Show it to me, Wicked Lord Shingan. response:	If you open it, all the evil contained therein will escape
context: EVERY WHICH WAY BANK RIKKA TAKANASHI\Toka mentioned that she'd deposited your monthly allowance.\Rikka. No, Wicked Lord Shingan.\Will you please show me your gold documentation?\This is my Wicked Lord Shingan's most secret secret.\I cannot disclose that secret, even to you!\Show it to me, Wicked Lord Shingan.\If you open it, all the evil contained therein will escape response:	and spread over the Earth...
context: Toka mentioned that she'd deposited your monthly allowance.\Rikka. No, Wicked Lord Shingan.\Will you please show me your gold documentation?\This is my Wicked Lord Shingan's most secret secret.\I cannot disclose that secret, even to you!\Show it to me, Wicked Lord Shingan.\If you open it, all the evil contained therein will escape\and spread over the Earth... response:	Just show it to me!
context: Rikka. No, Wicked Lord Shingan.\Will you please show me your gold documentation?\This is my Wicked Lord Shingan's most secret secret.\I cannot disclose that secret, even to you!\Show it to me, Wicked Lord Shingan.\If you open it, all the evil contained therein will escape\and spread over the Earth...\Just show it to me! response:	Yuta, stop!
context: Will you please show me your gold documentation?\This is my Wicked Lord Shingan's most secret secret.\I cannot disclose that secret, even to you!\Show it to me, Wicked Lord Shingan.\If you open it, all the evil contained therein will escape\and spread over the Earth...\Just show it to me!\Yuta, stop! response:	What is the meaning of this?
context: This is my Wicked Lord Shingan's most secret secret.\I cannot disclose that secret, even to you!\Show it to me, Wicked Lord Shingan.\If you open it, all the evil contained therein will escape\and spread over the Earth...\Just show it to me!\Yuta, stop!\What is the meaning of this? response:	Power Level: 150,000?
context: I cannot disclose that secret, even to you!\Show it to me, Wicked Lord Shingan.\If you open it, all the evil contained therein will escape\and spread over the Earth...\Just show it to me!\Yuta, stop!\What is the meaning of this?\Power Level: 150,000? response:	He is more powerful than the Priestess!
context: Show it to me, Wicked Lord Shingan.\If you open it, all the evil contained therein will escape\and spread over the Earth...\Just show it to me!\Yuta, stop!\What is the meaning of this?\Power Level: 150,000?\He is more powerful than the Priestess! response:	Apologize to your sister!
context: If you open it, all the evil contained therein will escape\and spread over the Earth...\Just show it to me!\Yuta, stop!\What is the meaning of this?\Power Level: 150,000?\He is more powerful than the Priestess!\Apologize to your sister! response:	You! You!
context: and spread over the Earth...\Just show it to me!\Yuta, stop!\What is the meaning of this?\Power Level: 150,000?\He is more powerful than the Priestess!\Apologize to your sister!\You! You! response:	Wah, stop!
context: Just show it to me!\Yuta, stop!\What is the meaning of this?\Power Level: 150,000?\He is more powerful than the Priestess!\Apologize to your sister!\You! You!\Wah, stop! response:	That's how they act at school.
context: Yuta, stop!\What is the meaning of this?\Power Level: 150,000?\He is more powerful than the Priestess!\Apologize to your sister!\You! You!\Wah, stop!\That's how they act at school. response:	We can't be sure just yet.
context: What is the meaning of this?\Power Level: 150,000?\He is more powerful than the Priestess!\Apologize to your sister!\You! You!\Wah, stop!\That's how they act at school.\We can't be sure just yet. response:	After all, couples don't act lovey-dovey all the time.
context: Power Level: 150,000?\He is more powerful than the Priestess!\Apologize to your sister!\You! You!\Wah, stop!\That's how they act at school.\We can't be sure just yet.\After all, couples don't act lovey-dovey all the time. response:	Hey, someone's moved into the apartment above.
context: He is more powerful than the Priestess!\Apologize to your sister!\You! You!\Wah, stop!\That's how they act at school.\We can't be sure just yet.\After all, couples don't act lovey-dovey all the time.\Hey, someone's moved into the apartment above. response:	PAKIRA FRESH MARKET
context: Apologize to your sister!\You! You!\Wah, stop!\That's how they act at school.\We can't be sure just yet.\After all, couples don't act lovey-dovey all the time.\Hey, someone's moved into the apartment above.\PAKIRA FRESH MARKET response:	Were you really planning to ride out
context: You! You!\Wah, stop!\That's how they act at school.\We can't be sure just yet.\After all, couples don't act lovey-dovey all the time.\Hey, someone's moved into the apartment above.\PAKIRA FRESH MARKET\Were you really planning to ride out response:	the rest of the month on less than 1000 yen?
context: Wah, stop!\That's how they act at school.\We can't be sure just yet.\After all, couples don't act lovey-dovey all the time.\Hey, someone's moved into the apartment above.\PAKIRA FRESH MARKET\Were you really planning to ride out\the rest of the month on less than 1000 yen? response:	One of Wicked Lord Shingan's abilities is the empty rupture.
context: That's how they act at school.\We can't be sure just yet.\After all, couples don't act lovey-dovey all the time.\Hey, someone's moved into the apartment above.\PAKIRA FRESH MARKET\Were you really planning to ride out\the rest of the month on less than 1000 yen?\One of Wicked Lord Shingan's abilities is the empty rupture. response:	The magic of Wicked Lord Shingan who dwells within me...
context: We can't be sure just yet.\After all, couples don't act lovey-dovey all the time.\Hey, someone's moved into the apartment above.\PAKIRA FRESH MARKET\Were you really planning to ride out\the rest of the month on less than 1000 yen?\One of Wicked Lord Shingan's abilities is the empty rupture.\The magic of Wicked Lord Shingan who dwells within me... response:	NEW PRODUCT!!! Arabiki Crunchy Sausages
context: After all, couples don't act lovey-dovey all the time.\Hey, someone's moved into the apartment above.\PAKIRA FRESH MARKET\Were you really planning to ride out\the rest of the month on less than 1000 yen?\One of Wicked Lord Shingan's abilities is the empty rupture.\The magic of Wicked Lord Shingan who dwells within me...\NEW PRODUCT!!! Arabiki Crunchy Sausages response:	Would you like a sample?
context: Hey, someone's moved into the apartment above.\PAKIRA FRESH MARKET\Were you really planning to ride out\the rest of the month on less than 1000 yen?\One of Wicked Lord Shingan's abilities is the empty rupture.\The magic of Wicked Lord Shingan who dwells within me...\NEW PRODUCT!!! Arabiki Crunchy Sausages\Would you like a sample? response:	See? You are hungry.
context: PAKIRA FRESH MARKET\Were you really planning to ride out\the rest of the month on less than 1000 yen?\One of Wicked Lord Shingan's abilities is the empty rupture.\The magic of Wicked Lord Shingan who dwells within me...\NEW PRODUCT!!! Arabiki Crunchy Sausages\Would you like a sample?\See? You are hungry. response:	I'm sorry, I'll take two bags.
context: Were you really planning to ride out\the rest of the month on less than 1000 yen?\One of Wicked Lord Shingan's abilities is the empty rupture.\The magic of Wicked Lord Shingan who dwells within me...\NEW PRODUCT!!! Arabiki Crunchy Sausages\Would you like a sample?\See? You are hungry.\I'm sorry, I'll take two bags. response:	Going out to shop together for food for supper is much more romantic.
context: the rest of the month on less than 1000 yen?\One of Wicked Lord Shingan's abilities is the empty rupture.\The magic of Wicked Lord Shingan who dwells within me...\NEW PRODUCT!!! Arabiki Crunchy Sausages\Would you like a sample?\See? You are hungry.\I'm sorry, I'll take two bags.\Going out to shop together for food for supper is much more romantic. response:	We're going in.
context: One of Wicked Lord Shingan's abilities is the empty rupture.\The magic of Wicked Lord Shingan who dwells within me...\NEW PRODUCT!!! Arabiki Crunchy Sausages\Would you like a sample?\See? You are hungry.\I'm sorry, I'll take two bags.\Going out to shop together for food for supper is much more romantic.\We're going in. response:	You're dragging me down.
context: The magic of Wicked Lord Shingan who dwells within me...\NEW PRODUCT!!! Arabiki Crunchy Sausages\Would you like a sample?\See? You are hungry.\I'm sorry, I'll take two bags.\Going out to shop together for food for supper is much more romantic.\We're going in.\You're dragging me down. response:	A sign said'no roller skates in the store.'
context: NEW PRODUCT!!! Arabiki Crunchy Sausages\Would you like a sample?\See? You are hungry.\I'm sorry, I'll take two bags.\Going out to shop together for food for supper is much more romantic.\We're going in.\You're dragging me down.\A sign said'no roller skates in the store.' response:	My foe could attack at any time, but I'm ready for them.
context: Would you like a sample?\See? You are hungry.\I'm sorry, I'll take two bags.\Going out to shop together for food for supper is much more romantic.\We're going in.\You're dragging me down.\A sign said'no roller skates in the store.'\My foe could attack at any time, but I'm ready for them. response:	I will topple that pile of candy and block them off.
context: See? You are hungry.\I'm sorry, I'll take two bags.\Going out to shop together for food for supper is much more romantic.\We're going in.\You're dragging me down.\A sign said'no roller skates in the store.'\My foe could attack at any time, but I'm ready for them.\I will topple that pile of candy and block them off. response:	And then I will immediately destroy the lighting.
context: I'm sorry, I'll take two bags.\Going out to shop together for food for supper is much more romantic.\We're going in.\You're dragging me down.\A sign said'no roller skates in the store.'\My foe could attack at any time, but I'm ready for them.\I will topple that pile of candy and block them off.\And then I will immediately destroy the lighting. response:	And when they have been blinded, I'll finish them with this.
context: Going out to shop together for food for supper is much more romantic.\We're going in.\You're dragging me down.\A sign said'no roller skates in the store.'\My foe could attack at any time, but I'm ready for them.\I will topple that pile of candy and block them off.\And then I will immediately destroy the lighting.\And when they have been blinded, I'll finish them with this. response:	Offense and defense as one!
context: We're going in.\You're dragging me down.\A sign said'no roller skates in the store.'\My foe could attack at any time, but I'm ready for them.\I will topple that pile of candy and block them off.\And then I will immediately destroy the lighting.\And when they have been blinded, I'll finish them with this.\Offense and defense as one! response:	Don't do it, ever!
context: You're dragging me down.\A sign said'no roller skates in the store.'\My foe could attack at any time, but I'm ready for them.\I will topple that pile of candy and block them off.\And then I will immediately destroy the lighting.\And when they have been blinded, I'll finish them with this.\Offense and defense as one!\Don't do it, ever! response:	Look how late it is. Let's go.
