context: First, I'd like to say, thank you! response:	Well that was sudden.
context: But Alicia will be out all day, so the shop is closed.\Not only that, but Aika has work and Alice is at school.\So, President Aria and I are going out, too!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta response:	It's just like a spiral Marude supiraare
context: Not only that, but Aika has work and Alice is at school.\So, President Aria and I are going out, too!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare response:	I want to spend my days waving to you Itsumademo te o furitai hibi
context: So, President Aria and I are going out, too!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi response:	This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi
context: Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi response:	An eternal spiral Zutto supiraare
context: When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare response:	There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru
context: The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru response:	When you climb the next hill, Tsugi no saka o nobottara
context: I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara response:	Let's meet again Mata aimashou
context: I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou response:	That Little Secret Place...
context: It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Little Secret Place... response:	This is a completely residential area, so there's usually no reason to come here when giving tours.
context: I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Little Secret Place...\This is a completely residential area, so there's usually no reason to come here when giving tours. response:	But it's definitely another face of Neo-Venezia.
context: This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Little Secret Place...\This is a completely residential area, so there's usually no reason to come here when giving tours.\But it's definitely another face of Neo-Venezia. response:	The scenery here never seems to change.
context: An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Little Secret Place...\This is a completely residential area, so there's usually no reason to come here when giving tours.\But it's definitely another face of Neo-Venezia.\The scenery here never seems to change. response:	The rain finally let up yesterday, so I think we have a good chance.
context: There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Little Secret Place...\This is a completely residential area, so there's usually no reason to come here when giving tours.\But it's definitely another face of Neo-Venezia.\The scenery here never seems to change.\The rain finally let up yesterday, so I think we have a good chance. response:	Ready, President Aria?
context: When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Little Secret Place...\This is a completely residential area, so there's usually no reason to come here when giving tours.\But it's definitely another face of Neo-Venezia.\The scenery here never seems to change.\The rain finally let up yesterday, so I think we have a good chance.\Ready, President Aria? response:	Ready, set!
context: Let's meet again Mata aimashou\That Little Secret Place...\This is a completely residential area, so there's usually no reason to come here when giving tours.\But it's definitely another face of Neo-Venezia.\The scenery here never seems to change.\The rain finally let up yesterday, so I think we have a good chance.\Ready, President Aria?\Ready, set! response:	Ta-daa!
context: That Little Secret Place...\This is a completely residential area, so there's usually no reason to come here when giving tours.\But it's definitely another face of Neo-Venezia.\The scenery here never seems to change.\The rain finally let up yesterday, so I think we have a good chance.\Ready, President Aria?\Ready, set!\Ta-daa! response:	It's full of laundry, just like we thought!
context: This is a completely residential area, so there's usually no reason to come here when giving tours.\But it's definitely another face of Neo-Venezia.\The scenery here never seems to change.\The rain finally let up yesterday, so I think we have a good chance.\Ready, President Aria?\Ready, set!\Ta-daa!\It's full of laundry, just like we thought! response:	There's even more over here!
context: But it's definitely another face of Neo-Venezia.\The scenery here never seems to change.\The rain finally let up yesterday, so I think we have a good chance.\Ready, President Aria?\Ready, set!\Ta-daa!\It's full of laundry, just like we thought!\There's even more over here! response:	The laundry is blissfully swimming in the sky.
context: The scenery here never seems to change.\The rain finally let up yesterday, so I think we have a good chance.\Ready, President Aria?\Ready, set!\Ta-daa!\It's full of laundry, just like we thought!\There's even more over here!\The laundry is blissfully swimming in the sky. response:	Hey!
context: The rain finally let up yesterday, so I think we have a good chance.\Ready, President Aria?\Ready, set!\Ta-daa!\It's full of laundry, just like we thought!\There's even more over here!\The laundry is blissfully swimming in the sky.\Hey! response:	You dirtied your clothes already?
context: Ready, President Aria?\Ready, set!\Ta-daa!\It's full of laundry, just like we thought!\There's even more over here!\The laundry is blissfully swimming in the sky.\Hey!\You dirtied your clothes already? response:	But... there was a puddle!
context: Ready, set!\Ta-daa!\It's full of laundry, just like we thought!\There's even more over here!\The laundry is blissfully swimming in the sky.\Hey!\You dirtied your clothes already?\But... there was a puddle! response:	And I just finished doing the laundry, too.
context: Ta-daa!\It's full of laundry, just like we thought!\There's even more over here!\The laundry is blissfully swimming in the sky.\Hey!\You dirtied your clothes already?\But... there was a puddle!\And I just finished doing the laundry, too. response:	Honestly...
context: It's full of laundry, just like we thought!\There's even more over here!\The laundry is blissfully swimming in the sky.\Hey!\You dirtied your clothes already?\But... there was a puddle!\And I just finished doing the laundry, too.\Honestly... response:	But that Sylph guy said it's good for me to have so much energy! Honestly...
context: There's even more over here!\The laundry is blissfully swimming in the sky.\Hey!\You dirtied your clothes already?\But... there was a puddle!\And I just finished doing the laundry, too.\Honestly...\But that Sylph guy said it's good for me to have so much energy! Honestly... response:	But that Sylph guy said it's good for me to have so much energy!
context: The laundry is blissfully swimming in the sky.\Hey!\You dirtied your clothes already?\But... there was a puddle!\And I just finished doing the laundry, too.\Honestly...\But that Sylph guy said it's good for me to have so much energy! Honestly...\But that Sylph guy said it's good for me to have so much energy! response:	But that Sylph guy said it's good for me to have so much energy! You have too much energy! For goodness' sake...
context: Hey!\You dirtied your clothes already?\But... there was a puddle!\And I just finished doing the laundry, too.\Honestly...\But that Sylph guy said it's good for me to have so much energy! Honestly...\But that Sylph guy said it's good for me to have so much energy!\But that Sylph guy said it's good for me to have so much energy! You have too much energy! For goodness' sake... response:	You have too much energy! For goodness' sake...
context: You dirtied your clothes already?\But... there was a puddle!\And I just finished doing the laundry, too.\Honestly...\But that Sylph guy said it's good for me to have so much energy! Honestly...\But that Sylph guy said it's good for me to have so much energy!\But that Sylph guy said it's good for me to have so much energy! You have too much energy! For goodness' sake...\You have too much energy! For goodness' sake... response:	Huh?
context: But... there was a puddle!\And I just finished doing the laundry, too.\Honestly...\But that Sylph guy said it's good for me to have so much energy! Honestly...\But that Sylph guy said it's good for me to have so much energy!\But that Sylph guy said it's good for me to have so much energy! You have too much energy! For goodness' sake...\You have too much energy! For goodness' sake...\Huh? response:	We can see the Campanile from here too, can't we, President Aria?
context: And I just finished doing the laundry, too.\Honestly...\But that Sylph guy said it's good for me to have so much energy! Honestly...\But that Sylph guy said it's good for me to have so much energy!\But that Sylph guy said it's good for me to have so much energy! You have too much energy! For goodness' sake...\You have too much energy! For goodness' sake...\Huh?\We can see the Campanile from here too, can't we, President Aria? response:	President Aria?
context: Honestly...\But that Sylph guy said it's good for me to have so much energy! Honestly...\But that Sylph guy said it's good for me to have so much energy!\But that Sylph guy said it's good for me to have so much energy! You have too much energy! For goodness' sake...\You have too much energy! For goodness' sake...\Huh?\We can see the Campanile from here too, can't we, President Aria?\President Aria? response:	President Aria...
context: But that Sylph guy said it's good for me to have so much energy! Honestly...\But that Sylph guy said it's good for me to have so much energy!\But that Sylph guy said it's good for me to have so much energy! You have too much energy! For goodness' sake...\You have too much energy! For goodness' sake...\Huh?\We can see the Campanile from here too, can't we, President Aria?\President Aria?\President Aria... response:	Here you go.
context: But that Sylph guy said it's good for me to have so much energy!\But that Sylph guy said it's good for me to have so much energy! You have too much energy! For goodness' sake...\You have too much energy! For goodness' sake...\Huh?\We can see the Campanile from here too, can't we, President Aria?\President Aria?\President Aria...\Here you go. response:	This scenery hasn't changed either, from the time I first came to this city.
context: But that Sylph guy said it's good for me to have so much energy! You have too much energy! For goodness' sake...\You have too much energy! For goodness' sake...\Huh?\We can see the Campanile from here too, can't we, President Aria?\President Aria?\President Aria...\Here you go.\This scenery hasn't changed either, from the time I first came to this city. response:	We're getting a little hungry, aren't we?
context: You have too much energy! For goodness' sake...\Huh?\We can see the Campanile from here too, can't we, President Aria?\President Aria?\President Aria...\Here you go.\This scenery hasn't changed either, from the time I first came to this city.\We're getting a little hungry, aren't we? response:	Well then, shall we go have lunch?
context: Huh?\We can see the Campanile from here too, can't we, President Aria?\President Aria?\President Aria...\Here you go.\This scenery hasn't changed either, from the time I first came to this city.\We're getting a little hungry, aren't we?\Well then, shall we go have lunch? response:	Ah, I know!
context: We can see the Campanile from here too, can't we, President Aria?\President Aria?\President Aria...\Here you go.\This scenery hasn't changed either, from the time I first came to this city.\We're getting a little hungry, aren't we?\Well then, shall we go have lunch?\Ah, I know! response:	Why don't we go eat that?
context: President Aria?\President Aria...\Here you go.\This scenery hasn't changed either, from the time I first came to this city.\We're getting a little hungry, aren't we?\Well then, shall we go have lunch?\Ah, I know!\Why don't we go eat that? response:	You know, that exciting, heart-pounding dish we had the other day at a restaurant near here.
context: President Aria...\Here you go.\This scenery hasn't changed either, from the time I first came to this city.\We're getting a little hungry, aren't we?\Well then, shall we go have lunch?\Ah, I know!\Why don't we go eat that?\You know, that exciting, heart-pounding dish we had the other day at a restaurant near here. response:	Let's go, shall we?
context: Here you go.\This scenery hasn't changed either, from the time I first came to this city.\We're getting a little hungry, aren't we?\Well then, shall we go have lunch?\Ah, I know!\Why don't we go eat that?\You know, that exciting, heart-pounding dish we had the other day at a restaurant near here.\Let's go, shall we? response:	Well then, off we go!
context: This scenery hasn't changed either, from the time I first came to this city.\We're getting a little hungry, aren't we?\Well then, shall we go have lunch?\Ah, I know!\Why don't we go eat that?\You know, that exciting, heart-pounding dish we had the other day at a restaurant near here.\Let's go, shall we?\Well then, off we go! response:	So, two orders then?
context: We're getting a little hungry, aren't we?\Well then, shall we go have lunch?\Ah, I know!\Why don't we go eat that?\You know, that exciting, heart-pounding dish we had the other day at a restaurant near here.\Let's go, shall we?\Well then, off we go!\So, two orders then? response:	Yes.
context: Well then, shall we go have lunch?\Ah, I know!\Why don't we go eat that?\You know, that exciting, heart-pounding dish we had the other day at a restaurant near here.\Let's go, shall we?\Well then, off we go!\So, two orders then?\Yes. response:	Certainly. Please wait just a moment.
context: Ah, I know!\Why don't we go eat that?\You know, that exciting, heart-pounding dish we had the other day at a restaurant near here.\Let's go, shall we?\Well then, off we go!\So, two orders then?\Yes.\Certainly. Please wait just a moment. response:	Exciting, exciting.
context: Why don't we go eat that?\You know, that exciting, heart-pounding dish we had the other day at a restaurant near here.\Let's go, shall we?\Well then, off we go!\So, two orders then?\Yes.\Certainly. Please wait just a moment.\Exciting, exciting. response:	Thank you for waiting.
context: You know, that exciting, heart-pounding dish we had the other day at a restaurant near here.\Let's go, shall we?\Well then, off we go!\So, two orders then?\Yes.\Certainly. Please wait just a moment.\Exciting, exciting.\Thank you for waiting. response:	Well? Isn't it neat?
context: Let's go, shall we?\Well then, off we go!\So, two orders then?\Yes.\Certainly. Please wait just a moment.\Exciting, exciting.\Thank you for waiting.\Well? Isn't it neat? response:	I've always loved getting this restaurant's polenta served up like a volcano, ever since I was a kid.
context: Well then, off we go!\So, two orders then?\Yes.\Certainly. Please wait just a moment.\Exciting, exciting.\Thank you for waiting.\Well? Isn't it neat?\I've always loved getting this restaurant's polenta served up like a volcano, ever since I was a kid. response:	I can really sense the history behind it.
context: So, two orders then?\Yes.\Certainly. Please wait just a moment.\Exciting, exciting.\Thank you for waiting.\Well? Isn't it neat?\I've always loved getting this restaurant's polenta served up like a volcano, ever since I was a kid.\I can really sense the history behind it. response:	Time to eat.
context: Yes.\Certainly. Please wait just a moment.\Exciting, exciting.\Thank you for waiting.\Well? Isn't it neat?\I've always loved getting this restaurant's polenta served up like a volcano, ever since I was a kid.\I can really sense the history behind it.\Time to eat. response:	Let's order that the next time we come here.
context: Certainly. Please wait just a moment.\Exciting, exciting.\Thank you for waiting.\Well? Isn't it neat?\I've always loved getting this restaurant's polenta served up like a volcano, ever since I was a kid.\I can really sense the history behind it.\Time to eat.\Let's order that the next time we come here. response:	Thank you for waiting.
context: Exciting, exciting.\Thank you for waiting.\Well? Isn't it neat?\I've always loved getting this restaurant's polenta served up like a volcano, ever since I was a kid.\I can really sense the history behind it.\Time to eat.\Let's order that the next time we come here.\Thank you for waiting. response:	It's here!
context: Thank you for waiting.\Well? Isn't it neat?\I've always loved getting this restaurant's polenta served up like a volcano, ever since I was a kid.\I can really sense the history behind it.\Time to eat.\Let's order that the next time we come here.\Thank you for waiting.\It's here! response:	Here's your chitarra.
context: Well? Isn't it neat?\I've always loved getting this restaurant's polenta served up like a volcano, ever since I was a kid.\I can really sense the history behind it.\Time to eat.\Let's order that the next time we come here.\Thank you for waiting.\It's here!\Here's your chitarra. response:	Exciting, exciting.
context: I've always loved getting this restaurant's polenta served up like a volcano, ever since I was a kid.\I can really sense the history behind it.\Time to eat.\Let's order that the next time we come here.\Thank you for waiting.\It's here!\Here's your chitarra.\Exciting, exciting. response:	Exciting, exciting.
context: I can really sense the history behind it.\Time to eat.\Let's order that the next time we come here.\Thank you for waiting.\It's here!\Here's your chitarra.\Exciting, exciting.\Exciting, exciting. response:	Exciting, exciting.
context: Time to eat.\Let's order that the next time we come here.\Thank you for waiting.\It's here!\Here's your chitarra.\Exciting, exciting.\Exciting, exciting.\Exciting, exciting. response:	All right, go ahead.
context: Let's order that the next time we come here.\Thank you for waiting.\It's here!\Here's your chitarra.\Exciting, exciting.\Exciting, exciting.\Exciting, exciting.\All right, go ahead. response:	Okay!
context: Thank you for waiting.\It's here!\Here's your chitarra.\Exciting, exciting.\Exciting, exciting.\Exciting, exciting.\All right, go ahead.\Okay! response:	It's so much fun!
context: It's here!\Here's your chitarra.\Exciting, exciting.\Exciting, exciting.\Exciting, exciting.\All right, go ahead.\Okay!\It's so much fun! response:	Yes, yes.
context: Here's your chitarra.\Exciting, exciting.\Exciting, exciting.\Exciting, exciting.\All right, go ahead.\Okay!\It's so much fun!\Yes, yes. response:	Go ahead.
context: Exciting, exciting.\Exciting, exciting.\Exciting, exciting.\All right, go ahead.\Okay!\It's so much fun!\Yes, yes.\Go ahead. response:	It looks delicious, doesn't it?
context: Exciting, exciting.\Exciting, exciting.\All right, go ahead.\Okay!\It's so much fun!\Yes, yes.\Go ahead.\It looks delicious, doesn't it? response:	That was delicious, wasn't it?
context: Exciting, exciting.\All right, go ahead.\Okay!\It's so much fun!\Yes, yes.\Go ahead.\It looks delicious, doesn't it?\That was delicious, wasn't it? response:	President Aria...
context: All right, go ahead.\Okay!\It's so much fun!\Yes, yes.\Go ahead.\It looks delicious, doesn't it?\That was delicious, wasn't it?\President Aria... response:	President Aria!
context: Okay!\It's so much fun!\Yes, yes.\Go ahead.\It looks delicious, doesn't it?\That was delicious, wasn't it?\President Aria...\President Aria! response:	We're so stuffed, aren't we, President Aria?
context: It's so much fun!\Yes, yes.\Go ahead.\It looks delicious, doesn't it?\That was delicious, wasn't it?\President Aria...\President Aria!\We're so stuffed, aren't we, President Aria? response:	Ah, I'm starving. Maybe I'll get some pizza...
context: Yes, yes.\Go ahead.\It looks delicious, doesn't it?\That was delicious, wasn't it?\President Aria...\President Aria!\We're so stuffed, aren't we, President Aria?\Ah, I'm starving. Maybe I'll get some pizza... response:	Huh?
context: Go ahead.\It looks delicious, doesn't it?\That was delicious, wasn't it?\President Aria...\President Aria!\We're so stuffed, aren't we, President Aria?\Ah, I'm starving. Maybe I'll get some pizza...\Huh? response:	Isn't that Sideburns?
context: It looks delicious, doesn't it?\That was delicious, wasn't it?\President Aria...\President Aria!\We're so stuffed, aren't we, President Aria?\Ah, I'm starving. Maybe I'll get some pizza...\Huh?\Isn't that Sideburns? response:	Just as I was hoping I'd run into Alicia on my day off, too.
context: That was delicious, wasn't it?\President Aria...\President Aria!\We're so stuffed, aren't we, President Aria?\Ah, I'm starving. Maybe I'll get some pizza...\Huh?\Isn't that Sideburns?\Just as I was hoping I'd run into Alicia on my day off, too. response:	Geez, she just doesn't get it, does she?
context: President Aria...\President Aria!\We're so stuffed, aren't we, President Aria?\Ah, I'm starving. Maybe I'll get some pizza...\Huh?\Isn't that Sideburns?\Just as I was hoping I'd run into Alicia on my day off, too.\Geez, she just doesn't get it, does she? response:	Oh well, maybe I'll go yank on her sideburns as a greeting anyway.
context: President Aria!\We're so stuffed, aren't we, President Aria?\Ah, I'm starving. Maybe I'll get some pizza...\Huh?\Isn't that Sideburns?\Just as I was hoping I'd run into Alicia on my day off, too.\Geez, she just doesn't get it, does she?\Oh well, maybe I'll go yank on her sideburns as a greeting anyway. response:	Why don't we try going this way?
context: We're so stuffed, aren't we, President Aria?\Ah, I'm starving. Maybe I'll get some pizza...\Huh?\Isn't that Sideburns?\Just as I was hoping I'd run into Alicia on my day off, too.\Geez, she just doesn't get it, does she?\Oh well, maybe I'll go yank on her sideburns as a greeting anyway.\Why don't we try going this way? response:	Huh? She's gone.
context: Ah, I'm starving. Maybe I'll get some pizza...\Huh?\Isn't that Sideburns?\Just as I was hoping I'd run into Alicia on my day off, too.\Geez, she just doesn't get it, does she?\Oh well, maybe I'll go yank on her sideburns as a greeting anyway.\Why don't we try going this way?\Huh? She's gone. response:	Which way did she go?
context: Huh?\Isn't that Sideburns?\Just as I was hoping I'd run into Alicia on my day off, too.\Geez, she just doesn't get it, does she?\Oh well, maybe I'll go yank on her sideburns as a greeting anyway.\Why don't we try going this way?\Huh? She's gone.\Which way did she go? response:	Where is she?
context: Isn't that Sideburns?\Just as I was hoping I'd run into Alicia on my day off, too.\Geez, she just doesn't get it, does she?\Oh well, maybe I'll go yank on her sideburns as a greeting anyway.\Why don't we try going this way?\Huh? She's gone.\Which way did she go?\Where is she? response:	Where is she, where is she?
context: Just as I was hoping I'd run into Alicia on my day off, too.\Geez, she just doesn't get it, does she?\Oh well, maybe I'll go yank on her sideburns as a greeting anyway.\Why don't we try going this way?\Huh? She's gone.\Which way did she go?\Where is she?\Where is she, where is she? response:	Where is she, where is she, where is she?
context: Geez, she just doesn't get it, does she?\Oh well, maybe I'll go yank on her sideburns as a greeting anyway.\Why don't we try going this way?\Huh? She's gone.\Which way did she go?\Where is she?\Where is she, where is she?\Where is she, where is she, where is she? response:	Where is she, where is she, where is she, where is she, where is she, where is she?!
context: Oh well, maybe I'll go yank on her sideburns as a greeting anyway.\Why don't we try going this way?\Huh? She's gone.\Which way did she go?\Where is she?\Where is she, where is she?\Where is she, where is she, where is she?\Where is she, where is she, where is she, where is she, where is she, where is she?! response:	I guess I lost her.
context: Why don't we try going this way?\Huh? She's gone.\Which way did she go?\Where is she?\Where is she, where is she?\Where is she, where is she, where is she?\Where is she, where is she, where is she, where is she, where is she, where is she?!\I guess I lost her. response:	Ma'am, give me a slice of tomato pizza.
context: Huh? She's gone.\Which way did she go?\Where is she?\Where is she, where is she?\Where is she, where is she, where is she?\Where is she, where is she, where is she, where is she, where is she, where is she?!\I guess I lost her.\Ma'am, give me a slice of tomato pizza. response:	Sure.
context: Which way did she go?\Where is she?\Where is she, where is she?\Where is she, where is she, where is she?\Where is she, where is she, where is she, where is she, where is she, where is she?!\I guess I lost her.\Ma'am, give me a slice of tomato pizza.\Sure. response:	Thank you for your business.
context: Where is she?\Where is she, where is she?\Where is she, where is she, where is she?\Where is she, where is she, where is she, where is she, where is she, where is she?!\I guess I lost her.\Ma'am, give me a slice of tomato pizza.\Sure.\Thank you for your business. response:	There she is!
context: Where is she, where is she?\Where is she, where is she, where is she?\Where is she, where is she, where is she, where is she, where is she, where is she?!\I guess I lost her.\Ma'am, give me a slice of tomato pizza.\Sure.\Thank you for your business.\There she is! response:	They have some new outfits, President Aria!
context: Where is she, where is she, where is she?\Where is she, where is she, where is she, where is she, where is she, where is she?!\I guess I lost her.\Ma'am, give me a slice of tomato pizza.\Sure.\Thank you for your business.\There she is!\They have some new outfits, President Aria! response:	What is she doing?
context: Where is she, where is she, where is she, where is she, where is she, where is she?!\I guess I lost her.\Ma'am, give me a slice of tomato pizza.\Sure.\Thank you for your business.\There she is!\They have some new outfits, President Aria!\What is she doing? response:	Akatsukin!
