context: Seriously! response:	What are you going to do?!
context: U-Um, Ruri-chan.\What?\You see, the thing is, tomorrow...\I invited Ichijou-kun to my house.\Episode 16: Typhoon\Episode 16: Typhoon\Episode 16: Typhoon\The other day response:	The other day
context: What?\You see, the thing is, tomorrow...\I invited Ichijou-kun to my house.\Episode 16: Typhoon\Episode 16: Typhoon\Episode 16: Typhoon\The other day\The other day response:	The other day
context: You see, the thing is, tomorrow...\I invited Ichijou-kun to my house.\Episode 16: Typhoon\Episode 16: Typhoon\Episode 16: Typhoon\The other day\The other day\The other day response:	End of Semester Ceremony
context: I invited Ichijou-kun to my house.\Episode 16: Typhoon\Episode 16: Typhoon\Episode 16: Typhoon\The other day\The other day\The other day\End of Semester Ceremony response:	End of Semester Ceremony
context: Episode 16: Typhoon\Episode 16: Typhoon\Episode 16: Typhoon\The other day\The other day\The other day\End of Semester Ceremony\End of Semester Ceremony response:	Ichijou-kun!
context: Episode 16: Typhoon\Episode 16: Typhoon\The other day\The other day\The other day\End of Semester Ceremony\End of Semester Ceremony\Ichijou-kun! response:	H-Hey, Onodera. What's up?
context: Episode 16: Typhoon\The other day\The other day\The other day\End of Semester Ceremony\End of Semester Ceremony\Ichijou-kun!\H-Hey, Onodera. What's up? response:	Do you have a second?
context: The other day\The other day\The other day\End of Semester Ceremony\End of Semester Ceremony\Ichijou-kun!\H-Hey, Onodera. What's up?\Do you have a second? response:	Um, uh, well...
context: The other day\The other day\End of Semester Ceremony\End of Semester Ceremony\Ichijou-kun!\H-Hey, Onodera. What's up?\Do you have a second?\Um, uh, well... response:	Um, do you... have any plans this weekend?
context: The other day\End of Semester Ceremony\End of Semester Ceremony\Ichijou-kun!\H-Hey, Onodera. What's up?\Do you have a second?\Um, uh, well...\Um, do you... have any plans this weekend? response:	Are you free, by any chance?
context: End of Semester Ceremony\End of Semester Ceremony\Ichijou-kun!\H-Hey, Onodera. What's up?\Do you have a second?\Um, uh, well...\Um, do you... have any plans this weekend?\Are you free, by any chance? response:	D-Don't tell me she's about to ask me out!
context: End of Semester Ceremony\Ichijou-kun!\H-Hey, Onodera. What's up?\Do you have a second?\Um, uh, well...\Um, do you... have any plans this weekend?\Are you free, by any chance?\D-Don't tell me she's about to ask me out! response:	The thing is... I wanted to ask if you could take on a part-time job.
context: Ichijou-kun!\H-Hey, Onodera. What's up?\Do you have a second?\Um, uh, well...\Um, do you... have any plans this weekend?\Are you free, by any chance?\D-Don't tell me she's about to ask me out!\The thing is... I wanted to ask if you could take on a part-time job. response:	Oh, it's just a job.
context: H-Hey, Onodera. What's up?\Do you have a second?\Um, uh, well...\Um, do you... have any plans this weekend?\Are you free, by any chance?\D-Don't tell me she's about to ask me out!\The thing is... I wanted to ask if you could take on a part-time job.\Oh, it's just a job. response:	A job?
context: Do you have a second?\Um, uh, well...\Um, do you... have any plans this weekend?\Are you free, by any chance?\D-Don't tell me she's about to ask me out!\The thing is... I wanted to ask if you could take on a part-time job.\Oh, it's just a job.\A job? response:	You see, one of our employees has an emergency and can't come in.
context: Um, uh, well...\Um, do you... have any plans this weekend?\Are you free, by any chance?\D-Don't tell me she's about to ask me out!\The thing is... I wanted to ask if you could take on a part-time job.\Oh, it's just a job.\A job?\You see, one of our employees has an emergency and can't come in. response:	My mom said it'd be best to find someone who's a good cook.
context: Um, do you... have any plans this weekend?\Are you free, by any chance?\D-Don't tell me she's about to ask me out!\The thing is... I wanted to ask if you could take on a part-time job.\Oh, it's just a job.\A job?\You see, one of our employees has an emergency and can't come in.\My mom said it'd be best to find someone who's a good cook. response:	And so, since you're the only one I know who can cook...
context: Are you free, by any chance?\D-Don't tell me she's about to ask me out!\The thing is... I wanted to ask if you could take on a part-time job.\Oh, it's just a job.\A job?\You see, one of our employees has an emergency and can't come in.\My mom said it'd be best to find someone who's a good cook.\And so, since you're the only one I know who can cook... response:	If you're interested...
context: D-Don't tell me she's about to ask me out!\The thing is... I wanted to ask if you could take on a part-time job.\Oh, it's just a job.\A job?\You see, one of our employees has an emergency and can't come in.\My mom said it'd be best to find someone who's a good cook.\And so, since you're the only one I know who can cook...\If you're interested... response:	Here I was, thinking that I wouldn't be seeing Onodera for a while because of summer vacation...
context: The thing is... I wanted to ask if you could take on a part-time job.\Oh, it's just a job.\A job?\You see, one of our employees has an emergency and can't come in.\My mom said it'd be best to find someone who's a good cook.\And so, since you're the only one I know who can cook...\If you're interested...\Here I was, thinking that I wouldn't be seeing Onodera for a while because of summer vacation... response:	I've never had a part-time job before,
context: Oh, it's just a job.\A job?\You see, one of our employees has an emergency and can't come in.\My mom said it'd be best to find someone who's a good cook.\And so, since you're the only one I know who can cook...\If you're interested...\Here I was, thinking that I wouldn't be seeing Onodera for a while because of summer vacation...\I've never had a part-time job before, response:	but today I'm gonna show Onodera my good side!
context: A job?\You see, one of our employees has an emergency and can't come in.\My mom said it'd be best to find someone who's a good cook.\And so, since you're the only one I know who can cook...\If you're interested...\Here I was, thinking that I wouldn't be seeing Onodera for a while because of summer vacation...\I've never had a part-time job before,\but today I'm gonna show Onodera my good side! response:	Japanese Sweets
context: You see, one of our employees has an emergency and can't come in.\My mom said it'd be best to find someone who's a good cook.\And so, since you're the only one I know who can cook...\If you're interested...\Here I was, thinking that I wouldn't be seeing Onodera for a while because of summer vacation...\I've never had a part-time job before,\but today I'm gonna show Onodera my good side!\Japanese Sweets response:	ONODERA
context: My mom said it'd be best to find someone who's a good cook.\And so, since you're the only one I know who can cook...\If you're interested...\Here I was, thinking that I wouldn't be seeing Onodera for a while because of summer vacation...\I've never had a part-time job before,\but today I'm gonna show Onodera my good side!\Japanese Sweets\ONODERA response:	I sure haven't been to Japanese Sweets Onodera in a while.
context: And so, since you're the only one I know who can cook...\If you're interested...\Here I was, thinking that I wouldn't be seeing Onodera for a while because of summer vacation...\I've never had a part-time job before,\but today I'm gonna show Onodera my good side!\Japanese Sweets\ONODERA\I sure haven't been to Japanese Sweets Onodera in a while. response:	Excuse me...
context: If you're interested...\Here I was, thinking that I wouldn't be seeing Onodera for a while because of summer vacation...\I've never had a part-time job before,\but today I'm gonna show Onodera my good side!\Japanese Sweets\ONODERA\I sure haven't been to Japanese Sweets Onodera in a while.\Excuse me... response:	What did you say?!
context: Here I was, thinking that I wouldn't be seeing Onodera for a while because of summer vacation...\I've never had a part-time job before,\but today I'm gonna show Onodera my good side!\Japanese Sweets\ONODERA\I sure haven't been to Japanese Sweets Onodera in a while.\Excuse me...\What did you say?! response:	You don't have a single product in stock?
context: I've never had a part-time job before,\but today I'm gonna show Onodera my good side!\Japanese Sweets\ONODERA\I sure haven't been to Japanese Sweets Onodera in a while.\Excuse me...\What did you say?!\You don't have a single product in stock? response:	That's not my problem!
context: but today I'm gonna show Onodera my good side!\Japanese Sweets\ONODERA\I sure haven't been to Japanese Sweets Onodera in a while.\Excuse me...\What did you say?!\You don't have a single product in stock?\That's not my problem! response:	Do something about it! Isn't that your job?
context: Japanese Sweets\ONODERA\I sure haven't been to Japanese Sweets Onodera in a while.\Excuse me...\What did you say?!\You don't have a single product in stock?\That's not my problem!\Do something about it! Isn't that your job? response:	Do you hear me? Make sure you have it by this evening!
context: ONODERA\I sure haven't been to Japanese Sweets Onodera in a while.\Excuse me...\What did you say?!\You don't have a single product in stock?\That's not my problem!\Do something about it! Isn't that your job?\Do you hear me? Make sure you have it by this evening! response:	I'll head over there myself to pick it up later. Got that?
context: I sure haven't been to Japanese Sweets Onodera in a while.\Excuse me...\What did you say?!\You don't have a single product in stock?\That's not my problem!\Do something about it! Isn't that your job?\Do you hear me? Make sure you have it by this evening!\I'll head over there myself to pick it up later. Got that? response:	Unbelievable!
context: Excuse me...\What did you say?!\You don't have a single product in stock?\That's not my problem!\Do something about it! Isn't that your job?\Do you hear me? Make sure you have it by this evening!\I'll head over there myself to pick it up later. Got that?\Unbelievable! response:	Dammit... We should be okay as far as baked goods go,
context: What did you say?!\You don't have a single product in stock?\That's not my problem!\Do something about it! Isn't that your job?\Do you hear me? Make sure you have it by this evening!\I'll head over there myself to pick it up later. Got that?\Unbelievable!\Dammit... We should be okay as far as baked goods go, response:	but what am I going to do about the raw sweets?
context: You don't have a single product in stock?\That's not my problem!\Do something about it! Isn't that your job?\Do you hear me? Make sure you have it by this evening!\I'll head over there myself to pick it up later. Got that?\Unbelievable!\Dammit... We should be okay as far as baked goods go,\but what am I going to do about the raw sweets? response:	What are you looking at?
context: That's not my problem!\Do something about it! Isn't that your job?\Do you hear me? Make sure you have it by this evening!\I'll head over there myself to pick it up later. Got that?\Unbelievable!\Dammit... We should be okay as far as baked goods go,\but what am I going to do about the raw sweets?\What are you looking at? response:	What's a student doing in my shop?
context: Do something about it! Isn't that your job?\Do you hear me? Make sure you have it by this evening!\I'll head over there myself to pick it up later. Got that?\Unbelievable!\Dammit... We should be okay as far as baked goods go,\but what am I going to do about the raw sweets?\What are you looking at?\What's a student doing in my shop? response:	Go suck on a lollipop!
context: Do you hear me? Make sure you have it by this evening!\I'll head over there myself to pick it up later. Got that?\Unbelievable!\Dammit... We should be okay as far as baked goods go,\but what am I going to do about the raw sweets?\What are you looking at?\What's a student doing in my shop?\Go suck on a lollipop! response:	Uh, no... Actually...
context: I'll head over there myself to pick it up later. Got that?\Unbelievable!\Dammit... We should be okay as far as baked goods go,\but what am I going to do about the raw sweets?\What are you looking at?\What's a student doing in my shop?\Go suck on a lollipop!\Uh, no... Actually... response:	Mom!
context: Unbelievable!\Dammit... We should be okay as far as baked goods go,\but what am I going to do about the raw sweets?\What are you looking at?\What's a student doing in my shop?\Go suck on a lollipop!\Uh, no... Actually...\Mom! response:	Wait, wait! That's him!
context: Dammit... We should be okay as far as baked goods go,\but what am I going to do about the raw sweets?\What are you looking at?\What's a student doing in my shop?\Go suck on a lollipop!\Uh, no... Actually...\Mom!\Wait, wait! That's him! response:	He's the temp!
context: but what am I going to do about the raw sweets?\What are you looking at?\What's a student doing in my shop?\Go suck on a lollipop!\Uh, no... Actually...\Mom!\Wait, wait! That's him!\He's the temp! response:	Kosaki...
context: What are you looking at?\What's a student doing in my shop?\Go suck on a lollipop!\Uh, no... Actually...\Mom!\Wait, wait! That's him!\He's the temp!\Kosaki... response:	G-Good morning, Ichijou-kun.
context: What's a student doing in my shop?\Go suck on a lollipop!\Uh, no... Actually...\Mom!\Wait, wait! That's him!\He's the temp!\Kosaki...\G-Good morning, Ichijou-kun. response:	Thanks for coming in today.
context: Go suck on a lollipop!\Uh, no... Actually...\Mom!\Wait, wait! That's him!\He's the temp!\Kosaki...\G-Good morning, Ichijou-kun.\Thanks for coming in today. response:	Th-Thanks for having me.
context: Uh, no... Actually...\Mom!\Wait, wait! That's him!\He's the temp!\Kosaki...\G-Good morning, Ichijou-kun.\Thanks for coming in today.\Th-Thanks for having me. response:	Whoa... That uniform!
context: Mom!\Wait, wait! That's him!\He's the temp!\Kosaki...\G-Good morning, Ichijou-kun.\Thanks for coming in today.\Th-Thanks for having me.\Whoa... That uniform! response:	She is one cute shopgirl!
context: Wait, wait! That's him!\He's the temp!\Kosaki...\G-Good morning, Ichijou-kun.\Thanks for coming in today.\Th-Thanks for having me.\Whoa... That uniform!\She is one cute shopgirl! response:	He's the guy?
context: He's the temp!\Kosaki...\G-Good morning, Ichijou-kun.\Thanks for coming in today.\Th-Thanks for having me.\Whoa... That uniform!\She is one cute shopgirl!\He's the guy? response:	I was wondering who it could be when you said you knew a great cook.
context: Kosaki...\G-Good morning, Ichijou-kun.\Thanks for coming in today.\Th-Thanks for having me.\Whoa... That uniform!\She is one cute shopgirl!\He's the guy?\I was wondering who it could be when you said you knew a great cook. response:	But it's just one of your classmates?
context: G-Good morning, Ichijou-kun.\Thanks for coming in today.\Th-Thanks for having me.\Whoa... That uniform!\She is one cute shopgirl!\He's the guy?\I was wondering who it could be when you said you knew a great cook.\But it's just one of your classmates? response:	Not to mention, he's kind of a bean sprout.
context: Thanks for coming in today.\Th-Thanks for having me.\Whoa... That uniform!\She is one cute shopgirl!\He's the guy?\I was wondering who it could be when you said you knew a great cook.\But it's just one of your classmates?\Not to mention, he's kind of a bean sprout. response:	Kosaki.
context: Th-Thanks for having me.\Whoa... That uniform!\She is one cute shopgirl!\He's the guy?\I was wondering who it could be when you said you knew a great cook.\But it's just one of your classmates?\Not to mention, he's kind of a bean sprout.\Kosaki. response:	What I was looking for was someone who I could throw to the dogs with no problem, you know?
context: Whoa... That uniform!\She is one cute shopgirl!\He's the guy?\I was wondering who it could be when you said you knew a great cook.\But it's just one of your classmates?\Not to mention, he's kind of a bean sprout.\Kosaki.\What I was looking for was someone who I could throw to the dogs with no problem, you know? response:	Ordinarily, the kitchen is a professional's sacred realm.
context: She is one cute shopgirl!\He's the guy?\I was wondering who it could be when you said you knew a great cook.\But it's just one of your classmates?\Not to mention, he's kind of a bean sprout.\Kosaki.\What I was looking for was someone who I could throw to the dogs with no problem, you know?\Ordinarily, the kitchen is a professional's sacred realm. response:	To even think that a mere high school student can cook...
context: He's the guy?\I was wondering who it could be when you said you knew a great cook.\But it's just one of your classmates?\Not to mention, he's kind of a bean sprout.\Kosaki.\What I was looking for was someone who I could throw to the dogs with no problem, you know?\Ordinarily, the kitchen is a professional's sacred realm.\To even think that a mere high school student can cook... response:	But Ichijou-kun's not like that at all!
context: I was wondering who it could be when you said you knew a great cook.\But it's just one of your classmates?\Not to mention, he's kind of a bean sprout.\Kosaki.\What I was looking for was someone who I could throw to the dogs with no problem, you know?\Ordinarily, the kitchen is a professional's sacred realm.\To even think that a mere high school student can cook...\But Ichijou-kun's not like that at all! response:	I'll have you know that Ichijou-kun cooks his family's meals by himself, every single day!
context: But it's just one of your classmates?\Not to mention, he's kind of a bean sprout.\Kosaki.\What I was looking for was someone who I could throw to the dogs with no problem, you know?\Ordinarily, the kitchen is a professional's sacred realm.\To even think that a mere high school student can cook...\But Ichijou-kun's not like that at all!\I'll have you know that Ichijou-kun cooks his family's meals by himself, every single day! response:	And we're talking about a ton of food!
context: Not to mention, he's kind of a bean sprout.\Kosaki.\What I was looking for was someone who I could throw to the dogs with no problem, you know?\Ordinarily, the kitchen is a professional's sacred realm.\To even think that a mere high school student can cook...\But Ichijou-kun's not like that at all!\I'll have you know that Ichijou-kun cooks his family's meals by himself, every single day!\And we're talking about a ton of food! response:	Um... Enough for dozens of people, all by himself!
context: Kosaki.\What I was looking for was someone who I could throw to the dogs with no problem, you know?\Ordinarily, the kitchen is a professional's sacred realm.\To even think that a mere high school student can cook...\But Ichijou-kun's not like that at all!\I'll have you know that Ichijou-kun cooks his family's meals by himself, every single day!\And we're talking about a ton of food!\Um... Enough for dozens of people, all by himself! response:	Well, if you insist...
context: What I was looking for was someone who I could throw to the dogs with no problem, you know?\Ordinarily, the kitchen is a professional's sacred realm.\To even think that a mere high school student can cook...\But Ichijou-kun's not like that at all!\I'll have you know that Ichijou-kun cooks his family's meals by himself, every single day!\And we're talking about a ton of food!\Um... Enough for dozens of people, all by himself!\Well, if you insist... response:	Why don't you whip something up, then?
context: Ordinarily, the kitchen is a professional's sacred realm.\To even think that a mere high school student can cook...\But Ichijou-kun's not like that at all!\I'll have you know that Ichijou-kun cooks his family's meals by himself, every single day!\And we're talking about a ton of food!\Um... Enough for dozens of people, all by himself!\Well, if you insist...\Why don't you whip something up, then? response:	I'll determine whether or not you're up to the job.
context: To even think that a mere high school student can cook...\But Ichijou-kun's not like that at all!\I'll have you know that Ichijou-kun cooks his family's meals by himself, every single day!\And we're talking about a ton of food!\Um... Enough for dozens of people, all by himself!\Well, if you insist...\Why don't you whip something up, then?\I'll determine whether or not you're up to the job. response:	If it's no good, I'll send you packing. Got it?
context: But Ichijou-kun's not like that at all!\I'll have you know that Ichijou-kun cooks his family's meals by himself, every single day!\And we're talking about a ton of food!\Um... Enough for dozens of people, all by himself!\Well, if you insist...\Why don't you whip something up, then?\I'll determine whether or not you're up to the job.\If it's no good, I'll send you packing. Got it? response:	What?! Just like that?
context: I'll have you know that Ichijou-kun cooks his family's meals by himself, every single day!\And we're talking about a ton of food!\Um... Enough for dozens of people, all by himself!\Well, if you insist...\Why don't you whip something up, then?\I'll determine whether or not you're up to the job.\If it's no good, I'll send you packing. Got it?\What?! Just like that? response:	Well, I did take a crash course in Japanese sweets,
context: And we're talking about a ton of food!\Um... Enough for dozens of people, all by himself!\Well, if you insist...\Why don't you whip something up, then?\I'll determine whether or not you're up to the job.\If it's no good, I'll send you packing. Got it?\What?! Just like that?\Well, I did take a crash course in Japanese sweets, response:	but that doesn't mean I can pass...
context: Um... Enough for dozens of people, all by himself!\Well, if you insist...\Why don't you whip something up, then?\I'll determine whether or not you're up to the job.\If it's no good, I'll send you packing. Got it?\What?! Just like that?\Well, I did take a crash course in Japanese sweets,\but that doesn't mean I can pass... response:	Give it all you've got, Ichijou-kun!
context: Well, if you insist...\Why don't you whip something up, then?\I'll determine whether or not you're up to the job.\If it's no good, I'll send you packing. Got it?\What?! Just like that?\Well, I did take a crash course in Japanese sweets,\but that doesn't mean I can pass...\Give it all you've got, Ichijou-kun! response:	Let's see, next is...
context: Why don't you whip something up, then?\I'll determine whether or not you're up to the job.\If it's no good, I'll send you packing. Got it?\What?! Just like that?\Well, I did take a crash course in Japanese sweets,\but that doesn't mean I can pass...\Give it all you've got, Ichijou-kun!\Let's see, next is... response:	He's wiping the condensation off the bowl to be thorough.
context: I'll determine whether or not you're up to the job.\If it's no good, I'll send you packing. Got it?\What?! Just like that?\Well, I did take a crash course in Japanese sweets,\but that doesn't mean I can pass...\Give it all you've got, Ichijou-kun!\Let's see, next is...\He's wiping the condensation off the bowl to be thorough. response:	It looks like he doesn't have a clue about Japanese sweets,
context: If it's no good, I'll send you packing. Got it?\What?! Just like that?\Well, I did take a crash course in Japanese sweets,\but that doesn't mean I can pass...\Give it all you've got, Ichijou-kun!\Let's see, next is...\He's wiping the condensation off the bowl to be thorough.\It looks like he doesn't have a clue about Japanese sweets, response:	but he's no newbie when it comes to cooking.
context: What?! Just like that?\Well, I did take a crash course in Japanese sweets,\but that doesn't mean I can pass...\Give it all you've got, Ichijou-kun!\Let's see, next is...\He's wiping the condensation off the bowl to be thorough.\It looks like he doesn't have a clue about Japanese sweets,\but he's no newbie when it comes to cooking. response:	Uh... I'm done.
context: Well, I did take a crash course in Japanese sweets,\but that doesn't mean I can pass...\Give it all you've got, Ichijou-kun!\Let's see, next is...\He's wiping the condensation off the bowl to be thorough.\It looks like he doesn't have a clue about Japanese sweets,\but he's no newbie when it comes to cooking.\Uh... I'm done. response:	Uh...
context: but that doesn't mean I can pass...\Give it all you've got, Ichijou-kun!\Let's see, next is...\He's wiping the condensation off the bowl to be thorough.\It looks like he doesn't have a clue about Japanese sweets,\but he's no newbie when it comes to cooking.\Uh... I'm done.\Uh... response:	Did you say your name was Ichijou-kun?
context: Give it all you've got, Ichijou-kun!\Let's see, next is...\He's wiping the condensation off the bowl to be thorough.\It looks like he doesn't have a clue about Japanese sweets,\but he's no newbie when it comes to cooking.\Uh... I'm done.\Uh...\Did you say your name was Ichijou-kun? response:	Yes...
context: Let's see, next is...\He's wiping the condensation off the bowl to be thorough.\It looks like he doesn't have a clue about Japanese sweets,\but he's no newbie when it comes to cooking.\Uh... I'm done.\Uh...\Did you say your name was Ichijou-kun?\Yes... response:	All right. Marry my daughter!
context: He's wiping the condensation off the bowl to be thorough.\It looks like he doesn't have a clue about Japanese sweets,\but he's no newbie when it comes to cooking.\Uh... I'm done.\Uh...\Did you say your name was Ichijou-kun?\Yes...\All right. Marry my daughter! response:	Hey, at first I wasn't so sure,
context: It looks like he doesn't have a clue about Japanese sweets,\but he's no newbie when it comes to cooking.\Uh... I'm done.\Uh...\Did you say your name was Ichijou-kun?\Yes...\All right. Marry my daughter!\Hey, at first I wasn't so sure, response:	but you brought home a surprisingly worthy man, didn't you?
context: but he's no newbie when it comes to cooking.\Uh... I'm done.\Uh...\Did you say your name was Ichijou-kun?\Yes...\All right. Marry my daughter!\Hey, at first I wasn't so sure,\but you brought home a surprisingly worthy man, didn't you? response:	Man?!
context: Uh... I'm done.\Uh...\Did you say your name was Ichijou-kun?\Yes...\All right. Marry my daughter!\Hey, at first I wasn't so sure,\but you brought home a surprisingly worthy man, didn't you?\Man?! response:	Ichijou-kun's not really that kind of
context: Uh...\Did you say your name was Ichijou-kun?\Yes...\All right. Marry my daughter!\Hey, at first I wasn't so sure,\but you brought home a surprisingly worthy man, didn't you?\Man?!\Ichijou-kun's not really that kind of response:	You're always spacing out, so I was starting to worry!
context: Did you say your name was Ichijou-kun?\Yes...\All right. Marry my daughter!\Hey, at first I wasn't so sure,\but you brought home a surprisingly worthy man, didn't you?\Man?!\Ichijou-kun's not really that kind of\You're always spacing out, so I was starting to worry! response:	But this kid, he's got what it takes,
context: Yes...\All right. Marry my daughter!\Hey, at first I wasn't so sure,\but you brought home a surprisingly worthy man, didn't you?\Man?!\Ichijou-kun's not really that kind of\You're always spacing out, so I was starting to worry!\But this kid, he's got what it takes, response:	and he'll make a great heir to the family business, don't you think?
context: All right. Marry my daughter!\Hey, at first I wasn't so sure,\but you brought home a surprisingly worthy man, didn't you?\Man?!\Ichijou-kun's not really that kind of\You're always spacing out, so I was starting to worry!\But this kid, he's got what it takes,\and he'll make a great heir to the family business, don't you think? response:	I told you, it's not like that!
context: Hey, at first I wasn't so sure,\but you brought home a surprisingly worthy man, didn't you?\Man?!\Ichijou-kun's not really that kind of\You're always spacing out, so I was starting to worry!\But this kid, he's got what it takes,\and he'll make a great heir to the family business, don't you think?\I told you, it's not like that! response:	Well, we can talk about it later.
context: but you brought home a surprisingly worthy man, didn't you?\Man?!\Ichijou-kun's not really that kind of\You're always spacing out, so I was starting to worry!\But this kid, he's got what it takes,\and he'll make a great heir to the family business, don't you think?\I told you, it's not like that!\Well, we can talk about it later. response:	I guess I can kind of trust him now.
context: Man?!\Ichijou-kun's not really that kind of\You're always spacing out, so I was starting to worry!\But this kid, he's got what it takes,\and he'll make a great heir to the family business, don't you think?\I told you, it's not like that!\Well, we can talk about it later.\I guess I can kind of trust him now. response:	Kosaki, show him how to make bean jam paste and the easiest sweets.
context: Ichijou-kun's not really that kind of\You're always spacing out, so I was starting to worry!\But this kid, he's got what it takes,\and he'll make a great heir to the family business, don't you think?\I told you, it's not like that!\Well, we can talk about it later.\I guess I can kind of trust him now.\Kosaki, show him how to make bean jam paste and the easiest sweets. response:	I'll be in the shop till noon.
context: You're always spacing out, so I was starting to worry!\But this kid, he's got what it takes,\and he'll make a great heir to the family business, don't you think?\I told you, it's not like that!\Well, we can talk about it later.\I guess I can kind of trust him now.\Kosaki, show him how to make bean jam paste and the easiest sweets.\I'll be in the shop till noon. response:	But really, you...
context: But this kid, he's got what it takes,\and he'll make a great heir to the family business, don't you think?\I told you, it's not like that!\Well, we can talk about it later.\I guess I can kind of trust him now.\Kosaki, show him how to make bean jam paste and the easiest sweets.\I'll be in the shop till noon.\But really, you... response:	You should see your face when you're in front of a guy!
context: and he'll make a great heir to the family business, don't you think?\I told you, it's not like that!\Well, we can talk about it later.\I guess I can kind of trust him now.\Kosaki, show him how to make bean jam paste and the easiest sweets.\I'll be in the shop till noon.\But really, you...\You should see your face when you're in front of a guy! response:	Not only that, but to took this opportunity to introduce me to a guy.
context: I told you, it's not like that!\Well, we can talk about it later.\I guess I can kind of trust him now.\Kosaki, show him how to make bean jam paste and the easiest sweets.\I'll be in the shop till noon.\But really, you...\You should see your face when you're in front of a guy!\Not only that, but to took this opportunity to introduce me to a guy. response:	My little Kosaki...
