context: End Card Illustration: tanu response:	When you're with Tsutsugami Gai,
context: He's still sleeping.\I don't know if it's due to the shock of having his Void used,\but he shows no sign of waking.\I see.\In that case, I'll formally reintroduce him.\This is Ouma Shu. He has the Void Genome.\We'll be placing Shu at the core of our strategies henceforth.\Now that he's joined us and we've acquired Kido Kenji, response:	taking the Leucocyte.
context: I don't know if it's due to the shock of having his Void used,\but he shows no sign of waking.\I see.\In that case, I'll formally reintroduce him.\This is Ouma Shu. He has the Void Genome.\We'll be placing Shu at the core of our strategies henceforth.\Now that he's joined us and we've acquired Kido Kenji,\taking the Leucocyte. response:	Leucocyte?
context: but he shows no sign of waking.\I see.\In that case, I'll formally reintroduce him.\This is Ouma Shu. He has the Void Genome.\We'll be placing Shu at the core of our strategies henceforth.\Now that he's joined us and we've acquired Kido Kenji,\taking the Leucocyte.\Leucocyte? response:	This is the proposed plan.
context: I see.\In that case, I'll formally reintroduce him.\This is Ouma Shu. He has the Void Genome.\We'll be placing Shu at the core of our strategies henceforth.\Now that he's joined us and we've acquired Kido Kenji,\taking the Leucocyte.\Leucocyte?\This is the proposed plan. response:	Depending on the situation on the ground, there are 145 diverging patterns it could take.
context: In that case, I'll formally reintroduce him.\This is Ouma Shu. He has the Void Genome.\We'll be placing Shu at the core of our strategies henceforth.\Now that he's joined us and we've acquired Kido Kenji,\taking the Leucocyte.\Leucocyte?\This is the proposed plan.\Depending on the situation on the ground, there are 145 diverging patterns it could take. response:	You will all memorize every last one of them by the time we begin the operation.
context: This is Ouma Shu. He has the Void Genome.\We'll be placing Shu at the core of our strategies henceforth.\Now that he's joined us and we've acquired Kido Kenji,\taking the Leucocyte.\Leucocyte?\This is the proposed plan.\Depending on the situation on the ground, there are 145 diverging patterns it could take.\You will all memorize every last one of them by the time we begin the operation. response:	How much time?
context: We'll be placing Shu at the core of our strategies henceforth.\Now that he's joined us and we've acquired Kido Kenji,\taking the Leucocyte.\Leucocyte?\This is the proposed plan.\Depending on the situation on the ground, there are 145 diverging patterns it could take.\You will all memorize every last one of them by the time we begin the operation.\How much time? response:	Three days.
context: Now that he's joined us and we've acquired Kido Kenji,\taking the Leucocyte.\Leucocyte?\This is the proposed plan.\Depending on the situation on the ground, there are 145 diverging patterns it could take.\You will all memorize every last one of them by the time we begin the operation.\How much time?\Three days. response:	If you can't even manage that, don't participate.
context: taking the Leucocyte.\Leucocyte?\This is the proposed plan.\Depending on the situation on the ground, there are 145 diverging patterns it could take.\You will all memorize every last one of them by the time we begin the operation.\How much time?\Three days.\If you can't even manage that, don't participate. response:	It hasn't even been a full day since our raid on the isolation facility.
context: Leucocyte?\This is the proposed plan.\Depending on the situation on the ground, there are 145 diverging patterns it could take.\You will all memorize every last one of them by the time we begin the operation.\How much time?\Three days.\If you can't even manage that, don't participate.\It hasn't even been a full day since our raid on the isolation facility. response:	Fatigue is a concern.
context: This is the proposed plan.\Depending on the situation on the ground, there are 145 diverging patterns it could take.\You will all memorize every last one of them by the time we begin the operation.\How much time?\Three days.\If you can't even manage that, don't participate.\It hasn't even been a full day since our raid on the isolation facility.\Fatigue is a concern. response:	No, it's not.
context: Depending on the situation on the ground, there are 145 diverging patterns it could take.\You will all memorize every last one of them by the time we begin the operation.\How much time?\Three days.\If you can't even manage that, don't participate.\It hasn't even been a full day since our raid on the isolation facility.\Fatigue is a concern.\No, it's not. response:	What did you people come here for?
context: You will all memorize every last one of them by the time we begin the operation.\How much time?\Three days.\If you can't even manage that, don't participate.\It hasn't even been a full day since our raid on the isolation facility.\Fatigue is a concern.\No, it's not.\What did you people come here for? response:	I doubt it was for a pleasant nap!
context: How much time?\Three days.\If you can't even manage that, don't participate.\It hasn't even been a full day since our raid on the isolation facility.\Fatigue is a concern.\No, it's not.\What did you people come here for?\I doubt it was for a pleasant nap! response:	Do you plan to waltz into the enemy's line of fire while bleary-eyed from sleep?
context: Three days.\If you can't even manage that, don't participate.\It hasn't even been a full day since our raid on the isolation facility.\Fatigue is a concern.\No, it's not.\What did you people come here for?\I doubt it was for a pleasant nap!\Do you plan to waltz into the enemy's line of fire while bleary-eyed from sleep? response:	Ayase.
context: If you can't even manage that, don't participate.\It hasn't even been a full day since our raid on the isolation facility.\Fatigue is a concern.\No, it's not.\What did you people come here for?\I doubt it was for a pleasant nap!\Do you plan to waltz into the enemy's line of fire while bleary-eyed from sleep?\Ayase. response:	Yes?
context: It hasn't even been a full day since our raid on the isolation facility.\Fatigue is a concern.\No, it's not.\What did you people come here for?\I doubt it was for a pleasant nap!\Do you plan to waltz into the enemy's line of fire while bleary-eyed from sleep?\Ayase.\Yes? response:	You'll be responsible
context: Fatigue is a concern.\No, it's not.\What did you people come here for?\I doubt it was for a pleasant nap!\Do you plan to waltz into the enemy's line of fire while bleary-eyed from sleep?\Ayase.\Yes?\You'll be responsible response:	for giving him enough basic training to keep up on this mission.
context: No, it's not.\What did you people come here for?\I doubt it was for a pleasant nap!\Do you plan to waltz into the enemy's line of fire while bleary-eyed from sleep?\Ayase.\Yes?\You'll be responsible\for giving him enough basic training to keep up on this mission. response:	Me, Sir?
context: What did you people come here for?\I doubt it was for a pleasant nap!\Do you plan to waltz into the enemy's line of fire while bleary-eyed from sleep?\Ayase.\Yes?\You'll be responsible\for giving him enough basic training to keep up on this mission.\Me, Sir? response:	He'll only get in our way as he is now.
context: I doubt it was for a pleasant nap!\Do you plan to waltz into the enemy's line of fire while bleary-eyed from sleep?\Ayase.\Yes?\You'll be responsible\for giving him enough basic training to keep up on this mission.\Me, Sir?\He'll only get in our way as he is now. response:	If you value your own life, you'll do it.
context: Do you plan to waltz into the enemy's line of fire while bleary-eyed from sleep?\Ayase.\Yes?\You'll be responsible\for giving him enough basic training to keep up on this mission.\Me, Sir?\He'll only get in our way as he is now.\If you value your own life, you'll do it. response:	Um, you don't have to bother with me, really.
context: Ayase.\Yes?\You'll be responsible\for giving him enough basic training to keep up on this mission.\Me, Sir?\He'll only get in our way as he is now.\If you value your own life, you'll do it.\Um, you don't have to bother with me, really. response:	I'd feel awful causing trouble for a girl in a wheelchair, too.
context: Yes?\You'll be responsible\for giving him enough basic training to keep up on this mission.\Me, Sir?\He'll only get in our way as he is now.\If you value your own life, you'll do it.\Um, you don't have to bother with me, really.\I'd feel awful causing trouble for a girl in a wheelchair, too. response:	My, you're very kind, Ouma.
context: You'll be responsible\for giving him enough basic training to keep up on this mission.\Me, Sir?\He'll only get in our way as he is now.\If you value your own life, you'll do it.\Um, you don't have to bother with me, really.\I'd feel awful causing trouble for a girl in a wheelchair, too.\My, you're very kind, Ouma. response:	You can... call me Shu...
context: for giving him enough basic training to keep up on this mission.\Me, Sir?\He'll only get in our way as he is now.\If you value your own life, you'll do it.\Um, you don't have to bother with me, really.\I'd feel awful causing trouble for a girl in a wheelchair, too.\My, you're very kind, Ouma.\You can... call me Shu... response:	This wheelchair is something that makes me who I am.
context: Me, Sir?\He'll only get in our way as he is now.\If you value your own life, you'll do it.\Um, you don't have to bother with me, really.\I'd feel awful causing trouble for a girl in a wheelchair, too.\My, you're very kind, Ouma.\You can... call me Shu...\This wheelchair is something that makes me who I am. response:	I don't need your consideration. Understand?
context: He'll only get in our way as he is now.\If you value your own life, you'll do it.\Um, you don't have to bother with me, really.\I'd feel awful causing trouble for a girl in a wheelchair, too.\My, you're very kind, Ouma.\You can... call me Shu...\This wheelchair is something that makes me who I am.\I don't need your consideration. Understand? response:	Hey, are you serious about jumping?
context: If you value your own life, you'll do it.\Um, you don't have to bother with me, really.\I'd feel awful causing trouble for a girl in a wheelchair, too.\My, you're very kind, Ouma.\You can... call me Shu...\This wheelchair is something that makes me who I am.\I don't need your consideration. Understand?\Hey, are you serious about jumping? response:	It'll be fine!
context: Um, you don't have to bother with me, really.\I'd feel awful causing trouble for a girl in a wheelchair, too.\My, you're very kind, Ouma.\You can... call me Shu...\This wheelchair is something that makes me who I am.\I don't need your consideration. Understand?\Hey, are you serious about jumping?\It'll be fine! response:	Come on, just get over here! Believe in me!
context: I'd feel awful causing trouble for a girl in a wheelchair, too.\My, you're very kind, Ouma.\You can... call me Shu...\This wheelchair is something that makes me who I am.\I don't need your consideration. Understand?\Hey, are you serious about jumping?\It'll be fine!\Come on, just get over here! Believe in me! response:	What was...
context: My, you're very kind, Ouma.\You can... call me Shu...\This wheelchair is something that makes me who I am.\I don't need your consideration. Understand?\Hey, are you serious about jumping?\It'll be fine!\Come on, just get over here! Believe in me!\What was... response:	My clothes and the pen are both gone...
context: You can... call me Shu...\This wheelchair is something that makes me who I am.\I don't need your consideration. Understand?\Hey, are you serious about jumping?\It'll be fine!\Come on, just get over here! Believe in me!\What was...\My clothes and the pen are both gone... response:	Ew!
context: This wheelchair is something that makes me who I am.\I don't need your consideration. Understand?\Hey, are you serious about jumping?\It'll be fine!\Come on, just get over here! Believe in me!\What was...\My clothes and the pen are both gone...\Ew! response:	Your training starts now, got it?
context: I don't need your consideration. Understand?\Hey, are you serious about jumping?\It'll be fine!\Come on, just get over here! Believe in me!\What was...\My clothes and the pen are both gone...\Ew!\Your training starts now, got it? response:	No more sleeping in. Prepare yourself!
context: Hey, are you serious about jumping?\It'll be fine!\Come on, just get over here! Believe in me!\What was...\My clothes and the pen are both gone...\Ew!\Your training starts now, got it?\No more sleeping in. Prepare yourself! response:	I said you didn't have to...
context: It'll be fine!\Come on, just get over here! Believe in me!\What was...\My clothes and the pen are both gone...\Ew!\Your training starts now, got it?\No more sleeping in. Prepare yourself!\I said you didn't have to... response:	I don't like this either!
context: Come on, just get over here! Believe in me!\What was...\My clothes and the pen are both gone...\Ew!\Your training starts now, got it?\No more sleeping in. Prepare yourself!\I said you didn't have to...\I don't like this either! response:	I'm only doing it because Gai said to.
context: What was...\My clothes and the pen are both gone...\Ew!\Your training starts now, got it?\No more sleeping in. Prepare yourself!\I said you didn't have to...\I don't like this either!\I'm only doing it because Gai said to. response:	Why did you even want to join the Undertakers, anyway?
context: My clothes and the pen are both gone...\Ew!\Your training starts now, got it?\No more sleeping in. Prepare yourself!\I said you didn't have to...\I don't like this either!\I'm only doing it because Gai said to.\Why did you even want to join the Undertakers, anyway? response:	You're a laughably bad fit for us.
context: Ew!\Your training starts now, got it?\No more sleeping in. Prepare yourself!\I said you didn't have to...\I don't like this either!\I'm only doing it because Gai said to.\Why did you even want to join the Undertakers, anyway?\You're a laughably bad fit for us. response:	That's...
context: Your training starts now, got it?\No more sleeping in. Prepare yourself!\I said you didn't have to...\I don't like this either!\I'm only doing it because Gai said to.\Why did you even want to join the Undertakers, anyway?\You're a laughably bad fit for us.\That's... response:	What are you looking at?
context: No more sleeping in. Prepare yourself!\I said you didn't have to...\I don't like this either!\I'm only doing it because Gai said to.\Why did you even want to join the Undertakers, anyway?\You're a laughably bad fit for us.\That's...\What are you looking at? response:	This?
context: I said you didn't have to...\I don't like this either!\I'm only doing it because Gai said to.\Why did you even want to join the Undertakers, anyway?\You're a laughably bad fit for us.\That's...\What are you looking at?\This? response:	Where did you get that? It looks nice.
context: I don't like this either!\I'm only doing it because Gai said to.\Why did you even want to join the Undertakers, anyway?\You're a laughably bad fit for us.\That's...\What are you looking at?\This?\Where did you get that? It looks nice. response:	I found it.
context: I'm only doing it because Gai said to.\Why did you even want to join the Undertakers, anyway?\You're a laughably bad fit for us.\That's...\What are you looking at?\This?\Where did you get that? It looks nice.\I found it. response:	Don't tell me it's yours?
context: Why did you even want to join the Undertakers, anyway?\You're a laughably bad fit for us.\That's...\What are you looking at?\This?\Where did you get that? It looks nice.\I found it.\Don't tell me it's yours? response:	Well, yes.
context: You're a laughably bad fit for us.\That's...\What are you looking at?\This?\Where did you get that? It looks nice.\I found it.\Don't tell me it's yours?\Well, yes. response:	Could I have it back?
context: That's...\What are you looking at?\This?\Where did you get that? It looks nice.\I found it.\Don't tell me it's yours?\Well, yes.\Could I have it back? response:	Nope.
context: What are you looking at?\This?\Where did you get that? It looks nice.\I found it.\Don't tell me it's yours?\Well, yes.\Could I have it back?\Nope. response:	Oh, wait, I've got a great idea.
context: This?\Where did you get that? It looks nice.\I found it.\Don't tell me it's yours?\Well, yes.\Could I have it back?\Nope.\Oh, wait, I've got a great idea. response:	We're planning to test you in a week to see if you've got what it takes to be in the Undertakers.
context: Where did you get that? It looks nice.\I found it.\Don't tell me it's yours?\Well, yes.\Could I have it back?\Nope.\Oh, wait, I've got a great idea.\We're planning to test you in a week to see if you've got what it takes to be in the Undertakers. response:	I'll let you have this back if you pass.
context: I found it.\Don't tell me it's yours?\Well, yes.\Could I have it back?\Nope.\Oh, wait, I've got a great idea.\We're planning to test you in a week to see if you've got what it takes to be in the Undertakers.\I'll let you have this back if you pass. response:	I'm Tsukishima Argo, a second year at Ryusen High. What's your name?
context: Don't tell me it's yours?\Well, yes.\Could I have it back?\Nope.\Oh, wait, I've got a great idea.\We're planning to test you in a week to see if you've got what it takes to be in the Undertakers.\I'll let you have this back if you pass.\I'm Tsukishima Argo, a second year at Ryusen High. What's your name? response:	It's Ouma Shu.
context: Well, yes.\Could I have it back?\Nope.\Oh, wait, I've got a great idea.\We're planning to test you in a week to see if you've got what it takes to be in the Undertakers.\I'll let you have this back if you pass.\I'm Tsukishima Argo, a second year at Ryusen High. What's your name?\It's Ouma Shu. response:	I know that.
context: Could I have it back?\Nope.\Oh, wait, I've got a great idea.\We're planning to test you in a week to see if you've got what it takes to be in the Undertakers.\I'll let you have this back if you pass.\I'm Tsukishima Argo, a second year at Ryusen High. What's your name?\It's Ouma Shu.\I know that. response:	Come at me like you're really trying to kill me.
context: Nope.\Oh, wait, I've got a great idea.\We're planning to test you in a week to see if you've got what it takes to be in the Undertakers.\I'll let you have this back if you pass.\I'm Tsukishima Argo, a second year at Ryusen High. What's your name?\It's Ouma Shu.\I know that.\Come at me like you're really trying to kill me. response:	This is real, right?
context: Oh, wait, I've got a great idea.\We're planning to test you in a week to see if you've got what it takes to be in the Undertakers.\I'll let you have this back if you pass.\I'm Tsukishima Argo, a second year at Ryusen High. What's your name?\It's Ouma Shu.\I know that.\Come at me like you're really trying to kill me.\This is real, right? response:	Yeah. And?
context: We're planning to test you in a week to see if you've got what it takes to be in the Undertakers.\I'll let you have this back if you pass.\I'm Tsukishima Argo, a second year at Ryusen High. What's your name?\It's Ouma Shu.\I know that.\Come at me like you're really trying to kill me.\This is real, right?\Yeah. And? response:	The title of an Undertaker is a heavy one.
context: I'll let you have this back if you pass.\I'm Tsukishima Argo, a second year at Ryusen High. What's your name?\It's Ouma Shu.\I know that.\Come at me like you're really trying to kill me.\This is real, right?\Yeah. And?\The title of an Undertaker is a heavy one. response:	Don't let this scare you!
context: I'm Tsukishima Argo, a second year at Ryusen High. What's your name?\It's Ouma Shu.\I know that.\Come at me like you're really trying to kill me.\This is real, right?\Yeah. And?\The title of an Undertaker is a heavy one.\Don't let this scare you! response:	Heartbeat soaring dangerously high.
context: It's Ouma Shu.\I know that.\Come at me like you're really trying to kill me.\This is real, right?\Yeah. And?\The title of an Undertaker is a heavy one.\Don't let this scare you!\Heartbeat soaring dangerously high. response:	Man, do you ever exercise?
context: I know that.\Come at me like you're really trying to kill me.\This is real, right?\Yeah. And?\The title of an Undertaker is a heavy one.\Don't let this scare you!\Heartbeat soaring dangerously high.\Man, do you ever exercise? response:	I'm more into cultural stuff!
context: Come at me like you're really trying to kill me.\This is real, right?\Yeah. And?\The title of an Undertaker is a heavy one.\Don't let this scare you!\Heartbeat soaring dangerously high.\Man, do you ever exercise?\I'm more into cultural stuff! response:	This might be heavy.
context: This is real, right?\Yeah. And?\The title of an Undertaker is a heavy one.\Don't let this scare you!\Heartbeat soaring dangerously high.\Man, do you ever exercise?\I'm more into cultural stuff!\This might be heavy. response:	What do you think of him, Ogumo?
context: Yeah. And?\The title of an Undertaker is a heavy one.\Don't let this scare you!\Heartbeat soaring dangerously high.\Man, do you ever exercise?\I'm more into cultural stuff!\This might be heavy.\What do you think of him, Ogumo? response:	He might be hopeless.
context: The title of an Undertaker is a heavy one.\Don't let this scare you!\Heartbeat soaring dangerously high.\Man, do you ever exercise?\I'm more into cultural stuff!\This might be heavy.\What do you think of him, Ogumo?\He might be hopeless. response:	She's really good at this sort of stuff.
context: Don't let this scare you!\Heartbeat soaring dangerously high.\Man, do you ever exercise?\I'm more into cultural stuff!\This might be heavy.\What do you think of him, Ogumo?\He might be hopeless.\She's really good at this sort of stuff. response:	You're going to try to be this good, too.
context: Heartbeat soaring dangerously high.\Man, do you ever exercise?\I'm more into cultural stuff!\This might be heavy.\What do you think of him, Ogumo?\He might be hopeless.\She's really good at this sort of stuff.\You're going to try to be this good, too. response:	Huh?
context: Man, do you ever exercise?\I'm more into cultural stuff!\This might be heavy.\What do you think of him, Ogumo?\He might be hopeless.\She's really good at this sort of stuff.\You're going to try to be this good, too.\Huh? response:	What do I do? Is this right?
context: I'm more into cultural stuff!\This might be heavy.\What do you think of him, Ogumo?\He might be hopeless.\She's really good at this sort of stuff.\You're going to try to be this good, too.\Huh?\What do I do? Is this right? response:	No.
context: This might be heavy.\What do you think of him, Ogumo?\He might be hopeless.\She's really good at this sort of stuff.\You're going to try to be this good, too.\Huh?\What do I do? Is this right?\No. response:	The slide will skin your hand like that.
context: What do you think of him, Ogumo?\He might be hopeless.\She's really good at this sort of stuff.\You're going to try to be this good, too.\Huh?\What do I do? Is this right?\No.\The slide will skin your hand like that. response:	Put your thumb more like...
context: He might be hopeless.\She's really good at this sort of stuff.\You're going to try to be this good, too.\Huh?\What do I do? Is this right?\No.\The slide will skin your hand like that.\Put your thumb more like... response:	Don't get too close to me.
context: She's really good at this sort of stuff.\You're going to try to be this good, too.\Huh?\What do I do? Is this right?\No.\The slide will skin your hand like that.\Put your thumb more like...\Don't get too close to me. response:	S-Sorry.
context: You're going to try to be this good, too.\Huh?\What do I do? Is this right?\No.\The slide will skin your hand like that.\Put your thumb more like...\Don't get too close to me.\S-Sorry. response:	Hello!
context: Huh?\What do I do? Is this right?\No.\The slide will skin your hand like that.\Put your thumb more like...\Don't get too close to me.\S-Sorry.\Hello! response:	Pervy Brat Ouma Shu
context: What do I do? Is this right?\No.\The slide will skin your hand like that.\Put your thumb more like...\Don't get too close to me.\S-Sorry.\Hello!\Pervy Brat Ouma Shu response:	The Leucocyte Plan seems to be coming along nicely.
context: No.\The slide will skin your hand like that.\Put your thumb more like...\Don't get too close to me.\S-Sorry.\Hello!\Pervy Brat Ouma Shu\The Leucocyte Plan seems to be coming along nicely. response:	The Invisible Cage... I'm fond of perverse tastes like that.
context: The slide will skin your hand like that.\Put your thumb more like...\Don't get too close to me.\S-Sorry.\Hello!\Pervy Brat Ouma Shu\The Leucocyte Plan seems to be coming along nicely.\The Invisible Cage... I'm fond of perverse tastes like that. response:	Enough smart remarks. How is the wedge you sent to divide them?
context: Put your thumb more like...\Don't get too close to me.\S-Sorry.\Hello!\Pervy Brat Ouma Shu\The Leucocyte Plan seems to be coming along nicely.\The Invisible Cage... I'm fond of perverse tastes like that.\Enough smart remarks. How is the wedge you sent to divide them? response:	The chances that he'll do it are fifty-fifty.
context: Don't get too close to me.\S-Sorry.\Hello!\Pervy Brat Ouma Shu\The Leucocyte Plan seems to be coming along nicely.\The Invisible Cage... I'm fond of perverse tastes like that.\Enough smart remarks. How is the wedge you sent to divide them?\The chances that he'll do it are fifty-fifty. response:	Argo, Shu, here you go.
context: S-Sorry.\Hello!\Pervy Brat Ouma Shu\The Leucocyte Plan seems to be coming along nicely.\The Invisible Cage... I'm fond of perverse tastes like that.\Enough smart remarks. How is the wedge you sent to divide them?\The chances that he'll do it are fifty-fifty.\Argo, Shu, here you go. response:	Thanks.
context: Hello!\Pervy Brat Ouma Shu\The Leucocyte Plan seems to be coming along nicely.\The Invisible Cage... I'm fond of perverse tastes like that.\Enough smart remarks. How is the wedge you sent to divide them?\The chances that he'll do it are fifty-fifty.\Argo, Shu, here you go.\Thanks. response:	Oh, hey, I hear you're gonna be with Gai on this one, huh Kyo?
context: Pervy Brat Ouma Shu\The Leucocyte Plan seems to be coming along nicely.\The Invisible Cage... I'm fond of perverse tastes like that.\Enough smart remarks. How is the wedge you sent to divide them?\The chances that he'll do it are fifty-fifty.\Argo, Shu, here you go.\Thanks.\Oh, hey, I hear you're gonna be with Gai on this one, huh Kyo? response:	Yes! I'll finally have the chance to fight with him!
context: The Leucocyte Plan seems to be coming along nicely.\The Invisible Cage... I'm fond of perverse tastes like that.\Enough smart remarks. How is the wedge you sent to divide them?\The chances that he'll do it are fifty-fifty.\Argo, Shu, here you go.\Thanks.\Oh, hey, I hear you're gonna be with Gai on this one, huh Kyo?\Yes! I'll finally have the chance to fight with him! response:	It's a shame I won't get to see the mock battle,
context: The Invisible Cage... I'm fond of perverse tastes like that.\Enough smart remarks. How is the wedge you sent to divide them?\The chances that he'll do it are fifty-fifty.\Argo, Shu, here you go.\Thanks.\Oh, hey, I hear you're gonna be with Gai on this one, huh Kyo?\Yes! I'll finally have the chance to fight with him!\It's a shame I won't get to see the mock battle, response:	but give it all you've got, Shu!
context: Enough smart remarks. How is the wedge you sent to divide them?\The chances that he'll do it are fifty-fifty.\Argo, Shu, here you go.\Thanks.\Oh, hey, I hear you're gonna be with Gai on this one, huh Kyo?\Yes! I'll finally have the chance to fight with him!\It's a shame I won't get to see the mock battle,\but give it all you've got, Shu! response:	Thanks.
context: The chances that he'll do it are fifty-fifty.\Argo, Shu, here you go.\Thanks.\Oh, hey, I hear you're gonna be with Gai on this one, huh Kyo?\Yes! I'll finally have the chance to fight with him!\It's a shame I won't get to see the mock battle,\but give it all you've got, Shu!\Thanks. response:	See ya!
context: Argo, Shu, here you go.\Thanks.\Oh, hey, I hear you're gonna be with Gai on this one, huh Kyo?\Yes! I'll finally have the chance to fight with him!\It's a shame I won't get to see the mock battle,\but give it all you've got, Shu!\Thanks.\See ya! response:	She's so young...
context: Thanks.\Oh, hey, I hear you're gonna be with Gai on this one, huh Kyo?\Yes! I'll finally have the chance to fight with him!\It's a shame I won't get to see the mock battle,\but give it all you've got, Shu!\Thanks.\See ya!\She's so young... response:	I guess everybody follows the confident people, huh.
context: Oh, hey, I hear you're gonna be with Gai on this one, huh Kyo?\Yes! I'll finally have the chance to fight with him!\It's a shame I won't get to see the mock battle,\but give it all you've got, Shu!\Thanks.\See ya!\She's so young...\I guess everybody follows the confident people, huh. response:	I mean, even if I did the same things,
context: Yes! I'll finally have the chance to fight with him!\It's a shame I won't get to see the mock battle,\but give it all you've got, Shu!\Thanks.\See ya!\She's so young...\I guess everybody follows the confident people, huh.\I mean, even if I did the same things, response:	I'm pretty sure nobody would follow me.
context: It's a shame I won't get to see the mock battle,\but give it all you've got, Shu!\Thanks.\See ya!\She's so young...\I guess everybody follows the confident people, huh.\I mean, even if I did the same things,\I'm pretty sure nobody would follow me. response:	I guess it's the selfish people who get ahead in this world after all.
context: but give it all you've got, Shu!\Thanks.\See ya!\She's so young...\I guess everybody follows the confident people, huh.\I mean, even if I did the same things,\I'm pretty sure nobody would follow me.\I guess it's the selfish people who get ahead in this world after all. response:	Gai's not like that.
context: Thanks.\See ya!\She's so young...\I guess everybody follows the confident people, huh.\I mean, even if I did the same things,\I'm pretty sure nobody would follow me.\I guess it's the selfish people who get ahead in this world after all.\Gai's not like that. response:	Right now, you can't see anything.
context: See ya!\She's so young...\I guess everybody follows the confident people, huh.\I mean, even if I did the same things,\I'm pretty sure nobody would follow me.\I guess it's the selfish people who get ahead in this world after all.\Gai's not like that.\Right now, you can't see anything. response:	Though at the rate you're going, I'm not sure you ever will...
context: She's so young...\I guess everybody follows the confident people, huh.\I mean, even if I did the same things,\I'm pretty sure nobody would follow me.\I guess it's the selfish people who get ahead in this world after all.\Gai's not like that.\Right now, you can't see anything.\Though at the rate you're going, I'm not sure you ever will... response:	But either way, don't you think that was insulting to Gai and every one of us?
context: I guess everybody follows the confident people, huh.\I mean, even if I did the same things,\I'm pretty sure nobody would follow me.\I guess it's the selfish people who get ahead in this world after all.\Gai's not like that.\Right now, you can't see anything.\Though at the rate you're going, I'm not sure you ever will...\But either way, don't you think that was insulting to Gai and every one of us? response:	Apologize.
context: I mean, even if I did the same things,\I'm pretty sure nobody would follow me.\I guess it's the selfish people who get ahead in this world after all.\Gai's not like that.\Right now, you can't see anything.\Though at the rate you're going, I'm not sure you ever will...\But either way, don't you think that was insulting to Gai and every one of us?\Apologize. response:	I'm sorry.
context: I'm pretty sure nobody would follow me.\I guess it's the selfish people who get ahead in this world after all.\Gai's not like that.\Right now, you can't see anything.\Though at the rate you're going, I'm not sure you ever will...\But either way, don't you think that was insulting to Gai and every one of us?\Apologize.\I'm sorry. response:	By the way...
context: I guess it's the selfish people who get ahead in this world after all.\Gai's not like that.\Right now, you can't see anything.\Though at the rate you're going, I'm not sure you ever will...\But either way, don't you think that was insulting to Gai and every one of us?\Apologize.\I'm sorry.\By the way... response:	Can you draw out those Void things from anybody?
context: Gai's not like that.\Right now, you can't see anything.\Though at the rate you're going, I'm not sure you ever will...\But either way, don't you think that was insulting to Gai and every one of us?\Apologize.\I'm sorry.\By the way...\Can you draw out those Void things from anybody? response:	Huh?
