context: Vitya! response:	Don't go! Stay here!
context: I'm in a bit of a slump right now,\but I'm a top figure skater certified by the JSF!\Back home for the first time in five years, I was thinking of how to keep my career going...\when my idol, Victor, suddenly appeared!\I'm still in denial that this is actually happening!\By the way, Victor Nikiforov is a living legend in figure skating.\I never dreamed he'd be interested in me, but...\Starting today, I'm your coach. response:	I'll make you win the Grand Prix Final.
context: but I'm a top figure skater certified by the JSF!\Back home for the first time in five years, I was thinking of how to keep my career going...\when my idol, Victor, suddenly appeared!\I'm still in denial that this is actually happening!\By the way, Victor Nikiforov is a living legend in figure skating.\I never dreamed he'd be interested in me, but...\Starting today, I'm your coach.\I'll make you win the Grand Prix Final. response:	What is he saying, standing there buck naked?
context: Back home for the first time in five years, I was thinking of how to keep my career going...\when my idol, Victor, suddenly appeared!\I'm still in denial that this is actually happening!\By the way, Victor Nikiforov is a living legend in figure skating.\I never dreamed he'd be interested in me, but...\Starting today, I'm your coach.\I'll make you win the Grand Prix Final.\What is he saying, standing there buck naked? response:	Yuri!
context: when my idol, Victor, suddenly appeared!\I'm still in denial that this is actually happening!\By the way, Victor Nikiforov is a living legend in figure skating.\I never dreamed he'd be interested in me, but...\Starting today, I'm your coach.\I'll make you win the Grand Prix Final.\What is he saying, standing there buck naked?\Yuri! response:	Why is Victor sleeping in one of the inn's robes?!
context: I'm still in denial that this is actually happening!\By the way, Victor Nikiforov is a living legend in figure skating.\I never dreamed he'd be interested in me, but...\Starting today, I'm your coach.\I'll make you win the Grand Prix Final.\What is he saying, standing there buck naked?\Yuri!\Why is Victor sleeping in one of the inn's robes?! response:	He soaked in the hot spring and had dinner, then fell asleep...
context: By the way, Victor Nikiforov is a living legend in figure skating.\I never dreamed he'd be interested in me, but...\Starting today, I'm your coach.\I'll make you win the Grand Prix Final.\What is he saying, standing there buck naked?\Yuri!\Why is Victor sleeping in one of the inn's robes?!\He soaked in the hot spring and had dinner, then fell asleep... response:	It's big news in Russia.
context: I never dreamed he'd be interested in me, but...\Starting today, I'm your coach.\I'll make you win the Grand Prix Final.\What is he saying, standing there buck naked?\Yuri!\Why is Victor sleeping in one of the inn's robes?!\He soaked in the hot spring and had dinner, then fell asleep...\It's big news in Russia. response:	He's taking next season off and is considering his next move.
context: Starting today, I'm your coach.\I'll make you win the Grand Prix Final.\What is he saying, standing there buck naked?\Yuri!\Why is Victor sleeping in one of the inn's robes?!\He soaked in the hot spring and had dinner, then fell asleep...\It's big news in Russia.\He's taking next season off and is considering his next move. response:	They're also saying that when he saw the video of you skating his routine,
context: I'll make you win the Grand Prix Final.\What is he saying, standing there buck naked?\Yuri!\Why is Victor sleeping in one of the inn's robes?!\He soaked in the hot spring and had dinner, then fell asleep...\It's big news in Russia.\He's taking next season off and is considering his next move.\They're also saying that when he saw the video of you skating his routine, response:	he was struck with inspiration, and that's when he decided to be your coach.
context: What is he saying, standing there buck naked?\Yuri!\Why is Victor sleeping in one of the inn's robes?!\He soaked in the hot spring and had dinner, then fell asleep...\It's big news in Russia.\He's taking next season off and is considering his next move.\They're also saying that when he saw the video of you skating his routine,\he was struck with inspiration, and that's when he decided to be your coach. response:	Huh?
context: Yuri!\Why is Victor sleeping in one of the inn's robes?!\He soaked in the hot spring and had dinner, then fell asleep...\It's big news in Russia.\He's taking next season off and is considering his next move.\They're also saying that when he saw the video of you skating his routine,\he was struck with inspiration, and that's when he decided to be your coach.\Huh? response:	Victor came here because he chose you, Yuri.
context: Why is Victor sleeping in one of the inn's robes?!\He soaked in the hot spring and had dinner, then fell asleep...\It's big news in Russia.\He's taking next season off and is considering his next move.\They're also saying that when he saw the video of you skating his routine,\he was struck with inspiration, and that's when he decided to be your coach.\Huh?\Victor came here because he chose you, Yuri. response:	You brought him here!
context: He soaked in the hot spring and had dinner, then fell asleep...\It's big news in Russia.\He's taking next season off and is considering his next move.\They're also saying that when he saw the video of you skating his routine,\he was struck with inspiration, and that's when he decided to be your coach.\Huh?\Victor came here because he chose you, Yuri.\You brought him here! response:	That's incredible!
context: It's big news in Russia.\He's taking next season off and is considering his next move.\They're also saying that when he saw the video of you skating his routine,\he was struck with inspiration, and that's when he decided to be your coach.\Huh?\Victor came here because he chose you, Yuri.\You brought him here!\That's incredible! response:	Huh?
context: He's taking next season off and is considering his next move.\They're also saying that when he saw the video of you skating his routine,\he was struck with inspiration, and that's when he decided to be your coach.\Huh?\Victor came here because he chose you, Yuri.\You brought him here!\That's incredible!\Huh? response:	Victor went to Japan to become Yuri Katsuki's coach?
context: They're also saying that when he saw the video of you skating his routine,\he was struck with inspiration, and that's when he decided to be your coach.\Huh?\Victor came here because he chose you, Yuri.\You brought him here!\That's incredible!\Huh?\Victor went to Japan to become Yuri Katsuki's coach? response:	Why that fatso?
context: he was struck with inspiration, and that's when he decided to be your coach.\Huh?\Victor came here because he chose you, Yuri.\You brought him here!\That's incredible!\Huh?\Victor went to Japan to become Yuri Katsuki's coach?\Why that fatso? response:	Did he forget what he promised me?
context: Huh?\Victor came here because he chose you, Yuri.\You brought him here!\That's incredible!\Huh?\Victor went to Japan to become Yuri Katsuki's coach?\Why that fatso?\Did he forget what he promised me? response:	Yakov! Where are you?
context: Victor came here because he chose you, Yuri.\You brought him here!\That's incredible!\Huh?\Victor went to Japan to become Yuri Katsuki's coach?\Why that fatso?\Did he forget what he promised me?\Yakov! Where are you? response:	Explain this to me, damn it!
context: You brought him here!\That's incredible!\Huh?\Victor went to Japan to become Yuri Katsuki's coach?\Why that fatso?\Did he forget what he promised me?\Yakov! Where are you?\Explain this to me, damn it! response:	Victor wants to take time off until he finds his motivation again.
context: That's incredible!\Huh?\Victor went to Japan to become Yuri Katsuki's coach?\Why that fatso?\Did he forget what he promised me?\Yakov! Where are you?\Explain this to me, damn it!\Victor wants to take time off until he finds his motivation again. response:	Personally, I doubt he'll be able to return if he takes a break now.
context: Huh?\Victor went to Japan to become Yuri Katsuki's coach?\Why that fatso?\Did he forget what he promised me?\Yakov! Where are you?\Explain this to me, damn it!\Victor wants to take time off until he finds his motivation again.\Personally, I doubt he'll be able to return if he takes a break now. response:	He's going to coach Katsuki Yuri in Japan
context: Victor went to Japan to become Yuri Katsuki's coach?\Why that fatso?\Did he forget what he promised me?\Yakov! Where are you?\Explain this to me, damn it!\Victor wants to take time off until he finds his motivation again.\Personally, I doubt he'll be able to return if he takes a break now.\He's going to coach Katsuki Yuri in Japan response:	That man only thinks of himself!
context: Why that fatso?\Did he forget what he promised me?\Yakov! Where are you?\Explain this to me, damn it!\Victor wants to take time off until he finds his motivation again.\Personally, I doubt he'll be able to return if he takes a break now.\He's going to coach Katsuki Yuri in Japan\That man only thinks of himself! response:	He'll never be anyone's coach!
context: Did he forget what he promised me?\Yakov! Where are you?\Explain this to me, damn it!\Victor wants to take time off until he finds his motivation again.\Personally, I doubt he'll be able to return if he takes a break now.\He's going to coach Katsuki Yuri in Japan\That man only thinks of himself!\He'll never be anyone's coach! response:	Hasetsu Hot Springs Yu-topia Katsuki
context: Yakov! Where are you?\Explain this to me, damn it!\Victor wants to take time off until he finds his motivation again.\Personally, I doubt he'll be able to return if he takes a break now.\He's going to coach Katsuki Yuri in Japan\That man only thinks of himself!\He'll never be anyone's coach!\Hasetsu Hot Springs Yu-topia Katsuki response:	Oh, he's awake.
context: Explain this to me, damn it!\Victor wants to take time off until he finds his motivation again.\Personally, I doubt he'll be able to return if he takes a break now.\He's going to coach Katsuki Yuri in Japan\That man only thinks of himself!\He'll never be anyone's coach!\Hasetsu Hot Springs Yu-topia Katsuki\Oh, he's awake. response:	I'm starving.
context: Victor wants to take time off until he finds his motivation again.\Personally, I doubt he'll be able to return if he takes a break now.\He's going to coach Katsuki Yuri in Japan\That man only thinks of himself!\He'll never be anyone's coach!\Hasetsu Hot Springs Yu-topia Katsuki\Oh, he's awake.\I'm starving. response:	Hungry...
context: Personally, I doubt he'll be able to return if he takes a break now.\He's going to coach Katsuki Yuri in Japan\That man only thinks of himself!\He'll never be anyone's coach!\Hasetsu Hot Springs Yu-topia Katsuki\Oh, he's awake.\I'm starving.\Hungry... response:	Huh?
context: He's going to coach Katsuki Yuri in Japan\That man only thinks of himself!\He'll never be anyone's coach!\Hasetsu Hot Springs Yu-topia Katsuki\Oh, he's awake.\I'm starving.\Hungry...\Huh? response:	He still wants to eat?
context: That man only thinks of himself!\He'll never be anyone's coach!\Hasetsu Hot Springs Yu-topia Katsuki\Oh, he's awake.\I'm starving.\Hungry...\Huh?\He still wants to eat? response:	Um, what would you like to eat?
context: He'll never be anyone's coach!\Hasetsu Hot Springs Yu-topia Katsuki\Oh, he's awake.\I'm starving.\Hungry...\Huh?\He still wants to eat?\Um, what would you like to eat? response:	Hmm...
context: Hasetsu Hot Springs Yu-topia Katsuki\Oh, he's awake.\I'm starving.\Hungry...\Huh?\He still wants to eat?\Um, what would you like to eat?\Hmm... response:	As your coach, I'd like to know what your favorite food is, Yuri.
context: Oh, he's awake.\I'm starving.\Hungry...\Huh?\He still wants to eat?\Um, what would you like to eat?\Hmm...\As your coach, I'd like to know what your favorite food is, Yuri. response:	What?
context: I'm starving.\Hungry...\Huh?\He still wants to eat?\Um, what would you like to eat?\Hmm...\As your coach, I'd like to know what your favorite food is, Yuri.\What? response:	Wow! Amazing!
context: Hungry...\Huh?\He still wants to eat?\Um, what would you like to eat?\Hmm...\As your coach, I'd like to know what your favorite food is, Yuri.\What?\Wow! Amazing! response:	Our specialty, the pork cutlet bowl, extra-large!
context: Huh?\He still wants to eat?\Um, what would you like to eat?\Hmm...\As your coach, I'd like to know what your favorite food is, Yuri.\What?\Wow! Amazing!\Our specialty, the pork cutlet bowl, extra-large! response:	Vkusno!
context: He still wants to eat?\Um, what would you like to eat?\Hmm...\As your coach, I'd like to know what your favorite food is, Yuri.\What?\Wow! Amazing!\Our specialty, the pork cutlet bowl, extra-large!\Vkusno! response:	Delicious! Too good for words!
context: Um, what would you like to eat?\Hmm...\As your coach, I'd like to know what your favorite food is, Yuri.\What?\Wow! Amazing!\Our specialty, the pork cutlet bowl, extra-large!\Vkusno!\Delicious! Too good for words! response:	Is this what God eats?!
context: Hmm...\As your coach, I'd like to know what your favorite food is, Yuri.\What?\Wow! Amazing!\Our specialty, the pork cutlet bowl, extra-large!\Vkusno!\Delicious! Too good for words!\Is this what God eats?! response:	I'm glad you like it.
context: As your coach, I'd like to know what your favorite food is, Yuri.\What?\Wow! Amazing!\Our specialty, the pork cutlet bowl, extra-large!\Vkusno!\Delicious! Too good for words!\Is this what God eats?!\I'm glad you like it. response:	Yuri gains weight easily,
context: What?\Wow! Amazing!\Our specialty, the pork cutlet bowl, extra-large!\Vkusno!\Delicious! Too good for words!\Is this what God eats?!\I'm glad you like it.\Yuri gains weight easily, response:	so he was only allowed to eat it when he won a competition. Right?
context: Wow! Amazing!\Our specialty, the pork cutlet bowl, extra-large!\Vkusno!\Delicious! Too good for words!\Is this what God eats?!\I'm glad you like it.\Yuri gains weight easily,\so he was only allowed to eat it when he won a competition. Right? response:	Oh? So have you eaten this pork cutlet bowl recently?
context: Our specialty, the pork cutlet bowl, extra-large!\Vkusno!\Delicious! Too good for words!\Is this what God eats?!\I'm glad you like it.\Yuri gains weight easily,\so he was only allowed to eat it when he won a competition. Right?\Oh? So have you eaten this pork cutlet bowl recently? response:	Yes, yes.
context: Vkusno!\Delicious! Too good for words!\Is this what God eats?!\I'm glad you like it.\Yuri gains weight easily,\so he was only allowed to eat it when he won a competition. Right?\Oh? So have you eaten this pork cutlet bowl recently?\Yes, yes. response:	I eat it often.
context: Delicious! Too good for words!\Is this what God eats?!\I'm glad you like it.\Yuri gains weight easily,\so he was only allowed to eat it when he won a competition. Right?\Oh? So have you eaten this pork cutlet bowl recently?\Yes, yes.\I eat it often. response:	Why?
context: Is this what God eats?!\I'm glad you like it.\Yuri gains weight easily,\so he was only allowed to eat it when he won a competition. Right?\Oh? So have you eaten this pork cutlet bowl recently?\Yes, yes.\I eat it often.\Why? response:	You haven't won anything.
context: I'm glad you like it.\Yuri gains weight easily,\so he was only allowed to eat it when he won a competition. Right?\Oh? So have you eaten this pork cutlet bowl recently?\Yes, yes.\I eat it often.\Why?\You haven't won anything. response:	With that pig's body of yours,
context: Yuri gains weight easily,\so he was only allowed to eat it when he won a competition. Right?\Oh? So have you eaten this pork cutlet bowl recently?\Yes, yes.\I eat it often.\Why?\You haven't won anything.\With that pig's body of yours, response:	lessons would be meaningless.
context: so he was only allowed to eat it when he won a competition. Right?\Oh? So have you eaten this pork cutlet bowl recently?\Yes, yes.\I eat it often.\Why?\You haven't won anything.\With that pig's body of yours,\lessons would be meaningless. response:	You need to get back to your weight at last year's Grand Prix Final, at the least...
context: Oh? So have you eaten this pork cutlet bowl recently?\Yes, yes.\I eat it often.\Why?\You haven't won anything.\With that pig's body of yours,\lessons would be meaningless.\You need to get back to your weight at last year's Grand Prix Final, at the least... response:	or I can never coach you.
context: Yes, yes.\I eat it often.\Why?\You haven't won anything.\With that pig's body of yours,\lessons would be meaningless.\You need to get back to your weight at last year's Grand Prix Final, at the least...\or I can never coach you. response:	Until then, no more pork cutlet bowls.
context: I eat it often.\Why?\You haven't won anything.\With that pig's body of yours,\lessons would be meaningless.\You need to get back to your weight at last year's Grand Prix Final, at the least...\or I can never coach you.\Until then, no more pork cutlet bowls. response:	Okay, little piggy?
context: Why?\You haven't won anything.\With that pig's body of yours,\lessons would be meaningless.\You need to get back to your weight at last year's Grand Prix Final, at the least...\or I can never coach you.\Until then, no more pork cutlet bowls.\Okay, little piggy? response:	Huh?
context: You haven't won anything.\With that pig's body of yours,\lessons would be meaningless.\You need to get back to your weight at last year's Grand Prix Final, at the least...\or I can never coach you.\Until then, no more pork cutlet bowls.\Okay, little piggy?\Huh? response:	I feel like I should be offended...
context: With that pig's body of yours,\lessons would be meaningless.\You need to get back to your weight at last year's Grand Prix Final, at the least...\or I can never coach you.\Until then, no more pork cutlet bowls.\Okay, little piggy?\Huh?\I feel like I should be offended... response:	Hey, this luggage is in the way.
context: lessons would be meaningless.\You need to get back to your weight at last year's Grand Prix Final, at the least...\or I can never coach you.\Until then, no more pork cutlet bowls.\Okay, little piggy?\Huh?\I feel like I should be offended...\Hey, this luggage is in the way. response:	Can you take it to the room where I'll be staying?
context: You need to get back to your weight at last year's Grand Prix Final, at the least...\or I can never coach you.\Until then, no more pork cutlet bowls.\Okay, little piggy?\Huh?\I feel like I should be offended...\Hey, this luggage is in the way.\Can you take it to the room where I'll be staying? response:	Staying?
context: or I can never coach you.\Until then, no more pork cutlet bowls.\Okay, little piggy?\Huh?\I feel like I should be offended...\Hey, this luggage is in the way.\Can you take it to the room where I'll be staying?\Staying? response:	Wow! What a classic, tiny room.
context: Until then, no more pork cutlet bowls.\Okay, little piggy?\Huh?\I feel like I should be offended...\Hey, this luggage is in the way.\Can you take it to the room where I'll be staying?\Staying?\Wow! What a classic, tiny room. response:	Is there a sofa?
context: Okay, little piggy?\Huh?\I feel like I should be offended...\Hey, this luggage is in the way.\Can you take it to the room where I'll be staying?\Staying?\Wow! What a classic, tiny room.\Is there a sofa? response:	No...
context: Huh?\I feel like I should be offended...\Hey, this luggage is in the way.\Can you take it to the room where I'll be staying?\Staying?\Wow! What a classic, tiny room.\Is there a sofa?\No... response:	I'm sorry it's so small. We only had an unused banquet room available.
context: I feel like I should be offended...\Hey, this luggage is in the way.\Can you take it to the room where I'll be staying?\Staying?\Wow! What a classic, tiny room.\Is there a sofa?\No...\I'm sorry it's so small. We only had an unused banquet room available. response:	You look anxious.
context: Hey, this luggage is in the way.\Can you take it to the room where I'll be staying?\Staying?\Wow! What a classic, tiny room.\Is there a sofa?\No...\I'm sorry it's so small. We only had an unused banquet room available.\You look anxious. response:	You can pay the coaching fee after you achieve success!
context: Can you take it to the room where I'll be staying?\Staying?\Wow! What a classic, tiny room.\Is there a sofa?\No...\I'm sorry it's so small. We only had an unused banquet room available.\You look anxious.\You can pay the coaching fee after you achieve success! response:	I'll bill you later.
context: Staying?\Wow! What a classic, tiny room.\Is there a sofa?\No...\I'm sorry it's so small. We only had an unused banquet room available.\You look anxious.\You can pay the coaching fee after you achieve success!\I'll bill you later. response:	Th-Thank you.
context: Wow! What a classic, tiny room.\Is there a sofa?\No...\I'm sorry it's so small. We only had an unused banquet room available.\You look anxious.\You can pay the coaching fee after you achieve success!\I'll bill you later.\Th-Thank you. response:	Yuri, tell me everything about you.
context: Is there a sofa?\No...\I'm sorry it's so small. We only had an unused banquet room available.\You look anxious.\You can pay the coaching fee after you achieve success!\I'll bill you later.\Th-Thank you.\Yuri, tell me everything about you. response:	What kind of rink do you skate at?
context: No...\I'm sorry it's so small. We only had an unused banquet room available.\You look anxious.\You can pay the coaching fee after you achieve success!\I'll bill you later.\Th-Thank you.\Yuri, tell me everything about you.\What kind of rink do you skate at? response:	What's in this city?
context: I'm sorry it's so small. We only had an unused banquet room available.\You look anxious.\You can pay the coaching fee after you achieve success!\I'll bill you later.\Th-Thank you.\Yuri, tell me everything about you.\What kind of rink do you skate at?\What's in this city? response:	Is there a girl you like?
context: You look anxious.\You can pay the coaching fee after you achieve success!\I'll bill you later.\Th-Thank you.\Yuri, tell me everything about you.\What kind of rink do you skate at?\What's in this city?\Is there a girl you like? response:	Before we start practicing,
context: You can pay the coaching fee after you achieve success!\I'll bill you later.\Th-Thank you.\Yuri, tell me everything about you.\What kind of rink do you skate at?\What's in this city?\Is there a girl you like?\Before we start practicing, response:	let's build some trust in our relationship.
context: I'll bill you later.\Th-Thank you.\Yuri, tell me everything about you.\What kind of rink do you skate at?\What's in this city?\Is there a girl you like?\Before we start practicing,\let's build some trust in our relationship. response:	What? Why are you running away?
context: Th-Thank you.\Yuri, tell me everything about you.\What kind of rink do you skate at?\What's in this city?\Is there a girl you like?\Before we start practicing,\let's build some trust in our relationship.\What? Why are you running away? response:	Uh, no reason...
context: Yuri, tell me everything about you.\What kind of rink do you skate at?\What's in this city?\Is there a girl you like?\Before we start practicing,\let's build some trust in our relationship.\What? Why are you running away?\Uh, no reason... response:	I'm still scared to be close to him.
context: What kind of rink do you skate at?\What's in this city?\Is there a girl you like?\Before we start practicing,\let's build some trust in our relationship.\What? Why are you running away?\Uh, no reason...\I'm still scared to be close to him. response:	Yuri, let's sleep together.
context: What's in this city?\Is there a girl you like?\Before we start practicing,\let's build some trust in our relationship.\What? Why are you running away?\Uh, no reason...\I'm still scared to be close to him.\Yuri, let's sleep together. response:	As your coach, there's so much I need to learn about you.
context: Is there a girl you like?\Before we start practicing,\let's build some trust in our relationship.\What? Why are you running away?\Uh, no reason...\I'm still scared to be close to him.\Yuri, let's sleep together.\As your coach, there's so much I need to learn about you. response:	No!
context: Before we start practicing,\let's build some trust in our relationship.\What? Why are you running away?\Uh, no reason...\I'm still scared to be close to him.\Yuri, let's sleep together.\As your coach, there's so much I need to learn about you.\No! response:	Yuri!
context: let's build some trust in our relationship.\What? Why are you running away?\Uh, no reason...\I'm still scared to be close to him.\Yuri, let's sleep together.\As your coach, there's so much I need to learn about you.\No!\Yuri! response:	Yuri!
context: What? Why are you running away?\Uh, no reason...\I'm still scared to be close to him.\Yuri, let's sleep together.\As your coach, there's so much I need to learn about you.\No!\Yuri!\Yuri! response:	Yuri?
context: Uh, no reason...\I'm still scared to be close to him.\Yuri, let's sleep together.\As your coach, there's so much I need to learn about you.\No!\Yuri!\Yuri!\Yuri? response:	We've barely ever spoken
context: I'm still scared to be close to him.\Yuri, let's sleep together.\As your coach, there's so much I need to learn about you.\No!\Yuri!\Yuri!\Yuri?\We've barely ever spoken response:	because I always put him on such a high pedestal,
context: Yuri, let's sleep together.\As your coach, there's so much I need to learn about you.\No!\Yuri!\Yuri!\Yuri?\We've barely ever spoken\because I always put him on such a high pedestal, response:	and now he's right here...
context: As your coach, there's so much I need to learn about you.\No!\Yuri!\Yuri!\Yuri?\We've barely ever spoken\because I always put him on such a high pedestal,\and now he's right here... response:	I get it now.
context: No!\Yuri!\Yuri!\Yuri?\We've barely ever spoken\because I always put him on such a high pedestal,\and now he's right here...\I get it now. response:	My heart's pounding because of how happy I am.
context: Yuri!\Yuri!\Yuri?\We've barely ever spoken\because I always put him on such a high pedestal,\and now he's right here...\I get it now.\My heart's pounding because of how happy I am. response:	Hello!
context: Yuri!\Yuri?\We've barely ever spoken\because I always put him on such a high pedestal,\and now he's right here...\I get it now.\My heart's pounding because of how happy I am.\Hello! response:	Hi!
context: Yuri?\We've barely ever spoken\because I always put him on such a high pedestal,\and now he's right here...\I get it now.\My heart's pounding because of how happy I am.\Hello!\Hi! response:	I'm Victor Nikiforov.
context: We've barely ever spoken\because I always put him on such a high pedestal,\and now he's right here...\I get it now.\My heart's pounding because of how happy I am.\Hello!\Hi!\I'm Victor Nikiforov. response:	I'll be Yuri's coach from now on.
context: because I always put him on such a high pedestal,\and now he's right here...\I get it now.\My heart's pounding because of how happy I am.\Hello!\Hi!\I'm Victor Nikiforov.\I'll be Yuri's coach from now on. response:	Huh? What? What?!
context: and now he's right here...\I get it now.\My heart's pounding because of how happy I am.\Hello!\Hi!\I'm Victor Nikiforov.\I'll be Yuri's coach from now on.\Huh? What? What?! response:	Victor's really going to be Yuri's coach?!
