context: A giant, centipede-like demon pulled me... response:	into the depths of the Hidden Well in the shrine.
context: A youth was held fast to the Sacred Tree with arrows...\Inuyasha was his name, I think...\An eternal spell to hold him there had been cast.\But it was broken.\Demons now seek to possess something known as the Sacred Jewel.\This Sacred Jewel has appeared once again in the era of the Warring States.\Iron Reaver, Soul Stealer!\Why was it inside my body? response:	This jewel which can empower such a demon?
context: Inuyasha was his name, I think...\An eternal spell to hold him there had been cast.\But it was broken.\Demons now seek to possess something known as the Sacred Jewel.\This Sacred Jewel has appeared once again in the era of the Warring States.\Iron Reaver, Soul Stealer!\Why was it inside my body?\This jewel which can empower such a demon? response:	If you don't want to feel the pain of my claws...
context: An eternal spell to hold him there had been cast.\But it was broken.\Demons now seek to possess something known as the Sacred Jewel.\This Sacred Jewel has appeared once again in the era of the Warring States.\Iron Reaver, Soul Stealer!\Why was it inside my body?\This jewel which can empower such a demon?\If you don't want to feel the pain of my claws... response:	just give me the Jewel and get it over with.
context: But it was broken.\Demons now seek to possess something known as the Sacred Jewel.\This Sacred Jewel has appeared once again in the era of the Warring States.\Iron Reaver, Soul Stealer!\Why was it inside my body?\This jewel which can empower such a demon?\If you don't want to feel the pain of my claws...\just give me the Jewel and get it over with. response:	You... Kagome! Do not hand over the Jewel!
context: Demons now seek to possess something known as the Sacred Jewel.\This Sacred Jewel has appeared once again in the era of the Warring States.\Iron Reaver, Soul Stealer!\Why was it inside my body?\This jewel which can empower such a demon?\If you don't want to feel the pain of my claws...\just give me the Jewel and get it over with.\You... Kagome! Do not hand over the Jewel! response:	The Sacred Jewel increases the power of these demons.
context: This Sacred Jewel has appeared once again in the era of the Warring States.\Iron Reaver, Soul Stealer!\Why was it inside my body?\This jewel which can empower such a demon?\If you don't want to feel the pain of my claws...\just give me the Jewel and get it over with.\You... Kagome! Do not hand over the Jewel!\The Sacred Jewel increases the power of these demons. response:	Could it be cursed?
context: Iron Reaver, Soul Stealer!\Why was it inside my body?\This jewel which can empower such a demon?\If you don't want to feel the pain of my claws...\just give me the Jewel and get it over with.\You... Kagome! Do not hand over the Jewel!\The Sacred Jewel increases the power of these demons.\Could it be cursed? response:	I show no mercy!
context: Why was it inside my body?\This jewel which can empower such a demon?\If you don't want to feel the pain of my claws...\just give me the Jewel and get it over with.\You... Kagome! Do not hand over the Jewel!\The Sacred Jewel increases the power of these demons.\Could it be cursed?\I show no mercy! response:	Especially to women whose scent I dislike!
context: This jewel which can empower such a demon?\If you don't want to feel the pain of my claws...\just give me the Jewel and get it over with.\You... Kagome! Do not hand over the Jewel!\The Sacred Jewel increases the power of these demons.\Could it be cursed?\I show no mercy!\Especially to women whose scent I dislike! response:	Next it'll be you, split down the middle!
context: If you don't want to feel the pain of my claws...\just give me the Jewel and get it over with.\You... Kagome! Do not hand over the Jewel!\The Sacred Jewel increases the power of these demons.\Could it be cursed?\I show no mercy!\Especially to women whose scent I dislike!\Next it'll be you, split down the middle! response:	You were serious just now, weren't you.
context: just give me the Jewel and get it over with.\You... Kagome! Do not hand over the Jewel!\The Sacred Jewel increases the power of these demons.\Could it be cursed?\I show no mercy!\Especially to women whose scent I dislike!\Next it'll be you, split down the middle!\You were serious just now, weren't you. response:	Shoot!
context: You... Kagome! Do not hand over the Jewel!\The Sacred Jewel increases the power of these demons.\Could it be cursed?\I show no mercy!\Especially to women whose scent I dislike!\Next it'll be you, split down the middle!\You were serious just now, weren't you.\Shoot! response:	Who you think I am, anyway?!
context: The Sacred Jewel increases the power of these demons.\Could it be cursed?\I show no mercy!\Especially to women whose scent I dislike!\Next it'll be you, split down the middle!\You were serious just now, weren't you.\Shoot!\Who you think I am, anyway?! response:	Don't you dare treat me like some dumb Centipede Monster!
context: Could it be cursed?\I show no mercy!\Especially to women whose scent I dislike!\Next it'll be you, split down the middle!\You were serious just now, weren't you.\Shoot!\Who you think I am, anyway?!\Don't you dare treat me like some dumb Centipede Monster! response:	Priestess Kaede!
context: I show no mercy!\Especially to women whose scent I dislike!\Next it'll be you, split down the middle!\You were serious just now, weren't you.\Shoot!\Who you think I am, anyway?!\Don't you dare treat me like some dumb Centipede Monster!\Priestess Kaede! response:	Perhaps that arrow sealing the spell shouldn't've been removed...
context: Especially to women whose scent I dislike!\Next it'll be you, split down the middle!\You were serious just now, weren't you.\Shoot!\Who you think I am, anyway?!\Don't you dare treat me like some dumb Centipede Monster!\Priestess Kaede!\Perhaps that arrow sealing the spell shouldn't've been removed... response:	Oh, for pity's sake... That troublemaking hellion!
context: Next it'll be you, split down the middle!\You were serious just now, weren't you.\Shoot!\Who you think I am, anyway?!\Don't you dare treat me like some dumb Centipede Monster!\Priestess Kaede!\Perhaps that arrow sealing the spell shouldn't've been removed...\Oh, for pity's sake... That troublemaking hellion! response:	Prepare yourself!
context: You were serious just now, weren't you.\Shoot!\Who you think I am, anyway?!\Don't you dare treat me like some dumb Centipede Monster!\Priestess Kaede!\Perhaps that arrow sealing the spell shouldn't've been removed...\Oh, for pity's sake... That troublemaking hellion!\Prepare yourself! response:	Prepare myself?! How can I?
context: Shoot!\Who you think I am, anyway?!\Don't you dare treat me like some dumb Centipede Monster!\Priestess Kaede!\Perhaps that arrow sealing the spell shouldn't've been removed...\Oh, for pity's sake... That troublemaking hellion!\Prepare yourself!\Prepare myself?! How can I? response:	Now it's mine!
context: Who you think I am, anyway?!\Don't you dare treat me like some dumb Centipede Monster!\Priestess Kaede!\Perhaps that arrow sealing the spell shouldn't've been removed...\Oh, for pity's sake... That troublemaking hellion!\Prepare yourself!\Prepare myself?! How can I?\Now it's mine! response:	What's this?!
context: Don't you dare treat me like some dumb Centipede Monster!\Priestess Kaede!\Perhaps that arrow sealing the spell shouldn't've been removed...\Oh, for pity's sake... That troublemaking hellion!\Prepare yourself!\Prepare myself?! How can I?\Now it's mine!\What's this?! response:	Kagome! Recite the Word to hold Inuyasha's spirit!
context: Priestess Kaede!\Perhaps that arrow sealing the spell shouldn't've been removed...\Oh, for pity's sake... That troublemaking hellion!\Prepare yourself!\Prepare myself?! How can I?\Now it's mine!\What's this?!\Kagome! Recite the Word to hold Inuyasha's spirit! response:	Huh? What?
context: Perhaps that arrow sealing the spell shouldn't've been removed...\Oh, for pity's sake... That troublemaking hellion!\Prepare yourself!\Prepare myself?! How can I?\Now it's mine!\What's this?!\Kagome! Recite the Word to hold Inuyasha's spirit!\Huh? What? response:	Just say something! To subjugate the Inuyasha!
context: Oh, for pity's sake... That troublemaking hellion!\Prepare yourself!\Prepare myself?! How can I?\Now it's mine!\What's this?!\Kagome! Recite the Word to hold Inuyasha's spirit!\Huh? What?\Just say something! To subjugate the Inuyasha! response:	Subjugate me, will you?! You fool!
context: Prepare yourself!\Prepare myself?! How can I?\Now it's mine!\What's this?!\Kagome! Recite the Word to hold Inuyasha's spirit!\Huh? What?\Just say something! To subjugate the Inuyasha!\Subjugate me, will you?! You fool! response:	Subjugate him?
context: Prepare myself?! How can I?\Now it's mine!\What's this?!\Kagome! Recite the Word to hold Inuyasha's spirit!\Huh? What?\Just say something! To subjugate the Inuyasha!\Subjugate me, will you?! You fool!\Subjugate him? response:	But what do I say?
context: Now it's mine!\What's this?!\Kagome! Recite the Word to hold Inuyasha's spirit!\Huh? What?\Just say something! To subjugate the Inuyasha!\Subjugate me, will you?! You fool!\Subjugate him?\But what do I say? response:	Sit!
context: What's this?!\Kagome! Recite the Word to hold Inuyasha's spirit!\Huh? What?\Just say something! To subjugate the Inuyasha!\Subjugate me, will you?! You fool!\Subjugate him?\But what do I say?\Sit! response:	Sit!
context: Kagome! Recite the Word to hold Inuyasha's spirit!\Huh? What?\Just say something! To subjugate the Inuyasha!\Subjugate me, will you?! You fool!\Subjugate him?\But what do I say?\Sit!\Sit! response:	Sit!
context: Huh? What?\Just say something! To subjugate the Inuyasha!\Subjugate me, will you?! You fool!\Subjugate him?\But what do I say?\Sit!\Sit!\Sit! response:	It held him.
context: Just say something! To subjugate the Inuyasha!\Subjugate me, will you?! You fool!\Subjugate him?\But what do I say?\Sit!\Sit!\Sit!\It held him. response:	Wh-What's this?!
context: Subjugate me, will you?! You fool!\Subjugate him?\But what do I say?\Sit!\Sit!\Sit!\It held him.\Wh-What's this?! response:	Damn!
context: Subjugate him?\But what do I say?\Sit!\Sit!\Sit!\It held him.\Wh-What's this?!\Damn! response:	It's useless, Inuyasha.
context: But what do I say?\Sit!\Sit!\Sit!\It held him.\Wh-What's this?!\Damn!\It's useless, Inuyasha. response:	Your powers cannot remove the rosary.
context: Sit!\Sit!\Sit!\It held him.\Wh-What's this?!\Damn!\It's useless, Inuyasha.\Your powers cannot remove the rosary. response:	Shut up, old hag!
context: Sit!\Sit!\It held him.\Wh-What's this?!\Damn!\It's useless, Inuyasha.\Your powers cannot remove the rosary.\Shut up, old hag! response:	You're first in line!
context: Sit!\It held him.\Wh-What's this?!\Damn!\It's useless, Inuyasha.\Your powers cannot remove the rosary.\Shut up, old hag!\You're first in line! response:	Tho' you look half-dead already.
context: It held him.\Wh-What's this?!\Damn!\It's useless, Inuyasha.\Your powers cannot remove the rosary.\Shut up, old hag!\You're first in line!\Tho' you look half-dead already. response:	The Word...
context: Wh-What's this?!\Damn!\It's useless, Inuyasha.\Your powers cannot remove the rosary.\Shut up, old hag!\You're first in line!\Tho' you look half-dead already.\The Word... response:	Sit!
context: Damn!\It's useless, Inuyasha.\Your powers cannot remove the rosary.\Shut up, old hag!\You're first in line!\Tho' you look half-dead already.\The Word...\Sit! response:	Now, then... Let us return to the village.
context: It's useless, Inuyasha.\Your powers cannot remove the rosary.\Shut up, old hag!\You're first in line!\Tho' you look half-dead already.\The Word...\Sit!\Now, then... Let us return to the village. response:	How weird...
context: Your powers cannot remove the rosary.\Shut up, old hag!\You're first in line!\Tho' you look half-dead already.\The Word...\Sit!\Now, then... Let us return to the village.\How weird... response:	All I said was Sit.
context: Shut up, old hag!\You're first in line!\Tho' you look half-dead already.\The Word...\Sit!\Now, then... Let us return to the village.\How weird...\All I said was Sit. response:	Let's see... I'll apply more salve on the wound on your belly.
context: You're first in line!\Tho' you look half-dead already.\The Word...\Sit!\Now, then... Let us return to the village.\How weird...\All I said was Sit.\Let's see... I'll apply more salve on the wound on your belly. response:	Oww!
context: Tho' you look half-dead already.\The Word...\Sit!\Now, then... Let us return to the village.\How weird...\All I said was Sit.\Let's see... I'll apply more salve on the wound on your belly.\Oww! response:	They're fixing the houses destroyed by that Centipede Monster.
context: The Word...\Sit!\Now, then... Let us return to the village.\How weird...\All I said was Sit.\Let's see... I'll apply more salve on the wound on your belly.\Oww!\They're fixing the houses destroyed by that Centipede Monster. response:	So much work!
context: Sit!\Now, then... Let us return to the village.\How weird...\All I said was Sit.\Let's see... I'll apply more salve on the wound on your belly.\Oww!\They're fixing the houses destroyed by that Centipede Monster.\So much work! response:	This does not bode well at all.
context: Now, then... Let us return to the village.\How weird...\All I said was Sit.\Let's see... I'll apply more salve on the wound on your belly.\Oww!\They're fixing the houses destroyed by that Centipede Monster.\So much work!\This does not bode well at all. response:	Now that the Sacred Jewel has reappeared...
context: How weird...\All I said was Sit.\Let's see... I'll apply more salve on the wound on your belly.\Oww!\They're fixing the houses destroyed by that Centipede Monster.\So much work!\This does not bode well at all.\Now that the Sacred Jewel has reappeared... response:	there will be others who seek to possess it.
context: All I said was Sit.\Let's see... I'll apply more salve on the wound on your belly.\Oww!\They're fixing the houses destroyed by that Centipede Monster.\So much work!\This does not bode well at all.\Now that the Sacred Jewel has reappeared...\there will be others who seek to possess it. response:	Like yesterday...
context: Let's see... I'll apply more salve on the wound on your belly.\Oww!\They're fixing the houses destroyed by that Centipede Monster.\So much work!\This does not bode well at all.\Now that the Sacred Jewel has reappeared...\there will be others who seek to possess it.\Like yesterday... response:	And not just demons...
context: Oww!\They're fixing the houses destroyed by that Centipede Monster.\So much work!\This does not bode well at all.\Now that the Sacred Jewel has reappeared...\there will be others who seek to possess it.\Like yesterday...\And not just demons... response:	but also humans, who have evil in their hearts.
context: They're fixing the houses destroyed by that Centipede Monster.\So much work!\This does not bode well at all.\Now that the Sacred Jewel has reappeared...\there will be others who seek to possess it.\Like yesterday...\And not just demons...\but also humans, who have evil in their hearts. response:	With all the violence in the world...
context: So much work!\This does not bode well at all.\Now that the Sacred Jewel has reappeared...\there will be others who seek to possess it.\Like yesterday...\And not just demons...\but also humans, who have evil in their hearts.\With all the violence in the world... response:	it follows there will be those who seek the Jewel's power...
context: This does not bode well at all.\Now that the Sacred Jewel has reappeared...\there will be others who seek to possess it.\Like yesterday...\And not just demons...\but also humans, who have evil in their hearts.\With all the violence in the world...\it follows there will be those who seek the Jewel's power... response:	to realize their greedy ambitions.
context: Now that the Sacred Jewel has reappeared...\there will be others who seek to possess it.\Like yesterday...\And not just demons...\but also humans, who have evil in their hearts.\With all the violence in the world...\it follows there will be those who seek the Jewel's power...\to realize their greedy ambitions. response:	Huh.
context: there will be others who seek to possess it.\Like yesterday...\And not just demons...\but also humans, who have evil in their hearts.\With all the violence in the world...\it follows there will be those who seek the Jewel's power...\to realize their greedy ambitions.\Huh. response:	Hey! Why are you here anyway?
context: Like yesterday...\And not just demons...\but also humans, who have evil in their hearts.\With all the violence in the world...\it follows there will be those who seek the Jewel's power...\to realize their greedy ambitions.\Huh.\Hey! Why are you here anyway? response:	Give me the Sacred Jewel!
context: And not just demons...\but also humans, who have evil in their hearts.\With all the violence in the world...\it follows there will be those who seek the Jewel's power...\to realize their greedy ambitions.\Huh.\Hey! Why are you here anyway?\Give me the Sacred Jewel! response:	It seems the holding power of the rosary is quite effective.
context: but also humans, who have evil in their hearts.\With all the violence in the world...\it follows there will be those who seek the Jewel's power...\to realize their greedy ambitions.\Huh.\Hey! Why are you here anyway?\Give me the Sacred Jewel!\It seems the holding power of the rosary is quite effective. response:	Even if he gets near the Sacred Jewel...
context: With all the violence in the world...\it follows there will be those who seek the Jewel's power...\to realize their greedy ambitions.\Huh.\Hey! Why are you here anyway?\Give me the Sacred Jewel!\It seems the holding power of the rosary is quite effective.\Even if he gets near the Sacred Jewel... response:	we do not have to worry.
context: it follows there will be those who seek the Jewel's power...\to realize their greedy ambitions.\Huh.\Hey! Why are you here anyway?\Give me the Sacred Jewel!\It seems the holding power of the rosary is quite effective.\Even if he gets near the Sacred Jewel...\we do not have to worry. response:	Why do you want the Sacred Jewel?
context: to realize their greedy ambitions.\Huh.\Hey! Why are you here anyway?\Give me the Sacred Jewel!\It seems the holding power of the rosary is quite effective.\Even if he gets near the Sacred Jewel...\we do not have to worry.\Why do you want the Sacred Jewel? response:	You're awfully strong right now.
context: Huh.\Hey! Why are you here anyway?\Give me the Sacred Jewel!\It seems the holding power of the rosary is quite effective.\Even if he gets near the Sacred Jewel...\we do not have to worry.\Why do you want the Sacred Jewel?\You're awfully strong right now. response:	You don't really need its power, do you?
context: Hey! Why are you here anyway?\Give me the Sacred Jewel!\It seems the holding power of the rosary is quite effective.\Even if he gets near the Sacred Jewel...\we do not have to worry.\Why do you want the Sacred Jewel?\You're awfully strong right now.\You don't really need its power, do you? response:	He is only half demon.
context: Give me the Sacred Jewel!\It seems the holding power of the rosary is quite effective.\Even if he gets near the Sacred Jewel...\we do not have to worry.\Why do you want the Sacred Jewel?\You're awfully strong right now.\You don't really need its power, do you?\He is only half demon. response:	You old hag!
context: It seems the holding power of the rosary is quite effective.\Even if he gets near the Sacred Jewel...\we do not have to worry.\Why do you want the Sacred Jewel?\You're awfully strong right now.\You don't really need its power, do you?\He is only half demon.\You old hag! response:	Who do you think you are, anyway.
context: Even if he gets near the Sacred Jewel...\we do not have to worry.\Why do you want the Sacred Jewel?\You're awfully strong right now.\You don't really need its power, do you?\He is only half demon.\You old hag!\Who do you think you are, anyway. response:	Don't talk as if you know all about me!
context: we do not have to worry.\Why do you want the Sacred Jewel?\You're awfully strong right now.\You don't really need its power, do you?\He is only half demon.\You old hag!\Who do you think you are, anyway.\Don't talk as if you know all about me! response:	Don't you understand?
context: Why do you want the Sacred Jewel?\You're awfully strong right now.\You don't really need its power, do you?\He is only half demon.\You old hag!\Who do you think you are, anyway.\Don't talk as if you know all about me!\Don't you understand? response:	I guess it can't be helped.
context: You're awfully strong right now.\You don't really need its power, do you?\He is only half demon.\You old hag!\Who do you think you are, anyway.\Don't talk as if you know all about me!\Don't you understand?\I guess it can't be helped. response:	I am the younger sister of Kikyo...
context: You don't really need its power, do you?\He is only half demon.\You old hag!\Who do you think you are, anyway.\Don't talk as if you know all about me!\Don't you understand?\I guess it can't be helped.\I am the younger sister of Kikyo... response:	the one who put the spell on you. I am Kaede.
context: He is only half demon.\You old hag!\Who do you think you are, anyway.\Don't talk as if you know all about me!\Don't you understand?\I guess it can't be helped.\I am the younger sister of Kikyo...\the one who put the spell on you. I am Kaede. response:	Kaede?
context: You old hag!\Who do you think you are, anyway.\Don't talk as if you know all about me!\Don't you understand?\I guess it can't be helped.\I am the younger sister of Kikyo...\the one who put the spell on you. I am Kaede.\Kaede? response:	So... You're that kid?
context: Who do you think you are, anyway.\Don't talk as if you know all about me!\Don't you understand?\I guess it can't be helped.\I am the younger sister of Kikyo...\the one who put the spell on you. I am Kaede.\Kaede?\So... You're that kid? response:	Fifty years have passed. And I have grown old.
context: Don't talk as if you know all about me!\Don't you understand?\I guess it can't be helped.\I am the younger sister of Kikyo...\the one who put the spell on you. I am Kaede.\Kaede?\So... You're that kid?\Fifty years have passed. And I have grown old. response:	And that means...
context: Don't you understand?\I guess it can't be helped.\I am the younger sister of Kikyo...\the one who put the spell on you. I am Kaede.\Kaede?\So... You're that kid?\Fifty years have passed. And I have grown old.\And that means... response:	Kikyo must be really old now, too.
context: I guess it can't be helped.\I am the younger sister of Kikyo...\the one who put the spell on you. I am Kaede.\Kaede?\So... You're that kid?\Fifty years have passed. And I have grown old.\And that means...\Kikyo must be really old now, too. response:	Humans age so easily.
context: I am the younger sister of Kikyo...\the one who put the spell on you. I am Kaede.\Kaede?\So... You're that kid?\Fifty years have passed. And I have grown old.\And that means...\Kikyo must be really old now, too.\Humans age so easily. response:	That's the way it goes.
context: the one who put the spell on you. I am Kaede.\Kaede?\So... You're that kid?\Fifty years have passed. And I have grown old.\And that means...\Kikyo must be really old now, too.\Humans age so easily.\That's the way it goes. response:	My sister Kikyo died.
context: Kaede?\So... You're that kid?\Fifty years have passed. And I have grown old.\And that means...\Kikyo must be really old now, too.\Humans age so easily.\That's the way it goes.\My sister Kikyo died. response:	On the same day that she shot the spellbound arrow at you.
context: So... You're that kid?\Fifty years have passed. And I have grown old.\And that means...\Kikyo must be really old now, too.\Humans age so easily.\That's the way it goes.\My sister Kikyo died.\On the same day that she shot the spellbound arrow at you. response:	Ah, so that's how it went. She kicked the bucket, huh?
context: Fifty years have passed. And I have grown old.\And that means...\Kikyo must be really old now, too.\Humans age so easily.\That's the way it goes.\My sister Kikyo died.\On the same day that she shot the spellbound arrow at you.\Ah, so that's how it went. She kicked the bucket, huh? response:	What a relief!
context: And that means...\Kikyo must be really old now, too.\Humans age so easily.\That's the way it goes.\My sister Kikyo died.\On the same day that she shot the spellbound arrow at you.\Ah, so that's how it went. She kicked the bucket, huh?\What a relief! response:	Inuyasha, it is too early to breathe a sigh of relief.
context: Kikyo must be really old now, too.\Humans age so easily.\That's the way it goes.\My sister Kikyo died.\On the same day that she shot the spellbound arrow at you.\Ah, so that's how it went. She kicked the bucket, huh?\What a relief!\Inuyasha, it is too early to breathe a sigh of relief. response:	Kagome...
context: Humans age so easily.\That's the way it goes.\My sister Kikyo died.\On the same day that she shot the spellbound arrow at you.\Ah, so that's how it went. She kicked the bucket, huh?\What a relief!\Inuyasha, it is too early to breathe a sigh of relief.\Kagome... response:	You are the reincarnation of my sister, Kikyo.
context: That's the way it goes.\My sister Kikyo died.\On the same day that she shot the spellbound arrow at you.\Ah, so that's how it went. She kicked the bucket, huh?\What a relief!\Inuyasha, it is too early to breathe a sigh of relief.\Kagome...\You are the reincarnation of my sister, Kikyo. response:	What?
context: My sister Kikyo died.\On the same day that she shot the spellbound arrow at you.\Ah, so that's how it went. She kicked the bucket, huh?\What a relief!\Inuyasha, it is too early to breathe a sigh of relief.\Kagome...\You are the reincarnation of my sister, Kikyo.\What? response:	It's not just your appearance or psychic powers...
context: On the same day that she shot the spellbound arrow at you.\Ah, so that's how it went. She kicked the bucket, huh?\What a relief!\Inuyasha, it is too early to breathe a sigh of relief.\Kagome...\You are the reincarnation of my sister, Kikyo.\What?\It's not just your appearance or psychic powers... response:	but the fact that you carried the Jewel within yourself...
context: Ah, so that's how it went. She kicked the bucket, huh?\What a relief!\Inuyasha, it is too early to breathe a sigh of relief.\Kagome...\You are the reincarnation of my sister, Kikyo.\What?\It's not just your appearance or psychic powers...\but the fact that you carried the Jewel within yourself... response:	that is irrefutable proof.
context: What a relief!\Inuyasha, it is too early to breathe a sigh of relief.\Kagome...\You are the reincarnation of my sister, Kikyo.\What?\It's not just your appearance or psychic powers...\but the fact that you carried the Jewel within yourself...\that is irrefutable proof. response:	You must protect the Sacred Jewel, Kagome.
context: Inuyasha, it is too early to breathe a sigh of relief.\Kagome...\You are the reincarnation of my sister, Kikyo.\What?\It's not just your appearance or psychic powers...\but the fact that you carried the Jewel within yourself...\that is irrefutable proof.\You must protect the Sacred Jewel, Kagome. response:	I must protect this Jewel...?
context: Kagome...\You are the reincarnation of my sister, Kikyo.\What?\It's not just your appearance or psychic powers...\but the fact that you carried the Jewel within yourself...\that is irrefutable proof.\You must protect the Sacred Jewel, Kagome.\I must protect this Jewel...? response:	That's ridiculous...
context: You are the reincarnation of my sister, Kikyo.\What?\It's not just your appearance or psychic powers...\but the fact that you carried the Jewel within yourself...\that is irrefutable proof.\You must protect the Sacred Jewel, Kagome.\I must protect this Jewel...?\That's ridiculous... response:	She's what?! High Priestess Kikyo's??
context: What?\It's not just your appearance or psychic powers...\but the fact that you carried the Jewel within yourself...\that is irrefutable proof.\You must protect the Sacred Jewel, Kagome.\I must protect this Jewel...?\That's ridiculous...\She's what?! High Priestess Kikyo's?? response:	When you think about it, she does seem quite saintly...
context: It's not just your appearance or psychic powers...\but the fact that you carried the Jewel within yourself...\that is irrefutable proof.\You must protect the Sacred Jewel, Kagome.\I must protect this Jewel...?\That's ridiculous...\She's what?! High Priestess Kikyo's??\When you think about it, she does seem quite saintly... response:	What's up?
context: but the fact that you carried the Jewel within yourself...\that is irrefutable proof.\You must protect the Sacred Jewel, Kagome.\I must protect this Jewel...?\That's ridiculous...\She's what?! High Priestess Kikyo's??\When you think about it, she does seem quite saintly...\What's up? response:	The kid's the reincarnation of High Priestess Kikyo.
context: that is irrefutable proof.\You must protect the Sacred Jewel, Kagome.\I must protect this Jewel...?\That's ridiculous...\She's what?! High Priestess Kikyo's??\When you think about it, she does seem quite saintly...\What's up?\The kid's the reincarnation of High Priestess Kikyo. response:	Watch your language!
context: You must protect the Sacred Jewel, Kagome.\I must protect this Jewel...?\That's ridiculous...\She's what?! High Priestess Kikyo's??\When you think about it, she does seem quite saintly...\What's up?\The kid's the reincarnation of High Priestess Kikyo.\Watch your language! response:	Show some respect for the young lady!
context: I must protect this Jewel...?\That's ridiculous...\She's what?! High Priestess Kikyo's??\When you think about it, she does seem quite saintly...\What's up?\The kid's the reincarnation of High Priestess Kikyo.\Watch your language!\Show some respect for the young lady! response:	The young lady is a reincarnation!
context: That's ridiculous...\She's what?! High Priestess Kikyo's??\When you think about it, she does seem quite saintly...\What's up?\The kid's the reincarnation of High Priestess Kikyo.\Watch your language!\Show some respect for the young lady!\The young lady is a reincarnation! response:	They're worshipping me!
context: She's what?! High Priestess Kikyo's??\When you think about it, she does seem quite saintly...\What's up?\The kid's the reincarnation of High Priestess Kikyo.\Watch your language!\Show some respect for the young lady!\The young lady is a reincarnation!\They're worshipping me! response:	So... She's dead.
context: When you think about it, she does seem quite saintly...\What's up?\The kid's the reincarnation of High Priestess Kikyo.\Watch your language!\Show some respect for the young lady!\The young lady is a reincarnation!\They're worshipping me!\So... She's dead. response:	Here! I'll share with you.
context: What's up?\The kid's the reincarnation of High Priestess Kikyo.\Watch your language!\Show some respect for the young lady!\The young lady is a reincarnation!\They're worshipping me!\So... She's dead.\Here! I'll share with you. response:	What?! What's with all that food?
context: The kid's the reincarnation of High Priestess Kikyo.\Watch your language!\Show some respect for the young lady!\The young lady is a reincarnation!\They're worshipping me!\So... She's dead.\Here! I'll share with you.\What?! What's with all that food? response:	The villagers' offerings.
context: Watch your language!\Show some respect for the young lady!\The young lady is a reincarnation!\They're worshipping me!\So... She's dead.\Here! I'll share with you.\What?! What's with all that food?\The villagers' offerings. response:	Say, can't you come down? Let's eat together.
context: Show some respect for the young lady!\The young lady is a reincarnation!\They're worshipping me!\So... She's dead.\Here! I'll share with you.\What?! What's with all that food?\The villagers' offerings.\Say, can't you come down? Let's eat together. response:	You're up to somethin', I know it.
context: The young lady is a reincarnation!\They're worshipping me!\So... She's dead.\Here! I'll share with you.\What?! What's with all that food?\The villagers' offerings.\Say, can't you come down? Let's eat together.\You're up to somethin', I know it. response:	Am not.
