context: they're gonna bash the Star Rose into the gate! response:	You're going to ram the Star Rose into the gate?!
context: Fight... Fight... Fight...\FIGHT!\That's right!\I am sure you must understand... ME!\All fleets, enter an oblique battle formation!\Protect the Star Rose at all costs!\65 of enemy forces have concentrated on the AHSMB units.\35 are currently approaching the Star Rose. response:	All enemies from Quadrants D to E are fast upon us!
context: FIGHT!\That's right!\I am sure you must understand... ME!\All fleets, enter an oblique battle formation!\Protect the Star Rose at all costs!\65 of enemy forces have concentrated on the AHSMB units.\35 are currently approaching the Star Rose.\All enemies from Quadrants D to E are fast upon us! response:	Suruga, concentrate fire in the EE-8 direction.
context: That's right!\I am sure you must understand... ME!\All fleets, enter an oblique battle formation!\Protect the Star Rose at all costs!\65 of enemy forces have concentrated on the AHSMB units.\35 are currently approaching the Star Rose.\All enemies from Quadrants D to E are fast upon us!\Suruga, concentrate fire in the EE-8 direction. response:	Asagi, you take DD-7!
context: I am sure you must understand... ME!\All fleets, enter an oblique battle formation!\Protect the Star Rose at all costs!\65 of enemy forces have concentrated on the AHSMB units.\35 are currently approaching the Star Rose.\All enemies from Quadrants D to E are fast upon us!\Suruga, concentrate fire in the EE-8 direction.\Asagi, you take DD-7! response:	Tamaki, charge in the EA-5 direction!
context: All fleets, enter an oblique battle formation!\Protect the Star Rose at all costs!\65 of enemy forces have concentrated on the AHSMB units.\35 are currently approaching the Star Rose.\All enemies from Quadrants D to E are fast upon us!\Suruga, concentrate fire in the EE-8 direction.\Asagi, you take DD-7!\Tamaki, charge in the EA-5 direction! response:	Roger!
context: Protect the Star Rose at all costs!\65 of enemy forces have concentrated on the AHSMB units.\35 are currently approaching the Star Rose.\All enemies from Quadrants D to E are fast upon us!\Suruga, concentrate fire in the EE-8 direction.\Asagi, you take DD-7!\Tamaki, charge in the EA-5 direction!\Roger! response:	I'm outta ammo again!
context: 65 of enemy forces have concentrated on the AHSMB units.\35 are currently approaching the Star Rose.\All enemies from Quadrants D to E are fast upon us!\Suruga, concentrate fire in the EE-8 direction.\Asagi, you take DD-7!\Tamaki, charge in the EA-5 direction!\Roger!\I'm outta ammo again! response:	You've already burned through everything, Stupid?
context: 35 are currently approaching the Star Rose.\All enemies from Quadrants D to E are fast upon us!\Suruga, concentrate fire in the EE-8 direction.\Asagi, you take DD-7!\Tamaki, charge in the EA-5 direction!\Roger!\I'm outta ammo again!\You've already burned through everything, Stupid? response:	I'll load her back up in a jiff, Stupid!
context: All enemies from Quadrants D to E are fast upon us!\Suruga, concentrate fire in the EE-8 direction.\Asagi, you take DD-7!\Tamaki, charge in the EA-5 direction!\Roger!\I'm outta ammo again!\You've already burned through everything, Stupid?\I'll load her back up in a jiff, Stupid! response:	Stupid!
context: Suruga, concentrate fire in the EE-8 direction.\Asagi, you take DD-7!\Tamaki, charge in the EA-5 direction!\Roger!\I'm outta ammo again!\You've already burned through everything, Stupid?\I'll load her back up in a jiff, Stupid!\Stupid! response:	Jeez!
context: Asagi, you take DD-7!\Tamaki, charge in the EA-5 direction!\Roger!\I'm outta ammo again!\You've already burned through everything, Stupid?\I'll load her back up in a jiff, Stupid!\Stupid!\Jeez! response:	The charged particle cannon-!
context: Tamaki, charge in the EA-5 direction!\Roger!\I'm outta ammo again!\You've already burned through everything, Stupid?\I'll load her back up in a jiff, Stupid!\Stupid!\Jeez!\The charged particle cannon-! response:	Bros, please prep a heavy laser!
context: Roger!\I'm outta ammo again!\You've already burned through everything, Stupid?\I'll load her back up in a jiff, Stupid!\Stupid!\Jeez!\The charged particle cannon-!\Bros, please prep a heavy laser! response:	He called us, Bros!
context: I'm outta ammo again!\You've already burned through everything, Stupid?\I'll load her back up in a jiff, Stupid!\Stupid!\Jeez!\The charged particle cannon-!\Bros, please prep a heavy laser!\He called us, Bros! response:	Okay! Hurry back on the double!
context: You've already burned through everything, Stupid?\I'll load her back up in a jiff, Stupid!\Stupid!\Jeez!\The charged particle cannon-!\Bros, please prep a heavy laser!\He called us, Bros!\Okay! Hurry back on the double! response:	We'll be waiting!
context: I'll load her back up in a jiff, Stupid!\Stupid!\Jeez!\The charged particle cannon-!\Bros, please prep a heavy laser!\He called us, Bros!\Okay! Hurry back on the double!\We'll be waiting! response:	Blue 1 has too much stress on its elbow joints!
context: Stupid!\Jeez!\The charged particle cannon-!\Bros, please prep a heavy laser!\He called us, Bros!\Okay! Hurry back on the double!\We'll be waiting!\Blue 1 has too much stress on its elbow joints! response:	I don't mean the units, but the actual people!
context: Jeez!\The charged particle cannon-!\Bros, please prep a heavy laser!\He called us, Bros!\Okay! Hurry back on the double!\We'll be waiting!\Blue 1 has too much stress on its elbow joints!\I don't mean the units, but the actual people! response:	Make them relax!
context: The charged particle cannon-!\Bros, please prep a heavy laser!\He called us, Bros!\Okay! Hurry back on the double!\We'll be waiting!\Blue 1 has too much stress on its elbow joints!\I don't mean the units, but the actual people!\Make them relax! response:	Roger!
context: Bros, please prep a heavy laser!\He called us, Bros!\Okay! Hurry back on the double!\We'll be waiting!\Blue 1 has too much stress on its elbow joints!\I don't mean the units, but the actual people!\Make them relax!\Roger! response:	Purple 2 has exceeded the limit of reparability.
context: He called us, Bros!\Okay! Hurry back on the double!\We'll be waiting!\Blue 1 has too much stress on its elbow joints!\I don't mean the units, but the actual people!\Make them relax!\Roger!\Purple 2 has exceeded the limit of reparability. response:	Reduce irrelevant information and distribute the proshesses.
context: Okay! Hurry back on the double!\We'll be waiting!\Blue 1 has too much stress on its elbow joints!\I don't mean the units, but the actual people!\Make them relax!\Roger!\Purple 2 has exceeded the limit of reparability.\Reduce irrelevant information and distribute the proshesses. response:	What did she just say?
context: We'll be waiting!\Blue 1 has too much stress on its elbow joints!\I don't mean the units, but the actual people!\Make them relax!\Roger!\Purple 2 has exceeded the limit of reparability.\Reduce irrelevant information and distribute the proshesses.\What did she just say? response:	She meant, Distribute the processes.
context: Blue 1 has too much stress on its elbow joints!\I don't mean the units, but the actual people!\Make them relax!\Roger!\Purple 2 has exceeded the limit of reparability.\Reduce irrelevant information and distribute the proshesses.\What did she just say?\She meant, Distribute the processes. response:	Boss, you aren't drunk, are you?
context: I don't mean the units, but the actual people!\Make them relax!\Roger!\Purple 2 has exceeded the limit of reparability.\Reduce irrelevant information and distribute the proshesses.\What did she just say?\She meant, Distribute the processes.\Boss, you aren't drunk, are you? response:	Nah, she's just been talking non-stop.
context: Make them relax!\Roger!\Purple 2 has exceeded the limit of reparability.\Reduce irrelevant information and distribute the proshesses.\What did she just say?\She meant, Distribute the processes.\Boss, you aren't drunk, are you?\Nah, she's just been talking non-stop. response:	When this is over, I'm gonna drink till I drop, so pick up the tab!
context: Roger!\Purple 2 has exceeded the limit of reparability.\Reduce irrelevant information and distribute the proshesses.\What did she just say?\She meant, Distribute the processes.\Boss, you aren't drunk, are you?\Nah, she's just been talking non-stop.\When this is over, I'm gonna drink till I drop, so pick up the tab! response:	You can have a whole keg!
context: Purple 2 has exceeded the limit of reparability.\Reduce irrelevant information and distribute the proshesses.\What did she just say?\She meant, Distribute the processes.\Boss, you aren't drunk, are you?\Nah, she's just been talking non-stop.\When this is over, I'm gonna drink till I drop, so pick up the tab!\You can have a whole keg! response:	And here it's completely over-heated...
context: Reduce irrelevant information and distribute the proshesses.\What did she just say?\She meant, Distribute the processes.\Boss, you aren't drunk, are you?\Nah, she's just been talking non-stop.\When this is over, I'm gonna drink till I drop, so pick up the tab!\You can have a whole keg!\And here it's completely over-heated... response:	How come it's still able to move like that?
context: What did she just say?\She meant, Distribute the processes.\Boss, you aren't drunk, are you?\Nah, she's just been talking non-stop.\When this is over, I'm gonna drink till I drop, so pick up the tab!\You can have a whole keg!\And here it's completely over-heated...\How come it's still able to move like that? response:	The amazing feats
context: She meant, Distribute the processes.\Boss, you aren't drunk, are you?\Nah, she's just been talking non-stop.\When this is over, I'm gonna drink till I drop, so pick up the tab!\You can have a whole keg!\And here it's completely over-heated...\How come it's still able to move like that?\The amazing feats response:	accomplished by an AHSMB unit
context: Boss, you aren't drunk, are you?\Nah, she's just been talking non-stop.\When this is over, I'm gonna drink till I drop, so pick up the tab!\You can have a whole keg!\And here it's completely over-heated...\How come it's still able to move like that?\The amazing feats\accomplished by an AHSMB unit response:	unit when at its limits!
context: Nah, she's just been talking non-stop.\When this is over, I'm gonna drink till I drop, so pick up the tab!\You can have a whole keg!\And here it's completely over-heated...\How come it's still able to move like that?\The amazing feats\accomplished by an AHSMB unit\unit when at its limits! response:	Are you going to start reciting them all?
context: When this is over, I'm gonna drink till I drop, so pick up the tab!\You can have a whole keg!\And here it's completely over-heated...\How come it's still able to move like that?\The amazing feats\accomplished by an AHSMB unit\unit when at its limits!\Are you going to start reciting them all? response:	Prey! I must defeat my prey!
context: You can have a whole keg!\And here it's completely over-heated...\How come it's still able to move like that?\The amazing feats\accomplished by an AHSMB unit\unit when at its limits!\Are you going to start reciting them all?\Prey! I must defeat my prey! response:	Fear? I am afraid...?
context: And here it's completely over-heated...\How come it's still able to move like that?\The amazing feats\accomplished by an AHSMB unit\unit when at its limits!\Are you going to start reciting them all?\Prey! I must defeat my prey!\Fear? I am afraid...? response:	I see... Fascinating!
context: How come it's still able to move like that?\The amazing feats\accomplished by an AHSMB unit\unit when at its limits!\Are you going to start reciting them all?\Prey! I must defeat my prey!\Fear? I am afraid...?\I see... Fascinating! response:	The way I am moving, it feels like Ive become one with Red 5.
context: The amazing feats\accomplished by an AHSMB unit\unit when at its limits!\Are you going to start reciting them all?\Prey! I must defeat my prey!\Fear? I am afraid...?\I see... Fascinating!\The way I am moving, it feels like Ive become one with Red 5. response:	No, am I the one being moved?
context: accomplished by an AHSMB unit\unit when at its limits!\Are you going to start reciting them all?\Prey! I must defeat my prey!\Fear? I am afraid...?\I see... Fascinating!\The way I am moving, it feels like Ive become one with Red 5.\No, am I the one being moved? response:	It's moving me to fight... To protect itself...
context: unit when at its limits!\Are you going to start reciting them all?\Prey! I must defeat my prey!\Fear? I am afraid...?\I see... Fascinating!\The way I am moving, it feels like Ive become one with Red 5.\No, am I the one being moved?\It's moving me to fight... To protect itself... response:	No! I'M the one out here fighting!
context: Are you going to start reciting them all?\Prey! I must defeat my prey!\Fear? I am afraid...?\I see... Fascinating!\The way I am moving, it feels like Ive become one with Red 5.\No, am I the one being moved?\It's moving me to fight... To protect itself...\No! I'M the one out here fighting! response:	Fight!
context: Prey! I must defeat my prey!\Fear? I am afraid...?\I see... Fascinating!\The way I am moving, it feels like Ive become one with Red 5.\No, am I the one being moved?\It's moving me to fight... To protect itself...\No! I'M the one out here fighting!\Fight! response:	FIGHT!
context: Fear? I am afraid...?\I see... Fascinating!\The way I am moving, it feels like Ive become one with Red 5.\No, am I the one being moved?\It's moving me to fight... To protect itself...\No! I'M the one out here fighting!\Fight!\FIGHT! response:	Red 5, that is enough! Red 5?
context: I see... Fascinating!\The way I am moving, it feels like Ive become one with Red 5.\No, am I the one being moved?\It's moving me to fight... To protect itself...\No! I'M the one out here fighting!\Fight!\FIGHT!\Red 5, that is enough! Red 5? response:	Your body can't handle any more combat!
context: The way I am moving, it feels like Ive become one with Red 5.\No, am I the one being moved?\It's moving me to fight... To protect itself...\No! I'M the one out here fighting!\Fight!\FIGHT!\Red 5, that is enough! Red 5?\Your body can't handle any more combat! response:	The captain...
context: No, am I the one being moved?\It's moving me to fight... To protect itself...\No! I'M the one out here fighting!\Fight!\FIGHT!\Red 5, that is enough! Red 5?\Your body can't handle any more combat!\The captain... response:	Don't run away!
context: It's moving me to fight... To protect itself...\No! I'M the one out here fighting!\Fight!\FIGHT!\Red 5, that is enough! Red 5?\Your body can't handle any more combat!\The captain...\Don't run away! response:	No, I'm not!
context: No! I'M the one out here fighting!\Fight!\FIGHT!\Red 5, that is enough! Red 5?\Your body can't handle any more combat!\The captain...\Don't run away!\No, I'm not! response:	I've got to go back!
context: Fight!\FIGHT!\Red 5, that is enough! Red 5?\Your body can't handle any more combat!\The captain...\Don't run away!\No, I'm not!\I've got to go back! response:	Fight! Fight... Fight...
context: FIGHT!\Red 5, that is enough! Red 5?\Your body can't handle any more combat!\The captain...\Don't run away!\No, I'm not!\I've got to go back!\Fight! Fight... Fight... response:	I can't!
context: Red 5, that is enough! Red 5?\Your body can't handle any more combat!\The captain...\Don't run away!\No, I'm not!\I've got to go back!\Fight! Fight... Fight...\I can't! response:	Fight! Fight...! Fight...!
context: Your body can't handle any more combat!\The captain...\Don't run away!\No, I'm not!\I've got to go back!\Fight! Fight... Fight...\I can't!\Fight! Fight...! Fight...! response:	I CAN'T!
context: The captain...\Don't run away!\No, I'm not!\I've got to go back!\Fight! Fight... Fight...\I can't!\Fight! Fight...! Fight...!\I CAN'T! response:	FIGHT!
context: Don't run away!\No, I'm not!\I've got to go back!\Fight! Fight... Fight...\I can't!\Fight! Fight...! Fight...!\I CAN'T!\FIGHT! response:	It hurts! I can't breathe!
context: No, I'm not!\I've got to go back!\Fight! Fight... Fight...\I can't!\Fight! Fight...! Fight...!\I CAN'T!\FIGHT!\It hurts! I can't breathe! response:	My body won't move!
context: I've got to go back!\Fight! Fight... Fight...\I can't!\Fight! Fight...! Fight...!\I CAN'T!\FIGHT!\It hurts! I can't breathe!\My body won't move! response:	Despite all of that, I still want to fight...
context: Fight! Fight... Fight...\I can't!\Fight! Fight...! Fight...!\I CAN'T!\FIGHT!\It hurts! I can't breathe!\My body won't move!\Despite all of that, I still want to fight... response:	Red 5! Red 5, come in!
context: I can't!\Fight! Fight...! Fight...!\I CAN'T!\FIGHT!\It hurts! I can't breathe!\My body won't move!\Despite all of that, I still want to fight...\Red 5! Red 5, come in! response:	Red 5!
context: Fight! Fight...! Fight...!\I CAN'T!\FIGHT!\It hurts! I can't breathe!\My body won't move!\Despite all of that, I still want to fight...\Red 5! Red 5, come in!\Red 5! response:	Izuru... Is something going on?
context: I CAN'T!\FIGHT!\It hurts! I can't breathe!\My body won't move!\Despite all of that, I still want to fight...\Red 5! Red 5, come in!\Red 5!\Izuru... Is something going on? response:	Tamaki, Suruga, hurry back to the battlefield!
context: FIGHT!\It hurts! I can't breathe!\My body won't move!\Despite all of that, I still want to fight...\Red 5! Red 5, come in!\Red 5!\Izuru... Is something going on?\Tamaki, Suruga, hurry back to the battlefield! response:	Requesting emergency support fire!
context: It hurts! I can't breathe!\My body won't move!\Despite all of that, I still want to fight...\Red 5! Red 5, come in!\Red 5!\Izuru... Is something going on?\Tamaki, Suruga, hurry back to the battlefield!\Requesting emergency support fire! response:	Kei, please bring Izuru back!
context: My body won't move!\Despite all of that, I still want to fight...\Red 5! Red 5, come in!\Red 5!\Izuru... Is something going on?\Tamaki, Suruga, hurry back to the battlefield!\Requesting emergency support fire!\Kei, please bring Izuru back! response:	Huh?
context: Despite all of that, I still want to fight...\Red 5! Red 5, come in!\Red 5!\Izuru... Is something going on?\Tamaki, Suruga, hurry back to the battlefield!\Requesting emergency support fire!\Kei, please bring Izuru back!\Huh? response:	If this keeps up, he's going to keep fighting even
context: Red 5! Red 5, come in!\Red 5!\Izuru... Is something going on?\Tamaki, Suruga, hurry back to the battlefield!\Requesting emergency support fire!\Kei, please bring Izuru back!\Huh?\If this keeps up, he's going to keep fighting even response:	after the Star Rose hits the gate!
context: Red 5!\Izuru... Is something going on?\Tamaki, Suruga, hurry back to the battlefield!\Requesting emergency support fire!\Kei, please bring Izuru back!\Huh?\If this keeps up, he's going to keep fighting even\after the Star Rose hits the gate! response:	And at this rate, he'll...
context: Izuru... Is something going on?\Tamaki, Suruga, hurry back to the battlefield!\Requesting emergency support fire!\Kei, please bring Izuru back!\Huh?\If this keeps up, he's going to keep fighting even\after the Star Rose hits the gate!\And at this rate, he'll... response:	Please go.
context: Tamaki, Suruga, hurry back to the battlefield!\Requesting emergency support fire!\Kei, please bring Izuru back!\Huh?\If this keeps up, he's going to keep fighting even\after the Star Rose hits the gate!\And at this rate, he'll...\Please go. response:	You really are his big brother, Asagi.
context: Requesting emergency support fire!\Kei, please bring Izuru back!\Huh?\If this keeps up, he's going to keep fighting even\after the Star Rose hits the gate!\And at this rate, he'll...\Please go.\You really are his big brother, Asagi. response:	Suruga, please cover Kei.
context: Kei, please bring Izuru back!\Huh?\If this keeps up, he's going to keep fighting even\after the Star Rose hits the gate!\And at this rate, he'll...\Please go.\You really are his big brother, Asagi.\Suruga, please cover Kei. response:	Sure thing!
context: Huh?\If this keeps up, he's going to keep fighting even\after the Star Rose hits the gate!\And at this rate, he'll...\Please go.\You really are his big brother, Asagi.\Suruga, please cover Kei.\Sure thing! response:	Ya gotta wait to get a good shot,
context: If this keeps up, he's going to keep fighting even\after the Star Rose hits the gate!\And at this rate, he'll...\Please go.\You really are his big brother, Asagi.\Suruga, please cover Kei.\Sure thing!\Ya gotta wait to get a good shot, response:	but if all you do is wait, you'll never hit your prey, huh?
