context: This is a world of magic. response:	Magic is bought and sold here every day, and is an integral part of people's daily lives.
context: Listen up, everyone!\Those who call themselves wizards shall ne'er neglect sharpening their skills!\They shall polish their techniques, and perform jobs on request!\And they must earn their daily bread!\For as there be sunny days, surely there be rainy ones!\For as there be days in which work is finished without trouble,\surely there be days which are naught but an uphill struggle!\However! response:	No matter what happens, tomorrow will always come!
context: Those who call themselves wizards shall ne'er neglect sharpening their skills!\They shall polish their techniques, and perform jobs on request!\And they must earn their daily bread!\For as there be sunny days, surely there be rainy ones!\For as there be days in which work is finished without trouble,\surely there be days which are naught but an uphill struggle!\However!\No matter what happens, tomorrow will always come! response:	And we shall continue to walk the path, as wizards!
context: They shall polish their techniques, and perform jobs on request!\And they must earn their daily bread!\For as there be sunny days, surely there be rainy ones!\For as there be days in which work is finished without trouble,\surely there be days which are naught but an uphill struggle!\However!\No matter what happens, tomorrow will always come!\And we shall continue to walk the path, as wizards! response:	That's what it means to be a Fairy Tail wizard!
context: And they must earn their daily bread!\For as there be sunny days, surely there be rainy ones!\For as there be days in which work is finished without trouble,\surely there be days which are naught but an uphill struggle!\However!\No matter what happens, tomorrow will always come!\And we shall continue to walk the path, as wizards!\That's what it means to be a Fairy Tail wizard! response:	Everyone, you've worked really hard this past year!
context: For as there be sunny days, surely there be rainy ones!\For as there be days in which work is finished without trouble,\surely there be days which are naught but an uphill struggle!\However!\No matter what happens, tomorrow will always come!\And we shall continue to walk the path, as wizards!\That's what it means to be a Fairy Tail wizard!\Everyone, you've worked really hard this past year! response:	And so, in honor of your hard work, tomorrow will be the long-awaited...
context: For as there be days in which work is finished without trouble,\surely there be days which are naught but an uphill struggle!\However!\No matter what happens, tomorrow will always come!\And we shall continue to walk the path, as wizards!\That's what it means to be a Fairy Tail wizard!\Everyone, you've worked really hard this past year!\And so, in honor of your hard work, tomorrow will be the long-awaited... response:	And today we'll have a pre-celebration!
context: surely there be days which are naught but an uphill struggle!\However!\No matter what happens, tomorrow will always come!\And we shall continue to walk the path, as wizards!\That's what it means to be a Fairy Tail wizard!\Everyone, you've worked really hard this past year!\And so, in honor of your hard work, tomorrow will be the long-awaited...\And today we'll have a pre-celebration! response:	Drink! Drink!
context: However!\No matter what happens, tomorrow will always come!\And we shall continue to walk the path, as wizards!\That's what it means to be a Fairy Tail wizard!\Everyone, you've worked really hard this past year!\And so, in honor of your hard work, tomorrow will be the long-awaited...\And today we'll have a pre-celebration!\Drink! Drink! response:	This is messed up.
context: No matter what happens, tomorrow will always come!\And we shall continue to walk the path, as wizards!\That's what it means to be a Fairy Tail wizard!\Everyone, you've worked really hard this past year!\And so, in honor of your hard work, tomorrow will be the long-awaited...\And today we'll have a pre-celebration!\Drink! Drink!\This is messed up. response:	Rainbow Sakura
context: And we shall continue to walk the path, as wizards!\That's what it means to be a Fairy Tail wizard!\Everyone, you've worked really hard this past year!\And so, in honor of your hard work, tomorrow will be the long-awaited...\And today we'll have a pre-celebration!\Drink! Drink!\This is messed up.\Rainbow Sakura response:	Everyone, please take it easy since tomorrow's the real deal.
context: That's what it means to be a Fairy Tail wizard!\Everyone, you've worked really hard this past year!\And so, in honor of your hard work, tomorrow will be the long-awaited...\And today we'll have a pre-celebration!\Drink! Drink!\This is messed up.\Rainbow Sakura\Everyone, please take it easy since tomorrow's the real deal. response:	So everyone's saying drink, drink just'cause it's hanami time?
context: Everyone, you've worked really hard this past year!\And so, in honor of your hard work, tomorrow will be the long-awaited...\And today we'll have a pre-celebration!\Drink! Drink!\This is messed up.\Rainbow Sakura\Everyone, please take it easy since tomorrow's the real deal.\So everyone's saying drink, drink just'cause it's hanami time? response:	Isn't everyone getting a little too excited?
context: And so, in honor of your hard work, tomorrow will be the long-awaited...\And today we'll have a pre-celebration!\Drink! Drink!\This is messed up.\Rainbow Sakura\Everyone, please take it easy since tomorrow's the real deal.\So everyone's saying drink, drink just'cause it's hanami time?\Isn't everyone getting a little too excited? response:	You're one to talk.
context: And today we'll have a pre-celebration!\Drink! Drink!\This is messed up.\Rainbow Sakura\Everyone, please take it easy since tomorrow's the real deal.\So everyone's saying drink, drink just'cause it's hanami time?\Isn't everyone getting a little too excited?\You're one to talk. response:	It's like you're at a hanami all year!
context: Drink! Drink!\This is messed up.\Rainbow Sakura\Everyone, please take it easy since tomorrow's the real deal.\So everyone's saying drink, drink just'cause it's hanami time?\Isn't everyone getting a little too excited?\You're one to talk.\It's like you're at a hanami all year! response:	If you're a Man, then look at cherry blossoms!
context: This is messed up.\Rainbow Sakura\Everyone, please take it easy since tomorrow's the real deal.\So everyone's saying drink, drink just'cause it's hanami time?\Isn't everyone getting a little too excited?\You're one to talk.\It's like you're at a hanami all year!\If you're a Man, then look at cherry blossoms! response:	Dad, I'm counting on you to win the grand prize at bingo this year!
context: Rainbow Sakura\Everyone, please take it easy since tomorrow's the real deal.\So everyone's saying drink, drink just'cause it's hanami time?\Isn't everyone getting a little too excited?\You're one to talk.\It's like you're at a hanami all year!\If you're a Man, then look at cherry blossoms!\Dad, I'm counting on you to win the grand prize at bingo this year! response:	Sure! Leave it to me!
context: Everyone, please take it easy since tomorrow's the real deal.\So everyone's saying drink, drink just'cause it's hanami time?\Isn't everyone getting a little too excited?\You're one to talk.\It's like you're at a hanami all year!\If you're a Man, then look at cherry blossoms!\Dad, I'm counting on you to win the grand prize at bingo this year!\Sure! Leave it to me! response:	Just watch me this year!
context: So everyone's saying drink, drink just'cause it's hanami time?\Isn't everyone getting a little too excited?\You're one to talk.\It's like you're at a hanami all year!\If you're a Man, then look at cherry blossoms!\Dad, I'm counting on you to win the grand prize at bingo this year!\Sure! Leave it to me!\Just watch me this year! response:	It was no use last year or the one before that...
context: Isn't everyone getting a little too excited?\You're one to talk.\It's like you're at a hanami all year!\If you're a Man, then look at cherry blossoms!\Dad, I'm counting on you to win the grand prize at bingo this year!\Sure! Leave it to me!\Just watch me this year!\It was no use last year or the one before that... response:	Okay then... I'm gonna do my best at bingo, too!
context: You're one to talk.\It's like you're at a hanami all year!\If you're a Man, then look at cherry blossoms!\Dad, I'm counting on you to win the grand prize at bingo this year!\Sure! Leave it to me!\Just watch me this year!\It was no use last year or the one before that...\Okay then... I'm gonna do my best at bingo, too! response:	Uh, how's that work exactly?
context: It's like you're at a hanami all year!\If you're a Man, then look at cherry blossoms!\Dad, I'm counting on you to win the grand prize at bingo this year!\Sure! Leave it to me!\Just watch me this year!\It was no use last year or the one before that...\Okay then... I'm gonna do my best at bingo, too!\Uh, how's that work exactly? response:	You know, guts and stuff.
context: If you're a Man, then look at cherry blossoms!\Dad, I'm counting on you to win the grand prize at bingo this year!\Sure! Leave it to me!\Just watch me this year!\It was no use last year or the one before that...\Okay then... I'm gonna do my best at bingo, too!\Uh, how's that work exactly?\You know, guts and stuff. response:	I don't get these people.
context: Dad, I'm counting on you to win the grand prize at bingo this year!\Sure! Leave it to me!\Just watch me this year!\It was no use last year or the one before that...\Okay then... I'm gonna do my best at bingo, too!\Uh, how's that work exactly?\You know, guts and stuff.\I don't get these people. response:	Everyone's acting like their heads are in the clouds.
context: Sure! Leave it to me!\Just watch me this year!\It was no use last year or the one before that...\Okay then... I'm gonna do my best at bingo, too!\Uh, how's that work exactly?\You know, guts and stuff.\I don't get these people.\Everyone's acting like their heads are in the clouds. response:	It's just cherry blossom season, sheesh!
context: Just watch me this year!\It was no use last year or the one before that...\Okay then... I'm gonna do my best at bingo, too!\Uh, how's that work exactly?\You know, guts and stuff.\I don't get these people.\Everyone's acting like their heads are in the clouds.\It's just cherry blossom season, sheesh! response:	The people making requests realize it.
context: It was no use last year or the one before that...\Okay then... I'm gonna do my best at bingo, too!\Uh, how's that work exactly?\You know, guts and stuff.\I don't get these people.\Everyone's acting like their heads are in the clouds.\It's just cherry blossom season, sheesh!\The people making requests realize it. response:	There aren't many requests since everyone knows that Fairy Tail's
context: Okay then... I'm gonna do my best at bingo, too!\Uh, how's that work exactly?\You know, guts and stuff.\I don't get these people.\Everyone's acting like their heads are in the clouds.\It's just cherry blossom season, sheesh!\The people making requests realize it.\There aren't many requests since everyone knows that Fairy Tail's response:	too busy partying to do much work.
context: Uh, how's that work exactly?\You know, guts and stuff.\I don't get these people.\Everyone's acting like their heads are in the clouds.\It's just cherry blossom season, sheesh!\The people making requests realize it.\There aren't many requests since everyone knows that Fairy Tail's\too busy partying to do much work. response:	Give me a... Hey, how about you go on a job, huh?
context: You know, guts and stuff.\I don't get these people.\Everyone's acting like their heads are in the clouds.\It's just cherry blossom season, sheesh!\The people making requests realize it.\There aren't many requests since everyone knows that Fairy Tail's\too busy partying to do much work.\Give me a... Hey, how about you go on a job, huh? response:	What's the matter, Juvia?
context: I don't get these people.\Everyone's acting like their heads are in the clouds.\It's just cherry blossom season, sheesh!\The people making requests realize it.\There aren't many requests since everyone knows that Fairy Tail's\too busy partying to do much work.\Give me a... Hey, how about you go on a job, huh?\What's the matter, Juvia? response:	Gray-sama... Gray-sama went off on a job!
context: Everyone's acting like their heads are in the clouds.\It's just cherry blossom season, sheesh!\The people making requests realize it.\There aren't many requests since everyone knows that Fairy Tail's\too busy partying to do much work.\Give me a... Hey, how about you go on a job, huh?\What's the matter, Juvia?\Gray-sama... Gray-sama went off on a job! response:	Juvia can't believe how lonely the guild is without Gray-sama here!
context: It's just cherry blossom season, sheesh!\The people making requests realize it.\There aren't many requests since everyone knows that Fairy Tail's\too busy partying to do much work.\Give me a... Hey, how about you go on a job, huh?\What's the matter, Juvia?\Gray-sama... Gray-sama went off on a job!\Juvia can't believe how lonely the guild is without Gray-sama here! response:	He can't help it, okay? He's a Fairy Tail wizard!
context: The people making requests realize it.\There aren't many requests since everyone knows that Fairy Tail's\too busy partying to do much work.\Give me a... Hey, how about you go on a job, huh?\What's the matter, Juvia?\Gray-sama... Gray-sama went off on a job!\Juvia can't believe how lonely the guild is without Gray-sama here!\He can't help it, okay? He's a Fairy Tail wizard! response:	Like you can say anything!
context: There aren't many requests since everyone knows that Fairy Tail's\too busy partying to do much work.\Give me a... Hey, how about you go on a job, huh?\What's the matter, Juvia?\Gray-sama... Gray-sama went off on a job!\Juvia can't believe how lonely the guild is without Gray-sama here!\He can't help it, okay? He's a Fairy Tail wizard!\Like you can say anything! response:	But, Juvia's been left behind!
context: too busy partying to do much work.\Give me a... Hey, how about you go on a job, huh?\What's the matter, Juvia?\Gray-sama... Gray-sama went off on a job!\Juvia can't believe how lonely the guild is without Gray-sama here!\He can't help it, okay? He's a Fairy Tail wizard!\Like you can say anything!\But, Juvia's been left behind! response:	Well, Gray's formed a team with Natsu and the others, so that's just how it is.
context: Give me a... Hey, how about you go on a job, huh?\What's the matter, Juvia?\Gray-sama... Gray-sama went off on a job!\Juvia can't believe how lonely the guild is without Gray-sama here!\He can't help it, okay? He's a Fairy Tail wizard!\Like you can say anything!\But, Juvia's been left behind!\Well, Gray's formed a team with Natsu and the others, so that's just how it is. response:	But they took Wendy and Carla with them!
context: What's the matter, Juvia?\Gray-sama... Gray-sama went off on a job!\Juvia can't believe how lonely the guild is without Gray-sama here!\He can't help it, okay? He's a Fairy Tail wizard!\Like you can say anything!\But, Juvia's been left behind!\Well, Gray's formed a team with Natsu and the others, so that's just how it is.\But they took Wendy and Carla with them! response:	It's so they can get used to our guild's jobs,
context: Gray-sama... Gray-sama went off on a job!\Juvia can't believe how lonely the guild is without Gray-sama here!\He can't help it, okay? He's a Fairy Tail wizard!\Like you can say anything!\But, Juvia's been left behind!\Well, Gray's formed a team with Natsu and the others, so that's just how it is.\But they took Wendy and Carla with them!\It's so they can get used to our guild's jobs, response:	since they just transferred from Cait Shelter.
context: Juvia can't believe how lonely the guild is without Gray-sama here!\He can't help it, okay? He's a Fairy Tail wizard!\Like you can say anything!\But, Juvia's been left behind!\Well, Gray's formed a team with Natsu and the others, so that's just how it is.\But they took Wendy and Carla with them!\It's so they can get used to our guild's jobs,\since they just transferred from Cait Shelter. response:	Juvia knows... Juvia knows... but she's sad!
context: He can't help it, okay? He's a Fairy Tail wizard!\Like you can say anything!\But, Juvia's been left behind!\Well, Gray's formed a team with Natsu and the others, so that's just how it is.\But they took Wendy and Carla with them!\It's so they can get used to our guild's jobs,\since they just transferred from Cait Shelter.\Juvia knows... Juvia knows... but she's sad! response:	Gate of the Clock, I open thee!
context: Like you can say anything!\But, Juvia's been left behind!\Well, Gray's formed a team with Natsu and the others, so that's just how it is.\But they took Wendy and Carla with them!\It's so they can get used to our guild's jobs,\since they just transferred from Cait Shelter.\Juvia knows... Juvia knows... but she's sad!\Gate of the Clock, I open thee! response:	Horologium!
context: But, Juvia's been left behind!\Well, Gray's formed a team with Natsu and the others, so that's just how it is.\But they took Wendy and Carla with them!\It's so they can get used to our guild's jobs,\since they just transferred from Cait Shelter.\Juvia knows... Juvia knows... but she's sad!\Gate of the Clock, I open thee!\Horologium! response:	This is Mt. Hakobe.
context: Well, Gray's formed a team with Natsu and the others, so that's just how it is.\But they took Wendy and Carla with them!\It's so they can get used to our guild's jobs,\since they just transferred from Cait Shelter.\Juvia knows... Juvia knows... but she's sad!\Gate of the Clock, I open thee!\Horologium!\This is Mt. Hakobe. response:	I ended up here in light clothes again... It's too damn cold!
context: But they took Wendy and Carla with them!\It's so they can get used to our guild's jobs,\since they just transferred from Cait Shelter.\Juvia knows... Juvia knows... but she's sad!\Gate of the Clock, I open thee!\Horologium!\This is Mt. Hakobe.\I ended up here in light clothes again... It's too damn cold! response:	I-It is cold...
context: It's so they can get used to our guild's jobs,\since they just transferred from Cait Shelter.\Juvia knows... Juvia knows... but she's sad!\Gate of the Clock, I open thee!\Horologium!\This is Mt. Hakobe.\I ended up here in light clothes again... It's too damn cold!\I-It is cold... response:	Oh, come off it. This isn't bad. You're embarrassing yourself.
context: since they just transferred from Cait Shelter.\Juvia knows... Juvia knows... but she's sad!\Gate of the Clock, I open thee!\Horologium!\This is Mt. Hakobe.\I ended up here in light clothes again... It's too damn cold!\I-It is cold...\Oh, come off it. This isn't bad. You're embarrassing yourself. response:	Wendy, come inside too! You'll catch a cold.
context: Juvia knows... Juvia knows... but she's sad!\Gate of the Clock, I open thee!\Horologium!\This is Mt. Hakobe.\I ended up here in light clothes again... It's too damn cold!\I-It is cold...\Oh, come off it. This isn't bad. You're embarrassing yourself.\Wendy, come inside too! You'll catch a cold. response:	Really? Then I'll take you up on that offer...
context: Gate of the Clock, I open thee!\Horologium!\This is Mt. Hakobe.\I ended up here in light clothes again... It's too damn cold!\I-It is cold...\Oh, come off it. This isn't bad. You're embarrassing yourself.\Wendy, come inside too! You'll catch a cold.\Really? Then I'll take you up on that offer... response:	How about you, Carla?
context: Horologium!\This is Mt. Hakobe.\I ended up here in light clothes again... It's too damn cold!\I-It is cold...\Oh, come off it. This isn't bad. You're embarrassing yourself.\Wendy, come inside too! You'll catch a cold.\Really? Then I'll take you up on that offer...\How about you, Carla? response:	I am perfectly fine, thank you.
context: This is Mt. Hakobe.\I ended up here in light clothes again... It's too damn cold!\I-It is cold...\Oh, come off it. This isn't bad. You're embarrassing yourself.\Wendy, come inside too! You'll catch a cold.\Really? Then I'll take you up on that offer...\How about you, Carla?\I am perfectly fine, thank you. response:	Personally, I think cold is something you can manage if you mentally prepare yourself.
context: I ended up here in light clothes again... It's too damn cold!\I-It is cold...\Oh, come off it. This isn't bad. You're embarrassing yourself.\Wendy, come inside too! You'll catch a cold.\Really? Then I'll take you up on that offer...\How about you, Carla?\I am perfectly fine, thank you.\Personally, I think cold is something you can manage if you mentally prepare yourself. response:	The weather seems to be clearing.
context: I-It is cold...\Oh, come off it. This isn't bad. You're embarrassing yourself.\Wendy, come inside too! You'll catch a cold.\Really? Then I'll take you up on that offer...\How about you, Carla?\I am perfectly fine, thank you.\Personally, I think cold is something you can manage if you mentally prepare yourself.\The weather seems to be clearing. response:	I'm starving! Is there any fire'round here?
context: Oh, come off it. This isn't bad. You're embarrassing yourself.\Wendy, come inside too! You'll catch a cold.\Really? Then I'll take you up on that offer...\How about you, Carla?\I am perfectly fine, thank you.\Personally, I think cold is something you can manage if you mentally prepare yourself.\The weather seems to be clearing.\I'm starving! Is there any fire'round here? response:	It's warm in here!
context: Wendy, come inside too! You'll catch a cold.\Really? Then I'll take you up on that offer...\How about you, Carla?\I am perfectly fine, thank you.\Personally, I think cold is something you can manage if you mentally prepare yourself.\The weather seems to be clearing.\I'm starving! Is there any fire'round here?\It's warm in here! response:	I wanna go home now!
context: Really? Then I'll take you up on that offer...\How about you, Carla?\I am perfectly fine, thank you.\Personally, I think cold is something you can manage if you mentally prepare yourself.\The weather seems to be clearing.\I'm starving! Is there any fire'round here?\It's warm in here!\I wanna go home now! response:	Crap... It's hard to walk when it's piled up this high.
context: How about you, Carla?\I am perfectly fine, thank you.\Personally, I think cold is something you can manage if you mentally prepare yourself.\The weather seems to be clearing.\I'm starving! Is there any fire'round here?\It's warm in here!\I wanna go home now!\Crap... It's hard to walk when it's piled up this high. response:	Put on some clothes first!
context: I am perfectly fine, thank you.\Personally, I think cold is something you can manage if you mentally prepare yourself.\The weather seems to be clearing.\I'm starving! Is there any fire'round here?\It's warm in here!\I wanna go home now!\Crap... It's hard to walk when it's piled up this high.\Put on some clothes first! response:	Hey, Natsu... You think there really is an herb as useful as that?
context: Personally, I think cold is something you can manage if you mentally prepare yourself.\The weather seems to be clearing.\I'm starving! Is there any fire'round here?\It's warm in here!\I wanna go home now!\Crap... It's hard to walk when it's piled up this high.\Put on some clothes first!\Hey, Natsu... You think there really is an herb as useful as that? response:	Who knows? The request bill said it was here, so it probably is, you know?
context: The weather seems to be clearing.\I'm starving! Is there any fire'round here?\It's warm in here!\I wanna go home now!\Crap... It's hard to walk when it's piled up this high.\Put on some clothes first!\Hey, Natsu... You think there really is an herb as useful as that?\Who knows? The request bill said it was here, so it probably is, you know? response:	But the part about how steeping it as a tea or baking it into a cake
context: I'm starving! Is there any fire'round here?\It's warm in here!\I wanna go home now!\Crap... It's hard to walk when it's piled up this high.\Put on some clothes first!\Hey, Natsu... You think there really is an herb as useful as that?\Who knows? The request bill said it was here, so it probably is, you know?\But the part about how steeping it as a tea or baking it into a cake response:	can temporarily magnify a wizard's magic power,
context: It's warm in here!\I wanna go home now!\Crap... It's hard to walk when it's piled up this high.\Put on some clothes first!\Hey, Natsu... You think there really is an herb as useful as that?\Who knows? The request bill said it was here, so it probably is, you know?\But the part about how steeping it as a tea or baking it into a cake\can temporarily magnify a wizard's magic power, response:	I think that's just a bunch of malarkey.
context: I wanna go home now!\Crap... It's hard to walk when it's piled up this high.\Put on some clothes first!\Hey, Natsu... You think there really is an herb as useful as that?\Who knows? The request bill said it was here, so it probably is, you know?\But the part about how steeping it as a tea or baking it into a cake\can temporarily magnify a wizard's magic power,\I think that's just a bunch of malarkey. response:	You know what they say: there's always a tasty fish to catch!
context: Crap... It's hard to walk when it's piled up this high.\Put on some clothes first!\Hey, Natsu... You think there really is an herb as useful as that?\Who knows? The request bill said it was here, so it probably is, you know?\But the part about how steeping it as a tea or baking it into a cake\can temporarily magnify a wizard's magic power,\I think that's just a bunch of malarkey.\You know what they say: there's always a tasty fish to catch! response:	You mean to say there's always a catch.
context: Put on some clothes first!\Hey, Natsu... You think there really is an herb as useful as that?\Who knows? The request bill said it was here, so it probably is, you know?\But the part about how steeping it as a tea or baking it into a cake\can temporarily magnify a wizard's magic power,\I think that's just a bunch of malarkey.\You know what they say: there's always a tasty fish to catch!\You mean to say there's always a catch. response:	Erza corrected me!
context: Hey, Natsu... You think there really is an herb as useful as that?\Who knows? The request bill said it was here, so it probably is, you know?\But the part about how steeping it as a tea or baking it into a cake\can temporarily magnify a wizard's magic power,\I think that's just a bunch of malarkey.\You know what they say: there's always a tasty fish to catch!\You mean to say there's always a catch.\Erza corrected me! response:	Whether or not it is effective, the request was to gather the herb from this mountain.
context: Who knows? The request bill said it was here, so it probably is, you know?\But the part about how steeping it as a tea or baking it into a cake\can temporarily magnify a wizard's magic power,\I think that's just a bunch of malarkey.\You know what they say: there's always a tasty fish to catch!\You mean to say there's always a catch.\Erza corrected me!\Whether or not it is effective, the request was to gather the herb from this mountain. response:	And if we gather quite a lot, we can use it as a prize for tomorrow's bingo.
context: But the part about how steeping it as a tea or baking it into a cake\can temporarily magnify a wizard's magic power,\I think that's just a bunch of malarkey.\You know what they say: there's always a tasty fish to catch!\You mean to say there's always a catch.\Erza corrected me!\Whether or not it is effective, the request was to gather the herb from this mountain.\And if we gather quite a lot, we can use it as a prize for tomorrow's bingo. response:	Everyone will be pleased.
context: can temporarily magnify a wizard's magic power,\I think that's just a bunch of malarkey.\You know what they say: there's always a tasty fish to catch!\You mean to say there's always a catch.\Erza corrected me!\Whether or not it is effective, the request was to gather the herb from this mountain.\And if we gather quite a lot, we can use it as a prize for tomorrow's bingo.\Everyone will be pleased. response:	Hey, herbs! If you're out there, say somethin'!
context: I think that's just a bunch of malarkey.\You know what they say: there's always a tasty fish to catch!\You mean to say there's always a catch.\Erza corrected me!\Whether or not it is effective, the request was to gather the herb from this mountain.\And if we gather quite a lot, we can use it as a prize for tomorrow's bingo.\Everyone will be pleased.\Hey, herbs! If you're out there, say somethin'! response:	As if, dolt.
context: You know what they say: there's always a tasty fish to catch!\You mean to say there's always a catch.\Erza corrected me!\Whether or not it is effective, the request was to gather the herb from this mountain.\And if we gather quite a lot, we can use it as a prize for tomorrow's bingo.\Everyone will be pleased.\Hey, herbs! If you're out there, say somethin'!\As if, dolt. response:	What'd you say!?
context: You mean to say there's always a catch.\Erza corrected me!\Whether or not it is effective, the request was to gather the herb from this mountain.\And if we gather quite a lot, we can use it as a prize for tomorrow's bingo.\Everyone will be pleased.\Hey, herbs! If you're out there, say somethin'!\As if, dolt.\What'd you say!? response:	Don't just say whatever pops into your head!
context: Erza corrected me!\Whether or not it is effective, the request was to gather the herb from this mountain.\And if we gather quite a lot, we can use it as a prize for tomorrow's bingo.\Everyone will be pleased.\Hey, herbs! If you're out there, say somethin'!\As if, dolt.\What'd you say!?\Don't just say whatever pops into your head! response:	And I don't even know what the hell you're saying, idiot!
context: Whether or not it is effective, the request was to gather the herb from this mountain.\And if we gather quite a lot, we can use it as a prize for tomorrow's bingo.\Everyone will be pleased.\Hey, herbs! If you're out there, say somethin'!\As if, dolt.\What'd you say!?\Don't just say whatever pops into your head!\And I don't even know what the hell you're saying, idiot! response:	You're gonna get it, Prince Frostbite Boxers!
context: And if we gather quite a lot, we can use it as a prize for tomorrow's bingo.\Everyone will be pleased.\Hey, herbs! If you're out there, say somethin'!\As if, dolt.\What'd you say!?\Don't just say whatever pops into your head!\And I don't even know what the hell you're saying, idiot!\You're gonna get it, Prince Frostbite Boxers! response:	Shut the hell up, you whiny little flicker!
context: Everyone will be pleased.\Hey, herbs! If you're out there, say somethin'!\As if, dolt.\What'd you say!?\Don't just say whatever pops into your head!\And I don't even know what the hell you're saying, idiot!\You're gonna get it, Prince Frostbite Boxers!\Shut the hell up, you whiny little flicker! response:	Stop this!
context: Hey, herbs! If you're out there, say somethin'!\As if, dolt.\What'd you say!?\Don't just say whatever pops into your head!\And I don't even know what the hell you're saying, idiot!\You're gonna get it, Prince Frostbite Boxers!\Shut the hell up, you whiny little flicker!\Stop this! response:	I wish we could hurry this job up and go home...
context: As if, dolt.\What'd you say!?\Don't just say whatever pops into your head!\And I don't even know what the hell you're saying, idiot!\You're gonna get it, Prince Frostbite Boxers!\Shut the hell up, you whiny little flicker!\Stop this!\I wish we could hurry this job up and go home... response:	I want to get ready for the hanami tomorrow.
