context: This is... response:	We've been gathering what are thought to be weapons
context: That flying Yunboro...\What about the tin can?\I need to be able to borrow its power, you see...\I'm not seeing where this is going...\Actually, I've grown rather tired of this fleet's methods.\I'm returning to the pirate trade.\Right after this fleet's at the bottom of the sea...\Commander. response:	Would you cancel the attack against Gargantia?
context: What about the tin can?\I need to be able to borrow its power, you see...\I'm not seeing where this is going...\Actually, I've grown rather tired of this fleet's methods.\I'm returning to the pirate trade.\Right after this fleet's at the bottom of the sea...\Commander.\Would you cancel the attack against Gargantia? response:	Why?
context: I need to be able to borrow its power, you see...\I'm not seeing where this is going...\Actually, I've grown rather tired of this fleet's methods.\I'm returning to the pirate trade.\Right after this fleet's at the bottom of the sea...\Commander.\Would you cancel the attack against Gargantia?\Why? response:	Well...
context: I'm not seeing where this is going...\Actually, I've grown rather tired of this fleet's methods.\I'm returning to the pirate trade.\Right after this fleet's at the bottom of the sea...\Commander.\Would you cancel the attack against Gargantia?\Why?\Well... response:	If you feel an affinity towards them,
context: Actually, I've grown rather tired of this fleet's methods.\I'm returning to the pirate trade.\Right after this fleet's at the bottom of the sea...\Commander.\Would you cancel the attack against Gargantia?\Why?\Well...\If you feel an affinity towards them, response:	then you had best enlighten them without a moment to lose, yes?
context: I'm returning to the pirate trade.\Right after this fleet's at the bottom of the sea...\Commander.\Would you cancel the attack against Gargantia?\Why?\Well...\If you feel an affinity towards them,\then you had best enlighten them without a moment to lose, yes? response:	To increase territory for the prosperity of humankind,
context: Right after this fleet's at the bottom of the sea...\Commander.\Would you cancel the attack against Gargantia?\Why?\Well...\If you feel an affinity towards them,\then you had best enlighten them without a moment to lose, yes?\To increase territory for the prosperity of humankind, response:	we need superior people and resources.
context: Commander.\Would you cancel the attack against Gargantia?\Why?\Well...\If you feel an affinity towards them,\then you had best enlighten them without a moment to lose, yes?\To increase territory for the prosperity of humankind,\we need superior people and resources. response:	But...
context: Would you cancel the attack against Gargantia?\Why?\Well...\If you feel an affinity towards them,\then you had best enlighten them without a moment to lose, yes?\To increase territory for the prosperity of humankind,\we need superior people and resources.\But... response:	Ledo, our mission is to bring a new sense of order to this world.
context: Why?\Well...\If you feel an affinity towards them,\then you had best enlighten them without a moment to lose, yes?\To increase territory for the prosperity of humankind,\we need superior people and resources.\But...\Ledo, our mission is to bring a new sense of order to this world. response:	Then that's no different from the Galactic Alliance...
context: Well...\If you feel an affinity towards them,\then you had best enlighten them without a moment to lose, yes?\To increase territory for the prosperity of humankind,\we need superior people and resources.\But...\Ledo, our mission is to bring a new sense of order to this world.\Then that's no different from the Galactic Alliance... response:	If we can't return to the front line,
context: If you feel an affinity towards them,\then you had best enlighten them without a moment to lose, yes?\To increase territory for the prosperity of humankind,\we need superior people and resources.\But...\Ledo, our mission is to bring a new sense of order to this world.\Then that's no different from the Galactic Alliance...\If we can't return to the front line, response:	we'll make this Earth into our utopia, a second Avalon.
context: then you had best enlighten them without a moment to lose, yes?\To increase territory for the prosperity of humankind,\we need superior people and resources.\But...\Ledo, our mission is to bring a new sense of order to this world.\Then that's no different from the Galactic Alliance...\If we can't return to the front line,\we'll make this Earth into our utopia, a second Avalon. response:	Our rightful cause hasn't changed. Don't waver now.
context: To increase territory for the prosperity of humankind,\we need superior people and resources.\But...\Ledo, our mission is to bring a new sense of order to this world.\Then that's no different from the Galactic Alliance...\If we can't return to the front line,\we'll make this Earth into our utopia, a second Avalon.\Our rightful cause hasn't changed. Don't waver now. response:	Yes, sir.
context: we need superior people and resources.\But...\Ledo, our mission is to bring a new sense of order to this world.\Then that's no different from the Galactic Alliance...\If we can't return to the front line,\we'll make this Earth into our utopia, a second Avalon.\Our rightful cause hasn't changed. Don't waver now.\Yes, sir. response:	Moment of Decision
context: But...\Ledo, our mission is to bring a new sense of order to this world.\Then that's no different from the Galactic Alliance...\If we can't return to the front line,\we'll make this Earth into our utopia, a second Avalon.\Our rightful cause hasn't changed. Don't waver now.\Yes, sir.\Moment of Decision response:	This is incredible too.
context: Ledo, our mission is to bring a new sense of order to this world.\Then that's no different from the Galactic Alliance...\If we can't return to the front line,\we'll make this Earth into our utopia, a second Avalon.\Our rightful cause hasn't changed. Don't waver now.\Yes, sir.\Moment of Decision\This is incredible too. response:	Pinion-sama. Someone would like to see you.
context: Then that's no different from the Galactic Alliance...\If we can't return to the front line,\we'll make this Earth into our utopia, a second Avalon.\Our rightful cause hasn't changed. Don't waver now.\Yes, sir.\Moment of Decision\This is incredible too.\Pinion-sama. Someone would like to see you. response:	Oh, sure. Come on in.
context: If we can't return to the front line,\we'll make this Earth into our utopia, a second Avalon.\Our rightful cause hasn't changed. Don't waver now.\Yes, sir.\Moment of Decision\This is incredible too.\Pinion-sama. Someone would like to see you.\Oh, sure. Come on in. response:	Pinion- sama ?! Pretty high and mighty!
context: we'll make this Earth into our utopia, a second Avalon.\Our rightful cause hasn't changed. Don't waver now.\Yes, sir.\Moment of Decision\This is incredible too.\Pinion-sama. Someone would like to see you.\Oh, sure. Come on in.\Pinion- sama ?! Pretty high and mighty! response:	Oh, it's you...
context: Our rightful cause hasn't changed. Don't waver now.\Yes, sir.\Moment of Decision\This is incredible too.\Pinion-sama. Someone would like to see you.\Oh, sure. Come on in.\Pinion- sama ?! Pretty high and mighty!\Oh, it's you... response:	They searched through all my packages without permission!
context: Yes, sir.\Moment of Decision\This is incredible too.\Pinion-sama. Someone would like to see you.\Oh, sure. Come on in.\Pinion- sama ?! Pretty high and mighty!\Oh, it's you...\They searched through all my packages without permission! response:	When did you become a VIP?
context: Moment of Decision\This is incredible too.\Pinion-sama. Someone would like to see you.\Oh, sure. Come on in.\Pinion- sama ?! Pretty high and mighty!\Oh, it's you...\They searched through all my packages without permission!\When did you become a VIP? response:	It's not like I asked for it.
context: This is incredible too.\Pinion-sama. Someone would like to see you.\Oh, sure. Come on in.\Pinion- sama ?! Pretty high and mighty!\Oh, it's you...\They searched through all my packages without permission!\When did you become a VIP?\It's not like I asked for it. response:	Here.
context: Pinion-sama. Someone would like to see you.\Oh, sure. Come on in.\Pinion- sama ?! Pretty high and mighty!\Oh, it's you...\They searched through all my packages without permission!\When did you become a VIP?\It's not like I asked for it.\Here. response:	Avalon...
context: Oh, sure. Come on in.\Pinion- sama ?! Pretty high and mighty!\Oh, it's you...\They searched through all my packages without permission!\When did you become a VIP?\It's not like I asked for it.\Here.\Avalon... response:	Utopia...
context: Pinion- sama ?! Pretty high and mighty!\Oh, it's you...\They searched through all my packages without permission!\When did you become a VIP?\It's not like I asked for it.\Here.\Avalon...\Utopia... response:	We'll make this Earth into our utopia, a second Avalon.
context: Oh, it's you...\They searched through all my packages without permission!\When did you become a VIP?\It's not like I asked for it.\Here.\Avalon...\Utopia...\We'll make this Earth into our utopia, a second Avalon. response:	Don't waver now.
context: They searched through all my packages without permission!\When did you become a VIP?\It's not like I asked for it.\Here.\Avalon...\Utopia...\We'll make this Earth into our utopia, a second Avalon.\Don't waver now. response:	Grace!
context: When did you become a VIP?\It's not like I asked for it.\Here.\Avalon...\Utopia...\We'll make this Earth into our utopia, a second Avalon.\Don't waver now.\Grace! response:	Hey!
context: It's not like I asked for it.\Here.\Avalon...\Utopia...\We'll make this Earth into our utopia, a second Avalon.\Don't waver now.\Grace!\Hey! response:	That's right...
context: Here.\Avalon...\Utopia...\We'll make this Earth into our utopia, a second Avalon.\Don't waver now.\Grace!\Hey!\That's right... response:	Grace is on Gargantia with Amy.
context: Avalon...\Utopia...\We'll make this Earth into our utopia, a second Avalon.\Don't waver now.\Grace!\Hey!\That's right...\Grace is on Gargantia with Amy. response:	Amy...
context: Utopia...\We'll make this Earth into our utopia, a second Avalon.\Don't waver now.\Grace!\Hey!\That's right...\Grace is on Gargantia with Amy.\Amy... response:	Here he is.
context: We'll make this Earth into our utopia, a second Avalon.\Don't waver now.\Grace!\Hey!\That's right...\Grace is on Gargantia with Amy.\Amy...\Here he is. response:	Pinion!
context: Don't waver now.\Grace!\Hey!\That's right...\Grace is on Gargantia with Amy.\Amy...\Here he is.\Pinion! response:	Keep it short.
context: Grace!\Hey!\That's right...\Grace is on Gargantia with Amy.\Amy...\Here he is.\Pinion!\Keep it short. response:	What the devil is wrong with the people of this fleet?
context: Hey!\That's right...\Grace is on Gargantia with Amy.\Amy...\Here he is.\Pinion!\Keep it short.\What the devil is wrong with the people of this fleet? response:	They all act like ghosts.
context: That's right...\Grace is on Gargantia with Amy.\Amy...\Here he is.\Pinion!\Keep it short.\What the devil is wrong with the people of this fleet?\They all act like ghosts. response:	It's like their eyes are glazed over. It's weird.
context: Grace is on Gargantia with Amy.\Amy...\Here he is.\Pinion!\Keep it short.\What the devil is wrong with the people of this fleet?\They all act like ghosts.\It's like their eyes are glazed over. It's weird. response:	Yeah, well...
context: Amy...\Here he is.\Pinion!\Keep it short.\What the devil is wrong with the people of this fleet?\They all act like ghosts.\It's like their eyes are glazed over. It's weird.\Yeah, well... response:	At this rate, I'm sure the same thing is going to happen to the residents of my ship.
context: Here he is.\Pinion!\Keep it short.\What the devil is wrong with the people of this fleet?\They all act like ghosts.\It's like their eyes are glazed over. It's weird.\Yeah, well...\At this rate, I'm sure the same thing is going to happen to the residents of my ship. response:	I'm wondering why we ever left Gargantia.
context: Pinion!\Keep it short.\What the devil is wrong with the people of this fleet?\They all act like ghosts.\It's like their eyes are glazed over. It's weird.\Yeah, well...\At this rate, I'm sure the same thing is going to happen to the residents of my ship.\I'm wondering why we ever left Gargantia. response:	You don't mind the way things are going?
context: Keep it short.\What the devil is wrong with the people of this fleet?\They all act like ghosts.\It's like their eyes are glazed over. It's weird.\Yeah, well...\At this rate, I'm sure the same thing is going to happen to the residents of my ship.\I'm wondering why we ever left Gargantia.\You don't mind the way things are going? response:	Someone's plotting a rebellion.
context: What the devil is wrong with the people of this fleet?\They all act like ghosts.\It's like their eyes are glazed over. It's weird.\Yeah, well...\At this rate, I'm sure the same thing is going to happen to the residents of my ship.\I'm wondering why we ever left Gargantia.\You don't mind the way things are going?\Someone's plotting a rebellion. response:	What?!
context: They all act like ghosts.\It's like their eyes are glazed over. It's weird.\Yeah, well...\At this rate, I'm sure the same thing is going to happen to the residents of my ship.\I'm wondering why we ever left Gargantia.\You don't mind the way things are going?\Someone's plotting a rebellion.\What?! response:	Really?!
context: It's like their eyes are glazed over. It's weird.\Yeah, well...\At this rate, I'm sure the same thing is going to happen to the residents of my ship.\I'm wondering why we ever left Gargantia.\You don't mind the way things are going?\Someone's plotting a rebellion.\What?!\Really?! response:	The red lobster that came to pick me up.
context: Yeah, well...\At this rate, I'm sure the same thing is going to happen to the residents of my ship.\I'm wondering why we ever left Gargantia.\You don't mind the way things are going?\Someone's plotting a rebellion.\What?!\Really?!\The red lobster that came to pick me up. response:	The Great Pirate Lukkage?!
context: At this rate, I'm sure the same thing is going to happen to the residents of my ship.\I'm wondering why we ever left Gargantia.\You don't mind the way things are going?\Someone's plotting a rebellion.\What?!\Really?!\The red lobster that came to pick me up.\The Great Pirate Lukkage?! response:	T-Then let's work with the lobster...
context: I'm wondering why we ever left Gargantia.\You don't mind the way things are going?\Someone's plotting a rebellion.\What?!\Really?!\The red lobster that came to pick me up.\The Great Pirate Lukkage?!\T-Then let's work with the lobster... response:	She's counting on the tin can,
context: You don't mind the way things are going?\Someone's plotting a rebellion.\What?!\Really?!\The red lobster that came to pick me up.\The Great Pirate Lukkage?!\T-Then let's work with the lobster...\She's counting on the tin can, response:	but there ain't no way Ledo would go for it.
context: Someone's plotting a rebellion.\What?!\Really?!\The red lobster that came to pick me up.\The Great Pirate Lukkage?!\T-Then let's work with the lobster...\She's counting on the tin can,\but there ain't no way Ledo would go for it. response:	But then... then we're supposed to live like this the rest of our lives?
context: What?!\Really?!\The red lobster that came to pick me up.\The Great Pirate Lukkage?!\T-Then let's work with the lobster...\She's counting on the tin can,\but there ain't no way Ledo would go for it.\But then... then we're supposed to live like this the rest of our lives? response:	Spread it out to collect the water!
context: Really?!\The red lobster that came to pick me up.\The Great Pirate Lukkage?!\T-Then let's work with the lobster...\She's counting on the tin can,\but there ain't no way Ledo would go for it.\But then... then we're supposed to live like this the rest of our lives?\Spread it out to collect the water! response:	You're soaked. You're gonna catch a cold.
context: The red lobster that came to pick me up.\The Great Pirate Lukkage?!\T-Then let's work with the lobster...\She's counting on the tin can,\but there ain't no way Ledo would go for it.\But then... then we're supposed to live like this the rest of our lives?\Spread it out to collect the water!\You're soaked. You're gonna catch a cold. response:	Hey!
context: The Great Pirate Lukkage?!\T-Then let's work with the lobster...\She's counting on the tin can,\but there ain't no way Ledo would go for it.\But then... then we're supposed to live like this the rest of our lives?\Spread it out to collect the water!\You're soaked. You're gonna catch a cold.\Hey! response:	What the hell is this?
context: T-Then let's work with the lobster...\She's counting on the tin can,\but there ain't no way Ledo would go for it.\But then... then we're supposed to live like this the rest of our lives?\Spread it out to collect the water!\You're soaked. You're gonna catch a cold.\Hey!\What the hell is this? response:	Chamber, what's happening?!
context: She's counting on the tin can,\but there ain't no way Ledo would go for it.\But then... then we're supposed to live like this the rest of our lives?\Spread it out to collect the water!\You're soaked. You're gonna catch a cold.\Hey!\What the hell is this?\Chamber, what's happening?! response:	The weather phenomena called rain, which we have observed before.
context: but there ain't no way Ledo would go for it.\But then... then we're supposed to live like this the rest of our lives?\Spread it out to collect the water!\You're soaked. You're gonna catch a cold.\Hey!\What the hell is this?\Chamber, what's happening?!\The weather phenomena called rain, which we have observed before. response:	I cannot detect any particular abnormalities.
context: But then... then we're supposed to live like this the rest of our lives?\Spread it out to collect the water!\You're soaked. You're gonna catch a cold.\Hey!\What the hell is this?\Chamber, what's happening?!\The weather phenomena called rain, which we have observed before.\I cannot detect any particular abnormalities. response:	What is this?
context: Spread it out to collect the water!\You're soaked. You're gonna catch a cold.\Hey!\What the hell is this?\Chamber, what's happening?!\The weather phenomena called rain, which we have observed before.\I cannot detect any particular abnormalities.\What is this? response:	What?!
context: You're soaked. You're gonna catch a cold.\Hey!\What the hell is this?\Chamber, what's happening?!\The weather phenomena called rain, which we have observed before.\I cannot detect any particular abnormalities.\What is this?\What?! response:	We have received a great blessing from our divine god.
context: Hey!\What the hell is this?\Chamber, what's happening?!\The weather phenomena called rain, which we have observed before.\I cannot detect any particular abnormalities.\What is this?\What?!\We have received a great blessing from our divine god. response:	They shall now make the journey to god.
context: What the hell is this?\Chamber, what's happening?!\The weather phenomena called rain, which we have observed before.\I cannot detect any particular abnormalities.\What is this?\What?!\We have received a great blessing from our divine god.\They shall now make the journey to god. response:	We give our blessings to those who die for the sake of the living.
context: Chamber, what's happening?!\The weather phenomena called rain, which we have observed before.\I cannot detect any particular abnormalities.\What is this?\What?!\We have received a great blessing from our divine god.\They shall now make the journey to god.\We give our blessings to those who die for the sake of the living. response:	W-What?!
context: The weather phenomena called rain, which we have observed before.\I cannot detect any particular abnormalities.\What is this?\What?!\We have received a great blessing from our divine god.\They shall now make the journey to god.\We give our blessings to those who die for the sake of the living.\W-What?! response:	Stop! What are you doing?!
context: I cannot detect any particular abnormalities.\What is this?\What?!\We have received a great blessing from our divine god.\They shall now make the journey to god.\We give our blessings to those who die for the sake of the living.\W-What?!\Stop! What are you doing?! response:	They shall be eternally honored for the salvation of the human race.
context: What is this?\What?!\We have received a great blessing from our divine god.\They shall now make the journey to god.\We give our blessings to those who die for the sake of the living.\W-What?!\Stop! What are you doing?!\They shall be eternally honored for the salvation of the human race. response:	People? Those are people, aren't they?!
context: What?!\We have received a great blessing from our divine god.\They shall now make the journey to god.\We give our blessings to those who die for the sake of the living.\W-What?!\Stop! What are you doing?!\They shall be eternally honored for the salvation of the human race.\People? Those are people, aren't they?! response:	I didn't come here to see this.
context: We have received a great blessing from our divine god.\They shall now make the journey to god.\We give our blessings to those who die for the sake of the living.\W-What?!\Stop! What are you doing?!\They shall be eternally honored for the salvation of the human race.\People? Those are people, aren't they?!\I didn't come here to see this. response:	They're insane...
context: They shall now make the journey to god.\We give our blessings to those who die for the sake of the living.\W-What?!\Stop! What are you doing?!\They shall be eternally honored for the salvation of the human race.\People? Those are people, aren't they?!\I didn't come here to see this.\They're insane... response:	Yes, that's right.
context: We give our blessings to those who die for the sake of the living.\W-What?!\Stop! What are you doing?!\They shall be eternally honored for the salvation of the human race.\People? Those are people, aren't they?!\I didn't come here to see this.\They're insane...\Yes, that's right. response:	And this insane fleet is heading next for...
context: W-What?!\Stop! What are you doing?!\They shall be eternally honored for the salvation of the human race.\People? Those are people, aren't they?!\I didn't come here to see this.\They're insane...\Yes, that's right.\And this insane fleet is heading next for... response:	What?!
context: Stop! What are you doing?!\They shall be eternally honored for the salvation of the human race.\People? Those are people, aren't they?!\I didn't come here to see this.\They're insane...\Yes, that's right.\And this insane fleet is heading next for...\What?! response:	Yeah, this ain't for me.
context: They shall be eternally honored for the salvation of the human race.\People? Those are people, aren't they?!\I didn't come here to see this.\They're insane...\Yes, that's right.\And this insane fleet is heading next for...\What?!\Yeah, this ain't for me. response:	I came here to protect everyone from the Hideauze.
context: People? Those are people, aren't they?!\I didn't come here to see this.\They're insane...\Yes, that's right.\And this insane fleet is heading next for...\What?!\Yeah, this ain't for me.\I came here to protect everyone from the Hideauze. response:	Amy... Bebel...
context: I didn't come here to see this.\They're insane...\Yes, that's right.\And this insane fleet is heading next for...\What?!\Yeah, this ain't for me.\I came here to protect everyone from the Hideauze.\Amy... Bebel... response:	To protect them all, I...
context: They're insane...\Yes, that's right.\And this insane fleet is heading next for...\What?!\Yeah, this ain't for me.\I came here to protect everyone from the Hideauze.\Amy... Bebel...\To protect them all, I... response:	You have received orders from Commander Kugel.
context: Yes, that's right.\And this insane fleet is heading next for...\What?!\Yeah, this ain't for me.\I came here to protect everyone from the Hideauze.\Amy... Bebel...\To protect them all, I...\You have received orders from Commander Kugel. response:	Ensign Ledo, prepare for war. Board and assume battle command.
context: And this insane fleet is heading next for...\What?!\Yeah, this ain't for me.\I came here to protect everyone from the Hideauze.\Amy... Bebel...\To protect them all, I...\You have received orders from Commander Kugel.\Ensign Ledo, prepare for war. Board and assume battle command. response:	I await your decision.
context: What?!\Yeah, this ain't for me.\I came here to protect everyone from the Hideauze.\Amy... Bebel...\To protect them all, I...\You have received orders from Commander Kugel.\Ensign Ledo, prepare for war. Board and assume battle command.\I await your decision. response:	Decision, huh?
context: Yeah, this ain't for me.\I came here to protect everyone from the Hideauze.\Amy... Bebel...\To protect them all, I...\You have received orders from Commander Kugel.\Ensign Ledo, prepare for war. Board and assume battle command.\I await your decision.\Decision, huh? response:	I make the decisions and you carry them out. That's how it always was.
context: I came here to protect everyone from the Hideauze.\Amy... Bebel...\To protect them all, I...\You have received orders from Commander Kugel.\Ensign Ledo, prepare for war. Board and assume battle command.\I await your decision.\Decision, huh?\I make the decisions and you carry them out. That's how it always was. response:	But maybe I never really made any choices at all.
context: Amy... Bebel...\To protect them all, I...\You have received orders from Commander Kugel.\Ensign Ledo, prepare for war. Board and assume battle command.\I await your decision.\Decision, huh?\I make the decisions and you carry them out. That's how it always was.\But maybe I never really made any choices at all. response:	Meaning of your utterance is unclear. Response to the commander's order is...
context: To protect them all, I...\You have received orders from Commander Kugel.\Ensign Ledo, prepare for war. Board and assume battle command.\I await your decision.\Decision, huh?\I make the decisions and you carry them out. That's how it always was.\But maybe I never really made any choices at all.\Meaning of your utterance is unclear. Response to the commander's order is... response:	Chamber! How does your fighting strength compare to Striker's?
context: You have received orders from Commander Kugel.\Ensign Ledo, prepare for war. Board and assume battle command.\I await your decision.\Decision, huh?\I make the decisions and you carry them out. That's how it always was.\But maybe I never really made any choices at all.\Meaning of your utterance is unclear. Response to the commander's order is...\Chamber! How does your fighting strength compare to Striker's? response:	Unable to calculate due to lack of data.
context: Ensign Ledo, prepare for war. Board and assume battle command.\I await your decision.\Decision, huh?\I make the decisions and you carry them out. That's how it always was.\But maybe I never really made any choices at all.\Meaning of your utterance is unclear. Response to the commander's order is...\Chamber! How does your fighting strength compare to Striker's?\Unable to calculate due to lack of data. response:	Unable to comprehend point of the question.
context: I await your decision.\Decision, huh?\I make the decisions and you carry them out. That's how it always was.\But maybe I never really made any choices at all.\Meaning of your utterance is unclear. Response to the commander's order is...\Chamber! How does your fighting strength compare to Striker's?\Unable to calculate due to lack of data.\Unable to comprehend point of the question. response:	Can you fight Striker?
context: Decision, huh?\I make the decisions and you carry them out. That's how it always was.\But maybe I never really made any choices at all.\Meaning of your utterance is unclear. Response to the commander's order is...\Chamber! How does your fighting strength compare to Striker's?\Unable to calculate due to lack of data.\Unable to comprehend point of the question.\Can you fight Striker? response:	Well?
context: I make the decisions and you carry them out. That's how it always was.\But maybe I never really made any choices at all.\Meaning of your utterance is unclear. Response to the commander's order is...\Chamber! How does your fighting strength compare to Striker's?\Unable to calculate due to lack of data.\Unable to comprehend point of the question.\Can you fight Striker?\Well? response:	Currently, the actions of Striker X3752
context: But maybe I never really made any choices at all.\Meaning of your utterance is unclear. Response to the commander's order is...\Chamber! How does your fighting strength compare to Striker's?\Unable to calculate due to lack of data.\Unable to comprehend point of the question.\Can you fight Striker?\Well?\Currently, the actions of Striker X3752 response:	would not be classified as Alliance military duty.
context: Meaning of your utterance is unclear. Response to the commander's order is...\Chamber! How does your fighting strength compare to Striker's?\Unable to calculate due to lack of data.\Unable to comprehend point of the question.\Can you fight Striker?\Well?\Currently, the actions of Striker X3752\would not be classified as Alliance military duty. response:	It is possible to authorize engagement in battle.
context: Chamber! How does your fighting strength compare to Striker's?\Unable to calculate due to lack of data.\Unable to comprehend point of the question.\Can you fight Striker?\Well?\Currently, the actions of Striker X3752\would not be classified as Alliance military duty.\It is possible to authorize engagement in battle. response:	I see. In that case...
context: Unable to calculate due to lack of data.\Unable to comprehend point of the question.\Can you fight Striker?\Well?\Currently, the actions of Striker X3752\would not be classified as Alliance military duty.\It is possible to authorize engagement in battle.\I see. In that case... response:	Chamber!
context: Unable to comprehend point of the question.\Can you fight Striker?\Well?\Currently, the actions of Striker X3752\would not be classified as Alliance military duty.\It is possible to authorize engagement in battle.\I see. In that case...\Chamber! response:	The answer to that question is beyond my support system function.
context: Can you fight Striker?\Well?\Currently, the actions of Striker X3752\would not be classified as Alliance military duty.\It is possible to authorize engagement in battle.\I see. In that case...\Chamber!\The answer to that question is beyond my support system function. response:	In any case, combat policy formulation is in your hands, Ensign.
