context: The fifth match, response:	the exam with Team Uraraka and Aoyama against Thirteen,
context: -Yeah. -Ribbit.\Team Ashido and Kaminari, practical exam.\Ready, go!\Kaminari, what do you wanna do?\Basically, run.\Even if we're found, the principal's small,\so I should be able to take care of him with my electricity.\Denki Kaminari - Quirk: Electrification Mina Ashido - Quirk: Acid response:	Ashido, you shouldn't use your Quirk!
context: Team Ashido and Kaminari, practical exam.\Ready, go!\Kaminari, what do you wanna do?\Basically, run.\Even if we're found, the principal's small,\so I should be able to take care of him with my electricity.\Denki Kaminari - Quirk: Electrification Mina Ashido - Quirk: Acid\Ashido, you shouldn't use your Quirk! response:	It'll be bad if you melt the principal.
context: Ready, go!\Kaminari, what do you wanna do?\Basically, run.\Even if we're found, the principal's small,\so I should be able to take care of him with my electricity.\Denki Kaminari - Quirk: Electrification Mina Ashido - Quirk: Acid\Ashido, you shouldn't use your Quirk!\It'll be bad if you melt the principal. response:	Yeah, right?
context: Kaminari, what do you wanna do?\Basically, run.\Even if we're found, the principal's small,\so I should be able to take care of him with my electricity.\Denki Kaminari - Quirk: Electrification Mina Ashido - Quirk: Acid\Ashido, you shouldn't use your Quirk!\It'll be bad if you melt the principal.\Yeah, right? response:	What's that sound?
context: Basically, run.\Even if we're found, the principal's small,\so I should be able to take care of him with my electricity.\Denki Kaminari - Quirk: Electrification Mina Ashido - Quirk: Acid\Ashido, you shouldn't use your Quirk!\It'll be bad if you melt the principal.\Yeah, right?\What's that sound? response:	It's not the principal... is it?
context: Even if we're found, the principal's small,\so I should be able to take care of him with my electricity.\Denki Kaminari - Quirk: Electrification Mina Ashido - Quirk: Acid\Ashido, you shouldn't use your Quirk!\It'll be bad if you melt the principal.\Yeah, right?\What's that sound?\It's not the principal... is it? response:	Run!
context: so I should be able to take care of him with my electricity.\Denki Kaminari - Quirk: Electrification Mina Ashido - Quirk: Acid\Ashido, you shouldn't use your Quirk!\It'll be bad if you melt the principal.\Yeah, right?\What's that sound?\It's not the principal... is it?\Run! response:	Kaminari, what's going on?!
context: Denki Kaminari - Quirk: Electrification Mina Ashido - Quirk: Acid\Ashido, you shouldn't use your Quirk!\It'll be bad if you melt the principal.\Yeah, right?\What's that sound?\It's not the principal... is it?\Run!\Kaminari, what's going on?! response:	I dunno, but I'm sure the principal's behind it!
context: Ashido, you shouldn't use your Quirk!\It'll be bad if you melt the principal.\Yeah, right?\What's that sound?\It's not the principal... is it?\Run!\Kaminari, what's going on?!\I dunno, but I'm sure the principal's behind it! response:	That's right.
context: It'll be bad if you melt the principal.\Yeah, right?\What's that sound?\It's not the principal... is it?\Run!\Kaminari, what's going on?!\I dunno, but I'm sure the principal's behind it!\That's right. response:	The principal's riding in the crane?!
context: Yeah, right?\What's that sound?\It's not the principal... is it?\Run!\Kaminari, what's going on?!\I dunno, but I'm sure the principal's behind it!\That's right.\The principal's riding in the crane?! response:	But how is he attacking them...?
context: What's that sound?\It's not the principal... is it?\Run!\Kaminari, what's going on?!\I dunno, but I'm sure the principal's behind it!\That's right.\The principal's riding in the crane?!\But how is he attacking them...? response:	He's so far away from them.
context: It's not the principal... is it?\Run!\Kaminari, what's going on?!\I dunno, but I'm sure the principal's behind it!\That's right.\The principal's riding in the crane?!\But how is he attacking them...?\He's so far away from them. response:	It's probably with his forecasts.
context: Run!\Kaminari, what's going on?!\I dunno, but I'm sure the principal's behind it!\That's right.\The principal's riding in the crane?!\But how is he attacking them...?\He's so far away from them.\It's probably with his forecasts. response:	Forecasts?
context: Kaminari, what's going on?!\I dunno, but I'm sure the principal's behind it!\That's right.\The principal's riding in the crane?!\But how is he attacking them...?\He's so far away from them.\It's probably with his forecasts.\Forecasts? response:	Yes. What's more, he probably reached those through sophisticated calculations.
context: I dunno, but I'm sure the principal's behind it!\That's right.\The principal's riding in the crane?!\But how is he attacking them...?\He's so far away from them.\It's probably with his forecasts.\Forecasts?\Yes. What's more, he probably reached those through sophisticated calculations. response:	What chain reaction will be caused depending on what I break where...
context: That's right.\The principal's riding in the crane?!\But how is he attacking them...?\He's so far away from them.\It's probably with his forecasts.\Forecasts?\Yes. What's more, he probably reached those through sophisticated calculations.\What chain reaction will be caused depending on what I break where... response:	Those calculations are as easy as making a cup of tea.
context: The principal's riding in the crane?!\But how is he attacking them...?\He's so far away from them.\It's probably with his forecasts.\Forecasts?\Yes. What's more, he probably reached those through sophisticated calculations.\What chain reaction will be caused depending on what I break where...\Those calculations are as easy as making a cup of tea. response:	And you two aren't noticing...
context: But how is he attacking them...?\He's so far away from them.\It's probably with his forecasts.\Forecasts?\Yes. What's more, he probably reached those through sophisticated calculations.\What chain reaction will be caused depending on what I break where...\Those calculations are as easy as making a cup of tea.\And you two aren't noticing... response:	Intellectual-type villains will sit back and watch from the sidelines.
context: He's so far away from them.\It's probably with his forecasts.\Forecasts?\Yes. What's more, he probably reached those through sophisticated calculations.\What chain reaction will be caused depending on what I break where...\Those calculations are as easy as making a cup of tea.\And you two aren't noticing...\Intellectual-type villains will sit back and watch from the sidelines. response:	Nezu - Quirk: High Specs
context: It's probably with his forecasts.\Forecasts?\Yes. What's more, he probably reached those through sophisticated calculations.\What chain reaction will be caused depending on what I break where...\Those calculations are as easy as making a cup of tea.\And you two aren't noticing...\Intellectual-type villains will sit back and watch from the sidelines.\Nezu - Quirk: High Specs response:	Principal Nezu. Quirk: High Specs.
context: Forecasts?\Yes. What's more, he probably reached those through sophisticated calculations.\What chain reaction will be caused depending on what I break where...\Those calculations are as easy as making a cup of tea.\And you two aren't noticing...\Intellectual-type villains will sit back and watch from the sidelines.\Nezu - Quirk: High Specs\Principal Nezu. Quirk: High Specs. response:	He's an animal with a Quirk that makes him smarter than humans!
context: Yes. What's more, he probably reached those through sophisticated calculations.\What chain reaction will be caused depending on what I break where...\Those calculations are as easy as making a cup of tea.\And you two aren't noticing...\Intellectual-type villains will sit back and watch from the sidelines.\Nezu - Quirk: High Specs\Principal Nezu. Quirk: High Specs.\He's an animal with a Quirk that makes him smarter than humans! response:	He's a unique being that you won't find anywhere else in the world!
context: What chain reaction will be caused depending on what I break where...\Those calculations are as easy as making a cup of tea.\And you two aren't noticing...\Intellectual-type villains will sit back and watch from the sidelines.\Nezu - Quirk: High Specs\Principal Nezu. Quirk: High Specs.\He's an animal with a Quirk that makes him smarter than humans!\He's a unique being that you won't find anywhere else in the world! response:	Pro Hero - Recovery Girl - Quirk: Heal
context: Those calculations are as easy as making a cup of tea.\And you two aren't noticing...\Intellectual-type villains will sit back and watch from the sidelines.\Nezu - Quirk: High Specs\Principal Nezu. Quirk: High Specs.\He's an animal with a Quirk that makes him smarter than humans!\He's a unique being that you won't find anywhere else in the world!\Pro Hero - Recovery Girl - Quirk: Heal response:	Humans did a bunch of experiments on Nezu in the past,
context: And you two aren't noticing...\Intellectual-type villains will sit back and watch from the sidelines.\Nezu - Quirk: High Specs\Principal Nezu. Quirk: High Specs.\He's an animal with a Quirk that makes him smarter than humans!\He's a unique being that you won't find anywhere else in the world!\Pro Hero - Recovery Girl - Quirk: Heal\Humans did a bunch of experiments on Nezu in the past, response:	so in times like this, he can't help but let out his true self.
context: Intellectual-type villains will sit back and watch from the sidelines.\Nezu - Quirk: High Specs\Principal Nezu. Quirk: High Specs.\He's an animal with a Quirk that makes him smarter than humans!\He's a unique being that you won't find anywhere else in the world!\Pro Hero - Recovery Girl - Quirk: Heal\Humans did a bunch of experiments on Nezu in the past,\so in times like this, he can't help but let out his true self. response:	Kaminari, you can't do anything with your electricity?
context: Nezu - Quirk: High Specs\Principal Nezu. Quirk: High Specs.\He's an animal with a Quirk that makes him smarter than humans!\He's a unique being that you won't find anywhere else in the world!\Pro Hero - Recovery Girl - Quirk: Heal\Humans did a bunch of experiments on Nezu in the past,\so in times like this, he can't help but let out his true self.\Kaminari, you can't do anything with your electricity? response:	I don't know where he is, so I can't waste my shots.
context: Principal Nezu. Quirk: High Specs.\He's an animal with a Quirk that makes him smarter than humans!\He's a unique being that you won't find anywhere else in the world!\Pro Hero - Recovery Girl - Quirk: Heal\Humans did a bunch of experiments on Nezu in the past,\so in times like this, he can't help but let out his true self.\Kaminari, you can't do anything with your electricity?\I don't know where he is, so I can't waste my shots. response:	Do you want a dead weight on your hands?
context: He's an animal with a Quirk that makes him smarter than humans!\He's a unique being that you won't find anywhere else in the world!\Pro Hero - Recovery Girl - Quirk: Heal\Humans did a bunch of experiments on Nezu in the past,\so in times like this, he can't help but let out his true self.\Kaminari, you can't do anything with your electricity?\I don't know where he is, so I can't waste my shots.\Do you want a dead weight on your hands? response:	Anyway, all we can do is run!
context: He's a unique being that you won't find anywhere else in the world!\Pro Hero - Recovery Girl - Quirk: Heal\Humans did a bunch of experiments on Nezu in the past,\so in times like this, he can't help but let out his true self.\Kaminari, you can't do anything with your electricity?\I don't know where he is, so I can't waste my shots.\Do you want a dead weight on your hands?\Anyway, all we can do is run! response:	Which way's the escape gate?
context: Pro Hero - Recovery Girl - Quirk: Heal\Humans did a bunch of experiments on Nezu in the past,\so in times like this, he can't help but let out his true self.\Kaminari, you can't do anything with your electricity?\I don't know where he is, so I can't waste my shots.\Do you want a dead weight on your hands?\Anyway, all we can do is run!\Which way's the escape gate? response:	Probably... this way!
context: Humans did a bunch of experiments on Nezu in the past,\so in times like this, he can't help but let out his true self.\Kaminari, you can't do anything with your electricity?\I don't know where he is, so I can't waste my shots.\Do you want a dead weight on your hands?\Anyway, all we can do is run!\Which way's the escape gate?\Probably... this way! response:	No way...!
context: so in times like this, he can't help but let out his true self.\Kaminari, you can't do anything with your electricity?\I don't know where he is, so I can't waste my shots.\Do you want a dead weight on your hands?\Anyway, all we can do is run!\Which way's the escape gate?\Probably... this way!\No way...! response:	Is he trying to bury us alive?
context: Kaminari, you can't do anything with your electricity?\I don't know where he is, so I can't waste my shots.\Do you want a dead weight on your hands?\Anyway, all we can do is run!\Which way's the escape gate?\Probably... this way!\No way...!\Is he trying to bury us alive? response:	There's still a way out!
context: I don't know where he is, so I can't waste my shots.\Do you want a dead weight on your hands?\Anyway, all we can do is run!\Which way's the escape gate?\Probably... this way!\No way...!\Is he trying to bury us alive?\There's still a way out! response:	Come on, use your heads! Think carefully! Rack your brains!
context: Do you want a dead weight on your hands?\Anyway, all we can do is run!\Which way's the escape gate?\Probably... this way!\No way...!\Is he trying to bury us alive?\There's still a way out!\Come on, use your heads! Think carefully! Rack your brains! response:	Kaminari, this way!
context: Anyway, all we can do is run!\Which way's the escape gate?\Probably... this way!\No way...!\Is he trying to bury us alive?\There's still a way out!\Come on, use your heads! Think carefully! Rack your brains!\Kaminari, this way! response:	Okay!
context: Which way's the escape gate?\Probably... this way!\No way...!\Is he trying to bury us alive?\There's still a way out!\Come on, use your heads! Think carefully! Rack your brains!\Kaminari, this way!\Okay! response:	We'd end up taking a detour,
context: Probably... this way!\No way...!\Is he trying to bury us alive?\There's still a way out!\Come on, use your heads! Think carefully! Rack your brains!\Kaminari, this way!\Okay!\We'd end up taking a detour, response:	but if we go out through the other side to the escape gate...
context: No way...!\Is he trying to bury us alive?\There's still a way out!\Come on, use your heads! Think carefully! Rack your brains!\Kaminari, this way!\Okay!\We'd end up taking a detour,\but if we go out through the other side to the escape gate... response:	He's one step ahead of everything they can think of.
context: Is he trying to bury us alive?\There's still a way out!\Come on, use your heads! Think carefully! Rack your brains!\Kaminari, this way!\Okay!\We'd end up taking a detour,\but if we go out through the other side to the escape gate...\He's one step ahead of everything they can think of. response:	And they can't attack if they don't know where the principal is.
context: There's still a way out!\Come on, use your heads! Think carefully! Rack your brains!\Kaminari, this way!\Okay!\We'd end up taking a detour,\but if we go out through the other side to the escape gate...\He's one step ahead of everything they can think of.\And they can't attack if they don't know where the principal is. response:	His plan is so completely perfect...
context: Come on, use your heads! Think carefully! Rack your brains!\Kaminari, this way!\Okay!\We'd end up taking a detour,\but if we go out through the other side to the escape gate...\He's one step ahead of everything they can think of.\And they can't attack if they don't know where the principal is.\His plan is so completely perfect... response:	In the end, they couldn't make it to the escape gate before time ran out,
context: Kaminari, this way!\Okay!\We'd end up taking a detour,\but if we go out through the other side to the escape gate...\He's one step ahead of everything they can think of.\And they can't attack if they don't know where the principal is.\His plan is so completely perfect...\In the end, they couldn't make it to the escape gate before time ran out, response:	and-
context: Okay!\We'd end up taking a detour,\but if we go out through the other side to the escape gate...\He's one step ahead of everything they can think of.\And they can't attack if they don't know where the principal is.\His plan is so completely perfect...\In the end, they couldn't make it to the escape gate before time ran out,\and- response:	Team Ashido and Kaminari retires due to running out of time.
context: We'd end up taking a detour,\but if we go out through the other side to the escape gate...\He's one step ahead of everything they can think of.\And they can't attack if they don't know where the principal is.\His plan is so completely perfect...\In the end, they couldn't make it to the escape gate before time ran out,\and-\Team Ashido and Kaminari retires due to running out of time. response:	-Damn it! -Man!
context: but if we go out through the other side to the escape gate...\He's one step ahead of everything they can think of.\And they can't attack if they don't know where the principal is.\His plan is so completely perfect...\In the end, they couldn't make it to the escape gate before time ran out,\and-\Team Ashido and Kaminari retires due to running out of time.\-Damn it! -Man! response:	And I left one escape route for you, too. Too bad.
context: He's one step ahead of everything they can think of.\And they can't attack if they don't know where the principal is.\His plan is so completely perfect...\In the end, they couldn't make it to the escape gate before time ran out,\and-\Team Ashido and Kaminari retires due to running out of time.\-Damn it! -Man!\And I left one escape route for you, too. Too bad. response:	Kaminari... Ashido...
context: And they can't attack if they don't know where the principal is.\His plan is so completely perfect...\In the end, they couldn't make it to the escape gate before time ran out,\and-\Team Ashido and Kaminari retires due to running out of time.\-Damn it! -Man!\And I left one escape route for you, too. Too bad.\Kaminari... Ashido... response:	They really couldn't do a thing.
context: His plan is so completely perfect...\In the end, they couldn't make it to the escape gate before time ran out,\and-\Team Ashido and Kaminari retires due to running out of time.\-Damn it! -Man!\And I left one escape route for you, too. Too bad.\Kaminari... Ashido...\They really couldn't do a thing. response:	They must be very frustrated.
context: In the end, they couldn't make it to the escape gate before time ran out,\and-\Team Ashido and Kaminari retires due to running out of time.\-Damn it! -Man!\And I left one escape route for you, too. Too bad.\Kaminari... Ashido...\They really couldn't do a thing.\They must be very frustrated. response:	What? Mina's team lost?
context: and-\Team Ashido and Kaminari retires due to running out of time.\-Damn it! -Man!\And I left one escape route for you, too. Too bad.\Kaminari... Ashido...\They really couldn't do a thing.\They must be very frustrated.\What? Mina's team lost? response:	Yes. The principal's strategy was too perfect.
