context: Yup, the Battle of Fairy Tail has been decided! response:	The Fantasia went great!
context: This ain't sittin' right with me!\Speaking of which, you sure have bad luck with guys, Lucy.\We weren't speaking about that!\Why are you bringing that up now?\It's been one week since the Harvest Festival ended.\The city is finally back to its usual, calm self.\It's true that everyone was quite shocked when Laxus was expelled...\Natsu was whining about it like a little kid until yesterday. response:	This ain't right, Gramps!
context: Speaking of which, you sure have bad luck with guys, Lucy.\We weren't speaking about that!\Why are you bringing that up now?\It's been one week since the Harvest Festival ended.\The city is finally back to its usual, calm self.\It's true that everyone was quite shocked when Laxus was expelled...\Natsu was whining about it like a little kid until yesterday.\This ain't right, Gramps! response:	Why'd you throw Laxus out?
context: We weren't speaking about that!\Why are you bringing that up now?\It's been one week since the Harvest Festival ended.\The city is finally back to its usual, calm self.\It's true that everyone was quite shocked when Laxus was expelled...\Natsu was whining about it like a little kid until yesterday.\This ain't right, Gramps!\Why'd you throw Laxus out? response:	The Day of the Fateful Encounter!
context: Why are you bringing that up now?\It's been one week since the Harvest Festival ended.\The city is finally back to its usual, calm self.\It's true that everyone was quite shocked when Laxus was expelled...\Natsu was whining about it like a little kid until yesterday.\This ain't right, Gramps!\Why'd you throw Laxus out?\The Day of the Fateful Encounter! response:	He's part of our family, you know?
context: It's been one week since the Harvest Festival ended.\The city is finally back to its usual, calm self.\It's true that everyone was quite shocked when Laxus was expelled...\Natsu was whining about it like a little kid until yesterday.\This ain't right, Gramps!\Why'd you throw Laxus out?\The Day of the Fateful Encounter!\He's part of our family, you know? response:	Fightin's just part of being a family, right?
context: The city is finally back to its usual, calm self.\It's true that everyone was quite shocked when Laxus was expelled...\Natsu was whining about it like a little kid until yesterday.\This ain't right, Gramps!\Why'd you throw Laxus out?\The Day of the Fateful Encounter!\He's part of our family, you know?\Fightin's just part of being a family, right? response:	Enough of this, Natsu!
context: It's true that everyone was quite shocked when Laxus was expelled...\Natsu was whining about it like a little kid until yesterday.\This ain't right, Gramps!\Why'd you throw Laxus out?\The Day of the Fateful Encounter!\He's part of our family, you know?\Fightin's just part of being a family, right?\Enough of this, Natsu! response:	I wanna fight him again!
context: Natsu was whining about it like a little kid until yesterday.\This ain't right, Gramps!\Why'd you throw Laxus out?\The Day of the Fateful Encounter!\He's part of our family, you know?\Fightin's just part of being a family, right?\Enough of this, Natsu!\I wanna fight him again! response:	Next time I'll be strong enough to win against him face to face!
context: This ain't right, Gramps!\Why'd you throw Laxus out?\The Day of the Fateful Encounter!\He's part of our family, you know?\Fightin's just part of being a family, right?\Enough of this, Natsu!\I wanna fight him again!\Next time I'll be strong enough to win against him face to face! response:	I said enough!
context: Why'd you throw Laxus out?\The Day of the Fateful Encounter!\He's part of our family, you know?\Fightin's just part of being a family, right?\Enough of this, Natsu!\I wanna fight him again!\Next time I'll be strong enough to win against him face to face!\I said enough! response:	Think about the master's feelings!
context: The Day of the Fateful Encounter!\He's part of our family, you know?\Fightin's just part of being a family, right?\Enough of this, Natsu!\I wanna fight him again!\Next time I'll be strong enough to win against him face to face!\I said enough!\Think about the master's feelings! response:	Do you think he expelled Laxus because he wanted to?
context: He's part of our family, you know?\Fightin's just part of being a family, right?\Enough of this, Natsu!\I wanna fight him again!\Next time I'll be strong enough to win against him face to face!\I said enough!\Think about the master's feelings!\Do you think he expelled Laxus because he wanted to? response:	But...
context: Fightin's just part of being a family, right?\Enough of this, Natsu!\I wanna fight him again!\Next time I'll be strong enough to win against him face to face!\I said enough!\Think about the master's feelings!\Do you think he expelled Laxus because he wanted to?\But... response:	It's because it turned out Laxus was a Dragon Slayer like Natsu.
context: Enough of this, Natsu!\I wanna fight him again!\Next time I'll be strong enough to win against him face to face!\I said enough!\Think about the master's feelings!\Do you think he expelled Laxus because he wanted to?\But...\It's because it turned out Laxus was a Dragon Slayer like Natsu. response:	No... He is not a Dragon Slayer.
context: I wanna fight him again!\Next time I'll be strong enough to win against him face to face!\I said enough!\Think about the master's feelings!\Do you think he expelled Laxus because he wanted to?\But...\It's because it turned out Laxus was a Dragon Slayer like Natsu.\No... He is not a Dragon Slayer. response:	So...
context: Next time I'll be strong enough to win against him face to face!\I said enough!\Think about the master's feelings!\Do you think he expelled Laxus because he wanted to?\But...\It's because it turned out Laxus was a Dragon Slayer like Natsu.\No... He is not a Dragon Slayer.\So... response:	We were all really surprised when we heard that.
context: I said enough!\Think about the master's feelings!\Do you think he expelled Laxus because he wanted to?\But...\It's because it turned out Laxus was a Dragon Slayer like Natsu.\No... He is not a Dragon Slayer.\So...\We were all really surprised when we heard that. response:	According to the master,
context: Think about the master's feelings!\Do you think he expelled Laxus because he wanted to?\But...\It's because it turned out Laxus was a Dragon Slayer like Natsu.\No... He is not a Dragon Slayer.\So...\We were all really surprised when we heard that.\According to the master, response:	Laxus was frail when he was a child,
context: Do you think he expelled Laxus because he wanted to?\But...\It's because it turned out Laxus was a Dragon Slayer like Natsu.\No... He is not a Dragon Slayer.\So...\We were all really surprised when we heard that.\According to the master,\Laxus was frail when he was a child, response:	so Laxus's father, Master Ivan,
context: But...\It's because it turned out Laxus was a Dragon Slayer like Natsu.\No... He is not a Dragon Slayer.\So...\We were all really surprised when we heard that.\According to the master,\Laxus was frail when he was a child,\so Laxus's father, Master Ivan, response:	embedded a lacrima that lets you use Dragon Slayer Magic in his body.
context: It's because it turned out Laxus was a Dragon Slayer like Natsu.\No... He is not a Dragon Slayer.\So...\We were all really surprised when we heard that.\According to the master,\Laxus was frail when he was a child,\so Laxus's father, Master Ivan,\embedded a lacrima that lets you use Dragon Slayer Magic in his body. response:	Dragon Slayer Magic lacrima?
context: No... He is not a Dragon Slayer.\So...\We were all really surprised when we heard that.\According to the master,\Laxus was frail when he was a child,\so Laxus's father, Master Ivan,\embedded a lacrima that lets you use Dragon Slayer Magic in his body.\Dragon Slayer Magic lacrima? response:	Things like that exist?
context: So...\We were all really surprised when we heard that.\According to the master,\Laxus was frail when he was a child,\so Laxus's father, Master Ivan,\embedded a lacrima that lets you use Dragon Slayer Magic in his body.\Dragon Slayer Magic lacrima?\Things like that exist? response:	Master said that he'd take responsibility for his grandson's actions and step down from being the master.
context: We were all really surprised when we heard that.\According to the master,\Laxus was frail when he was a child,\so Laxus's father, Master Ivan,\embedded a lacrima that lets you use Dragon Slayer Magic in his body.\Dragon Slayer Magic lacrima?\Things like that exist?\Master said that he'd take responsibility for his grandson's actions and step down from being the master. response:	Everyone tried to convince him to stay, but...
context: According to the master,\Laxus was frail when he was a child,\so Laxus's father, Master Ivan,\embedded a lacrima that lets you use Dragon Slayer Magic in his body.\Dragon Slayer Magic lacrima?\Things like that exist?\Master said that he'd take responsibility for his grandson's actions and step down from being the master.\Everyone tried to convince him to stay, but... response:	Don't make Laxus's punishment any worse, please.
context: Laxus was frail when he was a child,\so Laxus's father, Master Ivan,\embedded a lacrima that lets you use Dragon Slayer Magic in his body.\Dragon Slayer Magic lacrima?\Things like that exist?\Master said that he'd take responsibility for his grandson's actions and step down from being the master.\Everyone tried to convince him to stay, but...\Don't make Laxus's punishment any worse, please. response:	If Laxus found out that you quit, Master...
context: so Laxus's father, Master Ivan,\embedded a lacrima that lets you use Dragon Slayer Magic in his body.\Dragon Slayer Magic lacrima?\Things like that exist?\Master said that he'd take responsibility for his grandson's actions and step down from being the master.\Everyone tried to convince him to stay, but...\Don't make Laxus's punishment any worse, please.\If Laxus found out that you quit, Master... response:	With a haircut signifying his repentance,
context: embedded a lacrima that lets you use Dragon Slayer Magic in his body.\Dragon Slayer Magic lacrima?\Things like that exist?\Master said that he'd take responsibility for his grandson's actions and step down from being the master.\Everyone tried to convince him to stay, but...\Don't make Laxus's punishment any worse, please.\If Laxus found out that you quit, Master...\With a haircut signifying his repentance, response:	and an air of the past, it was Freed that managed to talk him out of it.
context: Dragon Slayer Magic lacrima?\Things like that exist?\Master said that he'd take responsibility for his grandson's actions and step down from being the master.\Everyone tried to convince him to stay, but...\Don't make Laxus's punishment any worse, please.\If Laxus found out that you quit, Master...\With a haircut signifying his repentance,\and an air of the past, it was Freed that managed to talk him out of it. response:	Speaking of Freed, he and the other Raijin Tribe finally opened up a little bit to everyone, I think.
context: Things like that exist?\Master said that he'd take responsibility for his grandson's actions and step down from being the master.\Everyone tried to convince him to stay, but...\Don't make Laxus's punishment any worse, please.\If Laxus found out that you quit, Master...\With a haircut signifying his repentance,\and an air of the past, it was Freed that managed to talk him out of it.\Speaking of Freed, he and the other Raijin Tribe finally opened up a little bit to everyone, I think. response:	Go ahead and use me as your model, I don't mind!
context: Master said that he'd take responsibility for his grandson's actions and step down from being the master.\Everyone tried to convince him to stay, but...\Don't make Laxus's punishment any worse, please.\If Laxus found out that you quit, Master...\With a haircut signifying his repentance,\and an air of the past, it was Freed that managed to talk him out of it.\Speaking of Freed, he and the other Raijin Tribe finally opened up a little bit to everyone, I think.\Go ahead and use me as your model, I don't mind! response:	Don't go thinking anything strange now.
context: Everyone tried to convince him to stay, but...\Don't make Laxus's punishment any worse, please.\If Laxus found out that you quit, Master...\With a haircut signifying his repentance,\and an air of the past, it was Freed that managed to talk him out of it.\Speaking of Freed, he and the other Raijin Tribe finally opened up a little bit to everyone, I think.\Go ahead and use me as your model, I don't mind!\Don't go thinking anything strange now. response:	I don't mean nude, okay?
context: Don't make Laxus's punishment any worse, please.\If Laxus found out that you quit, Master...\With a haircut signifying his repentance,\and an air of the past, it was Freed that managed to talk him out of it.\Speaking of Freed, he and the other Raijin Tribe finally opened up a little bit to everyone, I think.\Go ahead and use me as your model, I don't mind!\Don't go thinking anything strange now.\I don't mean nude, okay? response:	O-Oui...
context: If Laxus found out that you quit, Master...\With a haircut signifying his repentance,\and an air of the past, it was Freed that managed to talk him out of it.\Speaking of Freed, he and the other Raijin Tribe finally opened up a little bit to everyone, I think.\Go ahead and use me as your model, I don't mind!\Don't go thinking anything strange now.\I don't mean nude, okay?\O-Oui... response:	Like this? Or how do you like this?
context: With a haircut signifying his repentance,\and an air of the past, it was Freed that managed to talk him out of it.\Speaking of Freed, he and the other Raijin Tribe finally opened up a little bit to everyone, I think.\Go ahead and use me as your model, I don't mind!\Don't go thinking anything strange now.\I don't mean nude, okay?\O-Oui...\Like this? Or how do you like this? response:	Hurry up and start painting.
context: and an air of the past, it was Freed that managed to talk him out of it.\Speaking of Freed, he and the other Raijin Tribe finally opened up a little bit to everyone, I think.\Go ahead and use me as your model, I don't mind!\Don't go thinking anything strange now.\I don't mean nude, okay?\O-Oui...\Like this? Or how do you like this?\Hurry up and start painting. response:	Are you and Loke going out?
context: Speaking of Freed, he and the other Raijin Tribe finally opened up a little bit to everyone, I think.\Go ahead and use me as your model, I don't mind!\Don't go thinking anything strange now.\I don't mean nude, okay?\O-Oui...\Like this? Or how do you like this?\Hurry up and start painting.\Are you and Loke going out? response:	Are you? Are you? Are you?
context: Go ahead and use me as your model, I don't mind!\Don't go thinking anything strange now.\I don't mean nude, okay?\O-Oui...\Like this? Or how do you like this?\Hurry up and start painting.\Are you and Loke going out?\Are you? Are you? Are you? response:	He lllikes you...
context: Don't go thinking anything strange now.\I don't mean nude, okay?\O-Oui...\Like this? Or how do you like this?\Hurry up and start painting.\Are you and Loke going out?\Are you? Are you? Are you?\He lllikes you... response:	Ugh...
context: I don't mean nude, okay?\O-Oui...\Like this? Or how do you like this?\Hurry up and start painting.\Are you and Loke going out?\Are you? Are you? Are you?\He lllikes you...\Ugh... response:	He lllikes you!
context: O-Oui...\Like this? Or how do you like this?\Hurry up and start painting.\Are you and Loke going out?\Are you? Are you? Are you?\He lllikes you...\Ugh...\He lllikes you! response:	He likes you! He likes you!
context: Like this? Or how do you like this?\Hurry up and start painting.\Are you and Loke going out?\Are you? Are you? Are you?\He lllikes you...\Ugh...\He lllikes you!\He likes you! He likes you! response:	And, as usual, I'm mixed up with a bunch of weirdos.
context: Hurry up and start painting.\Are you and Loke going out?\Are you? Are you? Are you?\He lllikes you...\Ugh...\He lllikes you!\He likes you! He likes you!\And, as usual, I'm mixed up with a bunch of weirdos. response:	Ever since the end of the Harvest Festival, I saw Erza being alone a lot.
context: Are you and Loke going out?\Are you? Are you? Are you?\He lllikes you...\Ugh...\He lllikes you!\He likes you! He likes you!\And, as usual, I'm mixed up with a bunch of weirdos.\Ever since the end of the Harvest Festival, I saw Erza being alone a lot. response:	Master, who exactly is he?
context: Are you? Are you? Are you?\He lllikes you...\Ugh...\He lllikes you!\He likes you! He likes you!\And, as usual, I'm mixed up with a bunch of weirdos.\Ever since the end of the Harvest Festival, I saw Erza being alone a lot.\Master, who exactly is he? response:	To think he'd have the same face as someone you know...
context: He lllikes you...\Ugh...\He lllikes you!\He likes you! He likes you!\And, as usual, I'm mixed up with a bunch of weirdos.\Ever since the end of the Harvest Festival, I saw Erza being alone a lot.\Master, who exactly is he?\To think he'd have the same face as someone you know... response:	Sorry. I don't really know much about him.
context: Ugh...\He lllikes you!\He likes you! He likes you!\And, as usual, I'm mixed up with a bunch of weirdos.\Ever since the end of the Harvest Festival, I saw Erza being alone a lot.\Master, who exactly is he?\To think he'd have the same face as someone you know...\Sorry. I don't really know much about him. response:	He's quite the tight lipped one, he is.
context: He lllikes you!\He likes you! He likes you!\And, as usual, I'm mixed up with a bunch of weirdos.\Ever since the end of the Harvest Festival, I saw Erza being alone a lot.\Master, who exactly is he?\To think he'd have the same face as someone you know...\Sorry. I don't really know much about him.\He's quite the tight lipped one, he is. response:	Jellal...
context: He likes you! He likes you!\And, as usual, I'm mixed up with a bunch of weirdos.\Ever since the end of the Harvest Festival, I saw Erza being alone a lot.\Master, who exactly is he?\To think he'd have the same face as someone you know...\Sorry. I don't really know much about him.\He's quite the tight lipped one, he is.\Jellal... response:	So, things went like that for about a week...
context: And, as usual, I'm mixed up with a bunch of weirdos.\Ever since the end of the Harvest Festival, I saw Erza being alone a lot.\Master, who exactly is he?\To think he'd have the same face as someone you know...\Sorry. I don't really know much about him.\He's quite the tight lipped one, he is.\Jellal...\So, things went like that for about a week... response:	But I had another big problem left!
context: Ever since the end of the Harvest Festival, I saw Erza being alone a lot.\Master, who exactly is he?\To think he'd have the same face as someone you know...\Sorry. I don't really know much about him.\He's quite the tight lipped one, he is.\Jellal...\So, things went like that for about a week...\But I had another big problem left! response:	Erza is the winner!
context: Master, who exactly is he?\To think he'd have the same face as someone you know...\Sorry. I don't really know much about him.\He's quite the tight lipped one, he is.\Jellal...\So, things went like that for about a week...\But I had another big problem left!\Erza is the winner! response:	I knew it...
context: To think he'd have the same face as someone you know...\Sorry. I don't really know much about him.\He's quite the tight lipped one, he is.\Jellal...\So, things went like that for about a week...\But I had another big problem left!\Erza is the winner!\I knew it... response:	Lucy's in second?
context: Sorry. I don't really know much about him.\He's quite the tight lipped one, he is.\Jellal...\So, things went like that for about a week...\But I had another big problem left!\Erza is the winner!\I knew it...\Lucy's in second? response:	And third place is Juvia!
context: He's quite the tight lipped one, he is.\Jellal...\So, things went like that for about a week...\But I had another big problem left!\Erza is the winner!\I knew it...\Lucy's in second?\And third place is Juvia! response:	Congrats!
context: Jellal...\So, things went like that for about a week...\But I had another big problem left!\Erza is the winner!\I knew it...\Lucy's in second?\And third place is Juvia!\Congrats! response:	Rent: Denied!
context: So, things went like that for about a week...\But I had another big problem left!\Erza is the winner!\I knew it...\Lucy's in second?\And third place is Juvia!\Congrats!\Rent: Denied! response:	How about working?
context: But I had another big problem left!\Erza is the winner!\I knew it...\Lucy's in second?\And third place is Juvia!\Congrats!\Rent: Denied!\How about working? response:	Well, that'd be nice and all...
context: Erza is the winner!\I knew it...\Lucy's in second?\And third place is Juvia!\Congrats!\Rent: Denied!\How about working?\Well, that'd be nice and all... response:	What'll I do...?
context: I knew it...\Lucy's in second?\And third place is Juvia!\Congrats!\Rent: Denied!\How about working?\Well, that'd be nice and all...\What'll I do...? response:	I wish I had a boyfriend...
context: Lucy's in second?\And third place is Juvia!\Congrats!\Rent: Denied!\How about working?\Well, that'd be nice and all...\What'll I do...?\I wish I had a boyfriend... response:	What's with you all of a sudden?
context: And third place is Juvia!\Congrats!\Rent: Denied!\How about working?\Well, that'd be nice and all...\What'll I do...?\I wish I had a boyfriend...\What's with you all of a sudden? response:	Men... It's men!
context: Congrats!\Rent: Denied!\How about working?\Well, that'd be nice and all...\What'll I do...?\I wish I had a boyfriend...\What's with you all of a sudden?\Men... It's men! response:	Go without a boyfriend for a while and I start gettin' the itch, you know?
context: Rent: Denied!\How about working?\Well, that'd be nice and all...\What'll I do...?\I wish I had a boyfriend...\What's with you all of a sudden?\Men... It's men!\Go without a boyfriend for a while and I start gettin' the itch, you know? response:	What're you all embarrassed for?
context: How about working?\Well, that'd be nice and all...\What'll I do...?\I wish I had a boyfriend...\What's with you all of a sudden?\Men... It's men!\Go without a boyfriend for a while and I start gettin' the itch, you know?\What're you all embarrassed for? response:	I-I'm not...
context: Well, that'd be nice and all...\What'll I do...?\I wish I had a boyfriend...\What's with you all of a sudden?\Men... It's men!\Go without a boyfriend for a while and I start gettin' the itch, you know?\What're you all embarrassed for?\I-I'm not... response:	How many guys have you gone out with?
context: What'll I do...?\I wish I had a boyfriend...\What's with you all of a sudden?\Men... It's men!\Go without a boyfriend for a while and I start gettin' the itch, you know?\What're you all embarrassed for?\I-I'm not...\How many guys have you gone out with? response:	Maybe like... three?
context: I wish I had a boyfriend...\What's with you all of a sudden?\Men... It's men!\Go without a boyfriend for a while and I start gettin' the itch, you know?\What're you all embarrassed for?\I-I'm not...\How many guys have you gone out with?\Maybe like... three? response:	Yup, a total lie.
context: What's with you all of a sudden?\Men... It's men!\Go without a boyfriend for a while and I start gettin' the itch, you know?\What're you all embarrassed for?\I-I'm not...\How many guys have you gone out with?\Maybe like... three?\Yup, a total lie. response:	Haven't you ever wanted a boyfriend?
context: Men... It's men!\Go without a boyfriend for a while and I start gettin' the itch, you know?\What're you all embarrassed for?\I-I'm not...\How many guys have you gone out with?\Maybe like... three?\Yup, a total lie.\Haven't you ever wanted a boyfriend? response:	Sure, a little...
context: Go without a boyfriend for a while and I start gettin' the itch, you know?\What're you all embarrassed for?\I-I'm not...\How many guys have you gone out with?\Maybe like... three?\Yup, a total lie.\Haven't you ever wanted a boyfriend?\Sure, a little... response:	But honestly, I don't really know...
context: What're you all embarrassed for?\I-I'm not...\How many guys have you gone out with?\Maybe like... three?\Yup, a total lie.\Haven't you ever wanted a boyfriend?\Sure, a little...\But honestly, I don't really know... response:	You're so dang cute!
context: I-I'm not...\How many guys have you gone out with?\Maybe like... three?\Yup, a total lie.\Haven't you ever wanted a boyfriend?\Sure, a little...\But honestly, I don't really know...\You're so dang cute! response:	Listen up, everyone! Lucy's never had a boyfriend!
context: How many guys have you gone out with?\Maybe like... three?\Yup, a total lie.\Haven't you ever wanted a boyfriend?\Sure, a little...\But honestly, I don't really know...\You're so dang cute!\Listen up, everyone! Lucy's never had a boyfriend! response:	Worry not.
context: Maybe like... three?\Yup, a total lie.\Haven't you ever wanted a boyfriend?\Sure, a little...\But honestly, I don't really know...\You're so dang cute!\Listen up, everyone! Lucy's never had a boyfriend!\Worry not. response:	My cards have spoken.
context: Yup, a total lie.\Haven't you ever wanted a boyfriend?\Sure, a little...\But honestly, I don't really know...\You're so dang cute!\Listen up, everyone! Lucy's never had a boyfriend!\Worry not.\My cards have spoken. response:	Today you will have a fateful encounter.
context: Haven't you ever wanted a boyfriend?\Sure, a little...\But honestly, I don't really know...\You're so dang cute!\Listen up, everyone! Lucy's never had a boyfriend!\Worry not.\My cards have spoken.\Today you will have a fateful encounter. response:	A fateful encounter?
context: Sure, a little...\But honestly, I don't really know...\You're so dang cute!\Listen up, everyone! Lucy's never had a boyfriend!\Worry not.\My cards have spoken.\Today you will have a fateful encounter.\A fateful encounter? response:	Erza, what's with the dress?
context: But honestly, I don't really know...\You're so dang cute!\Listen up, everyone! Lucy's never had a boyfriend!\Worry not.\My cards have spoken.\Today you will have a fateful encounter.\A fateful encounter?\Erza, what's with the dress? response:	Next up is makeup! I can't stay like this!
context: You're so dang cute!\Listen up, everyone! Lucy's never had a boyfriend!\Worry not.\My cards have spoken.\Today you will have a fateful encounter.\A fateful encounter?\Erza, what's with the dress?\Next up is makeup! I can't stay like this! response:	Shooby doo bop!
context: Listen up, everyone! Lucy's never had a boyfriend!\Worry not.\My cards have spoken.\Today you will have a fateful encounter.\A fateful encounter?\Erza, what's with the dress?\Next up is makeup! I can't stay like this!\Shooby doo bop! response:	That's odd. The Harvest Festival is over already, so...
context: Worry not.\My cards have spoken.\Today you will have a fateful encounter.\A fateful encounter?\Erza, what's with the dress?\Next up is makeup! I can't stay like this!\Shooby doo bop!\That's odd. The Harvest Festival is over already, so... response:	Didn't you know?
context: My cards have spoken.\Today you will have a fateful encounter.\A fateful encounter?\Erza, what's with the dress?\Next up is makeup! I can't stay like this!\Shooby doo bop!\That's odd. The Harvest Festival is over already, so...\Didn't you know? response:	A reporter for the Weekly Sorcerer is coming to do an interview here.
context: Today you will have a fateful encounter.\A fateful encounter?\Erza, what's with the dress?\Next up is makeup! I can't stay like this!\Shooby doo bop!\That's odd. The Harvest Festival is over already, so...\Didn't you know?\A reporter for the Weekly Sorcerer is coming to do an interview here. response:	The Weekly Sorcerer is published every Wednesday!
context: A fateful encounter?\Erza, what's with the dress?\Next up is makeup! I can't stay like this!\Shooby doo bop!\That's odd. The Harvest Festival is over already, so...\Didn't you know?\A reporter for the Weekly Sorcerer is coming to do an interview here.\The Weekly Sorcerer is published every Wednesday! response:	With features on new magic and all the hot guilds,
context: Erza, what's with the dress?\Next up is makeup! I can't stay like this!\Shooby doo bop!\That's odd. The Harvest Festival is over already, so...\Didn't you know?\A reporter for the Weekly Sorcerer is coming to do an interview here.\The Weekly Sorcerer is published every Wednesday!\With features on new magic and all the hot guilds, response:	plus photo spreads of beautiful female wizards,
context: Next up is makeup! I can't stay like this!\Shooby doo bop!\That's odd. The Harvest Festival is over already, so...\Didn't you know?\A reporter for the Weekly Sorcerer is coming to do an interview here.\The Weekly Sorcerer is published every Wednesday!\With features on new magic and all the hot guilds,\plus photo spreads of beautiful female wizards, response:	it's the magazine about magic!
context: Shooby doo bop!\That's odd. The Harvest Festival is over already, so...\Didn't you know?\A reporter for the Weekly Sorcerer is coming to do an interview here.\The Weekly Sorcerer is published every Wednesday!\With features on new magic and all the hot guilds,\plus photo spreads of beautiful female wizards,\it's the magazine about magic! response:	What?! The Sorce' is coming?
context: That's odd. The Harvest Festival is over already, so...\Didn't you know?\A reporter for the Weekly Sorcerer is coming to do an interview here.\The Weekly Sorcerer is published every Wednesday!\With features on new magic and all the hot guilds,\plus photo spreads of beautiful female wizards,\it's the magazine about magic!\What?! The Sorce' is coming? response:	He said he was writing a special feature on Fairy Tail.
context: Didn't you know?\A reporter for the Weekly Sorcerer is coming to do an interview here.\The Weekly Sorcerer is published every Wednesday!\With features on new magic and all the hot guilds,\plus photo spreads of beautiful female wizards,\it's the magazine about magic!\What?! The Sorce' is coming?\He said he was writing a special feature on Fairy Tail. response:	Interview... Special Feature...
context: A reporter for the Weekly Sorcerer is coming to do an interview here.\The Weekly Sorcerer is published every Wednesday!\With features on new magic and all the hot guilds,\plus photo spreads of beautiful female wizards,\it's the magazine about magic!\What?! The Sorce' is coming?\He said he was writing a special feature on Fairy Tail.\Interview... Special Feature... response:	Reporter...
context: The Weekly Sorcerer is published every Wednesday!\With features on new magic and all the hot guilds,\plus photo spreads of beautiful female wizards,\it's the magazine about magic!\What?! The Sorce' is coming?\He said he was writing a special feature on Fairy Tail.\Interview... Special Feature...\Reporter... response:	Fateful encounter?
context: With features on new magic and all the hot guilds,\plus photo spreads of beautiful female wizards,\it's the magazine about magic!\What?! The Sorce' is coming?\He said he was writing a special feature on Fairy Tail.\Interview... Special Feature...\Reporter...\Fateful encounter? response:	Oh my god!
context: plus photo spreads of beautiful female wizards,\it's the magazine about magic!\What?! The Sorce' is coming?\He said he was writing a special feature on Fairy Tail.\Interview... Special Feature...\Reporter...\Fateful encounter?\Oh my god! response:	A magazine reporter is coming...
context: it's the magazine about magic!\What?! The Sorce' is coming?\He said he was writing a special feature on Fairy Tail.\Interview... Special Feature...\Reporter...\Fateful encounter?\Oh my god!\A magazine reporter is coming... response:	My cuteness will knock him right out.
context: What?! The Sorce' is coming?\He said he was writing a special feature on Fairy Tail.\Interview... Special Feature...\Reporter...\Fateful encounter?\Oh my god!\A magazine reporter is coming...\My cuteness will knock him right out. response:	Ms. Lucy... Please, allow me to photograph your cute smile...
context: He said he was writing a special feature on Fairy Tail.\Interview... Special Feature...\Reporter...\Fateful encounter?\Oh my god!\A magazine reporter is coming...\My cuteness will knock him right out.\Ms. Lucy... Please, allow me to photograph your cute smile... response:	Finally, I'll be in a photo spread!
context: Interview... Special Feature...\Reporter...\Fateful encounter?\Oh my god!\A magazine reporter is coming...\My cuteness will knock him right out.\Ms. Lucy... Please, allow me to photograph your cute smile...\Finally, I'll be in a photo spread! response:	And that reporter is my fateful encounter!
context: Reporter...\Fateful encounter?\Oh my god!\A magazine reporter is coming...\My cuteness will knock him right out.\Ms. Lucy... Please, allow me to photograph your cute smile...\Finally, I'll be in a photo spread!\And that reporter is my fateful encounter! response:	Ms. Lucy, I want to continue this interview... forever.
context: Fateful encounter?\Oh my god!\A magazine reporter is coming...\My cuteness will knock him right out.\Ms. Lucy... Please, allow me to photograph your cute smile...\Finally, I'll be in a photo spread!\And that reporter is my fateful encounter!\Ms. Lucy, I want to continue this interview... forever. response:	And what's more...
