context: You pesky moth! response:	I don't remember a thing while I was transformed.
context: At that moment, Tetsusaiga was broken...\awakening the demon blood inside Inuyasha.\Once awakened, the demon blood will try to protect itself and retransform.\That's why you must not let go of Tetsusaiga.\Otherwise, when your life is in danger, you will transform, Inuyasha.\The next time I transform...\I might use these claws and tear you apart...\Kagome... response:	Hey, you there, Totosai?
context: awakening the demon blood inside Inuyasha.\Once awakened, the demon blood will try to protect itself and retransform.\That's why you must not let go of Tetsusaiga.\Otherwise, when your life is in danger, you will transform, Inuyasha.\The next time I transform...\I might use these claws and tear you apart...\Kagome...\Hey, you there, Totosai? response:	Huh?
context: Once awakened, the demon blood will try to protect itself and retransform.\That's why you must not let go of Tetsusaiga.\Otherwise, when your life is in danger, you will transform, Inuyasha.\The next time I transform...\I might use these claws and tear you apart...\Kagome...\Hey, you there, Totosai?\Huh? response:	We need to talk.
context: That's why you must not let go of Tetsusaiga.\Otherwise, when your life is in danger, you will transform, Inuyasha.\The next time I transform...\I might use these claws and tear you apart...\Kagome...\Hey, you there, Totosai?\Huh?\We need to talk. response:	I was expecting you around now.
context: Otherwise, when your life is in danger, you will transform, Inuyasha.\The next time I transform...\I might use these claws and tear you apart...\Kagome...\Hey, you there, Totosai?\Huh?\We need to talk.\I was expecting you around now. response:	Geez! Where did Inuyasha go anyway?
context: The next time I transform...\I might use these claws and tear you apart...\Kagome...\Hey, you there, Totosai?\Huh?\We need to talk.\I was expecting you around now.\Geez! Where did Inuyasha go anyway? response:	Kagome, don't you have any ideas?
context: I might use these claws and tear you apart...\Kagome...\Hey, you there, Totosai?\Huh?\We need to talk.\I was expecting you around now.\Geez! Where did Inuyasha go anyway?\Kagome, don't you have any ideas? response:	Uh-uh...
context: Kagome...\Hey, you there, Totosai?\Huh?\We need to talk.\I was expecting you around now.\Geez! Where did Inuyasha go anyway?\Kagome, don't you have any ideas?\Uh-uh... response:	Inuyasha no doubt wants to make Tetsusaiga lighter.
context: Hey, you there, Totosai?\Huh?\We need to talk.\I was expecting you around now.\Geez! Where did Inuyasha go anyway?\Kagome, don't you have any ideas?\Uh-uh...\Inuyasha no doubt wants to make Tetsusaiga lighter. response:	Maybe he's training somewhere.
context: Huh?\We need to talk.\I was expecting you around now.\Geez! Where did Inuyasha go anyway?\Kagome, don't you have any ideas?\Uh-uh...\Inuyasha no doubt wants to make Tetsusaiga lighter.\Maybe he's training somewhere. response:	Think so? I don't think Inuyasha would be that diligent.
context: We need to talk.\I was expecting you around now.\Geez! Where did Inuyasha go anyway?\Kagome, don't you have any ideas?\Uh-uh...\Inuyasha no doubt wants to make Tetsusaiga lighter.\Maybe he's training somewhere.\Think so? I don't think Inuyasha would be that diligent. response:	Shippo!
context: I was expecting you around now.\Geez! Where did Inuyasha go anyway?\Kagome, don't you have any ideas?\Uh-uh...\Inuyasha no doubt wants to make Tetsusaiga lighter.\Maybe he's training somewhere.\Think so? I don't think Inuyasha would be that diligent.\Shippo! response:	In any case, we'll just have to search every place we can think of.
context: Geez! Where did Inuyasha go anyway?\Kagome, don't you have any ideas?\Uh-uh...\Inuyasha no doubt wants to make Tetsusaiga lighter.\Maybe he's training somewhere.\Think so? I don't think Inuyasha would be that diligent.\Shippo!\In any case, we'll just have to search every place we can think of. response:	Yeah...
context: Kagome, don't you have any ideas?\Uh-uh...\Inuyasha no doubt wants to make Tetsusaiga lighter.\Maybe he's training somewhere.\Think so? I don't think Inuyasha would be that diligent.\Shippo!\In any case, we'll just have to search every place we can think of.\Yeah... response:	I haven't told the others...
context: Uh-uh...\Inuyasha no doubt wants to make Tetsusaiga lighter.\Maybe he's training somewhere.\Think so? I don't think Inuyasha would be that diligent.\Shippo!\In any case, we'll just have to search every place we can think of.\Yeah...\I haven't told the others... response:	but Inuyasha is going through a lot of suffering now.
context: Inuyasha no doubt wants to make Tetsusaiga lighter.\Maybe he's training somewhere.\Think so? I don't think Inuyasha would be that diligent.\Shippo!\In any case, we'll just have to search every place we can think of.\Yeah...\I haven't told the others...\but Inuyasha is going through a lot of suffering now. response:	That's why I think it's better to leave him alone...
context: Maybe he's training somewhere.\Think so? I don't think Inuyasha would be that diligent.\Shippo!\In any case, we'll just have to search every place we can think of.\Yeah...\I haven't told the others...\but Inuyasha is going through a lot of suffering now.\That's why I think it's better to leave him alone... response:	but I can't just sit still and wait.
context: Think so? I don't think Inuyasha would be that diligent.\Shippo!\In any case, we'll just have to search every place we can think of.\Yeah...\I haven't told the others...\but Inuyasha is going through a lot of suffering now.\That's why I think it's better to leave him alone...\but I can't just sit still and wait. response:	Inuyasha...
context: Shippo!\In any case, we'll just have to search every place we can think of.\Yeah...\I haven't told the others...\but Inuyasha is going through a lot of suffering now.\That's why I think it's better to leave him alone...\but I can't just sit still and wait.\Inuyasha... response:	I'm so disappointed in you, Inuyasha.
context: In any case, we'll just have to search every place we can think of.\Yeah...\I haven't told the others...\but Inuyasha is going through a lot of suffering now.\That's why I think it's better to leave him alone...\but I can't just sit still and wait.\Inuyasha...\I'm so disappointed in you, Inuyasha. response:	How can you let Tetsusaiga's weight hinder you still?
context: Yeah...\I haven't told the others...\but Inuyasha is going through a lot of suffering now.\That's why I think it's better to leave him alone...\but I can't just sit still and wait.\Inuyasha...\I'm so disappointed in you, Inuyasha.\How can you let Tetsusaiga's weight hinder you still? response:	Shaddup!
context: I haven't told the others...\but Inuyasha is going through a lot of suffering now.\That's why I think it's better to leave him alone...\but I can't just sit still and wait.\Inuyasha...\I'm so disappointed in you, Inuyasha.\How can you let Tetsusaiga's weight hinder you still?\Shaddup! response:	That's why I'm asking you for a way to make it lighter!
context: but Inuyasha is going through a lot of suffering now.\That's why I think it's better to leave him alone...\but I can't just sit still and wait.\Inuyasha...\I'm so disappointed in you, Inuyasha.\How can you let Tetsusaiga's weight hinder you still?\Shaddup!\That's why I'm asking you for a way to make it lighter! response:	There must be something!
context: That's why I think it's better to leave him alone...\but I can't just sit still and wait.\Inuyasha...\I'm so disappointed in you, Inuyasha.\How can you let Tetsusaiga's weight hinder you still?\Shaddup!\That's why I'm asking you for a way to make it lighter!\There must be something! response:	Why don't you work it out yourself?
context: but I can't just sit still and wait.\Inuyasha...\I'm so disappointed in you, Inuyasha.\How can you let Tetsusaiga's weight hinder you still?\Shaddup!\That's why I'm asking you for a way to make it lighter!\There must be something!\Why don't you work it out yourself? response:	I'm in a hurry!
context: Inuyasha...\I'm so disappointed in you, Inuyasha.\How can you let Tetsusaiga's weight hinder you still?\Shaddup!\That's why I'm asking you for a way to make it lighter!\There must be something!\Why don't you work it out yourself?\I'm in a hurry! response:	I don't want to transform anymore.
context: I'm so disappointed in you, Inuyasha.\How can you let Tetsusaiga's weight hinder you still?\Shaddup!\That's why I'm asking you for a way to make it lighter!\There must be something!\Why don't you work it out yourself?\I'm in a hurry!\I don't want to transform anymore. response:	Hmm...
context: How can you let Tetsusaiga's weight hinder you still?\Shaddup!\That's why I'm asking you for a way to make it lighter!\There must be something!\Why don't you work it out yourself?\I'm in a hurry!\I don't want to transform anymore.\Hmm... response:	Just'cuz I can't master Tetsusaiga...
context: Shaddup!\That's why I'm asking you for a way to make it lighter!\There must be something!\Why don't you work it out yourself?\I'm in a hurry!\I don't want to transform anymore.\Hmm...\Just'cuz I can't master Tetsusaiga... response:	I was cornered by that petty demon...
context: That's why I'm asking you for a way to make it lighter!\There must be something!\Why don't you work it out yourself?\I'm in a hurry!\I don't want to transform anymore.\Hmm...\Just'cuz I can't master Tetsusaiga...\I was cornered by that petty demon... response:	and I lost my senses.
context: There must be something!\Why don't you work it out yourself?\I'm in a hurry!\I don't want to transform anymore.\Hmm...\Just'cuz I can't master Tetsusaiga...\I was cornered by that petty demon...\and I lost my senses. response:	I never want that to happen again. It gave me the creeps.
context: Why don't you work it out yourself?\I'm in a hurry!\I don't want to transform anymore.\Hmm...\Just'cuz I can't master Tetsusaiga...\I was cornered by that petty demon...\and I lost my senses.\I never want that to happen again. It gave me the creeps. response:	Hmmm...
context: I'm in a hurry!\I don't want to transform anymore.\Hmm...\Just'cuz I can't master Tetsusaiga...\I was cornered by that petty demon...\and I lost my senses.\I never want that to happen again. It gave me the creeps.\Hmmm... response:	Hey!
context: I don't want to transform anymore.\Hmm...\Just'cuz I can't master Tetsusaiga...\I was cornered by that petty demon...\and I lost my senses.\I never want that to happen again. It gave me the creeps.\Hmmm...\Hey! response:	Master Inuyasha, I'm glad you're fine...
context: Hmm...\Just'cuz I can't master Tetsusaiga...\I was cornered by that petty demon...\and I lost my senses.\I never want that to happen again. It gave me the creeps.\Hmmm...\Hey!\Master Inuyasha, I'm glad you're fine... response:	Owweee... I was worried about you.
context: Just'cuz I can't master Tetsusaiga...\I was cornered by that petty demon...\and I lost my senses.\I never want that to happen again. It gave me the creeps.\Hmmm...\Hey!\Master Inuyasha, I'm glad you're fine...\Owweee... I was worried about you. response:	Hey, Old Myoga!
context: I was cornered by that petty demon...\and I lost my senses.\I never want that to happen again. It gave me the creeps.\Hmmm...\Hey!\Master Inuyasha, I'm glad you're fine...\Owweee... I was worried about you.\Hey, Old Myoga! response:	How dare you keep it from me!
context: and I lost my senses.\I never want that to happen again. It gave me the creeps.\Hmmm...\Hey!\Master Inuyasha, I'm glad you're fine...\Owweee... I was worried about you.\Hey, Old Myoga!\How dare you keep it from me! response:	Huh? What are you talking about?
context: I never want that to happen again. It gave me the creeps.\Hmmm...\Hey!\Master Inuyasha, I'm glad you're fine...\Owweee... I was worried about you.\Hey, Old Myoga!\How dare you keep it from me!\Huh? What are you talking about? response:	Don't act innocent!
context: Hmmm...\Hey!\Master Inuyasha, I'm glad you're fine...\Owweee... I was worried about you.\Hey, Old Myoga!\How dare you keep it from me!\Huh? What are you talking about?\Don't act innocent! response:	The connection between Tetsusaiga and my transformation!
context: Hey!\Master Inuyasha, I'm glad you're fine...\Owweee... I was worried about you.\Hey, Old Myoga!\How dare you keep it from me!\Huh? What are you talking about?\Don't act innocent!\The connection between Tetsusaiga and my transformation! response:	Kagome told me...
context: Master Inuyasha, I'm glad you're fine...\Owweee... I was worried about you.\Hey, Old Myoga!\How dare you keep it from me!\Huh? What are you talking about?\Don't act innocent!\The connection between Tetsusaiga and my transformation!\Kagome told me... response:	that Tetsusaiga serves to suppress my demon blood.
context: Owweee... I was worried about you.\Hey, Old Myoga!\How dare you keep it from me!\Huh? What are you talking about?\Don't act innocent!\The connection between Tetsusaiga and my transformation!\Kagome told me...\that Tetsusaiga serves to suppress my demon blood. response:	Hmm... that Kagome!
context: Hey, Old Myoga!\How dare you keep it from me!\Huh? What are you talking about?\Don't act innocent!\The connection between Tetsusaiga and my transformation!\Kagome told me...\that Tetsusaiga serves to suppress my demon blood.\Hmm... that Kagome! response:	I made her promise not to say a thing.
context: How dare you keep it from me!\Huh? What are you talking about?\Don't act innocent!\The connection between Tetsusaiga and my transformation!\Kagome told me...\that Tetsusaiga serves to suppress my demon blood.\Hmm... that Kagome!\I made her promise not to say a thing. response:	So now I know...
context: Huh? What are you talking about?\Don't act innocent!\The connection between Tetsusaiga and my transformation!\Kagome told me...\that Tetsusaiga serves to suppress my demon blood.\Hmm... that Kagome!\I made her promise not to say a thing.\So now I know... response:	but unless I'm strong, my sword can be taken from me.
context: Don't act innocent!\The connection between Tetsusaiga and my transformation!\Kagome told me...\that Tetsusaiga serves to suppress my demon blood.\Hmm... that Kagome!\I made her promise not to say a thing.\So now I know...\but unless I'm strong, my sword can be taken from me. response:	I have to master Tetsusaiga, or else...
context: The connection between Tetsusaiga and my transformation!\Kagome told me...\that Tetsusaiga serves to suppress my demon blood.\Hmm... that Kagome!\I made her promise not to say a thing.\So now I know...\but unless I'm strong, my sword can be taken from me.\I have to master Tetsusaiga, or else... response:	Hmm... so you've put some thought into this.
context: Kagome told me...\that Tetsusaiga serves to suppress my demon blood.\Hmm... that Kagome!\I made her promise not to say a thing.\So now I know...\but unless I'm strong, my sword can be taken from me.\I have to master Tetsusaiga, or else...\Hmm... so you've put some thought into this. response:	And you've had enough of transformations.
context: that Tetsusaiga serves to suppress my demon blood.\Hmm... that Kagome!\I made her promise not to say a thing.\So now I know...\but unless I'm strong, my sword can be taken from me.\I have to master Tetsusaiga, or else...\Hmm... so you've put some thought into this.\And you've had enough of transformations. response:	Yeah...
context: Hmm... that Kagome!\I made her promise not to say a thing.\So now I know...\but unless I'm strong, my sword can be taken from me.\I have to master Tetsusaiga, or else...\Hmm... so you've put some thought into this.\And you've had enough of transformations.\Yeah... response:	Well, I guess it can't be helped.
context: I made her promise not to say a thing.\So now I know...\but unless I'm strong, my sword can be taken from me.\I have to master Tetsusaiga, or else...\Hmm... so you've put some thought into this.\And you've had enough of transformations.\Yeah...\Well, I guess it can't be helped. response:	Huh?
context: So now I know...\but unless I'm strong, my sword can be taken from me.\I have to master Tetsusaiga, or else...\Hmm... so you've put some thought into this.\And you've had enough of transformations.\Yeah...\Well, I guess it can't be helped.\Huh? response:	Inuyasha, go and kill Ryukotsusei.
context: but unless I'm strong, my sword can be taken from me.\I have to master Tetsusaiga, or else...\Hmm... so you've put some thought into this.\And you've had enough of transformations.\Yeah...\Well, I guess it can't be helped.\Huh?\Inuyasha, go and kill Ryukotsusei. response:	Ryukotsusei?
context: I have to master Tetsusaiga, or else...\Hmm... so you've put some thought into this.\And you've had enough of transformations.\Yeah...\Well, I guess it can't be helped.\Huh?\Inuyasha, go and kill Ryukotsusei.\Ryukotsusei? response:	Ryu... You said Ryukotsusei?
context: Hmm... so you've put some thought into this.\And you've had enough of transformations.\Yeah...\Well, I guess it can't be helped.\Huh?\Inuyasha, go and kill Ryukotsusei.\Ryukotsusei?\Ryu... You said Ryukotsusei? response:	Ryukotsusei, Inuyasha...
context: And you've had enough of transformations.\Yeah...\Well, I guess it can't be helped.\Huh?\Inuyasha, go and kill Ryukotsusei.\Ryukotsusei?\Ryu... You said Ryukotsusei?\Ryukotsusei, Inuyasha... response:	is the demon your father battled and put under seal.
context: Yeah...\Well, I guess it can't be helped.\Huh?\Inuyasha, go and kill Ryukotsusei.\Ryukotsusei?\Ryu... You said Ryukotsusei?\Ryukotsusei, Inuyasha...\is the demon your father battled and put under seal. response:	Inuyasha...why do you think this new Tetsusaiga is so heavy?
context: Well, I guess it can't be helped.\Huh?\Inuyasha, go and kill Ryukotsusei.\Ryukotsusei?\Ryu... You said Ryukotsusei?\Ryukotsusei, Inuyasha...\is the demon your father battled and put under seal.\Inuyasha...why do you think this new Tetsusaiga is so heavy? response:	It is because your fang embedded in the blade...
context: Huh?\Inuyasha, go and kill Ryukotsusei.\Ryukotsusei?\Ryu... You said Ryukotsusei?\Ryukotsusei, Inuyasha...\is the demon your father battled and put under seal.\Inuyasha...why do you think this new Tetsusaiga is so heavy?\It is because your fang embedded in the blade... response:	has not yet reached the power of your father's fang.
context: Inuyasha, go and kill Ryukotsusei.\Ryukotsusei?\Ryu... You said Ryukotsusei?\Ryukotsusei, Inuyasha...\is the demon your father battled and put under seal.\Inuyasha...why do you think this new Tetsusaiga is so heavy?\It is because your fang embedded in the blade...\has not yet reached the power of your father's fang. response:	In other words, if I destroy the demon my father fought...
context: Ryukotsusei?\Ryu... You said Ryukotsusei?\Ryukotsusei, Inuyasha...\is the demon your father battled and put under seal.\Inuyasha...why do you think this new Tetsusaiga is so heavy?\It is because your fang embedded in the blade...\has not yet reached the power of your father's fang.\In other words, if I destroy the demon my father fought... response:	I'll surpass my father?
context: Ryu... You said Ryukotsusei?\Ryukotsusei, Inuyasha...\is the demon your father battled and put under seal.\Inuyasha...why do you think this new Tetsusaiga is so heavy?\It is because your fang embedded in the blade...\has not yet reached the power of your father's fang.\In other words, if I destroy the demon my father fought...\I'll surpass my father? response:	Now listen, Master Inuyasha, to destroy...
context: Ryukotsusei, Inuyasha...\is the demon your father battled and put under seal.\Inuyasha...why do you think this new Tetsusaiga is so heavy?\It is because your fang embedded in the blade...\has not yet reached the power of your father's fang.\In other words, if I destroy the demon my father fought...\I'll surpass my father?\Now listen, Master Inuyasha, to destroy... response:	as Ryukotsusei still remains under seal...
context: is the demon your father battled and put under seal.\Inuyasha...why do you think this new Tetsusaiga is so heavy?\It is because your fang embedded in the blade...\has not yet reached the power of your father's fang.\In other words, if I destroy the demon my father fought...\I'll surpass my father?\Now listen, Master Inuyasha, to destroy...\as Ryukotsusei still remains under seal... response:	all you have to do is stab its heart.
context: Inuyasha...why do you think this new Tetsusaiga is so heavy?\It is because your fang embedded in the blade...\has not yet reached the power of your father's fang.\In other words, if I destroy the demon my father fought...\I'll surpass my father?\Now listen, Master Inuyasha, to destroy...\as Ryukotsusei still remains under seal...\all you have to do is stab its heart. response:	What? I don't have to fight him?
context: It is because your fang embedded in the blade...\has not yet reached the power of your father's fang.\In other words, if I destroy the demon my father fought...\I'll surpass my father?\Now listen, Master Inuyasha, to destroy...\as Ryukotsusei still remains under seal...\all you have to do is stab its heart.\What? I don't have to fight him? response:	Of course not!
context: has not yet reached the power of your father's fang.\In other words, if I destroy the demon my father fought...\I'll surpass my father?\Now listen, Master Inuyasha, to destroy...\as Ryukotsusei still remains under seal...\all you have to do is stab its heart.\What? I don't have to fight him?\Of course not! response:	Even your father barely managed to seal it.
context: In other words, if I destroy the demon my father fought...\I'll surpass my father?\Now listen, Master Inuyasha, to destroy...\as Ryukotsusei still remains under seal...\all you have to do is stab its heart.\What? I don't have to fight him?\Of course not!\Even your father barely managed to seal it. response:	He wasn't able to finish it off.
context: I'll surpass my father?\Now listen, Master Inuyasha, to destroy...\as Ryukotsusei still remains under seal...\all you have to do is stab its heart.\What? I don't have to fight him?\Of course not!\Even your father barely managed to seal it.\He wasn't able to finish it off. response:	Damn... and I'm supposed to kill it while it's asleep?
context: Now listen, Master Inuyasha, to destroy...\as Ryukotsusei still remains under seal...\all you have to do is stab its heart.\What? I don't have to fight him?\Of course not!\Even your father barely managed to seal it.\He wasn't able to finish it off.\Damn... and I'm supposed to kill it while it's asleep? response:	If you keep complaining, I will not show you the way!
context: as Ryukotsusei still remains under seal...\all you have to do is stab its heart.\What? I don't have to fight him?\Of course not!\Even your father barely managed to seal it.\He wasn't able to finish it off.\Damn... and I'm supposed to kill it while it's asleep?\If you keep complaining, I will not show you the way! response:	Who're you talking to?
context: all you have to do is stab its heart.\What? I don't have to fight him?\Of course not!\Even your father barely managed to seal it.\He wasn't able to finish it off.\Damn... and I'm supposed to kill it while it's asleep?\If you keep complaining, I will not show you the way!\Who're you talking to? response:	- Err... well... I... - Me?
context: What? I don't have to fight him?\Of course not!\Even your father barely managed to seal it.\He wasn't able to finish it off.\Damn... and I'm supposed to kill it while it's asleep?\If you keep complaining, I will not show you the way!\Who're you talking to?\- Err... well... I... - Me? response:	- Hey! - Don't!
context: Of course not!\Even your father barely managed to seal it.\He wasn't able to finish it off.\Damn... and I'm supposed to kill it while it's asleep?\If you keep complaining, I will not show you the way!\Who're you talking to?\- Err... well... I... - Me?\- Hey! - Don't! response:	Interesting, Kanna.
context: Even your father barely managed to seal it.\He wasn't able to finish it off.\Damn... and I'm supposed to kill it while it's asleep?\If you keep complaining, I will not show you the way!\Who're you talking to?\- Err... well... I... - Me?\- Hey! - Don't!\Interesting, Kanna. response:	You... Kagura... Goshinki... Juromaru... Kageromaru...
context: He wasn't able to finish it off.\Damn... and I'm supposed to kill it while it's asleep?\If you keep complaining, I will not show you the way!\Who're you talking to?\- Err... well... I... - Me?\- Hey! - Don't!\Interesting, Kanna.\You... Kagura... Goshinki... Juromaru... Kageromaru... response:	None of you were able to kill Inuyasha.
context: Damn... and I'm supposed to kill it while it's asleep?\If you keep complaining, I will not show you the way!\Who're you talking to?\- Err... well... I... - Me?\- Hey! - Don't!\Interesting, Kanna.\You... Kagura... Goshinki... Juromaru... Kageromaru...\None of you were able to kill Inuyasha. response:	Let's test this Ryukotsusei.
context: If you keep complaining, I will not show you the way!\Who're you talking to?\- Err... well... I... - Me?\- Hey! - Don't!\Interesting, Kanna.\You... Kagura... Goshinki... Juromaru... Kageromaru...\None of you were able to kill Inuyasha.\Let's test this Ryukotsusei. response:	Old Myoga, aren't we there yet?
context: Who're you talking to?\- Err... well... I... - Me?\- Hey! - Don't!\Interesting, Kanna.\You... Kagura... Goshinki... Juromaru... Kageromaru...\None of you were able to kill Inuyasha.\Let's test this Ryukotsusei.\Old Myoga, aren't we there yet? response:	Just a little further.
context: - Err... well... I... - Me?\- Hey! - Don't!\Interesting, Kanna.\You... Kagura... Goshinki... Juromaru... Kageromaru...\None of you were able to kill Inuyasha.\Let's test this Ryukotsusei.\Old Myoga, aren't we there yet?\Just a little further. response:	You'll be able to see it soon.
context: - Hey! - Don't!\Interesting, Kanna.\You... Kagura... Goshinki... Juromaru... Kageromaru...\None of you were able to kill Inuyasha.\Let's test this Ryukotsusei.\Old Myoga, aren't we there yet?\Just a little further.\You'll be able to see it soon. response:	Damn!
context: Interesting, Kanna.\You... Kagura... Goshinki... Juromaru... Kageromaru...\None of you were able to kill Inuyasha.\Let's test this Ryukotsusei.\Old Myoga, aren't we there yet?\Just a little further.\You'll be able to see it soon.\Damn! response:	Old man!
context: You... Kagura... Goshinki... Juromaru... Kageromaru...\None of you were able to kill Inuyasha.\Let's test this Ryukotsusei.\Old Myoga, aren't we there yet?\Just a little further.\You'll be able to see it soon.\Damn!\Old man! response:	Huh?
context: None of you were able to kill Inuyasha.\Let's test this Ryukotsusei.\Old Myoga, aren't we there yet?\Just a little further.\You'll be able to see it soon.\Damn!\Old man!\Huh? response:	What do you all want?
context: Let's test this Ryukotsusei.\Old Myoga, aren't we there yet?\Just a little further.\You'll be able to see it soon.\Damn!\Old man!\Huh?\What do you all want? response:	We're looking for Inuyasha. Do you know his whereabouts?
context: Old Myoga, aren't we there yet?\Just a little further.\You'll be able to see it soon.\Damn!\Old man!\Huh?\What do you all want?\We're looking for Inuyasha. Do you know his whereabouts? response:	Inuyasha...
context: Just a little further.\You'll be able to see it soon.\Damn!\Old man!\Huh?\What do you all want?\We're looking for Inuyasha. Do you know his whereabouts?\Inuyasha... response:	Hmm... Inuyasha?
context: You'll be able to see it soon.\Damn!\Old man!\Huh?\What do you all want?\We're looking for Inuyasha. Do you know his whereabouts?\Inuyasha...\Hmm... Inuyasha? response:	Inuyasha, huh?
context: Damn!\Old man!\Huh?\What do you all want?\We're looking for Inuyasha. Do you know his whereabouts?\Inuyasha...\Hmm... Inuyasha?\Inuyasha, huh? response:	It involves Tetsusaiga, so we thought he'd come to you.
context: Old man!\Huh?\What do you all want?\We're looking for Inuyasha. Do you know his whereabouts?\Inuyasha...\Hmm... Inuyasha?\Inuyasha, huh?\It involves Tetsusaiga, so we thought he'd come to you. response:	What'll I do?
context: Huh?\What do you all want?\We're looking for Inuyasha. Do you know his whereabouts?\Inuyasha...\Hmm... Inuyasha?\Inuyasha, huh?\It involves Tetsusaiga, so we thought he'd come to you.\What'll I do? response:	You know, don't you? Where is he?!
context: What do you all want?\We're looking for Inuyasha. Do you know his whereabouts?\Inuyasha...\Hmm... Inuyasha?\Inuyasha, huh?\It involves Tetsusaiga, so we thought he'd come to you.\What'll I do?\You know, don't you? Where is he?! response:	Oh boy...
context: We're looking for Inuyasha. Do you know his whereabouts?\Inuyasha...\Hmm... Inuyasha?\Inuyasha, huh?\It involves Tetsusaiga, so we thought he'd come to you.\What'll I do?\You know, don't you? Where is he?!\Oh boy... response:	I'm sorry. Are you all right?
context: Inuyasha...\Hmm... Inuyasha?\Inuyasha, huh?\It involves Tetsusaiga, so we thought he'd come to you.\What'll I do?\You know, don't you? Where is he?!\Oh boy...\I'm sorry. Are you all right? response:	Inuyasha has gone to the Valley of Ryukotsusei.
context: Hmm... Inuyasha?\Inuyasha, huh?\It involves Tetsusaiga, so we thought he'd come to you.\What'll I do?\You know, don't you? Where is he?!\Oh boy...\I'm sorry. Are you all right?\Inuyasha has gone to the Valley of Ryukotsusei. response:	The Valley of Ryukotsusei?
context: Inuyasha, huh?\It involves Tetsusaiga, so we thought he'd come to you.\What'll I do?\You know, don't you? Where is he?!\Oh boy...\I'm sorry. Are you all right?\Inuyasha has gone to the Valley of Ryukotsusei.\The Valley of Ryukotsusei? response:	Master Inuyasha, over there!
context: It involves Tetsusaiga, so we thought he'd come to you.\What'll I do?\You know, don't you? Where is he?!\Oh boy...\I'm sorry. Are you all right?\Inuyasha has gone to the Valley of Ryukotsusei.\The Valley of Ryukotsusei?\Master Inuyasha, over there! response:	So that's... Ryukotsusei.
context: What'll I do?\You know, don't you? Where is he?!\Oh boy...\I'm sorry. Are you all right?\Inuyasha has gone to the Valley of Ryukotsusei.\The Valley of Ryukotsusei?\Master Inuyasha, over there!\So that's... Ryukotsusei. response:	Correct.
context: You know, don't you? Where is he?!\Oh boy...\I'm sorry. Are you all right?\Inuyasha has gone to the Valley of Ryukotsusei.\The Valley of Ryukotsusei?\Master Inuyasha, over there!\So that's... Ryukotsusei.\Correct. response:	And look at the seal...
context: Oh boy...\I'm sorry. Are you all right?\Inuyasha has gone to the Valley of Ryukotsusei.\The Valley of Ryukotsusei?\Master Inuyasha, over there!\So that's... Ryukotsusei.\Correct.\And look at the seal... response:	where your father's claw has immobilized him.
