context: Th-This can't be happening! response:	Even Groribas, our best warrior, defeated?!
context: Melzargard was supposed to be guarding the ship!\Now he and I are the only elite fighters left!\I bet he's just mucking about\I need him now!\Curse the bastard!\Geryuganshoop, what is the problem?\Lord Boros! I-I'm terribly sorry.\I've allowed one of the natives to infiltrate the ship. response:	In the mere four minutes since coming aboard,
context: Now he and I are the only elite fighters left!\I bet he's just mucking about\I need him now!\Curse the bastard!\Geryuganshoop, what is the problem?\Lord Boros! I-I'm terribly sorry.\I've allowed one of the natives to infiltrate the ship.\In the mere four minutes since coming aboard, response:	he has damaged 23 of the ship.
context: I bet he's just mucking about\I need him now!\Curse the bastard!\Geryuganshoop, what is the problem?\Lord Boros! I-I'm terribly sorry.\I've allowed one of the natives to infiltrate the ship.\In the mere four minutes since coming aboard,\he has damaged 23 of the ship. response:	It seems he is alone,
context: I need him now!\Curse the bastard!\Geryuganshoop, what is the problem?\Lord Boros! I-I'm terribly sorry.\I've allowed one of the natives to infiltrate the ship.\In the mere four minutes since coming aboard,\he has damaged 23 of the ship.\It seems he is alone, response:	but he has managed to instantly kill
context: Curse the bastard!\Geryuganshoop, what is the problem?\Lord Boros! I-I'm terribly sorry.\I've allowed one of the natives to infiltrate the ship.\In the mere four minutes since coming aboard,\he has damaged 23 of the ship.\It seems he is alone,\but he has managed to instantly kill response:	every warrior sent to intercept him.
context: Geryuganshoop, what is the problem?\Lord Boros! I-I'm terribly sorry.\I've allowed one of the natives to infiltrate the ship.\In the mere four minutes since coming aboard,\he has damaged 23 of the ship.\It seems he is alone,\but he has managed to instantly kill\every warrior sent to intercept him. response:	Do not panic.
context: Lord Boros! I-I'm terribly sorry.\I've allowed one of the natives to infiltrate the ship.\In the mere four minutes since coming aboard,\he has damaged 23 of the ship.\It seems he is alone,\but he has managed to instantly kill\every warrior sent to intercept him.\Do not panic. response:	As long as the power sphere is safe,
context: I've allowed one of the natives to infiltrate the ship.\In the mere four minutes since coming aboard,\he has damaged 23 of the ship.\It seems he is alone,\but he has managed to instantly kill\every warrior sent to intercept him.\Do not panic.\As long as the power sphere is safe, response:	the ship will not go down.
context: In the mere four minutes since coming aboard,\he has damaged 23 of the ship.\It seems he is alone,\but he has managed to instantly kill\every warrior sent to intercept him.\Do not panic.\As long as the power sphere is safe,\the ship will not go down. response:	The damage so far is limited to the crew's living quarters.
context: he has damaged 23 of the ship.\It seems he is alone,\but he has managed to instantly kill\every warrior sent to intercept him.\Do not panic.\As long as the power sphere is safe,\the ship will not go down.\The damage so far is limited to the crew's living quarters. response:	But minnows won't be enough.
context: It seems he is alone,\but he has managed to instantly kill\every warrior sent to intercept him.\Do not panic.\As long as the power sphere is safe,\the ship will not go down.\The damage so far is limited to the crew's living quarters.\But minnows won't be enough. response:	Geryuganshoop
context: but he has managed to instantly kill\every warrior sent to intercept him.\Do not panic.\As long as the power sphere is safe,\the ship will not go down.\The damage so far is limited to the crew's living quarters.\But minnows won't be enough.\Geryuganshoop response:	you, Groribas and Melzargard, my top lieutenants,
context: every warrior sent to intercept him.\Do not panic.\As long as the power sphere is safe,\the ship will not go down.\The damage so far is limited to the crew's living quarters.\But minnows won't be enough.\Geryuganshoop\you, Groribas and Melzargard, my top lieutenants, response:	will go eliminate this intruder.
context: Do not panic.\As long as the power sphere is safe,\the ship will not go down.\The damage so far is limited to the crew's living quarters.\But minnows won't be enough.\Geryuganshoop\you, Groribas and Melzargard, my top lieutenants,\will go eliminate this intruder. response:	Groribas has fallen, sir
context: As long as the power sphere is safe,\the ship will not go down.\The damage so far is limited to the crew's living quarters.\But minnows won't be enough.\Geryuganshoop\you, Groribas and Melzargard, my top lieutenants,\will go eliminate this intruder.\Groribas has fallen, sir response:	What?
context: the ship will not go down.\The damage so far is limited to the crew's living quarters.\But minnows won't be enough.\Geryuganshoop\you, Groribas and Melzargard, my top lieutenants,\will go eliminate this intruder.\Groribas has fallen, sir\What? response:	Let me get Melzargard back here!
context: The damage so far is limited to the crew's living quarters.\But minnows won't be enough.\Geryuganshoop\you, Groribas and Melzargard, my top lieutenants,\will go eliminate this intruder.\Groribas has fallen, sir\What?\Let me get Melzargard back here! response:	He and I together will wipe out the intruder without fail!
context: But minnows won't be enough.\Geryuganshoop\you, Groribas and Melzargard, my top lieutenants,\will go eliminate this intruder.\Groribas has fallen, sir\What?\Let me get Melzargard back here!\He and I together will wipe out the intruder without fail! response:	THE DOMINATOR OF THE UNIVERSE
context: Geryuganshoop\you, Groribas and Melzargard, my top lieutenants,\will go eliminate this intruder.\Groribas has fallen, sir\What?\Let me get Melzargard back here!\He and I together will wipe out the intruder without fail!\THE DOMINATOR OF THE UNIVERSE response:	MYSTERY CRAFT IN SKIES ABOVE CITY A We have more information on the enormous flying object
context: you, Groribas and Melzargard, my top lieutenants,\will go eliminate this intruder.\Groribas has fallen, sir\What?\Let me get Melzargard back here!\He and I together will wipe out the intruder without fail!\THE DOMINATOR OF THE UNIVERSE\MYSTERY CRAFT IN SKIES ABOVE CITY A We have more information on the enormous flying object response:	MYSTERY CRAFT IN SKIES ABOVE CITY A that suddenly appeared in the skies over City A.
context: will go eliminate this intruder.\Groribas has fallen, sir\What?\Let me get Melzargard back here!\He and I together will wipe out the intruder without fail!\THE DOMINATOR OF THE UNIVERSE\MYSTERY CRAFT IN SKIES ABOVE CITY A We have more information on the enormous flying object\MYSTERY CRAFT IN SKIES ABOVE CITY A that suddenly appeared in the skies over City A. response:	I'm here at the scene.
context: Groribas has fallen, sir\What?\Let me get Melzargard back here!\He and I together will wipe out the intruder without fail!\THE DOMINATOR OF THE UNIVERSE\MYSTERY CRAFT IN SKIES ABOVE CITY A We have more information on the enormous flying object\MYSTERY CRAFT IN SKIES ABOVE CITY A that suddenly appeared in the skies over City A.\I'm here at the scene. response:	As you can see, all the main roads leading to City A have been closed,
context: What?\Let me get Melzargard back here!\He and I together will wipe out the intruder without fail!\THE DOMINATOR OF THE UNIVERSE\MYSTERY CRAFT IN SKIES ABOVE CITY A We have more information on the enormous flying object\MYSTERY CRAFT IN SKIES ABOVE CITY A that suddenly appeared in the skies over City A.\I'm here at the scene.\As you can see, all the main roads leading to City A have been closed, response:	and officials are on high alert.
context: Let me get Melzargard back here!\He and I together will wipe out the intruder without fail!\THE DOMINATOR OF THE UNIVERSE\MYSTERY CRAFT IN SKIES ABOVE CITY A We have more information on the enormous flying object\MYSTERY CRAFT IN SKIES ABOVE CITY A that suddenly appeared in the skies over City A.\I'm here at the scene.\As you can see, all the main roads leading to City A have been closed,\and officials are on high alert. response:	According to survivors,
context: He and I together will wipe out the intruder without fail!\THE DOMINATOR OF THE UNIVERSE\MYSTERY CRAFT IN SKIES ABOVE CITY A We have more information on the enormous flying object\MYSTERY CRAFT IN SKIES ABOVE CITY A that suddenly appeared in the skies over City A.\I'm here at the scene.\As you can see, all the main roads leading to City A have been closed,\and officials are on high alert.\According to survivors, response:	City A has been almost entirely demolished.
context: THE DOMINATOR OF THE UNIVERSE\MYSTERY CRAFT IN SKIES ABOVE CITY A We have more information on the enormous flying object\MYSTERY CRAFT IN SKIES ABOVE CITY A that suddenly appeared in the skies over City A.\I'm here at the scene.\As you can see, all the main roads leading to City A have been closed,\and officials are on high alert.\According to survivors,\City A has been almost entirely demolished. response:	EMPLOYMENT APPLICATION NAME: HAMMERHEAD
context: MYSTERY CRAFT IN SKIES ABOVE CITY A We have more information on the enormous flying object\MYSTERY CRAFT IN SKIES ABOVE CITY A that suddenly appeared in the skies over City A.\I'm here at the scene.\As you can see, all the main roads leading to City A have been closed,\and officials are on high alert.\According to survivors,\City A has been almost entirely demolished.\EMPLOYMENT APPLICATION NAME: HAMMERHEAD response:	This image of the giant flying object was captured with a telephoto lens.
context: MYSTERY CRAFT IN SKIES ABOVE CITY A that suddenly appeared in the skies over City A.\I'm here at the scene.\As you can see, all the main roads leading to City A have been closed,\and officials are on high alert.\According to survivors,\City A has been almost entirely demolished.\EMPLOYMENT APPLICATION NAME: HAMMERHEAD\This image of the giant flying object was captured with a telephoto lens. response:	What are your thoughts?
context: I'm here at the scene.\As you can see, all the main roads leading to City A have been closed,\and officials are on high alert.\According to survivors,\City A has been almost entirely demolished.\EMPLOYMENT APPLICATION NAME: HAMMERHEAD\This image of the giant flying object was captured with a telephoto lens.\What are your thoughts? response:	Most likely, this is the act of an alien or extraterrestrial being.
context: As you can see, all the main roads leading to City A have been closed,\and officials are on high alert.\According to survivors,\City A has been almost entirely demolished.\EMPLOYMENT APPLICATION NAME: HAMMERHEAD\This image of the giant flying object was captured with a telephoto lens.\What are your thoughts?\Most likely, this is the act of an alien or extraterrestrial being. response:	Or perhaps it's an unidentified life-form
context: and officials are on high alert.\According to survivors,\City A has been almost entirely demolished.\EMPLOYMENT APPLICATION NAME: HAMMERHEAD\This image of the giant flying object was captured with a telephoto lens.\What are your thoughts?\Most likely, this is the act of an alien or extraterrestrial being.\Or perhaps it's an unidentified life-form response:	that has a highly advanced civilization unbeknownst to us.
context: According to survivors,\City A has been almost entirely demolished.\EMPLOYMENT APPLICATION NAME: HAMMERHEAD\This image of the giant flying object was captured with a telephoto lens.\What are your thoughts?\Most likely, this is the act of an alien or extraterrestrial being.\Or perhaps it's an unidentified life-form\that has a highly advanced civilization unbeknownst to us. response:	Of course, other possibilities exist as well.
context: City A has been almost entirely demolished.\EMPLOYMENT APPLICATION NAME: HAMMERHEAD\This image of the giant flying object was captured with a telephoto lens.\What are your thoughts?\Most likely, this is the act of an alien or extraterrestrial being.\Or perhaps it's an unidentified life-form\that has a highly advanced civilization unbeknownst to us.\Of course, other possibilities exist as well. response:	I see.
context: EMPLOYMENT APPLICATION NAME: HAMMERHEAD\This image of the giant flying object was captured with a telephoto lens.\What are your thoughts?\Most likely, this is the act of an alien or extraterrestrial being.\Or perhaps it's an unidentified life-form\that has a highly advanced civilization unbeknownst to us.\Of course, other possibilities exist as well.\I see. response:	Also, there have been eyewitness accounts of
context: This image of the giant flying object was captured with a telephoto lens.\What are your thoughts?\Most likely, this is the act of an alien or extraterrestrial being.\Or perhaps it's an unidentified life-form\that has a highly advanced civilization unbeknownst to us.\Of course, other possibilities exist as well.\I see.\Also, there have been eyewitness accounts of response:	very powerful life-forms
context: What are your thoughts?\Most likely, this is the act of an alien or extraterrestrial being.\Or perhaps it's an unidentified life-form\that has a highly advanced civilization unbeknownst to us.\Of course, other possibilities exist as well.\I see.\Also, there have been eyewitness accounts of\very powerful life-forms response:	descending to the ground from the spacecraft.
context: Most likely, this is the act of an alien or extraterrestrial being.\Or perhaps it's an unidentified life-form\that has a highly advanced civilization unbeknownst to us.\Of course, other possibilities exist as well.\I see.\Also, there have been eyewitness accounts of\very powerful life-forms\descending to the ground from the spacecraft. response:	Several Class S heroes are presently at the location tackling the issue.
context: Or perhaps it's an unidentified life-form\that has a highly advanced civilization unbeknownst to us.\Of course, other possibilities exist as well.\I see.\Also, there have been eyewitness accounts of\very powerful life-forms\descending to the ground from the spacecraft.\Several Class S heroes are presently at the location tackling the issue. response:	He pummeled that thing with nothing but his bare fists.
context: that has a highly advanced civilization unbeknownst to us.\Of course, other possibilities exist as well.\I see.\Also, there have been eyewitness accounts of\very powerful life-forms\descending to the ground from the spacecraft.\Several Class S heroes are presently at the location tackling the issue.\He pummeled that thing with nothing but his bare fists. response:	That's a Class S for you.
context: Of course, other possibilities exist as well.\I see.\Also, there have been eyewitness accounts of\very powerful life-forms\descending to the ground from the spacecraft.\Several Class S heroes are presently at the location tackling the issue.\He pummeled that thing with nothing but his bare fists.\That's a Class S for you. response:	But even so
context: I see.\Also, there have been eyewitness accounts of\very powerful life-forms\descending to the ground from the spacecraft.\Several Class S heroes are presently at the location tackling the issue.\He pummeled that thing with nothing but his bare fists.\That's a Class S for you.\But even so response:	It's no good!
context: Also, there have been eyewitness accounts of\very powerful life-forms\descending to the ground from the spacecraft.\Several Class S heroes are presently at the location tackling the issue.\He pummeled that thing with nothing but his bare fists.\That's a Class S for you.\But even so\It's no good! response:	It possesses incredible regenerative powers.
context: very powerful life-forms\descending to the ground from the spacecraft.\Several Class S heroes are presently at the location tackling the issue.\He pummeled that thing with nothing but his bare fists.\That's a Class S for you.\But even so\It's no good!\It possesses incredible regenerative powers. response:	And don't let it hit any part of you.
context: descending to the ground from the spacecraft.\Several Class S heroes are presently at the location tackling the issue.\He pummeled that thing with nothing but his bare fists.\That's a Class S for you.\But even so\It's no good!\It possesses incredible regenerative powers.\And don't let it hit any part of you. response:	A single blow instantly tore my arm off.
context: Several Class S heroes are presently at the location tackling the issue.\He pummeled that thing with nothing but his bare fists.\That's a Class S for you.\But even so\It's no good!\It possesses incredible regenerative powers.\And don't let it hit any part of you.\A single blow instantly tore my arm off. response:	Dodge its attacks at all costs!
context: He pummeled that thing with nothing but his bare fists.\That's a Class S for you.\But even so\It's no good!\It possesses incredible regenerative powers.\And don't let it hit any part of you.\A single blow instantly tore my arm off.\Dodge its attacks at all costs! response:	Shall we use a bombardment to finish them off?
context: That's a Class S for you.\But even so\It's no good!\It possesses incredible regenerative powers.\And don't let it hit any part of you.\A single blow instantly tore my arm off.\Dodge its attacks at all costs!\Shall we use a bombardment to finish them off? response:	That is good.
context: But even so\It's no good!\It possesses incredible regenerative powers.\And don't let it hit any part of you.\A single blow instantly tore my arm off.\Dodge its attacks at all costs!\Shall we use a bombardment to finish them off?\That is good. response:	Contact the ship.
context: It's no good!\It possesses incredible regenerative powers.\And don't let it hit any part of you.\A single blow instantly tore my arm off.\Dodge its attacks at all costs!\Shall we use a bombardment to finish them off?\That is good.\Contact the ship. response:	I will go.
context: It possesses incredible regenerative powers.\And don't let it hit any part of you.\A single blow instantly tore my arm off.\Dodge its attacks at all costs!\Shall we use a bombardment to finish them off?\That is good.\Contact the ship.\I will go. response:	Get back here!
context: And don't let it hit any part of you.\A single blow instantly tore my arm off.\Dodge its attacks at all costs!\Shall we use a bombardment to finish them off?\That is good.\Contact the ship.\I will go.\Get back here! response:	You scum!
context: A single blow instantly tore my arm off.\Dodge its attacks at all costs!\Shall we use a bombardment to finish them off?\That is good.\Contact the ship.\I will go.\Get back here!\You scum! response:	Best mind your manners!
context: Dodge its attacks at all costs!\Shall we use a bombardment to finish them off?\That is good.\Contact the ship.\I will go.\Get back here!\You scum!\Best mind your manners! response:	I hope ya like mincemeat, freak!
context: Shall we use a bombardment to finish them off?\That is good.\Contact the ship.\I will go.\Get back here!\You scum!\Best mind your manners!\I hope ya like mincemeat, freak! response:	Melzargard! What are you doing?!
context: That is good.\Contact the ship.\I will go.\Get back here!\You scum!\Best mind your manners!\I hope ya like mincemeat, freak!\Melzargard! What are you doing?! response:	I'm in battle.
context: Contact the ship.\I will go.\Get back here!\You scum!\Best mind your manners!\I hope ya like mincemeat, freak!\Melzargard! What are you doing?!\I'm in battle. response:	We have an intruder!
context: I will go.\Get back here!\You scum!\Best mind your manners!\I hope ya like mincemeat, freak!\Melzargard! What are you doing?!\I'm in battle.\We have an intruder! response:	Ridiculous.
context: Get back here!\You scum!\Best mind your manners!\I hope ya like mincemeat, freak!\Melzargard! What are you doing?!\I'm in battle.\We have an intruder!\Ridiculous. response:	It's true. Finish them off and get up here!
context: You scum!\Best mind your manners!\I hope ya like mincemeat, freak!\Melzargard! What are you doing?!\I'm in battle.\We have an intruder!\Ridiculous.\It's true. Finish them off and get up here! response:	This one's locked too
context: Best mind your manners!\I hope ya like mincemeat, freak!\Melzargard! What are you doing?!\I'm in battle.\We have an intruder!\Ridiculous.\It's true. Finish them off and get up here!\This one's locked too response:	Hey, open up! You've got a visitor!
context: I hope ya like mincemeat, freak!\Melzargard! What are you doing?!\I'm in battle.\We have an intruder!\Ridiculous.\It's true. Finish them off and get up here!\This one's locked too\Hey, open up! You've got a visitor! response:	Oops I broke it.
context: Melzargard! What are you doing?!\I'm in battle.\We have an intruder!\Ridiculous.\It's true. Finish them off and get up here!\This one's locked too\Hey, open up! You've got a visitor!\Oops I broke it. response:	I've decided.
context: I'm in battle.\We have an intruder!\Ridiculous.\It's true. Finish them off and get up here!\This one's locked too\Hey, open up! You've got a visitor!\Oops I broke it.\I've decided. response:	I'm going to rip your limbs off,
context: We have an intruder!\Ridiculous.\It's true. Finish them off and get up here!\This one's locked too\Hey, open up! You've got a visitor!\Oops I broke it.\I've decided.\I'm going to rip your limbs off, response:	then keep you as the ship mascot.
context: Ridiculous.\It's true. Finish them off and get up here!\This one's locked too\Hey, open up! You've got a visitor!\Oops I broke it.\I've decided.\I'm going to rip your limbs off,\then keep you as the ship mascot. response:	That is good.
context: It's true. Finish them off and get up here!\This one's locked too\Hey, open up! You've got a visitor!\Oops I broke it.\I've decided.\I'm going to rip your limbs off,\then keep you as the ship mascot.\That is good. response:	Put yourself together again, eh?
context: This one's locked too\Hey, open up! You've got a visitor!\Oops I broke it.\I've decided.\I'm going to rip your limbs off,\then keep you as the ship mascot.\That is good.\Put yourself together again, eh? response:	I'm gonna keep you for batting practice!
context: Hey, open up! You've got a visitor!\Oops I broke it.\I've decided.\I'm going to rip your limbs off,\then keep you as the ship mascot.\That is good.\Put yourself together again, eh?\I'm gonna keep you for batting practice! response:	Comrades! It may be that direct physical attacks
context: Oops I broke it.\I've decided.\I'm going to rip your limbs off,\then keep you as the ship mascot.\That is good.\Put yourself together again, eh?\I'm gonna keep you for batting practice!\Comrades! It may be that direct physical attacks response:	have no effect on it!
context: I've decided.\I'm going to rip your limbs off,\then keep you as the ship mascot.\That is good.\Put yourself together again, eh?\I'm gonna keep you for batting practice!\Comrades! It may be that direct physical attacks\have no effect on it! response:	Let's withdraw for now
context: I'm going to rip your limbs off,\then keep you as the ship mascot.\That is good.\Put yourself together again, eh?\I'm gonna keep you for batting practice!\Comrades! It may be that direct physical attacks\have no effect on it!\Let's withdraw for now response:	and think of a way to destroy it, like heat or something!
context: then keep you as the ship mascot.\That is good.\Put yourself together again, eh?\I'm gonna keep you for batting practice!\Comrades! It may be that direct physical attacks\have no effect on it!\Let's withdraw for now\and think of a way to destroy it, like heat or something! response:	Smashing is all I can do! Forget it!
context: That is good.\Put yourself together again, eh?\I'm gonna keep you for batting practice!\Comrades! It may be that direct physical attacks\have no effect on it!\Let's withdraw for now\and think of a way to destroy it, like heat or something!\Smashing is all I can do! Forget it! response:	This is all I know, too.
context: Put yourself together again, eh?\I'm gonna keep you for batting practice!\Comrades! It may be that direct physical attacks\have no effect on it!\Let's withdraw for now\and think of a way to destroy it, like heat or something!\Smashing is all I can do! Forget it!\This is all I know, too. response:	Can't teach an old dog new tricks.
context: I'm gonna keep you for batting practice!\Comrades! It may be that direct physical attacks\have no effect on it!\Let's withdraw for now\and think of a way to destroy it, like heat or something!\Smashing is all I can do! Forget it!\This is all I know, too.\Can't teach an old dog new tricks. response:	Me, too. Sorry, sweet Iairon!
context: Comrades! It may be that direct physical attacks\have no effect on it!\Let's withdraw for now\and think of a way to destroy it, like heat or something!\Smashing is all I can do! Forget it!\This is all I know, too.\Can't teach an old dog new tricks.\Me, too. Sorry, sweet Iairon! response:	Iai, don't you have faith in me?
context: have no effect on it!\Let's withdraw for now\and think of a way to destroy it, like heat or something!\Smashing is all I can do! Forget it!\This is all I know, too.\Can't teach an old dog new tricks.\Me, too. Sorry, sweet Iairon!\Iai, don't you have faith in me? response:	There's nothing I can't cut down.
context: Let's withdraw for now\and think of a way to destroy it, like heat or something!\Smashing is all I can do! Forget it!\This is all I know, too.\Can't teach an old dog new tricks.\Me, too. Sorry, sweet Iairon!\Iai, don't you have faith in me?\There's nothing I can't cut down. response:	It's pointless
context: and think of a way to destroy it, like heat or something!\Smashing is all I can do! Forget it!\This is all I know, too.\Can't teach an old dog new tricks.\Me, too. Sorry, sweet Iairon!\Iai, don't you have faith in me?\There's nothing I can't cut down.\It's pointless response:	These guys aren't the type to listen.
context: Smashing is all I can do! Forget it!\This is all I know, too.\Can't teach an old dog new tricks.\Me, too. Sorry, sweet Iairon!\Iai, don't you have faith in me?\There's nothing I can't cut down.\It's pointless\These guys aren't the type to listen. response:	Melzargard!
context: This is all I know, too.\Can't teach an old dog new tricks.\Me, too. Sorry, sweet Iairon!\Iai, don't you have faith in me?\There's nothing I can't cut down.\It's pointless\These guys aren't the type to listen.\Melzargard! response:	Look, I really need you on the ship.
context: Can't teach an old dog new tricks.\Me, too. Sorry, sweet Iairon!\Iai, don't you have faith in me?\There's nothing I can't cut down.\It's pointless\These guys aren't the type to listen.\Melzargard!\Look, I really need you on the ship. response:	Getting rid of the intruder takes priority.
context: Me, too. Sorry, sweet Iairon!\Iai, don't you have faith in me?\There's nothing I can't cut down.\It's pointless\These guys aren't the type to listen.\Melzargard!\Look, I really need you on the ship.\Getting rid of the intruder takes priority. response:	I'd love to, but I'm busy. These creatures are persistent.
context: Iai, don't you have faith in me?\There's nothing I can't cut down.\It's pointless\These guys aren't the type to listen.\Melzargard!\Look, I really need you on the ship.\Getting rid of the intruder takes priority.\I'd love to, but I'm busy. These creatures are persistent. response:	What the hell?
context: There's nothing I can't cut down.\It's pointless\These guys aren't the type to listen.\Melzargard!\Look, I really need you on the ship.\Getting rid of the intruder takes priority.\I'd love to, but I'm busy. These creatures are persistent.\What the hell? response:	The life forms down there are proving tough to handle too?
context: It's pointless\These guys aren't the type to listen.\Melzargard!\Look, I really need you on the ship.\Getting rid of the intruder takes priority.\I'd love to, but I'm busy. These creatures are persistent.\What the hell?\The life forms down there are proving tough to handle too? response:	Nothing tough about them.
context: These guys aren't the type to listen.\Melzargard!\Look, I really need you on the ship.\Getting rid of the intruder takes priority.\I'd love to, but I'm busy. These creatures are persistent.\What the hell?\The life forms down there are proving tough to handle too?\Nothing tough about them. response:	What's with the ship? Is it going down?
context: Melzargard!\Look, I really need you on the ship.\Getting rid of the intruder takes priority.\I'd love to, but I'm busy. These creatures are persistent.\What the hell?\The life forms down there are proving tough to handle too?\Nothing tough about them.\What's with the ship? Is it going down? response:	It's not going down,
context: Look, I really need you on the ship.\Getting rid of the intruder takes priority.\I'd love to, but I'm busy. These creatures are persistent.\What the hell?\The life forms down there are proving tough to handle too?\Nothing tough about them.\What's with the ship? Is it going down?\It's not going down, response:	but more than half the crew have been killed.
context: Getting rid of the intruder takes priority.\I'd love to, but I'm busy. These creatures are persistent.\What the hell?\The life forms down there are proving tough to handle too?\Nothing tough about them.\What's with the ship? Is it going down?\It's not going down,\but more than half the crew have been killed. response:	What?!
context: I'd love to, but I'm busy. These creatures are persistent.\What the hell?\The life forms down there are proving tough to handle too?\Nothing tough about them.\What's with the ship? Is it going down?\It's not going down,\but more than half the crew have been killed.\What?! response:	Listen. Begin cleansing my location
context: What the hell?\The life forms down there are proving tough to handle too?\Nothing tough about them.\What's with the ship? Is it going down?\It's not going down,\but more than half the crew have been killed.\What?!\Listen. Begin cleansing my location response:	with a bombardment from the ship!
context: The life forms down there are proving tough to handle too?\Nothing tough about them.\What's with the ship? Is it going down?\It's not going down,\but more than half the crew have been killed.\What?!\Listen. Begin cleansing my location\with a bombardment from the ship! response:	I've got my hands full right now.
context: Nothing tough about them.\What's with the ship? Is it going down?\It's not going down,\but more than half the crew have been killed.\What?!\Listen. Begin cleansing my location\with a bombardment from the ship!\I've got my hands full right now. response:	Besides, artillery bombardment is the job of the lower ranks.
context: What's with the ship? Is it going down?\It's not going down,\but more than half the crew have been killed.\What?!\Listen. Begin cleansing my location\with a bombardment from the ship!\I've got my hands full right now.\Besides, artillery bombardment is the job of the lower ranks. response:	Well, I'm in a situation where I can't return to the ship.
context: It's not going down,\but more than half the crew have been killed.\What?!\Listen. Begin cleansing my location\with a bombardment from the ship!\I've got my hands full right now.\Besides, artillery bombardment is the job of the lower ranks.\Well, I'm in a situation where I can't return to the ship. response:	All right.
context: but more than half the crew have been killed.\What?!\Listen. Begin cleansing my location\with a bombardment from the ship!\I've got my hands full right now.\Besides, artillery bombardment is the job of the lower ranks.\Well, I'm in a situation where I can't return to the ship.\All right. response:	I'll notify the artillery crews.
context: What?!\Listen. Begin cleansing my location\with a bombardment from the ship!\I've got my hands full right now.\Besides, artillery bombardment is the job of the lower ranks.\Well, I'm in a situation where I can't return to the ship.\All right.\I'll notify the artillery crews. response:	Don't get caught up in the barrage and die.
context: Listen. Begin cleansing my location\with a bombardment from the ship!\I've got my hands full right now.\Besides, artillery bombardment is the job of the lower ranks.\Well, I'm in a situation where I can't return to the ship.\All right.\I'll notify the artillery crews.\Don't get caught up in the barrage and die. response:	Hey, wait!
context: with a bombardment from the ship!\I've got my hands full right now.\Besides, artillery bombardment is the job of the lower ranks.\Well, I'm in a situation where I can't return to the ship.\All right.\I'll notify the artillery crews.\Don't get caught up in the barrage and die.\Hey, wait! response:	You should come down here and help me.
context: I've got my hands full right now.\Besides, artillery bombardment is the job of the lower ranks.\Well, I'm in a situation where I can't return to the ship.\All right.\I'll notify the artillery crews.\Don't get caught up in the barrage and die.\Hey, wait!\You should come down here and help me. response:	That'd be much faster.
context: Besides, artillery bombardment is the job of the lower ranks.\Well, I'm in a situation where I can't return to the ship.\All right.\I'll notify the artillery crews.\Don't get caught up in the barrage and die.\Hey, wait!\You should come down here and help me.\That'd be much faster. response:	Oi! Geryuganshoop!
context: Well, I'm in a situation where I can't return to the ship.\All right.\I'll notify the artillery crews.\Don't get caught up in the barrage and die.\Hey, wait!\You should come down here and help me.\That'd be much faster.\Oi! Geryuganshoop! response:	Damn him. How tough is this intruder?
context: All right.\I'll notify the artillery crews.\Don't get caught up in the barrage and die.\Hey, wait!\You should come down here and help me.\That'd be much faster.\Oi! Geryuganshoop!\Damn him. How tough is this intruder? response:	How about another one?!
