context: Genshiken response:	I woke up and as usual forgot my cell and missed the Express.
context: I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo! response:	Right now, at this tempo!
context: I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo! response:	Genshiken Right now, at this tempo!
context: Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo! response:	All right, this is more or less the financial report.
context: Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\All right, this is more or less the financial report. response:	Since we saved money on the school festival...
context: Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\All right, this is more or less the financial report.\Since we saved money on the school festival... response:	Oh?
context: Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\All right, this is more or less the financial report.\Since we saved money on the school festival...\Oh? response:	Look what I found, a sketchbook.
context: Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\All right, this is more or less the financial report.\Since we saved money on the school festival...\Oh?\Look what I found, a sketchbook. response:	H-Hey, Kasukabe!
context: At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\All right, this is more or less the financial report.\Since we saved money on the school festival...\Oh?\Look what I found, a sketchbook.\H-Hey, Kasukabe! response:	Can I look through it? H-Hey, Kasukabe!
context: Right now, at this tempo!\Genshiken Right now, at this tempo!\All right, this is more or less the financial report.\Since we saved money on the school festival...\Oh?\Look what I found, a sketchbook.\H-Hey, Kasukabe!\Can I look through it? H-Hey, Kasukabe! response:	Can I look through it?
context: Genshiken Right now, at this tempo!\All right, this is more or less the financial report.\Since we saved money on the school festival...\Oh?\Look what I found, a sketchbook.\H-Hey, Kasukabe!\Can I look through it? H-Hey, Kasukabe!\Can I look through it? response:	Wow.
context: All right, this is more or less the financial report.\Since we saved money on the school festival...\Oh?\Look what I found, a sketchbook.\H-Hey, Kasukabe!\Can I look through it? H-Hey, Kasukabe!\Can I look through it?\Wow. response:	Pretty Menma
context: Since we saved money on the school festival...\Oh?\Look what I found, a sketchbook.\H-Hey, Kasukabe!\Can I look through it? H-Hey, Kasukabe!\Can I look through it?\Wow.\Pretty Menma response:	Yow, it's full of models and figures.
context: Oh?\Look what I found, a sketchbook.\H-Hey, Kasukabe!\Can I look through it? H-Hey, Kasukabe!\Can I look through it?\Wow.\Pretty Menma\Yow, it's full of models and figures. response:	No touching, okay?
context: Look what I found, a sketchbook.\H-Hey, Kasukabe!\Can I look through it? H-Hey, Kasukabe!\Can I look through it?\Wow.\Pretty Menma\Yow, it's full of models and figures.\No touching, okay? response:	Look, Saki, these are costumes for you to wear.
context: H-Hey, Kasukabe!\Can I look through it? H-Hey, Kasukabe!\Can I look through it?\Wow.\Pretty Menma\Yow, it's full of models and figures.\No touching, okay?\Look, Saki, these are costumes for you to wear. response:	Why not try them on, since you're here?
context: Can I look through it? H-Hey, Kasukabe!\Can I look through it?\Wow.\Pretty Menma\Yow, it's full of models and figures.\No touching, okay?\Look, Saki, these are costumes for you to wear.\Why not try them on, since you're here? response:	Don't wanna see it, don't wanna hear it. Why not try them on, since you're here?
context: Can I look through it?\Wow.\Pretty Menma\Yow, it's full of models and figures.\No touching, okay?\Look, Saki, these are costumes for you to wear.\Why not try them on, since you're here?\Don't wanna see it, don't wanna hear it. Why not try them on, since you're here? response:	This is how I live, love it or leave it.
context: Wow.\Pretty Menma\Yow, it's full of models and figures.\No touching, okay?\Look, Saki, these are costumes for you to wear.\Why not try them on, since you're here?\Don't wanna see it, don't wanna hear it. Why not try them on, since you're here?\This is how I live, love it or leave it. response:	See ya.
context: Pretty Menma\Yow, it's full of models and figures.\No touching, okay?\Look, Saki, these are costumes for you to wear.\Why not try them on, since you're here?\Don't wanna see it, don't wanna hear it. Why not try them on, since you're here?\This is how I live, love it or leave it.\See ya. response:	12, Problems and Countermeasures Arise When an Organization Undergoes Reconstruction
context: Yow, it's full of models and figures.\No touching, okay?\Look, Saki, these are costumes for you to wear.\Why not try them on, since you're here?\Don't wanna see it, don't wanna hear it. Why not try them on, since you're here?\This is how I live, love it or leave it.\See ya.\12, Problems and Countermeasures Arise When an Organization Undergoes Reconstruction response:	No more intruders left.
context: No touching, okay?\Look, Saki, these are costumes for you to wear.\Why not try them on, since you're here?\Don't wanna see it, don't wanna hear it. Why not try them on, since you're here?\This is how I live, love it or leave it.\See ya.\12, Problems and Countermeasures Arise When an Organization Undergoes Reconstruction\No more intruders left. response:	Yeah, I guess we're in gallery mode now.
context: Look, Saki, these are costumes for you to wear.\Why not try them on, since you're here?\Don't wanna see it, don't wanna hear it. Why not try them on, since you're here?\This is how I live, love it or leave it.\See ya.\12, Problems and Countermeasures Arise When an Organization Undergoes Reconstruction\No more intruders left.\Yeah, I guess we're in gallery mode now. response:	Why don't we go?
context: Why not try them on, since you're here?\Don't wanna see it, don't wanna hear it. Why not try them on, since you're here?\This is how I live, love it or leave it.\See ya.\12, Problems and Countermeasures Arise When an Organization Undergoes Reconstruction\No more intruders left.\Yeah, I guess we're in gallery mode now.\Why don't we go? response:	Ohh, sure.
context: Don't wanna see it, don't wanna hear it. Why not try them on, since you're here?\This is how I live, love it or leave it.\See ya.\12, Problems and Countermeasures Arise When an Organization Undergoes Reconstruction\No more intruders left.\Yeah, I guess we're in gallery mode now.\Why don't we go?\Ohh, sure. response:	That's unusual...
context: This is how I live, love it or leave it.\See ya.\12, Problems and Countermeasures Arise When an Organization Undergoes Reconstruction\No more intruders left.\Yeah, I guess we're in gallery mode now.\Why don't we go?\Ohh, sure.\That's unusual... response:	Wanna get something to eat?
context: See ya.\12, Problems and Countermeasures Arise When an Organization Undergoes Reconstruction\No more intruders left.\Yeah, I guess we're in gallery mode now.\Why don't we go?\Ohh, sure.\That's unusual...\Wanna get something to eat? response:	Let's do that.
context: 12, Problems and Countermeasures Arise When an Organization Undergoes Reconstruction\No more intruders left.\Yeah, I guess we're in gallery mode now.\Why don't we go?\Ohh, sure.\That's unusual...\Wanna get something to eat?\Let's do that. response:	What to get...
context: No more intruders left.\Yeah, I guess we're in gallery mode now.\Why don't we go?\Ohh, sure.\That's unusual...\Wanna get something to eat?\Let's do that.\What to get... response:	What's the matter?
context: Yeah, I guess we're in gallery mode now.\Why don't we go?\Ohh, sure.\That's unusual...\Wanna get something to eat?\Let's do that.\What to get...\What's the matter? response:	That's not a safe place to be.
context: Why don't we go?\Ohh, sure.\That's unusual...\Wanna get something to eat?\Let's do that.\What to get...\What's the matter?\That's not a safe place to be. response:	I figured you'd show up about now.
context: Ohh, sure.\That's unusual...\Wanna get something to eat?\Let's do that.\What to get...\What's the matter?\That's not a safe place to be.\I figured you'd show up about now. response:	Oh, really...
context: That's unusual...\Wanna get something to eat?\Let's do that.\What to get...\What's the matter?\That's not a safe place to be.\I figured you'd show up about now.\Oh, really... response:	I don't suppose you have some plan to turn all this around?
context: Wanna get something to eat?\Let's do that.\What to get...\What's the matter?\That's not a safe place to be.\I figured you'd show up about now.\Oh, really...\I don't suppose you have some plan to turn all this around? response:	Eh...
context: Let's do that.\What to get...\What's the matter?\That's not a safe place to be.\I figured you'd show up about now.\Oh, really...\I don't suppose you have some plan to turn all this around?\Eh... response:	No, sorry, I don't...
context: What to get...\What's the matter?\That's not a safe place to be.\I figured you'd show up about now.\Oh, really...\I don't suppose you have some plan to turn all this around?\Eh...\No, sorry, I don't... response:	Maybe this time you went a bit too far, starting that fire...
context: What's the matter?\That's not a safe place to be.\I figured you'd show up about now.\Oh, really...\I don't suppose you have some plan to turn all this around?\Eh...\No, sorry, I don't...\Maybe this time you went a bit too far, starting that fire... response:	Yeah...
context: That's not a safe place to be.\I figured you'd show up about now.\Oh, really...\I don't suppose you have some plan to turn all this around?\Eh...\No, sorry, I don't...\Maybe this time you went a bit too far, starting that fire...\Yeah... response:	But according to the information I've procured, the club won't be disbanded.
context: I figured you'd show up about now.\Oh, really...\I don't suppose you have some plan to turn all this around?\Eh...\No, sorry, I don't...\Maybe this time you went a bit too far, starting that fire...\Yeah...\But according to the information I've procured, the club won't be disbanded. response:	Information?
context: Oh, really...\I don't suppose you have some plan to turn all this around?\Eh...\No, sorry, I don't...\Maybe this time you went a bit too far, starting that fire...\Yeah...\But according to the information I've procured, the club won't be disbanded.\Information? response:	A limited suspension of activities...
context: I don't suppose you have some plan to turn all this around?\Eh...\No, sorry, I don't...\Maybe this time you went a bit too far, starting that fire...\Yeah...\But according to the information I've procured, the club won't be disbanded.\Information?\A limited suspension of activities... response:	Wouldn't it make you happier to see Genshiken go away?
context: Eh...\No, sorry, I don't...\Maybe this time you went a bit too far, starting that fire...\Yeah...\But according to the information I've procured, the club won't be disbanded.\Information?\A limited suspension of activities...\Wouldn't it make you happier to see Genshiken go away? response:	Uh well yeah, that is true.
context: No, sorry, I don't...\Maybe this time you went a bit too far, starting that fire...\Yeah...\But according to the information I've procured, the club won't be disbanded.\Information?\A limited suspension of activities...\Wouldn't it make you happier to see Genshiken go away?\Uh well yeah, that is true. response:	It's like, gotten boring lately having to meet at people's places.
context: Maybe this time you went a bit too far, starting that fire...\Yeah...\But according to the information I've procured, the club won't be disbanded.\Information?\A limited suspension of activities...\Wouldn't it make you happier to see Genshiken go away?\Uh well yeah, that is true.\It's like, gotten boring lately having to meet at people's places. response:	Like it's no fun, not how the group should be.
context: Yeah...\But according to the information I've procured, the club won't be disbanded.\Information?\A limited suspension of activities...\Wouldn't it make you happier to see Genshiken go away?\Uh well yeah, that is true.\It's like, gotten boring lately having to meet at people's places.\Like it's no fun, not how the group should be. response:	I don't think it's something you should feel so responsible for.
context: But according to the information I've procured, the club won't be disbanded.\Information?\A limited suspension of activities...\Wouldn't it make you happier to see Genshiken go away?\Uh well yeah, that is true.\It's like, gotten boring lately having to meet at people's places.\Like it's no fun, not how the group should be.\I don't think it's something you should feel so responsible for. response:	They probably don't blame you as much as they say they do.
context: Information?\A limited suspension of activities...\Wouldn't it make you happier to see Genshiken go away?\Uh well yeah, that is true.\It's like, gotten boring lately having to meet at people's places.\Like it's no fun, not how the group should be.\I don't think it's something you should feel so responsible for.\They probably don't blame you as much as they say they do. response:	That might be true.
context: A limited suspension of activities...\Wouldn't it make you happier to see Genshiken go away?\Uh well yeah, that is true.\It's like, gotten boring lately having to meet at people's places.\Like it's no fun, not how the group should be.\I don't think it's something you should feel so responsible for.\They probably don't blame you as much as they say they do.\That might be true. response:	But for all that...
context: Wouldn't it make you happier to see Genshiken go away?\Uh well yeah, that is true.\It's like, gotten boring lately having to meet at people's places.\Like it's no fun, not how the group should be.\I don't think it's something you should feel so responsible for.\They probably don't blame you as much as they say they do.\That might be true.\But for all that... response:	Several days later, a formal punishment was issued to Genshiken.
context: Uh well yeah, that is true.\It's like, gotten boring lately having to meet at people's places.\Like it's no fun, not how the group should be.\I don't think it's something you should feel so responsible for.\They probably don't blame you as much as they say they do.\That might be true.\But for all that...\Several days later, a formal punishment was issued to Genshiken. response:	For one month from the day of issue, suspension of club activities...
context: It's like, gotten boring lately having to meet at people's places.\Like it's no fun, not how the group should be.\I don't think it's something you should feel so responsible for.\They probably don't blame you as much as they say they do.\That might be true.\But for all that...\Several days later, a formal punishment was issued to Genshiken.\For one month from the day of issue, suspension of club activities... response:	We were allowed to take things we needed from the club room...
context: Like it's no fun, not how the group should be.\I don't think it's something you should feel so responsible for.\They probably don't blame you as much as they say they do.\That might be true.\But for all that...\Several days later, a formal punishment was issued to Genshiken.\For one month from the day of issue, suspension of club activities...\We were allowed to take things we needed from the club room... response:	Should we keep this in someone's room?
context: I don't think it's something you should feel so responsible for.\They probably don't blame you as much as they say they do.\That might be true.\But for all that...\Several days later, a formal punishment was issued to Genshiken.\For one month from the day of issue, suspension of club activities...\We were allowed to take things we needed from the club room...\Should we keep this in someone's room? response:	Good idea, we can use it for New Year's.
context: They probably don't blame you as much as they say they do.\That might be true.\But for all that...\Several days later, a formal punishment was issued to Genshiken.\For one month from the day of issue, suspension of club activities...\We were allowed to take things we needed from the club room...\Should we keep this in someone's room?\Good idea, we can use it for New Year's. response:	Get some controllers and games too.
context: That might be true.\But for all that...\Several days later, a formal punishment was issued to Genshiken.\For one month from the day of issue, suspension of club activities...\We were allowed to take things we needed from the club room...\Should we keep this in someone's room?\Good idea, we can use it for New Year's.\Get some controllers and games too. response:	I wonder what the volunteer program will be like.
context: But for all that...\Several days later, a formal punishment was issued to Genshiken.\For one month from the day of issue, suspension of club activities...\We were allowed to take things we needed from the club room...\Should we keep this in someone's room?\Good idea, we can use it for New Year's.\Get some controllers and games too.\I wonder what the volunteer program will be like. response:	Who knows!
context: Several days later, a formal punishment was issued to Genshiken.\For one month from the day of issue, suspension of club activities...\We were allowed to take things we needed from the club room...\Should we keep this in someone's room?\Good idea, we can use it for New Year's.\Get some controllers and games too.\I wonder what the volunteer program will be like.\Who knows! response:	But it'll probably be welfare-related or helping out with official events, right?
context: For one month from the day of issue, suspension of club activities...\We were allowed to take things we needed from the club room...\Should we keep this in someone's room?\Good idea, we can use it for New Year's.\Get some controllers and games too.\I wonder what the volunteer program will be like.\Who knows!\But it'll probably be welfare-related or helping out with official events, right? response:	I guess there's a lot of that over the holidays.
context: We were allowed to take things we needed from the club room...\Should we keep this in someone's room?\Good idea, we can use it for New Year's.\Get some controllers and games too.\I wonder what the volunteer program will be like.\Who knows!\But it'll probably be welfare-related or helping out with official events, right?\I guess there's a lot of that over the holidays. response:	You're probably right.
context: Should we keep this in someone's room?\Good idea, we can use it for New Year's.\Get some controllers and games too.\I wonder what the volunteer program will be like.\Who knows!\But it'll probably be welfare-related or helping out with official events, right?\I guess there's a lot of that over the holidays.\You're probably right. response:	Right in the middle of year-end sale wars!
context: Good idea, we can use it for New Year's.\Get some controllers and games too.\I wonder what the volunteer program will be like.\Who knows!\But it'll probably be welfare-related or helping out with official events, right?\I guess there's a lot of that over the holidays.\You're probably right.\Right in the middle of year-end sale wars! response:	Not having time for any of it really stings!
context: Get some controllers and games too.\I wonder what the volunteer program will be like.\Who knows!\But it'll probably be welfare-related or helping out with official events, right?\I guess there's a lot of that over the holidays.\You're probably right.\Right in the middle of year-end sale wars!\Not having time for any of it really stings! response:	All thanks to someone!
context: I wonder what the volunteer program will be like.\Who knows!\But it'll probably be welfare-related or helping out with official events, right?\I guess there's a lot of that over the holidays.\You're probably right.\Right in the middle of year-end sale wars!\Not having time for any of it really stings!\All thanks to someone! response:	Now, now.
context: Who knows!\But it'll probably be welfare-related or helping out with official events, right?\I guess there's a lot of that over the holidays.\You're probably right.\Right in the middle of year-end sale wars!\Not having time for any of it really stings!\All thanks to someone!\Now, now. response:	Saki?
context: But it'll probably be welfare-related or helping out with official events, right?\I guess there's a lot of that over the holidays.\You're probably right.\Right in the middle of year-end sale wars!\Not having time for any of it really stings!\All thanks to someone!\Now, now.\Saki? response:	Saki? What's the matter?
context: I guess there's a lot of that over the holidays.\You're probably right.\Right in the middle of year-end sale wars!\Not having time for any of it really stings!\All thanks to someone!\Now, now.\Saki?\Saki? What's the matter? response:	Hey, Saki?
context: You're probably right.\Right in the middle of year-end sale wars!\Not having time for any of it really stings!\All thanks to someone!\Now, now.\Saki?\Saki? What's the matter?\Hey, Saki? response:	Me?
context: Right in the middle of year-end sale wars!\Not having time for any of it really stings!\All thanks to someone!\Now, now.\Saki?\Saki? What's the matter?\Hey, Saki?\Me? response:	Was it me?
context: Not having time for any of it really stings!\All thanks to someone!\Now, now.\Saki?\Saki? What's the matter?\Hey, Saki?\Me?\Was it me? response:	Did I do that?
context: All thanks to someone!\Now, now.\Saki?\Saki? What's the matter?\Hey, Saki?\Me?\Was it me?\Did I do that? response:	Well duh!
context: Now, now.\Saki?\Saki? What's the matter?\Hey, Saki?\Me?\Was it me?\Did I do that?\Well duh! response:	I mean, she's really crying? It's not just an act?
context: Saki?\Saki? What's the matter?\Hey, Saki?\Me?\Was it me?\Did I do that?\Well duh!\I mean, she's really crying? It's not just an act? response:	It's for real!
context: Saki? What's the matter?\Hey, Saki?\Me?\Was it me?\Did I do that?\Well duh!\I mean, she's really crying? It's not just an act?\It's for real! response:	We're sorry.
context: Hey, Saki?\Me?\Was it me?\Did I do that?\Well duh!\I mean, she's really crying? It's not just an act?\It's for real!\We're sorry. response:	We didn't realize, did we?
context: Me?\Was it me?\Did I do that?\Well duh!\I mean, she's really crying? It's not just an act?\It's for real!\We're sorry.\We didn't realize, did we? response:	R-Right.
context: Was it me?\Did I do that?\Well duh!\I mean, she's really crying? It's not just an act?\It's for real!\We're sorry.\We didn't realize, did we?\R-Right. response:	We'll leave the rest to you, Kohsaka!
context: Did I do that?\Well duh!\I mean, she's really crying? It's not just an act?\It's for real!\We're sorry.\We didn't realize, did we?\R-Right.\We'll leave the rest to you, Kohsaka! response:	Everybody out! Hurry!
context: Well duh!\I mean, she's really crying? It's not just an act?\It's for real!\We're sorry.\We didn't realize, did we?\R-Right.\We'll leave the rest to you, Kohsaka!\Everybody out! Hurry! response:	I-Isn't it a bad idea to leave them by themselves?
context: I mean, she's really crying? It's not just an act?\It's for real!\We're sorry.\We didn't realize, did we?\R-Right.\We'll leave the rest to you, Kohsaka!\Everybody out! Hurry!\I-Isn't it a bad idea to leave them by themselves? response:	What?
context: It's for real!\We're sorry.\We didn't realize, did we?\R-Right.\We'll leave the rest to you, Kohsaka!\Everybody out! Hurry!\I-Isn't it a bad idea to leave them by themselves?\What? response:	T-That's right, we don't know what'll happen in a situation like this!
context: We're sorry.\We didn't realize, did we?\R-Right.\We'll leave the rest to you, Kohsaka!\Everybody out! Hurry!\I-Isn't it a bad idea to leave them by themselves?\What?\T-That's right, we don't know what'll happen in a situation like this! response:	And y-you're the one with the key, M-Madarame.
context: We didn't realize, did we?\R-Right.\We'll leave the rest to you, Kohsaka!\Everybody out! Hurry!\I-Isn't it a bad idea to leave them by themselves?\What?\T-That's right, we don't know what'll happen in a situation like this!\And y-you're the one with the key, M-Madarame. response:	Anyway you're the one who made her cry!
context: R-Right.\We'll leave the rest to you, Kohsaka!\Everybody out! Hurry!\I-Isn't it a bad idea to leave them by themselves?\What?\T-That's right, we don't know what'll happen in a situation like this!\And y-you're the one with the key, M-Madarame.\Anyway you're the one who made her cry! response:	H-Hey, wait a minute.
context: We'll leave the rest to you, Kohsaka!\Everybody out! Hurry!\I-Isn't it a bad idea to leave them by themselves?\What?\T-That's right, we don't know what'll happen in a situation like this!\And y-you're the one with the key, M-Madarame.\Anyway you're the one who made her cry!\H-Hey, wait a minute. response:	This is your chance!
context: Everybody out! Hurry!\I-Isn't it a bad idea to leave them by themselves?\What?\T-That's right, we don't know what'll happen in a situation like this!\And y-you're the one with the key, M-Madarame.\Anyway you're the one who made her cry!\H-Hey, wait a minute.\This is your chance! response:	If you wait you won't be able to go! Do it as our chairman!
context: I-Isn't it a bad idea to leave them by themselves?\What?\T-That's right, we don't know what'll happen in a situation like this!\And y-you're the one with the key, M-Madarame.\Anyway you're the one who made her cry!\H-Hey, wait a minute.\This is your chance!\If you wait you won't be able to go! Do it as our chairman! response:	You know, lately...
context: What?\T-That's right, we don't know what'll happen in a situation like this!\And y-you're the one with the key, M-Madarame.\Anyway you're the one who made her cry!\H-Hey, wait a minute.\This is your chance!\If you wait you won't be able to go! Do it as our chairman!\You know, lately... response:	Yeah.
context: T-That's right, we don't know what'll happen in a situation like this!\And y-you're the one with the key, M-Madarame.\Anyway you're the one who made her cry!\H-Hey, wait a minute.\This is your chance!\If you wait you won't be able to go! Do it as our chairman!\You know, lately...\Yeah. response:	I can't smoke.
context: And y-you're the one with the key, M-Madarame.\Anyway you're the one who made her cry!\H-Hey, wait a minute.\This is your chance!\If you wait you won't be able to go! Do it as our chairman!\You know, lately...\Yeah.\I can't smoke. response:	Smoke?
context: Anyway you're the one who made her cry!\H-Hey, wait a minute.\This is your chance!\If you wait you won't be able to go! Do it as our chairman!\You know, lately...\Yeah.\I can't smoke.\Smoke? response:	Cigarettes...
context: H-Hey, wait a minute.\This is your chance!\If you wait you won't be able to go! Do it as our chairman!\You know, lately...\Yeah.\I can't smoke.\Smoke?\Cigarettes... response:	I mean, fire...
context: This is your chance!\If you wait you won't be able to go! Do it as our chairman!\You know, lately...\Yeah.\I can't smoke.\Smoke?\Cigarettes...\I mean, fire... response:	It scares me even in my dreams...
context: If you wait you won't be able to go! Do it as our chairman!\You know, lately...\Yeah.\I can't smoke.\Smoke?\Cigarettes...\I mean, fire...\It scares me even in my dreams... response:	W-Well that's just as well! Cigarettes are bad for you!
context: You know, lately...\Yeah.\I can't smoke.\Smoke?\Cigarettes...\I mean, fire...\It scares me even in my dreams...\W-Well that's just as well! Cigarettes are bad for you! response:	Crap, that didn't work.
context: Yeah.\I can't smoke.\Smoke?\Cigarettes...\I mean, fire...\It scares me even in my dreams...\W-Well that's just as well! Cigarettes are bad for you!\Crap, that didn't work. response:	It's okay, I know you were scared.
context: I can't smoke.\Smoke?\Cigarettes...\I mean, fire...\It scares me even in my dreams...\W-Well that's just as well! Cigarettes are bad for you!\Crap, that didn't work.\It's okay, I know you were scared. response:	Don't worry, just relax.
context: Smoke?\Cigarettes...\I mean, fire...\It scares me even in my dreams...\W-Well that's just as well! Cigarettes are bad for you!\Crap, that didn't work.\It's okay, I know you were scared.\Don't worry, just relax. response:	R-Really, when that happened...
context: Cigarettes...\I mean, fire...\It scares me even in my dreams...\W-Well that's just as well! Cigarettes are bad for you!\Crap, that didn't work.\It's okay, I know you were scared.\Don't worry, just relax.\R-Really, when that happened... response:	I dropped my cigarette because Madarame scared me.
context: I mean, fire...\It scares me even in my dreams...\W-Well that's just as well! Cigarettes are bad for you!\Crap, that didn't work.\It's okay, I know you were scared.\Don't worry, just relax.\R-Really, when that happened...\I dropped my cigarette because Madarame scared me. response:	Of course, it was me, it was my fault.
context: It scares me even in my dreams...\W-Well that's just as well! Cigarettes are bad for you!\Crap, that didn't work.\It's okay, I know you were scared.\Don't worry, just relax.\R-Really, when that happened...\I dropped my cigarette because Madarame scared me.\Of course, it was me, it was my fault. response:	No, it's my fault! I can see that...
context: W-Well that's just as well! Cigarettes are bad for you!\Crap, that didn't work.\It's okay, I know you were scared.\Don't worry, just relax.\R-Really, when that happened...\I dropped my cigarette because Madarame scared me.\Of course, it was me, it was my fault.\No, it's my fault! I can see that... response:	That's why I even cosplayed, but I'm always having to make it up to everyone.
context: Crap, that didn't work.\It's okay, I know you were scared.\Don't worry, just relax.\R-Really, when that happened...\I dropped my cigarette because Madarame scared me.\Of course, it was me, it was my fault.\No, it's my fault! I can see that...\That's why I even cosplayed, but I'm always having to make it up to everyone. response:	Of course! Sorry!
context: It's okay, I know you were scared.\Don't worry, just relax.\R-Really, when that happened...\I dropped my cigarette because Madarame scared me.\Of course, it was me, it was my fault.\No, it's my fault! I can see that...\That's why I even cosplayed, but I'm always having to make it up to everyone.\Of course! Sorry! response:	I won't talk about it anymore.
context: Don't worry, just relax.\R-Really, when that happened...\I dropped my cigarette because Madarame scared me.\Of course, it was me, it was my fault.\No, it's my fault! I can see that...\That's why I even cosplayed, but I'm always having to make it up to everyone.\Of course! Sorry!\I won't talk about it anymore. response:	Damn, is that the only way I can talk right now?
context: R-Really, when that happened...\I dropped my cigarette because Madarame scared me.\Of course, it was me, it was my fault.\No, it's my fault! I can see that...\That's why I even cosplayed, but I'm always having to make it up to everyone.\Of course! Sorry!\I won't talk about it anymore.\Damn, is that the only way I can talk right now? response:	But you know, Saki...
context: I dropped my cigarette because Madarame scared me.\Of course, it was me, it was my fault.\No, it's my fault! I can see that...\That's why I even cosplayed, but I'm always having to make it up to everyone.\Of course! Sorry!\I won't talk about it anymore.\Damn, is that the only way I can talk right now?\But you know, Saki... response:	I think cosplaying was the right thing to do.
context: Of course, it was me, it was my fault.\No, it's my fault! I can see that...\That's why I even cosplayed, but I'm always having to make it up to everyone.\Of course! Sorry!\I won't talk about it anymore.\Damn, is that the only way I can talk right now?\But you know, Saki...\I think cosplaying was the right thing to do. response:	That became more a way for us to appeal to other clubs...
context: No, it's my fault! I can see that...\That's why I even cosplayed, but I'm always having to make it up to everyone.\Of course! Sorry!\I won't talk about it anymore.\Damn, is that the only way I can talk right now?\But you know, Saki...\I think cosplaying was the right thing to do.\That became more a way for us to appeal to other clubs... response:	After that, the others weren't so harsh towards Genshiken.
context: That's why I even cosplayed, but I'm always having to make it up to everyone.\Of course! Sorry!\I won't talk about it anymore.\Damn, is that the only way I can talk right now?\But you know, Saki...\I think cosplaying was the right thing to do.\That became more a way for us to appeal to other clubs...\After that, the others weren't so harsh towards Genshiken. response:	Uh, yeah, that's very true.
